
[00:00:00.000 --> 00:00:05.320]   [VIDEO PLAYBACK]
[00:20:00.400 --> 00:20:03.120]   So these data sets, the stack v1, the stack v2,
[00:20:03.120 --> 00:20:05.760]   can be used to train LLMs on code,
[00:20:05.760 --> 00:20:08.080]   or to train general LLMs and include code
[00:20:08.080 --> 00:20:12.800]   as a subset of the general web data.
[00:20:12.800 --> 00:20:15.880]   This shows how the stack v2 compares to the v1.
[00:20:15.880 --> 00:20:17.480]   And you can see that before filtering,
[00:20:17.480 --> 00:20:19.120]   it's almost 10 times larger.
[00:20:19.120 --> 00:20:24.480]   And after filtering, it's four or five times larger.
[00:20:24.480 --> 00:20:28.040]   So I talk about how to get web data, how to get code data.
[00:20:28.040 --> 00:20:30.840]   And then I also mentioned synthetic data.
[00:20:30.840 --> 00:20:34.200]   And it's this year and last year that synthetic data
[00:20:34.200 --> 00:20:37.040]   became very important for LLM training.
[00:20:37.040 --> 00:20:39.200]   And I think that in the next few years,
[00:20:39.200 --> 00:20:41.320]   it will become even more important.
[00:20:41.320 --> 00:20:44.840]   And I think this was mainly sparked by the PHY series
[00:20:44.840 --> 00:20:47.240]   of models by Microsoft.
[00:20:47.240 --> 00:20:50.440]   Their first paper was called Textbooks Are All You Need.
[00:20:50.440 --> 00:20:54.040]   And they basically generated synthetic textbooks
[00:20:54.040 --> 00:20:58.040]   using GPT-3.5 and GPT-3.4.
[00:20:58.040 --> 00:21:01.160]   And they tried to build a new pre-training corpus
[00:21:01.160 --> 00:21:02.280]   that is synthetic.
[00:21:02.280 --> 00:21:05.440]   And they were able to match and outperform models
[00:21:05.440 --> 00:21:08.840]   that are trained on web data sets.
[00:21:08.840 --> 00:21:12.400]   So this model was trained on almost entirely synthetic data.
[00:21:12.400 --> 00:21:15.000]   But now some of the very popular LLMs
[00:21:15.000 --> 00:21:19.120]   are using synthetic data as part of their pre-training mix.
[00:21:19.120 --> 00:21:22.080]   For example, Cloud3, in the model card,
[00:21:22.080 --> 00:21:24.720]   they say that they generate data internally
[00:21:24.720 --> 00:21:27.240]   and they include it in the pre-training.
[00:21:27.240 --> 00:21:29.640]   This is also the case for LLMA3, where
[00:21:29.640 --> 00:21:32.800]   they used LLMs to build classifiers that
[00:21:32.800 --> 00:21:36.520]   would annotate samples and only keep the high-quality ones.
[00:21:36.520 --> 00:21:39.280]   But they also generated synthetic content
[00:21:39.280 --> 00:21:45.480]   to improve performance on coding and reasoning along contexts.
[00:21:45.480 --> 00:21:47.680]   So synthetic data is a very new topic,
[00:21:47.680 --> 00:21:51.200]   but it seems really interesting.
[00:21:51.200 --> 00:21:54.000]   I'm personally working also on that as a hugging phase.
[00:21:54.000 --> 00:21:57.400]   We recently released a data set called Cosmopedia,
[00:21:57.400 --> 00:22:02.120]   which was the largest data set of synthetic texts.
[00:22:02.120 --> 00:22:05.120]   And it had almost 25 billion tokens.
[00:22:05.120 --> 00:22:07.840]   And instead of using closed models like GPT-4,
[00:22:07.840 --> 00:22:13.040]   it used an open-source model, which is Mixed Trial 887B.
[00:22:13.040 --> 00:22:16.640]   And we also released a blog post that explains
[00:22:16.640 --> 00:22:18.920]   how we created this data set.
[00:22:18.920 --> 00:22:23.800]   Because it can be very tricky to get very diverse samples.
[00:22:23.800 --> 00:22:28.440]   So we used an approach where we had 80% of the data that
[00:22:28.440 --> 00:22:29.640]   comes from the web.
[00:22:29.640 --> 00:22:31.760]   And then we tried to use these web samples
[00:22:31.760 --> 00:22:33.920]   to build new prompts that ask models
[00:22:33.920 --> 00:22:37.480]   to generate textbooks that are related to these web samples.
[00:22:37.480 --> 00:22:39.760]   But while giving them more context,
[00:22:39.760 --> 00:22:43.080]   so we can limit the generations.
[00:22:43.080 --> 00:22:47.560]   For example, we can have a topic that is mathematics.
[00:22:47.560 --> 00:22:49.040]   And then we have web samples that
[00:22:49.040 --> 00:22:50.560]   are related to mathematics.
[00:22:50.560 --> 00:22:52.600]   And each time we give the model a prompt,
[00:22:52.600 --> 00:22:55.560]   generate a textbook in the field of mathematics
[00:22:55.560 --> 00:22:57.760]   that is related to this web sample.
[00:22:57.760 --> 00:23:01.800]   And the more web samples we add, the more diversity we add.
[00:23:01.800 --> 00:23:05.200]   We also used some curated sources like Stanford courses
[00:23:05.200 --> 00:23:08.600]   and WikiHow, where we use extracts from these pages
[00:23:08.600 --> 00:23:10.560]   to ask the models to generate content
[00:23:10.560 --> 00:23:12.880]   that is related to them.
[00:23:12.880 --> 00:23:18.400]   You can find more details in the Cosmopedia blog post.
[00:23:18.400 --> 00:23:20.400]   So I guess now we also have the answer
[00:23:20.400 --> 00:23:24.480]   for our second question, which was where to find the data.
[00:23:24.480 --> 00:23:27.680]   And if you're following, we have one question left,
[00:23:27.680 --> 00:23:30.520]   which is how can we filter this data?
[00:23:30.520 --> 00:23:33.200]   Because for example, if you use common crawl,
[00:23:33.200 --> 00:23:34.360]   you need to filter it.
[00:23:34.360 --> 00:23:37.760]   And even if you use the stack, we did not train our models
[00:23:37.760 --> 00:23:38.960]   on the stack directly.
[00:23:38.960 --> 00:23:42.360]   We did a lot of filtering to get a data set that is smaller,
[00:23:42.360 --> 00:23:46.120]   but has a higher quality.
[00:23:46.120 --> 00:23:49.480]   And for this data set, I will cite this slide
[00:23:49.480 --> 00:23:52.440]   from Thomas Wolfe's presentation.
[00:23:52.440 --> 00:23:54.320]   This lecture is very interesting, by the way.
[00:23:54.320 --> 00:23:56.440]   You can find it here.
[00:23:56.440 --> 00:23:58.960]   And this is from the Yi paper, where
[00:23:58.960 --> 00:24:03.240]   they state that a high-quality data set might
[00:24:03.240 --> 00:24:05.600]   exhibit very advanced capabilities
[00:24:05.600 --> 00:24:07.760]   for a standard architecture.
[00:24:07.760 --> 00:24:13.160]   And this is actually the focus of many recent papers.
[00:24:13.160 --> 00:24:15.720]   And we can see that in model releases,
[00:24:15.720 --> 00:24:18.480]   the sections about data sets are becoming smaller and smaller
[00:24:18.480 --> 00:24:21.640]   because people are realizing that the data set is actually
[00:24:21.640 --> 00:24:25.480]   the backbone, and it is the one that is making some models much
[00:24:25.480 --> 00:24:26.960]   better than others.
[00:24:26.960 --> 00:24:31.280]   So it's really important to spend a lot of time creating
[00:24:31.280 --> 00:24:35.160]   these data sets and trying to remove all the outliers
[00:24:35.160 --> 00:24:37.880]   and data sets that can hurt the model during the training.
[00:24:37.880 --> 00:24:43.760]   This is the pipeline from the Yi paper
[00:24:43.760 --> 00:24:47.960]   for filtering their old web data sets.
[00:24:47.960 --> 00:24:50.640]   So first, they do language filtering.
[00:24:50.640 --> 00:24:53.920]   So I guess in Yi's case, they get English and some Asian
[00:24:53.920 --> 00:24:54.960]   languages.
[00:24:54.960 --> 00:24:57.440]   Then they apply some filtering techniques
[00:24:57.440 --> 00:25:00.040]   to remove low-quality samples.
[00:25:00.040 --> 00:25:01.520]   For example, there are some metrics,
[00:25:01.520 --> 00:25:05.360]   like you look for files that have a lot of lines repeated
[00:25:05.360 --> 00:25:06.600]   and then remove them.
[00:25:06.600 --> 00:25:08.480]   There's also rule-based correction.
[00:25:08.480 --> 00:25:10.640]   You also can use perplexity filtering,
[00:25:10.640 --> 00:25:13.080]   where you compute something like a loss
[00:25:13.080 --> 00:25:15.840]   and remove samples that have a very high one.
[00:25:15.840 --> 00:25:18.800]   Then after that, they also did a step
[00:25:18.800 --> 00:25:22.280]   which is very important, deduplication.
[00:25:22.280 --> 00:25:23.720]   Because there are a lot of papers
[00:25:23.720 --> 00:25:26.640]   that study the effect of duplicates on training,
[00:25:26.640 --> 00:25:29.280]   and they find that keeping duplicates in the training
[00:25:29.280 --> 00:25:32.600]   data can cause models to memorize
[00:25:32.600 --> 00:25:36.040]   and they have less space to be creative.
[00:25:36.040 --> 00:25:38.480]   So this hurts the performance of models,
[00:25:38.480 --> 00:25:42.080]   and it's always advised to remove duplicates
[00:25:42.080 --> 00:25:45.280]   using exact deduplication to remove files
[00:25:45.280 --> 00:25:49.200]   that are exactly identical, but also near deduplication
[00:25:49.200 --> 00:25:51.320]   to remove files that are similar.
[00:25:51.320 --> 00:25:55.680]   And this uses techniques like min-hash deduplication.
[00:25:55.680 --> 00:25:58.680]   For Yi, after that, they also did more filtering on top,
[00:25:58.680 --> 00:26:01.280]   like semantic and topic filtering.
[00:26:01.280 --> 00:26:04.120]   But usually, you can do the classic filtering
[00:26:04.120 --> 00:26:06.240]   and deduplication and then be more creative
[00:26:06.240 --> 00:26:09.600]   for the other filters.
[00:26:09.600 --> 00:26:11.840]   This was also the case for FineWeb.
[00:26:11.840 --> 00:26:14.680]   The reason it is better than other data sets
[00:26:14.680 --> 00:26:17.120]   is that because they spent a lot of time
[00:26:17.120 --> 00:26:19.560]   trying to come up with better filters
[00:26:19.560 --> 00:26:22.240]   and also deduplicate the data sets well.
[00:26:25.320 --> 00:26:28.760]   Now the question is, OK, we can do deduplication.
[00:26:28.760 --> 00:26:32.360]   I think we have methods that are established to do that.
[00:26:32.360 --> 00:26:35.200]   We can also do language filtering.
[00:26:35.200 --> 00:26:37.400]   But then if you want to filter the data
[00:26:37.400 --> 00:26:40.680]   to remove garbage and lower quality files,
[00:26:40.680 --> 00:26:43.200]   how do you come up with good filters?
[00:26:43.200 --> 00:26:47.040]   You can, for sure, find some filters in the literature.
[00:26:47.040 --> 00:26:49.320]   But if you want to really build a data set that
[00:26:49.320 --> 00:26:51.400]   is better than what exists, you need
[00:26:51.400 --> 00:26:54.120]   to invest some time trying to find more techniques that
[00:26:54.120 --> 00:26:56.080]   work better for your case.
[00:26:56.080 --> 00:27:00.480]   This can be done with manual inspection, which
[00:27:00.480 --> 00:27:02.840]   is always a good idea to look at the data
[00:27:02.840 --> 00:27:04.680]   and see what it actually looks like.
[00:27:04.680 --> 00:27:08.640]   And you can come up with filters to help you during the training.
[00:27:08.640 --> 00:27:11.200]   But that is usually not enough because you
[00:27:11.200 --> 00:27:14.040]   might have an intuition for filtering that
[00:27:14.040 --> 00:27:15.840]   works better for your model.
[00:27:15.840 --> 00:27:17.440]   But then when you train, actually,
[00:27:17.440 --> 00:27:18.920]   this filtering doesn't help.
[00:27:18.920 --> 00:27:23.040]   And for example, for us, when we were developing the StarCoder
[00:27:23.040 --> 00:27:26.240]   series of models, we were thinking, OK,
[00:27:26.240 --> 00:27:28.800]   what are the best ways for us to filter code?
[00:27:28.800 --> 00:27:31.200]   So we use some standard filters, for example,
[00:27:31.200 --> 00:27:33.280]   to remove auto-generated content.
[00:27:33.280 --> 00:27:36.440]   But we try to come up with a little bit more complex
[00:27:36.440 --> 00:27:39.600]   filterings that could help us, like looking for files that
[00:27:39.600 --> 00:27:42.680]   have a lot of comments because code that is usually
[00:27:42.680 --> 00:27:45.840]   well-documented is probably of a higher quality
[00:27:45.840 --> 00:27:49.080]   than another code file that doesn't have any comments.
[00:27:49.080 --> 00:27:51.080]   So we implemented this filter that
[00:27:51.080 --> 00:27:53.920]   looks for files that have almost no comments
[00:27:53.920 --> 00:27:55.240]   and then removes them.
[00:27:55.240 --> 00:27:57.800]   And we trained a model on that.
[00:27:57.800 --> 00:27:59.800]   It turned out the performance improvement
[00:27:59.800 --> 00:28:01.080]   was really negligible.
[00:28:01.080 --> 00:28:03.400]   It was not as much as we thought.
[00:28:03.400 --> 00:28:06.000]   We also tried to use another filter, which
[00:28:06.000 --> 00:28:08.480]   is using the stars of a repository
[00:28:08.480 --> 00:28:10.320]   as an indicator of quality.
[00:28:10.320 --> 00:28:13.720]   So we've tried removing all the files from repository
[00:28:13.720 --> 00:28:15.640]   that have less than five stars.
[00:28:15.640 --> 00:28:19.360]   And this ended up removing over 70% of the data sets.
[00:28:19.360 --> 00:28:21.240]   And then when we trained on it, the model
[00:28:21.240 --> 00:28:24.520]   was the worst model that we trained in all our ablation
[00:28:24.520 --> 00:28:27.760]   experiments, simply because it removed too much data.
[00:28:27.760 --> 00:28:31.760]   It was not worth using this filtering technique.
[00:28:31.760 --> 00:28:34.680]   This is why it's very important that when you have a filter,
[00:28:34.680 --> 00:28:37.800]   you should run what we call an ablation model.
[00:28:37.800 --> 00:28:41.000]   The ablation is basically you take a subset of your data set
[00:28:41.000 --> 00:28:43.040]   after you applied the filtering.
[00:28:43.040 --> 00:28:44.720]   And you train a small model on it
[00:28:44.720 --> 00:28:48.560]   and see how it behaves with and without the filtering.
[00:28:48.560 --> 00:28:52.240]   And you might be wondering, OK, if I use a small model,
[00:28:52.240 --> 00:28:55.080]   but does it really extrapolate to larger models?
[00:28:55.080 --> 00:28:56.520]   I think that's a good question.
[00:28:56.520 --> 00:28:58.800]   But generally, from our experience,
[00:28:58.800 --> 00:29:00.880]   we found that this does extrapolate
[00:29:00.880 --> 00:29:04.280]   for most of the ablations.
[00:29:04.280 --> 00:29:06.160]   When you're doing these ablations,
[00:29:06.160 --> 00:29:10.480]   you should select a set of high signal benchmarks
[00:29:10.480 --> 00:29:13.480]   that could show you some--
[00:29:13.480 --> 00:29:16.320]   give you some conclusions about the effect of your filtering
[00:29:16.320 --> 00:29:18.200]   early in the training.
[00:29:18.200 --> 00:29:21.880]   This can be some of the popular NLP benchmarks for LLMs,
[00:29:21.880 --> 00:29:25.280]   for example, HeLaSwag or MMLU.
[00:29:25.280 --> 00:29:27.200]   You should also-- sorry, here, it's
[00:29:27.200 --> 00:29:29.760]   not training, it's training-- with different seeds
[00:29:29.760 --> 00:29:31.000]   to reduce the noise.
[00:29:31.000 --> 00:29:33.160]   Because sometimes you can have filtering techniques
[00:29:33.160 --> 00:29:35.480]   that don't give you a very big difference.
[00:29:35.480 --> 00:29:38.160]   But if you train with just one seed,
[00:29:38.160 --> 00:29:39.440]   you must draw conclusions.
[00:29:39.440 --> 00:29:41.040]   But they're actually just noise.
[00:29:41.040 --> 00:29:43.560]   So if you can and you have the compute,
[00:29:43.560 --> 00:29:46.600]   it's always better to run the same experiment with two
[00:29:46.600 --> 00:29:48.040]   or three different seeds.
[00:29:48.040 --> 00:29:50.480]   And then maybe do something like the averaging
[00:29:50.480 --> 00:29:52.160]   so that you reduce the noise and you
[00:29:52.160 --> 00:29:54.520]   have more robust conclusions about the effect
[00:29:54.520 --> 00:29:57.880]   of your filtering.
[00:29:57.880 --> 00:30:01.080]   For example, for the fine web data set,
[00:30:01.080 --> 00:30:05.080]   the authors run over 200 plus ablations.
[00:30:05.080 --> 00:30:08.200]   These were like 1 billion models trained on, I think,
[00:30:08.200 --> 00:30:09.800]   30 billion tokens.
[00:30:09.800 --> 00:30:12.280]   And this is how they were able to find
[00:30:12.280 --> 00:30:15.600]   filterings that worked better for their data sets.
[00:30:16.160 --> 00:30:19.920]   Now let's go back to our Starcoder use case.
[00:30:19.920 --> 00:30:23.600]   And I will tell you about how we filtered the stack data sets.
[00:30:23.600 --> 00:30:27.160]   So for the version 1, if you remember,
[00:30:27.160 --> 00:30:30.000]   we had 6 terabytes of source code.
[00:30:30.000 --> 00:30:32.520]   And then, but when we trained Starcoder,
[00:30:32.520 --> 00:30:36.480]   we only used 800 gigabytes of these 6 terabytes.
[00:30:36.480 --> 00:30:39.800]   So a lot of this data was filtered out
[00:30:39.800 --> 00:30:44.000]   after our filtering, our curation.
[00:30:44.000 --> 00:30:46.200]   The same happened for the Stack V2,
[00:30:46.200 --> 00:30:49.320]   where this time we started from 32 terabytes and 600
[00:30:49.320 --> 00:30:50.520]   programming languages.
[00:30:50.520 --> 00:30:52.640]   And after the filtering, we ended up
[00:30:52.640 --> 00:30:56.680]   with only 6.3 terabytes of code.
[00:30:56.680 --> 00:30:59.960]   And for filtering code, the approach
[00:30:59.960 --> 00:31:03.520]   is a bit similar to just filtering web data,
[00:31:03.520 --> 00:31:06.880]   but the filtering techniques are a bit different.
[00:31:06.880 --> 00:31:11.200]   So first, we wanted to include a lot of programming languages.
[00:31:11.200 --> 00:31:14.480]   And we looked at them, and we didn't keep all of them.
[00:31:14.480 --> 00:31:18.200]   We only kept the popular ones and excluded, for example,
[00:31:18.200 --> 00:31:21.160]   configs and languages that are no longer maintained.
[00:31:21.160 --> 00:31:22.640]   So this was for V1.
[00:31:22.640 --> 00:31:27.360]   For Starcoder 2, we included more languages, over 600.
[00:31:27.360 --> 00:31:29.200]   And then we added some other sources
[00:31:29.200 --> 00:31:31.600]   that could be interesting for a code model
[00:31:31.600 --> 00:31:35.600]   to learn from, which are GitHub issues, Git commits,
[00:31:35.600 --> 00:31:37.520]   and Jupyter notebooks.
[00:31:37.520 --> 00:31:40.080]   We also added for the V2, we added
[00:31:40.080 --> 00:31:46.280]   also added for the V2, Kaggle, notebooks, and pull requests.
[00:31:46.280 --> 00:31:48.480]   The second step, after we selected
[00:31:48.480 --> 00:31:50.680]   the languages we wanted to train on,
[00:31:50.680 --> 00:31:53.360]   was data quality inspection.
[00:31:53.360 --> 00:31:55.760]   So basically, as I told you, we had some filters
[00:31:55.760 --> 00:32:00.600]   to remove low-quality files and auto-generated content.
[00:32:00.600 --> 00:32:03.480]   An example is the average line length.
[00:32:03.480 --> 00:32:06.520]   So if you have an average line length that is too high,
[00:32:06.520 --> 00:32:08.480]   there's probably something wrong with this file
[00:32:08.480 --> 00:32:10.440]   where it's probably auto-generated.
[00:32:10.440 --> 00:32:14.880]   But since we had almost 100 programming languages,
[00:32:14.880 --> 00:32:17.920]   we should not use the same threshold for all the languages
[00:32:17.920 --> 00:32:20.600]   for this filter, because some programming languages just
[00:32:20.600 --> 00:32:21.960]   have longer lines.
[00:32:21.960 --> 00:32:24.240]   So it's important to do some inspection
[00:32:24.240 --> 00:32:26.680]   and look at some samples from these languages.
[00:32:26.680 --> 00:32:29.320]   In our case, we had the BigCode community,
[00:32:29.320 --> 00:32:33.400]   which helps us look at 100 samples per extension
[00:32:33.400 --> 00:32:35.720]   and derive the appropriate thresholds
[00:32:35.720 --> 00:32:37.080]   in filtering heuristics.
[00:32:37.080 --> 00:32:46.920]   The third filtering step was near deduplication.
[00:32:46.920 --> 00:32:50.240]   We found that near deduplication was the filtering that gave us
[00:32:50.240 --> 00:32:52.120]   the most performance boost.
[00:32:52.120 --> 00:32:54.440]   It's also very easy to apply, because it's
[00:32:54.440 --> 00:32:55.920]   language agnostic.
[00:32:55.920 --> 00:32:58.520]   Even though we have 86 programming languages,
[00:32:58.520 --> 00:33:01.280]   we don't need to change the duplication for each language.
[00:33:01.280 --> 00:33:05.360]   We can just apply it to the whole data set.
[00:33:05.360 --> 00:33:08.920]   And here I show you some results of the effects
[00:33:08.920 --> 00:33:10.400]   of deduplication.
[00:33:10.400 --> 00:33:13.840]   For example, here you can see this model, Python all license.
[00:33:13.840 --> 00:33:16.520]   If the filtering is none, you get a pass at 1,
[00:33:16.520 --> 00:33:18.960]   which is our code metric, of 13.
[00:33:18.960 --> 00:33:20.840]   But if you apply near deduplication,
[00:33:20.840 --> 00:33:22.920]   you go from 13 to 17.
[00:33:22.920 --> 00:33:25.600]   That's a very big performance bump.
[00:33:25.600 --> 00:33:28.880]   The same goes for other subsets, like permissive license.
[00:33:28.880 --> 00:33:33.440]   So we decided to use deduplication for our data set
[00:33:33.440 --> 00:33:36.280]   and to use strong deduplication to really remove
[00:33:36.280 --> 00:33:40.160]   all the files that could be similar.
[00:33:40.160 --> 00:33:43.240]   Another step in our pipeline is to remove
[00:33:43.240 --> 00:33:45.840]   personal identifiable information.
[00:33:45.840 --> 00:33:50.080]   So this could be names, emails, or keys, or passwords,
[00:33:50.080 --> 00:33:52.440]   because we scraped code from GitHub.
[00:33:52.440 --> 00:33:55.120]   And although GitHub has some tools
[00:33:55.120 --> 00:33:58.160]   to detect secrets and prompt users to remove them,
[00:33:58.160 --> 00:33:59.920]   that's not always the case.
[00:33:59.920 --> 00:34:01.320]   And we found that there were still
[00:34:01.320 --> 00:34:03.480]   a lot of secrets in the data sets.
[00:34:03.480 --> 00:34:04.640]   And we trained our model.
[00:34:04.640 --> 00:34:06.800]   You don't want it to be trained on that,
[00:34:06.800 --> 00:34:08.960]   because in inference, it might generate
[00:34:08.960 --> 00:34:11.800]   sensitive or personal data.
[00:34:11.800 --> 00:34:15.040]   So our approach to removing it was to first annotate
[00:34:15.040 --> 00:34:18.000]   a data set for PII.
[00:34:18.000 --> 00:34:21.560]   We collaborated with an annotation company
[00:34:21.560 --> 00:34:23.720]   to annotate some samples.
[00:34:23.720 --> 00:34:27.920]   So the annotators were tasked with labeling the PII
[00:34:27.920 --> 00:34:28.840]   when they found it.
[00:34:28.840 --> 00:34:30.200]   For example, if they find a name,
[00:34:30.200 --> 00:34:31.520]   they give it a class name.
[00:34:31.520 --> 00:34:34.160]   If you find an email, they also label it as an email.
[00:34:34.160 --> 00:34:37.120]   So it was a named entity recognition task.
[00:34:37.120 --> 00:34:41.080]   And then we trained a star PII, which is our NER model,
[00:34:41.080 --> 00:34:43.080]   to detect this PII.
[00:34:43.080 --> 00:34:48.760]   And then we run it on the whole star coder training data.
[00:34:48.760 --> 00:34:52.720]   This took almost 800, 100 GPU hours,
[00:34:52.720 --> 00:34:57.840]   because it's a neural network, and it needs to run on GPUs.
[00:34:57.840 --> 00:35:02.800]   The last step in our filtering was data decontamination,
[00:35:02.800 --> 00:35:06.320]   because you should make sure to remove the benchmarks and test
[00:35:06.320 --> 00:35:08.040]   sets from your training data.
[00:35:08.040 --> 00:35:12.000]   Otherwise, your evaluation numbers will just be inflated.
[00:35:12.000 --> 00:35:14.240]   So we made sure to remove the benchmarks
[00:35:14.240 --> 00:35:16.920]   that we used for evaluation from our training sets.
[00:35:16.920 --> 00:35:23.440]   The last step in the data curation of the stack
[00:35:23.440 --> 00:35:25.680]   was to format the data.
[00:35:25.680 --> 00:35:27.680]   So now that the data is filtered,
[00:35:27.680 --> 00:35:30.960]   and because code is different from text,
[00:35:30.960 --> 00:35:35.600]   we can allow ourselves to apply some nice formatting that
[00:35:35.600 --> 00:35:37.440]   could help us do an inference.
[00:35:37.440 --> 00:35:40.800]   For example, for a star coder, we had the code file.
[00:35:40.800 --> 00:35:43.920]   But before the code, we added some tokens
[00:35:43.920 --> 00:35:46.160]   that indicate that this is the repository name,
[00:35:46.160 --> 00:35:49.440]   and another token file name that indicates the file name,
[00:35:49.440 --> 00:35:51.280]   and another one for stars.
[00:35:51.280 --> 00:35:55.080]   And this is interesting, because this model, for example,
[00:35:55.080 --> 00:35:57.120]   star coder and other code models,
[00:35:57.120 --> 00:36:00.640]   I guess their main use case is to be plugged in an IDE,
[00:36:00.640 --> 00:36:02.240]   for example, VS Code.
[00:36:02.240 --> 00:36:05.120]   And when you're using them, it could
[00:36:05.120 --> 00:36:08.560]   be interesting to append the code file with the name
[00:36:08.560 --> 00:36:12.000]   of the file, for example, or file those bytes,
[00:36:12.000 --> 00:36:14.400]   so that the model would know this is a Python file.
[00:36:14.400 --> 00:36:16.920]   If it's in another language, when you add the file name
[00:36:16.920 --> 00:36:18.440]   and you have the extension, it could
[00:36:18.440 --> 00:36:23.120]   know that this is the language that it should generate code in.
[00:36:23.120 --> 00:36:25.160]   We also added GitHub stars token,
[00:36:25.160 --> 00:36:27.960]   and we tried to play with it, like to say
[00:36:27.960 --> 00:36:31.520]   this file has 100 stars, and see if the model would generate
[00:36:31.520 --> 00:36:36.480]   higher quality code than if it were to generate for zero stars.
[00:36:36.480 --> 00:36:38.920]   We didn't find any differences really during inference,
[00:36:38.920 --> 00:36:42.840]   but it was fun to add all this formatting.
[00:36:42.840 --> 00:36:46.160]   For star coder 2, one of the improvements
[00:36:46.160 --> 00:36:50.280]   was that star coder 2 was repository aware.
[00:36:50.280 --> 00:36:52.880]   Because when we have GitHub repositories,
[00:36:52.880 --> 00:36:53.800]   it's a repository.
[00:36:53.800 --> 00:36:56.760]   So we have some files that are in the same repository that
[00:36:56.760 --> 00:36:58.480]   are related to each other.
[00:36:58.480 --> 00:37:02.200]   But when we built the stack V1, we just shuffled files,
[00:37:02.200 --> 00:37:05.440]   so we didn't keep this repository structure.
[00:37:05.440 --> 00:37:07.760]   And when we trained the model, we just shuffled them,
[00:37:07.760 --> 00:37:10.920]   and the model did not know if two files belong
[00:37:10.920 --> 00:37:12.520]   to the same repository.
[00:37:12.520 --> 00:37:14.560]   But when we did star coder 2, we tried
[00:37:14.560 --> 00:37:17.320]   to keep files that are in the same repository next
[00:37:17.320 --> 00:37:18.240]   to each other.
[00:37:18.240 --> 00:37:20.800]   And how we did that is by concatenating them
[00:37:20.800 --> 00:37:23.720]   with some special tokens like file set, which basically
[00:37:23.720 --> 00:37:24.880]   separates files.
[00:37:24.880 --> 00:37:28.440]   And this way, the model can kind of
[00:37:28.440 --> 00:37:30.800]   know which files are in the same repository
[00:37:30.800 --> 00:37:34.160]   and try to find links between them, 3D parallelism.
[00:37:34.160 --> 00:37:37.760]   And then you have also light eval for doing the evaluation.
[00:37:37.760 --> 00:37:39.640]   So this is kind of a good stack to be
[00:37:39.640 --> 00:37:43.440]   able to run your full trainings, but also your ablation models.
[00:37:43.440 --> 00:37:45.480]   You can apply a filter from data to strobe
[00:37:45.480 --> 00:37:48.520]   and then train with nanotron and evaluate with light eval.
[00:37:48.520 --> 00:37:50.240]   And they're well-integrated together
[00:37:50.240 --> 00:37:52.720]   and they make one ecosystem.
[00:37:52.720 --> 00:37:54.840]   So that's for general LLMs.
[00:37:54.840 --> 00:37:58.240]   For code LLMs, we also released the code
[00:37:58.240 --> 00:38:01.560]   we used for both the stack and star coder models
[00:38:01.560 --> 00:38:04.120]   under our big code repository on GitHub.
[00:38:04.120 --> 00:38:10.920]   And I think we just answered our third question, which
[00:38:10.920 --> 00:38:12.800]   was how to filter the data.
[00:38:12.800 --> 00:38:14.720]   So now you know how to--
[00:38:14.720 --> 00:38:17.320]   first, how much data you need, and then
[00:38:17.320 --> 00:38:20.320]   where you can get this data, both web, and code,
[00:38:20.320 --> 00:38:22.120]   and synthetic, and curated.
[00:38:22.120 --> 00:38:25.480]   And you also know how you can properly filter the data
[00:38:25.480 --> 00:38:28.000]   and you can test the filtering techniques
[00:38:28.000 --> 00:38:30.920]   that you have in mind.
[00:38:30.920 --> 00:38:35.080]   So now, let me tell you a little bit more about code LLMs,
[00:38:35.080 --> 00:38:38.680]   because that's kind of what I'm working on.
[00:38:38.680 --> 00:38:41.320]   And I'm trying to give you a little bit of an overview
[00:38:41.320 --> 00:38:44.480]   about these models so that you know how to train good LLMs,
[00:38:44.520 --> 00:38:48.160]   but you also know how to build very cool code assistants
[00:38:48.160 --> 00:38:51.600]   and completion models.
[00:38:51.600 --> 00:38:55.560]   So how all of this started was when GitHub Copilot
[00:38:55.560 --> 00:38:57.040]   was released.
[00:38:57.040 --> 00:38:58.840]   And it was very interesting, because it
[00:38:58.840 --> 00:39:01.920]   was so much better than all the other code completion
[00:39:01.920 --> 00:39:05.480]   models that were before it, which were very small and much
[00:39:05.480 --> 00:39:06.720]   less performant.
[00:39:06.720 --> 00:39:11.960]   And GitHub Copilot was using the Codex model by OpenAI.
[00:39:11.960 --> 00:39:14.960]   And they just showed that you can train a code LLM
[00:39:14.960 --> 00:39:17.800]   in the same way that you train an LLM for English,
[00:39:17.800 --> 00:39:18.760]   for example.
[00:39:18.760 --> 00:39:21.640]   You can just take a large transformer model
[00:39:21.640 --> 00:39:25.640]   and give it a lot of code data, and it will learn this code.
[00:39:25.640 --> 00:39:27.160]   Because before, a lot of people were
[00:39:27.160 --> 00:39:29.440]   trying to treat code very differently,
[00:39:29.440 --> 00:39:32.960]   for example, by using abstract syntax trees.
[00:39:32.960 --> 00:39:34.960]   But what Codex model showed is that you
[00:39:34.960 --> 00:39:36.520]   can treat code like text.
[00:39:36.520 --> 00:39:38.640]   And if you want to predict the next line,
[00:39:38.640 --> 00:39:40.360]   you can predict the next text.
[00:39:40.360 --> 00:39:42.520]   You just do next token prediction,
