
[00:00:00.000 --> 00:00:01.680]   Okay
[00:24:31.040 --> 00:24:34.500]   All that's I mean a lot of that is those are many of them are luxury beliefs
[00:24:34.500 --> 00:24:38.360]   if you look at data in terms of
[00:24:38.360 --> 00:24:44.360]   self-censorship is one that I've that I've been been writing about and concentrating on if you look at the data for
[00:24:44.560 --> 00:24:50.100]   Americans who report self-censoring for fear of damaging their employment prospects or getting fired
[00:24:50.100 --> 00:24:55.320]   It actually increases the more educational attainment someone has so for people who?
[00:24:55.320 --> 00:25:01.800]   The highest level of education is a high school diploma about 25% of Americans say that they self-censor
[00:25:01.800 --> 00:25:08.560]   Whereas for people with college graduate for college degree, it's 33% and then for people with postgraduate degrees. It's 44%
[00:25:08.880 --> 00:25:14.240]   Because they have more to lose and they know and they can anticipate what's going to happen
[00:25:14.240 --> 00:25:17.880]   Right because because cancel culture and all these things are actually worse
[00:25:17.880 --> 00:25:23.960]   We had this conversation with the vague on the podcast where I asked him because he's been very outspoken about his religious beliefs
[00:25:23.960 --> 00:25:26.600]   And I asked him a two-part question. Do you think there's anything wrong with being gay?
[00:25:26.600 --> 00:25:30.840]   And then no and then hey, what do you think of trans and in the fact that?
[00:25:30.840 --> 00:25:35.240]   Trans issues have become such a prominent issue in this election
[00:25:35.600 --> 00:25:40.200]   When it affects such a small number of people is perplexing
[00:25:40.200 --> 00:25:44.380]   Well, I think yes moral movements often become intertwined with with status
[00:25:44.380 --> 00:25:50.320]   So for a long time, there's the gay marriage issue and because you know, I I cited that the book on wasps
[00:25:50.320 --> 00:25:54.560]   You know if a cause is abhorred by the Bulgarians, you know, and and so for a long time
[00:25:54.560 --> 00:25:56.840]   that was the case with with gay marriage, but then once a
[00:25:56.840 --> 00:26:01.840]   Great, you know a majority of Americans supported this cause I think a lot of highly educated
[00:26:03.520 --> 00:26:05.520]   Activists decided to move on to this next issue
[00:26:05.520 --> 00:26:07.440]   And so there's there's just kind of you know
[00:26:07.440 --> 00:26:10.240]   And any any time an opinion is at odds with conventional opinion?
[00:26:10.240 --> 00:26:14.120]   It becomes more enticing to promote because it signifies that you're not a commoner
[00:26:14.120 --> 00:26:17.480]   Is that because of social media and is it waning?
[00:26:17.480 --> 00:26:21.240]   Some of it is I think because of social media
[00:26:21.240 --> 00:26:24.280]   social media scales
[00:26:24.280 --> 00:26:28.840]   Right, you you know, you you can't you can't punch a thousand people in the face at once
[00:26:28.840 --> 00:26:33.520]   But you can get a thousand people to attack one person online all at the same time and damage their reputation
[00:26:33.520 --> 00:26:39.320]   So I think that does have something to do with it. So people become afraid of expressing certain opinions
[00:26:39.320 --> 00:26:42.240]   But but
[00:26:42.240 --> 00:26:45.080]   Is it I mean, I don't think that it's going to change
[00:26:45.080 --> 00:26:48.960]   I think we're sort of we are seeing a bit of a when you know, some people call it the vibe shift
[00:26:48.960 --> 00:26:52.880]   It's slowly changing people are speaking more openly and criticizing cancel culture more
[00:26:52.880 --> 00:26:56.980]   But I think part of the reason why it's dying is because a lot of people have already been canceled
[00:26:57.360 --> 00:27:05.360]   Well, it's also exhausting, you know, it's like really we're we're going to attack another person because their beliefs are slightly different
[00:27:05.360 --> 00:27:09.720]   And I think it's one of the things we've tried to do on the on the podcast is say hey
[00:27:09.720 --> 00:27:12.040]   Let's just have a conversation about these issues
[00:27:12.040 --> 00:27:17.000]   And be thoughtful about it and we don't hurt anybody's feelings
[00:27:17.000 --> 00:27:23.520]   But we do need to talk about some of these things in an intellectually honest way whether it's homeless whether it's black lives matter
[00:27:23.960 --> 00:27:31.920]   January 6 whatever we try to have an intellectually rigorous open-minded discussion and it feels to me like that has started to tip over
[00:27:31.920 --> 00:27:34.700]   I I see it very distinctly that
[00:27:34.700 --> 00:27:40.120]   You can only you know be canceled for your opinion if you allow them to cancel you
[00:27:40.120 --> 00:27:46.440]   Momentum is such that you try something for long enough when it eventually doesn't work. You try something else
[00:27:46.440 --> 00:27:49.820]   I think society has a resilient way of just doing that
[00:27:49.820 --> 00:27:55.280]   And so maybe people are realizing that cancel culture will not solve the problems that they care about
[00:27:55.280 --> 00:28:00.400]   I think it's well said and there has to be a different way Robin in the developed world
[00:28:00.400 --> 00:28:03.580]   Does the rise of luxury beliefs?
[00:28:03.580 --> 00:28:07.360]   Give rise to the populist movements
[00:28:07.360 --> 00:28:13.480]   I remember I would travel in the Midwest a lot. I work with farmers and rural communities
[00:28:13.480 --> 00:28:19.000]   I would go out to these rural communities. I meet with farmers and there was always ridicule about how Californians were arguing about
[00:28:19.680 --> 00:28:24.800]   the gender sign on bathrooms when their local conversation was can I make money this year and
[00:28:24.800 --> 00:28:27.760]   I hate being dependent on the government and I would hear this everywhere
[00:28:27.760 --> 00:28:32.160]   I would go in rural communities in the US and I was like Donald Trump's gonna win
[00:28:32.160 --> 00:28:35.900]   I mean, he's just he is the voice of this group
[00:28:35.900 --> 00:28:43.460]   But it seemed to me that that is what really triggered the sentiment for populism
[00:28:43.460 --> 00:28:45.460]   It's not just about not having enough money
[00:28:45.600 --> 00:28:51.040]   but it's about seeing the inanity in some the view the perceived inanity of
[00:28:51.040 --> 00:28:54.200]   these luxury beliefs
[00:28:54.200 --> 00:28:58.040]   From a group that that isn't afforded that luxury. Yeah
[00:28:58.040 --> 00:29:00.880]   Well, I think a lot of working-class people can sense that you know
[00:29:00.880 --> 00:29:05.700]   Many many members of that elite segment of society don't really have their best interests in mind
[00:29:05.700 --> 00:29:09.000]   They can see sort of it's it's not even just they don't share your values
[00:29:09.000 --> 00:29:13.120]   They're sort of intentionally promoting values that could undermine your communities and there's the kind of
[00:29:13.840 --> 00:29:15.840]   disdain and so
[00:29:15.840 --> 00:29:20.560]   Yeah, just briefly returning. I think even even social media may actually be contributing to some extent
[00:29:20.560 --> 00:29:24.240]   I mean now people can go online and just see how
[00:29:24.240 --> 00:29:33.000]   Yeah, how mentally limited a lot of elites are just by looking at their Twitter profiles or the things that they say things that they
[00:29:33.000 --> 00:29:35.000]   write about whatever
[00:29:35.000 --> 00:29:39.240]   Expressions that they have online and I think this is also sort of, you know
[00:29:39.240 --> 00:29:44.120]   It's sort of behind the curtain moment of wow, exactly. This is like that. This is who's leading the country
[00:29:44.120 --> 00:29:47.380]   This is or this is who who leads the most prestigious institutions
[00:29:47.380 --> 00:29:52.440]   And so yeah, I think there is a there's a bit of that as well. Can you talk about a little bit?
[00:29:52.440 --> 00:29:56.280]   Just back to family and marriage for a second. You wrote something about
[00:29:56.280 --> 00:30:03.080]   You know large numbers of sexual partners a sort of dating culture the hookup culture
[00:30:03.080 --> 00:30:08.420]   Can you just tie those two things together and one observation that I had and maybe it was because I read your stuff
[00:30:09.000 --> 00:30:15.120]   I then noticed that there seems to be these small green shoots of people who are being celebrated from getting married quite early now
[00:30:15.120 --> 00:30:16.480]   They tend to be stars
[00:30:16.480 --> 00:30:18.480]   But there is this interesting trend
[00:30:18.480 --> 00:30:23.280]   and I thought wow this could be one of these things where you're now starting to model a
[00:30:23.280 --> 00:30:26.680]   Very different set of choices when you're 23 and 24 word, you know
[00:30:26.680 --> 00:30:33.800]   Nobody would have thought today you would get married and this obsession with matchmaking and maybe a better way than swiping
[00:30:33.800 --> 00:30:37.980]   Right would be to be thoughtful about the values your partner has
[00:30:38.400 --> 00:30:43.400]   Yeah, I think there is an element of status here. I mean when tinder and a lot of the dating apps took off in around 2012
[00:30:43.400 --> 00:30:48.960]   In 2012 most Americans didn't have have cell phones yet or smartphones rather
[00:30:48.960 --> 00:30:53.120]   But then now that everyone has a smartphone and now that everyone's on the dating apps
[00:30:53.120 --> 00:30:54.960]   It has lost a bit of that
[00:30:54.960 --> 00:30:56.960]   exclusivity a lot of that sort of signifier of
[00:30:56.960 --> 00:31:02.560]   Status and I think this is one reason why we're seeing a lot of a lot of affluent people sort of shift back to trying
[00:31:02.560 --> 00:31:03.800]   to meet online
[00:31:03.800 --> 00:31:06.480]   Or rather in person to meet in person
[00:31:06.920 --> 00:31:08.920]   And yeah, I think
[00:31:08.920 --> 00:31:12.840]   Promiscuity all of these things. I had a friend a couple of years ago
[00:31:12.840 --> 00:31:18.840]   Who you know, he told me, you know Rob when I so so he was a student at an elite university
[00:31:18.840 --> 00:31:24.040]   And he said when I set my dating app radius to one mile just right out right around the University
[00:31:24.040 --> 00:31:30.560]   Most of the female profiles he saw these were fellow students and he said something like a third of them in the bios
[00:31:30.560 --> 00:31:36.280]   They said, you know, I'm you know poly or casual or not looking for anything serious and then when he extended the radius
[00:31:36.760 --> 00:31:41.880]   To the outskirts of the university, which is a more sort of blue-collar area same age range, you know
[00:31:41.880 --> 00:31:44.640]   Whatever, you know, it was a 20 to 24 year old women or something
[00:31:44.640 --> 00:31:46.880]   He said that the majority of the women he saw were single moms
[00:31:46.880 --> 00:31:53.920]   And so sexual promiscuity looks very different depending on your social class how much money you come from and so on
[00:31:53.920 --> 00:32:00.840]   Okay, we need to wrap you can follow Rob Henderson on Twitter and
[00:32:00.840 --> 00:32:02.840]   and sign up for his sub stack
[00:32:02.840 --> 00:32:04.840]   sub stack, yeah
[00:32:04.840 --> 00:32:06.840]   Well done Rob
[00:32:06.840 --> 00:32:08.840]   Thanks for doing it
[00:32:08.840 --> 00:32:10.840]   Thank you Rob
[00:32:10.840 --> 00:32:12.840]   *outro music*
[00:32:12.840 --> 00:32:14.840]   *outro music*
[00:32:15.840 --> 00:32:17.840]   *outro music*
[00:32:17.840 --> 00:32:22.840]   *outro music*
[00:32:22.840 --> 00:32:26.840]   *outro music*
[00:32:26.840 --> 00:32:29.840]   ♪ Oh, we know our lead ♪

