
[00:00:00.040 --> 00:00:09.540]  eleri
[00:35:12.640 --> 00:35:12.640]   It is very simple. I believe that these words are absolutely true.
[00:35:12.640 --> 00:35:12.640]   It is very simple. I believe that these words are absolutely true.
[00:35:12.640 --> 00:35:12.640]   It is very simple. I believe that these words are absolutely true.
[00:35:12.640 --> 00:35:12.640]   It is very simple. I believe that these words are absolutely true.
[00:35:12.640 --> 00:35:12.640]   It is very simple. I believe that these words are absolutely true.
[00:35:12.640 --> 00:35:12.640]   It is very simple. I believe that these words are absolutely true.
[00:35:12.640 --> 00:35:12.640]   It is very simple. I believe that these words are absolutely true.
[00:35:12.640 --> 00:35:12.640]   It is very simple. I believe that these words are absolutely true.
[00:35:12.640 --> 00:35:12.640]   It is very simple. I believe that these words are absolutely true.
[00:35:12.640 --> 00:35:12.640]   It is very simple. I believe that these words are absolutely true.
[00:35:12.640 --> 00:35:12.640]   It is very simple. I believe that these words are absolutely true. I believe that these words are absolutely true.
[00:35:12.640 --> 00:35:42.660]   It is very simple. I believe that these words are absolutely true. I believe that these words are absolutely true.
[00:35:42.660 --> 00:35:42.660]   It is very simple. I believe that these words are absolutely true. I believe that these words are absolutely true.
[00:35:42.660 --> 00:35:42.660]   It is very simple. I believe that these words are absolutely true. I believe that these words are absolutely true.
[00:35:42.660 --> 00:35:42.660]   It is very simple. I believe that these words are absolutely true. I believe that these words are absolutely true.
[00:35:42.700 --> 00:35:44.300]   Two
[00:35:44.300 --> 00:36:10.360]  . I.
[00:36:10.620 --> 00:36:19.820]   less
[00:36:19.820 --> 00:36:22.620]  � not,,,,
[00:38:23.420 --> 00:38:34.680]   under
[00:38:34.680 --> 00:38:37.600]   within end bottomforder bottles
[00:38:37.600 --> 00:38:41.560]   ver 11 acá дела happy fin gunική Past theев a X. I. And, and, and, and, and, and, and, and, and, continue to; buried a, men, Triple,yon,72, alcoholic, won, tastes, acquire,, wallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, pattern?., my, select a 9
[00:38:41.560 --> 00:38:51.480]   favour MSG .R .But HinterCG .she were . geke concent
[00:38:51.480 --> 00:38:51.700]   Знаcą управ 99醒�اس G deepest clear in Working de
[00:38:51.700 --> 00:38:52.020]   plansinä bueno mute trails chi the N relacion Bol's the Q cell was 30這一 the care que as well din pass the so the Open the
[00:38:52.060 --> 00:38:54.960]  ,
[00:38:54.960 --> 00:39:01.420]   change.
[00:39:01.420 --> 00:39:20.940]   as I Le Bat Great
[00:39:51.540 --> 00:39:51.540]   and I'm going to talk about what sounds fun to me, what job would sound interesting, what career sounds fun. And you see kind of an increasing aimlessness amongst young men and young women, especially as it relates to college. Frequently, people will be undeclared in their major. I'm just kind of exploring things. But exploring things in a college class can be either helpful or non-helpful. For your college career to be based upon exploration can be unhelpful. But if you have a career,
[00:40:21.300 --> 00:40:21.300]   and
[00:40:21.300 --> 00:40:21.300]   that's established and defined in purpose, then taking a little bit of exploration with things that interest you and enjoying the benefit of learning at that age can be really helpful. But educationally, there's a lot more value in study if it's connected to a career, if it's connected to a purpose. And so for somebody who is currently working and is apprenticed in an engineering firm, they're a junior drafter, and they're learning on the job, that gives them the ability in their formal studies
[00:40:21.300 --> 00:40:21.300]   to be able to do what they want to do. And so for somebody who is currently working and is apprenticed in an engineering firm, they're a junior drafter, and they're learning on the job, that gives them the ability in their formal studies
[00:40:21.300 --> 00:40:21.300]   to be able to do what they want to do. And so for somebody who is currently working and is apprenticed in an engineering firm, they're a junior drafter, and they're learning on the job, that gives them the ability in their formal studies
[00:40:21.300 --> 00:40:51.140]  , and they're learning on the job, that gives them the ability in their formal studies
[00:40:51.140 --> 00:40:51.300]   and they're learning on the job, that gives them the ability in their formal studies
[00:40:51.300 --> 00:40:51.300]   and they're learning on the job, that gives them the ability in their formal studies
[00:40:51.300 --> 00:40:51.300]   and they're learning on the job, that gives them the ability in their formal studies
[00:40:51.300 --> 00:40:51.300]   and they're learning on the job, that gives them the ability in their formal studies
[00:41:21.300 --> 00:41:21.300]   I'm not sure if you can hear me.
[00:41:21.300 --> 00:41:21.300]   I'm not sure if you can hear me.
[00:41:21.300 --> 00:41:21.300]   I'm not sure if you can hear me.
[00:41:21.300 --> 00:41:21.300]   I'm not sure if you can hear me.
[00:41:21.300 --> 00:41:21.300]   I'm not sure if you can hear me.
[00:41:21.300 --> 00:41:21.300]   I'm not sure if you can hear me.
[00:41:21.300 --> 00:41:21.300]   I'm not sure if you can hear me.
[00:41:21.300 --> 00:41:21.300]   I'm not sure if you can hear me.
[00:41:21.300 --> 00:41:21.300]   I'm not sure if you can hear me.
[00:41:21.300 --> 00:41:21.300]   I'm not sure if you can hear me.
[00:41:21.300 --> 00:41:21.300]   I'm not sure if you can hear me.
[00:41:21.300 --> 00:41:21.300]   I'm not sure if you can hear me.
[00:41:21.300 --> 00:41:21.300]   I'm not sure if you can hear me.
[00:41:21.300 --> 00:41:21.300]   I'm not sure if you can hear me.
[00:41:21.300 --> 00:41:21.300]   I'm not sure if you can hear me.
[00:41:21.300 --> 00:41:21.300]   I'm not sure if you can hear me.
[00:41:21.300 --> 00:41:21.300]   I'm not sure if you can hear me.
[00:41:21.300 --> 00:41:21.340]   I'm not sure if you can hear me.
[00:41:21.380 --> 00:41:29.420]  錢
[00:41:29.420 --> 00:41:31.760]   Gü G . like, the,,,, connects kitchen
[00:41:31.760 --> 00:41:34.880]   내
[00:41:34.880 --> 00:41:48.880]   I they I S I X I music improve dat
[00:42:42.640 --> 00:43:05.400]  acial and social. I don't know how much money now is it takes for me to enjoy my life. And so I spent, I dramatically overspent because I was spending free money. Money that I got on student loans. And so if you can avoid that and you have somebody that's earning, then they're able to still put constraints on their, on their budget and have the benefit of course, of all the financial benefits, which we'll get to of their situation. And then the third thing.
[00:43:05.400 --> 00:43:09.460]   Is, um, just the moral aspect of a young man's life. It's very, very bad and destructive.
[00:43:09.500 --> 00:43:12.940]  larını --
[00:43:12.940 --> 00:43:38.160]  ,
[00:44:07.120 --> 00:44:36.260]  , and I think it's maybe helpful to put this to mention like the job that he has does not is not a blue-collar job or I mean sorry it's not a white-collar job it's not a you know guy who's doing an engineering job he's in a union apprenticeship that if he does everything right and works really hard in 15 years they'll pop out making
[00:45:05.040 --> 00:45:05.040]   you know where he's looking to maybe get an engineering degree and move on you know and you know I think it's really helpful to put this to mention like the job that he has does not a blue-collar job or I mean sorry it's not a white-collar job or I mean sorry it's not a you know I think it's really helpful to put this to mention like the job that he's in a union apprenticeship that if he does everything right and works really hard in 15 years they'll pop out making
[00:45:05.040 --> 00:45:05.340]   you know where he's looking to maybe get an engineering degree and move on you know I think it's really helpful to put this to mention like the job that he's in a union apprenticeship that if he does everything right and works really hard in 15 years they'll pop out making
[00:45:05.340 --> 00:45:35.300]  , move on he will do that he'll have to move on he will do that he'll have to leave the union so get somebody from a white-collar background you know looking for a good job in this company I very much doubt any of them would actually look at the program that he's in. Usually you need somebody younger to take advantage of that but it's so there are so many opportunities right now for people to get great jobs earning good amounts of money if they're willing to work and if they're willing to get their hands dirty from time in the nature of their business.
[00:45:35.300 --> 00:45:35.340]   move on he's willing to get great jobs earning good amounts of money if they're willing to work and if they're willing to get their hands dirty from time in the nature of their business.
[00:45:35.360 --> 00:46:05.340]   move on he's willing to get great jobs earning good amounts of money if they're willing to work and if they're willing to get their hands dirty from time in the nature of their business.
[00:46:05.380 --> 00:46:35.340]  , move on he's willing to get great jobs earning good amounts of money if they're willing to work and if they're willing to get their hands dirty from time in the nature of their business.
[00:46:35.340 --> 00:46:35.340]   move on he's willing to get great jobs earning good amounts of money if they're willing to work and if they're willing to get their hands dirty from time in the nature of their business.
[00:46:35.340 --> 00:46:35.340]   move on he's willing to get great jobs earning good amounts of money if they're willing to work and if they're willing to get their hands dirty from time in the nature of their business.
[00:46:35.380 --> 00:46:46.100]   demand
[00:46:46.100 --> 00:47:03.380]   is,,, meant
[00:47:04.980 --> 00:47:15.200]   in
[00:47:15.200 --> 00:47:34.980]   Arbeit 55 quantity, ", or,
[00:48:03.140 --> 00:48:16.520]   like
[00:50:27.600 --> 00:50:36.860]   merch
[00:50:36.860 --> 00:50:37.600]   b I,
[00:50:37.600 --> 00:50:41.160]   12
[00:50:41.160 --> 00:50:57.600]   Ford is earn I производ피, and, and, and, and, and, and, And, And, I I T. I. And. And. And. K. Ç. enferm. Low. Lightning immediately. silhouette. вел over the. effic. ball can't the things. the. like the remaining the
[00:51:14.560 --> 00:51:14.560]   ----.
[00:51:14.560 --> 00:51:14.560]   ----.
[00:51:14.560 --> 00:51:18.560]   ----.
[00:51:19.600 --> 00:51:29.840]   represented
[00:51:29.840 --> 00:51:48.460]   costing as we it en
[00:51:49.620 --> 00:51:56.080]   ở nơi. The second thing is career choice. So what career choice is available to
[00:51:56.080 --> 00:52:02.300]   them? If somebody is not well established in a particular career, then they should focus on
[00:52:02.300 --> 00:52:07.620]   exploring that career. Now, it sounds like he's got a good start, but there may be more things to
[00:52:07.620 --> 00:52:14.020]   do with money related to that career in the days to come. And so if he needs to pay for his own
[00:52:14.020 --> 00:52:19.300]   MBA or if he needs to pay for something outside of what's provided for this job, he should be
[00:52:19.300 --> 00:52:19.600]   Корner.
[00:52:19.600 --> 00:52:19.600]   And so if he needs to pay for his own MBA or if he needs to pay for something outside of what's
[00:52:19.600 --> 00:52:19.600]   provided for this job, he should be available to them.
[00:52:19.600 --> 00:52:19.600]   So if somebody is not well established in a particular career, then they should focus on
[00:52:19.600 --> 00:52:19.600]   the career.
[00:52:19.600 --> 00:52:19.600]   So if somebody is not well established in a particular career, then they should focus on
[00:52:19.600 --> 00:52:19.600]   exploring that career.
[00:52:19.640 --> 00:52:49.620]   a career.
[00:52:49.620 --> 00:52:49.620]   So if somebody is not well established in a particular career, then they should focus on
[00:52:49.620 --> 00:52:49.620]   that career.
[00:52:49.620 --> 00:52:49.620]   So if somebody is not well established in a particular career, then they should focus on
[00:52:49.620 --> 00:52:49.620]   that career.
[00:52:49.620 --> 00:52:49.620]   So if somebody is not well established in a particular career, then they should focus on
[00:52:49.620 --> 00:52:49.620]   that career.
[00:52:49.620 --> 00:52:49.620]   So if somebody is not well established in a particular career, then they should focus on
[00:52:49.620 --> 00:52:49.620]   that career.
[00:52:49.620 --> 00:52:49.620]   So if somebody is not well established in a particular career, then they should focus on
[00:52:49.620 --> 00:52:49.620]   that career.
[00:52:49.620 --> 00:52:49.620]   So if somebody is not well established in a particular career, then they should focus on
[00:52:49.620 --> 00:52:49.620]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:52:49.640 --> 00:53:19.640]   that career. So if somebody is not well established in a particular career, then they should focus on
[00:53:19.640 --> 00:53:19.640]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:53:19.640 --> 00:53:19.640]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:53:19.640 --> 00:53:19.640]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:53:19.640 --> 00:53:19.640]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:53:19.640 --> 00:53:19.640]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:53:19.640 --> 00:53:19.640]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:53:19.640 --> 00:53:19.640]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:53:19.640 --> 00:53:19.640]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:53:19.640 --> 00:53:49.660]   a particular career, then they should focus on
[00:53:49.660 --> 00:53:49.660]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:53:49.660 --> 00:53:49.660]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:53:49.660 --> 00:53:49.660]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:53:49.660 --> 00:53:49.660]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:53:49.660 --> 00:53:49.660]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:53:49.660 --> 00:53:49.660]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:53:49.680 --> 00:54:19.680]   I don't think you can match that with the fact of somebody being, you know, having the money in a mutual fund or having the money in real estate or really anything. So those would be my first advice to you.
[00:54:19.680 --> 00:54:19.680]   I don't think you can match that with the fact of somebody being, you know, having the money in a mutual fund or having the money in real estate or really anything.
[00:54:19.680 --> 00:54:19.680]   So if somebody is not well established in a particular career, then they should focus on
[00:54:19.680 --> 00:54:19.680]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:54:19.680 --> 00:54:19.680]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:54:19.680 --> 00:54:19.680]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:54:19.680 --> 00:54:19.680]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:54:19.680 --> 00:54:49.700]  , and that career. So if somebody is not well established in a particular career, then they should focus on
[00:54:49.700 --> 00:54:49.700]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:54:49.700 --> 00:54:49.700]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:54:49.700 --> 00:54:49.700]   and that career. So if somebody is not well established in a particular career, then they should focus on
[00:54:49.720 --> 00:55:19.720]   I'm not well established in a particular career, then they should focus on
[00:55:19.720 --> 00:55:19.720]   I'm not well established in a particular career, then they should focus on
[00:55:19.720 --> 00:55:19.720]   I'm not well established in a particular career, then they should focus on
[00:55:19.720 --> 00:55:19.720]   I'm not well established in a particular career, then they should focus on
[00:55:19.720 --> 00:55:19.720]   I'm not well established in a particular career, then they should focus on
[00:55:19.720 --> 00:55:19.720]   I'm not well established in a particular career, then they should focus on
[00:55:19.720 --> 00:55:19.720]   I'm not well established in a particular career, then they should focus on
[00:55:19.720 --> 00:55:19.720]   I'm not well established in a particular career, then they should focus on
[00:55:19.720 --> 00:55:19.720]   I'm not well established in a particular career, then they should focus on
[00:55:19.720 --> 00:55:19.720]   I'm not well established in a particular career, then they should focus on
[00:55:19.720 --> 00:55:19.720]   I'm not well established in a particular career, then they should focus on
[00:55:19.720 --> 00:55:19.720]   I'm not well established in a particular career, then they should focus on
[00:55:19.720 --> 00:55:49.740]  , and I'm not well established in a particular career, then they should focus on
[00:55:49.740 --> 00:55:49.740]   and I'm not well established in a particular career, then they should focus on
[00:55:49.740 --> 00:55:49.740]   and I'm not well established in a particular career, then they should focus on
[00:55:49.740 --> 00:55:49.740]   and I'm not well established in a particular career, then they should focus on
[00:55:49.740 --> 00:55:49.740]   and I'm not well established in a particular career, then they should focus on
[00:55:49.740 --> 00:55:49.740]   and I'm not well established in a particular career, then they should focus on
[00:55:49.740 --> 00:55:49.740]   and I'm not well established in a particular career, then they should focus on
[00:55:49.740 --> 00:55:49.740]   and I'm not well established in a particular career, then they should focus on
[00:55:49.740 --> 00:55:49.740]   and I'm not well established in a particular career, then they should focus on
[00:55:49.760 --> 00:56:19.760]   I'm not well established in a particular career, then they should focus on
[00:56:19.760 --> 00:56:19.760]   I'm not well established in a particular career, then they should focus on
[00:56:19.760 --> 00:56:19.760]   I'm not well established in a particular career, then they should focus on
[00:56:19.760 --> 00:56:19.760]   I'm not well established in a particular career, then they should focus on
[00:56:19.760 --> 00:56:19.760]   I'm not well established in a particular career, then they should focus on
[00:56:19.760 --> 00:56:19.760]   I'm not well established in a particular career, then they should focus on
[00:56:19.760 --> 00:56:19.760]   I'm not well established in a particular career, then they should focus on
[00:56:19.760 --> 00:56:19.760]   I'm not well established in a particular career, then they should focus on
[00:56:19.760 --> 00:56:19.760]   I'm not well established in a particular career, then they should focus on
[00:56:19.760 --> 00:56:19.760]   I'm not well established in a particular career, then they should focus on
[00:56:19.760 --> 00:56:19.760]   I'm not well established in a particular career, then they should focus on
[00:56:19.760 --> 00:56:19.760]   I'm not well established in a particular career, then they should focus on
[00:56:19.760 --> 00:56:49.780]   I'm not well established in a particular career, then they should focus on
[00:56:49.780 --> 00:56:49.780]   I'm not well established in a particular career, then they should focus on
[00:56:49.780 --> 00:56:49.780]   I'm not well established in a particular career, then they should focus on
[00:56:49.780 --> 00:56:49.780]   I'm not well established in a particular career, then they should focus on
[00:56:49.780 --> 00:56:49.780]   I'm not well established in a particular career, then they should focus on
[00:56:49.780 --> 00:56:49.780]   I'm not well established in a particular career, then they should focus on
[00:56:49.780 --> 00:56:49.780]   I'm not well established in a particular career, then they should focus on
[00:56:49.800 --> 00:57:19.800]   I'm not well established in a particular career, then they should focus on
[00:57:19.800 --> 00:57:19.800]   I'm not well established in a particular career, then they should focus on
[00:57:19.800 --> 00:57:19.800]   I'm not well established in a particular career, then they should focus on
[00:57:19.800 --> 00:57:19.800]   I'm not well established in a particular career, then they should focus on
[00:57:19.800 --> 00:57:19.800]   I'm not well established in a particular career, then they should focus on
[00:57:19.800 --> 00:57:19.800]   I'm not well established in a particular career, then they should focus on
[00:57:19.800 --> 00:57:19.800]   I'm not well established in a particular career, then they should focus on
[00:57:19.800 --> 00:57:19.800]   I'm not well established in a particular career, then they should focus on
[00:57:19.800 --> 00:57:19.800]   I'm not well established in a particular career, then they should focus on
[00:57:19.800 --> 00:57:19.800]   I'm not well established in a particular career, then they should focus on
[00:57:19.800 --> 00:57:19.800]   I'm not well established in a particular career, then they should focus on
[00:57:19.800 --> 00:57:19.800]   I'm not well established in a particular career, then they should focus on
[00:57:19.840 --> 00:57:49.820]  ,
[00:57:49.820 --> 00:57:49.820]   I'm not well established in a particular career, then they should focus on
[00:57:49.820 --> 00:57:49.820]   I'm not well established in a particular career, then they should focus on
[00:57:49.820 --> 00:57:49.820]   I'm not well established in a particular career, then they should focus on
[00:57:49.820 --> 00:57:49.820]   I'm not well established in a particular career, then they should focus on
[00:57:49.820 --> 00:57:49.820]   I'm not well established in a particular career, then they should focus on
[00:57:49.820 --> 00:57:49.820]   I'm not well established in a particular career, then they should focus on
[00:57:49.820 --> 00:57:49.820]   I'm not well established in a particular career, then they should focus on
[00:57:49.820 --> 00:57:49.820]   I'm not well established in a particular career, then they should focus on
[00:57:49.820 --> 00:57:49.820]   I'm not well established in a particular career, then they should focus on
[00:57:49.840 --> 00:58:19.840]   I'm not well established in a particular career, then they should focus on
[00:58:19.840 --> 00:58:19.840]   I'm not well established in a particular career, then they should focus on
[00:58:19.840 --> 00:58:19.840]   I'm not well established in a particular career, then they should focus on
[00:58:19.840 --> 00:58:19.840]   I'm not well established in a particular career, then they should focus on
[00:58:19.840 --> 00:58:19.840]   I'm not well established in a particular career, then they should focus on
[00:58:19.840 --> 00:58:19.840]   I'm not well established in a particular career, then they should focus on
[00:58:19.840 --> 00:58:19.840]   I'm not well established in a particular career, then they should focus on
[00:58:19.840 --> 00:58:19.840]   I'm not well established in a particular career, then they should focus on
[00:58:19.840 --> 00:58:19.840]   I'm not well established in a particular career, then they should focus on
[00:58:19.840 --> 00:58:19.840]   I'm not well established in a particular career, then they should focus on
[00:58:19.840 --> 00:58:19.840]   I'm not well established in a particular career, then they should focus on
[00:58:19.840 --> 00:58:49.860]  ,
[00:58:49.860 --> 00:58:49.860]   I'm not well established in a particular career, then they should focus on
[00:58:49.860 --> 00:58:49.860]   I'm not well established in a particular career, then they should focus on
[00:58:49.860 --> 00:58:49.860]   I'm not well established in a particular career, then they should focus on
[00:58:49.860 --> 00:58:49.860]   I'm not well established in a particular career, then they should focus on
[00:58:49.860 --> 00:58:49.860]   I'm not well established in a particular career, then they should focus on
[00:58:49.860 --> 00:58:49.860]   I'm not well established in a particular career, then they should focus on
[00:58:49.860 --> 00:58:49.860]   I'm not well established in a particular career, then they should focus on
[00:58:49.880 --> 00:59:19.880]   I'm not well established in a particular career, then they should focus on
[00:59:19.880 --> 00:59:19.880]   I'm not well established in a particular career, then they should focus on
[00:59:19.880 --> 00:59:19.880]   I'm not well established in a particular career, then they should focus on
[00:59:19.880 --> 00:59:19.880]   I'm not well established in a particular career, then they should focus on
[00:59:19.880 --> 00:59:19.880]   I'm not well established in a particular career, then they should focus on
[00:59:19.880 --> 00:59:19.880]   I'm not well established in a particular career, then they should focus on
[00:59:19.880 --> 00:59:19.880]   I'm not well established in a particular career, then they should focus on
[00:59:19.880 --> 00:59:19.880]   I'm not well established in a particular career, then they should focus on
[00:59:19.880 --> 00:59:19.880]   I'm not well established in a particular career, then they should focus on
[00:59:19.880 --> 00:59:19.880]   I'm not well established in a particular career, then they should focus on
[00:59:19.880 --> 00:59:19.880]   I'm not well established in a particular career, then they should focus on
[00:59:19.880 --> 00:59:49.900]   I'm not well established in a particular career, then they should focus on
[00:59:49.900 --> 00:59:49.900]   I'm not well established in a particular career, then they should focus on
[00:59:49.900 --> 00:59:49.900]   I'm not well established in a particular career, then they should focus on
[00:59:49.900 --> 00:59:49.900]   I'm not well established in a particular career, then they should focus on
[00:59:49.900 --> 00:59:49.900]   I'm not well established in a particular career, then they should focus on
[00:59:49.900 --> 00:59:49.900]   I'm not well established in a particular career, then they should focus on
[00:59:49.900 --> 00:59:49.900]   I'm not well established in a particular career, then they should focus on
[00:59:49.900 --> 00:59:49.900]   I'm not well established in a particular career, then they should focus on
[00:59:49.900 --> 00:59:49.900]   I'm not well established in a particular career, then they should focus on
[00:59:49.920 --> 01:00:19.920]   I'm not well established in a particular career, then they should focus on
[01:00:19.920 --> 01:00:19.920]   I'm not well established in a particular career, then they should focus on
[01:00:19.920 --> 01:00:19.920]   I'm not well established in a particular career, then they should focus on
[01:00:19.920 --> 01:00:19.920]   I'm not well established in a particular career, then they should focus on
[01:00:19.920 --> 01:00:19.920]   I'm not well established in a particular career, then they should focus on
[01:00:19.920 --> 01:00:19.920]   I'm not well established in a particular career, then they should focus on
[01:00:19.920 --> 01:00:19.920]   I'm not well established in a particular career, then they should focus on
[01:00:19.920 --> 01:00:19.920]   I'm not well established in a particular career, then they should focus on
[01:00:19.920 --> 01:00:19.920]   I'm not well established in a particular career, then they should focus on
[01:00:19.920 --> 01:00:19.920]   I'm not well established in a particular career, then they should focus on
[01:00:19.920 --> 01:00:19.920]   I'm not well established in a particular career, then they should focus on
[01:00:19.920 --> 01:00:19.920]   I'm not well established in a particular career, then they should focus on
[01:00:19.920 --> 01:00:49.940]  ,
[01:00:49.940 --> 01:00:49.940]   I'm not well established in a particular career, then they should focus on
[01:00:49.940 --> 01:00:49.940]   I'm not well established in a particular career, then they should focus on
[01:00:49.940 --> 01:00:49.940]   I'm not well established in a particular career, then they should focus on
[01:00:49.940 --> 01:00:49.940]   I'm not well established in a particular career, then they should focus on
[01:00:49.940 --> 01:00:49.940]   I'm not well established in a particular career, then they should focus on
[01:00:49.940 --> 01:00:49.940]   I'm not well established in a particular career, then they should focus on
[01:00:49.960 --> 01:01:19.960]   I'm not well established in a particular career, then they should focus on
[01:01:19.960 --> 01:01:19.960]   I'm not well established in a particular career, then they should focus on
[01:01:19.960 --> 01:01:19.960]   I'm not well established in a particular career, then they should focus on
[01:01:19.960 --> 01:01:19.960]   I'm not well established in a particular career, then they should focus on
[01:01:19.960 --> 01:01:19.960]   I'm not well established in a particular career, then they should focus on
[01:01:19.960 --> 01:01:19.960]   I'm not well established in a particular career, then they should focus on
[01:01:19.960 --> 01:01:19.960]   I'm not well established in a particular career, then they should focus on
[01:01:19.960 --> 01:01:19.960]   I'm not well established in a particular career, then they should focus on
[01:01:19.960 --> 01:01:19.960]   I'm not well established in a particular career, then they should focus on
[01:01:19.960 --> 01:01:19.960]   I'm not well established in a particular career, then they should focus on
[01:01:19.960 --> 01:01:19.960]   I'm not well established in a particular career, then they should focus on
[01:01:19.960 --> 01:01:19.960]   I'm not well established in a particular career, then they should focus on
[01:01:20.000 --> 01:01:49.980]  , I'm not well established in a particular career, then they should focus on
[01:01:49.980 --> 01:01:49.980]   I'm not well established in a particular career, then they should focus on
[01:01:49.980 --> 01:01:49.980]   I'm not well established in a particular career, then they should focus on
[01:01:49.980 --> 01:01:49.980]   I'm not well established in a particular career, then they should focus on
[01:01:49.980 --> 01:01:49.980]   I'm not well established in a particular career, then they should focus on
[01:01:49.980 --> 01:01:49.980]   I'm not well established in a particular career, then they should focus on
[01:01:49.980 --> 01:01:49.980]   I'm not well established in a particular career, then they should focus on
[01:01:49.980 --> 01:01:49.980]   I'm not well established in a particular career, then they should focus on
[01:01:49.980 --> 01:01:49.980]   I'm not well established in a particular career, then they should focus on
[01:01:50.000 --> 01:02:20.000]   I'm not well established in a particular career, then they should focus on
[01:02:20.000 --> 01:02:20.000]   I'm not well established in a particular career, then they should focus on
[01:02:20.000 --> 01:02:20.000]   I'm not well established in a particular career, then they should focus on
[01:02:20.000 --> 01:02:20.000]   I'm not well established in a particular career, then they should focus on
[01:02:20.000 --> 01:02:20.000]   I'm not well established in a particular career, then they should focus on
[01:02:20.000 --> 01:02:20.000]   I'm not well established in a particular career, then they should focus on
[01:02:20.000 --> 01:02:20.000]   I'm not well established in a particular career, then they should focus on
[01:02:20.000 --> 01:02:20.000]   I'm not well established in a particular career, then they should focus on
[01:02:20.000 --> 01:02:20.000]   I'm not well established in a particular career, then they should focus on
[01:02:20.000 --> 01:02:20.000]   I'm not well established in a particular career, then they should focus on
[01:02:20.000 --> 01:02:20.000]   I'm not well established in a particular career, then they should focus on
[01:02:20.000 --> 01:02:20.000]   I'm not well established in a particular career, then they should focus on
[01:02:20.000 --> 01:02:50.020]   I'm not well established in a particular career, then they should focus on
[01:02:50.020 --> 01:02:50.020]   I'm not well established in a particular career, then they should focus on
[01:02:50.020 --> 01:02:50.020]   I'm not well established in a particular career, then they should focus on
[01:02:50.020 --> 01:02:50.020]   I'm not well established in a particular career, then they should focus on
[01:02:50.020 --> 01:02:50.020]   I'm not well established in a particular career, then they should focus on
[01:02:50.020 --> 01:02:50.020]   I'm not well established in a particular career, then they should focus on
[01:02:50.040 --> 01:03:20.040]   I'm not well established in a particular career, then they should focus on
[01:03:20.040 --> 01:03:20.040]   I'm not well established in a particular career, then they should focus on
[01:03:20.040 --> 01:03:20.040]   I'm not well established in a particular career, then they should focus on
[01:03:20.040 --> 01:03:20.040]   I'm not well established in a particular career, then they should focus on
[01:03:20.040 --> 01:03:20.040]   I'm not well established in a particular career, then they should focus on
[01:03:20.040 --> 01:03:20.040]   I'm not well established in a particular career, then they should focus on
[01:03:20.040 --> 01:03:20.040]   I'm not well established in a particular career, then they should focus on
[01:03:20.040 --> 01:03:20.040]   I'm not well established in a particular career, then they should focus on
[01:03:20.040 --> 01:03:20.040]   I'm not well established in a particular career, then they should focus on
[01:03:20.040 --> 01:03:20.040]   I'm not well established in a particular career, then they should focus on
[01:03:20.040 --> 01:03:20.040]   I'm not well established in a particular career, then they should focus on
[01:03:20.040 --> 01:03:20.040]   I'm not well established in a particular career, then they should focus on
[01:03:20.040 --> 01:03:50.060]   I'm not well established in a particular career, then they should focus on
[01:03:50.060 --> 01:03:50.060]   I'm not well established in a particular career, then they should focus on
[01:03:50.060 --> 01:03:50.060]   I'm not well established in a particular career, then they should focus on
[01:03:50.060 --> 01:03:50.060]   I'm not well established in a particular career, then they should focus on
[01:03:50.060 --> 01:03:50.060]   I'm not well established in a particular career, then they should focus on
[01:03:50.060 --> 01:03:50.060]   I'm not well established in a particular career, then they should focus on
[01:03:50.060 --> 01:03:50.060]   I'm not well established in a particular career, then they should focus on
[01:03:50.060 --> 01:03:50.060]   I'm not well established in a particular career, then they should focus on
[01:03:50.080 --> 01:04:20.080]   I'm not well established in a particular career, then they should focus on
[01:04:20.080 --> 01:04:20.080]   I'm not well established in a particular career, then they should focus on
[01:04:20.080 --> 01:04:20.080]   I'm not well established in a particular career, then they should focus on
[01:04:20.080 --> 01:04:20.080]   I'm not well established in a particular career, then they should focus on
[01:04:20.080 --> 01:04:20.080]   I'm not well established in a particular career, then they should focus on
[01:04:20.080 --> 01:04:20.080]   I'm not well established in a particular career, then they should focus on
