
[00:00:00.040 --> 00:00:09.540]   awaiting
[00:24:50.020 --> 00:25:19.480]   ------
[00:25:19.480 --> 00:25:19.520]   ------
[00:25:19.520 --> 00:25:19.540]   ------
[00:25:19.540 --> 00:25:19.620]   ------
[00:25:19.620 --> 00:25:19.660]   ------
[00:25:19.660 --> 00:25:19.700]   ------
[00:25:19.700 --> 00:25:19.760]   ------
[00:25:19.760 --> 00:25:19.800]   ------
[00:25:19.800 --> 00:25:19.840]   ------
[00:25:19.840 --> 00:25:19.880]   ------
[00:25:19.880 --> 00:25:19.920]   ------
[00:25:19.920 --> 00:25:19.960]   ------
[00:25:20.000 --> 00:25:40.060]   ------
[00:25:40.060 --> 00:25:40.100]   ------
[00:25:40.100 --> 00:25:40.140]   ------
[00:25:40.140 --> 00:25:40.200]   ------
[00:25:40.200 --> 00:25:40.260]   ------
[00:25:40.260 --> 00:25:40.540]   ------
[00:25:40.540 --> 00:25:40.600]   ------
[00:25:40.600 --> 00:25:40.680]   ------
[00:25:40.680 --> 00:25:40.740]   ------
[00:25:40.740 --> 00:25:40.800]   ------
[00:25:40.800 --> 00:25:40.820]   ------
[00:25:40.820 --> 00:25:40.880]   ------
[00:25:40.880 --> 00:25:40.940]   ------
[00:25:40.940 --> 00:25:43.100]   ------
[00:25:43.100 --> 00:25:45.100]   ------
[00:25:45.100 --> 00:25:45.680]   ------
[00:25:45.680 --> 00:25:45.980]   ------
[00:25:45.980 --> 00:25:47.100]   ------
[00:25:47.100 --> 00:25:47.440]   ------
[00:25:47.440 --> 00:25:48.140]   ------
[00:25:48.140 --> 00:25:48.860]   ------
[00:25:48.860 --> 00:25:49.520]   ------
[00:25:49.520 --> 00:25:49.840]   ------
[00:25:49.840 --> 00:25:50.040]  .
[00:25:50.040 --> 00:26:20.080]   ------
[00:26:20.080 --> 00:26:20.080]   ------
[00:26:20.080 --> 00:26:20.080]   ------
[00:26:20.080 --> 00:26:20.080]   ------
[00:26:20.080 --> 00:26:20.080]   ------
[00:26:20.080 --> 00:26:20.080]   ------
[00:26:20.120 --> 00:26:29.780]   set
[00:26:29.780 --> 00:26:42.900]   Mm It I, accept the. .,,,,,
[00:27:47.300 --> 00:28:03.340]  ed
[00:28:16.760 --> 00:28:18.780]   an
[00:28:18.780 --> 00:28:44.660]   sh sh. In,,, men
[00:29:40.900 --> 00:29:40.900]   I don't want to go any deeper other than to simply say you can purchase high quality commercial annuities that give you good investments with low expenses you can purchase those and use them to protect money.
[00:29:40.900 --> 00:29:40.900]   I don't want to go any deeper other than to simply say you can purchase high quality commercial annuities that give you good investments with low expenses you can purchase those and use them to protect money.
[00:29:40.900 --> 00:29:40.900]   I don't want to go any deeper other than to simply say you can purchase high quality commercial annuities that give you good investments with low expenses you can purchase those and use them to protect money.
[00:29:40.900 --> 00:29:40.900]   I don't want to go any deeper other than to simply say you can purchase high quality commercial annuities that give you good investments with low expenses you can purchase those and use them to protect money.
[00:29:40.900 --> 00:29:40.900]   I don't want to go any deeper other than to simply say you can purchase high quality commercial annuities that give you good investments with low expenses you can purchase those and use them to protect money.
[00:30:10.260 --> 00:30:10.300]   I don't want to go any deeper other than to simply say you can purchase high quality commercial annuities that give you good investments with low expenses you can purchase those and use them to protect money.
[00:30:10.300 --> 00:30:10.340]   I don't want to go any deeper other than to simply say you can purchase high quality commercial annuities that give you good investments with low expenses you can purchase those and use them to protect money.
[00:30:10.340 --> 00:30:10.920]   I don't want to go any deeper other than to simply say you can purchase high quality commercial annuities that give you good investments with low expenses you can purchase those and use them to protect money.
[00:30:10.920 --> 00:30:40.940]  , I don't want to go any deeper other than to simply say you can purchase high quality commercial annuities that give you good investments with low expenses you can purchase high quality commercial annuities that give you good investments with low expenses you can purchase high quality annuities that give you good investments with low expenses you can purchase high quality annuities that give you good investments with low expenses you can purchase high quality annuities that give you good investments with low expenses you can purchase high quality annuities that give you good investments with low expenses you can purchase high quality annuities that give you good investments with low expenses you can purchase high quality annuities that give you good investments with low expenses you can purchase high quality annuities that give you good investments with low cost.
[00:30:40.980 --> 00:30:50.700]   а
[00:30:50.700 --> 00:30:54.000]   just ما
[00:30:54.000 --> 00:31:07.980]  GY I ' one and. But,,,,,, weight care Fairy fortun
[00:31:07.980 --> 00:31:09.280]   character.
[00:31:39.280 --> 00:31:41.600]  ертвs in the front of your account value only shows you
[00:31:41.600 --> 00:32:08.420]   ninety seven thousand dollars to begin with but your mortality and expense charge may be one point eight percent instead of three point two percent on the other side you could take your hundred thousand dollars to the insurance company you can invest your hundred thousand dollars and all hundred thousand dollars would flow right to the contract. But you'll be charged a higher expense ratio two point six percent for the first eight years and then it'll change down something something like that. And what's better or worse would depend largely on the contract.
[00:32:08.440 --> 00:32:37.580]  and it also depends on what we're going to happen with your overall plans for the contract. If you choose a contract where the where the commission sales commission is not charged up front. Then you're going to incur a series of surrender fees where if you surrender the contract within a short amount of time a surrender charge will be charged to the contract. Those charges range from reason to reason.
[00:32:37.580 --> 00:33:06.740]  to unreasonable to egregious and there will usually be a sliding scale with some companies that might be six seven five four three two one with some companies that might be ten percent ten percent five percent five percent zero you get the idea you have to look at the actual contract but all of that is spelt out very specifically the point is if you hold an annuity for an extended period of time then you can keep that annuity and take it back and you won't pay anything for it.
[00:33:06.740 --> 00:33:06.740]  and if you hold an annuity for an extended period of time then you can keep that annuity and take it back and you won't pay anything for it.
[00:33:06.740 --> 00:33:06.740]  and if you hold an annuity for an extended period of time then you can keep that annuity and take it back and you won't pay anything for it.
[00:33:06.740 --> 00:33:06.740]   if you hold an annuity for an extended period of time then you can keep that annuity and take it back and you won't pay any amount of money in the amount of your bank accounts.
[00:33:35.900 --> 00:33:35.900]   and if you hold an annuity for an extended period of time then you can keep that annuity and take it back and you won't pay anything for it.
[00:33:35.900 --> 00:33:35.900]  and if you hold an annuity for an extended period of time then you can keep that annuity and take it back and you won't pay anything for it.
[00:33:35.900 --> 00:33:35.900]  and if you hold an annuity for an extended period of time then you can keep that annuity and take it back and you won't pay anything for it.
[00:33:35.900 --> 00:33:35.900]  and if you hold an annuity for an extended period of time then you can keep that annuity and take it back and you won't pay anything for it.
[00:33:35.900 --> 00:33:35.900]  and if you hold an annuity for an extended period of time then you can keep that annuity and take it back and you won't pay anything for it.
[00:33:35.900 --> 00:33:35.900]  and if you hold an annuity for an extended period of time then you can keep that annuity and take it back and you won't pay anything for it.
[00:34:05.060 --> 00:34:05.060]   I'm going to go ahead and show you how to do that.
[00:34:05.060 --> 00:34:05.060]   I'm going to go ahead and show you how to do that.
[00:34:05.060 --> 00:34:05.060]   I'm going to go ahead and show you how to do that.
[00:34:05.060 --> 00:34:05.060]   I'm going to go ahead and show you how to do that.
[00:34:05.060 --> 00:34:05.100]   I'm going to go ahead and show you how to do that.
[00:34:05.100 --> 00:34:05.140]   I'm going to go ahead and show you how to do that.
[00:34:05.140 --> 00:34:05.180]   I'm going to go ahead and show you how to do that.
[00:34:05.180 --> 00:34:05.220]   I'm going to go ahead and show you how to do that.
[00:34:05.220 --> 00:34:05.260]   I'm going to go ahead and show you how to do that.
[00:34:05.260 --> 00:34:05.300]   I'm going to go ahead and show you how to do that.
[00:34:05.300 --> 00:34:05.340]   I'm going to go ahead and show you how to do that.
[00:34:05.340 --> 00:34:05.380]   I'm going to go ahead and show you how to do that.
[00:34:05.380 --> 00:34:05.580]   I'm going to go ahead and show you how to do that.
[00:34:05.580 --> 00:34:35.300]  , I'm going to go ahead and show you how to do that.
[00:34:35.300 --> 00:34:35.340]   I'm going to go ahead and show you how to do that.
[00:34:35.340 --> 00:34:35.380]   I'm going to go ahead and show you how to do that.
[00:34:35.380 --> 00:34:35.420]   I'm going to go ahead and show you how to do that.
[00:34:35.420 --> 00:34:35.460]   I'm going to go ahead and show you how to do that.
[00:34:35.460 --> 00:34:35.500]   I'm going to go ahead and show you how to do that.
[00:34:35.500 --> 00:34:35.540]   I'm going to go ahead and show you how to do that.
[00:34:35.540 --> 00:34:35.580]   I'm going to go ahead and show you how to do that.
[00:34:35.580 --> 00:34:35.580]   I'm going to go ahead and show you how to do that.
[00:34:35.580 --> 00:34:35.580]   I'm going to go ahead and show you how to do that.
[00:34:35.600 --> 00:35:05.580]   I'm going to go ahead and show you how to do that.
[00:35:05.580 --> 00:35:05.580]   I'm going to go ahead and show you how to do that.
[00:35:05.580 --> 00:35:05.580]   I'm going to go ahead and show you how to do that.
[00:35:05.580 --> 00:35:05.580]   I'm going to go ahead and show you how to do that.
[00:35:05.580 --> 00:35:05.580]   I'm going to go ahead and show you how to do that.
[00:35:05.580 --> 00:35:05.580]   I'm going to go ahead and show you how to do that.
[00:35:05.580 --> 00:35:05.580]   I'm going to go ahead and show you how to do that.
[00:35:05.580 --> 00:35:05.580]   I'm going to go ahead and show you how to do that.
[00:35:05.580 --> 00:35:05.580]   I'm going to go ahead and show you how to do that.
[00:35:05.580 --> 00:35:05.580]   I'm going to go ahead and show you how to do that.
[00:35:05.580 --> 00:35:05.580]   I'm going to go ahead and show you how to do that.
[00:35:05.580 --> 00:35:05.580]   I'm going to go ahead and show you how to do that.
[00:35:05.580 --> 00:35:05.580]   I'm going to go ahead and show you how to do that.
[00:35:05.620 --> 00:35:35.580]  , I'm going to go ahead and show you how to do that.
[00:35:35.580 --> 00:35:35.600]   I'm going to go ahead and show you how to do that.
[00:35:35.600 --> 00:35:35.600]   I'm going to go ahead and show you how to do that.
[00:35:35.600 --> 00:35:35.600]   I'm going to go ahead and show you how to do that.
[00:35:35.600 --> 00:35:35.600]   I'm going to go ahead and show you how to do that.
[00:35:35.600 --> 00:35:35.600]   I'm going to go ahead and show you how to do that.
[00:35:35.600 --> 00:35:35.600]   I'm going to go ahead and show you how to do that.
[00:35:35.600 --> 00:35:35.600]   I'm going to go ahead and show you how to do that.
[00:35:35.600 --> 00:35:35.600]   I'm going to go ahead and show you how to do that.
[00:35:35.600 --> 00:35:35.600]   I'm going to go ahead and show you how to do that.
[00:35:35.600 --> 00:35:35.600]   I'm going to go ahead and show you how to do that.
[00:35:35.640 --> 00:36:05.620]  ét
[00:36:05.620 --> 00:36:05.620]   I'm going to go ahead and show you how to do that.
[00:36:05.620 --> 00:36:05.620]   I'm going to go ahead and show you how to do that.
[00:36:05.620 --> 00:36:05.620]   I'm going to go ahead and show you how to do that.
[00:36:05.620 --> 00:36:05.620]   I'm going to go ahead and show you how to do that.
[00:36:05.620 --> 00:36:05.620]   I'm going to go ahead and show you how to do that.
[00:36:05.620 --> 00:36:05.620]   I'm going to go ahead and show you how to do that.
[00:36:05.620 --> 00:36:05.620]   I'm going to go ahead and show you how to do that.
[00:36:05.620 --> 00:36:05.620]   I'm going to go ahead and show you how to do that.
[00:36:05.620 --> 00:36:05.620]   I'm going to go ahead and show you how to do that.
[00:36:05.620 --> 00:36:05.620]   I'm going to go ahead and show you how to do that.
[00:36:05.620 --> 00:36:05.620]   I'm going to go ahead and show you how to do that.
[00:36:05.620 --> 00:36:05.620]   I'm going to go ahead and show you how to do that.
[00:36:05.620 --> 00:36:05.620]   I'm going to go ahead and show you how to do that.
[00:36:05.620 --> 00:36:35.640]   I'm going to go ahead and show you how to do that.
[00:36:35.640 --> 00:36:35.640]   I'm going to go ahead and show you how to do that.
[00:36:35.640 --> 00:36:35.640]   I'm going to go ahead and show you how to do that.
[00:36:35.640 --> 00:36:35.640]   I'm going to go ahead and show you how to do that.
[00:36:35.640 --> 00:36:35.640]   I'm going to go ahead and show you how to do that.
[00:36:35.640 --> 00:36:35.640]   I'm going to go ahead and show you how to do that.
[00:36:35.640 --> 00:36:35.640]   I'm going to go ahead and show you how to do that.
[00:36:35.640 --> 00:36:35.640]   I'm going to go ahead and show you how to do that.
[00:36:35.640 --> 00:36:35.640]   I'm going to go ahead and show you how to do that.
[00:36:35.640 --> 00:36:35.640]   I'm going to go ahead and show you how to do that.
[00:36:35.660 --> 00:37:05.660]   I'm going to go ahead and show you how to do that.
[00:37:05.660 --> 00:37:05.660]   I'm going to go ahead and show you how to do that.
[00:37:05.660 --> 00:37:05.660]   I'm going to go ahead and show you how to do that.
[00:37:05.660 --> 00:37:05.660]   I'm going to go ahead and show you how to do that.
[00:37:05.660 --> 00:37:05.660]   I'm going to go ahead and show you how to do that.
[00:37:05.660 --> 00:37:05.660]   I'm going to go ahead and show you how to do that.
[00:37:05.660 --> 00:37:05.660]   I'm going to go ahead and show you how to do that.
[00:37:05.660 --> 00:37:05.660]   I'm going to go ahead and show you how to do that.
[00:37:05.660 --> 00:37:05.660]   I'm going to go ahead and show you how to do that.
[00:37:05.660 --> 00:37:05.660]   I'm going to go ahead and show you how to do that.
[00:37:05.660 --> 00:37:05.660]   I'm going to go ahead and show you how to do that.
[00:37:05.660 --> 00:37:05.660]   I'm going to go ahead and show you how to do that.
[00:37:05.660 --> 00:37:05.660]   I'm going to go ahead and show you how to do that.
[00:37:05.700 --> 00:37:35.680]   I'm going to go ahead and show you how to do that.
[00:37:35.680 --> 00:37:35.680]   I'm going to go ahead and show you how to do that.
[00:37:35.680 --> 00:37:35.680]   I'm going to go ahead and show you how to do that.
[00:37:35.680 --> 00:37:35.680]   I'm going to go ahead and show you how to do that.
[00:37:35.680 --> 00:37:35.680]   I'm going to go ahead and show you how to do that.
[00:37:35.680 --> 00:37:35.680]   I'm going to go ahead and show you how to do that.
[00:37:35.680 --> 00:37:35.680]   I'm going to go ahead and show you how to do that.
[00:37:35.680 --> 00:37:35.680]   I'm going to go ahead and show you how to do that.
[00:37:35.680 --> 00:37:35.680]   I'm going to go ahead and show you how to do that.
[00:37:35.680 --> 00:37:35.680]   I'm going to go ahead and show you how to do that.
[00:37:35.700 --> 00:38:05.700]   I'm going to go ahead and show you how to do that.
[00:38:05.700 --> 00:38:05.700]   I'm going to go ahead and show you how to do that.
[00:38:05.700 --> 00:38:05.700]   I'm going to go ahead and show you how to do that.
[00:38:05.700 --> 00:38:05.700]   I'm going to go ahead and show you how to do that.
[00:38:05.700 --> 00:38:05.700]   I'm going to go ahead and show you how to do that.
[00:38:05.700 --> 00:38:05.700]   I'm going to go ahead and show you how to do that.
[00:38:05.700 --> 00:38:05.700]   I'm going to go ahead and show you how to do that.
[00:38:05.700 --> 00:38:05.700]   I'm going to go ahead and show you how to do that.
[00:38:05.700 --> 00:38:05.700]   I'm going to go ahead and show you how to do that.
[00:38:05.700 --> 00:38:05.700]   I'm going to go ahead and show you how to do that.
[00:38:05.700 --> 00:38:05.700]   I'm going to go ahead and show you how to do that.
[00:38:05.700 --> 00:38:05.700]   I'm going to go ahead and show you how to do that.
[00:38:05.700 --> 00:38:05.700]   I'm going to go ahead and show you how to do that.
[00:38:05.700 --> 00:38:35.720]   I'm going to go ahead and show you how to do that.
[00:38:35.720 --> 00:38:35.720]   I'm going to go ahead and show you how to do that.
[00:38:35.720 --> 00:38:35.720]   I'm going to go ahead and show you how to do that.
[00:38:35.720 --> 00:38:35.720]   I'm going to go ahead and show you how to do that.
[00:38:35.720 --> 00:38:35.720]   I'm going to go ahead and show you how to do that.
[00:38:35.720 --> 00:38:35.720]   I'm going to go ahead and show you how to do that.
[00:38:35.720 --> 00:38:35.720]   I'm going to go ahead and show you how to do that.
[00:38:35.720 --> 00:38:35.720]   I'm going to go ahead and show you how to do that.
[00:38:35.720 --> 00:38:35.720]   I'm going to go ahead and show you how to do that.
[00:38:35.720 --> 00:38:35.720]   I'm going to go ahead and show you how to do that.
[00:38:35.740 --> 00:39:05.740]   I'm going to go ahead and show you how to do that.
[00:39:05.740 --> 00:39:05.740]   I'm going to go ahead and show you how to do that.
[00:39:05.740 --> 00:39:05.740]   I'm going to go ahead and show you how to do that.
[00:39:05.740 --> 00:39:05.740]   I'm going to go ahead and show you how to do that.
[00:39:05.740 --> 00:39:05.740]   I'm going to go ahead and show you how to do that.
[00:39:05.740 --> 00:39:05.740]   I'm going to go ahead and show you how to do that.
[00:39:05.740 --> 00:39:05.740]   I'm going to go ahead and show you how to do that.
[00:39:05.740 --> 00:39:05.740]   I'm going to go ahead and show you how to do that.
[00:39:05.740 --> 00:39:05.740]   I'm going to go ahead and show you how to do that.
[00:39:05.740 --> 00:39:05.740]   I'm going to go ahead and show you how to do that.
[00:39:05.740 --> 00:39:05.740]   I'm going to go ahead and show you how to do that.
[00:39:05.740 --> 00:39:05.740]   I'm going to go ahead and show you how to do that.
[00:39:05.740 --> 00:39:05.740]   I'm going to go ahead and show you how to do that.
[00:39:05.760 --> 00:39:35.760]   I'm going to go ahead and show you how to do that.
[00:39:35.760 --> 00:39:35.760]   I'm going to go ahead and show you how to do that.
[00:39:35.760 --> 00:39:35.760]   I'm going to go ahead and show you how to do that.
[00:39:35.760 --> 00:39:35.760]   I'm going to go ahead and show you how to do that.
[00:39:35.760 --> 00:39:35.760]   I'm going to go ahead and show you how to do that.
[00:39:35.760 --> 00:39:35.760]   I'm going to go ahead and show you how to do that.
[00:39:35.760 --> 00:39:35.760]   I'm going to go ahead and show you how to do that.
[00:39:35.760 --> 00:39:35.760]   I'm going to go ahead and show you how to do that.
[00:39:35.760 --> 00:39:35.760]   I'm going to go ahead and show you how to do that.
[00:39:35.760 --> 00:39:35.760]   I'm going to go ahead and show you how to do that.
[00:39:35.760 --> 00:39:35.760]   I'm going to go ahead and show you how to do that.
[00:39:35.760 --> 00:39:35.760]   I'm going to go ahead and show you how to do that.
[00:39:35.760 --> 00:40:05.780]  ,
[00:40:05.780 --> 00:40:05.780]   I'm going to go ahead and show you how to do that.
[00:40:05.780 --> 00:40:05.780]   I'm going to go ahead and show you how to do that.
[00:40:05.780 --> 00:40:05.780]   I'm going to go ahead and show you how to do that.
[00:40:05.780 --> 00:40:05.780]   I'm going to go ahead and show you how to do that.
[00:40:05.780 --> 00:40:05.780]   I'm going to go ahead and show you how to do that.
[00:40:05.780 --> 00:40:05.780]   I'm going to go ahead and show you how to do that.
[00:40:05.780 --> 00:40:05.780]   I'm going to go ahead and show you how to do that.
[00:40:05.780 --> 00:40:05.780]   I'm going to go ahead and show you how to do that.
[00:40:05.780 --> 00:40:05.780]   I'm going to go ahead and show you how to do that.
[00:40:05.780 --> 00:40:05.780]   I'm going to go ahead and show you how to do that.
[00:40:05.780 --> 00:40:05.780]   I'm going to go ahead and show you how to do that.
[00:40:05.800 --> 00:40:35.800]   I'm going to go ahead and show you how to do that.
[00:40:35.800 --> 00:40:35.800]   I'm going to go ahead and show you how to do that.
[00:40:35.800 --> 00:40:35.800]   I'm going to go ahead and show you how to do that.
[00:40:35.800 --> 00:40:35.800]   I'm going to go ahead and show you how to do that.
[00:40:35.800 --> 00:40:35.800]   I'm going to go ahead and show you how to do that.
[00:40:35.800 --> 00:40:35.800]   I'm going to go ahead and show you how to do that.
[00:40:35.800 --> 00:40:35.800]   I'm going to go ahead and show you how to do that.
[00:40:35.800 --> 00:40:35.800]   I'm going to go ahead and show you how to do that.
[00:40:35.800 --> 00:40:35.800]   I'm going to go ahead and show you how to do that.
[00:40:35.800 --> 00:40:35.800]   I'm going to go ahead and show you how to do that.
[00:40:35.800 --> 00:40:35.800]   I'm going to go ahead and show you how to do that.
[00:40:35.800 --> 00:40:35.800]   I'm going to go ahead and show you how to do that.
[00:40:35.800 --> 00:40:35.800]   I'm going to go ahead and show you how to do that.
[00:40:35.800 --> 00:41:05.820]  ,
[00:41:05.820 --> 00:41:05.820]   I'm going to go ahead and show you how to do that.
[00:41:05.820 --> 00:41:05.820]   I'm going to go ahead and show you how to do that.
[00:41:05.820 --> 00:41:05.820]   I'm going to go ahead and show you how to do that.
[00:41:05.820 --> 00:41:05.820]   I'm going to go ahead and show you how to do that.
[00:41:05.820 --> 00:41:05.820]   I'm going to go ahead and show you how to do that.
[00:41:05.820 --> 00:41:05.820]   I'm going to go ahead and show you how to do that.
[00:41:05.820 --> 00:41:05.820]   I'm going to go ahead and show you how to do that.
[00:41:05.820 --> 00:41:05.820]   I'm going to go ahead and show you how to do that.
[00:41:05.820 --> 00:41:05.820]   I'm going to go ahead and show you how to do that.
[00:41:05.820 --> 00:41:05.820]   I'm going to go ahead and show you how to do that.
[00:41:05.820 --> 00:41:05.820]   I'm going to go ahead and show you how to do that.
[00:41:05.840 --> 00:41:35.840]   You can set up the annuity in such a way that it's just not
[00:41:35.840 --> 00:41:35.840]   You can set up the annuity in such a way that it's just not
[00:41:35.840 --> 00:41:35.840]   You can set up the annuity in such a way that it's just not
[00:41:35.840 --> 00:41:35.840]   You can set up the annuity in such a way that it's just not available to them.
[00:41:35.840 --> 00:41:35.840]   You can set up the annuity in such a way that it's just not available to them.
[00:41:35.840 --> 00:41:35.840]   You can set up the annuity in such a way that it's just not available to them.
[00:41:35.840 --> 00:41:35.840]   You can set up the annuity in such a way that it's just not available to them.
[00:41:35.840 --> 00:41:35.840]   You can set up the annuity in such a way that it's just not available to them.
[00:41:35.840 --> 00:41:35.840]   You can set up the annuity in such a way that it's just not available to them.
[00:41:35.840 --> 00:41:35.840]   You can set up the annuity in such a way that it's just not available to them.
[00:41:35.880 --> 00:42:05.860]  ,
[00:42:05.860 --> 00:42:05.860]   You can set up the annuity in such a way that it's just not available to them.
[00:42:05.860 --> 00:42:05.860]   You can set up the annuity in such a way that it's just not available to them.
[00:42:05.860 --> 00:42:05.860]   You can set up the annuity in such a way that it's just not available to them.
[00:42:05.860 --> 00:42:05.860]   You can set up the annuity in such a way that it's just not available to them.
[00:42:05.860 --> 00:42:05.860]   You can set up the annuity in such a way that it's just not available to them.
[00:42:05.860 --> 00:42:05.860]   You can set up the annuity in such a way that it's just not available to them.
[00:42:05.860 --> 00:42:05.860]   You can set up the annuity in such a way that it's just not available to them.
[00:42:05.860 --> 00:42:05.860]   You can set up the annuity in such a way that it's just not available to them.
[00:42:05.860 --> 00:42:05.860]   You can set up the annuity in such a way that it's just not available to them.
[00:42:05.880 --> 00:42:35.880]   You can set up the annuity in such a way that it's just not available to them.
[00:42:35.880 --> 00:42:35.880]   You can set up the annuity in such a way that it's just not available to them.
[00:42:35.880 --> 00:42:35.880]   You can set up the annuity in such a way that it's just not available to them.
[00:42:35.880 --> 00:42:35.880]   You can set up the annuity in such a way that it's just not available to them.
[00:42:35.880 --> 00:42:35.880]   You can set up the annuity in such a way that it's just not available to them.
[00:42:35.880 --> 00:42:35.880]   You can set up the annuity in such a way that it's just not available to them.
[00:42:35.880 --> 00:42:35.880]   You can set up the annuity in such a way that it's just not available to them.
[00:42:35.880 --> 00:42:35.880]   You can set up the annuity in such a way that it's just not available to them.
[00:42:35.880 --> 00:42:35.880]   You can set up the annuity in such a way that it's just not available to them.
[00:42:35.880 --> 00:43:05.900]  ,
[00:43:05.900 --> 00:43:05.900]   You can set up the annuity in such a way that it's just not available to them.
[00:43:05.900 --> 00:43:05.900]   You can set up the annuity in such a way that it's just not available to them.
[00:43:05.900 --> 00:43:05.900]   You can set up the annuity in such a way that it's just not available to them.
[00:43:05.900 --> 00:43:05.900]   You can set up the annuity in such a way that it's just not available to them.
[00:43:05.900 --> 00:43:05.900]   You can set up the annuity in such a way that it's just not available to them.
[00:43:05.900 --> 00:43:05.900]   You can set up the annuity in such a way that it's just not available to them.
[00:43:05.900 --> 00:43:05.900]   You can set up the annuity in such a way that it's just not available to them.
[00:43:05.920 --> 00:43:35.920]   You can set up the annuity in such a way that it's just not available to them.
[00:43:35.920 --> 00:43:35.920]   You can set up the annuity in such a way that it's just not available to them.
[00:43:35.920 --> 00:43:35.920]   You can set up the annuity in such a way that it's just not available to them.
[00:43:35.920 --> 00:43:35.920]   You can set up the annuity in such a way that it's just not available to them.
[00:43:35.920 --> 00:43:35.920]   You can set up the annuity in such a way that it's just not available to them.
[00:43:35.920 --> 00:43:35.920]   You can set up the annuity in such a way that it's just not available to them.
[00:43:35.920 --> 00:43:35.920]   You can set up the annuity in such a way that it's just not available to them.
[00:43:35.920 --> 00:43:35.920]   You can set up the annuity in such a way that it's just not available to them.
[00:43:35.920 --> 00:43:35.920]   You can set up the annuity in such a way that it's just not available to them.
[00:43:35.920 --> 00:44:05.940]  ,
[00:44:05.940 --> 00:44:05.940]   You can set up the annuity in such a way that it's just not available to them.
[00:44:05.940 --> 00:44:05.940]   You can set up the annuity in such a way that it's just not available to them.
[00:44:05.940 --> 00:44:05.940]   You can set up the annuity in such a way that it's just not available to them.
[00:44:05.940 --> 00:44:05.940]   You can set up the annuity in such a way that it's just not available to them.
[00:44:05.940 --> 00:44:05.940]   You can set up the annuity in such a way that it's just not available to them.
[00:44:05.940 --> 00:44:05.940]   You can set up the annuity in such a way that it's just not available to them.
[00:44:05.940 --> 00:44:05.940]   You can set up the annuity in such a way that it's just not available to them.
[00:44:05.940 --> 00:44:05.940]   You can set up the annuity in such a way that it's just not available to them.
[00:44:05.960 --> 00:44:35.960]   You can set up the annuity in such a way that it's just not available to them.
[00:44:35.960 --> 00:44:35.960]   You can set up the annuity in such a way that it's just not available to them.
[00:44:35.960 --> 00:44:35.960]   You can set up the annuity in such a way that it's just not available to them.
[00:44:35.960 --> 00:44:35.960]   You can set up the annuity in such a way that it's just not available to them.
[00:44:35.960 --> 00:44:35.960]   You can set up the annuity in such a way that it's just not available to them.
[00:44:35.960 --> 00:44:35.960]   You can set up the annuity in such a way that it's just not available to them.
[00:44:35.960 --> 00:44:35.960]   You can set up the annuity in such a way that it's just not available to them.
[00:44:35.960 --> 00:44:35.960]   You can set up the annuity in such a way that it's just not available to them.
[00:44:35.960 --> 00:44:35.960]   You can set up the annuity in such a way that it's just not available to them.
[00:44:35.960 --> 00:45:05.980]  ,
[00:45:05.980 --> 00:45:05.980]   You can set up the annuity in such a way that it's just not available to them.
[00:45:05.980 --> 00:45:05.980]   You can set up the annuity in such a way that it's just not available to them.
[00:45:05.980 --> 00:45:05.980]   You can set up the annuity in such a way that it's just not available to them.
[00:45:05.980 --> 00:45:05.980]   You can set up the annuity in such a way that it's just not available to them.
[00:45:05.980 --> 00:45:05.980]   You can set up the annuity in such a way that it's just not available to them.
[00:45:05.980 --> 00:45:05.980]   You can set up the annuity in such a way that it's just not available to them.
[00:45:05.980 --> 00:45:05.980]   You can set up the annuity in such a way that it's just not available to them.
[00:45:06.000 --> 00:45:36.000]   You can set up the annuity in such a way that it's just not available to them.
[00:45:36.000 --> 00:45:36.000]   You can set up the annuity in such a way that it's just not available to them.
[00:45:36.000 --> 00:45:36.000]   You can set up the annuity in such a way that it's just not available to them.
[00:45:36.000 --> 00:45:36.000]   You can set up the annuity in such a way that it's just not available to them.
[00:45:36.000 --> 00:45:36.000]   You can set up the annuity in such a way that it's just not available to them.
[00:45:36.000 --> 00:45:36.000]   You can set up the annuity in such a way that it's just not available to them.
[00:45:36.000 --> 00:45:36.000]   You can set up the annuity in such a way that it's just not available to them.
[00:45:36.000 --> 00:45:36.000]   You can set up the annuity in such a way that it's just not available to them.
[00:45:36.000 --> 00:45:36.000]   You can set up the annuity in such a way that it's just not available to them.
[00:45:36.000 --> 00:46:06.020]  ,
[00:46:06.020 --> 00:46:06.020]   You can set up the annuity in such a way that it's just not available to them.
[00:46:06.020 --> 00:46:06.020]   You can set up the annuity in such a way that it's just not available to them.
[00:46:06.020 --> 00:46:06.020]   You can set up the annuity in such a way that it's just not available to them.
[00:46:06.020 --> 00:46:06.020]   You can set up the annuity in such a way that it's just not available to them.
[00:46:06.020 --> 00:46:06.020]   You can set up the annuity in such a way that it's just not available to them.
[00:46:06.020 --> 00:46:06.020]   You can set up the annuity in such a way that it's just not available to them.
[00:46:06.020 --> 00:46:06.020]   You can set up the annuity in such a way that it's just not available to them.
[00:46:06.020 --> 00:46:06.020]   You can set up the annuity in such a way that it's just not available to them.
[00:46:06.040 --> 00:46:36.040]   The most important one here is to compare something like a life insurance contract to money that's in your creditors' hands.
