
[00:00:00.000 --> 00:00:07.060]   I just, I got to tell you about what happened to me when I got back from my nearly month up in
[00:24:10.700 --> 00:24:15.500]   capital, go for it. If you're not sure, do more work until you're confident. Build up rare and
[00:24:15.500 --> 00:24:20.320]   valuable skills until it's like more demonstrably clear that you'll succeed. Now, if you want to know
[00:24:20.320 --> 00:24:23.480]   if you have enough career capital, we talk about this all the time. I think my book's so good
[00:24:23.480 --> 00:24:27.540]   they can't ignore you gets into this the most specifically, but use money as a neutral indicator of
[00:24:27.540 --> 00:24:32.460]   value. Is there a job offer on the table for this new job or someone is willing to hire and pay me?
[00:24:32.460 --> 00:24:37.400]   If not, then maybe you don't have the capital to make that turn. Don't quit. And then start going
[00:24:37.400 --> 00:24:42.020]   job searching and hope it works out. If you're going to start your own thing, start it on the side.
[00:24:42.020 --> 00:24:48.420]   Are people giving me money for it? If not, maybe I'm not ready. Right. So don't just jump out there
[00:24:48.420 --> 00:24:53.840]   in the world to try to harvest a temporary, the temporary lift you get from making a change and
[00:24:53.840 --> 00:24:58.380]   then say, I'll figure out, get started with what comes next. Do your work, get evidence you have
[00:24:58.380 --> 00:25:02.900]   enough career capital. If you do go for it. If you don't, don't. And if it's not a home run,
[00:25:02.900 --> 00:25:06.400]   then maybe you don't need a career change. There might be other ways for you to get closer to your
[00:25:06.400 --> 00:25:11.500]   ideal lifestyle. What I'm trying to avoid here, Jesse, is sometimes people just like the idea of the
[00:25:11.500 --> 00:25:15.780]   temporary high they get from making a change. It's like, I want to make a change. Can I make
[00:25:15.780 --> 00:25:21.900]   a change yet? I always ask why? What is the change for? You need a reason for your change to sort of
[00:25:21.900 --> 00:25:26.000]   harvest the sustainable value out of it. All right. Who do we got next?
[00:25:26.000 --> 00:25:32.600]   Next up is Craig. Do you have a framework or approach for developing deep, critical thinking,
[00:25:32.600 --> 00:25:37.720]   particular for young people? I'm a father of young children and also a mentor of a group of young men,
[00:25:37.720 --> 00:25:42.300]   and I want to help them build the habit of thinking deeply. Well, there's a, there's a known formula
[00:25:42.300 --> 00:25:52.260]   that's been around for millennia. It's reading, writing. So reading builds new circuits in your brain.
[00:25:52.260 --> 00:25:57.320]   I've been working on this topic for a chapter in my, the book I'm working on about the deep life.
[00:25:57.320 --> 00:26:02.420]   Reading builds what are known as deep reading processes. The more reading you do of like hard
[00:26:02.420 --> 00:26:06.200]   stuff or stuff that challenges you literally builds new connections between parts of your brain.
[00:26:06.500 --> 00:26:11.460]   It gives you a different brain. It upgrades your brain from what we could think of as the
[00:26:11.460 --> 00:26:15.620]   pragmatic brain that we evolved for, that's well-suited for living in small bands in the
[00:26:15.620 --> 00:26:20.380]   Paleolithic to what we can call the symbolic brain. That is a brain that can do a lot more things. So
[00:26:20.380 --> 00:26:24.800]   you got to keep it, keep in mind, reading is artificial, right? It's not something we evolved
[00:26:24.800 --> 00:26:30.280]   to do. It was invented relatively recently. And so it takes hard work, but if you do reading of things
[00:26:30.280 --> 00:26:34.500]   that are hard, it literally changes your brain and you go from pragmatic to symbolic and that brain,
[00:26:34.500 --> 00:26:40.900]   it sees the world in technicolor. The ideas, the way you can process information, the things you notice,
[00:26:40.900 --> 00:26:46.140]   the opportunities, the gratitude and interest you can find in the world. So much stuff, your ability to
[00:26:46.140 --> 00:26:51.760]   navigate economically, the get ahead, so much comes out of having a well-honed symbolic brain.
[00:26:51.760 --> 00:26:57.540]   Reading is a foundational activity to do that. Reading, reading, reading, that's everything. Like,
[00:26:57.580 --> 00:27:02.180]   I'm not very good at being a tiger parent. I'm not very good at, hey, you got to get A's on
[00:27:02.180 --> 00:27:06.340]   everything and do a hundred activities. But there's one thing that I'm super, super clear on with my
[00:27:06.340 --> 00:27:12.720]   kids, reading, right? I've made them all readers. It's hard work, but I was like, that is, that's it.
[00:27:12.720 --> 00:27:17.100]   That's like being in good shape. If you live in ancient Sparta, everything else will be okay.
[00:27:17.100 --> 00:27:22.220]   You'll figure it out, but you better be a reader. Writing helps as well. So I think about reading
[00:27:22.220 --> 00:27:27.200]   establishes the circuits. It changes your brain. Writing is how you practice applying that new
[00:27:27.200 --> 00:27:32.560]   brain. So reading gives you a more sophisticated brain. Writing is how you practice putting that
[00:27:32.560 --> 00:27:37.620]   brain to work. It forces you to have to try to take thoughts and organize them in a way that then you
[00:27:37.620 --> 00:27:43.860]   assess to be logical. So writing gets you good at using what you develop through the readings. You
[00:27:43.860 --> 00:27:50.360]   kind of need both. If you write a lot, but don't read a lot, you're working with a lot less resources.
[00:27:51.360 --> 00:27:56.560]   So what you can produce is reduced. If you read a lot and don't write a lot, you might have built this
[00:27:56.560 --> 00:28:00.380]   really sophisticated brain, but when it comes time to think critically or use it, or I'm going to come
[00:28:00.380 --> 00:28:04.220]   make an argument or try to come up with a strategy, you're like, oh, I'm struggling to actually harness
[00:28:04.220 --> 00:28:10.860]   this thing and pull together my thoughts into something that is reasonable and coherent. Now, there's some
[00:28:10.860 --> 00:28:16.120]   specific types of training you can do as well. I've been working on these for my new book, some of these.
[00:28:16.940 --> 00:28:22.440]   Rhetoric helps. Like, hey, young man, you're talking about you mentor young men. I want you
[00:28:22.440 --> 00:28:29.560]   to like make a case for this. Gather information, put it into a coherent argument that doesn't have
[00:28:29.560 --> 00:28:36.600]   holes, make your case, react to counter arguments, like just practice making an argument. That's very
[00:28:36.600 --> 00:28:41.640]   helpful. Dialectical reading is very helpful as well. It's a fancy name for a simple idea, which is
[00:28:41.640 --> 00:28:46.400]   I'm going to take a topic that I care about that there's debate about. I'm going to read a really
[00:28:46.400 --> 00:28:49.960]   good book that's making a case for one side of this topic, and then I'm going to read another really
[00:28:49.960 --> 00:28:54.700]   good book that's making a case on the other side. Good case, good case. I'm not interested in this
[00:28:54.700 --> 00:28:59.240]   tribal thing of like, what do we believe? That's all I want to hear about, and anyone on the other side
[00:28:59.240 --> 00:29:06.100]   obviously has a brain virus and is probably like a week away from being a zombie and, you know, 28 days
[00:29:06.100 --> 00:29:10.480]   later. No, I want to hear arguments that are really good on both sides. Why? Because when good
[00:29:10.480 --> 00:29:15.700]   arguments clash, this was Socrates' idea, the root that grows down, it's a taproot of understanding.
[00:29:15.700 --> 00:29:20.360]   You become a much smarter understanding of what's going on. It's not going to trick you out of your
[00:29:20.360 --> 00:29:24.920]   beliefs. It's going to make you a much more sophisticated thinker. Dialectical reading
[00:29:24.920 --> 00:29:29.640]   matters, and then primary, secondary source reading. This is a good way to increase the sophistication of
[00:29:29.640 --> 00:29:35.160]   what you're reading. Really sophisticated books can be hard to jump into. If I just say like, here is
[00:29:35.160 --> 00:29:38.700]   some Heidegger, go to town, you're going to read it for a while and be like, I have no idea what those
[00:29:38.700 --> 00:29:43.040]   words meant. But if you read some secondary sources about Heidegger, who was he? What was
[00:29:43.040 --> 00:29:47.580]   his ideas? What's he arguing in this book? This language is weird. It's different. It's kind of
[00:29:47.580 --> 00:29:51.880]   mythological. Like, what's going on here? Oh, I see what he's doing here. Now I'm going to read Heidegger.
[00:29:51.880 --> 00:29:56.300]   Suddenly you have, it's like you couldn't really see the words, and you put reading glasses on.
[00:29:56.300 --> 00:30:00.340]   So it's a way to upgrade the level of challenge that you're able to handle,
[00:30:00.580 --> 00:30:05.300]   and that's going to upgrade again those deep reading circuits and upgrade your brain from
[00:30:05.300 --> 00:30:11.540]   pragmatic to symbolic. So Craig, I like what you're working on. And reading, writing, that's the key.
[00:30:11.540 --> 00:30:15.420]   And then all these other things are just little glosses on types of reading or types of writing
[00:30:15.420 --> 00:30:21.060]   that you can do. But reading, writing, that is it in our modern world. The getting a brain that's going
[00:30:21.060 --> 00:30:29.040]   to help you thrive. All right. Who we got? Next up is David. I have four kids in K-12. These are my
[00:30:29.040 --> 00:30:34.820]   options for my job. Stay in my current role, which offers stability. Take an internal promotion with a
[00:30:34.820 --> 00:30:41.000]   dysfunctional team and toxic leadership or leave for a high-paced consulting firm. What should I do?
[00:30:41.000 --> 00:30:44.300]   I don't know, Jesse. Did you get a sense that he has an answer that he thinks is right here?
[00:30:45.100 --> 00:30:49.640]   It's probably not. I should probably go to the dysfunctional team that has toxic leadership
[00:30:49.640 --> 00:30:54.920]   or let me go to the high-paced consulting firm. I think it's pretty clear. I think he knows what
[00:30:54.920 --> 00:31:00.640]   he wants to do. Current role stability. Like a push-pull. He described the other things so
[00:31:00.640 --> 00:31:05.340]   negatively. So I think you know what you want to do, David. That's fine. But let's go through like
[00:31:05.340 --> 00:31:10.000]   the bigger exercise of like, how do you make these type of decisions in general? Lifestyle-centric
[00:31:10.000 --> 00:31:15.380]   planning. You have your vision of your ideal lifestyle and you assess each of these options
[00:31:15.380 --> 00:31:22.520]   through that vision. So probably the dysfunction and toxicity of that second option, you're like,
[00:31:22.520 --> 00:31:27.100]   wow, that lifestyle is not very good. That doesn't really seem close to like my vision, like what my
[00:31:27.100 --> 00:31:32.020]   day is like, what my work is like. The high-paced consulting firm, like this is where lifestyle-centric
[00:31:32.020 --> 00:31:36.660]   planning might be a little bit more effective because it's tempting to jump to that just because it
[00:31:36.660 --> 00:31:41.880]   might be more prestigious and more money. Doesn't really matter. Like day-to-day, unless you're
[00:31:41.880 --> 00:31:49.020]   Scrooge McDuck, you're not like actually interacting with your money and there's not someone walking in
[00:31:49.020 --> 00:31:54.800]   front of you heralding the competitiveness of the job you have. What matters day-to-day for your overall
[00:31:54.800 --> 00:32:00.200]   satisfaction is the details of your lifestyle. What is my everyday like? And if you have this vision of
[00:32:00.200 --> 00:32:05.080]   this lifestyle where, you know, you're spending like a lot of time with your kids and like the family
[00:32:05.080 --> 00:32:11.640]   and you're like really into like athletic things and you're hiking trails in the land behind your
[00:32:11.640 --> 00:32:17.480]   house and you're spending 30 hours a week on Halloween decorations, you have this big vision
[00:32:17.480 --> 00:32:22.060]   of, you know, you're sitting at the picnic table with the extended family with the cafe lights hanging
[00:32:22.060 --> 00:32:27.720]   from the trees as the sun goes down. And then you say, okay, working an 80-hour-a-week job, is that
[00:32:27.720 --> 00:32:30.840]   going to be closer or farther? Like, oh man, that steps on so many parts of that vision.
[00:32:31.840 --> 00:32:36.320]   So, uh, no, I'm not going to do that. But maybe this is not the situation. You're in a situation,
[00:32:36.320 --> 00:32:40.860]   like if you're somebody who didn't have a bunch of kids and you like want to be in the mix and you
[00:32:40.860 --> 00:32:45.100]   want to travel, you're like, I want to kind of like move around like the country and see things
[00:32:45.100 --> 00:32:51.120]   and have like a really cool apartment. And like, then high-paced consult, you're like, that's going
[00:32:51.120 --> 00:32:54.380]   to move me closer to these visions. Like I can't afford that on what I'm doing. That's going to get
[00:32:54.380 --> 00:32:57.960]   me closer. And I kind of like the lifestyle that leads to. So lifestyle-centric planning is how you make
[00:32:57.960 --> 00:33:01.300]   these decisions. In your case, David, I think you've already made up your mind. That's fine.
[00:33:01.300 --> 00:33:06.560]   That's good. If that matches your lifestyle, just sounds like it does. And probably four kids make
[00:33:06.560 --> 00:33:10.880]   sense to me. Stable, not super high-paced, not dysfunctional, not stressful. I think it's a
[00:33:10.880 --> 00:33:15.760]   perfectly valid reason to stay with something because your lifestyle is ultimately what determines
[00:33:15.760 --> 00:33:22.140]   your day-to-day happiness, not these more abstract properties, like exactly what my salary is or how
[00:33:22.140 --> 00:33:25.900]   competitive my job was. People just don't care. All right, who we got?
[00:33:25.900 --> 00:33:31.940]   Next up is Omay. I've worked in a high-pressure call center for 11 years where I'm glued to the
[00:33:31.940 --> 00:33:37.780]   screen all day. I lack the traditional credentials, but want to switch fields to cybersecurity. Is it
[00:33:37.780 --> 00:33:38.920]   possible to make the switch?
[00:33:38.920 --> 00:33:45.320]   Well, I don't know because I'm not in the cybersecurity field, but you should know by talking to someone in
[00:33:45.320 --> 00:33:51.320]   that field. Evidence, evidence, evidence. That's what matters. Talk to real people in that field, real
[00:33:51.320 --> 00:33:59.960]   talk, not hypothetical, not wishful thinking. What is needed to switch to these type of jobs, like this
[00:33:59.960 --> 00:34:05.060]   specific job here that you just hired for? What would something like me have to do to get that job? You ask
[00:34:05.060 --> 00:34:09.480]   that real question and get the real answer, and you might like the answer. It might be like, oh, like we have
[00:34:09.480 --> 00:34:13.880]   training on site, and this is what we're looking for, and like you could probably fit, or it could be like
[00:34:13.880 --> 00:34:20.520]   we're looking for at least two years of postdoctoral work on this, and like an H index of 30. And you're
[00:34:20.520 --> 00:34:23.900]   like, oh, that's never going to happen, so it's off the table. You might not like the answer, you might
[00:34:23.900 --> 00:34:28.700]   love the answer, but get the answer. The worst thing to do in this situation is to say, I don't want to
[00:34:28.700 --> 00:34:33.540]   confront the reality of what's required to make this switch I'm thinking about. I just want to go do
[00:34:33.540 --> 00:34:39.460]   something because the thing sounds interesting, and I want to harvest, like we talked about before,
[00:34:39.880 --> 00:34:45.760]   harvest the temporary contact high of change. And in this case, there's a lot of things out there that
[00:34:45.760 --> 00:34:50.520]   people will offer you like, oh, come do this. This might help you. You don't know if it matters at
[00:34:50.520 --> 00:34:55.980]   all. They're just going to kind of like throw it out to you. Like you might end up dropping 20k on some
[00:34:55.980 --> 00:35:02.380]   online-only cybersecurity master's program, which is like essentially like a three-card Monte game that has a
[00:35:02.380 --> 00:35:08.880]   lot more Zoom. Just taking your money. Thank you for your money. Don't just go do something. Just get
[00:35:08.880 --> 00:35:13.280]   the evidence. Talk to people in the field. Here are specific jobs you've hired for in the past. Look,
[00:35:13.280 --> 00:35:18.560]   I'm not trying to get a job from you now. I'm trying to learn. What would you look for in that job? What
[00:35:18.560 --> 00:35:23.860]   would I need to do to pass that, if anything? And just get the real answer. Confront that professional
[00:35:23.860 --> 00:35:29.080]   dragon, and then you work from there. That's how I became a book writer. Talked to an agent, said,
[00:35:29.300 --> 00:35:34.720]   I want to publish a book. I'm 21 years old. I was 20 when I talked to her. What would really be
[00:35:34.720 --> 00:35:38.540]   necessary for me to do this? And she gave me the real answer. She's like, yeah, like there's almost
[00:35:38.540 --> 00:35:43.740]   no way you can do this at your age. There is like this path or that path, or like the only two ways
[00:35:43.740 --> 00:35:47.340]   you could probably do this. And I looked at one of those two paths, like, great. Okay, now I know I'll
[00:35:47.340 --> 00:35:50.940]   do that. And I executed it. And that's why I got my foot in the door of publishing. So you confront the
[00:35:50.940 --> 00:35:56.620]   reality of a situation when it comes to career moves. Don't tell yourself a story and don't just start
[00:35:56.620 --> 00:36:02.140]   doing stuff that generally so much of like grad school is based off of like, I don't want to
[00:36:02.140 --> 00:36:07.480]   actually figure out what's needed for this job. This sounds like a thing that people do. Let me go
[00:36:07.480 --> 00:36:12.780]   do that. And what happens is like professors like me, just like, great, I'll just take that money.
[00:36:12.780 --> 00:36:20.960]   And I don't know, buy fur coats. But mainly, mainly what happens with low value master's programs is
[00:36:20.960 --> 00:36:25.740]   it's professors buying fur coats. I don't know if that's well known. But that's actually what happens.
[00:36:25.740 --> 00:36:32.740]   All right, we got one more. We got one more from Megan. I got laid off after a 15 year career. I'm
[00:36:32.740 --> 00:36:37.240]   now barred from entering this particular woodshed. I had a sense this was coming. Should I have left
[00:36:37.240 --> 00:36:42.120]   this job earlier? Or do you think I it was an acceptable and kind of like an athlete's career
[00:36:42.120 --> 00:36:46.820]   ending due to injury? I mean, Megan, I don't know. I don't know. And I don't know that it really
[00:36:46.820 --> 00:36:55.240]   matters. I mean, I want to validate that. I think this was rightly so emotionally taxing.
[00:36:55.240 --> 00:37:01.140]   Like you were laid off, you're barred. It sounds like it was not a happy ending.
[00:37:01.140 --> 00:37:08.140]   This sucks. Like it's going to feel really bad and it's okay to feel bad about it. You're going to feel
[00:37:08.140 --> 00:37:12.680]   literal chemicals when you think about it that are very negative. But I don't know that we need to
[00:37:12.680 --> 00:37:17.900]   ruminate on it. I don't think it's helpful to go back and, you know, Sunday morning quarterback
[00:37:17.900 --> 00:37:22.520]   or Monday morning quarterback. When is football played? September 6th, baby. But what's the
[00:37:22.520 --> 00:37:26.520]   expression? It must be Monday. Tonight is the Hall of Fame game. Okay. Preseason though. But what's
[00:37:26.520 --> 00:37:31.720]   the saying? It must be Monday morning quarterbacking because, yeah, football used to be played primarily
[00:37:31.720 --> 00:37:37.200]   on Sundays. But now it's played on basically every day, right? Yeah. Okay. Yeah, pretty much.
[00:37:37.200 --> 00:37:41.480]   Thursday morning, Wednesday morning quarterbacking. There's still football played on Wednesday. Or is
[00:37:41.480 --> 00:37:45.440]   Wednesday games? Well, it depends on when Christmas is now. I think we need to spend the next 25 minutes
[00:37:45.440 --> 00:37:50.100]   getting into this. Because I think last year Christmas was on a Wednesday. To ESPN.com.
[00:37:50.100 --> 00:37:53.860]   All right. So what I'm saying here is like, let's not ruminate on it. Let's look forward.
[00:37:53.860 --> 00:37:59.300]   Let's accept it sucks. Let's accept you feel bad. But let's take our actual like rational,
[00:37:59.300 --> 00:38:05.040]   internalized voice and aim it at what comes next. And let's use some lifestyle centric planning.
[00:38:06.400 --> 00:38:12.540]   Let's use some career capital. You know, first thing first is like, need a job. We need money.
[00:38:12.540 --> 00:38:15.820]   Like, let's make sure that we're not like in financial trouble. And then let's step back and
[00:38:15.820 --> 00:38:19.920]   do some lifestyle centric planning. Here's the silver lining. There's a big change. What can you do in
[00:38:19.920 --> 00:38:25.380]   changes? You can lean into it and change other things in a way that's good. Okay. There's a big
[00:38:25.380 --> 00:38:28.660]   change situation. But hey, maybe this means I'm going to move somewhere else or take a different type of
[00:38:28.660 --> 00:38:34.980]   career. I got to move to, you know, a really low cat, a teeny house that I own, you know,
[00:38:34.980 --> 00:38:38.640]   in like the Oregon coast and like do this job remote that I already know about. It's not much money,
[00:38:38.640 --> 00:38:42.820]   but I won't need much money. And then I'm going to work on this and I'm going to be near my, my uncle.
[00:38:42.820 --> 00:38:48.180]   And it's going to be whatever. Like you're so many things you maybe wouldn't have done when you're in
[00:38:48.180 --> 00:38:52.260]   this other job, which sounds like if you knew it was coming, it was probably not a happy situation.
[00:38:52.260 --> 00:38:56.360]   So let's not ruminate on what happened. Let's get excited about what could happen.
[00:38:56.820 --> 00:39:01.020]   And that's lifestyle-centric planning and making evidence-based moves to get you closer to that
[00:39:01.020 --> 00:39:06.160]   lifestyle. I think you could end up being way better off. I'm talking like three years down the
[00:39:06.160 --> 00:39:09.680]   line, you're like, man, that was a really good thing to happen to me because like, look at my,
[00:39:09.680 --> 00:39:13.640]   my situation now. I don't know if I sold the best vision there though, Jesse, living in a teeny house
[00:39:13.640 --> 00:39:20.520]   next to your uncle. That's like both hyper-specific and like not very compelling. But what if I told you
[00:39:20.520 --> 00:39:25.640]   your uncle was a wizard? See, then that would be much more cool. And he was going to teach you the
[00:39:25.640 --> 00:39:30.820]   ways of magic. One of my uncles kind of lives in a teeny house. Yeah. Pretty cool.
[00:39:30.820 --> 00:39:35.000]   It's like, uh, because you could probably one of those like prefab houses. It's not teeny, but it's
[00:39:35.000 --> 00:39:40.120]   pretty small. You remember that movement? It was like a four-year period in the 2000s. I don't know if
[00:39:40.120 --> 00:39:44.840]   you were in on these blogs, but I was definitely in that world where building and buying a teeny
[00:39:44.840 --> 00:39:52.300]   house was like a big deal. Remember that? Because it was, it was, uh, roughly $15,000. Like what it would
[00:39:52.300 --> 00:39:56.040]   roughly cost to get the materials. You would build it on a trailer. And like, the idea was, it was like
[00:39:56.040 --> 00:40:01.900]   a lot of millennials who were like coming through their twenties and it was a hard job market because
[00:40:01.900 --> 00:40:09.840]   of the, the financial crisis. And the idea was like, oh, I could just own this. Like no, uh, no mortgage,
[00:40:09.840 --> 00:40:14.280]   you know, no like expensive apartment. I could just like own my house. 50, I could raise $15,000.
[00:40:14.280 --> 00:40:17.860]   It's like I could save. And, uh, and so that became popular for a while. So you have your teeny
[00:40:17.860 --> 00:40:22.760]   house. The problem was when you live in a teeny house, you're also always like three feet from
[00:40:22.760 --> 00:40:28.380]   a toilet. And I think that's what probably killed the romance of it is like, you would get in there
[00:40:28.380 --> 00:40:34.120]   with your like boyfriend or whatever and be like, we have embarked on this mystical, beautiful journey
[00:40:34.120 --> 00:40:40.160]   of minimalism. Uh, and then your boyfriend is like, yeah, hold on a second. Uh, my, my lunch isn't
[00:40:40.160 --> 00:40:45.840]   agreeing with me, walks two feet away from you and shuts that little curtain. The magic goes away at
[00:40:45.840 --> 00:40:54.940]   that point. The magic, that's where it's no longer like, uh, you're in like a, the hut and outlander
[00:40:54.940 --> 00:40:59.160]   and it's looking over the moors. It, it becomes real. So I think that's why the mini house idea,
[00:40:59.160 --> 00:41:03.320]   the teeny house idea kind of petered out. Also like teeny houses exist that work really well.
[00:41:03.320 --> 00:41:06.540]   They're called apartments. All right. Do we got a call? We do. All right. Let's hear this.
[00:41:08.100 --> 00:41:16.040]   Hi Cal. My name is Amy. I am a tenure track professor of dance at a junior college, um,
[00:41:16.040 --> 00:41:22.200]   long time listener and reader. One of my questions was featured in the podcast several years ago
[00:41:22.200 --> 00:41:28.020]   when I was still in grad school. Uh, thank you for your advice then. And I'm hoping you could help me
[00:41:28.020 --> 00:41:36.900]   now, um, my real job. Um, I always find it very hard to return back to work after these long summer
[00:41:36.900 --> 00:41:42.080]   breaks. As you, as you say, it's really nice as a professor to have this flexibility in our jobs,
[00:41:42.080 --> 00:41:50.020]   but it also means that transitioning back into work is very difficult for me mentally, physically, uh,
[00:41:50.960 --> 00:41:59.420]   and emotionally. My question is how can I make this ease back to work, um, feel more comfortable?
[00:41:59.420 --> 00:42:06.680]   How can I schedule my time or my tasks leading up into this gradual, um, entrance back into work?
[00:42:06.900 --> 00:42:13.940]   I want to take advantage of my summers and my winters, but at the same time, I don't want to be
[00:42:13.940 --> 00:42:18.280]   blindsided by all the work at once. Thank you as always.
[00:42:18.280 --> 00:42:23.840]   It's a common problem. It's not a bad problem to have because it means you have slower seasons,
[00:42:23.840 --> 00:42:29.480]   but you're right. It can be pretty brutal. I was super stressed coming back
[00:42:29.480 --> 00:42:36.980]   from new England. Like that Sunday we got back after almost a month. And my wife was like,
[00:42:36.980 --> 00:42:40.920]   this is like a hyper powered version of the Sunday night syndrome, you know, where you get a little
[00:42:40.920 --> 00:42:43.700]   anxious, like Sunday night, like, Oh, I have to deal with work again. Well, you have like three
[00:42:43.700 --> 00:42:47.840]   weeks worth of work. It like gets much worse. So there are ways to deal with it. Like professors
[00:42:47.840 --> 00:42:52.400]   often think about slow September's like, is it possible? I'm going to try to ease myself back into my
[00:42:52.400 --> 00:42:56.400]   work. So what does that mean? Well, there's things I have to do like my classes. So I'm going to start
[00:42:56.400 --> 00:43:01.180]   prepping those classes slow and steady in August so that when I get to September, it's not,
[00:43:01.180 --> 00:43:05.300]   Oh my God, I don't have a course website. I don't have a syllabus. I don't know where my classroom is.
[00:43:05.300 --> 00:43:11.100]   I haven't prepped anything. Right. So when you get to the beginning of the semester, you're already
[00:43:11.100 --> 00:43:20.060]   up at full speed. I usually like to have three weeks worth of, uh, classes ready and prepped and up
[00:43:20.060 --> 00:43:24.660]   on the course website about a week out from the beginning of classes. So like you get rid of that
[00:43:24.660 --> 00:43:28.620]   scramble. And then other things you're like, I'm just going to take September slow. Like if you're
[00:43:28.620 --> 00:43:33.940]   doing research, like, okay, that's like an October issue. I'm going to get things ramped up again.
[00:43:33.940 --> 00:43:38.520]   I'm not going to have a bunch of research meetings right away. Um, I'm going to be hesitant to jump
[00:43:38.520 --> 00:43:43.480]   on committees or do initiatives right away that are optional. Like let's let, let's get, you know,
[00:43:43.480 --> 00:43:47.760]   our legs stretched out. And so you could do it that way. Just be a little bit thoughtful. Let me start
[00:43:47.760 --> 00:43:51.660]   early on the stuff that has to happen and the stuff that's optional. I'm going to start
[00:43:51.660 --> 00:43:56.580]   slowly turning that knob up over the first month or so. So I don't get too stressed out,
[00:43:56.580 --> 00:44:01.640]   have good plans, weekly plan those first few weeks, make sure that you're doing time block
[00:44:01.640 --> 00:44:04.820]   planning each day, because otherwise you'll be like, there's endless stuff. And I want to just
[00:44:04.820 --> 00:44:10.360]   work till midnight. Make sure that you still inject elements that you liked about the summer into your
[00:44:10.360 --> 00:44:15.960]   life. As you switch back to September, uh, like make your first Friday, a half day of the first full
[00:44:15.960 --> 00:44:20.080]   week of the semester. And then like that afternoon, go do one of the things you really love doing during
[00:44:20.080 --> 00:44:23.300]   the summer to kind of signal to yourself. It's not a hard break. I can still kind of do this type
[00:44:23.300 --> 00:44:27.340]   of things in my life. I'm going for a hike on that first Friday afternoon. So slow September,
[00:44:27.340 --> 00:44:32.140]   it gets started ahead of time. Makes a difference. I mean, you know, I'm not super looking forward to
[00:44:32.140 --> 00:44:36.780]   that transition either, but I don't like super stressed. So I've been working on that quite a bit.
[00:44:36.780 --> 00:44:42.180]   All right. Not only do we have a case study today, but I think Jesse, we need some case study music.
[00:44:42.180 --> 00:45:00.380]   All right. Today's case study is from ALOC. He says, recently I retired from academia. Congratulations.
[00:45:00.380 --> 00:45:07.520]   After a successful 38 year career. While many of the ideas you present are applicable to professional
[00:45:07.520 --> 00:45:13.660]   life, I've come to realize they are equally relevant to my personal life as well. Your work has indeed
[00:45:13.660 --> 00:45:18.240]   changed my perspective. And I'm looking forward to your new book, the deep life during the past three
[00:45:18.240 --> 00:45:24.420]   months, June, July, and August. I have designated this time as my think summer, a period to reflect
[00:45:24.420 --> 00:45:29.500]   on the next phase of my life, which I envision over the next 10 years as a curious individual with a
[00:45:29.500 --> 00:45:33.740]   penchant for building things such as research centers, curricula, field projects, and knowledge
[00:45:33.740 --> 00:45:41.460]   platforms. I felt compelled to create a Zen garden in my backyard to satisfy my creative impulses.
[00:45:41.460 --> 00:45:46.300]   This has become a sanctuary for my hands-on projects and a space for contemplation.
[00:45:46.300 --> 00:45:51.760]   After hearing your Disneyland story about the train in the backyard representing engineered awe,
[00:45:51.760 --> 00:45:58.320]   I realized that I am engaging in a similar act, a creative awe project. Inspired by your story,
[00:45:58.460 --> 00:46:04.840]   I am now even more excited to add something new to my garden, a Zen metal sculpture. I even chatted with
[00:46:04.840 --> 00:46:10.260]   my walking partner, whose garage resembles a small hardware store, about welding or soldering to create
[00:46:10.260 --> 00:46:16.140]   some metal art for the garden. I remain intellectually engaged in reading, writing, and exploring new areas.
[00:46:16.140 --> 00:46:20.860]   And this engineering of awe sounds like a wonderful way to kill two birds with one stone,
[00:46:20.860 --> 00:46:24.500]   pursuing a hobby while combating the digital doldrums.
[00:46:24.500 --> 00:46:29.800]   Well, I love this case study. Engineered awe goes, or engineered wonder, however you want to say it,
[00:46:29.800 --> 00:46:34.040]   goes a long way towards meaning in life. And this is a great time to get into it.
[00:46:34.040 --> 00:46:38.800]   I think I have a suggestion for you if you want to know what type of sculpture to do.
[00:46:38.800 --> 00:46:44.100]   I think there's sort of a no-brainer here. Jesse, you can back me up on this. But I think
[00:46:44.100 --> 00:46:48.720]   what you want to try to sculpt out of metal is something that's like really clearly representing
[00:46:48.720 --> 00:46:58.400]   me doing an awesome karate kid jump kit right into the head of Mark Zuckerberg. I think that would be
[00:46:58.400 --> 00:47:04.560]   a really cool piece of sculpture. And people would definitely think you're well-adjusted and that it
[00:47:04.560 --> 00:47:08.840]   made a lot of sense. We're definitely going to get emails about AI generations of that image.
[00:47:08.840 --> 00:47:12.940]   Someone sent me an AI-generated image. Did I mention Jason Priestley on the podcast?
[00:47:12.940 --> 00:47:13.920]   Yeah, I got that as well.
[00:47:13.920 --> 00:47:21.820]   Okay. So I mentioned on the podcast Jason Priestley from Beverly Hills 90210. And someone is like,
[00:47:21.820 --> 00:47:28.520]   hey, Jason Priestley's a fan. I sent an AI-generated picture of Jason Priestley reading
[00:47:28.520 --> 00:47:34.020]   digital minimalism. The reason why we know AI is not going to take over the world, because I think
[00:47:34.020 --> 00:47:41.860]   this is egregious AI, it was clearly Jason Priestley's face, but he was clearly wearing the outfit that
