
[00:00:00.880 --> 00:00:01.720]   - Hey, everyone.
[00:15:19.860 --> 00:15:21.220]   going into language,
[00:15:21.220 --> 00:15:24.220]   but not a lot of effort going into graphics.
[00:15:24.220 --> 00:15:26.300]   And then maybe the very last thing was,
[00:15:26.300 --> 00:15:29.020]   I think I was talking to Aditya Ramesh,
[00:15:29.020 --> 00:15:32.780]   who is the co-creator of Dolly 2 and Sam.
[00:15:32.780 --> 00:15:34.180]   And I just kind of went to these guys
[00:15:34.180 --> 00:15:35.860]   and I was just like, hey,
[00:15:35.860 --> 00:15:38.660]   are you gonna make like a UI for this thing?
[00:15:38.660 --> 00:15:40.780]   Like a true UI, are you gonna go for this?
[00:15:40.780 --> 00:15:42.020]   Are you gonna make a product?
[00:15:42.020 --> 00:15:43.100]   - For Dolly, yeah.
[00:15:43.100 --> 00:15:44.700]   - For Dolly, yeah.
[00:15:44.700 --> 00:15:46.420]   Are you gonna do anything here?
[00:15:46.420 --> 00:15:47.940]   'Cause if you're not gonna do it,
[00:15:47.940 --> 00:15:49.100]   if you are gonna do it, just let me know
[00:15:49.100 --> 00:15:51.500]   and I will stop and I'll go do something else.
[00:15:51.500 --> 00:15:54.460]   But if you're not gonna do anything, I'll just do it.
[00:15:54.460 --> 00:15:55.780]   And so we had a couple of conversations
[00:15:55.780 --> 00:15:58.020]   around what that would look like.
[00:15:58.020 --> 00:15:59.620]   And then I think ultimately they decided
[00:15:59.620 --> 00:16:03.220]   that they were gonna focus on language primarily.
[00:16:03.220 --> 00:16:05.780]   And yeah, I just felt like
[00:16:05.780 --> 00:16:07.860]   it was gonna be very underinvested in.
[00:16:07.860 --> 00:16:11.260]   - Yes, there's that sort of underinvestment
[00:16:11.260 --> 00:16:14.420]   from OpenAI, which I can see that.
[00:16:14.420 --> 00:16:18.100]   But also it's a different type of customer
[00:16:18.100 --> 00:16:19.380]   than you're used to.
[00:16:19.380 --> 00:16:22.100]   Presumably, and Mixpanel are very good
[00:16:22.100 --> 00:16:24.620]   at selling to B2B developers.
[00:16:24.620 --> 00:16:26.180]   With Fairground, you're not.
[00:16:26.180 --> 00:16:27.020]   - Yeah.
[00:16:27.020 --> 00:16:28.540]   - Was that not a concern?
[00:16:28.540 --> 00:16:32.620]   - Well, not so much, because I think that right now
[00:16:32.620 --> 00:16:34.740]   I would say graphics is in this very nascent phase.
[00:16:34.740 --> 00:16:37.500]   Like most of the customers are just like hobbyists, right?
[00:16:37.500 --> 00:16:40.140]   Like it's a little bit of like a novel toy
[00:16:40.140 --> 00:16:42.980]   as opposed to being this like very high utility thing.
[00:16:42.980 --> 00:16:45.220]   But I think ultimately if you believe
[00:16:45.220 --> 00:16:47.260]   that you could make it very high utility,
[00:16:47.260 --> 00:16:50.460]   then probably the next customers will end up being B2B.
[00:16:50.460 --> 00:16:52.180]   It'll probably not be like consumer.
[00:16:52.180 --> 00:16:53.860]   Like there will certainly be a variation
[00:16:53.860 --> 00:16:55.500]   of this idea that's in consumer.
[00:16:55.500 --> 00:17:00.220]   If your quest is to kind of make like a super,
[00:17:00.220 --> 00:17:03.660]   something that surpasses human ability for graphics,
[00:17:03.660 --> 00:17:06.540]   like ultimately it will end up being used for business.
[00:17:06.540 --> 00:17:08.540]   So I think it's maybe more of a progression.
[00:17:08.540 --> 00:17:09.980]   In fact, for me, it's maybe more like
[00:17:09.980 --> 00:17:11.940]   Mixpanel started out as SMB,
[00:17:11.940 --> 00:17:13.340]   and then very much like ended up
[00:17:13.340 --> 00:17:14.940]   starting to grow up towards enterprise.
[00:17:14.940 --> 00:17:16.420]   So for me, it's a little,
[00:17:16.420 --> 00:17:18.340]   I think it will be a very similar progression.
[00:17:18.340 --> 00:17:19.540]   - Yeah, yeah.
[00:17:19.540 --> 00:17:21.340]   - But yeah, I mean, the reason why I was excited about it
[00:17:21.340 --> 00:17:22.860]   is 'cause it was a creative tool.
[00:17:22.860 --> 00:17:26.100]   I make music and it's AI.
[00:17:26.100 --> 00:17:28.100]   It's like something that I know I could stay up
[00:17:28.100 --> 00:17:30.400]   till three o'clock in the morning doing.
[00:17:30.400 --> 00:17:33.140]   Those are kind of like very simple bars for me.
[00:17:33.140 --> 00:17:33.980]   - Yeah. - Yeah.
[00:17:33.980 --> 00:17:35.900]   It's good decision criteria.
[00:17:35.900 --> 00:17:38.780]   - So you mentioned DALI, Stable Diffusion.
[00:17:38.780 --> 00:17:42.020]   You just had Playground V2 come out two days ago?
[00:17:42.020 --> 00:17:42.920]   - Yeah, two days ago, yeah.
[00:17:42.920 --> 00:17:43.760]   - Two days ago.
[00:17:43.760 --> 00:17:46.580]   So this is a model you train completely from scratch.
[00:17:46.580 --> 00:17:49.480]   So it's not a cheap fine tune on something.
[00:17:49.480 --> 00:17:52.740]   You open source everything, including the weights.
[00:17:52.740 --> 00:17:54.200]   Why did you decide to do it?
[00:17:54.200 --> 00:17:56.560]   I know you supported Stable Diffusion XL
[00:17:56.560 --> 00:17:58.220]   in Playground before, right?
[00:17:58.220 --> 00:17:59.380]   - Yep.
[00:17:59.380 --> 00:18:02.020]   - Yeah, what made you want to come up with V2
[00:18:02.020 --> 00:18:04.320]   and maybe some of the interesting,
[00:18:04.320 --> 00:18:06.180]   technical research work you've done?
[00:18:06.180 --> 00:18:12.100]   - Yeah, so I think that we continue to feel like graphics
[00:18:12.100 --> 00:18:16.900]   and these foundation models for anything really related
[00:18:16.900 --> 00:18:18.980]   to pixels, but also definitely images,
[00:18:18.980 --> 00:18:21.060]   continues to be very under-invested.
[00:18:21.060 --> 00:18:24.460]   It feels a little like graphics is in this GPT-2 moment,
[00:18:24.460 --> 00:18:27.140]   right, like even GPT-3.
[00:18:27.140 --> 00:18:29.320]   Even when GPT-3 came out, it was exciting.
[00:18:29.320 --> 00:18:30.980]   But it was like, what are you gonna use this for?
[00:18:30.980 --> 00:18:33.060]   You know, yeah, we'll do some text classification
[00:18:33.060 --> 00:18:34.740]   and some semantic analysis,
[00:18:34.740 --> 00:18:37.460]   and maybe it'll sometimes make a summary of something
[00:18:37.460 --> 00:18:38.500]   and it'll hallucinate.
[00:18:38.500 --> 00:18:41.120]   But no one really had a very significant
[00:18:41.120 --> 00:18:42.960]   business application for GPT-3.
[00:18:42.960 --> 00:18:46.500]   And in images, we're kind of stuck in the same place.
[00:18:46.500 --> 00:18:49.080]   We're kind of like, okay, I write this thing in a box
[00:18:49.080 --> 00:18:50.860]   and I get some cool piece of artwork
[00:18:50.860 --> 00:18:52.180]   and the hands are kind of messed up
[00:18:52.180 --> 00:18:54.500]   and sometimes the eyes are a little weird.
[00:18:54.500 --> 00:18:58.280]   Maybe I'll use it for a blog post, that kind of thing.
[00:18:58.280 --> 00:18:59.840]   The utility feels so limited.
[00:18:59.840 --> 00:19:02.320]   And so, you know, and then you sort of look
[00:19:02.320 --> 00:19:04.740]   at stable diffusion and we definitely use that model
[00:19:04.740 --> 00:19:07.260]   in our product and our users like it and use it
[00:19:07.260 --> 00:19:08.540]   and love it and enjoy it.
[00:19:08.540 --> 00:19:12.420]   But it hasn't gone nearly far enough.
[00:19:12.420 --> 00:19:14.500]   So we were kind of faced with the choice of, you know,
[00:19:14.500 --> 00:19:16.100]   do we wait for progress to occur
[00:19:16.100 --> 00:19:18.340]   or do we make that progress happen?
[00:19:18.340 --> 00:19:21.180]   So, yeah, we kind of embarked on a plan
[00:19:21.180 --> 00:19:24.380]   to just decide to go train these things from scratch.
[00:19:24.380 --> 00:19:27.020]   And I think the community has given us so much.
[00:19:27.020 --> 00:19:28.740]   The community for stable diffusion, I think,
[00:19:28.740 --> 00:19:31.900]   is one of the most vibrant communities on the internet.
[00:19:31.900 --> 00:19:33.360]   It's like amazing.
[00:19:33.360 --> 00:19:36.680]   It feels like, I hope this is what Homebrew Club felt like
[00:19:36.680 --> 00:19:39.220]   when computers showed up because it's like amazing
[00:19:39.220 --> 00:19:40.460]   what that community will do.
[00:19:40.460 --> 00:19:42.060]   And it moves so fast.
[00:19:42.060 --> 00:19:44.540]   I've never seen anything in my life where so far,
[00:19:44.540 --> 00:19:46.540]   and heard other people's stories around this,
[00:19:46.540 --> 00:19:50.200]   where a research, an academic research paper comes out
[00:19:50.200 --> 00:19:53.660]   and then like two days later, someone has sample code for it
[00:19:53.660 --> 00:19:55.180]   and then two days later, there's a model
[00:19:55.180 --> 00:19:57.780]   and then two days later, it's like in nine products.
[00:19:57.780 --> 00:19:58.620]   - Yeah.
[00:19:58.620 --> 00:19:59.540]   - Competing with each other.
[00:19:59.540 --> 00:20:00.380]   - Yeah.
[00:20:00.380 --> 00:20:01.780]   - It's incredible to see like math symbols
[00:20:01.780 --> 00:20:04.960]   on an academic paper go to features,
[00:20:04.960 --> 00:20:06.980]   well-designed features in a product.
[00:20:06.980 --> 00:20:10.020]   So I think the community has done so much.
[00:20:10.020 --> 00:20:12.180]   So I think we wanted to give back to the community
[00:20:12.180 --> 00:20:13.020]   kind of on our way.
[00:20:13.020 --> 00:20:15.300]   We knew it wasn't going to be,
[00:20:15.300 --> 00:20:17.140]   we knew it was not ever going to be,
[00:20:17.140 --> 00:20:18.500]   certainly we would train a better model
[00:20:18.500 --> 00:20:21.540]   than what we gave out on Tuesday.
[00:20:21.540 --> 00:20:24.220]   But we definitely felt like there needs to be
[00:20:24.220 --> 00:20:27.740]   some kind of progress in these open source models.
[00:20:27.740 --> 00:20:30.260]   The last kind of milestone was in July
[00:20:30.260 --> 00:20:31.900]   when Stable Diffusion Excel came out,
[00:20:31.900 --> 00:20:34.500]   but there hasn't been anything really since, right?
[00:20:34.500 --> 00:20:36.380]   - And there's Excel Turbo now.
[00:20:36.380 --> 00:20:38.900]   - Well, Excel Turbo is like this distilled model, right?
[00:20:38.900 --> 00:20:40.780]   So it's like lower quality, but fast.
[00:20:40.780 --> 00:20:43.460]   You have to decide what your trade-off is there.
[00:20:43.460 --> 00:20:46.100]   - And it's also a consistency model?
[00:20:46.100 --> 00:20:48.140]   - It's not, I don't think it's a consistency model.
[00:20:48.140 --> 00:20:50.260]   It's like, they did like a different thing.
[00:20:50.260 --> 00:20:51.100]   - Yeah.
[00:20:51.100 --> 00:20:51.940]   - Yeah, I think it's like,
[00:20:51.940 --> 00:20:53.460]   I don't want to get quoted for this,
[00:20:53.460 --> 00:20:54.900]   but it's like something called ad,
[00:20:54.900 --> 00:20:56.460]   like adversarial something or another.
[00:20:56.460 --> 00:20:58.340]   - That's exactly right.
[00:20:58.340 --> 00:21:00.980]   - Yeah, I think it's, I've read something about that.
[00:21:00.980 --> 00:21:02.380]   Maybe it's like closer to GANs or something,
[00:21:02.380 --> 00:21:04.020]   but I didn't really read the full paper.
[00:21:04.020 --> 00:21:06.820]   But yeah, there hasn't been quite enough progress
[00:21:06.820 --> 00:21:09.780]   in terms of, you know, there's no multitask image model.
[00:21:09.780 --> 00:21:11.180]   You know, the closest thing would be something called
[00:21:11.180 --> 00:21:13.940]   like EmuEdit, but there's no model for that.
[00:21:13.940 --> 00:21:16.140]   It's just a paper that's within meta.
[00:21:16.140 --> 00:21:20.780]   So we did that and we also gave out pre-trained weights,
[00:21:20.780 --> 00:21:22.300]   which is very rare.
[00:21:22.300 --> 00:21:24.020]   Usually you just get the aligned model
[00:21:24.020 --> 00:21:25.180]   and then you have to like,
[00:21:25.180 --> 00:21:26.840]   see if you can do anything with it.
[00:21:26.840 --> 00:21:28.260]   We actually gave out,
[00:21:28.260 --> 00:21:32.460]   there's like a 256 pixel pre-trained stage and a 512.
[00:21:32.460 --> 00:21:34.100]   And we did that for academic research,
[00:21:34.100 --> 00:21:35.020]   'cause there's a whole bunch of,
[00:21:35.020 --> 00:21:36.780]   we come across people all the time in academia
[00:21:36.780 --> 00:21:37.620]   and they have like,
[00:21:37.620 --> 00:21:42.060]   they have access to like one A100 or eight at best.
[00:21:42.060 --> 00:21:45.220]   And so if we can give them kind of like a 512
[00:21:45.220 --> 00:21:47.740]   pre-trained model, it might,
[00:21:47.740 --> 00:21:50.340]   our hope is that there'll be interesting novel research
[00:21:50.340 --> 00:21:51.660]   that occurs from that.
[00:21:51.660 --> 00:21:53.900]   - What research do you want to happen?
[00:21:53.900 --> 00:21:56.620]   - I would love to see more research around,
[00:21:56.620 --> 00:21:57.900]   you know, things that users care about
[00:21:57.900 --> 00:22:00.660]   tend to be things like character consistency.
[00:22:00.660 --> 00:22:02.180]   - Between frames?
[00:22:02.180 --> 00:22:03.900]   - More like if you have like a face.
[00:22:03.900 --> 00:22:05.420]   Yeah, yeah, basically between frames,
[00:22:05.420 --> 00:22:06.300]   but more just like, you know,
[00:22:06.300 --> 00:22:08.620]   you have your face and it's in, you know,
[00:22:08.620 --> 00:22:10.980]   one image and then you want it to be like in another.
[00:22:10.980 --> 00:22:12.940]   And users are very particular
[00:22:12.940 --> 00:22:14.260]   and sensitive to faces changing.
[00:22:14.260 --> 00:22:16.900]   'Cause we know, we know what, you know,
[00:22:16.900 --> 00:22:19.140]   we're trained on faces as humans.
[00:22:19.140 --> 00:22:21.900]   And, you know, that's something I don't,
[00:22:21.900 --> 00:22:23.380]   I'm not seeing a lot of innovation,
[00:22:23.380 --> 00:22:26.820]   enough innovation around multitask editing.
[00:22:26.820 --> 00:22:28.860]   You know, there are two things like instruct pics to pics
[00:22:28.860 --> 00:22:33.140]   and then the emu edit paper that are maybe very interesting,
[00:22:33.140 --> 00:22:36.460]   but we certainly are not pushing the fold on that
[00:22:36.460 --> 00:22:37.340]   in that regard.
[00:22:37.340 --> 00:22:43.220]   It just, all kinds of things like around that rotation,
[00:22:43.220 --> 00:22:46.740]   you know, being able to keep coherence across images,
[00:22:46.740 --> 00:22:48.740]   style transfer is still very limited.
[00:22:48.740 --> 00:22:52.100]   Just even reasoning around images, you know,
[00:22:52.100 --> 00:22:54.820]   what's going on in an image, that kind of thing.
[00:22:54.820 --> 00:22:57.820]   Things are still very, very underpowered, very nascent.
[00:22:57.820 --> 00:23:01.140]   So therefore the utility is very, very limited.
[00:23:01.140 --> 00:23:02.780]   - On the 1K Prompt Benchmark,
[00:23:02.780 --> 00:23:06.740]   you are 2.5X prefer to stable diffusion Excel.
[00:23:06.740 --> 00:23:07.580]   How do you get there?
[00:23:07.580 --> 00:23:10.540]   Is it better images in the training corpus?
[00:23:10.540 --> 00:23:13.660]   Is it, yeah, can you maybe talk through
[00:23:13.660 --> 00:23:15.660]   the improvements in the model?
[00:23:15.660 --> 00:23:18.140]   - I think they're still very early on in the recipe,
[00:23:18.140 --> 00:23:21.620]   but I think it's a lot of like little things.
[00:23:21.620 --> 00:23:22.780]   And, you know, every now and then
[00:23:22.780 --> 00:23:24.260]   there are some big important things.
[00:23:24.260 --> 00:23:26.860]   Like certainly your data quality
[00:23:26.860 --> 00:23:28.020]   is really, really important.
[00:23:28.020 --> 00:23:30.900]   So we spend a lot of time thinking about that.
[00:23:30.900 --> 00:23:34.140]   But I would say it's a lot of things
[00:23:34.140 --> 00:23:35.660]   that you kind of clean up along the way
[00:23:35.660 --> 00:23:37.020]   as you train your model.
[00:23:37.020 --> 00:23:40.980]   Everything from captions to the data that you align with
[00:23:40.980 --> 00:23:44.380]   after pre-train to how you're picking your data sets,
[00:23:44.380 --> 00:23:46.920]   how you filter your data sets.
[00:23:46.920 --> 00:23:49.700]   There's a lot, I feel like there's a lot of work in AI
[00:23:49.700 --> 00:23:52.060]   that's like, doesn't really feel like AI.
[00:23:52.060 --> 00:23:55.220]   It just really feels like just data set filtering
[00:23:55.220 --> 00:23:56.260]   and systems engineering.
[00:23:56.260 --> 00:23:58.460]   And just like, you know, and the recipe is all there,
[00:23:58.460 --> 00:24:01.580]   but it's like a lot of extra work to do that.
[00:24:01.580 --> 00:24:04.420]   So I think these models, I think whatever version,
[00:24:04.420 --> 00:24:08.220]   I think we plan to do a Playground V 2.1,
[00:24:08.220 --> 00:24:10.940]   maybe either by the end of the year or early next year.
[00:24:10.940 --> 00:24:13.100]   And we're just like watching what the community does
[00:24:13.100 --> 00:24:14.300]   with the model.
[00:24:14.300 --> 00:24:16.060]   And then we're just gonna take a lot of the things
[00:24:16.060 --> 00:24:18.560]   that they're unhappy about and just like fix them.
[00:24:19.520 --> 00:24:23.560]   You know, so for example, like maybe the eyes of people
[00:24:23.560 --> 00:24:25.840]   in an image don't feel right.
[00:24:25.840 --> 00:24:27.800]   They feel like they're a little misshapen
[00:24:27.800 --> 00:24:29.600]   or they're kind of blurry feeling.
[00:24:29.600 --> 00:24:31.320]   That's something that we already know we wanna fix.
[00:24:31.320 --> 00:24:34.600]   So I think in that case, it's gonna be about data quality.
[00:24:34.600 --> 00:24:37.600]   Or maybe you wanna improve the kind of the dynamic range
[00:24:37.600 --> 00:24:38.440]   of color.
[00:24:38.440 --> 00:24:40.280]   You know, we wanna make sure that that's like got a good
[00:24:40.280 --> 00:24:41.300]   range in any image.
[00:24:41.300 --> 00:24:43.000]   So what technique can we use there?
[00:24:43.000 --> 00:24:45.960]   There's different things like offset noise, pyramid noise,
[00:24:45.960 --> 00:24:47.120]   terminal zero SNR.
[00:24:47.120 --> 00:24:49.080]   Like there are all these various interesting things
[00:24:49.080 --> 00:24:49.920]   that you can do.
[00:24:49.920 --> 00:24:52.200]   So I think it's like a lot of just like tricks.
[00:24:52.200 --> 00:24:53.360]   Some are tricks, some are data,
[00:24:53.360 --> 00:24:55.880]   and some is just like cleaning.
[00:24:55.880 --> 00:24:57.220]   Yeah.
[00:24:57.220 --> 00:25:01.320]   - Specifically for faces, it's very common to use a pipeline
[00:25:01.320 --> 00:25:05.400]   rather than just train the base model more.
[00:25:05.400 --> 00:25:08.440]   Do you have a strong belief either way on like,
[00:25:08.440 --> 00:25:10.720]   oh, they should be separated out to different stages
[00:25:10.720 --> 00:25:12.640]   for like improving the eyes, improving the face
[00:25:12.640 --> 00:25:14.440]   or enhance or whatever?
[00:25:14.440 --> 00:25:17.440]   Or do you think like it can all be done in one model?
[00:25:17.440 --> 00:25:19.320]   - I think we will make a unified model.
[00:25:19.320 --> 00:25:20.160]   - Okay.
[00:25:20.160 --> 00:25:21.680]   - Yeah, I think we'll certainly in the end,
[00:25:21.680 --> 00:25:23.320]   ultimately make a unified model.
[00:25:23.320 --> 00:25:29.960]   There's not enough research about this.
[00:25:29.960 --> 00:25:32.220]   Maybe there is something out there that we haven't read.
[00:25:32.220 --> 00:25:35.800]   There are some bottlenecks, like for example, in the VAE,
[00:25:35.800 --> 00:25:38.120]   like the VAEs are ultimately like compressing these things.
[00:25:38.120 --> 00:25:39.880]   And so you don't know, and then you might have
[00:25:39.880 --> 00:25:42.800]   like a big information bottleneck.
[00:25:42.800 --> 00:25:45.520]   So maybe you would use a pixel based model, perhaps.
[00:25:45.520 --> 00:25:48.280]   You know, there's a lot of belief.
[00:25:48.280 --> 00:25:51.300]   I think we've talked to people, everyone from like Rombach
[00:25:51.300 --> 00:25:54.520]   to various people, Rombach trained stable diffusion.
[00:25:54.520 --> 00:25:56.760]   You know, I think there's like a big question
[00:25:56.760 --> 00:25:59.360]   around the architecture of these things.
[00:25:59.360 --> 00:26:01.360]   It's still kind of unknown, right?
[00:26:01.360 --> 00:26:03.400]   Like we've got transformers
[00:26:03.400 --> 00:26:06.440]   and we've got like a GPT architecture model,
[00:26:06.440 --> 00:26:07.800]   but then there's this like weird thing
[00:26:07.800 --> 00:26:10.240]   that's also seemingly working with diffusion.
[00:26:10.240 --> 00:26:12.520]   And so, you know, are we going to use vision transformers?
[00:26:12.520 --> 00:26:14.340]   Are we going to move to pixel based models?
[00:26:14.340 --> 00:26:16.360]   Is there a different kind of architecture?
[00:26:16.360 --> 00:26:17.800]   We don't really, I don't think there have been
[00:26:17.800 --> 00:26:19.320]   enough experiments in this regard.
[00:26:19.320 --> 00:26:21.200]   - Still? Oh my God.
[00:26:21.200 --> 00:26:22.680]   - Yeah. - That's surprising.
[00:26:22.680 --> 00:26:25.120]   - Yeah, I think it's very computationally expensive
[00:26:25.120 --> 00:26:28.080]   to do a pipeline model where you're like fixing the eyes
[00:26:28.080 --> 00:26:28.920]   and you're fixing the mouth and you're fixing the hands.
[00:26:28.920 --> 00:26:31.340]   - That's what everyone does as far as I understand.
[00:26:31.340 --> 00:26:33.320]   - Well, I'm not sure, I'm not exactly sure what you mean,
[00:26:33.320 --> 00:26:35.260]   but if you mean like you get an image
[00:26:35.260 --> 00:26:37.280]   and then you will like make another model
[00:26:37.280 --> 00:26:38.940]   specifically to fix a face.
[00:26:38.940 --> 00:26:40.640]   Yeah, I think that's a very computationally,
[00:26:40.640 --> 00:26:42.200]   that's fairly computationally expensive.
[00:26:42.200 --> 00:26:43.320]   And I think it's like not,
[00:26:43.320 --> 00:26:45.320]   probably not the right thing, right way.
[00:26:45.320 --> 00:26:46.160]   - Yeah. - Yeah.
[00:26:46.160 --> 00:26:47.760]   And it doesn't generalize very well.
[00:26:47.760 --> 00:26:49.280]   Now you have to pick all these different things.
[00:26:49.280 --> 00:26:51.120]   - Yeah, you're just kind of glomming things on together.
[00:26:51.120 --> 00:26:54.380]   Like when I look at AI artists, like that's what they do.
[00:26:54.380 --> 00:26:55.640]   - Ah, yeah, yeah, yeah.
[00:26:55.640 --> 00:26:57.760]   They'll do things like, you know,
[00:26:57.760 --> 00:26:59.320]   I think a lot of ARs will do, you know,
[00:26:59.320 --> 00:27:01.920]   control net tiling to do kind of generative upscaling
[00:27:01.920 --> 00:27:04.140]   of all these different pieces of the image.
[00:27:04.140 --> 00:27:05.920]   Yeah, I mean, to me, these are all just like,
[00:27:05.920 --> 00:27:08.280]   they're all hacks, ultimately in the end.
[00:27:08.280 --> 00:27:09.480]   I mean, it just, to me, it's like,
[00:27:09.480 --> 00:27:12.240]   let's go back to where we were just three years,
[00:27:12.240 --> 00:27:14.920]   four years ago with where deep learning was at
[00:27:14.920 --> 00:27:16.600]   and where language was at.
[00:27:16.600 --> 00:27:17.440]   You know, it's the same thing.
[00:27:17.440 --> 00:27:18.360]   It's like, we were like, okay,
[00:27:18.360 --> 00:27:21.200]   well, I'll just train these very narrow models
[00:27:21.200 --> 00:27:23.200]   to try to do these things and kind of ensemble them
[00:27:23.200 --> 00:27:25.600]   or pipeline them to try to get to a best-in-class result.
[00:27:25.600 --> 00:27:29.400]   And here we are with like where the models are gigantic
[00:27:29.400 --> 00:27:33.440]   and like very capable of solving huge amounts of tasks
[00:27:33.440 --> 00:27:35.200]   when given like lots of great data.
[00:27:35.200 --> 00:27:38.520]   So, yeah. - Makes sense.
[00:27:38.520 --> 00:27:42.480]   You also released a new benchmark called MJHQ-30K
[00:27:42.480 --> 00:27:45.960]   for automatic evaluation of a model's aesthetic quality.
[00:27:45.960 --> 00:27:48.680]   I have one question.
[00:27:48.680 --> 00:27:51.020]   The dataset that you use for the benchmark
[00:27:51.020 --> 00:27:52.440]   is from MidJourney. - Yes.
[00:27:52.440 --> 00:27:54.120]   - You have 10 categories.
[00:27:54.120 --> 00:27:58.720]   How do you think about the Playground model, MidJourney?
[00:27:58.720 --> 00:27:59.840]   - You know, there are a lot of people,
[00:27:59.840 --> 00:28:02.500]   a lot of people in research like to come up with,
[00:28:02.500 --> 00:28:03.640]   they like to compare themselves
[00:28:03.640 --> 00:28:06.760]   to something they know they can beat, right?
[00:28:06.760 --> 00:28:09.800]   But maybe this is the best reason why
[00:28:09.800 --> 00:28:12.840]   it can be helpful to not be a researcher also sometimes.
[00:28:12.840 --> 00:28:15.320]   Like I'm not like trained as a researcher.
[00:28:15.320 --> 00:28:19.120]   I don't have a PhD in anything AI related, for example.
[00:28:19.120 --> 00:28:21.880]   But I think if you care about products
[00:28:21.880 --> 00:28:23.400]   and you care about your users,
[00:28:23.400 --> 00:28:25.720]   then the most important thing that you wanna figure out
[00:28:25.720 --> 00:28:28.080]   is like everyone has to acknowledge
[00:28:28.080 --> 00:28:30.080]   that MidJourney is very good.
[00:28:30.080 --> 00:28:32.760]   You know, they are the best at this thing.
[00:28:32.760 --> 00:28:34.840]   We would, I would happily, I'm happy to admit that.
[00:28:34.840 --> 00:28:37.520]   I have no problem admitting that.
[00:28:37.520 --> 00:28:38.760]   It's just easy.
[00:28:38.760 --> 00:28:40.680]   It's very visual to tell.
[00:28:40.680 --> 00:28:43.720]   So, you know, I think it's incumbent on us
[00:28:43.720 --> 00:28:45.720]   to try to compare ourselves to the thing that's best,
[00:28:45.720 --> 00:28:50.040]   even if we lose, even if we're not the best, right?
[00:28:50.040 --> 00:28:53.060]   And, you know, at some point,
[00:28:53.060 --> 00:28:55.440]   if we are able to surpass MidJourney,
[00:28:55.440 --> 00:28:58.360]   then we only have ourselves to compare ourselves to.
[00:28:58.360 --> 00:29:00.020]   But on first blush, you know,
[00:29:00.020 --> 00:29:01.360]   I think it's worth comparing yourself
[00:29:01.360 --> 00:29:03.860]   to maybe the best thing and try to find
[00:29:03.860 --> 00:29:06.320]   like a really fair way of doing that.
[00:29:06.320 --> 00:29:08.680]   So I think more people should try to do that.
[00:29:08.680 --> 00:29:09.960]   I definitely don't think you should be
[00:29:09.960 --> 00:29:13.480]   kind of comparing yourself on like some Google model
[00:29:13.480 --> 00:29:16.680]   or some old SD, you know, stable diffusion model
[00:29:16.680 --> 00:29:19.640]   and be like, look, we beat, you know, stable diffusion 1.5.
[00:29:19.640 --> 00:29:23.380]   I think users ultimately want care, you know,
[00:29:23.380 --> 00:29:24.520]   how close are you getting to the thing
[00:29:24.520 --> 00:29:28.380]   that like I also mostly, people mostly agree with.
[00:29:28.380 --> 00:29:31.280]   So we put out that benchmark not because,
[00:29:31.280 --> 00:29:32.840]   for no other reason to say like,
[00:29:32.840 --> 00:29:35.280]   this seems like a worthy thing for us to at least try,
[00:29:35.280 --> 00:29:37.600]   you know, for people to try to get to.
[00:29:37.600 --> 00:29:38.760]   And then if we surpass it, great,
[00:29:38.760 --> 00:29:40.080]   we'll come up with another one.
[00:29:40.080 --> 00:29:41.000]   - Yeah, no, that's awesome.
[00:29:41.000 --> 00:29:45.240]   And you kill stable diffusion Excel and everything.
[00:29:45.240 --> 00:29:47.960]   In the benchmark chart,
[00:29:47.960 --> 00:29:51.680]   it says Playground V2 1024 pixel dash aesthetic.
[00:29:51.680 --> 00:29:53.720]   - Yes. - You have kind of like,
[00:29:53.720 --> 00:29:55.680]   yeah, style fine tunes or like,
[00:29:55.680 --> 00:29:57.960]   what's the dash aesthetic for?
[00:29:57.960 --> 00:30:00.080]   - We debated this, maybe we named it wrong or something,
[00:30:00.080 --> 00:30:03.400]   but we were like, how do we help people realize
[00:30:03.400 --> 00:30:06.520]   the model that's aligned versus the models that weren't.
[00:30:06.520 --> 00:30:09.120]   So because we gave out pre-trained models,
[00:30:09.120 --> 00:30:11.920]   we didn't want people to like use those.
[00:30:11.920 --> 00:30:13.520]   So that's why they're called base.
[00:30:13.520 --> 00:30:15.120]   And then the aesthetic model, yeah,
[00:30:15.120 --> 00:30:16.600]   we wanted people to pick up the thing
[00:30:16.600 --> 00:30:18.560]   that we thought would be like the thing
[00:30:18.560 --> 00:30:19.980]   that makes things pretty.
[00:30:19.980 --> 00:30:22.680]   Who wouldn't want the thing that's aesthetic?
[00:30:22.680 --> 00:30:25.040]   But if there's a better name,
[00:30:25.040 --> 00:30:26.840]   we definitely are open to feedback.
[00:30:26.840 --> 00:30:28.040]   - No, no, that's cool.
[00:30:28.040 --> 00:30:29.000]   I was using the product.
[00:30:29.000 --> 00:30:31.080]   You also have the style filter
[00:30:31.080 --> 00:30:33.000]   and you have all these different style.
[00:30:33.000 --> 00:30:35.920]   And it seems like the styles are tied to the model.
[00:30:35.920 --> 00:30:38.800]   So there's some like SDXL styles,
[00:30:38.800 --> 00:30:41.320]   there's some Playground V2 styles.
[00:30:41.320 --> 00:30:45.120]   Can you maybe give listeners an overview of how that works?
