
[00:00:00.000 --> 00:00:03.040]   Yes, so I'm Stacey.
[00:18:49.260 --> 00:18:54.020]   I like to name all my runs with the variables
[00:18:54.020 --> 00:18:56.740]   that I'm testing so that I can easily read it off
[00:18:56.740 --> 00:18:58.860]   from the chart always.
[00:18:58.860 --> 00:19:01.900]   This is like an extra wrapper that I do.
[00:19:01.900 --> 00:19:06.300]   Maybe at some point, it'll make it into the core feature.
[00:19:06.300 --> 00:19:10.780]   This is the hyperparameter parallel coordinates chart
[00:19:10.780 --> 00:19:14.700]   that you can interactively explore to show the correlations.
[00:19:14.700 --> 00:19:18.420]   I think I'm just going to keep going here.
[00:19:18.420 --> 00:19:23.940]   One thing that's interesting about this example
[00:19:23.940 --> 00:19:28.620]   is that here you can see that the dropout actually
[00:19:28.620 --> 00:19:31.820]   has an extremely important and high correlation
[00:19:31.820 --> 00:19:34.900]   with the accuracy.
[00:19:34.900 --> 00:19:38.260]   And that goes counter to the intuition
[00:19:38.260 --> 00:19:39.860]   I was building up before.
[00:19:39.860 --> 00:19:46.900]   And is this-- did it switch to a new tab successfully?
[00:19:46.900 --> 00:19:50.140]   I'm going to see if I can show the Zoom.
[00:19:50.140 --> 00:19:51.220]   All right.
[00:19:51.220 --> 00:19:51.860]   We can see that.
[00:19:51.860 --> 00:19:52.700]   OK.
[00:19:52.700 --> 00:19:53.260]   Awesome.
[00:19:53.260 --> 00:19:54.340]   Yeah.
[00:19:54.340 --> 00:19:57.580]   So I'm just going to show real quick how awesome it
[00:19:57.580 --> 00:20:03.980]   is to zoom into one of these regions, hopefully.
[00:20:03.980 --> 00:20:07.900]   Sometimes it slows down when I'm sharing a tab.
[00:20:07.900 --> 00:20:10.340]   Yeah, and then from here, you can
[00:20:10.340 --> 00:20:15.980]   see what are the parameters that correspond to my best runs.
[00:20:15.980 --> 00:20:21.180]   And it seems like if I just select the very top ones,
[00:20:21.180 --> 00:20:24.060]   then that does correspond to kind of surprisingly high
[00:20:24.060 --> 00:20:26.540]   dropout values.
[00:20:26.540 --> 00:20:29.660]   But I think because this is running on a very small data
[00:20:29.660 --> 00:20:34.620]   set sample, it might actually help.
[00:20:34.620 --> 00:20:42.340]   So going back, I'm going to hop into a different case study.
[00:20:42.340 --> 00:20:45.260]   In this case, it's more of a fine tuning.
[00:20:45.260 --> 00:20:50.620]   And in this one, I'll talk about a fairly new shared project
[00:20:50.620 --> 00:20:52.580]   that I'm working on, which is Deepform.
[00:20:52.580 --> 00:20:57.060]   And the goal is to extract structured information
[00:20:57.060 --> 00:20:58.900]   from receipts that look like this.
[00:20:58.900 --> 00:21:02.220]   This is a receipt for a television advertisement.
[00:21:02.220 --> 00:21:04.860]   And we want to be able to tell the name of the organization
[00:21:04.860 --> 00:21:09.140]   that paid for the ad, the dates that the ad ran, and so forth.
[00:21:09.140 --> 00:21:11.660]   And this is easy for a human, but hard to do for a computer,
[00:21:11.660 --> 00:21:13.700]   especially from--
[00:21:13.700 --> 00:21:17.660]   sorry, just the text, unless you incorporate
[00:21:17.660 --> 00:21:18.660]   geometric information.
[00:21:18.660 --> 00:21:21.540]   We're not quite at that stage yet.
[00:21:21.540 --> 00:21:28.260]   So what I did here was set up a pretty big sweep
[00:21:28.260 --> 00:21:31.140]   across a lot of parameters.
[00:21:31.140 --> 00:21:35.740]   And you can see here that a bunch of my values
[00:21:35.740 --> 00:21:39.700]   actually yielded NANDs.
[00:21:39.700 --> 00:21:45.980]   And this is because the highest correlation found
[00:21:45.980 --> 00:21:49.460]   from my sweep is this distractors field.
[00:21:49.460 --> 00:21:50.700]   And that's what I'm training.
[00:21:50.700 --> 00:21:54.100]   I'm looking at one positive example
[00:21:54.100 --> 00:21:57.300]   of a correct answer for a receipt,
[00:21:57.300 --> 00:21:59.660]   and then the text of the receipt.
[00:21:59.660 --> 00:22:02.380]   The distractors are that for each correct match,
[00:22:02.380 --> 00:22:05.140]   I create one or more fake matches
[00:22:05.140 --> 00:22:08.380]   by picking a false label from the known set.
[00:22:08.380 --> 00:22:10.700]   And it turns out that if I trained in a balanced way,
[00:22:10.700 --> 00:22:13.900]   then the accuracy levels out pretty quickly.
[00:22:13.900 --> 00:22:15.980]   But the more distractors I put in,
[00:22:15.980 --> 00:22:17.260]   the better the accuracy gets.
[00:22:17.260 --> 00:22:21.180]   So that's this really high correlation.
[00:22:21.180 --> 00:22:23.900]   But the more distractors I put in,
[00:22:23.900 --> 00:22:26.020]   the bigger my data set gets in memory.
[00:22:26.020 --> 00:22:27.980]   And so it turned out that a bunch of my runs
[00:22:27.980 --> 00:22:30.260]   were actually failing for precisely the highest
[00:22:30.260 --> 00:22:32.340]   values of the distractors, which you can see here.
[00:22:32.340 --> 00:22:35.540]   The gray lines all correspond to the higher distractor values
[00:22:35.540 --> 00:22:36.220]   for the most part.
[00:22:39.660 --> 00:22:44.700]   And in this case, I let my sweep run a really long time,
[00:22:44.700 --> 00:22:47.900]   even though it found the best values pretty early on.
[00:22:47.900 --> 00:22:50.420]   And then I let it run for another few hours,
[00:22:50.420 --> 00:22:53.300]   I think, after that.
[00:22:53.300 --> 00:22:56.020]   This is just a reminder to sanity check
[00:22:56.020 --> 00:22:58.820]   how some of your range exploration
[00:22:58.820 --> 00:23:01.940]   might be affected by the way you set up your training code.
[00:23:01.940 --> 00:23:03.980]   In this case, the best performance from the sweep
[00:23:03.980 --> 00:23:06.860]   was actually pretty comparable to my best manual run.
[00:23:09.540 --> 00:23:11.260]   And then a bit of both.
[00:23:11.260 --> 00:23:14.660]   Briefly, I have this project to semantically segment
[00:23:14.660 --> 00:23:17.060]   street scenes, identify each pixel
[00:23:17.060 --> 00:23:22.780]   as belonging to a car or a road or a human.
[00:23:22.780 --> 00:23:27.340]   And one thing I found here was that initially, this project
[00:23:27.340 --> 00:23:29.700]   was using accuracy to measure performance.
[00:23:29.700 --> 00:23:33.420]   And accuracy is not a really great metric
[00:23:33.420 --> 00:23:37.580]   because it only treats an exact match as correct.
[00:23:37.580 --> 00:23:40.780]   And once I switched to intersection over union,
[00:23:40.780 --> 00:23:42.540]   I started seeing much better results.
[00:23:42.540 --> 00:23:44.820]   And this sweep-- actually, you can
[00:23:44.820 --> 00:23:49.980]   see this blue line connecting all the best results so far.
[00:23:49.980 --> 00:23:52.380]   This sweep improved the performance pretty well.
[00:23:52.380 --> 00:23:56.620]   And it was helpful to see that learning rate had
[00:23:56.620 --> 00:23:59.540]   the highest correlation in the negative direction.
[00:23:59.540 --> 00:24:01.620]   So lowering learning rate would have helped.
[00:24:04.420 --> 00:24:07.820]   But an interesting aspect is that I was specifically
[00:24:07.820 --> 00:24:10.500]   interested in my performance on humans,
[00:24:10.500 --> 00:24:15.140]   less so than cars and traffic signs and roads,
[00:24:15.140 --> 00:24:17.580]   because it was already doing really well on those.
[00:24:17.580 --> 00:24:21.860]   And found from the sweep that AlexNet
[00:24:21.860 --> 00:24:25.780]   was the best for humans, but it was actually
[00:24:25.780 --> 00:24:27.860]   less precise overall.
[00:24:27.860 --> 00:24:30.140]   And the reason it's best on humans
[00:24:30.140 --> 00:24:34.380]   is because it detects them as these kind of blocky figures,
[00:24:34.380 --> 00:24:35.380]   which you can see here.
[00:24:35.380 --> 00:24:38.020]   So it gets a high intersection over union
[00:24:38.020 --> 00:24:39.300]   for kind of the wrong reasons.
[00:24:39.300 --> 00:24:41.300]   It just guesses at a much larger region
[00:24:41.300 --> 00:24:44.980]   than it needs to instead of precisely finding them.
[00:24:44.980 --> 00:24:48.460]   And here, this is the raw photo, the prediction
[00:24:48.460 --> 00:24:50.460]   in the second column, and then the ground truth.
[00:24:50.460 --> 00:24:52.020]   So this just gives you a sense for--
[00:24:52.020 --> 00:24:54.020]   the overall performance is pretty good.
[00:24:54.020 --> 00:24:57.300]   You get some of the details wrong.
[00:24:57.300 --> 00:25:00.420]   But yeah, this is a case where optimizing for one thing,
[00:25:00.420 --> 00:25:07.420]   say human IOU, might be separate from optimizing for overall IOU.
[00:25:07.420 --> 00:25:12.180]   And that might inform your decision in different sweeps.
[00:25:12.180 --> 00:25:14.780]   Yeah, so this is just zooming into a parallel coordinates
[00:25:14.780 --> 00:25:15.500]   plot.
[00:25:15.500 --> 00:25:20.220]   You can see here that AlexNet has pretty much all the worst
[00:25:20.220 --> 00:25:24.580]   performing runs, whereas ResNet-18 and ResNet-34
[00:25:24.580 --> 00:25:26.660]   do better on average, even though for humans
[00:25:26.660 --> 00:25:27.620]   it's different.
[00:25:27.620 --> 00:25:34.260]   Yeah, so just to summarize general advice
[00:25:34.260 --> 00:25:37.220]   from fine tuning lots and lots of different models
[00:25:37.220 --> 00:25:39.540]   and different applications, I find it really helpful
[00:25:39.540 --> 00:25:42.180]   to have one script that I can run manually
[00:25:42.180 --> 00:25:46.340]   with a specific configuration and also run in a sweep.
[00:25:46.340 --> 00:25:48.300]   The shorter the run, the shorter your sweeps,
[00:25:48.300 --> 00:25:50.780]   the faster your feedback loop, the better.
[00:25:50.780 --> 00:25:56.060]   I would bias towards exploring first and then
[00:25:56.060 --> 00:26:00.580]   exploiting later, especially for cases like that DeepForm
[00:26:00.580 --> 00:26:01.540]   project that I showed.
[00:26:01.540 --> 00:26:05.260]   I got this model to 95% accuracy and was really
[00:26:05.260 --> 00:26:06.420]   proud of it the other week.
[00:26:06.420 --> 00:26:10.660]   And then Google published a paper the next day
[00:26:10.660 --> 00:26:13.420]   or that week that uses a different, much better
[00:26:13.420 --> 00:26:16.220]   approach and has a much more detailed architecture.
[00:26:16.220 --> 00:26:18.140]   And the correct thing to do is definitely
[00:26:18.140 --> 00:26:22.660]   stop optimizing that model and to switch to the Google way.
[00:26:22.660 --> 00:26:24.580]   So yeah, just to say don't exploit too much
[00:26:24.580 --> 00:26:28.140]   because the landscape is changing so quickly.
[00:26:28.140 --> 00:26:30.940]   But also don't explore too much at once
[00:26:30.940 --> 00:26:34.620]   because if you try to put in 100 hyperparameters
[00:26:34.620 --> 00:26:36.420]   and test a bunch of values for those,
[00:26:36.420 --> 00:26:38.340]   you're going to be running your sweep for days
[00:26:38.340 --> 00:26:42.100]   and you're not going to be able to do the meta learning part
[00:26:42.100 --> 00:26:44.820]   on how to do a better sweep next time.
[00:26:44.820 --> 00:26:48.180]   And a lot of those choices might be a depth-first tree
[00:26:48.180 --> 00:26:50.700]   in that they will determine how you structure
[00:26:50.700 --> 00:26:52.860]   the rest of your progress.
[00:26:52.860 --> 00:26:55.620]   So I would not get too attached to any particular aspect
[00:26:55.620 --> 00:26:58.140]   of the model as you go.
[00:26:58.140 --> 00:27:02.300]   And of course, your mileage on all of this may vary.
[00:27:02.300 --> 00:27:06.340]   As a last note here, I have just two comparisons
[00:27:06.340 --> 00:27:09.180]   of a parallel coordinates plot.
[00:27:09.180 --> 00:27:11.980]   The one on the top is showing actual signal,
[00:27:11.980 --> 00:27:14.660]   and the one below is showing noise.
[00:27:14.660 --> 00:27:17.220]   And this is useful to think about when
[00:27:17.220 --> 00:27:19.940]   you're looking at how much your performance improves
[00:27:19.940 --> 00:27:22.500]   with any particular change.
[00:27:22.500 --> 00:27:25.420]   In this case, I found that in the noise case
[00:27:25.420 --> 00:27:27.820]   where all I varied was my random seed,
[00:27:27.820 --> 00:27:33.260]   my output metric varied by about 0.9%.
[00:27:33.260 --> 00:27:36.580]   And if I actually meaningfully varied hyperparameters,
[00:27:36.580 --> 00:27:40.100]   my output metric varied by about 3%.
[00:27:40.100 --> 00:27:44.020]   So that's not an order of magnitude difference.
[00:27:44.020 --> 00:27:45.700]   That's like a 3x difference.
[00:27:45.700 --> 00:27:49.060]   And that's useful to remember, especially for me
[00:27:49.060 --> 00:27:52.500]   when I'm tracking these runs with such detail,
[00:27:52.500 --> 00:27:55.700]   hoping that they'll get just a little better at solving
[00:27:55.700 --> 00:27:58.380]   a particular problem.
[00:27:58.380 --> 00:28:02.340]   And yeah, I think that's it.
[00:28:02.340 --> 00:28:05.900]   Nice.
[00:28:05.900 --> 00:28:08.500]   Thank you, Stacey.
[00:28:08.500 --> 00:28:10.460]   I have a question.
[00:28:10.460 --> 00:28:13.020]   So maybe I'll ask that while other people can
[00:28:13.020 --> 00:28:15.380]   start popping their questions in the Q&A.
[00:28:15.380 --> 00:28:18.820]   And also the YouTube people can pop it in the chat.
[00:28:18.820 --> 00:28:22.980]   So people always talk about Bayes, Grid, and Random.
[00:28:22.980 --> 00:28:25.820]   Do you have-- for the people who are just starting out,
[00:28:25.820 --> 00:28:28.420]   do you have recommendations on which they should start with
[00:28:28.420 --> 00:28:29.740]   and when to use which one?
[00:28:29.740 --> 00:28:30.940]   Yeah, totally.
[00:28:30.940 --> 00:28:32.540]   That's a great question.
[00:28:32.540 --> 00:28:35.460]   And I think I tried to slip that in there.
[00:28:35.460 --> 00:28:40.460]   But basically, Grid is going to try all possible combinations.
[00:28:40.460 --> 00:28:43.740]   So you want that one if you really want to try everything
[00:28:43.740 --> 00:28:46.300]   and you want to be sure you got the best one.
[00:28:46.300 --> 00:28:48.620]   Random is what I would recommend if you're just
[00:28:48.620 --> 00:28:51.980]   exploring and you want to try a bunch of different stuff.
[00:28:51.980 --> 00:28:55.220]   But you do have to keep in mind that it's random
[00:28:55.220 --> 00:28:58.380]   and you might not find the best solution.
[00:28:58.380 --> 00:29:02.380]   And then I think Bayes overall does perform better.
[00:29:02.380 --> 00:29:05.220]   And it's worth trying, unless for some reason
[00:29:05.220 --> 00:29:08.060]   you don't have a metric that you're specifying.
[00:29:08.060 --> 00:29:11.460]   On average, you can expect Bayes to do better.
[00:29:11.460 --> 00:29:13.140]   So yeah, the only reason not to try it
[00:29:13.140 --> 00:29:18.540]   would be if you don't know what your goal is.
[00:29:18.540 --> 00:29:21.500]   Someone on YouTube said, in terms
[00:29:21.500 --> 00:29:25.020]   of it not sounding like a product pitch you nailed it,
[00:29:25.020 --> 00:29:26.620]   which I'm happy about.
[00:29:26.620 --> 00:29:27.860]   Yes.
[00:29:27.860 --> 00:29:29.940]   Thank you.
[00:29:29.940 --> 00:29:32.900]   What are your tips for amateurs that
[00:29:32.900 --> 00:29:35.300]   want to perform sweeps but don't have the compute?
[00:29:35.300 --> 00:29:36.740]   That's a good question.
[00:29:36.740 --> 00:29:37.420]   Yeah.
[00:29:37.420 --> 00:29:38.100]   Oh, man.
[00:29:38.100 --> 00:29:39.980]   That's a good question.
[00:29:39.980 --> 00:29:43.580]   So that's definitely a caveat that I did not super highlight.
[00:29:43.580 --> 00:29:49.740]   I have a machine on which I can use the GPU.
[00:29:49.740 --> 00:29:54.300]   Colab is a great resource.
[00:29:54.300 --> 00:29:57.740]   So ways that you can get access to a bit more compute.
[00:29:57.740 --> 00:30:01.780]   I think if you try a few experiments manually first,
[00:30:01.780 --> 00:30:04.100]   then you can really reduce the search space.
[00:30:04.100 --> 00:30:11.700]   And in practice, I often do more manual exploration initially.
[00:30:11.700 --> 00:30:14.500]   Definitely early stopping would be helpful if you
[00:30:14.500 --> 00:30:17.740]   are concerned about compute.
[00:30:17.740 --> 00:30:21.100]   And another nice thing about at least weights and biases sweeps
[00:30:21.100 --> 00:30:22.660]   is that they're easy to parallelize.
[00:30:22.660 --> 00:30:26.780]   So if you can get access to like eight GPUs for an hour,
[00:30:26.780 --> 00:30:28.940]   then you can just have them all run the same sweep,
[00:30:28.940 --> 00:30:30.980]   and they will coordinate which things to try.
[00:30:30.980 --> 00:30:35.060]   And that's pretty beautiful.
[00:30:35.060 --> 00:30:36.140]   Nice.
[00:30:36.140 --> 00:30:40.060]   Also, one thing that I've even seen our authors--
[00:30:40.060 --> 00:30:42.980]   we have an author program, so they struggle with this too.
[00:30:42.980 --> 00:30:48.340]   Like when do you switch from manual to a sweep that's
[00:30:48.340 --> 00:30:49.380]   very structured?
[00:30:49.380 --> 00:30:51.740]   Because what if you don't even know what hyperparameters
[00:30:51.740 --> 00:30:54.420]   to track in the beginning, and you're still trying to explore?
[00:30:54.420 --> 00:30:54.940]   Yeah.
[00:30:54.940 --> 00:30:56.900]   Yeah, definitely.
[00:30:56.900 --> 00:30:58.780]   So it's definitely like a judgment call.
[00:30:58.780 --> 00:31:06.660]   Or what I've done in the past is if I
[00:31:06.660 --> 00:31:10.660]   can't see reliable improvement, that's one thing.
[00:31:10.660 --> 00:31:15.100]   If I feel like I've tried all my hypotheses that
[00:31:15.100 --> 00:31:17.340]   were easy to determine with one experiment,
[00:31:17.340 --> 00:31:21.460]   and I'm kind of like, OK, I'm done.
[00:31:21.460 --> 00:31:24.380]   Just run this on a GPU, and you tell me.
[00:31:24.380 --> 00:31:25.980]   I think it's also useful to--
[00:31:25.980 --> 00:31:31.620]   I think people tend to think of hyperparameter optimization
[00:31:31.620 --> 00:31:35.780]   because of optimization as the thing that happens at the end.
[00:31:35.780 --> 00:31:38.020]   You've done most of the work, and you're at 90%,
[00:31:38.020 --> 00:31:41.180]   and now you want to get to 92%.
[00:31:41.180 --> 00:31:43.740]   But I think especially if you set a large range,
[00:31:43.740 --> 00:31:49.220]   then it can still be useful from the 50% or random baseline
[00:31:49.220 --> 00:31:53.300]   to 75% just by telling you, hey, actually, you
[00:31:53.300 --> 00:31:54.860]   should try a much larger learning rate.
[00:31:54.860 --> 00:31:58.700]   Or it turns out the distractors are the most useful,
[00:31:58.700 --> 00:32:02.060]   and you just could keep increasing that.
[00:32:02.060 --> 00:32:02.980]   Nice.
[00:32:02.980 --> 00:32:03.740]   Cool.
[00:32:03.740 --> 00:32:05.500]   Charles, do you have one?
[00:32:05.500 --> 00:32:06.740]   Yeah.
[00:32:06.740 --> 00:32:10.300]   Well, one thing I wanted to plus one your statement
[00:32:10.300 --> 00:32:11.660]   about using Colab.
[00:32:11.660 --> 00:32:16.740]   I think modifying your tooling so that it works well
[00:32:16.740 --> 00:32:19.300]   with Colab is well worth the extra compute
[00:32:19.300 --> 00:32:21.020]   that it can bring you.
[00:32:21.020 --> 00:32:25.180]   And secondly, if you want to try and increase your ability
[00:32:25.180 --> 00:32:29.020]   to do hyperparameter tuning, you can learn a lot of things
[00:32:29.020 --> 00:32:32.140]   that you were mentioning, like lower learning rate,
[00:32:32.140 --> 00:32:35.260]   or higher learning rate, or use distractors,
[00:32:35.260 --> 00:32:37.100]   use more or less data augmentation,
[00:32:37.100 --> 00:32:38.060]   more or less drive-out.
[00:32:38.060 --> 00:32:39.980]   You can learn that in smaller networks often,
[00:32:39.980 --> 00:32:42.540]   and a lot of those things will translate.
[00:32:42.540 --> 00:32:47.260]   So I think it's a good idea just to work
[00:32:47.260 --> 00:32:51.260]   with a tight feedback loop, as you and Zhang mentioned first.
[00:32:51.260 --> 00:32:53.780]   And you'll find, actually, you can get really far
[00:32:53.780 --> 00:32:58.420]   without requiring 100 GPUs.
[00:32:58.420 --> 00:33:01.180]   But the question I had was I wanted
[00:33:01.180 --> 00:33:04.180]   to go back to sort of the beginning of your talk.
[00:33:04.180 --> 00:33:06.140]   You said that a lot of your experience
[00:33:06.140 --> 00:33:08.540]   of that what you were going to be talking about in your talk
[00:33:08.540 --> 00:33:10.980]   was for classification.
[00:33:10.980 --> 00:33:13.100]   And you mentioned GANs and reinforcement learning
[00:33:13.100 --> 00:33:16.140]   as places where what you said might not apply.
[00:33:16.140 --> 00:33:18.540]   So I'm curious, two things.
[00:33:18.540 --> 00:33:21.580]   One, besides GANs and reinforcement learning,
[00:33:21.580 --> 00:33:24.460]   can you think of any other sort of machine learning,
[00:33:24.460 --> 00:33:27.300]   hyperparameter tuning problems that would also
[00:33:27.300 --> 00:33:29.620]   be different from what we just talked about that people might
[00:33:29.620 --> 00:33:31.020]   be working on in the audience?
[00:33:31.020 --> 00:33:34.700]   And then also, what do you think should be done differently
[00:33:34.700 --> 00:33:36.780]   in those categories, those types of things?
[00:33:36.780 --> 00:33:38.980]   Yeah, that's a great question.
[00:33:38.980 --> 00:33:42.540]   So I was drawing examples from basically the use cases
[00:33:42.540 --> 00:33:44.500]   I've most worked on at Weights and Biases, which
[00:33:44.500 --> 00:33:46.300]   is why it's like image classification
[00:33:46.300 --> 00:33:48.860]   and a bit of text.
[00:33:48.860 --> 00:33:52.020]   I've just recently started with a regression problem
[00:33:52.020 --> 00:33:56.660]   where I think it kind of works a little bit differently.
[00:33:56.660 --> 00:34:00.780]   One thing there is that the traditional machine learning
[00:34:00.780 --> 00:34:05.140]   random forest baseline is actually really hard to beat.
[00:34:05.140 --> 00:34:08.540]   And there, it's almost like my recommendation would be,
[00:34:08.540 --> 00:34:11.420]   do you need a really fancy deep learning network
[00:34:11.420 --> 00:34:16.140]   of millions of parameters?
[00:34:16.140 --> 00:34:19.980]   Other cases where--
[00:34:19.980 --> 00:34:23.500]   I think the rabbit hole phenomenon that I've mentioned
[00:34:23.500 --> 00:34:27.020]   is I think once you start working on a model
[00:34:27.020 --> 00:34:30.660]   and pursuing a certain idea, it can have a lot of pull to it.
[00:34:30.660 --> 00:34:33.500]   Like, oh, I really want to make this model work.
[00:34:33.500 --> 00:34:36.740]   Or this is the right way to think about it,
[00:34:36.740 --> 00:34:38.540]   especially when you're seeing good results
[00:34:38.540 --> 00:34:40.300]   and you can actually keep improving them
[00:34:40.300 --> 00:34:42.700]   through optimization.
[00:34:42.700 --> 00:34:44.660]   So there's something like keeping
[00:34:44.660 --> 00:34:48.580]   the general approach in mind or almost like,
[00:34:48.580 --> 00:34:54.180]   I'd love a metric for how much compute did you use on this?
[00:34:54.180 --> 00:34:58.420]   Or how many parameters are worthwhile here?
[00:34:58.420 --> 00:34:59.900]   If you actually pruned this network,
[00:34:59.900 --> 00:35:03.940]   it could be twice as small or something.
[00:35:03.940 --> 00:35:04.820]   So things like that.
[00:35:04.820 --> 00:35:07.700]   I think it can get really exciting and powerful
[00:35:07.700 --> 00:35:10.500]   when you're running a sweep and training these deep nets.
[00:35:10.500 --> 00:35:16.140]   But it might not always be necessary.
[00:35:16.140 --> 00:35:22.380]   Yeah, definitely a plus one for consider random forests.
[00:35:22.380 --> 00:35:24.100]   There's a lot of tabular data out there.
[00:35:24.100 --> 00:35:27.780]   And random forests are kind of designed for tabular data.
[00:35:27.780 --> 00:35:28.860]   And they can be very good.
[00:35:28.860 --> 00:35:35.540]   So maybe I missed it and you touched on this.
[00:35:35.540 --> 00:35:40.340]   But for applications like GANs and reinforcement learning,
[00:35:40.340 --> 00:35:42.700]   do you have any thoughts, any experiences
[00:35:42.700 --> 00:35:45.540]   that you've had with what hyperparameters are more
[00:35:45.540 --> 00:35:47.900]   or less important in those cases?
[00:35:47.900 --> 00:35:49.860]   Yeah, that's a good question.
[00:35:49.860 --> 00:35:56.820]   I have not run extensive sweeps specifically on those things.
[00:35:56.820 --> 00:36:02.020]   Usually in those, the works that I've been reproducing
[00:36:02.020 --> 00:36:06.140]   are already very finely tuned over a long time.
[00:36:06.140 --> 00:36:07.940]   So the kinds of things that I've played with
[00:36:07.940 --> 00:36:12.700]   are relative weights of discriminator and generator
[00:36:12.700 --> 00:36:13.500]   loss.
[00:36:13.500 --> 00:36:16.260]   Or if there's even multiple loss components,
[00:36:16.260 --> 00:36:18.180]   how do we combine those?
[00:36:18.180 --> 00:36:22.620]   One number that always seems pretty magical to me in papers
[00:36:22.620 --> 00:36:26.060]   is a lambda coefficient that weighs
[00:36:26.060 --> 00:36:28.140]   several different things relative to each other,
[00:36:28.140 --> 00:36:31.420]   and how often it seems to be that 0.5 or even weighting
[00:36:31.420 --> 00:36:32.660]   is the magical number.
[00:36:32.660 --> 00:36:34.500]   So I think playing with something like that
[00:36:34.500 --> 00:36:38.740]   could give you a lot of leverage.
[00:36:38.740 --> 00:36:43.620]   In terms of reinforcement learning,
[00:36:43.620 --> 00:36:44.900]   yeah, I feel like the setup would
[00:36:44.900 --> 00:36:47.180]   have to be pretty different.
[00:36:47.180 --> 00:36:49.540]   But I'm excited to try that at some point with existing
[00:36:49.540 --> 00:36:52.220]   sweeps.
[00:36:52.220 --> 00:36:58.260]   Well, yeah, I think starting from an existing
[00:36:58.260 --> 00:37:00.860]   implemented baseline, whenever that's possible,
[00:37:00.860 --> 00:37:04.980]   my three favorite things to compare neural net performance
[00:37:04.980 --> 00:37:08.460]   to are the linear model, logistic regression,
[00:37:08.460 --> 00:37:12.180]   linear regression, whatever, a relatively simple off-the-shelf
[00:37:12.180 --> 00:37:16.380]   random forest type model, maybe with gradient-boosted trees
[00:37:16.380 --> 00:37:20.260]   if I'm really feeling fancy, and then something
[00:37:20.260 --> 00:37:22.220]   that somebody else has tried before,
[00:37:22.220 --> 00:37:25.540]   just so that I can get some of that sense of scale of when--
[00:37:25.540 --> 00:37:26.860]   what is really good performance?
[00:37:26.860 --> 00:37:28.140]   What is really bad performance?
[00:37:28.140 --> 00:37:30.980]   What's a meaningful improvement?
[00:37:30.980 --> 00:37:33.020]   And what's me just sitting at the slot machine,
[00:37:33.020 --> 00:37:35.020]   pulling and trying to find a new reward?
[00:37:35.020 --> 00:37:35.520]   Yeah.
[00:37:35.520 --> 00:37:39.620]   Thanks.
[00:37:39.620 --> 00:37:43.420]   All right, so Danny on YouTube asks,
[00:37:43.420 --> 00:37:45.980]   if you experience feature drift, do you
[00:37:45.980 --> 00:37:48.460]   go through the entire hyperparameter optimization
[00:37:48.460 --> 00:37:50.740]   process?
[00:37:50.740 --> 00:37:54.540]   Feature drift, so when a model is deployed in practice,
[00:37:54.540 --> 00:37:56.700]   and then it turns out that--
[00:37:56.700 --> 00:37:58.620]   yeah.
[00:37:58.620 --> 00:38:04.580]   Yeah, well, I haven't worked with an example like that,
[00:38:04.580 --> 00:38:08.260]   at least in the weights and biases context.
[00:38:08.260 --> 00:38:15.740]   In my previous work lives, it was a problem that happened.
[00:38:15.740 --> 00:38:18.820]   And basically, there would be a retrain cycle for the model,
[00:38:18.820 --> 00:38:21.140]   just because the data does change.
[00:38:21.140 --> 00:38:24.860]   And for classification, a bigger question
[00:38:24.860 --> 00:38:30.180]   is, do the target labels change in certain contexts,
[00:38:30.180 --> 00:38:37.660]   if new hashtags arise, or if new instances are added?
[00:38:37.660 --> 00:38:41.180]   Cool.
[00:38:41.180 --> 00:38:45.460]   Han asks, how do you recommend we automate the model
[00:38:45.460 --> 00:38:48.420]   retraining, or training with more APOCs
[00:38:48.420 --> 00:38:52.220]   of all of the data, once a good set of hyperparameters
[00:38:52.220 --> 00:38:54.180]   has been found?
[00:38:54.180 --> 00:38:57.660]   Yeah, great question.
[00:38:57.660 --> 00:38:59.660]   I think you could probably figure out
[00:38:59.660 --> 00:39:01.940]   how to use a GitHub Action for that or something.
[00:39:01.940 --> 00:39:04.260]   Maybe it could be a weights and biases feature.
[00:39:04.260 --> 00:39:06.660]   I think the main--
[00:39:06.660 --> 00:39:08.540]   or the relevant point that I brought up here
[00:39:08.540 --> 00:39:11.940]   is I find it really useful to have the same script be
[00:39:11.940 --> 00:39:15.740]   able to run in both sweep mode and individual test mode.
[00:39:15.740 --> 00:39:20.220]   And then you can have, say, a command line shortcut flag
[00:39:20.220 --> 00:39:23.500]   to run the whole thing.
[00:39:23.500 --> 00:39:26.220]   You could set up a report that makes
[00:39:26.220 --> 00:39:29.340]   sure to revisit that stage.
[00:39:29.340 --> 00:39:31.420]   We don't have end-to-end automation
[00:39:31.420 --> 00:39:35.980]   to make that easy right now, but that's a great idea.

