
[00:00:00.000 --> 00:00:03.000]   Ilya, unbelievable.
[00:19:09.220 --> 00:19:10.820]   - We need to be smart,
[00:19:10.820 --> 00:19:11.820]   you need to have fast,
[00:19:11.820 --> 00:19:13.300]   you need to have a quick reaction time,
[00:19:13.300 --> 00:19:14.740]   you, there's teamwork,
[00:19:14.740 --> 00:19:17.180]   and you're competing against another team.
[00:19:17.180 --> 00:19:18.540]   And it's pretty,
[00:19:18.540 --> 00:19:20.260]   it's pretty involved.
[00:19:20.260 --> 00:19:24.380]   And there is a whole competitive league for that game.
[00:19:24.380 --> 00:19:26.540]   The game is called Dota 2.
[00:19:26.540 --> 00:19:28.940]   And so we train a reinforcement learning agent
[00:19:28.940 --> 00:19:30.460]   to play against itself,
[00:19:30.460 --> 00:19:32.460]   to produce
[00:19:32.460 --> 00:19:38.020]   with the goal of reaching a level
[00:19:38.020 --> 00:19:40.540]   so that it could compete against the best
[00:19:40.540 --> 00:19:42.180]   players in the world.
[00:19:42.180 --> 00:19:44.300]   And that was a major undertaking as well.
[00:19:44.300 --> 00:19:45.540]   It was a very different line.
[00:19:45.540 --> 00:19:46.980]   It was reinforcement learning.
[00:19:46.980 --> 00:19:47.820]   - Yeah, I remember the day
[00:19:47.820 --> 00:19:50.380]   that you guys announced that work.
[00:19:50.380 --> 00:19:51.740]   And this is, by the way,
[00:19:51.740 --> 00:19:53.820]   when I was asking earlier about,
[00:19:53.820 --> 00:19:55.660]   there's a large body of work
[00:19:55.660 --> 00:19:56.860]   that have come out of OpenAI.
[00:19:56.860 --> 00:19:59.620]   Some of it seem like detours,
[00:19:59.620 --> 00:20:02.100]   but in fact, as you're explaining now,
[00:20:02.100 --> 00:20:03.700]   they might have been detours,
[00:20:03.700 --> 00:20:04.980]   it's seemingly detours,
[00:20:04.980 --> 00:20:07.100]   but they really led up to some of the important work
[00:20:07.100 --> 00:20:09.260]   that we're now talking about, Chad GPT.
[00:20:09.260 --> 00:20:10.100]   - Yeah.
[00:20:10.100 --> 00:20:12.660]   I mean, there has been real convergence
[00:20:12.660 --> 00:20:15.220]   where the GPTs
[00:20:15.220 --> 00:20:16.940]   produce the foundation.
[00:20:16.940 --> 00:20:20.020]   And in the reinforcement learning of Dota,
[00:20:20.020 --> 00:20:22.980]   morphed into reinforcement learning from human feedback.
[00:20:22.980 --> 00:20:23.820]   - That's right.
[00:20:23.820 --> 00:20:26.260]   - And that combination gave us Chad GPT.
[00:20:26.260 --> 00:20:28.980]   - You know, there's a misunderstanding
[00:20:28.980 --> 00:20:33.340]   that Chad GPT is in itself
[00:20:33.340 --> 00:20:36.020]   just one giant large language model.
[00:20:36.020 --> 00:20:38.660]   There's a system around it that's fairly complicated.
[00:20:38.660 --> 00:20:43.180]   Could you explain briefly for the audience
[00:20:43.180 --> 00:20:45.940]   the fine tuning of it,
[00:20:45.940 --> 00:20:47.620]   the reinforcement learning of it,
[00:20:47.620 --> 00:20:52.140]   the various surrounding systems
[00:20:52.140 --> 00:20:54.860]   that allows you to keep it on rails
[00:20:54.860 --> 00:20:59.860]   and give it knowledge and so on and so forth?
[00:20:59.860 --> 00:21:02.580]   - Yeah, I can.
[00:21:02.580 --> 00:21:04.380]   So the way to think about it
[00:21:05.340 --> 00:21:09.580]   is that when we train a large neural network
[00:21:09.580 --> 00:21:11.700]   to accurately predict the next word
[00:21:11.700 --> 00:21:16.500]   in lots of different texts from the internet,
[00:21:16.500 --> 00:21:20.940]   what we are doing is that we are learning a world model.
[00:21:20.940 --> 00:21:22.580]   It looks like we are learning this.
[00:21:22.580 --> 00:21:25.500]   It may look on the surface
[00:21:25.500 --> 00:21:28.500]   that we are just learning statistical correlations in text,
[00:21:28.500 --> 00:21:33.460]   but it turns out that to just learn
[00:21:33.460 --> 00:21:35.780]   the statistical correlations in text,
[00:21:35.780 --> 00:21:37.900]   to compress them really well,
[00:21:37.900 --> 00:21:40.100]   what the neural network learns
[00:21:40.100 --> 00:21:44.580]   is some representation of the process that produced the text.
[00:21:44.580 --> 00:21:49.460]   This text is actually a projection of the world.
[00:21:49.460 --> 00:21:51.340]   There is a world out there
[00:21:51.340 --> 00:21:54.100]   and it has a projection on this text.
[00:21:54.100 --> 00:21:56.220]   And so what the neural network is learning
[00:21:56.220 --> 00:21:59.780]   is more and more aspects of the world,
[00:21:59.780 --> 00:22:02.180]   of people, of the human conditions,
[00:22:02.180 --> 00:22:05.860]   their hopes, dreams, and motivations,
[00:22:05.860 --> 00:22:10.540]   their interactions in the situations that we are in.
[00:22:10.540 --> 00:22:13.260]   And the neural network learns a compressed,
[00:22:13.260 --> 00:22:17.540]   abstract, usable representation of that.
[00:22:17.540 --> 00:22:19.500]   This is what's being learned
[00:22:19.500 --> 00:22:22.300]   from accurately predicting the next word.
[00:22:22.300 --> 00:22:24.940]   And furthermore, the more accurate you are
[00:22:24.940 --> 00:22:27.180]   at predicting the next word,
[00:22:27.180 --> 00:22:29.500]   the higher the fidelity,
[00:22:29.500 --> 00:22:32.380]   the more resolution you get in this process.
[00:22:32.380 --> 00:22:34.540]   So that's what the pre-training stage does.
[00:22:34.540 --> 00:22:37.540]   But what this does not do
[00:22:37.540 --> 00:22:41.540]   is specify the desired behavior
[00:22:41.540 --> 00:22:44.740]   that we wish our neural network to exhibit.
[00:22:44.740 --> 00:22:47.700]   You see, a language model,
[00:22:47.700 --> 00:22:49.900]   what it really tries to do
[00:22:49.900 --> 00:22:51.700]   is to answer the following question.
[00:22:51.700 --> 00:22:56.660]   If I had some random piece of text on the internet,
[00:22:56.660 --> 00:23:00.020]   which starts with some prefix, some prompt,
[00:23:00.020 --> 00:23:03.660]   what will it complete to?
[00:23:03.660 --> 00:23:05.620]   If you just randomly ended up
[00:23:05.620 --> 00:23:07.580]   on some text from the internet?
[00:23:07.580 --> 00:23:09.420]   But this is different from,
[00:23:09.420 --> 00:23:10.700]   well, I want to have an assistant
[00:23:10.700 --> 00:23:14.180]   which will be truthful, that will be helpful,
[00:23:14.180 --> 00:23:17.900]   that will follow certain rules and not violate them.
[00:23:17.900 --> 00:23:19.980]   That requires additional training.
[00:23:19.980 --> 00:23:22.420]   This is where the fine-tuning
[00:23:22.420 --> 00:23:25.380]   and the reinforcement learning from human teachers
[00:23:25.380 --> 00:23:27.380]   and other forms of AI assistance.
[00:23:27.380 --> 00:23:30.140]   It's not just reinforcement learning from human teachers.
[00:23:30.140 --> 00:23:31.100]   It's also reinforcement learning
[00:23:31.100 --> 00:23:33.740]   from human and AI collaboration.
[00:23:33.740 --> 00:23:35.540]   Our teachers are working together with an AI
[00:23:35.540 --> 00:23:37.060]   to teach our AI to behave.
[00:23:37.060 --> 00:23:40.260]   But here we are not teaching it new knowledge.
[00:23:40.260 --> 00:23:41.980]   This is not what's happening.
[00:23:41.980 --> 00:23:46.540]   We are teaching it, we are communicating with it.
[00:23:46.540 --> 00:23:48.900]   We are communicating to it
[00:23:48.900 --> 00:23:50.940]   what it is that we want it to be.
[00:23:50.940 --> 00:23:54.420]   And this process, this second stage,
[00:23:54.420 --> 00:23:56.500]   is also extremely important.
[00:23:56.500 --> 00:23:58.300]   The better we do the second stage,
[00:23:58.300 --> 00:24:00.620]   the more useful, the more reliable
[00:24:00.620 --> 00:24:02.300]   this neural network will be.
[00:24:02.300 --> 00:24:04.940]   So the second stage is extremely important too,
[00:24:04.940 --> 00:24:08.580]   in addition to the first stage of the learn everything,
[00:24:08.580 --> 00:24:12.860]   learn everything, learn as much as you can about the world
[00:24:12.860 --> 00:24:16.580]   from the projection of the world, which is text.
[00:24:16.580 --> 00:24:19.300]   - Now you could tell, you could fine-tune it,
[00:24:19.300 --> 00:24:23.380]   you could instruct it to perform certain things.
[00:24:23.380 --> 00:24:25.700]   Can you instruct it to not perform certain things
[00:24:25.700 --> 00:24:27.180]   so that you could give it guardrails
[00:24:27.180 --> 00:24:29.420]   about avoid these type of behavior,
[00:24:29.420 --> 00:24:31.940]   give it some kind of a bounding box
[00:24:31.940 --> 00:24:35.660]   so that it doesn't wander out of that bounding box
[00:24:35.660 --> 00:24:40.660]   and perform things that are unsafe or otherwise?
[00:24:40.660 --> 00:24:41.900]   - Yeah.
[00:24:41.900 --> 00:24:45.060]   So this second stage of training
[00:24:45.060 --> 00:24:48.940]   is indeed where we communicate to the neural network
[00:24:48.940 --> 00:24:53.420]   anything we want, which includes the bounding box.
[00:24:53.420 --> 00:24:55.620]   And the better we do this training,
[00:24:55.620 --> 00:24:57.500]   the higher the fidelity
[00:24:57.500 --> 00:24:59.980]   with which we communicate this bounding box.
[00:24:59.980 --> 00:25:02.460]   And so with constant research and innovation
[00:25:02.460 --> 00:25:04.620]   on improving this fidelity,
[00:25:04.620 --> 00:25:09.620]   we are able, we improve this fidelity,
[00:25:09.620 --> 00:25:13.220]   and so it becomes more and more reliable
[00:25:13.220 --> 00:25:16.620]   and precise in the way in which it follows
[00:25:16.620 --> 00:25:19.660]   the intended instructions.
[00:25:19.660 --> 00:25:21.980]   - Chad Chibiti came out just a few months ago.
[00:25:21.980 --> 00:25:27.900]   Fastest growing application in the history of humanity.
[00:25:27.900 --> 00:25:34.540]   Lots of interpretations about why,
[00:25:34.540 --> 00:25:38.780]   but some of the things that is clear,
[00:25:38.780 --> 00:25:41.580]   it is the easiest application
[00:25:41.580 --> 00:25:45.340]   that anyone has ever created for anyone to use.
[00:25:45.340 --> 00:25:49.580]   It performs tasks, it performs things,
[00:25:49.580 --> 00:25:53.900]   it does things that are beyond people's expectation.
[00:25:53.900 --> 00:25:55.180]   Anyone can use it.
[00:25:55.180 --> 00:25:57.060]   There are no instruction sets.
[00:25:57.060 --> 00:25:58.740]   There are no wrong ways to use it.
[00:25:58.740 --> 00:26:00.700]   You just use it.
[00:26:00.700 --> 00:26:05.700]   And if your instructions or prompts are ambiguous,
[00:26:05.700 --> 00:26:08.620]   the conversation refines the ambiguity
[00:26:08.620 --> 00:26:13.620]   until your intents are understood by the application,
[00:26:13.820 --> 00:26:14.660]   by the AI.
[00:26:14.660 --> 00:26:20.980]   The impact, of course, clearly remarkable.
[00:26:20.980 --> 00:26:25.420]   Now, yesterday, this is the day after GPT-4,
[00:26:25.420 --> 00:26:28.020]   just a few months later.
[00:26:28.020 --> 00:26:33.020]   The performance of GPT-4 in many areas, astounding.
[00:26:33.020 --> 00:26:38.580]   SAT scores, GRE scores, bar exams,
[00:26:38.580 --> 00:26:43.580]   the number of tests that it's able to perform
[00:26:43.660 --> 00:26:48.180]   at very capable levels, very capable human levels, astounding.
[00:26:48.180 --> 00:26:54.180]   What were the major differences between Chat GPT and GPT-4
[00:26:54.180 --> 00:26:59.340]   that led to its improvements in these areas?
[00:26:59.340 --> 00:27:01.900]   So GPT-4
[00:27:01.900 --> 00:27:09.620]   is a pretty substantial improvement on top of Chat GPT
[00:27:09.620 --> 00:27:12.940]   across very many dimensions.
[00:27:12.940 --> 00:27:15.340]   Between GPT-4, I would say,
[00:27:15.340 --> 00:27:19.780]   between more than six months ago,
[00:27:19.780 --> 00:27:23.220]   maybe eight months ago, I don't remember exactly.
[00:27:23.220 --> 00:27:30.020]   GPT is the first big difference between Chat GPT and GPT-4.
[00:27:30.020 --> 00:27:35.900]   And that perhaps is the most important difference,
[00:27:35.900 --> 00:27:39.420]   is that the base on top of GPT-4 is built,
[00:27:39.420 --> 00:27:43.260]   predicts the next word with greater accuracy.
[00:27:43.260 --> 00:27:45.900]   This is really important,
[00:27:45.900 --> 00:27:48.260]   because the better a neural network
[00:27:48.260 --> 00:27:50.580]   can predict the next word in text,
[00:27:50.580 --> 00:27:52.380]   the more it understands it.
[00:27:52.380 --> 00:27:57.220]   This claim is now perhaps accepted by many at this point,
[00:27:57.220 --> 00:27:59.500]   but it might still not be intuitive
[00:27:59.500 --> 00:28:02.340]   or not completely intuitive as to why that is.
[00:28:02.340 --> 00:28:04.220]   So I'd like to take a small detour
[00:28:04.220 --> 00:28:07.500]   and to give an analogy that will hopefully clarify
[00:28:07.500 --> 00:28:10.860]   why more accurate prediction of the next word
[00:28:10.860 --> 00:28:13.500]   leads to more understanding, real understanding.
[00:28:13.500 --> 00:28:17.220]   Let's consider an example.
[00:28:17.220 --> 00:28:19.700]   Say you read a detective novel.
[00:28:19.700 --> 00:28:22.180]   It's like a complicated plot, a storyline,
[00:28:22.180 --> 00:28:25.220]   different characters, lots of events,
[00:28:25.220 --> 00:28:28.140]   mysteries like clues, it's unclear.
[00:28:28.140 --> 00:28:31.820]   Then let's say that at the last page of the book,
[00:28:31.820 --> 00:28:33.780]   the detective has got all the clues,
[00:28:33.780 --> 00:28:34.940]   gathered all the people and saying,
[00:28:34.940 --> 00:28:37.740]   "Okay, I'm going to reveal the identity
[00:28:37.740 --> 00:28:40.340]   of whoever committed the crime."
[00:28:40.340 --> 00:28:42.180]   And that person's name is?
[00:28:42.180 --> 00:28:43.020]   - Predict that word.
[00:28:43.020 --> 00:28:44.340]   - Predict that word, exactly.
[00:28:44.340 --> 00:28:45.180]   - My goodness.
[00:28:45.180 --> 00:28:46.140]   - Right? - Yeah, right.
[00:28:46.140 --> 00:28:48.660]   - Now, there are many different words,
[00:28:48.660 --> 00:28:51.500]   but by predicting those words better and better and better,
[00:28:51.500 --> 00:28:55.780]   the understanding of the text keeps on increasing.
[00:28:55.780 --> 00:28:58.980]   GPT-4 predicts the next word better.
[00:28:58.980 --> 00:29:03.980]   - Ilya, people say that deep learning won't lead to reasoning.
[00:29:04.420 --> 00:29:06.820]   - That deep learning won't lead to reasoning.
[00:29:06.820 --> 00:29:09.380]   But in order to predict that next word,
[00:29:09.380 --> 00:29:13.180]   figure out from all of the agents that were there
[00:29:13.180 --> 00:29:18.180]   and all of their strengths or weaknesses or their intentions
[00:29:18.180 --> 00:29:23.780]   and the context, and to be able to predict that word,
[00:29:23.780 --> 00:29:27.020]   who was the murderer,
[00:29:27.020 --> 00:29:28.660]   that requires some amount of reasoning,
[00:29:28.660 --> 00:29:30.180]   a fair amount of reasoning.
[00:29:30.180 --> 00:29:35.180]   And so how is it that it's able to learn reasoning?
[00:29:35.180 --> 00:29:40.180]   And if it learned reasoning,
[00:29:40.180 --> 00:29:43.460]   you know, one of the things that I was going to ask you
[00:29:43.460 --> 00:29:45.780]   is of all the tests that were taken
[00:29:45.780 --> 00:29:48.860]   between CHAT-GPT and GPT-4,
[00:29:48.860 --> 00:29:52.220]   there were some tests that GPT-3
[00:29:52.220 --> 00:29:55.060]   or CHAT-GPT was already very good at.
[00:29:55.060 --> 00:29:57.940]   There were some tests that GPT-3 or CHAT-GPT
[00:29:57.940 --> 00:30:02.820]   was not as good at that GPT-4 was much better at.
[00:30:02.820 --> 00:30:06.060]   And there were some tests that neither are good at yet.
[00:30:06.060 --> 00:30:07.140]   I would love for it, you know,
[00:30:07.140 --> 00:30:09.940]   and some of it has to do with reasoning, it seems,
[00:30:09.940 --> 00:30:12.100]   that, you know, maybe in calculus,
[00:30:12.100 --> 00:30:15.780]   that it wasn't able to break maybe the problem down
[00:30:15.780 --> 00:30:18.540]   into its reasonable steps and solve it.
[00:30:18.540 --> 00:30:21.980]   But yet in some areas,
[00:30:21.980 --> 00:30:24.980]   it seems to demonstrate reasoning skills.
[00:30:24.980 --> 00:30:29.980]   And so is that an area that in predicting the next word,
[00:30:29.980 --> 00:30:32.660]   you're learning reasoning?
[00:30:32.660 --> 00:30:37.660]   And what are the limitations now of GPT-4
[00:30:37.660 --> 00:30:41.180]   that would enhance its ability to reason even further?
[00:30:41.180 --> 00:30:47.460]   You know, reasoning isn't this super well-defined concept,
[00:30:47.460 --> 00:30:51.660]   but we can try to define it anyway,
[00:30:51.780 --> 00:30:56.580]   which is when you maybe, maybe when you go further,
[00:30:56.580 --> 00:31:00.700]   where you're able to somehow think about it a little bit
[00:31:00.700 --> 00:31:03.220]   and get a better answer because of your reasoning.
[00:31:03.220 --> 00:31:08.900]   And I'd say that our neural nets,
[00:31:08.900 --> 00:31:11.300]   you know, maybe there is some kind of limitation
[00:31:11.300 --> 00:31:14.620]   which could be addressed by, for example,
[00:31:14.620 --> 00:31:16.820]   asking the neural network to think out loud.
[00:31:16.820 --> 00:31:20.020]   This has proven to be extremely effective for reasoning,
[00:31:20.020 --> 00:31:21.860]   but I think it also remains to be seen
[00:31:21.860 --> 00:31:24.260]   just how far the basic neural network will go.
[00:31:24.260 --> 00:31:29.260]   I think we have yet to tap, fully tap out its potential.
[00:31:29.260 --> 00:31:36.420]   But yeah, I mean, there is definitely some sense
[00:31:36.420 --> 00:31:41.420]   where reasoning is still not quite at that level
[00:31:41.420 --> 00:31:45.860]   as some of the other capabilities of the neural network,
[00:31:45.860 --> 00:31:48.380]   though we would like the reasoning capabilities
[00:31:48.380 --> 00:31:51.380]   of the neural network to be high, higher.
[00:31:51.380 --> 00:31:55.900]   I think that it's fairly likely that business as usual
[00:31:55.900 --> 00:31:58.140]   will keep, will improve the reasoning capabilities
[00:31:58.140 --> 00:31:59.660]   of the neural network.
[00:31:59.660 --> 00:32:04.660]   I wouldn't necessarily confidently rule out this possibility.
[00:32:04.660 --> 00:32:08.780]   Yeah, because one of the things that is really cool
[00:32:08.780 --> 00:32:12.700]   is you ask Chachapiti a question,
[00:32:12.700 --> 00:32:14.020]   but before it answers the question,
[00:32:14.020 --> 00:32:18.180]   tell me first what you know, and then answer the question.
[00:32:18.180 --> 00:32:20.140]   You know, usually when somebody answers a question,
[00:32:20.140 --> 00:32:23.580]   if you give me the foundational knowledge that you have
[00:32:23.580 --> 00:32:25.460]   or the foundational assumptions that you're making
[00:32:25.460 --> 00:32:27.060]   before you answer the question,
[00:32:27.060 --> 00:32:31.940]   that really improves my believability of the answer.
[00:32:31.940 --> 00:32:33.940]   You're also demonstrating some level of reason,
[00:32:33.940 --> 00:32:35.820]   well, you're demonstrating reasoning.
[00:32:35.820 --> 00:32:37.420]   And so it seems to me that Chachapiti
[00:32:37.420 --> 00:32:40.140]   has this inherent capability embedded in it.
[00:32:40.140 --> 00:32:41.900]   Yeah.
[00:32:41.900 --> 00:32:42.740]   To some degree.
[00:32:42.740 --> 00:32:43.580]   Yeah.
[00:32:43.580 --> 00:32:47.860]   The one way to think about what's happening now
[00:32:47.860 --> 00:32:50.100]   is that these neural networks
[00:32:50.100 --> 00:32:52.100]   have a lot of these capabilities,
[00:32:52.100 --> 00:32:54.780]   they're just not quite very reliable.
[00:32:54.780 --> 00:32:57.700]   In fact, you could say that reliability
[00:32:57.700 --> 00:32:59.980]   is currently the single biggest obstacle
[00:32:59.980 --> 00:33:03.620]   for these neural networks being useful, truly useful.
[00:33:03.620 --> 00:33:08.060]   If sometimes it is still the case
[00:33:08.060 --> 00:33:12.700]   that these neural networks hallucinate a little bit,
[00:33:12.700 --> 00:33:14.980]   or maybe make some mistakes which are unexpected,
[00:33:14.980 --> 00:33:17.780]   which you wouldn't expect the person to make,
[00:33:17.780 --> 00:33:20.340]   it is this kind of unreliability
[00:33:20.340 --> 00:33:23.460]   that makes them substantially less useful.
[00:33:23.460 --> 00:33:26.500]   But I think that perhaps with a little bit more research,
[00:33:26.500 --> 00:33:28.060]   with the current ideas that you have
[00:33:28.060 --> 00:33:33.060]   and perhaps a few more of the ambitious research plans,
[00:33:33.060 --> 00:33:36.140]   you'll be able to achieve higher reliability as well.
[00:33:36.140 --> 00:33:37.780]   And that will be truly useful,
[00:33:37.780 --> 00:33:42.660]   that will allow us to have very accurate guardrails,
[00:33:42.660 --> 00:33:44.220]   which are very precise.
[00:33:44.220 --> 00:33:45.060]   That's right.
[00:33:45.060 --> 00:33:47.220]   And it will make it ask for clarification
[00:33:47.220 --> 00:33:48.740]   where it's unsure,
[00:33:48.740 --> 00:33:53.140]   or maybe say that it doesn't know something
[00:33:53.140 --> 00:33:57.580]   when it doesn't know, and do so extremely reliably.
[00:33:57.580 --> 00:34:01.940]   So I'd say that these are some of the bottlenecks, really.
[00:34:01.940 --> 00:34:04.100]   So it's not about whether it exhibits
[00:34:04.100 --> 00:34:06.140]   some particular capability,
[00:34:06.140 --> 00:34:08.780]   but more how reliably, exactly.
[00:34:08.780 --> 00:34:09.820]   Yeah.
[00:34:09.820 --> 00:34:13.860]   You know, speaking of factualness and factfulness,
[00:34:14.900 --> 00:34:19.900]   hallucination, I saw in one of the videos
[00:34:19.900 --> 00:34:25.340]   a demonstration that links to a Wikipedia page.
[00:34:25.340 --> 00:34:29.060]   Does retrieval capability,
[00:34:29.060 --> 00:34:31.500]   has that been included in the GPT-4?
[00:34:31.500 --> 00:34:35.980]   Is it able to retrieve information from a factual place
[00:34:35.980 --> 00:34:39.300]   that could augment its response to you?
[00:34:39.300 --> 00:34:44.220]   So the current GPT-4, as released,
[00:34:44.220 --> 00:34:47.060]   does not have a built-in retrieval capability.
[00:34:47.060 --> 00:34:52.060]   It is just a really, really good next-word predictor,
[00:34:52.060 --> 00:34:55.180]   which can also consume images, by the way.
[00:34:55.180 --> 00:34:56.180]   We haven't spoken about it.
[00:34:56.180 --> 00:34:57.380]   Yeah, I'm about to ask you about my technology.
[00:34:57.380 --> 00:34:59.580]   It is really good at images,
[00:34:59.580 --> 00:35:02.380]   which is also then fine-tuned with data
[00:35:02.380 --> 00:35:06.940]   and various reinforcement learning variants
[00:35:06.940 --> 00:35:08.540]   to behave in a particular way.
[00:35:08.540 --> 00:35:14.020]   It is perhaps, I'm sure someone will,
[00:35:14.020 --> 00:35:15.780]   it wouldn't surprise me if some of the people
[00:35:15.780 --> 00:35:19.740]   who have access could perhaps request GPT-4
[00:35:19.740 --> 00:35:21.740]   to maybe make some queries
[00:35:21.740 --> 00:35:25.460]   and then populate the results inside the context,
[00:35:25.460 --> 00:35:27.820]   because also the context duration of GPT-4
[00:35:27.820 --> 00:35:28.780]   is quite a bit longer now.
[00:35:28.780 --> 00:35:29.860]   Yeah, that's right.
[00:35:29.860 --> 00:35:34.860]   So in short, although GPT-4 does not support
[00:35:34.860 --> 00:35:41.780]   built-in retrieval, it is completely correct
[00:35:41.780 --> 00:35:44.460]   that it will get better with retrieval.
[00:35:44.460 --> 00:35:45.740]   Multi-modality.
[00:35:45.740 --> 00:35:50.740]   GPT-4 has the ability to learn from text and images
[00:35:50.740 --> 00:35:56.460]   and respond to input from text and images.
[00:35:56.460 --> 00:36:01.180]   First of all, the foundation of multi-modality learning,
[00:36:01.180 --> 00:36:06.500]   of course, Transformers has made it possible
[00:36:06.500 --> 00:36:08.140]   for us to learn from multi-modality,
[00:36:08.140 --> 00:36:11.500]   tokenized text and images.
[00:36:11.500 --> 00:36:16.340]   But at the foundational level,
[00:36:16.340 --> 00:36:20.540]   help us understand how multi-modality enhances
[00:36:20.540 --> 00:36:25.540]   the understanding of the world beyond text by itself.
[00:36:25.540 --> 00:36:31.620]   And my understanding is that when you do multi-modality
[00:36:35.220 --> 00:36:39.420]   learning, that even when it is just a text prompt,
[00:36:39.420 --> 00:36:41.780]   the text prompt, the text understanding
[00:36:41.780 --> 00:36:43.700]   could actually be enhanced.
[00:36:43.700 --> 00:36:46.780]   Tell us about multi-modality at the foundation,
[00:36:46.780 --> 00:36:50.420]   why it's so important and what's the major breakthrough
[00:36:50.420 --> 00:36:54.020]   and the characteristic differences as a result.
[00:36:54.020 --> 00:36:57.380]   So there are two dimensions to multi-modality,
[00:36:57.380 --> 00:37:00.140]   two reasons why it is interesting.
[00:37:01.260 --> 00:37:06.220]   The first reason is a little bit humble.
[00:37:06.220 --> 00:37:09.580]   The first reason is that multi-modality is useful.
[00:37:09.580 --> 00:37:13.180]   It is useful for a neural network to see,
[00:37:13.180 --> 00:37:18.740]   vision in particular, because the world is very visual.
[00:37:18.740 --> 00:37:21.300]   Human beings are very visual animals.
[00:37:21.300 --> 00:37:26.700]   I believe that a third of the human cortex
[00:37:26.700 --> 00:37:27.900]   is dedicated to vision.
[00:37:29.500 --> 00:37:34.500]   And so by not having vision,
[00:37:34.500 --> 00:37:37.100]   the usefulness of our neural networks,
[00:37:37.100 --> 00:37:41.100]   though still considerable, is not as big as it could be.
[00:37:41.100 --> 00:37:45.220]   So it is a very simple usefulness argument.
[00:37:45.220 --> 00:37:48.260]   It is simply useful to see.
[00:37:48.260 --> 00:37:52.060]   And GPT-4 can see quite well.
[00:37:52.060 --> 00:37:57.300]   There is a second reason to the vision,
[00:37:57.300 --> 00:38:00.020]   which is that we learn more about the world
[00:38:00.020 --> 00:38:05.100]   by learning from images in addition to learning from text.
[00:38:05.100 --> 00:38:09.700]   That is also a powerful argument,
[00:38:09.700 --> 00:38:12.700]   though it is not as clear cut as it may seem.
[00:38:12.700 --> 00:38:13.940]   I'll give you an example.
[00:38:13.940 --> 00:38:17.140]   Or rather before giving an example,
[00:38:17.140 --> 00:38:18.660]   I'll make the general comment.
[00:38:18.660 --> 00:38:22.260]   For a human being, us human beings,
[00:38:22.260 --> 00:38:26.420]   we get to hear about one billion words
[00:38:26.420 --> 00:38:28.260]   in our entire life.
[00:38:28.260 --> 00:38:29.100]   - Only?
[00:38:29.100 --> 00:38:30.100]   - Only one billion words.
[00:38:30.100 --> 00:38:31.020]   - That's amazing.
[00:38:31.020 --> 00:38:31.860]   - That's not a lot.
[00:38:31.860 --> 00:38:33.860]   - Yeah, that's not a lot.
[00:38:33.860 --> 00:38:36.020]   - So we need to--
[00:38:36.020 --> 00:38:38.460]   - Does that include my own words in my own head?
[00:38:38.460 --> 00:38:39.860]   (laughing)
[00:38:39.860 --> 00:38:41.660]   - Make it two billion, if you want.
[00:38:41.660 --> 00:38:42.740]   But you see what I mean?
[00:38:42.740 --> 00:38:43.580]   - Yeah.
[00:38:43.580 --> 00:38:45.340]   - You know, we can see that because
[00:38:45.340 --> 00:38:49.220]   a billion seconds is 30 years.
[00:38:49.220 --> 00:38:50.060]   So you can kind of see,
[00:38:50.060 --> 00:38:52.140]   like we don't get to see more than a few words a second,
[00:38:52.140 --> 00:38:53.980]   and then we are asleep half the time.
[00:38:53.980 --> 00:38:55.860]   So like a couple billion words
[00:38:55.860 --> 00:38:58.180]   is the total we get in our entire life.
[00:38:58.180 --> 00:38:59.860]   So it becomes really important for us
[00:38:59.860 --> 00:39:02.700]   to get as many sources of information as we can.
[00:39:02.700 --> 00:39:05.140]   And we absolutely learn a lot more from vision.
[00:39:05.140 --> 00:39:08.380]   The same argument holds true
[00:39:08.380 --> 00:39:10.380]   for our neural networks as well,
[00:39:10.380 --> 00:39:13.780]   except for the fact that the neural network
[00:39:13.780 --> 00:39:16.140]   can learn from so many words.
[00:39:16.140 --> 00:39:20.140]   So things which are hard to learn
[00:39:20.140 --> 00:39:24.700]   about the world from text in a few billion words
[00:39:24.700 --> 00:39:28.420]   may become easier from trillions of words.
[00:39:28.420 --> 00:39:29.860]   And I'll give you an example.
[00:39:29.860 --> 00:39:33.700]   Consider colors.
[00:39:33.700 --> 00:39:38.780]   Surely, one needs to see to understand colors.
[00:39:38.780 --> 00:39:43.180]   And yet, the text-only neural networks
[00:39:43.180 --> 00:39:47.660]   who've never seen a single photon in their entire life,
[00:39:47.660 --> 00:39:50.940]   if you ask them which colors are more similar to each other,
[00:39:50.940 --> 00:39:55.060]   it will know that red is more similar to orange than to blue.
[00:39:55.060 --> 00:39:57.740]   It will know that blue is more similar to purple
[00:39:57.740 --> 00:39:58.660]   than to yellow.
[00:39:58.660 --> 00:40:01.740]   How does that happen?
[00:40:01.740 --> 00:40:05.580]   And one answer is that information about the world,
[00:40:05.580 --> 00:40:07.380]   even the visual information,
[00:40:07.380 --> 00:40:10.380]   slowly leaks in through text,
[00:40:10.380 --> 00:40:12.580]   but slowly, not as quickly.
[00:40:12.580 --> 00:40:13.660]   But then you have a lot of text,
[00:40:13.660 --> 00:40:15.260]   you can still learn a lot.
[00:40:15.260 --> 00:40:19.500]   Of course, once you also add vision
