
[00:00:00.000 --> 00:00:06.260]   was the love at first sight no because all i ever saw was a line of pastors and a line of elders
[00:27:39.740 --> 00:27:44.540]   are we gonna like they need to be able to find us so then we wanted to go where it's most central so
[00:27:44.540 --> 00:27:50.060]   we actually have a venue like right on michigan avenue it's like on what's usually called the front
[00:27:50.060 --> 00:27:56.300]   yard of chicago and like overseas lake michigan buckingham fountain like um so we're right there
[00:27:56.300 --> 00:28:02.220]   yeah so right there it's right yeah so all the public transit leads to there so what is it congress
[00:28:02.220 --> 00:28:08.460]   possible it's like an old hotel um but yeah location's really great yeah yeah so you're you're moving from
[00:28:08.460 --> 00:28:14.540]   like a um like very campus based like we're just gonna focus and love this campus which is great yeah but
[00:28:14.540 --> 00:28:18.140]   you're recognizing there's all this other need there's all these other college students like how do we reach
[00:28:18.140 --> 00:28:23.180]   them too yeah and i imagine that that mean that's a good thing but there's some tough that must have
[00:28:23.180 --> 00:28:27.580]   been tough making that shift what what were some challenges that yeah to making that shift yeah i
[00:28:27.580 --> 00:28:33.740]   mean we really had to pay some costs in order to make this shift and of course the the biggest worry
[00:28:33.740 --> 00:28:40.700]   is um what about our u chicago students are they going to feel like abandoned in some way and um you
[00:28:40.700 --> 00:28:46.060]   know in in some ways there has been a lot of drop off um some for it's just practically harder
[00:28:46.060 --> 00:28:50.540]   yeah practically harder and um i've had some conversations with some of the students that
[00:28:50.540 --> 00:28:54.700]   say this is not the direction like i want to go in but you know kudos to you guys so i've been very
[00:28:54.700 --> 00:29:01.340]   thankful for those conversations um yeah so that was a cost we had to pay but also i've seen some of our
[00:29:01.340 --> 00:29:06.620]   u chicago and illinois tech students that we already had before this shift like i i feel like they've just
[00:29:06.620 --> 00:29:12.060]   really come alive and they're kind of the the older brothers and sisters that they didn't know they could be
[00:29:12.060 --> 00:29:17.180]   in some ways because there are some underclassmen and just new people coming out from the loop which
[00:29:17.180 --> 00:29:22.940]   is downtown chicago these schools that are coming and um just the sense of ownership i see them kind
[00:29:22.940 --> 00:29:29.340]   of taking over our you know our church service and student group like it's been pretty amazing seeing
[00:29:29.340 --> 00:29:33.900]   them put into practice in some ways some of the things that they learned like in concept with us as we
[00:29:33.900 --> 00:29:40.460]   kind of disciple them so what is it about the shift to the loop that has like enabled that like is more
[00:29:40.460 --> 00:29:44.060]   students coming out is it like yeah what's what's sort of what are some of the changes that have
[00:29:44.060 --> 00:29:48.380]   happened with this shift well it's it's definitely more students coming out i mean we our average
[00:29:48.380 --> 00:29:57.420]   attendance went from like uh maybe like 30s low 30s to um to like almost 80 now in the space of like a
[00:29:57.420 --> 00:30:04.380]   year in the space of like a month oh wow right because like i mean because we right because we just started
[00:30:04.380 --> 00:30:09.180]   immediately and you know like yeah so our first welcome night where u chicago students weren't even
[00:30:09.180 --> 00:30:14.700]   there or we did a welcome sunday like on sunday we did the korean barbecue we flyer for that
[00:30:15.500 --> 00:30:19.500]   that's even before u chicago started i think we had something like 130 students who came to that
[00:30:19.500 --> 00:30:26.060]   so that's complete without that they're all colleges in the loop yeah we're reaching maybe like seven or
[00:30:26.060 --> 00:30:31.100]   eight there's there's probably more there's more than that but we have about yeah so they're coming
[00:30:31.100 --> 00:30:36.220]   from seven or eight different colleges yeah primarily though from like three colleges okay yeah so it's uh
[00:30:36.220 --> 00:30:41.660]   so illinois tech got a huge boost so illinois tech i mean we had students coming from that but then now
[00:30:41.660 --> 00:30:45.580]   they're uh they're out there a 10 minute public transit right away so then they can just come
[00:30:45.580 --> 00:30:50.140]   themselves that makes a huge difference so i i really believe in like if you're trying to do city
[00:30:50.140 --> 00:30:54.780]   church or like try using kind of an attractional model then you have to be in a location that people
[00:30:54.780 --> 00:30:59.020]   can find you yeah and you can't rely on rides yeah because there's just something burdensome about
[00:30:59.020 --> 00:31:03.820]   that you know like oh you have to like get into someone's car and they're like coming to pick you up
[00:31:03.820 --> 00:31:08.620]   and you feel bad about yeah yeah so it's a little complicated yeah so i knew it's just the the lot
[00:31:08.620 --> 00:31:16.140]   of people i think having new people then the um our existing students have a chance to kind of show
[00:31:16.140 --> 00:31:21.340]   them the ropes you know sort of yeah yeah but also another shift was that we combined our college and
[00:31:21.340 --> 00:31:27.100]   international groups together oh yeah that's true and became a true city church and the impetus for that
[00:31:27.100 --> 00:31:32.540]   was because we sent out so many people from chicago for foreign missions and so in hyde park at least we
[00:31:32.540 --> 00:31:38.140]   we went from like 12 13 international stuff to like four yeah so it was a pretty drastic shift
[00:31:38.140 --> 00:31:43.420]   so they couldn't maintain momentum on their own so then we just enveloped them into our team and since
[00:31:43.420 --> 00:31:47.420]   they've so then everyone's been pretty much doing double dual kind of double duty yeah and it's been
[00:31:47.420 --> 00:31:51.740]   pretty awesome yeah and then we we did like explicit training on like you know hey how do you
[00:31:51.740 --> 00:31:55.980]   like so how do you talk to international students what are things to watch out for you know what are their
[00:31:55.980 --> 00:32:02.220]   needs um we found that like our our staff were like kind of intimidated by international students
[00:32:02.220 --> 00:32:05.420]   or like they just didn't know like you just don't know how to yeah yeah but it turns out they're
[00:32:05.420 --> 00:32:09.260]   mostly just shy and so then it's not that they're standoffish they're just shy and they actually
[00:32:09.260 --> 00:32:13.740]   really want to connect with you when that mentality shift happens suddenly they were like a lot more
[00:32:13.740 --> 00:32:18.780]   warm yeah and and so then i think our service is really interesting because i i see a lot of that
[00:32:18.780 --> 00:32:24.300]   like you know the mixing between what used to be complete separate domains so they're just more
[00:32:24.300 --> 00:32:31.100]   people for our students to talk with and kind of they they know a lot of our values and culture and they're kind of like
[00:32:31.900 --> 00:32:37.980]   yeah embodying that together which is pretty cool yeah can we talk shop a little bit so like what are
[00:32:37.980 --> 00:32:42.140]   what are some of the things you did to make this happen how did you get the word out like yeah what
[00:32:42.140 --> 00:32:47.740]   yeah what was the strategy yeah yeah so well well first of all we have to get buy-in from like internal
[00:32:47.740 --> 00:32:55.180]   buy-in right so i mean we had been so we had been talking about this idea for a while uh like two years
[00:32:55.180 --> 00:33:00.540]   ago when we started two years ago yeah like every like you know the every campus thing i was that about two years ago yeah so
[00:33:00.540 --> 00:33:04.140]   you know we that's when we started doing prayer walks and we started becoming aware well there's
[00:33:04.140 --> 00:33:09.500]   a vandercook school of music who knew there's like 100 students there like and we we would go and pray
[00:33:09.500 --> 00:33:14.060]   and we're like yeah we should pray for this camp never imagining that we would actually reach anyone
[00:33:14.060 --> 00:33:19.740]   from that campus you know like great faith we had right so um let's just pray yeah we just pray but
[00:33:19.740 --> 00:33:25.820]   we're not gonna actually do anything so then um so so that started and then increasingly we felt like
[00:33:25.820 --> 00:33:33.020]   um university of chicago like we we gave four good years to that campus we i think we figured out a
[00:33:33.020 --> 00:33:38.460]   strategy to try to reach people there but it was really slow private uh school ministry slow very
[00:33:38.460 --> 00:33:45.340]   busy yeah busy um uh you know very intellectual um so which are all good things but then slow so then
[00:33:45.340 --> 00:33:50.300]   but then we had all these staff so we're like okay well we need to increase the pie like we need to
[00:33:50.300 --> 00:33:54.860]   increase the amount of ministry that is available for our staff so that that's the that was the impetus
[00:33:54.860 --> 00:34:01.900]   for it so then we we had like a meeting back in february of this past year uh where we we presented a
[00:34:01.900 --> 00:34:09.260]   kind of um is it a post parade like experience like hey we we are a sunday service with a hundred
[00:34:09.260 --> 00:34:14.060]   students from five different campuses you know from these and then we just listed random campuses and
[00:34:14.060 --> 00:34:20.620]   and they're all worshiping together it's january 2025 yeah yeah and this is a scenario like how did this
[00:34:20.620 --> 00:34:26.700]   happen so then and a lot of the staff's reaction to that was like ha what are you talking about
[00:34:26.700 --> 00:34:36.860]   okay okay like i'll i'll i'll fill this out i mean let me do yeah so then um so but then but then when we
[00:34:36.860 --> 00:34:41.020]   talked about it people started getting excited okay like we should try it this is this is worthy of trying
[00:34:41.020 --> 00:34:45.260]   and then we we then in our following month we had a discipleship retreat to talk to our upperclassmen
[00:34:45.260 --> 00:34:49.740]   about it um and so then in that initial brainstorm they were like they were getting excited too and
[00:34:49.740 --> 00:34:54.700]   having them think about the implications of all this yeah and so then right the month after that in
[00:34:54.700 --> 00:34:59.500]   april we did a pilot uh so we realized because you know when we start in august we're not gonna have
[00:34:59.500 --> 00:35:04.380]   any students like because you chicago students are not here so we need to like get some reps in before
[00:35:04.380 --> 00:35:09.660]   we actually start so then we did two pilot services in downtown and during those weeks we just tried
[00:35:09.660 --> 00:35:15.580]   different outreach tactics um being out in the city uh we did uh walking prayer walks so people
[00:35:15.580 --> 00:35:21.100]   know where all the buildings are um but basically we realized we realized it's really really hard
[00:35:21.100 --> 00:35:25.740]   like because there's just so much going on in downtown so then that's when the the shark suits uh
[00:35:25.740 --> 00:35:31.740]   happened so we have these inflatable blue like baby shark looking shark suits um like giant like seven
[00:35:31.740 --> 00:35:41.260]   feet ones and then um robin for whatever had two of them she had one because of her roommate back in berkeley
[00:35:41.260 --> 00:35:45.580]   during covid was doing a different kind of ministry like kids ministry and they just happened to have
[00:35:45.580 --> 00:35:53.660]   this costume and robin said okay i'll get one with you um to help you know and then so we brought one to chicago when
[00:35:53.660 --> 00:35:59.180]   she moved and we had used it in chicago for uh our kids birthdays that's that's that's when we had used
[00:35:59.180 --> 00:36:03.740]   them last but then basically we we were like oh we just need to do something more visible so we started
[00:36:03.740 --> 00:36:09.580]   using that too but also our church name is voyage yes okay so it kind of works like oh there's that
[00:36:09.580 --> 00:36:17.500]   naval yeah okay okay yeah so yeah so we just tried a bunch of stuff so people are walking in downtown chicago
[00:36:17.500 --> 00:36:22.460]   they see someone in an inflatable blue shark costume voyage church and they see like 10 of us
[00:36:22.460 --> 00:36:27.260]   out there on a street corner not like two but like 10 and we're just hanging out we're giving flyers
[00:36:27.260 --> 00:36:33.020]   we're giving out donuts where they take a survey yeah yeah yeah yeah that is pretty eye-catching
[00:36:33.020 --> 00:36:39.100]   but it was we didn't get that much traction though so uh so originally our faith goal had been like
[00:36:39.100 --> 00:36:43.020]   oh let's get like 20 students to come to our pilot service and then we lowered it to five
[00:36:44.300 --> 00:36:49.020]   oh my gosh this is really hard but then actually eight people came yeah eight people came so then
[00:36:49.020 --> 00:36:52.780]   it was like not as much as we initially thought but hey okay there's something there but i think a
[00:36:52.780 --> 00:36:56.940]   lot of us still were like i'm not sure about this because it was really hard like it's way different
[00:36:56.940 --> 00:37:01.820]   from being on a college campus so and you can't tell who's a college student walking near yeah yeah
[00:37:01.820 --> 00:37:06.620]   in downtown yeah and then we knew that we had to be there to drive it you know because like so 22
[00:37:06.620 --> 00:37:11.180]   coordinating 22 23 staff like making this happen so because actually we were supposed to go to slt
[00:37:11.900 --> 00:37:16.940]   but then we had to ask to not go to that so that we could drive this new strategy um because it was
[00:37:16.940 --> 00:37:23.580]   right at the same time so anyways in august we we just we just bet big on it we set dates for a bunch
[00:37:23.580 --> 00:37:28.700]   of welcome events oh i forgot actually the thing that actually encouraged us in that month not the
[00:37:28.700 --> 00:37:37.340]   sunday service was a boba social we had and that boba social had like 80 people show up yeah so yeah and
[00:37:37.340 --> 00:37:43.660]   so then that was like yeah we advertised it as a we're not really stranger social event with free
[00:37:43.660 --> 00:37:49.180]   boba okay there's the card card card game but we sort of yeah we we got that idea from one of the other
[00:37:49.180 --> 00:37:56.220]   churches yeah and so we just decided to run that and um and man just kind of like hey come boba meet
[00:37:56.220 --> 00:38:03.820]   people yeah yeah and we realized boba cells at least in downtown people will come so then we were like
[00:38:03.820 --> 00:38:10.220]   whoa so people are and what we heard from them is oh yeah no one's doing this kind of stuff like no
[00:38:10.220 --> 00:38:13.820]   one's gathering college students and these students that i talked to at the social they were like i'm
[00:38:13.820 --> 00:38:20.940]   really shy but and but i don't know how to make friends and there's no campus for them it's a building
[00:38:20.940 --> 00:38:26.300]   one building that they're all in and like you know some pseudo dorms so then they were like i was so
[00:38:26.300 --> 00:38:30.460]   shy and i was really scared but then i'm so glad you guys did this because i haven't talked to anyone in
[00:38:30.460 --> 00:38:35.820]   like three months oh my god you guys are meeting a real felt need yeah right and they wouldn't leave
[00:38:35.820 --> 00:38:40.700]   we had to kick them out we said we have to have like there was a line out the door with people that
[00:38:40.700 --> 00:38:45.820]   said like i want to come to this and so we shut the door and said you need to wait a little bit yeah we
[00:38:45.820 --> 00:38:49.580]   changed it on the fly like it was going to be like an hour social but we changed it to two 30 minute
[00:38:49.580 --> 00:38:53.820]   socials and we had to cycle people out and cycle people out yeah and we bought like more boba than
[00:38:53.820 --> 00:38:59.580]   we had originally at the time we just did the the closer method where we just stood at the door every
[00:38:59.580 --> 00:39:06.540]   person who leaves got a that was in august yeah so so when yeah so when fall started we basically
[00:39:06.540 --> 00:39:13.260]   like kind of reconvened all those ideas and um our strategy was essentially to just bring people to
[00:39:13.260 --> 00:39:19.980]   sunday service get people to sunday service and and so it was firing tabling that leads to a easier
[00:39:19.980 --> 00:39:24.380]   event to sell like a boba social right and at the boba social hopefully they have a good time and they
[00:39:24.380 --> 00:39:29.580]   have a good experience and then we would uh using the closer method we've you know we're calling it the
[00:39:29.580 --> 00:39:33.820]   closure method nowadays but you know every person who comes as they leave they're going to get a flyer
[00:39:33.820 --> 00:39:39.740]   yeah like hey like and that thing for us was uh sunday service yeah sunday service this sunday
[00:39:39.740 --> 00:39:43.980]   service hey we're doing korean barbecue right and so that that's what it was and so that's how we got
[00:39:43.980 --> 00:39:47.740]   the 130 people to come did you did you give some sort of spiritual talk at the social or was it just
[00:39:47.740 --> 00:39:52.540]   purely no no purely social but we made it very clear we said it multiple times that we're a church yeah
[00:39:52.540 --> 00:39:56.700]   we're a christian group and some of the questions were about god at the end yeah there was one question
[00:39:56.700 --> 00:40:01.260]   at the end usually about you could ask god anything what would it be yeah yeah so then they kind of get a
[00:40:01.260 --> 00:40:06.940]   little bit of taste of that so um so and then we just ran that strategy like in the loop we ran that
[00:40:06.940 --> 00:40:11.340]   strategy at iit we ran that strategy so we just kept running the same strategy over and over again
[00:40:11.340 --> 00:40:17.900]   at u chicago yeah yeah so since then how have your um how's your team like how's it affected your team
[00:40:17.900 --> 00:40:21.260]   what are the shifts and how do they feel about it now because they were a little skeptical in the
[00:40:21.260 --> 00:40:26.780]   beginning right now everyone's like oh i can't believe we haven't done this like why didn't we do
[00:40:26.780 --> 00:40:34.540]   this earlier this makes so much sense this makes so much sense yeah i mean yeah because people actually
[00:40:34.540 --> 00:40:41.580]   have like more people that they're having a chance to share the gospel with mentor um and just it's so
[00:40:41.580 --> 00:40:49.180]   and for me the diversity of the people in the group um not just ethnic diversity but um kind of
[00:40:49.180 --> 00:40:54.620]   socioeconomic diversity you know because u chicago tends to attract students from all over the nation
[00:40:54.620 --> 00:41:00.060]   a certain kind of background right and then we get like students from chicago who are more local
[00:41:00.060 --> 00:41:06.220]   students who are choosing to go to that school because financial reasons right so the gamut it runs
[00:41:06.220 --> 00:41:11.820]   the gamut so um i just i love that picture of all these people getting to know each other and
[00:41:11.820 --> 00:41:17.180]   worshiping together yeah something about that that's been really invigorating so um yeah i really
[00:41:17.180 --> 00:41:23.660]   appreciate that and then i feel like the students are um because there's more of them maybe but um
[00:41:23.660 --> 00:41:29.100]   they're quickly getting very excited and getting plugged in so a couple of them are actually coming
[00:41:29.100 --> 00:41:33.980]   to actually when a conference you know and even though they're like so new um they've they've been
[00:41:33.980 --> 00:41:38.220]   to multiple service projects with us already like that we've done so has it been mostly like christians
[00:41:38.220 --> 00:41:46.060]   that you're drawing um we're still mostly church yeah but church non-christians like people who are
[00:41:46.060 --> 00:41:50.540]   church and they know they're not christian yeah so we're getting a lot more of those and we've had
[00:41:50.540 --> 00:41:58.380]   yeah like several salvations yeah i think we've had a couple 13 salvations this past wow that's amazing
[00:41:58.380 --> 00:42:04.540]   yeah and i think half of over half of them are from the new campus wow yeah yeah and so any advice for
[00:42:04.540 --> 00:42:08.780]   someone thinking of starting up like the city church model i mean it doesn't work everywhere like we don't
[00:42:08.780 --> 00:42:13.420]   ruckers we don't we don't have a city he runs like philly i know they've been kind of flirting with the
[00:42:13.420 --> 00:42:17.660]   ideas so i don't know what are some tips you'd give for people thinking about this yeah maybe speak into like that
[00:42:17.660 --> 00:42:23.500]   sentiment of like why didn't you do this yeah you know it seems so obvious now but what would you say
[00:42:23.500 --> 00:42:32.220]   i think i think a big mentality shift has been just the need to i i think traditionally in in ministry we
[00:42:32.220 --> 00:42:36.940]   feel like we're doing a successful ministry if we're meeting with a certain group of people a certain
[00:42:36.940 --> 00:42:43.340]   group of students do very regularly um you see them every week maybe even multiple times a week and you
[00:42:43.340 --> 00:42:49.180]   feel like you're you're like pouring into those people and influencing them yeah so it's essentially like you have
[00:42:49.180 --> 00:42:53.900]   your small group that you're ministering to um i feel like we've had to really get rid of that one one
[00:42:53.900 --> 00:42:59.820]   completely arbitrary false limitation that we put on our staff for all planning was you are not
[00:42:59.820 --> 00:43:06.860]   allowed to do any weekly events nothing is allowed to be weekly unless it's explicitly time bound
[00:43:07.740 --> 00:43:14.140]   oh even dt i said it can't be every week yeah don't get it a little scandalous time bound meaning like
[00:43:14.140 --> 00:43:19.260]   this is only going to go for three weeks you say like this is only happening for yeah four weeks
[00:43:19.260 --> 00:43:25.180]   whatever like you decide that ahead of time and you have to end it right so so why that why like
[00:43:25.180 --> 00:43:30.060]   explain a little bit more about that limitation related to what we feel like it's yeah i think it's
[00:43:30.060 --> 00:43:35.660]   because that's i i felt like that was the only way we could get us to not keep investing into u chicago
[00:43:35.660 --> 00:43:39.980]   because university chicago obviously like we've invested so much into we love the campus we love
[00:43:39.980 --> 00:43:45.180]   our students there and we will there's a there's a part of us that like you know what even if it's not
[00:43:45.180 --> 00:43:50.140]   fruitful we will just give our lives to try to reach this campus someone needs to do it and we're willing
[00:43:50.140 --> 00:43:55.740]   to do that and so which is a very admirable sentiment but then someone maybe needs to go well maybe you
[00:43:55.740 --> 00:43:59.820]   should maybe that's an over investment because there's all these other yeah right exactly and so
[00:43:59.820 --> 00:44:06.300]   as we saw like all the other students that put that actually when you look at it there nobody's
[00:44:06.300 --> 00:44:11.980]   reaching there's very few churches or even parachurch organizations that are reaching like the downtown
[00:44:11.980 --> 00:44:17.500]   area whereas i would say university chicago is like really well served really well served there's
[00:44:17.500 --> 00:44:25.020]   like four solid evangelical churches in the area uh and like three or four parachurch kind of groups on
[00:44:25.020 --> 00:44:31.980]   campus so they're like really well served so um it just made sense that we should maybe divert our
[00:44:31.980 --> 00:44:38.140]   resources a little bit yeah and the only way for us to emotionally get out of our need to go back to
[00:44:38.140 --> 00:44:44.620]   u chicago was to put these like really false good like practical things sometimes you need that limitation
[00:44:44.620 --> 00:44:49.260]   yeah to make the shift that you know you need so we're gonna lift that limitation like in 2025 yeah
[00:44:49.260 --> 00:44:54.460]   because it was just temporary it's not like yeah it's not some like principled thing but it was just the way to
[00:44:54.460 --> 00:45:00.540]   force us to think differently yeah also i think what was key was um kind of being strategic about
[00:45:00.540 --> 00:45:07.100]   our staff hr because we did have a group dedicated to still ministering to u chicago and iit students
[00:45:07.100 --> 00:45:12.940]   that were already existing and i think if we didn't do that then we couldn't have really had the bandwidth
[00:45:12.940 --> 00:45:19.660]   to think about oh yeah so we worked in pods this year yeah yeah and so we have the loop pod pods are just smaller
[00:45:19.660 --> 00:45:24.460]   groupings of staff about like four to six but like with the voyage thing like pods of whales
[00:45:24.460 --> 00:45:29.900]   was that thinking there no well we didn't think about that that's clever yes sharks don't travel in
[00:45:29.900 --> 00:45:36.460]   pods oh yeah they're loners yeah um i forgot what i was gonna say that we had pods that we had some
[00:45:36.460 --> 00:45:42.220]   um yeah for you chicago that enabled you to kind of break your bandwidth i think it was key that we um
[00:45:42.220 --> 00:45:46.460]   because before we had tried to do some loop outreach but it was always like younger stuff kind of being
[00:45:46.460 --> 00:45:51.020]   sent out but i realized that whatever the harder thing to do is like we have we have to do it like the new
[00:45:51.020 --> 00:45:55.100]   thing is we have to be there so that was also a big shift so then we pulled our we pulled ourselves
[00:45:55.100 --> 00:45:59.980]   completely out of u chicago ministry but then we still saw them because actually our entire team we
[00:45:59.980 --> 00:46:06.300]   just even though we were in pods we did everything like we we said okay loop is doing an event
[00:46:06.300 --> 00:46:11.660]   everybody come and help international at u chicago's doing an event everybody come help and it was
[00:46:11.660 --> 00:46:17.420]   the we're better together thing really was necessary to kind of launch city so essentially our schedule
[00:46:17.420 --> 00:46:23.660]   was like each week had a focus and actually all of the staff would do that so like this week was u chicago
[00:46:23.660 --> 00:46:29.340]   college this week is u chicago international this week is iit international college this week is loop so
[00:46:29.340 --> 00:46:33.660]   those were essentially the four and then we just repeat that and then just do a different set of events
[00:46:33.660 --> 00:46:38.620]   at those same four campuses and everyone will come to that the staff and the u chicago pod are like
[00:46:38.620 --> 00:46:44.780]   letting the u chicago students know hey you guys come and do this with us yeah yeah yeah and then you know like
[00:46:44.780 --> 00:46:50.380]   and then child care and things like that get worked up by you know if you're not the main pod for that
[00:46:50.380 --> 00:46:55.500]   area then you know it's your turn to do child care yeah got it got it how big is your staff team now 22
[00:46:55.500 --> 00:47:03.900]   team yeah how many pods like three three three yeah it's very easy very easy yeah so basically just like
[00:47:03.900 --> 00:47:10.300]   one couple can sit out you know yeah and we're fine wow well that's really exciting to hear and i think
[00:47:10.300 --> 00:47:16.460]   that that gives um like a whole network um a lot to think about um in terms of yeah like this how do you
[00:47:16.460 --> 00:47:20.460]   shift from like a campus specific ministry to like a city what are the things you need to do to make it
[00:47:20.460 --> 00:47:24.540]   work um why would you even make that step in the first place because campus is like such an amazing
[00:47:24.540 --> 00:47:28.220]   place to do ministry but why would you even make that shift in the first place and i think we're just
[00:47:28.220 --> 00:47:34.300]   really like 13 salvations that's amazing praise the lord so really happy to hear about that and um
[00:47:34.300 --> 00:47:40.860]   yeah that's wild any last things or yeah no thank you guys for for another podcast and yeah i think it's
[00:47:40.860 --> 00:47:47.340]   gonna bless a lot of people so thank you we have like a outro tagline oh yeah um thanks like and
[00:47:47.340 --> 00:47:53.020]   subscribe i guess i have to say that we're really bad at this um yeah like and subscribe and uh tune in
[00:47:53.020 --> 00:47:55.420]   in for the next episode all right see you guys next time

