
[00:00:00.000 --> 00:00:02.080]   Go first, then.
[00:25:25.800 --> 00:25:26.800]   It's really hard.
[00:25:26.800 --> 00:25:29.420]   And how would they actually know whether a document is good or not?
[00:25:29.420 --> 00:25:33.560]   Unless they have absolute, firstly, they will never build track.
[00:25:33.560 --> 00:25:35.220]   You'll never build measure recall.
[00:25:35.220 --> 00:25:38.940]   The best that you can do is measure precision, but precision is also pretty, it's not bad.
[00:25:39.360 --> 00:25:41.100]   It's actually, it goes a long way.
[00:25:41.100 --> 00:25:47.740]   So that's how this last graph here is really making me think a lot about this.
[00:25:47.740 --> 00:25:50.360]   And yeah, so I'll stop here.
[00:25:50.360 --> 00:25:53.320]   I have two quick comments on that.
[00:25:53.320 --> 00:25:57.140]   One is, I wonder how other models will shape up.
[00:25:57.140 --> 00:26:02.360]   Like we have LamaGuard as a hallucination detection model, which you can implement live.
[00:26:02.540 --> 00:26:03.540]   And then it's great now.
[00:26:03.540 --> 00:26:04.240]   Yeah.
[00:26:04.240 --> 00:26:09.800]   So will there be a sort of, you know, rag checker type model that we can implement in systems?
[00:26:09.800 --> 00:26:12.460]   And how much will systems have an effect to this, right?
[00:26:12.460 --> 00:26:16.960]   Models that are specialized at this sort of QA task of, is this the correct document?
[00:26:17.200 --> 00:26:21.600]   And it's past just embedding and similarity search.
[00:26:21.600 --> 00:26:26.960]   But, you know, can we have a quick, small model that just references documents and sees if we can optimize them?
[00:26:26.960 --> 00:26:31.840]   Similar to how we currently have like, you know, rag with re-rank or hide embedding, stuff like that.
[00:26:31.840 --> 00:26:34.180]   Will we just have models that abstract this away?
[00:26:34.940 --> 00:26:48.180]   And then the other point is, in two pretty large use cases that I built in medical and legal, we actually had it pretty easy to have a human in the loop for feedback for if documents are suggested.
[00:26:48.180 --> 00:26:53.040]   So, for example, for lawyers, we had a quick QA sort of chatbot.
[00:26:53.660 --> 00:27:03.240]   And what happened was, if we, you know, automatically just had an output, basically everyone would just take the LLM's word, even if it was incorrect.
[00:27:03.240 --> 00:27:10.180]   So we had to scale back and be like, okay, what we ended up on was a sort of fill-in-the-blank multiple-choice style output.
[00:27:10.180 --> 00:27:16.000]   So you would have a reference document, you would have a subset, and then you would have to fill in sort of what would happen.
[00:27:16.000 --> 00:27:19.680]   This was kind of our middle ground to make sure that there was a human in the loop.
[00:27:19.800 --> 00:27:24.960]   Because if you just have, you know, is this correct? Check or X is what we did.
[00:27:24.960 --> 00:27:32.160]   Everyone would just press the check, and we had like 90-something percent success rate on just, yep, this is right, and people wouldn't really check the document.
[00:27:32.160 --> 00:27:40.100]   But if we gave them a snippet, and then they had to kind of find the result, they could either, you know, leave a comment that this is not, like the result isn't here,
[00:27:40.100 --> 00:27:47.400]   which we had like a significant greater than 10% of the time, or they could get the reference there, and it was still like highly impactful.
[00:27:47.900 --> 00:27:52.280]   I know we kind of used that data to build our own guardrail for the system, but I don't know.
[00:27:52.280 --> 00:27:56.920]   I found that there were pretty clever ways to get these human in the loop of, do we have the right document?
[00:27:56.920 --> 00:28:03.680]   And we actually did it from a guardrail of just, we can't have people just accept every AI response, because models were pretty shit.
[00:28:03.680 --> 00:28:08.900]   We didn't have great LM as a judge, but that was just one use case we came around for that.
[00:28:09.520 --> 00:28:18.680]   That's pretty cool, Vibu. I hope you have nothing on plan next Saturday and Sunday, because that's the only thing that we'll be talking about when I'm in SF next week.
[00:28:18.680 --> 00:28:25.000]   Yeah, I don't know if I can actually get regular non-paying users to do this.
[00:28:25.000 --> 00:28:29.980]   You can imagine, you know, I'm just reading my book. Do I actually want to provide the right data?
[00:28:30.620 --> 00:28:33.420]   I don't know. But okay, over to whoever's next.
[00:28:33.420 --> 00:28:36.240]   Okay. Six, you want to go next? I got next.
[00:28:36.240 --> 00:28:38.460]   Ted, question. Open.
[00:28:38.460 --> 00:28:40.620]   Yeah, I think Vibu's next, but yeah, go ahead, Ted.
[00:28:41.440 --> 00:28:55.000]   Yeah, just a quick question, Eugene. I'm curious if you've looked at, like, there was the writing in the margins papers, one that I know about, and, you know, sort of like trying to improve rag instead of just doing vanilla rag.
[00:28:55.000 --> 00:29:04.040]   I think Sam actually got his folks to present the writing in the margins paper. So yeah, I'm familiar with that. I'm familiar with that.
[00:29:04.700 --> 00:29:11.300]   I have not invested too much time experimenting and implementing that. But yes, I'm aware of that. Thank you.
[00:29:11.300 --> 00:29:18.040]   Also, it's another note when you bring up, do we need rag or all the context? So once again, shout out, Sam.
[00:29:18.040 --> 00:29:25.900]   Ryder team shipped their new model this week. One thing I gave feedback was, if I like to just share my screen right now.
[00:29:25.900 --> 00:29:37.300]   Sorry, Sam, I'm calling you out live. But, so, where is this? Is this the right tab? This is the right tab.
[00:29:37.300 --> 00:29:45.380]   Basically, they mentioned that, you know, it takes 22 seconds to process a million tokens.
[00:29:45.860 --> 00:29:51.620]   And my question is basically, like, how many people know how long any other model takes to process a million tokens, right?
[00:29:51.620 --> 00:29:59.120]   Like, as you go to, let's say I want 10 million tokens in context, you know, does this scale to now 10x longer?
[00:29:59.120 --> 00:30:06.440]   Is it, like, over two to three minutes per query? And, yeah, do people really, like, people are used to pretty quick answers, right?
[00:30:06.460 --> 00:30:15.900]   But when I'm building a rag system, like, sure, we have agentic stuff, but, like, are we okay with 22 million seconds for a million tokens?
[00:30:15.900 --> 00:30:22.020]   And if you're saying this, is this, like, a good thing? Like, is 22 seconds quick? How long are other models?
[00:30:22.020 --> 00:30:28.900]   I don't know this, and I thought I would go through it. But, yeah, I feel like it's also just another consideration, right?
[00:30:28.900 --> 00:30:39.440]   But, like, as we throw more tokens, yeah, these things take a while. Like, we're used to that instant response. And, yeah, I don't know, just something to know if we just do long context.
[00:30:39.440 --> 00:30:42.360]   I'm assuming you guys do it.
[00:30:42.360 --> 00:30:57.860]   This was surprisingly difficult to find comparisons on. I was trying to build, like, a little, like, homegrown benchmarking thing to test other models, but I couldn't, I didn't have, like, the API levels or the, like, credits to be able to actually make it work.
[00:30:57.920 --> 00:31:03.720]   I could test it on, like, some of the smaller models, because I could get my context window limitations up higher.
[00:31:03.720 --> 00:31:13.780]   But it was, yeah, it's actually not a solved problem yet of, like, testing models on million token requests right now.
[00:31:13.780 --> 00:31:24.900]   Yeah, a lot of it also just meant, like, matters on, you know, are you doing your own inference? What hardware? Is the API provider optimizing for throughput? Time the first token?
[00:31:25.940 --> 00:31:33.880]   So, I guess there's, like, yeah, it's just another parameter to think about. If you're doing long context versus RAG, we don't think much about what goes into RAG, right?
[00:31:33.880 --> 00:31:42.160]   They're just short responses. But, yeah, now if you're doing something like this, you know, you got to think about, oh, shit, I have millions of tokens per call.
[00:31:42.160 --> 00:31:43.940]   How do I optimize on this?
[00:31:45.240 --> 00:31:50.780]   But, yeah, that's enough of my writer thing. But check out the model. It seems cool. I haven't tried it.
[00:31:52.880 --> 00:31:54.540]   Thanks, FeeBoo. Your check is in the mail.
[00:31:54.540 --> 00:31:59.840]   Definitely not sponsored. But they have sick merch.
[00:31:59.840 --> 00:32:03.160]   Swix, you want to go next? Should I go next?
[00:32:03.160 --> 00:32:07.960]   I thought we said it was you, but I'm easygoing.
[00:32:07.960 --> 00:32:12.040]   Okay, I'm struggling on my screen share. There we go. We're good.
[00:32:12.660 --> 00:32:12.880]   Okay.
[00:32:12.880 --> 00:32:14.940]   No, no, I got it. It works now.
[00:32:14.940 --> 00:32:22.900]   Okay, so I think I shared the paper at the beginning of the call. I'll share it again real quick.
[00:32:25.460 --> 00:32:45.820]   So basically, this is a little survey paper. Something that I was kind of annoyed by is how before, here we go, we used to kind of have the default be that, you know, big companies make big model.
[00:32:45.820 --> 00:32:51.820]   Big model is fast and smart. And also, is my screen share working? It wasn't working on this before.
[00:32:51.820 --> 00:32:52.080]   Yes.
[00:32:52.260 --> 00:33:04.680]   Okay, sick. So before, you know, models would get smarter, faster, cheaper, and that's great. Like stuff is getting cheaper for us. Now that we have reasoning models, well, they've kind of passed the cost on to us, right?
[00:33:04.680 --> 00:33:13.420]   Now I have to pay more for simple reasoning tokens, even though I have basic questions. And I don't want to pay more. I want the big open AI Gemini to pay that cost, right?
[00:33:13.420 --> 00:33:25.180]   And I also don't like how stuff gets slower. So I was like, someone needs to figure out, like, we got to stop throwing reasoning models at everything. We still want great next token predictors.
[00:33:25.840 --> 00:33:43.000]   And like, too many people are using reasoning models for the wrong thing. So like last week, this reasoning survey paper came out. It wasn't the best, but you know, it'll be a good little fill in. So basically, they're trying to coin this term of reasoning economy.
[00:33:43.760 --> 00:33:50.720]   When should we use reasoning models? And they're just like an overview of what are different techniques for post-training reasoning, pre-training reasoning.
[00:33:50.720 --> 00:33:57.360]   So like chain of thought is a version of this. And then how do these systems perform? How can we prune out chain of thought?
[00:33:57.360 --> 00:34:03.760]   And they just like, this is kind of the first reasoning paper that we found here. So I figured we might as well go through it a little bit.
[00:34:03.760 --> 00:34:18.520]   So they kind of have these two systems of reasoning where they're system one and system two. System one is like computationally efficient, but suboptimal, where we have, let's see, what is this again?
[00:34:18.520 --> 00:34:32.620]   Oh, they also have a GitHub repo where they're tracking all this, but I forgot what system one, system two was system two. Oh, so it's like reasoning models and then regular text decoding models, right?
[00:34:32.620 --> 00:34:50.140]   So they kind of start out by saying like, there are some inefficiencies in this, right? We have models wasting tokens. We have like fake thinking where models are just outputting tokens. There's problems in RL where we've RL models and now they're over optimizing on length.
[00:34:50.140 --> 00:34:58.860]   Chain of thought can like help, but it's not a training time. So how do we kind of like look at what's going on here?
[00:35:00.140 --> 00:35:09.480]   There's the two stages, right? There's post-training and then there's the test time. So test time thinking is like, you know, MCTC, Monte Carlo Tree Search MCTS.
[00:35:09.480 --> 00:35:20.960]   There's techniques like you could do speculative decoding, have a little model do stuff fast and then have a big model check it. You could do chain of thought. You could run multiple queries and kind of condense them.
[00:35:20.960 --> 00:35:31.620]   They also have the agent concept where you can have like an agentic model. Then there's the post-training stage where you could do this natively in the model. You can have SFT to kind of do reasoning.
[00:35:31.960 --> 00:35:43.280]   And then they show, you know, like you can have a thousand samples of reasoning data, a thousand sample reasoning data set kind of train in reasoning. You could do proper RL. They dissect a lot of DeepSeq R1 in this paper.
[00:35:43.860 --> 00:35:54.360]   And then there's inefficiencies, right? So RL, you have a length bias. You have deceptive behaviors when you're doing RL. We don't know how to optimize all this or test time when you're doing it.
[00:35:54.360 --> 00:36:09.700]   That inference, you know, we're doing like inefficient usage of computation. So for example, there's a paper that cites, they do up to a thousand to 10,000 parallel calls of Lama 8B. And they're like, yeah, you know, we don't need 10,000 Lama 8B calls for one question.
[00:36:11.160 --> 00:36:22.700]   Then there's like, okay, how do we address these changes, right? So there's the architecture level. What are people working on for model level stuff for reasoning? Those algorithmic stuff, there's the data that goes into it.
[00:36:22.700 --> 00:36:34.440]   And then for the inference side, you know, there's stuff where you can force in an adaptive budget. So for example, you can give in a token that says, how much budget do you want in this question? And then the model learns to follow it.
[00:36:34.700 --> 00:36:45.800]   There's basic routers where you can route to a small, medium, high model, and they sort of cite how O3 does this. So there's O3 mini, O3 high, regular O3. You can have a router.
[00:36:45.800 --> 00:36:54.480]   There's agents. There's the decoding side. So you can do this at inference time. There's different techniques you can do. And they just kind of go through all this.
[00:36:54.480 --> 00:37:03.740]   Let's continue on through here. So this is kind of, you know, a bit of background. What's going on here? What are some of the issues? What are the methods?
[00:37:03.740 --> 00:37:12.360]   So post-training, yeah, we have SFT. You can do SFT and get basic reasoning. They have this cool little diagram chart here.
[00:37:12.360 --> 00:37:23.940]   It kind of shows different processes that we can do, right? So for the reasoning in training time, we can do post-training and we can do test time models.
[00:37:23.940 --> 00:37:34.040]   So we can do SFT, RL. There's parallel methods where you can kind of, you know, shoot out a bunch of models, shoot out a bunch of queries, condense them down in a sort of pipeline.
[00:37:34.500 --> 00:37:41.160]   Then there's, and they show kind of papers that do this, how they perform, how we can prune out chain of thought, how we can make it more efficient.
[00:37:41.160 --> 00:37:45.180]   There's sequential methods. So this is kind of like your pipeline approach, you know.
[00:37:45.920 --> 00:37:51.860]   You have human in the loop. You have guardrails. You have different tool usage. There's different sequential methods.
[00:37:51.860 --> 00:38:01.740]   For post-training, there's stuff like length biases. So, you know, models, there's overly cautious language models.
[00:38:01.920 --> 00:38:06.920]   There's fake thinking that comes in when you do RL. This is just because we don't have the best RL methods.
[00:38:06.920 --> 00:38:17.840]   Then inefficient model usage. So unreasonable algorithmic section, you know, they don't always choose the right algorithm to use.
[00:38:17.840 --> 00:38:24.720]   Are we using the right pipeline for the right task? So are we sending the right queries to the right models?
[00:38:25.540 --> 00:38:31.920]   Unreasonable compute allocation. Of course, you know, this is basically, do you need the biggest model for the basic task?
[00:38:31.920 --> 00:38:39.560]   And can you optimize little models? Then we've got on the other side, you know, the data.
[00:38:39.560 --> 00:38:42.820]   So how can we improve data? They've got algorithmic changes.
[00:38:42.820 --> 00:38:54.360]   So you can have a length penalty while training, procedure reward where you can, they kind of break down what are the two types of ways to affect length output
[00:38:54.360 --> 00:39:00.200]   and reasoning. So there's, you know, end output where you can kind of judge what is the end output?
[00:39:00.200 --> 00:39:02.680]   Is the math correct? Is the code correct? Does it compile?
[00:39:02.680 --> 00:39:06.760]   And then there's also a process of what is the process code? How do we affect that?
[00:39:06.760 --> 00:39:12.300]   Long to short RL, adaptive budget aware tuning. So this is kind of fine tuning with a budget.
[00:39:12.300 --> 00:39:15.540]   Then on the architect, there's also a chain of thought compression.
[00:39:15.540 --> 00:39:22.440]   So explicit and implicit. Explicit is where you directly prune 70% of the wrong chain of thought.
[00:39:22.740 --> 00:39:25.300]   And then, you know, you train on more efficient chain of thought.
[00:39:25.300 --> 00:39:34.240]   Implicit is where in the model itself, the architecture makes it such that different queries go through more efficient parts of the architecture.
[00:39:36.340 --> 00:39:42.120]   There's recurrent layers that you can kind of, you know, you can recurrently keep this memory state to do this.
[00:39:42.120 --> 00:39:47.540]   There's dynamic depth, model routing, multimodal stuff, knowledge distillation.
[00:39:47.540 --> 00:39:51.740]   So they kind of talk about how you can basically distill out reasoning.
[00:39:52.220 --> 00:39:57.520]   So DeepSeq did this with base quant models, llama models, and how effective that can be.
[00:39:57.520 --> 00:40:00.080]   Then improvement in test time.
[00:40:00.080 --> 00:40:08.060]   So on the input side, you know, you tell it, budget allocation, there's adaptive decoding algorithm, so kind of speculative decoding.
[00:40:08.460 --> 00:40:16.640]   On the output side, early stopping, search with pruning, constrained decoding, basically fun little chart of different stuff.
[00:40:16.640 --> 00:40:20.100]   If you're interested in any of this, they have a bunch of papers linked.
[00:40:21.540 --> 00:40:27.820]   Okay, so they start off with, you know, DeepSeq showed that you don't need to do SFT.
[00:40:27.820 --> 00:40:30.540]   You can perform RL.
[00:40:30.540 --> 00:40:34.200]   They did find that SFT still accelerates stuff.
[00:40:34.200 --> 00:40:38.420]   So in the final run, they did a little bit of SFT before their RL.
[00:40:38.420 --> 00:40:46.840]   The core focus of RL currently lies in the design of reward signals.
[00:40:47.000 --> 00:40:48.260]   So there's two type of rewards.
[00:40:48.260 --> 00:40:51.800]   There's process reward models and outcome reward models.
[00:40:51.800 --> 00:40:56.480]   Process kind of enables more fine-grained learning signals guiding the LLMs.
[00:40:56.480 --> 00:40:59.200]   And then there's the outcome, right?
[00:40:59.200 --> 00:41:01.560]   This is kind of where you look at what is the final thing.
[00:41:01.560 --> 00:41:03.140]   So is the math correct and whatnot?
[00:41:03.140 --> 00:41:09.480]   ORM provides supervision signal at outcome level.
[00:41:09.480 --> 00:41:12.200]   Then they kind of talk about the test time.
[00:41:12.200 --> 00:41:15.180]   So they show how, like, you know, one is kind of still pretty strong.
[00:41:15.320 --> 00:41:27.500]   So even though you can, like, instead of looking at the process and kind of, like, pruning the chain of thought itself, if you only do ORM, so if you only do RL on outputs, you still have really good capabilities, right?
[00:41:27.500 --> 00:41:31.160]   Like, DeepSeq still had this aha moment, and it's still doing good reasoning.
[00:41:32.660 --> 00:41:35.220]   Test time methods are kind of, you know, parallel methods.
[00:41:35.220 --> 00:41:40.040]   So parallel is you have LLMs generate several calls, sequential methods.
[00:41:40.040 --> 00:41:44.500]   So it's just kind of your free of thought, chain of thought, MCTS, beam search.
[00:41:45.880 --> 00:41:54.120]   And then their kind of, like, takeaway here is that, yeah, you know, the full potential reasoning is not achieved.
[00:41:54.120 --> 00:41:56.120]   They have cool statistics here.
[00:41:58.460 --> 00:42:06.540]   Then in section three, we talk about, like, inefficiencies in this model training.
[00:42:06.540 --> 00:42:11.380]   So there's inefficient model behaviors from post-training, right?
[00:42:11.380 --> 00:42:18.520]   So first one is basically a length bias where you can have reasoning that's overly cautious, and this affects simple questions, right?
[00:42:18.520 --> 00:42:25.140]   So LLMs trained with RL tend to produce longer responses than SFT, that makes sense.
[00:42:25.140 --> 00:42:27.520]   Now, there's two questions that they have.
[00:42:27.520 --> 00:42:35.240]   So what are the reasons for longer responses, and does this increased length indicate a bias or enhancement of model capabilities?
[00:42:35.240 --> 00:42:52.140]   So overly cautious reasoning models, you know, model excessively has unnecessary verification steps and redundant reasoning on easy-to-handle questions for meaningless paraphrases and deviations.
[00:42:52.140 --> 00:42:53.400]   We don't want that.
[00:42:53.400 --> 00:42:55.480]   Deceptive behaviors.
[00:42:55.480 --> 00:43:01.080]   There was some work done that, you know, models don't output the real thinking that they're doing.
[00:43:01.380 --> 00:43:08.740]   Fake thinking happens where, you know, a model is just outputting tokens, even though we can see that it has the answer pretty early on.
[00:43:08.740 --> 00:43:11.220]   That's kind of section 3.1.
[00:43:11.220 --> 00:43:13.840]   So what's happening inefficiently?
[00:43:13.840 --> 00:43:16.240]   Then there's the test time inefficient stuff, right?
[00:43:16.240 --> 00:43:18.780]   So are we using the right hyperparameters?
[00:43:18.780 --> 00:43:20.400]   Do we have the right pipelines?
[00:43:20.400 --> 00:43:23.860]   Are we kind of at test time doing the right thing?
[00:43:23.860 --> 00:43:26.720]   Unreasonable computation allocation.
[00:43:26.720 --> 00:43:31.280]   So, you know, this is that example of scaling computation.
[00:43:31.280 --> 00:43:37.620]   So scaling LAMA 3AB instructs generating 100,000 to 10,000 samples for simple questions.
[00:43:37.620 --> 00:43:41.000]   There's reasoning boundaries.
[00:43:41.000 --> 00:43:50.400]   But basically, they want to say that they emphasize the importance of adaptive computation allocation based on task complexity.
[00:43:50.400 --> 00:43:59.220]   So for more complex tasks, we should have, you know, a better way to allocate resources.
[00:43:59.220 --> 00:44:00.580]   Okay.
[00:44:00.580 --> 00:44:03.560]   Section 4 is kind of on two things.
[00:44:03.560 --> 00:44:05.020]   So part one is the data.
[00:44:05.020 --> 00:44:07.980]   So what is the data that's used for reasoning?
[00:44:08.740 --> 00:44:13.820]   Basically, there's explicitly encoding in desired reasoning patterns is one way.
[00:44:13.820 --> 00:44:15.980]   And we can do this with even basic SFT.
[00:44:15.980 --> 00:44:25.260]   So there was that paper where they showed, you know, a thousand diverse SFT samples can do basic reasoning that's on par with O1 preview at the time.
[00:44:25.260 --> 00:44:30.680]   But what's most important is quality, diversity, and difficulty of this data.
[00:44:30.680 --> 00:44:33.580]   Then there's kind of the algorithms that approach this.
[00:44:33.660 --> 00:44:35.820]   So they have this long to short RL.
[00:44:35.820 --> 00:44:45.500]   These are strategies like, you know, where you have model merging of different models that try different things, shortest rejection, sampling, DPO, optimization.
[00:44:45.500 --> 00:44:54.520]   This one kind of showed that you can have about a 30 to 40 percent drop in tokens with no accuracy drop.
[00:44:54.520 --> 00:44:58.260]   Budget aware tuning was another one where they shaved off.
[00:44:58.260 --> 00:45:00.000]   Where's budget aware?
[00:45:00.060 --> 00:45:09.060]   So budget aware tuning, this is another approach where a budget prediction allocation was implemented.
[00:45:09.060 --> 00:45:16.420]   This approach achieved a 67 percent reduction in response length with only a 3 percent loss in accuracy.
[00:45:16.420 --> 00:45:21.860]   They kind of have a little cute little diagram of these different things.
[00:45:21.860 --> 00:45:28.920]   So how they're budget aware is basically, you know, similar to O1, you have easy, middle, hard stuff.
[00:45:28.920 --> 00:45:32.480]   You have an output allocation that you want towards this question.
[00:45:32.480 --> 00:45:37.360]   Shave off a bunch of response output tokens and 3 percent loss.
[00:45:37.360 --> 00:45:39.700]   Chain of thought compression is another one.
[00:45:39.700 --> 00:45:41.460]   You've got explicit and implicit.
[00:45:42.600 --> 00:45:48.120]   Kind of as they seem, implicit is where you implicitly compress out.
[00:45:48.120 --> 00:45:56.460]   Explicit, sorry, implicit is model based where, you know, you have an architecture that kind of tries to optimize this.
[00:45:56.460 --> 00:45:58.960]   Explicit is where you where you do it out.
[00:46:00.340 --> 00:46:02.340]   Both of these work.
[00:46:02.340 --> 00:46:06.560]   There's different benefits to both and they just have papers that you could follow along with.
[00:46:06.560 --> 00:46:12.660]   OK, architecture wise, there's system one and system two cooperation.
[00:46:12.660 --> 00:46:22.040]   So this is where you kind of have this routing layer where you can have a system where you have something like O1 where you have three distinct thinking models.
[00:46:22.040 --> 00:46:22.260]   Right.
[00:46:22.260 --> 00:46:23.480]   O1 low, middle, high.
[00:46:24.000 --> 00:46:26.020]   You kind of have this model routing.
[00:46:26.020 --> 00:46:28.220]   There's model to model collaboration.
[00:46:28.220 --> 00:46:31.140]   So you have pipelines that have different models.
[00:46:31.140 --> 00:46:34.960]   This is stuff where you have things like speculative decoding.
[00:46:34.960 --> 00:46:42.180]   So speculative decoding, there's first a small model that generates candidate tokens, then a big model that verifies them in parallel.
[00:46:42.180 --> 00:46:44.880]   This has two to three X speed up.
[00:46:44.880 --> 00:46:47.840]   Then they have the whole topic of knowledge distillation.
[00:46:47.840 --> 00:46:50.260]   So you have a big model, you distill it down.
[00:46:51.120 --> 00:47:01.680]   And then, you know, DeepSeq R1 outperforms applying RL on base model to Quen 2.532B where you can distill out and do RL.
[00:47:01.680 --> 00:47:02.860]   That was very effective.
[00:47:02.860 --> 00:47:06.100]   Then they have like more architecture, architecture stuff.
[00:47:06.100 --> 00:47:12.820]   So you've got adaptive active parameters.
[00:47:13.660 --> 00:47:20.880]   So this is more so like where you can have a recurrent layer and you can sort of add different depth to different queries.
[00:47:20.880 --> 00:47:24.600]   So the model itself has different depth that different queries are passed through.
[00:47:24.600 --> 00:47:27.040]   There's different research going on in this.
[00:47:27.040 --> 00:47:29.460]   Dynamic depth.
[00:47:29.460 --> 00:47:31.660]   What else have we got?
[00:47:32.600 --> 00:47:34.780]   Then we've got test time.
[00:47:34.780 --> 00:47:42.240]   So inference time, how do we add inference time outside of the model, outside of RL, how do we adapt how much compute is spent?
[00:47:42.240 --> 00:47:45.120]   So you've got adaptive budget decoding.
[00:47:45.120 --> 00:47:47.860]   So this is stuff where you've got like budget prediction.
[00:47:47.860 --> 00:47:56.460]   Budget prediction is where, you know, we basically train in something where you tell or you basically tell it, you know, I want this many tokens to be produced.
[00:47:56.940 --> 00:47:58.420]   How well does that do?
[00:47:58.420 --> 00:48:00.620]   There's budget constraint generation.
[00:48:00.620 --> 00:48:03.740]   There's early stopping, search with pruning.
[00:48:03.740 --> 00:48:06.820]   There's adaptive selection.
[00:48:06.820 --> 00:48:08.540]   What else?
[00:48:08.540 --> 00:48:13.980]   Early stopping, pruning, constraint decoding.
[00:48:13.980 --> 00:48:18.860]   And then that's kind of like survey of what's happened so far.
[00:48:18.860 --> 00:48:23.260]   Then they go into discussion of like what else is still not being done.
[00:48:23.260 --> 00:48:26.480]   So then there's this topic of multimodal reasoning, right?
[00:48:26.560 --> 00:48:32.740]   Right now, language models, language reasoning models, they call LRMs, they're only text.
[00:48:32.740 --> 00:48:37.740]   So what happens when we have multimodal reasoning models, like vision models that also reason?
[00:48:37.740 --> 00:48:40.360]   How are we optimizing for that?
[00:48:40.360 --> 00:48:48.800]   In their survey currently for multimodal reasoning models, all they're doing is like current architecture level stuff.
[00:48:48.980 --> 00:49:05.440]   So model architecture optimization, so lightweight vision encoders, vision token compression, vision language productors, smaller language models, efficient structures, efficient vision technique adaptation, VIT quantization.
[00:49:06.160 --> 00:49:10.920]   So, you know, evaluation of this like isn't really being optimized.
[00:49:12.340 --> 00:49:14.720]   Then there's efficient agentic reasoning.
[00:49:14.720 --> 00:49:21.180]   So stuff like deep research, how do we efficiently do agentic reasoning?
[00:49:21.180 --> 00:49:23.300]   They bring up some benchmarks.
[00:49:23.520 --> 00:49:27.200]   So like DNA bench is one, humanity last exam.
[00:49:27.200 --> 00:49:30.900]   How do we sort of start to efficiently benchmark these things, right?
[00:49:30.900 --> 00:49:35.400]   And then are we optimizing for the outcome versus process efficiency?
[00:49:35.400 --> 00:49:38.760]   And then there's different benchmarks that they bring up for these.
[00:49:40.700 --> 00:49:42.980]   This is kind of like the Mechinterp side.
[00:49:42.980 --> 00:49:48.460]   So Anthropic is doing some interesting work on what's actually happening during this reasoning.
[00:49:48.460 --> 00:49:53.300]   And then that's kind of it, you know, they kind of bring up, here's a bunch of sources.
[00:49:53.300 --> 00:49:54.740]   Here's different stuff on reasoning.
[00:49:54.740 --> 00:49:56.660]   Here's how we can optimize different things.
[00:49:56.660 --> 00:50:02.820]   And they've got a bit of different sorts, but not the deepest paper, you know, 15 minute overview.
[00:50:02.820 --> 00:50:07.340]   That's some stuff happening in reasoning model optimization.
[00:50:08.300 --> 00:50:12.740]   Okay, I want to give Suik's five, six minutes, but any one, two questions?
[00:50:12.740 --> 00:50:20.660]   Not from me.
[00:50:20.660 --> 00:50:22.380]   There's not much time or so.
[00:50:22.380 --> 00:50:22.720]   Yeah.
[00:50:22.720 --> 00:50:25.160]   Okay, Suik's passed to you.
[00:50:25.160 --> 00:50:27.080]   Okay.
[00:50:27.080 --> 00:50:31.640]   Today we cover a one-day-old paper.
[00:50:31.640 --> 00:50:37.640]   So very of the moment.
[00:50:37.840 --> 00:50:38.700]   Can you see my screen?
[00:50:38.700 --> 00:50:39.340]   Yes, you can.
[00:50:39.340 --> 00:50:41.120]   So this is the leaderboard illusion.
[00:50:41.120 --> 00:50:47.960]   I think basically it is Cohere not doing well on LM Arena and then Cohere saying this is fucked up.
[00:50:47.960 --> 00:50:50.460]   But they are correct.
[00:50:50.460 --> 00:50:59.460]   I mean, this is open secret for a long time that you can somewhat game LM Arena and it is somewhat pay-to-play.
[00:51:01.520 --> 00:51:06.120]   But it is, I think I'm not as negative as some of the others.
[00:51:06.120 --> 00:51:08.300]   I think this is just capitalism at work.
[00:51:08.300 --> 00:51:21.220]   Anyway, I do also probably think that it was a bad idea for LM Arena to announce that they are becoming a company at the exact same time that people are questioning their commercial business model.
[00:51:22.600 --> 00:51:24.700]   And this is the result.
[00:51:24.700 --> 00:51:28.540]   This could be the end of them if they don't handle it very well.
[00:51:28.540 --> 00:51:32.580]   So Cohere says four things.
[00:51:34.880 --> 00:51:40.280]   One, this is the most obvious one that was obviously going on.
[00:51:40.280 --> 00:51:46.500]   At some point in time, Gemini had like three or four different variations on LM Arena at any one point in time.
[00:51:46.500 --> 00:51:48.340]   And then they just released whatever score is the highest.
[00:51:48.340 --> 00:51:53.040]   Therefore, on a normal distribution, you would just get a very skewed like p-hack.
[00:51:53.160 --> 00:51:59.420]   This is literally just p-hacking of results, which is not fair to everyone else who does not have that capability.
[00:51:59.420 --> 00:52:02.620]   And basically, they were alleging that only four labs had access to that.
[00:52:02.620 --> 00:52:09.900]   I know this from off-the-record stuff as well from other people who are trying to submit things to LM Arena.
[00:52:11.520 --> 00:52:14.840]   They also were able to, they also like sold data access.
[00:52:14.840 --> 00:52:24.120]   They, I think there's some arguments about like the kinds of battles that LM Arena was exposing to.
[00:52:24.120 --> 00:52:32.900]   And then the, and then they also, they also accused LM Arena of silently removing models, even though there were some official removed models as well.
[00:52:32.900 --> 00:52:35.180]   So about 66% were silently removed.
[00:52:35.180 --> 00:52:40.760]   So I think this graphic is just really good overview of what the accusations were.
[00:52:40.760 --> 00:52:42.840]   They have some evidence about it.
