
[00:00:00.000 --> 00:00:21.000]   I have all.
[00:39:00.000 --> 00:39:03.000]   And the functions you create are exactly the same.
[00:39:03.000 --> 00:39:07.000]   And you can create uni-code function names if you want to.
[00:39:07.000 --> 00:39:28.000]   So you can create your own very apl-ish looking functions if you wish.
[00:39:28.000 --> 00:39:51.000]   Okay.
[00:39:51.000 --> 00:39:57.000]   So when we use the word array, we're using it to mean the same thing that numpy calls arrays
[00:39:57.000 --> 00:40:00.000]   and that PyTorch calls tensors.
[00:40:00.000 --> 00:40:13.000]   So they're, you know, n-dimensional, regularly shaped bunches of things.
[00:40:13.000 --> 00:40:23.000]   And in PyTorch, we call the rank of a tensor, the number of dimensions that it has.
[00:40:23.000 --> 00:40:27.000]   So a vector would be one-dimensional.
[00:40:27.000 --> 00:40:30.000]   The matrix would be two-dimensional.
[00:40:30.000 --> 00:40:34.000]   A scalar would be zero-dimensional.
[00:40:34.000 --> 00:40:38.000]   So it'd be helpful to know how to create things.
[00:40:38.000 --> 00:40:44.000]   So we know how to create scalars.
[00:40:44.000 --> 00:40:45.000]   You just type 'men'.
[00:40:45.000 --> 00:40:47.000]   We know how to create vectors.
[00:40:47.000 --> 00:40:54.000]   So rank one arrays, you type them with spaces.
[00:40:54.000 --> 00:40:57.000]   So something's got to be helpful explaining this.
[00:40:57.000 --> 00:41:05.000]   Well, actually, first of all, be to learn about iota.
[00:41:05.000 --> 00:41:17.000]   You can also, as an earlier step, if you wanted to teach the row, you can actually use the row to reshape and give it a one or a zero to broadcast it.
[00:41:17.000 --> 00:41:19.000]   Yeah.
[00:41:19.000 --> 00:41:22.000]   Yeah, absolutely.
[00:41:22.000 --> 00:41:24.000]   Okay. Yeah, let's do it that way.
[00:41:24.000 --> 00:41:32.000]   Thanks.
[00:41:32.000 --> 00:41:34.000]   Oh, we can just type it in.
[00:41:34.000 --> 00:41:35.000]   Let's just type it in.
[00:41:35.000 --> 00:41:44.000]   So let's just create something.
[00:41:44.000 --> 00:41:54.000]   And let's use our trick now that we've learned it.
[00:41:54.000 --> 00:42:05.000]   Okay, so display a list we assigned to A.
[00:42:05.000 --> 00:42:08.000]   And we're going to have to do this backwards, but I think that's fine.
[00:42:08.000 --> 00:42:17.000]   Diatic first.
[00:42:17.000 --> 00:42:20.000]   So let's look it up.
[00:42:20.000 --> 00:42:25.000]   And we are going to get to learn a song today.
[00:42:25.000 --> 00:42:28.000]   That's the good news.
[00:42:28.000 --> 00:42:31.000]   In fact, we're starting to see some of the song here.
[00:42:31.000 --> 00:42:34.000]   That's cool.
[00:42:34.000 --> 00:42:47.000]   I guess we should mention strings, actually, because they do use them in the documentation a lot.
[00:42:47.000 --> 00:42:56.000]   I don't know what they call numbers and strings and arrays.
[00:42:56.000 --> 00:43:03.000]   What's the term for those things, things that aren't functions.
[00:43:03.000 --> 00:43:09.000]   I'm going to call them basic objects for now, but if anybody learns what they're actually meant to be called, let me know.
[00:43:09.000 --> 00:43:16.000]   In the box, they say it's a language element. Is it supposed to call all these symbols as elements?
[00:43:16.000 --> 00:43:20.000]   Yeah, that's right. But I'm trying to talk about things that aren't those.
[00:43:20.000 --> 00:43:38.000]   I'm trying to talk about numbers, arrays, and strings, which is none of these things.
[00:43:38.000 --> 00:43:43.000]   We'll figure it out.
[00:43:43.000 --> 00:43:53.000]   So strings.
[00:43:53.000 --> 00:43:56.000]   I'm not sure there's much more to say about strings.
[00:43:56.000 --> 00:44:08.000]   What does the language reference say if I search for string?
[00:44:08.000 --> 00:44:25.000]   I'm not quite sure what order they think they're showing this in, but it's definitely not the most helpful one.
[00:44:25.000 --> 00:44:32.000]   I see. They don't call them strings.
[00:44:32.000 --> 00:44:41.000]   Maybe this is considered a list of characters.
[00:44:41.000 --> 00:44:43.000]   I suspect it is, actually.
[00:44:43.000 --> 00:44:48.000]   I found another blog post that calls them character vectors and scalars.
[00:44:48.000 --> 00:44:53.000]   Oh, right, because I think this is different, right?
[00:44:53.000 --> 00:45:02.000]   So we're about to get slightly ahead of ourselves, but this tells us the shape.
[00:45:02.000 --> 00:45:04.000]   OK, so that's weird, right?
[00:45:04.000 --> 00:45:27.000]   So I don't think we should do strings yet until we do row, because they don't make sense until we can look at shapes.
[00:45:27.000 --> 00:45:36.000]   OK, all right, so we've got a list.
[00:45:36.000 --> 00:45:49.000]   So we can turn that into a matrix using dyadic row,
[00:45:49.000 --> 00:45:58.000]   which is called reshape.
[00:45:58.000 --> 00:46:26.000]   OK, this is just called row.
[00:46:26.000 --> 00:46:29.000]   Let's see what I did with my heading levels here.
[00:46:29.000 --> 00:46:32.000]   So that's two. Oh, yeah, that's three.
[00:46:32.000 --> 00:46:39.000]   OK, that's four. Great.
[00:46:39.000 --> 00:46:44.000]   So that's reshape.
[00:46:44.000 --> 00:46:51.000]   And so that is, I think it's the same as what NumPy calls it, reshape.
[00:46:51.000 --> 00:46:55.000]   Yes, same as NumPy, reshape.
[00:46:55.000 --> 00:47:01.000]   So the shape of an array is basically like how many columns and rows and whatever does it have.
[00:47:01.000 --> 00:47:11.000]   So if we want to do three rows of two columns, we can reshape our array, as you see.
[00:47:11.000 --> 00:47:14.000]   One thing that threw me off, OK.
[00:47:14.000 --> 00:47:30.000]   I was just going to say at this point, like, or maybe at the very top of this, we should say, boxing style equals max.
[00:47:30.000 --> 00:47:36.000]   Did I do that? I'll start boxing on style equals max.
[00:47:36.000 --> 00:47:42.000]   Your style dash max, I think. Dash style equals max. Yeah, actually, I can see it in the background there.
[00:47:42.000 --> 00:47:46.000]   OK, great. So.
[00:47:46.000 --> 00:47:57.000]   There we go.
[00:47:57.000 --> 00:48:07.000]   Slow. OK.
[00:48:07.000 --> 00:48:12.000]   So I think Isaac wrote something on the forum about this.
[00:48:12.000 --> 00:48:17.000]   So anywhere you see an arrow, that means this is like a dimension that exists. Right.
[00:48:17.000 --> 00:48:28.000]   There's no arrow here. So this is considered like infinitely thin. So think of this as a vector, not as a one height.
[00:48:28.000 --> 00:48:31.000]   It was a matrix with one row. This is a vector.
[00:48:31.000 --> 00:48:36.000]   I was talking to my daughter about this yesterday and she found this very confusing. She's like, well, it does have height.
[00:48:36.000 --> 00:48:46.000]   So say like, OK, it does on the screen, but this is a representation on the screen of an abstract mathematical object that doesn't have height.
[00:48:46.000 --> 00:48:56.000]   And it's just that if I drew it infinitely thin, you know, it's like, Claire, you wouldn't be able to read it and you would think that wasn't very helpful, which she agreed was true.
[00:48:56.000 --> 00:49:01.000]   Or else this thing here has two arrows. This actually has three rows and two columns.
[00:49:01.000 --> 00:49:05.000]   And then the sprinkle means that it's got numbers in.
[00:49:05.000 --> 00:49:13.000]   There's two other options. It could have a mixture of things with some strings and stuff in, or it could even have other arrays in.
[00:49:13.000 --> 00:49:16.000]   They would get different symbols.
[00:49:16.000 --> 00:49:25.000]   So I think perhaps one of the more interesting ones to look at is what happens if we have one row with six.
[00:49:25.000 --> 00:49:32.000]   And so now it does not look the same, right? No arrow. Arrow. So this is a matrix.
[00:49:32.000 --> 00:49:40.000]   So the shape.
[00:49:40.000 --> 00:49:46.000]   Is whatever is on whatever you would put on the left hand side to create that thing.
[00:49:46.000 --> 00:49:51.000]   I assume it's going to be called shape, but I suppose I should check.
[00:49:51.000 --> 00:50:02.000]   Shape of. OK, shape of.
[00:50:02.000 --> 00:50:09.000]   So, for example.
[00:50:09.000 --> 00:50:22.000]   Let's call this. Matrix.
[00:50:22.000 --> 00:50:28.000]   OK, and so if we then get.
[00:50:28.000 --> 00:50:32.000]   The shape of a.
[00:50:32.000 --> 00:50:38.000]   It's. A single dimension of length six.
[00:50:38.000 --> 00:50:42.000]   Or else the shape of match matrix.
[00:50:42.000 --> 00:50:45.000]   Is two rows by three columns.
[00:50:45.000 --> 00:50:52.000]   Yes, the question. Yeah, I may have missed this. What is the writing to the box thing do again?
[00:50:52.000 --> 00:50:56.000]   It's just printing it in a more nice way for us.
[00:50:56.000 --> 00:51:04.000]   So what I mean is I'll write it to the box that prints it out on the screen.
[00:51:04.000 --> 00:51:10.000]   No, it doesn't. If I remove it.
[00:51:10.000 --> 00:51:12.000]   Because I'm assigning.
[00:51:12.000 --> 00:51:16.000]   It doesn't display it. Oh, because you're assigning. OK.
[00:51:16.000 --> 00:51:23.000]   So you just kind of adding chaining the assignment to sign it to the screen as well.
[00:51:23.000 --> 00:51:27.000]   And this box is open auction like.
[00:51:27.000 --> 00:51:33.000]   Yeah, that that's a but that's a function called quad.
[00:51:33.000 --> 00:51:44.000]   Which I think does a lot of things.
[00:51:44.000 --> 00:51:49.000]   I think this is squad is the same name squad.
[00:51:49.000 --> 00:51:51.000]   Nevermind.
[00:51:51.000 --> 00:51:56.000]   It's a good question.
[00:51:56.000 --> 00:52:00.000]   I don't know.
[00:52:00.000 --> 00:52:03.000]   I didn't think so.
[00:52:03.000 --> 00:52:06.000]   No squad is used for indexing.
[00:52:06.000 --> 00:52:15.000]   OK, so maybe quad is like not a language element and it's some weird special thing.
[00:52:15.000 --> 00:52:36.000]   What if I search for it.
[00:52:36.000 --> 00:52:49.000]   Yeah, it's a variable which communicates between the user's terminal and APL depends on whether it's been assigned a reference but it's assigned the array is displayed.
[00:52:49.000 --> 00:52:58.000]   OK, so it's a special magic variable.
[00:52:58.000 --> 00:53:09.000]   So these are something on these creating and reshaping matrices that cause some fusion for me, but I didn't realize I had a bug.
[00:53:09.000 --> 00:53:24.000]   You can actually reshape to any size. So if you have four numbers and you reshape it to a three by three, it'll just look through it'll use the first your four numbers plus the first two in the array to make sex.
[00:53:24.000 --> 00:53:31.000]   And then you'll just do it in your podcast and kind of weird ways.
[00:53:31.000 --> 00:53:41.000]   I'm sorry I just wondering, did we, we've got something here called functions and assignment but I don't actually see if we ever did normal assignment.
[00:53:41.000 --> 00:53:48.000]   Because I don't think we did. Oh, okay well that'd be the right place to talk about quad.
[00:53:48.000 --> 00:53:51.000]   That seems like a bit of an oversight.
[00:53:51.000 --> 00:54:04.000]   So let's pop it.
[00:54:04.000 --> 00:54:21.000]   So actually, I guess we can do a function, an anonymous function without assignment. So that's a function and therefore we can apply it to something.
[00:54:21.000 --> 00:54:32.000]   And that's the same as first assigning it to F and then calling F on the thing.
[00:54:32.000 --> 00:54:39.000]   Okay, assignments. Okay, so we can go a equals three.
[00:54:39.000 --> 00:54:41.000]   A.
[00:54:41.000 --> 00:54:45.000]   And then this is the same thing.
[00:54:45.000 --> 00:54:49.000]   But with printing.
[00:54:49.000 --> 00:54:56.000]   And we can assign a list.
[00:54:56.000 --> 00:55:02.000]   Let's see if the box still own the value three.
[00:55:02.000 --> 00:55:19.000]   I guess I could check here. It said that there was some special thing when you reference it. So, no, it doesn't. It's not a normal variable it's a weird special thing.
[00:55:19.000 --> 00:55:24.000]   When you reference it a price displayed and input is requested.
[00:55:24.000 --> 00:55:34.000]   There's things after it as well like IO and stuff to change the way things work.
[00:55:34.000 --> 00:55:41.000]   All right.
[00:55:41.000 --> 00:55:57.000]   So that means we can do. We've got a row of our matrix. We've got a row of A. We could do also things like row of three.
[00:55:57.000 --> 00:56:07.000]   And this is special. This is a scalar.
[00:56:07.000 --> 00:56:09.000]   I believe.
[00:56:09.000 --> 00:56:11.000]   Although it's printing out.
[00:56:11.000 --> 00:56:13.000]   Well, this is a scalar.
[00:56:13.000 --> 00:56:19.000]   Oh, no, this is not a scalar. This is just this is like the empty set. This is nothing at all.
[00:56:19.000 --> 00:56:28.000]   Which I think there's a symbol for.
[00:56:28.000 --> 00:56:36.000]   It might not count as a as one of the last three. I think they called zill today.
[00:56:36.000 --> 00:56:49.000]   Just one moment.
[00:56:49.000 --> 00:56:55.000]   Yeah, sorry said again.
[00:56:55.000 --> 00:57:01.000]   That it's one of the last three zill day, or something, the old day.
[00:57:01.000 --> 00:57:06.000]   It's a numeric constant. Okay.
[00:57:06.000 --> 00:57:13.000]   Let's see if that displays the same way.
[00:57:13.000 --> 00:57:15.000]   It is. Okay.
[00:57:15.000 --> 00:57:21.000]   And the shape of that is zero, I think.
[00:57:21.000 --> 00:57:26.000]   How do you enter that.
[00:57:26.000 --> 00:57:31.000]   To check the shape. How do you how do you type his order. I just pasted it.
[00:57:31.000 --> 00:57:35.000]   It's the back take the right curly brackets.
[00:57:35.000 --> 00:57:40.000]   Okay, how did you find that as a matter of interest.
[00:57:40.000 --> 00:57:48.000]   It's kind of far right of your keyboard up at the top.
[00:57:48.000 --> 00:57:49.000]   Three from the right.
[00:57:49.000 --> 00:57:58.000]   Oh, well found. I see empty numeric vector. Great.
[00:57:58.000 --> 00:58:05.000]   So interestingly the rank of zero day is not zero day.
[00:58:05.000 --> 00:58:12.000]   It's actually an array containing zero.
[00:58:12.000 --> 00:58:23.000]   So this brings us to the song, which is that if I so given that row of Matt is two three.
[00:58:23.000 --> 00:58:35.000]   That means row of row of Matt is two right because it's like this is a list of one dimensional array rank one array containing two elements.
[00:58:35.000 --> 00:58:40.000]   So this is row of two three.
[00:58:40.000 --> 00:58:56.000]   So row of that is one and because row of zero day is this row of row of that.
[00:58:56.000 --> 00:59:01.000]   Is one and row of row of row of that is one.
[00:59:01.000 --> 00:59:14.000]   And actually let's go higher dimensional. We can do bigger ones.
[00:59:14.000 --> 00:59:22.000]   We can say give me two faces each with two rows each with three columns.
[00:59:22.000 --> 00:59:26.000]   This is like a kind of a rectangular prism if you like.
[00:59:26.000 --> 00:59:37.000]   And that's how they display it changed along the lines.
[00:59:37.000 --> 00:59:41.000]   Just run this again.
[00:59:41.000 --> 00:59:47.000]   And you'll see it's created two matrices that kind of you can think of them as stacked on top of each other.
[00:59:47.000 --> 00:59:50.000]   So this is the rank three tensor.
[00:59:50.000 --> 00:59:57.000]   It's when it ran out of numbers from a it just went back to the start.
[00:59:57.000 --> 01:00:01.000]   So you can use row as repeat.
[01:00:01.000 --> 01:00:09.000]   So for example if I use a scalar is just a matrix of ones.
[01:00:09.000 --> 01:00:22.000]   So let's call this C for cube.
[01:00:22.000 --> 01:00:32.000]   And so we can get this on that matrix thing.
[01:00:32.000 --> 01:00:37.000]   Does the thing on the margin of it mean anything to you like this one here.
[01:00:37.000 --> 01:00:41.000]   No no like the one above it you know this one here.
[01:00:41.000 --> 01:00:48.000]   Yeah yeah this has got this has got two. There's actually two dimensions happening here.
[01:00:48.000 --> 01:00:53.000]   There's this dimension and there's this dimension.
[01:00:53.000 --> 01:00:58.000]   So ideally if we had a 3D display they would be on top of each other.
[01:00:58.000 --> 01:01:06.000]   But we don't. So just print some with a space between and it puts two kind of dimension lines here to tell us.
[01:01:06.000 --> 01:01:13.000]   This is actually representing two separate axes because this is two faces by two rows by three columns.
[01:01:13.000 --> 01:01:24.000]   I see. OK so each arrow is kind of a dimension in exactly exactly.
[01:01:24.000 --> 01:01:34.000]   Yeah so we could do row of row of row of C and so row of row of row of anything ends up being one.
[01:01:34.000 --> 01:01:40.000]   And so that gives us our first and possibly only APL song.
[01:01:40.000 --> 01:01:49.000]   APL row row Richard Storman.
[01:01:49.000 --> 01:01:52.000]   There we go.
[01:01:52.000 --> 01:02:00.000]   Oh there is actually a dialogue poetry section that's important.
[01:02:00.000 --> 01:02:13.000]   And here's the one about row which Claire and I have now learned by heart row row row of X always equals one row is dimension row row rank APL is fun.
[01:02:13.000 --> 01:02:19.000]   So yeah row row row of anything gives us one row of something is the dimension.
[01:02:19.000 --> 01:02:29.000]   So row so tells us how many rows by columns or whatever it's I would call it a shape dimension row of row of something.
[01:02:29.000 --> 01:02:33.000]   So row of row of something tells you the tensor rank.
[01:02:33.000 --> 01:02:37.000]   So that's why that poem.
[01:02:37.000 --> 01:02:47.000]   One above it's pretty good too.
[01:02:47.000 --> 01:02:58.000]   There you go. There's an MP3 recording of an APL song.
[01:02:58.000 --> 01:03:07.000]   So to wrap up let's do Iota which is a nice easy one.
[01:03:07.000 --> 01:03:12.000]   So Iota is just the same as range basically.
[01:03:12.000 --> 01:03:21.000]   Iota four it's the same as range except it starts at one rather than zero by default.
[01:03:21.000 --> 01:03:23.000]   You can change that.
[01:03:23.000 --> 01:03:36.000]   I believe you can say quad IO zero or something like that to change like so it starts at zero instead of one.
[01:03:36.000 --> 01:03:41.000]   I kind of like just going to leave it in the default otherwise it's just going to get confusing.
[01:03:41.000 --> 01:03:47.000]   If you haven't found it yet one of the really cool things about Iota is you can range in multiple dimensions.
[01:03:47.000 --> 01:03:59.000]   So if you do Iota to two.
[01:03:59.000 --> 01:04:07.000]   Yeah so it's creating basically all of the coordinates to kind of index into a multidimensional structure I guess.
[01:04:07.000 --> 01:04:16.000]   So here's it's so this is like the Cartesian product of the set of one two with a set one two three.
[01:04:16.000 --> 01:04:27.000]   And so now we've got arrays and arrays and so you can change the symbols changed.
[01:04:27.000 --> 01:04:39.000]   So to create our matrix an easier way to create the matrix would have been to just go two three row of Iota six.
[01:04:39.000 --> 01:04:52.000]   So Iota six is one two three four five six and then two three of that is the matrix.
[01:04:52.000 --> 01:04:59.000]   All right. So let's close it.
[01:04:59.000 --> 01:05:01.000]   I had a question.
[01:05:01.000 --> 01:05:19.000]   With Iota like you know how like in Python we have like a start stop and step. Is there something similar with Iota. No, it's not. But you don't really need it right because like let's say I want to step by two.
[01:05:19.000 --> 01:05:25.000]   That's easy enough, you know, or if I want to start one more than that.
[01:05:25.000 --> 01:05:28.000]   That's easy enough, you know.
[01:05:28.000 --> 01:05:39.000]   So I think that's why we don't really need it. Okay.
[01:05:39.000 --> 01:05:45.000]   Okay.
[01:05:45.000 --> 01:05:49.000]   Where is it? Here it is. Okay.
[01:05:49.000 --> 01:06:10.000]   Monadic Iota means index generator. Okay, so that's why it's called index generator because these are the indices of all of the locations in a two by three array.
[01:06:10.000 --> 01:06:18.000]   Index generator.
[01:06:18.000 --> 01:06:23.000]   Okay.
[01:06:23.000 --> 01:06:28.000]   And then dyadic.
[01:06:28.000 --> 01:06:57.000]   Okay, let's just check the help for index generators to see if we missed anything. Okay, so R equals Iota y, you pass it a scalar or a vector of non-negative numbers and you get back in the America Ray, the set of all possible coordinates, which is exactly what we thought.
[01:06:57.000 --> 01:07:11.000]   Okay. Oh, so that's interesting. So I think one special thing is Iota zero, which is another way of getting that yoga thing.
[01:07:11.000 --> 01:07:15.000]   That's the empty set.
[01:07:15.000 --> 01:07:27.000]   Okay, so the dyadic version is index of.
[01:07:27.000 --> 01:07:41.000]   And this won't make any sense really until we've got strings. So let's do strings first.
[01:07:41.000 --> 01:07:51.000]   Okay, so strings are basically.
[01:07:51.000 --> 01:08:05.000]   Vector arrays, sorry, character, character, vector, characters and character vectors.
[01:08:05.000 --> 01:08:11.000]   That's a character vector and that's a character.
[01:08:11.000 --> 01:08:19.000]   And so now we should be able to understand their example.
[01:08:19.000 --> 01:08:36.000]   So I've noticed the examples when I click on like the name of like the dyadic version, for example, the examples tend to be more complicated than the one in the overall summary just to warn you.
[01:08:36.000 --> 01:08:40.000]   So I'm going to use the simpler ones.
[01:08:40.000 --> 01:08:50.000]   Okay, so index of takes this list, this array and tells you the index of each of these things.
[01:08:50.000 --> 01:08:57.000]   And so remember, this is a list of three letters. I believe it's identical. Let's see.
[01:08:57.000 --> 01:09:11.000]   Actually, it's true. Here's ACF and here's a list containing ACNF. Yeah, they're the same thing.
[01:09:11.000 --> 01:09:17.000]   So that's interesting.
[01:09:17.000 --> 01:09:26.000]   Yeah, so that is a single character.
[01:09:26.000 --> 01:09:41.000]   This is a list of characters, and this is just a little syntactic shortcut for creating a list of characters and lists of characters appear with no space between them when it outputs them, but they are still just lists of characters.
[01:09:41.000 --> 01:09:53.000]   I believe if you put a character on the right hand side that's not in the left like the Z, it will give you one more than the total link.
[01:09:53.000 --> 01:09:54.000]   Oh, good.
[01:09:54.000 --> 01:10:02.000]   11 is there but it's not actually in the list. Thanks.
[01:10:02.000 --> 01:10:11.000]   So then an interesting example they have is if what what if you've got a higher ranked matrix.
[01:10:11.000 --> 01:10:19.000]   So here they're saying, oh, let's assume I've already got a matrix with this in it, because they're assuming we don't know how to create one, we might get confused.
[01:10:19.000 --> 01:10:42.000]   So now that we do, let's go ahead and create one. So I've got a matrix and they used three rows of two columns of iota six.
[01:10:42.000 --> 01:10:59.000]   Okay. And so then they said, given that what if we do this.
[01:10:59.000 --> 01:11:03.000]   Now what's that doing.
[01:11:03.000 --> 01:11:12.000]   The first occurrence of sub arrays in Y, which match major cells of X.
[01:11:12.000 --> 01:11:15.000]   Okay, so this is an important concept.
[01:11:15.000 --> 01:11:24.000]   I don't know the difference between a sub array and a major cell yet, but the idea is, okay, so why is the thing on the right X is the thing on the left.
[01:11:24.000 --> 01:11:44.000]   So here's why. So it's going to try to find this. What do they call it this. It's going to try to find this sub array in the major cells of X so this they're going to treat this as a row and trying to find which row contains that in it.
[01:11:44.000 --> 01:11:48.000]   And the answer is row three.
[01:11:48.000 --> 01:12:02.000]   It doesn't work if you put 135 or something, but we'll find it, I guess. So that doesn't work. I'm pretty sure it's not going to because that's not considered a major cell.
[01:12:02.000 --> 01:12:14.000]   Yeah. So the major cells of this so it's rose so if you wanted to do this you'd have to transpose it first, and there is a transpose operator.
[01:12:14.000 --> 01:12:16.000]   There's.
[01:12:16.000 --> 01:12:31.000]   You could probably do like, I think something that's missing in the dialogue docs is the simplest possible versions of things. So let's just say let's find the number three in the list 13654.
[01:12:31.000 --> 01:12:38.000]   Now why is, oh, wrong way around.
[01:12:38.000 --> 01:12:42.000]   In the list of this, find the number three.
[01:12:42.000 --> 01:12:51.000]   Okay.
[01:12:51.000 --> 01:12:57.000]   Are we done.
[01:12:57.000 --> 01:13:00.000]   We made good progress. I think so too.
[01:13:00.000 --> 01:13:03.000]   Thanks gang.
[01:13:03.000 --> 01:13:17.000]   Vectors lists and arrays the same term in APL. No, an array is like a NumPy array so an array can be any shape. So a vector is a rank one array.
[01:13:17.000 --> 01:13:20.000]   A matrix is a rank two array.
[01:13:20.000 --> 01:13:23.000]   A scalar is a rank zero array.
[01:13:23.000 --> 01:13:26.000]   I don't know what we call rank three arrays but.
[01:13:26.000 --> 01:13:33.000]   It's the same as what PyTorch causes tensor.
[01:13:33.000 --> 01:13:35.000]   Thank you.
[01:13:35.000 --> 01:13:40.000]   Although one difference is a PyTorch tensor can't contain tensors.
[01:13:40.000 --> 01:13:50.000]   But I think a NumPy array can contain arrays so it's probably more like NumPy than PyTorch.
[01:13:50.000 --> 01:13:53.000]   All right, thanks everyone. That was cool.
[01:13:53.000 --> 01:13:57.000]   We all let something happen. Bye. Thank you.
[01:13:57.000 --> 01:13:58.000]   Take care, everybody.
[01:13:58.000 --> 01:13:59.000]   See ya.

