
[00:00:00.000 --> 00:00:03.080]   (slow hip hop music)
[00:13:07.360 --> 00:13:09.480]   Like, is it dudes to you, like,
[00:13:09.480 --> 00:13:10.800]   every day could be killing in practice
[00:13:10.800 --> 00:13:12.040]   that literally don't play in the game,
[00:13:12.040 --> 00:13:14.280]   or do you think the best players always play?
[00:13:14.280 --> 00:13:17.920]   - Yeah, it's definitely a political game,
[00:13:17.920 --> 00:13:19.760]   but it's something that you just can't control, bro.
[00:13:19.760 --> 00:13:23.200]   Like, you know, I could be killing every day in practice,
[00:13:23.200 --> 00:13:25.600]   you know, but it's just like, it's just gonna go how it go,
[00:13:25.600 --> 00:13:27.680]   because maybe somebody been there, you know, years,
[00:13:27.680 --> 00:13:30.000]   or maybe you're on a contract that's way bigger than yours,
[00:13:30.000 --> 00:13:31.240]   and it's just gonna go the way it goes.
[00:13:31.240 --> 00:13:33.000]   But, I mean, it's something that you really
[00:13:33.000 --> 00:13:33.840]   just can't control.
[00:13:33.840 --> 00:13:35.360]   Maybe he got a couple years over you,
[00:13:35.360 --> 00:13:36.800]   and you just getting in the league,
[00:13:36.800 --> 00:13:38.800]   or you're just your second year, but you killing, though.
[00:13:38.800 --> 00:13:41.440]   But, he on a crazy contract, you know,
[00:13:41.440 --> 00:13:44.080]   but he playing over you, playing, you know, mad minutes.
[00:13:44.080 --> 00:13:46.440]   But it's something that you, excuse me,
[00:13:46.440 --> 00:13:48.080]   it's really something that you just can't control, bro.
[00:13:48.080 --> 00:13:48.920]   - Right.
[00:13:48.920 --> 00:13:49.960]   - It's tough, you know, 'cause it's like,
[00:13:49.960 --> 00:13:52.360]   man, I wish I was playing a little bit more, you know.
[00:13:52.360 --> 00:13:54.400]   You know, I feel like I deserve to play a little bit more.
[00:13:54.400 --> 00:13:55.440]   You know, I'm already killing it
[00:13:55.440 --> 00:13:56.560]   with the minutes that I'm getting.
[00:13:56.560 --> 00:13:58.760]   Why can't I get a little bit, like, 10 more, you know?
[00:13:58.760 --> 00:13:59.600]   - Yeah.
[00:13:59.600 --> 00:14:00.760]   - Like, I feel like I deserve it, you know.
[00:14:00.760 --> 00:14:02.440]   But, man, it's definitely a political game,
[00:14:02.440 --> 00:14:03.280]   but it's just something that you just
[00:14:03.280 --> 00:14:04.200]   can't get caught up in, man.
[00:14:04.200 --> 00:14:06.040]   You just gotta stay, like, level-headed, you know,
[00:14:06.040 --> 00:14:06.880]   just stay out of that, man.
[00:14:06.880 --> 00:14:08.760]   - And you never let that affect, like, your joy?
[00:14:08.760 --> 00:14:09.600]   - Yeah.
[00:14:09.600 --> 00:14:10.440]   - You don't let it affect your joy?
[00:14:10.440 --> 00:14:11.440]   - Nah, not at all.
[00:14:11.440 --> 00:14:12.280]   You know me, bro.
[00:14:12.280 --> 00:14:14.040]   Like, I ain't gonna let nothing shake me, bro.
[00:14:14.040 --> 00:14:15.640]   It's like, but at the same time,
[00:14:15.640 --> 00:14:17.080]   it just be kinda tough, though, it do,
[00:14:17.080 --> 00:14:19.080]   because, like, you know, you just wanna play, bro.
[00:14:19.080 --> 00:14:20.760]   And that's me, like, I just wanna hoot, you know.
[00:14:20.760 --> 00:14:22.880]   So, it's like, ah, this political game
[00:14:22.880 --> 00:14:24.440]   could definitely get tough, but, man,
[00:14:24.440 --> 00:14:26.480]   it's something you just really can't control, bro.
[00:14:26.480 --> 00:14:28.600]   It's really something you can't, facts.
[00:14:28.600 --> 00:14:30.120]   - Nah, 100%, nah.
[00:14:30.120 --> 00:14:33.320]   You, I mean, you know, like, you a star.
[00:14:33.320 --> 00:14:35.400]   Everybody knows, I think I was watching PG's podcast,
[00:14:35.400 --> 00:14:37.280]   and he was talking about the way you play,
[00:14:37.280 --> 00:14:38.360]   how you are as a star.
[00:14:38.360 --> 00:14:39.520]   And you got, like you said,
[00:14:39.520 --> 00:14:41.400]   y'all got four Hall of Famers right now, like.
[00:14:41.400 --> 00:14:42.240]   - Yeah, bro.
[00:14:42.240 --> 00:14:43.760]   - And y'all still figuring it out,
[00:14:43.760 --> 00:14:45.760]   but whether it's there or somewhere else,
[00:14:45.760 --> 00:14:46.800]   like, you gonna blossom.
[00:14:46.800 --> 00:14:50.560]   So, it's never any stress in that area.
[00:14:50.560 --> 00:14:53.560]   I wanna turn to, like, your faith,
[00:14:53.560 --> 00:14:55.680]   because you do have an unshakable joy,
[00:14:55.680 --> 00:14:57.560]   which is something I've always appreciated about you.
[00:14:57.560 --> 00:14:59.320]   Even, like, when you were with us,
[00:14:59.320 --> 00:15:01.920]   I'd be down sometimes, you would keep my spirits lifted
[00:15:01.920 --> 00:15:02.760]   if something was wrong.
[00:15:02.760 --> 00:15:03.600]   - Facts.
[00:15:03.600 --> 00:15:04.440]   - Even if you weren't playing,
[00:15:04.440 --> 00:15:06.200]   you still were cheering me on in the game.
[00:15:06.200 --> 00:15:07.040]   - Facts.
[00:15:07.040 --> 00:15:10.520]   - But you tweet, or you put on Instagram very boldly,
[00:15:10.520 --> 00:15:12.280]   like, about your faith.
[00:15:12.280 --> 00:15:13.120]   - Yeah.
[00:15:13.120 --> 00:15:15.840]   - Like, in God, and just how important that is to you.
[00:15:15.840 --> 00:15:18.720]   Has that always been, like, an important part of your life,
[00:15:18.720 --> 00:15:20.400]   and is that kinda what keeps you kinda, like,
[00:15:20.400 --> 00:15:21.520]   level-headed through everything?
[00:15:21.520 --> 00:15:23.880]   - Man, yeah, man, that's the biggest part of my life,
[00:15:23.880 --> 00:15:25.760]   honestly, man, 'cause I done been through so much,
[00:15:25.760 --> 00:15:28.240]   but, you know, Jesus has never, you know,
[00:15:28.240 --> 00:15:29.400]   forsaken me at all.
[00:15:29.400 --> 00:15:30.680]   Like, he always been there for me,
[00:15:30.680 --> 00:15:33.000]   like, regardless, like, how, you know,
[00:15:33.000 --> 00:15:34.760]   impossible something may seem,
[00:15:34.760 --> 00:15:36.720]   how, like, un-extraordinary something may seem.
[00:15:36.720 --> 00:15:38.800]   It's like, he's just always there for me.
[00:15:38.800 --> 00:15:41.120]   And it's like, I can never, like, turn on him,
[00:15:41.120 --> 00:15:44.120]   no matter if, like, things get, you know, worse for me,
[00:15:44.120 --> 00:15:47.520]   or maybe I don't like how something's going, you know,
[00:15:47.520 --> 00:15:49.640]   or maybe some life problems that I'm going through.
[00:15:49.640 --> 00:15:51.960]   I just know, like, I'm always be, you know, straight,
[00:15:51.960 --> 00:15:53.560]   because I got, you know, God on my side,
[00:15:53.560 --> 00:15:55.920]   and it's never gonna make me, like, turn away from,
[00:15:55.920 --> 00:15:57.640]   you know, him because something not going my way.
[00:15:57.640 --> 00:15:59.320]   You know, I feel like a lot of people nowadays,
[00:15:59.320 --> 00:16:02.320]   like, they quick to, like, you know,
[00:16:02.320 --> 00:16:04.880]   why me, or, you know, why am I going through this,
[00:16:04.880 --> 00:16:06.680]   you know, but not even knowing, like,
[00:16:06.680 --> 00:16:09.040]   maybe this can, you know, help you, you know,
[00:16:09.040 --> 00:16:10.400]   on your path going forward.
[00:16:10.400 --> 00:16:11.960]   - Diversity can, like, shape you.
[00:16:11.960 --> 00:16:13.240]   - Yeah, exactly, you know, and I feel like
[00:16:13.240 --> 00:16:14.640]   that's something I'm going through right now.
[00:16:14.640 --> 00:16:16.800]   Like, this right now, it's shaping me right now.
[00:16:16.800 --> 00:16:18.800]   You know, it's building resilience in me, you know,
[00:16:18.800 --> 00:16:20.120]   it's building patience in me, you know,
[00:16:20.120 --> 00:16:22.320]   and it's building, like, just even more high character,
[00:16:22.320 --> 00:16:24.280]   you know, so it's something that I definitely,
[00:16:24.280 --> 00:16:25.400]   you know, appreciate right now,
[00:16:25.400 --> 00:16:26.840]   even though I wanna play, but at the same time,
[00:16:26.840 --> 00:16:29.040]   I know God is, you know, strengthening me, you know,
[00:16:29.040 --> 00:16:30.920]   getting stronger off the floor, you know,
[00:16:30.920 --> 00:16:31.760]   and stuff like that, so it's,
[00:16:31.760 --> 00:16:33.680]   I feel like it's really, it has helped me,
[00:16:33.680 --> 00:16:35.920]   but I think definitely never shake, though, at all.
[00:16:35.920 --> 00:16:37.240]   - Never, nah.
[00:16:37.240 --> 00:16:40.040]   You, we were talking about this before the podcast started,
[00:16:40.040 --> 00:16:44.280]   just about how, like, the fans, even in Denver,
[00:16:44.280 --> 00:16:46.400]   how people can be so for you.
[00:16:46.400 --> 00:16:47.240]   - Yeah, yeah, yeah.
[00:16:47.240 --> 00:16:49.520]   - In life, in general, any NBA player deals with this.
[00:16:49.520 --> 00:16:50.360]   - Yeah, yeah, yeah.
[00:16:50.360 --> 00:16:51.480]   - That people can be so for you,
[00:16:51.480 --> 00:16:54.720]   but as soon as you do one thing they don't like
[00:16:54.720 --> 00:16:57.120]   or they perceive something that's not even how it was,
[00:16:57.120 --> 00:16:58.840]   they turn on you, and I think we've talked about
[00:16:58.840 --> 00:17:00.620]   a little bit, even the Denver fans,
[00:17:00.620 --> 00:17:01.560]   'cause you were a fan favorite.
[00:17:01.560 --> 00:17:03.920]   Like, every time you hopped on the floor,
[00:17:03.920 --> 00:17:05.800]   you're going crazy, and just the fact
[00:17:05.800 --> 00:17:09.240]   that you received backlash for any negativity,
[00:17:09.240 --> 00:17:11.920]   I asked AG this in my podcast the other day,
[00:17:11.920 --> 00:17:14.240]   how do you deal with the positivity and negativity?
[00:17:14.240 --> 00:17:17.260]   'Cause there's been so much positivity surrounding you,
[00:17:17.260 --> 00:17:20.200]   but then one thing goes wrong, and now there's negativity,
[00:17:20.200 --> 00:17:22.880]   do you, how do you deal with all that?
[00:17:22.880 --> 00:17:25.520]   - So, honestly, man, I just be taking it like,
[00:17:25.520 --> 00:17:27.920]   all right, they just showing love because I'm killing,
[00:17:27.920 --> 00:17:30.720]   you know, or they, at this moment, they showing me love,
[00:17:30.720 --> 00:17:34.120]   but I don't let it get too head over heels,
[00:17:34.120 --> 00:17:37.480]   like, ah, I'm so in, you know, with the, you know,
[00:17:37.480 --> 00:17:39.000]   how they treating me and stuff like that.
[00:17:39.000 --> 00:17:41.720]   Like, obviously I love it, but it always, like,
[00:17:41.720 --> 00:17:43.920]   you know, something go wrong, they just gonna turn on you.
[00:17:43.920 --> 00:17:46.040]   It's just like, it's just what happens, bro.
[00:17:46.040 --> 00:17:47.740]   It happens to literally, like, you know,
[00:17:47.740 --> 00:17:49.240]   Hall of Famers who played and stuff like that.
[00:17:49.240 --> 00:17:50.080]   - The best players in the world.
[00:17:50.080 --> 00:17:50.900]   - The best players, bro.
[00:17:50.900 --> 00:17:52.400]   So it's like, of course it can happen to me,
[00:17:52.400 --> 00:17:54.720]   so I don't be too, like, locked in on it.
[00:17:54.720 --> 00:17:56.000]   Of course, like, I appreciate, you know,
[00:17:56.000 --> 00:17:57.720]   fan bases that, you know, take me in
[00:17:57.720 --> 00:17:59.320]   and, like, really cheer me on.
[00:17:59.320 --> 00:18:00.640]   They appreciate my game, they appreciate
[00:18:00.640 --> 00:18:02.680]   how fun I have on the floor, you know.
[00:18:02.680 --> 00:18:04.180]   Speaking of Denver fans, you know,
[00:18:04.180 --> 00:18:05.640]   when I was over there, you know, I checked in
[00:18:05.640 --> 00:18:07.720]   and they, they weren't, like, rowdy every time.
[00:18:07.720 --> 00:18:09.240]   Like, they love watching me play,
[00:18:09.240 --> 00:18:11.400]   but obviously the trade went down and it happened.
[00:18:11.400 --> 00:18:13.800]   Now it's, everybody just, like, hate me,
[00:18:13.800 --> 00:18:16.440]   like, you know, but I feel like they don't really,
[00:18:16.440 --> 00:18:17.480]   I feel like they don't really hate me.
[00:18:17.480 --> 00:18:19.380]   They still got love for me, but it's just the fact that
[00:18:19.380 --> 00:18:21.720]   I'm just not there anymore, it's making 'em kinda like,
[00:18:21.720 --> 00:18:23.560]   damn, like, we just gonna go at it,
[00:18:23.560 --> 00:18:25.640]   we just gonna keep, you know, going at it,
[00:18:25.640 --> 00:18:27.880]   even stuff like that, but I still got love for Denver, bro.
[00:18:27.880 --> 00:18:29.160]   Like, it took me in with open arms.
[00:18:29.160 --> 00:18:30.920]   Like, I never just say, like, F Denver.
[00:18:30.920 --> 00:18:33.160]   Like, that's never, you know, me, that,
[00:18:33.160 --> 00:18:34.160]   that won't ever come out my mouth.
[00:18:34.160 --> 00:18:35.160]   It took me in with open arms.
[00:18:35.160 --> 00:18:37.800]   Every time I checked on the floor, I had fun, you know, so.
[00:18:37.800 --> 00:18:38.640]   - Right.
[00:18:38.640 --> 00:18:40.400]   - Yeah, I don't know, it's something that, like,
[00:18:40.400 --> 00:18:42.920]   you just gotta, you just gotta just hoop, bro.
[00:18:42.920 --> 00:18:45.360]   You can't really get into the whole fan thing and all that,
[00:18:45.360 --> 00:18:47.280]   you know, you just can't get into that, bro.
[00:18:47.280 --> 00:18:48.200]   - Facts.
[00:18:48.200 --> 00:18:51.000]   You talked before, you was, like, talking about
[00:18:51.000 --> 00:18:52.480]   what has shaped you into this person
[00:18:52.480 --> 00:18:54.960]   is the things you've gone through.
[00:18:54.960 --> 00:18:57.280]   I remember, yeah, back in San Diego,
[00:18:57.280 --> 00:18:59.760]   when we was just chopping it up on the training table.
[00:18:59.760 --> 00:19:01.680]   I'll never forget this conversation.
[00:19:01.680 --> 00:19:02.840]   Like, I don't know how it came up,
[00:19:02.840 --> 00:19:04.200]   but you talked about what you went through
[00:19:04.200 --> 00:19:06.520]   and you was telling me, like, this is what,
[00:19:06.520 --> 00:19:08.720]   this is why I am, this is how I am,
[00:19:08.720 --> 00:19:10.600]   this is why I smile so much.
[00:19:10.600 --> 00:19:11.960]   - Yeah, yeah, yeah.
[00:19:11.960 --> 00:19:13.640]   - Can you talk a little bit to people,
[00:19:13.640 --> 00:19:16.040]   because I think, like, more than just a basketball player,
[00:19:16.040 --> 00:19:18.640]   like, you inspire so many people because,
[00:19:18.640 --> 00:19:20.800]   and people don't even know your story like that,
[00:19:20.800 --> 00:19:22.840]   but I do, and I, to see you smile through that,
[00:19:22.840 --> 00:19:26.880]   to see the way you take care of your mom and your nephew,
[00:19:26.880 --> 00:19:30.880]   like, people don't even know where all that comes from.
[00:19:30.880 --> 00:19:33.120]   Can you a little bit talk about
[00:19:33.120 --> 00:19:34.280]   the incident during high school?
[00:19:34.280 --> 00:19:35.120]   - Yeah, facts.
[00:19:35.120 --> 00:19:38.080]   So, back in 2018, you know, I had went through
[00:19:38.080 --> 00:19:40.160]   a house fire tragedy, you know what happened,
[00:19:40.160 --> 00:19:44.760]   and, you know, I was watching March Madness in my room,
[00:19:44.760 --> 00:19:46.720]   and I was on the phone with one of my friends,
[00:19:46.720 --> 00:19:48.480]   and, you know, I'm just literally just chilling,
[00:19:48.480 --> 00:19:49.640]   just laying back, and it's like a,
[00:19:49.640 --> 00:19:51.080]   I forget what day it was.
[00:19:51.080 --> 00:19:53.840]   You know, it was like a Saturday or not,
[00:19:53.840 --> 00:19:55.120]   I forget which one of those days it was,
[00:19:55.120 --> 00:19:56.920]   but, you know, I'm just chilling back,
[00:19:56.920 --> 00:19:58.720]   and it's one of those days where everybody
[00:19:58.720 --> 00:20:00.160]   just be, you know, chilling in the crib,
[00:20:00.160 --> 00:20:01.520]   like, nobody bothering each other,
[00:20:01.520 --> 00:20:03.840]   you know, everybody just resting and stuff like that,
[00:20:03.840 --> 00:20:05.760]   and, you know, I'm watching the game and stuff,
[00:20:05.760 --> 00:20:10.760]   and just chilling, and I just get up out my bed
[00:20:10.760 --> 00:20:13.120]   'cause I start smelling, like, you know, smoke
[00:20:13.120 --> 00:20:16.680]   just surrounding just, like, my, like, just outside,
[00:20:16.680 --> 00:20:19.080]   like, and I'm like, damn, like, what's that smell?
[00:20:19.080 --> 00:20:21.400]   But, you know, like, that type of smell is normal
[00:20:21.400 --> 00:20:22.840]   for, you know, where I grew up, you know,
[00:20:22.840 --> 00:20:24.640]   and it's normal, people think it's a barbecue,
[00:20:24.640 --> 00:20:26.240]   you know, or it's a cookout going on,
[00:20:26.240 --> 00:20:27.080]   so I'm like, yeah, it's normal,
[00:20:27.080 --> 00:20:28.760]   so I just sat back in my bed,
[00:20:28.760 --> 00:20:31.120]   and it started getting more intense, intense, intense,
[00:20:31.120 --> 00:20:32.400]   I'm like, damn, what's that smell?
[00:20:32.400 --> 00:20:34.040]   Like, that's not like a barbecue,
[00:20:34.040 --> 00:20:36.480]   it smell like something burning, like something on fire.
[00:20:36.480 --> 00:20:37.600]   So, you know, I get out of my bed,
[00:20:37.600 --> 00:20:39.680]   and I had, you know, went to my door,
[00:20:39.680 --> 00:20:40.960]   and I had opened my door,
[00:20:40.960 --> 00:20:43.560]   and I just see all these flames just bursting,
[00:20:43.560 --> 00:20:45.960]   and I'm like, oh, shit, what the hell going on?
[00:20:45.960 --> 00:20:47.560]   So I instantly had to close the door,
[00:20:47.560 --> 00:20:49.040]   and I had went into my room,
[00:20:49.040 --> 00:20:50.680]   and I had to just sit there and just, like,
[00:20:50.680 --> 00:20:52.800]   think, like, damn, what the fuck am I supposed to do?
[00:20:52.800 --> 00:20:54.560]   And mind you, what's already clicking in my head
[00:20:54.560 --> 00:20:58.360]   is my grandma and my two baby cousins is in the other room,
[00:20:58.360 --> 00:20:59.640]   and I'm like, damn, like,
[00:20:59.640 --> 00:21:01.200]   how can I get over there to their room
[00:21:01.200 --> 00:21:02.840]   and see, you know, try to save them,
[00:21:02.840 --> 00:21:04.720]   or, you know, see what I can do, what plan I can do?
[00:21:04.720 --> 00:21:07.240]   But, you know, in movies, you can just think so,
[00:21:07.240 --> 00:21:09.040]   you know, they got all this time to think,
[00:21:09.040 --> 00:21:11.640]   you know, they go from one scene,
[00:21:11.640 --> 00:21:13.240]   you know, of the fire or something,
[00:21:13.240 --> 00:21:14.560]   and them try to, you know, escape that,
[00:21:14.560 --> 00:21:15.400]   and then they go to another scene,
[00:21:15.400 --> 00:21:16.520]   and then they come back to the fire,
[00:21:16.520 --> 00:21:18.560]   and then, it don't work like that, you know?
[00:21:18.560 --> 00:21:19.520]   That was something that, like,
[00:21:19.520 --> 00:21:22.720]   man, I really had to, like, think fast, you know,
[00:21:22.720 --> 00:21:23.880]   with such little time.
[00:21:23.880 --> 00:21:25.560]   And, you know, I'm just sitting down,
[00:21:25.560 --> 00:21:27.720]   I'm trying to really figure out how I'm gonna do this,
[00:21:27.720 --> 00:21:28.880]   but I live in an old house,
[00:21:28.880 --> 00:21:30.680]   so I'm like, the windows ain't gonna open,
[00:21:30.680 --> 00:21:33.200]   like, them windows never open,
[00:21:33.200 --> 00:21:36.040]   so I'm like, yeah, it might be over with for me.
[00:21:36.040 --> 00:21:37.920]   So I went to one of the windows to try to open,
[00:21:37.920 --> 00:21:38.760]   but, like, it didn't open,
[00:21:38.760 --> 00:21:40.600]   and now the smoke and everything
[00:21:40.600 --> 00:21:42.760]   is really getting, like, inside the room.
[00:21:42.760 --> 00:21:44.520]   Flames is starting to come in,
[00:21:44.520 --> 00:21:46.160]   the walls is getting hot.
[00:21:46.160 --> 00:21:47.760]   As I'm touching the windows, it's a little hot,
[00:21:47.760 --> 00:21:49.240]   so I'm like, ah, like,
[00:21:49.240 --> 00:21:50.960]   you know, I touched the first window, it didn't open.
[00:21:50.960 --> 00:21:52.800]   Now I'm really, like, cloudy,
[00:21:52.800 --> 00:21:54.640]   and I can't really see, you know?
[00:21:54.640 --> 00:21:56.480]   And I try to touch the second one, it's hot.
[00:21:56.480 --> 00:21:58.120]   I'm trying to open it, I'm like, nah,
[00:21:58.120 --> 00:21:59.240]   I'm just gonna go, like,
[00:21:59.240 --> 00:22:01.040]   it's really not opening for me.
[00:22:01.040 --> 00:22:02.480]   I dropped to my knees, I'm like,
[00:22:02.480 --> 00:22:04.040]   God, like, I really don't understand
[00:22:04.040 --> 00:22:05.120]   why this is happening to me.
[00:22:05.120 --> 00:22:06.760]   Like, I feel like I did everything I was,
[00:22:06.760 --> 00:22:07.720]   you know, supposed to do.
[00:22:07.720 --> 00:22:09.560]   I feel like I'm a great person to people.
[00:22:09.560 --> 00:22:11.360]   You know, I always, you know, give.
[00:22:11.360 --> 00:22:13.000]   You know, I never really, you know,
[00:22:13.000 --> 00:22:14.840]   I don't ask to receive from anybody.
[00:22:14.840 --> 00:22:16.560]   You know, I always wanna do my deeds,
[00:22:16.560 --> 00:22:18.280]   you know, in your honor.
[00:22:18.280 --> 00:22:19.520]   So I just be like, dang, man,
[00:22:19.520 --> 00:22:22.080]   this is, you know, crazy to happen to me.
[00:22:22.080 --> 00:22:24.280]   And, you know, as I'm just sitting down,
[00:22:24.280 --> 00:22:25.320]   I'm just praying, I'm like, man,
[00:22:25.320 --> 00:22:27.480]   if it's my time to go, I'm just gonna go, you know?
[00:22:27.480 --> 00:22:28.840]   But I just hear that voice in my head, like,
[00:22:28.840 --> 00:22:31.080]   get up, like, I got you, get up.
[00:22:31.080 --> 00:22:33.400]   And it's like, it's not your time to go yet.
[00:22:33.400 --> 00:22:34.760]   And he's like, you know,
[00:22:34.760 --> 00:22:36.200]   that window's gonna open to you, the third one.
[00:22:36.200 --> 00:22:38.520]   So I'm like, it's no way, bro, it's no way.
[00:22:38.520 --> 00:22:40.840]   So I get up, I get up, I go to the window,
[00:22:40.840 --> 00:22:42.840]   and I just try to just open it, and it's open.
[00:22:42.840 --> 00:22:44.160]   I'm like, wow, this is crazy.
[00:22:44.160 --> 00:22:45.720]   So I open up, I see somebody outside.
[00:22:45.720 --> 00:22:47.560]   I'm like, my house is on fire, my house is on fire.
[00:22:47.560 --> 00:22:48.440]   Come save me.
[00:22:48.440 --> 00:22:49.880]   He's like, you gotta jump, you gotta jump.
[00:22:49.880 --> 00:22:51.600]   I'm like, I can't jump, it's too high.
[00:22:51.600 --> 00:22:52.920]   It's a three-story floor house.
[00:22:52.920 --> 00:22:54.480]   I'm like, I cannot jump.
[00:22:54.480 --> 00:22:57.080]   You gotta jump, we need you, you our last hope.
[00:22:57.080 --> 00:22:59.240]   When I heard that, I'm like, damn, bro,
[00:22:59.240 --> 00:23:01.680]   like, I really am the last hope from Wilmington, Delaware.
[00:23:01.680 --> 00:23:04.080]   So small, everybody depending on me to make it,
[00:23:04.080 --> 00:23:05.360]   and stuff like that.
[00:23:05.360 --> 00:23:07.040]   So I'm just like, all right, fuck it.
[00:23:07.040 --> 00:23:09.680]   But after he said that, though, lie to you not,
[00:23:09.680 --> 00:23:14.120]   I went back in the room, got on, you know, my knees.
[00:23:14.120 --> 00:23:15.640]   I'm like, man, I'm just gonna go, I can't jump,
[00:23:15.640 --> 00:23:16.760]   it's too high.
[00:23:16.760 --> 00:23:18.280]   Just hear a voice in my head, God, just get up,
[00:23:18.280 --> 00:23:19.560]   just get up, just get up.
[00:23:19.560 --> 00:23:20.960]   I just said, fuck it, went out the window.
[00:23:20.960 --> 00:23:22.200]   I just jumped head first.
[00:23:22.200 --> 00:23:23.440]   I had to turn my patella tendon,
[00:23:23.440 --> 00:23:25.040]   I hit my knees on the bricks.
[00:23:25.040 --> 00:23:27.200]   I tried to get up and crawl, I couldn't walk.
[00:23:27.200 --> 00:23:29.120]   I tried to call to the car, you know,
[00:23:29.120 --> 00:23:31.040]   to the lady who had a phone.
[00:23:31.040 --> 00:23:32.360]   I'm like, call my mom, call my mom.
[00:23:32.360 --> 00:23:34.640]   My mom was at a place called Main Event.
[00:23:34.640 --> 00:23:36.800]   And, you know, she was there with, like,
[00:23:36.800 --> 00:23:39.440]   a couple of my other family members, cousins and stuff,
[00:23:39.440 --> 00:23:41.000]   just having, like, a fun day.
[00:23:41.000 --> 00:23:42.280]   I forgot my mom's phone number.
[00:23:42.280 --> 00:23:43.960]   So I'm like, I don't know what's going on.
[00:23:43.960 --> 00:23:46.120]   My head's spinning, you know, I can't walk,
[00:23:46.120 --> 00:23:47.560]   I can't do anything, you know.
[00:23:47.560 --> 00:23:49.680]   So I'm like, damn, I forgot my mom's phone number.
[00:23:49.680 --> 00:23:51.160]   Anybody know my mom's number?
[00:23:51.160 --> 00:23:52.920]   It just clicked in my head, I called mom.
[00:23:52.920 --> 00:23:54.360]   You know, number literally just clicked in my head,
[00:23:54.360 --> 00:23:55.200]   it was so crazy.
[00:23:55.200 --> 00:23:56.960]   I called mom, the house on fire.
[00:23:56.960 --> 00:23:59.640]   She drove so fast back to the crib.
[00:23:59.640 --> 00:24:01.760]   I just seen my mom just come, what's going on?
[00:24:01.760 --> 00:24:03.080]   House on fire, da, da, da.
[00:24:03.080 --> 00:24:04.280]   My mom in there with the baby,
[00:24:04.280 --> 00:24:05.680]   with the baby cousin, stuff like that.
[00:24:05.680 --> 00:24:07.240]   You know, her nephews.
[00:24:07.240 --> 00:24:09.360]   And that shit was just so crazy, bro.
[00:24:09.360 --> 00:24:11.240]   And then their mom, she came from McDonald's
[00:24:11.240 --> 00:24:12.880]   'cause they had got food for them.
[00:24:12.880 --> 00:24:14.840]   And she came from McDonald's, she seen the house on fire.
[00:24:14.840 --> 00:24:16.400]   She dropped the McDonald's to the floor.
[00:24:16.400 --> 00:24:17.600]   I just see her trying to run in there
[00:24:17.600 --> 00:24:20.840]   to try to save her mom or her sons.
[00:24:20.840 --> 00:24:22.040]   It's like, damn, this shit is crazy.
[00:24:22.040 --> 00:24:24.760]   Then once it all, like probably 10 minutes go past,
[00:24:24.760 --> 00:24:27.120]   I had seen my grandmother and my baby brother walk out.
[00:24:27.120 --> 00:24:30.640]   Not walk out, but get carried out in the ambulance thing.
[00:24:30.640 --> 00:24:32.160]   I mean, the little walker thing,
[00:24:32.160 --> 00:24:34.320]   the little stretcher thing.
[00:24:34.320 --> 00:24:36.000]   I just seen, you know, just all of them just covered up
[00:24:36.000 --> 00:24:36.840]   in just charcoal.
[00:24:36.840 --> 00:24:38.680]   I'm like, damn, like, this is like crazy.
[00:24:38.680 --> 00:24:42.200]   But it was such just a, like, a tough thing for me, man.
[00:24:42.200 --> 00:24:44.440]   Even to this day, like, it's really been like hard.
[00:24:44.440 --> 00:24:45.800]   You know, sometimes I can't speak about it,
[00:24:45.800 --> 00:24:46.760]   sometimes I can't.
[00:24:46.760 --> 00:24:49.560]   Every time I speak about it, it's so hard.
[00:24:49.560 --> 00:24:51.240]   Like, it just still be like flashbacks
[00:24:51.240 --> 00:24:52.080]   in the back of my head.
[00:24:52.080 --> 00:24:53.960]   It's so hard to get my words out, you know.
[00:24:53.960 --> 00:24:57.040]   It be tough, man, but, you know, I never like,
[00:24:57.040 --> 00:25:00.920]   like, just to this day, like, that's why I'm so big on,
[00:25:00.920 --> 00:25:02.720]   you know, speaking on, you know, God
[00:25:02.720 --> 00:25:04.000]   and, you know, having that faith in God.
[00:25:04.000 --> 00:25:05.560]   'Cause that, like, I'm really not supposed to be here.
[00:25:05.560 --> 00:25:09.280]   So, you know, I know, you know, my calling is, you know,
[00:25:09.280 --> 00:25:11.200]   bringing people back home to Jesus
[00:25:11.200 --> 00:25:13.440]   and believing in him and believing that, you know,
[00:25:13.440 --> 00:25:15.160]   whatever you're going through, you know,
[00:25:15.160 --> 00:25:16.400]   it's always a brighter side.
[00:25:16.400 --> 00:25:17.240]   He always can pull you through.
[00:25:17.240 --> 00:25:18.600]   So, that's something that, you know,
[00:25:18.600 --> 00:25:22.240]   I know it's my calling, but I do that through basketball.
[00:25:22.240 --> 00:25:24.840]   - Bro, like, every time I hear that story,
[00:25:24.840 --> 00:25:28.440]   like, it just, it touches my heart.
[00:25:28.440 --> 00:25:30.600]   Not just because of what you've been through,
[00:25:30.600 --> 00:25:33.040]   but how you turn that around, bro.
[00:25:33.040 --> 00:25:36.520]   Like, I don't know too many people that would take that
[00:25:36.520 --> 00:25:38.520]   and turn it around into what you've turned it around to
[00:25:38.520 --> 00:25:40.800]   and become the person through it that you've become.
[00:25:40.800 --> 00:25:43.360]   And, like, just giving people back at the crib,
