
[00:00:00.000 --> 00:00:29.000]   [no sound]
[00:36:16.000 --> 00:36:23.000]   All I'm doing is I'm just checking the differences. But the one thing I've done wrong here, or the one thing that's incorrect,
[00:36:23.000 --> 00:36:33.000]   is that see how this difference is minus 200. If I take the difference of this number and let's say this was 100,
[00:36:33.000 --> 00:36:38.000]   then that would be 120. So I have a negative difference. I have a positive number.
[00:36:38.000 --> 00:36:46.000]   If I'm taking the average, the negatives and the positives will cancel out each other, which is going to be a problem.
[00:36:46.000 --> 00:36:53.000]   So what I can do is I can just take the modulus. This is just simple math.
[00:36:53.000 --> 00:36:57.000]   So I can instead of just saying minus 200, this becomes 200, this becomes 120.
[00:36:57.000 --> 00:37:05.000]   I basically convert every negative number into a positive number. And then I can calculate the differences between the two.
[00:37:05.000 --> 00:37:09.000]   The same thing you can do is you can check the mean of the square of differences.
[00:37:09.000 --> 00:37:14.000]   So you can take the differences still, but you can, after taking a difference,
[00:37:14.000 --> 00:37:17.000]   you can calculate the square of it and then you can calculate the mean.
[00:37:17.000 --> 00:37:20.000]   And this is something that's called as a root mean square error.
[00:37:20.000 --> 00:37:27.000]   So the first thing is called as an Elvin norm. The second thing is called an RMSE.
[00:37:27.000 --> 00:37:32.000]   The RMSE, sorry, the Elvin norm looks something like this.
[00:37:32.000 --> 00:37:38.000]   So as I said, you take the differences. So I'm just taking the pixel by pixel difference,
[00:37:38.000 --> 00:37:45.000]   which is being happened here, a3 minus mean 3. And then I take the modulus or I just convert every negative number into a positive number.
[00:37:45.000 --> 00:37:50.000]   And then I can calculate the mean. The second thing is you can take the differences,
[00:37:50.000 --> 00:37:55.000]   you can square it and then you can take the mean. So this is the root mean square error.
[00:37:55.000 --> 00:38:04.000]   If any of this doesn't make sense or if any of this is new to you,
[00:38:04.000 --> 00:38:17.000]   in this book, there's this resource mentioned in Khan Academy that says introduction to square roots.
[00:38:17.000 --> 00:38:23.000]   So then what happens is when we take a new image, what they say is in both cases,
[00:38:23.000 --> 00:38:28.000]   the distances between our new number 3 and the ideal 3 is less than the distance to 7,
[00:38:28.000 --> 00:38:44.000]   which means that we can classify this 3 as basically the number 3. I'll take questions now.
[00:38:44.000 --> 00:38:49.000]   Please ignore cosine similarity for now. We're just looking at the closest.
[00:38:49.000 --> 00:38:56.000]   We're just looking at a simple absolute or just a mean of square differences.
[00:38:56.000 --> 00:39:02.000]   Does anybody have any questions so far? Let me just ask this way.
[00:39:02.000 --> 00:39:09.000]   Can you just post on basically the report if so far what we've explained does make sense?
[00:39:09.000 --> 00:39:30.000]   Otherwise, I can spend like five more minutes and try and explain this even in an easier way.
[00:39:30.000 --> 00:39:37.000]   OK, I'm just going to assume that what I've explained so far makes sense.
[00:39:37.000 --> 00:39:45.000]   So that's just the baseline. The next thing we're looking at is NumPy arrays and PyTorch tensors.
[00:39:45.000 --> 00:39:50.000]   So why do we need to care about NumPy and why do we need to care about PyTorch?
[00:39:50.000 --> 00:39:54.000]   Plain Python is really slow. And if you want to be able to do deep learning,
[00:39:54.000 --> 00:39:58.000]   we need to be able to do the operations really fast.
[00:39:58.000 --> 00:40:02.000]   And NumPy and PyTorch are both wrappers around the language C.
[00:40:02.000 --> 00:40:12.000]   So C is a much faster language and it can do it can basically do many thousands of times faster operations than using pure Python.
[00:40:12.000 --> 00:40:20.000]   So that's one reason why we convert everything either to a NumPy array or PyTorch tensor.
[00:40:20.000 --> 00:40:35.000]   But the major difference between PyTorch and NumPy is that in PyTorch, you can do things on the GPU.
[00:40:35.000 --> 00:40:41.000]   So in PyTorch, the tensors or everything that we're creating can also live on the GPU.
[00:40:41.000 --> 00:40:49.000]   But whereas for NumPy, that's not the case. NumPy can only work on CPU.
[00:40:49.000 --> 00:40:55.000]   And the next thing is what PyTorch can do is it can automatically calculate the derivatives of operations.
[00:40:55.000 --> 00:41:07.000]   So let me explain that. This is just examples of how basically how data looks like, how you convert it to an array, how you convert it to an array.
[00:41:07.000 --> 00:41:13.000]   So if I have a data that looks something like this, which is a list of lists, I can convert it into an array.
[00:41:13.000 --> 00:41:16.000]   I can convert it into a tensor. If I look at the array, it looks like this.
[00:41:16.000 --> 00:41:20.000]   If I look at the tensor, it looks like this. So they're both looking very similar.
[00:41:20.000 --> 00:41:29.000]   But again, tensor has some more extra functionality, like taking the derivative of things, or it can it has extra functionality that it can.
[00:41:29.000 --> 00:41:35.000]   It can basically have tensors that live on the GPU. You can select a row.
[00:41:35.000 --> 00:41:38.000]   It's very similar, like it's just Python. You can do indexing.
[00:41:38.000 --> 00:41:43.000]   So you can select the second row that looks like this. This is, again, just basic Python.
[00:41:43.000 --> 00:41:50.000]   You can select the second column. This looks like that.
[00:41:50.000 --> 00:42:01.000]   And that's pretty much it, like tensors have a type. So this is just so far, all we've done is we've just had a look at the basics of NumPy arrays and tensors.
[00:42:01.000 --> 00:42:09.000]   Something I want to briefly touch upon is also broadcasting.
[00:42:09.000 --> 00:42:19.000]   So something that happens, I won't go into the exact detail of what's been mentioned in this book, but I'll explain broadcasting in another way.
[00:42:19.000 --> 00:42:48.000]   So what happens is, if you try -- actually, let me show you in Python. If you have a list that looks something like...
[00:42:48.000 --> 00:43:04.000]   If you have a list that looks something like that, and I'm just using standard Python, then if I'm trying to add number one to it, it's going to give me an error.
[00:43:04.000 --> 00:43:11.000]   So what's happening is you have a list of numbers that looks like one, two, three, four, five.
[00:43:11.000 --> 00:43:21.000]   And I'm then trying to add a number one to this list. It's going to give me an error because it's going to say that you can only add list to list, but you can't add a number to a list.
[00:43:21.000 --> 00:43:31.000]   But what if I had converted this to an array instead? I'm just showing you what broadcasting looks like.
[00:43:31.000 --> 00:43:42.000]   In that case, that lets me add this number one to this whole NumPy array. In fact, if this was a tensor, then that would have let me do it as well.
[00:43:42.000 --> 00:43:52.000]   So what's happening here? What's this? What's different between adding this number one to this list or adding this number one to a NumPy array?
[00:43:52.000 --> 00:44:02.000]   So what NumPy and PyTorch do differently is they use something called broadcasting.
[00:44:02.000 --> 00:44:25.000]   So what broadcasting does is if you have a list that looks like this, and you're trying to add a single number one, it will convert it into a list of duplicate items or an array of duplicate items.
[00:44:25.000 --> 00:44:33.000]   And then you can add the two together. So it's basically broadcasting a single number to whatever the length of my list is.
[00:44:33.000 --> 00:44:41.000]   And then you can add the two together. So then when you add them two together, it adds one and one, two and one, three and one, four and one, five and one.
[00:44:41.000 --> 00:44:49.000]   So you get the output as two, three, four, five, six. But normal Python list can't do something like broadcasting.
[00:44:49.000 --> 00:44:57.000]   And that's just basically what broadcasting means.
[00:44:57.000 --> 00:45:11.000]   So what I've explained so far then...
[00:45:11.000 --> 00:45:25.000]   I'm just going to show in code everything that I've explained so far. So we just had our first pixel similarity.
[00:45:25.000 --> 00:45:54.000]   This is where we were.
[00:45:54.000 --> 00:46:04.000]   Okay.
[00:46:04.000 --> 00:46:06.000]   This is where we are.
[00:46:06.000 --> 00:46:11.000]   So right now, what we want to do in the end is we want to also calculate the accuracy.
[00:46:11.000 --> 00:46:17.000]   So what we've done is our basic approach of being able to classify a number three or a seven.
[00:46:17.000 --> 00:46:25.000]   So if you have a new image, we can basically check how close it is to the average of number threes or how close it is to the average seven.
[00:46:25.000 --> 00:46:33.000]   The ideal seven. Then what we want to do is we want to be able to use this approach and we want to be able to test what the accuracy is.
[00:46:33.000 --> 00:46:38.000]   So what I do is I then go into my list of parts.
[00:46:38.000 --> 00:46:48.000]   And I go and I have a look at what the output of this is. So let me show you.
[00:46:48.000 --> 00:46:55.000]   So I have a thousand valid images. As I said, the train was in the train folder and valid images are in the valid folder.
[00:46:55.000 --> 00:46:59.000]   I have about a thousand and ten valid images for the digit three.
[00:46:59.000 --> 00:47:08.000]   Then what I can do is I can again use my list comprehension that looks like this and I can convert everything into a tensor.
[00:47:08.000 --> 00:47:28.000]   So my first element of this then becomes a tensor. And this is a list.
[00:47:28.000 --> 00:47:36.000]   So this is a list of length, one thousand and ten. And then I can divide everything by two fifty five because it converts everything to a float.
[00:47:36.000 --> 00:47:45.000]   I can do the same thing for my sevens and then I can check. OK, my valid three tens is basically a torch tensor now because I'm using torch dot stack,
[00:47:45.000 --> 00:47:50.000]   which we've already looked at before. It just converts a list of 2D tensors into a 3D tensor.
[00:47:50.000 --> 00:48:03.000]   So I can see that all my images of number three or the digit three have been converted into this tensor of thousand and ten by twenty eight by twenty eight.
[00:48:03.000 --> 00:48:11.000]   And the same thing goes for sevens. All my valid images for the digit seven have been converted into this tensor of thousand twenty eight by twenty eight.
[00:48:11.000 --> 00:48:18.000]   Thousand twenty eight by twenty eight by twenty eight. Then what I want to do is I want to for each of these,
[00:48:18.000 --> 00:48:25.000]   remember that we want to classify each of these validation images, each of these validation threes and each of these validation sevens,
[00:48:25.000 --> 00:48:34.000]   if they are either a three or a seven. Then the next thing that the book tells us to do is I already showed you what this means.
[00:48:34.000 --> 00:48:42.000]   This is just taking the difference between each of the pixels.
[00:48:42.000 --> 00:49:11.000]   To clarify. So this is what this looks like.
[00:49:11.000 --> 00:49:22.000]   That's not a good representation because it doesn't have.
[00:49:22.000 --> 00:49:29.000]   Right, that's better. So this is what my new image was, a three. If I use show image.
[00:49:29.000 --> 00:49:35.000]   And I say a three, and then that's an image of a three. And if I do.
[00:49:35.000 --> 00:49:42.000]   Show image on mean three, and then that's how my ideal three would look like.
[00:49:42.000 --> 00:49:51.000]   So I'm just trying to compare a new image which looks like this. I'm just trying to compare this new image to.
[00:49:51.000 --> 00:49:56.000]   I'm just trying to compare this new image to either that ideal three or that ideal seven.
[00:49:56.000 --> 00:50:03.000]   So what I can do is then, as I said, each number or each image inside is a 2D array.
[00:50:03.000 --> 00:50:08.000]   Then I can take the difference between these two numbers. I can take the difference between these two numbers.
[00:50:08.000 --> 00:50:15.000]   I can take the difference between these two numbers. And I can take and I can call the absolute and then I can take the mean.
[00:50:15.000 --> 00:50:19.000]   So if I do that, I can just say mean distance.
[00:50:19.000 --> 00:50:30.000]   And then that tells me, OK, the mean distance between this new image three and this mean difference between this ideal three is a 0.114.
[00:50:30.000 --> 00:50:36.000]   And I can just say same thing to check for seven. It's 0.1586.
[00:50:36.000 --> 00:50:41.000]   Because the distance of this new image is higher to the sevens and it's lower to the threes.
[00:50:41.000 --> 00:50:47.000]   We can just say that this new image should be a three. Does that make sense?
[00:50:47.000 --> 00:51:02.000]   If it doesn't, just let me know and I can explain that.
[00:51:02.000 --> 00:51:05.000]   Is the difference element wise for the tensor? Yes.
[00:51:05.000 --> 00:51:09.000]   So when we're doing the best way to check would be just try something like this. Don't take the mean.
[00:51:09.000 --> 00:51:14.000]   So just try something like MNIST distance. And then you can just say MNIST distance.
[00:51:14.000 --> 00:51:17.000]   And then you can see how it's showing you the difference for each element.
[00:51:17.000 --> 00:51:21.000]   If I'm going A3, which looks like this, and I'm going mean three, that looks like this.
[00:51:21.000 --> 00:51:26.000]   And then I can actually check the difference for the exact same numbers.
[00:51:26.000 --> 00:51:29.000]   So I can just basically it's just it's just for every element.
[00:51:29.000 --> 00:51:33.000]   And then we take the and then we take the mean.
[00:51:33.000 --> 00:51:39.000]   So we first calculate all the differences as I was showing you.
[00:51:39.000 --> 00:51:55.000]   As I was showing you over here, we first calculate each of the pixel differences and then we take the average.
[00:51:55.000 --> 00:51:57.000]   So that's that. So that's just the basic idea.
[00:51:57.000 --> 00:52:04.000]   I think if you if you go back and you try and look at this part of the notebook, I think this will all make much more sense.
[00:52:04.000 --> 00:52:12.000]   But then what we want to do is we don't want to the next thing is what we want to do is we don't want to actually just check the distance of this one image.
[00:52:12.000 --> 00:52:17.000]   But we want to check the distance of all my validation images. So my validation image.
[00:52:17.000 --> 00:52:26.000]   So so far I know that now there is a way to check the basically this MNIST distance or how close a new image is to the group three or how close new images to the group seven.
[00:52:26.000 --> 00:52:34.000]   But we want to be able to check this distance for a thousand and ten images for threes.
[00:52:34.000 --> 00:52:39.000]   And we want to be able to check this difference for a thousand and twenty eight images for sevens.
[00:52:39.000 --> 00:52:45.000]   Because remember, basically at the end, we want to calculate accuracy. So I can just say do something like this.
[00:52:45.000 --> 00:52:50.000]   MNIST distance valid three tens and then mean three.
[00:52:50.000 --> 00:52:55.000]   So what this PyTorch using broadcasting as I've already explained what broadcasting is.
[00:52:55.000 --> 00:53:04.000]   What it will do is. It will then calculate the distance of each of the validation images threes with that mean three.
[00:53:04.000 --> 00:53:09.000]   So I can have my valid three distance here and I can check the shape. It's a shape thousand and ten.
[00:53:09.000 --> 00:53:20.000]   Because for each image that's in my validation set, it's going to give me how far it is from from this mean three tensor.
[00:53:20.000 --> 00:53:30.000]   So that's that's the basic idea of of using broadcasting. As I've said already, I've explained this in the before that you can convert thing to a tensor and then you can add to it.
[00:53:30.000 --> 00:53:36.000]   If this was Python list, it would give us an error. So see this.
[00:53:36.000 --> 00:53:42.000]   So this is just explained broadcasting so far.
[00:53:42.000 --> 00:53:53.000]   So then the next thing is. I just want to now have a look at this so I can now.
[00:53:53.000 --> 00:53:59.000]   This is where everything will come together. I can now calculate.
[00:53:59.000 --> 00:54:04.000]   My valid seven distances, if I say this is seven.
[00:54:04.000 --> 00:54:09.000]   I should be just able to do. This.
[00:54:09.000 --> 00:54:19.000]   So see that. So now for every validation image.
[00:54:19.000 --> 00:54:23.000]   For every validation image, then I've converted.
[00:54:23.000 --> 00:54:30.000]   I've calculated the difference of. It's much easier. Sorry for me to write it here.
[00:54:30.000 --> 00:54:42.000]   So I have. Three's here and these are my all my images I have, let's say, 1010 of these and I have my sevens here.
[00:54:42.000 --> 00:54:46.000]   These are my 1028 images.
[00:54:46.000 --> 00:54:54.000]   Then I have my.
[00:54:54.000 --> 00:54:59.000]   I have my ideal group of threes and ideal group of seven. So this is three. This is seven.
[00:54:59.000 --> 00:55:03.000]   Then for each of these, I'm calculating the difference, how close it is to three.
[00:55:03.000 --> 00:55:11.000]   And for each of these, I'm calculating how close it is to seven. So if I can do that, then I can check if my.
[00:55:11.000 --> 00:55:15.000]   To see, and if I go, I can check. There's this function I can say is three.
[00:55:15.000 --> 00:55:26.000]   If the distance of my new image. With this ideal three is less than the distance of my new image with this ideal seven.
[00:55:26.000 --> 00:55:34.000]   In that case, what I have is going to be the number three.
[00:55:34.000 --> 00:55:41.000]   So I can just check. OK, that's it. I can convert my new image and just check if it is basically a three or not.
[00:55:41.000 --> 00:55:46.000]   So that becomes my label and I can then convert that into a flow.
[00:55:46.000 --> 00:55:52.000]   So I can then check for all of my validation images that are in folder.
[00:55:52.000 --> 00:55:57.000]   All of my validation images with the image three and I can just convert them and check if they are three or not.
[00:55:57.000 --> 00:56:03.000]   So you can see how it will tell us that many of them are threes or not.
[00:56:03.000 --> 00:56:14.000]   Then I can calculate the accuracy. I can calculate and this basic approach basically is then able to classify the threes and seven.
[00:56:14.000 --> 00:56:28.000]   So if it's able to tell the threes by 91 percent and it's able to tell the sevens by 98 percent and the average accuracy of my classifier or basically my this basic classifier that we've created is 95 percent accurate.
[00:56:28.000 --> 00:56:38.000]   So that's a pretty good start. We're getting above 95 percent, above 90 percent accuracy on both threes and sevens.
[00:56:38.000 --> 00:57:03.000]   So now we'll take questions. So what we've discussed on this basic classifier.
[00:57:03.000 --> 00:57:09.000]   Could you please remind us, could you please tell the audience about the FastAI and Hugging Face studying group as well?
[00:57:09.000 --> 00:57:28.000]   Okay, yeah, sure. So for those, for everybody that's interested, I will go to Sanyam's tweet about it.
[00:57:28.000 --> 00:57:34.000]   So what's happening is Hugging Face just basically released a new course.
[00:57:34.000 --> 00:57:52.000]   So let me. And what's happening at Wits and Biases is that a few people are coming together and we're going to start with another NLP course that's basically using Hugging Face and it will explain what Hugging Face is and how Hugging Face transformers can be used.
[00:57:52.000 --> 00:58:02.000]   But the key idea is then to understand how Hugging Face works and then use that transformers library and see how it can be integrated into FastAI.
[00:58:02.000 --> 00:58:12.000]   So the more details can be found here. I'll just share this with everybody on Zoom.
[00:58:12.000 --> 00:58:18.000]   So if you're interested, please sign up. I think it's going to be another great event.
[00:58:18.000 --> 00:58:26.000]   After using the pixel density, are we going to use the YOLO algorithm? That's too far, going too far ahead.
[00:58:26.000 --> 00:58:32.000]   This is again something separate. But can you introduce Wits and Biases for experiments tracking and integrating with FastAI?
[00:58:32.000 --> 00:58:42.000]   I guess this question was raised on the forums. I think that's a really good point. Can definitely do, but we need to be able to train models first to be able to compare experiments.
[00:58:42.000 --> 00:58:48.000]   So that's something that will definitely be coming in the coming lectures.
[00:58:48.000 --> 00:59:00.000]   Three is more likely to have curves. We've already looked at that.
[00:59:00.000 --> 00:59:14.000]   That's a good point. Thanks, Xavier. Match average pixel. Sorry, what's that? Oh, that's the answer on how we can check. Yes, that's what we did.
[00:59:14.000 --> 00:59:22.000]   We can make a flat array for both and compare. That's exactly kind of the direction that we headed.
[00:59:22.000 --> 00:59:28.000]   Place at which the different values tend to occur.
[00:59:28.000 --> 00:59:35.000]   The number is equal in the surface percentage that's covered by... That's a good point.
[00:59:35.000 --> 00:59:44.000]   Yes, that's exactly what I said. A number three would cover more surface, it would have a higher average.
[00:59:44.000 --> 00:59:51.000]   I'm sorry, I don't understand. I thought of two columns, count of numbers above 10 and count of numbers.
[00:59:51.000 --> 00:59:58.000]   Oh, right. Okay. But that's basically calculating the average. If you calculate the average, you'd kind of be doing the same thing.
[00:59:58.000 --> 01:00:07.000]   You'd kind of be... If the count of numbers above 10 or if the count of numbers above 230 is more, then the average is going to be higher.
[01:00:07.000 --> 01:00:15.000]   So in a way, we're kind of doing the same thing.
[01:00:15.000 --> 01:00:21.000]   Thanks, Vinayak. Yes, that's exactly what we did. And then we can calculate the Euclidean distance.
[01:00:21.000 --> 01:00:30.000]   Instead of calling it Euclidean distance, let's just say we can calculate the difference in the pixels and we can just go from there.
[01:00:30.000 --> 01:00:37.000]   How does Toster stack work for RGB images? Again, just have a look. Try opening an RGB image and see how that would go.
[01:00:37.000 --> 01:00:47.000]   It will still stack all the images. So instead of converting like a 1D tensor, it will convert into a 3D tensor.
[01:00:47.000 --> 01:00:57.000]   If we want to compare a new image with a mean, then we can use cosine similarity. Skipping that one for now because we will get back to that later.
[01:00:57.000 --> 01:01:02.000]   This one has been answered. Can you explain what is L1 and L2 norm?
[01:01:02.000 --> 01:01:07.000]   Why is it used actually in the task of calculating?
[01:01:07.000 --> 01:01:18.000]   Oh, sorry. So then L1 and L2 norm are nothing complicated.
[01:01:18.000 --> 01:01:29.000]   I think you're doing -- the question comes from -- it's not L1 norm, by the way. We're using L1 loss in PyTorch is what this is called.
[01:01:29.000 --> 01:01:36.000]   We've used L1 loss or L1 norm, but in PyTorch it's just called L1 loss.
[01:01:36.000 --> 01:01:46.000]   But this idea of calculating the differences between the pixels -- okay. Let me try and explain that better.
[01:01:46.000 --> 01:01:53.000]   So now you know what a 3 looks like. So far we know what a 3 looks like. A 3 looks like this. A 7 looks like this.
[01:01:53.000 --> 01:02:00.000]   A 3 would have some numbers in here. So I'm just going to say some numbers. I'm not going to put them in.
[01:02:00.000 --> 01:02:10.000]   And a 7 would have some numbers in here as well. This is what we know a 3 looks like. So 3 is on the left. 7 is on the right.
[01:02:10.000 --> 01:02:23.000]   When we have a new image, then we can calculate the differences pixel by pixel. So we can calculate the pixel by pixel differences for each of these pixels for 3,
[01:02:23.000 --> 01:02:32.000]   which will give us this pixel difference. I'm just going to call it pixel difference with 3.
[01:02:32.000 --> 01:02:33.800]   And I can also do the same thing,
[01:02:33.800 --> 01:02:37.360]   calculate the pixel by pixel difference,
[01:02:37.360 --> 01:02:40.200]   which will give me the pixel difference for seven.
[01:02:40.200 --> 01:02:44.600]   So I'm just gonna call it P seven, pixel difference seven.
[01:02:44.600 --> 01:02:45.880]   Now, if you can think of,
[01:02:45.880 --> 01:02:49.960]   some numbers would be positive, negative,
[01:02:49.960 --> 01:02:52.660]   positive, positive, and negative,
[01:02:52.660 --> 01:02:55.200]   positive, positive, negative, negative, positive.
[01:02:55.200 --> 01:02:56.740]   So cause some numbers are positive
[01:02:56.740 --> 01:02:58.360]   and some numbers are negative.
[01:02:58.360 --> 01:02:59.860]   If you take the average of this
[01:02:59.860 --> 01:03:01.640]   and the positive and negative numbers
[01:03:01.640 --> 01:03:04.880]   are going to basically collide with each other,
[01:03:04.880 --> 01:03:06.360]   or when you take the average,
[01:03:06.360 --> 01:03:07.920]   it's not gonna give you a good result
[01:03:07.920 --> 01:03:09.460]   cause that's not a good representation.
[01:03:09.460 --> 01:03:12.880]   That's not how, it will not give you the correct result.
[01:03:12.880 --> 01:03:14.880]   So something you wanna do is,
[01:03:14.880 --> 01:03:17.600]   rather than just taking the difference,
[01:03:17.600 --> 01:03:19.760]   what you could do is you could take the difference,
[01:03:19.760 --> 01:03:23.760]   but also add a modulus or an absolute operation.
[01:03:23.760 --> 01:03:25.880]   What it will do is it will basically,
[01:03:25.880 --> 01:03:28.240]   if the difference, when you're adding the modulus,
[01:03:28.240 --> 01:03:29.640]   if the difference is minus 100,
[01:03:29.640 --> 01:03:32.200]   then adding a modulus will just convert it to a hundred.
[01:03:32.200 --> 01:03:36.520]   So everything then becomes positive over here too.
[01:03:36.520 --> 01:03:38.520]   And then it's easier for you to compare
[01:03:38.520 --> 01:03:41.280]   the two basically differences.
[01:03:41.280 --> 01:03:43.760]   So when we, in Python,
[01:03:43.760 --> 01:03:47.720]   when we checking the MNIST difference,
[01:03:47.720 --> 01:03:53.680]   MNIST distance, sorry.
[01:03:53.680 --> 01:03:54.920]   When we're checking this,
[01:03:54.920 --> 01:03:57.160]   this basically MNIST distance,
[01:03:57.160 --> 01:03:58.780]   we're taking the absolute.
[01:03:58.780 --> 01:04:01.440]   This is basically L1 norm.
[01:04:01.440 --> 01:04:12.560]   And if I would have like done the square of this,
[01:04:12.560 --> 01:04:19.140]   then this would have been L2 norm.
[01:04:19.140 --> 01:04:21.680]   So the next thing then,
[01:04:21.680 --> 01:04:23.520]   so right now I'm just taking the modulus
[01:04:23.520 --> 01:04:25.720]   that converts this into a positive number.
[01:04:25.720 --> 01:04:26.740]   The next thing I could have done is
[01:04:26.740 --> 01:04:28.600]   I could have taken the square of this,
[01:04:28.600 --> 01:04:30.320]   then that would have also converted this
[01:04:30.320 --> 01:04:32.420]   into a positive number.
[01:04:32.420 --> 01:04:35.840]   So if you take the square of the difference,
[01:04:35.840 --> 01:04:37.120]   then that's called L2 norm.
[01:04:37.120 --> 01:04:38.720]   So I hope that explains the difference
[01:04:38.720 --> 01:04:40.200]   between L1 and L2 norm.
[01:04:40.200 --> 01:04:49.200]   Wouldn't we want to eliminate the white rows and columns
[01:04:49.200 --> 01:04:51.560]   and then stretch the images and resize them?
[01:04:51.560 --> 01:04:54.060]   They already, all the images are the same size.
[01:04:54.060 --> 01:04:55.440]   They're all 28 by 28.
[01:04:58.360 --> 01:04:59.600]   If I got that correctly.
[01:04:59.600 --> 01:05:03.880]   I know the book talks about the mean minus one,
[01:05:03.880 --> 01:05:04.720]   minus two part.
[01:05:04.720 --> 01:05:05.540]   Could you explain it again?
[01:05:05.540 --> 01:05:06.540]   Sure can.
[01:05:06.540 --> 01:05:09.820]   Is there a Slack channel for FastAI Hugging Face Study Group?
[01:05:09.820 --> 01:05:12.080]   I don't think there is one yet,
[01:05:12.080 --> 01:05:15.340]   but I think we will get back to you when there is one.
[01:05:15.340 --> 01:05:19.480]   So the thing you're asking is
[01:05:19.480 --> 01:05:22.560]   what does this mean minus one, minus two mean?
[01:05:22.560 --> 01:05:24.440]   Okay, so let's just,
[01:05:24.440 --> 01:05:27.880]   I think the easiest way to understand this
[01:05:28.600 --> 01:05:32.620]   is not calculate the mean, right?
[01:05:32.620 --> 01:05:38.600]   And let me just calculate the MNIST distance.
[01:05:38.600 --> 01:05:41.840]   So I'm just going to say distance equals this.
[01:05:41.840 --> 01:05:46.840]   So now my distance is remember a 28 by 28 array
[01:05:46.840 --> 01:05:49.440]   'cause it's going to calculate the pixel difference
[01:05:49.440 --> 01:05:51.640]   for each of the pixels.
[01:05:51.640 --> 01:05:53.280]   So that's what distance is.
[01:05:54.000 --> 01:05:57.500]   (computer mouse clicking)
[01:05:57.500 --> 01:06:03.680]   Now this distance is of shape 28 by 28.
[01:06:03.680 --> 01:06:09.520]   When I take dot mean and I say minus one, minus two,
[01:06:09.520 --> 01:06:11.920]   it will give me an error
[01:06:11.920 --> 01:06:14.880]   because the number of dimensions of this is higher.
[01:06:14.880 --> 01:06:18.840]   So what minus one basically means is
[01:06:20.520 --> 01:06:23.320]   you're just taking the distance of the last axis.
[01:06:23.320 --> 01:06:24.620]   So when you're taking the,
[01:06:24.620 --> 01:06:29.860]   let me explain this better over here.
[01:06:29.860 --> 01:06:33.840]   When you have three axis,
[01:06:33.840 --> 01:06:36.200]   so remember how we had three axis.
[01:06:36.200 --> 01:06:40.120]   Also I've made a mistake.
[01:06:40.120 --> 01:06:43.960]   Let me go and do it this way.
[01:06:43.960 --> 01:06:45.560]   Let's call this distance,
[01:06:45.560 --> 01:06:49.960]   in which case the distance has a shape of this
[01:06:49.960 --> 01:06:51.160]   and then this will work.
[01:06:51.160 --> 01:07:08.940]   And then this should work too.
[01:07:08.940 --> 01:07:14.680]   Yep, cool.
[01:07:14.680 --> 01:07:18.040]   Okay.
[01:07:18.040 --> 01:07:20.640]   So then what minus one and minus two does is
[01:07:20.640 --> 01:07:21.840]   when you have three axis,
[01:07:21.840 --> 01:07:25.480]   so you have something like 110 by 28 by 28.
[01:07:25.480 --> 01:07:27.320]   So this looks like this, right?
[01:07:27.320 --> 01:07:30.280]   If you're trying to represent it
[01:07:30.280 --> 01:07:31.980]   or if you're trying to think of it visually,
[01:07:31.980 --> 01:07:36.160]   you have 1010 of these images with 28, high 28.
[01:07:36.160 --> 01:07:39.400]   Then what you wanna do is you wanna get to a point where
[01:07:39.400 --> 01:07:42.240]   you take the mean across the height.
[01:07:42.240 --> 01:07:45.400]   So all these numbers get averaged across the height
[01:07:45.400 --> 01:07:47.480]   and you take the mean across the width.
[01:07:47.480 --> 01:07:48.400]   So what you're left with,
[01:07:48.400 --> 01:07:49.960]   you're just left with a single number.
[01:07:49.960 --> 01:07:53.440]   If you take the mean of this whole array,
[01:07:53.440 --> 01:07:55.280]   it will give you one number, right?
[01:07:55.280 --> 01:07:57.120]   But then there's so many of these arrays,
[01:07:57.120 --> 01:07:59.800]   there's like 1010 of these.
[01:07:59.800 --> 01:08:01.780]   So each, every time you take a mean,
[01:08:01.780 --> 01:08:03.420]   it will give you a single number.
[01:08:03.420 --> 01:08:05.960]   So you're left with 110 numbers,
[01:08:05.960 --> 01:08:10.040]   but what this minus one, minus one and minus two means,
[01:08:10.040 --> 01:08:12.080]   minus one means the last axis.
[01:08:12.080 --> 01:08:13.800]   So that just means the width.
[01:08:13.800 --> 01:08:15.920]   Minus two means the second last axis.
[01:08:15.920 --> 01:08:17.180]   That just means the height.
[01:08:17.180 --> 01:08:18.820]   So it's just telling PyTorch in a way
[01:08:18.820 --> 01:08:21.620]   that you're taking the mean across the height and width.
[01:08:21.620 --> 01:08:29.720]   All right, that's it then for today.
[01:08:29.720 --> 01:08:32.800]   We're gonna continue with stochastic gradient descent,
[01:08:32.800 --> 01:08:36.440]   but for now I will hand it over to Parul.
[01:08:36.440 --> 01:08:39.560]   Parul is gonna be sharing how to write publicly
[01:08:39.560 --> 01:08:42.320]   and she's gonna be sharing some expert advice
[01:08:42.320 --> 01:08:44.800]   and how to have a compelling data science career
[01:08:44.800 --> 01:08:46.840]   by sharing publicly.
[01:08:47.580 --> 01:08:48.700]   So over to you, Parul.
[01:08:48.700 --> 01:08:55.140]   - Hi Aman, can you hear?
[01:08:55.140 --> 01:08:59.700]   - Yes, I can hear you.
[01:08:59.700 --> 01:09:00.540]   - All right.
