
[00:00:00.000 --> 00:00:20.400]   really excited to be moderating this panel between two of my favorite people working in ai
[00:28:06.560 --> 00:28:11.520]   measuring that improvement uh as you continue to hopefully you know collect data and refine your
[00:28:11.520 --> 00:28:17.200]   understanding of the end user totally there was a paper that came out in like june-ish or something
[00:28:17.200 --> 00:28:22.960]   that was like kind of splashy it was from the it was from uh matai from spark and it was like oh like
[00:28:22.960 --> 00:28:28.160]   the models are degrading over time even when they say they're not and like what i thought was interesting
[00:28:28.160 --> 00:28:34.160]   was for like the people that are doing this stuff in prod we already knew that like my evals failed the
[00:28:34.160 --> 00:28:38.320]   first day they switched to the new endpoint i didn't even switch the endpoint over and suddenly
[00:28:38.320 --> 00:28:44.080]   my evals were failing so i think there is a certain amount of like when you're building these stuff
[00:28:44.080 --> 00:28:48.880]   these things in a production environment you're keeping a very close eye on the performance over
[00:28:48.880 --> 00:28:54.480]   time and you're building evals in this very robust way and i've said evals enough time for this conversation
[00:28:54.480 --> 00:29:01.120]   already but i think the thing that i keep coming back to is what do you care about in terms of your
[00:29:01.120 --> 00:29:09.120]   performance boil your cases down to traditional methods of evaluation we don't need latent distance
[00:29:09.120 --> 00:29:15.040]   distributions and kl divergence between those distributions we don't need that turns out like
[00:29:15.040 --> 00:29:21.440]   blue scores of similarity aren't very good for lmm outputs this has been known for three four years now
[00:29:21.440 --> 00:29:29.440]   so take your task understand what it means in a very clear you know human way boil it down to binary
[00:29:29.440 --> 00:29:36.000]   yes or no's and run your evals and to the people that say like my task is too complicated i can't tell if
[00:29:36.000 --> 00:29:42.240]   it's right or wrong i have to use something more latent i would challenge you to try harder um the
[00:29:42.240 --> 00:29:48.000]   tasks that i'm evaluating are quite nuanced and quite complicated and it hasn't always been easy for me to
[00:29:48.000 --> 00:29:54.000]   come up with binary evaluations but you keep hunting and you eventually find things you talked about
[00:29:54.000 --> 00:29:58.800]   type checking and you talk about like type handshakes and that's something that like a lot of people in ml
[00:29:58.800 --> 00:30:04.960]   have been preaching the gospel of composability for five years now you know these are not new ideas
[00:30:04.960 --> 00:30:10.720]   they're just maybe new to some of the people that are thinking about evals today yeah well so moral of
[00:30:10.720 --> 00:30:16.240]   the story is try harder essentially that's what i would take away from that uh chris did you have
[00:30:16.240 --> 00:30:21.200]   anything to add there i think the only thing i'd add is i don't i don't have much take on actually how
[00:30:21.200 --> 00:30:26.080]   someone should do it or what they could consider but i think you know you just described a highly
[00:30:26.080 --> 00:30:32.080]   non-deterministic very dynamic experimentation workflow and like those are the sorts of things that just like
[00:30:32.960 --> 00:30:40.640]   our core product is meant for and so um like experimenting with those like just knowing the
[00:30:40.640 --> 00:30:44.800]   structure of them is maybe the best way to say it is what fascinates me more than the actual like
[00:30:44.800 --> 00:30:50.160]   details of what metrics you might be using yeah well you know i think the other reason i was really
[00:30:50.160 --> 00:30:54.720]   excited to do this panel is because we have kind of maybe two sides of the same coin as it relates to
[00:30:54.720 --> 00:30:59.920]   being an ai engineer here right one person coming from more of a traditional ml background one person come
[00:30:59.920 --> 00:31:04.080]   from more of a traditional engineering background and both of you building these ai based products
[00:31:04.080 --> 00:31:10.720]   so i wanted to give you a second if you have any last questions to ask of each other yeah um so you
[00:31:10.720 --> 00:31:15.120]   work on this like data workflow space and like i've thought a lot about composability and like data
[00:31:15.120 --> 00:31:21.520]   workflows and i've long been a fan of sort of like workflow centric ml and so what i what i'd love to
[00:31:21.520 --> 00:31:27.680]   hear is sort of like when you think about building these agent pipelines which are starting to get more
[00:31:27.680 --> 00:31:36.080]   into the like dags and the sort of like structured chains of response and uh request what is the
[00:31:36.080 --> 00:31:42.720]   like one thing that like every ai engineer building agents should know from your sphere that that'll make
[00:31:42.720 --> 00:31:51.680]   it easier for them to build agents so oh that's a really good question i don't i think the main thing is
[00:31:51.680 --> 00:31:55.840]   something that i kind of alluded to earlier which is think about failure modes i think that is the biggest
[00:31:55.840 --> 00:32:03.920]   thing so like runaway processes um capturing potential oddities in outputs or inputs as early as possible
[00:32:03.920 --> 00:32:13.840]   with some observability layer um and so the earlier you can get that wiring in i think the better um and
[00:32:13.840 --> 00:32:19.200]   then caching is like this is the only time i will ever say this is definitely your friend in some of these
[00:32:19.200 --> 00:32:25.760]   situations um but there's also the root of all evils so you got to kind of you know balance that um but
[00:32:25.760 --> 00:32:30.480]   yeah i think just thinking about the observability and debuggability layer especially with some of the
[00:32:30.480 --> 00:32:36.000]   kind of black boxy and like people who are pushing it and actually having like immediate eval of the
[00:32:36.000 --> 00:32:42.160]   returned code or something like um having that monitoring layer i think is just key yeah chris i know you've
[00:32:42.160 --> 00:32:46.160]   asked brian a bunch during this panel but anything else you want to yeah i mean i'm just really curious you
[00:32:46.160 --> 00:32:51.520]   know i'm sure everybody asks you this but the hallucination problem like how you know obviously
[00:32:51.520 --> 00:32:56.320]   you your users can just confront it directly if it looks weird they can see that it looks weird or it
[00:32:56.320 --> 00:33:00.720]   errors out but just how do you think about it as the person building that interface for your users
[00:33:00.720 --> 00:33:05.760]   yeah um someone recently asked me for like references on hallucination and i was like what are some good
[00:33:05.760 --> 00:33:10.240]   references on hallucination and i googled around and i found that generally the advice that people are giving
[00:33:10.240 --> 00:33:17.360]   giving is to is to fix hallucination basically rag harder just like make a better retrieval augmented
[00:33:17.360 --> 00:33:21.680]   pipeline and when i said that and i looked at myself i was like honestly that's like kind of how we solved
[00:33:21.680 --> 00:33:29.360]   it like our reduction in hallucination for magic which is not an easy problem was that we had to think a
[00:33:29.360 --> 00:33:35.680]   little bit more carefully about retrieval augmented generation and in particular the retrieval is not
[00:33:35.680 --> 00:33:41.440]   something that you'll find in any book um even the book that i just published like even in there i
[00:33:41.440 --> 00:33:46.560]   don't talk about this particular retrieval mechanism but it's it took us some additional thinking but we got
[00:33:46.560 --> 00:33:52.720]   there yeah so again moral of the story try harder yeah just think and just think carefully yeah all right
[00:33:52.720 --> 00:33:58.720]   last thing just to wrap up what is your hot take of the day for the closing out the ai engineer summit
[00:33:58.720 --> 00:34:07.200]   today i definitely stopped building chat interfaces um i think chat is a product ai is a tool and so
[00:34:07.200 --> 00:34:12.560]   finding ways to once again i know i've said this before but like improve on the machine the machine
[00:34:12.560 --> 00:34:17.920]   interfaces so that developers can actually benefit and use ai more directly as opposed to building chat
[00:34:17.920 --> 00:34:25.280]   everywhere love that um mine is a little bit mean-spirited so i apologize in advance um i think
[00:34:25.280 --> 00:34:32.720]   a lot of the work that's in front of you as you're building out ai capabilities is going to be
[00:34:32.720 --> 00:34:38.160]   incredibly boring and i think you should be prepared for that the capability is really exciting the
[00:34:38.160 --> 00:34:45.200]   possibilities are amazing and it's always been like this in ml the journey feels very tedious it's worth
[00:34:45.200 --> 00:34:50.800]   it in the end it's so fun but there's a lot of data engineering work in front of you and i think
[00:34:50.800 --> 00:34:57.680]   people haven't yet appreciated how important that is yeah no i think it's it's very real and very fair
[00:34:57.680 --> 00:35:02.000]   take as all of us try to start hopefully moving into production with a bunch of this stuff that's where
[00:35:02.000 --> 00:35:06.800]   the rubber meets the road right well that's all for us i think thank you so much uh the two of you
[00:35:06.800 --> 00:35:15.520]   you for coming up here with me

