
[00:00:00.000 --> 00:00:25.680]   building agents with Amazon Nova Act and MCP I'm excited today because we're going to build
[00:33:13.100 --> 00:33:19.100]   power of mcp that i just describe a task and then i can encode the actual browse action things it needs
[00:33:19.100 --> 00:33:28.140]   to so and then i also made an mcp client that can actually interpret that so oops it connects to the
[00:33:28.140 --> 00:33:35.660]   mcp server it runs the code and is able to use query bedrock uh i am using a model so i'm using claude 3.5
[00:33:35.660 --> 00:33:40.860]   sonnet here because it's an mcp client and needs to have an lm behind that and then it's able to
[00:33:40.860 --> 00:33:47.100]   you know understand which tools to use uh run the code and open up the browser and whatnot so let me
[00:33:47.100 --> 00:33:51.020]   just run the example here so module two
[00:33:55.100 --> 00:34:04.540]   so er open the file just did that we asked amazon q to explain the file to us and now we're actually
[00:34:04.540 --> 00:34:09.740]   going to run it so python 3 and then i can open this up
[00:34:23.820 --> 00:34:30.940]   okay so let's be adventurous if somebody give me a query to try since anyone has an idea i'm going
[00:34:30.940 --> 00:34:37.340]   to just ask it and do something so someone give me an idea of what to run another act fix wi-fi
[00:34:37.340 --> 00:34:45.900]   how would you fix the can you find a website to fix website can
[00:34:46.780 --> 00:34:54.460]   fine fine let's see website to fix wi-fi use headless mode
[00:34:54.460 --> 00:34:59.900]   i spelled it wrong but let's see
[00:34:59.900 --> 00:35:11.980]   all right it goes to google.com how to fix wi-fi problems troubleshooting guy in the box and press enter
[00:35:12.540 --> 00:35:19.100]   return a list of the website title descriptions all right it's going through that so it open
[00:35:19.100 --> 00:35:25.420]   google.com how to fix wi-fi problems i see an empty search bar where i can type queries for search
[00:35:25.420 --> 00:35:29.740]   information i should type how to fix wi-fi problems so you can see it's understanding what to do
[00:35:29.740 --> 00:35:35.740]   you know oh it hit a recapture page so okay the search results are not available blah blah so
[00:35:38.140 --> 00:35:42.220]   so see it looks like it got stuck in a recapture page so this is like a headless agent so someone
[00:35:42.220 --> 00:35:46.220]   asked a question about going to pass capture and whatnot you see that it's it got stuck doing that
[00:35:46.220 --> 00:35:53.740]   it looks like it's stuck in a loop now so it sees the capture again so i should skip the clip button to
[00:35:53.740 --> 00:35:58.620]   skip the capture window the capture is still open so it's probably going to be stuck here unless i close
[00:35:58.620 --> 00:36:03.580]   it so you can see there are limitations it's not going to pass captures and whatnot but that's that was a good
[00:36:03.580 --> 00:36:08.300]   query to show that it oh did it fill it it's still open so it's going to be stuck here so i'm just going
[00:36:08.300 --> 00:36:13.260]   to close it out but you can see you know it can't pass everything it can't navigate through websites so
[00:36:13.260 --> 00:36:17.820]   something like that will wasn't it will not work so that was a great test example to show
[00:36:17.820 --> 00:36:24.860]   if i use the the baked in one you know find that copy made under 50 dollars it'll be able to go through
[00:36:24.860 --> 00:36:30.380]   that and use headless mode but any questions on that seeing how the mcp server is working i didn't have to
[00:36:30.380 --> 00:36:34.220]   write code i just said do something it actually wrote the code to do it for me
[00:36:34.220 --> 00:36:37.500]   question over here
[00:36:37.500 --> 00:36:46.060]   yeah yeah so a question about if i can actually go into the browser and do it myself yeah if i ran this
[00:36:46.060 --> 00:36:50.540]   locally on my machine it will actually be able to you know open up the browser and i can have to click
[00:36:50.540 --> 00:36:56.220]   the button and it'll continue doing that right now i'm running it within the browser so i'm everything
[00:36:56.220 --> 00:36:58.540]   everything in headless mode so we can't interact with that
[00:36:58.540 --> 00:37:06.940]   so you can see it's able to find search under 50 dollars it can actually look at the website
[00:37:06.940 --> 00:37:12.860]   it's found search results on amazon.com so yeah so that for that use case where we're not passing
[00:37:12.860 --> 00:37:15.900]   captures is able to continue and find the information there
[00:37:20.300 --> 00:37:25.100]   so a question about can i actually order something if i use my own browser session and like logged in
[00:37:25.100 --> 00:37:30.140]   at my amazon.com account and said yes order this for me you know click through it will be able to
[00:37:30.140 --> 00:37:35.020]   understand that thing but i would have to put it in i would have to use my own browser session so i
[00:37:35.020 --> 00:37:39.820]   i wouldn't want to log in by myself so yeah
[00:37:39.820 --> 00:37:44.460]   another question
[00:37:44.460 --> 00:37:53.100]   if you give novak the authentication for amazon for example like you give it your login details
[00:37:53.100 --> 00:37:58.860]   then can it log in and complete that action for you yeah but if i say this is my username this is my
[00:37:58.860 --> 00:38:03.820]   password enter that into that field and you'll be able to understand you know this is a sign-in button and i
[00:38:03.820 --> 00:38:08.380]   have this information but again this is all python code so yeah you can encode it you can make it an
[00:38:08.380 --> 00:38:12.540]   environment variable so it won't read it directly so a lot of ways to do that does it also like
[00:38:12.540 --> 00:38:19.180]   understand 2fa let's say it asks you to go to your gmail and you will then open the gmail website check
[00:38:19.180 --> 00:38:24.380]   the email if you're logged in again on your session and then input it or is it okay well if there's no
[00:38:24.380 --> 00:38:29.820]   capture like we just thought of the capture yeah so there's no nothing blocking so but yeah again nova act
[00:38:29.820 --> 00:38:33.500]   is free to use so there's a lot of creativity in this room so i think we should have like a
[00:38:33.500 --> 00:38:37.260]   nova act hackathon i think that'll be you know do something crazy with nova act
[00:38:37.260 --> 00:38:48.620]   all right so one more question yep one more can i book a flight when my price alert is less than
[00:38:48.620 --> 00:38:54.060]   hundred dollars it's like a continuously check you probably use something else for that but yeah i mean
[00:38:54.060 --> 00:38:58.940]   no back and open up that website it can just have a query every day you know open google flights and look
[00:38:58.940 --> 00:39:03.580]   look at the quickest thing and if something is below this dead hold you know send me an email so again
[00:39:03.580 --> 00:39:08.300]   this is all a python script so you can set up something that triggers like once a day like in a
[00:39:08.300 --> 00:39:14.380]   lambda function and so yes totally possible so nova act is very flexible and because it can run in headless
[00:39:14.380 --> 00:39:19.020]   mode you don't need to have that ui so that's really what makes it helpful for interacting with websites
[00:39:19.020 --> 00:39:27.740]   that don't have a native api
[00:39:27.740 --> 00:39:37.500]   thanks yeah this is pretty cool i'm a little bit confused like we have the nova sdk sdk api key and
[00:39:37.500 --> 00:39:45.020]   we're also doing some stuff in bedrock ah yeah so how does this actually work yeah so in that the nova
[00:39:45.020 --> 00:39:51.580]   api key separate but for this mcp client i did it actually needs a large thing with models to understand
[00:39:51.580 --> 00:39:59.820]   what's still happening so if i go to claude oops i actually said i'm actually using a claude sonnet
[00:39:59.820 --> 00:40:05.820]   3.5 for my mcp server so that's how because i just asked it you know find that website for me
[00:40:05.820 --> 00:40:10.780]   how does it know that about any of the code doing that so it's using a large language model underneath
[00:40:10.780 --> 00:40:17.020]   the hood to actually find that information so that's where we use bedrock for trying to find it in the
[00:40:17.020 --> 00:40:24.860]   code but it's on it yeah i set the model id so your assistant you're an ai system helping you have tools
[00:40:24.860 --> 00:40:30.380]   you're using cloud 3.5 sonnet you're making an api called a bedrock whenever something happens so
[00:40:30.380 --> 00:40:35.820]   that's where the the llm we're using but nova act is separate from that so this m select of using you
[00:40:35.820 --> 00:40:41.500]   know claude desktop it's running an llm in inside of that they would understand that for the mcp server
[00:40:41.500 --> 00:40:47.340]   a question here a question
[00:40:47.340 --> 00:41:00.380]   uh the question is uh does it integrate with browser plugins as well like could it integrate
[00:41:00.380 --> 00:41:05.020]   with last pass if you have the last class plugin fill in the credentials through last pass and then
[00:41:05.020 --> 00:41:10.220]   continue i haven't tried that but again it does you can set up to use your own browser so if you do that
[00:41:10.220 --> 00:41:15.020]   and if that's integrated it might be able to do that and click through that but i have not tested that but
[00:41:15.020 --> 00:41:22.380]   something to try out thank you the biggest problem you will face is two factor like even if you gave
[00:41:22.380 --> 00:41:27.180]   it a password like if you're using something like google authenticator or something that would be like
[00:41:27.180 --> 00:41:32.380]   the biggest problem to capture but other than that if you provide it an environmental variable or if you
[00:41:32.380 --> 00:41:38.860]   give it instructions on how to access last pass in the browser you should be able to do it all right and
[00:41:38.860 --> 00:41:46.220]   uh oh one more question then we'll go on to the last module
[00:41:46.220 --> 00:41:58.300]   so clearly there are a lot of different uh agent architectures you could use um and what i can
[00:41:58.300 --> 00:42:04.860]   imagine using this is uh like you have a coordinator agent set up somewhere that's running in the overall
[00:42:04.860 --> 00:42:10.220]   app and then when something pops up and says hey you need to go and look this up online go and check it
[00:42:10.220 --> 00:42:14.220]   uh it should mod so my question is how modular
[00:42:14.220 --> 00:42:19.740]   i mean it's just python so it should be pretty modular right is that the way in which you're
[00:42:19.740 --> 00:42:26.300]   imagining the architecture to be is just if i was coding a coordinator agent in lang chain or lang graph
[00:42:26.300 --> 00:42:33.100]   for example it would then call your sub-agent and get and and run it stuff and then get and then get
[00:42:33.100 --> 00:42:40.220]   a text-based output that i throw into my message queue that's how it all integrates together is that right
[00:42:40.220 --> 00:42:44.620]   yeah that's one way you can do it so nova act again right it's a python so it could be a tool it could be
[00:42:44.620 --> 00:42:49.260]   an api call and the next module we're actually going to show you how to actually make an agent from that so
[00:42:49.260 --> 00:42:57.100]   good good t up right here uh so um juan talked about the strands uh at the beginning so strands is a new
[00:42:57.100 --> 00:43:04.540]   agentic framework launched by uh aws so let me open up the link uh it's easy as a pip install strands
[00:43:04.540 --> 00:43:11.500]   and the first agent is like agent equals that so it's very it's a model first uh way of interacting with
[00:43:11.500 --> 00:43:16.460]   agents if you use a lot of agent frameworks in the past there's a lot of bootstrapping and making sure
[00:43:16.460 --> 00:43:20.380]   everything is correct and like but that was necessary for kind of the older models like
[00:43:20.380 --> 00:43:25.740]   if you think back to like like llama 2 for example like how how far our models have evolved since then
[00:43:25.740 --> 00:43:31.900]   so but now we we can pass a lot of the you know bootstrapping we did previously the agent can figure
[00:43:31.900 --> 00:43:36.940]   that out so we don't need all these very uh heavy ways and like you know make sure everything's typed
[00:43:36.940 --> 00:43:44.060]   and every so whatnot so here's a very simple example of how i actually spun up uh and also it has mcp
[00:43:44.060 --> 00:43:51.500]   native support so in this example i actually have two mcp servers uh i have the aws documentation and
[00:43:51.500 --> 00:43:59.980]   aws diagrams mcp server so if you go to this like aws labs mcp these are the official um aws mcp servers
[00:43:59.980 --> 00:44:05.580]   and there's a bunch of different ones from like a cost analysis nova canvas diagramming cloud formation
[00:44:06.460 --> 00:44:13.900]   lots of different ones here uh so again it's all on github aws labs mcp but the example i do here is
[00:44:13.900 --> 00:44:18.780]   i'm actually i made like a solutions architect agent your role is to help customers understand
[00:44:18.780 --> 00:44:27.020]   this building on aws and i define these two mcp servers here i give it a prompt and i say this agent
[00:44:27.020 --> 00:44:33.740]   has all the tools in the mcp server it has a bedrock model i'm using cloud haiku here and what's cool
[00:44:33.740 --> 00:44:39.340]   about strands it can also use like light llm and olama so it has access to lots of different things or
[00:44:39.340 --> 00:44:43.500]   you can run it locally and of course it has access to amazon bedrock so that's what we're using here
[00:44:43.500 --> 00:44:49.660]   so all those three things makes the agent the tools the model and the system prompt and then i can say
[00:44:50.540 --> 00:45:00.220]   get the documentation for aws lambda and create a diagram of a website that uses lambda so let me run this code
[00:45:18.220 --> 00:45:25.100]   okay so it uses uv to install the mcp server locally a lot of people i don't know where does mcp run this
[00:45:25.100 --> 00:45:29.660]   is running locally but there are other ways to run it like in a lambda function and whatnot but for just
[00:45:29.660 --> 00:45:35.260]   testing it out it pulls down the the mcp server locally and runs it you can see it's already executing
[00:45:35.260 --> 00:45:45.020]   so let's make this a bit bigger uh so it says okay i'm going to help you with that first i'm going to search
[00:45:45.020 --> 00:45:49.260]   the aws lambda documentation i'll read the documentation then i'll create a diagram
[00:45:49.260 --> 00:45:54.460]   illustrating a static site so you can see it does a post request to do the search so the mcp server
[00:45:54.460 --> 00:45:59.900]   defines where everything is i don't have to like feed it in the well-architected framework the aws
[00:45:59.900 --> 00:46:05.180]   documentation is always updated so it just knows call the search function it got the lambda welcome file
[00:46:05.180 --> 00:46:12.540]   it put that in it's able to generate the diagram it generates the diagram it tells us what is going on how
[00:46:12.540 --> 00:46:18.220]   the workflow looks like it tells me it saved the diagram to this location i can open it up generated
[00:46:18.220 --> 00:46:26.060]   diagrams oops and now it's very small let me see if i can make this bigger
[00:46:26.060 --> 00:46:35.820]   there we go so i was able to generate the diagram for me so all through that about uh you know 40 lines of
[00:46:35.820 --> 00:46:41.340]   code i have two mcp servers i have my prompt and is able to understand that get that and just generate
[00:46:41.340 --> 00:46:46.700]   something for me with that uh so that's very easy to get started with strands of building agentic
[00:46:46.700 --> 00:46:51.580]   workflows i know agent means a lot of different things to different people but you know if you have
[00:46:51.580 --> 00:46:57.820]   tools the model the system prompt do some type of action and strands makes it extremely easy to do that
[00:46:57.820 --> 00:47:02.940]   if i use other frameworks it could be a lot more code to do something like that especially integrating mcp
[00:47:02.940 --> 00:47:08.300]   natively like that i'm going to pause here for any strands questions
[00:47:08.300 --> 00:47:15.020]   there's coming
[00:47:15.020 --> 00:47:25.580]   um i know bedrock already had its kind of agents sdk so is strands replacing that or is this now the pro is
[00:47:25.580 --> 00:47:30.620]   this replacing that or is supposed to complement that like is this the preferred way of creating agents with
[00:47:30.620 --> 00:47:34.860]   models in bedrock yeah well when it comes to preferred way it always comes down to your use
[00:47:34.860 --> 00:47:40.220]   case so the bedrock agent has a lot more i guess opinionated ways to do things as you can do through
[00:47:40.220 --> 00:47:45.900]   the console it has a built-in support uh right there in aws well strand is more it's an open source
[00:47:45.900 --> 00:47:51.100]   framework so you can download the code you can use other models through that like light llm or llama
[00:47:51.100 --> 00:47:56.220]   if you use bedrock agent you can't run that offline so there's different use cases different developer
[00:47:56.220 --> 00:48:00.540]   tooling i mean me the software engineer i like you know code first doing things so it does
[00:48:00.540 --> 00:48:04.700]   depend on your use case what you're trying to do in your experience okay can you show the code real
[00:48:04.700 --> 00:48:12.940]   quick yeah yeah this is the code yeah just show the agent so this is an open source framework if you go
[00:48:12.940 --> 00:48:18.140]   where it says agent you and it says model right now we're using a bedrock model but you can use another
[00:48:18.140 --> 00:48:23.420]   model with light llm yeah so you don't need aws at all in that instance
[00:48:23.420 --> 00:48:26.940]   you can use all llama you can use open ai you can use right
[00:48:26.940 --> 00:48:37.660]   yeah so there's documentation and topic light llm a lot of different model providers
[00:48:37.660 --> 00:48:43.100]   olama open ai so it's an open source framework so you can use it whatever you want so but yeah that's the
[00:48:43.100 --> 00:48:50.860]   idea of a strand open source model agent development kit one question suppose i want to build a text to
[00:48:50.860 --> 00:49:00.060]   sql agent and i have say 15 tools already built in that i want this agent to be able to use if i use this
[00:49:00.060 --> 00:49:10.060]   framework how can i make sure that the agent know when to use the right tool and the sequence yeah great
[00:49:10.060 --> 00:49:17.580]   question uh so i didn't this example i have a weather agent so one thing you said you already have tools
[00:49:17.580 --> 00:49:23.100]   what i like about strands a lot is i can write a python function i already have and let's put this tool
[00:49:23.100 --> 00:49:27.900]   decorator and that's it you know you don't have to put anything else it understands this is the uh what you
[00:49:27.900 --> 00:49:33.900]   need to do and then when i'm going to that agent i have this tools and it has put in the the native tools
[00:49:33.900 --> 00:49:40.220]   we're going to be using http request is a standard tool in the strands framework so in this example i'm
[00:49:40.220 --> 00:49:44.780]   like asking what is the weather in seattle and then also how many words are in this response
[00:49:44.780 --> 00:49:51.340]   this is open api api weather.gov where you don't need an api key and it can find the information for
[00:49:51.340 --> 00:50:01.100]   you so i'm going to update this san francisco and this started wrong but it's to figure it out a
[00:50:01.100 --> 00:50:06.300]   weather example where the word count and i was very specific you know find the weather first and then
[00:50:06.300 --> 00:50:11.340]   how many words are in the response so it's able to use that tool it gets the forecast and then it knows
[00:50:11.340 --> 00:50:16.940]   to use that word count tool next so we're passing a lot of the information to the model the models are very
[00:50:16.940 --> 00:50:21.500]   smart now we don't have to say do this do this do this the let the agent figure it out that's kind
[00:50:21.500 --> 00:50:26.300]   of the role of the agent you give it the context and tools necessary it figures out the best way to
[00:50:26.300 --> 00:50:32.300]   solve the problem but then wouldn't it be prone to hallucination when you give it 20 tools and then
[00:50:32.300 --> 00:50:41.020]   because we've tried that with aws no the similar things when you bind more i think more than 10 tools
[00:50:41.020 --> 00:50:47.180]   it's going to sure it is always you know a balance but i'm again the models are much better like try
[00:50:47.180 --> 00:50:51.580]   using cloud force on it is it hallucinating as much like these newer models are much better for
[00:50:51.580 --> 00:50:56.620]   understanding the concept and understanding what tools when the older models sure they get confused
[00:50:56.620 --> 00:51:00.860]   there's so many things but i'm very confident on these newer models they can understand your use
[00:51:00.860 --> 00:51:05.340]   case and what tools available and figure out the best way to solve the problem so then with this framework
[00:51:05.340 --> 00:51:12.620]   there wouldn't be a way for you to orchestrate a customized flow but more like you give the
[00:51:12.620 --> 00:51:19.020]   control to the agent you could if you want to have like specific like do this specific way uh there are
[00:51:19.020 --> 00:51:26.060]   different ways in strands uh with something called workflow mode where you actually say uh you know this
[00:51:26.060 --> 00:51:31.260]   is the workflow i want to do research results analyze things write the final report if you have to do
[00:51:31.260 --> 00:51:36.540]   something very sequential a strands has that i won't have time to go through all the different you know
[00:51:36.540 --> 00:51:41.900]   ways to do multi-agent collaboration and whatnot but this for that specifically like i wanted to do x y
[00:51:41.900 --> 00:51:50.620]   z first the workflow away can do that so yes then is it possible say um i i don't have a predefined
[00:51:50.620 --> 00:51:56.140]   workflow but i know it needs to figure out the right workflow then then that's what i just did there
[00:51:56.140 --> 00:51:59.580]   you know i just gave it a sentence and figured it out i see yes okay perfect thank you
[00:51:59.580 --> 00:52:08.140]   so cloud four has something called interleave thinking i believe that's what it's called where
[00:52:08.140 --> 00:52:14.860]   it can handle multiple tools processing much better than most models today so if you're passing in 20
[00:52:14.860 --> 00:52:21.340]   tools it's able to work through the agentic loop to really figure out which tool to run and it's also
[00:52:21.340 --> 00:52:28.860]   able to run parallel tool calls so rather than just say okay here's the objective let me run this tool it
[00:52:28.860 --> 00:52:33.340]   can say here's the objective let me run this tool this tool this tool this tool and this tool and then
[00:52:33.340 --> 00:52:39.660]   process the results and determine when needs to happen next so i would try a cloud for which he like
[00:52:39.660 --> 00:52:48.220]   banjo mentioned then last example really quick uh again you know strands i made my nova act mcp server
[00:52:48.220 --> 00:52:53.900]   and it can actually run that you know i had to find this is the mcp server use the nova act mcp you know
[00:52:53.900 --> 00:52:59.500]   use the cloud so same type of thing i could have another agent you know use uh nova act as well
[00:52:59.500 --> 00:53:06.220]   so strands make it very easy to build these agentic workflows uh so i really enjoyed the developer
[00:53:06.220 --> 00:53:11.500]   experience of using strands and you know i already have the mcp server we see the same exact example
[00:53:11.500 --> 00:53:16.860]   before so once you have the mcp server it's very easy to plug in into different uh architectures and
[00:53:16.860 --> 00:53:25.980]   strands makes it very easy to accept that but yeah those were the three modules really about how to use
[00:53:25.980 --> 00:53:34.140]   strands uh mcp then amazon nova act again strands is open source you can download it pip install strands
[00:53:35.260 --> 00:53:41.340]   if you just type strandagents.com it'll take you to the documentation uh again also nova act
[00:53:41.340 --> 00:53:50.300]   nova amazon.com it's free to log in and then i think that's all the time we have but we do have a
[00:53:50.300 --> 00:53:57.100]   survey uh and you can get aws credit code by filling out this survey so banjo i have a question about that
[00:53:57.100 --> 00:54:03.660]   workflow thing in strands when you create these individual agents can you define which tools are
[00:54:03.660 --> 00:54:08.220]   passed on to each agents yeah yeah it's a great question dark about different agents uh running out
[00:54:08.220 --> 00:54:13.340]   of time but i'll quickly show uh i have a multi-agent example i believe
[00:54:13.340 --> 00:54:21.980]   oh i think you had it in the docs yeah yeah it's in the docs yeah yeah yeah each of these is a different
[00:54:21.980 --> 00:54:26.700]   agent so you know this is an agent you can have a different system prompt you have different tools so
[00:54:26.700 --> 00:54:30.540]   you're just defining the agent and then yeah you can have different tools different whatever there
[00:54:30.540 --> 00:54:35.420]   different models and then the workflow would just call that so yes completely customizable so that's
[00:54:35.420 --> 00:54:39.580]   the good thing about strand it's very easy to customize and build uh scalable solutions like that
[00:54:39.580 --> 00:54:45.820]   thank you and then again uh here's the survey you can get aws credits for filling out this thing
[00:54:45.820 --> 00:54:59.660]   tell us how we did what you liked what you want to learn more and now go build
[00:55:03.260 --> 00:55:12.860]   yeah any other questions i think we have a minute
[00:55:12.860 --> 00:55:21.900]   thanks for the presentation um so as these systems develop i think that it's reasonable to assume that
[00:55:21.900 --> 00:55:29.740]   they would emerge as an increasingly effective vehicle for committing fraud online at scale which would push
[00:55:29.740 --> 00:55:35.580]   businesses to implement more things like captcha which kind of decreases the surface area that
[00:55:35.580 --> 00:55:41.660]   tools like this would be applicable so what is the long-term strategy for that well you already saw we
[00:55:41.660 --> 00:55:45.820]   failed with captcha today like you know we're not trying to back capture we're not trying to break things
[00:55:45.820 --> 00:55:51.100]   you know a responsible ai is very important to amazon so no we're not trying to let this tool commit fraud
[00:55:51.100 --> 00:55:56.220]   you know you have to have an api key so it could be monitored so use cases like that will be shut down
[00:55:56.220 --> 00:56:00.540]   we're done
[00:56:00.540 --> 00:56:05.180]   i think we're done yeah so thank you all
[00:56:05.180 --> 00:56:09.260]   i think it's finished
[00:56:09.260 --> 00:56:19.980]   oh we can keep going we have more time oh the clock the clock ran out so i thought we were kicked out
[00:56:19.980 --> 00:56:26.940]   all right well more questions then i guess i thought yeah another question
[00:56:26.940 --> 00:56:42.540]   so regarding nova act let's say that i have a headless browser in the cloud is there a way to connect
[00:56:42.540 --> 00:56:48.140]   nova act to my custom browser instance in the cloud yeah yeah yeah you can there's a way to like put your own
[00:56:48.140 --> 00:57:00.700]   browser instance so yeah novak supports that so oh pretty possible yeah thanks
[00:57:00.700 --> 00:57:07.100]   all right let me go to novak github page
[00:57:07.100 --> 00:57:13.180]   and it's just some examples there
[00:57:17.180 --> 00:57:20.700]   i think right because it says start at one and then you have 120 minutes
[00:57:20.700 --> 00:57:23.340]   i know i just told him okay but i think what happened that time
[00:57:23.340 --> 00:57:30.060]   oh yeah no you guys can keep rocking it okay yeah
[00:57:30.060 --> 00:57:38.060]   so yeah there's a way to set up your own user agent for nova act so definitely possible
[00:57:44.220 --> 00:57:58.780]   there's a lot of time so i don't know if anyone actually got into the workshop so we can still
[00:57:58.780 --> 00:58:11.260]   build some stuff or i can try some other examples
[00:58:11.260 --> 00:58:16.300]   that's a lot of time so we can try to make a streamlit app with nova act so we can try that one
[00:58:16.300 --> 00:58:21.340]   so we can try to make a streamlit app so we can try to make a streamlit app with nova act so we can try if that works
[00:58:21.340 --> 00:58:29.420]   so we can try to make a streamlit app with nova act so we can try to make a streamlit app with nova act so we can try if that works
[00:58:29.420 --> 00:58:44.460]   oops oops
[00:58:44.460 --> 00:58:44.460]   oops
[00:58:44.460 --> 00:58:46.460]   oops
[00:58:46.460 --> 00:59:02.380]   oops
[00:59:02.380 --> 00:59:16.060]   so one example i tried i tried to make a streamlit app that uh look for like the top five uh playstation games on game faqs and then create an image like a nice graph for me
[00:59:16.460 --> 00:59:22.140]   but it can't fail so uh i think that's one of the issues there i think it failed at one of the steps
[00:59:22.140 --> 00:59:33.660]   there uh let's see oh that nova act got an error so it couldn't navigate gamefaqs.com so it does it does
[00:59:33.660 --> 00:59:39.020]   fail at some of the things so that's you know again research preview you have to be more specific on how it goes
[00:59:39.020 --> 00:59:45.500]   through things uh oh yeah let me show you where the code is just so you can have an example let me pull up
[00:59:45.500 --> 00:59:45.980]   the code
[00:59:45.980 --> 00:59:55.500]   yeah let me try let me set up my local machine so we can see how it works
[00:59:55.500 --> 01:00:12.700]   oh yeah go for it does nova act depend on like uh semantic html and like good web design to actually
[01:00:12.700 --> 01:00:17.900]   work i mean it understands the actual page so it can click through those things but if the if the page
[01:00:17.900 --> 01:00:21.900]   like doesn't have like a search box or button and not be able to navigate so as long as the page it can see
[01:00:21.900 --> 01:00:25.740]   the page it can see the page understand where to click and then click those correct buttons so
[01:00:25.740 --> 01:00:33.100]   i get maybe a follow-up is there any like efforts to do like experimental like engagement on the page
[01:00:33.100 --> 01:00:38.380]   so if it comes on a page that it's not familiar with maybe it would try and act like a human would
[01:00:38.380 --> 01:00:44.060]   to like click on things or try things out depending what you you put in that prompt because again you're
[01:00:44.060 --> 01:00:49.020]   creating that workflow what it should do so if you say you know explore this website and find thing
[01:00:49.020 --> 01:00:53.820]   they will try to click through that but again it's up to kind of what that initial prompt is that you
[01:00:53.820 --> 01:00:59.260]   have for it yeah when you're using over act you're kind of giving it step-by-step instructions when you're
[01:00:59.260 --> 01:01:06.540]   using the sdk so that way if you kind of know it's an obscure website you can give it those instructions
[01:01:06.540 --> 01:01:13.660]   that it needs to perform rather than the mcp server is using natural language to infer what needs to be
[01:01:13.660 --> 01:01:18.620]   done so there's not specific instructions coming from you unless you provide it
[01:01:27.100 --> 01:01:32.140]   yeah so i'm going to run it locally on my machine just to show an example let's see
[01:01:32.140 --> 01:01:43.820]   oh let me hide my key for a second because it's been recorded
[01:01:43.820 --> 01:01:50.220]   all right
[01:01:54.860 --> 01:01:59.900]   pipe on get coffee thank you for coming
[01:01:59.900 --> 01:02:07.740]   all right so i'm just running it locally on my machine so without headless mode so you can see
[01:02:07.740 --> 01:02:08.860]   it opens up the browser
[01:02:08.860 --> 01:02:17.180]   it's able to type copy maker
[01:02:17.180 --> 01:02:24.620]   so what we're looking at now is not in headless mode this is actually nova act actually
[01:02:24.620 --> 01:02:30.220]   performing the task in the browser so yeah a lot of questions about how does it work you know
[01:02:30.220 --> 01:02:34.700]   and we can try more complicated examples i just wanted to show it can work on your machine
[01:02:34.700 --> 01:02:43.420]   and you can see the log you know i'm just looking for and if i like change the page while just doing
[01:02:43.420 --> 01:02:47.580]   something it's going to like mess up so i'm going to click the page and see what it does like so someone
[01:02:47.580 --> 01:02:50.540]   asked about click things of that nature what's it going to do now
[01:02:54.380 --> 01:03:03.740]   so see it crashed now because i brought i changed the different page didn't know what to do so
[01:03:03.740 --> 01:03:08.540]   examples you can interact when it's when it's going through the motion as well and then
[01:03:09.580 --> 01:03:20.140]   i believe i have an uh consider the mcp server i set up a clod instance
[01:03:20.140 --> 01:03:24.940]   oops
[01:03:24.940 --> 01:03:32.060]   and then i have a my nova act mcp servers there so i'm able to actually you know i click this you can see
[01:03:32.060 --> 01:03:36.860]   all the tools it has available so i can ask it to like navigate a website so
[01:03:36.860 --> 01:03:45.260]   anyone having a complex example you can see the mcp server so i know some people have been asking some
[01:03:45.260 --> 01:03:53.820]   complex examples so go ahead and give me one yeah you got you got one one one one question i had is uh
[01:03:53.820 --> 01:04:01.820]   can nova support like drag and drop functionality you can try it do you have a specific website that
[01:04:01.820 --> 01:04:16.220]   that has like drag and drop
[01:04:16.220 --> 01:04:25.100]   draw io uh let's go to draw.io and make a cool diagram use nova act
[01:04:27.900 --> 01:04:32.700]   i want to see what happens
[01:04:32.700 --> 01:04:40.460]   all right so let's go to draw io all right it opened the page
[01:04:45.660 --> 01:04:50.380]   do i have to accept something nope it's going oops all right open dry let's see
[01:04:50.380 --> 01:04:56.700]   and then i'll make this smaller
[01:04:56.700 --> 01:05:05.740]   wait for page to load look at my initial setup for template selections all right it's going
[01:05:08.860 --> 01:05:18.460]   oh it crashed what happened oh do i have to allow allow always i took a screenshot
[01:05:18.460 --> 01:05:31.180]   i need to continue the browser session to see what's available let's look at the screenshot all right it's
[01:05:31.180 --> 01:05:36.300]   it's opening up again uh it's going to draw io
[01:05:36.300 --> 01:05:55.180]   yeah if i keep clicking away it clicks back to the die the browser session so i need like two monitors
[01:05:57.180 --> 01:06:00.620]   let's see let's see let's see is it going to figure out how to use draw io
[01:06:00.620 --> 01:06:08.860]   wait for page take screenshot look for template options come a blank paper all right it's
[01:06:08.860 --> 01:06:14.060]   so it's kind of i didn't give it any specific instructions i just said make something cool so
[01:06:14.060 --> 01:06:19.820]   maybe that's too hard to interpret for this website maybe i have to say click this click the square button and
[01:06:19.820 --> 01:06:24.220]   then drag the square to the center or something i might have to be more explicit for that
[01:06:24.220 --> 01:06:32.540]   so it seems it seems to have frozen all right it's clicking something all right click new
[01:06:32.540 --> 01:06:40.060]   oh okay it's doing stuff
[01:06:43.420 --> 01:06:48.540]   again it's not like super real time it's going it's not like instantaneously but it's it is clicking
[01:06:48.540 --> 01:06:56.460]   through the buttons clicking through stuff all right did it do anything oh the claw
