
[00:00:00.000 --> 00:00:02.300]   conversational memory has become
[00:18:20.740 --> 00:18:24.580]   For summary memory is it shortens the number of tokens
[00:18:24.580 --> 00:18:26.140]   for long conversations,
[00:18:26.140 --> 00:18:29.220]   also enables much longer conversations.
[00:18:29.220 --> 00:18:32.100]   And it's all relatively straightforward implementation,
[00:18:32.100 --> 00:18:34.100]   super easy to understand.
[00:18:34.100 --> 00:18:36.420]   But on the cons, naturally you just solve
[00:18:36.420 --> 00:18:38.180]   the shorter conversations.
[00:18:38.180 --> 00:18:39.420]   It doesn't help at all.
[00:18:39.420 --> 00:18:41.380]   It's actually less efficient.
[00:18:41.380 --> 00:18:45.660]   The memorization of the prior chats,
[00:18:45.660 --> 00:18:46.860]   because we're not saving everything
[00:18:46.860 --> 00:18:48.260]   like we did the buffer memory,
[00:18:48.260 --> 00:18:50.740]   the memorization of those previous interactions
[00:18:50.740 --> 00:18:53.900]   is wholly reliant on the summarization,
[00:18:53.900 --> 00:18:55.620]   including that information,
[00:18:55.620 --> 00:18:57.460]   which it might not always do,
[00:18:57.460 --> 00:19:00.260]   particularly if you're not using a particularly advanced
[00:19:00.260 --> 00:19:02.340]   large language model for that summarization.
[00:19:02.340 --> 00:19:05.620]   So both those things we also just need to consider
[00:19:05.620 --> 00:19:06.700]   with this approach.
[00:19:06.700 --> 00:19:09.500]   So moving on to conversational buffer window memory,
[00:19:09.500 --> 00:19:11.900]   this one acts in a very similar way to a buffer memory,
[00:19:11.900 --> 00:19:15.540]   but there is now a window on the number of interactions
[00:19:15.540 --> 00:19:18.140]   that we remember or save.
[00:19:18.140 --> 00:19:20.300]   So we're gonna set that equal to one.
[00:19:20.300 --> 00:19:23.620]   So we're gonna save the one most recent interaction
[00:19:23.620 --> 00:19:27.380]   from the AI and also the human, right?
[00:19:27.380 --> 00:19:31.540]   So one human interaction, one AI interaction.
[00:19:31.540 --> 00:19:33.580]   Usually it would be much larger,
[00:19:33.580 --> 00:19:36.900]   but it's just for the sake of this example.
[00:19:36.900 --> 00:19:39.060]   So running through these again,
[00:19:39.060 --> 00:19:40.940]   you know, it's pretty straightforward, right?
[00:19:40.940 --> 00:19:43.140]   I'm not gonna rerun everything here,
[00:19:43.140 --> 00:19:45.500]   but we can see we go through the same conversation again,
[00:19:45.500 --> 00:19:48.620]   and we get to the end and we say, what is my aim again?
[00:19:48.620 --> 00:19:50.420]   All right, and your aim is to use data sources
[00:19:50.420 --> 00:19:53.260]   to give context to the model, right?
[00:19:53.260 --> 00:19:54.420]   You know, that's wrong.
[00:19:54.420 --> 00:19:58.740]   But the reason that the model is saying this
[00:19:58.740 --> 00:19:59.980]   is because it actually only remembers
[00:19:59.980 --> 00:20:03.300]   this previous interactions, one last interaction,
[00:20:03.300 --> 00:20:05.220]   because we set K equal to one.
[00:20:05.220 --> 00:20:07.140]   And we can actually see that here.
[00:20:07.140 --> 00:20:10.180]   So if we go into our conversation chain,
[00:20:10.180 --> 00:20:13.860]   we go to the memory attribute, load memory variables.
[00:20:13.860 --> 00:20:15.980]   We set inputs equal to nothing now,
[00:20:15.980 --> 00:20:18.100]   'cause we don't actually wanna pass anything in.
[00:20:18.100 --> 00:20:21.180]   And we load the history item.
[00:20:21.180 --> 00:20:24.300]   Then we can actually see the history that we have there.
[00:20:24.300 --> 00:20:27.860]   So we have just the previous interaction.
[00:20:27.860 --> 00:20:30.420]   And the previous interaction was actually this, right?
[00:20:30.420 --> 00:20:32.300]   So, because we asked this question.
[00:20:32.300 --> 00:20:34.220]   So we actually just have that.
[00:20:34.220 --> 00:20:37.620]   Now, obviously, naturally with this approach,
[00:20:37.620 --> 00:20:40.620]   you're probably going to be using a much larger number
[00:20:40.620 --> 00:20:42.580]   than K equals one.
[00:20:42.580 --> 00:20:45.020]   And you can actually see the effect of that here.
[00:20:45.020 --> 00:20:48.140]   So adding to the previous two visuals that we saw,
[00:20:48.140 --> 00:20:50.500]   we now have conversational buffer window memory
[00:20:50.500 --> 00:20:52.780]   for that longer conversation with K equals 12.
[00:20:52.780 --> 00:20:55.540]   So remembering the previous 12 interactions,
[00:20:55.540 --> 00:20:56.740]   and also K equals six.
[00:20:56.740 --> 00:20:59.500]   And you can see, okay, the token count for these,
[00:20:59.500 --> 00:21:03.260]   it's kind of on par with the conversational buffer memory
[00:21:03.260 --> 00:21:05.860]   up until you get to the number of interactions
[00:21:05.860 --> 00:21:06.700]   that you're saving.
[00:21:06.700 --> 00:21:08.900]   And then it kind of flattens out a little bit
[00:21:08.900 --> 00:21:12.260]   because you're just saving the previous 12
[00:21:12.260 --> 00:21:15.340]   or six interactions in this case.
[00:21:15.340 --> 00:21:18.940]   So naturally, I think the main pro is here,
[00:21:18.940 --> 00:21:20.380]   kind of similar to the buffer memory,
[00:21:20.380 --> 00:21:25.140]   we're saving the raw input of the most recent interactions.
[00:21:25.140 --> 00:21:27.020]   And the con is obviously
[00:21:27.020 --> 00:21:30.180]   that we are not remembering distant interactions.
[00:21:30.180 --> 00:21:32.380]   So if we do want to remember distant interactions,
[00:21:32.380 --> 00:21:35.820]   we just can't do that with this example.
[00:21:35.820 --> 00:21:37.380]   Now, there's one other memory type
[00:21:37.380 --> 00:21:39.220]   that I wanted to very quickly cover here.
[00:21:39.220 --> 00:21:43.820]   And that is a conversation summary buffer memory.
[00:21:43.820 --> 00:21:48.220]   So let's import that quickly from lang chain,
[00:21:48.220 --> 00:21:53.220]   chains, conversation.memory, import.
[00:21:54.340 --> 00:21:55.460]   I'm going to be importing
[00:21:55.460 --> 00:21:58.820]   conversation summary buffer memory, okay?
[00:21:58.820 --> 00:22:03.820]   Now to initialize this, we will use this code here.
[00:22:03.820 --> 00:22:07.140]   So we have the conversation chain again,
[00:22:07.140 --> 00:22:09.860]   we're passing in the large language model,
[00:22:09.860 --> 00:22:11.900]   and then we're also passing in the memory
[00:22:11.900 --> 00:22:15.340]   like we did before, conversation summary buffer memory.
[00:22:15.340 --> 00:22:20.340]   And in there, so we have passing a large language model.
[00:22:20.340 --> 00:22:21.940]   Now, the reason we're doing this
[00:22:21.940 --> 00:22:26.100]   is because you can see here that we are summarizing, okay?
[00:22:26.100 --> 00:22:28.580]   And then we also pass in this max token limit.
[00:22:28.580 --> 00:22:33.220]   Now, this is kind of equivalent to what you saw before,
[00:22:33.220 --> 00:22:36.300]   where we had K equals six.
[00:22:36.300 --> 00:22:37.340]   But rather than saying
[00:22:37.340 --> 00:22:40.500]   we're going to save the previous six interactions,
[00:22:40.500 --> 00:22:42.140]   we're actually saying we're going to save
[00:22:42.140 --> 00:22:45.940]   the previous 650 tokens.
[00:22:45.940 --> 00:22:49.500]   So we're kind of doing both.
[00:22:49.500 --> 00:22:51.700]   So we're summarizing here,
[00:22:51.700 --> 00:22:55.740]   and we are also saving the most recent interactions
[00:22:55.740 --> 00:22:57.900]   in their raw form.
[00:22:57.900 --> 00:22:59.660]   So we can run that,
[00:22:59.660 --> 00:23:02.740]   and we would just use it in the exact same way.
[00:23:02.740 --> 00:23:05.740]   Okay, so main pros and cons with this one as well,
[00:23:05.740 --> 00:23:09.100]   kind of like a mix of the previous two methods we looked at.
[00:23:09.100 --> 00:23:12.260]   So we have a little bit of the buffer window in there,
[00:23:12.260 --> 00:23:14.580]   and also the summaries in there.
[00:23:14.580 --> 00:23:17.220]   So the summarizer means that we can remember
[00:23:17.220 --> 00:23:19.100]   those distant interactions,
[00:23:19.100 --> 00:23:24.100]   and the buffer window means that we are not misrepresenting
[00:23:24.100 --> 00:23:27.140]   the most recent interactions,
[00:23:27.140 --> 00:23:28.860]   because we're storing them in their raw form.
[00:23:28.860 --> 00:23:31.940]   So we're keeping as much information there as possible,
[00:23:31.940 --> 00:23:34.940]   but only from the most recent interactions.
[00:23:34.940 --> 00:23:38.180]   And then the cons, kind of similar to the other ones again.
[00:23:38.180 --> 00:23:39.420]   For the summarizer,
[00:23:39.420 --> 00:23:42.700]   we naturally increase the token count
[00:23:42.700 --> 00:23:44.580]   for shorter conversations.
[00:23:44.580 --> 00:23:46.100]   And with the summarizer,
[00:23:46.100 --> 00:23:49.020]   we're not necessarily going to remember
[00:23:49.020 --> 00:23:52.340]   distant interactions that well.
[00:23:52.340 --> 00:23:55.380]   They don't really contain all of the information.
[00:23:55.380 --> 00:23:57.980]   And naturally, storing the raw interactions,
[00:23:57.980 --> 00:24:01.380]   as well as the summarized interactions from a while back,
[00:24:01.380 --> 00:24:04.580]   all of this increases the token count.
[00:24:04.580 --> 00:24:08.580]   But this method does allow us quite a few methods,
[00:24:08.580 --> 00:24:10.180]   or a few parameters that we can tweak
[00:24:10.180 --> 00:24:13.540]   in order to get what it is that we want.
[00:24:13.540 --> 00:24:15.380]   And in this little visualization here,
[00:24:15.380 --> 00:24:18.820]   we've added the summary buffer memory
[00:24:18.820 --> 00:24:21.300]   with a max token limit of 1,300,
[00:24:21.300 --> 00:24:23.780]   and also 650 there,
[00:24:23.780 --> 00:24:27.700]   which is roughly equivalent to the K equals 12
[00:24:27.700 --> 00:24:29.820]   and K equals six that we had before.
[00:24:29.820 --> 00:24:33.500]   And we see that the tokens are not too excessive.
[00:24:33.500 --> 00:24:36.380]   Now, there are also other memory types.
[00:24:36.380 --> 00:24:38.260]   Very quickly, you can see this one here
[00:24:38.260 --> 00:24:41.260]   is the conversation knowledge graph memory,
[00:24:41.260 --> 00:24:44.140]   which essentially keeps a knowledge graph
[00:24:44.140 --> 00:24:46.140]   of all of the entities
[00:24:46.140 --> 00:24:48.060]   that have been mentioned throughout the conversation.
[00:24:48.060 --> 00:24:50.020]   So you can kind of see that here.
[00:24:50.020 --> 00:24:53.260]   We say, "My name is human and I like mangoes."
[00:24:53.260 --> 00:24:54.900]   And then we see the memory here.
[00:24:54.900 --> 00:24:56.740]   And we see that the entity human,
[00:24:56.740 --> 00:24:58.580]   referring to the person,
[00:24:58.580 --> 00:24:59.940]   and the entity human,
[00:24:59.940 --> 00:25:01.740]   I think this is referring to the name.
[00:25:01.740 --> 00:25:02.700]   They're both connected
[00:25:02.700 --> 00:25:06.780]   because the human is the name of human.
[00:25:06.780 --> 00:25:09.700]   And then here we have the entity human
[00:25:09.700 --> 00:25:11.540]   and the entity mangoes.
[00:25:11.540 --> 00:25:13.300]   And we can see that they are connected
[00:25:13.300 --> 00:25:16.660]   because the human likes mangoes, right?
[00:25:16.660 --> 00:25:19.260]   So we have that knowledge graph memory in there.
[00:25:19.260 --> 00:25:20.100]   But beyond that,
[00:25:20.100 --> 00:25:23.140]   we're not going to dive into that for now any further.
[00:25:23.140 --> 00:25:25.980]   We're going to cover that more in a future video.
[00:25:25.980 --> 00:25:28.980]   So that's actually it for this introduction
[00:25:28.980 --> 00:25:33.660]   to conversational memory types with LangChain.
[00:25:33.660 --> 00:25:35.900]   We've covered quite a few there.
[00:25:35.900 --> 00:25:38.220]   And I think the ones that we have covered
[00:25:38.220 --> 00:25:41.620]   are more than enough to actually build chatbot
[00:25:41.620 --> 00:25:44.020]   or conversational AI agents
[00:25:44.020 --> 00:25:46.780]   using what seem to be the same methods
[00:25:46.780 --> 00:25:49.140]   as those that are being used
[00:25:49.140 --> 00:25:51.420]   by some of the state-of-the-art
[00:25:51.420 --> 00:25:53.860]   conversational AI agents out there today,
[00:25:53.860 --> 00:25:56.140]   like OpenAI's ChatGPT
[00:25:56.140 --> 00:25:58.100]   and possibly Google's Lambda,
[00:25:58.100 --> 00:26:00.900]   although we really have no idea how that works.
[00:26:00.900 --> 00:26:03.340]   But for now, we'll leave it there.
[00:26:03.340 --> 00:26:04.180]   As I mentioned,
[00:26:04.180 --> 00:26:05.100]   there's going to be a lot more
[00:26:05.100 --> 00:26:06.980]   on this type of stuff in the future.
[00:26:06.980 --> 00:26:09.260]   Thank you very much for watching.
[00:26:09.260 --> 00:26:11.500]   I hope this has been interesting and useful.
[00:26:11.500 --> 00:26:13.700]   And I will see you again in the next one.
[00:26:13.700 --> 00:26:14.540]   Bye.
[00:26:14.540 --> 00:26:17.140]   (gentle music)
[00:26:17.980 --> 00:26:20.580]   (gentle music)
[00:26:20.580 --> 00:26:23.180]   (gentle music)
[00:26:23.180 --> 00:26:25.780]   (gentle music)
[00:26:25.780 --> 00:26:27.840]   you
[00:26:27.840 --> 00:26:29.900]   you

