
[00:00:00.000 --> 00:00:01.400]   I'm gonna take...
[00:18:07.880 --> 00:18:10.760]   of the notebook or this section of the fast book,
[00:18:10.760 --> 00:18:13.960]   you will see basically everything that I've explained,
[00:18:13.960 --> 00:18:16.120]   but just being done in PyTorch.
[00:18:16.120 --> 00:18:19.560]   So let me show some code for that.
[00:18:19.560 --> 00:18:23.040]   So the top edge, if you have a look,
[00:18:23.040 --> 00:18:26.800]   this is how we define a top edge detector,
[00:18:26.800 --> 00:18:29.600]   minus one at the top, 0, 0, 0 in the middle,
[00:18:29.600 --> 00:18:30.640]   and then 1, 1, 1.
[00:18:30.640 --> 00:18:32.040]   And as I've mentioned, it goes,
[00:18:32.040 --> 00:18:35.400]   it will find points where it is going from white background
[00:18:35.400 --> 00:18:37.040]   to dark values.
[00:18:37.040 --> 00:18:41.120]   So some points like basically in this row,
[00:18:41.120 --> 00:18:43.920]   like in this row five, it could find these three points.
[00:18:43.920 --> 00:18:48.040]   If you have a convolution filter that has these three,
[00:18:48.040 --> 00:18:50.240]   basically if you have a convolution filter,
[00:18:59.800 --> 00:19:01.800]   So if you have a convolution filter,
[00:19:01.800 --> 00:19:04.580]   say somewhere here.
[00:19:04.580 --> 00:19:07.080]   So that's when it will give you a positive value.
[00:19:07.080 --> 00:19:12.680]   So then this is just like showing this thing in PyTorch,
[00:19:12.680 --> 00:19:14.280]   it's like let's grab a subset.
[00:19:14.280 --> 00:19:17.780]   So we grab four, five, six, and six, seven, eight.
[00:19:17.780 --> 00:19:20.080]   And basically these are the values that you have.
[00:19:20.080 --> 00:19:23.720]   So row four, five, six, and column six, seven, eight
[00:19:23.720 --> 00:19:24.640]   are these ones.
[00:19:24.640 --> 00:19:27.500]   So zero, zero, zero, one, four, two, one, five, five,
[00:19:27.500 --> 00:19:29.880]   two, four, six, and then two, five, four.
[00:19:29.880 --> 00:19:31.480]   So then you get these values for this.
[00:19:31.480 --> 00:19:34.800]   It just grabs like a small part of the main image,
[00:19:34.800 --> 00:19:37.040]   and then you just do your multiplication
[00:19:37.040 --> 00:19:38.400]   and you do the sum.
[00:19:38.400 --> 00:19:40.680]   So see how it's giving a large positive value
[00:19:40.680 --> 00:19:42.300]   every time it hits a top edge?
[00:19:42.300 --> 00:19:43.740]   That's exactly the idea.
[00:19:43.740 --> 00:19:46.120]   But anywhere else in the image
[00:19:46.120 --> 00:19:48.000]   will give you a small value.
[00:19:48.000 --> 00:19:51.680]   So I guess I will skip over this part
[00:19:51.680 --> 00:19:53.240]   'cause I think it's really not,
[00:19:53.240 --> 00:19:55.080]   like what I've explained,
[00:19:55.080 --> 00:19:58.740]   this is just the exact same explanation in the book.
[00:19:58.740 --> 00:20:01.260]   So when you go back and you read this section of the book,
[00:20:01.260 --> 00:20:03.660]   you will see how top edges can be detected
[00:20:03.660 --> 00:20:06.420]   and basically everything that I've said.
[00:20:06.420 --> 00:20:08.940]   So then the next thing I do wanna highlight
[00:20:08.940 --> 00:20:11.100]   is like mapping a convolution kernel.
[00:20:11.100 --> 00:20:13.120]   So what exactly happens is,
[00:20:13.120 --> 00:20:18.460]   and this is something I did touch on briefly in the past
[00:20:18.460 --> 00:20:21.740]   a lot many times, but what you have,
[00:20:21.740 --> 00:20:24.940]   so what happens is let's say if I have my input image
[00:20:24.940 --> 00:20:26.780]   that looks like this, right?
[00:20:26.780 --> 00:20:29.580]   And my kernel that looks like this.
[00:20:29.580 --> 00:20:31.020]   So as it says over here,
[00:20:31.020 --> 00:20:33.820]   your kernel is going to go from top left
[00:20:33.820 --> 00:20:35.660]   and then to the top right and so on.
[00:20:35.660 --> 00:20:37.140]   So the kernel, so this kernel
[00:20:37.140 --> 00:20:38.980]   is going to start somewhere here
[00:20:38.980 --> 00:20:41.260]   and then it's going to move one row to the right.
[00:20:41.260 --> 00:20:43.220]   So it's gonna start in the next row,
[00:20:43.220 --> 00:20:44.780]   then it's gonna move one row to the right,
[00:20:44.780 --> 00:20:47.500]   then it's gonna start somewhere like this and so on.
[00:20:47.500 --> 00:20:49.540]   So this kernel is then traveling
[00:20:49.540 --> 00:20:52.060]   or basically covering this whole image.
[00:20:52.060 --> 00:20:54.420]   So this is what this thing is doing
[00:20:54.420 --> 00:20:56.460]   is like mapping a convolution kernel.
[00:20:56.460 --> 00:21:00.460]   And then in this case, all that FastAI is doing
[00:21:00.460 --> 00:21:03.260]   is like it's finding the grid of the coordinates
[00:21:03.260 --> 00:21:05.200]   in a nested list comprehension.
[00:21:05.200 --> 00:21:09.140]   So all it is saying is like, okay, let's start with,
[00:21:09.140 --> 00:21:11.420]   'cause this kernel is gonna go like all the way,
[00:21:11.420 --> 00:21:12.660]   you could find the coordinates
[00:21:12.660 --> 00:21:14.560]   at which the center of the kernel lies,
[00:21:14.560 --> 00:21:16.680]   like these could be the coordinates,
[00:21:16.680 --> 00:21:18.340]   you could define them manually.
[00:21:18.340 --> 00:21:19.860]   Of course, all of this,
[00:21:19.860 --> 00:21:21.980]   you never have to do in your own again,
[00:21:21.980 --> 00:21:25.720]   like PyTorch can, this part of the book
[00:21:25.720 --> 00:21:27.820]   is just showing you things manually
[00:21:27.820 --> 00:21:29.920]   and like just showing you like you could do this
[00:21:29.920 --> 00:21:31.600]   convolution kernel mapping on your own.
[00:21:31.600 --> 00:21:34.460]   You could map the, basically you could do this map
[00:21:34.460 --> 00:21:36.680]   map the kernel to the image on your own.
[00:21:36.680 --> 00:21:38.180]   And all they're doing is like defining
[00:21:38.180 --> 00:21:39.400]   these set of grid points.
[00:21:39.400 --> 00:21:41.480]   So like you start with top left 1 1,
[00:21:41.480 --> 00:21:42.640]   which is this pointer.
[00:21:42.640 --> 00:21:46.560]   So X, Y, basically, if let's say these are the one, two,
[00:21:46.560 --> 00:21:48.040]   three, four, one, two, three, four.
[00:21:48.040 --> 00:21:51.460]   So you start with 1, 1, 1, 2, 1, 3, 1, 4
[00:21:51.460 --> 00:21:54.380]   and then so on 2, 1, 2, 2, 2, 3, 2, 4, or so on.
[00:21:54.380 --> 00:21:57.000]   So basically you just define these grid points.
[00:21:57.000 --> 00:21:58.300]   And then these are the grid points
[00:21:58.300 --> 00:22:01.760]   at which you do the convolution and you get some value.
[00:22:01.760 --> 00:22:03.800]   So you can show the output image.
[00:22:03.800 --> 00:22:08.120]   And as you can see, if I map my top edge detector
[00:22:08.120 --> 00:22:10.360]   to my whole image, all it has done
[00:22:10.360 --> 00:22:12.080]   is that it has detected the top edges.
[00:22:12.080 --> 00:22:15.440]   So see how it is dark at the top edges.
[00:22:15.440 --> 00:22:18.120]   It's just detected these, it's done its thing.
[00:22:18.120 --> 00:22:21.120]   And you could also have like a left vertical detector.
[00:22:21.120 --> 00:22:25.400]   So you can see how it's dark every time on your left edges.
[00:22:25.400 --> 00:22:28.880]   So these are the points here and that's pretty much it.
[00:22:28.880 --> 00:22:31.380]   And then you'll see, as I've said,
[00:22:31.380 --> 00:22:35.840]   like the convolution kernel is basically going over the,
[00:22:35.840 --> 00:22:38.860]   or being mapped over the whole image.
[00:22:38.860 --> 00:22:41.880]   So in this example, there's this paper,
[00:22:41.880 --> 00:22:43.560]   a guide to convolution arithmetic,
[00:22:43.560 --> 00:22:46.360]   which is actually a really good paper
[00:22:46.360 --> 00:22:47.680]   that I would recommend reading.
[00:22:47.680 --> 00:22:50.640]   So if you have time and you want to understand
[00:22:50.640 --> 00:22:53.080]   convolutions and you want to understand like,
[00:22:53.080 --> 00:22:54.460]   and you want to just get in the practice
[00:22:54.460 --> 00:22:56.120]   of like just reading papers,
[00:22:56.120 --> 00:22:58.920]   this is a good resource to get started.
[00:22:58.920 --> 00:23:01.280]   So in this case, they just show like various mappings
[00:23:01.280 --> 00:23:03.840]   of various strides and various convolutions.
[00:23:03.840 --> 00:23:05.680]   And you see that in this case,
[00:23:05.680 --> 00:23:10.680]   if my image is represented by this light blue at the back,
[00:23:10.680 --> 00:23:13.560]   my convolution kernel, which is three by three
[00:23:13.560 --> 00:23:16.280]   is represented by this dark blue at the top.
[00:23:16.280 --> 00:23:18.240]   So what's going to happen is like,
[00:23:18.240 --> 00:23:23.240]   let me just paste this in here,
[00:23:23.240 --> 00:23:26.480]   so I can explain how the output comes.
[00:23:26.480 --> 00:23:28.760]   So you have your image at the back.
[00:23:28.760 --> 00:23:31.520]   So let's say my image values are,
[00:23:31.520 --> 00:23:37.080]   say 10, this one is 20.
[00:23:37.080 --> 00:23:40.080]   So I'm just, these are not the kernel values, right?
[00:23:40.080 --> 00:23:43.440]   The thing at the top, this thing at the top,
[00:23:43.440 --> 00:23:45.800]   oh, that's wrong, that's not a good color for this.
[00:23:45.800 --> 00:23:49.360]   This thing at the top, like this bit is my kernel.
[00:23:49.360 --> 00:23:52.000]   So this is my kernel that looks something like this.
[00:23:52.000 --> 00:23:53.760]   That's my kernel.
[00:23:53.760 --> 00:23:56.880]   At the bottom, this whole thing at the bottom,
[00:23:56.880 --> 00:23:58.280]   that's the image, right?
[00:23:58.280 --> 00:24:00.800]   So the image could have some values,
[00:24:00.800 --> 00:24:04.600]   but then what I'm doing is my kernel is multiplied
[00:24:04.600 --> 00:24:07.980]   by like this three cross three map, every element.
[00:24:07.980 --> 00:24:11.160]   Let me try this.
[00:24:11.160 --> 00:24:14.720]   So every element like this element, this element,
[00:24:14.720 --> 00:24:17.680]   this element, this, this, and the nine elements,
[00:24:17.680 --> 00:24:20.000]   basically they multiply with each other
[00:24:20.000 --> 00:24:21.400]   and you take the sum.
[00:24:21.400 --> 00:24:23.800]   So you multiply whatever the value of the kernel is,
[00:24:23.800 --> 00:24:26.840]   and then whatever the value of the image is at this point,
[00:24:26.840 --> 00:24:28.960]   same thing for this point, same thing for this point,
[00:24:28.960 --> 00:24:31.320]   same thing for all points on the three cross three grid,
[00:24:31.320 --> 00:24:32.440]   and you take the sum.
[00:24:32.440 --> 00:24:34.960]   So this green thing represents your output
[00:24:34.960 --> 00:24:38.840]   of applying the convolution to this three by three point.
[00:24:38.840 --> 00:24:39.760]   Same thing over here,
[00:24:39.760 --> 00:24:42.760]   now you can apply a convolution kernel to the top right,
[00:24:42.760 --> 00:24:45.240]   then you apply the convolution kernel to the bottom left,
[00:24:45.240 --> 00:24:46.800]   and you apply to the convolution kernel
[00:24:46.800 --> 00:24:47.840]   to the bottom right.
[00:24:47.840 --> 00:24:52.840]   So see how, what happens is like you had an input
[00:24:52.840 --> 00:24:57.280]   of four by four, when you apply the three by three kernel
[00:24:57.280 --> 00:25:01.280]   on top, your output size became smaller.
[00:25:01.280 --> 00:25:04.760]   So this is something I want you to remember
[00:25:04.760 --> 00:25:07.360]   when we go next and we start looking at padding
[00:25:07.360 --> 00:25:09.680]   or all that stuff.
[00:25:09.680 --> 00:25:12.880]   What I want you to remember or see from this image
[00:25:12.880 --> 00:25:16.240]   is like you have some input image,
[00:25:16.240 --> 00:25:19.040]   then you have a kernel size of three by three,
[00:25:19.040 --> 00:25:24.040]   and then the output is actually a smaller size feature map
[00:25:24.040 --> 00:25:26.040]   than the input itself.
[00:25:26.040 --> 00:25:27.880]   So the output is two by two,
[00:25:27.880 --> 00:25:29.760]   whereas the input was four by four.
[00:25:29.760 --> 00:25:39.560]   So that's just the basics of like applying convolutions.
[00:25:39.560 --> 00:25:43.720]   And then this section is just applying those convolutions
[00:25:43.720 --> 00:25:44.680]   in PyTorch.
[00:25:44.680 --> 00:25:48.240]   So you can see the good thing about PyTorch
[00:25:48.240 --> 00:25:51.560]   is like you don't have to apply convolutions one by one.
[00:25:51.560 --> 00:25:54.240]   The one thing it can do is like convolution,
[00:25:54.240 --> 00:25:57.520]   basically your PyTorch accepts the convolution kernels
[00:25:57.520 --> 00:26:01.160]   in this particular, I will explain exactly
[00:26:01.160 --> 00:26:03.200]   what each of these things mean,
[00:26:03.200 --> 00:26:04.520]   and your input is in this thing.
[00:26:04.520 --> 00:26:06.760]   So what PyTorch can actually do
[00:26:06.760 --> 00:26:09.200]   is it can apply multiple convolutions.
[00:26:09.200 --> 00:26:11.120]   So like it can have these convolution operations
[00:26:11.120 --> 00:26:12.600]   on multiple images.
[00:26:12.600 --> 00:26:15.920]   So that's why PyTorch is really fast.
[00:26:15.920 --> 00:26:18.600]   And the next thing is that PyTorch can do these operations
[00:26:18.600 --> 00:26:19.840]   on the GPU.
[00:26:19.840 --> 00:26:23.200]   So like that's the reason why when we run GPU
[00:26:23.200 --> 00:26:25.520]   or when we're using PyTorch, it's really, really fast
[00:26:25.520 --> 00:26:28.640]   'cause it's doing all of these things parallelly, right?
[00:26:28.640 --> 00:26:33.640]   So what that means is instead of like in this example,
[00:26:33.640 --> 00:26:37.040]   I've just applied one kernel to one image,
[00:26:37.040 --> 00:26:42.040]   what PyTorch can do is you can have multiple
[00:26:42.040 --> 00:26:44.400]   or so on multiple images.
[00:26:44.400 --> 00:26:48.200]   And then this kernel is being applied to this position,
[00:26:48.200 --> 00:26:50.600]   this position, this position,
[00:26:50.600 --> 00:26:52.400]   basically all of these three,
[00:26:52.400 --> 00:26:54.680]   multiple images then are being applied.
[00:26:54.680 --> 00:26:57.800]   And all of this operation is then happening parallelly
[00:26:57.800 --> 00:26:58.960]   in PyTorch.
[00:26:58.960 --> 00:27:03.760]   So in this section, all this part is like you stack your,
[00:27:03.760 --> 00:27:05.000]   you just basically define.
[00:27:05.000 --> 00:27:07.440]   So it's just showing like you can have multiple kernels
[00:27:07.440 --> 00:27:11.000]   that can be applied to multiple images.
[00:27:11.000 --> 00:27:14.560]   So all they're saying is let's define some edge kernels.
[00:27:14.560 --> 00:27:15.800]   So your left edge,
[00:27:15.800 --> 00:27:18.160]   we already know what the left edge looks like.
[00:27:18.160 --> 00:27:22.400]   If I say left edge,
[00:27:22.400 --> 00:27:25.360]   so you can see this was my left edge kernel, right?
[00:27:25.360 --> 00:27:29.880]   My top edge, remember top edge was minus ones at the top
[00:27:29.880 --> 00:27:31.480]   and ones at the bottom.
[00:27:31.480 --> 00:27:34.240]   And then you define two more, which is like diagonal edge.
[00:27:34.240 --> 00:27:38.400]   So you can see how this one is minus one at the diagonal
[00:27:38.400 --> 00:27:40.560]   and then one at the center diagonal.
[00:27:40.560 --> 00:27:42.960]   So it's gonna actually find diagonals like this
[00:27:42.960 --> 00:27:45.240]   that look at a slant 45 degree angle.
[00:27:45.240 --> 00:27:47.280]   And then similar for the diagonal edge too,
[00:27:47.280 --> 00:27:50.400]   which is gonna find diagonals like that, right?
[00:27:50.400 --> 00:27:52.200]   So those are the shapes.
[00:27:52.200 --> 00:27:55.680]   So again, diagonal, one is finding diagonals like that.
[00:27:55.680 --> 00:27:58.160]   The other one is finding diagonals like that.
[00:27:58.160 --> 00:28:00.920]   So all you can do is you can define your edge kernels.
[00:28:00.920 --> 00:28:04.880]   You basically stack all of these kernels in your torch.
[00:28:04.880 --> 00:28:07.640]   And you can see now my edge kernels
[00:28:07.640 --> 00:28:09.520]   of shape four by three by three,
[00:28:09.520 --> 00:28:11.640]   which means I have four kernels
[00:28:11.640 --> 00:28:15.600]   of where each kernel has a size of three by three, correct?
[00:28:15.600 --> 00:28:19.920]   So all you can do is then you define your data block,
[00:28:19.920 --> 00:28:21.440]   which is just, this is just MNIST.
[00:28:21.440 --> 00:28:22.960]   This is something we've done in the past.
[00:28:22.960 --> 00:28:25.600]   You just define your MNIST data block
[00:28:25.600 --> 00:28:27.400]   and you define your data loaders.
[00:28:27.400 --> 00:28:29.560]   You get the first batch, which looks like this,
[00:28:29.560 --> 00:28:32.000]   64 by one by 28 by 28.
[00:28:32.000 --> 00:28:33.480]   What does this mean?
[00:28:33.480 --> 00:28:38.480]   This means you have 64 images of single channel
[00:28:38.480 --> 00:28:42.920]   where each image is of size 28 by 28, okay?
[00:28:42.920 --> 00:28:45.200]   So the shapes of this have been explained here.
[00:28:45.200 --> 00:28:48.800]   Mini-batch, so PyTorch, whenever you check shape,
[00:28:48.800 --> 00:28:51.640]   PyTorch shows number of channels first
[00:28:51.640 --> 00:28:53.920]   and then it shows the height and width, okay?
[00:28:53.920 --> 00:28:56.720]   Same thing for weight, for the filters.
[00:28:56.720 --> 00:28:59.560]   You have the channels, in channels,
[00:28:59.560 --> 00:29:01.680]   height and width of your kernels.
[00:29:01.680 --> 00:29:04.440]   And then for the mini, or basically your batch shape
[00:29:04.440 --> 00:29:05.480]   becomes like mini-batch,
[00:29:05.480 --> 00:29:07.960]   which is the number of items in your batch,
[00:29:07.960 --> 00:29:10.760]   the number of channels in your particular image
[00:29:10.760 --> 00:29:12.480]   of one item of the batch,
[00:29:12.480 --> 00:29:15.560]   and then the height and width of your image.
[00:29:15.560 --> 00:29:17.600]   So how do I read this when I'm looking at this?
[00:29:17.600 --> 00:29:21.840]   Like my first batch is of shape 64 by one by 28 by 28.
[00:29:21.840 --> 00:29:24.920]   I read this like I have 64 images.
[00:29:24.920 --> 00:29:26.720]   Each image is one channel
[00:29:26.720 --> 00:29:30.440]   and the each image height and width is 28 by 28, okay?
[00:29:30.440 --> 00:29:33.360]   So all I do, I move them across to the CPU.
[00:29:33.360 --> 00:29:36.200]   So let me run these paths.
[00:29:36.200 --> 00:29:38.480]   All I do is I move them across to the CPU.
[00:29:38.480 --> 00:29:44.680]   One thing you will see is like the weight filter
[00:29:44.680 --> 00:29:49.520]   accepts like my kernel to be like a 40 input.
[00:29:49.520 --> 00:29:51.640]   So for now, 'cause we're doing things manually,
[00:29:51.640 --> 00:29:53.240]   all we have to do is we have to add
[00:29:53.240 --> 00:29:54.720]   that dimensions ourselves.
[00:29:54.720 --> 00:29:59.720]   So remember, our kernel's like four by three by three.
[00:29:59.720 --> 00:30:05.600]   So all we have to do is like we add this dimension one,
[00:30:05.600 --> 00:30:09.680]   which just signifies that our input image has one channel.
[00:30:09.680 --> 00:30:11.920]   Okay, so all we do is over here.
[00:30:11.920 --> 00:30:15.200]   So how do I read this?
[00:30:15.200 --> 00:30:16.800]   It means I have four channels,
[00:30:16.800 --> 00:30:18.960]   I have, sorry, I have four kernels.
[00:30:18.960 --> 00:30:21.720]   Each kernel is of shape three by three.
[00:30:21.720 --> 00:30:24.840]   So these kernels are like top edge.
[00:30:24.840 --> 00:30:27.600]   So this is one of those kernels.
[00:30:27.600 --> 00:30:30.320]   So you have four of these kernels, which are three by three.
[00:30:30.320 --> 00:30:32.640]   And then this one, it just represents
[00:30:32.640 --> 00:30:35.640]   that my input has one channel, okay?
[00:30:35.640 --> 00:30:39.200]   So all I do, I do that.
[00:30:39.200 --> 00:30:42.440]   And then now I'm ready to apply the convolution operation.
[00:30:42.440 --> 00:30:44.240]   Okay, so I take my batch.
[00:30:44.240 --> 00:30:46.120]   So this is when I was saying like,
[00:30:46.120 --> 00:30:48.920]   PyTorch can apply multiple kernels to multiple images
[00:30:48.920 --> 00:30:50.560]   and like all of this happens parallelly
[00:30:50.560 --> 00:30:52.680]   and it's not something we have to worry about
[00:30:52.680 --> 00:30:53.640]   how that works.
[00:30:53.640 --> 00:30:55.240]   So we just say, oh, PyTorch,
[00:30:55.240 --> 00:30:57.320]   please use the con2d operation.
[00:30:57.320 --> 00:31:01.120]   So f.con2d accepts two things.
[00:31:01.120 --> 00:31:03.960]   It accepts your input, which is your input image
[00:31:03.960 --> 00:31:05.800]   or your input feature map.
[00:31:05.800 --> 00:31:08.520]   And it also accepts your kernel weights.
[00:31:08.520 --> 00:31:12.120]   So in this case, my edge kernels are this.
[00:31:12.120 --> 00:31:14.760]   So remember, this is what my edge kernels are.
[00:31:14.760 --> 00:31:17.520]   This one is the vertical left detector.
[00:31:17.520 --> 00:31:19.680]   This one is the top edge detector.
[00:31:19.680 --> 00:31:21.640]   This one is the diagonal detector.
[00:31:21.640 --> 00:31:23.720]   And this one is the second diagonal detector.
[00:31:23.720 --> 00:31:26.200]   So what PyTorch is gonna do,
[00:31:26.200 --> 00:31:28.320]   it's going to apply these four kernels
[00:31:28.320 --> 00:31:30.520]   to all images in my batch.
[00:31:30.520 --> 00:31:35.080]   And then you get an output of 64 by four by 26 by 26.
[00:31:35.080 --> 00:31:40.000]   So it's really important to see what just happened.
[00:31:40.000 --> 00:31:44.800]   So remember, my input shape was xb.shape.
[00:31:44.800 --> 00:31:48.000]   And my output shape is now this batch features.shape.
[00:31:49.000 --> 00:31:51.600]   Can you see the difference?
[00:31:51.600 --> 00:31:55.480]   So before applying the convolution operation,
[00:31:55.480 --> 00:31:59.280]   we had 64 images of 28 by 28,
[00:31:59.280 --> 00:32:02.880]   and we had one channel images.
[00:32:02.880 --> 00:32:07.480]   Now we have 64 images of 26 by 26,
[00:32:07.480 --> 00:32:09.440]   and we have four channel images.
[00:32:09.440 --> 00:32:13.600]   So I guess at this point,
[00:32:13.600 --> 00:32:15.680]   it's really important in your head
[00:32:15.680 --> 00:32:18.960]   to understand what exactly happened.
[00:32:18.960 --> 00:32:21.840]   And something when I was doing the fast AI course,
[00:32:21.840 --> 00:32:25.120]   something Jeremy kept on saying and really stressed on
[00:32:25.120 --> 00:32:28.640]   was that it's really important to see the input shapes,
[00:32:28.640 --> 00:32:30.960]   and it's really important to see the output shapes,
[00:32:30.960 --> 00:32:33.240]   and try and map the two.
[00:32:33.240 --> 00:32:35.560]   So try and map like what exactly happened.
[00:32:35.560 --> 00:32:38.080]   So let's see what exactly happened.
[00:32:38.080 --> 00:32:41.920]   Or like, why do we have four channels as outputs?
[00:32:41.920 --> 00:32:44.840]   And why is like this 26 by 26, right?
[00:32:45.840 --> 00:32:49.320]   I'll just go check if there's any questions.
[00:32:49.320 --> 00:32:51.960]   Actually, I would appreciate, do one thing.
[00:32:51.960 --> 00:32:53.480]   I'm just gonna take a minute.
[00:32:53.480 --> 00:32:56.920]   I think this will be a really helpful exercise.
[00:32:56.920 --> 00:33:01.920]   Let's make this very much more interactive.
[00:33:01.920 --> 00:33:06.000]   So take a minute to think like,
[00:33:06.000 --> 00:33:08.440]   I've already given you all the details.
[00:33:08.440 --> 00:33:09.680]   I've already explained everything
[00:33:09.680 --> 00:33:11.560]   that's happening in the convolutions.
[00:33:11.560 --> 00:33:13.440]   But take a minute to first,
[00:33:13.440 --> 00:33:18.440]   let's brainstorm why was my input 28 by 28?
[00:33:18.440 --> 00:33:20.720]   And when I applied a three by three kernel
[00:33:20.720 --> 00:33:24.680]   to this 28 by 28 input image, my output is 26 by 26.
[00:33:24.680 --> 00:33:26.080]   So why do you think that happened?
[00:33:26.080 --> 00:33:27.920]   So I guess just post over here
[00:33:27.920 --> 00:33:30.440]   and see like if you have an example.
[00:33:30.440 --> 00:33:37.440]   So come have a post and I'm just gonna,
[00:33:37.440 --> 00:33:39.000]   let's just make this more interactive.
[00:33:39.000 --> 00:33:40.720]   I think this is the best way forward.
[00:33:40.720 --> 00:33:42.600]   So while you're posting your answers,
[00:33:43.600 --> 00:33:45.560]   I also want you to think,
[00:33:45.560 --> 00:33:49.840]   why do you think our input image had one channel,
[00:33:49.840 --> 00:33:53.000]   whereas our output feature map has four channels?
[00:33:53.000 --> 00:33:54.560]   So what changed?
[00:33:54.560 --> 00:33:55.960]   So these are the two things.
[00:33:55.960 --> 00:33:59.880]   And meanwhile, I'll start drawing some,
[00:33:59.880 --> 00:34:03.880]   I'll start posting the answer here.
[00:34:03.880 --> 00:34:06.880]   (keyboard clacking)
[00:34:06.880 --> 00:34:21.320]   Okay, Vinayak saying, if we have an RGB image,
[00:34:21.320 --> 00:34:22.840]   we don't have an RGB image.
[00:34:22.840 --> 00:34:28.680]   That is incorrect.
[00:34:28.680 --> 00:34:29.640]   I think Vinayak you're jumping ahead.
[00:34:29.640 --> 00:34:31.360]   We don't have an RGB image.
[00:34:31.360 --> 00:34:34.360]   (keyboard clacking)
[00:34:34.360 --> 00:34:37.360]   (keyboard clacking)
[00:34:37.360 --> 00:34:40.360]   (keyboard clacking)
[00:34:40.360 --> 00:34:43.360]   (keyboard clacking)
[00:34:43.360 --> 00:34:46.360]   (keyboard clacking)
[00:34:46.360 --> 00:34:49.360]   (keyboard clacking)
[00:34:49.360 --> 00:34:55.360]   (keyboard clacking)
[00:34:55.360 --> 00:35:05.360]   (keyboard clacking)
[00:35:05.360 --> 00:35:10.360]   (keyboard clacking)
[00:35:11.360 --> 00:35:14.360]   (keyboard clacking)
[00:35:14.360 --> 00:35:20.360]   (keyboard clacking)
[00:35:20.360 --> 00:35:26.360]   (keyboard clacking)
[00:35:26.360 --> 00:35:33.360]   (keyboard clacking)
[00:35:38.360 --> 00:35:41.360]   (keyboard clacking)
[00:35:41.360 --> 00:35:49.280]   On this tensor, tot size 64, one by 28 by 28,
[00:35:49.280 --> 00:35:51.240]   if we apply four filters,
[00:35:51.240 --> 00:35:53.880]   it would produce four tot size,
[00:35:53.880 --> 00:35:59.600]   64 by one by 26 for each filter.
[00:35:59.600 --> 00:36:01.880]   Will be stacked and make a tot size,
[00:36:01.880 --> 00:36:05.720]   this size is reduced from 28 to 26
[00:36:05.720 --> 00:36:07.160]   because of applying the filter.
[00:36:07.160 --> 00:36:08.240]   - That's perfect.
[00:36:08.240 --> 00:36:13.160]   But let's just quickly wait for Kevin and Vinayak to finish.
[00:36:13.160 --> 00:36:15.440]   I really wanna see what they're looking at as well.
[00:36:15.440 --> 00:36:18.000]   So Kevin says, I believe the reason is
[00:36:18.000 --> 00:36:20.240]   because our kernels are three by three size.
[00:36:20.240 --> 00:36:22.440]   So when we compute each location,
[00:36:22.440 --> 00:36:24.800]   we lose two pixels in each direction
[00:36:24.800 --> 00:36:28.080]   because it won't be able to strive past 28.
[00:36:28.080 --> 00:36:29.000]   That's correct.
[00:36:29.000 --> 00:36:31.040]   I'm showing it on nine wide.
[00:36:31.040 --> 00:36:32.680]   So if you have one, two, three, one, two.
[00:36:32.680 --> 00:36:33.520]   Yeah, that's correct.
[00:36:33.520 --> 00:36:35.440]   That's a really good explanation.
[00:36:35.440 --> 00:36:37.520]   So that's why we lose the two pixels.
[00:36:37.520 --> 00:36:41.000]   That's correct.
[00:36:41.000 --> 00:36:44.920]   I'm so happy to see each one of you got it.
[00:36:44.920 --> 00:36:48.240]   So I guess then what I'm explaining,
[00:36:48.240 --> 00:36:50.920]   this is, I guess, also good feedback
[00:36:50.920 --> 00:36:53.200]   that what I'm explaining is making sense.
[00:36:53.200 --> 00:36:56.440]   So I will just still try and summarize.
[00:36:56.440 --> 00:36:58.000]   I know all of you have got it,
[00:36:58.000 --> 00:37:02.920]   but remember in our input batch, we had 64 images, right?
[00:37:02.920 --> 00:37:05.480]   And each image looks something like this.
[00:37:05.480 --> 00:37:06.920]   So you have 28 by 28,
[00:37:06.920 --> 00:37:09.960]   and then your 64th image is also 28 by 28.
[00:37:09.960 --> 00:37:12.400]   So you have 28, so on.
[00:37:12.400 --> 00:37:14.520]   So I'm not gonna draw the whole 28 lines,
[00:37:14.520 --> 00:37:17.440]   but that's just how the image looks like.
[00:37:17.440 --> 00:37:21.160]   And then what happens is you're telling PyTorch
[00:37:21.160 --> 00:37:23.200]   that I have four kernels.
[00:37:23.200 --> 00:37:25.840]   So one, two, three, and four,
[00:37:25.840 --> 00:37:27.840]   and they're all single channel.
[00:37:27.840 --> 00:37:29.280]   So all you're saying is,
[00:37:29.280 --> 00:37:32.240]   let's take the example of one image, right?
[00:37:32.240 --> 00:37:36.080]   What's gonna happen is like when you apply this one kernel
[00:37:36.080 --> 00:37:41.080]   to this image, your output is going to be of shape 26 by 26.
[00:37:41.080 --> 00:37:43.360]   Why?
[00:37:43.360 --> 00:37:48.360]   Well, this is just exactly as I explained over here.
[00:37:48.360 --> 00:37:52.120]   So when the kernel of three by three was being applied,
[00:37:52.120 --> 00:37:56.200]   it first got applied here, then in this position,
[00:37:56.200 --> 00:37:58.880]   then in this position, and then finally here.
[00:37:58.880 --> 00:38:01.280]   So when you had your output of four by four,
