
[00:00:00.000 --> 00:00:21.380]   Hello, are you all awake and you just have your coffee, that's great, welcome to my workshop
[00:36:41.580 --> 00:36:46.580]   They could say, like, well, I don't know about this library, so explain it a little bit more when it goes about this thing.
[00:36:46.580 --> 00:36:47.580]   I like bullet points.
[00:36:47.580 --> 00:36:53.580]   You know, my background is this and this and this, but currently I'm busy with this other part, so only tell me about parts that overlap.
[00:36:53.580 --> 00:37:02.580]   You can, that's just, like, a TXT you can have on your GitHub, right, or somewhere, but every time the Slack bot, for example,
[00:37:02.580 --> 00:37:06.580]   is going to create the GitHub issues assigned to you, it's going to put this thing into the context,
[00:37:06.580 --> 00:37:11.580]   and then you will have, like, tailored documents that explain how to do something.
[00:37:11.580 --> 00:37:17.580]   So, you know, if you have the intern, and you know the intern doesn't really know much about APIs or, like, HTTP,
[00:37:17.580 --> 00:37:23.580]   you can just put in their prompt, like, explain HTTP, as it relates to this ticket,
[00:37:23.580 --> 00:37:28.580]   or explain our internal infrastructure deployment script.
[00:37:28.580 --> 00:37:33.580]   Onboarding, super easy, just have, like, an onboarding TXT that's ready to go,
[00:37:33.580 --> 00:37:39.580]   explaining, like, the architecture of your code base, just put that into the new developers' GitHub issues,
[00:37:39.580 --> 00:37:45.580]   and make them match, right.
[00:37:45.580 --> 00:37:48.580]   Easy, it's just language.
[00:37:48.580 --> 00:37:52.580]   So, for the sake of time, you can go through some of these.
[00:37:52.580 --> 00:37:56.580]   Maybe I'll show, one that's really funny is, like, do you want to write API clients?
[00:37:56.580 --> 00:37:58.580]   I just don't even look at the docs anymore.
[00:37:58.580 --> 00:38:01.580]   It's like, I record, say, I'm in a browser, and I click on things,
[00:38:01.580 --> 00:38:07.580]   and I want to write, like, an API for the cloud UI, which they don't want me to do, but they have.
[00:38:07.580 --> 00:38:11.580]   I just record the entire session, clean it up a little bit, and then just say, like,
[00:38:11.580 --> 00:38:17.580]   well, write the documentation for this mass of HTTP requests that I have.
[00:38:17.580 --> 00:38:20.580]   And once I have the API documentation, I'm just like, well, write me, like, a proxy.
[00:38:20.580 --> 00:38:30.580]   And then I have a proxy for cloud AI's newest thing.
[00:38:30.580 --> 00:38:34.580]   And let me see.
[00:38:34.580 --> 00:38:36.580]   This one's great for learning.
[00:38:36.580 --> 00:38:37.580]   You have a topic you want to learn.
[00:38:37.580 --> 00:38:38.580]   Get the search result.
[00:38:38.580 --> 00:38:40.580]   Existing knowledge that you have.
[00:38:40.580 --> 00:38:42.580]   Maybe some code base or preferences that you want.
[00:38:42.580 --> 00:38:45.580]   Create a wiki entry for your personal knowledge base.
[00:38:45.580 --> 00:38:48.580]   So you want to learn about advanced TypeScript, Lambda things.
[00:38:48.580 --> 00:38:50.580]   Just look for it.
[00:38:50.580 --> 00:38:53.580]   Take your existing knowledge, saying, like, my background's in Ruby.
[00:38:53.580 --> 00:38:56.580]   Give me some exercises and project ideas to build.
[00:38:56.580 --> 00:39:03.580]   Maybe use the guidelines for my company to format these exercises so I learn two things at once.
[00:39:03.580 --> 00:39:04.580]   Create a prototype.
[00:39:04.580 --> 00:39:09.580]   And then maybe once you have a prototype, you just, like, paste your actual API and select, well, just make it real, right?
[00:39:09.580 --> 00:39:11.580]   And you get the actual implementation.
[00:39:11.580 --> 00:39:17.580]   But those are all, if I just said, like, you know, solve the problem and teach me how to do this, it's not going to work.
[00:39:17.580 --> 00:39:23.580]   But if you decompose it to these little steps at each point, not only do you get value of doing it because you see the output,
[00:39:23.580 --> 00:39:26.580]   but you also get, like, artifacts you can share, for example, right?
[00:39:26.580 --> 00:39:31.580]   Like, once you explain how Lambda TypeScript stuff works and your colleague also wants to learn it,
[00:39:31.580 --> 00:39:34.580]   you just give them the exercise of the transcript.
[00:39:34.580 --> 00:39:36.580]   You can help them.
[00:39:36.580 --> 00:39:42.580]   Maybe you put their personal prompt into it and their background's, like, in Lisp and then it will just update it.
[00:39:42.580 --> 00:39:43.580]   All right.
[00:39:43.580 --> 00:39:46.580]   So you can take some of these graphs in the transcript.
[00:39:46.580 --> 00:39:53.580]   I'm going to give you, like, ten minutes really sharp so that I get to the mind-melting stuff.
[00:39:53.580 --> 00:39:58.580]   There is a section about DSLs.
[00:39:58.580 --> 00:40:01.580]   If you know about DSLs, if you don't, you really should look it up.
[00:40:01.580 --> 00:40:06.580]   LMs are great at creating a language, so you can actually create the target step itself.
[00:40:06.580 --> 00:40:09.580]   You can say, like, well, I want to write reports, just, like, create a language to write reports.
[00:40:09.580 --> 00:40:15.580]   And then you can target that and, you know, implement the interpreter for that language.
[00:40:15.580 --> 00:40:24.580]   So I really -- there is an example set of prompts in here about DSLs where I create, like, a text adventure game.
[00:40:24.580 --> 00:40:28.580]   I did that, you know, this morning at breakfast.
[00:40:28.580 --> 00:40:29.580]   Try those out.
[00:40:29.580 --> 00:40:32.580]   It's, like, on page -- page no number.
[00:40:32.580 --> 00:40:33.580]   But you'll find it.
[00:40:33.580 --> 00:40:40.580]   Creating adventure games, three lines of prompt, and I create, like, an alien-inspired adventure game with, like, a full source code and stuff.
[00:40:40.580 --> 00:40:43.580]   So, yeah, try stuff like that.
[00:40:43.580 --> 00:40:56.580]   A good target is also self-contained HTML plus JS plus whatever your favorite library is.
[00:40:56.580 --> 00:41:20.580]   There's a couple over here, and then if you have neighbors, I recommend just working with your neighbor as well.
[00:41:20.580 --> 00:41:23.580]   Like, sharing the handout and communicating.
[00:41:23.580 --> 00:41:32.580]   It's, like, yeah, I think that was the last handout.
[00:41:32.580 --> 00:41:34.580]   It's also as a PDF on the repo.
[00:41:34.580 --> 00:41:41.580]   If you want to see the repo again, I guess it's in the Slack channel.
[00:41:41.580 --> 00:41:55.580]   So, the Slack channel is LLM workshop working programmer.
[00:41:55.580 --> 00:41:57.580]   It's a great way to see the chat.
[00:41:57.580 --> 00:41:58.580]   It's a great way to see the chat.
[00:41:58.580 --> 00:41:59.580]   It's a great way to see the chat.
[00:41:59.580 --> 00:42:00.580]   It's a great way to see the chat.
[00:42:00.580 --> 00:42:01.580]   It's a great way to see the chat.
[00:42:01.580 --> 00:42:02.580]   It's a great way to see the chat.
[00:42:02.580 --> 00:42:03.580]   It's a great way to see the chat.
[00:42:03.580 --> 00:42:04.580]   It's a great way to see the chat.
[00:42:04.580 --> 00:42:05.580]   It's a great way to see the chat.
[00:42:05.580 --> 00:42:06.580]   It's a great way to see the chat.
[00:42:06.580 --> 00:42:07.580]   It's a great way to see the chat.
[00:42:07.580 --> 00:42:08.580]   It's a great way to see the chat.
[00:42:08.580 --> 00:42:09.580]   It's a great way to see the chat.
[00:42:09.580 --> 00:42:10.580]   It's a great way to see the chat.
[00:42:10.580 --> 00:42:11.580]   It's a great way to see the chat.
[00:42:11.580 --> 00:42:12.580]   It's a great way to see the chat.
[00:42:12.580 --> 00:42:13.580]   It's a great way to see the chat.
[00:42:13.580 --> 00:42:14.580]   It's a great way to see the chat.
[00:42:14.580 --> 00:42:15.580]   It's a great way to see the chat.
[00:42:15.580 --> 00:42:16.580]   It's a great way to see the chat.
[00:42:16.580 --> 00:42:17.580]   It's a great way to see the chat.
[00:42:17.580 --> 00:42:18.580]   It's a great way to see the chat.
[00:42:18.580 --> 00:42:19.580]   It's a great way to see the chat.
[00:42:19.580 --> 00:42:20.580]   It's a great way to see the chat.
[00:42:20.580 --> 00:42:21.580]   It's a great way to see the chat.
[00:42:21.580 --> 00:42:22.580]   It's a great way to see the chat.
[00:42:22.580 --> 00:42:23.580]   It's a great way to see the chat.
[00:42:23.580 --> 00:42:24.580]   It's a great way to see the chat.
[00:42:24.580 --> 00:42:25.580]   It's a great way to see the chat.
[00:42:25.580 --> 00:42:26.580]   It's a great way to see the chat.
[00:42:26.580 --> 00:42:27.580]   It's a great way to see the chat.
[00:42:27.580 --> 00:42:28.580]   It's a great way to see the chat.
[00:42:28.580 --> 00:42:29.580]   It's a great way to see the chat.
[00:42:29.580 --> 00:42:30.580]   It's a great way to see the chat.
[00:42:30.580 --> 00:42:31.580]   It's a great way to see the chat.
[00:42:31.580 --> 00:42:32.580]   It's a great way to see the chat.
[00:42:32.580 --> 00:42:34.580]   It's a great way to see the chat.
[00:42:34.580 --> 00:42:36.580]   It's a great way to see the chat.
[00:42:36.580 --> 00:42:37.580]   It's a great way to see the chat.
[00:42:37.580 --> 00:42:38.580]   It's a great way to see the chat.
[00:42:38.580 --> 00:42:39.580]   It's a great way to see the chat.
[00:42:39.580 --> 00:42:40.580]   It's a great way to see the chat.
[00:42:40.580 --> 00:42:41.580]   It's a great way to see the chat.
[00:42:41.580 --> 00:42:42.580]   It's a great way to see the chat.
[00:42:42.580 --> 00:42:43.580]   It's a great way to see the chat.
[00:42:43.580 --> 00:42:44.580]   It's a great way to see the chat.
[00:42:44.580 --> 00:42:45.580]   It's a great way to see the chat.
[00:42:45.580 --> 00:42:46.580]   It's a great way to see the chat.
[00:42:46.580 --> 00:42:47.580]   It's a great way to see the chat.
[00:42:47.580 --> 00:42:48.580]   It's a great way to see the chat.
[00:42:48.580 --> 00:42:49.580]   It's a great way to see the chat.
[00:42:49.580 --> 00:42:50.580]   It's a great way to see the chat.
[00:42:50.580 --> 00:42:51.580]   It's a great way to see the chat.
[00:42:51.580 --> 00:42:52.580]   It's a great way to see the chat.
[00:42:52.580 --> 00:43:12.580]   It's a great way to see the chat.
[00:43:12.580 --> 00:43:15.580]   It's a great way to see the chat.
[00:43:15.580 --> 00:43:17.580]   It's a great way to see the chat.
[00:43:17.580 --> 00:43:20.580]   It's a great way to see the chat.
[00:43:20.580 --> 00:43:21.580]   It's a great way to see the chat.
[00:43:21.580 --> 00:43:22.580]   It's a great way to see the chat.
[00:43:22.580 --> 00:43:23.580]   It's a great way to see the chat.
[00:43:23.580 --> 00:43:24.580]   It's a great way to see the chat.
[00:43:24.580 --> 00:43:25.580]   It's a great way to see the chat.
[00:43:25.580 --> 00:43:26.580]   It's a great way to see the chat.
[00:43:26.580 --> 00:43:27.580]   It's a great way to see the chat.
[00:43:27.580 --> 00:43:28.580]   It's a great way to see the chat.
[00:43:28.580 --> 00:43:29.580]   It's a great way to see the chat.
[00:43:29.580 --> 00:43:30.580]   It's a great way to see the chat.
[00:43:30.580 --> 00:43:31.580]   It's a great way to see the chat.
[00:43:31.580 --> 00:43:32.580]   It's a great way to see the chat.
[00:43:32.580 --> 00:43:33.580]   It's a great way to see the chat.
[00:43:33.580 --> 00:43:34.580]   It's a great way to see the chat.
[00:43:34.580 --> 00:43:35.580]   It's a great way to see the chat.
[00:43:35.580 --> 00:43:36.580]   It's a great way to see the chat.
[00:43:36.580 --> 00:43:37.580]   It's a great way to see the chat.
[00:43:37.580 --> 00:43:39.580]   It's a great way to see the chat.
[00:43:39.580 --> 00:43:40.580]   It's a great way to see the chat.
[00:43:40.580 --> 00:43:41.580]   It's a great way to see the chat.
[00:43:41.580 --> 00:43:42.580]   It's a great way to see the chat.
[00:43:42.580 --> 00:43:43.580]   It's a great way to see the chat.
[00:43:43.580 --> 00:43:44.580]   It's a great way to see the chat.
[00:43:44.580 --> 00:44:12.580]   I'm going to accelerate a little bit, like four minutes.
[00:44:12.580 --> 00:44:20.580]   You should be able to write like five programs in that time.
[00:44:20.580 --> 00:44:21.580]   I'm serious, right?
[00:44:21.580 --> 00:44:25.580]   Like try out my prompts and just replace create a YAML DSL for the program you want to write.
[00:44:25.580 --> 00:44:26.280]   you want to write.
[00:44:26.280 --> 00:44:56.260]   Thank you.
[00:44:56.260 --> 00:45:08.920]   It's called workshop LLM working programmer.
[00:45:08.920 --> 00:45:14.600]   If you're in Slack, are you in the AI engineering Slack?
[00:45:14.600 --> 00:45:16.940]   Yeah, just look for workshop and then you should find it.
[00:45:16.940 --> 00:45:19.040]   Yeah, it's a channel.
[00:45:19.040 --> 00:45:23.280]   Yeah, actually, let me put that back.
[00:45:23.280 --> 00:45:24.520]   Here's the Slack.
[00:45:24.520 --> 00:45:25.620]   Here's the GitHub repo.
[00:45:25.620 --> 00:45:25.720]   Hello?
[00:45:25.720 --> 00:45:26.720]   Thank you.
[00:45:26.720 --> 00:45:26.720]   Thank you.
[00:45:26.720 --> 00:45:26.720]   Thank you.
[00:45:26.720 --> 00:45:26.720]   Thank you.
[00:45:27.720 --> 00:45:27.720]   Thank you.
[00:45:27.720 --> 00:45:27.720]   Thank you.
[00:45:27.720 --> 00:45:27.720]   Thank you.
[00:45:27.720 --> 00:45:28.720]   Thank you.
[00:45:28.720 --> 00:45:29.720]   Thank you.
[00:45:29.720 --> 00:45:30.720]   Thank you.
[00:45:30.720 --> 00:45:31.720]   Thank you.
[00:45:31.720 --> 00:45:31.720]   Thank you.
[00:45:31.720 --> 00:45:32.720]   Thank you.
[00:45:32.720 --> 00:45:33.720]   Thank you.
[00:45:33.720 --> 00:45:34.720]   Thank you.
[00:45:34.720 --> 00:45:35.720]   Thank you.
[00:45:35.720 --> 00:45:35.720]   Thank you.
[00:45:35.720 --> 00:45:35.720]   Thank you.
[00:45:35.720 --> 00:45:35.720]   Thank you.
[00:45:35.720 --> 00:45:36.720]   Thank you.
[00:45:36.720 --> 00:45:36.720]   Thank you.
[00:45:36.720 --> 00:45:37.720]   Thank you.
[00:45:37.720 --> 00:45:38.720]   Thank you.
[00:45:38.720 --> 00:45:38.720]   Thank you.
[00:45:38.720 --> 00:45:38.720]   Thank you.
[00:45:38.720 --> 00:45:38.720]   Thank you.
[00:45:38.720 --> 00:45:39.720]   Thank you.
[00:45:39.720 --> 00:45:40.720]   Thank you.
[00:45:40.720 --> 00:45:41.720]   Thank you.
[00:45:41.720 --> 00:45:41.720]   Thank you.
[00:45:41.720 --> 00:45:41.720]   Thank you.
[00:45:41.720 --> 00:45:42.720]   Thank you.
[00:45:42.720 --> 00:45:43.720]   Thank you.
[00:45:43.720 --> 00:45:43.720]   Thank you.
[00:45:43.720 --> 00:45:44.720]   Thank you.
[00:45:44.720 --> 00:45:45.720]   Thank you.
[00:45:45.720 --> 00:45:45.720]   Thank you.
[00:45:45.720 --> 00:45:46.720]   Thank you.
[00:45:46.720 --> 00:45:46.720]   Thank you.
[00:45:46.720 --> 00:45:47.720]   Thank you.
[00:45:47.720 --> 00:45:48.720]   Thank you.
[00:45:48.720 --> 00:45:48.720]   Thank you.
[00:45:48.720 --> 00:45:49.720]   Thank you.
[00:45:49.720 --> 00:45:50.720]   Thank you.
[00:45:50.720 --> 00:45:51.720]   Thank you.
[00:45:51.720 --> 00:45:52.720]   Thank you.
[00:45:52.720 --> 00:45:53.720]   Thank you.
[00:45:53.720 --> 00:45:54.720]   Thank you.
[00:45:54.720 --> 00:45:55.720]   Thank you.
[00:45:55.720 --> 00:45:56.720]   Thank you.
[00:45:56.720 --> 00:45:57.720]   Thank you.
[00:45:57.720 --> 00:45:58.720]   Thank you.
[00:45:58.720 --> 00:45:59.720]   Thank you.
[00:45:59.720 --> 00:46:00.720]   Thank you.
[00:46:00.720 --> 00:46:01.720]   Thank you.
[00:46:01.720 --> 00:46:02.720]   Thank you.
[00:46:02.720 --> 00:46:03.720]   Thank you.
[00:46:03.720 --> 00:46:04.720]   Thank you.
[00:46:04.720 --> 00:46:05.720]   Thank you.
[00:46:05.720 --> 00:46:06.720]   Thank you.
[00:46:06.720 --> 00:46:07.720]   Thank you.
[00:46:07.720 --> 00:46:08.720]   Thank you.
[00:46:08.720 --> 00:46:09.720]   Thank you.
[00:46:09.720 --> 00:46:10.720]   Thank you.
[00:46:10.720 --> 00:46:11.720]   Thank you.
[00:46:11.720 --> 00:46:12.720]   Thank you.
[00:46:12.720 --> 00:46:13.720]   Thank you.
[00:46:13.720 --> 00:46:14.720]   Thank you.
[00:46:14.720 --> 00:46:15.720]   Thank you.
[00:46:15.720 --> 00:46:16.720]   Thank you.
[00:46:16.720 --> 00:46:17.720]   Thank you.
[00:46:17.720 --> 00:46:18.720]   Thank you.
[00:46:18.720 --> 00:46:19.720]   Thank you.
[00:46:19.720 --> 00:46:20.720]   Thank you.
[00:46:20.720 --> 00:46:21.720]   I'm sorry.
[00:46:21.720 --> 00:46:22.720]   Thank you.
[00:46:22.720 --> 00:46:23.720]   Thank you.
[00:46:23.720 --> 00:46:24.720]   Thank you.
[00:46:24.720 --> 00:46:25.720]   Thank you.
[00:46:25.720 --> 00:46:26.720]   Thank you.
[00:46:26.720 --> 00:46:27.720]   Thank you.
[00:46:27.720 --> 00:46:28.720]   Thank you.
[00:46:28.720 --> 00:46:29.720]   Thank you.
[00:46:29.720 --> 00:46:30.720]   Thank you.
[00:46:30.720 --> 00:46:31.720]   Thank you.
[00:46:31.720 --> 00:46:32.720]   Thank you.
[00:46:32.720 --> 00:46:33.720]   Thank you.
[00:46:33.720 --> 00:46:34.720]   Thank you.
[00:46:34.720 --> 00:46:35.720]   Thank you.
[00:46:35.720 --> 00:46:36.720]   Thank you.
[00:46:36.720 --> 00:46:36.720]   Thank you.
[00:46:36.720 --> 00:46:37.720]   Thank you.
[00:46:37.720 --> 00:46:38.720]   Thank you.
[00:46:38.720 --> 00:46:39.720]   Thank you.
[00:46:39.720 --> 00:46:40.720]   Thank you.
[00:46:40.720 --> 00:46:40.720]   Thank you.
[00:46:40.720 --> 00:46:41.720]   Thank you.
[00:46:41.720 --> 00:46:41.720]   Thank you.
[00:46:41.720 --> 00:46:42.720]   Thank you.
[00:46:42.720 --> 00:46:43.720]   Thank you.
[00:46:43.720 --> 00:46:44.720]   Thank you.
[00:46:44.720 --> 00:46:45.720]   Thank you.
[00:46:45.720 --> 00:46:45.720]   Thank you.
[00:46:45.720 --> 00:46:46.720]   Thank you.
[00:46:46.720 --> 00:46:46.720]   Thank you.
[00:46:46.720 --> 00:46:47.720]   Thank you.
[00:46:47.720 --> 00:46:48.720]   Thank you.
[00:46:48.720 --> 00:46:48.720]   Thank you.
[00:46:48.720 --> 00:46:49.720]   Thank you.
[00:46:49.720 --> 00:46:50.720]   Thank you.
[00:46:50.720 --> 00:46:50.720]   Thank you.
[00:46:50.720 --> 00:46:51.720]   Thank you.
[00:46:51.720 --> 00:46:52.720]   Thank you.
[00:46:52.720 --> 00:46:53.720]   Thank you.
[00:46:53.720 --> 00:46:54.720]   Thank you.
[00:46:54.720 --> 00:46:54.720]   Thank you.
[00:46:54.720 --> 00:46:55.720]   Thank you.
[00:46:55.720 --> 00:46:56.720]   Thank you.
[00:46:56.720 --> 00:46:56.720]   Thank you.
[00:46:56.720 --> 00:46:57.720]   Thank you.
[00:46:57.720 --> 00:46:58.720]   Thank you.
[00:46:58.720 --> 00:46:58.720]   Thank you.
[00:46:58.720 --> 00:46:59.720]   Thank you.
[00:46:59.720 --> 00:47:00.720]   Thank you.
[00:47:00.720 --> 00:47:00.720]   Thank you.
[00:47:00.720 --> 00:47:01.720]   Thank you.
[00:47:01.720 --> 00:47:02.720]   Thank you.
[00:47:02.720 --> 00:47:03.720]   Thank you.
[00:47:03.720 --> 00:47:04.720]   Thank you.
[00:47:04.720 --> 00:47:05.720]   Thank you.
[00:47:05.720 --> 00:47:06.720]   Thank you.
[00:47:06.720 --> 00:47:06.720]   Thank you.
[00:47:06.720 --> 00:47:07.720]   Thank you.
[00:47:07.720 --> 00:47:09.720]   Thank you.
[00:47:09.720 --> 00:47:10.720]   Thank you.
[00:47:10.720 --> 00:47:11.720]   Thank you.
[00:47:11.720 --> 00:47:13.720]   Thank you.
[00:47:13.720 --> 00:47:14.720]   Thank you.
[00:47:14.720 --> 00:47:15.720]   Thank you.
[00:47:15.720 --> 00:47:16.720]   Thank you.
[00:47:16.720 --> 00:47:17.720]   Thank you.
[00:47:17.720 --> 00:47:17.720]   Thank you.
[00:47:17.720 --> 00:47:18.720]   Thank you.
[00:47:18.720 --> 00:47:19.720]   Thank you.
[00:47:19.720 --> 00:47:20.720]   Thank you.
[00:47:20.720 --> 00:47:21.720]   Thank you.
[00:47:21.720 --> 00:47:22.720]   Thank you.
[00:47:22.720 --> 00:47:23.720]   Thank you.
[00:47:23.720 --> 00:47:24.720]   Thank you.
[00:47:24.720 --> 00:47:25.720]   Thank you.
[00:47:25.720 --> 00:47:26.720]   Thank you.
[00:47:26.720 --> 00:47:27.720]   Thank you.
[00:47:27.720 --> 00:47:28.720]   Thank you.
[00:47:28.720 --> 00:47:29.720]   Thank you.
[00:47:29.720 --> 00:47:30.720]   Thank you.
[00:47:30.720 --> 00:47:30.720]   Thank you.
[00:47:30.720 --> 00:47:31.720]   Thank you.
[00:47:31.720 --> 00:47:32.720]   Thank you.
[00:47:32.720 --> 00:47:33.720]   Thank you.
[00:47:33.720 --> 00:47:34.720]   Thank you.
[00:47:34.720 --> 00:47:35.720]   Thank you.
[00:47:35.720 --> 00:47:36.720]   Thank you.
[00:47:36.720 --> 00:47:37.720]   Thank you.
[00:47:37.720 --> 00:47:38.720]   Thank you.
[00:47:38.720 --> 00:47:39.720]   Thank you.
[00:47:39.720 --> 00:47:40.720]   Thank you.
[00:47:40.720 --> 00:47:41.720]   Thank you.
[00:47:41.720 --> 00:47:42.720]   Thank you.
[00:47:42.720 --> 00:47:43.720]   Thank you.
[00:47:43.720 --> 00:47:44.720]   Thank you.
[00:47:44.720 --> 00:47:44.720]   Thank you.
[00:47:44.720 --> 00:47:45.720]   Thank you.
[00:47:45.720 --> 00:47:46.720]   Thank you.
[00:47:46.720 --> 00:47:47.720]   Thank you.
[00:47:47.720 --> 00:47:48.720]   Thank you.
[00:47:48.720 --> 00:47:49.720]   Thank you.
[00:47:49.720 --> 00:47:49.720]   Thank you.
[00:47:49.720 --> 00:47:50.720]   Thank you.
[00:47:50.720 --> 00:47:51.720]   Thank you.
[00:47:51.720 --> 00:47:52.720]   Thank you.
[00:47:52.720 --> 00:47:53.720]   Thank you.
[00:47:53.720 --> 00:47:54.720]   Thank you.
[00:47:54.720 --> 00:47:55.720]   Thank you.
[00:47:55.720 --> 00:47:56.720]   Thank you.
[00:47:56.720 --> 00:47:57.720]   Thank you.
[00:47:57.720 --> 00:47:58.720]   Thank you.
[00:47:58.720 --> 00:47:59.720]   Thank you.
[00:47:59.720 --> 00:48:00.720]   Thank you.
[00:48:00.720 --> 00:48:00.720]   Thank you.
[00:48:00.720 --> 00:48:01.720]   Thank you.
[00:48:01.720 --> 00:48:01.720]   Thank you.
[00:48:01.720 --> 00:48:02.720]   Thank you.
[00:48:02.720 --> 00:48:03.720]   Thank you.
[00:48:03.720 --> 00:48:04.720]   Thank you.
[00:48:04.720 --> 00:48:05.720]   Thank you.
[00:48:05.720 --> 00:48:07.720]   Thank you.
[00:48:07.720 --> 00:48:08.720]   Thank you.
[00:48:08.720 --> 00:48:09.720]   Thank you.
[00:48:09.720 --> 00:48:10.720]   Thank you.
[00:48:10.720 --> 00:48:11.720]   Thank you.
[00:48:11.720 --> 00:48:12.720]   Thank you.
[00:48:12.720 --> 00:48:13.720]   Thank you.
[00:48:13.720 --> 00:48:14.720]   Thank you.
[00:48:14.720 --> 00:48:15.720]   Thank you.
[00:48:15.720 --> 00:48:16.720]   Thank you.
[00:48:16.720 --> 00:48:17.720]   Thank you.
[00:48:17.720 --> 00:48:18.720]   Thank you.
[00:48:18.720 --> 00:48:19.720]   Thank you.
[00:48:19.720 --> 00:48:20.720]   Thank you.
[00:48:20.720 --> 00:48:21.720]   Thank you.
[00:48:21.720 --> 00:48:22.720]   Thank you.
[00:48:22.720 --> 00:48:23.720]   Thank you.
[00:48:23.720 --> 00:48:24.720]   Thank you.
[00:48:24.720 --> 00:48:25.720]   Thank you.
[00:48:25.720 --> 00:48:26.720]   Thank you.
[00:48:26.720 --> 00:48:27.720]   Thank you.
[00:48:27.720 --> 00:48:28.720]   Thank you.
[00:48:53.720 --> 00:48:54.720]   Thank you.
[00:48:54.720 --> 00:48:58.840]   I'm moving on because I've got some really important stuff to show you.
[00:48:58.840 --> 00:49:05.540]   And one is, so Josh, no, Brenton just asked, like, have you found LMs able to work with PCAP
[00:49:05.540 --> 00:49:06.540]   files?
[00:49:06.540 --> 00:49:11.720]   I'm like, not really, but like create a program that outputs the PCAP format in a format that,
[00:49:11.720 --> 00:49:15.040]   you know, in a language type that the model can understand.
[00:49:15.040 --> 00:49:19.780]   So I said, write a YAML DSL to represent interesting DNS traffic out of the PCAP file.
[00:49:19.780 --> 00:49:21.280]   That looks pretty useful, right?
[00:49:21.280 --> 00:49:25.960]   Like, this is language that the LLM can do well with because it's called DNS traffic, destination
[00:49:25.960 --> 00:49:26.960]   IP.
[00:49:26.960 --> 00:49:32.860]   It's not called like byte 0x5 or like DNS underscore, I don't know, whatever.
[00:49:32.860 --> 00:49:37.320]   And then I'm just like, write a Python file that takes a PCAP file and outputs that YAML.
[00:49:37.320 --> 00:49:41.780]   And now I have a script that I can give every PCAP file, outputs that into something that DLLM
[00:49:41.780 --> 00:49:47.380]   can use, and I can put it into my LLM agent loop or whatever.
[00:49:47.380 --> 00:49:50.060]   That's what I mean with 10X engineering, right?
[00:49:50.060 --> 00:49:58.960]   Like, in the three minutes here, I wrote another one because, so, what Josh was asking, right,
[00:49:58.960 --> 00:50:02.180]   is like, oh, when I put in code base in my thing, like, what does that mean?
[00:50:02.180 --> 00:50:04.320]   It's like huge.
[00:50:04.320 --> 00:50:08.060]   But usually when you interact with a code base as a human, you either interact with a small,
[00:50:08.060 --> 00:50:12.080]   certain part, you read some docs, you maybe look at the function APIs.
[00:50:12.080 --> 00:50:16.820]   So just create a YAML DSL to, like, grab your code base for interesting stuff, right?
[00:50:16.820 --> 00:50:22.420]   So maybe I want to get all the functions in Python files as well as the classes.
[00:50:22.420 --> 00:50:27.940]   So I said, like, invent a YAML DSL to create a program that finds functions and classes in
[00:50:27.940 --> 00:50:29.960]   my code base.
[00:50:29.960 --> 00:50:30.960]   As well as the doc string.
[00:50:30.960 --> 00:50:31.960]   So it outputs this.
[00:50:31.960 --> 00:50:32.960]   I was like, yeah, that's a cool idea, right?
[00:50:32.960 --> 00:50:38.220]   If I don't like the idea, just regenerate until I have a language that matches what I want.
[00:50:38.220 --> 00:50:41.660]   Here it added, like, recursion, which I like.
[00:50:41.660 --> 00:50:44.400]   And I was like, well, I also want, like, the markdown files.
[00:50:44.400 --> 00:50:47.940]   So I'd, like, made up, you know, two things for the markdown.
[00:50:47.940 --> 00:50:50.520]   And then my third prompt is just, like, implement it, please.
[00:50:50.520 --> 00:50:54.880]   And then now I have a Python file with a YAML that I can tell how to look for stuff in
[00:50:54.880 --> 00:50:55.940]   my Python code base.
[00:50:55.940 --> 00:51:00.060]   And then, well, now I can run it on my massive code base.
[00:51:00.060 --> 00:51:03.800]   And I just have the function titles, the doc strings, the markdown document titles.
[00:51:03.800 --> 00:51:07.900]   And that's a good context to give to my DSL, right?
[00:51:07.900 --> 00:51:10.200]   Like, took me 30 seconds.
[00:51:10.200 --> 00:51:11.840]   Might maybe not work too much, right?
[00:51:11.840 --> 00:51:16.240]   Like, in real life, I would say, like, this is an afternoon project, maybe, to make it really
[00:51:16.240 --> 00:51:23.740]   nice with the readme, with unit test, with, like, examples, and install package, whatever.
[00:51:23.740 --> 00:51:25.280]   There is a graph on how to do this.
[00:51:25.280 --> 00:51:29.100]   Like, this is maybe one of my main techniques, is, like, writing these little fragments that
[00:51:29.100 --> 00:51:32.180]   I know are good context to do a certain task.
[00:51:32.180 --> 00:51:35.960]   So some of them could be, like, oh, write a new widget to do something.
[00:51:35.960 --> 00:51:41.900]   And then I'll actually add, like, grep for these widget names, maybe add the documentation.
[00:51:41.900 --> 00:51:45.120]   Out of the Git log of last week, I'm going to create a how-to, and then that's going to be
[00:51:45.120 --> 00:51:48.200]   the how-to that I'm used for prompting.
[00:51:48.200 --> 00:51:51.640]   And now I have, like, a little script that I can, every time I want to write a new widget,
[00:51:51.640 --> 00:51:57.300]   now I just paste the result of that script in, so that's the life status of the codebase.
