
[00:00:00.040 --> 00:00:09.600]   괜찮아
[00:29:06.460 --> 00:29:06.460]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:29:06.460 --> 00:29:06.460]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:29:06.460 --> 00:29:06.460]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:29:06.460 --> 00:29:06.460]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:29:06.460 --> 00:29:06.460]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:29:06.460 --> 00:29:06.460]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:29:06.460 --> 00:29:06.460]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:29:06.460 --> 00:29:36.480]  ,
[00:29:36.480 --> 00:29:36.480]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:29:36.480 --> 00:29:36.480]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:29:36.480 --> 00:29:36.480]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:29:36.480 --> 00:29:36.480]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:29:36.480 --> 00:29:36.480]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:29:36.480 --> 00:29:36.480]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:29:36.500 --> 00:30:06.500]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:30:06.500 --> 00:30:06.500]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:30:06.500 --> 00:30:06.500]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:30:06.500 --> 00:30:06.500]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:30:06.500 --> 00:30:06.500]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:30:06.500 --> 00:30:06.500]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:30:06.500 --> 00:30:06.500]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:30:06.500 --> 00:30:06.500]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:30:06.540 --> 00:30:36.520]  ,
[00:30:36.520 --> 00:30:36.520]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:30:36.520 --> 00:30:36.520]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:30:36.520 --> 00:30:36.520]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:30:36.520 --> 00:30:36.520]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:30:36.520 --> 00:30:36.520]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:30:36.520 --> 00:30:36.520]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:30:36.540 --> 00:31:06.540]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:31:06.540 --> 00:31:06.540]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:31:06.540 --> 00:31:06.540]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:31:06.540 --> 00:31:06.540]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:31:06.540 --> 00:31:06.540]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:31:06.540 --> 00:31:06.540]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:31:06.540 --> 00:31:06.540]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:31:06.540 --> 00:31:06.540]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:31:06.560 --> 00:31:36.560]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:31:36.560 --> 00:31:36.560]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:31:36.560 --> 00:31:36.560]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:31:36.560 --> 00:31:36.560]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:31:36.560 --> 00:31:36.560]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:31:36.560 --> 00:31:36.560]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:31:36.560 --> 00:31:36.560]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:31:36.580 --> 00:32:06.580]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:32:06.580 --> 00:32:06.580]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:32:06.580 --> 00:32:06.580]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:32:06.580 --> 00:32:06.580]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:32:06.580 --> 00:32:06.580]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:32:06.580 --> 00:32:06.580]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:32:06.580 --> 00:32:06.580]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:32:06.580 --> 00:32:06.580]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:32:06.620 --> 00:32:36.600]  ,
[00:32:36.600 --> 00:32:36.600]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:32:36.600 --> 00:32:36.600]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:32:36.600 --> 00:32:36.600]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:32:36.620 --> 00:33:06.620]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:33:06.620 --> 00:33:06.620]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:33:06.620 --> 00:33:06.620]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:33:06.620 --> 00:33:06.620]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:33:06.620 --> 00:33:06.620]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:33:06.620 --> 00:33:06.620]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:33:06.620 --> 00:33:06.620]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:33:06.620 --> 00:33:06.620]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:33:06.640 --> 00:33:36.640]  , I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:33:36.640 --> 00:33:36.640]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:33:36.640 --> 00:33:36.640]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:33:36.640 --> 00:33:36.640]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:33:36.680 --> 00:34:06.660]  , I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:34:06.660 --> 00:34:06.660]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:34:06.660 --> 00:34:06.660]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:34:06.660 --> 00:34:06.660]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:34:06.660 --> 00:34:06.660]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:34:06.660 --> 00:34:06.660]   I was wondering if you could talk about the future of life insurance background.
[00:34:06.660 --> 00:34:06.660]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:34:06.660 --> 00:34:06.660]   I was wondering if you could talk about the future of life insurance background.
[00:34:06.680 --> 00:34:36.680]   I was wondering if you could talk about the future of life insurance background.
[00:34:36.680 --> 00:34:36.680]   I was wondering if you could talk about the future of life insurance background.
[00:34:36.680 --> 00:34:36.680]   I was wondering if you could talk about the future of life insurance background.
[00:34:36.680 --> 00:34:36.680]   I was wondering if you could talk about the future of life insurance background.
[00:34:36.680 --> 00:34:36.680]   I was wondering if you could talk about the future of life insurance background.
[00:34:36.680 --> 00:34:36.680]   I was wondering if you could talk about the future of life insurance background.
[00:34:36.680 --> 00:34:36.680]   I was wondering if you could talk about the future of life insurance background.
[00:34:36.680 --> 00:34:36.680]   I was wondering if you could talk about the future of life insurance background.
[00:34:36.680 --> 00:34:36.680]   I was wondering if you could talk about the future of life insurance background.
[00:34:36.680 --> 00:34:36.680]   I was wondering if you could talk about the future of life insurance background.
[00:34:36.680 --> 00:34:36.680]   I was wondering if you could talk about the future of life insurance background.
[00:34:36.680 --> 00:34:36.680]   I was wondering if you could talk about the future of life insurance background.
[00:34:36.680 --> 00:35:06.700]  ,
[00:35:06.700 --> 00:35:06.700]   I was wondering if you could talk about the future of life insurance background.
[00:35:06.700 --> 00:35:06.700]   I was wondering if you could talk about the future of life insurance background.
[00:35:06.700 --> 00:35:06.700]   I was wondering if you could talk about the future of life insurance background.
[00:35:06.700 --> 00:35:06.700]   I was wondering if you could talk about the future of life insurance background.
[00:35:06.700 --> 00:35:06.700]   I was wondering if you could talk about the future of life insurance background.
[00:35:06.700 --> 00:35:06.700]   I was wondering if you could talk about the future of life insurance background.
[00:35:06.720 --> 00:35:36.720]   I was wondering if you could talk about the future of life insurance background.
[00:35:36.720 --> 00:35:36.720]   I was wondering if you could talk about the future of life insurance background.
[00:35:36.720 --> 00:35:36.720]   I was wondering if you could talk about the future of life insurance background.
[00:35:36.720 --> 00:35:36.720]   I was wondering if you could talk about the future of life insurance background.
[00:35:36.720 --> 00:35:36.720]   I was wondering if you could talk about the future of life insurance background.
[00:35:36.720 --> 00:35:36.720]   I was wondering if you could talk about the future of life insurance background.
[00:35:36.720 --> 00:35:36.720]   I was wondering if you could talk about the future of life insurance background.
[00:35:36.720 --> 00:35:36.720]   I was wondering if you could talk about the future of life insurance background.
[00:35:36.720 --> 00:35:36.720]   I was wondering if you could talk about the future of life insurance background.
[00:35:36.720 --> 00:35:36.720]   I was wondering if you could talk about the future of life insurance background.
[00:35:36.720 --> 00:35:36.720]   I was wondering if you could talk about the future of life insurance background.
[00:35:36.720 --> 00:35:36.720]   I was wondering if you could talk about the future of life insurance background.
[00:36:06.740 --> 00:36:06.740]   I was wondering if you could talk about the future of life insurance background.
[00:36:06.740 --> 00:36:06.740]   I was wondering if you could talk about the future of life insurance background.
[00:36:06.740 --> 00:36:06.740]   I was wondering if you could talk about the future of life insurance background.
[00:36:06.740 --> 00:36:06.740]   I was wondering if you could talk about the future of life insurance background.
[00:36:06.740 --> 00:36:06.740]   I was wondering if you could talk about the future of life insurance background.
[00:36:06.740 --> 00:36:06.740]   I was wondering if you could talk about the future of life insurance background.
[00:36:06.740 --> 00:36:06.740]   I was wondering if you could talk about the future of life insurance background.
[00:36:36.760 --> 00:36:36.760]   I was wondering if you could talk about the future of life insurance background.
[00:36:36.760 --> 00:36:36.760]   I was wondering if you could talk about the future of life insurance background.
[00:36:36.760 --> 00:36:36.760]   I was wondering if you could talk about the future of life insurance background.
[00:36:36.760 --> 00:36:36.760]   I was wondering if you could talk about the future of life insurance background.
[00:36:36.760 --> 00:36:36.760]   I was wondering if you could talk about the future of life insurance background.
[00:36:36.760 --> 00:36:36.760]   I was wondering if you could talk about the future of life insurance background.
[00:36:36.760 --> 00:36:36.760]   I was wondering if you could talk about the future of life insurance background.
[00:36:36.760 --> 00:36:36.760]   I was wondering if you could talk about the future of life insurance background.
[00:36:36.760 --> 00:36:36.760]   I was wondering if you could talk about the future of life insurance background.
[00:36:36.760 --> 00:36:36.760]   I was wondering if you could talk about the future of life insurance.
[00:36:36.760 --> 00:36:36.760]   I was wondering if you could talk about the future of life insurance.
[00:36:36.760 --> 00:36:36.760]   and I was wondering if you might have some knowledge or guess.
[00:36:36.800 --> 00:37:06.780]   I was wondering if you might have some knowledge or guess.
[00:37:06.780 --> 00:37:06.780]   I was wondering if you might have some knowledge or guess.
[00:37:06.780 --> 00:37:06.780]   I was wondering if you might have some knowledge or guess.
[00:37:06.780 --> 00:37:06.780]   I was wondering if you might have some knowledge or guess.
[00:37:06.780 --> 00:37:06.780]   I was wondering if you might have some knowledge or guess.
[00:37:06.780 --> 00:37:06.780]   I was wondering if you might have some knowledge or guess.
[00:37:06.780 --> 00:37:06.780]   I was wondering if you might have some knowledge or guess.
[00:37:06.780 --> 00:37:06.780]   I was wondering if you might have some knowledge or guess.
[00:37:06.780 --> 00:37:06.780]   I was wondering if you might have some knowledge or guess.
[00:37:06.780 --> 00:37:06.780]   I was wondering if you might have some knowledge or guess.
[00:37:06.780 --> 00:37:06.780]   I was wondering if you might have some knowledge or guess.
[00:37:06.800 --> 00:37:36.800]   I was wondering if you might have some knowledge or guess.
[00:37:36.800 --> 00:37:36.800]   I was wondering if you might have some knowledge or guess.
[00:37:36.800 --> 00:37:36.800]   I was wondering if you might have some knowledge or guess.
[00:37:36.800 --> 00:37:36.800]   I was wondering if you might have some knowledge or guess.
[00:37:36.800 --> 00:37:36.800]   I was wondering if you might have some knowledge or guess.
[00:37:36.800 --> 00:37:36.800]   I was wondering if you might have some knowledge or guess.
[00:37:36.800 --> 00:37:36.800]   I was wondering if you might have some knowledge or guess.
[00:37:36.800 --> 00:37:36.800]   I was wondering if you might have some knowledge or guess.
[00:37:36.800 --> 00:37:36.800]   I was wondering if you might have some knowledge or guess.
[00:37:36.800 --> 00:37:36.800]   I was wondering if you might have some knowledge or guess.
[00:37:36.800 --> 00:37:36.800]   I was wondering if you might have some knowledge or guess.
[00:37:36.800 --> 00:37:36.800]   I was wondering if you might have some knowledge or guess.
[00:37:36.800 --> 00:37:36.800]   I was wondering if you might have some knowledge or guess.
[00:37:36.800 --> 00:37:36.800]   I was wondering if you might have some knowledge or guess.
[00:37:36.800 --> 00:37:36.800]   I was wondering if you might have some knowledge or guess.
[00:37:36.800 --> 00:38:06.820]   I was wondering if you might have some knowledge or guess.
[00:38:06.820 --> 00:38:06.820]   I was wondering if you might have some knowledge or guess.
[00:38:06.820 --> 00:38:06.820]   I was wondering if you might have some knowledge or guess.
[00:38:06.820 --> 00:38:06.820]   I was wondering if you might have some knowledge or guess.
[00:38:06.820 --> 00:38:06.820]   I was wondering if you might have some knowledge or guess.
[00:38:06.820 --> 00:38:06.820]   I was wondering if you might have some knowledge or guess.
[00:38:06.820 --> 00:38:06.820]   I was wondering if you might have some knowledge or guess.
[00:38:06.820 --> 00:38:06.820]   I was wondering if you might have some knowledge or guess.
[00:38:06.840 --> 00:38:36.840]   I was wondering if you might have some knowledge or guess.
[00:38:36.840 --> 00:38:36.840]   I was wondering if you might have some knowledge or guess.
[00:38:36.840 --> 00:38:36.840]   I was wondering if you might have some knowledge or guess.
[00:38:36.840 --> 00:38:36.840]   I was wondering if you might have some knowledge or guess.
[00:38:36.840 --> 00:38:36.840]   I was wondering if you might have some knowledge or guess.
[00:38:36.840 --> 00:38:36.840]   I was wondering if you might have some knowledge or guess.
[00:38:36.840 --> 00:38:36.840]   I was wondering if you might have some knowledge or guess.
[00:38:36.840 --> 00:38:36.840]   I was wondering if you might have some knowledge or guess.
[00:38:36.840 --> 00:38:36.840]   I was wondering if you might have some knowledge or guess.
[00:38:36.840 --> 00:38:36.840]   I was wondering if you might have some knowledge or guess.
[00:38:36.840 --> 00:38:36.840]   I was wondering if you might have some knowledge or guess.
[00:38:36.840 --> 00:38:36.840]   I was wondering if you might have some knowledge or guess.
[00:38:36.840 --> 00:38:36.840]   I was wondering if you might have some knowledge or guess.
[00:38:36.840 --> 00:38:36.840]   I was wondering if you might have some knowledge or guess.
[00:38:36.840 --> 00:38:36.840]   I was wondering if you might have some knowledge or guess.
[00:38:36.840 --> 00:39:06.860]   I was wondering if you might have some knowledge or guess.
[00:39:06.860 --> 00:39:06.860]   I was wondering if you might have some knowledge or guess.
[00:39:06.860 --> 00:39:06.860]   I was wondering if you might have some knowledge or guess.
[00:39:06.860 --> 00:39:06.860]   I was wondering if you might have some knowledge or guess.
[00:39:06.860 --> 00:39:06.860]   I was wondering if you might have some knowledge or guess.
[00:39:06.860 --> 00:39:06.860]   I was wondering if you might have some knowledge or guess.
[00:39:06.860 --> 00:39:06.860]   I was wondering if you might have some knowledge or guess.
[00:39:06.860 --> 00:39:06.860]   I was wondering if you might have some knowledge or guess.
[00:39:06.860 --> 00:39:06.860]   I was wondering if you might have some knowledge or guess.
[00:39:06.880 --> 00:39:36.880]   I was wondering if you might have some knowledge or guess.
[00:39:36.880 --> 00:39:36.880]   I was wondering if you might have some knowledge or guess.
[00:39:36.880 --> 00:39:36.880]   I was wondering if you might have some knowledge or guess.
[00:39:36.880 --> 00:39:36.880]   I was wondering if you might have some knowledge or guess.
[00:39:36.880 --> 00:39:36.880]   I was wondering if you might have some knowledge or guess.
[00:39:36.880 --> 00:39:36.880]   I was wondering if you might have some knowledge or guess.
[00:39:36.880 --> 00:39:36.880]   I was wondering if you might have some knowledge or guess.
[00:39:36.880 --> 00:39:36.880]   I was wondering if you might have some knowledge or guess.
[00:39:36.880 --> 00:39:36.880]   I was wondering if you might have some knowledge or guess.
[00:39:36.880 --> 00:39:36.880]   I was wondering if you might have some knowledge or guess.
[00:39:36.880 --> 00:39:36.880]   I was wondering if you might have some knowledge or guess.
[00:39:36.880 --> 00:39:36.880]   I was wondering if you might have some knowledge or guess.
[00:39:36.880 --> 00:39:36.880]   I was wondering if you might have some knowledge or guess.
[00:39:36.880 --> 00:39:36.880]   I was wondering if you might have some knowledge or guess.
[00:39:36.880 --> 00:39:36.880]   I was wondering if you might have some knowledge or guess.
[00:39:36.880 --> 00:40:06.900]   I was wondering if you might have some knowledge or guess.
[00:40:06.900 --> 00:40:06.900]   I was wondering if you might have some knowledge or guess.
[00:40:06.900 --> 00:40:06.900]   I was wondering if you might have some knowledge or guess.
[00:40:06.900 --> 00:40:06.900]   I was wondering if you might have some knowledge or guess.
[00:40:06.900 --> 00:40:06.900]   I was wondering if you might have some knowledge or guess.
[00:40:06.900 --> 00:40:06.900]   I was wondering if you might have some knowledge or guess.
[00:40:06.900 --> 00:40:06.900]   I was wondering if you might have some knowledge or guess.
[00:40:06.900 --> 00:40:06.900]   I was wondering if you might have some knowledge or guess.
[00:40:06.920 --> 00:40:36.920]   I was wondering if you might have some knowledge or guess.
[00:40:36.920 --> 00:40:36.920]   I was wondering if you might have some knowledge or guess.
[00:40:36.920 --> 00:40:36.920]   I was wondering if you might have some knowledge or guess.
[00:40:36.920 --> 00:40:36.920]   I was wondering if you might have some knowledge or guess.
[00:40:36.920 --> 00:40:36.920]   I was wondering if you might have some knowledge or guess.
[00:40:36.920 --> 00:40:36.920]   I was wondering if you might have some knowledge or guess.
[00:40:36.920 --> 00:40:36.920]   I was wondering if you might have some knowledge or guess.
[00:40:36.920 --> 00:40:36.920]   I was wondering if you might have some knowledge or guess.
[00:40:36.920 --> 00:40:36.920]   I was wondering if you might have some knowledge or guess.
[00:40:36.920 --> 00:40:36.920]   I was wondering if you might have some knowledge or guess.
[00:40:36.920 --> 00:40:36.920]   I was wondering if you might have some knowledge or guess.
[00:40:36.920 --> 00:40:36.920]   I was wondering if you might have some knowledge or guess.
[00:40:36.920 --> 00:40:36.920]   I was wondering if you might have some knowledge or guess.
[00:40:36.920 --> 00:40:36.920]   I was wondering if you might have some knowledge or guess.
[00:40:36.920 --> 00:40:36.920]   I was wondering if you might have some knowledge or guess.
[00:40:36.920 --> 00:41:06.940]   I was wondering if you might have some knowledge or guess.
[00:41:06.940 --> 00:41:06.940]   I was wondering if you might have some knowledge or guess.
[00:41:06.940 --> 00:41:06.940]   I was wondering if you might have some knowledge or guess.
[00:41:06.940 --> 00:41:06.940]   I was wondering if you might have some knowledge or guess.
[00:41:06.940 --> 00:41:06.940]   I was wondering if you might have some knowledge or guess.
[00:41:06.940 --> 00:41:06.940]   I was wondering if you might have some knowledge or guess.
[00:41:06.940 --> 00:41:06.940]   I was wondering if you might have some knowledge or guess.
[00:41:06.940 --> 00:41:06.940]   I was wondering if you might have some knowledge or guess.
[00:41:06.940 --> 00:41:06.940]   I was wondering if you might have some knowledge or guess.
[00:41:06.940 --> 00:41:06.940]   I was wondering if you might have some knowledge or guess.
[00:41:06.960 --> 00:41:36.960]   I was wondering if you might have some knowledge or guess.
[00:41:36.960 --> 00:41:36.960]   I was wondering if you might have some knowledge or guess.
[00:41:36.960 --> 00:41:36.960]   I was wondering if you might have some knowledge or guess.
[00:41:36.960 --> 00:41:36.960]   I was wondering if you might have some knowledge or guess.
[00:41:36.960 --> 00:41:36.960]   I was wondering if you might have some knowledge or guess.
[00:41:36.960 --> 00:41:36.960]   I was wondering if you might have some knowledge or guess.
[00:41:36.960 --> 00:41:36.960]   I was wondering if you might have some knowledge or guess.
[00:41:36.960 --> 00:41:36.960]   I was wondering if you might have some knowledge or guess.
[00:41:36.960 --> 00:41:36.960]   I was wondering if you might have some knowledge or guess.
[00:41:36.960 --> 00:41:36.960]   I was wondering if you might have some knowledge or guess.
[00:41:36.960 --> 00:41:36.960]   I was wondering if you might have some knowledge or guess.
[00:41:36.960 --> 00:41:36.960]   I was wondering if you might have some knowledge or guess.
[00:41:36.960 --> 00:41:36.960]   I was wondering if you might have some knowledge or guess.
[00:41:36.960 --> 00:41:36.960]   I was wondering if you might have some knowledge or guess.
[00:41:36.960 --> 00:41:36.960]   I was wondering if you might have some knowledge or guess.
[00:41:37.000 --> 00:42:06.980]   I was wondering if you might have some knowledge or guess.
[00:42:06.980 --> 00:42:06.980]   I was wondering if you might have some knowledge or guess.
[00:42:06.980 --> 00:42:06.980]   I was wondering if you might have some knowledge or guess.
[00:42:06.980 --> 00:42:06.980]   I was wondering if you might have some knowledge or guess.
[00:42:06.980 --> 00:42:06.980]   I was wondering if you might have some knowledge or guess.
[00:42:06.980 --> 00:42:06.980]   I was wondering if you might have some knowledge or guess.
[00:42:06.980 --> 00:42:06.980]   I was wondering if you might have some knowledge or guess.
[00:42:06.980 --> 00:42:06.980]   I was wondering if you might have some knowledge or guess.
[00:42:06.980 --> 00:42:06.980]   I was wondering if you might have some knowledge or guess.
[00:42:06.980 --> 00:42:06.980]   I was wondering if you might have some knowledge or guess.
[00:42:06.980 --> 00:42:06.980]   I was wondering if you might have some knowledge or guess. I was wondering if you might have some knowledge or guess.
[00:42:07.000 --> 00:42:37.000]   I was wondering if you might have some knowledge or guess.
[00:42:37.000 --> 00:42:37.000]   I was wondering if you might have some knowledge or guess.
[00:42:37.000 --> 00:42:37.000]   I was wondering if you might have some knowledge or guess.
[00:42:37.000 --> 00:42:37.000]   I was wondering if you might have some knowledge or guess.
[00:42:37.000 --> 00:42:37.000]   I was wondering if you might have some knowledge or guess.
[00:42:37.000 --> 00:42:37.000]   I was wondering if you might have some knowledge or guess.
[00:42:37.000 --> 00:42:37.000]   I was wondering if you might have some knowledge or guess.
[00:42:37.000 --> 00:42:37.000]   I was wondering if you might have some knowledge or guess.
[00:42:37.000 --> 00:42:37.000]   I was wondering if you might have some knowledge or guess.
[00:42:37.000 --> 00:42:37.000]   I was wondering if you might have some knowledge or guess.
[00:42:37.000 --> 00:42:37.000]   I was wondering if you might have some knowledge or guess.
[00:42:37.000 --> 00:42:37.000]   I was wondering if you might have some knowledge or guess.
[00:42:37.000 --> 00:42:37.000]   I was wondering if you might have some knowledge or guess.
[00:42:37.000 --> 00:42:37.000]   I was wondering if you might have some knowledge or guess.
[00:42:37.000 --> 00:42:37.000]   I was wondering if you might have some knowledge or guess.
[00:42:38.000 --> 00:43:07.020]   I was wondering if you might have some knowledge or guess.
[00:43:07.020 --> 00:43:07.020]   I was wondering if you might have some knowledge or guess.
[00:43:07.020 --> 00:43:07.020]   I was wondering if you might have some knowledge or guess.
[00:43:07.020 --> 00:43:07.020]   I was wondering if you might have some knowledge or guess.
[00:43:07.020 --> 00:43:07.020]   I was wondering if you might have some knowledge or guess.
[00:43:07.020 --> 00:43:07.020]   I was wondering if you might have some knowledge or guess.
[00:43:07.020 --> 00:43:07.020]   I was wondering if you might have some knowledge or guess.

