
[00:00:00.000 --> 00:00:05.060]   You've been saving, optimizing, and doing all the right things, but what if putting life off
[00:24:04.440 --> 00:24:06.960]   I cannot look at your faces for a minute longer.
[00:24:06.960 --> 00:24:09.000]   I just need to be home.
[00:24:09.000 --> 00:24:10.560]   We're not going to frame it that way.
[00:24:10.560 --> 00:24:12.180]   So frame it in a positive way.
[00:24:12.180 --> 00:24:15.160]   The second one is that it should be something that's interesting.
[00:24:15.160 --> 00:24:18.500]   Like do something that's interesting during your time off.
[00:24:18.500 --> 00:24:24.820]   The third, which sometimes people don't think about is the more specific you can make it.
[00:24:24.820 --> 00:24:27.560]   So instead of saying, I just want more time with my kids.
[00:24:28.300 --> 00:24:31.840]   You know, like I mentioned, I did a 10-week road trip to 10 national parks.
[00:24:31.840 --> 00:24:34.120]   A very specific way we spent time together.
[00:24:34.120 --> 00:24:37.360]   And then the fourth one, frame it as a one-time event.
[00:24:37.360 --> 00:24:39.300]   10-week trip to 10 national parks.
[00:24:39.300 --> 00:24:41.740]   That's not really a thing that people do every single year.
[00:24:41.740 --> 00:24:43.540]   It kind of sounds like a one-time thing.
[00:24:43.540 --> 00:24:46.120]   Going to hike Mount Kilimanjaro for your honeymoon.
[00:24:46.120 --> 00:24:47.800]   It kind of feels like a one-time thing.
[00:24:47.800 --> 00:24:52.920]   Training to do, you know, a triathlon in Hawaii for your 50th birthday.
[00:24:53.560 --> 00:24:54.960]   That kind of feels like a one-time thing.
[00:24:54.960 --> 00:25:03.220]   And when you put these four elements together and you realize like you're sitting in front of another human being who has similar hopes and dreams and values.
[00:25:03.220 --> 00:25:13.680]   So for an example, to put all four together, if you said, hey, so I have a week of leave and I was hoping we could talk about how I could maybe get an extra three weeks unpaid off.
[00:25:13.680 --> 00:25:19.500]   You see, my parents, they've always had this dream of biking through France when they retire.
[00:25:19.680 --> 00:25:25.280]   But, you know, a couple years ago, my dad passed away and this year my mom's turning 60 and she's set to retire.
[00:25:25.280 --> 00:25:29.000]   I would love to be able to do this one-month cycling trip with her.
[00:25:29.000 --> 00:25:31.240]   I feel like it would be a once-in-a-lifetime opportunity.
[00:25:31.240 --> 00:25:36.280]   And while she's healthy, while she's able to do this, I would love to be able to have this experience.
[00:25:36.280 --> 00:25:38.120]   You know, I've thought through some of the logistics.
[00:25:38.120 --> 00:25:43.600]   I know there'll be a couple challenges, but I have a couple solutions that I think we can make this work.
[00:25:43.600 --> 00:25:48.200]   And if you need to be a little bit more heavy-handed, you can sprinkle in at the end.
[00:25:48.200 --> 00:25:53.400]   I've loved working here so much and I'm really excited about the future projects we have and the team.
[00:25:53.400 --> 00:25:54.780]   I feel like we're really starting to gel.
[00:25:54.780 --> 00:25:57.320]   I would really hate to have to separate.
[00:25:57.320 --> 00:26:00.140]   I would love to find a way if we can make this work.
[00:26:00.140 --> 00:26:06.320]   And one thing you didn't mention in that narrative, which I think as someone who's hired people in the past,
[00:26:06.320 --> 00:26:12.460]   it is so much more costly and time-intensive to hire someone than one month.
[00:26:12.600 --> 00:26:14.540]   Maybe there are roles where that's not the case.
[00:26:14.540 --> 00:26:17.120]   But in most cases, I've ever hired anyone.
[00:26:17.120 --> 00:26:23.180]   Not that I would want to make this a policy necessarily, but a month off, especially if it's unpaid,
[00:26:23.180 --> 00:26:27.860]   or I have to find a replacement, assuming it's an employee I like, it's a no-brainer.
[00:26:27.860 --> 00:26:34.740]   Like as the employer, is there any way that you found that frames that up politely where it's like,
[00:26:34.740 --> 00:26:38.280]   hey, isn't it going to be so much easier to give me a month off than to go hire someone?
[00:26:39.360 --> 00:26:43.240]   So I really encourage people, don't drop this in your employer's lap.
[00:26:43.240 --> 00:26:45.640]   Don't be like, hey, here's a huge problem you have to solve.
[00:26:45.640 --> 00:26:47.440]   Not that you're not busy or anything.
[00:26:47.440 --> 00:26:48.580]   Think through logistics.
[00:26:48.580 --> 00:26:49.960]   Think through the process.
[00:26:49.960 --> 00:26:51.200]   Think through the challenges.
[00:26:51.200 --> 00:26:52.240]   Bring solutions.
[00:26:52.240 --> 00:26:54.980]   It needs to be a really creative and collaborative approach.
[00:26:54.980 --> 00:27:04.180]   But ultimately, you want the accommodating to be easier, cheaper, and quicker than replacing you.
[00:27:04.180 --> 00:27:06.780]   And it's up to you to build this case.
[00:27:06.780 --> 00:27:08.980]   Like this is the easiest solution for everyone.
[00:27:08.980 --> 00:27:10.780]   This is the cheapest solution for everyone.
[00:27:10.780 --> 00:27:12.600]   Like it's going to be the quickest solution.
[00:27:12.600 --> 00:27:16.820]   Everyone has a reason that like they're pretty sure they can't get a mini retirement.
[00:27:16.820 --> 00:27:18.860]   If they don't earn a lot of money, they're like, I'm too poor.
[00:27:19.200 --> 00:27:22.580]   On the other side of the spectrum, they maybe earn a lot of money.
[00:27:22.580 --> 00:27:24.120]   And they're like, yeah, I got a couple thousand dollars.
[00:27:24.120 --> 00:27:24.860]   I can swing that.
[00:27:24.860 --> 00:27:26.120]   They're too important to leave.
[00:27:26.120 --> 00:27:26.920]   They're too critical.
[00:27:26.920 --> 00:27:28.080]   They're too necessary.
[00:27:28.080 --> 00:27:30.000]   Everything would burn down without them.
[00:27:30.000 --> 00:27:31.420]   Nobody can fill in for them.
[00:27:31.420 --> 00:27:34.080]   I was talking to a CFO at a retreat.
[00:27:34.080 --> 00:27:35.640]   And he's like, God, I would love a month off.
[00:27:35.640 --> 00:27:37.400]   I think it would be so, so, so good for me.
[00:27:37.400 --> 00:27:38.840]   There's no way.
[00:27:38.840 --> 00:27:40.300]   Nobody does what I do.
[00:27:40.300 --> 00:27:41.340]   They can't replace me.
[00:27:41.340 --> 00:27:43.020]   It's essential that I'm there.
[00:27:43.060 --> 00:27:44.180]   And I was like, okay, cool, cool, cool.
[00:27:44.180 --> 00:27:48.640]   So if you left, how long would it take to hire someone to fill your spot?
[00:27:48.640 --> 00:27:49.540]   Oh yeah, that's tough.
[00:27:49.540 --> 00:27:50.840]   Like that probably takes six months.
[00:27:50.840 --> 00:27:52.020]   It's like a long process.
[00:27:52.020 --> 00:27:52.600]   I'm like, okay.
[00:27:52.600 --> 00:27:56.960]   And then like, how long would it take for that person to like really get onboarded to where
[00:27:56.960 --> 00:28:01.200]   maybe they're being as effective and efficient as you?
[00:28:01.200 --> 00:28:02.760]   And he's like, yeah, it's a long process.
[00:28:02.760 --> 00:28:03.980]   That's probably another six months.
[00:28:03.980 --> 00:28:09.900]   And I'm like, oh, so they could either give you a month off or they could take a year
[00:28:09.900 --> 00:28:14.420]   of your spot, not being fully filled, which one would be easier for them?
[00:28:14.420 --> 00:28:18.060]   Like which one's quicker and simpler and cheaper because they love you.
[00:28:18.060 --> 00:28:19.680]   They know you do a good job.
[00:28:19.680 --> 00:28:26.160]   This new hypothetical person is a gamble thinking about it more that way, instead of like, I'm
[00:28:26.160 --> 00:28:28.260]   too important to leave for a month.
[00:28:28.260 --> 00:28:34.160]   And so that gets over your personal objection, but is there a good way to frame that to your
[00:28:34.160 --> 00:28:36.720]   boss where it doesn't come across too threatening?
[00:28:36.720 --> 00:28:42.480]   Like, hey, if you say no, it's going to cost you so much time and money to replace me.
[00:28:42.480 --> 00:28:44.520]   And now it's kind of like, you're not collaborating.
[00:28:44.520 --> 00:28:46.500]   You're not trying to solve this thing together.
[00:28:46.500 --> 00:28:49.580]   I tend to be kind of a subtle, soft sell.
[00:28:49.580 --> 00:28:50.880]   And I think you can be really subtle.
[00:28:50.880 --> 00:28:54.580]   Like, you know, I know we're in the middle of this project.
[00:28:54.580 --> 00:28:56.480]   We're going to finish it up next year.
[00:28:56.480 --> 00:29:00.660]   Like I would really hate to leave before we wrap this up.
[00:29:01.020 --> 00:29:05.580]   I feel like this would be a real tough thing for someone to come in and fill this.
[00:29:05.580 --> 00:29:08.740]   Or I've been here four years.
[00:29:08.740 --> 00:29:12.620]   I feel like I'm really, I'm really starting to kind of click in this role.
[00:29:12.620 --> 00:29:15.300]   And I know how long it took to onboard me.
[00:29:15.300 --> 00:29:20.540]   I would hate for the team to be set back for so long because it just takes so long to, to
[00:29:20.540 --> 00:29:21.860]   train someone for this position.
[00:29:21.860 --> 00:29:24.960]   I think there's, there's some really subtle ways, but they know.
[00:29:24.960 --> 00:29:28.300]   Yeah, you're just telling them the thing they know, but.
[00:29:28.300 --> 00:29:32.240]   But you can, you can hint at it, but they're like, yeah, no, we're, we're doing that mental
[00:29:32.240 --> 00:29:34.080]   math and HR especially knows.
[00:29:34.080 --> 00:29:34.600]   Yeah.
[00:29:34.600 --> 00:29:39.480]   You mentioned that sometimes it doesn't have to be unpaid, but should people go into this
[00:29:39.480 --> 00:29:43.200]   with the expectation that they're not going to get free vacation from their employer?
[00:29:43.200 --> 00:29:44.580]   Or what have you seen?
[00:29:44.580 --> 00:29:50.660]   So I would say it depends on what they give paid leave for.
[00:29:50.660 --> 00:29:58.320]   So if you have a lot of paid leave for FMLA things, for maternity leave, like if they're
[00:29:58.320 --> 00:30:03.480]   pretty generous with paid leave, if they have any sort of sabbatical program already that
[00:30:03.480 --> 00:30:08.980]   involves some sort of pay, then you can maybe start with like, that would be cool, but not
[00:30:08.980 --> 00:30:09.440]   necessary.
[00:30:09.440 --> 00:30:13.880]   If your company offers like no paid leave, you're probably not getting paid leave.
[00:30:13.880 --> 00:30:16.440]   So kind of looking at the company culture.
[00:30:16.440 --> 00:30:20.320]   So there are some things that you can negotiate in this when you're looking at, especially
[00:30:20.320 --> 00:30:23.160]   accommodations that you're willing to make.
[00:30:23.160 --> 00:30:27.860]   So there are a couple things that are problems they can't figure out.
[00:30:27.860 --> 00:30:29.520]   They can't solve without you there.
[00:30:29.520 --> 00:30:31.840]   Maybe it's an end of the month report.
[00:30:31.840 --> 00:30:33.880]   Maybe it's a meeting with a certain client.
[00:30:33.880 --> 00:30:35.180]   That's the thing in their mind.
[00:30:35.180 --> 00:30:37.020]   They're like, yeah, but how do we figure this piece out?
[00:30:37.020 --> 00:30:43.260]   So coming up with accommodations that don't cost you or your experience very much, but are
[00:30:43.260 --> 00:30:45.620]   like a high ROI for them.
[00:30:45.620 --> 00:30:50.500]   And you can kind of bring this negotiation of like, man, I know this client, we have a
[00:30:50.500 --> 00:30:51.360]   meeting every Friday.
[00:30:51.360 --> 00:30:52.360]   It's super important.
[00:30:52.360 --> 00:30:54.340]   I know I've been the point person on this.
[00:30:54.340 --> 00:31:01.600]   I would be willing to come in or to do a video conference in two hours every Friday just to
[00:31:01.600 --> 00:31:02.500]   meet this need.
[00:31:02.500 --> 00:31:11.560]   And then the magic words are, in return, I would appreciate maybe you paying 10% of my salary to
[00:31:11.560 --> 00:31:13.260]   cover all of my health care deductions.
[00:31:13.260 --> 00:31:20.160]   And so you can come up with a list of things that you're willing to make this accommodation and you
[00:31:20.160 --> 00:31:23.060]   would appreciate if they could make this other accommodation.
[00:31:23.560 --> 00:31:26.500]   When you mentioned sabbatical, why is this not a sabbatical?
[00:31:26.500 --> 00:31:30.500]   Could you just take a sabbatical or how is a mini retirement different than a sabbatical?
[00:31:30.500 --> 00:31:35.580]   I think people can use whatever noun, whatever language really resonates with them.
[00:31:35.580 --> 00:31:39.260]   So I think there's some slight connotations with other words.
[00:31:39.260 --> 00:31:44.200]   Usually a sabbatical kind of indicates you're coming back to the same employer, not switching
[00:31:44.200 --> 00:31:44.700]   careers.
[00:31:44.700 --> 00:31:50.260]   A gap year kind of infers that it's a year long, a hiatus, a career break.
[00:31:50.260 --> 00:31:55.260]   I think any word that you're like, that one feels right for this thing that I'm doing right
[00:31:55.260 --> 00:31:56.200]   now, go with that.
[00:31:56.200 --> 00:32:01.360]   I use mini retirement because I feel like it's the most generic and the least loaded with
[00:32:01.360 --> 00:32:02.220]   additional meaning.
[00:32:02.220 --> 00:32:07.440]   This episode is brought to you by Built Rewards, which is an amazing points program with so many
[00:32:07.440 --> 00:32:11.680]   ways to earn, including on your rent, where you don't even need to check with your landlord.
[00:32:11.680 --> 00:32:12.520]   So let me explain.
[00:32:12.520 --> 00:32:14.780]   First, there's no cost to join Built.
[00:32:14.780 --> 00:32:18.620]   And as a member, you'll earn valuable points on rent and on your everyday spending.
[00:32:18.860 --> 00:32:23.020]   Built points can be transferred to your favorite hotels and airlines, and even the ones you
[00:32:23.020 --> 00:32:23.780]   haven't heard of.
[00:32:23.780 --> 00:32:29.360]   There are over 500 airlines and 700,000 hotels and properties around the world you can redeem
[00:32:29.360 --> 00:32:30.520]   your Built points toward.
[00:32:30.520 --> 00:32:34.920]   Points can be redeemed towards a future rent payment and unique experiences that only Built
[00:32:34.920 --> 00:32:35.960]   members can access.
[00:32:35.960 --> 00:32:39.540]   So if you're not earning points on rent, my question is, why not?
[00:32:39.540 --> 00:32:44.340]   Start earning points on rent you're already paying by going to chrishutchins.com slash
[00:32:44.340 --> 00:32:44.760]   Built.
[00:32:44.760 --> 00:32:48.360]   That's chrishutchins.com slash Built, B-I-L-T.
[00:32:48.360 --> 00:32:53.820]   Make sure to use our URL so they know we sent you chrishutchins.com slash Built or the link
[00:32:53.820 --> 00:32:57.240]   in the description to start earning points on your rent payments today.
[00:32:57.240 --> 00:32:59.920]   Obviously, a sabbatical kind of implies you're coming back.
[00:32:59.920 --> 00:33:04.280]   And you talked about how one of the best strategies financially is to change careers.
[00:33:04.780 --> 00:33:09.500]   For people who, in their mind, they've always been told, you know, always line up your next
[00:33:09.500 --> 00:33:11.400]   job before you leave your current job.
[00:33:11.400 --> 00:33:15.340]   How do you get over that fear that finding that next job might be a challenge?
[00:33:15.340 --> 00:33:22.620]   So this whole process, I think about fear as a little bit like an Evel Knievel stunt.
[00:33:22.620 --> 00:33:29.020]   He used to ride like a dirt bike motorcycle and jump it across a ravine, which seems super
[00:33:29.020 --> 00:33:34.520]   dangerous, but he built ramps on both sides and he kind of did the math and he kind of
[00:33:34.520 --> 00:33:35.320]   did the calculations.
[00:33:35.320 --> 00:33:39.200]   So the actual risk was much lower than how it appeared.
[00:33:39.200 --> 00:33:45.380]   And I feel like that's our job is how can we build ramps on both sides so that our actual
[00:33:45.380 --> 00:33:49.320]   risk is lower than this thing, you know, that we're doing appears to be.
[00:33:49.800 --> 00:33:54.720]   So if you're going to be switching careers, there's a couple steps that I really encourage
[00:33:54.720 --> 00:33:55.360]   people to take.
[00:33:55.360 --> 00:34:01.900]   One of them, a really simple tactical thing is I call like a goodbye email and it could
[00:34:01.900 --> 00:34:07.980]   be a goodbye Instagram post or whatever, but something along the lines that you send to
[00:34:07.980 --> 00:34:10.240]   your coworkers, your clients, people in the industry.
[00:34:10.240 --> 00:34:11.780]   I've really loved working here.
[00:34:11.780 --> 00:34:16.100]   Loved working with you all for the next six months.
[00:34:16.100 --> 00:34:20.060]   I'm going to do this amazing adventure, but I look forward to returning to this industry.
[00:34:20.060 --> 00:34:23.620]   And if you all happen to hear of anything in the meantime, feel free to reach out.
[00:34:23.620 --> 00:34:28.100]   I will be busy with, you know, this backpacking trip through Europe, but I would love to connect
[00:34:28.100 --> 00:34:28.680]   in the future.
[00:34:28.680 --> 00:34:35.840]   And it, it creates an open loop in people's minds and especially in work-based cultures,
[00:34:35.840 --> 00:34:41.400]   like an American culture where we kind of idolize work a little bit.
[00:34:41.500 --> 00:34:46.420]   We're very work-centric, you not working makes everyone just a little bit uncomfortable.
[00:34:46.420 --> 00:34:52.020]   Like you just out there living your life and having fun and posting pictures of these adventures.
[00:34:52.020 --> 00:34:54.100]   They're like, oh, and it opens these loops.
[00:34:54.100 --> 00:34:57.840]   And I've seen this when people retire early or when they take sabbaticals, all of a sudden
[00:34:57.840 --> 00:35:00.320]   they get all these job offers.
[00:35:00.320 --> 00:35:03.320]   Like nobody had ever given them job offers, like unsolicited.
[00:35:03.560 --> 00:35:07.420]   And all of a sudden you're kind of top of mind and people reach out more.
[00:35:07.420 --> 00:35:14.980]   And so you can take that natural tendency and kind of amplify it by, by networking, by building
[00:35:14.980 --> 00:35:18.160]   those contacts, maintaining those contacts while you are gone.
[00:35:18.160 --> 00:35:22.520]   One of the really practical things, my, my ex, when we took a year off, there was a job he
[00:35:22.520 --> 00:35:23.960]   was thinking about returning to.
[00:35:24.200 --> 00:35:28.140]   And about once a month, every other month, he would just go into the office with a box
[00:35:28.140 --> 00:35:29.900]   of donuts and be like, Hey, how y'all doing?
[00:35:29.900 --> 00:35:31.360]   Like, how are things going here?
[00:35:31.360 --> 00:35:32.500]   Like, what's the new gossip?
[00:35:32.500 --> 00:35:34.280]   And just chat everyone up.
[00:35:34.280 --> 00:35:37.820]   And when he worked there, he had never been offered that promotion.
[00:35:37.820 --> 00:35:40.840]   And in the year he was gone, he was offered it three times.
[00:35:40.840 --> 00:35:43.080]   And I was like, hmm, that's interesting.
[00:35:43.080 --> 00:35:45.340]   I love that.
[00:35:45.520 --> 00:35:50.140]   So what about finding that job and just asking to start it later?
[00:35:50.140 --> 00:35:56.980]   So that can be a really helpful tool, especially if you don't have like a year long adventure
[00:35:56.980 --> 00:35:57.400]   planned.
[00:35:57.400 --> 00:36:03.200]   If a month off, if two months off, let's say it's September right now and you get a new job
[00:36:03.200 --> 00:36:06.360]   and you're like, Hey, I've got some things I need to wrap up.
[00:36:06.360 --> 00:36:07.800]   I've got some personal things to take care of.
[00:36:07.800 --> 00:36:08.960]   Like, can I start in November?
[00:36:08.960 --> 00:36:12.300]   And they're like, Oh, like, we really, really need you sooner.
[00:36:12.300 --> 00:36:14.160]   And you're like, okay, well maybe six weeks then.
[00:36:14.160 --> 00:36:15.540]   And they're like, okay, that sounds good.
[00:36:15.540 --> 00:36:20.860]   For a lot of people, that's an easy way to start because it, you're not stressed about
[00:36:20.860 --> 00:36:21.840]   finding the next job.
[00:36:21.840 --> 00:36:26.920]   Like you have that security, you can really enjoy your time off without having your attention
[00:36:26.920 --> 00:36:31.080]   split of I'm enjoying my time off, but maybe I should be looking, or maybe I should be applying
[00:36:31.080 --> 00:36:31.760]   for jobs.
[00:36:31.760 --> 00:36:37.560]   And I would say for almost everyone, if you can afford, you know, an extra four weeks off,
[00:36:37.560 --> 00:36:38.440]   why not ask?
[00:36:38.440 --> 00:36:43.660]   And for the employer, I think you can really pitch it as they're again, creating your own
[00:36:43.660 --> 00:36:47.820]   narrative, your own version of the story of, I'm really excited about this new opportunity.
[00:36:47.820 --> 00:36:52.900]   I've got A, B, and C that I've kind of been postponing.
[00:36:52.900 --> 00:36:54.400]   The last job is really busy.
[00:36:54.400 --> 00:36:59.480]   I would love to kind of wrap all of this up so that when I start, I'm 100% focused.
[00:36:59.480 --> 00:37:00.660]   I'm 100% all in.
[00:37:00.660 --> 00:37:05.160]   I don't want to try to balance these other things that I have going with a brand new job.
[00:37:05.400 --> 00:37:09.400]   I'd rather just like knock all this stuff out and then be 100% on day one.
[00:37:09.400 --> 00:37:10.260]   Yeah.
[00:37:10.260 --> 00:37:11.460]   I love that idea.
[00:37:11.460 --> 00:37:15.920]   And I just keep thinking, I want to hit the ground running and this is going to be a distraction,
[00:37:15.920 --> 00:37:21.060]   but I'm not sure whether you intended this, but the strategy of setting an anchor point
[00:37:21.060 --> 00:37:25.660]   even further, if you're like, oh, I really want to take two months off before I start,
[00:37:25.660 --> 00:37:27.760]   tell them, hey, could I start in five months?
[00:37:27.760 --> 00:37:29.020]   And they're like, no, that's crazy.
[00:37:29.020 --> 00:37:30.120]   And you're like, oh, fine.
[00:37:30.120 --> 00:37:30.880]   What about two?
[00:37:30.880 --> 00:37:36.940]   You know, like it really just comes down to thinking about your narrative and how you tell it.
[00:37:36.940 --> 00:37:44.280]   In all of those negotiations, like having that ideal and then having kind of what you would accept.
[00:37:44.280 --> 00:37:48.200]   Sometimes people start with the lowest thing they would accept.
[00:37:48.200 --> 00:37:52.260]   And you might as well start with the thing that's ideal, whatever it is you're negotiating.
[00:37:52.260 --> 00:37:54.400]   But in this case, three months, like start with the ideal.
[00:37:54.400 --> 00:37:56.700]   You're perceived as very accommodating.
[00:37:56.700 --> 00:37:58.640]   You're perceived as very reasonable.
[00:37:58.640 --> 00:38:04.380]   If you start with like your lowest bid and you get it, you don't get any of those bonus points.
[00:38:04.380 --> 00:38:06.620]   You mentioned there's a whole chapter about self-employment.
[00:38:06.620 --> 00:38:11.980]   Maybe a couple extra tips, especially because it's relevant to me and I'm thinking about this.
[00:38:11.980 --> 00:38:14.720]   It's been over a decade since my last mini retirement.
[00:38:14.720 --> 00:38:18.140]   What advice do you have for those who are self-employed?
[00:38:18.140 --> 00:38:23.320]   So to start off, it's super scary and it's such a pain in the butt.
[00:38:23.320 --> 00:38:28.280]   It requires a lot more preparation is the other thing where if you're a nine to five employee,
[00:38:28.280 --> 00:38:31.580]   it might take a month, three months to get ready for you to take this.
[00:38:31.580 --> 00:38:34.060]   If you're self-employed, it might take three months.
[00:38:34.060 --> 00:38:37.520]   It might take a year and a half to really get your business ready.
[00:38:37.940 --> 00:38:48.720]   And no, it's a huge, a huge hassle up front, but there's a massive benefit on the end when you return.
[00:38:48.720 --> 00:38:54.400]   All of these things are important, but they don't become urgent until you step away from your business.
[00:38:54.400 --> 00:38:59.460]   And so it kind of gives you a deadline and a little bit of a carrot at the end of the stick to do this.
[00:38:59.900 --> 00:39:02.480]   So I have four, four steps.
[00:39:02.480 --> 00:39:04.760]   All of them logistically are annoying.
[00:39:04.760 --> 00:39:10.040]   And some of them for some people are psychologically challenging.
[00:39:10.040 --> 00:39:13.500]   So sometimes we're kind of our own worst enemy on this.
[00:39:13.500 --> 00:39:16.100]   But the first one is to simplify things.
[00:39:16.100 --> 00:39:19.760]   There is complexity in our work that doesn't need to be there,
[00:39:19.760 --> 00:39:21.860]   but we've been able to tolerate it.
[00:39:21.860 --> 00:39:24.900]   So we just keep going because it feels too difficult to simplify.
[00:39:24.900 --> 00:39:28.680]   So being real honest and simplifying everything you can simplify.
[00:39:28.680 --> 00:39:32.640]   And then the second one is to start doing some automation.
[00:39:32.640 --> 00:39:35.640]   There again, there's stuff that is just easier for us to do by hand.
[00:39:35.640 --> 00:39:37.240]   It takes 20 minutes a week.
[00:39:37.240 --> 00:39:42.480]   Where to create the automation or to create the system might take three hours.
[00:39:42.480 --> 00:39:46.040]   So we just kind of do it the long way over and over and over because like,
[00:39:46.040 --> 00:39:48.240]   well, we have the time, we have the bandwidth, we know what we're doing.
[00:39:48.240 --> 00:39:52.440]   So putting in place that automation, but then the third one,
[00:39:52.440 --> 00:39:56.120]   and people psychologically really hate this, is documentation.
[00:39:56.120 --> 00:40:00.880]   One, it's super tedious to be like, how actually do we do this?
[00:40:00.880 --> 00:40:05.740]   But there is a psychological component that I bring this magic.
[00:40:05.740 --> 00:40:07.400]   I have like this expertise.
[00:40:07.400 --> 00:40:08.460]   Everything's unique.
[00:40:08.460 --> 00:40:09.860]   Nobody could replicate this.
[00:40:09.860 --> 00:40:14.180]   There is no formula because I just bring my creativity to everything.
[00:40:14.180 --> 00:40:16.920]   And I'm like, oh, there's probably a little bit of a formula.
[00:40:16.920 --> 00:40:23.180]   So I had one client who does like tech sales and he was like, well, no, every sales email
[00:40:23.180 --> 00:40:27.800]   I respond to is entirely unique to what that request was.
[00:40:27.800 --> 00:40:33.240]   And I was like, yeah, but is it like, I bet you probably like acknowledge what they said
[00:40:33.240 --> 00:40:36.040]   and you probably offer a solution to that problem.
[00:40:36.040 --> 00:40:38.160]   And you probably talk about scope of work.
[00:40:38.160 --> 00:40:40.640]   And then you probably offer solutions to other problems they might have.
[00:40:40.640 --> 00:40:43.760]   And then you probably set up a time to have a phone call and discuss this more.
[00:40:43.760 --> 00:40:47.080]   And he was like, oh, I mean, yeah, that's kind of what it is.
[00:40:47.080 --> 00:40:52.760]   So creating some documentation, because then the fourth step is you can delegate things.
[00:40:52.760 --> 00:40:56.960]   If you've ever hired an assistant and not done those first three steps and just hoped that
[00:40:56.960 --> 00:40:59.480]   your assistant could magically do all the first three for you.
[00:40:59.480 --> 00:41:01.660]   And it was a total hot mess.
[00:41:02.260 --> 00:41:03.040]   That's why.
[00:41:03.040 --> 00:41:08.640]   But what happens then is you come back to this business that is so much more organized.
[00:41:08.640 --> 00:41:09.940]   That's so much cleaner.
[00:41:09.940 --> 00:41:11.240]   That's so much more efficient.
[00:41:11.240 --> 00:41:13.840]   Everyone's better prepared to help.
[00:41:13.840 --> 00:41:15.260]   And there's less on your plate.
[00:41:15.260 --> 00:41:17.920]   So one of two things happen.
[00:41:17.920 --> 00:41:19.680]   Let's say you were working 40 hours a week.
[00:41:19.680 --> 00:41:23.920]   You come back and you're like, huh, shoot, I could probably do some 30 hours a week now.
[00:41:24.040 --> 00:41:29.980]   And either people go, man, you know, I really want to start doing yoga classes and my kid
[00:41:29.980 --> 00:41:30.840]   wants to do volleyball.
[00:41:30.840 --> 00:41:35.640]   Like maybe, maybe I'll like help with volleyball and you kind of invest more in your personal
[00:41:35.640 --> 00:41:35.940]   life.
[00:41:35.940 --> 00:41:39.700]   Or you go, there's this other project that I really wanted to do.
[00:41:39.700 --> 00:41:41.480]   Or there's this way I wanted to expand.
[00:41:41.480 --> 00:41:44.520]   Or there was these ideas that I had, but I never had the time.
[00:41:44.580 --> 00:41:51.640]   I never had the bandwidth and people can kind of really expand their business and grow their
[00:41:51.640 --> 00:41:55.820]   business exponentially because they took mini retirements.
[00:41:55.820 --> 00:41:59.100]   I don't know if this was because of the mini retirement or not, but I have a friend who
[00:41:59.100 --> 00:42:00.220]   got really good at this.
[00:42:00.220 --> 00:42:04.180]   And now I called him the other day and he's like, well, now I'm running four companies because
[00:42:04.180 --> 00:42:06.000]   he figured out the delegation, the automation.
[00:42:06.000 --> 00:42:11.840]   So I'll just say, take some baby steps because he went from one to zero to one.
[00:42:12.000 --> 00:42:15.800]   And then within weeks, he was like starting two and three and four.
[00:42:15.800 --> 00:42:18.900]   And now I think he wishes he took it a little slower, but you were right.
[00:42:18.900 --> 00:42:24.980]   Like when you learn how to set up these processes and automations and hire people and delegate,
[00:42:24.980 --> 00:42:29.200]   you can really extract yourself from the business and do lots more.
[00:42:29.200 --> 00:42:33.640]   But sometimes I think if any one of those businesses at the same time, there were big
[00:42:33.640 --> 00:42:36.260]   problems that he had to jump in, it would be a little bit of a disaster.
[00:42:36.260 --> 00:42:37.260]   Yeah.
[00:42:37.260 --> 00:42:43.280]   And the thing is you come back refreshed and rested and excited and creative, which
[00:42:43.280 --> 00:42:48.560]   can lead to, I'm going to do all the things and you might not feel that rested forever.
[00:42:48.560 --> 00:42:50.940]   So yeah, I think starting small.
[00:42:50.940 --> 00:42:55.280]   Now, I want to jump in for a couple of minutes into the whole finances stuff.
[00:42:55.280 --> 00:43:00.200]   We talked about it a little bit, but are there a few important things that we haven't touched
[00:43:00.200 --> 00:43:06.080]   on that people should be thinking about either when it comes to planning or saving or actually
[00:43:06.080 --> 00:43:07.880]   spending during their many retirements?
[00:43:07.880 --> 00:43:12.980]   So in the planning there, again, think about where you are in your financial journey.
[00:43:12.980 --> 00:43:17.980]   You can do more affordable things first and you can do it in a more affordable way.
[00:43:17.980 --> 00:43:19.980]   So if you're like, man, money's kind of tight.
[00:43:20.080 --> 00:43:23.100]   I don't definitely can't spend $30,000 on this.
[00:43:23.100 --> 00:43:27.200]   There's so many things that you can do if you are thoughtful about it.
[00:43:27.200 --> 00:43:32.360]   Like we used to travel all winter and we would rent at our house while we were gone.
[00:43:32.360 --> 00:43:35.120]   And that was $2,500 a month.
[00:43:35.120 --> 00:43:40.160]   And that pretty much covered, because we traveled in a camper, all of our camping fees and all
[00:43:40.160 --> 00:43:40.820]   of our gas.
[00:43:41.360 --> 00:43:46.160]   And I realized, oh, it costs us the same amount of money to live, whether we're living
[00:43:46.160 --> 00:43:48.320]   in our house or whether we're traveling full time.
[00:43:48.320 --> 00:43:54.100]   If you're like, I really, this really needs to be a budget trip, rent out your place and
