
[00:00:00.500 --> 00:00:01.920]   - Good afternoon.
[00:20:21.580 --> 00:20:23.900]   what man thinks is so mighty,
[00:20:23.900 --> 00:20:26.280]   what man thinks is so exalted,
[00:20:26.280 --> 00:20:30.200]   what man thinks is so immensely strong.
[00:20:30.200 --> 00:20:32.720]   When God actually has that,
[00:20:32.720 --> 00:20:37.220]   when God actually sees that and observes that
[00:20:37.220 --> 00:20:39.160]   and causes it to take place,
[00:20:39.160 --> 00:20:41.360]   what ends up taking place is this,
[00:20:41.360 --> 00:20:43.720]   it is just foolishness before God.
[00:20:43.720 --> 00:20:45.800]   That's the strength of man.
[00:20:45.800 --> 00:20:47.320]   That's the strength of man.
[00:20:47.320 --> 00:20:51.000]   And even more, God makes the point,
[00:20:51.000 --> 00:20:52.420]   if it wasn't for God,
[00:20:52.420 --> 00:20:55.280]   you would just be a beast.
[00:20:55.280 --> 00:20:59.840]   The difference between you and might and insanity
[00:20:59.840 --> 00:21:02.880]   is not this vast line of our power
[00:21:02.880 --> 00:21:04.920]   and our wisdom and our might,
[00:21:04.920 --> 00:21:07.740]   no, it is the thin line that God says,
[00:21:07.740 --> 00:21:10.800]   you are this or not, that's it.
[00:21:10.800 --> 00:21:12.120]   And so Nebuchadnezzar,
[00:21:12.120 --> 00:21:14.280]   though one of the top four contenders,
[00:21:14.280 --> 00:21:16.480]   he goes off into the annals of history
[00:21:16.480 --> 00:21:18.360]   as one not the final man,
[00:21:18.360 --> 00:21:20.080]   one not the final Adam,
[00:21:20.080 --> 00:21:22.440]   instead, he's just an illustration
[00:21:22.440 --> 00:21:25.720]   of God's definitive sovereignty.
[00:21:25.720 --> 00:21:27.260]   That God is the definition,
[00:21:27.260 --> 00:21:28.900]   God is the defining factor
[00:21:28.900 --> 00:21:30.920]   of whether you make it or you don't,
[00:21:30.920 --> 00:21:33.000]   whether you're like an animal or not,
[00:21:33.000 --> 00:21:34.560]   and that's it.
[00:21:34.560 --> 00:21:35.680]   So the first guy's out,
[00:21:35.680 --> 00:21:37.560]   what about the second one?
[00:21:37.560 --> 00:21:39.860]   He comes afterwards, behold, another beast,
[00:21:39.860 --> 00:21:41.160]   the second one, verse five,
[00:21:41.160 --> 00:21:42.440]   in the likeness of a bear,
[00:21:42.440 --> 00:21:45.360]   and it was raised up on one side.
[00:21:45.360 --> 00:21:48.440]   This corresponds exactly to what you see in Daniel two,
[00:21:48.440 --> 00:21:51.480]   where the next metal, the next material,
[00:21:51.480 --> 00:21:54.880]   is corresponding to the shoulders of a statue.
[00:21:54.880 --> 00:21:58.260]   You have this binary pair in verse five as well,
[00:21:58.260 --> 00:22:00.120]   raised up on one side.
[00:22:00.120 --> 00:22:02.080]   And the reason that there's this couplet,
[00:22:02.080 --> 00:22:03.960]   the reason that there is this pairing
[00:22:03.960 --> 00:22:07.760]   is because you have a confederation in this nation,
[00:22:07.760 --> 00:22:11.440]   Medo-Persia, Medo-Persia and its king.
[00:22:11.440 --> 00:22:15.440]   And the Bible is so amazingly precise in this way,
[00:22:15.440 --> 00:22:18.440]   and then the Bible continues such prophetic precision.
[00:22:18.440 --> 00:22:20.240]   Notice the next part of verse five,
[00:22:20.240 --> 00:22:22.200]   and three ribs were in its mouth.
[00:22:22.200 --> 00:22:25.840]   Those three ribs are Babylon, Lydia, and Egypt.
[00:22:25.840 --> 00:22:27.880]   Babylon, Lydia, and Egypt.
[00:22:27.880 --> 00:22:30.720]   That's exactly the nations that Medo-Persia
[00:22:30.720 --> 00:22:33.460]   had to conquer to ascend into power.
[00:22:33.460 --> 00:22:37.740]   The Bible knew these things way before they ever happened.
[00:22:37.740 --> 00:22:41.060]   The three ribs were in its mouth between its teeth,
[00:22:41.060 --> 00:22:46.060]   and thus they said to it, "Arise, devour much meat."
[00:22:46.060 --> 00:22:50.280]   Medo-Persia conquered far more than Babylon ever did.
[00:22:50.280 --> 00:22:53.220]   It went to Egypt, it went to Central Asia,
[00:22:53.220 --> 00:22:55.220]   it even tackled Greece.
[00:22:55.220 --> 00:22:56.700]   And on the one hand, it illustrates,
[00:22:56.700 --> 00:22:59.020]   there will always be somebody better than you.
[00:22:59.020 --> 00:23:01.380]   There will always be somebody better than you.
[00:23:01.380 --> 00:23:03.540]   Babylon, and those in Babylon at the time of Daniel
[00:23:03.540 --> 00:23:04.380]   needed to know that.
[00:23:04.380 --> 00:23:07.340]   They thought they were the top empire of the world,
[00:23:07.340 --> 00:23:09.660]   and indeed, up to that time in history, they were.
[00:23:09.660 --> 00:23:10.900]   But there's always somebody better.
[00:23:10.900 --> 00:23:12.460]   There's always someone who's gonna conquer more.
[00:23:12.460 --> 00:23:14.340]   There's always somebody gonna be doing more.
[00:23:14.340 --> 00:23:15.620]   Be humble.
[00:23:15.620 --> 00:23:18.060]   But on the other hand, brothers, pay attention.
[00:23:18.060 --> 00:23:19.600]   Look at the text carefully.
[00:23:19.600 --> 00:23:21.140]   Notice what it says.
[00:23:21.140 --> 00:23:26.140]   And thus, they said to it, "Arise, devour much meat."
[00:23:26.140 --> 00:23:29.100]   Who's the they?
[00:23:29.940 --> 00:23:34.940]   Who's telling this bear, this nation of Medo-Persia,
[00:23:34.940 --> 00:23:37.220]   to do what it does?
[00:23:37.220 --> 00:23:39.380]   This they is heaven.
[00:23:39.380 --> 00:23:41.920]   This is heaven.
[00:23:41.920 --> 00:23:43.380]   And this is a reminder.
[00:23:43.380 --> 00:23:47.980]   Do you want to know why people can do what they do
[00:23:47.980 --> 00:23:50.020]   and go as far as they go?
[00:23:50.020 --> 00:23:54.440]   It is because God says, "Go here and no further."
[00:23:54.440 --> 00:23:58.900]   God is the determiner of everything and all the extent
[00:23:58.900 --> 00:24:02.860]   and all the success or even the failures of one's life.
[00:24:02.860 --> 00:24:06.820]   God says, "Go here and no further," not just to the sea,
[00:24:06.820 --> 00:24:10.380]   but to every single human and to every single king
[00:24:10.380 --> 00:24:13.020]   and to every single kingdom.
[00:24:13.020 --> 00:24:14.620]   We might be impressed with people,
[00:24:14.620 --> 00:24:16.380]   and we might think that they're self-made people,
[00:24:16.380 --> 00:24:17.940]   but that is not true.
[00:24:17.940 --> 00:24:21.180]   They only go as far as God tells them to,
[00:24:21.180 --> 00:24:23.540]   no further and no less.
[00:24:23.540 --> 00:24:25.860]   God not only has defining sovereignty,
[00:24:25.860 --> 00:24:29.700]   he uses the second beast, the kingdom of Medo-Persia,
[00:24:29.700 --> 00:24:33.000]   to show that he has determining sovereignty.
[00:24:33.000 --> 00:24:35.700]   Well, that beast didn't work out either.
[00:24:35.700 --> 00:24:37.000]   So what about the third one?
[00:24:37.000 --> 00:24:38.120]   There's another one.
[00:24:38.120 --> 00:24:39.500]   Verse six.
[00:24:39.500 --> 00:24:41.540]   "After this, I kept looking and behold another one,
[00:24:41.540 --> 00:24:43.320]   "like a leopard, which had on its back
[00:24:43.320 --> 00:24:44.760]   "four wings of a bird."
[00:24:44.760 --> 00:24:47.420]   This is the mascot of Greece.
[00:24:47.420 --> 00:24:49.580]   This is exactly the nature of Greece.
[00:24:49.580 --> 00:24:51.860]   You can even see this in reliefs and such.
[00:24:51.860 --> 00:24:55.580]   This is Greece before its time.
[00:24:55.580 --> 00:24:58.220]   This is prophetic with absolute precision,
[00:24:58.220 --> 00:25:00.140]   and that it had four wings on its back
[00:25:00.140 --> 00:25:02.980]   not only speak of its reach to the four corners
[00:25:02.980 --> 00:25:05.140]   of the earth, but its swiftness to do so
[00:25:05.140 --> 00:25:07.340]   as it was led by Alexander the Great,
[00:25:07.340 --> 00:25:09.900]   who at a very young age conquered the known world
[00:25:09.900 --> 00:25:11.900]   in rapid succession.
[00:25:11.900 --> 00:25:13.540]   And speaking of Alexander the Great,
[00:25:13.540 --> 00:25:14.460]   notice the next phrase.
[00:25:14.460 --> 00:25:16.200]   The beast also had four heads.
[00:25:16.200 --> 00:25:17.040]   Why four?
[00:25:17.040 --> 00:25:19.220]   Well, on the one hand, yes, it speaks again
[00:25:19.220 --> 00:25:21.540]   to the reach of Greece, but on the other hand,
[00:25:21.540 --> 00:25:23.280]   there were four generals that succeeded
[00:25:23.280 --> 00:25:24.380]   Alexander the Great.
[00:25:24.380 --> 00:25:27.820]   The prophetic precision here is astounding.
[00:25:27.820 --> 00:25:30.460]   Those four generals, Lysimachus, Cassander,
[00:25:30.460 --> 00:25:33.380]   Ptolemy, and Seleucus, how would you know
[00:25:33.380 --> 00:25:36.260]   about them ahead of time?
[00:25:36.260 --> 00:25:39.540]   It is a testimony to the inspiration of Scripture.
[00:25:39.540 --> 00:25:46.640]   And this beast, being so massive and so expansive,
[00:25:46.640 --> 00:25:49.940]   it still says in the text, though,
[00:25:49.940 --> 00:25:54.940]   look at the final phrase, and dominion was given to it.
[00:25:54.940 --> 00:25:58.540]   Notice the text does not say it gained dominion
[00:25:58.540 --> 00:25:59.900]   for itself.
[00:25:59.900 --> 00:26:02.860]   Dominion was given to it.
[00:26:02.860 --> 00:26:07.500]   And the question is, who gave it dominion?
[00:26:07.500 --> 00:26:09.900]   And the answer is God.
[00:26:09.900 --> 00:26:14.420]   Alexander the Great conquered a vast swath of territory,
[00:26:14.420 --> 00:26:16.340]   spanning the whole known world
[00:26:16.340 --> 00:26:19.340]   and even going as far as India.
[00:26:19.340 --> 00:26:21.100]   And we might be impressed with the breadth
[00:26:21.100 --> 00:26:23.220]   of people's accomplishments and the breadth
[00:26:23.220 --> 00:26:25.020]   of people's sovereignty and the breadth
[00:26:25.020 --> 00:26:26.980]   of people's domain and authority,
[00:26:26.980 --> 00:26:28.180]   but here's what we have to remember.
[00:26:28.180 --> 00:26:32.060]   And Alexander, he's just an illustration of this,
[00:26:32.060 --> 00:26:34.340]   that God's sovereignty controls the breadth
[00:26:34.340 --> 00:26:37.460]   of human ability, the breadth of human achievement,
[00:26:37.460 --> 00:26:38.780]   the breadth of human authority.
[00:26:38.780 --> 00:26:40.020]   That's all he is.
[00:26:40.020 --> 00:26:41.500]   That's all he is.
[00:26:41.500 --> 00:26:43.340]   And God not only controls the breadth
[00:26:43.340 --> 00:26:44.780]   of human ability and authority,
[00:26:44.780 --> 00:26:46.540]   he controls the height of it as well.
[00:26:46.540 --> 00:26:48.540]   And that's what we see in verses seven and eight.
[00:26:48.540 --> 00:26:51.940]   There's a fourth contender for who could be the final Adam.
[00:26:51.940 --> 00:26:53.740]   And in verses seven and eight we read,
[00:26:53.740 --> 00:26:55.580]   after this I kept looking in the night visions
[00:26:55.580 --> 00:26:57.140]   and behold, a fourth beast.
[00:26:57.140 --> 00:26:58.460]   There's the fourth contender.
[00:26:58.460 --> 00:27:02.900]   Fearsome, one who innately has terrifying might.
[00:27:02.900 --> 00:27:05.620]   And he is terrifying because he's so intimidating
[00:27:05.620 --> 00:27:08.540]   and he is extraordinarily strong.
[00:27:08.540 --> 00:27:10.700]   He is one who can actually exert
[00:27:10.700 --> 00:27:12.460]   all that force against others.
[00:27:12.460 --> 00:27:15.380]   This is a beast of a totally different caliber.
[00:27:15.380 --> 00:27:19.300]   And notice it says in verse seven, and it had iron teeth.
[00:27:19.300 --> 00:27:21.700]   This not only goes back to Daniel chapter two,
[00:27:21.700 --> 00:27:23.980]   which talks about the part of a statue,
[00:27:23.980 --> 00:27:25.620]   the image that had iron,
[00:27:25.620 --> 00:27:29.140]   but this explicitly refers to the nation of Rome.
[00:27:29.140 --> 00:27:32.580]   In fact, Rome was famed for having iron.
[00:27:32.580 --> 00:27:35.780]   They even had the Iron Legion.
[00:27:35.780 --> 00:27:38.940]   The Bible is so prophetic and so precise in its prophecy,
[00:27:38.940 --> 00:27:40.660]   it even knew the materials,
[00:27:40.660 --> 00:27:42.740]   the key materials a nation would use
[00:27:42.740 --> 00:27:45.300]   before the nation even existed.
[00:27:45.300 --> 00:27:47.380]   That's how precise it is.
[00:27:47.380 --> 00:27:50.100]   It's astounding to think about.
[00:27:50.100 --> 00:27:54.700]   And Rome, we know, did exactly what verse seven said it did.
[00:27:54.700 --> 00:27:58.860]   It says it devoured as it assimilated other nations
[00:27:58.860 --> 00:28:01.100]   and into itself and crushed
[00:28:01.100 --> 00:28:03.180]   to prevent any kind of resistance
[00:28:03.180 --> 00:28:06.820]   and then trampled them down in their own form of oppression
[00:28:06.820 --> 00:28:08.460]   the remainder with its feet.
[00:28:08.460 --> 00:28:12.180]   Rome did exactly that as it exerted total domination.
[00:28:12.180 --> 00:28:13.660]   And in that way, it was different
[00:28:13.660 --> 00:28:15.580]   from all the beasts that were before it.
[00:28:15.580 --> 00:28:18.020]   Rome had a much longer duration,
[00:28:18.020 --> 00:28:20.660]   much greater reach, and much greater influence,
[00:28:20.660 --> 00:28:24.180]   one that you could even argue extends through this very day
[00:28:24.180 --> 00:28:27.060]   and even into the Eschaton, speaking of which,
[00:28:27.060 --> 00:28:28.820]   notice the last phrase of verse seven,
[00:28:28.820 --> 00:28:31.300]   and it had 10 horns.
[00:28:31.300 --> 00:28:32.940]   So far, we have seen things
[00:28:32.940 --> 00:28:37.300]   that match with history very, very well, hand in glove.
[00:28:37.300 --> 00:28:42.300]   But all of a sudden, we read that this beast had 10 horns.
[00:28:43.300 --> 00:28:46.860]   Horns are a symbol of strength and a symbol of royalty.
[00:28:46.860 --> 00:28:48.740]   We can read that in the Psalms.
[00:28:48.740 --> 00:28:50.660]   That's a good place to look.
[00:28:50.660 --> 00:28:55.660]   And as such, normally, you have a king over a kingdom.
[00:28:55.660 --> 00:28:57.420]   But in this specific case,
[00:28:57.420 --> 00:29:02.420]   this kingdom becomes so large and so magnificent,
[00:29:02.420 --> 00:29:04.580]   it doesn't just have one king,
[00:29:04.580 --> 00:29:07.060]   it has the equivalent of 10 kings.
[00:29:07.060 --> 00:29:08.380]   You could think of it this way.
[00:29:08.380 --> 00:29:13.020]   This kingdom reaches a state where it is 10 times larger,
[00:29:13.020 --> 00:29:16.380]   10 times wealthier, 10 times more powerful,
[00:29:16.380 --> 00:29:20.980]   10 times more expansive than any other kingdom of this world.
[00:29:20.980 --> 00:29:22.300]   We have not seen that yet.
[00:29:22.300 --> 00:29:24.580]   And just like in Daniel 2,
[00:29:24.580 --> 00:29:27.980]   the 10 toes of the statue were part of a statue
[00:29:27.980 --> 00:29:31.940]   made with iron and clay, a new iteration,
[00:29:31.940 --> 00:29:34.860]   a new manifestation of the kingdom of Rome.
[00:29:34.860 --> 00:29:39.260]   You could say it's Rome 2.0, if you wanna say it that way.
[00:29:39.260 --> 00:29:43.180]   This is referring to the eschatological manifestation
[00:29:43.180 --> 00:29:44.220]   of Rome.
[00:29:44.220 --> 00:29:47.140]   This is referring to the culmination of Rome
[00:29:47.140 --> 00:29:49.240]   in the end times.
[00:29:49.240 --> 00:29:53.380]   It is 10 times a kingdom than any kingdom
[00:29:53.380 --> 00:29:55.300]   you have ever seen.
[00:29:55.300 --> 00:29:58.960]   It is the kingdom of the Antichrist.
[00:29:58.960 --> 00:30:02.260]   And in verse eight, while I was contemplating the horns,
[00:30:02.260 --> 00:30:04.260]   and Daniel has to think about this
[00:30:04.260 --> 00:30:06.540]   because he's not just focusing on kingdoms,
[00:30:06.540 --> 00:30:08.900]   he's focusing on who will be the final Adam,
[00:30:08.900 --> 00:30:11.820]   and there is a king coming out of this kingdom.
[00:30:11.820 --> 00:30:15.440]   As he's contemplating the horns, another horn,
[00:30:15.440 --> 00:30:19.380]   a little one, the underdog, came up among them,
[00:30:19.380 --> 00:30:22.260]   and three of the first horns were pulled up by the roots.
[00:30:22.260 --> 00:30:24.680]   This individual, this singular horn,
[00:30:24.680 --> 00:30:28.140]   this new ruler, underdog on the block,
[00:30:28.140 --> 00:30:32.220]   totally upends and totally distorts and disturbs
[00:30:32.220 --> 00:30:34.980]   the power structure, the political system
[00:30:34.980 --> 00:30:39.260]   of this world in the end times.
[00:30:39.260 --> 00:30:42.420]   It has to be powerful to be able to do that.
[00:30:42.420 --> 00:30:46.660]   It has to be gargantuanly mighty to be able to do that,
[00:30:46.660 --> 00:30:47.980]   and you could think of it this way.
[00:30:47.980 --> 00:30:51.980]   This king, this king is the climax
[00:30:51.980 --> 00:30:53.940]   of the climax of the climax.
[00:30:53.940 --> 00:30:56.940]   Already, Rome itself, as a fourth kingdom,
[00:30:56.940 --> 00:31:00.020]   is a climactic kingdom, different than all the rest.
[00:31:00.020 --> 00:31:01.080]   That's the climax.
[00:31:01.080 --> 00:31:04.260]   But then it will have an eschatological manifestation
[00:31:04.260 --> 00:31:07.540]   with 10 horns, a 10-kingdom confederacy,
[00:31:07.540 --> 00:31:10.860]   and so that's the climactic climax of this kingdom,
[00:31:10.860 --> 00:31:13.380]   and now what you have is an antichrist
[00:31:13.380 --> 00:31:15.980]   who's the climax of those two climaxes.
[00:31:15.980 --> 00:31:20.220]   He's the climax of Rome and its eschatological manifestation,
[00:31:20.220 --> 00:31:22.940]   the climax of the climax of the climax,
[00:31:22.940 --> 00:31:26.820]   and as such, he possesses eyes, it says,
[00:31:26.820 --> 00:31:30.480]   at the end of verse eight, like the eyes of a man.
[00:31:30.480 --> 00:31:33.060]   The antichrist will be the embodiment
[00:31:33.060 --> 00:31:36.780]   of all human intelligence, all human wisdom.
[00:31:36.780 --> 00:31:39.840]   He will be a genius like you've never seen before,
[00:31:39.840 --> 00:31:41.500]   a political genius.
[00:31:41.500 --> 00:31:44.300]   Just by way of illustration, in the book of Revelation,
[00:31:44.300 --> 00:31:45.860]   when we first meet the antichrist,
[00:31:45.860 --> 00:31:48.620]   he's riding on a white horse because he's a fake Christ,
[00:31:48.620 --> 00:31:51.940]   and he conquers the world, and it says he has a bow
[00:31:51.940 --> 00:31:54.200]   to conquer the world, but what's fascinating
[00:31:54.200 --> 00:31:55.820]   is there's no mention of arrows.
[00:31:55.820 --> 00:32:00.420]   How do you fight with a bow with no arrows?
[00:32:00.420 --> 00:32:03.220]   I don't know how to do that because I don't know Kung Fu,
[00:32:03.220 --> 00:32:09.720]   but the antichrist, he can conquer the world
[00:32:09.720 --> 00:32:15.240]   without firing a shot because he's a genius.
[00:32:15.240 --> 00:32:19.160]   He's a genius like you've never seen before.
[00:32:19.160 --> 00:32:22.140]   He possesses eyes like the eyes of a man,
[00:32:22.140 --> 00:32:24.560]   and even more than that, notice this,
[00:32:24.560 --> 00:32:28.720]   he has a mouth that speaks great boasts.
[00:32:28.720 --> 00:32:32.320]   That word boasts, its underlying root word
[00:32:32.320 --> 00:32:35.300]   is the word great, and you say, why does that matter?
[00:32:35.300 --> 00:32:38.240]   Because the word great is used very strategically
[00:32:38.240 --> 00:32:41.760]   in the book of Daniel, and it ultimately applies to
[00:32:41.760 --> 00:32:45.280]   and focuses on the statue, which was a what kind of statue
[00:32:45.280 --> 00:32:48.920]   in Daniel's vision, a great statue.
[00:32:48.920 --> 00:32:51.920]   The statue, the image in Daniel chapter two,
[00:32:51.920 --> 00:32:53.980]   not only represented different kingdoms,
[00:32:53.980 --> 00:32:57.520]   but collectively represented all of man's power,
[00:32:57.520 --> 00:33:00.640]   all of man's might, take all of history,
[00:33:00.640 --> 00:33:03.440]   all the nations, boil them all together,
[00:33:03.440 --> 00:33:06.520]   and assemble all of the authority and dominion of them,
[00:33:06.520 --> 00:33:08.880]   that is what the antichrist has.
[00:33:08.880 --> 00:33:10.920]   You could put it this way, he is the climax
[00:33:10.920 --> 00:33:14.520]   of the climax of the climax, and he is the consolidation
[00:33:14.520 --> 00:33:18.920]   of all human intellect, wisdom, power, and might in one.
[00:33:18.920 --> 00:33:23.120]   This is the earth's final, final proposition,
[00:33:23.120 --> 00:33:27.000]   final proposal of who could be the final Adam,
[00:33:27.000 --> 00:33:29.400]   but there couldn't be more wrong.
[00:33:29.400 --> 00:33:32.260]   God has allowed all of this to happen.
[00:33:32.260 --> 00:33:34.640]   God has raised up all of this,
[00:33:34.640 --> 00:33:37.320]   and there is a point to it all,
[00:33:37.320 --> 00:33:38.640]   and we can't miss that point.
[00:33:38.640 --> 00:33:41.060]   There are a lot of lessons that we can learn
[00:33:41.060 --> 00:33:43.140]   through this flow of history.
[00:33:43.140 --> 00:33:45.680]   We can learn lessons about God's sovereignty,
[00:33:45.680 --> 00:33:48.000]   that he has definitive sovereignty,
[00:33:48.000 --> 00:33:50.640]   whether you are man or beast is up to God.
[00:33:50.640 --> 00:33:52.040]   He has determinative sovereignty.
[00:33:52.040 --> 00:33:54.200]   How far you go is determined by God.
[00:33:54.200 --> 00:33:56.040]   How the breadth of man's authority
[00:33:56.040 --> 00:33:57.440]   or the height of man's authority,
[00:33:57.440 --> 00:34:00.880]   it's all determined by God, and those lessons would be true.
[00:34:00.880 --> 00:34:03.440]   There are important lessons in Daniel 7, 1 through 8
[00:34:03.440 --> 00:34:05.660]   about the nature of the word of God,
[00:34:05.660 --> 00:34:09.040]   that God can have just this prophetic accuracy,
[00:34:09.040 --> 00:34:11.240]   talking about kingdoms in succession
[00:34:11.240 --> 00:34:14.040]   and talking about them in such immaculate detail
[00:34:14.040 --> 00:34:15.640]   way before they happen.
[00:34:15.640 --> 00:34:18.220]   Put it this way, God can talk about what happens
[00:34:18.220 --> 00:34:20.240]   after Alexander the Great is dead
[00:34:20.240 --> 00:34:22.800]   before the guy is even born.
[00:34:22.800 --> 00:34:24.680]   That is how precise God is,
[00:34:24.680 --> 00:34:27.680]   and what that testifies is there is a God in heaven,
[00:34:27.680 --> 00:34:29.200]   and he knows everything,
[00:34:29.200 --> 00:34:30.800]   and not only does he know everything,
[00:34:30.800 --> 00:34:32.280]   he ordains everything,
[00:34:32.280 --> 00:34:34.040]   and not only does he ordain everything,
[00:34:34.040 --> 00:34:36.800]   he revealed it all right here.
[00:34:36.800 --> 00:34:39.040]   This text should be a cause for celebration
[00:34:39.040 --> 00:34:41.080]   because that is the nature of our God.
[00:34:41.080 --> 00:34:44.360]   And not only that, we not only learn lessons
[00:34:44.360 --> 00:34:46.240]   about God's sovereignty and the word of God,
[00:34:46.240 --> 00:34:48.860]   we learn lessons about eschatology.
[00:34:48.860 --> 00:34:51.360]   There are implications knowing that these four kingdoms come
[00:34:51.360 --> 00:34:54.240]   and an eschatological kingdom of the Antichrist will arise,
[00:34:54.240 --> 00:34:56.480]   and after that, Christ will return and set up his kingdom,
[00:34:56.480 --> 00:34:58.900]   just like we see in Daniel two and Daniel seven.
[00:34:58.900 --> 00:35:00.600]   There are implications of that,
[00:35:00.600 --> 00:35:03.000]   but brothers, don't miss the point.
[00:35:03.000 --> 00:35:04.480]   Don't miss the point.
[00:35:04.480 --> 00:35:07.800]   There is a reason why the imagery of this text
[00:35:07.800 --> 00:35:09.380]   is the way it is,
[00:35:09.380 --> 00:35:11.880]   because heaven has asked a question.
[00:35:11.880 --> 00:35:15.760]   Heaven has asked a question of all world history,
[00:35:15.760 --> 00:35:20.040]   and that question is who is the one who fulfills creation?
[00:35:20.040 --> 00:35:23.240]   Who is the one who is the destiny of this world?
[00:35:23.240 --> 00:35:25.900]   Who is the one who is the final Adam?
[00:35:25.900 --> 00:35:28.360]   That is the question of this world.
[00:35:28.360 --> 00:35:31.600]   That is the question of its history, and brothers,
[00:35:31.600 --> 00:35:33.960]   if that is the case,
[00:35:33.960 --> 00:35:37.840]   then we better be careful of getting distracted
[00:35:37.840 --> 00:35:41.000]   and disillusioned by fads and trends
[00:35:41.000 --> 00:35:43.120]   instead of proclaiming the main question
[00:35:43.120 --> 00:35:46.960]   of who is the last Adam and who is that worthy?
[00:35:46.960 --> 00:35:47.940]   Let me put it this way.
[00:35:47.940 --> 00:35:51.560]   If that's God's question, that better be our question,
[00:35:51.560 --> 00:35:53.740]   because that's the main point.
[00:35:53.740 --> 00:35:57.600]   Even more, though, even more, don't miss this.
[00:35:57.600 --> 00:36:00.660]   God didn't just ask a question in this text
[00:36:00.660 --> 00:36:01.960]   with the imagery.
[00:36:01.960 --> 00:36:03.740]   God gave an answer.
[00:36:03.740 --> 00:36:08.000]   There is a reason why before Daniel's eyes in this vision,
[00:36:08.000 --> 00:36:11.560]   there is king after king and kingdom after kingdom
[00:36:11.560 --> 00:36:14.560]   after kingdom, because all of history is flowing,
[00:36:14.560 --> 00:36:16.240]   and all of history is moving,
[00:36:16.240 --> 00:36:19.040]   and all of history is accelerating to the moment
[00:36:19.040 --> 00:36:22.080]   where heaven will give its answer.
[00:36:22.080 --> 00:36:24.420]   That's where history is going.
[00:36:24.420 --> 00:36:26.280]   The earth has made proposals.
[00:36:26.280 --> 00:36:29.120]   They've given us the top four mighty ones,
[00:36:29.120 --> 00:36:31.240]   and some of you here are wondering,
[00:36:31.240 --> 00:36:33.160]   where's the USA in this?
[00:36:33.160 --> 00:36:36.280]   U-S-A, U-S-A.
[00:36:36.280 --> 00:36:37.920]   (congregation laughing)
[00:36:37.920 --> 00:36:40.980]   Brothers, we didn't even make it into the top four.
[00:36:40.980 --> 00:36:44.320]   (congregation laughing)
[00:36:47.200 --> 00:36:51.080]   And that shows us the power that these men had in history
[00:36:51.080 --> 00:36:53.280]   we've never seen in our life.
[00:36:53.280 --> 00:36:55.780]   We've never seen in our life.
[00:36:55.780 --> 00:36:57.280]   But here's something else to know.
[00:36:57.280 --> 00:37:00.840]   Christ's power is still yet more.
[00:37:00.840 --> 00:37:03.960]   And along that line, history is moving,
[00:37:03.960 --> 00:37:07.200]   kingdom after kingdom, accelerating and flowing
[00:37:07.200 --> 00:37:10.180]   to the moment where earth offers its best solution,
[00:37:10.180 --> 00:37:12.040]   but that is no solution at all.
[00:37:12.040 --> 00:37:14.480]   And so earth will give way to heaven,
[00:37:14.480 --> 00:37:17.640]   and heaven will come down, and heaven will open up
[00:37:17.640 --> 00:37:20.960]   with all of its glory, and all of its brilliant light,
[00:37:20.960 --> 00:37:24.120]   and thunderous clarity, and will proclaim the answer,
[00:37:24.120 --> 00:37:26.400]   the answer that everyone has been looking for.
[00:37:26.400 --> 00:37:27.800]   Who is the final Adam?
[00:37:27.800 --> 00:37:29.480]   Who is the destiny of this world?
[00:37:29.480 --> 00:37:31.780]   Who is the one who fulfills Genesis one?
[00:37:31.780 --> 00:37:34.540]   It is the Lord Jesus Christ.
[00:37:34.540 --> 00:37:36.880]   There is a moment we are waiting for,
[00:37:36.880 --> 00:37:41.340]   and by God's design, all history waits for it.
[00:37:41.340 --> 00:37:43.160]   That is the truth of the matter.
[00:37:43.160 --> 00:37:46.660]   (congregation applauding)
[00:37:46.660 --> 00:37:50.880]   And brothers, since that is the case,
[00:37:50.880 --> 00:37:53.720]   then let us not keep our eyes fixed
[00:37:53.720 --> 00:37:55.360]   on the things of this world,
[00:37:55.360 --> 00:37:57.120]   and the things of the here and now.
[00:37:57.120 --> 00:38:00.400]   God is directing us to look to a future moment
[00:38:00.400 --> 00:38:02.440]   when heaven announces to earth,
[00:38:02.440 --> 00:38:05.920]   and heaven declares to earth, our eyes should turn there,
[00:38:05.920 --> 00:38:08.720]   and we should turn the eyes of our people there.
[00:38:08.720 --> 00:38:10.760]   There is a moment we are waiting for.
[00:38:10.760 --> 00:38:13.160]   All history is designed to wait for it,
[00:38:13.160 --> 00:38:16.920]   and so we should await for it as well.
[00:38:16.920 --> 00:38:19.920]   Well, in light of that, let's get to the moment, shall we?
[00:38:19.920 --> 00:38:23.400]   And that's found in verses nine through 12.
[00:38:23.400 --> 00:38:26.080]   That is found in verses nine through 12.
[00:38:26.080 --> 00:38:26.980]   And you could put it this way.
[00:38:26.980 --> 00:38:29.000]   The first reality we saw is that all history
[00:38:29.000 --> 00:38:30.640]   is waiting for this moment.
[00:38:30.640 --> 00:38:34.880]   The second reality is, anthropologically speaking,
[00:38:34.880 --> 00:38:38.420]   it is as if the Father is waiting for this moment.
[00:38:38.420 --> 00:38:41.640]   It is as if the Father is waiting for this moment.
[00:38:41.640 --> 00:38:44.400]   What is this moment like?
