
[00:00:00.000 --> 00:00:08.460]   So I presented the other three Anthropic SAE kind of Macinturb papers. I think I'll just share
[00:27:42.860 --> 00:27:49.180]   for lead to lead to stay Austin. So passing these two together, we have the, you know, say a capital in
[00:27:49.180 --> 00:27:54.860]   Texas, uh, to stay Austin. Um, then they start to do some of this clamping work.
[00:27:54.860 --> 00:27:59.420]   Clamping is pretty interesting, right? So if we look at the most probable prediction,
[00:27:59.420 --> 00:28:05.980]   um, you know, capital of the state, Dallas, say Austin, Austin is most likely. If we take out
[00:28:05.980 --> 00:28:12.540]   this feature of say a capital capital of state, Texas. Well, uh, if we take out capital right now,
[00:28:12.540 --> 00:28:17.660]   it's just going to say Texas. If we take out Texas, it's just going to say capital of state,
[00:28:17.660 --> 00:28:24.460]   Dallas, say a capital, and then it's kind of confused, right? So, um, they have little different
[00:28:24.460 --> 00:28:30.140]   things as you, as you take out stuff. So if we take out capital state of Dallas, still Texas, if you take
[00:28:30.140 --> 00:28:38.940]   out, um, state, it's still going to say, it's going to say Austin now. So capital, Dallas, Texas still says
[00:28:38.940 --> 00:28:44.700]   Austin. From here, they start swapping in features. So if we swap in California, the feature for California
[00:28:44.700 --> 00:28:50.460]   is pretty interesting, right? We see ferry building marketplace, um, universal studios,
[00:28:50.460 --> 00:28:56.300]   sea world. You have a bunch of features that activate for California. Uh, what else have we got here?
[00:28:58.620 --> 00:29:03.660]   different features outdoor San Jose. These are cities. So these are cities in California.
[00:29:03.660 --> 00:29:11.500]   Um, Stockton, these are more cities, Riverside, Oakland, this one, the governor Republican. So this
[00:29:11.500 --> 00:29:16.860]   is kind of the political feature for California. Once they clamp this into the Dallas thing, if they
[00:29:16.860 --> 00:29:23.020]   replace this, the capital of the state containing Oakland is, um, they can get Cal, they, they can,
[00:29:23.020 --> 00:29:27.340]   oh, sorry. So they, they change the prompt, you know, the capital of the state containing Oakland,
[00:29:27.340 --> 00:29:32.940]   they find a California feature, a super feature of California. Then they can clamp it back in. Uh,
[00:29:32.940 --> 00:29:37.420]   when they clamp in the capital of Dallas, they replace it with our California feature. It says
[00:29:37.420 --> 00:29:43.660]   Sacramento. They do it to Georgia. They say it says Atlanta, uh, British Columbia says Victoria.
[00:29:43.660 --> 00:29:48.060]   They find like the, the British Columbia feature has stuff like, you know, Canada and whatnot.
[00:29:48.060 --> 00:29:56.380]   If they heavily add in China, it says Beijing. So this is kind of their process of how do we find
[00:29:56.380 --> 00:30:02.140]   these super features? Here's how we can find one. You know, we change the prompt to Oakland. We find
[00:30:02.140 --> 00:30:07.340]   something that represents California, a group of features. We swap that back into our original prompt
[00:30:07.340 --> 00:30:12.460]   of Dallas. And you know, now we get Sacramento. We can do the same thing for other things that we can
[00:30:12.460 --> 00:30:17.500]   kind of start to interpret this stuff. So that's kind of their, their first multi-step reasoning.
[00:30:17.500 --> 00:30:23.340]   So we can one, see that the model has this two level approach, right? So it first has to figure out,
[00:30:23.340 --> 00:30:28.380]   um, what state, then the capital of that state. And it's starting to do that. We can see that through
[00:30:28.380 --> 00:30:33.820]   the layers. The second one is we can start to clamp these features through, uh, Ted, do you want to
[00:30:33.820 --> 00:30:40.300]   pop in? Yeah. Just a super quick thing. So they do all of this circuit analysis on the replacement model,
[00:30:40.300 --> 00:30:45.740]   because it's way easier to analyze the replacement model. It's smaller, it's linear, it's all that
[00:30:45.740 --> 00:30:51.260]   stuff. But these experiments you show where they replace whatever Texas with California,
[00:30:51.260 --> 00:30:56.860]   those are done on the original LLM. That's, that's super important. So they're not trying to prove the
[00:30:56.860 --> 00:31:02.860]   replacement works this way. They're trying to prove the original LLM works the same way as the replacement.
[00:31:02.860 --> 00:31:09.500]   And so, um, in the chat, like, like this could all be a bunch of BS, but because the intervention
[00:31:09.500 --> 00:31:15.660]   works on the original model. So if you, if you said that, you know, the, the ligament in my leg
[00:31:15.660 --> 00:31:21.420]   is connected to vision and you, you cut that and I can't walk, but I can still see perfectly fine.
[00:31:21.420 --> 00:31:26.780]   Then your explanation is probably wrong. But if you say the optic nerve is, is really important
[00:31:26.780 --> 00:31:32.700]   for vision and you cut that and suddenly I'm blind then, but I can do everything else. I can walk,
[00:31:32.700 --> 00:31:37.500]   I can taste, I can do everything else just fine. That's pretty strong support that the, that the,
[00:31:37.500 --> 00:31:42.060]   the one thing you cut is critical component just for what you said it was.
[00:31:42.060 --> 00:31:49.740]   Yeah. Um, yeah, all this is still done on the original model. Uh, someone's asking what layers
[00:31:49.740 --> 00:31:54.700]   generate these super node features. So there's super nodes across different layers, right? So,
[00:31:54.700 --> 00:32:01.340]   uh, this is throughout different layers. There's one for California here, there's Oakland at this level.
[00:32:01.340 --> 00:32:05.660]   So it's kind of throughout, they have a lot of interactive charts that you can play through this
[00:32:05.660 --> 00:32:10.860]   to go through different layers. These are just kind of the hand cherry picked examples and they
[00:32:10.860 --> 00:32:15.660]   acknowledge this as well. They acknowledge that what they found is cherry picked and heavily
[00:32:15.660 --> 00:32:21.100]   biased towards what they thought was, you know, here's what we see. Here's what we should dig into.
[00:32:21.100 --> 00:32:27.100]   It's a bit of a limitation in the work, but nonetheless, it's still there. Um, another example that they
[00:32:27.100 --> 00:32:32.860]   show is, you know, uh, planning in poems. So how does Claude 3.5 haiku write a rhyming poem?
[00:32:32.860 --> 00:32:38.460]   So writing a poem requires satisfying two constraints at one time, right? There's two things that we have to do.
[00:32:38.460 --> 00:32:44.300]   The lines need to rhyme and they need to make sense. There's two ways that a model could do this. One is
[00:32:44.300 --> 00:32:51.340]   pure improvision, right? Um, model could just begin each line without regard of needing to rhyme. Uh,
[00:32:51.340 --> 00:32:55.900]   sorry, the model could write the beginning of each line without regard for needing to rhyme at the end.
[00:32:55.900 --> 00:33:01.740]   And then the last word just kind of has to rhyme with the first, or there's this planning step, right?
[00:33:01.740 --> 00:33:07.820]   So you can either just kind of start. And as you go, think of words that rhyme, or you can actually plan
[00:33:07.820 --> 00:33:13.740]   ahead. So this example tries to see, is there planning when, when I tell you to write a poem and I give you
[00:33:13.740 --> 00:33:19.180]   a word to start with, like, you know, write a poem and have something that rhymes with the word tape.
[00:33:19.180 --> 00:33:24.060]   I forced you to have the first word, and then you can start generating words that rhyme with tape.
[00:33:24.060 --> 00:33:29.340]   Or if I tell you to write a poem about something you can plan in advance before the first word is written.
[00:33:29.340 --> 00:33:36.460]   So, um, even though the models are, you know, trained to think one token at a time and predict the next
[00:33:36.460 --> 00:33:41.740]   token outside of, you know, thinking models, uh, we would assume that, you know, the model would rely
[00:33:41.740 --> 00:33:47.100]   on pure improvision, right? It will just kind of do it on the fly. But the interesting thing here is
[00:33:47.100 --> 00:33:54.300]   they kind of find a planning mechanism per se in what happens. So specifically the model often activates
[00:33:54.300 --> 00:33:59.020]   features corresponding to candidate end of next line words prior to writing the line.
[00:33:59.020 --> 00:34:06.700]   So before like the net, before the rhyming word is predicted, even if it's at the end of the line,
[00:34:06.700 --> 00:34:14.220]   we can see traces of it starting to come up pretty early on. Um, so for example, a rhyming, a rhyming
[00:34:14.220 --> 00:34:21.100]   couplet, he saw a carrot and had to grab it. His hunger was a powerful rabbit or starving like a rabbit.
[00:34:21.100 --> 00:34:27.660]   Um, these words start to show up pretty early on. So first let's look at, you know, where do these features
[00:34:27.660 --> 00:34:35.340]   come from? Um, what are the different features that form them? So for habit, um, you know, 50x very clear
[00:34:35.340 --> 00:34:43.020]   reason, best answer. Um, for habit there's, there's just different features, mobile app that gamifies
[00:34:43.020 --> 00:34:53.020]   habit tracking, habit tracker, habit formation, uh, budgeting, rapid habit formation, discussing
[00:34:53.020 --> 00:34:59.340]   habits with doctors. So, you know, once again, they've got this concept of habit. Uh, let's see where it starts to come in.
[00:34:59.340 --> 00:35:07.020]   So before they go into their thing, they talk about prior work. Um, sequence models, add a body of example in several ways.
[00:35:07.020 --> 00:35:14.700]   We provide a mechanistic account for how words are planned, forward planning, backward planning, the model...
[00:35:14.700 --> 00:35:16.700]   Oh, shit. Um...
[00:35:16.700 --> 00:35:28.700]   Here we are. Uh, the whole, the model holds multiple possible planned words in mind. We're able to edit the model's planned words.
[00:35:28.700 --> 00:35:36.380]   We discover, um, the mechanism with an unsupervised bottom-up approach. Model used to represent words,
[00:35:36.380 --> 00:35:43.580]   ordinary features. Okay. Planned words and their mechanistic role. So, um, we study how Claude completes
[00:35:43.580 --> 00:35:48.380]   the following prompt asking for a rhyming couplet. The model's output sampling the most likely token is shown
[00:35:48.380 --> 00:35:55.420]   in bold. So, uh, this is kind of the input, a rhyming couplet. He saw a carrot and had to grab it. The output we get is,
[00:35:55.420 --> 00:36:02.060]   his hunger was like a starving rabbit. So model, the output is coherent. It makes sense and it rhymes, right?
[00:36:02.060 --> 00:36:09.420]   So, uh, starving rabbit, carrot, kind of all rhymes there. To start, we focus on the last word of the
[00:36:09.420 --> 00:36:15.500]   second line and attempt to identify the circuit that can shoot that, uh, contributed to choosing rabbit. So
[00:36:15.500 --> 00:36:22.620]   this makes sense, right? Rabbits like carrots, um, grab it, rabbit, it rhymes. So there's kind of that
[00:36:22.620 --> 00:36:26.700]   two-step thing. Was it just the last token predicted or did we have some thought to it?
[00:36:26.700 --> 00:36:34.460]   Okay. So these are kind of the, the features. So it comma hunger was like starving. Okay. Let's,
[00:36:34.460 --> 00:36:43.900]   let's start to dig through this. So rhymes with, there's a feature here of rhymes with it, it sound, um, get, um,
[00:36:45.340 --> 00:36:50.300]   that they have features that activate across different languages and stuff that activate,
[00:36:50.300 --> 00:36:55.420]   uh, that, you know, have this sort of rhyming feature. Then they have rabbit and habit that came up,
[00:36:55.420 --> 00:37:03.900]   um, say rabbit. And then this feature of the dash T and then, oh, cool. We got rabbit. What does this show?
[00:37:03.900 --> 00:37:09.980]   The attribution graph above computed by, uh, attributing back from the rabbit output node shows
[00:37:09.980 --> 00:37:14.620]   an important group of features activate on the new line token before the beginning of the second line
[00:37:14.620 --> 00:37:20.540]   features activate over the it token, uh, activate. So, um,
[00:37:20.540 --> 00:37:30.940]   basically the second last output token where, um, grab it had features that activated these different,
[00:37:30.940 --> 00:37:38.300]   um, you know, sort of rhyming tokens. The candidates have, uh, the candidate completions in turn have
[00:37:38.300 --> 00:37:43.660]   positive edges to say rabbit features over the last token. So that's this hypothesis. We perform a
[00:37:43.660 --> 00:37:48.540]   variety of interventions on new line planning sites to see how probability, how it affects the probability
[00:37:48.540 --> 00:37:57.980]   of the last token. Okay. So let's, uh, 10 X down the word habit and we've got different changes, 10 X up
[00:37:57.980 --> 00:38:04.460]   and down new line, um, different things affect different things. The results confirm our hypothesis that features
[00:38:04.460 --> 00:38:10.780]   that planning features strongly influence the final token. So if we kind of take out that new line
[00:38:10.780 --> 00:38:16.860]   token, we can see, oh, it's a, it's not doing this anymore. Okay. Planning features only matter at
[00:38:16.860 --> 00:38:23.740]   planning location, planning words, influence immediate words, nothing too interesting here. Okay. Clamping
[00:38:23.740 --> 00:38:28.540]   was a line to lead to transformer. How do they map trans corridor back to transformer? Say we clamp Texas.
[00:38:28.540 --> 00:38:34.220]   So in, there's a question around the clamping stuff and how this is working. The previous SAE thing that
[00:38:34.220 --> 00:38:39.740]   they put out in May, it explains how they do all these clamping features. Uh, basically same thing.
[00:38:39.740 --> 00:38:44.780]   There's more in here as well. In both of these papers, they kind of go into the math about it as well, but
[00:38:45.660 --> 00:38:52.860]   keeping it high level. Let's just kind of try to see, um, some more of these planned words. So, um,
[00:38:52.860 --> 00:38:59.900]   yep, we can, we can sort of see as we take out different things, uh, we no longer have this planning
[00:38:59.900 --> 00:39:05.980]   step. Okay. I'm going to go quickly through the next few ones, ideally in the next like seven minutes,
[00:39:05.980 --> 00:39:11.180]   and then we'll leave the last 10 minutes for just questions and discussions on this. So we first,
[00:39:11.180 --> 00:39:17.660]   you know, we just saw how there's pre-planning in poems for rhyming. There's this multi-step sort of
[00:39:17.660 --> 00:39:24.460]   thinking that happens throughout layers. Uh, now we've got multilingual circuits. So models, uh, modern
[00:39:24.460 --> 00:39:30.220]   networks have highly abstract representations and unified concepts across multiple languages. So we have
[00:39:30.220 --> 00:39:36.060]   little understanding of how these features fit in larger, larger circuits. Let's see how it, um, you know,
[00:39:36.060 --> 00:39:43.500]   how does it go through the exact same prompt in different languages? Are there features that fire
[00:39:43.500 --> 00:39:49.740]   that are consistent through different languages? Um, also fun fact, I guess rabbits don't eat carrots.
[00:39:49.740 --> 00:39:58.220]   Carrots are like treats. Crazy, crazy. Someone knows about, um, rabbits. Okay. So, um, the opposite of small is,
[00:39:58.220 --> 00:40:05.260]   and then we would expect big in French. It's grand in Chinese. It's this character. Um, let's see if there's
[00:40:05.260 --> 00:40:11.340]   consistency across these features. So high level story features the same. The model recognizes using a language
[00:40:11.340 --> 00:40:20.700]   independent, um, representation. So very interesting. There's language independent, uh, representation. So this term of
[00:40:20.700 --> 00:40:29.020]   say large, uh, is something that, uh, that activates across all three languages. Let's see some of the features. So, um,
[00:40:29.020 --> 00:40:36.940]   large has stuff like, you know, 42nd order. Uh, there's a Spanish version in here, uh, short arm and long arm.
[00:40:36.940 --> 00:40:47.340]   It activates in this language. It activates in a numerical sense. It activates small things. Great. Um,
[00:40:47.340 --> 00:40:52.220]   this feature is kind of multilingually representing the word large. Um,
[00:40:52.220 --> 00:40:57.580]   same thing with antonyms. So, um,
[00:40:57.580 --> 00:41:03.420]   yeah, there's, there's kind of just these high level features that activate. So
[00:41:03.420 --> 00:41:10.300]   the opposite of small is little, uh, there's a synonym feature, antonym, antonym kind of synonym, multilingual,
[00:41:10.300 --> 00:41:13.020]   say small, say cold, say large. Um,
[00:41:13.660 --> 00:41:17.660]   very interesting. Editing the operation antonyms, the synonyms is kind of another one.
[00:41:17.660 --> 00:41:24.860]   They can kind of clamp this in. So, um, they show how that works. Editing small, the hot.
[00:41:24.860 --> 00:41:30.300]   Okay. Editing the output language. There's another thing that we can start to do. So if we start to
[00:41:30.300 --> 00:41:35.900]   swap in the features for different languages, you know, we can get output in different language. Um,
[00:41:35.900 --> 00:41:41.820]   more circuits for French, I think it's okay. You can go through this on your own time. Do models
[00:41:41.820 --> 00:41:46.860]   think in English? This is an interesting one. As researchers have begun to mechanistically
[00:41:46.860 --> 00:41:51.420]   investigate multilingual properties of models, there's been tension in our link in our literature.
[00:41:51.420 --> 00:41:58.060]   Researchers have found multilingual neurons and features and evidence of multilingual representations.
[00:41:58.060 --> 00:42:04.220]   On the other hand, there's present evidence that models, um, you know, they, they use English
[00:42:04.220 --> 00:42:09.820]   representation. It's, uh, so what should we make of this conflicting evidence? It seems to us that
[00:42:09.820 --> 00:42:15.820]   Claude 3.5's haiku is generally, is using genuinely multilingual features, especially in the middle
[00:42:15.820 --> 00:42:22.780]   layer. So in middle layers, we see multilingual features. Um, there in, there are important mechanistic
[00:42:22.780 --> 00:42:28.300]   ways in which English is privileged. For example, multilingual features have more significant direct
[00:42:28.300 --> 00:42:34.140]   weights to corresponding English output nodes while non-English outputs being more strongly meditated in
[00:42:34.140 --> 00:42:39.100]   the XY language features. So kind of interesting. There's still a bit of an English bias, but you know,
[00:42:39.100 --> 00:42:46.540]   there are definitely some inherent, um, multilingual features there. Okay. Next example is English.
[00:42:47.500 --> 00:42:54.060]   Uh, we want to see how does Claude add two numbers like 36 plus 59. Uh, we found that we can, uh,
[00:42:54.060 --> 00:43:01.180]   we found that it split the problem into multiple pathways, computing the result in a, at a rough
[00:43:01.180 --> 00:43:06.940]   precision parallel computing while one digits answer before reconstructing these to get the cue key, uh,
[00:43:06.940 --> 00:43:12.060]   the correct answer. We find a key step performed by a lookup table feature. Ooh, very interesting.
[00:43:12.060 --> 00:43:17.340]   Lookup table feature that translates the properties of inputs. Okay. Let's kind of see what's
[00:43:17.340 --> 00:43:24.300]   going on first. We visualize the role of addition problems using operators, um, show the activity
[00:43:24.300 --> 00:43:31.420]   of features on the equal token for prompts, uh, calculation AB. So addition features, calculate
[00:43:31.420 --> 00:43:37.340]   a plus B equals, they kind of have this lookup table, some features. It's very interesting how it's
[00:43:37.340 --> 00:43:45.180]   doing attention. Uh, this one gets a little bit complex in how we go through what's happening here in the
[00:43:45.180 --> 00:43:51.260]   case. And the sake of time, I think that's enough of a little overview. They can, of course, mess with
[00:43:51.260 --> 00:43:58.220]   its math. Let's go on to the next one. Medical diagnosis. This is a fun one. In recent years,
[00:43:58.220 --> 00:44:03.580]   researchers have explored medical applications for LLMs, for example, aiding clinicians in accurate
[00:44:03.580 --> 00:44:10.300]   diagnosis. So what happens? Thus, we are interested in whether our methods can shake lights on reasoning
[00:44:10.300 --> 00:44:16.780]   model on the reasoning models perform internally in medical contexts. We study an example scenario
[00:44:16.780 --> 00:44:22.140]   in which a model is presented information with a P about a patient and asked to suggest a follow-up
[00:44:22.140 --> 00:44:27.340]   question to inform diagnosis of the treatment. This mirrors common medical practice. Um,
[00:44:28.540 --> 00:44:35.580]   okay. So let's see what happens. Um, human, a 32 year old female, 30 week gestation period, this,
[00:44:35.580 --> 00:44:42.540]   this, this mild headache, nausea. Um, if only we can ask one symptom, what would she, what would,
[00:44:42.540 --> 00:44:48.620]   what would we ask assistant visual disturbances? So the model is most, the model's most likely
[00:44:48.620 --> 00:44:56.220]   completion here is visual disturbances. And this two key indicators in this issue. Okay. We noticed that the
[00:44:56.220 --> 00:45:03.900]   model activated a number of features that activate in context of this, um, you know, this issue in people.
[00:45:03.900 --> 00:45:10.700]   So what are these features in coming to this? Okay. Their, their UI is struggling, uh, slightly more
[00:45:10.700 --> 00:45:18.220]   deadly material, uh, gestational disease pressure. So there's a bunch of features that come up to this
[00:45:18.220 --> 00:45:27.020]   blood pressure, protein stroke. Um, some of the other features were on synonyms of this other
[00:45:27.020 --> 00:45:32.940]   activations in broad context, kind of interesting, right? So they do see this kind of internal
[00:45:32.940 --> 00:45:37.820]   understanding. They have more examples of this for different stuff. So, you know, if we could only ask
[00:45:37.820 --> 00:45:43.180]   stuff, it's whether he's experiencing chest pain in this one, whether there's a rash and they kind of go
[00:45:43.180 --> 00:45:47.500]   through what are some of the features that make this stuff up here. Uh, pretty interesting. I think
[00:45:47.500 --> 00:45:53.180]   you should check it out if interested, if interested. Okay. Uh, 10 minutes left. I think there's a lot
[00:45:53.180 --> 00:45:59.740]   more of these are clamping this there's entity recognition, there's refusals, but okay. I want to
[00:45:59.740 --> 00:46:04.780]   pause here. See if we have any other comments, questions, thoughts, things that we want to dig more into.
[00:46:09.900 --> 00:46:16.380]   I'm going to check chat, but see if there's, um, yeah, if anyone has any stuff they want to dig into,
[00:46:16.380 --> 00:46:25.260]   let's feel free, you know, pop in. Could you do a quick overview of the hallucination section?
[00:46:25.260 --> 00:46:34.380]   Yeah. Let's just keep going. Um, so entity recognition and hallucination. So basically,
[00:46:34.380 --> 00:46:39.420]   hallucination is where you make up false information, right? Hallucination is common when models are asked
[00:46:39.420 --> 00:46:45.260]   about obscure facts because they like to be confident. An example, consider this hallucination by, uh,
[00:46:45.260 --> 00:46:53.100]   given by Haiku 3.5. So prompt, uh, this guy plays the sport of completion pickleball, which is a paddle
[00:46:53.100 --> 00:46:59.020]   ball sport, uh, that consists of elements of this. The behavior is reasonable in the model's, uh, training
[00:46:59.020 --> 00:47:04.700]   data. A sentence seems likely to be associated with the name of a sport without any information of who this
[00:47:04.700 --> 00:47:12.620]   guy is the model says a plausible support, uh, plausible sport at random during fine tuning.
[00:47:12.620 --> 00:47:19.740]   However, models are trained to avoid such Bob, uh, behavior when acting in the assistant character,
[00:47:19.740 --> 00:47:25.260]   this leads to responses like the following. So base model Haiku without it's kind of, um,
[00:47:25.260 --> 00:47:32.460]   um, you know, RL chat tuning. It just completes this and says, Oh, the sentence sounds like a sport.
[00:47:32.460 --> 00:47:38.460]   I will give you a sport. Now, after their sort of training, what sport does this guy play answer in
[00:47:38.460 --> 00:47:43.820]   one word models like, Oh shit, I can't do that. I don't know who this is. I need context. Given that
[00:47:43.820 --> 00:47:49.420]   hallucination is some sense of natural behavior, which is mitigated by fine tuning. We take a look at the
[00:47:49.420 --> 00:47:54.780]   the service, uh, the circuits that prevent models from hallucinating. So they're not really in this
[00:47:54.780 --> 00:47:58.460]   sense, looking at hallucination and what caused it. They're looking at how they fixed it. So,
[00:47:58.460 --> 00:48:05.900]   uh, quick high level TLDR. We have base models. We do this RL or SFT and we convert them into chat
[00:48:05.900 --> 00:48:10.060]   models, right? In that we have this preference tuning. One of the things that they're trained to
[00:48:10.060 --> 00:48:15.420]   do is be a helpful assistant. And that the objective is kind of, if you don't know what to say,
[00:48:16.060 --> 00:48:20.220]   you know, you tell them, you don't know, and you ask for more context. So base model
[00:48:20.220 --> 00:48:24.140]   would just complete tokens and be like, this guy plays pickleball. Cause it sounds like he plays a
[00:48:24.140 --> 00:48:31.020]   sport. Um, there's probably a famous Michael or two or, or Batkin that play pickleball. Um,
[00:48:31.020 --> 00:48:35.820]   assistant model is like, yo, I don't know who this guy is. So let me ask for more information,
[00:48:35.820 --> 00:48:41.980]   but let's start to look at, um, what are these features that make that up? So hallucinations can be
[00:48:41.980 --> 00:48:48.060]   attributed to a misfire in the circuit. For example, when asking the model for papers written by a
[00:48:48.060 --> 00:48:52.940]   particular author, the model may activate some of these known act answer features,
[00:48:52.940 --> 00:48:59.260]   even if it locked lacks the specific knowledge of the author, uh, knowledge of author specific papers.
[00:48:59.260 --> 00:49:05.980]   This is one kind of interesting, right? So our results were related to recent findings of Fernando
[00:49:06.780 --> 00:49:11.660]   use sparse, uh, which use sparse, sparse autoencoders to find features that represent unknown
[00:49:11.660 --> 00:49:18.140]   entities. So this. So, okay. Human in which country is a great wall located? Uh, it says China in which
[00:49:18.140 --> 00:49:25.180]   country is this based? It's okay. Um, known answer, unknown answer, different features, difficult,
[00:49:25.180 --> 00:49:34.140]   uh, default, uh, default refusal circuits. There's a can't answer, um, feature directly activate broadly
[00:49:34.140 --> 00:49:40.380]   fire for human assistant prompts. The picture suggests that the can't answer feature was activated by
[00:49:40.380 --> 00:49:45.500]   default for human assistant prompts. In other words, the model is skeptical of user. So they kind of show
[00:49:45.500 --> 00:49:53.820]   this can't answer, can't answer also, uh, can't answer features are also pro pro promoted by a group of
[00:49:53.820 --> 00:50:00.780]   unfamiliar names. So names that it doesn't understand are, I guess, a feature, uh, these kind of just prompt
[00:50:00.780 --> 00:50:07.420]   it to say, I can't answer. I don't know. Okay. Now what about the known answer circuit? So where does Mike,
[00:50:07.420 --> 00:50:13.420]   what sport does Michael Jordan play? He plays basketball. So there's a group of known answer and known entity
[00:50:13.420 --> 00:50:19.420]   features. These are what accidentally misfire when you get hallucination. That's a bit of a spoiler,
[00:50:19.420 --> 00:50:27.260]   but you know, uh, known answer is like different features that kind of, you know, what answer is,
[00:50:27.260 --> 00:50:33.820]   what country is this based in? It knows Japan. What team does Devin Booker play on? It knows the answer.
[00:50:33.820 --> 00:50:39.740]   Where's the great wall located? These are kind of known internal facts. There's a feature for it. Once this fires,
[00:50:39.740 --> 00:50:43.740]   you're cooked, it's going to answer and you know, it'll hallucinate. Once this has gone off, there's
[00:50:43.740 --> 00:50:48.540]   strong evidence for that. Um, this graph, these graphs are kind of a little interesting. They kind
[00:50:48.540 --> 00:50:55.180]   of show both sides. Um, so this is kind of the traversal throughout the layers in the RL, right?
[00:50:55.180 --> 00:51:01.740]   So we had, um, this assistant feature because it's an assistant unknown name was a feature. And then,
[00:51:01.740 --> 00:51:07.740]   you know, that leads to, I can't answer because this thing has been RL to not answer stuff. I apologize.
[00:51:07.740 --> 00:51:12.140]   So can't answer. I apologize. I can't figure this out. That's where the next turns come up because that
[00:51:12.140 --> 00:51:17.100]   shows up after that. What about something we don't know? Michael Jordan. Oh, I know this answer. There's
[00:51:17.100 --> 00:51:23.820]   a bunch of stuff that, sorry. So first we have assistant and Michael Jordan in layer one known
[00:51:23.820 --> 00:51:29.180]   answer. Oh my God. Okay. No one answer. I know a bunch of these facts say basketball,
[00:51:29.180 --> 00:51:34.780]   Oh, basketball has said vertical vertical. Now let's once again, do a bunch of fun clamping stuff,
[00:51:34.780 --> 00:51:44.300]   right? So, um, if we have Michael, Michael Jordan and we have known answer and we clamp it,
[00:51:44.300 --> 00:51:49.980]   it says basketball. What if we clamp down known answers? If we take that feature, we turn it down,
[00:51:49.980 --> 00:51:55.580]   even though the question is what sport does Michael Jordan play? We clamp down known answer. Well,
[00:51:55.580 --> 00:52:01.820]   it can't answer because the other one that fires up is unknown answer. Um, what sport does it play if we,
[00:52:02.540 --> 00:52:07.980]   if we still have strong known answer and we add in unknown name, it still says basketball,
[00:52:07.980 --> 00:52:13.820]   um, little stuff here to kind of go through, but that's kind of a high level of what's going on.
[00:52:13.820 --> 00:52:19.260]   I thought the academic papers one is another interesting. So, um, same concept, but you know,
[00:52:19.260 --> 00:52:28.060]   this is this unknown name feature of stuff. So name paper written by Senpai, Senpai Karpathy. One notable
[00:52:28.060 --> 00:52:34.940]   paper is image net. Um, there's kind of the same thing, known answer unknown name. If we change them
[00:52:34.940 --> 00:52:43.180]   up, what happens? Um, pretty, pretty fun stuff, you know? Okay. That's kind of high level of what's
[00:52:43.180 --> 00:52:48.140]   happening in the hallucination. Refusals was another interesting one. It's kind of interesting to see
[00:52:48.140 --> 00:52:53.340]   some of the output to the base model and how their RL is like, you know, showing how this stuff works.
[00:52:53.340 --> 00:52:58.940]   They have known entity and unknown entity features and say, I don't know features. The I don't know
[00:52:58.940 --> 00:53:05.260]   feature is much less interesting. The unknown feature relates to self knowledge. Okay. Yeah. Just
[00:53:05.260 --> 00:53:10.860]   interesting thoughts on this. Cool. Three more minutes. Any other fun thoughts, questions, comments?
[00:53:11.980 --> 00:53:17.820]   I would recommend reading through just examples of this. Um, and if you haven't, the SAE one is pretty
[00:53:17.820 --> 00:53:29.100]   fun too. Here's kind of the limitations, what issues show up, um, discussion. What have we, what have we
[00:53:29.100 --> 00:53:36.460]   learned? Um, yeah, kind of high level. Interesting. The background of this is kind of this circuit tracing
[00:53:36.460 --> 00:53:42.140]   transcoder work. It's very interesting how they can just train a model with a reconstruction loss and
[00:53:42.140 --> 00:53:47.500]   just have it match the output because you know, these models are still only 30 million features,
[00:53:47.500 --> 00:53:52.540]   even though they have the same layers, it's still outputting the exact same outputs. Kind of interesting.
[00:53:52.540 --> 00:54:00.460]   Uh, do folks think the taxonomy of circuits, how circuits are divided will likely converge to be a
[00:54:00.460 --> 00:54:05.020]   same breakdown every model or with different models, do different things differently. I think that
[00:54:05.020 --> 00:54:08.860]   different models might do different things differently, right? Cause this is layer wise
[00:54:08.860 --> 00:54:13.100]   understanding different models have different architectures, different layers, whether they're
[00:54:13.100 --> 00:54:19.420]   MOEs, they're also trained in different ways, right? So the pre-training data set mixture kind of affects
[00:54:19.420 --> 00:54:26.380]   some of this. So what if you're trained on high value, you know, training data first, and then garbage
[00:54:26.380 --> 00:54:31.580]   at the end, you've probably got slop in your model, but you know, you might have different circuits that go
[00:54:31.580 --> 00:54:37.900]   throughout. Um, and then there's obviously some general variety. Um, they did though, they did
[00:54:37.900 --> 00:54:43.900]   actually in this one train it on a 18 layer language model, just a general model on a couple billion tokens.
[00:54:43.900 --> 00:54:48.940]   And it still has coherency in what you expect. This still goes back to like early transformer stuff. You know,
[00:54:48.940 --> 00:54:55.660]   we have a basic understanding of early layers are more general and layers are more niche and output specific, but.
[00:54:55.660 --> 00:55:01.580]   Okay, that's kind of, um, kind of time on the hour.
[00:55:01.580 --> 00:55:10.700]   I think next week and the week after we have a few volunteers, if Lama 4 drops a paper, we'll cover it,
[00:55:10.700 --> 00:55:16.060]   of course. But I think we have a few volunteers. We'll, we'll share in discord. What's what's coming
[00:55:16.060 --> 00:55:22.300]   soon? If anyone wants to volunteer a paper, if anyone wants to, you know, follow up, please share.
