
[00:00:00.040 --> 00:00:09.540]   granddaughter
[00:24:18.840 --> 00:24:18.840]   I'll be sure to put that in the comments.
[00:24:18.840 --> 00:24:18.840]   I'll be sure to put that in the comments.
[00:24:18.840 --> 00:24:18.840]   I'll be sure to put that in the comments.
[00:24:18.840 --> 00:24:18.840]   I'll be sure to put that in the comments.
[00:24:18.840 --> 00:24:18.840]   I'll be sure to put that in the comments.
[00:24:18.840 --> 00:24:18.840]   I'll be sure to put that in the comments.
[00:24:18.840 --> 00:24:18.840]   I'll be sure to put that in the comments.
[00:24:18.840 --> 00:24:18.840]   I'll be sure to put that in the comments.
[00:24:18.840 --> 00:24:18.840]   I'll be sure to put that in the comments.
[00:24:18.840 --> 00:24:18.840]   I'll be sure to put that in the comments.
[00:24:18.840 --> 00:24:18.840]   I'll be sure to put that in the comments.
[00:24:18.840 --> 00:24:48.860]   I'll be sure to put that in the comments.
[00:24:48.860 --> 00:24:48.860]   I'll be sure to put that in the comments.
[00:24:48.860 --> 00:24:48.860]   I'll be sure to put that in the comments.
[00:24:48.860 --> 00:24:48.860]   I'll be sure to put that in the comments.
[00:24:48.860 --> 00:24:48.860]   I'll be sure to put that in the comments.
[00:24:48.860 --> 00:24:48.860]   I'll be sure to put that in the comments.
[00:24:48.860 --> 00:24:48.860]   I'll be sure to put that in the comments.
[00:24:48.860 --> 00:24:48.860]   I'll be sure to put that in the comments.
[00:24:48.860 --> 00:24:48.860]   I'll be sure to put that in the comments.
[00:24:48.860 --> 00:24:48.860]   I'll be sure to put that in the comments.
[00:24:48.860 --> 00:24:48.860]   I'll be sure to put that in the comments.
[00:24:48.880 --> 00:25:18.880]   I'll be sure to put that in the comments.
[00:25:18.880 --> 00:25:18.880]   I'll be sure to put that in the comments.
[00:25:18.880 --> 00:25:18.880]   I'll be sure to put that in the comments.
[00:25:18.880 --> 00:25:18.880]   I'll be sure to put that in the comments.
[00:25:18.880 --> 00:25:18.880]   I'll be sure to put that in the comments.
[00:25:18.880 --> 00:25:18.880]   I'll be sure to put that in the comments.
[00:25:18.880 --> 00:25:18.880]   I'll be sure to put that in the comments.
[00:25:18.880 --> 00:25:18.880]   I'll be sure to put that in the comments.
[00:25:18.880 --> 00:25:18.880]   I'll be sure to put that in the comments.
[00:25:18.880 --> 00:25:18.880]   I'll be sure to put that in the comments.
[00:25:18.880 --> 00:25:18.880]   I'll be sure to put that in the comments.
[00:25:18.880 --> 00:25:18.880]   I'll be sure to put that in the comments.
[00:25:18.880 --> 00:25:18.880]   I'll be sure to put that in the comments.
[00:25:18.880 --> 00:25:18.880]   I'll be sure to put that in the comments.
[00:25:18.880 --> 00:25:18.880]   I'll be sure to put that in the comments.
[00:25:18.880 --> 00:25:18.880]   I'll be sure to put that in the comments.
[00:25:18.880 --> 00:25:48.900]   I'll be sure to put that in the comments.
[00:25:48.900 --> 00:25:48.900]   I'll be sure to put that in the comments.
[00:25:48.900 --> 00:25:48.900]   I'll be sure to put that in the comments.
[00:25:48.900 --> 00:25:48.900]   I'll be sure to put that in the comments.
[00:25:48.900 --> 00:25:48.900]   I'll be sure to put that in the comments.
[00:25:48.900 --> 00:25:48.900]   I'll be sure to put that in the comments.
[00:25:48.900 --> 00:25:48.900]   I'll be sure to put that in the comments.
[00:25:48.900 --> 00:25:48.900]   I'll be sure to put that in the comments.
[00:25:48.900 --> 00:25:48.900]   I'll be sure to put that in the comments.
[00:25:48.900 --> 00:25:48.900]   I'll be sure to put that in the comments.
[00:25:48.900 --> 00:25:48.900]   I'll be sure to put that in the comments.
[00:25:48.900 --> 00:25:48.900]   I'll be sure to put that in the comments.
[00:25:48.920 --> 00:26:18.920]   I'll be sure to put that in the comments.
[00:26:18.920 --> 00:26:18.920]   I'll be sure to put that in the comments.
[00:26:18.920 --> 00:26:18.920]   I'll be sure to put that in the comments.
[00:26:18.920 --> 00:26:18.920]   I'll be sure to put that in the comments.
[00:26:18.920 --> 00:26:18.920]   I'll be sure to put that in the comments.
[00:26:18.920 --> 00:26:18.920]   I'll be sure to put that in the comments.
[00:26:18.920 --> 00:26:18.920]   I'll be sure to put that in the comments.
[00:26:18.920 --> 00:26:18.920]   I'll be sure to put that in the comments.
[00:26:18.920 --> 00:26:18.920]   I'll be sure to put that in the comments.
[00:26:18.920 --> 00:26:18.920]   I'll be sure to put that in the comments.
[00:26:18.920 --> 00:26:18.920]   I'll be sure to put that in the comments.
[00:26:18.920 --> 00:26:18.920]   I'll be sure to put that in the comments.
[00:26:18.920 --> 00:26:18.920]   I'll be sure to put that in the comments.
[00:26:18.920 --> 00:26:18.920]   I'll be sure to put that in the comments.
[00:26:18.920 --> 00:26:18.920]   I'll be sure to put that in the comments.
[00:26:18.920 --> 00:26:18.920]   I'll be sure to put that in the comments.
[00:26:18.920 --> 00:26:48.940]   I'll be sure to put that in the comments.
[00:26:48.940 --> 00:26:48.940]   I'll be sure to put that in the comments.
[00:26:48.940 --> 00:26:48.940]   I'll be sure to put that in the comments.
[00:26:48.940 --> 00:26:48.940]   I'll be sure to put that in the comments.
[00:26:48.940 --> 00:26:48.940]   I'll be sure to put that in the comments.
[00:26:48.940 --> 00:26:48.940]   I'll be sure to put that in the comments.
[00:26:48.940 --> 00:26:48.940]   I'll be sure to put that in the comments.
[00:26:48.940 --> 00:26:48.940]   I'll be sure to put that in the comments.
[00:26:48.940 --> 00:26:48.940]   I'll be sure to put that in the comments.
[00:26:48.940 --> 00:26:48.940]   I'll be sure to put that in the comments.
[00:26:48.960 --> 00:27:18.960]   I'll be sure to put that in the comments.
[00:27:18.960 --> 00:27:18.960]   I'll be sure to put that in the comments.
[00:27:18.960 --> 00:27:18.960]   I'll be sure to put that in the comments.
[00:27:18.960 --> 00:27:18.960]   I'll be sure to put that in the comments.
[00:27:18.960 --> 00:27:18.960]   I'll be sure to put that in the comments.
[00:27:18.960 --> 00:27:18.960]   I'll be sure to put that in the comments.
[00:27:18.960 --> 00:27:18.960]   I'll be sure to put that in the comments.
[00:27:18.960 --> 00:27:18.960]   I'll be sure to put that in the comments.
[00:27:18.960 --> 00:27:18.960]   I'll be sure to put that in the comments.
[00:27:18.960 --> 00:27:18.960]   I'll be sure to put that in the comments.
[00:27:18.960 --> 00:27:18.960]   I'll be sure to put that in the comments.
[00:27:18.960 --> 00:27:18.960]   I'll be sure to put that in the comments.
[00:27:18.960 --> 00:27:18.960]   I'll be sure to put that in the comments.
[00:27:18.960 --> 00:27:18.960]   I'll be sure to put that in the comments.
[00:27:18.960 --> 00:27:18.960]   I'll be sure to put that in the comments.
[00:27:18.960 --> 00:27:18.960]   I'll be sure to put that in the comments.
[00:27:18.960 --> 00:27:48.980]   I'll be sure to put that in the comments.
[00:27:48.980 --> 00:27:48.980]   I'll be sure to put that in the comments.
[00:27:48.980 --> 00:27:48.980]   I'll be sure to put that in the comments.
[00:27:48.980 --> 00:27:48.980]   I'll be sure to put that in the comments.
[00:27:48.980 --> 00:27:48.980]   I'll be sure to put that in the comments.
[00:27:48.980 --> 00:27:48.980]   I'll be sure to put that in the comments.
[00:27:48.980 --> 00:27:48.980]   I'll be sure to put that in the comments.
[00:27:48.980 --> 00:27:48.980]   I'll be sure to put that in the comments.
[00:27:48.980 --> 00:27:48.980]   I'll be sure to put that in the comments.
[00:27:48.980 --> 00:27:48.980]   I'll be sure to put that in the comments.
[00:27:48.980 --> 00:27:48.980]   I'll be sure to put that in the comments.
[00:27:48.980 --> 00:27:48.980]   I'll be sure to put that in the comments.
[00:27:49.000 --> 00:28:19.000]   I'll be sure to put that in the comments.
[00:28:19.000 --> 00:28:19.000]   I'll be sure to put that in the comments.
[00:28:19.000 --> 00:28:19.000]   I'll be sure to put that in the comments.
[00:28:19.000 --> 00:28:19.000]   I'll be sure to put that in the comments.
[00:28:19.000 --> 00:28:19.000]   I'll be sure to put that in the comments.
[00:28:19.000 --> 00:28:19.000]   I'll be sure to put that in the comments.
[00:28:19.000 --> 00:28:19.000]   I'll be sure to put that in the comments.
[00:28:19.000 --> 00:28:19.000]   I'll be sure to put that in the comments.
[00:28:19.000 --> 00:28:19.000]   I'll be sure to put that in the comments.
[00:28:19.000 --> 00:28:19.000]   I'll be sure to put that in the comments.
[00:28:19.000 --> 00:28:19.000]   I'll be sure to put that in the comments.
[00:28:19.000 --> 00:28:19.000]   I'll be sure to put that in the comments.
[00:28:19.000 --> 00:28:19.000]   I'll be sure to put that in the comments.
[00:28:19.000 --> 00:28:19.000]   I'll be sure to put that in the comments.
[00:28:19.000 --> 00:28:19.000]   I'll be sure to put that in the comments.
[00:28:19.000 --> 00:28:19.000]   I'll be sure to put that in the comments.
[00:28:19.000 --> 00:28:49.020]   I'll be sure to put that in the comments.
[00:28:49.020 --> 00:28:49.020]   I'll be sure to put that in the comments.
[00:28:49.020 --> 00:28:49.020]   I'll be sure to put that in the comments.
[00:28:49.020 --> 00:28:49.020]   I'll be sure to put that in the comments.
[00:28:49.020 --> 00:28:49.020]   I'll be sure to put that in the comments.
[00:28:49.020 --> 00:28:49.020]   I'll be sure to put that in the comments.
[00:28:49.020 --> 00:28:49.020]   I'll be sure to put that in the comments.
[00:28:49.020 --> 00:28:49.020]   I'll be sure to put that in the comments.
[00:28:49.020 --> 00:28:49.020]   I'll be sure to put that in the comments.
[00:28:49.020 --> 00:28:49.020]   I'll be sure to put that in the comments.
[00:28:49.020 --> 00:28:49.020]   I'll be sure to put that in the comments.
[00:28:49.020 --> 00:28:49.020]   I'll be sure to put that in the comments.
[00:28:49.040 --> 00:29:19.040]   I'll be sure to put that in the comments.
[00:29:19.040 --> 00:29:19.040]   I'll be sure to put that in the comments.
[00:29:19.040 --> 00:29:19.040]   I'll be sure to put that in the comments.
[00:29:19.040 --> 00:29:19.040]   I'll be sure to put that in the comments.
[00:29:19.040 --> 00:29:19.040]   I'll be sure to put that in the comments.
[00:29:19.040 --> 00:29:19.040]   I'll be sure to put that in the comments.
[00:29:19.040 --> 00:29:19.040]   I'll be sure to put that in the comments.
[00:29:19.040 --> 00:29:19.040]   I'll be sure to put that in the comments.
[00:29:19.040 --> 00:29:19.040]   I'll be sure to put that in the comments.
[00:29:19.040 --> 00:29:19.040]   I'll be sure to put that in the comments.
[00:29:19.040 --> 00:29:19.040]   I'll be sure to put that in the comments.
[00:29:19.040 --> 00:29:19.040]   I'll be sure to put that in the comments.
[00:29:19.040 --> 00:29:19.040]   I'll be sure to put that in the comments.
[00:29:19.040 --> 00:29:19.040]   I'll be sure to put that in the comments.
[00:29:19.040 --> 00:29:19.040]   I'll be sure to put that in the comments.
[00:29:19.040 --> 00:29:19.040]   I'll be sure to put that in the comments.
[00:29:19.040 --> 00:29:49.060]   I'll be sure to put that in the comments.
[00:29:49.060 --> 00:29:49.060]   I'll be sure to put that in the comments.
[00:29:49.060 --> 00:29:49.060]   I'll be sure to put that in the comments.
[00:29:49.060 --> 00:29:49.060]   I'll be sure to put that in the comments.
[00:29:49.060 --> 00:29:49.060]   I'll be sure to put that in the comments.
[00:29:49.060 --> 00:29:49.060]   I'll be sure to put that in the comments.
[00:29:49.060 --> 00:29:49.060]   I'll be sure to put that in the comments.
[00:29:49.060 --> 00:29:49.060]   I'll be sure to put that in the comments.
[00:29:49.060 --> 00:29:49.060]   I'll be sure to put that in the comments.
[00:29:49.060 --> 00:29:49.060]   I'll be sure to put that in the comments.
[00:29:49.080 --> 00:30:19.080]   I'll be sure to put that in the comments.
[00:30:19.080 --> 00:30:19.080]   I'll be sure to put that in the comments.
[00:30:19.080 --> 00:30:19.080]   I'll be sure to put that in the comments.
[00:30:19.080 --> 00:30:19.080]   I'll be sure to put that in the comments.
[00:30:19.080 --> 00:30:19.080]   I'll be sure to put that in the comments.
[00:30:19.080 --> 00:30:19.080]   I'll be sure to put that in the comments.
[00:30:19.080 --> 00:30:19.080]   I'll be sure to put that in the comments.
[00:30:19.080 --> 00:30:19.080]   I'll be sure to put that in the comments.
[00:30:19.080 --> 00:30:19.080]   I'll be sure to put that in the comments.
[00:30:19.080 --> 00:30:19.080]   I'll be sure to put that in the comments.
[00:30:19.080 --> 00:30:19.080]   I'll be sure to put that in the comments.
[00:30:19.080 --> 00:30:19.080]   I'll be sure to put that in the comments.
[00:30:19.080 --> 00:30:19.080]   I'll be sure to put that in the comments.
[00:30:19.080 --> 00:30:19.080]   I'll be sure to put that in the comments.
[00:30:19.080 --> 00:30:19.080]   I'll be sure to put that in the comments.
[00:30:19.080 --> 00:30:19.080]   I'll be sure to put that in the comments.
[00:30:19.080 --> 00:30:49.100]   I'll be sure to put that in the comments.
[00:30:49.100 --> 00:30:49.100]   I'll be sure to put that in the comments.
[00:30:49.100 --> 00:30:49.100]   I'll be sure to put that in the comments.
[00:30:49.100 --> 00:30:49.100]   I'll be sure to put that in the comments.
[00:30:49.100 --> 00:30:49.100]   I'll be sure to put that in the comments.
[00:30:49.100 --> 00:30:49.100]   I'll be sure to put that in the comments.
[00:30:49.100 --> 00:30:49.100]   I'll be sure to put that in the comments.
[00:30:49.100 --> 00:30:49.100]   I'll be sure to put that in the comments.
[00:30:49.100 --> 00:30:49.100]   I'll be sure to put that in the comments.
[00:30:49.100 --> 00:30:49.100]   I'll be sure to put that in the comments.
[00:30:49.100 --> 00:30:49.100]   I'll be sure to put that in the comments.
[00:30:49.100 --> 00:30:49.100]   I'll be sure to put that in the comments.
[00:30:49.100 --> 00:30:49.100]   I'll be sure to put that in the comments.
[00:30:49.120 --> 00:31:19.120]   I'll be sure to put that in the comments.
[00:31:19.120 --> 00:31:19.120]   I'll be sure to put that in the comments.
[00:31:19.120 --> 00:31:19.120]   I'll be sure to put that in the comments.
[00:31:19.120 --> 00:31:19.120]   I'll be sure to put that in the comments.
[00:31:19.120 --> 00:31:19.120]   I'll be sure to put that in the comments.
[00:31:19.120 --> 00:31:19.120]   I'll be sure to put that in the comments.
[00:31:19.120 --> 00:31:19.120]   I'll be sure to put that in the comments.
[00:31:19.120 --> 00:31:19.120]   I'll be sure to put that in the comments.
[00:31:19.120 --> 00:31:19.120]   I'll be sure to put that in the comments.
[00:31:19.120 --> 00:31:19.120]   I'll be sure to put that in the comments.
[00:31:19.120 --> 00:31:19.120]   I'll be sure to put that in the comments.
[00:31:19.120 --> 00:31:19.120]   I'll be sure to put that in the comments.
[00:31:19.120 --> 00:31:19.120]   I'll be sure to put that in the comments.
[00:31:19.120 --> 00:31:19.120]   I'll be sure to put that in the comments.
[00:31:19.120 --> 00:31:19.120]   I'll be sure to put that in the comments.
[00:31:19.120 --> 00:31:19.120]   I'll be sure to put that in the comments.
[00:31:19.120 --> 00:31:49.140]   I'll be sure to put that in the comments.
[00:31:49.140 --> 00:31:49.140]   I'll be sure to put that in the comments.
[00:31:49.140 --> 00:31:49.140]   I'll be sure to put that in the comments.
[00:31:49.140 --> 00:31:49.140]   I'll be sure to put that in the comments.
[00:31:49.140 --> 00:31:49.140]   I'll be sure to put that in the comments.
[00:31:49.140 --> 00:31:49.140]   I'll be sure to put that in the comments.
[00:31:49.140 --> 00:31:49.140]   I'll be sure to put that in the comments.
[00:31:49.140 --> 00:31:49.140]   I'll be sure to put that in the comments.
[00:31:49.140 --> 00:31:49.140]   I'll be sure to put that in the comments.
[00:31:49.140 --> 00:31:49.140]   I'll be sure to put that in the comments.
[00:31:49.140 --> 00:31:49.140]   I'll be sure to put that in the comments.
[00:31:49.160 --> 00:32:19.160]   I'll be sure to put that in the comments.
[00:32:19.160 --> 00:32:19.160]   I'll be sure to put that in the comments.
[00:32:19.160 --> 00:32:19.160]   I'll be sure to put that in the comments.
[00:32:19.160 --> 00:32:19.160]   I'll be sure to put that in the comments.
[00:32:19.160 --> 00:32:19.160]   I'll be sure to put that in the comments.
[00:32:19.160 --> 00:32:19.160]   I'll be sure to put that in the comments.
[00:32:19.160 --> 00:32:19.160]   I'll be sure to put that in the comments.
[00:32:19.160 --> 00:32:19.160]   I'll be sure to put that in the comments.
[00:32:19.160 --> 00:32:19.160]   I'll be sure to put that in the comments.
[00:32:19.160 --> 00:32:19.160]   I'll be sure to put that in the comments.
[00:32:19.160 --> 00:32:19.160]   I'll be sure to put that in the comments.
[00:32:19.160 --> 00:32:19.160]   I'll be sure to put that in the comments.
[00:32:19.160 --> 00:32:19.160]   I'll be sure to put that in the comments.
[00:32:19.160 --> 00:32:19.160]   I'll be sure to put that in the comments.
[00:32:19.160 --> 00:32:19.160]   I'll be sure to put that in the comments.
[00:32:19.160 --> 00:32:19.160]   I'll be sure to put that in the comments.
[00:32:19.160 --> 00:32:49.180]   I'll be sure to put that in the comments.
[00:32:49.180 --> 00:32:49.180]   I'll be sure to put that in the comments.
[00:32:49.180 --> 00:32:49.180]   I'll be sure to put that in the comments.
[00:32:49.180 --> 00:32:49.180]   I'll be sure to put that in the comments.
[00:32:49.180 --> 00:32:49.180]   I'll be sure to put that in the comments.
[00:32:49.180 --> 00:32:49.180]   I'll be sure to put that in the comments.
[00:32:49.180 --> 00:32:49.180]   I'll be sure to put that in the comments.
[00:32:49.180 --> 00:32:49.180]   I'll be sure to put that in the comments.
[00:32:49.200 --> 00:33:19.200]   I'll be sure to put that in the comments.
[00:33:19.200 --> 00:33:19.200]   I'll be sure to put that in the comments.
[00:33:19.200 --> 00:33:19.200]   I'll be sure to put that in the comments.
[00:33:19.200 --> 00:33:19.200]   I'll be sure to put that in the comments.
[00:33:19.200 --> 00:33:19.200]   I'll be sure to put that in the comments.
[00:33:19.200 --> 00:33:19.200]   I'll be sure to put that in the comments.
[00:33:19.200 --> 00:33:19.200]   I'll be sure to put that in the comments.
[00:33:19.200 --> 00:33:19.200]   I'll be sure to put that in the comments.
[00:33:19.200 --> 00:33:19.200]   I'll be sure to put that in the comments.
[00:33:19.200 --> 00:33:19.200]   I'll be sure to put that in the comments.
[00:33:19.200 --> 00:33:19.200]   I'll be sure to put that in the comments.
[00:33:19.200 --> 00:33:19.200]   I'll be sure to put that in the comments.
[00:33:19.200 --> 00:33:19.200]   I'll be sure to put that in the comments.
[00:33:19.200 --> 00:33:19.200]   I'll be sure to put that in the comments.
[00:33:19.200 --> 00:33:19.200]   I'll be sure to put that in the comments.
[00:33:19.200 --> 00:33:19.200]   I'll be sure to put that in the comments.
[00:33:19.240 --> 00:33:49.220]   I'll be sure to put that in the comments.
[00:33:49.220 --> 00:33:49.220]   I'll be sure to put that in the comments.
[00:33:49.220 --> 00:33:49.220]   I'll be sure to put that in the comments.
[00:33:49.220 --> 00:33:49.220]   I'll be sure to put that in the comments.
[00:33:49.220 --> 00:33:49.220]   I'll be sure to put that in the comments.
[00:33:49.220 --> 00:33:49.220]   I'll be sure to put that in the comments.
[00:33:49.220 --> 00:33:49.220]   I'll be sure to put that in the comments.
[00:33:49.220 --> 00:33:49.220]   I'll be sure to put that in the comments.
[00:33:49.220 --> 00:33:49.220]   I'll be sure to put that in the comments.
[00:33:49.220 --> 00:33:49.220]   I'll be sure to put that in the comments.
[00:33:49.220 --> 00:33:49.220]   I'll be sure to put that in the comments.
[00:33:49.240 --> 00:34:19.240]   Let's just say it's a 5% tax rate.
[00:34:19.240 --> 00:34:19.240]   Let's just say it's a 5% tax rate.
[00:34:19.240 --> 00:34:19.240]   Let's just say it's a 5% tax rate.
[00:34:19.240 --> 00:34:19.240]   Let's just say it's a 5% tax rate.
[00:34:19.240 --> 00:34:19.240]   Let's just say it's a 5% tax rate.
[00:34:19.240 --> 00:34:19.240]   Let's just say it's a 5% tax rate.
[00:34:19.240 --> 00:34:19.240]   Let's just say it's a 5% tax rate.
[00:34:19.240 --> 00:34:19.240]   Let's just say it's a 5% tax rate.
[00:34:19.240 --> 00:34:19.240]   Let's just say it's a 5% tax rate.
[00:34:19.240 --> 00:34:19.240]   Let's just say it's a 5% tax rate.
[00:34:19.240 --> 00:34:19.240]   Let's just say it's a 5% tax rate.
[00:34:19.240 --> 00:34:19.240]   Let's just say it's a 5% tax rate.
[00:34:19.240 --> 00:34:19.240]   Let's just say it's a 5% tax rate.
[00:34:19.240 --> 00:34:19.240]   Let's just say it's a 5% tax rate.
[00:34:19.240 --> 00:34:19.240]   Let's just say it's a 5% tax rate.
[00:34:19.240 --> 00:34:49.260]   Let's just say it's a 5% tax rate.
[00:34:49.260 --> 00:34:49.260]   Let's just say it's a 5% tax rate.
[00:34:49.260 --> 00:34:49.260]   Let's just say it's a 5% tax rate.
[00:34:49.260 --> 00:34:49.260]   Let's just say it's a 5% tax rate.
[00:34:49.260 --> 00:34:49.260]   Let's just say it's a 5% tax rate.
[00:34:49.260 --> 00:34:49.260]   Let's just say it's a 5% tax rate.
[00:34:49.260 --> 00:34:49.260]   Let's just say it's a 5% tax rate.
[00:34:49.260 --> 00:34:49.260]   Let's just say it's a 5% tax rate.
[00:34:49.260 --> 00:34:49.260]   Let's just say it's a 5% tax rate.
[00:34:49.260 --> 00:34:49.260]   Let's just say it's a 5% tax rate.
[00:34:49.280 --> 00:35:19.280]   Let's just say it's a 5% tax rate.
[00:35:19.280 --> 00:35:19.280]   Let's just say it's a 5% tax rate.
[00:35:19.280 --> 00:35:19.280]   Let's just say it's a 5% tax rate.
[00:35:19.280 --> 00:35:19.280]   Let's just say it's a 5% tax rate.
[00:35:19.280 --> 00:35:19.280]   Let's just say it's a 5% tax rate.
[00:35:19.280 --> 00:35:19.280]   Let's just say it's a 5% tax rate.
[00:35:19.280 --> 00:35:19.280]   Let's just say it's a 5% tax rate.
[00:35:19.280 --> 00:35:19.280]   Let's just say it's a 5% tax rate.
[00:35:19.280 --> 00:35:19.280]   Let's just say it's a 5% tax rate.
[00:35:19.280 --> 00:35:19.280]   Let's just say it's a 5% tax rate.
[00:35:19.280 --> 00:35:19.280]   Let's just say it's a 5% tax rate.
[00:35:19.280 --> 00:35:19.280]   Let's just say it's a 5% tax rate.
[00:35:19.280 --> 00:35:19.280]   Let's just say it's a 5% tax rate.
[00:35:19.280 --> 00:35:19.280]   Let's just say it's a 5% tax rate.
[00:35:19.280 --> 00:35:19.280]   Let's just say it's a 5% tax rate.
[00:35:49.300 --> 00:35:49.300]   Let's just say it's a 5% tax rate.
[00:35:49.300 --> 00:35:49.300]   Let's just say it's a 5% tax rate.
[00:35:49.300 --> 00:35:49.300]   Let's just say it's a 5% tax rate.
[00:35:49.300 --> 00:35:49.300]   Let's just say it's a 5% tax rate.
[00:35:49.300 --> 00:35:49.300]   Let's just say it's a 5% tax rate.
[00:35:49.300 --> 00:35:49.300]   Let's just say it's a 5% tax rate.
[00:35:49.300 --> 00:35:49.300]   Let's just say it's a 5% tax rate.
[00:35:49.300 --> 00:35:49.300]   Let's just say it's a 5% tax rate.
[00:35:49.300 --> 00:35:49.300]   Let's just say it's a 5% tax rate. Let's just say it's a 5% tax rate. You can't be a 10 million dollars. You can afford to spend a couple million dollars on the local politicians to make things that you can't just the tip the tip of the iceberg. One of the biggest problems in the United States is that every single big big company to basically survive in the modern industry is the modern industry.
[00:36:19.340 --> 00:36:49.340]  obedance.
[00:36:49.340 --> 00:36:49.340]   and so as the state grows you're always going to get more corruption and so one of the things I see is that if you minimize your tax payments to the state you wind up with less corruption you wind up with more efficiency because they
[00:36:49.380 --> 00:37:19.360]  ,
[00:37:19.360 --> 00:37:19.360]   and so as the state grows you wind up with less
[00:37:19.360 --> 00:37:19.360]   and so as the state grows you wind up with less
[00:37:19.360 --> 00:37:19.360]   and so as the state grows you wind up with less
[00:37:19.360 --> 00:37:19.360]   and so as the state grows you wind up with less
[00:37:19.360 --> 00:37:19.360]   and so as the state grows you wind up with less
[00:37:19.360 --> 00:37:19.360]   and so as the state grows you wind up with less
[00:37:19.360 --> 00:37:19.360]   and so as the state grows you wind up with less
[00:37:19.360 --> 00:37:19.360]   and so as the state grows you wind up with less
[00:37:19.360 --> 00:37:19.360]   and so as the state grows you wind up with less
[00:37:19.360 --> 00:37:19.360]   and so as the state grows you wind up with less
[00:37:19.440 --> 00:37:49.380]   and so as the state grows you wind up with less
[00:37:49.380 --> 00:37:49.380]   and so as the state grows you wind up with less
[00:37:49.380 --> 00:37:49.380]   and so as the state grows you wind up with less
[00:37:49.380 --> 00:37:49.380]   and so as the state grows you wind up with less
[00:37:49.380 --> 00:37:49.380]   and so as the state grows you wind up with less
[00:37:49.400 --> 00:38:19.400]   and so as the state grows you wind up with less
[00:38:19.400 --> 00:38:19.400]   and so as the state grows you wind up with less
[00:38:19.400 --> 00:38:19.400]   and so as the state grows you wind up with less
[00:38:19.400 --> 00:38:19.400]   and so as the state grows you wind up with less
[00:38:19.400 --> 00:38:19.400]   and so as the state grows you wind up with less
[00:38:19.400 --> 00:38:19.400]   and so as the state grows you wind up with less
[00:38:19.400 --> 00:38:19.400]   and so as the state grows you wind up with less
[00:38:19.400 --> 00:38:19.400]   and so as the state grows you wind up with less
[00:38:19.400 --> 00:38:19.400]   and so as the state grows you wind up with less
[00:38:19.400 --> 00:38:19.400]   and so as the state grows you wind up with less
[00:38:19.400 --> 00:38:19.400]   and so as the state grows you wind up with less
[00:38:19.400 --> 00:38:19.400]   and so as the state grows you wind up with less
[00:38:19.400 --> 00:38:19.400]   and so as the state grows you wind up with less
[00:38:19.400 --> 00:38:19.400]   and so as the state grows you wind up with less and so as the state grows you wind up with less and so as the state grows you can't be very frustrated about it.
[00:38:19.440 --> 00:38:21.740]   which
[00:38:21.740 --> 00:38:32.460]   to,—,, call co Wall Bon I is the decent, and, ,,,,,. en
[00:38:32.460 --> 00:38:37.440]  abl
[00:39:45.720 --> 00:39:54.400]  or
[00:39:54.400 --> 00:39:59.680]   any,
[00:39:59.680 --> 00:40:14.700]   overst decor listen gang ask but deax--* ^G--G--G--I--G--G--G, and, don, Carrie, in the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, in the, way that's a Linver let ссыл Battle Men succeedratoerneniad Freunde Daily olması Hel qualcosa實 quéיו Make array So lotänd memo Broken prefers en
[00:40:14.760 --> 00:40:43.800]   I don't think it should be there. I don't think the local
[00:40:43.800 --> 00:40:43.800]   association of Realtors should be there.
[00:40:43.800 --> 00:40:43.800]   I don't think the local association of Realtors should be there.
[00:40:43.800 --> 00:40:43.800]   I don't think the local association of Realtors should be there.
[00:40:43.800 --> 00:40:43.800]   I don't think the local association of Realtors should be there.
[00:40:43.800 --> 00:40:43.800]   I don't think the local association of Realtors should be there.
[00:40:43.800 --> 00:40:43.800]   I don't think the local association of Realtors should be there.
[00:40:43.800 --> 00:40:43.800]   I don't think the local association of Realtors should be there.
[00:40:43.800 --> 00:40:43.940]   I don't think the local association of Realtors should be there.
[00:40:43.940 --> 00:40:43.980]   I don't think the local association of Realtors should be there.
[00:40:43.980 --> 00:40:44.020]   I don't think the local association of Realtors should be there.
[00:40:44.020 --> 00:40:44.020]   I don't think the local association of Realtors should be there.
[00:40:44.020 --> 00:40:44.060]   I don't think the local association of Realtors should be there.
[00:40:44.960 --> 00:41:13.460]   I don't think the local association of Realtors should be there.
[00:41:13.460 --> 00:41:13.520]   I don't think the local association of Realtors should be there.
[00:41:13.520 --> 00:41:13.540]   I don't think the local association of Realtors should be there.
[00:41:13.540 --> 00:41:13.560]   I don't think the local association of Realtors should be there.
[00:41:13.560 --> 00:41:13.580]   I don't think the local association of Realtors should be there.
[00:41:13.580 --> 00:41:13.600]   I don't think the local association of Realtors should be there.
[00:41:13.600 --> 00:41:13.660]   I don't think the local association of Realtors should be there.
[00:41:13.660 --> 00:41:13.700]   I don't think the local association of Realtors should be there.
[00:41:13.700 --> 00:41:13.720]   I don't the local association of Realtors should be there.
[00:41:13.720 --> 00:41:13.720]   I don't the association of Realtors should be there. I don't the association of Realtors should be there.
[00:41:13.740 --> 00:41:43.740]   I don't the association of Realtors should be there.
[00:41:43.740 --> 00:41:43.740]   I don't the association of Realtors should be there.
