
[00:00:00.000 --> 00:00:03.520]   Jamal do you hear that Friberg got busted looking at porn in his computer?
[00:25:12.880 --> 00:25:14.880]   sacks your thoughts on
[00:25:14.880 --> 00:25:22.940]   How many months it will take to do this and there's this this discussion and I don't know if that's from inside
[00:25:23.400 --> 00:25:28.000]   The Trump administration of hey, we got to get this done in 18 months. We got to get this done in 18 months
[00:25:28.000 --> 00:25:30.000]   What can you tell us about the the sense of urgency?
[00:25:30.000 --> 00:25:32.600]   about getting this done quickly and
[00:25:32.600 --> 00:25:35.920]   Why that's occurring
[00:25:35.920 --> 00:25:40.160]   well, I think Elon and Vivek have announced that doge will be
[00:25:40.160 --> 00:25:46.240]   sunsetting or disbanding at the 250th anniversary of America, which would be
[00:25:46.240 --> 00:25:48.840]   July 4th of
[00:25:49.080 --> 00:25:55.680]   1926 so they've only given themselves about what's at 18 months. Yep, which kind of makes sense, right?
[00:25:55.680 --> 00:25:59.200]   That's leading into the midterms, right? Right exactly you tend to have the most
[00:25:59.200 --> 00:26:04.020]   Momentum coming off an election like this one where you have the trifecta
[00:26:04.020 --> 00:26:08.400]   So I think that makes a lot of sense that they're gonna be able to have the greatest impact
[00:26:08.400 --> 00:26:11.160]   Let's say in the first year after the new
[00:26:11.160 --> 00:26:15.600]   President Congress gets sworn in. How do you get Democrats in on the sacks?
[00:26:15.600 --> 00:26:22.560]   How do you push them to join the party to join the movement to be more efficient to be more transparent?
[00:26:22.560 --> 00:26:25.400]   Is there a possibility for us to get some?
[00:26:25.400 --> 00:26:28.200]   Coordination here with the other side or no
[00:26:28.200 --> 00:26:34.400]   Maybe you might be able to get some support of particular Democrats on particular things. I don't want to say that it's not possible
[00:26:34.400 --> 00:26:37.800]   Difficult but not not impossible
[00:26:37.800 --> 00:26:42.400]   But look, I think what melee has done in Argentina is
[00:26:43.160 --> 00:26:48.320]   Remarkable. I mean that was a country. That was a total basket case inflation was out of control
[00:26:48.320 --> 00:26:50.320]   It's already because of the cuts he's made
[00:26:50.320 --> 00:26:55.440]   they now have a more normal inflation rate and they've gone from basically being
[00:26:55.440 --> 00:26:59.560]   Uninvestable to investable as a country now
[00:26:59.560 --> 00:27:05.180]   The United States is not the basket case that Argentina is but we are on an unsustainable
[00:27:05.180 --> 00:27:11.360]   Fiscal trajectory doge is also not going to have the power that melee has not gonna have the degrees of freedom to act
[00:27:11.720 --> 00:27:14.160]   But we also don't have as big a problem
[00:27:14.160 --> 00:27:19.760]   what we need to do is just bend our fiscal curve from being unsustainable to being sustainable and
[00:27:19.760 --> 00:27:22.880]   If we can do that, it'll have a huge impact on the economy
[00:27:22.880 --> 00:27:29.760]   Specifically what we saw in the last election the thing that probably hurt the Democrats the most was inflation
[00:27:29.760 --> 00:27:35.340]   Voters clearly do not like inflation. They do not like the diminishment of their purchasing power
[00:27:35.340 --> 00:27:38.720]   But how do you stop inflation you have to raise interest rates?
[00:27:38.720 --> 00:27:45.340]   and that's not good either because that raises the cost of a mortgage that raises the cost of a car payment is bad for
[00:27:45.340 --> 00:27:49.920]   Investment right because if interest rates are higher then that means the discount rate on
[00:27:49.920 --> 00:27:54.120]   stocks and real estate on every investment class basically is higher and
[00:27:54.120 --> 00:28:00.340]   The hurdle rate for investments higher so high interest rates are also bad for the economy
[00:28:00.340 --> 00:28:04.360]   So how do you get out of that box where you either have high inflation or high interest rates?
[00:28:04.360 --> 00:28:08.960]   The only way is to bend the fiscal curve to that more sustainable path
[00:28:08.960 --> 00:28:15.360]   And if you can and if you can do that, the bond markets will actually give you credit for it in advance
[00:28:15.360 --> 00:28:19.380]   Because they know that because they know that they're not gonna be flooded
[00:28:19.380 --> 00:28:23.100]   With the need to keep funding all of this US government debt
[00:28:23.100 --> 00:28:29.520]   So we either get to kind of you know startups have this saying about being either default alive or default dead
[00:28:29.520 --> 00:28:33.160]   We either get to default sustainable or default unsustainable right now
[00:28:33.160 --> 00:28:38.520]   We're unsustainable the bond markets know it inflation remains persistently high around 3%
[00:28:38.520 --> 00:28:44.600]   The Fed has not been able to cut interest rates the way that they expected to remember the markets were expecting
[00:28:44.600 --> 00:28:48.880]   7 cuts this year. We got basically 3 we got a 50 and a 25
[00:28:48.880 --> 00:28:54.440]   So it's just hasn't been the cuts that people were expecting and that's because inflation hasn't come down as much to a thought
[00:28:54.440 --> 00:29:00.360]   So if doge working with the rest of the government OMB the Treasury
[00:29:01.120 --> 00:29:07.040]   Congress executive orders can now convince the markets that the US financial picture is more sustainable
[00:29:07.040 --> 00:29:12.520]   We'll get credit for that interest rates will come down and that'll lead to a boom in the economy
[00:29:12.520 --> 00:29:15.240]   So it's all win-win if they can pull this off
[00:29:15.240 --> 00:29:23.400]   Pre break any final thoughts here before we move on from doge wishing you on and Vivek as much success as possible
[00:29:23.400 --> 00:29:29.080]   We've really I mean everybody should be rooting for this. You want to give us your final thoughts? I
[00:29:30.760 --> 00:29:32.960]   Feel like America is
[00:29:32.960 --> 00:29:35.400]   Neo from the Matrix
[00:29:35.400 --> 00:29:39.240]   where there was like a thousand bullets being shot at America and
[00:29:39.240 --> 00:29:45.360]   We like literally had to dodge every single one of them in order to get to this this point
[00:29:45.360 --> 00:29:49.420]   Mmm, I again I am so shocked and surprised in a positive way
[00:29:49.420 --> 00:29:55.680]   That we ended up on this particular timeline look everything had to go the way it went for this to have happened
[00:29:55.680 --> 00:29:58.040]   Biden decided to run for
[00:29:58.320 --> 00:30:02.920]   Re-election Biden stayed in too long. They didn't run a primary. They put Kamala in
[00:30:02.920 --> 00:30:09.520]   Ilan all the fences which party won Ilan decided to throw a hundred million bucks at the problem. Ilan bought Twitter
[00:30:09.520 --> 00:30:12.640]   China had a real estate bubble
[00:30:12.640 --> 00:30:17.720]   I mean you can go down the list of things that had to go right for us to get to this very moment
[00:30:17.720 --> 00:30:24.520]   Where a small group of people have recognized the fiscal death spiral that the United States
[00:30:24.840 --> 00:30:28.880]   federal government has been in and have the authority and
[00:30:28.880 --> 00:30:33.880]   The capacity and the skills to be able to go and execute against a solution. I
[00:30:33.880 --> 00:30:37.800]   Have no idea how this could have been architected
[00:30:37.800 --> 00:30:43.160]   Maybe Saxon you all along and I convinced him two years ago that this was how things had to go and he's been designing it
[00:30:43.160 --> 00:30:47.120]   Like maybe you're talking about raid on the end of the Empire for three years
[00:30:47.120 --> 00:30:53.320]   Maybe we did it free bird. We give you credit when we talk with Dahlia about this. He's like, I've been a handful and
[00:30:53.960 --> 00:30:55.240]   also around
[00:30:55.240 --> 00:30:58.640]   The the relationship with China, which I think this is all very tightly related
[00:30:58.640 --> 00:31:01.920]   We may have dodged a lot of bullets
[00:31:01.920 --> 00:31:05.000]   Hmm and if the United States can get its house in order
[00:31:05.000 --> 00:31:07.840]   reduce federal spending while increasing
[00:31:07.840 --> 00:31:10.160]   economic activity
[00:31:10.160 --> 00:31:14.360]   It can be a tremendous unlock for the u.s. And for world peace
[00:31:14.360 --> 00:31:19.240]   So because again, I think that conflict arises when we don't have our own fiscal house in order
[00:31:19.240 --> 00:31:26.160]   And so I feel very positive more more surprised and positive than I was a year ago six months ago
[00:31:26.160 --> 00:31:31.320]   It's just amazing. We're on this timeline and I do think the United States as neo dodged a lot of bullets here
[00:31:31.320 --> 00:31:34.320]   I told you everything was proceeding as I had foreseen
[00:31:34.320 --> 00:31:39.840]   You know what happened to the ten-year and Elon and Vivek wrote that essay
[00:31:39.840 --> 00:31:44.960]   I don't actually don't what happened yields contracted by five basis points. You know what the value of that is
[00:31:46.280 --> 00:31:54.400]   Couple billion 15 billion per year. Yeah. Yeah, so so I think that it was probably a hundred billion dollar essay
[00:31:54.400 --> 00:31:59.800]   Just writing it. I think you will find that this doge is quite
[00:31:59.800 --> 00:32:02.680]   operational I
[00:32:02.680 --> 00:32:05.920]   Mean, I think it's got a chance. I mean
[00:32:05.920 --> 00:32:14.360]   Right, I want I want all I want all Americans and Democrats to stand up and say this is the right thing for the United
[00:32:14.360 --> 00:32:16.360]   States
[00:32:16.360 --> 00:32:19.600]   Essay saved us a hundred billion just the essay
[00:32:19.600 --> 00:32:28.600]   They're gonna have to be very strategic true about how they detailed what they're doing
[00:32:28.600 --> 00:32:34.520]   The the doge teams is gonna have to be very strategic to pick things that are consensus building
[00:32:34.520 --> 00:32:41.640]   That don't make people feel like this is gonna grind the poor more and make the rich richer. That's the expectation
[00:32:41.840 --> 00:32:47.160]   That's gonna be the negative framing on this I predict which is just a bunch of rich guys making cuts
[00:32:47.160 --> 00:32:52.080]   Talking their books making cuts for things that are their pet projects their investments
[00:32:52.080 --> 00:32:57.120]   They have to come out and not make it that they have to make it. Here's inefficiency. Here's inefficiency
[00:32:57.120 --> 00:33:03.120]   Here's inefficiency and a great way to do that would be to say the efficiency gains and the tax cuts are gonna go to people
[00:33:03.120 --> 00:33:09.600]   Making let's say under two hundred fifty thousand dollars. These are not these cuts are not being made just to make the rich richer
[00:33:09.600 --> 00:33:14.360]   That's gonna be the framing but just my best advice. Don't you think that that's gonna happen? No matter what?
[00:33:14.360 --> 00:33:21.280]   What which part of it that they're gonna say that no matter what so I actually disagree with the first part of what you said
[00:33:21.280 --> 00:33:25.680]   I agree with you that the media the mainstream media will try to characterize this as
[00:33:25.680 --> 00:33:30.280]   Hurting the poor I agree and I'm not sure yet. Yeah, whether I start or not
[00:33:30.280 --> 00:33:36.480]   Yeah, but I think the first part I disagree with is I don't think they should operate towards consensus
[00:33:36.480 --> 00:33:38.480]   I think that they should do what's right
[00:33:38.720 --> 00:33:45.640]   well, you could do what's right and you could start with things that are the most wasteful like if you start cutting kids lunches or
[00:33:45.640 --> 00:33:47.360]   Pellgrants
[00:33:47.360 --> 00:33:54.480]   Or you start cutting people's jobs to in health care education that people perceive are helping people
[00:33:54.480 --> 00:34:00.760]   I think you're gonna just feed into this narrative that it's a way to cut taxes on rich people
[00:34:00.760 --> 00:34:05.040]   And you know what? You do need to build consensus. How does this thing look as on rich people?
[00:34:06.160 --> 00:34:11.840]   If you cut regulations and a bunch of our companies benefit from it just to be self-aware
[00:34:11.840 --> 00:34:18.760]   the framing is already that this is an effort for companies that we invest in to
[00:34:18.760 --> 00:34:23.560]   Have less regulation to make the equity holders in those companies more rich
[00:34:23.560 --> 00:34:28.440]   I just have to make sure that the hold on it for all you have to make sure the savings is for all
[00:34:28.440 --> 00:34:33.240]   Americans and that all Americans benefit from it and the way they benefit it the best framing they could do is
[00:34:33.320 --> 00:34:39.640]   Your taxes are gonna be lower because you're not wasting your tax dollars if they can keep to that not hey
[00:34:39.640 --> 00:34:43.120]   We're moving regulation so that our company needs to be honest with her
[00:34:43.120 --> 00:34:48.320]   Yeah, being a hairdresser requires more regulation than being any one of most of my companies
[00:34:48.320 --> 00:34:49.840]   So I actually think it better percent
[00:34:49.840 --> 00:34:55.800]   I think it benefits other people way way more than it benefits me and you have to use it as my point show it
[00:34:55.800 --> 00:34:59.840]   That's the point is you have to show people that you're doing this for everybody
[00:34:59.840 --> 00:35:06.240]   Not just for the people on this podcast and our friends that's gonna be the key what sum up just said is so important
[00:35:06.240 --> 00:35:07.120]   There's a great interview
[00:35:07.120 --> 00:35:13.320]   I've mentioned this in the past between Tim Ferriss and Charles Koch from a couple years ago where he brings up this exact example
[00:35:13.320 --> 00:35:17.920]   Yes about how regulatory burdens make it difficult for women to become hairdressers
[00:35:17.920 --> 00:35:21.920]   It's like $7,000 so they don't have the capital to do that because of the regulatory
[00:35:21.920 --> 00:35:26.160]   Yeah burden to get there think about building building your home or you know
[00:35:26.160 --> 00:35:30.320]   Like let's say you want to change put a shower in your bathroom change the shower in your bathroom
[00:35:30.320 --> 00:35:36.840]   You don't want to spend $15,000 on all the permitting regulatory stuff to make that happen. It's gonna unlock value for everyone
[00:35:36.840 --> 00:35:39.280]   That's a small example of kind of a regulatory problem
[00:35:39.280 --> 00:35:46.560]   But this benefits everyone and the cost of my point is you have to communicate that you have to be able to communicate that and
[00:35:46.560 --> 00:35:49.440]   That's where using the launch platform
[00:35:51.720 --> 00:35:56.200]   Perfect job of communicating this to people and that's the playbook Freeberg. That's my point
[00:35:56.200 --> 00:36:01.800]   People are gonna fight this you have to convince them. You have to show them that this is helping everybody
[00:36:01.800 --> 00:36:07.000]   Can we just agree that they're okay, but that's different than how you started you said only work on consensus projects
[00:36:07.000 --> 00:36:09.000]   I don't know. I didn't say that. I think you have that
[00:36:09.000 --> 00:36:14.480]   Them first I said do those first make sure that people understand. This is to save them money
[00:36:14.480 --> 00:36:17.320]   I'm not saying that you don't change regulations for
[00:36:17.760 --> 00:36:19.840]   Spaceships and self-driving cars as well
[00:36:19.840 --> 00:36:25.400]   but you have to make sure you show people that this can benefit them or else they're gonna just fight it and
[00:36:25.400 --> 00:36:28.440]   That and that's gonna be the whole all this effort will be for not
[00:36:28.440 --> 00:36:34.280]   if you if you get a bunch of Republicans sacks who start fighting this and you have a splintering in your party because
[00:36:34.280 --> 00:36:38.840]   They feel like this isn't helping their local constituents. This whole thing could be for not
[00:36:38.840 --> 00:36:46.640]   That's my story that you told is gonna be told by the legacy media and all the haters and the enemies
[00:36:47.000 --> 00:36:49.000]   Regardless of what?
[00:36:49.000 --> 00:36:51.400]   I don't think so. I think
[00:36:51.400 --> 00:36:56.600]   You show people on haters
[00:36:56.600 --> 00:37:02.960]   I'm talking about the public election now is the time to implement when you show people
[00:37:02.960 --> 00:37:08.640]   $22,000, you know hammers and wasted money. You will get a hundred percent of Americans
[00:37:08.640 --> 00:37:14.600]   Backing this now 60 minutes been doing that for 30 years. Nothing's happened. We got to just act now
[00:37:14.880 --> 00:37:18.460]   Yeah act and bring people on with communications. I mean if you got if you're
[00:37:18.460 --> 00:37:23.940]   Poorly great not for it. Yeah, I'm not saying that communication isn't part of the job
[00:37:23.940 --> 00:37:27.600]   In fact this whole conversation started by us talking about an op-ed
[00:37:27.600 --> 00:37:34.360]   Yes, Vivek wrote correct and we're doing a podcast right in which they're laying out their objectives and they're doing podcasts
[00:37:34.360 --> 00:37:38.200]   And yeah, Elon has the biggest following in the world and biggest following
[00:37:38.200 --> 00:37:42.760]   so I just don't think communications can be the problem, but you're also not gonna be able to convince everyone and
[00:37:43.520 --> 00:37:49.280]   You know, we've already won the election and now's the time to figure out very strategically how to implement as much as possible
[00:37:49.280 --> 00:37:54.680]   Be humble by two million votes. Keep it in mind. You have to bring everybody along. Okay, you know what?
[00:37:54.680 --> 00:38:01.520]   It was fair. It would been 20 million votes for Trump. I have one under these circumstances and he won the trifecta
[00:38:01.520 --> 00:38:04.360]   It's impressive
[00:38:04.360 --> 00:38:08.400]   Nobody's saying it's not it. I'm not minimizing it. I'm just saying be aware
[00:38:08.440 --> 00:38:15.760]   There's 74 million people who are rooting against Trump and I think getting some know them. I'm not true. That's not true
[00:38:15.760 --> 00:38:20.040]   I think there's a decent number of people who are probably very upset that you know
[00:38:20.040 --> 00:38:22.800]   Trump won just like last time they were upset that Biden won
[00:38:22.800 --> 00:38:29.240]   Including all Americans in this is the most virtuous thing you can do. I think everybody should get on board
[00:38:29.240 --> 00:38:33.640]   I think it I think it's deranged the idea that 74 million people are actually rooting against him
[00:38:33.640 --> 00:38:38.560]   I don't think that that's true. I don't there's a feel good that they lost people don't feel good about losing
[00:38:38.560 --> 00:38:45.320]   Bringing those people on board is virtuous dude. There's already been a huge five shifts in the country. Have you seen the Trump dance?
[00:38:45.320 --> 00:38:49.360]   I mean, there's been such a vibe shit. Let's see it. Let's see it
[00:38:49.360 --> 00:38:52.300]   I'm not gonna do it right now, but there's been such a huge vibe shift
[00:38:52.300 --> 00:39:02.680]   The energy right now is incredible and I think people are feeling much more optimistic
[00:39:02.680 --> 00:39:08.040]   can you imagine what a downer would it be if like we were expecting President Kamala Harris to take the oath of
[00:39:08.040 --> 00:39:15.040]   It would be a downer to me if there was still pushing a seven point two trillion dollar federal budget next year
[00:39:15.040 --> 00:39:21.560]   That would be a downer. And by the way, I think that there's a deeply linked relationship between social issues
[00:39:21.560 --> 00:39:24.640]   economic issues political policies and
[00:39:24.640 --> 00:39:31.040]   foreign conflict they all seem like they're four different things, but they're so tightly interwound and
[00:39:31.760 --> 00:39:38.360]   It's interesting how everything kind of moves together with this shift in who ended up wanting winning this election cycle
[00:39:38.360 --> 00:39:44.420]   And I think it really speaks to the relationship between the four. Well, by the way, there's a great meme
[00:39:44.420 --> 00:39:47.200]   that was floating around where it showed a photo of
[00:39:47.200 --> 00:39:56.000]   Trump Elon Bobby Kennedy and Tulsi Gabbard and it said that all for the fuel used to be Democrats. Yep. Yep
[00:39:56.000 --> 00:39:59.000]   Rogan in it. I tweeted that
[00:39:59.760 --> 00:40:07.720]   It used to be that that Democrats were progressive progressive means progress looking forward and the last decade the last couple years in particular
[00:40:07.720 --> 00:40:12.440]   I think a lot of people that I know that are former Democrats and Chamath you can speak for yourself
[00:40:12.440 --> 00:40:17.460]   feel like the Democrats stopped looking forward and it was all about trying to like
[00:40:17.460 --> 00:40:19.600]   pessimistic and
[00:40:19.600 --> 00:40:22.880]   Grievance and vengeful and all of a sudden you've got guys like Elon
[00:40:22.880 --> 00:40:29.680]   Promoting themselves as Republicans highlighting that it's all this is the party that looks forward. This is the party that drives progress
[00:40:29.920 --> 00:40:31.920]   It's an amazing shift. I
[00:40:31.920 --> 00:40:35.120]   Don't know if there's been anything like it that's happened this quickly
[00:40:35.120 --> 00:40:40.960]   And I voted more to make America great again than I did vote for being a Republican
[00:40:40.960 --> 00:40:43.360]   I think that the Republican Party right totally
[00:40:43.360 --> 00:40:48.840]   Is is less important than it's ever been and I think MAGA is more important than it's ever been
[00:40:48.840 --> 00:40:53.800]   I agree, and I'd say the biggest risk to the whole agenda. It probably is not the Democrats
[00:40:53.800 --> 00:40:58.720]   it's actually some of these old bulls in Congress who are
[00:40:59.640 --> 00:41:05.540]   Anti MAGA for some reason Trump is the one who just won the trifecta. He does won this big election
[00:41:05.540 --> 00:41:09.620]   If you stick with the old Republican message, you're just a surefire loser
[00:41:09.620 --> 00:41:16.920]   So give Trump his due as the leader of the party realizes now a MAGA party and let's get some things done
[00:41:16.920 --> 00:41:23.120]   If the reform agenda fails to be frank, it probably is not gonna be the Democrats
[00:41:23.120 --> 00:41:27.560]   It's probably going to be these holdouts and the Republican Party. Yeah
[00:41:28.120 --> 00:41:32.360]   Yeah, yeah, that was my question earlier. I think I asked it twice. I didn't get anybody to engage in it
[00:41:32.360 --> 00:41:37.800]   How do you convince them? How are they being brought on board to this if they have all this pork barrel spending?
[00:41:37.800 --> 00:41:39.880]   Is there a strategy there? Would you have a strategy?
[00:41:39.880 --> 00:41:45.720]   I think sacks laid it out, which is that if you use the combination of the carrot and the stick I think the carrot is
[00:41:45.720 --> 00:41:52.200]   Creating transparency and I think the other part of the carrot is
[00:41:52.840 --> 00:41:59.760]   You'll have now an extremely well-funded pack that can support people who are on board with this agenda
[00:41:59.760 --> 00:42:05.240]   But the stick is if you don't I think that if Elon makes us a really concerted
[00:42:05.240 --> 00:42:10.640]   Long-term part of his strategy then I think you should run candidates who actually are aligned with the agenda
[00:42:10.640 --> 00:42:14.880]   That the make America great again movement wants
[00:42:14.880 --> 00:42:20.740]   so I think that's the carrot and stick Jason, which is like some of these old Republicans will have to decide do I
[00:42:21.800 --> 00:42:27.200]   basically help invest in a renewal of the American spirit or do I keep pushing back because I like the way it was and
[00:42:27.200 --> 00:42:31.960]   I want to go to war and I want to cozy up to these lobbyists. I think those folks are gonna have a very
[00:42:31.960 --> 00:42:34.140]   tough
[00:42:34.140 --> 00:42:39.440]   Four and eight years because I think you'll see a bunch of MAGA candidates rising up to run against them
[00:42:39.440 --> 00:42:45.160]   Everywhere in the United States as you can see my young apprentice your friends have failed
[00:42:45.160 --> 00:42:51.240]   Now witness the firepower of this fully armed and operational battle station, man
[00:42:51.760 --> 00:42:55.280]   I said be humble like three times. None of it's sinking in
[00:42:55.280 --> 00:43:01.320]   No, I just explained I explained the rest. I've been very clear. You're not gonna get Milton Friedman
[00:43:01.320 --> 00:43:06.360]   Okay, you're not gonna get Javier. Malay. Well, we can hopefully get as a bending of the curve towards sustainable
[00:43:06.360 --> 00:43:14.360]   I mean my expectations to be realistic. Okay, I mean breaking even would be great if we do just weren't adding to the debt
[00:43:14.360 --> 00:43:16.360]   That would be amazing
[00:43:16.360 --> 00:43:19.360]   Look if the federal budget gets to three trillion
[00:43:19.960 --> 00:43:21.520]   And
[00:43:21.520 --> 00:43:23.520]   regulation gets cut if you get
[00:43:23.520 --> 00:43:25.440]   50% of
[00:43:25.440 --> 00:43:31.600]   The regulations in federal agencies cut I think you unleash an economic sonic boom
[00:43:31.600 --> 00:43:36.640]   I'm all in and I think I think it's the greatest thing that could ever happen. My gosh
[00:43:36.640 --> 00:43:38.640]   Could you imagine America clocking in?
[00:43:38.640 --> 00:43:45.760]   Regulatory, I mean how much you guys start with your own knees zero. I'm dealing not a real regulatory
[00:43:46.080 --> 00:43:51.880]   The regulatory stuff is brutal man. I mean like what it's legit brain like melting
[00:43:51.880 --> 00:43:54.640]   Tell me your number one regulatory
[00:43:54.640 --> 00:44:00.760]   Frustration we can go around the horn. This is a great topic. Actually, I don't have any I think I'm very blessed to work in an industry
[00:44:00.760 --> 00:44:02.600]   That's very light with regulation
[00:44:02.600 --> 00:44:08.800]   I think it affects many many other industries that if they were unleashed could contribute to American real estate
[00:44:08.800 --> 00:44:11.280]   construction
[00:44:11.320 --> 00:44:18.200]   Regulations are very regressive because they touch poor and middle-income people way more than it touch folks like me
[00:44:18.200 --> 00:44:21.040]   Rip these regulations out
[00:44:21.040 --> 00:44:28.240]   To regulations that do affect you crypto regulation and capital formation. Both of those things are
[00:44:28.240 --> 00:44:32.760]   They haven't heard this is my project, but they definitely are
[00:44:32.760 --> 00:44:36.400]   Economy, right? I can snap a finger and raise a couple billion dollars
[00:44:36.400 --> 00:44:40.920]   That is not it's so I'm in a unique position and I and I recognize that what is much harder
[00:44:40.920 --> 00:44:42.920]   is if you're trying to be an
[00:44:42.920 --> 00:44:47.440]   Electrician if you're trying to be a hairdresser if you're trying to be a massage therapist when you have to spend
[00:44:47.440 --> 00:44:51.280]   15 20 30 percent of your salary on licensure. Why?
[00:44:51.280 --> 00:44:57.320]   Why do we need the rules totally if you're a person that's trying to like construct a home
[00:44:57.320 --> 00:45:00.600]   Why does it take six and eight weeks to get permits approved? Why?
[00:45:00.600 --> 00:45:06.520]   And there are no good answers for these things. So forget about me like it doesn't matter about me
[00:45:06.520 --> 00:45:13.440]   But the mainline part of the United States economy as I said before is a coiled spring if you get rid of those regulations
[00:45:13.440 --> 00:45:18.560]   It disproportionately impacts middle income and lower middle income jobs
[00:45:18.560 --> 00:45:25.560]   This is why if you if you see if you see GDP if America clocks in GDP at four to four and a half percent
[00:45:25.560 --> 00:45:28.520]   Watch out folks
[00:45:28.520 --> 00:45:33.060]   Sonic boom watch out. I'll give you two really simple ones allowing
[00:45:33.600 --> 00:45:39.020]   Everybody in the United States to participate in company formation would change everything
[00:45:39.020 --> 00:45:46.120]   95% of the company cannot participate in investing in startups or any, you know, new
[00:45:46.120 --> 00:45:53.680]   I think it would be a massive freedom to operate just freedom to do stuff. You know, that's what it is
[00:45:53.680 --> 00:45:58.640]   I mean, you're free to go to Vegas and gamble you're free to you know, play, you know
[00:45:58.640 --> 00:46:03.920]   I think the next order you're not free to buy Bitcoin. You're not free to buy you are free to buy Bitcoin
[00:46:03.920 --> 00:46:07.480]   You can buy what you can yeah, but you're not free to create a token, right?
[00:46:07.480 --> 00:46:11.920]   Of regulation, I think there's many more traditional
[00:46:11.920 --> 00:46:16.280]   Forms of economic growth that we can have before we need to make ICOs
[00:46:16.280 --> 00:46:21.940]   Legal and easier. I want to say something. I think that the person that runs for governor in, California
[00:46:22.800 --> 00:46:29.600]   Should commit to cutting those 65,000 regulations down to 10,000 as needed
[00:46:29.600 --> 00:46:34.200]   to replacing the DMV with a digital app and
[00:46:34.200 --> 00:46:38.900]   To cut taxes to near zero and to create school choice
[00:46:38.900 --> 00:46:43.280]   Whoever does that will create a renaissance in California
[00:46:43.280 --> 00:46:48.800]   It's the fifth largest economy in the world folks, and it can be a bellwether for the rest of the world
[00:46:49.040 --> 00:46:55.440]   well, you know there there's a lot of scuttlebutt online that Nicole Shanahan is gonna run for governor of California and
[00:46:55.440 --> 00:46:59.200]   I'd be all in favor of that. I would say that of all the
[00:46:59.200 --> 00:47:06.400]   Political personalities involved in the election over the past year. She gets my most improved award
[00:47:06.400 --> 00:47:09.160]   I remember when like Bobby named her to his ticket
[00:47:09.160 --> 00:47:11.160]   I was a little bit skeptical of that choice
[00:47:11.160 --> 00:47:14.840]   Because of some of the causes that she had identified with or donated to in the past
[00:47:15.200 --> 00:47:21.040]   But she I think has ended up being a star. She's pretty based. She's a yeah, totally
[00:47:21.040 --> 00:47:23.200]   I mean, she's she's red-pilled and ended up supporting
[00:47:23.200 --> 00:47:26.280]   my hat and Maga and
[00:47:26.280 --> 00:47:32.360]   I don't think we're gonna get anyone better in, California. So she's wanted to do it and take it on. That'd be awesome
[00:47:32.360 --> 00:47:36.180]   Sacks, what about you? You don't want you don't want that that mansion
[00:47:36.180 --> 00:47:39.920]   It'd be a significant downgrade for me. That's about to say
[00:47:44.000 --> 00:47:49.200]   Easy what yeah, you could live in the governor's mansion also known as smaller than your guest house
[00:47:49.200 --> 00:47:55.040]   That'll be your backup man cave. Well, actually that's happened people have in New York
[00:47:55.040 --> 00:47:59.080]   I remember one of the governors was like, yeah, you know, I'm good. I don't need to live in the mansion
[00:47:59.080 --> 00:48:02.260]   Where do you want to go next boys? We have other things on the docket
[00:48:02.260 --> 00:48:08.520]   Would you like to go to our war correspondent? Would you like to go home Google breakup? Would you like to go Nvidia?
[00:48:08.520 --> 00:48:13.480]   Where would you like to go World War three? I think is important sacks. You put World War three on the docket
[00:48:13.480 --> 00:48:15.480]   Would you like to teed up for us? Yeah
[00:48:15.480 --> 00:48:20.320]   Sure. Well, there's a several events that have happened in reasonably close succession
[00:48:20.320 --> 00:48:27.280]   The first thing to understand is what's happening on the ground in Ukraine. The Ukrainians been losing territory and accelerating pace
[00:48:27.280 --> 00:48:33.320]   There's an excellent graphic in the New York Times that I'll put on the screen that shows this it's not a stalemate
[00:48:33.320 --> 00:48:35.320]   Remember I said on this podcast
[00:48:35.320 --> 00:48:38.800]   Six months or a year ago that it was no longer a stalemate
[00:48:38.800 --> 00:48:41.840]   it was a war of attrition in which the Ukrainians were now losing and
[00:48:42.160 --> 00:48:46.540]   Every single month now the Russians are taking more and more territory again. The curve is accelerating
[00:48:46.540 --> 00:48:51.920]   We'd all invest in a business who had a growth curve that looked like this. So not good news for the Ukrainians in
[00:48:51.920 --> 00:48:57.080]   Response to that. I think that's funnily the condition on the ground that's created the next set of actions
[00:48:57.080 --> 00:49:02.720]   Which is the Biden administration finally approved the use of long-range missiles attack
[00:49:02.720 --> 00:49:07.700]   Um's missile storm shadows to hit territory deep inside of Russia the Russians
[00:49:07.700 --> 00:49:10.480]   Believe and I don't know whether this is true or not
[00:49:10.480 --> 00:49:14.000]   but what they say is that those weapons cannot be operated without
[00:49:14.000 --> 00:49:17.120]   Americans or British
[00:49:17.120 --> 00:49:21.840]   Operators being there to you know, they're too complicated for the Ukrainians just to use on their own
[00:49:21.840 --> 00:49:30.040]   so they the Russians view this as not just a direct attack on their homeland on their motherland, but also a
[00:49:30.040 --> 00:49:32.400]   direct involvement by
[00:49:32.400 --> 00:49:35.160]   the NATO allies United States and
[00:49:35.160 --> 00:49:38.960]   Britain in the war and that is a big escalation
[00:49:39.760 --> 00:49:41.760]   You know a lot of people say that
[00:49:41.760 --> 00:49:45.600]   The Russians have all these red lines we keep crossing and they don't do anything
[00:49:45.600 --> 00:49:46.160]   That's not true
