
[00:00:00.040 --> 00:00:10.620]   question
[00:30:41.640 --> 00:30:41.640]   I'm going to go ahead and start the recording.
[00:30:41.640 --> 00:30:41.640]   I'm going to go ahead and start the recording.
[00:30:41.640 --> 00:30:41.640]   I'm going to go ahead and start the recording.
[00:30:41.640 --> 00:30:41.640]   I'm going to go ahead and start the recording.
[00:30:41.640 --> 00:31:11.660]   I'm going to go ahead and start the recording.
[00:31:11.660 --> 00:31:11.660]   I'm going to go ahead and start the recording.
[00:31:11.660 --> 00:31:11.660]   I'm going to go ahead and start the recording.
[00:31:11.660 --> 00:31:11.660]   I'm going to go ahead and start the recording.
[00:31:11.660 --> 00:31:11.660]   I'm going to go ahead and start the recording.
[00:31:11.660 --> 00:31:11.660]   I'm going to go ahead and start the recording.
[00:31:11.660 --> 00:31:11.660]   I'm going to go ahead and start the recording.
[00:31:11.660 --> 00:31:11.660]   I'm going to go ahead and start the recording.
[00:31:11.660 --> 00:31:11.660]   I'm going to go ahead and start the recording.
[00:31:11.660 --> 00:31:11.660]   I'm going to go ahead and start the recording.
[00:31:11.660 --> 00:31:11.660]   I'm going to go ahead and start the recording.
[00:31:11.660 --> 00:31:11.660]   I'm going to go ahead and start the recording.
[00:31:11.680 --> 00:31:41.680]   I'm going to go ahead and start the recording.
[00:31:41.680 --> 00:31:41.680]   I'm going to go ahead and start the recording.
[00:31:41.680 --> 00:31:41.680]   I'm going to go ahead and start the recording.
[00:31:41.680 --> 00:31:41.680]   I'm going to go ahead and start the recording.
[00:31:41.680 --> 00:31:41.680]   I'm going to go ahead and start the recording.
[00:31:41.680 --> 00:31:41.680]   I'm going to go ahead and start the recording.
[00:31:41.680 --> 00:31:41.680]   I'm going to go ahead and start the recording.
[00:31:41.680 --> 00:31:41.680]   I'm going to go ahead and start the recording.
[00:31:41.680 --> 00:31:41.680]   I'm going to go ahead and start the recording.
[00:31:41.680 --> 00:31:41.680]   I'm going to go ahead and start the recording.
[00:31:41.680 --> 00:31:41.680]   I'm going to go ahead and start the recording.
[00:31:41.680 --> 00:31:41.680]   I'm going to go ahead and start the recording.
[00:31:41.680 --> 00:31:41.680]   I'm going to go ahead and start the recording.
[00:31:41.680 --> 00:31:41.680]   I'm going to go ahead and start the recording.
[00:31:41.680 --> 00:31:41.680]   I'm going to go ahead and start the recording.
[00:31:41.680 --> 00:31:41.680]   I'm going to go ahead and start the recording.
[00:31:41.680 --> 00:32:11.700]   I'm going to go ahead and start the recording.
[00:32:11.700 --> 00:32:11.700]   I'm going to go ahead and start the recording.
[00:32:11.700 --> 00:32:11.700]   I'm going to go ahead and start the recording.
[00:32:11.700 --> 00:32:11.700]   I'm going to go ahead and start the recording.
[00:32:11.700 --> 00:32:11.700]   I'm going to go ahead and start the recording.
[00:32:11.700 --> 00:32:11.700]   I'm going to go ahead and start the recording.
[00:32:11.700 --> 00:32:11.700]   I'm going to go ahead and start the recording.
[00:32:11.700 --> 00:32:11.700]   I'm going to go ahead and start the recording.
[00:32:11.700 --> 00:32:11.700]   I'm going to go ahead and start the recording.
[00:32:11.700 --> 00:32:11.700]   I'm going to go ahead and start the recording.
[00:32:11.700 --> 00:32:11.700]   I'm going to go ahead and start the recording.
[00:32:11.720 --> 00:32:41.720]   I'm going to go ahead and start the recording.
[00:32:41.720 --> 00:32:41.720]   I'm going to go ahead and start the recording.
[00:32:41.720 --> 00:32:41.720]   I'm going to go ahead and start the recording.
[00:32:41.720 --> 00:32:41.720]   I'm going to go ahead and start the recording.
[00:32:41.720 --> 00:32:41.720]   I'm going to go ahead and start the recording.
[00:32:41.720 --> 00:32:41.720]   I'm going to go ahead and start the recording.
[00:32:41.720 --> 00:32:41.720]   I'm going to go ahead and start the recording.
[00:32:41.720 --> 00:32:41.720]   I'm going to go ahead and start the recording.
[00:32:41.720 --> 00:32:41.720]   I'm going to go ahead and start the recording.
[00:32:41.720 --> 00:32:41.720]   I'm going to go ahead and start the recording.
[00:32:41.720 --> 00:32:41.720]   I'm going to go ahead and start the recording.
[00:32:41.720 --> 00:32:41.720]   I'm going to go ahead and start the recording.
[00:32:41.720 --> 00:32:41.720]   I'm going to go ahead and start the recording.
[00:32:41.720 --> 00:32:41.720]   I'm going to go ahead and start the recording.
[00:32:41.720 --> 00:32:41.720]   I'm going to go ahead and start the recording.
[00:32:41.720 --> 00:32:41.720]   I'm going to go ahead and start the recording.
[00:32:41.720 --> 00:33:11.740]   I'm going to go ahead and start the recording.
[00:33:11.740 --> 00:33:11.740]   I'm going to go ahead and start the recording.
[00:33:11.740 --> 00:33:11.740]   I'm going to go ahead and start the recording.
[00:33:11.740 --> 00:33:11.740]   I'm going to go ahead and start the recording.
[00:33:11.740 --> 00:33:11.740]   I'm going to go ahead and start the recording.
[00:33:11.740 --> 00:33:11.740]   I'm going to go ahead and start the recording.
[00:33:11.740 --> 00:33:11.740]   I'm going to go ahead and start the recording.
[00:33:11.740 --> 00:33:11.740]   I'm going to go ahead and start the recording.
[00:33:11.740 --> 00:33:11.740]   I'm going to go ahead and start the recording.
[00:33:11.740 --> 00:33:11.740]   I'm going to go ahead and start the recording.
[00:33:11.740 --> 00:33:11.740]   I'm going to go ahead and start the recording.
[00:33:11.760 --> 00:33:41.760]   I'm going to go ahead and start the recording.
[00:33:41.760 --> 00:33:41.760]   I'm going to go ahead and start the recording.
[00:33:41.760 --> 00:33:41.760]   I'm going to go ahead and start the recording.
[00:33:41.760 --> 00:33:41.760]   I'm going to go ahead and start the recording.
[00:33:41.760 --> 00:33:41.760]   I'm going to go ahead and start the recording.
[00:33:41.760 --> 00:33:41.760]   I'm going to go ahead and start the recording.
[00:33:41.760 --> 00:33:41.760]   I'm going to go ahead and start the recording.
[00:33:41.760 --> 00:33:41.760]   I'm going to go ahead and start the recording.
[00:33:41.760 --> 00:33:41.760]   I'm going to go ahead and start the recording.
[00:33:41.760 --> 00:33:41.760]   I'm going to go ahead and start the recording.
[00:33:41.760 --> 00:33:41.760]   I'm going to go ahead and start the recording.
[00:33:41.760 --> 00:33:41.760]   I'm going to go ahead and start the recording.
[00:33:41.760 --> 00:33:41.760]   I'm going to go ahead and start the recording.
[00:33:41.760 --> 00:33:41.760]   I'm going to go ahead and start the recording.
[00:33:41.760 --> 00:33:41.760]   I'm going to go ahead and start the recording.
[00:33:41.760 --> 00:33:41.760]   I'm going to go ahead and start the recording.
[00:33:41.800 --> 00:34:11.780]   I'm going to go ahead and start the recording.
[00:34:11.780 --> 00:34:11.780]   I'm going to go ahead and start the recording.
[00:34:11.780 --> 00:34:11.780]   I'm going to go ahead and start the recording.
[00:34:11.780 --> 00:34:11.780]   I'm going to go ahead and start the recording.
[00:34:11.780 --> 00:34:11.780]   I'm going to go ahead and start the recording.
[00:34:11.780 --> 00:34:11.780]   I'm going to go ahead and start the recording.
[00:34:11.780 --> 00:34:11.780]   I'm going to go ahead and start the recording.
[00:34:11.780 --> 00:34:11.780]   I'm going to go ahead and start the recording.
[00:34:11.780 --> 00:34:11.780]   I'm going to go ahead and start the recording.
[00:34:11.780 --> 00:34:11.780]   I'm going to go ahead and start the recording.
[00:34:11.780 --> 00:34:11.780]   I'm going to go ahead and start the recording.
[00:34:11.780 --> 00:34:11.780]   I'm going to go ahead and start the recording.
[00:34:11.780 --> 00:34:11.780]   I'm going to go ahead and start the recording.
[00:34:11.800 --> 00:34:41.800]   You're going to go ahead and start the recording.
[00:34:41.800 --> 00:34:41.800]   You're going to go ahead and start the recording.
[00:34:41.800 --> 00:34:41.800]   You're going to go ahead and start the recording.
[00:34:41.800 --> 00:34:41.800]   You're going to go ahead and start the recording.
[00:34:41.800 --> 00:34:41.800]   You're going to go ahead and start the recording.
[00:34:41.800 --> 00:34:41.800]   You're going to go ahead and start the recording.
[00:34:41.800 --> 00:34:41.800]   You're going to go ahead and start the recording.
[00:34:41.800 --> 00:34:41.800]   You're going to go ahead and start the recording.
[00:34:41.800 --> 00:34:41.800]   You're going to go ahead and start the recording.
[00:34:41.800 --> 00:34:41.800]   You're going to go ahead and start the recording.
[00:34:41.800 --> 00:34:41.800]   You're going to go ahead and start the recording.
[00:34:41.800 --> 00:34:41.800]   You're going to go ahead and start the recording.
[00:34:41.800 --> 00:34:41.800]   You're going to go ahead and start the recording.
[00:34:41.800 --> 00:34:41.800]   You're going to go ahead and start the recording.
[00:34:41.800 --> 00:34:41.800]   You're going to go ahead and start the recording.
[00:34:41.800 --> 00:34:41.800]   You're going to go ahead and start the recording.
[00:34:41.800 --> 00:35:11.820]   You're going to go ahead and start the recording.
[00:35:11.820 --> 00:35:11.820]   You're going to go ahead and start the recording.
[00:35:11.820 --> 00:35:11.820]   You're going to go ahead and start the recording.
[00:35:11.820 --> 00:35:11.820]   You're going to go ahead and start the recording.
[00:35:11.820 --> 00:35:11.820]   You're going to go ahead and start the recording.
[00:35:11.820 --> 00:35:11.820]   You're going to go ahead and start the recording.
[00:35:11.820 --> 00:35:11.820]   You're going to go ahead and start the recording.
[00:35:11.820 --> 00:35:11.820]   You're going to go ahead and start the recording.
[00:35:11.820 --> 00:35:11.820]   You're going to go ahead and start the recording.
[00:35:11.820 --> 00:35:11.820]   You're going to go ahead and start the recording.
[00:35:11.820 --> 00:35:11.820]   You're going to go ahead and start the recording.
[00:35:11.840 --> 00:35:41.840]   You're going to go ahead and start the recording.
[00:35:41.840 --> 00:35:41.840]   You're going to go ahead and start the recording.
[00:35:41.840 --> 00:35:41.840]   You're going to go ahead and start the recording.
[00:35:41.840 --> 00:35:41.840]   You're going to go ahead and start the recording.
[00:35:41.840 --> 00:35:41.840]   You're going to go ahead and start the recording.
[00:35:41.840 --> 00:35:41.840]   You're going to go ahead and start the recording.
[00:35:41.840 --> 00:35:41.840]   You're going to go ahead and start the recording.
[00:35:41.840 --> 00:35:41.840]   You're going to go ahead and start the recording.
[00:35:41.840 --> 00:35:41.840]   You're going to go ahead and start the recording.
[00:35:41.840 --> 00:35:41.840]   You're going to go ahead and start the recording.
[00:35:41.840 --> 00:35:41.840]   You're going to go ahead and start the recording.
[00:35:41.840 --> 00:35:41.840]   You're going to go ahead and start the recording.
[00:35:41.840 --> 00:35:41.840]   You're going to go ahead and start the recording.
[00:35:41.840 --> 00:35:41.840]   You're going to go ahead and start the recording.
[00:35:41.840 --> 00:35:41.840]   You're going to go ahead and start the recording.
[00:35:41.840 --> 00:35:41.840]   You're going to go ahead and start the recording.
[00:35:41.840 --> 00:36:11.860]   You're going to go ahead and start the recording.
[00:36:11.860 --> 00:36:11.860]   You're going to go ahead and start the recording.
[00:36:11.860 --> 00:36:11.860]   You're going to go ahead and start the recording.
[00:36:11.860 --> 00:36:11.860]   You're going to go ahead and start the recording.
[00:36:11.860 --> 00:36:11.860]   You're going to go ahead and start the recording.
[00:36:11.860 --> 00:36:11.860]   You're going to go ahead and start the recording.
[00:36:11.860 --> 00:36:11.860]   You're going to go ahead and start the recording.
[00:36:11.860 --> 00:36:11.860]   You're going to go ahead and start the recording.
[00:36:11.860 --> 00:36:11.860]   You're going to go ahead and start the recording.
[00:36:11.860 --> 00:36:11.860]   You're going to go ahead and start the recording.
[00:36:11.860 --> 00:36:11.860]   You're going to go ahead and start the recording.
[00:36:11.900 --> 00:36:41.880]   arch.
[00:36:41.880 --> 00:36:41.880]   You're going to go ahead and start the recording.
[00:36:41.880 --> 00:36:41.880]   You're going to go ahead and start the recording.
[00:36:41.880 --> 00:36:41.880]   You're going to go ahead and start the recording.
[00:36:41.880 --> 00:36:41.880]   You're going to go ahead and start the recording.
[00:36:41.880 --> 00:36:41.880]   You're going to go ahead and start the recording.
[00:36:41.880 --> 00:36:41.880]   You're going to go ahead and start the recording.
[00:36:41.880 --> 00:36:41.880]   You're going to go ahead and start the recording.
[00:36:41.880 --> 00:36:41.880]   You're going to go ahead and start the recording.
[00:36:41.880 --> 00:36:41.880]   You're going to go ahead and start the recording.
[00:36:41.880 --> 00:36:41.880]   You're going to go ahead and start the recording.
[00:36:41.880 --> 00:36:41.880]   You're going to go ahead and start the recording.
[00:36:41.880 --> 00:36:41.880]   You're going to go ahead and start the recording.
[00:36:41.880 --> 00:36:41.880]   You're going to go ahead and start the recording.
[00:36:41.880 --> 00:36:41.880]   You're going to go ahead and start the recording.
[00:36:41.880 --> 00:36:41.880]   You're going to go ahead and start the recording.
[00:36:41.880 --> 00:36:41.880]   You're going to go ahead and start the recording.
[00:36:41.880 --> 00:37:11.900]   You're going to go ahead and start the recording.
[00:37:11.900 --> 00:37:11.900]   You're going to go ahead and start the recording.
[00:37:11.900 --> 00:37:11.900]   You're going to go ahead and start the recording.
[00:37:11.900 --> 00:37:11.900]   You're going to go ahead and start the recording.
[00:37:11.900 --> 00:37:11.900]   You're going to go ahead and start the recording.
[00:37:11.900 --> 00:37:11.900]   You're going to go ahead and start the recording.
[00:37:11.900 --> 00:37:11.900]   You're going to go ahead and start the recording.
[00:37:11.900 --> 00:37:11.900]   You're going to go ahead and start the recording.
[00:37:11.900 --> 00:37:11.900]   You're going to go ahead and start the recording.
[00:37:11.900 --> 00:37:11.900]   You're going to go ahead and start the recording.
[00:37:11.900 --> 00:37:11.900]   You're going to go ahead and start the recording.
[00:37:11.920 --> 00:37:41.920]   You're going to go ahead and start the recording.
[00:37:41.920 --> 00:37:41.920]   You're going to go ahead and start the recording.
[00:37:41.920 --> 00:37:41.920]   You're going to go ahead and start the recording.
[00:37:41.920 --> 00:37:41.920]   You're going to go ahead and start the recording.
[00:37:41.920 --> 00:37:41.920]   You're going to go ahead and start the recording.
[00:37:41.920 --> 00:37:41.920]   You're going to go ahead and start the recording.
[00:37:41.920 --> 00:37:41.920]   You're going to go ahead and start the recording.
[00:37:41.920 --> 00:37:41.920]   You're going to go ahead and start the recording.
[00:37:41.920 --> 00:37:41.920]   You're going to go ahead and start the recording.
[00:37:41.920 --> 00:37:41.920]   You're going to go ahead and start the recording.
[00:37:41.920 --> 00:37:41.920]   You're going to go ahead and start the recording.
[00:37:41.920 --> 00:37:41.920]   You're going to go ahead and start the recording.
[00:37:41.920 --> 00:37:41.920]   You're going to go ahead and start the recording.
[00:37:41.920 --> 00:37:41.920]   You're going to go ahead and start the recording.
[00:37:41.920 --> 00:37:41.920]   You're going to go ahead and start the recording.
[00:37:41.920 --> 00:37:41.920]   You're going to go ahead and start the recording.
[00:37:41.920 --> 00:38:11.940]   and you're going to go ahead and start the recording.
[00:38:11.940 --> 00:38:11.940]   You're going to go ahead and start the recording.
[00:38:11.940 --> 00:38:11.940]   You're going to go ahead and start the recording.
[00:38:11.940 --> 00:38:11.940]   You're going to go ahead and start the recording.
[00:38:11.940 --> 00:38:11.940]   You're going to go ahead and start the recording.
[00:38:11.940 --> 00:38:11.940]   You're going to go ahead and start the recording.
[00:38:11.940 --> 00:38:11.940]   You're going to go ahead and start the recording.
[00:38:11.940 --> 00:38:11.940]   You're going to go ahead and start the recording.
[00:38:11.940 --> 00:38:11.940]   You're going to go ahead and start the recording.
[00:38:11.940 --> 00:38:11.940]   You're going to go ahead and start the recording.
[00:38:11.940 --> 00:38:11.940]   You're going to go ahead and start the recording.
[00:38:11.940 --> 00:38:11.940]   You're going to go ahead and start the recording.
[00:38:11.960 --> 00:38:41.960]   We're going to go ahead and start the recording.
[00:38:41.960 --> 00:38:41.960]   We're going to go ahead and start the recording.
[00:38:41.960 --> 00:38:41.960]   We're going to go ahead and start the recording.
[00:38:41.960 --> 00:38:41.960]   We're going to go ahead and start the recording.
[00:38:41.960 --> 00:38:41.960]   We're going to go ahead and start the recording.
[00:38:41.960 --> 00:38:41.960]   We're going to go ahead and start the recording.
[00:38:41.960 --> 00:38:41.960]   We're going to go ahead and start the recording.
[00:38:41.960 --> 00:38:41.960]   We're going to go ahead and start the recording.
[00:38:41.960 --> 00:38:41.960]   We're going to go ahead and start the recording.
[00:38:41.960 --> 00:38:41.960]   We're going to go ahead and start the recording.
[00:38:41.960 --> 00:38:41.960]   We're going to go ahead and start the recording.
[00:38:41.960 --> 00:38:41.960]   We're going to go ahead and start the recording.
[00:38:41.960 --> 00:38:41.960]   We're going to go ahead and start the recording.
[00:38:41.960 --> 00:38:41.960]   We're going to go ahead and start the recording.
[00:38:41.960 --> 00:38:41.960]   We're going to go ahead and start the recording.
[00:38:41.960 --> 00:38:41.960]   We're going to go ahead and start the recording.
[00:38:41.960 --> 00:39:11.980]   We're going to go ahead and start the recording.
[00:39:11.980 --> 00:39:11.980]   We're going to go ahead and start the recording.
[00:39:11.980 --> 00:39:11.980]   We're going to go ahead and start the recording.
[00:39:11.980 --> 00:39:11.980]   We're going to go ahead and start the recording.
[00:39:11.980 --> 00:39:11.980]   We're going to go ahead and start the recording.
[00:39:11.980 --> 00:39:11.980]   We're going to go ahead and start the recording.
[00:39:11.980 --> 00:39:11.980]   We're going to go ahead and start the recording.
[00:39:11.980 --> 00:39:11.980]   We're going to go ahead and start the recording.
[00:39:11.980 --> 00:39:11.980]   We're going to go ahead and start the recording.
[00:39:11.980 --> 00:39:11.980]   We're going to go ahead and start the recording.
[00:39:11.980 --> 00:39:11.980]   We're going to go ahead and start the recording.
[00:39:11.980 --> 00:39:11.980]   We're going to go ahead and start the recording.
[00:39:12.000 --> 00:39:42.000]   We're going to go ahead and start the recording.
[00:39:42.000 --> 00:39:42.000]   We're going to go ahead and start the recording.
[00:39:42.000 --> 00:39:42.000]   We're going to go ahead and start the recording.
[00:39:42.000 --> 00:39:42.000]   We're going to go ahead and start the recording.
[00:39:42.000 --> 00:39:42.000]   We're going to go ahead and start the recording.
[00:39:42.000 --> 00:39:42.000]   We're going to go ahead and start the recording.
[00:39:42.000 --> 00:39:42.000]   We're going to go ahead and start the recording.
[00:39:42.000 --> 00:39:42.000]   We're going to go ahead and start the recording.
[00:39:42.000 --> 00:39:42.000]   We're going to go ahead and start the recording.
[00:39:42.000 --> 00:39:42.000]   We're going to go ahead and start the recording.
[00:39:42.000 --> 00:39:42.000]   We're going to go ahead and start the recording.
[00:39:42.000 --> 00:39:42.000]   We're going to go ahead and start the recording.
[00:39:42.000 --> 00:39:42.000]   We're going to go ahead and start the recording.
[00:39:42.000 --> 00:39:42.000]   We're going to go ahead and start the recording.
[00:39:42.000 --> 00:39:42.000]   We're going to go ahead and start the recording.
[00:39:42.000 --> 00:39:42.000]   We're going to go ahead and start the recording.
[00:39:42.020 --> 00:40:12.020]   I'm going to go ahead and start the recording.
[00:40:12.020 --> 00:40:12.020]   We're going to go ahead and start the recording.
[00:40:12.020 --> 00:40:12.020]   We're going to go ahead and start the recording.
[00:40:12.020 --> 00:40:12.020]   We're going to go ahead and start the recording.
[00:40:12.020 --> 00:40:12.020]   We're going to go ahead and start the recording.
[00:40:12.020 --> 00:40:12.020]   We're going to go ahead and start the recording.
[00:40:12.020 --> 00:40:12.020]   We're going to go ahead and start the recording.
[00:40:12.020 --> 00:40:12.020]   We're going to go ahead and start the recording.
[00:40:12.020 --> 00:40:12.020]   We're going to go ahead and start the recording.
[00:40:12.020 --> 00:40:12.020]   We're going to go ahead and start the recording.
[00:40:12.020 --> 00:40:42.040]   I'm going to go ahead and start the recording.
[00:40:42.040 --> 00:40:42.040]   We're going to go ahead and start the recording.
[00:40:42.040 --> 00:40:42.040]   We're going to go ahead and start the recording.
[00:40:42.040 --> 00:40:42.040]   We're going to go ahead and start the recording.
[00:40:42.040 --> 00:40:42.040]   We're going to go ahead and start the recording.
[00:40:42.040 --> 00:40:42.040]   We're going to go ahead and start the recording.
[00:40:42.040 --> 00:40:42.040]   We're going to go ahead and start the recording.
[00:40:42.040 --> 00:40:42.040]   We're going to go ahead and start the recording.
[00:40:42.040 --> 00:40:42.040]   We're going to go ahead and start the recording.
[00:40:42.040 --> 00:40:42.040]   We're going to go ahead and start the recording.
[00:40:42.040 --> 00:40:42.040]   We're going to go ahead and start the recording.
[00:40:42.040 --> 00:40:42.040]   We're going to go ahead and start the recording.
[00:40:42.040 --> 00:40:42.040]   We're going to go ahead and start the recording.
[00:40:42.040 --> 00:40:42.040]   We're going to go ahead and start the recording. We're going to go ahead and start the recording.
[00:40:42.060 --> 00:41:12.060]   We're going to go ahead and start the recording.
[00:41:12.060 --> 00:41:12.060]   We're going to go ahead and start the recording.
[00:41:12.060 --> 00:41:12.060]   We're going to go ahead and start the recording.
[00:41:12.060 --> 00:41:12.060]   We're going to go ahead and start the recording.
[00:41:12.060 --> 00:41:12.060]   We're going to go ahead and start the recording.
[00:41:12.060 --> 00:41:12.060]   We're going to go ahead and start the recording.
[00:41:12.060 --> 00:41:12.060]   We're going to go ahead and start the recording.
[00:41:12.060 --> 00:41:12.060]   We're going to go ahead and start the recording.
[00:41:12.060 --> 00:41:12.060]   We're going to go ahead and start the recording.
[00:41:12.060 --> 00:41:12.060]   We're going to go ahead and start the recording.
[00:41:12.060 --> 00:41:12.060]   We're going to go ahead and start the recording.
[00:41:12.060 --> 00:41:12.060]   We're going to go ahead and start the recording.
[00:41:12.060 --> 00:41:12.060]   We're going to go ahead and start the recording.
[00:41:12.060 --> 00:41:12.060]   We're going to go ahead and start the recording.
[00:41:12.060 --> 00:41:12.060]   We're going to go ahead and start the recording.
[00:41:12.060 --> 00:41:12.060]   We're going to go ahead and start the recording.
[00:41:12.060 --> 00:41:42.080]   We're going to go ahead and start the recording.
[00:41:42.080 --> 00:41:42.080]   We're going to go ahead and start the recording.
[00:41:42.080 --> 00:41:42.080]   We're going to go ahead and start the recording.
[00:41:42.080 --> 00:41:42.080]   We're going to go ahead and start the recording.
[00:41:42.080 --> 00:41:42.080]   We're going to go ahead and start the recording.
[00:41:42.080 --> 00:41:42.080]   We're going to go ahead and start the recording.
[00:41:42.080 --> 00:41:42.080]   We're going to go ahead and start the recording.
[00:41:42.080 --> 00:41:42.080]   We're going to go ahead and start the recording.
[00:41:42.080 --> 00:41:42.080]   We're going to go ahead and start the recording.
[00:41:42.080 --> 00:41:42.080]   We're going to go ahead and start the recording.
[00:41:42.080 --> 00:41:42.080]   We're going to go ahead and start the recording.
[00:41:42.100 --> 00:42:12.100]   We're going to go ahead and start the recording.
[00:42:12.100 --> 00:42:12.100]   We're going to go ahead and start the recording.
[00:42:12.100 --> 00:42:12.100]   We're going to go ahead and start the recording.
[00:42:12.100 --> 00:42:12.100]   We're going to go ahead and start the recording.
[00:42:12.100 --> 00:42:12.100]   We're going to go ahead and start the recording.
[00:42:12.100 --> 00:42:12.100]   We're going to go ahead and start the recording.
[00:42:12.100 --> 00:42:12.100]   We're going to go ahead and start the recording.
[00:42:12.100 --> 00:42:12.100]   We're going to go ahead and start the recording.
[00:42:12.100 --> 00:42:12.100]   We're going to go ahead and start the recording.
[00:42:12.100 --> 00:42:12.100]   We're going to go ahead and start the recording.
[00:42:12.100 --> 00:42:12.100]   We're going to go ahead and start the recording.
[00:42:12.100 --> 00:42:12.100]   We're going to go ahead and start the recording.
[00:42:12.100 --> 00:42:12.100]   We're going to go ahead and start the recording.
[00:42:12.100 --> 00:42:12.100]   We're going to go ahead and start the recording.
[00:42:12.100 --> 00:42:12.100]   We're going to go ahead and start the recording.
[00:42:12.100 --> 00:42:12.100]   We're going to go ahead and start the recording.
[00:42:12.100 --> 00:42:42.120]   We're going to go ahead and start the recording.
[00:42:42.120 --> 00:42:42.120]   We're going to go ahead and start the recording.
[00:42:42.120 --> 00:42:42.120]   We're going to go ahead and start the recording.
[00:42:42.120 --> 00:42:42.120]   We're going to go ahead and start the recording.
[00:42:42.120 --> 00:42:42.120]   We're going to go ahead and start the recording.
[00:42:42.120 --> 00:42:42.120]   We're going to go ahead and start the recording.
[00:42:42.120 --> 00:42:42.120]   We're going to go ahead and start the recording.
[00:42:42.120 --> 00:42:42.120]   We're going to go ahead and start the recording.
[00:42:42.120 --> 00:42:42.120]   We're going to go ahead and start the recording.
[00:42:42.120 --> 00:42:42.120]   We're going to go ahead and start the recording.
[00:42:42.120 --> 00:42:42.120]   We're going to go ahead and start the recording.
[00:42:42.160 --> 00:43:12.140]  usan.com
[00:43:12.140 --> 00:43:12.140]   We're going to go ahead and start the recording.
[00:43:12.140 --> 00:43:12.140]   We're going to go ahead and start the recording.
[00:43:12.140 --> 00:43:12.140]   We're going to go ahead and start the recording.
[00:43:12.140 --> 00:43:12.140]   We're going to go ahead and start the recording.
[00:43:12.140 --> 00:43:12.140]   We're going to go ahead and start the recording.
[00:43:12.140 --> 00:43:12.140]   We're going to go ahead and start the recording.
[00:43:12.140 --> 00:43:12.140]   We're going to go ahead and start the recording.
[00:43:12.140 --> 00:43:12.140]   We're going to go ahead and start the recording.
[00:43:12.140 --> 00:43:12.140]   We're going to go ahead and start the recording.
[00:43:12.140 --> 00:43:12.140]   We're going to go ahead and start the recording.
[00:43:12.140 --> 00:43:12.140]   We're going to go ahead and start the recording.
[00:43:12.140 --> 00:43:12.140]   We're going to go ahead and start the recording.
[00:43:12.140 --> 00:43:12.140]   We're going to go ahead and start the recording.
[00:43:12.140 --> 00:43:12.140]   We're going to go ahead and start the recording.
[00:43:12.140 --> 00:43:12.140]   We're going to go ahead and start the recording.
[00:43:12.140 --> 00:43:12.140]   We're going to go ahead and start the recording.
[00:43:12.140 --> 00:43:42.160]   We're going to go ahead and start the recording.
[00:43:42.160 --> 00:43:42.160]   We're going to go ahead and start the recording.
[00:43:42.160 --> 00:43:42.160]   We're going to go ahead and start the recording.
[00:43:42.160 --> 00:43:42.160]   We're going to go ahead and start the recording.
[00:43:42.160 --> 00:43:42.160]   We're going to go ahead and start the recording.
[00:43:42.160 --> 00:43:42.160]   We're going to go ahead and start the recording.
[00:43:42.160 --> 00:43:42.160]   We're going to go ahead and start the recording.
[00:43:42.160 --> 00:43:42.160]   We're going to go ahead and start the recording.
[00:43:42.160 --> 00:43:42.160]   We're going to go ahead and start the recording.
[00:43:42.160 --> 00:43:42.160]   We're going to go ahead and start the recording.
[00:43:42.160 --> 00:43:42.160]   We're going to go ahead and start the recording.
[00:43:42.160 --> 00:43:42.160]   We're going to go ahead and start the recording.
[00:43:42.160 --> 00:43:42.160]   We're going to go ahead and start the recording. We're going to go ahead and start the recording.
[00:43:42.180 --> 00:44:12.180]   We're going to go ahead and start the recording.
[00:44:12.180 --> 00:44:12.180]   We're going to go ahead and start the recording.
[00:44:12.180 --> 00:44:12.180]   We're going to go ahead and start the recording.
[00:44:12.180 --> 00:44:12.180]   We're going to go ahead and start the recording.
[00:44:12.180 --> 00:44:12.180]   We're going to go ahead and start the recording.
[00:44:12.180 --> 00:44:12.180]   We're going to go ahead and start the recording.
[00:44:12.180 --> 00:44:12.180]   We're going to go ahead and start the recording.
[00:44:12.180 --> 00:44:12.180]   We're going to go ahead and start the recording.
[00:44:12.180 --> 00:44:12.180]   We're going to go ahead and start the recording.
[00:44:12.180 --> 00:44:12.180]   We're going to go ahead and start the recording.
[00:44:12.180 --> 00:44:12.180]   We're going to go ahead and start the recording.
[00:44:12.180 --> 00:44:12.180]   We're going to go ahead and start the recording.
[00:44:12.180 --> 00:44:12.180]   We're going to go ahead and start the recording.
[00:44:12.180 --> 00:44:12.180]   We're going to go ahead and start the recording.
[00:44:12.180 --> 00:44:12.180]   We're going to go ahead and start the recording.
[00:44:12.180 --> 00:44:12.180]   We're going to go ahead and start the recording.
[00:44:12.180 --> 00:44:42.200]   We're going to go ahead and start the recording.
[00:44:42.200 --> 00:44:42.200]   We're going to go ahead and start the recording.
[00:44:42.200 --> 00:44:42.200]   We're going to go ahead and start the recording.
[00:44:42.200 --> 00:44:42.200]   We're going to go ahead and start the recording.
[00:44:42.200 --> 00:44:42.200]   We're going to go ahead and start the recording.
[00:44:42.200 --> 00:44:42.200]   We're going to go ahead and start the recording.
[00:44:42.200 --> 00:44:42.200]   We're going to go ahead and start the recording.
[00:44:42.200 --> 00:44:42.200]   We're going to go ahead and start the recording.
