
[00:00:00.000 --> 00:00:29.980]   Thank you.
[00:24:23.300 --> 00:24:23.600]   back
[00:24:23.600 --> 00:24:23.940]   over
[00:24:23.940 --> 00:24:24.280]   to
[00:24:24.280 --> 00:24:24.440]   the
[00:24:24.440 --> 00:24:24.920]   executor
[00:24:24.920 --> 00:24:25.240]   agent
[00:24:25.240 --> 00:24:26.020]   and it
[00:24:26.020 --> 00:24:26.140]   will
[00:24:26.140 --> 00:24:26.360]   tell
[00:24:26.360 --> 00:24:26.520]   it
[00:24:26.520 --> 00:24:26.780]   what
[00:24:26.780 --> 00:24:27.000]   to
[00:24:27.000 --> 00:24:27.340]   fix
[00:24:27.340 --> 00:24:27.700]   right
[00:24:27.700 --> 00:24:27.880]   and
[00:24:27.880 --> 00:24:28.000]   it
[00:24:28.000 --> 00:24:28.140]   just
[00:24:28.140 --> 00:24:28.300]   goes
[00:24:28.300 --> 00:24:28.540]   back
[00:24:28.540 --> 00:24:28.700]   and
[00:24:28.700 --> 00:24:28.980]   forth
[00:24:28.980 --> 00:24:29.380]   until
[00:24:29.380 --> 00:24:29.720]   it
[00:24:29.720 --> 00:24:29.980]   is
[00:24:29.980 --> 00:24:30.580]   actually
[00:24:30.580 --> 00:24:30.940]   correct
[00:24:30.940 --> 00:24:31.920]   and
[00:24:31.920 --> 00:24:32.140]   then
[00:24:32.140 --> 00:24:32.420]   the
[00:24:32.420 --> 00:24:32.900]   reviewer
[00:24:32.900 --> 00:24:33.240]   agent
[00:24:33.240 --> 00:24:33.460]   can
[00:24:33.460 --> 00:24:33.620]   say
[00:24:33.620 --> 00:24:33.860]   okay
[00:24:33.860 --> 00:24:34.200]   fine
[00:24:34.200 --> 00:24:34.480]   this
[00:24:34.480 --> 00:24:34.620]   is
[00:24:34.620 --> 00:24:35.020]   approved
[00:24:35.020 --> 00:24:35.620]   and
[00:24:35.620 --> 00:24:35.740]   then
[00:24:35.740 --> 00:24:35.920]   when
[00:24:35.920 --> 00:24:36.020]   it's
[00:24:36.020 --> 00:24:36.440]   approved
[00:24:36.440 --> 00:24:37.520]   the
[00:24:37.520 --> 00:24:40.240]   orchestrator
[00:24:40.240 --> 00:24:41.000]   can
[00:24:41.000 --> 00:24:41.280]   then
[00:24:41.280 --> 00:24:41.580]   move
[00:24:41.580 --> 00:24:41.880]   on
[00:24:41.880 --> 00:24:42.120]   to
[00:24:42.120 --> 00:24:42.300]   the
[00:24:42.300 --> 00:24:42.820]   next
[00:24:42.820 --> 00:24:45.000]   task
[00:24:45.000 --> 00:24:45.200]   in
[00:24:45.200 --> 00:24:45.460]   the
[00:24:45.460 --> 00:24:45.720]   task
[00:24:45.720 --> 00:24:45.980]   list
[00:24:45.980 --> 00:24:46.420]   right
[00:24:46.420 --> 00:24:47.940]   from
[00:24:47.940 --> 00:24:48.540]   my
[00:24:48.540 --> 00:24:48.840]   experience
[00:24:48.840 --> 00:24:49.080]   so
[00:24:49.080 --> 00:24:49.320]   far
[00:24:49.320 --> 00:24:50.220]   this
[00:24:50.220 --> 00:24:50.360]   is
[00:24:50.360 --> 00:24:50.500]   kind
[00:24:50.500 --> 00:24:50.560]   of
[00:24:50.560 --> 00:24:50.940]   arbitrary
[00:24:50.940 --> 00:24:51.640]   because
[00:24:51.640 --> 00:24:51.940]   you know
[00:24:51.940 --> 00:24:52.160]   sub
[00:24:52.160 --> 00:24:52.400]   agents
[00:24:52.400 --> 00:24:52.760]   are
[00:24:52.760 --> 00:24:53.180]   quite
[00:24:53.180 --> 00:24:53.440]   new
[00:24:53.440 --> 00:24:53.760]   and
[00:24:53.760 --> 00:24:53.860]   I
[00:24:53.860 --> 00:24:54.320]   was
[00:24:54.320 --> 00:24:54.480]   on
[00:24:54.480 --> 00:24:54.660]   a
[00:24:54.660 --> 00:24:55.060]   while
[00:24:55.060 --> 00:24:55.940]   I
[00:24:55.940 --> 00:24:56.180]   kind
[00:24:56.180 --> 00:24:56.280]   of
[00:24:56.280 --> 00:24:56.480]   I
[00:24:56.480 --> 00:24:56.760]   capped
[00:24:56.760 --> 00:24:56.940]   it
[00:24:56.940 --> 00:24:57.200]   at
[00:24:57.200 --> 00:24:57.560]   four
[00:24:57.560 --> 00:24:58.080]   agents
[00:24:58.080 --> 00:24:58.640]   running
[00:24:58.640 --> 00:24:58.800]   in
[00:24:58.800 --> 00:24:59.160]   parallel
[00:24:59.160 --> 00:25:02.840]   let's
[00:25:02.840 --> 00:25:03.100]   see
[00:25:03.100 --> 00:25:03.500]   let me
[00:25:03.500 --> 00:25:03.760]   share
[00:25:03.760 --> 00:25:04.040]   my
[00:25:04.040 --> 00:25:04.260]   other
[00:25:04.260 --> 00:25:04.500]   screen
[00:25:04.500 --> 00:25:04.700]   real
[00:25:04.700 --> 00:25:05.040]   quick
[00:25:05.040 --> 00:25:12.380]   is my
[00:25:12.380 --> 00:25:12.580]   whole
[00:25:12.580 --> 00:25:12.800]   screen
[00:25:12.800 --> 00:25:13.100]   visible
[00:25:13.100 --> 00:25:13.360]   not
[00:25:13.360 --> 00:25:16.860]   yeah
[00:25:16.860 --> 00:25:17.160]   we've
[00:25:17.160 --> 00:25:17.500]   got
[00:25:17.500 --> 00:25:18.320]   we've
[00:25:18.320 --> 00:25:18.500]   got
[00:25:18.500 --> 00:25:19.120]   tabs
[00:25:19.120 --> 00:25:19.380]   and
[00:25:19.380 --> 00:25:20.340]   stuff
[00:25:20.340 --> 00:25:20.560]   yeah
[00:25:20.560 --> 00:25:21.720]   okay
[00:25:21.720 --> 00:25:24.060]   so
[00:25:24.060 --> 00:25:27.860]   this
[00:25:27.860 --> 00:25:28.340]   is just
[00:25:28.340 --> 00:25:28.480]   some
[00:25:28.480 --> 00:25:28.680]   stuff
[00:25:28.680 --> 00:25:28.940]   I was
[00:25:28.940 --> 00:25:29.140]   running
[00:25:29.140 --> 00:25:29.500]   earlier
[00:25:29.500 --> 00:25:30.260]   so
[00:25:30.260 --> 00:25:30.560]   this
[00:25:30.560 --> 00:25:30.700]   is
[00:25:30.700 --> 00:25:31.020]   actually
[00:25:31.020 --> 00:25:31.460]   the
[00:25:31.460 --> 00:25:33.220]   non-profit
[00:25:33.220 --> 00:25:33.520]   thing
[00:25:33.520 --> 00:25:34.180]   I showed
[00:25:34.180 --> 00:25:34.320]   you
[00:25:34.320 --> 00:25:34.640]   earlier
[00:25:34.640 --> 00:25:34.860]   the
[00:25:34.860 --> 00:25:35.120]   plan
[00:25:35.120 --> 00:25:37.280]   so
[00:25:37.280 --> 00:25:38.380]   and
[00:25:38.380 --> 00:25:38.520]   this
[00:25:38.520 --> 00:25:38.740]   isn't
[00:25:38.740 --> 00:25:38.980]   running
[00:25:38.980 --> 00:25:39.140]   now
[00:25:39.140 --> 00:25:39.320]   just
[00:25:39.320 --> 00:25:39.480]   be
[00:25:39.480 --> 00:25:39.700]   clear
[00:25:39.700 --> 00:25:40.060]   you
[00:25:40.060 --> 00:25:40.600]   know
[00:25:40.600 --> 00:25:40.900]   I
[00:25:40.900 --> 00:25:41.100]   got
[00:25:41.100 --> 00:25:42.000]   it
[00:25:42.000 --> 00:25:42.320]   limited
[00:25:42.320 --> 00:25:43.160]   unlucky
[00:25:43.160 --> 00:25:46.800]   so
[00:25:46.800 --> 00:25:47.060]   as
[00:25:47.060 --> 00:25:47.160]   you
[00:25:47.160 --> 00:25:47.280]   can
[00:25:47.280 --> 00:25:47.520]   see
[00:25:47.520 --> 00:25:47.740]   what
[00:25:47.740 --> 00:25:47.920]   it'll
[00:25:47.920 --> 00:25:48.160]   do
[00:25:48.160 --> 00:25:48.440]   is
[00:25:48.440 --> 00:25:48.620]   it'll
[00:25:48.620 --> 00:25:49.020]   basically
[00:25:49.020 --> 00:25:50.080]   hand
[00:25:50.080 --> 00:25:50.380]   over
[00:25:50.380 --> 00:25:51.240]   tasks
[00:25:51.240 --> 00:25:51.520]   to
[00:25:51.520 --> 00:25:51.760]   these
[00:25:51.760 --> 00:25:52.220]   reviewer
[00:25:52.220 --> 00:25:52.620]   agents
[00:25:52.620 --> 00:25:53.360]   after
[00:25:53.360 --> 00:25:53.580]   the
[00:25:53.580 --> 00:25:54.060]   executor
[00:25:54.060 --> 00:25:54.460]   agents
[00:25:54.460 --> 00:25:54.800]   run
[00:25:54.800 --> 00:25:55.840]   we also
[00:25:55.840 --> 00:25:56.180]   have a
[00:25:56.180 --> 00:25:56.440]   release
[00:25:56.440 --> 00:25:56.680]   gate
[00:25:56.680 --> 00:25:57.060]   auditor
[00:25:57.060 --> 00:25:57.580]   so
[00:25:57.580 --> 00:25:57.880]   every
[00:25:57.880 --> 00:25:58.520]   plan
[00:25:58.520 --> 00:25:58.780]   that
[00:25:58.780 --> 00:25:58.900]   we
[00:25:58.900 --> 00:25:59.300]   turn
[00:25:59.300 --> 00:25:59.480]   into
[00:25:59.480 --> 00:25:59.980]   tasks
[00:25:59.980 --> 00:26:00.940]   is
[00:26:00.940 --> 00:26:03.240]   in
[00:26:03.240 --> 00:26:03.700]   phases
[00:26:03.700 --> 00:26:04.080]   right
[00:26:04.080 --> 00:26:04.220]   so
[00:26:04.220 --> 00:26:04.400]   we have
[00:26:04.400 --> 00:26:04.560]   phase
[00:26:04.560 --> 00:26:04.740]   one
[00:26:04.740 --> 00:26:04.960]   two
[00:26:04.960 --> 00:26:05.180]   three
[00:26:05.180 --> 00:26:05.340]   four
[00:26:05.340 --> 00:26:05.580]   five
[00:26:05.580 --> 00:26:05.780]   six
[00:26:05.780 --> 00:26:06.040]   seven
[00:26:06.040 --> 00:26:06.340]   whatever
[00:26:06.340 --> 00:26:07.240]   and
[00:26:07.240 --> 00:26:07.360]   then
[00:26:07.360 --> 00:26:07.600]   after
[00:26:07.600 --> 00:26:07.820]   every
[00:26:07.820 --> 00:26:08.200]   phase
[00:26:08.200 --> 00:26:08.560]   it
[00:26:08.560 --> 00:26:08.840]   goes
[00:26:08.840 --> 00:26:09.120]   through
[00:26:09.120 --> 00:26:09.340]   a
[00:26:09.340 --> 00:26:09.640]   release
[00:26:09.640 --> 00:26:09.880]   gate
[00:26:09.880 --> 00:26:10.220]   auditor
[00:26:10.220 --> 00:26:10.680]   and
[00:26:10.680 --> 00:26:11.180]   you
[00:26:11.180 --> 00:26:11.320]   can
[00:26:11.320 --> 00:26:11.500]   think
[00:26:11.500 --> 00:26:11.700]   of it
[00:26:11.700 --> 00:26:11.840]   as
[00:26:11.840 --> 00:26:12.200]   a
[00:26:12.200 --> 00:26:12.500]   final
[00:26:12.500 --> 00:26:12.860]   boss
[00:26:12.860 --> 00:26:13.100]   kind
[00:26:13.100 --> 00:26:13.200]   of
[00:26:13.200 --> 00:26:13.460]   review
[00:26:13.460 --> 00:26:13.860]   agent
[00:26:13.860 --> 00:26:14.660]   which
[00:26:14.660 --> 00:26:14.920]   will
[00:26:14.920 --> 00:26:15.260]   again
[00:26:15.260 --> 00:26:15.520]   go
[00:26:15.520 --> 00:26:15.780]   through
[00:26:15.780 --> 00:26:16.020]   all
[00:26:16.020 --> 00:26:16.100]   the
[00:26:16.100 --> 00:26:16.540]   artifacts
[00:26:16.540 --> 00:26:16.960]   that
[00:26:16.960 --> 00:26:17.160]   were
[00:26:17.160 --> 00:26:17.680]   created
[00:26:17.680 --> 00:26:18.460]   and
[00:26:18.460 --> 00:26:18.720]   test
[00:26:18.720 --> 00:26:19.140]   everything
[00:26:19.140 --> 00:26:19.460]   so
[00:26:19.460 --> 00:26:19.560]   you
[00:26:19.560 --> 00:26:19.660]   can
[00:26:19.660 --> 00:26:20.060]   see
[00:26:20.060 --> 00:26:21.600]   some
[00:26:21.600 --> 00:26:21.800]   well
[00:26:21.800 --> 00:26:22.100]   this one
[00:26:22.100 --> 00:26:22.300]   actually
[00:26:22.300 --> 00:26:22.620]   didn't run
[00:26:22.620 --> 00:26:23.060]   too long
[00:26:23.060 --> 00:26:24.480]   but most
[00:26:24.480 --> 00:26:24.940]   of the time
[00:26:24.940 --> 00:26:25.440]   these will
[00:26:25.440 --> 00:26:25.840]   take quite
[00:26:25.840 --> 00:26:26.120]   a while
[00:26:26.120 --> 00:26:28.480]   and
[00:26:28.480 --> 00:26:29.040]   and
[00:26:29.040 --> 00:26:29.080]   when
[00:26:29.080 --> 00:26:29.860]   when
[00:26:29.860 --> 00:26:29.960]   you
[00:26:29.960 --> 00:26:30.200]   do it
[00:26:30.200 --> 00:26:30.620]   this way
[00:26:30.620 --> 00:26:30.900]   so
[00:26:30.900 --> 00:26:31.040]   you
[00:26:31.040 --> 00:26:31.260]   see
[00:26:31.260 --> 00:26:31.700]   like
[00:26:31.700 --> 00:26:31.900]   all
[00:26:31.900 --> 00:26:32.140]   these
[00:26:32.140 --> 00:26:32.580]   agents
[00:26:32.580 --> 00:26:32.860]   we're
[00:26:32.860 --> 00:26:33.040]   running
[00:26:33.040 --> 00:26:33.180]   in
[00:26:33.180 --> 00:26:33.400]   parallel
[00:26:33.400 --> 00:26:33.740]   for
[00:26:33.740 --> 00:26:34.120]   quite
[00:26:34.120 --> 00:26:34.300]   some
[00:26:34.300 --> 00:26:34.620]   time
[00:26:34.620 --> 00:26:36.140]   and
[00:26:36.140 --> 00:26:36.380]   the way
[00:26:36.380 --> 00:26:36.500]   that
[00:26:36.500 --> 00:26:36.620]   we
[00:26:36.620 --> 00:26:36.840]   keep
[00:26:36.840 --> 00:26:36.980]   it
[00:26:36.980 --> 00:26:37.340]   going
[00:26:37.340 --> 00:26:37.860]   is
[00:26:37.860 --> 00:26:38.060]   also
[00:26:38.060 --> 00:26:38.280]   quite
[00:26:38.280 --> 00:26:38.740]   important
[00:26:38.740 --> 00:26:39.520]   is
[00:26:39.520 --> 00:26:40.320]   through
[00:26:40.320 --> 00:26:40.940]   hooks
[00:26:40.940 --> 00:26:43.180]   so
[00:26:43.180 --> 00:26:43.880]   we
[00:26:43.880 --> 00:26:44.280]   have
[00:26:44.280 --> 00:26:46.560]   a few
[00:26:46.560 --> 00:26:46.840]   hooks
[00:26:46.840 --> 00:26:47.080]   right
[00:26:47.080 --> 00:26:47.300]   so
[00:26:47.300 --> 00:26:47.460]   we
[00:26:47.460 --> 00:26:47.820]   have
[00:26:47.820 --> 00:26:50.140]   one
[00:26:50.140 --> 00:26:50.440]   hook
[00:26:50.440 --> 00:26:51.280]   that's
[00:26:51.280 --> 00:26:51.540]   when
[00:26:51.540 --> 00:26:51.800]   your
[00:26:51.800 --> 00:26:52.200]   root
[00:26:52.200 --> 00:26:52.600]   agent
[00:26:52.600 --> 00:26:52.900]   so
[00:26:52.900 --> 00:26:53.040]   when
[00:26:53.040 --> 00:26:53.200]   you
[00:26:53.200 --> 00:26:53.960]   root
[00:26:53.960 --> 00:26:54.240]   agent
[00:26:54.240 --> 00:26:54.440]   being
[00:26:54.440 --> 00:26:54.700]   like
[00:26:54.700 --> 00:26:55.160]   when
[00:26:55.160 --> 00:26:55.300]   you
[00:26:55.300 --> 00:26:55.900]   boot up
[00:26:55.900 --> 00:26:56.140]   cloud
[00:26:56.140 --> 00:26:56.440]   code
[00:26:56.440 --> 00:26:56.640]   like
[00:26:56.640 --> 00:26:56.860]   the
[00:26:56.860 --> 00:26:57.360]   agent
[00:26:57.360 --> 00:26:57.560]   you're
[00:26:57.560 --> 00:26:57.780]   talking
[00:26:57.780 --> 00:26:58.000]   to
[00:26:58.000 --> 00:26:58.260]   then
[00:26:58.260 --> 00:26:59.260]   stops
[00:26:59.260 --> 00:27:01.060]   it
[00:27:01.060 --> 00:27:01.200]   will
[00:27:01.200 --> 00:27:01.600]   basically
[00:27:01.600 --> 00:27:02.700]   tell
[00:27:02.700 --> 00:27:02.920]   it
[00:27:02.920 --> 00:27:03.260]   you
[00:27:03.260 --> 00:27:03.420]   know
[00:27:03.420 --> 00:27:04.080]   you
[00:27:04.080 --> 00:27:04.400]   cannot
[00:27:04.400 --> 00:27:04.760]   stop
[00:27:04.760 --> 00:27:04.900]   you
[00:27:04.900 --> 00:27:05.020]   have
[00:27:05.020 --> 00:27:05.200]   to
[00:27:05.200 --> 00:27:05.500]   you
[00:27:05.500 --> 00:27:05.640]   have
[00:27:05.640 --> 00:27:05.740]   to
[00:27:05.740 --> 00:27:06.040]   resume
[00:27:06.040 --> 00:27:06.900]   and
[00:27:06.900 --> 00:27:07.480]   what
[00:27:07.480 --> 00:27:07.660]   it'll
[00:27:07.660 --> 00:27:07.940]   do
[00:27:07.940 --> 00:27:08.260]   is
[00:27:08.260 --> 00:27:08.400]   it
[00:27:08.400 --> 00:27:08.500]   will
[00:27:08.500 --> 00:27:08.880]   basically
[00:27:08.880 --> 00:27:09.180]   it
[00:27:09.180 --> 00:27:09.560]   forces
[00:27:09.560 --> 00:27:10.060]   the
[00:27:10.060 --> 00:27:12.560]   root
[00:27:12.560 --> 00:27:12.980]   agent
[00:27:12.980 --> 00:27:13.800]   to do
[00:27:13.800 --> 00:27:14.120]   exactly
[00:27:14.120 --> 00:27:14.420]   this
[00:27:14.420 --> 00:27:14.760]   right
[00:27:14.760 --> 00:27:14.960]   so
[00:27:14.960 --> 00:27:15.120]   it
[00:27:15.120 --> 00:27:15.320]   has
[00:27:15.320 --> 00:27:15.640]   to
[00:27:15.640 --> 00:27:16.280]   run
[00:27:16.280 --> 00:27:16.480]   this
[00:27:16.480 --> 00:27:16.880]   command
[00:27:16.880 --> 00:27:17.880]   get
[00:27:17.880 --> 00:27:18.400]   task
[00:27:18.400 --> 00:27:19.240]   to
[00:27:19.240 --> 00:27:19.400]   your
[00:27:19.400 --> 00:27:19.720]   tool
[00:27:19.720 --> 00:27:20.540]   then
[00:27:20.540 --> 00:27:21.020]   it'll
[00:27:21.020 --> 00:27:21.500]   basically
[00:27:21.500 --> 00:27:22.460]   query
[00:27:22.460 --> 00:27:22.900]   the
[00:27:22.900 --> 00:27:23.460]   database
[00:27:23.460 --> 00:27:24.340]   and
[00:27:24.340 --> 00:27:24.680]   it
[00:27:24.680 --> 00:27:24.960]   will
[00:27:24.960 --> 00:27:25.680]   figure
[00:27:25.680 --> 00:27:25.980]   out
[00:27:25.980 --> 00:27:26.200]   okay
[00:27:26.200 --> 00:27:26.480]   which
[00:27:26.480 --> 00:27:27.040]   tasks
[00:27:27.040 --> 00:27:27.340]   are
[00:27:27.340 --> 00:27:27.660]   approved
[00:27:27.660 --> 00:27:28.040]   completed
[00:27:28.040 --> 00:27:28.440]   merged
[00:27:28.440 --> 00:27:28.820]   pending
[00:27:28.820 --> 00:27:29.000]   or
[00:27:29.000 --> 00:27:29.320]   signed
[00:27:29.320 --> 00:27:30.340]   then
[00:27:30.340 --> 00:27:30.500]   if
[00:27:30.500 --> 00:27:30.680]   any
[00:27:30.680 --> 00:27:31.080]   tasks
[00:27:31.080 --> 00:27:31.300]   are
[00:27:31.300 --> 00:27:31.760]   approved
[00:27:31.760 --> 00:27:32.620]   then
[00:27:32.620 --> 00:27:33.020]   it'll
[00:27:33.020 --> 00:27:33.680]   hand
[00:27:33.680 --> 00:27:33.800]   them
[00:27:33.800 --> 00:27:33.940]   over
[00:27:33.940 --> 00:27:34.160]   to
[00:27:34.160 --> 00:27:34.400]   the
[00:27:34.400 --> 00:27:35.420]   integration
[00:27:35.420 --> 00:27:36.400]   manager
[00:27:36.400 --> 00:27:36.860]   the
[00:27:36.860 --> 00:27:37.280]   integration
[00:27:37.280 --> 00:27:37.700]   manager
[00:27:37.700 --> 00:27:38.820]   you can
[00:27:38.820 --> 00:27:39.160]   kind of
[00:27:39.160 --> 00:27:39.440]   consider
[00:27:39.440 --> 00:27:39.680]   that
[00:27:39.680 --> 00:27:39.960]   to be
[00:27:39.960 --> 00:27:40.100]   like
[00:27:40.100 --> 00:27:40.240]   the
[00:27:40.240 --> 00:27:40.920]   agent
[00:27:40.920 --> 00:27:41.340]   that
[00:27:41.340 --> 00:27:41.760]   handles
[00:27:41.760 --> 00:27:42.180]   your
[00:27:42.180 --> 00:27:45.160]   repository
[00:27:45.160 --> 00:27:45.480]   your
[00:27:45.480 --> 00:27:46.040]   commits
[00:27:46.040 --> 00:27:46.380]   and what
[00:27:46.380 --> 00:27:46.580]   not
[00:27:46.580 --> 00:27:48.180]   and then
[00:27:48.180 --> 00:27:48.780]   after
[00:27:48.780 --> 00:27:49.060]   that
[00:27:49.060 --> 00:27:49.200]   it
[00:27:49.200 --> 00:27:49.360]   goes
[00:27:49.360 --> 00:27:49.500]   to
[00:27:49.500 --> 00:27:49.620]   the
[00:27:49.620 --> 00:27:49.840]   release
[00:27:49.840 --> 00:27:50.040]   gate
[00:27:50.040 --> 00:27:50.440]   auditor
[00:27:50.440 --> 00:27:51.280]   which
[00:27:51.280 --> 00:27:51.360]   are
[00:27:51.360 --> 00:27:51.600]   any
[00:27:51.600 --> 00:27:52.320]   pending
[00:27:52.320 --> 00:27:53.460]   or
[00:27:53.460 --> 00:27:53.780]   assigned
[00:27:53.780 --> 00:27:54.340]   tasks
[00:27:54.340 --> 00:27:54.960]   that
[00:27:54.960 --> 00:27:55.020]   are
[00:27:55.020 --> 00:27:55.180]   ready
[00:27:55.180 --> 00:27:55.320]   to
[00:27:55.320 --> 00:27:55.560]   go
[00:27:55.560 --> 00:27:56.200]   it'll
[00:27:56.200 --> 00:27:56.340]   run
[00:27:56.340 --> 00:27:56.500]   the
[00:27:56.500 --> 00:27:56.880]   ownership
[00:27:56.880 --> 00:27:57.620]   preflight
[00:27:57.620 --> 00:27:57.940]   which
[00:27:57.940 --> 00:27:58.360]   basically
[00:27:58.360 --> 00:27:58.880]   checks
[00:27:58.880 --> 00:27:59.600]   okay
[00:27:59.600 --> 00:27:59.840]   let's
[00:27:59.840 --> 00:27:59.960]   say
[00:27:59.960 --> 00:28:00.320]   we have
[00:28:00.320 --> 00:28:00.780]   four
[00:28:00.780 --> 00:28:01.240]   executed
[00:28:01.240 --> 00:28:01.760]   agents
[00:28:01.760 --> 00:28:02.200]   who are
[00:28:02.200 --> 00:28:02.680]   assigned
[00:28:02.680 --> 00:28:03.280]   to
[00:28:03.280 --> 00:28:05.760]   their
[00:28:05.760 --> 00:28:06.020]   own
[00:28:06.020 --> 00:28:06.500]   tasks
[00:28:06.500 --> 00:28:07.320]   is there
[00:28:07.320 --> 00:28:07.800]   overlap
[00:28:07.800 --> 00:28:08.200]   between
[00:28:08.200 --> 00:28:08.480]   these
[00:28:08.480 --> 00:28:08.760]   four
[00:28:08.760 --> 00:28:09.220]   agents
[00:28:09.220 --> 00:28:09.580]   the
[00:28:09.580 --> 00:28:09.800]   files
[00:28:09.800 --> 00:28:09.960]   that
[00:28:09.960 --> 00:28:10.100]   they
[00:28:10.100 --> 00:28:10.300]   use
[00:28:10.300 --> 00:28:10.540]   because
[00:28:10.540 --> 00:28:10.980]   obviously
[00:28:10.980 --> 00:28:12.260]   in this
[00:28:12.260 --> 00:28:12.480]   setup
[00:28:12.480 --> 00:28:12.700]   we're
[00:28:12.700 --> 00:28:12.860]   not
[00:28:12.860 --> 00:28:13.260]   using
[00:28:13.260 --> 00:28:14.500]   separate
[00:28:14.500 --> 00:28:14.840]   git
[00:28:14.840 --> 00:28:15.180]   work
[00:28:15.180 --> 00:28:15.480]   trees
[00:28:15.480 --> 00:28:16.340]   right
[00:28:16.340 --> 00:28:16.740]   so we
[00:28:16.740 --> 00:28:16.860]   have
[00:28:16.860 --> 00:28:16.940]   to
[00:28:16.940 --> 00:28:17.100]   make
[00:28:17.100 --> 00:28:17.340]   sure
[00:28:17.340 --> 00:28:18.160]   that
[00:28:18.160 --> 00:28:18.340]   all
[00:28:18.340 --> 00:28:18.480]   the
[00:28:18.480 --> 00:28:18.940]   agents
[00:28:18.940 --> 00:28:19.680]   use
[00:28:19.680 --> 00:28:19.960]   are
[00:28:19.960 --> 00:28:20.400]   working
[00:28:20.400 --> 00:28:21.140]   independently
[00:28:21.140 --> 00:28:21.460]   on
[00:28:21.460 --> 00:28:21.560]   their
[00:28:21.560 --> 00:28:21.720]   own
[00:28:21.720 --> 00:28:22.100]   files
[00:28:22.100 --> 00:28:22.960]   and
[00:28:22.960 --> 00:28:23.120]   then
[00:28:23.120 --> 00:28:23.500]   okay
[00:28:23.500 --> 00:28:24.000]   so
[00:28:24.000 --> 00:28:24.440]   it
[00:28:24.440 --> 00:28:24.980]   runs
[00:28:24.980 --> 00:28:25.160]   this
[00:28:25.160 --> 00:28:25.420]   tool
[00:28:25.420 --> 00:28:26.560]   it
[00:28:26.560 --> 00:28:26.780]   sees
[00:28:26.780 --> 00:28:27.180]   okay
[00:28:27.180 --> 00:28:27.580]   all
[00:28:27.580 --> 00:28:27.760]   these
[00:28:27.760 --> 00:28:28.040]   files
[00:28:28.040 --> 00:28:28.220]   that
[00:28:28.220 --> 00:28:28.760]   we're
[00:28:28.760 --> 00:28:29.100]   giving
[00:28:29.100 --> 00:28:29.720]   signing
[00:28:29.720 --> 00:28:29.940]   to
[00:28:29.940 --> 00:28:30.100]   these
[00:28:30.100 --> 00:28:30.600]   executor
[00:28:30.600 --> 00:28:31.020]   agents
[00:28:31.020 --> 00:28:31.860]   in
[00:28:31.860 --> 00:28:32.160]   parallel
[00:28:32.160 --> 00:28:33.340]   they're
[00:28:33.340 --> 00:28:33.600]   fine
[00:28:33.600 --> 00:28:33.820]   like
[00:28:33.820 --> 00:28:34.060]   there's
[00:28:34.060 --> 00:28:34.220]   no
[00:28:34.220 --> 00:28:34.700]   conflict
[00:28:34.700 --> 00:28:35.840]   then
[00:28:35.840 --> 00:28:35.960]   it
[00:28:35.960 --> 00:28:36.100]   will
[00:28:36.100 --> 00:28:36.440]   batch
[00:28:36.440 --> 00:28:36.720]   assign
[00:28:36.720 --> 00:28:36.840]   the
[00:28:36.840 --> 00:28:37.300]   tasks
[00:28:37.300 --> 00:28:37.960]   maximum
[00:28:37.960 --> 00:28:38.340]   four
[00:28:38.340 --> 00:28:39.240]   and
[00:28:39.240 --> 00:28:39.480]   then
[00:28:39.480 --> 00:28:40.640]   once
[00:28:40.640 --> 00:28:40.760]   it
[00:28:40.760 --> 00:28:40.940]   does
[00:28:40.940 --> 00:28:41.220]   that
[00:28:41.220 --> 00:28:41.500]   then
[00:28:41.500 --> 00:28:41.680]   it
[00:28:41.680 --> 00:28:41.860]   will
[00:28:41.860 --> 00:28:42.440]   simply
[00:28:42.440 --> 00:28:43.840]   start
[00:28:43.840 --> 00:28:44.220]   these
[00:28:44.220 --> 00:28:44.700]   for
[00:28:44.700 --> 00:28:45.600]   agents
[00:28:45.600 --> 00:28:45.880]   in
[00:28:45.880 --> 00:28:46.200]   parallel
[00:28:46.200 --> 00:28:48.100]   and
[00:28:48.100 --> 00:28:48.320]   that's
[00:28:48.320 --> 00:28:49.140]   quite
[00:28:49.140 --> 00:28:49.560]   important
[00:28:49.560 --> 00:28:49.960]   so
[00:28:49.960 --> 00:28:51.360]   what
[00:28:51.360 --> 00:28:51.540]   you
[00:28:51.540 --> 00:28:51.840]   kind
[00:28:51.840 --> 00:28:51.940]   of
[00:28:51.940 --> 00:28:52.200]   have
[00:28:52.200 --> 00:28:52.360]   to
[00:28:52.360 --> 00:28:52.600]   do
[00:28:52.600 --> 00:28:52.900]   and
[00:28:52.900 --> 00:28:53.140]   for
[00:28:53.140 --> 00:28:53.360]   some
[00:28:53.360 --> 00:28:53.600]   reason
[00:28:53.600 --> 00:28:54.500]   it
[00:28:54.500 --> 00:28:54.880]   takes
[00:28:54.880 --> 00:28:56.420]   quite a
[00:28:56.420 --> 00:28:56.580]   lot
[00:28:56.580 --> 00:28:57.300]   of
[00:28:57.300 --> 00:28:58.160]   repetition
[00:28:58.160 --> 00:28:58.400]   to
[00:28:58.400 --> 00:28:58.600]   actually
[00:28:58.600 --> 00:28:58.760]   get
