
[00:00:00.000 --> 00:00:02.240]   a generally well-educated human.
[00:27:06.940 --> 00:27:09.860]   become more productive and first they speed up
[00:27:09.860 --> 00:27:12.980]   the productivity of humans, then they, you know,
[00:27:12.980 --> 00:27:16.260]   kind of equal the productivity of humans and, you know,
[00:27:16.260 --> 00:27:19.100]   and then they're in some meaningful sense,
[00:27:19.100 --> 00:27:22.620]   the main contributor to scientific progress
[00:27:22.620 --> 00:27:24.300]   that that happens at some point.
[00:27:24.300 --> 00:27:28.780]   I think that that basic logic seems likely to me,
[00:27:28.780 --> 00:27:31.060]   although I have a suspicion
[00:27:31.060 --> 00:27:33.020]   that when we actually go into the details,
[00:27:33.020 --> 00:27:34.980]   it's gonna be kind of like weird and different
[00:27:34.980 --> 00:27:38.220]   than we expect, that all the detailed models are kind of,
[00:27:38.220 --> 00:27:41.660]   you know, we're thinking about the wrong things
[00:27:41.660 --> 00:27:43.060]   or we're right about one thing
[00:27:43.060 --> 00:27:45.340]   and then are wrong about 10 other things.
[00:27:45.340 --> 00:27:48.020]   And so I don't know, I think we might end up
[00:27:48.020 --> 00:27:51.420]   in like a weirder world than we expect.
[00:27:51.420 --> 00:27:53.620]   - When you add all this together,
[00:27:53.620 --> 00:27:55.980]   like your estimate of when we get something
[00:27:55.980 --> 00:27:58.420]   kind of human level, what does that look like?
[00:27:58.420 --> 00:28:00.260]   - I mean, again, it depends on the thresholds.
[00:28:00.300 --> 00:28:01.420]   - Yeah.
[00:28:01.420 --> 00:28:06.420]   - You know, in terms of someone looks at the model
[00:28:06.420 --> 00:28:09.580]   and, you know, even if you talk to it for, you know,
[00:28:09.580 --> 00:28:13.500]   for an hour or so, it's basically, you know,
[00:28:13.500 --> 00:28:16.820]   it's basically like a generally well-educated human.
[00:28:16.820 --> 00:28:18.100]   - Yeah.
[00:28:18.100 --> 00:28:21.460]   - That could be not very far away at all, I think.
[00:28:21.460 --> 00:28:24.260]   Like that could happen in, you know, two or three years.
[00:28:24.260 --> 00:28:27.540]   Like, you know, if I look at, again,
[00:28:27.540 --> 00:28:29.380]   like I think the main thing that would stop it
[00:28:29.380 --> 00:28:32.700]   would be if we hit certain, you know,
[00:28:32.700 --> 00:28:34.140]   and we have internal tests for, you know,
[00:28:34.140 --> 00:28:35.740]   safety thresholds and stuff like that.
[00:28:35.740 --> 00:28:40.020]   So if a company or the industry decides to slow down
[00:28:40.020 --> 00:28:41.860]   or, you know, we're able to get
[00:28:41.860 --> 00:28:43.940]   the government institute restrictions
[00:28:43.940 --> 00:28:46.980]   that kind of, you know, that moderate
[00:28:46.980 --> 00:28:48.940]   the rate of progress for safety reasons,
[00:28:48.940 --> 00:28:50.580]   that would be the main reason it wouldn't happen.
[00:28:50.580 --> 00:28:53.260]   But if you just look at the logistical
[00:28:53.260 --> 00:28:55.540]   and economic ability to scale,
[00:28:55.540 --> 00:28:58.100]   I don't think we're very far at all from that.
[00:28:58.100 --> 00:29:00.340]   Now that may not be the threshold
[00:29:00.340 --> 00:29:02.940]   where the models are existentially dangerous.
[00:29:02.940 --> 00:29:04.980]   In fact, I suspect it's not quite there yet.
[00:29:04.980 --> 00:29:06.620]   It may not be the threshold where the models
[00:29:06.620 --> 00:29:08.700]   can take over most AI research.
[00:29:08.700 --> 00:29:11.980]   It may not be the threshold where the models,
[00:29:11.980 --> 00:29:15.300]   you know, seriously change how the economy works.
[00:29:15.300 --> 00:29:16.940]   I think it gets a little murky after that,
[00:29:16.940 --> 00:29:19.500]   and all of those thresholds may happen
[00:29:19.500 --> 00:29:21.260]   at various times after that.
[00:29:21.260 --> 00:29:24.980]   But I think in terms of the base technical capability
[00:29:24.980 --> 00:29:29.020]   of it kind of sounds like a reasonably
[00:29:29.020 --> 00:29:31.900]   generally educated human across the board.
[00:29:31.900 --> 00:29:33.260]   I think that could be quite close.
[00:29:33.260 --> 00:29:36.660]   - Why would it be the case that it could be sound,
[00:29:36.660 --> 00:29:38.820]   you know, pass a Turing test for an educated person,
[00:29:38.820 --> 00:29:41.900]   but not be able to contribute or substitute
[00:29:41.900 --> 00:29:44.220]   for human involvement in the economy?
[00:29:44.220 --> 00:29:45.060]   - A couple reasons.
[00:29:45.060 --> 00:29:47.940]   One is just, you know, that the threshold of skill
[00:29:47.940 --> 00:29:48.820]   isn't high enough, right?
[00:29:48.820 --> 00:29:49.900]   Comparative advantage.
[00:29:49.900 --> 00:29:54.220]   It's like, it like doesn't matter that, you know,
[00:29:54.220 --> 00:29:56.660]   I have someone who's better than the average human
[00:29:56.660 --> 00:29:57.780]   at every task.
[00:29:57.780 --> 00:30:00.580]   Like what I really need is like for AI research,
[00:30:00.580 --> 00:30:04.780]   like, you know, I need to basically find something
[00:30:04.780 --> 00:30:08.740]   that is strong enough to substantially accelerate,
[00:30:08.740 --> 00:30:11.460]   you know, the like labor of the thousand experts
[00:30:11.460 --> 00:30:13.020]   who are best at it.
[00:30:13.020 --> 00:30:16.020]   And so we might reach a point where we, you know,
[00:30:16.020 --> 00:30:19.620]   the comparative advantage of these systems is not great.
[00:30:19.620 --> 00:30:23.460]   Another thing that could be the case is that
[00:30:23.460 --> 00:30:25.900]   I think there are these kind of mysterious frictions
[00:30:25.900 --> 00:30:27.740]   that like, you know, kind of don't show up
[00:30:27.740 --> 00:30:29.220]   in naive economic models,
[00:30:29.220 --> 00:30:31.700]   but you see it whenever you're like, you know,
[00:30:31.700 --> 00:30:34.060]   when you go to a customer or something and you're like,
[00:30:34.060 --> 00:30:35.940]   hey, I have this cool chat bot.
[00:30:35.940 --> 00:30:38.260]   In principle, it can do everything that, you know,
[00:30:38.260 --> 00:30:39.900]   your customer service bot does,
[00:30:39.900 --> 00:30:41.620]   or that this part of your company does,
[00:30:41.620 --> 00:30:44.540]   but like the actual friction of like,
[00:30:44.540 --> 00:30:46.460]   how do we slot it in?
[00:30:46.460 --> 00:30:47.620]   How do we make it work?
[00:30:47.620 --> 00:30:50.100]   That includes both kind of like, you know,
[00:30:50.100 --> 00:30:52.660]   just the question of how it works in a human sense
[00:30:52.660 --> 00:30:53.500]   within the company.
[00:30:53.500 --> 00:30:56.740]   Like, you know, how things happen in the economy
[00:30:56.740 --> 00:30:58.340]   and overcome frictions.
[00:30:58.340 --> 00:31:00.980]   And also just like, what is the workflow?
[00:31:00.980 --> 00:31:02.740]   How do you actually interact with it?
[00:31:02.740 --> 00:31:04.780]   It's very different to say,
[00:31:04.780 --> 00:31:07.500]   here's a chat bot that kind of looks like
[00:31:07.500 --> 00:31:10.700]   it's doing this task that you're, you know,
[00:31:10.700 --> 00:31:13.220]   or helping the human to do some tasks,
[00:31:13.220 --> 00:31:17.380]   as it is to say like, okay, this thing is deployed
[00:31:17.380 --> 00:31:19.740]   and a hundred thousand people are using it.
[00:31:19.740 --> 00:31:21.380]   Often, like right now,
[00:31:21.380 --> 00:31:24.020]   lots of folks are rushing to deploy these systems,
[00:31:24.020 --> 00:31:25.500]   but I think in many cases,
[00:31:25.500 --> 00:31:27.500]   they're not using them in anywhere close
[00:31:27.500 --> 00:31:29.660]   to the most efficient way that they could,
[00:31:29.660 --> 00:31:31.380]   you know, not because they're not smart,
[00:31:31.380 --> 00:31:33.700]   but because it takes time to work these things out.
[00:31:33.700 --> 00:31:35.980]   And so I think when things are changing this fast,
[00:31:35.980 --> 00:31:37.460]   there are gonna be all of these frictions.
[00:31:37.460 --> 00:31:38.300]   - Yeah.
[00:31:38.300 --> 00:31:41.260]   - And I think, again, these are messy reality
[00:31:41.260 --> 00:31:43.460]   that doesn't quite get captured in the model.
[00:31:43.460 --> 00:31:45.540]   I don't think it changes the basic picture.
[00:31:45.540 --> 00:31:47.100]   Like, I don't think it changes the idea
[00:31:47.100 --> 00:31:49.740]   that we're building up this snowball of like,
[00:31:49.740 --> 00:31:51.460]   the models help the models get better
[00:31:51.460 --> 00:31:52.900]   and, you know, do what the humans,
[00:31:52.900 --> 00:31:55.460]   and, you know, can accelerate what the humans do.
[00:31:55.460 --> 00:31:57.340]   And eventually, it's mostly the models doing the work.
[00:31:57.340 --> 00:32:00.380]   Like, you zoom out far enough, that's happening.
[00:32:00.380 --> 00:32:02.940]   But I'm kind of skeptical of kind of,
[00:32:02.940 --> 00:32:05.580]   any kind of precise mathematical
[00:32:05.580 --> 00:32:07.820]   or exponential prediction of how it's gonna be.
[00:32:07.820 --> 00:32:10.900]   I think it's all gonna be a mess,
[00:32:10.900 --> 00:32:12.660]   but I think what we know is
[00:32:12.660 --> 00:32:14.980]   it's not a metaphorical exponential
[00:32:14.980 --> 00:32:16.460]   and it's gonna happen fast.
[00:32:16.460 --> 00:32:19.460]   - How do those different exponentials net out,
[00:32:19.460 --> 00:32:20.660]   which we've been talking about?
[00:32:20.660 --> 00:32:23.900]   So one was the scaling laws themselves
[00:32:23.900 --> 00:32:26.380]   are power laws with decaying marginal,
[00:32:26.380 --> 00:32:27.220]   - Yes.
[00:32:27.220 --> 00:32:30.420]   - You know, loss per, you know, parameter or something.
[00:32:30.420 --> 00:32:32.460]   The other exponential you talked about is,
[00:32:32.460 --> 00:32:33.900]   well, these things can get involved
[00:32:33.900 --> 00:32:37.460]   in the process of AI research itself, speeding it up.
[00:32:37.460 --> 00:32:40.260]   So those two are sort of opposing exponentials.
[00:32:40.260 --> 00:32:42.580]   Does it net out to be super linear or sub-linear?
[00:32:42.580 --> 00:32:44.180]   And also you mentioned,
[00:32:44.180 --> 00:32:46.140]   well, the distribution of intelligence
[00:32:46.140 --> 00:32:47.260]   might just be broader.
[00:32:47.260 --> 00:32:49.900]   So should we expect after we get to this point
[00:32:49.900 --> 00:32:51.180]   in two to three years, it's like,
[00:32:51.180 --> 00:32:53.380]   vroom, vroom, like, what does that look like?
[00:32:53.380 --> 00:32:55.620]   - It's, I mean, I think it's very unclear, right?
[00:32:55.620 --> 00:32:57.580]   So we're already at the point where,
[00:32:57.580 --> 00:32:58.540]   if you look at the loss,
[00:32:58.540 --> 00:33:00.540]   the scaling laws are starting to bend.
[00:33:00.540 --> 00:33:01.900]   I mean, we've seen that in, you know,
[00:33:01.900 --> 00:33:05.940]   published model cards offered by multiple companies.
[00:33:05.940 --> 00:33:07.620]   So that's not a secret at all.
[00:33:07.620 --> 00:33:09.660]   But as they start to bend,
[00:33:09.660 --> 00:33:12.140]   each little bit of entropy, right,
[00:33:12.140 --> 00:33:14.380]   of accurate prediction becomes more important, right?
[00:33:14.380 --> 00:33:16.980]   Maybe these last little bits of entropy are like,
[00:33:16.980 --> 00:33:18.940]   well, you know, this is a physics paper
[00:33:18.940 --> 00:33:20.180]   as Einstein would have written it,
[00:33:20.180 --> 00:33:21.340]   as opposed to, you know,
[00:33:21.340 --> 00:33:24.180]   as some other physicist would have written it.
[00:33:24.180 --> 00:33:27.780]   And so it's hard to assess significance from this.
[00:33:27.780 --> 00:33:31.820]   It certainly looks like in terms of practical performance,
[00:33:31.820 --> 00:33:34.700]   the metrics keep going up relatively linearly,
[00:33:34.700 --> 00:33:36.660]   although they were always unpredictable.
[00:33:36.660 --> 00:33:38.420]   So it's hard to see that.
[00:33:38.420 --> 00:33:40.420]   And then, I mean,
[00:33:40.420 --> 00:33:42.700]   the thing that I think is driving the most acceleration
[00:33:42.700 --> 00:33:45.100]   is just more and more money is going into the field.
[00:33:45.100 --> 00:33:48.300]   Like, people are seeing that there's just a huge amount
[00:33:48.300 --> 00:33:51.140]   of, you know, of economic value.
[00:33:51.140 --> 00:33:53.700]   And so I expect the price,
[00:33:53.700 --> 00:33:55.580]   the amount of money spent on the largest models
[00:33:55.580 --> 00:33:58.100]   to go up by like a factor of 100 or something.
[00:33:58.100 --> 00:34:00.260]   And for that then to be concatenated
[00:34:00.260 --> 00:34:01.940]   with the chips are getting faster,
[00:34:01.940 --> 00:34:03.260]   the algorithms are getting better,
[00:34:03.260 --> 00:34:06.420]   because there's so many people working on this now.
[00:34:06.420 --> 00:34:08.380]   And so, again, I mean, you know,
[00:34:08.380 --> 00:34:10.300]   I'm not making a normative statement here,
[00:34:10.300 --> 00:34:12.300]   this is what should happen.
[00:34:12.300 --> 00:34:14.820]   I'm not even saying this necessarily will happen,
[00:34:14.820 --> 00:34:17.260]   because I think there's important safety
[00:34:17.260 --> 00:34:18.740]   and government questions here,
[00:34:18.740 --> 00:34:20.420]   which we're very actively working on.
[00:34:20.420 --> 00:34:22.980]   I'm just saying like left to itself,
[00:34:22.980 --> 00:34:24.380]   this is what the economy is gonna do.
[00:34:24.380 --> 00:34:25.660]   - We'll get to those questions in a second,
[00:34:25.660 --> 00:34:29.420]   but how do you think about the contribution of Anthropic
[00:34:29.420 --> 00:34:33.460]   to that increasing in the scope of this industry?
[00:34:33.460 --> 00:34:36.060]   Where, I mean, there's an argument that, listen,
[00:34:36.060 --> 00:34:37.260]   with that investment,
[00:34:37.260 --> 00:34:39.580]   we can work on safety stuff at Anthropic,
[00:34:39.580 --> 00:34:41.980]   another that says you're raising the salience
[00:34:41.980 --> 00:34:43.260]   of this field in general.
[00:34:43.300 --> 00:34:45.940]   - Yeah, I mean, it's all costs and benefits, right?
[00:34:45.940 --> 00:34:47.420]   The costs are not zero, right?
[00:34:47.420 --> 00:34:50.100]   So I think a mature way to think about these things
[00:34:50.100 --> 00:34:52.300]   is not to deny that there are any costs,
[00:34:52.300 --> 00:34:54.060]   but to think about what the costs are
[00:34:54.060 --> 00:34:55.340]   and what the benefits are.
[00:34:55.340 --> 00:34:57.700]   You know, I think we've been relatively responsible
[00:34:57.700 --> 00:34:58.860]   in the sense that, you know,
[00:34:58.860 --> 00:35:01.780]   the big acceleration that happened late last year
[00:35:01.780 --> 00:35:03.540]   and beginning of this year,
[00:35:03.540 --> 00:35:04.940]   like we didn't cause that,
[00:35:04.940 --> 00:35:06.900]   we weren't the ones who did that.
[00:35:06.900 --> 00:35:09.140]   And honestly, I think if you look at the reaction of Google,
[00:35:09.140 --> 00:35:10.860]   that that might be 10 times more important
[00:35:10.860 --> 00:35:12.260]   than anything else.
[00:35:12.260 --> 00:35:13.780]   And then kind of once it had happened,
[00:35:13.780 --> 00:35:15.660]   once the ecosystem had changed,
[00:35:15.660 --> 00:35:16.980]   then we did a lot of things
[00:35:16.980 --> 00:35:19.180]   to kind of stay on the frontier.
[00:35:19.180 --> 00:35:21.300]   And so, I don't know,
[00:35:21.300 --> 00:35:23.180]   I mean, it's like any other question, right?
[00:35:23.180 --> 00:35:26.060]   It's like you're trying to do the things
[00:35:26.060 --> 00:35:27.620]   that have the biggest costs
[00:35:27.620 --> 00:35:30.860]   and that have the lowest costs and the biggest benefits.
[00:35:30.860 --> 00:35:33.460]   And, you know, that causes you to have
[00:35:33.460 --> 00:35:35.300]   different strategies at different times.
[00:35:35.300 --> 00:35:36.140]   - One question I have for you
[00:35:36.140 --> 00:35:38.180]   while we're talking about the intelligence stuff was,
[00:35:38.180 --> 00:35:40.060]   listen, as a scientist yourself,
[00:35:40.060 --> 00:35:41.620]   is it, what do you make of the fact
[00:35:41.620 --> 00:35:44.020]   that these things have basically the entire corpus
[00:35:44.020 --> 00:35:45.620]   of human knowledge memorized?
[00:35:45.620 --> 00:35:47.140]   And as far as I'm aware,
[00:35:47.140 --> 00:35:49.700]   they haven't been able to make like a single new connection
[00:35:49.700 --> 00:35:51.300]   that has led to a discovery.
[00:35:51.300 --> 00:35:53.540]   Whereas if even a moderately intelligent person
[00:35:53.540 --> 00:35:55.020]   had this much stuff memorized,
[00:35:55.020 --> 00:35:57.700]   they'd notice, oh, this thing causes this symptom,
[00:35:57.700 --> 00:35:59.580]   this other thing also causes this symptom.
[00:35:59.580 --> 00:36:01.700]   You know, there's a medical cure right here, right?
[00:36:01.700 --> 00:36:03.540]   Well, shouldn't we be expecting that kind of stuff?
[00:36:03.540 --> 00:36:04.980]   - I'm not sure.
[00:36:04.980 --> 00:36:07.780]   I mean, I think, you know, I don't know,
[00:36:07.780 --> 00:36:09.740]   these words, discovery, creativity,
[00:36:10.260 --> 00:36:13.020]   one of the lessons I've learned is that in, you know,
[00:36:13.020 --> 00:36:15.260]   in kind of the big blob of compute,
[00:36:15.260 --> 00:36:18.620]   often these ideas often end up being kind of fuzzy
[00:36:18.620 --> 00:36:20.300]   and elusive and hard to track down.
[00:36:20.300 --> 00:36:22.900]   But I think there is something here,
[00:36:22.900 --> 00:36:25.820]   which is, I think the models do display
[00:36:25.820 --> 00:36:27.420]   a kind of ordinary creativity.
[00:36:27.420 --> 00:36:29.500]   Again, you know, the kind of like, you know,
[00:36:29.500 --> 00:36:31.300]   write a sonnet, you know,
[00:36:31.300 --> 00:36:34.860]   in the style of Cormac McCarthy or Barbie or, you know,
[00:36:34.860 --> 00:36:37.260]   like there is some creativity to that.
[00:36:37.260 --> 00:36:39.060]   And I think they do draw, you know,
[00:36:39.060 --> 00:36:40.540]   new connections of the kind that
[00:36:40.540 --> 00:36:42.180]   an ordinary person would draw.
[00:36:42.180 --> 00:36:45.300]   I agree with you that there haven't been any kind of like,
[00:36:45.300 --> 00:36:46.420]   I don't know, like I would say like
[00:36:46.420 --> 00:36:49.220]   big scientific discoveries.
[00:36:49.220 --> 00:36:51.020]   I think that's a mix of like,
[00:36:51.020 --> 00:36:54.900]   just the model skill level is not high enough yet, right?
[00:36:54.900 --> 00:36:59.100]   Like I was on a podcast last week where the host said,
[00:36:59.100 --> 00:37:00.260]   I don't know, I play with these models,
[00:37:00.260 --> 00:37:01.420]   they're kind of mid, right?
[00:37:01.420 --> 00:37:02.260]   Like they get, you know,
[00:37:02.260 --> 00:37:04.340]   they get a B or a B minus or something.
[00:37:04.340 --> 00:37:07.940]   And that I think is gonna change with the scaling.
[00:37:07.940 --> 00:37:09.820]   I do think there's an interesting point about,
[00:37:09.820 --> 00:37:11.540]   well, the models have an advantage,
[00:37:11.540 --> 00:37:14.380]   which is they know a lot more than us, you know,
[00:37:14.380 --> 00:37:16.460]   like should they have an advantage already,
[00:37:16.460 --> 00:37:19.780]   even if their skill level isn't quite high,
[00:37:19.780 --> 00:37:22.060]   maybe that's kind of what you're getting at.
[00:37:22.060 --> 00:37:23.540]   I don't really have an answer to that.
[00:37:23.540 --> 00:37:27.100]   I mean, it seems certainly like memorization and facts
[00:37:27.100 --> 00:37:28.740]   and drawing connections is an area where
[00:37:28.740 --> 00:37:30.100]   the models are ahead.
[00:37:30.100 --> 00:37:33.660]   And I do think maybe you need those connections
[00:37:33.660 --> 00:37:36.660]   and you need a fairly high level of skill.
[00:37:36.660 --> 00:37:39.060]   I do think, particularly in the area of biology,
[00:37:39.060 --> 00:37:40.860]   for better and for worse,
[00:37:40.860 --> 00:37:44.660]   the complexity of biology is such that
[00:37:44.660 --> 00:37:48.180]   the current models know a lot of things right now.
[00:37:48.180 --> 00:37:50.700]   And that's what you need to make discoveries and draw.
[00:37:50.700 --> 00:37:52.860]   It's not like physics where you need to, you know,
[00:37:52.860 --> 00:37:54.380]   you need to think and come up with a formula.
[00:37:54.380 --> 00:37:56.420]   In biology, you need to know a lot of things, right?
[00:37:56.420 --> 00:37:59.140]   And so I do think the models know a lot of things
[00:37:59.140 --> 00:38:01.140]   and they have a skill level that's not quite high enough
[00:38:01.140 --> 00:38:02.300]   to put them together.
[00:38:02.300 --> 00:38:04.740]   And I think they are just on the cusp
[00:38:04.740 --> 00:38:06.260]   of being able to put these things together.
[00:38:06.260 --> 00:38:09.020]   - On that point, last week in your Senate testimony,
[00:38:09.020 --> 00:38:11.500]   you said that these models are two to three years away
[00:38:11.500 --> 00:38:14.900]   from potentially enabling large-scale biotourism attacks
[00:38:14.900 --> 00:38:15.860]   or something like that. - Yes.
[00:38:15.860 --> 00:38:17.100]   - Can you make that more concrete
[00:38:17.100 --> 00:38:18.900]   without obviously giving the kind of information
[00:38:18.900 --> 00:38:21.740]   that would, but is it like one-shotting
[00:38:21.740 --> 00:38:22.900]   how to weaponize something?
[00:38:22.900 --> 00:38:25.220]   Is it, or do you have to fine tune an open source model?
[00:38:25.220 --> 00:38:26.540]   Like what would that actually look like?
[00:38:26.540 --> 00:38:28.260]   - I think it'd be good to clarify this
[00:38:28.260 --> 00:38:30.380]   because we did a blog post in the Senate testimony
[00:38:30.380 --> 00:38:33.180]   and like, I think various people kind of didn't understand
[00:38:33.180 --> 00:38:35.140]   the point or didn't understand what we'd done.
[00:38:35.140 --> 00:38:39.060]   So I think today, and of course in our models,
[00:38:39.060 --> 00:38:42.340]   we try and prevent this, but there's always jail breaks.
[00:38:42.340 --> 00:38:46.140]   You can ask the models all kinds of things about biology
[00:38:46.140 --> 00:38:48.260]   and get them to say all kinds of scary things.
[00:38:48.260 --> 00:38:49.100]   - Yeah.
[00:38:49.100 --> 00:38:51.300]   - But often those scary things are things
[00:38:51.300 --> 00:38:53.980]   that you could Google and I'm therefore
[00:38:53.980 --> 00:38:56.180]   not particularly worried about that.
[00:38:56.180 --> 00:38:58.820]   I think it's actually an impediment to seeing the real danger
[00:38:58.820 --> 00:39:01.300]   where someone just says, oh, I asked this model
[00:39:01.300 --> 00:39:04.300]   like for the smallpox, to tell me some things
[00:39:04.300 --> 00:39:06.100]   about smallpox and it will.
[00:39:06.100 --> 00:39:08.940]   That is actually kind of not what I'm worried about.
[00:39:08.940 --> 00:39:12.700]   So we spent about six months working with some of,
[00:39:12.700 --> 00:39:15.140]   basically some of the folks who are the most expert
[00:39:15.140 --> 00:39:19.900]   in the world on how do biological attacks happen?
[00:39:19.900 --> 00:39:23.420]   What would you need to conduct such an attack
[00:39:23.420 --> 00:39:25.700]   and how do we defend against such an attack?
[00:39:25.700 --> 00:39:30.260]   They worked very intensively on just the entire workflow.
[00:39:30.260 --> 00:39:32.940]   If I were trying to do a bad thing, it's not one shot,
[00:39:32.940 --> 00:39:36.060]   it's a long process, there are many steps to it.
[00:39:36.060 --> 00:39:37.700]   It's not just like I asked the model
[00:39:37.700 --> 00:39:39.580]   for this one page of information.
[00:39:39.580 --> 00:39:41.860]   And again, without going into any detail,
[00:39:41.860 --> 00:39:44.700]   the thing I said in the Senate testimony is like,
[00:39:44.700 --> 00:39:46.700]   there are some steps where you can just get information
[00:39:46.700 --> 00:39:48.660]   on Google, there are some steps
[00:39:48.660 --> 00:39:50.540]   that are what I'd call missing.
[00:39:50.540 --> 00:39:54.020]   They're scattered across a bunch of textbooks
[00:39:54.020 --> 00:39:56.020]   or they're not in any textbook,
[00:39:56.020 --> 00:39:58.060]   they're kind of implicit knowledge.
[00:39:58.060 --> 00:40:01.340]   And they're not really like, they're not explicit knowledge,
[00:40:01.340 --> 00:40:05.340]   they're more like, I have to do this lab protocol
[00:40:05.340 --> 00:40:07.300]   and like, what if I get it wrong?
[00:40:07.300 --> 00:40:10.300]   Oh, if this happens, then my temperature was too low.
[00:40:10.300 --> 00:40:12.020]   If that happened, I needed to add more
[00:40:12.020 --> 00:40:13.820]   of this particular reagent.
[00:40:13.820 --> 00:40:16.480]   What we found is that for the most part,
[00:40:16.480 --> 00:40:19.260]   those missing, those key missing pieces,
[00:40:19.260 --> 00:40:21.460]   the models can't do them yet.
[00:40:21.460 --> 00:40:24.900]   But we found that sometimes they can.
[00:40:24.900 --> 00:40:27.460]   And when they can, sometimes they still hallucinate,
[00:40:27.460 --> 00:40:30.800]   which is the thing that's kind of keeping us safe.
[00:40:30.800 --> 00:40:33.860]   But we saw enough signs of the models
[00:40:33.860 --> 00:40:36.420]   doing those key things well.
[00:40:36.420 --> 00:40:39.740]   And if we look at state-of-the-art models
[00:40:39.740 --> 00:40:41.940]   and go backwards to previous models,
[00:40:41.940 --> 00:40:45.220]   we look at the trend, it shows every sign
[00:40:45.220 --> 00:40:48.540]   of two or three years from now,
[00:40:48.540 --> 00:40:49.580]   we're gonna have a real problem.
[00:40:49.580 --> 00:40:51.140]   - Yeah, especially the thing you mentioned
[00:40:51.140 --> 00:40:52.980]   on the log scale, you go from like one in 100 times
[00:40:52.980 --> 00:40:54.540]   it gets it right to one in 10, two.
[00:40:54.540 --> 00:40:57.940]   - Exactly, so I've seen many of these groks in my life.
[00:40:57.940 --> 00:41:02.380]   I was there, I watched when GPT-3 learned to do arithmetic,
[00:41:02.380 --> 00:41:04.980]   when GPT-2 learned to do regression
[00:41:04.980 --> 00:41:06.420]   a little bit above chance,
[00:41:06.420 --> 00:41:11.420]   when we got with Claude and we got better on all these tests
[00:41:11.420 --> 00:41:13.220]   of helpful, honest, harmless.
[00:41:13.220 --> 00:41:15.060]   I've seen a lot of groks.
[00:41:15.060 --> 00:41:17.700]   This is unfortunately not one that I'm excited about,
[00:41:17.700 --> 00:41:18.980]   but I believe it's happening.
[00:41:18.980 --> 00:41:22.060]   - So somebody might say, "Listen, you were a coauthor
[00:41:22.060 --> 00:41:24.280]   "on this post that OpenAI released about GPT-2
[00:41:24.280 --> 00:41:27.340]   "where they said we're not gonna release the weights
[00:41:27.340 --> 00:41:28.980]   "or the details here because we're worried
[00:41:28.980 --> 00:41:33.220]   "that this model will be used for something bad."
[00:41:33.220 --> 00:41:36.340]   And looking back on it, now it's laughable to think
[00:41:36.340 --> 00:41:38.500]   that GPT-2 could have done anything bad.
[00:41:38.500 --> 00:41:41.300]   Are we just way too worried, this is a concern
[00:41:41.300 --> 00:41:42.740]   that doesn't make sense for--
[00:41:42.740 --> 00:41:44.140]   - It is interesting.
[00:41:44.140 --> 00:41:45.460]   It might be worth looking back
[00:41:45.460 --> 00:41:47.940]   at the actual text of that post.
[00:41:47.940 --> 00:41:49.460]   So I don't remember it exactly,
[00:41:49.460 --> 00:41:52.460]   but it's still up on the internet.
[00:41:52.460 --> 00:41:55.780]   It says something like, "We're choosing not to release
[00:41:55.780 --> 00:41:58.620]   "the weights because of concerns about misuse,"
[00:41:58.620 --> 00:42:01.600]   but it also said, "This is an experiment.
[00:42:01.600 --> 00:42:04.040]   "We're not sure if this is necessary
[00:42:04.040 --> 00:42:06.180]   "or the right thing to do at this time,
[00:42:06.180 --> 00:42:08.800]   "but we'd like to establish a norm
[00:42:08.800 --> 00:42:11.660]   "of thinking carefully about these things."
[00:42:11.660 --> 00:42:14.820]   You could think of it a little like the Silomar Conference
[00:42:15.500 --> 00:42:19.220]   in the 1970s where it's like they were just figuring out
[00:42:19.220 --> 00:42:22.820]   recombinant DNA, it was not necessarily the case
[00:42:22.820 --> 00:42:25.260]   that someone could do something really bad
[00:42:25.260 --> 00:42:27.540]   with recombinant DNA, it's just the possibilities
[00:42:27.540 --> 00:42:29.020]   were starting to become clear.
[00:42:29.020 --> 00:42:31.060]   Those words, at least, were the right attitude.
[00:42:31.060 --> 00:42:32.420]   Now, I think there's a separate thing
[00:42:32.420 --> 00:42:36.460]   that people don't just judge the post,
[00:42:36.460 --> 00:42:37.980]   they judge the organization.
[00:42:37.980 --> 00:42:42.380]   Is this an organization that produces a lot of hype
[00:42:42.380 --> 00:42:44.460]   or that has credibility or something like that?
[00:42:44.460 --> 00:42:47.220]   And so I think that had some effect on it.
[00:42:47.220 --> 00:42:49.780]   I guess you could also ask, is it inevitable
[00:42:49.780 --> 00:42:52.020]   that people would just interpret it as like,
[00:42:52.020 --> 00:42:55.860]   you can't get across any message more complicated
[00:42:55.860 --> 00:42:58.500]   than this thing right here is dangerous?
[00:42:58.500 --> 00:43:01.220]   So you can argue about those, but I think the basic thing
[00:43:01.220 --> 00:43:03.660]   that was in my head and the head of others
[00:43:03.660 --> 00:43:08.500]   who were involved in that, and I think what is evident
[00:43:08.500 --> 00:43:11.300]   in the post is we actually don't know.
[00:43:11.300 --> 00:43:13.460]   We have pretty wide error bars on what's dangerous
[00:43:13.460 --> 00:43:17.180]   and what's not, so we want to establish a norm
[00:43:17.180 --> 00:43:18.340]   of being careful.
[00:43:18.340 --> 00:43:21.340]   I think, by the way, we have enormously more evidence.
