
[00:00:00.040 --> 00:00:09.300]   TED
[00:39:15.320 --> 00:39:15.320]   ---- ---- ---- ---- ----- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- - 2 to the first time we taught it. every year since hundreds of students try to take the class. It's one of the over subscribed classes at MIT. It's too useful. It's too hard to teach these machines. It's too hard to work. And the students in the class,
[00:39:15.360 --> 00:39:26.840]   Abraham
[00:39:26.840 --> 00:39:43.720]   well I Qonak. out, ",,,,, concert
[00:39:44.220 --> 00:39:55.020]   up
[00:42:05.400 --> 00:42:15.120]   eu
[00:42:15.120 --> 00:42:17.440]  這 another, Push I E
[00:45:27.120 --> 00:45:27.380]   There was one world wind computer MIT made the first real time computer there were thousands of PDPs there were millions of hobbyist computers that came from that billions of personal computers trillions of Internet of things.
[00:45:27.380 --> 00:45:27.380]   Billions of personal computers trillions of Internet of things.
[00:45:27.380 --> 00:45:27.380]   Billions of personal computers trillions of Internet of things.
[00:45:27.380 --> 00:45:27.400]   Billions of personal computers trillions of Internet of things.
[00:45:27.400 --> 00:45:27.400]   M.I.T. made the first real time computer there were thousands of PDPs there were millions of hobbyist computers that came from that billions of personal computers trillions of Internet of things.
[00:45:27.400 --> 00:45:27.400]   M.I.T. made the first real time computer there were thousands of PDPs there were millions of hobbyist computers that came from that billions of personal computers trillions of Internet of things.
[00:45:27.400 --> 00:45:27.400]   M.I.T. made the first real time computer there were thousands of PDPs there were millions of hobbyist computers that came from that billions of personal computers trillions of Internet of things.
[00:45:27.440 --> 00:45:37.700]   X
[00:45:37.700 --> 00:45:41.280]   Little I in in Gü scold 23,,,,,,,,兩個
[00:46:22.640 --> 00:46:22.640]   The
[00:46:22.640 --> 00:46:22.640]   Speaker 1:
[00:46:50.300 --> 00:46:59.880]   600
[00:46:59.880 --> 00:47:00.300]   t. have. wherever
[00:47:00.300 --> 00:47:09.800]   맛있
[00:47:09.800 --> 00:47:20.280]   mindfulness " dunk showed a will, and, and, and, and, comp, check, hear, emb, Ray, grand,elet-and, 00,気, 봤, Пон, уров, жен. tea,ぐ, gravel's you're. finish between Пер buy save the cell, n very. muchísimo dolls
[00:47:20.300 --> 00:47:50.300]   lesson, if you look at the computing analogy, computing expanded exponentially, but it really didn't fundamentally change the, the core things happened in, in, in that transition in the mini computer era. So, in the same sense, the research now, we spent a while talking about is how we get to the replicator. Today, you can do all of that. If you close your eyes and view the whole fab lab as a machine in that room, you can make almost any kind of machine.
[00:47:50.340 --> 00:48:00.540]   Hit
[00:48:00.540 --> 00:48:19.620]   aseg de,,, cardi
[00:49:18.740 --> 00:49:18.740]   So,
[00:49:18.740 --> 00:49:18.740]   So,
[00:49:18.740 --> 00:49:18.740]   So, that's a good question.
[00:49:48.220 --> 00:49:48.220]   So, that's a good question.
[00:50:17.700 --> 00:50:17.700]   vorbei.
[00:50:17.700 --> 00:50:17.700]   So, that's a good question.
[00:50:17.720 --> 00:50:47.240]  - I'm sorry.
[00:50:47.240 --> 00:50:47.300]   I'm sorry.
[00:50:47.300 --> 00:50:47.400]   So, that's a good question.
[00:50:47.400 --> 00:50:47.520]   So, that's a good question.
[00:50:47.520 --> 00:50:47.700]   So, that's a good question.
[00:50:47.700 --> 00:50:47.740]   So, that's a good question.
[00:50:47.740 --> 00:50:47.740]   So, that's a good question.
[00:50:47.780 --> 00:51:17.760]   So, that's a good question.
[00:51:17.760 --> 00:51:17.780]   So, that's a good question.
[00:51:17.780 --> 00:51:17.780]   So, that's a good question.
[00:51:17.780 --> 00:51:39.900]  , So, that's a good question.
[00:51:39.900 --> 00:51:39.940]   So, that's a good question.
[00:51:39.940 --> 00:51:40.000]   So, that's a good question.
[00:51:40.000 --> 00:51:40.040]   So, that's a good question.
[00:51:40.040 --> 00:51:40.100]   So, that's a good question.
[00:51:40.100 --> 00:51:40.200]   So, that's a good question.
[00:51:40.200 --> 00:51:40.280]   So, that's a good question.
[00:51:40.280 --> 00:51:40.360]   So, that's a good question.
[00:51:40.360 --> 00:51:40.420]   So, that's a good question.
[00:51:40.420 --> 00:51:40.480]   So, that's a good question.
[00:51:40.480 --> 00:51:40.540]   So, that's a good question.
[00:51:40.540 --> 00:51:40.580]   So, that's a good question.
[00:51:40.580 --> 00:51:40.640]   So, that's a good question.
[00:51:40.640 --> 00:51:40.680]   So, that's a good question.
[00:51:40.680 --> 00:51:40.740]   So, that's a good question.
[00:51:40.740 --> 00:51:40.800]   So, that's a good question.
[00:51:40.800 --> 00:51:40.840]   So, that's a good question.
[00:51:40.840 --> 00:51:40.860]   So, that's a good question.
[00:51:40.860 --> 00:51:40.900]   So, that's a good question.
[00:51:40.900 --> 00:51:41.840]   So, that's a good question.
[00:51:41.840 --> 00:51:42.840]   a good question.
[00:51:42.840 --> 00:51:43.900]   So, that's a good question.
[00:51:43.940 --> 00:51:53.780]  äng
[00:51:53.780 --> 00:51:58.040]   knew, at,
[00:51:58.040 --> 00:52:12.720]  iers slide as video see in軍� minimize gotta we're Pak I confront HTML IN I release an . I, for, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, or, or, er.imi Den thrilling-C.R.G.B.G.B.ather is the printer.ter.
[00:52:13.820 --> 00:52:24.200]   el
[00:52:24.200 --> 00:52:42.520]   recognize " show side hell head перв
[00:52:42.520 --> 00:52:43.340]  . And, and, and, and, and, with,,,,,,,,,.倍 Gриз� gi Austria G 찾 double eccentric difféone Cissement Dasί C clears the chime I피 God's. You're not. I'm. I, es, scratch the
[00:54:13.340 --> 00:54:22.160]   del
[00:54:22.160 --> 00:54:23.640]   관� it le
[00:54:23.640 --> 00:54:43.320]  ,,,, at the chi the but the is a de X C K Right
[00:54:43.360 --> 00:55:13.340]   ado is a very well met market need anywhere we go. There's a fine supply chain for weapons. Now, hobbyists have been making guns for ages and guns are available just about anywhere. So you could go into the lab and make a gun today. It's not a very good gun. And guns are easily available. And so generally what we run these lab and war zones. What we find is people don't go to them to make weapons, which you can already do anyway. It's an alternative to making weapons. It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:55:13.340 --> 00:55:13.340]   The single thing that I'm really interested in is how do you make guns?
[00:55:13.340 --> 00:55:13.340]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:55:13.340 --> 00:55:13.340]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:55:13.380 --> 00:55:43.360]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:55:43.360 --> 00:55:43.360]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:55:43.360 --> 00:55:43.360]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:55:43.360 --> 00:55:43.360]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:55:43.380 --> 00:56:13.380]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:56:13.380 --> 00:56:13.380]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:56:13.380 --> 00:56:13.380]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:56:13.380 --> 00:56:13.380]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:56:13.380 --> 00:56:13.380]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:56:13.380 --> 00:56:13.380]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:56:13.380 --> 00:56:13.380]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:56:13.420 --> 00:56:43.400]  ,
[00:56:43.400 --> 00:56:43.400]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:56:43.400 --> 00:56:43.400]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:56:43.400 --> 00:56:43.400]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:56:43.400 --> 00:56:43.400]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:56:43.400 --> 00:56:43.400]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:56:43.400 --> 00:56:43.400]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:56:43.420 --> 00:57:13.420]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:57:13.420 --> 00:57:13.420]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:57:13.420 --> 00:57:13.420]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:57:13.420 --> 00:57:13.420]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:57:13.420 --> 00:57:13.420]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:57:13.420 --> 00:57:13.420]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:57:13.420 --> 00:57:13.420]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:57:13.460 --> 00:57:43.440]  ,
[00:57:43.440 --> 00:57:43.440]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:57:43.440 --> 00:57:43.440]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:57:43.440 --> 00:57:43.440]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:57:43.440 --> 00:57:43.440]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:57:43.440 --> 00:57:43.440]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:57:43.460 --> 00:58:13.460]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:58:13.460 --> 00:58:13.460]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:58:13.460 --> 00:58:13.460]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:58:13.460 --> 00:58:13.460]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:58:13.460 --> 00:58:13.460]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:58:13.460 --> 00:58:13.460]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:58:13.460 --> 00:58:13.460]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:58:13.500 --> 00:58:43.480]  ,
[00:58:43.480 --> 00:58:43.480]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:58:43.480 --> 00:58:43.480]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:58:43.480 --> 00:58:43.480]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:58:43.480 --> 00:58:43.480]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:58:43.480 --> 00:58:43.480]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:58:43.500 --> 00:59:13.500]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:59:13.500 --> 00:59:13.500]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:59:13.500 --> 00:59:13.500]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:59:13.500 --> 00:59:13.500]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:59:13.500 --> 00:59:13.500]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:59:13.500 --> 00:59:13.500]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:59:13.500 --> 00:59:13.500]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:59:13.540 --> 00:59:43.520]  ,
[00:59:43.520 --> 00:59:43.520]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:59:43.520 --> 00:59:43.520]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:59:43.520 --> 00:59:43.520]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:59:43.520 --> 00:59:43.520]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:59:43.520 --> 00:59:43.520]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[00:59:43.540 --> 01:00:13.540]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[01:00:13.540 --> 01:00:13.540]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[01:00:13.540 --> 01:00:13.540]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[01:00:13.540 --> 01:00:13.540]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[01:00:13.540 --> 01:00:13.540]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[01:00:13.540 --> 01:00:13.540]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[01:00:13.540 --> 01:00:13.540]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[01:00:13.580 --> 01:00:43.560]  ,
[01:00:43.560 --> 01:00:43.560]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[01:00:43.560 --> 01:00:43.560]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[01:00:43.560 --> 01:00:43.560]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[01:00:43.560 --> 01:00:43.560]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[01:00:43.560 --> 01:00:43.560]   It's coming back to your question. I'd say the single thing that I'm really interested in is how do you make guns?
[01:00:43.580 --> 01:01:13.580]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:01:13.580 --> 01:01:13.580]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:01:13.580 --> 01:01:13.580]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:01:13.580 --> 01:01:13.580]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:01:13.580 --> 01:01:13.580]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:01:13.580 --> 01:01:13.580]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:01:13.580 --> 01:01:13.580]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:01:13.580 --> 01:01:13.580]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:01:13.580 --> 01:01:13.580]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:01:13.580 --> 01:01:13.580]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:01:13.620 --> 01:01:43.600]  ,
[01:01:43.600 --> 01:01:43.600]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:01:43.600 --> 01:01:43.600]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:01:43.600 --> 01:01:43.600]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:01:43.600 --> 01:01:43.600]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:01:43.600 --> 01:01:43.600]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:01:43.600 --> 01:01:43.600]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:01:43.620 --> 01:02:13.620]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:02:13.620 --> 01:02:13.620]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:02:13.620 --> 01:02:13.620]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:02:13.620 --> 01:02:13.620]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:02:13.620 --> 01:02:13.620]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:02:13.620 --> 01:02:13.620]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:02:13.620 --> 01:02:13.620]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:02:13.620 --> 01:02:13.620]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:02:13.620 --> 01:02:13.620]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:02:13.620 --> 01:02:13.620]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:02:13.660 --> 01:02:43.640]  ,
[01:02:43.640 --> 01:02:43.640]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:02:43.640 --> 01:02:43.640]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:02:43.640 --> 01:02:43.640]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:02:43.640 --> 01:02:43.640]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:02:43.640 --> 01:02:43.640]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:02:43.640 --> 01:02:43.640]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:02:43.660 --> 01:03:13.660]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:03:13.660 --> 01:03:13.660]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:03:13.660 --> 01:03:13.660]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:03:13.660 --> 01:03:13.660]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:03:13.660 --> 01:03:13.660]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:03:13.660 --> 01:03:13.660]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:03:13.660 --> 01:03:13.660]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:03:13.660 --> 01:03:13.660]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:03:13.660 --> 01:03:13.660]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:03:13.660 --> 01:03:13.660]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:03:13.700 --> 01:03:43.680]  ,
[01:03:43.680 --> 01:03:43.680]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:03:43.680 --> 01:03:43.680]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:03:43.680 --> 01:03:43.680]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:03:43.680 --> 01:03:43.680]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:03:43.680 --> 01:03:43.680]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:03:43.680 --> 01:03:43.680]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:03:43.680 --> 01:03:43.680]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:03:43.700 --> 01:04:13.700]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:04:13.700 --> 01:04:13.700]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:04:13.700 --> 01:04:13.700]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:04:13.700 --> 01:04:13.700]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:04:13.700 --> 01:04:13.700]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:04:13.700 --> 01:04:13.700]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:04:13.700 --> 01:04:13.700]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:04:13.700 --> 01:04:13.700]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:04:13.700 --> 01:04:13.700]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:04:13.700 --> 01:04:13.700]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:04:13.720 --> 01:04:43.720]  , I'd say the single thing that I'm really interested in is how do you make guns?
[01:04:43.720 --> 01:04:43.720]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:04:43.720 --> 01:04:43.720]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:04:43.720 --> 01:04:43.720]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:04:43.720 --> 01:04:43.720]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:04:43.760 --> 01:05:13.740]  , I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:13.740 --> 01:05:13.740]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:13.740 --> 01:05:13.740]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:13.740 --> 01:05:13.740]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:13.740 --> 01:05:13.740]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:13.740 --> 01:05:13.740]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:13.740 --> 01:05:13.740]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:13.740 --> 01:05:13.740]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:13.740 --> 01:05:13.740]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:13.740 --> 01:05:13.740]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:13.760 --> 01:05:43.760]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:43.760 --> 01:05:43.760]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:43.760 --> 01:05:43.760]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:43.760 --> 01:05:43.760]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:43.760 --> 01:05:43.760]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:43.760 --> 01:05:43.760]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:43.760 --> 01:05:43.760]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:43.760 --> 01:05:43.760]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:43.760 --> 01:05:43.760]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:43.760 --> 01:05:43.760]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:05:43.800 --> 01:06:13.780]  ,
[01:06:13.780 --> 01:06:13.780]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:06:13.780 --> 01:06:13.780]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:06:13.780 --> 01:06:13.780]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:06:13.780 --> 01:06:13.780]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:06:13.780 --> 01:06:13.780]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:06:13.780 --> 01:06:13.780]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:06:13.780 --> 01:06:13.780]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:06:13.800 --> 01:06:43.800]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:06:43.800 --> 01:06:43.800]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:06:43.800 --> 01:06:43.800]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:06:43.800 --> 01:06:43.800]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:06:43.800 --> 01:06:43.800]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:06:43.800 --> 01:06:43.800]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:06:43.800 --> 01:06:43.800]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:06:43.800 --> 01:06:43.800]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:06:43.800 --> 01:06:43.800]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:06:43.800 --> 01:06:43.800]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:06:43.840 --> 01:07:13.820]  ,
[01:07:13.820 --> 01:07:13.820]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:07:13.820 --> 01:07:13.820]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:07:13.820 --> 01:07:13.820]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:07:13.820 --> 01:07:13.820]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:07:13.820 --> 01:07:13.820]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:07:13.820 --> 01:07:13.820]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:07:13.840 --> 01:07:43.840]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:07:43.840 --> 01:07:43.840]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:07:43.840 --> 01:07:43.840]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:07:43.840 --> 01:07:43.840]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:07:43.840 --> 01:07:43.840]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:07:43.840 --> 01:07:43.840]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:07:43.840 --> 01:07:43.840]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:07:43.840 --> 01:07:43.840]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:07:43.840 --> 01:07:43.840]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:07:43.840 --> 01:07:43.840]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:07:43.880 --> 01:08:13.860]  ,
[01:08:13.860 --> 01:08:13.860]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:08:13.860 --> 01:08:13.860]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:08:13.860 --> 01:08:13.860]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:08:13.860 --> 01:08:13.860]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:08:13.860 --> 01:08:13.860]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:08:13.880 --> 01:08:43.880]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:08:43.880 --> 01:08:43.880]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:08:43.880 --> 01:08:43.880]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:08:43.880 --> 01:08:43.880]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:08:43.880 --> 01:08:43.880]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:08:43.880 --> 01:08:43.880]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:08:43.880 --> 01:08:43.880]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:08:43.880 --> 01:08:43.880]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:08:43.880 --> 01:08:43.880]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:08:43.880 --> 01:08:43.880]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:08:43.880 --> 01:09:13.900]  ,
[01:09:13.900 --> 01:09:13.900]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:09:13.900 --> 01:09:13.900]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:09:13.900 --> 01:09:13.900]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:09:13.900 --> 01:09:13.900]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:09:13.900 --> 01:09:13.900]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:09:13.900 --> 01:09:13.900]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:09:13.920 --> 01:09:43.920]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:09:43.920 --> 01:09:43.920]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:09:43.920 --> 01:09:43.920]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:09:43.920 --> 01:09:43.920]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:09:43.920 --> 01:09:43.920]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:09:43.920 --> 01:09:43.920]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:09:43.920 --> 01:09:43.920]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:09:43.920 --> 01:09:43.920]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:09:43.920 --> 01:09:43.920]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:09:43.920 --> 01:09:43.920]   I'd say the single thing that I'm really interested in is how do you make guns?
[01:09:43.940 --> 01:10:13.940]   I'd say the single thing that I'm really interested in is how do you make guns?
