
[00:00:00.040 --> 00:00:09.420]   disproportionately
[00:35:12.480 --> 00:35:12.480]   We were able to prove that the bees actually do recycle the wax.
[00:35:41.880 --> 00:35:52.700]   think
[00:38:06.320 --> 00:38:06.940]   "I have learned about organisms that have been on the surface and why don't you like E. coli?"
[00:38:35.880 --> 00:38:35.880]   "I like E. coli and a lot of the work that we've done was not possible without our working on E. coli or other workhorse organisms like cyanobacteria."
[00:38:53.320 --> 00:39:04.420]   "I like E. coli and a lot of the work that we've done was not possible without our work on E. coli or other workhorse organisms like cyanobacteria."
[00:39:04.420 --> 00:39:04.920]   "I like E. coli and a lot of the work that we've done was not possible without our work on E. coli or other workhorse organisms like cyanobacteria."
[00:39:04.920 --> 00:39:05.420]   "I like E. coli and a lot of the work that we've done was not possible without our work on E. coli or other workhorse organisms like cyanobacteria."
[00:40:02.520 --> 00:40:11.520]   earns .
[00:40:11.520 --> 00:40:12.500]  elet out,,,,
[00:40:12.500 --> 00:40:12.880]   отлич HP Lprofits trails
[00:40:12.880 --> 00:40:32.420]   all gathered Q final
[00:40:32.520 --> 00:41:02.520]   Dag: There are imperfections by design. All of these, all of these forms and shapes and distribution of matter that you're looking at was, was entirely designed using a computational program. So none of it is manual. But long story short, the first collection is about the surface of the mask and the second collection, which you're looking at is about the volume of the mask and, and, and what happens to the mask when you're looking at it.
[00:41:02.520 --> 00:41:02.520]   .
[00:41:02.520 --> 00:41:02.520]   .
[00:41:02.520 --> 00:41:02.520]   .
[00:41:02.520 --> 00:41:02.520]   .
[00:41:02.520 --> 00:41:02.540]   .
[00:41:02.560 --> 00:41:32.560]   .
[00:41:32.560 --> 00:42:02.580]   .
[00:42:02.580 --> 00:42:02.580]   .
[00:42:02.580 --> 00:42:02.580]   .
[00:42:02.580 --> 00:42:02.580]   .
[00:42:02.620 --> 00:42:12.880]  好
[00:42:12.880 --> 00:42:14.280]   transm, I just. It is.
[00:43:36.080 --> 00:43:38.140]   never
[00:43:38.140 --> 00:44:06.060]   I are and
[00:44:06.100 --> 00:44:09.700]   circuit
[00:44:09.700 --> 00:44:36.080]   발 tast in the care 3�í Antonastії and en bien, and, and, and, and, end, northern
[00:44:36.120 --> 00:44:46.460]   Sarah
[00:44:46.460 --> 00:44:50.680]   Led L get,,, applies
[00:45:04.680 --> 00:45:15.720]  ,
[00:45:15.720 --> 00:45:31.940]   as,
[00:46:31.380 --> 00:46:43.080]   hell
[00:46:43.080 --> 00:46:56.140]   different. I am a sec
[00:46:58.520 --> 00:47:08.900]   talk
[00:47:08.900 --> 00:47:15.340]   так is " thank
[00:47:15.340 --> 00:47:28.500]   bring races difficult οι deals, go, at, and, and, at, and, with, this, my,ㅠㅠ--. It, really, in, men. Ed,,. I,.產 -خت.ând. arcade based .. hacia earn.arnya. just. wouldn't. administrator
[00:47:28.540 --> 00:47:39.240]   Inform
[00:47:39.240 --> 00:47:48.860]   transform. the ,工作,
[00:47:57.340 --> 00:48:07.200]   programa
[00:48:07.200 --> 00:48:11.460]   Estados� end is the
[00:48:25.520 --> 00:48:35.840]   departure
[00:48:35.840 --> 00:48:53.620]   Senhor,
[00:48:54.400 --> 00:49:00.920]   I
[00:49:00.920 --> 00:49:05.380]   much we on
[00:49:05.380 --> 00:49:09.280]   te
[00:49:09.280 --> 00:49:18.660]  're, and, and,,,,,,, manage Escape I see the end. I. I. I. I. I. I. And, wanted to. That. him. И. coefficient Els. Gospel. Santa.
[00:49:18.660 --> 00:49:23.680]   "M.
[00:51:51.360 --> 00:52:20.860]   watershed time to get to this point because we started designing them in 2019 and they are currently literally as I speak to you under construction how well is it understood how to do the dance of controlling the different variables in order for various kinds of growth to happen it's not it's never been done before and these capsules have never been designed before so I you know when when when we first decided these are going to be environmental capsules people thought were crazy what are you building what are you making so
[00:52:20.860 --> 00:52:20.860]   it's not it's never been done before and these capsules have never been designed before so I you know when when when we first decided these are going to be environmental capsules people thought were crazy what are you building what are you making so
[00:52:20.860 --> 00:52:20.860]   it's not it's never been done before and these capsules have never been designed before so I you know when when when we first decided these are going to be environmental capsules people thought were crazy what are you building what are you making so
[00:52:50.400 --> 00:53:00.240]   a
[00:53:00.240 --> 00:53:04.340]   as just en
[00:53:18.920 --> 00:53:47.440]   set an objective function. And let's say for, for, for, for the transaction driven individuals in the world, let's say the objective function is carbon sequestration. And, and all of those plants are, are implemented with a gaming engine and they have these reward system, right? And they're constantly needing to optimize the way in which they carbon sequest.
[00:53:47.440 --> 00:53:47.440]   They're constantly needing to optimize the way in which they carbon sequest.
[00:53:47.440 --> 00:53:47.440]   They're constantly needing to optimize the way in which they carbon sequest.
[00:53:47.440 --> 00:53:47.440]   They're constantly needing to optimize the way in which they carbon sequest.
[00:53:47.440 --> 00:53:47.440]   They're constantly needing to optimize the way in which they carbon sequest.
[00:53:47.440 --> 00:53:47.440]   They're constantly needing to optimize the way in which they carbon sequest.
[00:53:47.520 --> 00:54:15.980]  ,
[00:54:15.980 --> 00:54:15.980]   We read out the bad guys,
[00:54:15.980 --> 00:54:15.980]   We read out the bad guys,
[00:54:15.980 --> 00:54:15.980]   We read out the bad guys, we leave the good guys,
[00:54:15.980 --> 00:54:15.980]   We read out the bad guys, we leave the good guys,
[00:54:15.980 --> 00:54:15.980]   We read out the bad guys, we leave the good guys, and we end up with this like,
[00:54:15.980 --> 00:54:15.980]   we leave the good guys, and we end up with this like,
[00:54:15.980 --> 00:54:15.980]   we leave the good guys, and we end up with this like, ideal ecology of carbon
[00:54:15.980 --> 00:54:15.980]   and we end up with this like, ideal ecology of carbon sequestering heroes that connect and communicate with each other.
[00:54:15.980 --> 00:54:15.980]   and we end up with this like, ideal ecology of carbon sequestering heroes that connect and communicate with each other.
[00:54:15.980 --> 00:54:15.980]   and we end up with this like, ideal ecology of carbon sequestering heroes that connect with each other.
[00:54:16.000 --> 00:54:21.620]   They're just, just last week,
[00:54:21.620 --> 00:54:21.720]   They're just, just last week,
[00:54:21.720 --> 00:54:32.320]   They're just, just last week, I came across a paper that discusses the in vivo neurons that are augmented with a pong game.
[00:54:32.320 --> 00:54:32.420]   They're just, just last week, I came across a paper that discusses the in vivo neurons that are augmented with a pong game.
[00:54:32.420 --> 00:54:36.020]   They're just, just last week, I came across a paper that discusses the in vivo neurons that are augmented with a pong game. And in a dish, they basically present sentience
[00:54:36.020 --> 00:54:36.120]   I came across a paper that discusses the in vivo neurons that are augmented with a pong game. And in a dish, they basically present sentience
[00:54:36.120 --> 00:54:37.820]   I came across a paper that discusses the in vivo neurons that are augmented with a pong game. And in a dish, they basically present sentience and the beginning of awareness,
[00:54:37.820 --> 00:54:37.920]   And in a dish, they basically present sentience and the beginning of awareness,
[00:54:38.060 --> 00:55:04.960]  . And in a dish, they basically present sentience and the beginning of awareness, .
[00:55:04.960 --> 00:55:04.960]   and the beginning of awareness, .
[00:55:05.000 --> 00:55:15.020]   ah
[00:55:15.020 --> 00:55:15.520]   This The
[00:55:15.520 --> 00:55:16.020]   ell,,,, sorry I is in the business. But, stabilize, that is the night that is the key. I don. I. I. I. I. P. прид de
[00:55:16.020 --> 00:55:33.880]   cooking
[00:55:33.980 --> 00:56:01.340]  校
[00:56:01.340 --> 00:56:03.640]   expect per her. X,wall won big allow test in,92,енс, Kabul, BC, Al,�로,效, Taste,對對, in the young is a right and the quия and the or the Sell the men the is the play the here the Z. The, the, the, the, the, the. The, the, the, the, the, the, the, the, the, the, the, the, действ, the, day, de, guess,ing, play, Run,
[00:56:03.980 --> 00:56:14.000]   have some kind of interface between another kind of organisms, humans and nature. So like a human to have a conversation with a plant.
[00:56:14.000 --> 00:56:33.000]   The or the is, you know that when we cut freshly cut grass, I love the smell, but it's a smell of actually it's a smell of distress that the lease of grass are communicating to each other. So the grass when it's cut emits green leaf, volatiles, GLVs.
[00:56:33.000 --> 00:56:33.980]   Кор,
[00:56:34.120 --> 00:57:04.000]  .
[00:57:04.000 --> 00:57:04.000]   Yeah.
[00:57:04.000 --> 00:57:04.000]   It's a smell of distress.
[00:57:04.000 --> 00:57:04.000]   You're about to be cut.
[00:57:04.000 --> 00:57:04.000]   These incredible life forms are communicating using a different language than ours. We use language models, they use molecular models. It's a moment where we can parse, we can decode these molecular moments is when we can start having a conversation with plants. Now, of course, there is a lot of work around a plant neurobiology. It's a real thing. Plants do not have
[00:57:04.020 --> 00:57:34.020]   But they have something akin to a nervous system. It has a kind of a ecological intelligence that is focused on a particular time scale and the time scale is very, very slow, slow, slow, slow, slow time scale. So it is when we can melt these time scales and connect with these plants in terms of the content of the language, in this case, molecules, the duration of the language and we can start having a conversation with them.
[00:57:34.020 --> 00:57:34.020]   So it's a kind of ecological intelligence that is focused on a particular time scale and the time scale is very, very slow, slow, slow, slow, slow, slow time scale. So it is when we can melt these time scales and connect with these plants in terms of the content of the language, in this case, molecules, the duration of the language and we can start having a conversation with them.
[00:57:34.060 --> 00:58:04.040]  j.
[00:58:04.040 --> 00:58:04.040]   So it is when we can melt these time scales and connect with these plants in terms of the content of the language, in this case, molecules, the duration of the language and we can start having a conversation with them.
[00:58:04.040 --> 00:58:04.040]   So it is when we can melt these time scales and connect with these plants in terms of the language, in this case, molecules, the duration of the language and we can start having a conversation with them.
[00:58:04.040 --> 00:58:04.040]   So it is when we can melt these time scales and connect with these plants in terms of the language, in this case, molecules, the duration of the language and we can start having a conversation with them.
[00:58:04.040 --> 00:58:04.040]   So it is when we can melt these time scales and connect with these plants in terms of the language, in terms of the language, in this case, we can melt these time scales and connect with them.
[00:58:04.080 --> 00:58:10.040]   to
[00:58:10.040 --> 00:58:14.400]   another,
[00:58:14.400 --> 00:58:32.940]   Men I are the thing. ., ., won station. knowledge difer guess braking found recreation and I'm a lot of the food that is the fascinated the mע the r thatís milestone를 de ach
[00:58:33.660 --> 00:58:43.860]   Ring as
[00:58:43.860 --> 00:59:03.500]   think,,,,, У G H Good Te Nut아� performs
[00:59:03.680 --> 00:59:10.460]   .
[00:59:10.460 --> 00:59:15.560]  っと,
[00:59:15.560 --> 00:59:32.640]   vị which the, the, the, the, the, mon,, de, buy, yes, leads,
[00:59:32.640 --> 00:59:33.260]  但是 I'm.mo - whenever -- personnel -- " --- cabbage - -- C -還是 -이� - where -� - nobody - Has -30 - den - edit - be-ilik the phone-ச co- shaving- been- end-ili- go-無-reci-
[01:00:32.620 --> 01:00:32.620]   ----
[01:00:32.620 --> 01:00:32.620]   ----
[01:00:32.620 --> 01:00:32.620]   ----
[01:00:32.620 --> 01:00:32.620]   ----
[01:00:32.620 --> 01:00:32.620]   ----
[01:00:32.620 --> 01:00:32.660]   ---- ----
[01:00:32.700 --> 01:00:42.680]   like
[01:00:42.680 --> 01:00:43.920]  ..--,
[01:02:13.460 --> 01:02:23.460]   a
[01:02:23.460 --> 01:02:24.480]   lact the,,, But I I the cùng型
[01:02:24.480 --> 01:02:40.940]  il
[01:06:42.880 --> 01:07:12.820]  I think it's interesting because the system level thinking is almost always going to take you to the entire earth to consider in the entire earth ecosystem.
[01:07:12.820 --> 01:07:12.820]   I think it's interesting because the system level thinking is almost always going to take you to the entire earth to consider in the entire earth ecosystem.
[01:07:12.820 --> 01:07:12.820]   I think it's interesting because the system level thinking is almost always going to take you to the entire earth to consider in the entire earth ecosystem.
[01:07:12.820 --> 01:07:12.820]   I think it's interesting because the system level thinking is almost always going to take you to the entire earth to consider in the entire earth ecosystem.
[01:07:36.260 --> 01:07:42.760]   I think it's interesting because the system level thinking is almost always going to take you to the entire earth ecosystem.
[01:07:42.760 --> 01:07:42.760]   I think it's interesting because the system level thinking is almost always going to take you to the entire earth ecosystem.
[01:08:42.640 --> 01:08:42.640]   I think it's interesting because the system level thinking is almost always going to take you to the entire earth ecosystem.
[01:08:42.680 --> 01:08:52.600]   .
[01:08:52.600 --> 01:08:53.680]   go. Be
[01:08:53.680 --> 01:09:11.340]   when let the in the just I I device pound o g ولاר, and, and, and, and, and, and, and, and, and, and, and, and, and, play a head. I'm. And, guerr.achu. Just. Miss.gy. Bou. Нов.안�.orp. MS.
[01:09:12.600 --> 01:09:22.820]   spelled via
[01:09:22.820 --> 01:09:24.160]   họ most de
[01:09:24.160 --> 01:09:42.600]   pay blend Goodnightbau辦法 they are in the first the為 1999 Här. And. And. I am. I. I. Ik. ask. create. Ace. Gor. уг., is, work, embroidery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,�.,, Team. tofu I'm. card. Bat. seg. carbohydrates der thinking min sque find that is mean younger men spent those about dit envie 不是 after avere Где I'm
[01:09:42.640 --> 01:09:53.600]   bring
[01:11:31.800 --> 01:11:33.860]   Yeah.
[01:11:33.860 --> 01:11:33.920]   Yeah. I deeply regret not having been able to express what is in my heart. Maybe that's a universal regret.
[01:11:33.920 --> 01:11:33.920]   Yeah. I deeply regret not having been able to express what is in my heart. Maybe that's a universal regret.
[01:11:33.920 --> 01:11:34.420]   Maybe that's a universal regret.
[01:11:34.420 --> 01:11:34.460]   Yeah. I deeply regret not having been able to express what is in my heart. Maybe that's a universal regret.
[01:11:34.460 --> 01:11:34.520]   Yeah. I deeply regret not having been able to express what is in my heart. Maybe that's a universal regret.
[01:12:04.460 --> 01:12:04.460]   Yeah. I deeply regret not having been able to express what is in my heart. Maybe that's a universal regret.
[01:12:04.460 --> 01:12:04.460]   Yeah. I deeply regret not having been able to express what is in my heart. Maybe that's a universal regret.
[01:12:04.460 --> 01:12:04.460]   Yeah. I deeply regret not having been able to express what is in my heart. Maybe that's a universal regret.
[01:12:04.460 --> 01:12:04.460]   Yeah. I deeply regret not having been able to express what is in my heart. Maybe that's a universal regret.
[01:12:04.460 --> 01:12:04.460]   Yeah. I deeply regret not having been able to express what is in my heart. Maybe that's a universal regret.
[01:12:04.460 --> 01:12:04.540]   Yeah. I deeply regret not having been able to express what is in my heart. Maybe that's a universal regret.
[01:12:04.540 --> 01:12:04.540]   Yeah. I deeply regret not having been able to express what is in my heart. Maybe that's a universal regret.
[01:12:04.540 --> 01:12:04.540]   Yeah. I deeply regret not having been able to express what is in my heart. Maybe that's a universal regret.
[01:12:04.580 --> 01:12:34.560]  ,
[01:12:34.560 --> 01:12:34.560]   It might be the same thing, it might be a different thing, but let me ask you a ridiculously big philosophical question about beauty.
[01:12:34.560 --> 01:12:34.560]   Yeah. I deeply regret not having been able to express what is in my heart. Maybe that's a universal regret.
[01:12:34.560 --> 01:12:34.560]   Yeah. I deeply regret not having been able to express what is in my heart. Maybe that's a universal regret.
[01:12:34.560 --> 01:12:34.560]   Yeah. I deeply regret not having been able to express what is in my heart. Maybe that's a universal regret.
[01:12:34.580 --> 01:13:04.580]   Yeah. I deeply regret not having been able to express what is in my heart. Maybe that's a universal regret.
[01:13:04.580 --> 01:13:04.580]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:13:04.580 --> 01:13:04.580]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:13:04.580 --> 01:13:04.580]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:13:04.580 --> 01:13:04.580]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:13:04.580 --> 01:13:04.580]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:13:04.580 --> 01:13:04.580]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:13:04.580 --> 01:13:04.580]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:13:04.580 --> 01:13:04.580]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:13:04.580 --> 01:13:34.600]  ,
[01:13:34.600 --> 01:13:34.600]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:13:34.600 --> 01:13:34.600]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:13:34.600 --> 01:13:34.600]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:13:34.600 --> 01:13:34.600]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:13:34.600 --> 01:13:34.600]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:13:34.600 --> 01:13:34.600]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:13:34.600 --> 01:13:34.600]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:13:34.620 --> 01:14:04.620]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:04.620 --> 01:14:04.620]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:04.620 --> 01:14:04.620]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:04.620 --> 01:14:04.620]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:04.620 --> 01:14:04.620]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:04.620 --> 01:14:04.620]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:04.620 --> 01:14:04.620]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:04.620 --> 01:14:04.620]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:04.620 --> 01:14:04.620]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:04.620 --> 01:14:04.620]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:04.620 --> 01:14:04.620]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:04.660 --> 01:14:34.640]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:34.640 --> 01:14:34.640]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:34.640 --> 01:14:34.640]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:34.640 --> 01:14:34.640]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:34.640 --> 01:14:34.640]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:34.640 --> 01:14:34.640]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:34.640 --> 01:14:34.640]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:34.640 --> 01:14:34.640]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:34.640 --> 01:14:34.640]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:14:34.660 --> 01:15:04.660]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:15:04.660 --> 01:15:04.660]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:15:04.660 --> 01:15:04.660]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:15:04.660 --> 01:15:04.660]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:15:04.660 --> 01:15:04.660]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:15:04.660 --> 01:15:04.660]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:15:04.660 --> 01:15:04.660]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:15:04.660 --> 01:15:04.660]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:15:04.660 --> 01:15:04.660]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:15:04.660 --> 01:15:04.660]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:15:04.660 --> 01:15:04.660]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:15:04.700 --> 01:15:34.680]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:15:34.680 --> 01:15:34.680]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:15:34.680 --> 01:15:34.680]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:15:34.680 --> 01:15:34.680]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:15:34.680 --> 01:15:34.680]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:15:34.700 --> 01:16:04.700]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:16:04.700 --> 01:16:04.700]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:16:04.700 --> 01:16:04.700]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:16:04.700 --> 01:16:04.700]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:16:04.700 --> 01:16:04.700]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:16:04.700 --> 01:16:04.700]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:16:04.700 --> 01:16:04.700]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:16:04.700 --> 01:16:04.700]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:16:04.700 --> 01:16:04.700]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:16:04.700 --> 01:16:04.700]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:16:04.700 --> 01:16:04.700]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:16:04.700 --> 01:16:34.720]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:16:34.720 --> 01:16:34.720]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:16:34.720 --> 01:16:34.720]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:16:34.720 --> 01:16:34.720]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:16:34.720 --> 01:16:34.720]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:16:34.720 --> 01:16:34.720]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:16:34.720 --> 01:16:34.720]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:16:34.720 --> 01:16:34.720]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:16:34.740 --> 01:17:04.740]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:17:04.740 --> 01:17:04.740]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:17:04.740 --> 01:17:04.740]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:17:04.740 --> 01:17:04.740]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:17:04.740 --> 01:17:04.740]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:17:04.740 --> 01:17:04.740]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:17:04.740 --> 01:17:04.740]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:17:04.740 --> 01:17:04.740]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:17:04.740 --> 01:17:04.740]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:17:04.740 --> 01:17:04.740]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:17:04.740 --> 01:17:34.760]  ,
[01:17:34.760 --> 01:17:34.760]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:17:34.760 --> 01:17:34.760]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:17:34.760 --> 01:17:34.760]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:17:34.760 --> 01:17:34.760]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:17:34.760 --> 01:17:34.760]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:17:34.760 --> 01:17:34.760]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:17:34.760 --> 01:17:34.760]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:17:34.780 --> 01:18:04.780]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:18:04.780 --> 01:18:04.780]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:18:04.780 --> 01:18:04.780]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:18:04.780 --> 01:18:04.780]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:18:04.780 --> 01:18:04.780]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:18:04.780 --> 01:18:04.780]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:18:04.780 --> 01:18:04.780]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:18:04.780 --> 01:18:04.780]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:18:04.780 --> 01:18:04.780]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:18:04.780 --> 01:18:04.780]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:18:04.780 --> 01:18:04.780]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:18:04.820 --> 01:18:34.800]  ,
[01:18:34.800 --> 01:18:34.800]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:18:34.800 --> 01:18:34.800]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:18:34.800 --> 01:18:34.800]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:18:34.800 --> 01:18:34.800]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:18:34.800 --> 01:18:34.800]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:18:34.800 --> 01:18:34.800]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:18:34.800 --> 01:18:34.800]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:18:34.800 --> 01:18:34.800]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:18:34.820 --> 01:19:04.820]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:19:04.820 --> 01:19:04.820]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:19:04.820 --> 01:19:04.820]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:19:04.820 --> 01:19:04.820]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:19:04.820 --> 01:19:04.820]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:19:04.820 --> 01:19:04.820]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:19:04.820 --> 01:19:04.820]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:19:04.820 --> 01:19:04.820]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:19:04.820 --> 01:19:04.820]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:19:04.820 --> 01:19:04.820]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:19:04.820 --> 01:19:04.820]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:19:04.820 --> 01:19:34.840]  ,
[01:19:34.840 --> 01:19:34.840]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:19:34.840 --> 01:19:34.840]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:19:34.840 --> 01:19:34.840]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:19:34.840 --> 01:19:34.840]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:19:34.840 --> 01:19:34.840]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:19:34.840 --> 01:19:34.840]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:19:34.840 --> 01:19:34.840]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:19:34.860 --> 01:20:04.860]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:20:04.860 --> 01:20:04.860]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:20:04.860 --> 01:20:04.860]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:20:04.860 --> 01:20:04.860]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:20:04.860 --> 01:20:04.860]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:20:04.860 --> 01:20:04.860]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:20:04.860 --> 01:20:04.860]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:20:04.860 --> 01:20:04.860]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:20:04.860 --> 01:20:04.860]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:20:04.860 --> 01:20:04.860]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:20:04.860 --> 01:20:04.860]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:20:04.900 --> 01:20:34.880]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:20:34.880 --> 01:20:34.880]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:20:34.880 --> 01:20:34.880]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:20:34.880 --> 01:20:34.880]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:20:34.880 --> 01:20:34.880]   Yeah. I deeply regret not having been able to express what is in my heart.
[01:20:34.880 --> 01:20:34.880]   Yeah. I deeply regret not having been able to express what is in my heart.
