
[00:00:00.000 --> 00:00:11.000]   Hi there.
[00:28:00.000 --> 00:28:15.000]   But instead of like lots of little different things that bang there's a single thing that spins around and goes up and down to bang, and there was a APL.
[00:28:15.000 --> 00:28:21.000]   One of those that was created.
[00:28:21.000 --> 00:28:35.000]   And apparently that helped a lot because then people could like easily typeset things but until that time my understanding is that Ken and his wife, I can't quite remember her name Jeanette or something.
[00:28:35.000 --> 00:28:46.000]   Yeah, they basically would like draw them and then stick them in the right place and, you know, typeset in that rather old fashioned way so yeah must have been a lot of work.
[00:28:46.000 --> 00:28:55.000]   Most math was probably done that way anyway.
[00:28:55.000 --> 00:29:00.000]   So yeah, they ended up becoming part of Unicode.
[00:29:00.000 --> 00:29:16.000]   So, you know, fonts. Most fonts don't have all Unicode characters in. And so if you're wondering why it is you can look at like a web page or something with APL characters, even if you don't have an APL font installed.
[00:29:16.000 --> 00:29:35.000]   Your operating system behind the scenes tries to find any font that contains a character that's that's needed and will generally show it to you using that font, if it, if it can, and it only falls back to the kind of like question mark or box if it can't find it at all.
[00:29:35.000 --> 00:29:53.000]   So it's a really actually a really great font. It's kind of like my favorite coding font in some ways anyway, which is Jessica and Jessica extended contains all of APL in quite a nice way and pretty much everything else, and it's a really nice font.
[00:29:53.000 --> 00:30:03.000]   So if you're ever wondering what font to use for your terminal picking this one is not a bad choice.
[00:30:03.000 --> 00:30:08.000]   I created so many characters and variants.
[00:30:08.000 --> 00:30:18.000]   Quite amazing.
[00:30:18.000 --> 00:30:21.000]   Okay.
[00:30:21.000 --> 00:30:25.000]   I love that font.
[00:30:25.000 --> 00:30:29.000]   You know,
[00:30:29.000 --> 00:30:50.000]   I will think a lot about everything, mainly from Twitter, and then some things from like Hacker News, and some things from like following links from one of those places finding things.
[00:30:50.000 --> 00:30:57.000]   Okay, so
[00:30:57.000 --> 00:31:05.000]   right so we've got a kind of running.
[00:31:05.000 --> 00:31:15.000]   I don't think there's probably anything to
[00:31:15.000 --> 00:31:29.000]   use that might have just been G H pages have all or anybody do you know if there's a way to like, ignore a branch like, I never need G H pages locally right this or.
[00:31:29.000 --> 00:31:33.000]   And that's going to update a lot more.
[00:31:33.000 --> 00:31:56.000]   And he really want to pull master.
[00:31:56.000 --> 00:32:13.000]   All right.
[00:32:13.000 --> 00:32:22.000]   I thought we could do like some Boolean stuff today.
[00:32:22.000 --> 00:32:31.000]   If that sounds right for everybody.
[00:32:31.000 --> 00:32:36.000]   So these are all pretty straightforward I think, unless some of the monadic ones are weird.
[00:32:36.000 --> 00:32:42.000]   Looks like equals doesn't have a monadic version.
[00:32:42.000 --> 00:32:50.000]   Dialogue language elements.
[00:32:50.000 --> 00:32:57.000]   Oh, if anybody's interested. Oh, okay, I've got a couple of ideas for coding projects, if anybody's interested.
[00:32:57.000 --> 00:33:08.000]   The first is this year, when rendered is, you know, an APL character in backticks.
[00:33:08.000 --> 00:33:19.000]   I think, ideally, we'd want it to automatically hyperlink to the dialogue documentation.
[00:33:19.000 --> 00:33:21.000]   Wouldn't that be cool.
[00:33:21.000 --> 00:33:29.000]   So, if we went to here.
[00:33:29.000 --> 00:33:38.000]   Yeah, it'd be nice if these were all automatic hyperlinks to the documentation.
[00:33:38.000 --> 00:33:48.000]   So if anybody's interested in trying that the way you would implement it is you would we're using.
[00:33:48.000 --> 00:34:00.000]   Well I think Isaac's about to change this to use nb process, and then be process, which is going to become nb dev to a couple of weeks.
[00:34:00.000 --> 00:34:05.000]   There's basically a list of like
[00:34:05.000 --> 00:34:15.000]   processes, which are like all the things we do to change cells and you can see each one's normally just two or three lines of code.
[00:34:15.000 --> 00:34:21.000]   That's one piece and then another piece is
[00:34:21.000 --> 00:34:36.000]   doc links, which is the thing that does this in Python. So in Python, I've got something, I guess it'd be better to look at the notebook actually.
[00:34:36.000 --> 00:34:46.000]   So you probably noticed that in nb dev websites, we automatically hyperlink anything that's in backticks.
[00:34:46.000 --> 00:34:53.000]   So here's an example. So in the source, this just said backtick numpy dot array, and it's automatically been hyperlinked.
[00:34:53.000 --> 00:34:57.000]   And the way that's done is we use linkify.
[00:34:57.000 --> 00:35:13.000]   So that splits the lines up, it goes to each line, checks whether or not we're in a fenced area or not. And then once we find the right lines, we create links in them,
[00:35:13.000 --> 00:35:17.000]   which is done using
[00:35:17.000 --> 00:35:25.000]   this class. So yeah, there might be somewhere to do that in APL. So that'd be that's one idea for a project.
[00:35:25.000 --> 00:35:30.000]   Another idea for a project is
[00:35:30.000 --> 00:35:34.000]   numpy is really
[00:35:34.000 --> 00:35:41.000]   useful for me as a teacher, but I have to use this kind of hacky approach to use it as a teacher.
[00:35:41.000 --> 00:35:49.000]   So I've created a deck for Gabe and Claire called Super School, and they both also have decks called Super School.
[00:35:49.000 --> 00:35:57.000]   And each time I do a lesson with them, I add some cards to the deck, and then I go file, export,
[00:35:57.000 --> 00:36:04.000]   and I then make this a collection package, sorry, a deck package containing
[00:36:04.000 --> 00:36:10.000]   just that deck, and I export it to a file. And then I send them that file,
[00:36:10.000 --> 00:36:17.000]   they click on it, it opens, and it imports that into their decks.
[00:36:17.000 --> 00:36:21.000]   So it means that I can create
[00:36:21.000 --> 00:36:27.000]   cards for my students, in this case is Claire and Gabe, and they can import them.
[00:36:27.000 --> 00:36:34.000]   But we each have our own independent deck, so it means they can add stuff to their deck that I don't have in mind or study other topics or whatever.
[00:36:34.000 --> 00:36:38.000]   So this project idea is
[00:36:38.000 --> 00:36:47.000]   to make this all much simpler. So, nky does actually have an online version.
[00:36:47.000 --> 00:36:51.000]   Nanky Web.
[00:36:51.000 --> 00:36:56.000]   So there must be, so there's an API for syncing with it.
[00:36:56.000 --> 00:37:02.000]   And there's quite a few versions of nky that are open source, so I guess it's all documented an API.
[00:37:02.000 --> 00:37:14.000]   It would be nice if there was some way maybe through some online interface to add cards and it would automatically send them off to each person or something.
[00:37:14.000 --> 00:37:20.000]   Yeah, some easier way for teachers to
[00:37:20.000 --> 00:37:27.000]   send cards off to their students.
[00:37:27.000 --> 00:37:36.000]   And there's lots of stuff you could add to that, right? You could then like add some way for then teachers to actually check how the students are going, make sure that they're actually not behind.
[00:37:36.000 --> 00:37:43.000]   Because what happens is if you don't study your cards, then this learning number will go up and up and up.
[00:37:43.000 --> 00:37:54.000]   And then the other thing I have to do is after each time I export, I then have to go and browse and delete all the cards that are there so that the next time I export there, I'm only exporting the new cards.
[00:37:54.000 --> 00:37:58.000]   So there's definitely room to create some kind of cool
[00:37:58.000 --> 00:38:07.000]   system for a more, you know, collaborative learning approach with spaced repetition,
[00:38:07.000 --> 00:38:09.000]   which I think could leverage Nky.
[00:38:09.000 --> 00:38:14.000]   And Nky is written in Python, by the way.
[00:38:14.000 --> 00:38:23.000]   Anyway, that was a little aside.
[00:38:23.000 --> 00:38:34.000]   OK.
[00:38:34.000 --> 00:38:38.000]   So equals.
[00:38:38.000 --> 00:38:40.000]   And.
[00:38:40.000 --> 00:38:45.000]   I guess was that this.
[00:38:45.000 --> 00:38:48.000]   Where's equals?
[00:38:48.000 --> 00:39:03.000]   Yeah, is that it? Yeah, it's confusing with the underlying. OK, so there's no diet. There's no monadic equals.
[00:39:03.000 --> 00:39:21.000]   I might just make this into a little template that I can copy and paste.
[00:39:21.000 --> 00:39:35.000]   OK, it'll save you some time. Equals, and it's called equals sign.
[00:39:35.000 --> 00:39:45.000]   Monadic doesn't exist. OK, diet equals is equal to.
[00:39:45.000 --> 00:39:51.000]   All right, so what equals one groups.
[00:39:51.000 --> 00:39:54.000]   One equals one, two.
[00:39:54.000 --> 00:39:58.000]   One equals one, one.
[00:39:58.000 --> 00:40:05.000]   Any other interesting examples? Oh, yeah, strings.
[00:40:05.000 --> 00:40:11.000]   So probably useful to think about why this works.
[00:40:11.000 --> 00:40:18.000]   So this is remember is a special case. It's a it's a character.
[00:40:18.000 --> 00:40:24.000]   You know, it's a single character where also there's more than what it becomes a array of characters.
[00:40:24.000 --> 00:40:26.000]   So this is a single character.
[00:40:26.000 --> 00:40:32.000]   So it'll be broadcast over all these characters. And so it'll end up being the same as banana equals.
[00:40:32.000 --> 00:40:44.000]   And then it'll be the same as that every second.
[00:40:44.000 --> 00:40:50.000]   Let's say that's something I didn't know before.
[00:40:50.000 --> 00:41:01.000]   Hey, but I can think it. Yeah, I think if you if you do this equals a and you have.
[00:41:01.000 --> 00:41:06.000]   And you have a list of words. So like banana and an apple.
[00:41:06.000 --> 00:41:16.000]   I think it will still go.
[00:41:16.000 --> 00:41:25.000]   It will still go element wise through each one, rather than looking at that higher level, I think. No.
[00:41:25.000 --> 00:41:32.000]   Sorry, I meant the banana and apple on the left hand side. OK, equals a. OK.
[00:41:32.000 --> 00:41:41.000]   I think. Oh, OK. So you're not saying you're not saying this, you're saying this.
[00:41:41.000 --> 00:41:50.000]   OK. And so I can tell you why that is. That's because a scalar can broadcast over a matrix.
[00:41:50.000 --> 00:42:02.000]   And I think that that creates. I think that's like internally a matrix.
[00:42:02.000 --> 00:42:09.000]   And so then if you do equals Apple, it will not find Apple, I think.
[00:42:09.000 --> 00:42:17.000]   And let me just get my thing going here.
[00:42:17.000 --> 00:42:23.000]   Oh, that's interesting. That's three things. OK, I'm a bit confused about strings. Sorry, what you're saying we could do.
[00:42:23.000 --> 00:42:30.000]   Yes, I think now I can do like the same banana apple candy is equal to Apple.
[00:42:30.000 --> 00:42:34.000]   I think it will not. It'll also do element wise.
[00:42:34.000 --> 00:42:38.000]   And so I find that. Right.
[00:42:38.000 --> 00:42:52.000]   I had a lot of problems with this and the moving. Yeah. Yeah. So numpy broadcasts vectors over matrices, whereas APL doesn't.
[00:42:52.000 --> 00:43:00.000]   So at some point we'll come across something called the each operator, which will work around that problem.
[00:43:00.000 --> 00:43:04.000]   All right. Cool.
[00:43:04.000 --> 00:43:12.000]   And actually to make this more consistent, I should run everything above.
[00:43:12.000 --> 00:43:22.000]   I can't quite see because this is in the way. So not all above.
[00:43:22.000 --> 00:43:37.000]   You know, we can almost generate a. We can almost generate an Anki deck automatically from this notebook for your writing, Jeremy. Oh, wow. That would be another interesting exercise.
[00:43:37.000 --> 00:43:40.000]   Love it.
[00:43:40.000 --> 00:43:44.000]   Yeah, that would be sweet.
[00:43:44.000 --> 00:43:53.000]   I will try to continue to write it in a way that would be that would that would make sense to do that. I certainly think so far it does.
[00:43:53.000 --> 00:44:08.000]   OK, that's interesting. So not equals does have a monadic version.
[00:44:08.000 --> 00:44:17.000]   Not equals. And I think it's going to be helpful during the booleans quite early because you've used booleans a lot.
[00:44:17.000 --> 00:44:27.000]   And when we say boolean, we mean arrays containing zeros and ones.
[00:44:27.000 --> 00:44:33.000]   Oh, wait, how did I get to there? Not equals.
[00:44:33.000 --> 00:44:42.000]   I don't see them. One way monadic not equal to not defined monadic not nearly call is unique mask.
[00:44:42.000 --> 00:44:47.000]   Well, OK, that's crazy.
[00:44:47.000 --> 00:44:56.000]   Oh, look, this is 17.1. What if I type 18.2 up here?
[00:44:56.000 --> 00:45:10.000]   Huh. OK. Oh, that's a bit tricky. Let's see if they also now have a monadic equals.
[00:45:10.000 --> 00:45:14.000]   Things are changing. That's cool.
[00:45:14.000 --> 00:45:21.000]   They don't. OK.
[00:45:21.000 --> 00:45:34.000]   Monadic not equal means unique mask.
[00:45:34.000 --> 00:45:45.000]   This is one of the things that happens when you search for documentation using Google that often returns the older version. Yeah, exactly. Yeah, so.
[00:45:45.000 --> 00:45:55.000]   It looks like you can use you can use close what right square bracket help followed by a glove. I mean, it opens the door.
[00:45:55.000 --> 00:46:01.000]   OK, great. And does that even work here?
[00:46:01.000 --> 00:46:10.000]   Sorry, tell me what to type again. Help. Nope. With a capital H. What doesn't matter. I don't think it matters. And then the glove.
[00:46:10.000 --> 00:46:13.000]   Oh, love it.
[00:46:13.000 --> 00:46:24.000]   OK, that's that's a winning trick. Let's put that up here.
[00:46:24.000 --> 00:46:45.000]   All lowercase works as well.
[00:46:45.000 --> 00:46:50.000]   And I think with this string, the broadcasting only happens for only one character, I think.
[00:46:50.000 --> 00:46:58.000]   Can you say that at this point? Well, I want to learn more about exactly what's going on.
[00:46:58.000 --> 00:47:06.000]   And we actually haven't talked about broadcasting at all yet. Yes. So like NumPy, they do whenever it is compatible.
[00:47:06.000 --> 00:47:23.000]   Yes, that's right. NumPy does what we would call trailing axis. So NumPy, as long as the last axes are match, it will broadcast over the leading axes.
[00:47:23.000 --> 00:47:33.000]   Exactly. Jay and BQN do the opposite. So they will, as long as the leading axes match, it will broadcast over the trailing axes.
[00:47:33.000 --> 00:47:45.000]   APL does neither. APL only broadcasts scalars or does element wise of matching shapes. So otherwise, you have to use this thing we will come across called each.
[00:47:45.000 --> 00:47:51.000]   So I think we'll leave broadcasting maybe until we get to each.
[00:47:51.000 --> 00:47:57.000]   I think I used and closed for that. So now I'm questioning if I know the right way.
[00:47:57.000 --> 00:48:17.000]   Well, I'm not. Yeah, because I haven't gotten to it yet. I don't actually know the fully correct answer to this. So I'm sure you know more about it than I do.
[00:48:17.000 --> 00:48:26.000]   Well, I don't know that each operator. So I think I'm distance.
[00:48:26.000 --> 00:48:29.000]   So there's this.
[00:48:29.000 --> 00:48:34.000]   Yeah, they call it each on that.
[00:48:34.000 --> 00:48:39.000]   Yeah, Jay has a more. Oh, I've used that.
[00:48:39.000 --> 00:48:42.000]   Yes, I need Enki.
[00:48:42.000 --> 00:48:46.000]   Quite right.
[00:48:46.000 --> 00:48:50.000]   And then there's also
[00:48:50.000 --> 00:48:54.000]   rank. I don't remember which one is rank.
[00:48:54.000 --> 00:49:02.000]   Let's get to that when we get to it.
[00:49:02.000 --> 00:49:08.000]   Okay, so we've got to figure out what not equals does unique mask.
[00:49:08.000 --> 00:49:11.000]   Let's start with their examples.
[00:49:11.000 --> 00:49:19.000]   Now that we know about strings, their examples are going to make more sense.
[00:49:19.000 --> 00:49:31.000]   And so control shift dash is very useful for splitting a cell, and then control or Apple left square bracket to
[00:49:31.000 --> 00:49:37.000]   an indent.
[00:49:37.000 --> 00:49:45.000]   Okay, I can already see what this is. It tells you whether or not the thing in this position, whether we've seen it before this list.
[00:49:45.000 --> 00:49:50.000]   So that's unique. So far, that's unique. So far, that's unique. So far.
[00:49:50.000 --> 00:49:53.000]   We have seen that before. So it's a zero.
[00:49:53.000 --> 00:50:01.000]   And so presumably at some point, we're going to learn how to use this to access just the elements of this, which are true.
[00:50:01.000 --> 00:50:17.000]   And then that'll be how we would create a unique list of elements.
[00:50:17.000 --> 00:50:24.000]   Yep, if it's a test occurrence. Got it.
[00:50:24.000 --> 00:50:33.000]   Yeah, I think it's nice to have a numeric example as well.
[00:50:33.000 --> 00:50:39.000]   Okay, we're happy with that.
[00:50:39.000 --> 00:50:48.000]   That's weird.
[00:50:48.000 --> 00:50:54.000]   Okay, these all look fine, I guess.
[00:50:54.000 --> 00:51:02.000]   So dyadic.
[00:51:02.000 --> 00:51:26.000]   Oh, I suppose I should have indented all of those at once would have been faster but never mind.
[00:51:26.000 --> 00:51:32.000]   Okay.
[00:51:32.000 --> 00:51:44.000]   Not sure this one adds much.
[00:51:44.000 --> 00:51:50.000]   Keep it simple as possible, shall we? Okay.
[00:51:50.000 --> 00:51:59.000]   And along with the easy ones. So these are presumably going to be easy as well, although the monadic versions maybe odd, we will find out.
[00:51:59.000 --> 00:52:03.000]   Oh, okay. That's easy.
[00:52:03.000 --> 00:52:10.000]   Less than.
[00:52:10.000 --> 00:52:18.000]   Less than sign.
[00:52:18.000 --> 00:52:28.000]   Less than.
[00:52:28.000 --> 00:52:32.000]   So what I should do actually is do that. And then that.
[00:52:32.000 --> 00:52:38.000]   And then that.
[00:52:38.000 --> 00:52:43.000]   Cool.
[00:52:43.000 --> 00:52:47.000]   I assume greater than is going to be the same.
[00:52:47.000 --> 00:52:54.000]   All right.
[00:52:54.000 --> 00:53:00.000]   Is the broadcasting supposed to work just like characters even here.
[00:53:00.000 --> 00:53:11.000]   Yeah, yeah, this is just a one element. This is just a sorry this is just a scalar, you know, a string so not there, not there below.
[00:53:11.000 --> 00:53:18.000]   Yeah, yeah, for less than. Yeah, it should be exactly the same. So we've got a scalar here and an array here so the scalar will broadcast over the array.
[00:53:18.000 --> 00:53:22.000]   Okay, so if we have a matrix and a vector done.
[00:53:22.000 --> 00:53:25.000]   Correct.
[00:53:25.000 --> 00:53:28.000]   Without using each.
[00:53:28.000 --> 00:53:30.000]   All right.
[00:53:30.000 --> 00:53:35.000]   But we will get to it. So, let's, we'll get there.
[00:53:35.000 --> 00:53:43.000]   Okay, then.
[00:53:43.000 --> 00:53:49.000]   I guess it's fine we've got so much for a bit trivially easy, because
[00:53:49.000 --> 00:53:51.000]   just go fast.
[00:53:51.000 --> 00:54:02.000]   All right, so what are the greater than equal to, so they all
[00:54:02.000 --> 00:54:11.000]   as well just copy this.
[00:54:11.000 --> 00:54:23.000]   And we could just say less than or equal to
[00:54:23.000 --> 00:54:41.000]   greater than or equal to
[00:54:41.000 --> 00:54:43.000]   equal to.
[00:54:43.000 --> 00:54:47.000]   And how do we type these
[00:54:47.000 --> 00:54:58.000]   six and four, I say so we got four, six, eight.
[00:54:58.000 --> 00:55:03.000]   Is this one for because it's the smallest.
[00:55:03.000 --> 00:55:12.000]   Yes, it is. That's good.
[00:55:12.000 --> 00:55:22.000]   This will be six.
[00:55:22.000 --> 00:55:26.000]   And then we'll need that here as well.
[00:55:26.000 --> 00:55:42.000]   And six.
[00:55:42.000 --> 00:55:50.000]   Okay.
[00:55:50.000 --> 00:55:59.000]   Alright, I guess we're up to this one.
[00:55:59.000 --> 00:56:06.000]   Oh, depth.
[00:56:06.000 --> 00:56:08.000]   Okay.
[00:56:08.000 --> 00:56:13.000]   Yeah, so when a character is the same as another character but with an extra
[00:56:13.000 --> 00:56:19.000]   underline, they use the word underbar. So for example, there's an iota underbar.
[00:56:19.000 --> 00:56:22.000]   And there's an epsilon underbar.
[00:56:22.000 --> 00:56:27.000]   What other ones are there equal underbar.
[00:56:27.000 --> 00:56:30.000]   There's one left shoe underbar.
[00:56:30.000 --> 00:56:33.000]   I think that's it.
[00:56:33.000 --> 00:56:41.000]   And this is comma bar because it's not underneath it.
[00:56:41.000 --> 00:56:53.000]   Okay, so equals underbar is colon.
[00:56:53.000 --> 00:56:57.000]   Equal underbar.
[00:56:57.000 --> 00:57:03.000]   And the monadic version of that is depth.
[00:57:03.000 --> 00:57:11.000]   And the dyadic version of that is match.
[00:57:11.000 --> 00:57:34.000]   Okay, depth is not quite right.
[00:57:34.000 --> 00:57:40.000]   Let's see if we can guess first. So can anybody figure it out depth is seven zero.
[00:57:40.000 --> 00:57:44.000]   You can see is it the same as rank.
[00:57:44.000 --> 00:57:45.000]   Not quite.
[00:57:45.000 --> 00:57:52.000]   Oh, this is like, not consistent.
[00:57:52.000 --> 00:58:01.000]   What does that do.
[00:58:01.000 --> 00:58:05.000]   Now what about this what does this do.
[00:58:05.000 --> 00:58:10.000]   Okay, we're going to have to introduce something new.
[00:58:10.000 --> 00:58:20.000]   First, then, which is a raise and a raise.
[00:58:20.000 --> 00:58:43.000]   Let's see where's a good place to put that we have like a complex object section or something that's the basic object.
[00:58:43.000 --> 00:58:55.000]   Let me just do it, just fixing others get these heading levels wrong.
[00:58:55.000 --> 00:59:04.000]   Basic objects here real.
[00:59:04.000 --> 00:59:07.000]   I was gonna say some objects.
[00:59:07.000 --> 00:59:19.000]   And then we can say arrays in arrays.
[00:59:19.000 --> 00:59:34.000]   Yes, because we don't need to know about matrices to be able to do this.
[00:59:34.000 --> 00:59:43.000]   And I think single characters and multi length characters are handled differently and nest differently.
[00:59:43.000 --> 00:59:47.000]   If they're mixed with numbers.
[00:59:47.000 --> 00:59:52.000]   Okay, let's cut some examples I could use.
[00:59:52.000 --> 01:00:01.000]   So if we've got like 1234 AB you mean something like this.
[01:00:01.000 --> 01:00:16.000]   I think if you just do, like, even without the parentheses, like 1234 AB, I think it will, it will nest the A and the AB.
[01:00:16.000 --> 01:00:25.000]   And I think that's, I think it does something a little bit different if you just do 1234 and then just if I remember right.
[01:00:25.000 --> 01:00:29.000]   That sounds right because it wouldn't be a list.
[01:00:29.000 --> 01:00:37.000]   So the reason is actually is that this one here is identical to this.
[01:00:37.000 --> 01:00:41.000]   And that this is actually a array.
[01:00:41.000 --> 01:00:49.000]   And so this is actually an array. So this is an array containing array and this is also an array containing an array.
[01:00:49.000 --> 01:00:55.000]   And so let's move this one up here.
[01:00:55.000 --> 01:01:00.000]   All right. Great.
[01:01:00.000 --> 01:01:09.000]   Seems like a good place to stop I think.
[01:01:09.000 --> 01:01:15.000]   And we can look at match tomorrow.
[01:01:15.000 --> 01:01:16.000]   All right.
[01:01:16.000 --> 01:01:18.000]   Thanks all.
[01:01:18.000 --> 01:01:24.000]   Well this was fun as usual. Thank you for hosting Jeremy. My pleasure. Thank you for joining.
[01:01:24.000 --> 01:01:38.000]   Okay, I have something to add. Yeah. So when you said like those characters are in Greek and they actually benefit Europeans, not quite I mean if you have taken math in high school you know all the Greek alphabet.
[01:01:38.000 --> 01:01:42.000]   Oh yeah I know. Yeah physics chemistry everything.
[01:01:42.000 --> 01:01:52.000]   But I mean, I've forgotten at all I have a hard time remembering all the characters and I always mean to go back and learn them and I just never do.
[01:01:52.000 --> 01:02:03.000]   I've really confusing if no other languages like Russian, because like the, the are in Russian comes from the Greek row, but their character is just a P.
[01:02:03.000 --> 01:02:17.000]   So, that's a huge pet peeve of mine is you have a lot of like redump character characters when you're using those Greek letters. So this is some one of the guys that that wrote a lot of the stuff in dialogue apl left and created a new language
[01:02:17.000 --> 01:02:26.000]   PQN. And one of the things he did in his simple set was not to have any, any characters from an alphabet, full stop.
[01:02:26.000 --> 01:02:28.000]   This is better.
[01:02:28.000 --> 01:02:40.000]   Which, yeah, it was a decision I mean I guess these are letters I don't know why he can justify these exactly but I guess they're kind of not because they've got an extra dash on them or something.
[01:02:40.000 --> 01:02:41.000]   Anyway.
[01:02:41.000 --> 01:02:42.000]   All right.
[01:02:42.000 --> 01:02:44.000]   Bye all. Have a good day.
[01:02:44.000 --> 01:02:45.000]   Goodbye.
[01:02:45.000 --> 01:02:46.000]   Bye.
[01:02:46.000 --> 01:02:46.000]   Bye.
[01:02:46.000 --> 01:02:56.000]   [BLANK_AUDIO]

