
[00:00:00.040 --> 00:00:10.660]   end
[00:28:13.420 --> 00:28:13.460]   very much so. And in fact, one of our
[00:28:13.460 --> 00:28:14.080]   very much so. And in fact, one of our Brown.
[00:28:14.080 --> 00:28:14.160]   Brown.
[00:28:14.160 --> 00:28:14.720]   Brown. Yeah.
[00:28:14.720 --> 00:28:14.780]   Yeah.
[00:28:14.780 --> 00:28:16.720]   Yeah. Took, you know, small guy.
[00:28:16.720 --> 00:28:16.780]   Took, you know, small guy.
[00:28:16.780 --> 00:28:17.820]   Took, you know, small guy. I was like, we've got to be
[00:28:17.820 --> 00:28:17.880]   I was like, we've got to be
[00:28:17.880 --> 00:28:19.060]   I was like, we've got to be captured by the Americans.
[00:28:19.060 --> 00:28:19.120]   captured by the Americans.
[00:28:19.120 --> 00:28:20.620]   captured by the Americans. Yeah.
[00:28:20.620 --> 00:28:20.660]   Yeah.
[00:28:20.660 --> 00:28:23.900]   Yeah. And in fact, the SS was under
[00:28:23.900 --> 00:28:23.960]   And in fact, the SS was under
[00:28:23.960 --> 00:28:26.240]   And in fact, the SS was under orders to execute on Brown and
[00:28:26.240 --> 00:28:26.300]   orders to execute on Brown and
[00:28:26.300 --> 00:28:28.740]   orders to execute on Brown and all of the German rocket
[00:28:28.740 --> 00:28:28.800]   all of the German rocket
[00:28:28.820 --> 00:28:58.840]   and all of the German rocket technicians.
[00:28:58.840 --> 00:28:58.840]   technicians.
[00:28:58.840 --> 00:28:58.840]   technicians.
[00:28:58.840 --> 00:28:58.840]   and the German rocket technicians.
[00:28:58.840 --> 00:28:58.840]   and the German rocket technicians. They said they were going out for a walk in the woods. They left in the middle of winter with no coats and ran like ever no food no coast no water and just ran like hell and ran west and by sure like they his brother found like a bicycle or something and and then just cycled west as fast as he could and found a US patrol.
[00:28:58.840 --> 00:28:58.840]   And then just cycled as fast as fast as he could and found a US patrol.
[00:28:58.840 --> 00:28:58.840]   And then just cycled as fast as fast as he could have found a US patrol.
[00:28:58.840 --> 00:28:58.840]   And then just cycled as fast as fast as he could have a US patrol as well as well as long as he could have been a lot of all of his life.
[00:28:58.880 --> 00:29:28.880]   and then just cycled as fast as fast as he could have been a lot of all of his life.
[00:29:28.880 --> 00:29:28.880]   And then just cycled as fast as fast as he could have been a lot of all of his life.
[00:29:28.880 --> 00:29:28.880]   And then just cycled as fast as fast as he could have been a lot of all of his life.
[00:29:28.880 --> 00:29:28.880]   And then just cycled as fast as fast as he could have been a lot of all of his life.
[00:29:28.880 --> 00:29:28.880]   And then just cycled as fast as fast as fast as he could have been a lot of all of his life.
[00:29:28.880 --> 00:29:28.880]   And then just cycled as fast as fast as fast as he could have been a lot of all of his life.
[00:29:28.900 --> 00:29:38.960]   And then just cycled as fast as fast as fast as he could have been a lot of all of his life.
[00:29:38.960 --> 00:29:39.920]   And then just cycled as fast as fast as fast as he could have been a lot of all of his life.
[00:29:39.920 --> 00:29:40.920]   And then just cycled as fast as fast as fast as he could have been a lot of all of his life.
[00:29:40.920 --> 00:29:41.920]   And then just cycled as fast as fast as fast as he could have been a lot of all of his life.
[00:29:41.920 --> 00:29:42.920]   And then just cycled as fast as fast as fast as he could have been a lot of all of his life.
[00:29:42.920 --> 00:29:43.920]   And then just cycled as fast as fast as fast as he could have been a lot of all of his life.
[00:29:43.920 --> 00:29:44.920]   And then just cycled as fast as fast as fast as he could have been a lot of all of his life.
[00:29:44.920 --> 00:29:45.920]   And then just cycled as fast as fast as fast as fast as he could have been a lot of all of his life.
[00:29:45.940 --> 00:30:05.960]   And then just cycled as fast as fast as fast as fast as he could have been a lot of all of his life.
[00:30:05.960 --> 00:30:06.960]   And then just cycled as fast as fast as fast as fast as he could have been a lot of all of his life.
[00:30:06.960 --> 00:30:07.960]   And then just cycled as fast as fast as fast as fast as he could have been a lot of all of his life.
[00:30:07.960 --> 00:30:08.960]   And then just cycled as fast as fast as fast as fast as he could have been a lot of all of his life.
[00:30:08.960 --> 00:30:09.960]   And then just cycled as fast as fast as fast as fast as he could have been a lot of all of his life.
[00:30:09.960 --> 00:30:10.960]   And then just cycled as fast as fast as fast as fast as fast as he could have been a lot of all of his life.
[00:30:10.960 --> 00:30:11.960]   And then just cycled as fast as fast as fast as fast as fast as fast as he could have been a lot of all of his life.
[00:30:12.020 --> 00:30:39.000]  ,
[00:30:39.000 --> 00:30:40.000]   And then just cycled as fast as fast as fast as fast as fast as he could have been a lot of all of his life.
[00:30:40.000 --> 00:30:41.000]   And then just cycled as fast as fast as fast as fast as he could have been a lot of all of his life.
[00:30:41.000 --> 00:30:42.000]   And then just cycled as fast as fast as fast as fast as fast as he could have been a lot of all of his life.
[00:30:42.000 --> 00:30:42.000]   And then just cycled as fast as fast as fast as fast as fast as fast as he could have been a lot of all of his life.
[00:30:42.000 --> 00:30:42.000]   And then just cycled as fast as fast as fast as fast as fast as fast as fast as he could have been a lot of all of his life.
[00:30:42.020 --> 00:30:49.040]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:30:49.040 --> 00:30:50.040]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:30:50.040 --> 00:30:51.040]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:30:51.040 --> 00:30:52.040]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:30:52.040 --> 00:30:53.040]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:30:53.040 --> 00:30:54.040]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:30:54.040 --> 00:30:55.040]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:30:55.040 --> 00:30:56.040]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:30:56.040 --> 00:30:57.040]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:30:57.040 --> 00:30:58.040]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:30:58.040 --> 00:30:59.040]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:30:59.040 --> 00:31:00.040]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:31:00.060 --> 00:31:22.080]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:31:22.080 --> 00:31:23.080]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:31:23.080 --> 00:31:24.080]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:31:24.080 --> 00:31:25.080]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:31:25.080 --> 00:31:26.080]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:31:26.080 --> 00:31:27.080]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:31:27.080 --> 00:31:28.080]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:31:28.080 --> 00:31:29.080]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:31:29.080 --> 00:31:30.080]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:31:30.080 --> 00:31:30.080]   China has been very clear that they will incorporate Taiwan peacefully or militarily.
[00:31:30.080 --> 00:31:30.080]   It's been very clear that they will incorporate Taiwan peacefully or militarily or militarily.
[00:31:30.080 --> 00:31:30.080]   I think that they will incorporate Taiwan peacefully or militarily or militarily.
[00:31:30.620 --> 00:32:00.120]   I think that they will incorporate Taiwan peacefully or militarily or militarily.
[00:32:00.120 --> 00:32:00.120]   It's been very clear that they will incorporate Taiwan peacefully or militarily or militarily.
[00:32:00.120 --> 00:32:00.120]   It's been very clear that they will incorporate Taiwan peacefully or militarily or militarily.
[00:32:00.120 --> 00:32:00.120]   It's been very clear that they will incorporate Taiwan peacefully or militarily or militarily.
[00:32:00.120 --> 00:32:00.120]   It's been very clear that they will incorporate Taiwan peacefully or militarily or militarily or militarily.
[00:32:00.120 --> 00:32:00.120]   It's been very clear that they will incorporate Taiwan peacefully or militarily or militarily or militarily.
[00:32:00.120 --> 00:32:00.120]   it's been very clear that they will incorporate Taiwan peacefully or militarily or militarily or militarily or militarily.
[00:32:00.140 --> 00:32:12.160]   It's been very clear that they will incorporate Taiwan peacefully or militarily or militarily or militarily or militarily.
[00:32:12.160 --> 00:32:14.160]   It's been very clear that they will incorporate Taiwan peacefully or militarily or militarily or militarily.
[00:32:14.160 --> 00:32:16.160]   It's been very clear that they will incorporate Taiwan peacefully or militarily or militarily or militarily.
[00:32:16.160 --> 00:32:18.160]   It's been very clear that they will incorporate Taiwan peacefully or militarily or militarily or militarily.
[00:32:18.160 --> 00:32:20.160]   It's been very clear that they will incorporate Taiwan peacefully or militarily or militarily or militarily.
[00:32:20.160 --> 00:32:22.160]   It's been very clear that they will incorporate Taiwan peacefully or militarily or militarily or militarily.
[00:32:22.160 --> 00:32:24.160]   It's been very clear that they will incorporate Taiwan peacefully or militarily or militarily or militarily.
[00:32:24.160 --> 00:32:26.160]   It's been very clear that they will incorporate Taiwan peacefully or militarily or militarily or militarily.
[00:32:26.160 --> 00:32:28.160]   It's been very clear that they will incorporate Taiwan peacefully or militarily or militarily or militarily.
[00:32:28.160 --> 00:32:58.200]   and they wanted vengeance and they got it.
[00:32:58.200 --> 00:32:58.200]   The people don't forget.
[00:32:58.200 --> 00:32:58.200]   You kill somebody's father, mother, son, daughter, they're not going to forget it. They will want vengeance.
[00:32:58.200 --> 00:32:58.200]   So after World War II, they're like, "Well that Treaty of Versailles was a huge mistake in World War I.
[00:32:58.200 --> 00:32:58.200]   The Treaty of Versailles was a huge mistake in World I.
[00:32:58.200 --> 00:32:58.200]   and they're like, "Well, that Treaty of Versailles was a huge mistake in World I.
[00:32:58.220 --> 00:33:00.240]   And so this time, instead of crushing the losers, we're actually going to help them with the Marshall Plan.
[00:33:00.240 --> 00:33:08.240]   And so this time, instead of crushing the losers, we're actually going to help them with the Marshall Plan.
[00:33:08.240 --> 00:33:10.240]   And so this time, instead of crushing the losers, we're actually going to help them with the Marshall Plan.
[00:33:10.240 --> 00:33:12.240]   And we're going to help rebuild Germany.
[00:33:12.240 --> 00:33:14.240]   And we're going to help rebuild Germany.
[00:33:14.240 --> 00:33:16.240]   We're going to help rebuild Austria and Italy and whatnot.
[00:33:16.240 --> 00:33:18.240]   We're going to help rebuild Austria and Italy and whatnot.
[00:33:18.240 --> 00:33:20.240]   We're going to help rebuild Austria and Italy and whatnot.
[00:33:20.240 --> 00:33:22.240]   And that was the right move.
[00:33:22.240 --> 00:33:24.240]   And that was the right move.
[00:33:24.240 --> 00:33:26.240]   And that was the right move.
[00:33:26.240 --> 00:33:28.240]   There's this feeling of being a traitor.
[00:33:28.240 --> 00:33:28.240]   There's this feeling of being a traitor.
[00:33:28.240 --> 00:33:28.240]   There's this feeling of being a traitor.
[00:33:28.240 --> 00:33:28.240]   And that was the right move.
[00:33:28.280 --> 00:33:38.620]  ai
[00:33:38.620 --> 00:33:42.220]   old,,, tempo
[00:33:42.220 --> 00:33:58.180]   play the Q I E S There Hier � Ari части is the d, and, and, and, and, and, and, and, en, che b З thoughough Market護 H weigh Book F образ terr於
[00:33:58.300 --> 00:34:09.640]   could
[00:34:09.640 --> 00:34:11.420]   " seem make the this in needles
[00:34:11.420 --> 00:34:18.240]   phải το don th iPad. I was a in the end of the AI I was the AI just the AI just the AI i초 check the levels, the like, and, the, the, the, and, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,, secret,.,,.,,.,.,.,.,,,.,,.,.,.,.,.,., permettre�ger. intimate Madameל Morning ne Hybrid
[00:34:18.240 --> 00:34:23.860]  æ Used didntaha beyeongibe clients stuff killed prá good dei I've wouldn defendungs either quest wall Mos Mumbai showed the 만약 sir�ank even pledgeici explore only think Jr. últim'll be지는 Human MSAją손 bad dz positioned el întback andчи 어떤 beginòs is lie has it's brocom � pense survive which is continue to be consistent conduct and shook club and bigulators de
[00:36:35.600 --> 00:36:35.680]   um so for the other sort of. Ai is out there the. So called large language models. I've not found the. Engineering to be reliable. And it the hallucination it unfortunately hallucinates most when you least wanted to hallucinate. So when you're asking important difficult questions that that's what it tends to be confidently wrong.
[00:36:35.680 --> 00:36:36.280]   um
[00:36:36.320 --> 00:36:43.360]   i
[00:36:43.360 --> 00:36:47.100]   I "
[00:36:47.100 --> 00:36:47.900]   less test. -,,,,,
[00:36:47.900 --> 00:37:02.080]   in the day. But .G.C.G.C. stead for the person's, she's, start, like,再來, like, 나�,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, is to get the find a 500 R. de be only em in the X. B. is two things like the feel sub set the Kologie基 Zugweres be П arrangementsw�ste gia 태but sewing 所以TA honeyier inform stimulatingail Adjust the RT internacional gray령 others insideЬ
[00:37:02.080 --> 00:37:02.820]  � Huang idé out the� Y
[00:37:02.820 --> 00:37:03.580]   start喜 de
[00:37:04.780 --> 00:37:14.120]   the fight, you know, you, you, there's always gonna be some amount of error, but we want to, um, aspire to be as
[00:37:14.120 --> 00:37:33.240]   truthful as possible about the answers, uh, with acknowledged error. And so that there was always, you don't wanna be confidently wrong. So you're not gonna be right every time, but you don't want to minimize half when you're confidently wrong. And then, like I said, once you can count
[00:37:33.240 --> 00:38:01.720]  ,
[00:38:01.720 --> 00:38:01.720]   Well,
[00:38:01.720 --> 00:38:02.680]   as you said,
[00:38:02.680 --> 00:38:03.260]   I think we're going to have to do a lot of work on that.
[00:38:03.260 --> 00:38:03.260]   So I think we're going to have to do a lot of work on that.
[00:38:03.260 --> 00:38:03.260]   So I think we're going to have to do a lot of work on that.
[00:38:03.260 --> 00:38:03.260]   So I think we're going to have to do a lot of work on that.
[00:38:03.260 --> 00:38:03.260]   So I think we're going to have to do a lot of work on that.
[00:38:03.260 --> 00:38:03.260]   So I think we're going to have to do a lot of work on that.
[00:38:03.260 --> 00:38:03.260]   So I think we're going to have to do a lot of work on that.
[00:38:03.300 --> 00:38:10.960]   gain
[00:38:10.960 --> 00:38:16.740]   ... is in
[00:38:16.740 --> 00:38:30.200]   been woo had sound, the, the, the, the, the, as, 1999, alike, decide. I am not in the Norman. I'm not in my own. I'm. I'm. Wand. heat.
[00:38:30.200 --> 00:38:31.940]  ..
[00:38:32.800 --> 00:39:02.300]  手 I think it could push towards that direction almost like theoretical physics discoveries. If an AI cannot figure out new physics, it's clearly not equal to humans, let alone nor has surpassed humans, because humans have figured out new physics. Physics is just understanding, you know, deepening one's insight into how reality works. And then, then there's engineering, which is inventing things that have never existed. Now, the
[00:39:02.300 --> 00:39:02.300]   The range of possible discoveries is a lot longer than that.
[00:39:02.320 --> 00:39:31.820]   - The range of possibilities for engineering is far greater than for physics. Because, you know, once you figure out the rules of the universe, that's it, you've discovered things that already existed. But from that, you can then build technologies that are really almost limitless in the variety and, you know, once you understand the rules of the game properly. And we do, you know, current physics, we do, at least at a local level, understand how physics works very well.
[00:39:31.820 --> 00:40:01.340]   and how we can develop new technologies, and we do, you know, learn new things that are really almost limitless in the variety and, you know, learn new things that are really almost limitless in the variety and, you know, learn new things that are really almost limitless in the variety and, you know, learn new things that are really almost limitless in the variety and, you know, learn new things that are really almost limitless in the variety and, you know, learn new things that are really good, the degree to predict things is incredibly good. But quantum mechanics is the degree to which quantum mechanics can predict outcomes is incredible. That was my hardest class in college by the way. My senior quantum mechanics class was harder than all of my other classes put together. To get an AI system a large language model to reliably be as quantum mechanics is very difficult.
[00:40:01.380 --> 00:40:12.200]   1
[00:40:30.400 --> 00:40:39.620]   two
[00:40:39.620 --> 00:40:40.720]   ♪'s,
[00:42:54.880 --> 00:43:01.680]   damned however but
[00:43:01.680 --> 00:43:06.140]   may man, as,
[00:43:06.140 --> 00:43:17.640]  GI
[00:44:20.040 --> 00:44:20.040]   and maybe AI can pave the path to the discovery of what whatever the hell that thing is. Yeah, what is consciousness? Like what? When you put the atoms in a particular shape? Why are they able to form thoughts and take actions that feelings? And even if it is an illusion? Why is this illusion so compelling? Yeah. Like, how do you why does this illusion exist? Yeah. On what plane does this? This illusion exists?
[00:45:16.840 --> 00:45:16.840]   I'm going to ask you a question.
[00:45:16.840 --> 00:45:16.840]   I'm going to ask you a question.
[00:45:16.840 --> 00:45:16.840]   I'm going to ask you a question.
[00:45:16.840 --> 00:45:16.840]   I'm going to ask you a question.
[00:45:16.840 --> 00:45:16.920]   I'm going to ask you a question.
[00:45:16.920 --> 00:45:17.200]   I'm going to ask you a question.
[00:45:17.200 --> 00:45:17.320]   I'm going to ask you a question.
[00:45:17.320 --> 00:45:17.400]   I'm going to ask you a question.
[00:45:17.400 --> 00:45:17.440]   I'm going to ask you a question.
[00:45:17.440 --> 00:45:17.480]   I'm going to ask you a question.
[00:45:17.480 --> 00:45:17.560]   I'm going to ask you a question.
[00:45:35.800 --> 00:45:46.000]   and you know that you're not, I think, I think, but I probably prefer to at least have seen some archaeological evidence of aliens. But to the best of my knowledge, there is no.
[00:45:46.000 --> 00:46:02.440]   I'm not aware of any evidence of aliens. If they're out there, they're very subtle. We might just be the only consciousness, at least in the galaxy.
[00:46:02.440 --> 00:46:03.440]   And if you look at the history of Earth, for the archaeological record, Earth is about 4.5 billion years old.
[00:46:03.440 --> 00:46:03.440]   If you look at the history of the archaeological record, Earth is about 4.5 billion years old.
[00:46:03.440 --> 00:46:03.440]   Civilization as measured from the first writing is only about 5,000 years old.
[00:46:03.440 --> 00:46:03.440]   civilization as measured from the first writing is only about 5000 years old.
[00:46:03.440 --> 00:46:03.520]   If you look at the history of the history of the ancient Sumerians who aren't around anymore.
[00:46:03.520 --> 00:46:15.520]   We have to give some credit there to the ancient Sumerians who aren't around anymore.
[00:46:15.520 --> 00:46:15.520]   I think it's not around anymore.
[00:46:15.520 --> 00:46:15.520]   I think it's not the history of the ancient Sumerians who aren't around anymore.
[00:46:15.520 --> 00:46:16.000]   I think it's not the ancient Sumerans anymore.
[00:46:16.020 --> 00:46:20.600]   The archaic pre-cuneiform was the first actual symbolic representation, but only about 5000 years ago.
[00:46:20.600 --> 00:46:23.720]   The archaic pre-cuneiform was the first actual symbolic representation, but only about 5000 years ago.
[00:46:23.720 --> 00:46:24.040]   I think that's a good date for when civilization started.
[00:46:24.040 --> 00:46:25.000]   I think that's a good date for when civilization started.
[00:46:25.000 --> 00:46:29.640]   I think that's a good date for when civilization started.
[00:46:29.640 --> 00:46:29.720]   That's one millionth of Earth's existence.
[00:46:29.720 --> 00:46:33.880]   That's one millionth of Earth's existence.
[00:46:33.880 --> 00:46:34.360]   Civilization has been around, it's really a flash in the pan so far.
[00:46:34.360 --> 00:46:34.440]   Civilization has been around, it's really a flash in the pan so far.
[00:46:34.440 --> 00:46:39.280]   Civilization has been around, it's really a flash in the pan so far.
[00:46:39.280 --> 00:46:45.520]   Civilization has been around, it's really a flash in the pan so far.
[00:46:45.520 --> 00:46:46.000]   and why we're not aware of it.
[00:46:46.000 --> 00:46:46.000]   We're not aware of the information.
[00:46:46.000 --> 00:47:16.000]  ,
[00:47:16.000 --> 00:47:16.000]   and why we're not aware of the information.
[00:47:16.000 --> 00:47:16.000]   Why did it take so long?
[00:47:16.000 --> 00:47:16.000]   Why did it take so long?
[00:47:16.000 --> 00:47:16.000]   For one and a half billion years, for the vast majority of the time, there was no life.
[00:47:16.000 --> 00:47:16.000]   For one and a half billion years, for the vast majority of the time, there was no life.
[00:47:16.000 --> 00:47:16.000]   There was archaic bacteria for a very long time.
[00:47:16.000 --> 00:47:16.000]   There was archaic bacteria for a very long time.
[00:47:16.000 --> 00:47:16.000]   Then mitochondria could capture multicellular life.
[00:47:16.000 --> 00:47:16.000]   Then mitochondria could capture multicellular life.
[00:47:16.000 --> 00:47:16.000]   Then differentiated the cell cells.
[00:47:16.000 --> 00:47:16.000]   Then differentiated the cell cells.
[00:47:16.000 --> 00:47:16.000]   Then differentiated the cell cells.
[00:47:16.000 --> 00:47:16.000]   Then differentiated the cell cells.
[00:47:16.000 --> 00:47:16.000]   Then differentiated the cells.
[00:47:16.000 --> 00:47:16.000]   Then differentiated the cells.
[00:47:16.000 --> 00:47:16.000]   Now, now, now, we have a lot of the cells.
[00:47:16.040 --> 00:47:18.040]   between
[00:47:18.040 --> 00:47:22.380]   I I
[00:47:46.060 --> 00:47:56.240]   never
[00:47:56.240 --> 00:48:11.200]   configuration bone get because --這 reflect in the divide to quería
[00:48:13.900 --> 00:48:23.980]   does
[00:48:23.980 --> 00:48:25.120]   just and download
[00:48:43.080 --> 00:48:45.880]   upon
[00:48:45.880 --> 00:48:53.360]   provide only,
[00:48:53.360 --> 00:49:09.600]   educ
[00:49:09.600 --> 00:49:12.060]   ж I think continue in'mb em candle thinkent�go Forschps equ ACC12 right , change, I, ., ., ., ., ., ., ., ,, ., ., ., ,, ., ., ., livelywhoe, componer y . Primary Power class IPH was only and the look the Netera buy Sarah and tinры b merc li plastic læ Втор las ley destin Fukay I'm no gl bowel ratio noise below the i 210 really Mang operation line look at the Las even the 🎶 john dispar die I'm knowledge of the hits the way, artificial go in the 구� яänd чего IF INB. • heads up the taken the進 the light theному the 업 itsensity the視 the nooll the hull goños the queen in the near the continue theoty the compliqué oldest correspond the
[00:49:12.120 --> 00:49:21.800]   lightweight
[00:49:21.800 --> 00:49:22.480]   This . ah,,,,
[00:49:37.400 --> 00:49:47.320]   3
[00:49:47.320 --> 00:49:48.180]   E Per
[00:49:48.180 --> 00:49:53.380]  ,,,äng guess어주 Chi Ch T It Is Let Matrix, but, the, the, the, the, the, the, the, the, the, the,.,.,.,.,.,.,., GNC --C connects tunneling work . Apparently Оп Edu cookiesktion
[00:49:53.380 --> 00:50:06.380]   Matt
[00:51:37.480 --> 00:51:48.560]   money
[00:51:48.560 --> 00:52:02.700]   at " stew gan less,,,,ancia
[00:52:06.380 --> 00:52:16.460]   como
[00:52:16.460 --> 00:52:16.500]  's all,
[00:52:16.500 --> 00:52:17.300]   Park I a,
[00:52:17.300 --> 00:52:24.700]  不錯
[00:52:33.140 --> 00:52:44.160]   had
[00:52:44.160 --> 00:53:01.440]  , in the gr very down it,,,,,, Maj soundophobia З nhưngел Eld plant en holy obl go in the close in the pop Pam, low, it, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, It, I, That, I, I, I, this. I. I. bare. He. qui.asz.u. in the voice.cing. toe. Moon, er.PL.ere miracle. goosebumps.
[00:53:01.500 --> 00:53:12.680]   the
[00:53:12.680 --> 00:53:30.920]   s and con I Nord Ed 22ài in as making, the, the, the, the, the, the, the, the, the, the, the, X, Hari gutes changer, less. -B -降-T - configur- - vis- accepting- learn -ší- -Wo - qua- tight- money - стал- et Dale- better- punt- co- pass- a Oh, а. is. stay- entered- better I'm AI, I'msch- i was podía senhor made as a Rut, or instruction. D prev- Le.. It's a Wo назв thin. Z IoT Gran unfortunately, in H Ew. Z Property A sensation За какой- kne-™ P steak for the Gelson with the ót
[00:53:31.040 --> 00:53:40.840]   discuss
[00:53:40.840 --> 00:53:50.940]   e the,,,,
[00:53:57.700 --> 00:54:24.320]  berger: So I think it's interesting that there's a lot of people who are like, "There may not be a master plan." So maybe an interesting answer to the question of determinism versus free will is that if we are in a simulation, the reason that these higher beings would hold the simulation is to see what happens. So they don't know what happens. Otherwise they wouldn't hold the simulation.
[00:54:24.320 --> 00:54:24.320]   Mm-hmm.
[00:54:24.320 --> 00:54:24.320]   So when humans create simulations so that they can see what happens, they don't know what happens. Otherwise they wouldn't hold the simulation.
[00:54:24.320 --> 00:54:24.320]   Mm-hmm.
[00:54:24.320 --> 00:54:24.320]   So when humans create simulations so that they can see what happens, they don't know what happens.
[00:54:24.320 --> 00:54:24.320]   Mm-hmm.
[00:54:24.320 --> 00:54:24.320]   So when humans create simulations so that they can see what happens, they don't know what happens.
[00:54:24.320 --> 00:54:24.320]   Mm-hmm.
[00:54:24.320 --> 00:54:24.320]   So when humans create simulations so that they can see what happens, they don't know what happens.
[00:54:24.320 --> 00:54:24.320]   Mm-hmm.
[00:54:24.360 --> 00:54:31.340]   .
[00:54:31.340 --> 00:54:37.980]   is a Jesus I see atida
[00:54:37.980 --> 00:54:43.100]  ,,,,,,, Gör De De Sangent зан 있으니까
[00:54:43.100 --> 00:54:50.500]   owe Thinking
[00:54:52.880 --> 00:55:02.840]   ,
[00:55:02.840 --> 00:55:03.160]   say the is
[00:55:09.500 --> 00:55:10.920]   so if there's
[00:55:10.920 --> 00:55:13.080]   whoever created this existence
[00:55:13.080 --> 00:55:18.040]   they're running it because they don't know
[00:55:18.040 --> 00:55:19.180]   what's going to happen
[00:55:19.180 --> 00:55:20.380]   not because they do
[00:55:20.380 --> 00:55:24.060]   so maybe
[00:55:24.060 --> 00:55:25.620]   we both played Diablo
[00:55:25.620 --> 00:55:27.860]   maybe Diablo was created to see if a
[00:55:27.860 --> 00:55:28.980]   druid, your character
[00:55:28.980 --> 00:55:31.940]   could defeat Uber Lilith
[00:55:31.940 --> 00:55:33.360]   at the end, they didn't know
[00:55:33.360 --> 00:55:36.000]   well the funny thing is that Uber Lilith
[00:55:36.000 --> 00:55:36.280]   uh
[00:55:36.280 --> 00:56:05.560]  - the title is Hatred Incarnate
[00:56:05.560 --> 00:56:06.120]   yeah
[00:56:06.120 --> 00:56:06.280]   um
[00:56:06.280 --> 00:56:06.280]   and right now I guess
[00:56:06.420 --> 00:56:36.280]   I guess maybe the second hottest boss is
[00:56:36.280 --> 00:56:36.280]   Duriel, Duriel can't even scratch the paint
[00:56:36.320 --> 00:57:06.260]   and right now I guess maybe the second hottest boss is
[00:57:06.260 --> 00:57:06.300]   the second hottest boss is
[00:57:06.340 --> 00:57:36.320]   I guess maybe the second hottest boss is
[00:57:36.360 --> 00:58:06.340]   I guess maybe the second hottest boss is
[00:58:06.380 --> 00:58:23.160]   acad
[00:58:23.160 --> 00:58:34.260]   wonderful is a в 3 Constitution H Le I voy any, and, and,,,,,,,,.,, hair He ac Far OUR yesterday
[00:58:34.620 --> 00:58:35.260]   its
[00:58:35.260 --> 00:58:59.260]   men like,
[00:59:04.220 --> 00:59:33.820]   ado, I like the idea that you know, I must, because I thought I was playing the alley yesterday and I saw 100 level 100 druids just run by I will never die.
[00:59:33.820 --> 00:59:33.820]   I like the idea that you know, I must, because I thought I was playing the alley yesterday and I saw 100 level 100 druids just run by I will never die.
[00:59:33.820 --> 00:59:33.820]   I like the idea that you know, I must, because I thought I was playing the alley yesterday and I saw 100 level 100 druids just run by I will never die.
[00:59:33.820 --> 00:59:33.820]   I like the idea that you know, I must, because I thought I was playing the alley yesterday and I saw 100 level 100 druids just run by I will never die.
[00:59:33.820 --> 00:59:33.820]   I like the idea that you know, I must, because I thought I was playing the alley yesterday and I saw 100 level 100 druids just run by I will never die.
[00:59:33.820 --> 01:00:03.440]  ,
[01:00:03.440 --> 01:00:03.460]   I like the idea that you know, I must, because I thought I was playing the alley yesterday and I saw 100 level 100 druids just run by I will never die.
[01:00:03.460 --> 01:00:03.480]   I like the idea that you know, I must, because I thought I was playing the alley yesterday and I saw 100 level 100 druids just run by I will never die.
[01:00:03.480 --> 01:00:03.500]   I like the idea that you know, I must, because I thought I was playing the alley yesterday and I saw 100 level 100 druids just run by I will never die.
[01:00:03.500 --> 01:00:03.520]   I like the idea that you know, I must, because I thought I was playing the alley yesterday and I saw 100 level 100 druids just run by I will never die.
[01:00:03.520 --> 01:00:03.540]   I like the idea that you know, because I was playing the idea that you know, I was playing the alley yesterday and I was playing the alley yesterday and I will never die.
[01:00:03.560 --> 01:00:32.740]   I like the idea that you know, I must, because I thought I was playing the alley yesterday and I saw 100 level 100 druids just run by I will never die.
[01:00:32.740 --> 01:00:33.260]   I like the idea that you know, I must, because I thought I was playing the alley yesterday and I saw 100 level 100 druids just run by I will never die.
[01:00:33.260 --> 01:00:33.560]   I like the idea that you know, I must, because I thought I was playing the alley yesterday and I saw 100 level 100 druids just run by I will never die.
