
[00:00:00.040 --> 00:00:09.760]   rested this
[00:37:16.140 --> 00:37:17.680]   scientists may not be interested in this and might not have a theory about
[00:37:17.680 --> 00:37:20.360]   this and might not have a theory about this but I have difficulty explaining
[00:37:20.360 --> 00:37:23.140]   this but I have difficulty explaining it away and so you could say maybe this is
[00:37:23.140 --> 00:37:25.020]   it away and so you could say maybe this is the superstition maybe it's a false
[00:37:25.020 --> 00:37:26.720]   the superstition maybe it's a false memory or maybe it's a little bit of
[00:37:26.720 --> 00:37:29.480]   memory or maybe it's a little bit of psychosis who knows maybe somebody
[00:37:29.480 --> 00:37:30.720]   psychosis who knows maybe somebody wants to make their own life more
[00:37:31.520 --> 00:37:59.880]  , or maybe somebody wants to make their own life more interesting or misremembered
[00:37:59.900 --> 00:38:02.260]   interesting or misremembered that is sending information over all
[00:38:02.260 --> 00:38:05.500]   that is sending information over all sorts of channels like maybe just
[00:38:05.500 --> 00:38:08.200]   sorts of channels like maybe just electromagnetic radio signals that
[00:38:08.200 --> 00:38:10.040]   electromagnetic radio signals that you're sending over long distances and
[00:38:10.040 --> 00:38:12.160]   you're sending over long distances and you get attuned to another person that
[00:38:12.160 --> 00:38:14.700]   you get attuned to another person that you spend enough time with to get a few
[00:38:14.700 --> 00:38:17.380]   you spend enough time with to get a few bits out of the ether to figure out
[00:38:17.380 --> 00:38:19.760]   bits out of the ether to figure out what this person is doing or maybe it's
[00:38:19.760 --> 00:38:21.000]   what this person is doing or maybe it's also when you are very close to
[00:38:21.000 --> 00:38:22.840]   also when you are very close to somebody and you become empathetic with
[00:38:22.840 --> 00:38:24.760]   somebody and you become empathetic with them what happens that is that you go
[00:38:24.760 --> 00:38:26.680]   them what happens that is that you go into a resonance state system right
[00:38:26.680 --> 00:38:29.040]   into a resonance state system right similar to when people go into a
[00:38:29.180 --> 00:38:59.080]  , they go into a trans state and they start shifting a video board around on
[00:38:59.100 --> 00:39:02.400]   they go into a trans state and they start shifting a video board around on their own and how would that work but if you are very
[00:39:02.400 --> 00:39:04.720]   their own and how would that work but if you are very close to someone you pick up all sorts of
[00:39:04.720 --> 00:39:07.200]   close to someone you pick up all sorts of signals from their body not just by your
[00:39:07.200 --> 00:39:11.120]   signals from their body not just by your eyes but with your entire body and if the
[00:39:11.120 --> 00:39:12.720]   eyes but with your entire body and if the nervous system sits on the other side
[00:39:12.720 --> 00:39:14.080]   nervous system sits on the other side and the intercellular communication
[00:39:14.080 --> 00:39:15.280]   and the intercellular communication sits on the other side and it's
[00:39:15.280 --> 00:39:17.440]   sits on the other side and it's integrating over all these signals you
[00:39:17.440 --> 00:39:19.200]   integrating over all these signals you can make inferences about the state of
[00:39:19.200 --> 00:39:21.040]   can make inferences about the state of the other and it's not just the personal
[00:39:21.040 --> 00:39:22.800]   the other and it's not just the personal self that does this via reasoning but
[00:39:22.820 --> 00:39:47.480]   your perceptual system and what basically happens is that your interact
[00:39:47.480 --> 00:39:48.920]   your perceptual system and what basically happens is that your interact representations are directly interacting the
[00:39:48.920 --> 00:39:49.880]   representations are directly interacting the physical resonant models of the universe that exist in
[00:39:49.880 --> 00:39:51.000]   physical resonant models of the universe that exist in your nervous system and in your body
[00:39:51.000 --> 00:39:51.880]   your nervous system and in your body might go into resonance with others and start
[00:39:51.880 --> 00:39:52.840]   might go into resonance with others and start sharing some of their states so you basically buy
[00:39:53.040 --> 00:40:22.800]   in sharing some of their states so you basically buy that and then you're able to do the same thing
[00:40:22.840 --> 00:40:27.120]   All
[00:40:27.120 --> 00:40:51.660]   '. like "
[00:40:52.780 --> 00:41:22.720]   It's interesting though that at this time
[00:41:22.720 --> 00:41:22.720]   Корi Sutherland: I think it's interesting that at this time
[00:41:22.720 --> 00:41:22.720]   It's interesting though that at this time
[00:41:22.720 --> 00:41:22.720]   It's interesting though that at this time
[00:41:22.720 --> 00:41:22.720]   It's interesting though that at this time
[00:41:22.720 --> 00:41:22.720]   It's interesting though that at this time
[00:41:22.720 --> 00:41:22.720]   It's interesting though that at this time
[00:41:22.720 --> 00:41:22.720]   It's interesting though that at this time it's
[00:41:22.720 --> 00:41:22.720]   It's interesting though that at this time it's not
[00:41:22.720 --> 00:41:22.720]   It's interesting though that at this time it's not just a
[00:41:22.720 --> 00:41:22.720]   It's interesting though that at this time it's not just a
[00:41:22.720 --> 00:41:22.760]   It's interesting though that at this time it's not just a very simple thing.
[00:41:22.760 --> 00:41:22.760]   time it's not just a very simple thing.
[00:41:22.800 --> 00:41:52.800]  ,
[00:41:52.800 --> 00:41:52.800]   It's interesting though that at this time it's not just a very simple thing.
[00:41:52.800 --> 00:41:52.800]   It's interesting though that at this time it's not just a very simple thing.
[00:41:52.800 --> 00:41:52.800]   It's interesting though that at this time it's not just a very simple thing.
[00:41:52.800 --> 00:41:52.800]   It's interesting though that at this time it's not just a very simple thing.
[00:41:52.800 --> 00:41:52.800]   It's interesting though that at this time it's not just a very simple thing.
[00:41:52.800 --> 00:41:52.800]   It's interesting though that at this time it's not just a very simple thing.
[00:41:52.800 --> 00:41:52.800]   It's interesting though that at this time it's not just a very simple thing.
[00:41:52.800 --> 00:41:52.800]   It's interesting though that at this time it's not just a very simple thing.
[00:41:52.800 --> 00:41:52.800]   It's interesting though that at this time it's not just a very simple thing.
[00:41:52.840 --> 00:42:03.280]   at
[00:42:03.280 --> 00:42:19.520]   Od So satisfy the'sisu
[00:42:19.520 --> 00:42:21.260]  , in, went,,,,,,,,,, min. shade fáent descent вторabout
[00:42:22.000 --> 00:42:48.920]  uet that determines how these cells are interacting in such a way that order emerges on the next level of structure. The principle of coherence of imposing constraints that are not validated by the individual parts and lead to coherent structure to basically transcend the agency where you form an agent on the next level of organization is crucial in this perspective.
[00:42:51.160 --> 00:42:56.480]   shouldn
[00:42:56.480 --> 00:43:02.060]   personnel it.
[00:43:02.060 --> 00:43:02.100]   operate they,,,, in the beyond the about cut touard
[00:43:02.100 --> 00:43:15.460]   Abdul
[00:43:15.460 --> 00:43:21.140]   remember
[00:43:21.180 --> 00:43:22.780]   connection
[00:43:22.780 --> 00:43:32.080]   in, but,
[00:43:32.080 --> 00:43:47.840]   say laarians
[00:43:49.940 --> 00:44:00.340]   dist all
[00:44:00.340 --> 00:44:18.820]  est, get, word, 12,陳 say like discuss the be justת OF B E De I I assume at good and i Привет and provide the個 me, and, and, and, and, and, and, and, and, and, and, and, and,,,,,,,,,,,,,,,,,,,, this is just. divide my offers herっ� min culprit escaped LEE blo良per chose be
[00:44:18.860 --> 00:44:29.140]   let
[00:44:29.140 --> 00:44:38.800]   F C er hell kill let find hard in the itself Stern Gift uncomfortable
[00:44:48.420 --> 00:45:17.980]   I understand how I would be able to survive on this world and build the things that I was interested in the kinds of relationship I needed to work on the topics that I wanted to make progress on. And so I had to learn and I for me Twitter is not some tool of publication. It's not something where I put stuff that I entirely believe to be true and provable. It's an interactive notebook in which I explore possibilities. And I found that when I tried to understand how the mind and how
[00:45:17.980 --> 00:45:17.980]   I found that when I tried to understand how the mind and how
[00:45:18.000 --> 00:45:47.560]   I found that when I tried to understand how the mind and how consciousness works, I was quite optimistic. I thought I need to need to be a big body of knowledge that I can just study and that works. And so I entered studies in philosophy and computer science, and later psychology and a bit of neuroscience and so on. And I was disappointed by what I found because I found that the questions of how consciousness and so on works, how emotion works, how it's possible that the system can experience anything, and I was disappointed by what I found because I found that the questions of how consciousness and so on works, how emotion works, how it's possible that the system can experience anything,
[00:45:47.600 --> 00:46:17.140]  , how motivation emerges in the mind, were not being answered by the authorities that I met and the schools that were around. And instead, I found that with individual thinkers that had useful ideas that sometimes were good, sometimes were not so good, sometimes were adopted by a large group of people, sometimes were rejected by large groups of people, but for me it was much more interesting to see these minds as individuals. And in my perspective, thinking about the mind as a whole,
[00:46:17.180 --> 00:46:27.220]   Xiang,,, as
[00:46:27.220 --> 00:46:28.220]   plate all you are �
[00:46:28.220 --> 00:46:45.440]   « De nasty
[00:46:47.200 --> 00:46:56.820]   in
[00:46:56.820 --> 00:47:14.440]   thank at,,, de Freeman
[00:47:15.940 --> 00:47:18.780]   ad
[00:47:18.780 --> 00:47:44.200]   animal. tough. check開
[00:47:44.200 --> 00:47:44.720]   100 Iíveis HA объяс票 de rzeczy, and, and, and, and, in, and, or, and, and, and, Teachingwo О walked relig eventually turn, isier.reck. I, old, jewels.遊,orn,esser,olt., dari, anything, garlic,,,, HTML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, wake00. in, tracking, makes the ac pest at MCI thoughablі que
[00:47:44.980 --> 00:48:07.980]   speak, or when a large group of people has a certain idea that is different from mine, I don't necessarily feel intimidated, which has often been a problem for me in my life because I like instincts that other people develop at a very young age and that helps with their self preservation in a social environment. So I had to learn a lot of things the hard way.
[00:48:07.980 --> 00:48:13.760]   Yeah. So is there a practical advice you can give how to think better?
[00:48:13.760 --> 00:48:13.760]   Yeah. So is there a practical advice you can give how to think better?
[00:48:13.760 --> 00:48:13.760]   Yeah. So is there a practical advice you can give how to think better?
[00:48:13.760 --> 00:48:13.760]   Yeah. So is there a practical advice you can give how to think better?
[00:48:13.760 --> 00:48:13.760]   Yeah. So is there a practical advice you can give how to think better?
[00:48:13.760 --> 00:48:13.760]   Yeah. So is there a practical advice you can give how to think better?
[00:48:13.760 --> 00:48:13.760]   Yeah. So is there a practical advice you can give how to think better?
[00:48:13.800 --> 00:48:21.680]  93
[00:48:21.680 --> 00:48:24.100]   있으면 h are with
[00:48:24.100 --> 00:48:32.000]  omin
[00:49:13.800 --> 00:49:13.800]  ,
[00:49:13.800 --> 00:49:13.800]   and
[00:49:13.800 --> 00:49:13.800]   and
[00:49:13.800 --> 00:49:13.800]   I think that we can do that. We can practice it.
[00:49:13.800 --> 00:49:13.800]   And I think that we can do that. We can practice it.
[00:49:13.800 --> 00:49:13.800]   It's a very basic question when you read a theory that you find convincing or interesting. How do you know? It's very interesting to figure out what are the sources of that other person, not which authority can they refer to that is then taking off the burden of being truthful. But how does this authority in turn know? What is the epistemic chain to observable solutions?
[00:49:13.800 --> 00:49:13.800]   What is the epistemic chain to observable solutions?
[00:49:13.800 --> 00:49:13.800]   What is the epistemic chain to observable solutions?
[00:49:43.820 --> 00:49:43.820]   - Yes.
[00:49:43.820 --> 00:49:43.820]   - Yes.
[00:49:43.820 --> 00:50:13.840]   - Yes.
[00:50:44.820 --> 00:51:13.880]   'Cause I'm not sure if I'm not saying it right now. But I think that's a good question.
[00:51:13.880 --> 00:51:13.880]   - Yes. - I think that's a good question.
[00:51:43.940 --> 00:51:59.700]   - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - Yes. - is the modalities, the distinction between the modalities throw that away, the distinction between the modeling of the modalities,
[00:51:59.700 --> 00:52:15.920]   the distinction between the individuals that throw that away. So what does this interaction representations look like?
[00:52:15.920 --> 00:52:22.180]   - When you think about how you represent the interaction of us and this room, at some level, the modalities are quite distinct.
[00:52:22.180 --> 00:52:28.920]   They're not completely distinct, but you can see this as vision, you can close your eyes and then you don't see a lot anymore,
[00:52:28.920 --> 00:52:29.720]   but you still imagine that you can see this as a vision, you can close your eyes and then you don't see a lot anymore, but you still imagine that you can see a lot,
[00:52:29.740 --> 00:52:35.060]   and you can imagine how my mouth is moving when you hear something.
[00:52:35.060 --> 00:52:36.060]   And you know that it's very close to the sound that you can just open your eyes,
[00:52:36.060 --> 00:52:38.540]   And you know that it's very close to the sound that you can just open your eyes,
[00:52:38.540 --> 00:52:41.360]   and you get back into this shared merge space.
[00:52:41.360 --> 00:52:44.360]   And we also have these experiments that we noticed that the way in which my lips are moving are affecting how you hear the sound,
[00:52:44.360 --> 00:52:45.700]   And we also have these experiments that we noticed that the way in which my lips are moving are affecting how you hear the sound,
[00:52:45.700 --> 00:52:48.700]   And also vice versa, the sounds that you're hearing have an influence on how you interpret some of the visual features.
[00:52:48.700 --> 00:52:51.660]   And also vice versa, the sounds that you're hearing have an influence on how you interpret some of the visual features.
[00:52:51.660 --> 00:52:53.940]   And so these modalities are not separate in the way that you're hearing the sound.
[00:52:53.960 --> 00:53:23.960]   And your own interactions in the scene are also not completely separate from the interactions of the other individual in the scene,
[00:53:23.960 --> 00:53:23.960]   But there is some resonance that is going on, where we also have a degree of shared mental representations and shared empathy due to being in the same space and having vibes between the two.
[00:53:23.960 --> 00:53:23.960]   And so these modalities are not separate in your mind, they are merged at some fundamental level where you are interpreting the entire scene that you're in.
[00:53:23.960 --> 00:53:23.960]   And your own interactions in the scene are also not completely separate from the interactions of the other individual in the scene,
[00:53:23.960 --> 00:53:23.960]   But there is some resonance that is going on where we also have a degree of shared mental representations and shared empathy due to being in the same space and having vibes between the two.
[00:53:23.960 --> 00:53:23.960]  ,
[00:53:23.960 --> 00:53:23.960]   And your own interactions in the scenes are also have an interpretation of shared empathy due to being in the same spaces and shared empathy due to being in the same space and having vibes between the same spaces and having vibes between the sounds
[00:53:23.960 --> 00:53:23.960]  ,
[00:53:24.000 --> 00:53:53.980]  ,
[00:53:54.020 --> 00:54:24.000]  ,
[00:54:24.020 --> 00:54:54.020]   ,,
[00:54:54.020 --> 00:54:54.020]  ,
[00:54:54.020 --> 00:54:54.020]   ,
[00:54:54.020 --> 00:54:54.020]   ,
[00:54:54.020 --> 00:54:54.020]   ,
[00:54:54.020 --> 00:54:54.020]   ,
[00:54:54.020 --> 00:54:54.020]   ,
[00:54:54.060 --> 00:55:03.760]   community
[00:55:03.760 --> 00:55:05.000]   land,
[00:55:48.260 --> 00:55:48.260]   and
[00:55:48.260 --> 00:55:48.260]   and
[00:55:48.300 --> 00:55:57.540]  xes south
[00:55:57.540 --> 00:55:58.180]   RA M E
[00:55:58.180 --> 00:56:08.200]  ,,,,,
[00:56:18.300 --> 00:56:48.300]   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[00:56:48.300 --> 00:56:48.300]   The mind is self organizing. Basically it needs to, in some sense, reward the self for computing the mind, for building a
[00:56:48.300 --> 00:56:48.300]   The mind is self organizing. Basically it needs to, in some sense, reward the self for computing the mind, for building a
[00:56:48.300 --> 00:56:48.300]   The mind is self organizing. Basically it needs to, in some sense, reward the self for computing the mind, for building a
[00:56:48.300 --> 00:56:48.300]   The mind is self organizing. Basically it needs to, in some sense, reward the self for computing the mind, for building a
[00:56:48.300 --> 00:56:48.300]   The mind is self organizing. Basically it needs to, in some sense, reward the self for computing the mind, for building a
[00:56:48.340 --> 00:56:58.380]   a
[00:59:09.300 --> 00:59:10.340]   an interesting question is whether the communication and the organization principles of biological information processing are as complicated as the technology that we've built.
[00:59:10.340 --> 00:59:10.340]   An interesting question is whether the communication and the organization principles of biological information processing are as complicated as the technology that we've built.
[00:59:10.340 --> 00:59:10.340]   An interesting question is whether the communication and the organization principles of biological information processing are as complicated as the technology that we've built.
[00:59:10.340 --> 00:59:10.340]   An interesting question is whether the communication and the organization principles of biological information processing are as complicated as the technology that we've built.
[00:59:10.340 --> 00:59:10.340]   An interesting question is whether the communication and the organization principles of biological information processing are as complicated as the technology that we've built.
[00:59:10.340 --> 00:59:10.340]   An interesting question is whether the communication and the organization principles of biological information processing are as complicated as the technology that we've built.
[00:59:10.340 --> 00:59:10.340]   An interesting question is whether the communication and the organization principles of biological information processing are as complicated as the technology that we've built.
[00:59:40.380 --> 00:59:42.420]   class
[00:59:42.420 --> 01:00:10.360]   in the,
[01:00:10.400 --> 01:00:10.500]   cc,
[01:00:10.500 --> 01:00:10.580]   cc,
[01:00:10.580 --> 01:00:10.640]   cc,
[01:00:10.640 --> 01:00:10.680]   cc,
[01:00:10.680 --> 01:00:10.700]   cc,
[01:00:10.700 --> 01:00:10.760]   cc,
[01:00:10.760 --> 01:00:10.760]   cc,
[01:00:10.760 --> 01:00:10.780]   cc,
[01:00:10.780 --> 01:00:10.800]   cc,
[01:00:10.800 --> 01:00:11.240]   cc,
[01:00:11.240 --> 01:00:11.280]   cc,
[01:00:11.280 --> 01:00:11.300]   cc,
[01:00:11.300 --> 01:00:11.380]   cc,
[01:00:11.380 --> 01:00:12.400]   cc,
[01:00:12.400 --> 01:00:12.540]   cc,
[01:00:12.540 --> 01:00:12.560]   cc,
[01:00:12.560 --> 01:00:12.580]   cc,
[01:00:12.580 --> 01:00:12.600]   cc,
[01:00:12.600 --> 01:00:12.620]   cc,
[01:00:12.620 --> 01:00:12.660]   cc,
[01:00:12.660 --> 01:00:12.680]   cc,
[01:00:12.680 --> 01:00:12.700]   cc,
[01:00:12.700 --> 01:00:12.760]   cc,
[01:00:12.760 --> 01:00:16.680]   ending of your tweet series.
[01:00:16.680 --> 01:00:17.880]   You write,
[01:00:17.880 --> 01:00:18.360]   quote,
[01:00:18.360 --> 01:00:20.160]   I wonder if self-improving AGI
[01:00:20.160 --> 01:00:22.720]   might end up saturating physical environments
[01:00:22.720 --> 01:00:25.440]   with intelligence to such a degree
[01:00:25.440 --> 01:00:27.900]   that isolation of individual mental states
[01:00:27.900 --> 01:00:29.380]   becomes almost impossible
[01:00:29.380 --> 01:00:32.220]   and the representations of all complex
[01:00:32.220 --> 01:00:35.340]   self-organizing agents merge permanently
[01:00:35.340 --> 01:00:36.780]   with each other.
[01:00:36.780 --> 01:00:39.840]   So that's a really interesting idea.
[01:00:39.840 --> 01:00:40.380]   That's a really interesting idea.
[01:00:40.400 --> 01:01:10.400]   I think that the end game of AGI
[01:01:10.400 --> 01:01:10.400]   is that it's not straight agnostic.
[01:01:10.400 --> 01:01:10.400]   That means that AGI
[01:01:10.400 --> 01:01:10.400]   is that it's not straight agnostic.
[01:01:10.400 --> 01:01:10.400]   That means that AGI
[01:01:10.400 --> 01:01:10.400]   is that it's not straight agnostic.
[01:01:10.400 --> 01:01:10.400]   That means that AGI
[01:01:10.400 --> 01:01:10.400]   is that it's not straight agnostic.
[01:01:10.400 --> 01:01:10.400]   That means that AGI
[01:01:10.400 --> 01:01:10.400]   is that it's not straight agnostic.
[01:01:10.400 --> 01:01:10.400]   That means that AGI
[01:01:10.400 --> 01:01:10.400]   is that it's not straight agnostic.
[01:01:10.400 --> 01:01:10.400]   That means that AGI
[01:01:10.400 --> 01:01:10.400]   is that it's not straight agnostic.
[01:01:10.400 --> 01:01:10.400]   That means that AGI is not straight agnostic.
[01:01:10.400 --> 01:01:10.400]   That means that AGI is not straight agnostic.
[01:01:10.400 --> 01:01:10.400]   That means that AGI is not straight agnostic.
[01:01:10.400 --> 01:01:10.400]   That means that AGI is not straight agnostic.
[01:01:10.400 --> 01:01:10.400]   That means that AGI is not straight agnostic.
[01:01:10.400 --> 01:01:40.420]   That means that AGI is not straight agnostic.
[01:01:40.420 --> 01:01:40.420]   That means that AGI is not straight agnostic.
[01:01:40.420 --> 01:01:40.420]   That means that AGI is not straight agnostic.
[01:01:40.420 --> 01:01:40.420]   That means that AGI is not straight agnostic.
[01:01:40.420 --> 01:01:40.420]   That means that AGI is not straight agnostic.
[01:01:40.420 --> 01:01:40.420]   That means that AGI is not straight agnostic.
[01:01:40.420 --> 01:01:40.420]   That means that AGI is not straight agnostic.
[01:01:40.420 --> 01:01:40.420]   That means that AGI is not straight agnostic.
[01:01:40.440 --> 01:02:10.440]   That means that AGI is not straight agnostic.
[01:02:10.440 --> 01:02:10.440]   That means that AGI is not straight agnostic.
[01:02:10.440 --> 01:02:10.440]   That means that AGI is not straight agnostic.
[01:02:10.440 --> 01:02:10.440]   That means that AGI is not straight agnostic.
[01:02:10.440 --> 01:02:10.440]   That means that AGI is not straight agnostic.
[01:02:10.440 --> 01:02:10.440]   That means that AGI is not straight agnostic.
[01:02:10.440 --> 01:02:10.440]   That means that AGI is not straight agnostic.
[01:02:10.440 --> 01:02:10.440]   That means that AGI is not straight agnostic.
[01:02:10.440 --> 01:02:10.440]   That means that AGI is not straight agnostic.
[01:02:10.440 --> 01:02:10.440]   That means that AGI is not straight agnostic.
[01:02:10.440 --> 01:02:10.440]   That means that AGI is not straight agnostic.
[01:02:10.440 --> 01:02:10.440]   That means that AGI is not straight agnostic.
[01:02:10.440 --> 01:02:10.440]   That means that AGI is not straight agnostic.
[01:02:10.440 --> 01:02:10.440]   That means that AGI is not straight agnostic.
[01:02:10.440 --> 01:02:10.440]   That means that AGI is not straight agnostic.
[01:02:10.440 --> 01:02:40.460]   That means that AGI is not straight agnostic.
[01:02:40.460 --> 01:02:40.460]   That means that AGI is not straight agnostic.
[01:02:40.460 --> 01:02:40.460]   That means that AGI is not straight agnostic.
[01:02:40.460 --> 01:02:40.460]   That means that AGI is not straight agnostic.
[01:02:40.460 --> 01:02:40.460]   That means that AGI is not straight agnostic.
[01:02:40.460 --> 01:02:40.460]   That means that AGI is not straight agnostic.
[01:02:40.460 --> 01:02:40.460]   That means that AGI is not straight agnostic.
[01:02:40.460 --> 01:02:40.460]   That means that AGI is not straight agnostic.
[01:02:40.460 --> 01:02:40.460]   That means that AGI is not straight agnostic.
[01:02:40.500 --> 01:02:50.840]   con
[01:02:50.840 --> 01:03:09.120]  주沒有 which, don De continued
[01:05:33.620 --> 01:05:33.620]   and so on.
[01:06:02.480 --> 01:06:02.480]   and so on. So if you combine this with the notion that systems are physically interacting to the point where their representations are merging and interacting with each other, you would literally implement something like this. It would still be a representational state, you would not be one with physics itself, it would still be coarse-grained, it would still be much slower than physics itself.
[01:06:02.480 --> 01:06:02.480]   It would still be coarse-grained, it would still be much slower than physics itself.
[01:06:02.480 --> 01:06:02.480]   It would still be coarse-grained, it would still be much slower than physics itself.
[01:06:02.480 --> 01:06:02.480]   It would still be coarse-grained, it would still be much slower than physics itself.
[01:06:02.480 --> 01:06:02.480]   It would still be coarse-grained, it would still be much slower than physics itself.
[01:06:02.480 --> 01:06:02.480]   It would still be coarse-grained, it would still be much slower than physics itself.
[01:06:02.500 --> 01:06:31.340]   It would still be coarse-grained, it would still be much slower than physics itself. But it would be a representation in which you become aware that you're part of some kind of global information processing system, like thought and a global mind. And a conscious thought that coexisting with many other self-reflective thoughts.
[01:06:31.340 --> 01:06:31.420]   It would still be coarse-grained, it would still be much slower than physics itself. But I would love to observe that from a video game design perspective, how that game looks.
[01:06:31.420 --> 01:06:31.440]  .
[01:06:31.440 --> 01:06:31.520]   Maybe you will, after we build AGI and it takes over.
[01:06:31.520 --> 01:06:32.520]   But would you be able to step away from the AGI and the AGI.
[01:06:32.560 --> 01:06:43.620]  ,
[01:06:43.620 --> 01:07:00.360]   I,
[01:07:30.400 --> 01:07:30.400]   I,
[01:07:30.400 --> 01:07:30.400]   I,
[01:07:30.400 --> 01:07:30.500]   I,
[01:07:30.500 --> 01:07:30.540]   I,
[01:07:30.540 --> 01:07:30.920]   I,
[01:07:30.920 --> 01:07:31.000]   I,
[01:07:31.000 --> 01:07:31.080]   I,
[01:07:59.200 --> 01:08:00.560]   to the game and hack it.
[01:08:01.000 --> 01:08:08.140]   is
[01:08:08.140 --> 01:08:11.160]   sex. they is.
[01:08:11.160 --> 01:08:30.820]   que yeah en saw the Lie, the, the, the, the, the, the, the, the, the, the, the, co, Samsung,, 8,GL,bright.M. あり».G. besten助 dense.R.當 no's just i'm not the end. timber en 가지實 and work. Baek and be thrown. Break. loi's immense. Energy is noРИ. it is the mass.hou. Kay. Men. zmian. Br. continue to be trying.ifica. 16. del get the. shading. wound.ão. ma law.avil.幫. round. Tem satisfy. div.第二 en signals. Hail. lie,共. see. el maintain the won. via the concert and the Un blind.sound. led, die, I'm done.� doesn, and the balance. Women's the義. 911, one. idea, tea, may, not, weigh the good,oured, automatically,
[01:08:30.920 --> 01:09:00.840]   I want to have an adequate experience that is serving my goals, the stuff that I find meaningful in this world. From the biggest questions of consciousness. Let's explore the pragmatic, the projections
[01:09:00.840 --> 01:09:00.840]   That I find meaningful in this world. From the biggest questions of consciousness. Let's explore the pragmatic, the projections
[01:09:00.840 --> 01:09:00.840]   Let's explore the pragmatic, the projections
[01:09:00.840 --> 01:09:00.840]   Let's explore the pragmatic, the projections
[01:09:00.840 --> 01:09:00.840]   Let's explore the pragmatic, the projections
[01:09:00.840 --> 01:09:00.840]   Let's explore the pragmatic, the projections that
[01:09:00.840 --> 01:09:00.840]   Let's explore the pragmatic, the projections that
[01:09:00.840 --> 01:09:00.840]   Let's explore the pragmatic, the projections that are
[01:09:00.840 --> 01:09:00.840]   Let's explore the pragmatic, the projections that are being made.
[01:09:00.840 --> 01:09:30.840]  , that are being made.
[01:09:30.840 --> 01:09:30.860]   the projections that are being made.
[01:09:30.860 --> 01:09:30.860]   Let's explore the pragmatic, the projections that are being made.
[01:09:30.860 --> 01:09:30.860]   Let's explore the pragmatic, the projections that are being made.
[01:09:30.860 --> 01:09:30.860]   Let's explore the pragmatic, the projections that are being made.
[01:09:30.860 --> 01:09:30.860]   Let's explore the pragmatic, the projections that are being made.
[01:09:30.860 --> 01:09:30.860]   Let's explore the pragmatic, the projections that are being made.
[01:09:30.860 --> 01:09:30.860]   Let's explore the pragmatic, the projections that are being made.
[01:09:30.860 --> 01:09:30.860]   Let's explore the pragmatic, the projections that are being made.
[01:09:30.860 --> 01:09:30.860]   Let's explore the pragmatic, the projections that are being made.
[01:09:30.880 --> 01:10:00.880]   Let's explore the pragmatic, the projections that are being made.
[01:10:00.880 --> 01:10:00.880]   We'll explore the pragmatic, the projections that are being made.
[01:10:00.880 --> 01:10:00.880]   We'll explore the pragmatic, the projections that are being made.
[01:10:00.880 --> 01:10:00.880]   We'll explore the pragmatic, the projections that are being made.
[01:10:00.880 --> 01:10:00.880]   We'll explore the pragmatic, the projections that are being made.
[01:10:00.880 --> 01:10:00.880]   We'll explore the pragmatic, the projections that are being made.
[01:10:00.880 --> 01:10:00.880]   We'll explore the pragmatic, the projections that are being made.
[01:10:00.880 --> 01:10:00.880]   We'll explore the pragmatic, the projections that are being made.
[01:10:00.880 --> 01:10:00.880]   We'll explore the pragmatic, the projections that are being made.
[01:10:00.880 --> 01:10:00.880]   We'll explore the pragmatic, the projections that are being made.
[01:10:00.880 --> 01:10:00.880]   We'll explore the pragmatic, the projections that are being made.
[01:10:00.880 --> 01:10:00.880]   We'll explore the pragmatic, the projections that are being made.
[01:10:00.880 --> 01:10:00.880]   We'll explore the pragmatic, the projections that are being made.
[01:10:00.880 --> 01:10:00.880]   We'll explore the pragmatic, the projections that are being made.
[01:10:00.880 --> 01:10:30.900]   We'll explore the pragmatic, the projections that are being made.
[01:10:30.900 --> 01:10:30.900]   We'll explore the pragmatic, the projections that are being made.
[01:10:30.900 --> 01:10:30.900]   We'll explore the pragmatic, the projections that are being made.
[01:10:30.900 --> 01:10:30.900]   We'll explore the pragmatic, the projections that are being made.
[01:10:30.900 --> 01:10:30.900]   We'll explore the pragmatic, the projections that are being made.
[01:10:30.900 --> 01:10:30.900]   We'll explore the pragmatic, the projections that are being made.
[01:10:30.900 --> 01:10:30.900]   We'll explore the pragmatic, the projections that are being made.
[01:10:30.900 --> 01:10:30.900]   We'll explore the pragmatic, the projections that are being made.
[01:10:30.920 --> 01:11:00.920]   I think it has a lot of upside, at least for me currently, at least perhaps because of the podcast.
[01:11:00.920 --> 01:11:00.920]   I think it has a lot of upside, at least for me currently, at least perhaps because of the podcast.
[01:11:00.920 --> 01:11:00.920]   I think it has a lot of upside, at least for me currently, at least perhaps because of the podcast.
[01:11:00.920 --> 01:11:00.920]   I think it has a lot of upside, at least for me currently, at least perhaps because of the podcast.
[01:11:00.920 --> 01:11:00.920]   I think it has a lot of upside, at least for me currently, at least perhaps because of the podcast.
