
[00:00:00.000 --> 00:00:13.780]   Well, good morning, everyone.
[00:38:26.200 --> 00:38:30.200]   while he was in Asia, this is verse 18,
[00:38:30.200 --> 00:38:35.200]   then verse 19, that he had been serving the Lord.
[00:38:35.200 --> 00:38:39.200]   And this gets to our first sub-point under character,
[00:38:39.200 --> 00:38:42.200]   and that is Paul's mindset for ministry.
[00:38:42.200 --> 00:38:47.200]   His mindset was a mindset of service.
[00:38:47.200 --> 00:38:52.200]   His motivation was a motivation of service.
[00:38:52.200 --> 00:38:55.200]   In fact, while Paul was with these Ephesians,
[00:38:55.200 --> 00:38:57.200]   while he was meeting with them daily
[00:38:57.200 --> 00:38:59.200]   in the school of Tyrannus,
[00:38:59.200 --> 00:39:01.200]   when he was writing 2 Corinthians,
[00:39:01.200 --> 00:39:03.200]   did he not say to the Corinthians,
[00:39:03.200 --> 00:39:06.200]   "We make it our ambition, whether at home or absent,
[00:39:06.200 --> 00:39:10.200]   "to be pleasing to Christ."
[00:39:10.200 --> 00:39:13.200]   And here we see Paul living that out,
[00:39:13.200 --> 00:39:16.200]   that he had come to Asia Minor and to Ephesus,
[00:39:16.200 --> 00:39:19.200]   and they themselves knew that Paul's heart for them
[00:39:19.200 --> 00:39:23.200]   was a heart of serving the Lord.
[00:39:23.200 --> 00:39:25.200]   And that service to the Lord
[00:39:25.200 --> 00:39:28.200]   manifest itself in three specific ways,
[00:39:28.200 --> 00:39:30.200]   as it says there in verse 19.
[00:39:30.200 --> 00:39:35.200]   It was serving the Lord with all humility,
[00:39:35.200 --> 00:39:42.200]   and with tears, and with trials.
[00:39:42.200 --> 00:39:47.200]   Trials that had come upon him through the plots of the Jews.
[00:39:47.200 --> 00:39:49.200]   I can't help but think of what Paul said
[00:39:49.200 --> 00:39:53.200]   in 2 Corinthians 11, again, written right around this time,
[00:39:53.200 --> 00:39:56.200]   where Paul outlines all of the things that he suffered,
[00:39:56.200 --> 00:39:58.200]   being beaten innumerable times,
[00:39:58.200 --> 00:40:00.200]   and scourged, and shipwrecked,
[00:40:00.200 --> 00:40:03.200]   and imprisoned, starving, and cold,
[00:40:03.200 --> 00:40:05.200]   and yet he says at the end of all of it,
[00:40:05.200 --> 00:40:07.200]   it was the care of the churches
[00:40:07.200 --> 00:40:10.200]   that was the real weight on his soul.
[00:40:10.200 --> 00:40:17.200]   And even in chapter 12, the thorn in the flesh.
[00:40:17.200 --> 00:40:24.200]   And here Paul says to these Ephesian elders,
[00:40:24.200 --> 00:40:27.200]   "Hey, remember, when I was with you,
[00:40:27.200 --> 00:40:30.200]   "my mindset was a mindset of service,
[00:40:30.200 --> 00:40:32.200]   "and it was selfless service."
[00:40:32.200 --> 00:40:33.200]   That's what humility is.
[00:40:33.200 --> 00:40:35.200]   "And it was sincere service."
[00:40:35.200 --> 00:40:37.200]   That's what the tears represent.
[00:40:37.200 --> 00:40:43.200]   "And it was sacrificial service, enduring many trials."
[00:40:43.200 --> 00:40:45.200]   I do think it's interesting in this text,
[00:40:45.200 --> 00:40:48.200]   I don't think of Paul as a guy who cried very much,
[00:40:48.200 --> 00:40:53.200]   I think of him as a rough and tough kind of missionary,
[00:40:53.200 --> 00:40:57.200]   and he certainly was that.
[00:40:57.200 --> 00:41:00.200]   But you'll notice in verse 19, the word "tears,"
[00:41:00.200 --> 00:41:03.200]   and in verse 31, the word "tears,"
[00:41:03.200 --> 00:41:06.200]   and in verse 37, the word "tears."
[00:41:06.200 --> 00:41:08.200]   There's a lot of crying happening
[00:41:08.200 --> 00:41:12.200]   at this graduation ceremony.
[00:41:12.200 --> 00:41:14.200]   Because this is brotherly affection
[00:41:14.200 --> 00:41:17.200]   of lives shared in the foxholes of ministry,
[00:41:17.200 --> 00:41:20.200]   the kind of kinship that you men know
[00:41:20.200 --> 00:41:22.200]   because you have those kinds of relationships,
[00:41:22.200 --> 00:41:24.200]   and Paul looks at these men.
[00:41:24.200 --> 00:41:28.200]   These men are not some just product of a program.
[00:41:28.200 --> 00:41:30.200]   These men are his life.
[00:41:30.200 --> 00:41:34.200]   He's personally invested to the point of weeping
[00:41:34.200 --> 00:41:39.200]   for these men.
[00:41:39.200 --> 00:41:43.200]   Not only is his mindset a mindset of service,
[00:41:43.200 --> 00:41:46.200]   but you'll notice that his message, secondly,
[00:41:46.200 --> 00:41:50.200]   his message in verses 20 and 21
[00:41:50.200 --> 00:41:57.200]   was a message of convictional courage.
[00:41:57.200 --> 00:42:00.200]   He says, "I did not shrink back from declaring to you
[00:42:00.200 --> 00:42:03.200]   "anything that was profitable,
[00:42:03.200 --> 00:42:07.200]   "but in public and from house to house,
[00:42:07.200 --> 00:42:09.200]   "I taught you,"
[00:42:09.200 --> 00:42:13.200]   and in verse 21, he emphasizes the fact
[00:42:13.200 --> 00:42:17.200]   that he was fulfilling the solemn testimony
[00:42:17.200 --> 00:42:20.200]   to both Jews and Greeks that God had given him
[00:42:20.200 --> 00:42:24.200]   to declare a message of repentance towards God
[00:42:24.200 --> 00:42:28.200]   and faith in our Lord Jesus Christ.
[00:42:28.200 --> 00:42:31.200]   See, Paul had the right mindset,
[00:42:31.200 --> 00:42:33.200]   and he also had the right message.
[00:42:33.200 --> 00:42:36.200]   He was on point.
[00:42:36.200 --> 00:42:38.200]   He was not off script.
[00:42:38.200 --> 00:42:41.200]   He was speaking courageously.
[00:42:41.200 --> 00:42:43.200]   He did not shrink back,
[00:42:43.200 --> 00:42:47.200]   and he was speaking continually
[00:42:47.200 --> 00:42:50.200]   in private, house to house,
[00:42:50.200 --> 00:42:55.200]   in public, in the lecture hall of Tyrannus,
[00:42:55.200 --> 00:42:58.200]   to everybody, Jews, Greeks,
[00:42:58.200 --> 00:43:01.200]   and he was speaking clearly
[00:43:01.200 --> 00:43:07.200]   because he knew the message that he must communicate.
[00:43:07.200 --> 00:43:10.200]   This simple principle alone
[00:43:10.200 --> 00:43:13.200]   would save so many seminaries and institutions
[00:43:13.200 --> 00:43:16.200]   from going down the wrong path
[00:43:16.200 --> 00:43:19.200]   if they would just have convictional clarity
[00:43:19.200 --> 00:43:22.200]   with regard to the message that they are to proclaim
[00:43:22.200 --> 00:43:24.200]   and the message that they are to instill
[00:43:24.200 --> 00:43:29.200]   in the lives of their students,
[00:43:29.200 --> 00:43:31.200]   and so Paul says, "Remember, my mindset
[00:43:31.200 --> 00:43:33.200]   "was a mindset of humble service.
[00:43:33.200 --> 00:43:37.200]   "My message was a message of convictional clarity
[00:43:37.200 --> 00:43:42.200]   "aimed at the gospel of Jesus Christ."
[00:43:42.200 --> 00:43:46.200]   Thirdly, verses 22 to 24, Paul's mission.
[00:43:46.200 --> 00:43:50.200]   It was a mission of enduring obedience,
[00:43:50.200 --> 00:43:53.200]   a mission of enduring obedience.
[00:43:53.200 --> 00:43:55.200]   In verses 22 and 23,
[00:43:55.200 --> 00:43:58.200]   Paul talks about the fact that he's on his way to Jerusalem.
[00:43:58.200 --> 00:44:01.200]   He's bound in the Spirit, on his way to Jerusalem.
[00:44:01.200 --> 00:44:03.200]   He doesn't know what's going to await him there.
[00:44:03.200 --> 00:44:06.200]   All he knows is that everywhere he goes,
[00:44:06.200 --> 00:44:08.200]   prophets through the Holy Spirit
[00:44:08.200 --> 00:44:13.200]   reveal to him that chains and afflictions await.
[00:44:13.200 --> 00:44:17.200]   Paul doesn't need to know what's going to happen next
[00:44:17.200 --> 00:44:19.200]   to know what his mission is,
[00:44:19.200 --> 00:44:23.200]   because verse 24, he says,
[00:44:23.200 --> 00:44:28.200]   "But I make my life of no account.
[00:44:28.200 --> 00:44:33.200]   "I do not hold it as dear to myself."
[00:44:33.200 --> 00:44:38.200]   Brothers, this is self-denial.
[00:44:38.200 --> 00:44:43.200]   And Paul says, "I die to myself
[00:44:43.200 --> 00:44:48.200]   "so that I might finish the course."
[00:44:48.200 --> 00:44:53.200]   That's his mission, that I might finish the course,
[00:44:53.200 --> 00:44:56.200]   that I might be faithful as a steward
[00:44:56.200 --> 00:44:59.200]   to the ministry that I have received
[00:44:59.200 --> 00:45:02.200]   from the Lord Jesus himself,
[00:45:02.200 --> 00:45:06.200]   a ministry that focuses on the declaration
[00:45:06.200 --> 00:45:12.200]   of the gospel of the grace of God.
[00:45:12.200 --> 00:45:17.200]   Paul's not confused about his mission.
[00:45:17.200 --> 00:45:19.200]   He doesn't know what's going to happen to him
[00:45:19.200 --> 00:45:21.200]   when he gets to Jerusalem.
[00:45:21.200 --> 00:45:26.200]   He knows it's probably not going to be a lot of fun for him.
[00:45:26.200 --> 00:45:30.200]   But he doesn't care, because the mission is everything,
[00:45:30.200 --> 00:45:33.200]   and he's ready to serve.
[00:45:33.200 --> 00:45:37.200]   "I die to myself so that I might finish my course,
[00:45:37.200 --> 00:45:39.200]   "so that I might complete and finish
[00:45:39.200 --> 00:45:42.200]   "the ministry that I have received."
[00:45:42.200 --> 00:45:45.200]   It is a stewardship, and Paul is a good steward.
[00:45:45.200 --> 00:45:48.200]   And here we have, in response to his mission,
[00:45:48.200 --> 00:45:53.200]   enduring obedience.
[00:45:53.200 --> 00:45:58.200]   And then fourth, verses 25 to 27,
[00:45:58.200 --> 00:46:02.200]   his measure of success, his measure of success.
[00:46:02.200 --> 00:46:05.200]   Paul's mindset was one of humble service.
[00:46:05.200 --> 00:46:08.200]   His message was one of convictional clarity.
[00:46:08.200 --> 00:46:10.200]   His mission, at least in terms of his response,
[00:46:10.200 --> 00:46:12.200]   was one of enduring obedience.
[00:46:12.200 --> 00:46:15.200]   And now we have his measure of success,
[00:46:15.200 --> 00:46:17.200]   in verses 25 to 27.
[00:46:17.200 --> 00:46:19.200]   In verse 25, he tells them,
[00:46:19.200 --> 00:46:23.200]   "You are those among whom I preached the kingdom of God,
[00:46:23.200 --> 00:46:26.200]   "and now I will no longer see your faces
[00:46:26.200 --> 00:46:29.200]   "this side of heaven."
[00:46:29.200 --> 00:46:33.200]   This is a true graduation, in the sense of,
[00:46:33.200 --> 00:46:37.200]   once this service is over, and I get on that boat,
[00:46:37.200 --> 00:46:42.200]   I will never see you again until glory.
[00:46:42.200 --> 00:46:44.200]   And yet Paul's response to that,
[00:46:44.200 --> 00:46:47.200]   recognizing their training is complete,
[00:46:47.200 --> 00:46:50.200]   his instruction is finished for them,
[00:46:50.200 --> 00:46:54.200]   in terms of in-person training.
[00:46:54.200 --> 00:46:59.200]   Verse 26, he says, "But I have a clear conscience.
[00:46:59.200 --> 00:47:02.200]   "I'm declaring to you that I am innocent
[00:47:02.200 --> 00:47:05.200]   "of the blood of all men.
[00:47:05.200 --> 00:47:10.200]   "My conscience is clear before God."
[00:47:10.200 --> 00:47:12.200]   Paul, how can you say that?
[00:47:12.200 --> 00:47:14.200]   Because, verse 27,
[00:47:14.200 --> 00:47:18.200]   "I did not shrink back from declaring to you
[00:47:18.200 --> 00:47:24.200]   "the whole purpose of God."
[00:47:24.200 --> 00:47:27.200]   How did Paul measure success?
[00:47:27.200 --> 00:47:29.200]   We already know from Acts 19,
[00:47:29.200 --> 00:47:31.200]   there were those in Ephesus who rejected the message.
[00:47:31.200 --> 00:47:33.200]   There were those in Ephesus who rioted
[00:47:33.200 --> 00:47:37.200]   because they hated the message so much.
[00:47:37.200 --> 00:47:40.200]   We know from the subsequent verses here in Acts 20
[00:47:40.200 --> 00:47:44.200]   that Paul knows that some of his students will defect.
[00:47:44.200 --> 00:47:46.200]   We know that to be true from 2 Timothy
[00:47:46.200 --> 00:47:48.200]   and other places in Paul's writings
[00:47:48.200 --> 00:47:54.200]   that not everyone he trained stayed true.
[00:47:54.200 --> 00:47:56.200]   So how does Paul measure success?
[00:47:56.200 --> 00:48:03.200]   He measures success in terms of courageous faithfulness.
[00:48:03.200 --> 00:48:04.200]   Courageous faithfulness.
[00:48:04.200 --> 00:48:07.200]   He did not shrink back,
[00:48:07.200 --> 00:48:11.200]   but he was faithful to accomplish his mission,
[00:48:11.200 --> 00:48:15.200]   which was to declare as a herald the truth
[00:48:15.200 --> 00:48:19.200]   with which he had been entrusted.
[00:48:19.200 --> 00:48:20.200]   Amen.
[00:48:20.200 --> 00:48:23.200]   There are so many in our evangelical world today
[00:48:23.200 --> 00:48:25.200]   who are absolutely and totally confused
[00:48:25.200 --> 00:48:29.200]   about God's standard of success.
[00:48:29.200 --> 00:48:31.200]   There are so many who think that success
[00:48:31.200 --> 00:48:34.200]   is measured in terms of numbers,
[00:48:34.200 --> 00:48:36.200]   numbers of people on a Sunday,
[00:48:36.200 --> 00:48:40.200]   numbers of followers on a social media platform,
[00:48:40.200 --> 00:48:46.200]   numbers of likes and subscribes.
[00:48:46.200 --> 00:48:51.200]   But when you stand before Christ,
[00:48:51.200 --> 00:48:52.200]   he's not going to say to you,
[00:48:52.200 --> 00:49:02.200]   "Well done, my good and popular servant."
[00:49:02.200 --> 00:49:05.200]   I heard one pastor once compare the ministries
[00:49:05.200 --> 00:49:07.200]   of Jonah and Jeremiah.
[00:49:07.200 --> 00:49:09.200]   I thought it was a helpful comparison
[00:49:09.200 --> 00:49:10.200]   because if you asked the question,
[00:49:10.200 --> 00:49:14.200]   "Who had the more successful ministry,
[00:49:14.200 --> 00:49:16.200]   Jonah or Jeremiah?"
[00:49:16.200 --> 00:49:19.200]   How would you answer that question?
[00:49:19.200 --> 00:49:22.200]   Jonah had more converts.
[00:49:22.200 --> 00:49:24.200]   Jonah had the numbers.
[00:49:24.200 --> 00:49:28.200]   Jonah had the results.
[00:49:28.200 --> 00:49:31.200]   But Jeremiah was faithful.
[00:49:31.200 --> 00:49:34.200]   And so when we look at Paul's example
[00:49:34.200 --> 00:49:37.200]   in these verses, verses 18 to 27,
[00:49:37.200 --> 00:49:40.200]   what we see is an example in terms of mindset
[00:49:40.200 --> 00:49:43.200]   of humble service,
[00:49:43.200 --> 00:49:45.200]   an example in terms of his message
[00:49:45.200 --> 00:49:48.200]   of clarity and conviction,
[00:49:48.200 --> 00:49:50.200]   an example in terms of his mission
[00:49:50.200 --> 00:49:52.200]   of enduring obedience,
[00:49:52.200 --> 00:49:57.200]   and an example in terms of his measure of success,
[00:49:57.200 --> 00:50:00.200]   that he measured success in terms of faithfulness
[00:50:00.200 --> 00:50:06.200]   to proclaim the truth, not results.
[00:50:06.200 --> 00:50:09.200]   It was faithfulness to God,
[00:50:09.200 --> 00:50:11.200]   and therefore his measure of success
[00:50:11.200 --> 00:50:16.200]   was vertical, not horizontal.
[00:50:16.200 --> 00:50:18.200]   Well, that brings us to the passage
[00:50:18.200 --> 00:50:20.200]   that we began with this morning,
[00:50:20.200 --> 00:50:24.200]   verses 28 to 35.
[00:50:24.200 --> 00:50:28.200]   Paul's exhortations.
[00:50:28.200 --> 00:50:31.200]   Paul's exhortations.
[00:50:31.200 --> 00:50:32.200]   As Paul has looked back,
[00:50:32.200 --> 00:50:34.200]   he has recounted his example,
[00:50:34.200 --> 00:50:37.200]   and it is the weight of his faithful example
[00:50:37.200 --> 00:50:43.200]   that gives weight to his fervent exhortations.
[00:50:43.200 --> 00:50:45.200]   And Paul, now having invested,
[00:50:45.200 --> 00:50:46.200]   as he will say here,
[00:50:46.200 --> 00:50:48.200]   three years of his life,
[00:50:48.200 --> 00:50:50.200]   two of which in the school of Tyrannus,
[00:50:50.200 --> 00:50:54.200]   into these men, his former students,
[00:50:54.200 --> 00:50:56.200]   he says to them, "As we look forward,
[00:50:56.200 --> 00:50:59.200]   "there are three convictions for ministry
[00:50:59.200 --> 00:51:01.200]   "that must define your ministries
[00:51:01.200 --> 00:51:04.200]   "if you are to be faithful ministers,
[00:51:04.200 --> 00:51:10.200]   "faithful shepherds of the flock of God."
[00:51:10.200 --> 00:51:15.200]   What are these convictions?
[00:51:15.200 --> 00:51:18.200]   Number one, guard.
[00:51:18.200 --> 00:51:22.200]   Guard the sheep.
[00:51:22.200 --> 00:51:27.200]   Verses 28 to 30.
[00:51:27.200 --> 00:51:31.200]   Paul now shifts the focus from his example
[00:51:31.200 --> 00:51:34.200]   and looking back to their faithfulness
[00:51:34.200 --> 00:51:35.200]   and looking forward,
[00:51:35.200 --> 00:51:38.200]   and he says to them, "You men know a lot.
[00:51:38.200 --> 00:51:40.200]   "You have good doctrine.
[00:51:40.200 --> 00:51:42.200]   "I know I trained you.
[00:51:42.200 --> 00:51:44.200]   "You know what you need to know.
[00:51:44.200 --> 00:51:47.200]   "The question is, will you be who you need to be?
[00:51:47.200 --> 00:51:48.200]   "That's character.
[00:51:48.200 --> 00:51:52.200]   "And now, will you minister in a way that honors Christ?
[00:51:52.200 --> 00:51:54.200]   "That's conviction."
[00:51:54.200 --> 00:51:56.200]   So number one, guard.
[00:51:56.200 --> 00:51:58.200]   Guard the sheep.
[00:51:58.200 --> 00:52:01.200]   "Be on guard for yourselves and for the flock
[00:52:01.200 --> 00:52:06.200]   "among whom the Holy Spirit made you overseers
[00:52:06.200 --> 00:52:08.200]   "to shepherd the church of God
[00:52:08.200 --> 00:52:16.200]   "which he purchased with his own blood."
[00:52:16.200 --> 00:52:20.200]   Why are they to guard the sheep?
[00:52:20.200 --> 00:52:24.200]   Well, verse 28 gives us two reasons.
[00:52:24.200 --> 00:52:28.200]   Because of the position in which God has placed them
[00:52:28.200 --> 00:52:34.200]   and because of the purchase which God made.
[00:52:34.200 --> 00:52:37.200]   And of course, verse 28 is one of the clearest testimonies,
[00:52:37.200 --> 00:52:41.200]   attestations in the New Testament of the deity of Christ
[00:52:41.200 --> 00:52:44.200]   because for Paul to say that God shed his own blood
[00:52:44.200 --> 00:52:47.200]   is a reference, of course, to our Lord Jesus Christ,
[00:52:47.200 --> 00:52:49.200]   God in human flesh.
[00:52:49.200 --> 00:52:52.200]   Paul's point here is that the church is precious
[00:52:52.200 --> 00:52:55.200]   and because the church is precious, so precious to God,
[00:52:55.200 --> 00:52:59.200]   that he would sacrifice his own son on her behalf
[00:52:59.200 --> 00:53:02.200]   to redeem for himself a people for his own possession
[00:53:02.200 --> 00:53:12.200]   and he entrusts that to us.
[00:53:12.200 --> 00:53:13.200]   He is the chief shepherd.
[00:53:13.200 --> 00:53:16.200]   We are under shepherds.
[00:53:16.200 --> 00:53:20.200]   To be honest, even thinking of ourselves as under shepherds
[00:53:20.200 --> 00:53:24.200]   and the flock as mere sheep maybe sometimes tempts us
[00:53:24.200 --> 00:53:27.200]   to think that we are somehow above the flock.
[00:53:27.200 --> 00:53:31.200]   We also are sheep.
[00:53:31.200 --> 00:53:36.200]   Maybe a good illustration would be that we are like sheep dogs.
[00:53:36.200 --> 00:53:39.200]   We're like sheep dogs.
[00:53:39.200 --> 00:53:42.200]   We can be useful to the master if we honor the master
[00:53:42.200 --> 00:53:44.200]   and if we obey the master,
[00:53:44.200 --> 00:53:50.200]   but we are more like the sheep than we are like the shepherd.
[00:53:50.200 --> 00:53:55.200]   Number of years ago, seven and a half years ago actually,
[00:53:55.200 --> 00:54:02.200]   around Christmas time, we got our kids a dog.
[00:54:02.200 --> 00:54:05.200]   Against our better judgment, we did.
[00:54:05.200 --> 00:54:09.200]   Very, very cute little cocker spaniel puppy
[00:54:09.200 --> 00:54:14.200]   and she's still a very cute little dog.
[00:54:14.200 --> 00:54:21.200]   Other than being a cute little dog, she has no value.
[00:54:21.200 --> 00:54:24.200]   She is incredibly lazy.
[00:54:24.200 --> 00:54:26.200]   She just lays around the house all day
[00:54:26.200 --> 00:54:29.200]   except in those moments where we accidentally leave
[00:54:29.200 --> 00:54:33.200]   the front door open and then she runs into the street.
[00:54:33.200 --> 00:54:37.200]   So she's lazy but also prone to straying.
[00:54:37.200 --> 00:54:39.200]   She's scared of everything.
[00:54:39.200 --> 00:54:43.200]   Even when she has people that we know who come over to the house,
[00:54:43.200 --> 00:54:49.200]   she runs into the other room leaving a little puddle behind.
[00:54:49.200 --> 00:54:53.200]   And I kid you not, but even though I know she loves our family,
[00:54:53.200 --> 00:55:00.200]   she would trade all of us in a heartbeat for a piece of pepperoni.
[00:55:00.200 --> 00:55:03.200]   So she's lazy, she's prone to straying,
[00:55:03.200 --> 00:55:11.200]   she's scared of everything, and she's easily corruptible.
[00:55:11.200 --> 00:55:18.200]   Men, don't be like my dog.
[00:55:18.200 --> 00:55:20.200]   I have a friend who works in the canine unit
[00:55:20.200 --> 00:55:22.200]   for the Los Angeles Police Department.
[00:55:22.200 --> 00:55:26.200]   He just got back a few months ago from San Antonio
[00:55:26.200 --> 00:55:31.200]   where he was training a police dog.
[00:55:31.200 --> 00:55:34.200]   Four months of training.
[00:55:34.200 --> 00:55:39.200]   His dog is way better than my dog.
[00:55:39.200 --> 00:55:43.200]   Men, that's the kind of sheepdog that we are to be,
[00:55:43.200 --> 00:55:47.200]   the highly trained, on guard, ready to act,
[00:55:47.200 --> 00:55:57.200]   not the lazy, corruptible, easy, distracted, "Oh, I'm cute."
[00:55:57.200 --> 00:56:02.200]   Paul goes on, "So we are to guard the flock
[00:56:02.200 --> 00:56:04.200]   because of the position in which we've been placed
[00:56:04.200 --> 00:56:11.200]   and because of the price that was paid for the church."
[00:56:11.200 --> 00:56:16.200]   Paul goes on to say that he knows that after his departure,
[00:56:16.200 --> 00:56:22.200]   savage wolves will come in among you, not sparing the flock.
[00:56:22.200 --> 00:56:26.200]   "Even from among your own selves, men will arise,
[00:56:26.200 --> 00:56:35.200]   speaking perverse things to draw away the disciples after them."
[00:56:35.200 --> 00:56:37.200]   And this is one of the most sobering texts
[00:56:37.200 --> 00:56:41.200]   in all of the New Testament, in my opinion,
[00:56:41.200 --> 00:56:44.200]   that Paul, after spending three years with these men,
[00:56:44.200 --> 00:56:46.200]   his former students in whom he invested so much,
[00:56:46.200 --> 00:56:51.200]   we saw his sacrifice in verses 18 and 19,
[00:56:51.200 --> 00:56:54.200]   he's invested his very life in these men,
[00:56:54.200 --> 00:56:58.200]   and now he tells them that, "I know that even from among you,
[00:56:58.200 --> 00:57:04.200]   there are going to be those who arise, who lead the sheep astray."
[00:57:04.200 --> 00:57:08.200]   And going back up to verse 28, what did Paul say?
[00:57:08.200 --> 00:57:15.200]   He says, "Be on guard first." For whom? For yourselves.
[00:57:15.200 --> 00:57:19.200]   And this is why, because if you are to protect the flock,
[00:57:19.200 --> 00:57:26.200]   you must first protect your own heart.
[00:57:26.200 --> 00:57:29.200]   It was Robert Murray McShane who said that,
[00:57:29.200 --> 00:57:35.200]   "The greatest need of my people is my own personal holiness."
[00:57:35.200 --> 00:57:40.200]   Because when you watch your life and your doctrine closely,
[00:57:40.200 --> 00:57:45.200]   as Paul told Timothy, in 1 Timothy 4:16,
[00:57:45.200 --> 00:57:49.200]   as you watch your life and your doctrine closely,
[00:57:49.200 --> 00:57:51.200]   you will be able to save not only yourself,
[00:57:51.200 --> 00:57:54.200]   but those under your spiritual care.
[00:57:54.200 --> 00:57:57.200]   And Paul here recognizes the great threat
[00:57:57.200 --> 00:58:02.200]   that ministerial failure represents.
[00:58:02.200 --> 00:58:05.200]   When men defect, when men fail,
[00:58:05.200 --> 00:58:08.200]   the results are catastrophic for the flock.
[00:58:08.200 --> 00:58:16.200]   So guard yourselves. Guard yourselves.
[00:58:16.200 --> 00:58:19.200]   I was having a conversation with a couple of the faculty
[00:58:19.200 --> 00:58:22.200]   of the seminary just a couple of days ago,
[00:58:22.200 --> 00:58:28.200]   and we were speaking very soberly about examples of men
[00:58:28.200 --> 00:58:30.200]   who have graduated from the Master's Seminary
[00:58:30.200 --> 00:58:35.200]   and then, to our great sadness,
[00:58:35.200 --> 00:58:41.200]   have defaulted morally or defected doctrinally.
[00:58:41.200 --> 00:58:43.200]   And thankfully, by God's grace,
[00:58:43.200 --> 00:58:49.200]   those are in the minority of seminary graduates from our school.
[00:58:49.200 --> 00:58:52.200]   And yet we look at the Apostle Paul and we recognize
[00:58:52.200 --> 00:58:55.200]   that even Paul had men in whom he had invested
[00:58:55.200 --> 00:58:57.200]   who did not finish the course,
[00:58:57.200 --> 00:59:05.200]   who did not run the race without defaulting and being disqualified.
[00:59:05.200 --> 00:59:08.200]   You can think of some of the examples in the New Testament.
[00:59:08.200 --> 00:59:11.200]   Judas is probably the most well-known,
[00:59:11.200 --> 00:59:13.200]   who defected for the love of money,
[00:59:13.200 --> 00:59:16.200]   or Demas, who defected for the love of this world,
[00:59:16.200 --> 00:59:22.200]   or Diotrephes, who defected for the love of self.
[00:59:22.200 --> 00:59:27.200]   Paul has other names on that list, Fijelus, Hermogenes,
[00:59:27.200 --> 00:59:31.200]   Philetus, Hymenaeus.
[00:59:31.200 --> 00:59:42.200]   It's quite likely that those men also trained in Ephesus.
[00:59:42.200 --> 00:59:46.200]   This is going to date me, but...
[00:59:46.200 --> 00:59:50.200]   Do you guys remember motivational posters?
[00:59:50.200 --> 00:59:54.200]   This is back before internet memes were a thing.
[00:59:54.200 --> 00:59:57.200]   Motivational posters were like internet memes,
[00:59:57.200 --> 01:00:01.200]   except you couldn't swipe them away because they were hanging on the wall.
[01:00:01.200 --> 01:00:04.200]   And it was a picture of some inspirational picture,
[01:00:04.200 --> 01:00:08.200]   and then underneath there was a title and then a slogan.
[01:00:08.200 --> 01:00:11.200]   And the title and the slogan were supposed to be motivating,
[01:00:11.200 --> 01:00:15.200]   and they were hung up all across office spaces around the nation
[01:00:15.200 --> 01:00:21.200]   in an attempt to entice workers to be excited about their jobs.
[01:00:21.200 --> 01:00:25.200]   About 20 years ago, I came across some motivational poster parodies.
[01:00:25.200 --> 01:00:27.200]   There was a company that produced these.
[01:00:27.200 --> 01:00:32.200]   They're still around. They're called Demotivators.
[01:00:32.200 --> 01:00:35.200]   And, I mean, it was things like a picture of a gear,
[01:00:35.200 --> 01:00:37.200]   and underneath it would say "worth,"
[01:00:37.200 --> 01:00:39.200]   and then the caption would read,
[01:00:39.200 --> 01:00:44.200]   "Just because you're necessary doesn't mean you're important."
[01:00:44.200 --> 01:00:51.200]   One of my favorites was a guy dressed up like he was going to run a marathon,
[01:00:51.200 --> 01:00:53.200]   but he obviously hadn't done that yet,
[01:00:53.200 --> 01:00:56.200]   and he was laying down on a park bench.
[01:00:56.200 --> 01:01:00.200]   The title was "Procrastination."
[01:01:00.200 --> 01:01:13.200]   "Hard work sometimes pays off later, but laziness always pays off right now."
[01:01:13.200 --> 01:01:18.200]   I mention those because there was one more that I saw,
[01:01:18.200 --> 01:01:22.200]   and this one actually cut me to the quick.
[01:01:22.200 --> 01:01:25.200]   This one wasn't funny.
[01:01:25.200 --> 01:01:28.200]   This one was sobering.
[01:01:28.200 --> 01:01:33.200]   It was a picture of a ship that had obviously crashed into a reef
[01:01:33.200 --> 01:01:36.200]   and was now half-submerged in the ocean.
[01:01:36.200 --> 01:01:39.200]   It was a picture of a shipwreck.
[01:01:39.200 --> 01:01:43.200]   The title underneath said "Mistakes,"
[01:01:43.200 --> 01:01:45.200]   and then the slogan read this,
[01:01:45.200 --> 01:01:59.200]   "It may be that the purpose of your life is merely to serve as a warning for others."
[01:01:59.200 --> 01:02:03.200]   Men, don't be on that list.
[01:02:03.200 --> 01:02:06.200]   Guard yourselves.
[01:02:06.200 --> 01:02:08.200]   Guard your sheep.
[01:02:08.200 --> 01:02:10.200]   Guard your hearts.
[01:02:10.200 --> 01:02:13.200]   Guard the truth.
[01:02:13.200 --> 01:02:17.200]   Finish your course like Paul did,
[01:02:17.200 --> 01:02:24.200]   and hear the Savior say, "Well done, my good and faithful servant."
[01:02:24.200 --> 01:02:30.200]   Well, there's a second conviction in the next verses, verses 31 and 32,
[01:02:30.200 --> 01:02:34.200]   and that conviction is that we must also guide the sheep.
[01:02:34.200 --> 01:02:35.200]   This is the positive side.
[01:02:35.200 --> 01:02:38.200]   Guard the sheep is keep away all of the things that are bad.
[01:02:38.200 --> 01:02:42.200]   Guide the sheep is lead them in the truth.
