
[00:00:00.000 --> 00:00:03.000]   (audience applauds)
[00:17:49.920 --> 00:17:52.160]   You could say, well, let's give ourselves 20 years.
[00:17:52.160 --> 00:17:53.720]   Let's apply a rate of return.
[00:17:53.720 --> 00:17:55.040]   Let's run the numbers and let's,
[00:17:55.040 --> 00:17:58.400]   and we, you know, if we spend 40,000 a year,
[00:17:58.400 --> 00:18:02.080]   then we'll run this 500 out of money in 20 years
[00:18:02.080 --> 00:18:03.960]   that are, you know, at a 5% return.
[00:18:03.960 --> 00:18:06.160]   And that's kind of, that's a better guideline,
[00:18:06.160 --> 00:18:08.520]   but maybe some years it'll be more,
[00:18:08.520 --> 00:18:09.920]   maybe some years it'll be less.
[00:18:09.920 --> 00:18:13.640]   And so what we encourage clients to do is to set aside
[00:18:13.640 --> 00:18:16.960]   or to mental accounting wise,
[00:18:16.960 --> 00:18:19.640]   to use a behavioral heuristic that,
[00:18:19.640 --> 00:18:23.320]   and sometimes we even like subdivide accounts
[00:18:23.320 --> 00:18:25.420]   to create these pots of money
[00:18:25.420 --> 00:18:29.060]   so that people can measure it and see what's left,
[00:18:29.060 --> 00:18:30.500]   what they've done.
[00:18:30.500 --> 00:18:33.580]   It's just really all about how you organize things
[00:18:33.580 --> 00:18:36.140]   so that you can keep track of the progress you're making
[00:18:36.140 --> 00:18:38.140]   and the goals that you have for yourself.
[00:18:38.140 --> 00:18:38.980]   - That's helpful.
[00:18:38.980 --> 00:18:41.600]   I wanted to ask about a less happy expense,
[00:18:41.600 --> 00:18:44.120]   long-term care expenses.
[00:18:44.120 --> 00:18:47.380]   Perhaps you can talk about how you approach that
[00:18:47.380 --> 00:18:48.260]   with your clients.
[00:18:48.260 --> 00:18:50.340]   I'm guessing your clients,
[00:18:50.340 --> 00:18:52.460]   sort of in terms of their level of assets,
[00:18:52.460 --> 00:18:54.920]   probably mirror a lot of the folks in the room.
[00:18:54.920 --> 00:18:57.800]   So maybe you can talk about how you factor that
[00:18:57.800 --> 00:18:59.680]   into the retirement spending plan.
[00:18:59.680 --> 00:19:02.880]   Maybe setting aside someone who has insurance,
[00:19:02.880 --> 00:19:04.460]   but the self-funder,
[00:19:04.460 --> 00:19:06.740]   the person who plans to pay out of pocket,
[00:19:06.740 --> 00:19:07.800]   how should they deal with it
[00:19:07.800 --> 00:19:09.800]   and how should the money get invested?
[00:19:09.800 --> 00:19:10.640]   - Sure.
[00:19:10.640 --> 00:19:13.900]   Well, first of all, if someone,
[00:19:13.900 --> 00:19:15.360]   when they retire, it's like,
[00:19:15.360 --> 00:19:17.480]   we're gonna need almost all the money we've saved
[00:19:17.480 --> 00:19:19.160]   to fund that core spending.
[00:19:19.160 --> 00:19:20.240]   There are good candidates
[00:19:20.240 --> 00:19:23.540]   to have some long-term care insurance.
[00:19:23.540 --> 00:19:25.740]   Now, people often forget
[00:19:25.740 --> 00:19:27.560]   that the income that they're living on
[00:19:27.560 --> 00:19:29.920]   that's creating the lifestyle that they have today
[00:19:29.920 --> 00:19:31.560]   is still gonna be coming in
[00:19:31.560 --> 00:19:35.720]   when you're in that much less happy long-term care situation.
[00:19:35.720 --> 00:19:37.440]   And if you're paying out of pocket,
[00:19:37.440 --> 00:19:39.680]   you're gonna get a lot of medical expenses
[00:19:39.680 --> 00:19:41.280]   on your tax return.
[00:19:41.280 --> 00:19:44.680]   So if you're going to self-insure,
[00:19:44.680 --> 00:19:48.400]   having it be pre-tax money is a great way to do it
[00:19:48.400 --> 00:19:49.280]   'cause you pull it out,
[00:19:49.280 --> 00:19:50.740]   it goes on your tax return,
[00:19:50.740 --> 00:19:52.980]   and pretty much everything you're spending for
[00:19:52.980 --> 00:19:57.540]   goes right there on Schedule A in terms of a deduction.
[00:19:57.540 --> 00:19:59.440]   We just went through this with my dad
[00:19:59.440 --> 00:20:02.200]   and it worked exactly that way.
[00:20:02.200 --> 00:20:05.320]   And if someone's 65 years old,
[00:20:05.320 --> 00:20:07.800]   and of course things can happen at any time,
[00:20:07.800 --> 00:20:10.040]   but you feel like it's most likely
[00:20:10.040 --> 00:20:11.720]   that we're not gonna be in this situation
[00:20:11.720 --> 00:20:13.060]   for 15 to 20 years,
[00:20:13.060 --> 00:20:17.440]   that money might even be invested more aggressively
[00:20:17.440 --> 00:20:21.680]   than kind of your overall retirement portfolio
[00:20:21.680 --> 00:20:25.060]   'cause it's a little bit like a college fund
[00:20:25.060 --> 00:20:26.780]   for a three-year-old.
[00:20:26.780 --> 00:20:29.500]   You might need it to pay out over a five or four,
[00:20:29.500 --> 00:20:31.100]   five or six-year period,
[00:20:31.100 --> 00:20:32.660]   but the odds are you're not gonna need
[00:20:32.660 --> 00:20:33.980]   to start drawing on it for a while,
[00:20:33.980 --> 00:20:36.560]   so why not be more aggressive with that?
[00:20:36.560 --> 00:20:41.620]   - Wanted to switch over to talk about portfolio management
[00:20:41.620 --> 00:20:45.600]   and maybe let's stick with withdrawals,
[00:20:45.600 --> 00:20:49.300]   but in terms of the where of those withdrawals,
[00:20:49.300 --> 00:20:52.440]   I feel like this has been a really under-discussed aspect
[00:20:52.440 --> 00:20:53.280]   of this whole thing,
[00:20:53.280 --> 00:20:56.600]   and Guardrails actually gets into some rules
[00:20:56.600 --> 00:21:00.160]   about if you need cash flows from your portfolio
[00:21:00.160 --> 00:21:01.840]   because you're retired,
[00:21:01.840 --> 00:21:05.360]   where should you go for them based on market conditions?
[00:21:05.360 --> 00:21:08.000]   So maybe talk about how you think about that
[00:21:08.000 --> 00:21:11.600]   and how you implement that in clients' plans.
[00:21:11.600 --> 00:21:13.040]   - Well, the first thing I wanna say on this,
[00:21:13.040 --> 00:21:14.760]   this is a really big topic,
[00:21:14.760 --> 00:21:17.000]   and as you identify, it's an important one,
[00:21:17.000 --> 00:21:19.680]   and you just can't underestimate the importance
[00:21:19.680 --> 00:21:24.000]   of good tax planning, the RMDs that are involved.
[00:21:24.000 --> 00:21:27.900]   We have new rules, recently new rules under the SECURE Act,
[00:21:27.900 --> 00:21:30.520]   and so having it, first of all,
[00:21:30.520 --> 00:21:33.720]   having an understanding of how our tax bracket structure
[00:21:33.720 --> 00:21:36.960]   works at the federal level makes a big difference.
[00:21:36.960 --> 00:21:38.940]   You know, we have seven income tax brackets,
[00:21:38.940 --> 00:21:41.480]   but some of them are very close to each other,
[00:21:41.480 --> 00:21:45.100]   like 22 and then 24, and then you get big jumps.
[00:21:45.100 --> 00:21:46.480]   There are two big jumps in that.
[00:21:46.480 --> 00:21:50.320]   So, you know, as you look at your family situation
[00:21:50.320 --> 00:21:52.760]   and you think about those marginal tax rates,
[00:21:52.760 --> 00:21:56.280]   you think about IRMA, and since this is a 501 series,
[00:21:56.280 --> 00:21:58.960]   I'm not gonna define what IRMA is,
[00:21:58.960 --> 00:22:02.480]   and you end up with that, those additional Medicare premiums
[00:22:02.480 --> 00:22:04.840]   and it's effectively a tax,
[00:22:04.840 --> 00:22:07.360]   it's really important to think about, you know,
[00:22:07.360 --> 00:22:09.000]   where are you gonna get the money you need
[00:22:09.000 --> 00:22:11.240]   from a tax standpoint,
[00:22:11.240 --> 00:22:15.760]   knowing that you've got several different scenarios
[00:22:15.760 --> 00:22:18.240]   that are gonna affect what that tax rate is.
[00:22:18.240 --> 00:22:20.080]   If it's a married couple, you know,
[00:22:20.080 --> 00:22:22.800]   they're the years when you're filing jointly.
[00:22:22.800 --> 00:22:24.600]   Then, more likely than not,
[00:22:24.600 --> 00:22:26.320]   there's gonna be a period of time
[00:22:26.320 --> 00:22:28.520]   where one is a surviving spouse
[00:22:28.520 --> 00:22:31.240]   and files as an individual taxpayer.
[00:22:31.240 --> 00:22:32.900]   Well, you get to those higher rates,
[00:22:32.900 --> 00:22:34.960]   as you know, twice as fast,
[00:22:34.960 --> 00:22:39.440]   and so you can very quickly increase the tax rate
[00:22:39.440 --> 00:22:42.720]   on some of those RMDs, and now, of course, your kids.
[00:22:42.720 --> 00:22:45.880]   If you don't have more than one or two children
[00:22:45.880 --> 00:22:48.360]   or one or two recipients,
[00:22:48.360 --> 00:22:49.480]   there could be a lot of money
[00:22:49.480 --> 00:22:51.320]   that they have to take out over 10 years
[00:22:51.320 --> 00:22:53.640]   and at a time where they already
[00:22:53.640 --> 00:22:55.400]   have a fair amount of taxable income,
[00:22:55.400 --> 00:23:00.400]   so that's one big aspect of the where do you take it from.
[00:23:00.400 --> 00:23:03.560]   You know, the other aspect of it
[00:23:03.560 --> 00:23:06.840]   is that if you think about a portfolio
[00:23:06.840 --> 00:23:09.120]   that has diversification in it, you know,
[00:23:09.120 --> 00:23:12.580]   I don't care whether it's 50, 60, 70,
[00:23:12.580 --> 00:23:14.440]   maybe as high as 80% equities,
[00:23:14.440 --> 00:23:17.000]   you've probably got an overall yield
[00:23:17.000 --> 00:23:20.440]   from interest and dividends that's about 1 1/2%,
[00:23:20.440 --> 00:23:23.220]   maybe as high as two if interest rates go higher
[00:23:23.220 --> 00:23:25.280]   and just depending on that allocation
[00:23:25.280 --> 00:23:26.920]   and how much is in bonds.
[00:23:26.920 --> 00:23:29.520]   That goes a long way toward funding
[00:23:29.520 --> 00:23:31.160]   what you wanna take out every year.
[00:23:31.160 --> 00:23:34.040]   You know, it could be a third to 40%,
[00:23:34.040 --> 00:23:35.640]   maybe even a little more than that,
[00:23:35.640 --> 00:23:39.600]   so then it's just a matter of, you know,
[00:23:39.600 --> 00:23:41.440]   if you're doing your rebalancing
[00:23:41.440 --> 00:23:44.080]   and equity markets are down, you know,
[00:23:44.080 --> 00:23:45.840]   your fixed income's gonna be overweighted
[00:23:45.840 --> 00:23:49.060]   and that's what you're going to take the money from.
[00:23:49.060 --> 00:23:51.140]   It's a big change in retirement
[00:23:51.140 --> 00:23:54.700]   when you think about the role of bonds.
[00:23:54.700 --> 00:23:58.000]   It is not, the most important thing bonds do
[00:23:58.000 --> 00:23:59.460]   is not provide income.
[00:23:59.460 --> 00:24:02.020]   They provide an asset class
[00:24:02.020 --> 00:24:04.240]   that if you make the right choices
[00:24:04.240 --> 00:24:07.000]   that doesn't go down at a time
[00:24:07.000 --> 00:24:10.720]   when everything else is down and you need money
[00:24:10.720 --> 00:24:14.280]   and so it's setting yourself up to always have money
[00:24:14.280 --> 00:24:16.000]   that you can take, that you need
[00:24:16.000 --> 00:24:18.100]   and you just don't put yourself in a position
[00:24:18.100 --> 00:24:20.000]   where you have to sell low.
[00:24:20.000 --> 00:24:21.680]   - So following up on that,
[00:24:21.680 --> 00:24:25.760]   2022 was a year where bonds didn't deliver
[00:24:25.760 --> 00:24:28.400]   that ballast effect for equities.
[00:24:28.400 --> 00:24:30.680]   They both went down for the same reason,
[00:24:30.680 --> 00:24:31.940]   both stocks and bonds.
[00:24:31.940 --> 00:24:36.340]   So do you think it makes sense to hold some cash reserves
[00:24:36.340 --> 00:24:40.740]   on an ongoing basis for that rare 2022 type year
[00:24:40.740 --> 00:24:43.160]   where both asset classes struggle?
[00:24:43.160 --> 00:24:46.200]   - Yeah, it sure makes a lot more sense in hindsight
[00:24:46.200 --> 00:24:50.020]   and, you know, and, you know,
[00:24:50.020 --> 00:24:52.100]   applaud it's to Christine for going out there
[00:24:52.100 --> 00:24:54.740]   before, you know, 2022 out there and saying,
[00:24:54.740 --> 00:24:56.220]   well, I think there are good reasons
[00:24:56.220 --> 00:24:58.860]   to have a portion of your fixed income in cash
[00:24:58.860 --> 00:25:01.500]   because the reason is you want some money
[00:25:01.500 --> 00:25:05.060]   that you know isn't going to go down.
[00:25:05.060 --> 00:25:10.060]   And so, you know, the thing and kind of related to this,
[00:25:10.060 --> 00:25:11.780]   and I think this might be a later question,
[00:25:11.780 --> 00:25:16.020]   I'm gonna jump to the kind of the total bond approach
[00:25:16.020 --> 00:25:19.500]   because, you know, when you think about fixed income,
[00:25:19.500 --> 00:25:23.160]   you've got higher quality, lower quality,
[00:25:23.160 --> 00:25:27.820]   shorter term, longer term, and it doesn't, you know,
[00:25:27.820 --> 00:25:31.540]   we all know that in different environments,
[00:25:31.540 --> 00:25:34.500]   those if you style boxes, if you will,
[00:25:34.500 --> 00:25:37.320]   a fixed income are going to perform differently.
[00:25:37.320 --> 00:25:39.780]   People were surprised by 2022.
[00:25:39.780 --> 00:25:42.400]   There was nothing surprising about 2022.
[00:25:42.400 --> 00:25:44.380]   Bonds behaved exactly the way
[00:25:44.380 --> 00:25:46.660]   they should have given the conditions.
[00:25:46.660 --> 00:25:49.560]   It's just that people put themselves in a position
[00:25:49.560 --> 00:25:51.400]   where they got, they forgot.
[00:25:51.400 --> 00:25:55.200]   They forgot that longer term bonds go down more
[00:25:55.200 --> 00:25:56.820]   when entrance rates rise
[00:25:56.820 --> 00:25:59.260]   and they didn't have money in places
[00:25:59.260 --> 00:26:04.180]   where they weren't exposed to that kind of risk.
[00:26:04.180 --> 00:26:07.500]   And so, if you have all of your fixed income
[00:26:07.500 --> 00:26:11.100]   in the same ETF or the same bond,
[00:26:11.100 --> 00:26:13.820]   there's no way to sell the short term bonds
[00:26:13.820 --> 00:26:16.580]   that you wanna access without also selling
[00:26:16.580 --> 00:26:18.720]   the longer term ones that you don't.
[00:26:18.720 --> 00:26:21.140]   And a recession's the same way.
[00:26:21.140 --> 00:26:23.380]   The lower quality bonds are gonna suffer.
[00:26:23.380 --> 00:26:26.380]   The higher quality bonds are gonna do just fine.
[00:26:26.380 --> 00:26:30.340]   So, if you break those up and always have an aspect,
[00:26:30.340 --> 00:26:33.180]   whether it's cash, whether it's some T-bills,
[00:26:33.180 --> 00:26:36.220]   whether it's a very short term ETF,
[00:26:36.220 --> 00:26:41.020]   that you know that when you get conditions like 2022,
[00:26:41.020 --> 00:26:42.420]   they're gonna hold their value
[00:26:42.420 --> 00:26:45.180]   or they're only gonna go down two or 3%
[00:26:45.180 --> 00:26:48.300]   when the bond market was down 13.
[00:26:48.300 --> 00:26:50.540]   - So, I know we have a lot
[00:26:50.540 --> 00:26:54.900]   of sort of three fund portfolio enthusiasts in the room.
[00:26:54.900 --> 00:26:57.900]   It sounds like in my accumulation phase,
[00:26:57.900 --> 00:27:00.740]   I'm probably fine with that three fund portfolio,
[00:27:00.740 --> 00:27:03.180]   but then when retirement hits,
[00:27:03.180 --> 00:27:05.900]   I want a little more nuance in my bond portfolio
[00:27:05.900 --> 00:27:07.980]   to be able to maybe say,
[00:27:07.980 --> 00:27:11.900]   I just wanna pull from my short term bonds in 2022.
[00:27:11.900 --> 00:27:14.060]   - Well, anything you have in your portfolio
[00:27:14.060 --> 00:27:15.840]   should be there for a good reason.
[00:27:15.840 --> 00:27:18.460]   And it should be a reason of something you wanna achieve
[00:27:18.460 --> 00:27:21.520]   or to be useful when there's a circumstance
[00:27:21.520 --> 00:27:23.520]   you wanna avoid.
[00:27:23.520 --> 00:27:25.660]   And if you think of a scenario
[00:27:25.660 --> 00:27:28.100]   where what you've got is gonna put you in a position,
[00:27:28.100 --> 00:27:30.420]   and the same with a total market index fund
[00:27:30.420 --> 00:27:32.700]   for equities also,
[00:27:32.700 --> 00:27:36.900]   where you're forced to sell some of everything,
[00:27:36.900 --> 00:27:39.660]   including stuff you really don't want to,
[00:27:39.660 --> 00:27:41.100]   that's a pretty good sign
[00:27:41.100 --> 00:27:44.040]   that maybe you wanna break things up just a little bit
[00:27:44.040 --> 00:27:47.260]   because it can help you avoid a problem you'd rather avoid.
[00:27:47.260 --> 00:27:49.840]   - How about inflation protection?
[00:27:49.840 --> 00:27:52.660]   How do you think about adding inflation protection
[00:27:52.660 --> 00:27:54.260]   to your client portfolios?
[00:27:54.260 --> 00:27:56.620]   And is that something that people need
[00:27:56.620 --> 00:27:58.060]   in the accumulation years,
[00:27:58.060 --> 00:28:01.340]   or is it mainly when you're in decumulation
[00:28:01.340 --> 00:28:03.540]   where you need to be most on guard with that?
[00:28:03.540 --> 00:28:05.120]   Can you talk about that?
[00:28:05.120 --> 00:28:06.540]   - Well, a great way is, first of all,
[00:28:06.540 --> 00:28:08.060]   keep your expenses down.
[00:28:08.060 --> 00:28:14.060]   Vanguard did a study where they surveyed financial advisors
[00:28:14.060 --> 00:28:16.340]   and they wanted to know how many people had portfolios
[00:28:16.340 --> 00:28:19.540]   where the internal expenses were less than 20 basis points.
[00:28:19.540 --> 00:28:21.820]   And I think the answer was 2%.
[00:28:21.820 --> 00:28:24.140]   So we were happy to be in the minority
[00:28:24.140 --> 00:28:26.860]   with the way we do things, and that helps a lot.
[00:28:26.860 --> 00:28:31.860]   And the stuff that has worked over time continues to work,
[00:28:31.860 --> 00:28:34.580]   even with 2022.
[00:28:34.580 --> 00:28:37.660]   If you go back over the last three years and five years,
[00:28:37.660 --> 00:28:40.260]   you'll find that equities outperformed commodities.
[00:28:40.260 --> 00:28:44.180]   And so having a little bit more in equities
[00:28:44.180 --> 00:28:49.180]   just gives you over time a higher real return.
[00:28:50.060 --> 00:28:53.620]   And so, and you don't have to get fancy with it.
[00:28:53.620 --> 00:28:57.300]   It's the difference between 50 and 60% equities,
[00:28:57.300 --> 00:29:00.820]   or, and I just wanna say a little more about this
[00:29:00.820 --> 00:29:03.020]   because we think about,
[00:29:03.020 --> 00:29:05.140]   when we start to talk about that allocation,
[00:29:05.140 --> 00:29:08.140]   we're obviously talking about risk and volatility.
[00:29:08.140 --> 00:29:12.800]   And along the way, we think about these terms vertically.
[00:29:12.800 --> 00:29:14.360]   How high is the market?
[00:29:14.360 --> 00:29:16.140]   How low will it go?
[00:29:16.140 --> 00:29:17.700]   Where is the bottom?
[00:29:17.700 --> 00:29:22.060]   All of those are vertical terms, and that's important.
[00:29:22.060 --> 00:29:26.480]   However, when you're retired, your risk becomes horizontal,
[00:29:26.480 --> 00:29:28.840]   not vertical, not only vertical.
[00:29:28.840 --> 00:29:30.620]   And by that, I mean,
[00:29:30.620 --> 00:29:34.140]   if you get a set of bad economic conditions,
[00:29:34.140 --> 00:29:36.020]   market conditions, et cetera,
[00:29:36.020 --> 00:29:38.380]   and you need to be taking money out,
[00:29:38.380 --> 00:29:41.820]   you need to have enough unaffected money
[00:29:41.820 --> 00:29:45.380]   that you can draw on without changing your lifestyle,
[00:29:45.380 --> 00:29:48.100]   'cause that's the sign of a plan that failed.
[00:29:48.100 --> 00:29:51.420]   For long enough, now that's a horizontal term,
[00:29:51.420 --> 00:29:54.260]   for a long enough period of time
[00:29:54.260 --> 00:29:57.180]   that the stuff that's down has a chance to recover.
[00:29:57.180 --> 00:30:00.020]   And so then you find yourself looking at how,
[00:30:00.020 --> 00:30:03.220]   you know, peak to trough to back up to a point
[00:30:03.220 --> 00:30:05.380]   where you wouldn't mind selling your equities again.
[00:30:05.380 --> 00:30:10.380]   How long a period of time do you want to be able
[00:30:10.380 --> 00:30:12.980]   to draw from without being put in a position
[00:30:12.980 --> 00:30:15.940]   of selling something before it's recovered enough?
[00:30:15.940 --> 00:30:19.140]   And whatever that length of time is for you,
[00:30:19.140 --> 00:30:21.180]   five years, eight years,
[00:30:21.180 --> 00:30:22.860]   depending on how you look at history,
[00:30:22.860 --> 00:30:25.780]   that's very, very helpful in deciding
[00:30:25.780 --> 00:30:28.100]   how much you should have in fixed income.
[00:30:28.100 --> 00:30:29.480]   But don't be fooled.
[00:30:29.480 --> 00:30:33.020]   If you say eight years and you're trying out 4%,
[00:30:33.020 --> 00:30:35.980]   you don't need 32% in bonds,
[00:30:35.980 --> 00:30:38.540]   because each year, the bonds that you have
[00:30:38.540 --> 00:30:39.780]   are gonna throw off interest,
[00:30:39.780 --> 00:30:42.300]   and the stocks are still gonna throw off dividends,
[00:30:42.300 --> 00:30:46.240]   and so maybe your portfolio yield is one.
[00:30:46.240 --> 00:30:49.580]   So that means you only need the other three for eight years.
[00:30:49.580 --> 00:30:51.980]   And so that 32 is now 24.
[00:30:51.980 --> 00:30:53.280]   This is simple math,
[00:30:53.280 --> 00:30:56.520]   but it really, really can help you make informed decisions,
[00:30:56.520 --> 00:30:58.500]   and that makes a huge difference
[00:30:58.500 --> 00:31:00.580]   in rate of return over time.
[00:31:00.580 --> 00:31:03.740]   - I have a small bore question about income distributions,
[00:31:03.740 --> 00:31:07.480]   which of course are higher today because yields are higher.
[00:31:07.480 --> 00:31:09.540]   Do you just plow those
[00:31:09.540 --> 00:31:12.180]   into your retired client's spending accounts,
[00:31:12.180 --> 00:31:13.580]   or do they get reinvested?
[00:31:13.580 --> 00:31:15.380]   And how do you decide,
[00:31:15.380 --> 00:31:18.340]   and do market conditions factor
[00:31:18.340 --> 00:31:20.420]   into the decisions that you might make there?
[00:31:20.420 --> 00:31:21.300]   - So you're talking about
[00:31:21.300 --> 00:31:22.340]   interest and dividend distributions?
[00:31:22.340 --> 00:31:26.080]   - Yeah, any organically generated income distributions
[00:31:26.080 --> 00:31:27.500]   coming out of holdings.
[00:31:27.500 --> 00:31:29.580]   - Well, when people are taking money out,
[00:31:29.580 --> 00:31:31.940]   most of the time,
[00:31:31.940 --> 00:31:35.340]   and for those of you in the room that are retired,
[00:31:35.340 --> 00:31:36.320]   I mean, there's different ways
[00:31:36.320 --> 00:31:37.780]   that you can take money quarterly,
[00:31:37.780 --> 00:31:38.900]   you could take it in chunks,
[00:31:38.900 --> 00:31:40.940]   but a lot of people like a paycheck,
[00:31:40.940 --> 00:31:43.380]   and social security comes in monthly,
[00:31:43.380 --> 00:31:45.060]   and they like some level
[00:31:45.060 --> 00:31:47.620]   of regular portfolio distribution regularly,
[00:31:47.620 --> 00:31:50.220]   so the portfolio's gotta generate money
[00:31:50.220 --> 00:31:51.940]   every month anyway,
[00:31:51.940 --> 00:31:56.740]   and so when you get those monthly interest distributions
[00:31:56.740 --> 00:31:58.420]   on the fixed income,
[00:31:58.420 --> 00:32:01.060]   or you get the quarterly equity dividends,
[00:32:01.060 --> 00:32:02.700]   we do those in cash,
[00:32:02.700 --> 00:32:04.500]   not any capital gain distributions,
[00:32:04.500 --> 00:32:07.220]   'cause we want those to get reinvested,
[00:32:07.220 --> 00:32:09.780]   and then we'll sell what's needed along the way,
[00:32:09.780 --> 00:32:11.100]   kind of as a rebalancing,
[00:32:11.100 --> 00:32:12.660]   it's a great way to rebalance.
[00:32:12.660 --> 00:32:16.060]   - Okay, so I know that we have been
[00:32:16.060 --> 00:32:17.620]   putting note cards on the tables,
[00:32:17.620 --> 00:32:19.820]   and we will be collecting questions,
[00:32:19.820 --> 00:32:21.860]   so if you have questions
[00:32:21.860 --> 00:32:24.460]   that you would like John to tackle,
[00:32:24.460 --> 00:32:27.260]   people will be coming around to pick them up.
[00:32:27.260 --> 00:32:28.500]   John, I had a question for you,
[00:32:28.500 --> 00:32:32.020]   I surveyed some advisor friends not so long ago
[00:32:32.020 --> 00:32:34.700]   about the toughest sell with their clients,
[00:32:34.700 --> 00:32:38.900]   whether it was getting them out of cash and into bonds,
[00:32:38.900 --> 00:32:42.540]   or whether it was keeping the faith with international,
[00:32:42.540 --> 00:32:44.620]   and the response from my advisor friends
[00:32:44.620 --> 00:32:48.740]   was increasingly keeping the faith with international
[00:32:48.740 --> 00:32:51.540]   is the tough conversation that they're having.
[00:32:51.540 --> 00:32:52.700]   Can you talk about that,
[00:32:52.700 --> 00:32:55.580]   and how you allocate your clients' portfolios,
[00:32:55.580 --> 00:32:57.740]   U.S. versus non-U.S.,
[00:32:57.740 --> 00:33:01.740]   and whether you do think that non-U.S. stocks
[00:33:01.740 --> 00:33:05.220]   represent potentially a better value today
[00:33:05.220 --> 00:33:06.580]   than the U.S. market?
[00:33:06.580 --> 00:33:08.340]   - Well, of course they represent a better value,
[00:33:08.340 --> 00:33:09.180]   but that doesn't mean
[00:33:09.180 --> 00:33:10.860]   they're gonna get higher returns, right?
[00:33:10.860 --> 00:33:13.140]   I mean, people who have bought that argument
[00:33:13.140 --> 00:33:14.620]   have been waiting for 10 years,
[00:33:14.620 --> 00:33:17.100]   and this year may turn out to be a year
[00:33:17.100 --> 00:33:19.300]   where, at least this most recent quarter,
[00:33:19.300 --> 00:33:23.580]   I don't argue with people about it.
[00:33:23.580 --> 00:33:27.580]   I literally say, you know, over the next 10 years,
[00:33:27.580 --> 00:33:31.540]   I can't tell you, I can't give you a reasoned opinion,
[00:33:31.540 --> 00:33:34.580]   or a case that one's gonna do better than the other,
[00:33:34.580 --> 00:33:38.540]   can't even tell you that having an international allocation
[00:33:38.540 --> 00:33:42.100]   is gonna make your portfolio less volatile.
[00:33:42.100 --> 00:33:46.220]   I will tell you that if you index the world,
[00:33:46.220 --> 00:33:50.180]   you've got 36% or 38% in international equity,
[00:33:50.180 --> 00:33:51.380]   so anything less than that
[00:33:51.380 --> 00:33:54.540]   is an active allocation decision,
[00:33:54.540 --> 00:33:57.900]   and maybe you wanna do it for that reason.
[00:33:57.900 --> 00:34:00.460]   We have some clients that is like, well, that's fine.
[00:34:00.460 --> 00:34:02.860]   In 10 years, we'll find out who was right,
[00:34:02.860 --> 00:34:06.940]   but why don't we, you know, if international represents 32%,
[00:34:06.940 --> 00:34:09.980]   maybe you wanna cut that in half and do 16.
[00:34:09.980 --> 00:34:14.820]   We've been pretty US-focused just in our model portfolios,
[00:34:14.820 --> 00:34:17.020]   and the international range has ranged
[00:34:17.020 --> 00:34:21.860]   between typically 25 and 30%, but it's a tough call,
[00:34:21.860 --> 00:34:24.660]   and the valuation piece, you know,
[00:34:24.660 --> 00:34:26.620]   a lot of people have been buying value stocks
[00:34:26.620 --> 00:34:29.100]   for a long time and waiting for it to pan out,
[00:34:29.100 --> 00:34:31.380]   and maybe in somebody else's lifetime, they will.
[00:34:31.380 --> 00:34:32.860]   We just don't know.
[00:34:32.860 --> 00:34:37.020]   - Does the non-US allocation change for your clients
[00:34:37.020 --> 00:34:38.740]   based on their life stage?
[00:34:38.740 --> 00:34:42.660]   Do younger clients get more fully globally diversified
[00:34:42.660 --> 00:34:44.540]   portfolios and then maybe you back off
[00:34:44.540 --> 00:34:46.820]   as someone approaches retirement?
[00:34:46.820 --> 00:34:48.460]   - Well, yes and no.
[00:34:48.460 --> 00:34:51.260]   You know, the view that we take in is that, you know,
[00:34:51.260 --> 00:34:54.460]   you kinda have an ideal equity allocation
[00:34:54.460 --> 00:34:56.860]   based on whatever your view of the world is.
[00:34:56.860 --> 00:34:59.860]   Maybe it's just the way the world indexes,
[00:34:59.860 --> 00:35:02.540]   and so if a client has, you know,
[00:35:02.540 --> 00:35:03.740]   they're young and they're gonna have
[00:35:03.740 --> 00:35:05.140]   100% of their money in equities,
[00:35:05.140 --> 00:35:06.500]   they're gonna get that split,
[00:35:06.500 --> 00:35:09.420]   and if someone is retired and in terms of
[00:35:09.420 --> 00:35:11.540]   what their needs are and speaking with them,
[00:35:11.540 --> 00:35:13.860]   you know, they're only gonna have 40% in equities,
[00:35:13.860 --> 00:35:15.420]   they're gonna have that same ratio.
[00:35:15.420 --> 00:35:18.740]   We look at that as this is our best advice,
[00:35:18.740 --> 00:35:21.820]   and so the age piece doesn't really have
[00:35:21.820 --> 00:35:25.100]   a large factor involved in that the way we look at it.
[00:35:25.100 --> 00:35:27.780]   - Okay, there's been a lot of hubbub
[00:35:27.780 --> 00:35:32.780]   about these sort of custom baskets of individual stocks
[00:35:32.780 --> 00:35:36.820]   versus just holding, say, a total market index fund
[00:35:36.820 --> 00:35:40.340]   and the ideas that you can do active tax loss harvesting
[00:35:40.340 --> 00:35:42.140]   with the individual stocks.
[00:35:42.140 --> 00:35:43.260]   Can you talk about that?
[00:35:43.260 --> 00:35:48.260]   There have been a lot of claims about the potential benefits
[00:35:48.260 --> 00:35:51.940]   that that sort of active tax loss selling could yield.
[00:35:51.940 --> 00:35:54.660]   Can you talk about how you think about that?
[00:35:54.660 --> 00:35:55.860]   - Well, I wanna ask you all,
[00:35:55.860 --> 00:35:57.380]   how many of you think that John Bogle
