
[00:00:00.000 --> 00:00:10.940]   Let me also pull up chat real quick. But for those that don't know, there's the five series
[00:28:49.840 --> 00:28:55.680]   again, you know, if small, we need mid training. They love this concept of mid training. So quick questions
[00:28:55.680 --> 00:29:00.880]   to ask is how much mid training do they need? And then what do we do after mid training? Like careful
[00:29:00.880 --> 00:29:06.880]   distillation, preference learning RL, what should we do next? Uh, once again, systematically address these
[00:29:06.880 --> 00:29:12.080]   conditions and propose a recipe for building small reasoning models. Mid training is basically after
[00:29:12.080 --> 00:29:20.960]   pre training and after pre training and before post training. It's mid training. Um, it's like, you know, you
[00:29:20.960 --> 00:29:26.400]   have SFT for post training, but before you do that, when you have base model, is there something that we can
[00:29:26.400 --> 00:29:33.440]   do to do this sort of reasoning or before this specific RL DPO before that last step of most high
[00:29:33.440 --> 00:29:39.280]   quality stuff? Basically, uh, you know, if you take an instruction model, like five, four mini, and you
[00:29:39.280 --> 00:29:48.400]   just do direct, um, 1000 samples of high quality deep data, like you're cooked, you're not getting, um, reasoning.
[00:29:48.400 --> 00:29:53.280]   The models, the small models cannot pick that up in time. So they're saying mid training is where, you know,
[00:29:53.280 --> 00:29:59.360]   you need this stage of, let's do some chain of thought, extended synthetic reasoning data. Let's
[00:29:59.360 --> 00:30:04.320]   roll out reasoning, tracing steps. Let's have thinking steps. Let's do a lot of those. Then we
[00:30:04.320 --> 00:30:11.360]   go once again to our core examples. Um, that's kind of what, that's kind of what it is. And yeah, it's like, uh,
[00:30:11.360 --> 00:30:19.200]   basically train us train on chain of thought before your RL. Okay. Multi-stage, um, continual training for
[00:30:19.200 --> 00:30:25.440]   reasoning. So, um, multi-stage continual training is good. First we do that. We train curated chain
[00:30:25.440 --> 00:30:32.320]   of thought reasoning data set. Then we run RL with verifiable rewards. Okay. So can distillation be used
[00:30:32.320 --> 00:30:39.280]   as mid training? Yes. Uh, we want to use distillation. So we train base models with next token prediction
[00:30:39.280 --> 00:30:46.560]   on extensive corpus of synthetic chain of thought data. Uh, chain of thought are generated from deep
[00:30:46.560 --> 00:30:52.000]   seek R1. We apply rejection sampling, only get the correct answer. They talk about this later in
[00:30:52.000 --> 00:30:56.640]   section four. We pair questions with correct chain of thought, uh, with corresponding correct chain of
[00:30:56.640 --> 00:31:03.280]   thought answers, train a base model using standard causal language modeling objective. Uh, they have a
[00:31:03.280 --> 00:31:11.120]   packing mode. So basically what they're doing here is not just SFT on reasoning. They're packing in multiple
[00:31:11.120 --> 00:31:17.600]   examples into one training set, right? So, um, multiple examples are packed into the same input sequence
[00:31:17.600 --> 00:31:24.800]   to increase token efficiency. So we're not specifically trying to learn what is input output. We're not doing
[00:31:24.800 --> 00:31:30.560]   SFT to just do reasoning step answer. We're doing multiple examples. So like they're packing in a bunch of
[00:31:30.560 --> 00:31:38.000]   them. So like you could have seven examples of input chain of thought output, input chain of thought output.
[00:31:38.000 --> 00:31:42.800]   And we're just trying to learn and mid training, you know, here's how we do chain of thought. It's not
[00:31:42.800 --> 00:31:50.960]   just good answer generation. Um, this is like an effective way to use mid training, uh, you know, effective
[00:31:50.960 --> 00:31:57.360]   way to allow mid training to iteratively use as much chain of thought data as possible until the model
[00:31:57.360 --> 00:32:03.360]   starts to perform well on a validation set. Then we have, uh, distillation for SFT.
[00:32:03.360 --> 00:32:10.640]   Basically after it started to learn how to do this chain of thought, um, you know, we do
[00:32:10.640 --> 00:32:16.880]   fine tuning or just continual training in a non-packing way. And then that's where you teach the model where
[00:32:16.880 --> 00:32:24.480]   to stop generating text. Okay. After that, uh, rollout preference learning, uh, this is where, you know,
[00:32:24.480 --> 00:32:30.080]   the previous two stages is trained only on accepted generation. So they've done filtration.
[00:32:30.080 --> 00:32:36.800]   They've taken out all incorrect examples. They're only doing positive chain of thought. Here's question.
[00:32:36.800 --> 00:32:42.000]   Here's chain of thought. Here's answer packet, unpack it. You now know how to think, you now know where to
[00:32:42.000 --> 00:32:50.000]   stop, but now they want to use rejected rollouts to enhance performance. Basically, um, they, this is how they
[00:32:50.000 --> 00:32:58.640]   they like ensure that you have, uh, diversity, you have enough thinking, you have, you know, conciseness.
[00:32:58.640 --> 00:33:06.400]   So basically incorrect responses with minor nuances are compared to their correct answers and they provide
[00:33:06.400 --> 00:33:13.040]   positive, effective candidates for constructing informative preference pairs. Uh, so you can do preferences of, you know,
[00:33:13.040 --> 00:33:18.400]   uh, here's the right, uh, thinking approach, but the answer was wrong. And then here's the correct way to
[00:33:18.400 --> 00:33:24.640]   do it. Uh, this preference data set is constructed by using correct, um, correct answers as preferred
[00:33:24.640 --> 00:33:31.280]   rollouts and incorrect as dispreferred rollout. So now, uh, you know, we have DPO, we're going to do DPO and
[00:33:31.280 --> 00:33:35.680]   we have, here's chain of thought with correct answer. Here's chain of thought where you kind of messed up a
[00:33:35.680 --> 00:33:42.800]   little bit. Let's, let's do that. Then we have, um, RL with verifiable reward. So now we've done some
[00:33:42.800 --> 00:33:49.440]   alignment with DPO. We want it to, you know, we want to have preference towards these pair of examples,
[00:33:49.440 --> 00:33:56.880]   but now we want, um, RL on the distilled and preference train model. So, um, in the following,
[00:33:56.880 --> 00:34:04.320]   we describe RL algorithms that we've implemented. So PPO, PPO is a clip surrogate objective to limit
[00:34:04.320 --> 00:34:10.000]   the policy update. So it stays close to previous policy. Clipping is doing this, dah, dah, dah, dah.
[00:34:10.000 --> 00:34:17.840]   It has stabilization. Basically this is where they want it to, um, you know, okay, let's see. We have
[00:34:18.400 --> 00:34:26.560]   PPO and GRPO. We love our GRPO, um, comparing rewards in a batch with multiple responses. So
[00:34:26.560 --> 00:34:32.080]   for each question, we sample a set of responses under the old policy, compute their rewards,
[00:34:32.080 --> 00:34:36.960]   average out what we want. There's a verifiable reward for the right one. Standard RL stuff at these
[00:34:36.960 --> 00:34:44.080]   days. Um, what else base, uh, high variance in response lens. So, uh, our pilot study applying
[00:34:44.080 --> 00:34:49.520]   GRPO to train base model, we observed three issues that affected stability and effectiveness of, um,
[00:34:49.520 --> 00:34:56.080]   of model training, high variance in response lens. So although the base model after mid training is
[00:34:56.080 --> 00:35:01.520]   already able to generate chain of thought responses, we observed substantial variability and response
[00:35:01.520 --> 00:35:09.120]   lens within the same GRPO sampling group. So, uh, when you generate multiple outputs for the same example,
[00:35:09.600 --> 00:35:16.320]   uh, there's a lot of variability and how long that is. So for some stuff, positively reward responses
[00:35:16.320 --> 00:35:22.880]   range from 12,000 to 20,000 tokens, which is, you know, pretty large, uh, optimizing the model for standard
[00:35:22.880 --> 00:35:32.640]   GRPO. Um, it led to instability, right? Okay. Vanishing gradient. This is what you would expect. Um, you know,
[00:35:33.680 --> 00:35:41.520]   so as they did, um, a bunch of these, as they had so much diversity, so many different, uh, lengths,
[00:35:41.520 --> 00:35:50.160]   you kind of had identical rewards. So, uh, vanishing gradient problem, zero variance in the returns. Um,
[00:35:50.160 --> 00:35:58.320]   the model is sensitive to intra-group length discrepancies requiring extended GRPO batch size to 128. So
[00:35:58.320 --> 00:36:04.000]   more batches in GRPO while it worked. Um, we hypothesized that these issues become more
[00:36:04.000 --> 00:36:08.480]   prominent for small language models where RL stability is likely to be more fragile compared
[00:36:08.480 --> 00:36:16.160]   to large models. Okay. Uh, moving on quick, since we're short on time, what else? Synthetic data,
[00:36:16.160 --> 00:36:22.640]   synthetic chain of thought data generation. So we can stock large-scale reasoning data set composed of LLM
[00:36:22.640 --> 00:36:30.080]   generated synthetic, synthetic reasoning capabilities, uh, trajectories. Uh, they use a bunch of pre-made
[00:36:30.080 --> 00:36:35.920]   data sets. So basically all these are open data, open data sets and their sizes and whether they have
[00:36:35.920 --> 00:36:43.360]   reasoning or not. Um, for data sets that already had reasoning traces, we directly use their annotation.
[00:36:43.360 --> 00:36:49.920]   So basically, uh, bespoke labs, open R1 math from hugging face and open thoughts from open thoughts.
[00:36:49.920 --> 00:36:56.560]   That's roughly what is that like 350,000 samples. It has reasoning annotations. They use that, uh,
[00:36:56.560 --> 00:37:01.360]   for the other ones. So all these six or seven different data sets, um,
[00:37:01.360 --> 00:37:09.520]   we retain only, sorry, for data sets lacking such trajectories, we retain only math questions
[00:37:09.520 --> 00:37:16.000]   and generate new chain of thought answers using R1, the big R1, 671B. For each question, we sample
[00:37:16.000 --> 00:37:24.880]   approximately eight rollouts. And, um, in total, we collect 10 million rollouts across 1.6 million
[00:37:24.880 --> 00:37:31.280]   samples. So, uh, they use all these for the other ones. They use big R1. They only use math. They get
[00:37:31.280 --> 00:37:37.280]   10, uh, eight rollouts per, now they have 10 million samples. All the previous, uh, training steps. So the mid-training
[00:37:37.280 --> 00:37:43.120]   and stuff that's used with this data set, this is not like a new training stage. This is just explaining
[00:37:43.120 --> 00:37:50.320]   the previous steps above. Okay. Um, this is kind of interesting as well. For math questions that are
[00:37:50.320 --> 00:37:56.800]   verifiable, we first apply math verification tools to address correctness. Uh, some auto-verification
[00:37:56.800 --> 00:38:03.280]   fails for complex solutions. And then it says, we additionally employ 40 mini to re-verify rollouts,
[00:38:03.280 --> 00:38:09.760]   incorrectly flagged, initially flagged as incorrect. I thought this was interesting. Like, um, we're in
[00:38:09.760 --> 00:38:17.360]   like mid 2025, we have O3, we have O1, we have 2.5 flash, we have Sonnet, we have all these big models,
[00:38:17.360 --> 00:38:25.360]   but let's verify our math with 40 mini. Like, let's think about that for a second. We have benchmarks,
[00:38:25.360 --> 00:38:31.920]   we have tables, we have everything. But for verifying if our math was flagged as incorrect properly,
[00:38:31.920 --> 00:38:40.640]   let's use 40 mini. Why do we use 40 mini? That's for Microsoft for them to, you know, not tell us.
[00:38:40.640 --> 00:38:48.400]   Uh, could they have used a bigger model? I think so. But anyway, um, they do that. Okay, experiments,
[00:38:48.400 --> 00:38:56.960]   evaluations, um, you know, we evaluate our model on three, mathematical, uh, possibly they're obsessed
[00:38:56.960 --> 00:39:02.800]   with token cost, 40 mini validation. I think 40 mini validation is just, you know, it's mini model. Let's
[00:39:02.800 --> 00:39:11.200]   compare it to mini. Um, 40 mini was compared to big, uh, five, four of the 14 B model. And based on
[00:39:11.200 --> 00:39:18.480]   estimates, you know, people say active parameters of 40 mini are small. So that's fair for token costs.
[00:39:18.480 --> 00:39:26.640]   I mean, I don't know. These are not cheap models to train. You know, this is a 14 B model trained on
[00:39:26.640 --> 00:39:32.400]   10 trillion tokens. Um, that's a lot of compute. That's in the millions of dollars of compute.
[00:39:32.400 --> 00:39:38.320]   One thing I highlighted here that I might've skipped over was how cheap training five, four mini reasoning
[00:39:38.320 --> 00:39:46.720]   was. Um, like, I'm not going to say it's like deep seek are one cost $5 million, but, um, you know,
[00:39:46.720 --> 00:39:52.400]   there's obviously a lot of filtration, a lot of time, a lot of synthetic data generation, a lot of inference
[00:39:52.400 --> 00:39:59.920]   that goes into this, but they trained this on, I believe 32 H one hundreds for like two and a half days.
[00:40:00.480 --> 00:40:08.240]   So like maybe 64 H one hundreds, but, uh, very few nodes were used, you know? So like, this is something
[00:40:08.240 --> 00:40:14.240]   that someone could do themselves if they really wanted, if someone can actually pull up the five,
[00:40:14.240 --> 00:40:21.520]   four mini reasoning model on hugging face, it explains the, um, GPUs used to link it, just share it in chat.
[00:40:21.520 --> 00:40:26.880]   And we'll go over it real quick. But, um, that was something I wanted to know, you know, um, training
[00:40:26.880 --> 00:40:32.960]   this thing, the reasoning model outside of generating that data, which honestly, even in and of itself,
[00:40:32.960 --> 00:40:40.320]   they just used, um, a lot of deep seek or one, and they used open data sets. Like this thing didn't
[00:40:40.320 --> 00:40:46.960]   cost that much to train two nodes of H one hundreds for two and a half days. Like that's on the scale of
[00:40:46.960 --> 00:40:56.240]   tens to hundreds of thousands of dollars. So not that crazy, you know? Um, but yeah, uh, what else, uh, to,
[00:40:56.240 --> 00:41:01.520]   to show their results. Once again, you know, they're very cautious of overfitting on benchmarks.
[00:41:02.080 --> 00:41:06.800]   Uh, they, they do three runs and they, they report the averages and they're like,
[00:41:06.800 --> 00:41:12.320]   they have a whole section on how they need to redo on how we need to better evaluate reasoning models.
[00:41:12.320 --> 00:41:19.520]   Uh, they have a section on like reasoning models versus non-reasoning where, where these evals sit,
[00:41:19.520 --> 00:41:25.440]   uh, baselines and stuff. But yeah, they kind of show that, you know, the thing's pretty good.
[00:41:25.440 --> 00:41:30.880]   Training strategies. This is very straightforward, right? So what do they do? Distillation, uh,
[00:41:30.880 --> 00:41:36.960]   distill, uh, sorry, in the distillation stages, what's the batch size learning rate, how many epochs,
[00:41:36.960 --> 00:41:42.400]   warmup ratio, sequence length, packing, not packing. Um, this is all just, you know,
[00:41:42.400 --> 00:41:47.520]   if you really care about that, go ahead and read it. We're running short on time, so I will not read it
[00:41:47.520 --> 00:41:56.240]   for us. Um, on scores, here's kind of where they sit. So once again, like they show all of their stages,
[00:41:56.240 --> 00:42:02.320]   right? So basic five, four mini sucked at these math and reasoning benchmarks.
[00:42:02.320 --> 00:42:08.800]   O1 mini, good. Distills, pretty good. The other people, not so good. Base llama, not good.
[00:42:08.800 --> 00:42:15.520]   Adding distillation mid-training, ooh, a lot of bonuses, a lot of pretty good stuff. Adding
[00:42:15.520 --> 00:42:21.600]   distillation fine-tuning after, even better. Uh, adding rollout DPO, even better.
[00:42:21.600 --> 00:42:27.280]   RL GURPOL. Wow, we're good. It beats everything. Actually, it doesn't beat everything, but you know,
[00:42:27.280 --> 00:42:35.440]   um, pretty good. Beats, uh, R1 Distill Quinn 7B and R1 Distill Llama 8B, which, you know,
[00:42:36.320 --> 00:42:43.840]   when DeepSeek came out, a lot of people for local inference were using, um, Distill Quinn 7B. Uh,
[00:42:43.840 --> 00:42:52.400]   Tyler has linked the hugging face thing. Let's, let's check it out real quick. Um, context length, what model is this?
[00:42:54.880 --> 00:43:04.800]   5-4 mini reasoning. Okay. Model quality, H100, GPU times 128 H100s for two days of training. So, you know,
[00:43:04.800 --> 00:43:14.080]   not that much. Assuming $2 per hour for H100, 128 times 48 hours is $12,000. Um, math checks out,
[00:43:14.080 --> 00:43:20.000]   but math doesn't really check out. Um, you can't assume $2 per H100 hour. Cause you know, you're doing
[00:43:20.000 --> 00:43:26.800]   this on actual nodes of training, but yeah, you know, per hour on H100, you can say 12K. Now that
[00:43:26.800 --> 00:43:32.400]   you're doing it on node level, maybe double it up, maybe triple it up. But point being, you know, tens of
[00:43:32.400 --> 00:43:38.080]   thousands of dollars for this, hundreds of billions of tokens, not trillions of tokens. And this is stuff
[00:43:38.080 --> 00:43:45.120]   that like low key could have been done earlier, but, um, yeah, they show it out stage by stage. Thank
[00:43:45.120 --> 00:43:52.960]   Thank you, Tyler for link and, um, quick math. Um, they show out stage by stage performance,
[00:43:52.960 --> 00:44:02.560]   ablations, um, fun charts, safety. We need safety. Ours stay consistent. Others go down.
[00:44:02.560 --> 00:44:09.440]   What else? Conclusion. Okay. They love their line, uh, small models when trained with deliberate data
[00:44:09.440 --> 00:44:15.360]   selection and training strategies can match or even exceed capabilities of larger models.
[00:44:15.360 --> 00:44:20.320]   They want to show this work as a blueprint for developing efficient, high performing models
[00:44:20.320 --> 00:44:26.240]   under resource constraints. Now, one of the very interesting things is, you know, um,
[00:44:26.240 --> 00:44:32.240]   some of the other work that's referenced here, like the distillation models, uh, distillation with SFT is
[00:44:32.240 --> 00:44:37.600]   cool. Deep seek showed it really worked, right? Let me see if this chart actually compares to base
[00:44:37.600 --> 00:44:43.040]   Lama. I believe they have it in there at the bottom. So basically for let's change color real
[00:44:43.040 --> 00:44:52.560]   quick for regular Lama 3.2. Oh, they did 3B. Goddamn. Nevermind. I was trying to compare Lama 8B to 8B.
[00:44:52.560 --> 00:44:59.440]   Uh, but you know, okay, let's just say for five, four, which is better than 8B on reasoning data sets.
[00:44:59.440 --> 00:45:08.960]   We did really, really bad. Now, what deep seek showed is with basic SFT on reasoning data, um, you can get pretty
[00:45:08.960 --> 00:45:18.560]   good performance. Uh, what they show is if you have a well thought out process to do this specifically for, um,
[00:45:18.560 --> 00:45:25.680]   small models, you can do even better than what people were very amazed by in the past. So, um,
[00:45:26.480 --> 00:45:33.040]   this thought out way to do this is really good. Um, what else, what else? Uh, so they basically have
[00:45:33.040 --> 00:45:40.800]   this as a blueprint for small model thinking RL. Um, what was interesting was just, yeah, stuff doesn't
[00:45:40.800 --> 00:45:48.160]   directly transfer over, you know? So, um, S1, if someone correct me if I'm wrong, I think was done on
[00:45:48.160 --> 00:45:55.600]   Quen 32B, right? Or one of the large ones where, you know, you take a thousand samples, you have small
[00:45:55.600 --> 00:46:01.760]   model and now you have really good reasoning. They tried that exact recipe with their small model.
[00:46:01.760 --> 00:46:09.840]   They took five, four mini, they did S1 training and not only did it not improve as much, it actually got
[00:46:09.840 --> 00:46:17.520]   worse. So, uh, you know, this stuff doesn't translate transfer over at face value for regular, um,
[00:46:17.520 --> 00:46:25.200]   foundation model stuff. It does like in the regular five, four 14B, um, they did a lot of their experiments
[00:46:25.200 --> 00:46:32.080]   on a 7B and then they, they did a lot of their pre-training data experiments on a 7B
[00:46:32.080 --> 00:46:39.360]   and then they transferred over to a 14B for actual train run. Where is this? It's somewhere in here.
[00:46:39.360 --> 00:46:46.080]   Um, yeah, right here, right here. So we observe a high rank correlation between the performance of
[00:46:46.080 --> 00:46:52.160]   7B and 14B models on different data mixtures. Given large enough distance between the two data mixtures,
[00:46:52.160 --> 00:46:58.080]   uh, this allocated us to conduct experiments on 7B scale and transfer findings to 5-4, which is 14B.
[00:46:58.080 --> 00:47:05.120]   Uh, the key difference between 32B and this one is mid-training? No, so this one is a 14B,
[00:47:05.120 --> 00:47:10.480]   which also had mid-training. This is basically a mixture of a bunch of stuff, the small reasoning.
[00:47:10.480 --> 00:47:16.880]   Um, there's a whole bunch of sets of this, but here, yeah, basically they have a whole bunch of,
[00:47:16.880 --> 00:47:22.560]   um, let's learn chain of thought, packed, unpacked to know where to stop, then let's do RL.
[00:47:22.560 --> 00:47:29.600]   That's a better approach for mini reasoning model. Uh, we have questions and discussions, but this is
[00:47:29.600 --> 00:47:34.880]   not the only paper that dropped. I, in fact, was bamboozled an hour ago when I decided to
[00:47:34.880 --> 00:47:40.480]   read these turns out there's like low key two and a half papers. So we needed to know 5-4 base to see
[00:47:40.480 --> 00:47:46.720]   what they did. Then there's 5-4 mini reasoning, which is their 3.8B. Then there's also just 5-4 reasoning.
[00:47:46.720 --> 00:47:53.920]   5-4 reasoning is not one model. It's actually two models. Um, 5-4 reasoning is where they take the 14B model.
[00:47:55.040 --> 00:48:03.120]   they do, um, they make a reasoning model using O3 mini traces. Uh, and they have another one. They have
[00:48:03.120 --> 00:48:08.720]   5-4 reasoning plus where they basically do the same thing as before, but now they add RL specifically. And,
[00:48:08.720 --> 00:48:16.800]   uh, now they're comparing it to the 70B distills. And guess what? It does well. It outperforms the 70Bs.
[00:48:16.800 --> 00:48:22.080]   So same benchmarks, reasoning benchmarks. Um, we show that the benefit of carefully,
[00:48:22.080 --> 00:48:27.760]   of careful data curation and SFT extends to reasoning models. This can be further amplified
[00:48:27.760 --> 00:48:33.600]   with RL. So similar to how there's like, uh, O3 mini, low, high, O1 pro, all that stuff.
[00:48:34.640 --> 00:48:40.880]   They can also do this. So they have, um, uh, 5-4 reasoning and 5-4 reasoning plus. Could this paper
[00:48:40.880 --> 00:48:47.440]   have basically just launched 5-4 reasoning plus and called it 5-4 reasoning? Yes. They didn't have to
[00:48:47.440 --> 00:48:55.200]   do two. This is very similar to how in the, uh, reasoning mini paper they have, oh, this is the,
[00:48:55.200 --> 00:48:58.720]   this is the big one. One sec. In this reasoning mini paper,
[00:49:01.280 --> 00:49:07.360]   in the mini reasoning paper, they show every stage of training and how it performed. Right? Like
[00:49:07.360 --> 00:49:15.520]   they could have also had 5-4 mini reasoning and then 5-4 mini reasoning plus and do their whole recipe.
[00:49:15.520 --> 00:49:21.200]   Like it's starting to do better as it is. But, um, in this one, they, I guess the point they're trying
[00:49:21.200 --> 00:49:28.400]   to make is that an additional RL stage takes you from 5-4 reasoning to 5-4 reasoning plus. Um,
[00:49:30.400 --> 00:49:37.040]   yeah. TLDR is, um, they're getting O1 mini O3 level performance, beating R1 70Bs.
[00:49:37.040 --> 00:49:44.960]   Uh, yeah. Okay. I'm going to try to go through this in three minutes. Sorry on bad use of time. Um,
[00:49:44.960 --> 00:49:59.520]   how they do this. So 14B model, it's 5-4. Uh, they have a 14B model, supervised, fine-tuned. So they do SFT. Then they have reasoning plus, which has a further
[00:49:59.520 --> 00:50:07.040]   round of RL, uh, 1.4 million prompt of high quality answers containing long reasoning traces generated using
[00:50:07.040 --> 00:50:13.200]   O3 mini. Prompts are filtered to cover a range of difficulty. They want it to be stuff that the regular
[00:50:13.200 --> 00:50:19.680]   model can't answer. So if 5-4, is there any traction on these? Yeah. Uh, five models have decent traction.
[00:50:19.680 --> 00:50:24.480]   The reasoning one just came out. I don't know about traction on this. Um, so
[00:50:24.480 --> 00:50:32.960]   they basically want to filter out stuff that the regular, um, five model can solve. They only want
[00:50:32.960 --> 00:50:39.120]   to do stuff that it can't solve. Um, my highlighting got weird. So the data set used in SFT includes stem
[00:50:39.120 --> 00:50:45.840]   topics, coding, safety focused, uh, tasks. The reasoning plus model is trained using RL on a
[00:50:45.840 --> 00:50:51.360]   small set of 6,000 high quality math posted, math focused problems with verifiable solutions.
[00:50:51.360 --> 00:50:56.960]   Kind of interesting, right? They get so much performance gain from just 6,000 samples of RL.
[00:50:56.960 --> 00:51:04.720]   Um, they talk into how RL is, um, RL is like, you know, it has high variance, but it also has high
[00:51:04.720 --> 00:51:09.440]   impact if done correctly, but then it's just math. So, you know, live code bench went down a little
[00:51:09.440 --> 00:51:17.680]   bit. Uh, interesting thing to note. Okay. Basically it's a data, like the whole training pipeline,
[00:51:17.680 --> 00:51:22.880]   it matches what they've done in previous five models or come models. Uh, they once again,
[00:51:22.880 --> 00:51:29.600]   want to show that good data curation, synthetic data, small models to be good. A small model performs
[00:51:29.600 --> 00:51:36.880]   better than 01 mini 70 B models. They also outperform Claude's, uh, 3.72 thinking on all
[00:51:36.880 --> 00:51:44.080]   taxes, um, except GPQA and calendar planning performance on this. Okay. Performance is cool.
[00:51:44.080 --> 00:51:51.600]   Um, this was kind of an interesting one. Um, both of them present improvements over the base models,
[00:51:51.600 --> 00:51:57.520]   including math and specific, notably improvement of 50 percentage points here. Surprisingly,
[00:51:57.520 --> 00:52:05.680]   these models also improved by 30, 60 percentage points on, um, algorithmic and planning problems
[00:52:05.680 --> 00:52:12.640]   like calendar planning, which demonstrate increased generalizability of reasoning skills to domains
[00:52:12.640 --> 00:52:19.360]   that we did not target directly during SFT or RL. So, uh, on stuff they didn't target and didn't train,
[00:52:19.360 --> 00:52:24.800]   this shit still generalizes. Uh, very cool. Very cool. Improvement on general benchmarks.
[00:52:24.800 --> 00:52:30.480]   Of course it improves. Here's numbers of hell thinking effort versus accuracy trade-off. This was
[00:52:30.480 --> 00:52:36.480]   interesting. So the reasoning plus model that slapped some RL that does better, it takes approximately
[00:52:36.480 --> 00:52:42.560]   1.5 times more, more tokens than the other one. Uh, this difference is less pronounced on other reasoning
[00:52:42.560 --> 00:52:50.880]   domains. So, um, uses this on average. So some domains like coding, planning, spatial tasks.
[00:52:50.880 --> 00:52:57.840]   Uh, these are all avenues to improve RL. Okay. Keep going through quick five, four demonstrates
[00:52:57.840 --> 00:53:02.800]   reasoning responses. They show some examples that the reasoning one did that the other one couldn't. So
[00:53:03.600 --> 00:53:11.440]   this is a word play riddle. This is a question, you know, I have coin tosses. What's the chance I see
[00:53:11.440 --> 00:53:17.840]   exactly 1.2 heads five, four would give you, you know, an actual math calculation. The reasoning model
[00:53:17.840 --> 00:53:25.840]   is like, you can't get exactly 0.2. So probability is zero. Um, pretty cool. Pretty cool. More stuff, planning,
[00:53:25.840 --> 00:53:35.040]   games. Crazy. It can do games, data stuff, uh, seed database. We specifically target seeds situated at
[00:53:35.040 --> 00:53:40.160]   the edge of five four's current ability. Additionally, to maximize the focus of reasoning skills and data
[00:53:40.160 --> 00:53:46.880]   set, we prioritize prompts that demand complex multi-step reasoning, as opposed to those, uh, testing
[00:53:46.880 --> 00:53:52.240]   factual knowledge. So they want reasoning stuff. They want teachable things, synthetic seeds. Sorry,
[00:53:52.240 --> 00:53:58.480]   I'm going quick. We're at like one minute left. So I'm going to go through this quick, quick, uh,
[00:53:58.480 --> 00:54:05.200]   five, four reasoning, basically SFT on five, four with specific tokens. They have reasoning tokens.
[00:54:05.200 --> 00:54:10.720]   They use two of those empty tokens that they have. They have think and, um, you know, think tags that they
[00:54:10.720 --> 00:54:18.640]   add in, uh, increased token length. So they, they extend the 32 K synthetically generate examples of long
[00:54:18.640 --> 00:54:27.920]   chain of thought over this. Our SFT data set is 1.4 million prompt response pairs, um, totaling 8.3
[00:54:27.920 --> 00:54:34.800]   billion unique token samples. So this many extended out over these domains. Here's training. Here's SFT
[00:54:34.800 --> 00:54:41.760]   steps. Here's improvement. Uh, during exploration stage, we studied effects of various design choices.
[00:54:41.760 --> 00:54:50.880]   Here's that role of SFT seed hyperparameters, uh, role of system message. Of course, system message is useful. So,
[00:54:50.880 --> 00:54:58.400]   um, basically to promote chain of thought, they tell the thing, uh, you're a system, you're a thinking
[00:54:58.400 --> 00:55:05.760]   model, have your thinking and think tags, um, partially removing or replacing system messages was cool, but it
[00:55:05.760 --> 00:55:11.920]   didn't work. Here's the exact thing. You're a large language model by Microsoft. Your role is an assistant
[00:55:11.920 --> 00:55:18.240]   involved story, uh, exploring questions that, uh, please structure responses in two sections.
[00:55:18.240 --> 00:55:23.600]   Thought solution using the performed method, think thought section and think then solution
[00:55:23.600 --> 00:55:28.720]   second in thought detail, your reasoning steps. Each step should include analysis, summarize,
[00:55:28.720 --> 00:55:35.520]   brainstorm, the solution section should be logical, accurate, concise. Um, now try it with the following
[00:55:35.520 --> 00:55:43.600]   guidelines. So that's our system message. It helped optimization base model. So they, they considered
[00:55:43.600 --> 00:55:51.200]   using the base model before SFT, like we talked about. So the 14 B before that SFT, um, both of them
[00:55:51.200 --> 00:55:58.320]   worked pretty well, but the, you know, the one with SFT and instruction tuning did slightly better.
[00:55:58.320 --> 00:56:05.200]   So they use it. Um, we attribute this to addition of safety focused post training. Wow. Safety is all
[00:56:05.200 --> 00:56:14.160]   you need. Um, scaling final model is trained on 16 B trillion, 16 B tokens in this. Okay. Uh, real,
[00:56:14.160 --> 00:56:20.240]   real quick, the plus. So they did 6,000 samples of RL. We applied outcome-based RL to enhance reasoning
[00:56:20.240 --> 00:56:32.480]   capabilities. Um, um, um, they use, um, 72,000 math problems. Um, 72,000 math problems subset to 64 seeds of
[00:56:32.480 --> 00:56:41.680]   that. We do small set of 6,400 problems. See, no coding reward function. They want it to, or is it basically, um,
[00:56:42.400 --> 00:56:48.960]   incentivize correctness, penalize undesirable behavior, such as reputation and extensive length,
[00:56:48.960 --> 00:56:54.160]   and encourage proper response formatting. Uh, we encourage the model to generate concise outputs
[00:56:54.160 --> 00:56:59.280]   when it's correct, provoke thinking to think more when it's incorrect. Here's how they do that with
[00:56:59.280 --> 00:57:08.960]   GERPO, uh, repetition penalty, training details. Uh, oh, this was the one that was, um, bat size of 64 over
[00:57:08.960 --> 00:57:19.520]   32 H100. So, sorry. The, um, the mini that we talked about was 128 H100s, but this, uh, reasoning plus
[00:57:19.520 --> 00:57:26.720]   was only 32 H100s, 64 batches for that much. It's like a couple hundred hours. They also do context
[00:57:26.720 --> 00:57:31.680]   length extension here, but I think that's enough. I don't want to go too long over. They have evals.
[00:57:31.680 --> 00:57:36.240]   Of course they have evals, but I want to, you know, even though we're over time, I want to give it two
[00:57:36.240 --> 00:57:42.480]   minutes for questions. They have a whole main findings, takeaways, stuff like that. Um, I'm gonna go over
