
[00:00:00.000 --> 00:00:07.520]   I actually want to share my entire screen for a second. So Magistral is kind of Mistral's
[00:26:52.480 --> 00:26:59.120]   concise. Some generators might be very long and then they do have stuff in RL policy that, um, has like a
[00:26:59.120 --> 00:27:06.640]   length penalty. They have stuff to keep it within a certain distribution, but then you also want it to
[00:27:06.640 --> 00:27:13.840]   explore long lengths. But point being, um, these, these things are skewed, right? So if you have
[00:27:13.840 --> 00:27:20.000]   some stuff that's waiting for an extra 20,000 tokens to be generated, are you just stalling the generator or
[00:27:20.000 --> 00:27:26.640]   are you throwing this in some batch? How are you verifying stuff as it comes in? Um, so one of the main
[00:27:26.640 --> 00:27:31.920]   components inter is to introduce no bias on the sequence length, right? You can't do this all
[00:27:31.920 --> 00:27:38.320]   sequentially because you'll have so much delay. So how do we do this? Um, a more competing goal is to
[00:27:38.320 --> 00:27:43.680]   update the generator weights as soon as possible, right? So as soon as one inference is done, just do
[00:27:43.680 --> 00:27:49.040]   another one. And we want the generators to be as on policy as possible, but we want them to operate
[00:27:49.040 --> 00:27:54.880]   without waiting for trainers. So you don't want to wait. You want to be on, on policy kind of weird
[00:27:54.880 --> 00:27:59.520]   since you're keep, so it's like this kind of lag thing. I think I should have drawn a diagram for this,
[00:27:59.520 --> 00:28:08.000]   but GG. Um, so what they do is async generators. Basically we process batches sequentially. You start
[00:28:08.000 --> 00:28:14.080]   the generators on a batch, wait for all sequences to complete, update the model weights. No, sorry.
[00:28:14.080 --> 00:28:18.640]   This is not what they do. This is what you could do. And this is why it's slow. So what you would
[00:28:18.640 --> 00:28:27.200]   expect is, okay, basically you batch out all inferences. So do all your rollouts, wait for
[00:28:27.200 --> 00:28:33.200]   them all to complete, update all model weights on both the trainers and generators, and then repeat.
[00:28:33.200 --> 00:28:39.280]   So here's kind of the lag. As the first generator is done, as your first rollout that short finishes,
[00:28:39.280 --> 00:28:44.560]   you're now waiting for, that's kind of sitting idle for the other rollouts to complete. Once they're all
[00:28:44.560 --> 00:28:52.000]   done, we send them all to verifiers to verify the output. Generators are all sitting idle. And of
[00:28:52.000 --> 00:28:57.120]   course, the trainers are all just storing weights, doing nothing. Once the verification is done, then we
[00:28:57.120 --> 00:29:01.920]   do all the back prop, check what might weights to change. Then we update the trainers. After trainers
[00:29:01.920 --> 00:29:07.600]   are updated, then we have to change those weights back to generators, even more lag. So we have to
[00:29:07.600 --> 00:29:14.400]   re-update the weights on generators. Then we do all this again sequentially. Very, very bad. You have idle
[00:29:14.400 --> 00:29:19.680]   generators, low pipeline efficiency. This is fine for a little bit of post training. It's not that deep.
[00:29:19.680 --> 00:29:25.760]   So for an entire train run, you're cooked. You're like, it's not efficient. They want to be efficient.
[00:29:25.760 --> 00:29:31.200]   So we operate generators continuously at maximum throughput without even waiting for trainers.
[00:29:31.200 --> 00:29:37.760]   Basically, this means you're always doing rollouts and you'll always gather small groups from generators,
[00:29:37.760 --> 00:29:44.720]   verify them, update trainers. After these updates, trainers send new weights via NCCL. This is like
[00:29:45.280 --> 00:29:53.760]   interconnect InfiniBand GPU to GPU weight updates and they don't even disregard in-flight sequences that
[00:29:53.760 --> 00:30:00.640]   are being generated. So there's like this push of always keep rollouts happening and then always update
[00:30:00.640 --> 00:30:06.640]   those weights. Even if you're off policy and you're using old weights, just keep using them and you might
[00:30:06.640 --> 00:30:13.440]   be slightly off. Your KVs, your KV caches, so like your old previously generated tokens will be on old
[00:30:13.440 --> 00:30:18.320]   policy, but it's okay. It doesn't matter. Just use it. It doesn't make much of a difference.
[00:30:18.320 --> 00:30:24.640]   I think everyone should like really read into this section quite a bit. If you care about distributed,
[00:30:24.640 --> 00:30:29.600]   like large-scale RL training, it's a very elegant solution that just works that they tried.
[00:30:29.600 --> 00:30:35.520]   Yeah. So they just kind of keep stuff always happening. Here's kind of a, here's kind of a good
[00:30:35.520 --> 00:30:41.040]   diagram of what's happening here. So generators are rollouts, right? So you generate a bunch of sequences of
[00:30:41.040 --> 00:30:47.360]   different lengths. This one very long, this one very short. Do they open source the code? No,
[00:30:47.360 --> 00:30:51.280]   they don't. They don't open source shit. They don't even tell us what data this is trained on,
[00:30:51.280 --> 00:30:55.840]   but small LLM does, but they don't do this same fancy stuff. Okay. And they actually don't do native
[00:30:55.840 --> 00:31:02.000]   RL from scratch. They're doing distribution. They're doing distillation, but actually that's not as
[00:31:02.000 --> 00:31:08.160]   relevant. Anyway, so long output, short output. Generators just keep shitting out generations.
[00:31:08.160 --> 00:31:15.120]   Verifiers check when they can. Here are kind of batches that happen and you compute your back prop
[00:31:15.120 --> 00:31:21.040]   and your weight updates. You do this on the fly as soon as these little mini batches get filled. Then
[00:31:21.920 --> 00:31:27.360]   with Interconnect and FiniBand, you update these generator weights. And since they're still chunking
[00:31:27.360 --> 00:31:32.320]   out stuff, you might have stuff that's a little bit off policy from previous steps, previous weights,
[00:31:32.320 --> 00:31:37.760]   but it's okay. Just keep it running and it'll all work out in the end. And very efficient,
[00:31:37.760 --> 00:31:44.000]   fast pipeline of one to four. Let's read through this again, since I think this is interesting. So
[00:31:44.000 --> 00:31:50.880]   generators continuously output completions from prompts. So your generators are always doing rollouts.
[00:31:50.880 --> 00:31:59.600]   When a completion is finished, it's sent to a verifier. So check if it's box, check the output,
[00:31:59.600 --> 00:32:07.920]   run a code compile test. If it passes or if it doesn't, you do your step three, send it to a batch
[00:32:07.920 --> 00:32:15.040]   for updates. Each sequence is sent to a different data parallel group using all this stuff. Then you
[00:32:15.040 --> 00:32:22.320]   do gradient steps. So you do your GRPO. You check what's best on policy. Then this is very interesting.
[00:32:22.320 --> 00:32:30.080]   Wait to replace mid-generation, which means that in-flight generations continue with a slightly outdated
[00:32:30.080 --> 00:32:37.440]   KV cache and we do not refresh it. If I could just keep going. Sense model resides on both GPUs and
[00:32:37.440 --> 00:32:42.640]   trainers and generators. You basically have all the weights. You have to double up the weights, right?
[00:32:42.640 --> 00:32:48.080]   So are all very expensive. It's not just like hold weights, do next token prediction. You need two sets
[00:32:48.080 --> 00:32:54.400]   of weights actually held in memory. So expensive GPU shit. But since you have all the weights on your
[00:32:54.400 --> 00:33:02.320]   trainers and your generators, you can use NCCL, which is like CUDA InfiniBand GPU to GPU transfer,
[00:33:02.320 --> 00:33:10.640]   which is much faster than like most other data transfer shits. You can use that. It's very fast.
[00:33:10.640 --> 00:33:17.280]   That works. Okay. As a solution is generated for a single prompt, it may experience multiple updates
[00:33:17.280 --> 00:33:22.720]   from the weights. So even in a single prompt, as you're doing next token generation, you'll have multiple
[00:33:22.720 --> 00:33:30.400]   weight updates to that model reflecting latest time improvements. Very, very, very, very fast stuff. I think I'm too
[00:33:30.400 --> 00:33:35.280]   hyped on this training pipeline. So I'll just continue in case people are getting lost.
[00:33:35.280 --> 00:33:43.680]   Yup. That's that section. I think if you care more, read section three of this paper, follow up in
[00:33:43.680 --> 00:33:50.560]   Discord. Okay. Data curation. They only want to use verifiable solutions. Oh, actually, I'll take a pause.
[00:33:50.560 --> 00:33:59.120]   Any questions on this stuff? Or should we move on? Okay. No questions. I hope people followed. I like that section.
[00:33:59.120 --> 00:34:15.280]   Never mind. No question. Okay. Data curation. So data curation, we, they only want to use verifiable solution.
[00:34:15.280 --> 00:34:18.480]   Oh, people, sorry. Can I ask a quick question? Yes, yes, yes. Did they mention what the, like the sort of utilization level they got on their GPUs? No, no, no. They don't talk about any of this. I think actually there's, I don't know if I'm blanking. There might be,
[00:34:18.480 --> 00:34:36.480]   uh, a note that I'm not remembering it, but I'm like 80% sure they don't. But, uh, it seems like the generators are a hundred percent utilization. Verifiers will never be full utilization. And a lot of that doesn't have to even be on GPU. Cause you have to wait for sequences, even with your batching.
[00:34:36.480 --> 00:34:56.480]   Yeah. Um, trainers doing backprop. That's just efficiency of how well they updated this GRPO stuff. Um, but no, they, they don't talk about this level of efficiency.
[00:34:56.480 --> 00:35:04.480]   Somebody in the chat also asked about learning rate, uh, or open source code for the distributed RL or the two questions I think related to this section.
[00:35:04.480 --> 00:35:19.480]   Yeah. I answered the, the code. No, Mistral doesn't give any of it, but the small LLM paper does. They give it all. They give all the checkpoints, all the, not all the checkpoints. They give some checkpoints. They give base model, instruct model, training data, all that stuff.
[00:35:19.480 --> 00:35:29.480]   Good resource to learn a more distributed RL training. Yeah. I have a, I have a link of papers I would recommend. I'll, I'll share it in discord. Just remind me cause I'll probably forget.
[00:35:29.480 --> 00:35:37.480]   But, um, that's the fun thing about this paper, but let's, let's just spend the next five minutes covering the rest of it pretty quick.
[00:35:37.480 --> 00:35:44.480]   Okay. So, um, they want verifiable stuff. They basically want math and code. Ooh, I didn't know I could do this. Very fun.
[00:35:44.480 --> 00:35:50.480]   Um, they do a lot of filtration. Here's how they filter. So this is something I brought up earlier.
[00:35:50.480 --> 00:36:00.480]   Math started with 700,000 samples. Uh, they cut 95%. This is actually pretty interesting. They train a model with RL to do filtration.
[00:36:00.480 --> 00:36:08.480]   That's the TDR of this. So as you would expect, they get rid of the basic shit, right? So filter out stuff that has wrong answers filter.
[00:36:08.480 --> 00:36:14.480]   Uh, they do a little bit of rewriting. So, uh, final answers are verifiable with a rule based system.
[00:36:14.480 --> 00:36:20.480]   They want to filter proof based multi-part problems where it's difficult to verify, uh, correctness. So get rid of shit.
[00:36:20.480 --> 00:36:26.480]   That's hard to verify. They reformulate multiple choice into statement based problems for more robust verification.
[00:36:26.480 --> 00:36:35.480]   So some rewriting, uh, two stage of filtration process. So first, um, they want stuff that's like Goldilocks difficulty, right?
[00:36:35.480 --> 00:36:44.480]   Not too easy, not too hard. So if Mr. Large can answer all of it, um, throw it away. If it can't, can't answer any of it, throw it away again.
[00:36:44.480 --> 00:36:53.480]   So sample 16 problems, 16 solutions for each problem, removing the ones that are either never solved or solved with high success rate.
[00:36:53.480 --> 00:37:03.480]   Um, then this initial set they use to train a 24 B model with this RL pipeline, getting a small model that's better than Mistral too large, right?
[00:37:03.480 --> 00:37:12.480]   So step one, use your best model, filter out shit. Step two, do a little bit of RL on a model to make it good at math.
[00:37:12.480 --> 00:37:17.480]   Then in the second stage, use this model to once again, answer the shit that was hard.
[00:37:17.480 --> 00:37:22.480]   Uh, well answer everything filter, just do inference, right? Get rid of the easy stuff again.
[00:37:22.480 --> 00:37:30.480]   Then we filter out potentially incorrect problems that have a majority of samples with the same final answer of a degree on the ground of a disagree.
[00:37:30.480 --> 00:37:35.480]   Um, so you can kind of bring back some stuff that was hard, but not hard.
[00:37:35.480 --> 00:37:43.480]   This two stage is good because, um, a single pass with the initial weaker model would have been insufficient.
[00:37:43.480 --> 00:37:53.480]   The reasoning capabilities would have caused it to discard many difficult problems that were incorrect, but this new middle model can kind of solve them.
[00:37:53.480 --> 00:38:00.480]   So kind of interesting, right? Use your big model, get rid of everything easy and hard. Train a reasoning model, use the reasoning model again.
[00:38:00.480 --> 00:38:06.480]   You can bring back some hard stuff that your hard model couldn't solve. Now you have more data, but holy shit.
[00:38:06.480 --> 00:38:12.480]   They, they filtered a lot. They got rid of 95% of the stuff. Uh, code same, same beans, right?
[00:38:12.480 --> 00:38:20.480]   So we want them to be, um, a large number of correct tests. First remove stuff without solutions and without enough tests.
[00:38:20.480 --> 00:38:30.480]   This was kind of the interesting thing. Each solution is then tested. Uh, we disregard tests with insufficient, we disregard tests with insufficient agreement.
[00:38:30.480 --> 00:38:37.480]   Um, then, uh, yeah, this two paragraph is a ton of work, right? You have to train a whole middle model.
[00:38:37.480 --> 00:38:41.480]   And I mean, you get rid of 95% of your data, kind of crazy.
[00:38:41.480 --> 00:38:49.480]   Um, on code, we want the, okay, what do we do for tests with sufficient agreement, but no successful solution.
[00:38:49.480 --> 00:38:54.480]   We assume that the test is incorrect and updated. That's just some like next level shit, right?
[00:38:54.480 --> 00:38:58.480]   I don't know if it's that next level, but basically your test is wrong. Fuck you.
[00:38:58.480 --> 00:39:04.480]   We'll make our, we'll rewrite our test. Uh, in cases where the code lacks tests, we just generate tests.
[00:39:04.480 --> 00:39:09.480]   If we are confident we can generate tests. This is like, this paragraph is also a good bit of work, right?
[00:39:09.480 --> 00:39:14.480]   Uh, finally, we, where applicable problem statements are duplicated to Python and C++.
[00:39:14.480 --> 00:39:18.480]   Then we have 35 K sets. Here's where they're like, Hey, we can't tell you everything.
[00:39:18.480 --> 00:39:24.480]   We don't tell you how many we started with. Uh, we just end with, um, with 35 K.
[00:39:24.480 --> 00:39:28.480]   Okay. Experimentation. Uh, that's, that's data section. I think it's pretty interesting.
[00:39:28.480 --> 00:39:34.480]   The math stuff is pretty cool. Okay. How far can one get with pure RL given a strong teacher model?
[00:39:34.480 --> 00:39:43.480]   Um, very basic diagram, right? So data filtering, uh, for math, phase one, phase two, phase three.
[00:39:43.480 --> 00:39:47.480]   This is kind of useless for code. Just do that training overview.
[00:39:47.480 --> 00:39:55.480]   So for MISTO3 medium for magistral medium, it's just pure RL. For MISTO3 small, you do some SFT on rollout.
[00:39:55.480 --> 00:40:00.480]   Then you do RL and then you've got magic wand over here. Here's kind of their RL stages.
[00:40:00.480 --> 00:40:04.480]   Um, length plateaus, increased completion length in the middle.
[00:40:04.480 --> 00:40:08.480]   So this is like more into that RL policy itself, right? They do multi-stages.
[00:40:08.480 --> 00:40:15.480]   So, uh, start with low length, add more length, add more challenging data, um, as you start to hit the limit.
[00:40:15.480 --> 00:40:21.480]   So it's like similar to pre-training, post-training where the analogy you can think of is for context length.
[00:40:21.480 --> 00:40:27.480]   First you do the majority of your training at like 4K context, then you do higher context, then you do higher context.
[00:40:27.480 --> 00:40:35.480]   Or for post-training, you do the majority of your SFT on regular data. Then you do a little bit of hard math and reasoning.
[00:40:35.480 --> 00:40:42.480]   Then you do SFT like the last 5% on all of your like super hard data. They do the same shit with RL.
[00:40:42.480 --> 00:40:49.480]   Um, duh, duh, duh, duh, duh. We, oh, for all their eval, um, they do temperature 0.7.
[00:40:49.480 --> 00:40:54.480]   Top-P of one, which is basically include all output distribution for math.
[00:40:54.480 --> 00:40:58.480]   And then for math, top-P of one. So include all your outputs.
[00:40:58.480 --> 00:41:08.480]   For GPQA, top-P of 0.95, which means you only use the, the like top 500 roughly, uh, output tokens.
[00:41:08.480 --> 00:41:15.480]   Um, maximum length for 4DK evals are good. I guess this, maybe I read a little bit more into this multi-stage.
[00:41:15.480 --> 00:41:18.480]   I don't know if they talked about it. I thought they did, but oh, here they do, they do.
[00:41:18.480 --> 00:41:24.480]   Um, okay. Evals. I don't care about evals on this, uh, model evals are fake news.
[00:41:24.480 --> 00:41:29.480]   You should really care about your, um, your other, your other evals.
[00:41:29.480 --> 00:41:34.480]   Okay. Your, your actual system evals. Okay. Training a model without cold start problem.
[00:41:34.480 --> 00:41:38.480]   This is basically what every, this is what DC DeepSeek said. You need cold start.
[00:41:38.480 --> 00:41:43.480]   Turns out that's fake news. Um, Fi showed that you can, you can do other stuff.
[00:41:43.480 --> 00:41:48.480]   This also shows you cannot do other stuff. So, uh, as model performance increases,
[00:41:48.480 --> 00:41:50.480]   we add harder data. Crazy.
[00:41:50.480 --> 00:41:55.480]   Harder data splits are in, are constructed by one more complicated data,
[00:41:55.480 --> 00:41:59.480]   which was filtered out earlier stage. So we saw that two stage of math, right?
[00:41:59.480 --> 00:42:04.480]   Basically that second stage where they use their smart model to generate stuff
[00:42:04.480 --> 00:42:09.480]   that the Mr. Large couldn't solve, but RL model could solve that's used in the second stage
[00:42:09.480 --> 00:42:13.480]   or just completely removing, um, or completely remove stuff.
[00:42:13.480 --> 00:42:15.480]   Uh, length doesn't stop growing.
[00:42:15.480 --> 00:42:19.480]   We increase allowed completion length and maximal completion length over time.
[00:42:19.480 --> 00:42:22.480]   Uh, this is in their RL penalty.
[00:42:22.480 --> 00:42:27.480]   So they have a RL penalty for length skewing of being too far out of distribution.
[00:42:27.480 --> 00:42:32.480]   As training progresses, they start to, um, they start to increase this.
[00:42:32.480 --> 00:42:36.480]   This is all on magistral medium. So just pure RL from, uh, SFT model.
[00:42:36.480 --> 00:42:42.480]   So basically from a useful assistant that went from next token predictor to useful chat bot,
[00:42:42.480 --> 00:42:47.480]   um, pure RL, they, they start to add harder and harder data.
[00:42:47.480 --> 00:42:49.480]   They start to allow for longer output.
[00:42:49.480 --> 00:42:55.480]   Um, generally as generation length increases, the memory associated with KV cache increases.
[00:42:55.480 --> 00:42:58.480]   So we scale down the total number of concurrent requests.
[00:42:58.480 --> 00:43:01.480]   Uh, this is something about RJ or like efficiency.
[00:43:01.480 --> 00:43:07.480]   They, they need to do better, um, better RL stuff, but they don't talk much about the training.
[00:43:07.480 --> 00:43:09.480]   I think I'm just inferring a lot from their stuff.
[00:43:09.480 --> 00:43:13.480]   I could be completely fake using this and being wrong, but that's my interpretation.
[00:43:13.480 --> 00:43:17.480]   Then the fun one, the Apache 2, um, RL with SFT bootstrapping.
[00:43:17.480 --> 00:43:21.480]   So, um, they do a cold start on SFT traces from magistral medium.
[00:43:21.480 --> 00:43:23.480]   So they take their big model.
[00:43:23.480 --> 00:43:24.480]   That's a reasoner.
[00:43:24.480 --> 00:43:25.480]   They don't use deep seek.
[00:43:25.480 --> 00:43:35.480]   They, they, they pass through, um, they basically pass through traces of, um, problems.
[00:43:35.480 --> 00:43:43.480]   They keep a mix of regular, uh, difficulty, dah, dah, dah, dah, avoid biasing towards easier problems.
[00:43:43.480 --> 00:43:47.480]   So mix of easy, hard, um, early chain of thought.
[00:43:47.480 --> 00:43:48.480]   Then they, they do SFT.
[00:43:48.480 --> 00:43:52.480]   So generate responses from reasoning model on a diverse set of prompts.
[00:43:52.480 --> 00:43:54.480]   They use, um, open data sets here.
[00:43:54.480 --> 00:43:58.480]   They use open thoughts and a code subset of open R1.
[00:43:58.480 --> 00:44:02.480]   Uh, this gives us a reasoning data set with mixed difficulty.
[00:44:02.480 --> 00:44:08.480]   We also include 10% data points of general instruction tuning to preserve non-reasoning capabilities.
[00:44:08.480 --> 00:44:13.480]   They do four epochs of training of how many samples.
[00:44:13.480 --> 00:44:15.480]   They tell us how many samples and that's somewhere here.
[00:44:15.480 --> 00:44:20.480]   Then we use this SFT checkpoint with RL.
[00:44:20.480 --> 00:44:22.480]   They do their RL thing.
[00:44:22.480 --> 00:44:27.480]   Now that knows how to kind of do, um, do this reasoning.
[00:44:27.480 --> 00:44:28.480]   Where'd it go?
[00:44:28.480 --> 00:44:31.480]   Uh, temperature of this, dah, dah, dah, dah.
[00:44:31.480 --> 00:44:32.480]   Okay.
[00:44:32.480 --> 00:44:33.480]   Benchmarks of bullshit.
[00:44:33.480 --> 00:44:35.480]   Um, benchmarks exist.
[00:44:35.480 --> 00:44:36.480]   Multilingual benchmarks.
[00:44:36.480 --> 00:44:40.480]   This was my, uh, what is this?
[00:44:40.480 --> 00:44:44.480]   We see that the model performs lower on multilingual compared to English.
[00:44:44.480 --> 00:44:49.480]   Probably because we constrained English in the language of reasoning.
[00:44:49.480 --> 00:44:50.480]   Okay.
[00:44:50.480 --> 00:44:52.480]   It's similar to that of a base model.
[00:44:52.480 --> 00:44:54.480]   I guess someone did bring up multi, multi link.
[00:44:54.480 --> 00:44:56.480]   No, someone brought up multimodal, not multilingual.
[00:44:56.480 --> 00:44:58.480]   But yeah, slightly worse multimodal.
[00:44:58.480 --> 00:44:59.480]   It's good.
[00:44:59.480 --> 00:45:00.480]   Uh, multilingual slightly cooked.
[00:45:00.480 --> 00:45:03.480]   Uh, I don't want to spend much time on benchmarks.
[00:45:03.480 --> 00:45:04.480]   So I will skip this.
[00:45:04.480 --> 00:45:08.480]   I don't think many people use these models, but very good.
[00:45:08.480 --> 00:45:09.480]   Very good paper.
[00:45:09.480 --> 00:45:11.480]   Uh, sorry for skipping, but it's good.
[00:45:11.480 --> 00:45:13.480]   Abilation is pretty fun.
[00:45:13.480 --> 00:45:16.480]   Um, cross domain generalization.
[00:45:16.480 --> 00:45:17.480]   I talked about this.
[00:45:17.480 --> 00:45:21.480]   So if you only do RL on math, can it do good on code?
[00:45:21.480 --> 00:45:22.480]   Yes, it can.
[00:45:22.480 --> 00:45:28.480]   If you only do RL on, um, code, can it do good on math?
[00:45:28.480 --> 00:45:29.480]   Yes, it can.
[00:45:29.480 --> 00:45:32.480]   So baseline was 32 on math, 22 on code.
[00:45:32.480 --> 00:45:34.480]   Only do RL on math.
[00:45:34.480 --> 00:45:35.480]   Guess what?
[00:45:35.480 --> 00:45:36.480]   Code goes up.
[00:45:36.480 --> 00:45:39.480]   Uh, baseline was, I'm cooked.
[00:45:39.480 --> 00:45:41.480]   Baseline was 32 on math.
[00:45:41.480 --> 00:45:43.480]   Only do RL on code.
[00:45:43.480 --> 00:45:44.480]   Guess what?
[00:45:44.480 --> 00:45:45.480]   Math goes up.
[00:45:45.480 --> 00:45:51.480]   Um, so shit kind of generalizes, but we only have two styles of reasoning verifiable data.
[00:45:51.480 --> 00:45:55.480]   So I don't know how much this matters, but it's cool.
[00:45:55.480 --> 00:45:56.480]   I guess it matters.
[00:45:56.480 --> 00:45:57.480]   I disagree.
[00:45:57.480 --> 00:45:58.480]   It matters.
[00:45:58.480 --> 00:46:00.480]   Um, what else?
[00:46:00.480 --> 00:46:04.480]   Are Mistral 3 small with pure RL achieve similar performance?
[00:46:04.480 --> 00:46:10.480]   Uh, as the distilled version suggests that benefits of RL are not exclusive to larger base models.
[00:46:10.480 --> 00:46:12.480]   This is one of those four points that they make.
[00:46:12.480 --> 00:46:20.480]   Um, we contribute insights to contradict existing formulas that, um, are,
[00:46:20.480 --> 00:46:25.480]   whether RL can improve upon distillation of SFT baseline.
[00:46:25.480 --> 00:46:29.480]   So if you remember for DeepSeq, what they also put out was distills.
[00:46:29.480 --> 00:46:36.480]   They used like actual logic based distillation laws and they distilled SFT.
[00:46:36.480 --> 00:46:44.480]   Um, they, they distilled the models on reasoning rollouts with SFT.
[00:46:44.480 --> 00:46:49.480]   And it had very, very good performance updates, uh, performance benchmarks.
[00:46:49.480 --> 00:46:50.480]   They're like, nah, fuck that.
[00:46:50.480 --> 00:46:52.480]   Our RL actually works pretty good too.
[00:46:52.480 --> 00:46:56.480]   And this shows that they did a Mistral 3 small with pure RL.
[00:46:56.480 --> 00:47:05.480]   So everything we talked about here was Mistral 3 small with SFT as a cold start then RL.
[00:47:05.480 --> 00:47:06.480]   But no, they actually trained one.
[00:47:06.480 --> 00:47:08.480]   That's also pure RL.
[00:47:08.480 --> 00:47:09.480]   It's pretty good.
[00:47:09.480 --> 00:47:11.480]   Um, actually, yeah, I think you're right.
[00:47:11.480 --> 00:47:14.480]   I don't think DeepSeq was logic based distillation.
[00:47:14.480 --> 00:47:18.480]   I think, uh, I don't think they could do that since that's not the same class family.
[00:47:18.480 --> 00:47:20.480]   It was just SFT based distillation.
[00:47:20.480 --> 00:47:21.480]   My bad.
[00:47:21.480 --> 00:47:27.480]   Um, but, uh, they're probably talking about the Quen, Quen logic based distillation.
[00:47:27.480 --> 00:47:30.480]   So same, same point, just Quen.
[00:47:30.480 --> 00:47:36.480]   Uh, DeepSeq was just SFT rollouts, but Quen should be logic based because Quen has same family.
[00:47:36.480 --> 00:47:38.480]   But I could also be wrong there.
[00:47:38.480 --> 00:47:39.480]   Okay.
[00:47:39.480 --> 00:47:41.480]   Uh, batching stuff.
[00:47:41.480 --> 00:47:42.480]   Skip it.
[00:47:42.480 --> 00:47:44.480]   Not enough time, but if you're interested, read it.
[00:47:44.480 --> 00:47:45.480]   Analysis.
[00:47:45.480 --> 00:47:50.480]   Um, increasing completion length is the main resource that improves performance.
[00:47:50.480 --> 00:47:52.480]   This is kind of interesting, right?
[00:47:52.480 --> 00:47:56.480]   So you must have longer, uh, completion length over time.
[00:47:56.480 --> 00:48:00.480]   Uh, the multimodal thing that I talked about for those that missed it was very interesting.
[00:48:00.480 --> 00:48:03.480]   That kind of, is this, did I skip this free lunch?
[00:48:03.480 --> 00:48:04.480]   Free lunch on multimodal.
[00:48:04.480 --> 00:48:08.480]   Um, yeah, that was interesting.
[00:48:08.480 --> 00:48:14.480]   Uh, low dimension space, uh, more fine grade rewards and code tasks, completion, dah, dah, dah, dah.
[00:48:14.480 --> 00:48:15.480]   Okay.
[00:48:15.480 --> 00:48:17.480]   Um, a length direction.
[00:48:17.480 --> 00:48:23.480]   So they do some PCA on outputs and find that length wants to go up, which is good.
[00:48:23.480 --> 00:48:25.480]   I think you can read that on your own.
[00:48:25.480 --> 00:48:27.480]   Uh, multimodal, I'll bring this up again.
[00:48:27.480 --> 00:48:30.480]   So models are natively multimodal.
[00:48:30.480 --> 00:48:38.480]   The base models that they train on, they have a vision encoder that encodes images in the same latent space.
[00:48:38.480 --> 00:48:42.480]   Reasoning happens only on text, but it's all in the same latent space.
[00:48:42.480 --> 00:48:49.480]   So one might expect that the performance of multimodal would degrade, but no, not only does it remain good, but it actually gets better.
[00:48:49.480 --> 00:48:55.480]   So mmMU, mmMU pro, uh, provision, all these go up.
[00:48:55.480 --> 00:48:57.480]   Very, very cool stuff.
[00:48:57.480 --> 00:48:59.480]   Um, what other impacts?
[00:48:59.480 --> 00:49:00.480]   Uh, function calling.
[00:49:00.480 --> 00:49:04.480]   The thing maintains and improves tool calling and instruction use.
[00:49:04.480 --> 00:49:07.480]   Um, partial reward for code data.
[00:49:07.480 --> 00:49:08.480]   This was an interesting one.
[00:49:08.480 --> 00:49:10.480]   So unsuccessful approaches.
[00:49:10.480 --> 00:49:13.480]   Uh, basically you need verification on output, right?
[00:49:13.480 --> 00:49:17.480]   So they thought, okay, what if, uh, we do partial stuff.
[00:49:17.480 --> 00:49:25.480]   So what if we can't verify the output and we want to give it a slight reward bonus for stuff where it's on the right path, but it gets the wrong output.
[00:49:25.480 --> 00:49:32.480]   So basically if you start thinking, uh, you fuck up at the end, but you're on the right path, can we give you a little bit of reward?
[00:49:32.480 --> 00:49:36.480]   No, we can't because that starts to give it false signals.
[00:49:36.480 --> 00:49:44.480]   Basically like, let's say you're thinking about how to answer a problem, like a math question, and you have good reasoning traces and you're following the stuff.
[00:49:44.480 --> 00:49:46.480]   But if you like, forget a theorem, right?
[00:49:46.480 --> 00:49:54.480]   Like let's say you forget central limit theorem and you just go down this complete opposite path, or you forget you can't divide by zero, or you forget like how to plot,
[00:49:54.480 --> 00:49:57.480]   how to plot an exponential and you're, you're doing everything right.
[00:49:57.480 --> 00:50:00.480]   You're thinking your reasoning, but you're on the complete wrong path.
[00:50:00.480 --> 00:50:03.480]   You're giving false signals and these are incorrect solutions.
[00:50:03.480 --> 00:50:05.480]   And, uh, yeah, it's actually worse.
[00:50:05.480 --> 00:50:08.480]   So for little proportional rewards, which would be great.
[00:50:08.480 --> 00:50:11.480]   That, that gives us a bunch more training data, right?
[00:50:11.480 --> 00:50:17.480]   If I don't have to use verifiable data, if I can still get little outputs from proportional rewards, uh, that would be huge.
[00:50:17.480 --> 00:50:21.480]   Cause we already have to cut 95% of our data, but it turns out this didn't work.
[00:50:21.480 --> 00:50:23.480]   I'm a little bit more bullish on this.
[00:50:23.480 --> 00:50:35.480]   I think that their approach to GRPO and how much reward they gave and the filtration, like, I think you need a better verifier on this and you can squeeze out some more performance, right?
[00:50:35.480 --> 00:50:39.480]   Uh, but then you need a good verifier on this and that.
[00:50:39.480 --> 00:50:40.480]   So I think there's still stuff.
[00:50:40.480 --> 00:50:45.480]   I think in the future we'll have like partial output verification stuff.
[00:50:45.480 --> 00:50:49.480]   You can quote me on this, uh, soon, but you need very good voter verifiers.
[00:50:49.480 --> 00:50:52.480]   Uh, I don't think that the, but like, it's the right approach, right?
[00:50:52.480 --> 00:50:54.480]   You, you basically gave it a false signal.
[00:50:54.480 --> 00:50:55.480]   You're cooked.
[00:50:55.480 --> 00:50:56.480]   Uh, entropy targeting.
[00:50:56.480 --> 00:50:58.480]   You want it to be exploratory.
