
[00:00:00.000 --> 00:00:01.000]   Okay, great, great.
[00:18:36.000 --> 00:18:38.000]   white box language models where you have the weights,
[00:18:38.000 --> 00:18:41.000]   grey box language models where you don't have the weights,
[00:18:41.000 --> 00:18:43.000]   and maybe you have more details about output,
[00:18:43.000 --> 00:18:47.000]   like say the probabilities of the various tokens,
[00:18:47.000 --> 00:18:51.000]   the log props, or completely black box models,
[00:18:51.000 --> 00:18:54.000]   like maybe an API provider that doesn't give
[00:18:54.000 --> 00:18:57.000]   any sort of indication of what goes on behind the scenes,
[00:18:57.000 --> 00:19:00.000]   and it just only gives a final check completion.
[00:19:00.000 --> 00:19:02.000]   So let's just share a bit more
[00:19:02.000 --> 00:19:03.000]   about the white box language model,
[00:19:03.000 --> 00:19:08.000]   because these sort of methods thereafter extend from here.
[00:19:08.000 --> 00:19:12.000]   So the sort of, for the white box language models,
[00:19:12.000 --> 00:19:14.000]   we sort of want to first build a data set
[00:19:14.000 --> 00:19:16.000]   that is called d_raw,
[00:19:16.000 --> 00:19:19.000]   where it consists of four things.
[00:19:19.000 --> 00:19:22.000]   Number one, the input prompt, which is x_i,
[00:19:22.000 --> 00:19:24.000]   the output, the answer that was generated
[00:19:24.000 --> 00:19:26.000]   by the language model y_i,
[00:19:26.000 --> 00:19:30.000]   we want the true answer, which is y_i_true,
[00:19:30.000 --> 00:19:33.000]   and lastly, the fourth item, which is the score,
[00:19:33.000 --> 00:19:35.000]   the evaluation of that answer,
[00:19:35.000 --> 00:19:39.000]   vis-a-vis the answer that the model generated.
[00:19:39.000 --> 00:19:42.000]   And notice how if I give the same x_i,
[00:19:42.000 --> 00:19:43.000]   I might get different y_i's
[00:19:43.000 --> 00:19:45.000]   because of the probabilistic nature of a language model,
[00:19:45.000 --> 00:19:49.000]   so that actually gives me more training data as well.
[00:19:49.000 --> 00:19:52.000]   So then from each sort of data,
[00:19:52.000 --> 00:19:55.000]   each row entry in this raw data set,
[00:19:55.000 --> 00:19:57.000]   I want to extract out features
[00:19:57.000 --> 00:19:59.000]   to construct what they call the uncertainty data set.
[00:19:59.000 --> 00:20:02.000]   So the uncertainty data set over here
[00:20:02.000 --> 00:20:05.000]   is denoted by d_un,
[00:20:05.000 --> 00:20:09.000]   is a tuple of your v_i and your scoring,
[00:20:09.000 --> 00:20:13.000]   and v_i here is a vector of selected features.
[00:20:13.000 --> 00:20:16.000]   So there are billions of parameters in a language model,
[00:20:16.000 --> 00:20:19.000]   and what they suggest is
[00:20:19.000 --> 00:20:22.000]   to use the hidden layers of the activation,
[00:20:22.000 --> 00:20:24.000]   and then for this experiment,
[00:20:24.000 --> 00:20:25.000]   they actually used the activations
[00:20:25.000 --> 00:20:27.000]   from the middle layer and the last layer.
[00:20:27.000 --> 00:20:31.000]   They even suggest other ways of getting features,
[00:20:31.000 --> 00:20:35.000]   such as directly asking the model to,
[00:20:35.000 --> 00:20:37.000]   like in the input prompt,
[00:20:37.000 --> 00:20:40.000]   appending the term, appending the phrase,
[00:20:40.000 --> 00:20:42.000]   "How certain are you about the response?"
[00:20:42.000 --> 00:20:44.000]   and then trying to get the activations
[00:20:44.000 --> 00:20:46.000]   with respect to that prompt.
[00:20:46.000 --> 00:20:48.000]   They suggest that as a method
[00:20:48.000 --> 00:20:49.000]   that other people have done it,
[00:20:49.000 --> 00:20:51.000]   but I don't think they implemented it
[00:20:51.000 --> 00:20:54.000]   in their approach when I read through the paper and the code.
[00:20:54.000 --> 00:20:57.000]   So once you have the uncertainty data set,
[00:20:57.000 --> 00:20:59.000]   which to recap is just
[00:20:59.000 --> 00:21:01.000]   a supervised learning example,
[00:21:01.000 --> 00:21:03.000]   where you're just a series of feature vectors,
[00:21:03.000 --> 00:21:04.000]   and then a score,
[00:21:04.000 --> 00:21:06.000]   you then train any other good old-fashioned
[00:21:06.000 --> 00:21:09.000]   supervised learning model to predict that score.
[00:21:09.000 --> 00:21:11.000]   And then once you have that trained model,
[00:21:11.000 --> 00:21:13.000]   which is now in 0.4 of what we see here,
[00:21:13.000 --> 00:21:15.000]   I can use that inference time
[00:21:15.000 --> 00:21:17.000]   where I have an input text,
[00:21:17.000 --> 00:21:18.000]   I feed it through the LLM,
[00:21:18.000 --> 00:21:19.000]   I extract the features,
[00:21:19.000 --> 00:21:21.000]   and I use my trained machine learning model
[00:21:21.000 --> 00:21:24.000]   to then predict the uncertainty score.
[00:21:24.000 --> 00:21:26.000]   So they do spend a bit of time in the paper,
[00:21:26.000 --> 00:21:28.000]   actually only in the appendix,
[00:21:28.000 --> 00:21:30.000]   so this is the kind of paper where you read the appendix
[00:21:30.000 --> 00:21:31.000]   to actually get the algorithm,
[00:21:31.000 --> 00:21:33.000]   how they actually implemented it.
[00:21:33.000 --> 00:21:36.000]   So they use 320 features.
[00:21:36.000 --> 00:21:40.000]   So these 320 features consist of 20 features
[00:21:40.000 --> 00:21:42.000]   that they use from the gray box LLM,
[00:21:42.000 --> 00:21:43.000]   which I'll explain later,
[00:21:43.000 --> 00:21:45.000]   and another 300 features of which
[00:21:45.000 --> 00:21:48.000]   they get 100 by running a LASSO regression,
[00:21:48.000 --> 00:21:51.000]   100 by calculating the mutual information,
[00:21:51.000 --> 00:21:54.000]   and 100 by calculating the correlation coefficient,
[00:21:54.000 --> 00:21:56.000]   and then they train a random forest regressor
[00:21:56.000 --> 00:21:58.000]   with these 320 features.
[00:21:58.000 --> 00:22:00.000]   You know, actually, I don't think,
[00:22:00.000 --> 00:22:03.000]   and they probably didn't fine tune,
[00:22:03.000 --> 00:22:07.000]   I mean, optimize the hyperparameters
[00:22:07.000 --> 00:22:08.000]   for this regression model,
[00:22:08.000 --> 00:22:10.000]   and it wasn't the point of that paper,
[00:22:10.000 --> 00:22:11.000]   it was just to demonstrate that it's possible,
[00:22:11.000 --> 00:22:14.000]   so it's probably an area of work
[00:22:14.000 --> 00:22:16.000]   if people are interested to tinker.
[00:22:16.000 --> 00:22:17.000]   So that's what they do.
[00:22:17.000 --> 00:22:21.000]   To recap, prompt, feed language model,
[00:22:21.000 --> 00:22:22.000]   get the activations,
[00:22:22.000 --> 00:22:24.000]   those activations, select a few,
[00:22:24.000 --> 00:22:26.000]   train another regression model.
[00:22:26.000 --> 00:22:28.000]   The second thing that they explain
[00:22:28.000 --> 00:22:30.000]   is how you can then incorporate this
[00:22:30.000 --> 00:22:32.000]   for gray box language models.
[00:22:32.000 --> 00:22:34.000]   So here, they actually then just
[00:22:34.000 --> 00:22:36.000]   come up with 20 features
[00:22:36.000 --> 00:22:39.000]   related to the output probabilities
[00:22:39.000 --> 00:22:41.000]   from both the response,
[00:22:41.000 --> 00:22:43.000]   but also the question or the prompt,
[00:22:43.000 --> 00:22:45.000]   and it's sort of covered there in the paper.
[00:22:45.000 --> 00:22:46.000]   It's not too interesting,
[00:22:46.000 --> 00:22:49.000]   but what I thought was somewhat interesting
[00:22:49.000 --> 00:22:52.000]   was how they could get it from 20 features.
[00:22:52.000 --> 00:22:54.000]   Then the last category is for the
[00:22:54.000 --> 00:22:55.000]   black box language models.
[00:22:55.000 --> 00:22:56.000]   So it's stuff like, let's say,
[00:22:56.000 --> 00:22:58.000]   OpenAI or Entropic.
[00:22:58.000 --> 00:23:00.000]   How do you actually get some
[00:23:00.000 --> 00:23:02.000]   uncertainty estimates from there?
[00:23:02.000 --> 00:23:03.000]   So that's what I thought was a bit clever,
[00:23:03.000 --> 00:23:06.000]   where they take an input prompt
[00:23:06.000 --> 00:23:07.000]   and they feed it to the proprietary,
[00:23:07.000 --> 00:23:08.000]   let's say, the black box model,
[00:23:08.000 --> 00:23:10.000]   and they get the output response.
[00:23:10.000 --> 00:23:11.000]   At the same time,
[00:23:11.000 --> 00:23:12.000]   they take that original input prompt
[00:23:12.000 --> 00:23:15.000]   and they feed it through a white box model,
[00:23:15.000 --> 00:23:16.000]   say, LamaTree,
[00:23:16.000 --> 00:23:19.000]   and get the activations of LamaTree,
[00:23:19.000 --> 00:23:22.000]   and they're trying to map the activations
[00:23:22.000 --> 00:23:24.000]   in LamaTree to the outputs
[00:23:24.000 --> 00:23:26.000]   of a proprietary model,
[00:23:26.000 --> 00:23:28.000]   and somehow that seems to work.
[00:23:28.000 --> 00:23:30.000]   In the paper, they do the experiments
[00:23:30.000 --> 00:23:32.000]   with Lama7B and Gemma...
[00:23:32.000 --> 00:23:35.000]   I think Lama27B and Gemma7B
[00:23:35.000 --> 00:23:36.000]   as black boxes,
[00:23:36.000 --> 00:23:38.000]   and by using the other open source model
[00:23:38.000 --> 00:23:39.000]   as the white box
[00:23:39.000 --> 00:23:42.000]   for the uncertainty estimation.
[00:23:42.000 --> 00:23:44.000]   So just going into the results,
[00:23:44.000 --> 00:23:45.000]   they cover three tasks,
[00:23:45.000 --> 00:23:47.000]   Q&A, MCQ, and translation,
[00:23:47.000 --> 00:23:49.000]   and they give the results here,
[00:23:49.000 --> 00:23:50.000]   and they compare it
[00:23:50.000 --> 00:23:52.000]   against other methods
[00:23:52.000 --> 00:23:55.000]   for getting uncertainty estimation
[00:23:55.000 --> 00:23:56.000]   because what you want
[00:23:56.000 --> 00:23:58.000]   is not just an answer.
[00:23:58.000 --> 00:24:01.000]   You want something like a probability
[00:24:01.000 --> 00:24:02.000]   between 0 and 1,
[00:24:02.000 --> 00:24:03.000]   and here what the figures you see
[00:24:03.000 --> 00:24:05.000]   are actually the AUC scores.
[00:24:05.000 --> 00:24:07.000]   So then they demonstrate
[00:24:07.000 --> 00:24:09.000]   that their method is better
[00:24:09.000 --> 00:24:10.000]   in getting a higher AUC
[00:24:10.000 --> 00:24:11.000]   for these various tasks
[00:24:11.000 --> 00:24:13.000]   for Q&A and translation.
[00:24:13.000 --> 00:24:16.000]   So the AUC of the score
[00:24:16.000 --> 00:24:18.000]   vis-à-vis the answer being correct,
[00:24:18.000 --> 00:24:22.000]   binary, yes or no correct.
[00:24:22.000 --> 00:24:23.000]   So just to give an example
[00:24:23.000 --> 00:24:24.000]   of what this looks like,
[00:24:24.000 --> 00:24:25.000]   so let's say over here
[00:24:25.000 --> 00:24:26.000]   in this screenshot,
[00:24:26.000 --> 00:24:27.000]   the question is,
[00:24:27.000 --> 00:24:29.000]   "What musical featured the songs
[00:24:29.000 --> 00:24:30.000]   'A Secretary is Not a Toy'
[00:24:30.000 --> 00:24:31.000]   in the company way?"
[00:24:31.000 --> 00:24:32.000]   I have no idea what that is,
[00:24:32.000 --> 00:24:33.000]   but apparently the answer is,
[00:24:33.000 --> 00:24:35.000]   "How to succeed in business
[00:24:35.000 --> 00:24:36.000]   without really trying?"
[00:24:36.000 --> 00:24:38.000]   And if you look at the table over here,
[00:24:38.000 --> 00:24:39.000]   if you were to take
[00:24:39.000 --> 00:24:40.000]   some sort of greedy approach
[00:24:40.000 --> 00:24:43.000]   and take the max probability,
[00:24:44.000 --> 00:24:46.000]   I believe, yeah,
[00:24:46.000 --> 00:24:49.000]   you would sort of get a--
[00:24:49.000 --> 00:24:51.000]   maybe it's the wrong answer,
[00:24:51.000 --> 00:24:52.000]   but yeah, you would get
[00:24:52.000 --> 00:24:53.000]   a probability of--
[00:24:53.000 --> 00:24:55.000]   you get a confidence score of 0.9,
[00:24:55.000 --> 00:24:56.000]   but if you look at, say,
[00:24:56.000 --> 00:24:57.000]   like the white box method,
[00:24:57.000 --> 00:24:58.000]   you would see that
[00:24:58.000 --> 00:24:59.000]   the correct answer
[00:24:59.000 --> 00:25:00.000]   over in this column,
[00:25:00.000 --> 00:25:02.000]   the WB dash S,
[00:25:02.000 --> 00:25:03.000]   the greedy answer gets
[00:25:03.000 --> 00:25:05.000]   a confidence score of 0.14,
[00:25:05.000 --> 00:25:06.000]   but answer one,
[00:25:06.000 --> 00:25:07.000]   which is the correct answer,
[00:25:07.000 --> 00:25:10.000]   gets a confidence score of 0.22.
[00:25:10.000 --> 00:25:11.000]   So in this case,
[00:25:11.000 --> 00:25:12.000]   they found that
[00:25:12.000 --> 00:25:13.000]   this confidence score approach
[00:25:13.000 --> 00:25:15.000]   could actually yield
[00:25:15.000 --> 00:25:17.000]   more accurate answers.
[00:25:17.000 --> 00:25:19.000]   So this is just an example.
[00:25:19.000 --> 00:25:21.000]   Just wrapping up quite soon.
[00:25:21.000 --> 00:25:22.000]   So remember how I said
[00:25:22.000 --> 00:25:23.000]   that what they're doing
[00:25:23.000 --> 00:25:24.000]   is training a regression model
[00:25:24.000 --> 00:25:27.000]   on the hidden activations?
[00:25:27.000 --> 00:25:28.000]   And I said that they were using
[00:25:28.000 --> 00:25:30.000]   the middle layer and the last layer.
[00:25:30.000 --> 00:25:31.000]   They sort of found that
[00:25:31.000 --> 00:25:32.000]   actually you get better performance
[00:25:32.000 --> 00:25:34.000]   when you're using the middle layer,
[00:25:34.000 --> 00:25:36.000]   and they apparently cite this thing
[00:25:36.000 --> 00:25:37.000]   from the literature,
[00:25:37.000 --> 00:25:38.000]   suggesting that actually
[00:25:38.000 --> 00:25:39.000]   the middle layer
[00:25:39.000 --> 00:25:40.000]   of these language models
[00:25:40.000 --> 00:25:42.000]   are better at summarization.
[00:25:42.000 --> 00:25:43.000]   So just to quote,
[00:25:43.000 --> 00:25:44.000]   this may come from the fact
[00:25:44.000 --> 00:25:45.000]   that the last layer
[00:25:45.000 --> 00:25:47.000]   focuses more on generation
[00:25:47.000 --> 00:25:48.000]   of the next token
[00:25:48.000 --> 00:25:49.000]   instead of summarizing information
[00:25:49.000 --> 00:25:50.000]   of the whole sentence
[00:25:50.000 --> 00:25:53.000]   as discussed by other authors.
[00:25:53.000 --> 00:25:55.000]   So that was new information for me.
[00:25:55.000 --> 00:25:57.000]   I thought it was quite interesting.
[00:25:57.000 --> 00:25:59.000]   So last thing is that
[00:25:59.000 --> 00:26:00.000]   actually there's right now
[00:26:00.000 --> 00:26:01.000]   a Kaggle competition
[00:26:01.000 --> 00:26:02.000]   where they're trying to predict
[00:26:02.000 --> 00:26:04.000]   how people rank
[00:26:04.000 --> 00:26:06.000]   the chatbot responses
[00:26:06.000 --> 00:26:07.000]   on the arena.
[00:26:07.000 --> 00:26:08.000]   So I thought that was
[00:26:08.000 --> 00:26:09.000]   an interesting sort of synergies here,
[00:26:09.000 --> 00:26:10.000]   and that paper,
[00:26:10.000 --> 00:26:12.000]   and that was pretty cool.
[00:26:12.000 --> 00:26:14.000]   And if sort of we can sort of
[00:26:14.000 --> 00:26:15.000]   automate some of the eval work
[00:26:15.000 --> 00:26:17.000]   and more from my perspective,
[00:26:17.000 --> 00:26:20.000]   where I build a large language model
[00:26:20.000 --> 00:26:21.000]   powered application
[00:26:21.000 --> 00:26:22.000]   and I deploy it,
[00:26:22.000 --> 00:26:23.000]   I also wanted to know
[00:26:23.000 --> 00:26:24.000]   is my large language model
[00:26:24.000 --> 00:26:26.000]   actually doing well in real time
[00:26:26.000 --> 00:26:27.000]   and maybe something like this
[00:26:27.000 --> 00:26:28.000]   could come in useful.
[00:26:28.000 --> 00:26:33.000]   So yeah, thanks for listening.
[00:26:33.000 --> 00:26:34.000]   Awesome, dude.
[00:26:34.000 --> 00:26:35.000]   That was a great presentation.
[00:26:35.000 --> 00:26:36.000]   Honestly,
[00:26:36.000 --> 00:26:39.000]   a super interesting paper.
[00:26:39.000 --> 00:26:41.000]   I think there were two questions
[00:26:41.000 --> 00:26:43.000]   inside the chat itself.
[00:26:43.000 --> 00:26:44.000]   First one was from Oman,
[00:26:44.000 --> 00:26:45.000]   which was,
[00:26:45.000 --> 00:26:46.000]   how is measuring of the uncertainty
[00:26:46.000 --> 00:26:48.000]   related to the concept
[00:26:48.000 --> 00:26:50.000]   of a well-calibrated model?
[00:26:50.000 --> 00:26:51.000]   Al does, yeah.
[00:26:51.000 --> 00:26:52.000]   Yeah.
[00:26:52.000 --> 00:26:53.000]   So the paper does cover
[00:26:53.000 --> 00:26:54.000]   the concept of calibration.
[00:26:54.000 --> 00:26:57.000]   So maybe to just share,
[00:26:57.000 --> 00:26:58.000]   to get everyone up to speed
[00:26:58.000 --> 00:26:59.000]   about what calibration is.
[00:26:59.000 --> 00:27:01.000]   So a model is considered
[00:27:01.000 --> 00:27:02.000]   well-calibrated.
[00:27:02.000 --> 00:27:03.000]   Let me give an example,
[00:27:03.000 --> 00:27:05.000]   a well-calibrated model.
[00:27:05.000 --> 00:27:06.000]   So let's say the model says
[00:27:06.000 --> 00:27:09.000]   it's going to rain 40% of the time.
[00:27:09.000 --> 00:27:11.000]   The probability of it raining
[00:27:11.000 --> 00:27:12.000]   is 0.4,
[00:27:12.000 --> 00:27:14.000]   then 40% of the time it would rain.
[00:27:14.000 --> 00:27:17.000]   So it's calibration,
[00:27:17.000 --> 00:27:19.000]   it's sort of means
[00:27:19.000 --> 00:27:20.000]   that the numerical score
[00:27:20.000 --> 00:27:22.000]   that the model produces
[00:27:22.000 --> 00:27:26.000]   gives a probability.
[00:27:26.000 --> 00:27:27.000]   So in this case,
[00:27:27.000 --> 00:27:29.000]   they do sort of mention
[00:27:29.000 --> 00:27:30.000]   calibration in the paper
[00:27:30.000 --> 00:27:32.000]   and they effectively are saying
[00:27:32.000 --> 00:27:34.000]   that number one,
[00:27:34.000 --> 00:27:35.000]   a model that has
[00:27:35.000 --> 00:27:36.000]   a good confidence score
[00:27:36.000 --> 00:27:37.000]   is more likely to be
[00:27:37.000 --> 00:27:39.000]   a good well-calibrated score.
[00:27:39.000 --> 00:27:40.000]   And number two,
[00:27:40.000 --> 00:27:41.000]   that usual methods
[00:27:41.000 --> 00:27:42.000]   of calibration,
[00:27:42.000 --> 00:27:44.000]   like I think isotonic regression
[00:27:44.000 --> 00:27:45.000]   or I believe some other
[00:27:45.000 --> 00:27:46.000]   binning method can be applied.
[00:27:46.000 --> 00:27:47.000]   And they do have
[00:27:47.000 --> 00:27:48.000]   some numerical results
[00:27:48.000 --> 00:27:49.000]   on calibration as well
[00:27:49.000 --> 00:27:53.000]   in the paper.
[00:27:53.000 --> 00:27:54.000]   Well, I guess,
[00:27:54.000 --> 00:27:55.000]   would it be right to say
[00:27:55.000 --> 00:27:57.000]   that then a well-calibrated model
[00:27:57.000 --> 00:27:58.000]   is a model that performs
[00:27:58.000 --> 00:27:59.000]   well on the task
[00:27:59.000 --> 00:28:00.000]   that you've assigned it
[00:28:00.000 --> 00:28:03.000]   or is it slightly more complex than that?
[00:28:03.000 --> 00:28:04.000]   Yes and no.
[00:28:04.000 --> 00:28:06.000]   Yes, it effectively means that.
[00:28:06.000 --> 00:28:08.000]   Well, you can just think of it as
[00:28:08.000 --> 00:28:09.000]   a model that's calibrated,
[00:28:09.000 --> 00:28:11.000]   it's a model that
[00:28:11.000 --> 00:28:12.000]   gives a probability
[00:28:12.000 --> 00:28:13.000]   just because a model,
[00:28:13.000 --> 00:28:14.000]   so just because a model
[00:28:14.000 --> 00:28:15.000]   spits you a number
[00:28:15.000 --> 00:28:16.000]   between zero and one
[00:28:16.000 --> 00:28:18.000]   doesn't mean it's a probability.
[00:28:18.000 --> 00:28:19.000]   So for the folks
[00:28:19.000 --> 00:28:21.000]   that are not too familiar with this,
[00:28:21.000 --> 00:28:22.000]   you can go to the Scikit-learn
[00:28:22.000 --> 00:28:24.000]   documentation and you'll give
[00:28:24.000 --> 00:28:26.000]   an example of calibration,
[00:28:26.000 --> 00:28:27.000]   of how you can calibrate
[00:28:27.000 --> 00:28:28.000]   sort of scores to become
[00:28:28.000 --> 00:28:33.000]   more like probabilities.
[00:28:33.000 --> 00:28:34.000]   I see.
[00:28:34.000 --> 00:28:36.000]   I think there are a few more questions.
[00:28:36.000 --> 00:28:38.000]   If it's okay with you.
[00:28:38.000 --> 00:28:40.000]   No, I'm sorry, I was reading it.
[00:28:40.000 --> 00:28:41.000]   Yeah, sorry.
[00:28:41.000 --> 00:28:42.000]   How does falsetto
[00:28:42.000 --> 00:28:43.000]   and sort of white box
[00:28:43.000 --> 00:28:44.000]   model to black box create?
[00:28:44.000 --> 00:28:46.000]   I am a bit doubtful as well.
[00:28:46.000 --> 00:28:48.000]   Ah yes, so Warren, yeah.
[00:28:48.000 --> 00:28:49.000]   So it doesn't mean, yeah,
[00:28:49.000 --> 00:28:50.000]   initially it told me
[00:28:50.000 --> 00:28:51.000]   I want to understand that
[00:28:51.000 --> 00:28:52.000]   because, yeah,
[00:28:52.000 --> 00:28:53.000]   how can you use one model
[00:28:53.000 --> 00:28:54.000]   for another model
[00:28:54.000 --> 00:28:55.000]   given that the architectures
[00:28:55.000 --> 00:28:56.000]   are different?
[00:28:56.000 --> 00:28:57.000]   So I think what they're,
[00:28:57.000 --> 00:28:59.000]   all they're doing is,
[00:28:59.000 --> 00:29:02.000]   okay, for let's say OpenAI,
[00:29:02.000 --> 00:29:04.000]   I run my prompt through OpenAI
[00:29:04.000 --> 00:29:05.000]   and I get a result
[00:29:05.000 --> 00:29:07.000]   and I keep that result.
[00:29:07.000 --> 00:29:08.000]   At the same time,
[00:29:08.000 --> 00:29:09.000]   I take my original prompt
[00:29:09.000 --> 00:29:11.000]   and I run it through LLAMA370B
[00:29:11.000 --> 00:29:12.000]   or whatever,
[00:29:12.000 --> 00:29:14.000]   and then I get the activations
[00:29:14.000 --> 00:29:16.000]   of LLAMA370B
[00:29:16.000 --> 00:29:17.000]   and then I just then use
[00:29:17.000 --> 00:29:19.000]   those activations as the input
[00:29:19.000 --> 00:29:21.000]   for my secondary model
[00:29:21.000 --> 00:29:24.000]   to predict the uncertainty.
[00:29:24.000 --> 00:29:25.000]   So they're trying to like
[00:29:25.000 --> 00:29:26.000]   sort of shortcut their way
[00:29:26.000 --> 00:29:27.000]   into predicting,
[00:29:27.000 --> 00:29:29.000]   to getting a sort of,
[00:29:29.000 --> 00:29:30.000]   they're effectively using,
[00:29:30.000 --> 00:29:31.000]   if I understand,
[00:29:31.000 --> 00:29:32.000]   if I sort of see it intuitively,
[00:29:32.000 --> 00:29:33.000]   is that they're using
[00:29:33.000 --> 00:29:34.000]   the open source
[00:29:34.000 --> 00:29:35.000]   or the white box model
[00:29:35.000 --> 00:29:36.000]   as a way to create
[00:29:36.000 --> 00:29:37.000]   some sort of representation
[00:29:37.000 --> 00:29:38.000]   of the prompt
[00:29:38.000 --> 00:29:39.000]   and then in any case,
[00:29:39.000 --> 00:29:40.000]   they are using
[00:29:40.000 --> 00:29:42.000]   a secondary downstream model
[00:29:42.000 --> 00:29:43.000]   to learn that mapping
[00:29:43.000 --> 00:29:46.000]   of how LLAMA370B
[00:29:46.000 --> 00:29:48.000]   would map the prompt
[00:29:48.000 --> 00:29:49.000]   into the outputs
[00:29:49.000 --> 00:29:54.000]   of OpenAI's models, yeah.
[00:29:54.000 --> 00:29:55.000]   So for Caspar's question
[00:29:55.000 --> 00:29:57.000]   about how this would compare
[00:29:57.000 --> 00:29:59.000]   to methods just using log props,
[00:29:59.000 --> 00:30:00.000]   that's another thing
[00:30:00.000 --> 00:30:01.000]   that took me a while
[00:30:01.000 --> 00:30:02.000]   to eventually realize
[00:30:02.000 --> 00:30:03.000]   is that if let's say
[00:30:03.000 --> 00:30:04.000]   I do log props,
[00:30:04.000 --> 00:30:05.000]   it's sort of predicting
[00:30:05.000 --> 00:30:06.000]   the probability
[00:30:06.000 --> 00:30:07.000]   of the next token,
[00:30:07.000 --> 00:30:08.000]   but the probability
[00:30:08.000 --> 00:30:09.000]   of the next token
[00:30:09.000 --> 00:30:10.000]   isn't necessarily
[00:30:10.000 --> 00:30:11.000]   the probability
[00:30:11.000 --> 00:30:12.000]   that my answer is correct
[00:30:12.000 --> 00:30:15.000]   because it's task specific.
[00:30:15.000 --> 00:30:16.000]   So let's say I want
[00:30:16.000 --> 00:30:17.000]   to do a question and answer
[00:30:17.000 --> 00:30:18.000]   and then I get a probability
[00:30:18.000 --> 00:30:20.000]   of like this is a MacBook.
[00:30:20.000 --> 00:30:21.000]   You can get some probability
[00:30:21.000 --> 00:30:22.000]   for that statement,
[00:30:22.000 --> 00:30:23.000]   but I don't get a probability
[00:30:23.000 --> 00:30:24.000]   for whether the statement
[00:30:24.000 --> 00:30:25.000]   this is a MacBook
[00:30:25.000 --> 00:30:26.000]   is the correct statement
[00:30:26.000 --> 00:30:30.000]   for my given task, yeah.
[00:30:30.000 --> 00:30:32.000]   And next one,
[00:30:32.000 --> 00:30:33.000]   for the mathematical models
[00:30:33.000 --> 00:30:34.000]   that measure uncertainty,
[00:30:34.000 --> 00:30:35.000]   is it dependent
[00:30:35.000 --> 00:30:36.000]   on the loss function?
[00:30:36.000 --> 00:30:37.000]   For example,
[00:30:37.000 --> 00:30:38.000]   when comparing
[00:30:38.000 --> 00:30:39.000]   a simple model train
[00:30:39.000 --> 00:30:40.000]   on L2 loss versus one
[00:30:40.000 --> 00:30:41.000]   that goes through
[00:30:41.000 --> 00:30:42.000]   additional complexity
[00:30:42.000 --> 00:30:44.000]   like RLHF model-based scoring,
[00:30:44.000 --> 00:30:45.000]   does the mathematical theory
[00:30:45.000 --> 00:30:46.000]   still hold?
[00:30:46.000 --> 00:30:47.000]   Okay, I'm not too sure,
[00:30:47.000 --> 00:30:48.000]   but there was a part
[00:30:48.000 --> 00:30:49.000]   of this paper
[00:30:49.000 --> 00:30:50.000]   that did have some theory
[00:30:50.000 --> 00:30:52.000]   about how given
[00:30:52.000 --> 00:30:54.000]   certain conditions,
[00:30:54.000 --> 00:30:58.000]   I believe like this problem,
[00:30:58.000 --> 00:31:00.000]   the optimal solution
[00:31:00.000 --> 00:31:02.000]   is your optimal base classifier,
[00:31:02.000 --> 00:31:03.000]   but there's certain
[00:31:03.000 --> 00:31:05.000]   conditional independence properties
[00:31:05.000 --> 00:31:06.000]   that aren't satisfied
[00:31:06.000 --> 00:31:08.000]   and also because if I recall,
[00:31:08.000 --> 00:31:10.000]   actually I have the paper open here.
[00:31:10.000 --> 00:31:11.000]   Yeah, so if you,
[00:31:11.000 --> 00:31:12.000]   because you don't,
[00:31:12.000 --> 00:31:14.000]   when we train a language model,
[00:31:14.000 --> 00:31:15.000]   the loss function
[00:31:15.000 --> 00:31:16.000]   is actually a different
[00:31:16.000 --> 00:31:18.000]   loss function.
[00:31:18.000 --> 00:31:21.000]   Over here.
[00:31:21.000 --> 00:31:22.000]   Sorry.
[00:31:22.000 --> 00:31:23.000]   Yeah, over here.
[00:31:23.000 --> 00:31:28.000]   So they basically say that,
[00:31:28.000 --> 00:31:30.000]   yeah, so because
[00:31:30.000 --> 00:31:32.000]   if the large language models
[00:31:32.000 --> 00:31:33.000]   aren't trained
[00:31:33.000 --> 00:31:34.000]   on the cross-entropy loss,
[00:31:34.000 --> 00:31:35.000]   the sort of theorem
[00:31:35.000 --> 00:31:36.000]   doesn't hold,
[00:31:36.000 --> 00:31:37.000]   but they do see like,
[00:31:37.000 --> 00:31:39.000]   oh, because large language models
[00:31:39.000 --> 00:31:40.000]   are trained on the larger data
[00:31:40.000 --> 00:31:41.000]   and so on and so forth,
[00:31:41.000 --> 00:31:42.000]   they do,
[00:31:42.000 --> 00:31:44.000]   there's apparently some,
[00:31:44.000 --> 00:31:46.000]   what do you call that,
[00:31:46.000 --> 00:31:47.000]   approximations that can be done.
[00:31:47.000 --> 00:31:49.000]   Yeah, so I didn't fully understand
[00:31:49.000 --> 00:31:50.000]   section 3.3,
[00:31:50.000 --> 00:31:52.000]   but maybe you could take a read
[00:31:52.000 --> 00:31:54.000]   and see if it helps.
[00:31:54.000 --> 00:31:56.000]   So yeah, it's trying to justify
[00:31:56.000 --> 00:31:58.000]   why they use hidden layers as features.
[00:31:58.000 --> 00:31:59.000]   Yeah.
[00:31:59.000 --> 00:32:02.000]   All right.
[00:32:02.000 --> 00:32:03.000]   All right.
[00:32:03.000 --> 00:32:04.000]   That's about it.
