
[00:00:00.000 --> 00:00:03.000]   (keyboard clicking)
[00:16:32.380 --> 00:16:34.380]   So that was kind of like annoying, yeah.
[00:16:35.740 --> 00:16:40.100]   - And on this topic, as you're now optimizing
[00:16:40.100 --> 00:16:42.940]   to make sure your video quality is high,
[00:16:42.940 --> 00:16:45.740]   which is presumably being broadcasted compared to,
[00:16:45.740 --> 00:16:49.300]   I assume inside of a lecture hall,
[00:16:49.300 --> 00:16:51.500]   it would be a completely different scenario.
[00:16:51.500 --> 00:16:53.940]   Did you miss the person to person interaction
[00:16:53.940 --> 00:16:57.180]   and what are your thoughts on the comparisons?
[00:16:57.180 --> 00:16:58.180]   - Yeah, that's a very good point.
[00:16:58.180 --> 00:17:02.300]   I actually, I really liked the in-person interaction,
[00:17:02.300 --> 00:17:04.820]   especially when you explain something
[00:17:04.820 --> 00:17:09.820]   and of course you want everyone to understand everything,
[00:17:09.820 --> 00:17:12.660]   but it's very satisfying if,
[00:17:12.660 --> 00:17:14.460]   let's say someone has a question
[00:17:14.460 --> 00:17:17.820]   and the person, let's say they didn't understand something
[00:17:17.820 --> 00:17:20.540]   because you went over it too quickly
[00:17:20.540 --> 00:17:22.480]   or it was just too complicated.
[00:17:22.480 --> 00:17:24.380]   And then you explain it again
[00:17:24.380 --> 00:17:26.540]   and you see the person light up in the way like,
[00:17:26.540 --> 00:17:28.500]   well, that makes so much more sense now.
[00:17:28.500 --> 00:17:31.620]   I really like this type of like where you feel like
[00:17:31.620 --> 00:17:33.720]   you're helping someone really to understand something
[00:17:33.720 --> 00:17:34.940]   and they really appreciate it.
[00:17:34.940 --> 00:17:37.060]   I really missed that one.
[00:17:37.060 --> 00:17:39.840]   So, I mean, we have in-person lectures right now,
[00:17:39.840 --> 00:17:41.620]   but it's something that you don't have,
[00:17:41.620 --> 00:17:44.220]   let's say when you make a video and upload the video.
[00:17:44.220 --> 00:17:45.820]   So that is something I really like,
[00:17:45.820 --> 00:17:48.080]   like this type of where you really get this feedback.
[00:17:48.080 --> 00:17:51.060]   Okay, this person really, it makes,
[00:17:51.060 --> 00:17:52.660]   so you put some work into it
[00:17:52.660 --> 00:17:54.060]   and the person really appreciates it
[00:17:54.060 --> 00:17:55.980]   and you feel like you're helping someone there.
[00:17:55.980 --> 00:17:58.420]   Like you see that life basically,
[00:17:58.420 --> 00:17:59.920]   which is really cool, I think.
[00:18:02.020 --> 00:18:05.000]   - For the online version, do you have any pros and cons
[00:18:05.000 --> 00:18:06.680]   if I may, that you really enjoy?
[00:18:06.680 --> 00:18:09.360]   Because you also put up lectures on,
[00:18:09.360 --> 00:18:10.680]   the same lectures on YouTube,
[00:18:10.680 --> 00:18:12.680]   but many people like me get to learn them
[00:18:12.680 --> 00:18:14.920]   from different countries.
[00:18:14.920 --> 00:18:19.920]   - Yeah, so an advantage of online is that,
[00:18:19.920 --> 00:18:23.240]   yeah, it's something you produce and then you have it.
[00:18:23.240 --> 00:18:24.560]   If you're happy with it,
[00:18:24.560 --> 00:18:27.040]   you can focus on other things then.
[00:18:27.040 --> 00:18:30.840]   I like in-person teaching, but I feel like also,
[00:18:30.840 --> 00:18:34.220]   let's say if you would do that for 10 years or 20 years,
[00:18:34.220 --> 00:18:36.020]   every year I update my lectures.
[00:18:36.020 --> 00:18:38.900]   So I make some changes, but there's also the danger
[00:18:38.900 --> 00:18:41.800]   that you learn yourself more things
[00:18:41.800 --> 00:18:44.060]   and you add and add and add more things to the lecture.
[00:18:44.060 --> 00:18:46.260]   So the lectures become longer and longer and longer
[00:18:46.260 --> 00:18:47.660]   because there are so many more things
[00:18:47.660 --> 00:18:48.500]   you want to talk about
[00:18:48.500 --> 00:18:51.620]   that you just recently got excited about.
[00:18:51.620 --> 00:18:53.580]   And if you make an online lecture, it's like,
[00:18:53.580 --> 00:18:56.340]   okay, you make this online lecture at this point in time.
[00:18:56.340 --> 00:19:00.260]   And yeah, you are, I would say you can then move on
[00:19:00.260 --> 00:19:03.160]   and work on other things in terms of new topics
[00:19:03.160 --> 00:19:05.760]   rather than doing the same topic again and again,
[00:19:05.760 --> 00:19:10.200]   you feel like, okay, I can now do new things, right?
[00:19:10.200 --> 00:19:12.840]   So I think it's in that way, maybe a better,
[00:19:12.840 --> 00:19:15.400]   better time efficiency wise,
[00:19:15.400 --> 00:19:18.020]   where you do something like you do a course,
[00:19:18.020 --> 00:19:19.680]   and then you can have in the end,
[00:19:19.680 --> 00:19:22.400]   instead of doing the course again next year or something,
[00:19:22.400 --> 00:19:24.200]   you can have additional topics.
[00:19:24.200 --> 00:19:27.600]   So, or maybe every so and so many years,
[00:19:27.600 --> 00:19:29.240]   you want to also change the course
[00:19:29.240 --> 00:19:31.080]   or these types of things.
[00:19:31.080 --> 00:19:34.120]   But in general, I think it's a time efficiency thing.
[00:19:34.120 --> 00:19:35.520]   You can also reach more people with that.
[00:19:35.520 --> 00:19:38.860]   I mean, it's like you have like a bigger audience
[00:19:38.860 --> 00:19:41.520]   in that way where you don't require people
[00:19:41.520 --> 00:19:42.600]   to come in person.
[00:19:42.600 --> 00:19:44.720]   And it's also more, that was one important point.
[00:19:44.720 --> 00:19:48.040]   It's also way more flexible in terms of people can learn
[00:19:48.040 --> 00:19:49.180]   whenever they want to learn.
[00:19:49.180 --> 00:19:51.180]   So they don't have to be at a certain place
[00:19:51.180 --> 00:19:52.400]   at a certain time.
[00:19:52.400 --> 00:19:55.200]   One disadvantage I heard from students is
[00:19:55.200 --> 00:19:56.500]   it can be harder to focus.
[00:19:56.500 --> 00:19:57.520]   And I have that problem too.
[00:19:57.520 --> 00:20:00.260]   When I watch videos, there's my email,
[00:20:00.260 --> 00:20:01.500]   there's something else.
[00:20:01.500 --> 00:20:03.340]   And it's like, I watch a video for 10 minutes,
[00:20:03.340 --> 00:20:05.780]   and then I catch myself thinking about something
[00:20:05.780 --> 00:20:06.900]   and checking my email or something.
[00:20:06.900 --> 00:20:08.340]   And then, oh, I should,
[00:20:08.340 --> 00:20:11.840]   I really have to be more disciplined to,
[00:20:11.840 --> 00:20:14.140]   like to focus really.
[00:20:14.140 --> 00:20:15.980]   And that is easier in person, I think.
[00:20:15.980 --> 00:20:19.280]   But I have also a tool kind of like that
[00:20:19.280 --> 00:20:22.100]   automatically quits programs that I'm opening
[00:20:22.100 --> 00:20:23.980]   when I'm in like this focus mode.
[00:20:23.980 --> 00:20:26.520]   So yeah, you have to be a little bit more disciplined
[00:20:26.520 --> 00:20:28.380]   about that, but yeah.
[00:20:28.380 --> 00:20:30.700]   Another advantage, by the way, is a video
[00:20:30.700 --> 00:20:31.820]   is that you can go back.
[00:20:31.820 --> 00:20:34.660]   So you can pause and go back
[00:20:34.660 --> 00:20:37.100]   and you can watch it multiple times,
[00:20:37.100 --> 00:20:40.900]   which I noticed is eliminating a lot of questions.
[00:20:40.900 --> 00:20:45.620]   In previous years, where we only had in-person lectures,
[00:20:45.620 --> 00:20:49.400]   students came to me often with questions and it's just fine.
[00:20:49.400 --> 00:20:53.600]   But when we had the recordings of people,
[00:20:53.600 --> 00:20:55.180]   it's because sometimes people miss something
[00:20:55.180 --> 00:20:56.100]   because it was too fast.
[00:20:56.100 --> 00:20:58.420]   They can just go back and watch it again.
[00:20:58.420 --> 00:21:00.200]   Of course, there are also a lot of questions,
[00:21:00.200 --> 00:21:01.700]   but there are different types of questions.
[00:21:01.700 --> 00:21:04.700]   I noticed they are more about additional topics
[00:21:04.700 --> 00:21:06.740]   rather than topics we covered already,
[00:21:06.740 --> 00:21:08.300]   which I find also interesting.
[00:21:08.300 --> 00:21:12.900]   Yeah, so related to also going back
[00:21:12.900 --> 00:21:13.880]   and these types of things.
[00:21:13.880 --> 00:21:16.740]   So this semester we have an in-person lecture.
[00:21:16.740 --> 00:21:19.220]   So I go there in person and give the lecture,
[00:21:19.220 --> 00:21:22.500]   but I also record the lecture because you never know.
[00:21:22.500 --> 00:21:25.160]   I mean, based on also we have the COVID situation
[00:21:25.160 --> 00:21:27.040]   and I don't want to force students, let's say,
[00:21:27.040 --> 00:21:29.240]   to come to the classroom if they don't feel well.
[00:21:29.240 --> 00:21:31.760]   So they have the option also to watch it online
[00:21:31.760 --> 00:21:33.760]   and students really appreciated that.
[00:21:33.760 --> 00:21:36.200]   I mean, they watch it as they attend the lecture,
[00:21:36.200 --> 00:21:38.200]   but then they can also go back and watch it again
[00:21:38.200 --> 00:21:40.000]   if things were unclear and these types of things.
[00:21:40.000 --> 00:21:42.740]   So I think both have advantages.
[00:21:42.740 --> 00:21:44.560]   I find it also interesting to think about
[00:21:44.560 --> 00:21:46.080]   what's the future of education.
[00:21:46.080 --> 00:21:49.160]   Is it like, are we going back to in-person
[00:21:49.160 --> 00:21:51.240]   or will it be entirely online?
[00:21:51.240 --> 00:21:54.140]   And I don't know how it will be,
[00:21:54.140 --> 00:21:59.140]   but I can see, yeah, the education more shifting to online
[00:21:59.140 --> 00:22:01.900]   because it's just more efficient in that way.
[00:22:01.900 --> 00:22:06.900]   It's almost like if you think about a movie and a theater,
[00:22:06.900 --> 00:22:11.780]   like movies are really the high quality polished things.
[00:22:11.780 --> 00:22:15.060]   You can have it in multiple theaters, movie theaters,
[00:22:15.060 --> 00:22:18.060]   and people all over the world can watch it.
[00:22:18.060 --> 00:22:20.460]   It costs more money to make, it's more polished.
[00:22:21.280 --> 00:22:23.720]   But it's something, yeah, everyone can watch.
[00:22:23.720 --> 00:22:25.740]   And then you have in-person theaters,
[00:22:25.740 --> 00:22:28.900]   which is where you have people playing live or acting live,
[00:22:28.900 --> 00:22:30.900]   which is also super cool.
[00:22:30.900 --> 00:22:32.340]   But I would say most of the time
[00:22:32.340 --> 00:22:34.040]   we would go to movie theaters
[00:22:34.040 --> 00:22:35.980]   because also let's say tickets are cheaper
[00:22:35.980 --> 00:22:39.640]   and it's easier to have that everywhere
[00:22:39.640 --> 00:22:42.880]   or even watching movies at home nowadays, basically.
[00:22:42.880 --> 00:22:46.360]   But theaters in person are this very special experience.
[00:22:46.360 --> 00:22:51.080]   You do it maybe once in a year or even less than that.
[00:22:51.080 --> 00:22:52.920]   I think it's something very special
[00:22:52.920 --> 00:22:55.300]   and it is very well appreciated
[00:22:55.300 --> 00:22:57.240]   because it's so much work to do this live.
[00:22:57.240 --> 00:22:59.880]   It's just a very different type of skill almost.
[00:22:59.880 --> 00:23:03.000]   And I feel like it could be also similar to that
[00:23:03.000 --> 00:23:06.600]   with online education where you have the videos
[00:23:06.600 --> 00:23:09.480]   and everything, but then you can have live sessions
[00:23:09.480 --> 00:23:12.080]   that say occasionally like workshops that are live
[00:23:12.080 --> 00:23:14.920]   where you can really provide more feedback in person
[00:23:14.920 --> 00:23:17.200]   where you have some more hands-on parts
[00:23:17.200 --> 00:23:18.040]   or something like that.
[00:23:18.040 --> 00:23:20.440]   So I think there's a place for both things.
[00:23:20.440 --> 00:23:22.120]   Both have different trade-offs,
[00:23:22.120 --> 00:23:23.960]   but it will be interesting to see
[00:23:23.960 --> 00:23:28.800]   how we make best use of our, let's say, time,
[00:23:28.800 --> 00:23:31.600]   but also it goes for both.
[00:23:31.600 --> 00:23:33.760]   I mean, time is both for the instructors,
[00:23:33.760 --> 00:23:35.380]   but also for the students, right?
[00:23:35.380 --> 00:23:37.600]   What is like, how do we optimize that?
[00:23:37.600 --> 00:23:41.360]   I mean, always comes back to also having a good time
[00:23:41.360 --> 00:23:42.220]   and experience, right?
[00:23:42.220 --> 00:23:44.440]   So yeah, it'll be interesting to see.
[00:23:44.440 --> 00:23:47.400]   Yeah, so how that develops.
[00:23:47.400 --> 00:23:49.200]   - That was such an amazing analogy
[00:23:49.200 --> 00:23:52.960]   between live theaters and movies at the cinemas.
[00:23:52.960 --> 00:23:55.280]   I feel like with creating content,
[00:23:55.280 --> 00:23:57.160]   it's always like filling this gap.
[00:23:57.160 --> 00:23:58.960]   And sorry to use my example,
[00:23:58.960 --> 00:24:01.880]   but it's like whenever you feel maybe,
[00:24:01.880 --> 00:24:04.120]   I'm assuming for you that there's a certain topic
[00:24:04.120 --> 00:24:05.160]   you'd like to cover,
[00:24:05.160 --> 00:24:07.840]   you might be able to create a lecture around it.
[00:24:07.840 --> 00:24:12.440]   So teasing out, what are your plans for teaching at Great AI?
[00:24:12.440 --> 00:24:14.680]   You'll be the AI lead educator there.
[00:24:14.680 --> 00:24:17.840]   What will you be creating or what can we expect you?
[00:24:17.840 --> 00:24:19.840]   - That's a very good question.
[00:24:19.840 --> 00:24:22.120]   Yeah, so what will I be doing at Great AI?
[00:24:22.120 --> 00:24:25.640]   So I don't want to, let's say, honestly,
[00:24:25.640 --> 00:24:28.520]   this will be, the details are not ironed out yet.
[00:24:28.520 --> 00:24:30.640]   So I can't say too much yet.
[00:24:30.640 --> 00:24:32.840]   So I will be officially starting next month
[00:24:32.840 --> 00:24:34.840]   and there will be more like the time
[00:24:34.840 --> 00:24:38.520]   to also really think and plan the next things.
[00:24:38.520 --> 00:24:39.360]   But I can already tell you,
[00:24:39.360 --> 00:24:42.840]   it will probably somewhere around education
[00:24:42.840 --> 00:24:44.320]   and creating online content
[00:24:44.320 --> 00:24:46.720]   and probably more like on the video side
[00:24:46.720 --> 00:24:49.880]   or course, online course side, rather than writing.
[00:24:49.880 --> 00:24:52.000]   Although I really like writing too.
[00:24:52.000 --> 00:24:55.920]   So we will see how to balance this.
[00:24:55.920 --> 00:24:58.000]   'Cause I think also both have advantages
[00:24:58.000 --> 00:25:00.280]   like written content and video content.
[00:25:00.280 --> 00:25:01.880]   I noticed that myself, for example,
[00:25:01.880 --> 00:25:05.680]   when I was just yesterday learning about Adobe Premiere,
[00:25:05.680 --> 00:25:08.560]   that you can write about these things,
[00:25:08.560 --> 00:25:10.400]   but I really needed to see the settings
[00:25:10.400 --> 00:25:12.480]   because this interface is so complicated.
[00:25:12.480 --> 00:25:14.840]   And when someone told me, okay,
[00:25:14.840 --> 00:25:16.960]   set the noise reduction to so-and-so,
[00:25:16.960 --> 00:25:19.040]   I wanted, I mean, it was so much easier
[00:25:19.040 --> 00:25:20.920]   when someone had a video tutorial on there
[00:25:20.920 --> 00:25:23.560]   and I could see where to click and where to go.
[00:25:23.560 --> 00:25:26.560]   So in that way, also when you show certain concepts
[00:25:26.560 --> 00:25:29.240]   and even math, it's sometimes easier to annotate
[00:25:29.240 --> 00:25:32.000]   and show things than having written content.
[00:25:32.000 --> 00:25:34.560]   But then the advantage of written content is also
[00:25:34.560 --> 00:25:36.840]   that you sometimes can look up things very quickly
[00:25:36.840 --> 00:25:38.920]   and efficiently, like the documentation.
[00:25:38.920 --> 00:25:41.280]   I mean, if you use, for example, Scikit-Learn
[00:25:41.280 --> 00:25:43.520]   and you want to know what a default parameter is,
[00:25:43.520 --> 00:25:44.760]   you wouldn't look for a video
[00:25:44.760 --> 00:25:47.000]   and then scroll to the video
[00:25:47.000 --> 00:25:49.040]   and see where you can find an explanation.
[00:25:49.040 --> 00:25:51.800]   You would just search online, go to the documentation,
[00:25:51.800 --> 00:25:54.480]   Command + F, type in something and find it.
[00:25:54.480 --> 00:25:56.840]   And I feel like the same thing is also
[00:25:56.840 --> 00:25:59.520]   when we develop educational content,
[00:25:59.520 --> 00:26:01.880]   they're both use cases where someone,
[00:26:01.880 --> 00:26:03.640]   if you search, text is more efficient.
[00:26:03.640 --> 00:26:05.960]   If you want to really learn about something,
[00:26:05.960 --> 00:26:08.440]   then video content might be more efficient.
[00:26:08.440 --> 00:26:11.560]   And it might be also interesting to see maybe in the future
[00:26:11.560 --> 00:26:13.880]   how we can use machine learning or deep learning
[00:26:13.880 --> 00:26:15.400]   to better search in videos,
[00:26:15.400 --> 00:26:17.680]   because I think this is not really there yet.
[00:26:17.680 --> 00:26:19.560]   We don't, I mean, there could be an option
[00:26:19.560 --> 00:26:22.400]   where you have the closed captioning of the video,
[00:26:22.400 --> 00:26:25.680]   you search those and find a place
[00:26:25.680 --> 00:26:27.980]   and then you just jump to the video in that section.
[00:26:27.980 --> 00:26:30.200]   But it's, I think it's just something
[00:26:30.200 --> 00:26:33.080]   that is not very widely used yet.
[00:26:33.080 --> 00:26:35.120]   So you can't just search for some text
[00:26:35.120 --> 00:26:36.840]   and then it brings you to the YouTube video
[00:26:36.840 --> 00:26:38.200]   at the timestamp.
[00:26:38.200 --> 00:26:41.920]   So I think in that case, both are still useful.
[00:26:41.920 --> 00:26:43.720]   My focus at GrittyEye will probably be more
[00:26:43.720 --> 00:26:44.920]   on the video content,
[00:26:44.920 --> 00:26:48.640]   but I still think written content
[00:26:48.640 --> 00:26:50.720]   is very useful and important.
[00:26:50.720 --> 00:26:54.560]   Also for me personally, when I do my lectures,
[00:26:54.560 --> 00:26:57.040]   well, in general, I start with writing things
[00:26:57.040 --> 00:27:00.800]   because it's somehow the more,
[00:27:00.800 --> 00:27:03.000]   I would say more complete medium.
[00:27:03.000 --> 00:27:04.560]   So when you make a video,
[00:27:04.560 --> 00:27:06.800]   you don't want to have text everywhere, right?
[00:27:06.800 --> 00:27:10.480]   And personally, when I make lectures or something,
[00:27:10.480 --> 00:27:12.560]   I don't have any lecture,
[00:27:12.560 --> 00:27:14.360]   like subtitles or notes that I read off.
[00:27:14.360 --> 00:27:17.000]   It's just really, I look at the slide,
[00:27:17.000 --> 00:27:20.360]   I have the figure and then I kind of almost spontaneously
[00:27:20.360 --> 00:27:21.400]   talk about it.
[00:27:21.400 --> 00:27:25.720]   But it's not that like I see the slide for the first time.
[00:27:25.720 --> 00:27:28.880]   There was a time where I had some text written for myself
[00:27:28.880 --> 00:27:31.440]   and then based on a text, I was creating these slides.
[00:27:31.440 --> 00:27:34.800]   So the written context for me always comes first.
[00:27:34.800 --> 00:27:37.680]   So I'd create something like very detailed notes
[00:27:37.680 --> 00:27:39.040]   and then I create the slides.
[00:27:39.040 --> 00:27:41.080]   And I think it might be even worthwhile
[00:27:41.080 --> 00:27:43.760]   to also share these written notes in some form,
[00:27:43.760 --> 00:27:45.320]   like a little bit maybe more polished.
[00:27:45.320 --> 00:27:48.000]   So I think the same thing goes for people
[00:27:48.000 --> 00:27:50.360]   when they watch something sometimes like this,
[00:27:50.360 --> 00:27:54.240]   yeah, supporting material might be very useful.
[00:27:54.240 --> 00:27:57.000]   So it will be interesting to think about how to plan this,
[00:27:57.000 --> 00:28:01.920]   how to create value that is also for different running styles
[00:28:01.920 --> 00:28:05.880]   because not everyone likes, let's say, video content.
[00:28:05.880 --> 00:28:08.360]   Some people also prefer the written text
[00:28:08.360 --> 00:28:11.040]   because it can be more efficient sometimes even also.
[00:28:11.040 --> 00:28:16.520]   - I'm honestly looking forward to,
[00:28:16.520 --> 00:28:18.880]   maybe it'll be a course or short videos
[00:28:18.880 --> 00:28:19.720]   or whatever it turns out to be.
[00:28:19.720 --> 00:28:22.120]   I'm looking forward to learning from that.
[00:28:22.120 --> 00:28:23.960]   - Yeah, it will be exciting for sure.
[00:28:24.920 --> 00:28:29.920]   - So will you be missing anything from the academia life
[00:28:29.920 --> 00:28:33.800]   or things that you really enjoy that you-
[00:28:33.800 --> 00:28:35.120]   - Oh, big question.
[00:28:35.120 --> 00:28:39.440]   Yeah, so what I like, I mean, I like academia.
[00:28:39.440 --> 00:28:42.680]   It's like this place where there's like the certain type
[00:28:42.680 --> 00:28:44.000]   of where you can structure your day.
[00:28:44.000 --> 00:28:45.880]   You can come up with your own projects.
[00:28:45.880 --> 00:28:48.040]   You are like very independent in that way.
[00:28:48.040 --> 00:28:51.720]   So what I will miss is, yeah, like we talked about
[00:28:51.720 --> 00:28:53.000]   the interaction with the students
[00:28:53.000 --> 00:28:54.640]   when you explain something
[00:28:54.640 --> 00:28:56.400]   and the students really light up.
[00:28:56.400 --> 00:28:57.960]   They appreciate the explanation.
[00:28:57.960 --> 00:29:00.160]   You feel like you changed someone's, I mean,
[00:29:00.160 --> 00:29:01.600]   not in the lecture itself,
[00:29:01.600 --> 00:29:02.640]   but in the grand scheme of things,
[00:29:02.640 --> 00:29:06.220]   you positively influenced someone's life potentially,
[00:29:06.220 --> 00:29:08.800]   like career and I think I really like that.
[00:29:08.800 --> 00:29:11.680]   It's like you feel like you're helping people out there.
[00:29:11.680 --> 00:29:15.240]   You're helping people on the path
[00:29:15.240 --> 00:29:20.240]   of becoming a successful researcher, scientist or engineer.
[00:29:22.080 --> 00:29:25.240]   And I think I really like that aspect of it.
[00:29:25.240 --> 00:29:27.120]   What I also like, it's a weird thing,
[00:29:27.120 --> 00:29:30.160]   but when I write papers and you have an idea
[00:29:30.160 --> 00:29:33.160]   and you feel like things work and you keep working on it
[00:29:33.160 --> 00:29:36.160]   and you get really into the zone, I kind of like that too.
[00:29:36.160 --> 00:29:38.640]   And especially it's kind of maybe almost
[00:29:38.640 --> 00:29:42.160]   like a little endorphin or something
[00:29:42.160 --> 00:29:44.320]   like where you, when you submit a paper
[00:29:44.320 --> 00:29:46.400]   and let's say it gets accepted,
[00:29:46.400 --> 00:29:47.760]   it's like the best feeling in the world,
[00:29:47.760 --> 00:29:49.560]   basically where you have your paper accepted,
[00:29:49.560 --> 00:29:50.600]   you are super proud.
[00:29:50.600 --> 00:29:52.480]   I kind of really like that too.
[00:29:52.480 --> 00:29:54.720]   The downside of course is also,
[00:29:54.720 --> 00:29:56.040]   sometimes it doesn't get accepted.
[00:29:56.040 --> 00:30:01.000]   And that is, it's like both sides of the coin basically.
[00:30:01.000 --> 00:30:04.800]   There's also that thing, maybe one thing I will not miss
[00:30:04.800 --> 00:30:07.000]   is reviewing papers.
[00:30:07.000 --> 00:30:08.120]   So that is something.
[00:30:08.120 --> 00:30:12.920]   So, I mean, that's maybe the only part I would say
[00:30:12.920 --> 00:30:15.520]   also about teaching that I don't like is grading.
[00:30:15.520 --> 00:30:18.760]   So I like teaching people useful things,
[00:30:18.760 --> 00:30:21.520]   but I don't like necessarily the part
[00:30:21.520 --> 00:30:24.760]   where you have to make a judgment call.
[00:30:24.760 --> 00:30:26.920]   What, I mean, it's not, it's based on scores
[00:30:26.920 --> 00:30:29.480]   and everything, but it's sometimes feels,
[00:30:29.480 --> 00:30:32.800]   it's not fun to give people bad grades
[00:30:32.800 --> 00:30:34.040]   if they don't perform well.
[00:30:34.040 --> 00:30:36.680]   Even if let's say they didn't perform well,
[00:30:36.680 --> 00:30:39.240]   it doesn't, I don't really like that part.
[00:30:39.240 --> 00:30:41.880]   I kind of try to be very generous with grading,
[00:30:41.880 --> 00:30:44.960]   but this part I won't miss, I hope.
[00:30:44.960 --> 00:30:46.760]   So I like teaching.
[00:30:46.880 --> 00:30:50.600]   I like helping people understanding something,
[00:30:50.600 --> 00:30:53.960]   but the evaluation part, it's like one little thing
[00:30:53.960 --> 00:30:58.640]   I would say, I wouldn't miss that part.
[00:30:58.640 --> 00:31:00.600]   Let's say it like that.
[00:31:00.600 --> 00:31:03.800]   - I had the chance to interview Sendex,
[00:31:03.800 --> 00:31:06.600]   someone who I really look up to as much as I look up to you.
[00:31:06.600 --> 00:31:08.520]   And he was mentioning this that,
[00:31:08.520 --> 00:31:11.680]   even though like he has impacted so many lives,
[00:31:11.680 --> 00:31:13.560]   he doesn't get to witness the same
[00:31:13.560 --> 00:31:14.920]   person to person interaction.
[00:31:14.920 --> 00:31:18.960]   And he always underestimates how many people he's affected.
[00:31:18.960 --> 00:31:21.280]   Although like it's, I would assume it's similar,
[00:31:21.280 --> 00:31:23.880]   if not more as in-person lectures,
[00:31:23.880 --> 00:31:26.080]   if you're broadcasting to a large audience.
[00:31:26.080 --> 00:31:31.040]   - Yeah, so it depends on how big the classes are,
[00:31:31.040 --> 00:31:35.280]   but I feel like, yeah, so either way,
[00:31:35.280 --> 00:31:36.400]   you have a positive impact,
[00:31:36.400 --> 00:31:38.200]   whether it's online or in person, right?
[00:31:38.200 --> 00:31:39.400]   So, yeah.
[00:31:39.400 --> 00:31:44.400]   - So, and this question is from the audience as well.
[00:31:44.400 --> 00:31:47.360]   I'll try to loop it into this.
[00:31:47.360 --> 00:31:50.160]   This is by Nikan and they're trying to ask,
[00:31:50.160 --> 00:31:52.520]   what is the best way to communicate
[00:31:52.520 --> 00:31:53.520]   the story of their life?
[00:31:53.520 --> 00:31:56.400]   You mentioned grades aren't the most optimal way.
[00:31:56.400 --> 00:31:58.720]   As someone who's like trying to get into the field
[00:31:58.720 --> 00:32:02.160]   or maybe in academia or maybe in an industry,
[00:32:02.160 --> 00:32:05.800]   what's the best way to communicate your skillsets?
[00:32:05.800 --> 00:32:07.520]   - Oh, that's a good question.
[00:32:07.520 --> 00:32:12.000]   Personally, I honestly don't care so much
[00:32:12.000 --> 00:32:13.480]   about grades really.
[00:32:14.440 --> 00:32:17.920]   I, so when I get emails from students
[00:32:17.920 --> 00:32:19.560]   who would want to work with me,
[00:32:19.560 --> 00:32:23.400]   I honestly don't really look at GPA or grades or something,
[00:32:23.400 --> 00:32:25.280]   'cause I think that is just,
[00:32:25.280 --> 00:32:28.560]   I don't think it's super important.
[00:32:28.560 --> 00:32:32.520]   I do think though, for getting admitted to a program,
[00:32:32.520 --> 00:32:33.680]   it might be important.
[00:32:33.680 --> 00:32:36.400]   It depends on how the program does the admissions.
[00:32:36.400 --> 00:32:40.400]   So I wouldn't tell anyone not to focus on grades
[00:32:40.400 --> 00:32:42.800]   because it might be super important to get admitted
[00:32:42.800 --> 00:32:45.280]   to a, depending on how that system works.
[00:32:45.280 --> 00:32:48.800]   But for me personally, when I, let's say,
[00:32:48.800 --> 00:32:52.320]   if someone sends me their CV or their resume,
[00:32:52.320 --> 00:32:53.440]   I wouldn't look for the GPA.
[00:32:53.440 --> 00:32:56.680]   I would more look for what the person is like,
[00:32:56.680 --> 00:32:58.400]   basically in the email saying about
[00:32:58.400 --> 00:33:00.240]   why they would want to work with me,
[00:33:00.240 --> 00:33:02.440]   like what makes them interested in that?
[00:33:02.440 --> 00:33:05.120]   Is it like just getting papers
[00:33:05.120 --> 00:33:07.640]   or is it really they care about a certain problem?
[00:33:07.640 --> 00:33:09.280]   It's basically, is it a good fit basically?
[00:33:09.280 --> 00:33:11.720]   Is it like, do we have a mutual interest?
[00:33:11.720 --> 00:33:13.320]   Like this type of thing.
[00:33:13.320 --> 00:33:17.920]   And I also value skills, like applied skills,
[00:33:17.920 --> 00:33:19.840]   because my work is very applied.
[00:33:19.840 --> 00:33:23.640]   So I think if someone has worked on some project,
[00:33:23.640 --> 00:33:25.560]   doesn't have to be academic,
[00:33:25.560 --> 00:33:27.640]   just in general, like having some experience,
[00:33:27.640 --> 00:33:29.720]   like where someone worked independently,
[00:33:29.720 --> 00:33:31.120]   I think that's also very important,
[00:33:31.120 --> 00:33:36.120]   because, yeah, so you don't want to have always,
[00:33:36.120 --> 00:33:40.720]   as a student, maybe you want to also be independent.
[00:33:40.720 --> 00:33:43.960]   Because if you think about how life works later,
[00:33:43.960 --> 00:33:46.680]   you don't maybe want to have always someone
[00:33:46.680 --> 00:33:47.520]   telling you what to do.
[00:33:47.520 --> 00:33:50.160]   You want to maybe design your own experiments
[00:33:50.160 --> 00:33:51.560]   and these types of things.
[00:33:51.560 --> 00:33:54.800]   And I think it is important to also have some skills
[00:33:54.800 --> 00:33:56.600]   in that area that you,
[00:33:56.600 --> 00:33:57.960]   I mean, it doesn't have to be successful,
[00:33:57.960 --> 00:34:00.680]   just trying these out, that you have some,
[00:34:00.680 --> 00:34:02.520]   I would say, some independence,
[00:34:02.520 --> 00:34:04.160]   some autonomy or something like that,
[00:34:04.160 --> 00:34:06.480]   where you demonstrate skills.
[00:34:06.480 --> 00:34:09.320]   How to communicate that, that is a good question.
[00:34:09.320 --> 00:34:13.200]   So, yeah, in the email itself,
[00:34:13.200 --> 00:34:14.320]   I would say highlighting that,
[00:34:14.320 --> 00:34:18.200]   because if you send someone like an application
