
[00:00:00.040 --> 00:00:07.180]   wszyscy at in
[00:28:09.740 --> 00:28:09.740]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:28:09.740 --> 00:28:09.740]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:28:09.740 --> 00:28:09.740]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:28:09.740 --> 00:28:09.740]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:28:09.740 --> 00:28:09.740]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:28:09.760 --> 00:28:39.760]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:28:39.760 --> 00:28:39.760]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:28:39.760 --> 00:28:39.760]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:28:39.760 --> 00:28:39.760]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:28:39.760 --> 00:28:39.760]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:28:39.760 --> 00:28:39.760]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:28:39.760 --> 00:28:39.760]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:28:39.760 --> 00:28:39.760]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:28:39.760 --> 00:28:39.760]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:28:39.760 --> 00:28:39.760]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:28:39.780 --> 00:29:09.780]  ,
[00:29:09.780 --> 00:29:09.780]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:29:09.780 --> 00:29:09.780]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:29:09.780 --> 00:29:09.780]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:29:09.780 --> 00:29:09.780]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:29:09.780 --> 00:29:09.780]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:29:09.780 --> 00:29:09.780]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:29:09.780 --> 00:29:09.780]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:29:09.780 --> 00:29:09.780]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:29:09.780 --> 00:29:09.780]   and I got the experience that just wouldn't be possible in the physical world.
[00:29:09.800 --> 00:29:39.800]  ,
[00:29:39.800 --> 00:29:39.800]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:29:39.800 --> 00:29:39.800]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:29:39.800 --> 00:29:39.800]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:29:39.800 --> 00:29:39.800]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:29:39.800 --> 00:29:39.800]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:29:39.800 --> 00:29:39.800]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:29:39.800 --> 00:29:39.800]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:29:39.800 --> 00:29:39.800]   and I got the experience that just wouldn't be possible in the physical world.
[00:29:39.820 --> 00:30:09.820]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:30:09.820 --> 00:30:09.820]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:30:09.820 --> 00:30:09.820]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:30:09.820 --> 00:30:09.820]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:30:09.820 --> 00:30:09.820]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:30:09.820 --> 00:30:09.820]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:30:09.820 --> 00:30:09.820]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:30:09.820 --> 00:30:09.820]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:30:09.820 --> 00:30:09.820]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:30:09.820 --> 00:30:09.820]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:30:09.840 --> 00:30:39.840]  , yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:30:39.840 --> 00:30:39.840]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:30:39.840 --> 00:30:39.840]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:30:39.840 --> 00:30:39.840]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:30:39.840 --> 00:30:39.840]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:30:39.840 --> 00:30:39.840]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:30:39.840 --> 00:30:39.840]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:30:39.840 --> 00:30:39.840]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:30:39.840 --> 00:30:39.840]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:30:39.840 --> 00:30:39.840]   I got the experience that just wouldn't be possible in the physical world.
[00:30:39.860 --> 00:31:09.860]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:09.860 --> 00:31:09.860]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:09.860 --> 00:31:09.860]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:09.860 --> 00:31:09.860]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:09.860 --> 00:31:09.860]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:09.860 --> 00:31:09.860]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:09.860 --> 00:31:09.860]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:09.860 --> 00:31:09.860]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:09.860 --> 00:31:09.860]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:09.860 --> 00:31:09.860]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:09.880 --> 00:31:39.880]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:39.880 --> 00:31:39.880]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:39.880 --> 00:31:39.880]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:39.880 --> 00:31:39.880]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:39.880 --> 00:31:39.880]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:39.880 --> 00:31:39.880]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:39.880 --> 00:31:39.880]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:39.880 --> 00:31:39.880]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:39.880 --> 00:31:39.880]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:39.880 --> 00:31:39.880]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:31:39.920 --> 00:32:09.900]  ,
[00:32:09.900 --> 00:32:09.900]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:32:09.900 --> 00:32:09.900]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:32:09.900 --> 00:32:09.900]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:32:09.900 --> 00:32:09.900]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:32:09.900 --> 00:32:09.900]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:32:09.900 --> 00:32:09.900]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:32:09.900 --> 00:32:09.900]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:32:09.900 --> 00:32:09.900]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:32:09.920 --> 00:32:39.920]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:32:39.920 --> 00:32:39.920]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:32:39.920 --> 00:32:39.920]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:32:39.920 --> 00:32:39.920]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:32:39.920 --> 00:32:39.920]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:32:39.920 --> 00:32:39.920]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:32:39.920 --> 00:32:39.920]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:32:39.920 --> 00:32:39.920]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:32:39.920 --> 00:32:39.920]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:32:39.920 --> 00:32:39.920]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:32:39.960 --> 00:33:09.940]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:09.940 --> 00:33:09.940]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:09.940 --> 00:33:09.940]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:09.940 --> 00:33:09.940]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:09.940 --> 00:33:09.940]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:09.940 --> 00:33:09.940]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:09.940 --> 00:33:09.940]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:09.940 --> 00:33:09.940]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:09.940 --> 00:33:09.940]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:09.940 --> 00:33:09.940]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:09.940 --> 00:33:09.940]   and I got the experience that just wouldn't be possible in the physical world.
[00:33:09.960 --> 00:33:39.960]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:39.960 --> 00:33:39.960]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:39.960 --> 00:33:39.960]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:39.960 --> 00:33:39.960]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:39.960 --> 00:33:39.960]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:39.960 --> 00:33:39.960]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:39.960 --> 00:33:39.960]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:39.960 --> 00:33:39.960]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:39.960 --> 00:33:39.960]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:39.960 --> 00:33:39.960]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:33:39.980 --> 00:34:09.980]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:34:09.980 --> 00:34:09.980]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:34:09.980 --> 00:34:09.980]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:34:09.980 --> 00:34:09.980]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:34:09.980 --> 00:34:09.980]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:34:09.980 --> 00:34:09.980]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:34:09.980 --> 00:34:09.980]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:34:09.980 --> 00:34:09.980]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:34:09.980 --> 00:34:09.980]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:34:09.980 --> 00:34:09.980]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:34:10.000 --> 00:34:40.000]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:34:40.000 --> 00:34:40.000]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:34:40.000 --> 00:34:40.000]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:34:40.000 --> 00:34:40.000]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:34:40.000 --> 00:34:40.000]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:34:40.000 --> 00:34:40.000]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:34:40.000 --> 00:34:40.000]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:34:40.000 --> 00:34:40.000]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:34:40.000 --> 00:34:40.000]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:34:40.000 --> 00:34:40.000]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:35:10.020 --> 00:35:10.020]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:35:10.020 --> 00:35:10.020]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:35:10.020 --> 00:35:10.020]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:35:10.020 --> 00:35:10.020]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:35:10.020 --> 00:35:10.020]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:35:10.020 --> 00:35:10.020]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:35:10.020 --> 00:35:10.020]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:35:10.020 --> 00:35:10.020]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:35:10.020 --> 00:35:10.020]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:35:10.020 --> 00:35:10.020]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:35:40.040 --> 00:35:40.040]   I know you'd love to cultivate that community and you interact with them online outside of the podcast as well. But I mean, there's way more demand both to interact with you and to be able to do the things that you're doing. And I know you'd love to cultivate that community and you interact with them online outside of the podcast as well. But I mean, there's way more demand both to interact with you and to be able to do the things that you're doing. And I know you'd love to cultivate that community and you interact with them online outside of the podcast as well. But I mean, there's way more demand both to interact with you and to be able to do the things that you're doing. And I know you'd love to cultivate that community and you interact with them online outside of the podcast as well.
[00:35:40.080 --> 00:36:10.060]  ,
[00:36:10.060 --> 00:36:10.060]   and I'm sure you'd love to interact with the community more, but you just are limited by the number of hours in the day. So, you know, at some point, I think, making it so that you could build an AI version of yourself that could interact with people, not after you die, but while you're here to help, you know, help people kind of fulfill this desire to interact with you and your desire to build a community. And there's a lot of interesting questions around that.
[00:36:10.080 --> 00:36:40.080]   And, you know, that's obviously it's not just in the metaverse. I think, you know, we want to make that work, you know, across all the messaging platforms, you know, WhatsApp and Messenger and Instagram Direct. But, you know, there's certainly, you know, a version of that where if you could have an avatar version of yourself in the metaverse that people can interact with and you could define that sort of an AI version where, you know, people know that they're interacting with an AI, that it's not, you know, the kind of physical version of you, but maybe that AI, even if they know it's an AI is the next best thing.
[00:36:40.120 --> 00:37:10.100]  , you know, necessarily all get to interact with you directly. I think that could be a really compelling experience. There's a lot of things that we need to get right about it. We're not ready to release the version that a creator can kind of build a version of themselves yet, but we're starting to experiment with it in terms of releasing a number of AIs that people can interact with in different ways. And I think that that is also just going to be a very powerful, you know, a very powerful thing.
[00:37:10.100 --> 00:37:10.100]   I think that that's going to be a very powerful thing.
[00:37:10.120 --> 00:37:40.120]   You know, a set of capabilities that people have over time.
[00:37:40.120 --> 00:37:40.120]   So you've made major strides in developing these early AI personalities with the idea where you can talk to them across the meta apps and have like interesting, unique kind of conversations.
[00:37:40.120 --> 00:37:40.120]   Can you describe your vision there and these early strides and what are some technical challenges there?
[00:37:40.160 --> 00:38:10.140]  , you know, I think that that's going to be a very powerful thing.
[00:38:10.140 --> 00:38:10.140]   You know, I think that that's going to be a very powerful thing.
[00:38:10.140 --> 00:38:10.140]   You know, I think that that's going to be a very powerful thing.
[00:38:10.140 --> 00:38:10.140]   You know, I think that that's going to be a very powerful thing.
[00:38:10.140 --> 00:38:10.140]   You know, I think that that's going to be a very powerful thing.
[00:38:10.140 --> 00:38:10.140]   You know, I think that that's going to be a very powerful thing.
[00:38:10.140 --> 00:38:10.140]   You know, I think that that's going to be a very powerful thing.
[00:38:10.140 --> 00:38:10.140]   You know, I think that that's going to be a very powerful thing.
[00:38:10.140 --> 00:38:10.140]   You know, I think that's going to be a very powerful thing.
[00:38:10.140 --> 00:38:10.140]   You know, I think that's going to be a very powerful thing.
[00:38:10.160 --> 00:38:40.160]   You know, I think that that's going to be a very powerful thing.
[00:38:40.160 --> 00:38:40.160]   You know, I think that that's going to be a very powerful thing.
[00:38:40.160 --> 00:38:40.160]   You know, I think that that's going to be a very powerful thing.
[00:38:40.160 --> 00:38:40.160]   You know, I think that that's going to be a very powerful thing.
[00:38:40.160 --> 00:38:40.160]   You know, I think that that's going to be a very powerful thing.
[00:38:40.160 --> 00:38:40.160]   You know, I think that that's going to be a very powerful thing.
[00:38:40.160 --> 00:38:40.160]   You know, I think that that's going to be a very powerful thing.
[00:38:40.160 --> 00:38:40.160]   You know, I think that that that's going to be a very powerful thing.
[00:38:40.160 --> 00:38:40.160]   You know, I think that that that's going to be a very powerful thing.
[00:38:40.160 --> 00:38:40.160]   You know, I think that that that's going to be a very powerful thing.
[00:38:40.160 --> 00:38:40.160]   You know, I think that that that's going to be a very powerful thing.
[00:38:40.160 --> 00:38:40.160]   you know that's going to be a very powerful thing.
[00:38:40.200 --> 00:39:10.180]  ,
[00:39:10.180 --> 00:39:10.180]   you know, I think that that's going to be a very powerful thing.
[00:39:10.180 --> 00:39:10.180]   you know, I think that that's going to be a very powerful thing.
[00:39:10.180 --> 00:39:10.180]   you know, I think that that's going to be a very powerful thing.
[00:39:10.180 --> 00:39:10.180]   you know, I think that that's going to be a very powerful thing.
[00:39:10.180 --> 00:39:10.180]   you know, I think that that's going to be a very powerful thing.
[00:39:10.180 --> 00:39:10.180]   you know, I think that that's going to be a very powerful thing.
[00:39:10.180 --> 00:39:10.180]   you know, I think that that's going to be a very powerful thing.
[00:39:10.180 --> 00:39:10.180]   you know, I think that's going to be a very powerful thing.
[00:39:10.180 --> 00:39:10.180]   you know, I think that's going to be a very powerful thing.
[00:39:10.200 --> 00:39:40.200]   I think that's going to be a very powerful thing.
[00:39:40.200 --> 00:39:40.200]   I think that's going to be a very powerful thing.
[00:39:40.200 --> 00:39:40.200]   I think that's going to be a very powerful thing.
[00:39:40.200 --> 00:39:40.200]   I think that's going to be a very powerful thing.
[00:39:40.200 --> 00:39:40.200]   I think that's going to be a very powerful thing.
[00:39:40.200 --> 00:39:40.200]   I think that's going to be a very powerful thing.
[00:39:40.200 --> 00:39:40.200]   I think that's going to be a very powerful thing.
[00:39:40.200 --> 00:39:40.200]   I think that's going to be a very powerful thing.
[00:39:40.200 --> 00:39:40.200]   I think that's going to be a very powerful thing.
[00:39:40.200 --> 00:39:40.200]   I think that's going to be a very powerful thing.
[00:39:40.200 --> 00:39:40.200]   I think that's going to be a very powerful thing.
[00:39:40.200 --> 00:39:40.200]   I think that's going to be a very powerful thing.
[00:39:40.200 --> 00:39:40.200]   I think that's going to be a very powerful thing.
[00:39:40.200 --> 00:39:40.200]   I think that's going to be a very powerful thing.
[00:39:40.200 --> 00:39:40.200]   I think that's going to be a very powerful thing.
[00:39:40.200 --> 00:40:10.220]   I think that's going to be a very powerful thing.
[00:40:10.220 --> 00:40:10.220]   I think that's going to be a very powerful thing.
[00:40:10.220 --> 00:40:10.220]   I think that's going to be a very powerful thing.
[00:40:10.220 --> 00:40:10.220]   I think that's going to be a very powerful thing.
[00:40:10.220 --> 00:40:10.220]   I think that's going to be a very powerful thing.
[00:40:10.220 --> 00:40:10.220]   I think that's going to be a very powerful thing.
[00:40:10.220 --> 00:40:10.220]   I think that's going to be a very powerful thing.
[00:40:10.220 --> 00:40:10.220]   I think that's going to be a very powerful thing.
[00:40:10.220 --> 00:40:10.220]   I think that's going to be a very powerful thing.
[00:40:10.220 --> 00:40:10.220]   I think that's going to be a very powerful thing.
[00:40:10.240 --> 00:40:40.240]   I think that's going to be a very powerful thing.
[00:40:40.240 --> 00:40:40.240]   I think that's going to be a very powerful thing.
[00:40:40.240 --> 00:40:40.240]   I think that's going to be a very powerful thing.
[00:40:40.240 --> 00:40:40.240]   I think that's going to be a very powerful thing.
[00:40:40.240 --> 00:40:40.240]   I think that's going to be a very powerful thing.
[00:40:40.240 --> 00:40:40.240]   I think that's going to be a very powerful thing.
[00:40:40.240 --> 00:40:40.240]   I think that's going to be a very powerful thing.
[00:40:40.240 --> 00:40:40.240]   I think that's going to be a very powerful thing.
[00:40:40.240 --> 00:40:40.240]   I think that's going to be a very powerful thing.
[00:40:40.240 --> 00:40:40.240]   I think that's going to be a very powerful thing.
[00:40:40.240 --> 00:40:40.240]   I think that's going to be a very powerful thing.
[00:40:40.240 --> 00:40:40.240]   I think that's going to be a very powerful thing.
[00:40:40.240 --> 00:40:40.240]   I think that's going to be a very powerful thing.
[00:40:40.240 --> 00:40:40.240]   I think that's going to be a very powerful thing.
[00:40:40.240 --> 00:40:40.240]   I think that's going to be a very powerful thing.
[00:40:40.240 --> 00:41:10.260]   I think that's going to be a very powerful thing.
[00:41:10.260 --> 00:41:10.260]   I think that's going to be a very powerful thing.
[00:41:10.260 --> 00:41:10.260]   I think that's going to be a very powerful thing.
[00:41:10.260 --> 00:41:10.260]   I think that's going to be a very powerful thing.
[00:41:10.260 --> 00:41:10.260]   I think that's going to be a very powerful thing.
[00:41:10.260 --> 00:41:10.260]   I think that's going to be a very powerful thing.
[00:41:10.260 --> 00:41:10.260]   I think that's going to be a very powerful thing.
[00:41:10.260 --> 00:41:10.260]   I think that's going to be a very powerful thing.
[00:41:10.260 --> 00:41:10.260]   I think that's going to be a very powerful thing.
[00:41:10.280 --> 00:41:40.280]   I think that's going to be a very powerful thing.
[00:41:40.280 --> 00:41:40.280]   I think that's going to be a very powerful thing.
[00:41:40.280 --> 00:41:40.280]   I think that's going to be a very powerful thing.
[00:41:40.280 --> 00:41:40.280]   I think that's going to be a very powerful thing.
[00:41:40.280 --> 00:41:40.280]   I think that's going to be a very powerful thing.
[00:41:40.280 --> 00:41:40.280]   I think that's going to be a very powerful thing.
[00:41:40.280 --> 00:41:40.280]   I think that's going to be a very powerful thing.
[00:41:40.280 --> 00:41:40.280]   I think that's going to be a very powerful thing.
[00:41:40.280 --> 00:41:40.280]   I think that's going to be a very powerful thing.
[00:41:40.280 --> 00:41:40.280]   I think that's going to be a very powerful thing.
[00:41:40.280 --> 00:41:40.280]   I think that's going to be a very powerful thing.
[00:41:40.280 --> 00:41:40.280]   I think that's going to be a very powerful thing.
[00:41:40.280 --> 00:41:40.280]   I think that's going to be a very powerful thing.
[00:41:40.280 --> 00:41:40.280]   I think that's going to be a very powerful thing.
[00:41:40.280 --> 00:41:40.280]   I think that's going to be a very powerful thing.
[00:41:40.280 --> 00:42:10.300]   I think that's going to be a very powerful thing.
[00:42:10.300 --> 00:42:10.300]   I think that's going to be a very powerful thing.
[00:42:10.300 --> 00:42:10.300]   I think that's going to be a very powerful thing.
[00:42:10.300 --> 00:42:10.300]   I think that's going to be a very powerful thing.
[00:42:10.300 --> 00:42:10.300]   I think that's going to be a very powerful thing.
[00:42:10.300 --> 00:42:10.300]   I think that's going to be a very powerful thing.
[00:42:10.300 --> 00:42:10.300]   I think that's going to be a very powerful thing.
[00:42:10.300 --> 00:42:10.300]   I think that's going to be a very powerful thing.
[00:42:10.300 --> 00:42:10.300]   I think that's going to be a very powerful thing.
[00:42:10.320 --> 00:42:40.320]   I think that's going to be a very powerful thing.
[00:42:40.320 --> 00:42:40.320]   I think that's going to be a very powerful thing.
[00:42:40.320 --> 00:42:40.320]   I think that's going to be a very powerful thing.
[00:42:40.320 --> 00:42:40.320]   I think that's going to be a very powerful thing.
[00:42:40.320 --> 00:42:40.320]   I think that's going to be a very powerful thing.
[00:42:40.320 --> 00:42:40.320]   I think that's going to be a very powerful thing.
[00:42:40.320 --> 00:42:40.320]   I think that's going to be a very powerful thing.
[00:42:40.320 --> 00:42:40.320]   I think that's going to be a very powerful thing.
[00:42:40.320 --> 00:42:40.320]   I think that's going to be a very powerful thing.
[00:42:40.320 --> 00:42:40.320]   I think that's going to be a very powerful thing.
[00:42:40.320 --> 00:42:40.320]   I think that's going to be a very powerful thing.
[00:42:40.320 --> 00:42:40.320]   I think that's going to be a very powerful thing.
[00:42:40.320 --> 00:42:40.320]   I think that's going to be a very powerful thing.
[00:42:40.320 --> 00:42:40.320]   I think that's going to be a very powerful thing.
[00:42:40.320 --> 00:42:40.320]   I think that's going to be a very powerful thing.
[00:42:40.340 --> 00:43:10.340]   I think that's going to be a very powerful thing.
[00:43:10.340 --> 00:43:10.340]   I think that's going to be a very powerful thing.
[00:43:10.340 --> 00:43:10.340]   I think that's going to be a very powerful thing.
[00:43:10.340 --> 00:43:10.340]   I think that's going to be a very powerful thing.
[00:43:10.340 --> 00:43:10.340]   I think that's going to be a very powerful thing.
[00:43:10.340 --> 00:43:10.340]   I think that's going to be a very powerful thing.
[00:43:10.340 --> 00:43:10.340]   I think that's going to be a very powerful thing.
[00:43:10.340 --> 00:43:10.340]   I think that's going to be a very powerful thing.
[00:43:10.340 --> 00:43:10.340]   I think that's going to be a very powerful thing.
[00:43:10.340 --> 00:43:10.340]   I think that's going to be a very powerful thing.
[00:43:10.340 --> 00:43:10.340]   I think that's going to be a very powerful thing.
[00:43:10.380 --> 00:43:40.360]  ,
[00:43:40.360 --> 00:43:40.360]   I think that's going to be a very powerful thing.
[00:43:40.360 --> 00:43:40.360]   I think that's going to be a very powerful thing.
[00:43:40.360 --> 00:43:40.360]   I think that's going to be a very powerful thing.
[00:43:40.360 --> 00:43:40.360]   I think that's going to be a very powerful thing.
[00:43:40.360 --> 00:43:40.360]   I think that's going to be a very powerful thing.
[00:43:40.360 --> 00:43:40.360]   I think that's going to be a very powerful thing.
[00:43:40.360 --> 00:43:40.360]   I think that's going to be a very powerful thing.
[00:43:40.360 --> 00:43:40.360]   I think that's going to be a very powerful thing.
[00:43:40.360 --> 00:43:40.360]   I think that's going to be a very powerful thing.
[00:43:40.360 --> 00:43:40.360]   I think that's going to be a very powerful thing.
[00:43:40.360 --> 00:43:40.360]   I think that's going to be a very powerful thing.
[00:43:40.380 --> 00:44:10.380]   I think that's going to be a very powerful thing.
[00:44:10.380 --> 00:44:10.380]   I think that's going to be a very powerful thing.
[00:44:10.380 --> 00:44:10.380]   I think that's going to be a very powerful thing.
[00:44:10.380 --> 00:44:10.380]   I think that's going to be a very powerful thing.
[00:44:10.380 --> 00:44:10.380]   I think that's going to be a very powerful thing.
[00:44:10.380 --> 00:44:10.380]   I think that's going to be a very powerful thing.
[00:44:10.380 --> 00:44:10.380]   I think that's going to be a very powerful thing.
[00:44:10.380 --> 00:44:10.380]   I think that's going to be a very powerful thing.
[00:44:10.380 --> 00:44:10.380]   I think that's going to be a very powerful thing.
[00:44:10.380 --> 00:44:10.380]   I think that's going to be a very powerful thing.
[00:44:10.380 --> 00:44:10.380]   I think that's going to be a very powerful thing.
[00:44:10.380 --> 00:44:10.380]   I think that's going to be a very powerful thing.
[00:44:10.380 --> 00:44:10.380]   I think that's going to be a very powerful thing.
[00:44:10.380 --> 00:44:10.380]   I think that's going to be a very powerful thing.
[00:44:10.380 --> 00:44:10.380]   I think that's going to be a very powerful thing.
[00:44:10.380 --> 00:44:40.400]   I think that's going to be a very powerful thing.
[00:44:40.400 --> 00:44:40.400]   I think that's going to be a very powerful thing.
