
[00:00:00.040 --> 00:00:09.560]  ivat
[00:18:35.000 --> 00:18:35.000]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:18:35.020 --> 00:19:05.020]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:19:05.020 --> 00:19:05.020]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:19:05.020 --> 00:19:05.020]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:19:05.020 --> 00:19:05.020]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:19:05.020 --> 00:19:05.020]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:19:05.020 --> 00:19:05.020]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:19:05.020 --> 00:19:05.020]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:19:05.020 --> 00:19:05.020]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:19:05.020 --> 00:19:05.020]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:19:05.040 --> 00:19:35.040]   I PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:19:35.040 --> 00:19:35.040]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:19:35.040 --> 00:19:35.040]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:19:35.040 --> 00:19:35.040]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:19:35.040 --> 00:19:35.040]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:19:35.040 --> 00:19:35.040]   PAY ATTENTION TO THE THRESTS AND THE RULES OF YOUR LIFE.
[00:19:35.080 --> 00:20:05.060]  ,
[00:20:05.060 --> 00:20:05.060]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:20:05.060 --> 00:20:05.060]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:20:05.060 --> 00:20:05.060]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:20:05.060 --> 00:20:05.060]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:20:05.060 --> 00:20:05.060]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:20:05.060 --> 00:20:05.060]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:20:05.060 --> 00:20:05.060]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:20:05.060 --> 00:20:05.060]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:20:05.060 --> 00:20:05.060]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:20:05.080 --> 00:20:35.080]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:20:35.080 --> 00:20:35.080]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:20:35.080 --> 00:20:35.080]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:20:35.080 --> 00:20:35.080]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:20:35.080 --> 00:20:35.080]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:20:35.080 --> 00:20:35.080]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:20:35.080 --> 00:20:35.080]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:20:35.080 --> 00:20:35.080]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:20:35.080 --> 00:20:35.080]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:20:35.100 --> 00:21:05.100]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:21:05.100 --> 00:21:05.100]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:21:05.100 --> 00:21:05.100]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:21:05.100 --> 00:21:05.100]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:21:05.100 --> 00:21:05.100]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:21:05.100 --> 00:21:05.100]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:21:05.100 --> 00:21:05.100]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:21:05.100 --> 00:21:05.100]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:21:05.100 --> 00:21:05.100]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:21:05.120 --> 00:21:35.120]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:21:35.120 --> 00:21:35.120]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:21:35.120 --> 00:21:35.120]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:21:35.120 --> 00:21:35.120]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:21:35.120 --> 00:21:35.120]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:21:35.120 --> 00:21:35.120]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:21:35.120 --> 00:21:35.120]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:21:35.120 --> 00:21:35.120]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:21:35.120 --> 00:21:35.120]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:21:35.140 --> 00:22:05.140]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:22:05.140 --> 00:22:05.140]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:22:05.140 --> 00:22:05.140]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:22:05.140 --> 00:22:05.140]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:22:05.140 --> 00:22:05.140]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:22:05.140 --> 00:22:05.140]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:22:05.140 --> 00:22:05.140]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:22:05.140 --> 00:22:05.140]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:22:05.140 --> 00:22:05.140]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:22:05.180 --> 00:22:35.160]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:22:35.160 --> 00:22:35.160]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:22:35.160 --> 00:22:35.160]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:22:35.160 --> 00:22:35.160]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:22:35.160 --> 00:22:35.160]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:22:35.160 --> 00:22:35.160]   PAY ATTENTION TO THE THRESTS AND THE RULES OF YOUR LIFE.
[00:22:35.180 --> 00:23:05.180]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:23:05.180 --> 00:23:05.180]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:23:05.180 --> 00:23:05.180]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:23:05.180 --> 00:23:05.180]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:23:05.180 --> 00:23:05.180]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:23:05.180 --> 00:23:05.180]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:23:05.180 --> 00:23:05.180]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:23:05.180 --> 00:23:05.180]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:23:05.180 --> 00:23:05.180]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:23:05.220 --> 00:23:35.200]  ,
[00:23:35.200 --> 00:23:35.200]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:23:35.200 --> 00:23:35.200]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:23:35.200 --> 00:23:35.200]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:23:35.200 --> 00:23:35.200]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:23:35.200 --> 00:23:35.200]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:23:35.200 --> 00:23:35.200]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:23:35.200 --> 00:23:35.200]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:23:35.200 --> 00:23:35.200]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:23:35.200 --> 00:23:35.200]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:23:35.220 --> 00:24:05.220]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:24:05.220 --> 00:24:05.220]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:24:05.220 --> 00:24:05.220]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:24:05.220 --> 00:24:05.220]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:24:05.220 --> 00:24:05.220]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:24:05.220 --> 00:24:05.220]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:24:05.220 --> 00:24:05.220]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:24:05.220 --> 00:24:05.220]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:24:05.220 --> 00:24:05.220]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:24:05.260 --> 00:24:35.240]  -PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:24:35.240 --> 00:24:35.240]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:24:35.240 --> 00:24:35.240]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:24:35.240 --> 00:24:35.240]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:24:35.240 --> 00:24:35.240]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:24:35.240 --> 00:24:35.240]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:24:35.240 --> 00:24:35.240]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:24:35.240 --> 00:24:35.240]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:24:35.240 --> 00:24:35.240]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:24:35.260 --> 00:25:05.260]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:25:05.260 --> 00:25:05.260]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:25:05.260 --> 00:25:05.260]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:25:05.260 --> 00:25:05.260]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:25:05.260 --> 00:25:05.260]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:25:05.260 --> 00:25:05.260]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:25:05.260 --> 00:25:05.260]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:25:05.260 --> 00:25:05.260]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:25:05.260 --> 00:25:05.260]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:25:05.260 --> 00:25:35.280]  -PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:25:35.280 --> 00:25:35.280]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:25:35.280 --> 00:25:35.280]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:25:35.280 --> 00:25:35.280]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:25:35.280 --> 00:25:35.280]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:25:35.280 --> 00:25:35.280]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:25:35.280 --> 00:25:35.280]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:25:35.280 --> 00:25:35.280]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:25:35.280 --> 00:25:35.280]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:25:35.320 --> 00:26:05.300]   ado.

