
[00:00:00.000 --> 00:00:01.600]   Are you experienced?
[00:16:05.060 --> 00:16:06.200]   if we were actually to keep that car.
[00:16:06.200 --> 00:16:08.160]   So that's usually the first decisions.
[00:16:08.160 --> 00:16:09.520]   Now, are there situations in which
[00:16:09.520 --> 00:16:10.800]   you should replace the car?
[00:16:10.800 --> 00:16:12.640]   Yes, probably.
[00:16:12.640 --> 00:16:14.400]   But let me give you some of the major reasons
[00:16:14.400 --> 00:16:16.840]   why you should keep the car
[00:16:16.840 --> 00:16:19.240]   and repair it instead of replacing it.
[00:16:19.240 --> 00:16:20.720]   Number one, most actual repairs
[00:16:20.720 --> 00:16:22.560]   are really not that expensive.
[00:16:22.560 --> 00:16:24.080]   Maintenance items can add up,
[00:16:24.080 --> 00:16:26.400]   especially if they've been deferred.
[00:16:26.400 --> 00:16:28.040]   But they're really, like I said a moment ago,
[00:16:28.040 --> 00:16:29.760]   there are very few major, major repairs
[00:16:29.760 --> 00:16:31.620]   that happen on cars.
[00:16:31.620 --> 00:16:36.040]   Next, worse, it's really hard to sell a broken car.
[00:16:36.040 --> 00:16:37.960]   If your car is actually broken down,
[00:16:37.960 --> 00:16:41.480]   it's very, very difficult to sell that.
[00:16:41.480 --> 00:16:43.640]   You've taken your marketplace of opportunities,
[00:16:43.640 --> 00:16:46.560]   of potential buyers, from this massive marketplace,
[00:16:46.560 --> 00:16:47.700]   and you've broken it down
[00:16:47.700 --> 00:16:50.520]   to just this very narrow window of people,
[00:16:50.520 --> 00:16:51.960]   a very small number of people
[00:16:51.960 --> 00:16:53.920]   that would be willing to take on a vehicle
[00:16:53.920 --> 00:16:56.580]   that has an unknown mechanical condition and fix it.
[00:16:56.580 --> 00:16:58.920]   You're basically dealing with mechanics,
[00:16:58.920 --> 00:17:02.240]   maybe a professional, or a shade tree mechanic,
[00:17:02.240 --> 00:17:03.200]   somebody knows a little something
[00:17:03.200 --> 00:17:05.240]   and they can go ahead and fix a few things.
[00:17:05.240 --> 00:17:07.400]   That's a tiny slice of the marketplace.
[00:17:07.400 --> 00:17:09.880]   And any time you're selling something,
[00:17:09.880 --> 00:17:12.720]   you wanna have the most potential buyers possible.
[00:17:12.720 --> 00:17:16.080]   The more limited the number of your buyers,
[00:17:16.080 --> 00:17:17.920]   the more difficult it's gonna be to sell something,
[00:17:17.920 --> 00:17:19.360]   and the more difficult it's gonna be
[00:17:19.360 --> 00:17:21.120]   to sell something for a really good price.
[00:17:21.120 --> 00:17:24.560]   So it's really, really hard to sell a broken down car.
[00:17:24.560 --> 00:17:26.940]   Tiny marketplace, they're experts,
[00:17:26.940 --> 00:17:28.720]   and they're gonna be investing labor,
[00:17:28.720 --> 00:17:30.600]   so they're gonna wanna deal.
[00:17:30.600 --> 00:17:33.800]   So almost always, if you fix the car,
[00:17:33.800 --> 00:17:35.120]   at that point in time,
[00:17:35.120 --> 00:17:36.860]   if you wanna go out and sell it on the open market,
[00:17:36.860 --> 00:17:37.740]   you can do that.
[00:17:37.740 --> 00:17:38.940]   But you take your potential buyers
[00:17:38.940 --> 00:17:41.480]   from this tiny little subset of people,
[00:17:41.480 --> 00:17:46.300]   and you expand it to a much bigger marketplace.
[00:17:46.300 --> 00:17:48.960]   So it's tough to sell a broken car.
[00:17:50.480 --> 00:17:55.040]   Worse, in general, the biggest cost of car ownership
[00:17:55.040 --> 00:17:57.780]   for most people would be the depreciation.
[00:17:57.780 --> 00:18:01.780]   And when people are sitting there
[00:18:01.780 --> 00:18:05.560]   with a car that is broken down or continually breaking down,
[00:18:05.560 --> 00:18:07.500]   and they're considering, should I replace it,
[00:18:07.500 --> 00:18:11.160]   they're usually thinking about upgrading the car
[00:18:11.160 --> 00:18:12.480]   to a more expensive car.
[00:18:12.480 --> 00:18:15.840]   That's usually the consideration.
[00:18:15.840 --> 00:18:18.120]   It's very rare that somebody is sitting there
[00:18:18.120 --> 00:18:21.600]   with a $5,000 car and saying,
[00:18:21.600 --> 00:18:22.720]   well, this car is breaking down,
[00:18:22.720 --> 00:18:25.320]   so I'm gonna replace it with this other $5,000 car
[00:18:25.320 --> 00:18:27.740]   that's gonna be more reliable and break down less.
[00:18:27.740 --> 00:18:29.920]   If you're making that decision,
[00:18:29.920 --> 00:18:33.440]   then if you can go from equal value to equal value
[00:18:33.440 --> 00:18:34.740]   to a vehicle that's gonna be breaking down less,
[00:18:34.740 --> 00:18:36.280]   that's gonna be a better decision.
[00:18:36.280 --> 00:18:38.020]   But most people aren't doing that.
[00:18:38.020 --> 00:18:39.440]   They're gonna upgrade the car.
[00:18:39.440 --> 00:18:41.240]   So here would be an example from my situation.
[00:18:41.240 --> 00:18:43.060]   I bought my van for 5,000 bucks.
[00:18:43.060 --> 00:18:44.520]   The market value when I bought the van
[00:18:44.520 --> 00:18:48.760]   was about 7,000 to $7,500 for vans of that type of thing.
[00:18:48.760 --> 00:18:50.920]   And I'd shopped a lot, worked aggressively
[00:18:50.920 --> 00:18:52.280]   to look around and find a deal,
[00:18:52.280 --> 00:18:53.920]   and it was a hard deal to find.
[00:18:53.920 --> 00:18:56.680]   Most minivans were stuck right at that $7,000 to $7,500
[00:18:56.680 --> 00:18:59.240]   price range, and then ultimately I found this one,
[00:18:59.240 --> 00:19:01.920]   and it worked out that I was able to get it at a discount.
[00:19:01.920 --> 00:19:03.940]   I moved fast, gave the guy cash.
[00:19:03.940 --> 00:19:04.780]   He wanted to get rid of it.
[00:19:04.780 --> 00:19:07.440]   It was a business owner, and so it worked out well.
[00:19:07.440 --> 00:19:09.340]   I was able to get the deal.
[00:19:09.340 --> 00:19:11.960]   The repair bill, though, was 2,500 bucks.
[00:19:11.960 --> 00:19:13.920]   So if I were to go out and say,
[00:19:13.920 --> 00:19:17.240]   "Okay, I'm just gonna go out and find another van
[00:19:17.240 --> 00:19:19.000]   "at market value," I couldn't be assured
[00:19:19.000 --> 00:19:21.560]   of being able to find another $5,000 deal.
[00:19:21.560 --> 00:19:22.840]   And maybe I could have, who knows?
[00:19:22.840 --> 00:19:24.120]   Maybe I could have found a better deal,
[00:19:24.120 --> 00:19:25.320]   but I couldn't be assured of it.
[00:19:25.320 --> 00:19:27.520]   And knowing how long it had taken
[00:19:27.520 --> 00:19:30.920]   to find that $5,000 deal,
[00:19:30.920 --> 00:19:33.160]   I knew that I needed to,
[00:19:33.160 --> 00:19:35.320]   I couldn't count on being able to find one.
[00:19:35.320 --> 00:19:39.280]   So I'm automatically, to replace like with like,
[00:19:39.280 --> 00:19:40.960]   a van in my current condition
[00:19:40.960 --> 00:19:44.040]   with a van in similar condition,
[00:19:44.040 --> 00:19:47.000]   I'm gonna be moving up to 7,500 bucks.
[00:19:47.000 --> 00:19:50.360]   Now, at that $7,000 price range,
[00:19:50.360 --> 00:19:52.720]   using a 15% estimate on the amount of money
[00:19:52.720 --> 00:19:55.120]   that I'm losing every year on depreciation,
[00:19:55.120 --> 00:19:57.200]   I'm taking a hit of about $1,000 loss
[00:19:57.200 --> 00:19:59.760]   every year that I own a vehicle.
[00:19:59.760 --> 00:20:02.440]   So if I were to go out and buy a $7,000 van,
[00:20:02.440 --> 00:20:04.400]   a year from now, it's gonna be worth six grand,
[00:20:04.400 --> 00:20:06.080]   and I'm gonna be out 1,000 bucks.
[00:20:06.080 --> 00:20:10.920]   That's kind of a pain.
[00:20:10.920 --> 00:20:14.600]   Now, the cool thing is by getting the discounted van,
[00:20:14.600 --> 00:20:17.880]   I've already got more wiggle room in the deal.
[00:20:17.880 --> 00:20:20.120]   So I automatically have to factor
[00:20:20.120 --> 00:20:22.160]   that there's gonna be an additional $1,000 cost
[00:20:22.160 --> 00:20:24.640]   of going out and buying the $7,000 van.
[00:20:24.640 --> 00:20:27.040]   Now, most people, and I wouldn't necessarily,
[00:20:27.040 --> 00:20:28.160]   I'm not saying this right or wrong,
[00:20:28.160 --> 00:20:30.440]   most people wouldn't repair and replace
[00:20:30.440 --> 00:20:33.120]   a $7,000 van with a $7,000 van.
[00:20:33.120 --> 00:20:35.440]   So let's say what would be a more normal consideration
[00:20:35.440 --> 00:20:37.520]   for somebody whose vehicle's breaking down, breaking down,
[00:20:37.520 --> 00:20:39.920]   and they wanna go out and upgrade a little bit.
[00:20:39.920 --> 00:20:42.160]   What about a $15,000 van?
[00:20:42.160 --> 00:20:47.160]   Well, a $15,000 van is gonna lose $2,250 of value
[00:20:47.160 --> 00:20:51.640]   in the first year on my ownership and depreciation,
[00:20:51.640 --> 00:20:55.920]   or basically the same amount of money
[00:20:55.920 --> 00:20:57.760]   that it's gonna cost me to repair it.
[00:20:57.760 --> 00:21:02.720]   But the depreciation is a guaranteed loss,
[00:21:02.720 --> 00:21:07.280]   and then in year two, there's gonna be another $1,912
[00:21:07.280 --> 00:21:10.000]   depreciation, and then in year three,
[00:21:10.000 --> 00:21:11.360]   there's gonna be more depreciation,
[00:21:11.360 --> 00:21:14.240]   and more depreciation, and more depreciation.
[00:21:14.240 --> 00:21:17.120]   But if I'm comparing just the cost of depreciation
[00:21:17.120 --> 00:21:20.200]   with the vehicle to the cost of the repair,
[00:21:20.200 --> 00:21:24.440]   that catastrophic repair is unlikely to happen
[00:21:24.440 --> 00:21:25.840]   in year two or year three or year four.
[00:21:25.840 --> 00:21:27.720]   It's probably a one-time cost.
[00:21:27.720 --> 00:21:31.320]   So if I fix the vehicle today, pay the $2,500,
[00:21:31.320 --> 00:21:33.920]   yes, I'm equal to going out and replacing it
[00:21:33.920 --> 00:21:36.400]   for the next year, but with owning the vehicle
[00:21:36.400 --> 00:21:38.720]   at the much lower cost, I'm limiting the downside
[00:21:38.720 --> 00:21:42.080]   of the depreciation, and I get to keep more money
[00:21:42.080 --> 00:21:44.280]   in my pocket, versus going out and buying
[00:21:44.280 --> 00:21:47.840]   the $15,000 vehicle, in which case,
[00:21:47.840 --> 00:21:50.160]   every year going forward, I'm gonna lose a couple
[00:21:50.160 --> 00:21:53.880]   thousand bucks until that value ultimately drops down lower.
[00:21:53.880 --> 00:21:56.520]   And the bigger the price jump, the worse it is.
[00:21:56.520 --> 00:22:00.600]   So if you were to jump from a few-thousand-dollar car
[00:22:00.600 --> 00:22:04.480]   to a $30,000 vehicle, well, now there's an automatic loss
[00:22:04.480 --> 00:22:07.840]   of $4,500 in depreciation in the first year.
[00:22:07.840 --> 00:22:11.480]   And this is why many people's financial situations
[00:22:11.480 --> 00:22:14.160]   are just simply destroyed, especially people
[00:22:14.160 --> 00:22:15.560]   who don't have a lot of money.
[00:22:15.560 --> 00:22:17.400]   They're driving an old car, driving an old car,
[00:22:17.400 --> 00:22:19.400]   driving an old car, here's what happens.
[00:22:19.400 --> 00:22:22.700]   They get frustrated at the continual maintenance items.
[00:22:22.700 --> 00:22:24.700]   They get frustrated, and then all of a sudden,
[00:22:24.700 --> 00:22:27.120]   some repair, a $500 repair comes along,
[00:22:27.120 --> 00:22:29.320]   and now they're just really, really upset.
[00:22:29.320 --> 00:22:31.080]   And so they go down to the dealership,
[00:22:31.080 --> 00:22:34.580]   they make a snap deal on a car that's poorly considered.
[00:22:34.580 --> 00:22:38.200]   What often ends up happening is they don't make
[00:22:38.200 --> 00:22:39.740]   a new car decision wisely.
[00:22:39.740 --> 00:22:42.600]   They'll buy a cheap car from a cheap brand
[00:22:42.600 --> 00:22:44.460]   that doesn't have a good maintenance record,
[00:22:44.460 --> 00:22:46.400]   doesn't have a good warranty, doesn't have
[00:22:46.400 --> 00:22:47.320]   a good name brand.
[00:22:47.320 --> 00:22:49.840]   They'll buy a Chevy Aveo or a Kia Optima
[00:22:49.840 --> 00:22:54.840]   or some type of cheap car that is gonna just depreciate
[00:22:54.840 --> 00:22:59.240]   like crazy, and they go out, they make a quick deal,
[00:22:59.240 --> 00:23:01.800]   massive financing costs, other decisions,
[00:23:01.800 --> 00:23:06.800]   and they lock in losing $4,500 of depreciation
[00:23:06.800 --> 00:23:07.840]   in the first year.
[00:23:07.840 --> 00:23:10.760]   They bought a $30,000 vehicle instead of paying $800
[00:23:10.760 --> 00:23:12.640]   or $1,000 to fix the car.
[00:23:12.640 --> 00:23:14.760]   Well, you make a cycle of that year by year by year,
[00:23:14.760 --> 00:23:18.280]   and then over time, your financial situation is destroyed.
[00:23:18.280 --> 00:23:20.240]   I don't like to lose money, and I recommend
[00:23:20.240 --> 00:23:21.800]   that you not lose money either.
[00:23:21.800 --> 00:23:26.440]   So calculate carefully the cost of depreciation,
[00:23:27.520 --> 00:23:29.420]   but make sure you also include some of the other costs
[00:23:29.420 --> 00:23:32.740]   of transitioning from one vehicle to another.
[00:23:32.740 --> 00:23:36.920]   Big thing, transaction costs, and those transaction costs
[00:23:36.920 --> 00:23:38.540]   really eat into the numbers.
[00:23:38.540 --> 00:23:40.320]   So again, let's go with my situation
[00:23:40.320 --> 00:23:42.260]   when I did this analysis.
[00:23:42.260 --> 00:23:44.480]   If I were gonna replace my vehicle with a similar
[00:23:44.480 --> 00:23:46.720]   comparable vehicle, which my baseline decision
[00:23:46.720 --> 00:23:51.360]   was the vehicle I own, 2007 Hyundai Entourage minivan.
[00:23:51.360 --> 00:23:54.040]   It has the appropriate space, the appropriate amenities
[00:23:54.040 --> 00:23:54.880]   that I needed.
[00:23:54.880 --> 00:23:56.560]   I'm really a fan of the minivan concept.
[00:23:56.560 --> 00:23:58.000]   It's the best vehicle.
[00:23:58.000 --> 00:23:58.840]   I use it a lot.
[00:23:58.840 --> 00:23:59.660]   I use the space.
[00:23:59.660 --> 00:24:01.080]   It's really, really great.
[00:24:01.080 --> 00:24:05.720]   And that era is new enough to be appropriate enough,
[00:24:05.720 --> 00:24:09.160]   but yet it's old enough to have a bunch lower price ranges.
[00:24:09.160 --> 00:24:11.320]   The age of the vehicle should be good
[00:24:11.320 --> 00:24:13.200]   as far as repair items.
[00:24:13.200 --> 00:24:15.480]   I like basically everything about it.
[00:24:15.480 --> 00:24:18.780]   And cheap insurance costs, really high safety ratings,
[00:24:18.780 --> 00:24:21.300]   et cetera, so I had carefully considered the decision
[00:24:21.300 --> 00:24:23.200]   before buying it in the first place.
[00:24:23.200 --> 00:24:25.240]   So that's what I wanted again.
[00:24:25.240 --> 00:24:29.280]   So if my $5,000 vehicle that I had paid for,
[00:24:29.280 --> 00:24:31.560]   I had to make a $2,500 repair,
[00:24:31.560 --> 00:24:33.440]   but to replace it with a comparable thing,
[00:24:33.440 --> 00:24:34.960]   I got to spend $7,500.
[00:24:34.960 --> 00:24:37.880]   What additional expenses?
[00:24:37.880 --> 00:24:40.360]   We talked about depreciation, but what about new sales tax?
[00:24:40.360 --> 00:24:44.080]   6% of a $7,500 new vehicle, $450.
[00:24:44.080 --> 00:24:46.760]   In my state, Florida, it was 6% sales tax rate.
[00:24:46.760 --> 00:24:49.960]   New registration, tag, titling fees, another 200 bucks.
[00:24:49.960 --> 00:24:52.920]   So you start adding that first year depreciation
[00:24:52.920 --> 00:24:55.280]   to the new tax, to the new titling fees,
[00:24:55.280 --> 00:24:56.600]   or any other costs.
[00:24:56.600 --> 00:24:58.960]   Usually when you get a new vehicle, it needs new tires,
[00:24:58.960 --> 00:25:00.800]   it needs a new battery, it needs new wiper blades,
[00:25:00.800 --> 00:25:03.320]   it needs all the stuff that somebody ignored.
[00:25:03.320 --> 00:25:06.160]   Well, now I'm about another $1,700,
[00:25:06.160 --> 00:25:09.800]   $1,700 to $1,800 of new costs that could be avoided
[00:25:09.800 --> 00:25:12.120]   by simply repairing the existing vehicle.
[00:25:12.120 --> 00:25:14.260]   If I've got new tires on my vehicle, I did.
[00:25:14.260 --> 00:25:15.860]   Those tires have a lot of life left in them.
[00:25:15.860 --> 00:25:17.080]   If I've got windshield wipers,
[00:25:17.080 --> 00:25:19.560]   those windshield wipers have a lot of life left in them.
[00:25:19.560 --> 00:25:21.200]   Registration costs already paid.
[00:25:22.800 --> 00:25:25.320]   So when you start adding those costs,
[00:25:25.320 --> 00:25:28.440]   it adds even more friction to getting the new vehicle.
[00:25:28.440 --> 00:25:29.980]   And then even worse, I still,
[00:25:29.980 --> 00:25:31.600]   if I were to go out and buy a new vehicle,
[00:25:31.600 --> 00:25:33.520]   I still didn't solve the initial problem
[00:25:33.520 --> 00:25:34.920]   of actually selling my old vehicle.
[00:25:34.920 --> 00:25:36.960]   How do I figure out how to sell this thing
[00:25:36.960 --> 00:25:38.460]   in a non-functioning state?
[00:25:38.460 --> 00:25:41.940]   Maybe I could sell it to a mechanic for 2,000 bucks,
[00:25:41.940 --> 00:25:44.640]   which means then I'm losing all that residual value.
[00:25:44.640 --> 00:25:48.920]   So even with a really expensive repair like that,
[00:25:48.920 --> 00:25:52.380]   you can start to see the massive difference
[00:25:52.380 --> 00:25:55.040]   that even facing a big repair,
[00:25:55.040 --> 00:25:58.440]   it's better to keep it and fix it in most places.
[00:25:58.440 --> 00:25:59.440]   Another major thing.
[00:25:59.440 --> 00:26:04.280]   If you impulse buy and you've got to move fast,
[00:26:04.280 --> 00:26:07.800]   you are now in a bad bargaining position
[00:26:07.800 --> 00:26:09.640]   and you'll always lose a deal
[00:26:09.640 --> 00:26:11.240]   when you're under time pressure.
[00:26:11.240 --> 00:26:14.400]   The major way that you're able to get deals
[00:26:14.400 --> 00:26:15.860]   is by being patient.
[00:26:15.860 --> 00:26:19.520]   This is a simple example, buying cars.
[00:26:19.520 --> 00:26:22.120]   The best deals on a car is often gonna come
[00:26:22.120 --> 00:26:24.640]   from a private party, somebody that you find,
[00:26:24.640 --> 00:26:26.400]   whether it's a car sitting on the side of the road,
[00:26:26.400 --> 00:26:28.420]   somebody that's in a distressed sale,
[00:26:28.420 --> 00:26:29.920]   or they're just going through a life event
[00:26:29.920 --> 00:26:31.520]   and they wanna be done with it.
[00:26:31.520 --> 00:26:32.740]   That's usually gonna be the way
[00:26:32.740 --> 00:26:35.120]   that you get your best deal on a vehicle.
[00:26:35.120 --> 00:26:37.400]   But those things are hard to find right now.
[00:26:37.400 --> 00:26:40.040]   If you wanna go out and buy a car,
[00:26:40.040 --> 00:26:41.400]   you can usually in most towns,
[00:26:41.400 --> 00:26:42.600]   you can go drive the country roads
[00:26:42.600 --> 00:26:44.240]   and you can find some cars for sale.
[00:26:44.240 --> 00:26:45.680]   But they might not be in the price range,
[00:26:45.680 --> 00:26:47.760]   they might not be exactly what you're looking for.
[00:26:47.760 --> 00:26:49.240]   If you need to buy a car now,
[00:26:49.240 --> 00:26:50.900]   you've gotta go where they have selection,
[00:26:50.900 --> 00:26:52.480]   which is going to a dealer.
[00:26:52.480 --> 00:26:54.900]   Well, the dealer is gonna take the private party value
[00:26:54.900 --> 00:26:56.960]   that they paid for it, plus their markup,
[00:26:56.960 --> 00:26:57.980]   and that's what you're gonna pay.
[00:26:57.980 --> 00:26:59.480]   So you're paying when you go to a dealer,
[00:26:59.480 --> 00:27:00.440]   new, used, doesn't matter,
[00:27:00.440 --> 00:27:02.720]   you're paying for the convenience and the selection
[00:27:02.720 --> 00:27:04.440]   of them having their ability
[00:27:04.440 --> 00:27:06.960]   to actually have the vehicle there.
[00:27:06.960 --> 00:27:10.620]   So if you've got time and you're continually shopping,
[00:27:10.620 --> 00:27:12.940]   you can get a deal, but you can't make those deals
[00:27:12.940 --> 00:27:15.320]   materialize right when you need them.
[00:27:15.320 --> 00:27:19.320]   So impulse buying or buying fast
[00:27:19.320 --> 00:27:21.400]   means you're automatically gonna pay more money.
[00:27:21.400 --> 00:27:23.740]   So you're usually better off if you can repair it,
[00:27:23.740 --> 00:27:25.060]   and then at your leisure,
[00:27:25.060 --> 00:27:28.440]   go ahead and look around at upgrading the vehicle.
[00:27:28.440 --> 00:27:32.060]   So hopefully these examples are helpful
[00:27:32.060 --> 00:27:34.420]   when you're looking at the big repair.
[00:27:34.420 --> 00:27:36.700]   With the little ongoing repairs,
[00:27:36.700 --> 00:27:38.980]   again, take a look and actually run the numbers
[00:27:38.980 --> 00:27:41.620]   and ask yourself, which items are the maintenance items
[00:27:41.620 --> 00:27:43.380]   and which items are the repair items?
[00:27:43.380 --> 00:27:45.040]   All cars are gonna need those maintenance items,
[00:27:45.040 --> 00:27:48.260]   getting a newer car is not gonna change anything.
[00:27:48.260 --> 00:27:49.600]   Your newer car is gonna need a battery
[00:27:49.600 --> 00:27:52.380]   after two or three years, just like your older car is.
[00:27:52.380 --> 00:27:56.080]   So look through and carefully tabulate
[00:27:56.080 --> 00:27:58.340]   how much is maintenance and how much is repairs,
[00:27:58.340 --> 00:28:00.140]   and don't let the maintenance items
[00:28:00.140 --> 00:28:03.700]   unnecessarily influence your emotions.
[00:28:03.700 --> 00:28:06.820]   That's just part of the cost of operating a vehicle.
[00:28:06.820 --> 00:28:11.340]   Regardless, if you do decide that you need to change cars,
[00:28:11.340 --> 00:28:13.700]   make sure you choose very carefully
[00:28:13.700 --> 00:28:18.040]   and do your best to separate the emotion from the decision.
[00:28:18.040 --> 00:28:20.740]   So if you need to borrow a vehicle from a family member
[00:28:20.740 --> 00:28:22.660]   or from a friend who has an extra vehicle,
[00:28:22.660 --> 00:28:23.940]   or if you need to rent a car,
[00:28:23.940 --> 00:28:25.860]   or if you need to use Uber for a few days,
[00:28:25.860 --> 00:28:28.780]   do that so you can go slower and make a good decision.
[00:28:28.780 --> 00:28:31.740]   Don't compound one bad event in your life
[00:28:31.740 --> 00:28:34.020]   with more bad decisions,
[00:28:34.020 --> 00:28:36.720]   otherwise you wind up screwed over time.
[00:28:36.720 --> 00:28:39.540]   So don't compound those bad decisions.
[00:28:39.540 --> 00:28:40.900]   At some point, break the cycle,
[00:28:40.900 --> 00:28:42.340]   and if your car is breaking down on you
[00:28:42.340 --> 00:28:44.920]   and you need to do a new one, go carefully.
[00:28:44.920 --> 00:28:48.220]   Buy a reliable car, choose carefully, buy yourself time,
[00:28:48.220 --> 00:28:50.100]   let some friends help you out.
[00:28:50.100 --> 00:28:52.260]   Now, big thing that happens to people,
[00:28:52.260 --> 00:28:53.740]   what if the car isn't paid off
[00:28:53.740 --> 00:28:58.020]   and you're trying to figure out
[00:28:58.020 --> 00:28:59.940]   how do I move on to the next vehicle
[00:28:59.940 --> 00:29:00.900]   when the car isn't paid off,
[00:29:00.900 --> 00:29:02.180]   and I've got all these repairs?
[00:29:02.180 --> 00:29:05.340]   This is one of the major traps that keeps people poor.
[00:29:05.340 --> 00:29:08.320]   And be aware of it.
[00:29:08.320 --> 00:29:11.620]   It's, in most cases, not gonna be a problem
[00:29:11.620 --> 00:29:13.060]   from this perspective,
[00:29:13.060 --> 00:29:14.640]   that since it's usually gonna be better
[00:29:14.640 --> 00:29:17.020]   for you to repair the car rather than replace it,
[00:29:17.020 --> 00:29:19.360]   just repair the car and keep on going.
[00:29:19.360 --> 00:29:22.680]   But if you repair it and keep paying the loan down
[00:29:22.680 --> 00:29:23.720]   until you get out of this trap
[00:29:23.720 --> 00:29:25.880]   of owing more on the car than it's worth.
[00:29:25.880 --> 00:29:29.280]   So don't cut that bad decision.
[00:29:29.280 --> 00:29:31.320]   If you owe money on the car,
[00:29:31.320 --> 00:29:34.580]   that's a bad decision to owe money on a depreciating asset.
[00:29:34.580 --> 00:29:37.240]   So cut it off as quickly as you can, repair the car,
[00:29:37.240 --> 00:29:38.480]   and then work on selling it.
[00:29:38.480 --> 00:29:40.000]   That's always gonna be better.
[00:29:40.000 --> 00:29:42.600]   The basic thing that you gotta remember with cars
[00:29:42.600 --> 00:29:45.160]   is that they're a total money suck.
[00:29:45.160 --> 00:29:46.460]   And if you wanna be wealthy,
[00:29:46.460 --> 00:29:48.220]   you've gotta, gotta, gotta, gotta, gotta
[00:29:48.220 --> 00:29:50.300]   minimize the amount of money that you lose
[00:29:50.300 --> 00:29:52.180]   on things that go down in value.
[00:29:52.180 --> 00:29:55.260]   So buy the least expensive transportation
[00:29:55.260 --> 00:29:56.500]   that meets your needs.
[00:29:56.500 --> 00:29:59.660]   Clarify the needs,
[00:29:59.660 --> 00:30:01.220]   and buy the least expensive transportation
[00:30:01.220 --> 00:30:02.500]   that meets your needs.
[00:30:02.500 --> 00:30:03.380]   There are some times,
[00:30:03.380 --> 00:30:06.260]   it doesn't necessarily always mean the cheapest of the cheap.
[00:30:06.260 --> 00:30:07.680]   Cheap is not always cheap.
[00:30:07.680 --> 00:30:09.620]   Sometimes spending a little bit more
[00:30:09.620 --> 00:30:10.860]   is gonna buy you better.
[00:30:10.860 --> 00:30:13.320]   And sometimes you should buy something more.
[00:30:13.320 --> 00:30:15.520]   If your car makes you money, choose carefully.
[00:30:15.520 --> 00:30:17.780]   For example, there's a major cost to downtime.
[00:30:17.780 --> 00:30:20.600]   If you're actually making money with your vehicles,
[00:30:20.600 --> 00:30:22.200]   downtime costs you.
[00:30:22.200 --> 00:30:25.120]   If you are running a fleet of over-the-road delivery trucks,
[00:30:25.120 --> 00:30:27.440]   those trucks better be in good shape.
[00:30:27.440 --> 00:30:29.200]   Every hour that one is sitting by the side of the road
[00:30:29.200 --> 00:30:30.920]   broken down costs you money.
[00:30:30.920 --> 00:30:32.360]   And that's a measurable number,
[00:30:32.360 --> 00:30:34.800]   which is why you'll often see a large company
[00:30:34.800 --> 00:30:36.460]   that's running a fleet, their vehicles are newer,
[00:30:36.460 --> 00:30:38.620]   because there's a cost to downtime.
[00:30:39.760 --> 00:30:42.500]   If you're making money on a vehicle and actually earning,
[00:30:42.500 --> 00:30:43.620]   then in that situation,
[00:30:43.620 --> 00:30:46.420]   downtime becomes your biggest expense, not depreciation.
[00:30:46.420 --> 00:30:49.700]   But what about you as an individual person?
[00:30:49.700 --> 00:30:50.860]   Does your car make you money?
[00:30:50.860 --> 00:30:51.820]   Maybe.
[00:30:51.820 --> 00:30:53.940]   Maybe your car gets you to work,
[00:30:53.940 --> 00:30:55.980]   and this actually really hurts poor people sometimes,
[00:30:55.980 --> 00:30:58.540]   that they have cars that are breaking down often,
[00:30:58.540 --> 00:30:59.580]   makes them unreliable,
[00:30:59.580 --> 00:31:04.580]   it can cause them problems where they're unreliable at work
[00:31:04.580 --> 00:31:06.180]   'cause they can't get there.
[00:31:06.180 --> 00:31:07.540]   Which by the way, helps somebody
[00:31:07.540 --> 00:31:08.780]   if they're in that situation.
[00:31:08.780 --> 00:31:09.620]   Help them get out.
[00:31:09.620 --> 00:31:11.700]   Give them a few thousand bucks or give them a car.
[00:31:11.700 --> 00:31:13.220]   Give them your $4,000 car
[00:31:13.220 --> 00:31:14.420]   as you're trading up to something nicer
[00:31:14.420 --> 00:31:17.340]   so they can have some reliable transportation.
[00:31:17.340 --> 00:31:18.860]   'Cause that's one way that you can help someone
[00:31:18.860 --> 00:31:20.980]   to break that cycle of poverty.
[00:31:20.980 --> 00:31:24.740]   But as an individual person, we've got more options.
[00:31:24.740 --> 00:31:26.780]   Don't freak out about the car being broken down.
[00:31:26.780 --> 00:31:29.960]   In a world of Uber, you're better off than you've ever been.
[00:31:29.960 --> 00:31:31.780]   Uber is fundamentally transforming things.
[00:31:31.780 --> 00:31:34.820]   And I am personally much less worried
[00:31:34.820 --> 00:31:36.500]   about having unreliable transportation
[00:31:36.500 --> 00:31:37.940]   than I ever was in the past.
[00:31:37.940 --> 00:31:39.980]   Here where I live in Palm Beach County,
[00:31:39.980 --> 00:31:42.180]   taxis are horrendously expensive.
[00:31:42.180 --> 00:31:45.340]   And this is a huge county where everything is far away.
[00:31:45.340 --> 00:31:46.500]   But at this point in time,
[00:31:46.500 --> 00:31:49.500]   if my car were out of commission for a couple of weeks,
[00:31:49.500 --> 00:31:52.540]   it would be not that big a deal to me
[00:31:52.540 --> 00:31:54.800]   because number one, I've got a strong family network
[00:31:54.800 --> 00:31:57.460]   that can help me out easily and lend me a car.
[00:31:57.460 --> 00:31:58.740]   I've got a strong friend network.
