
[00:00:00.000 --> 00:00:07.680]   Okay, thanks, everyone.
[00:22:00.640 --> 00:22:06.680]   So what we have here is a paradox, what I call the purpose paradox.
[00:22:06.680 --> 00:22:10.280]   And I think fundamentally why it can be the most important thing in your life, as well
[00:22:10.280 --> 00:22:14.960]   as the most anxiety-provoking, is we've done a horrible job of understanding purpose in
[00:22:14.960 --> 00:22:15.960]   our life.
[00:22:15.960 --> 00:22:16.960]   It's not just one thing.
[00:22:16.960 --> 00:22:21.360]   In my opinion, it's two things, and specifically, and here's where the controversy comes, I
[00:22:21.360 --> 00:22:24.000]   think one of them is good and one of them is bad.
[00:22:24.000 --> 00:22:29.680]   The bad type of purpose, believe it or not, is what I call big P-purpose, or the big audacious
[00:22:29.680 --> 00:22:33.520]   purpose like I want to change the world, I want to make a million dollars, I want to
[00:22:33.520 --> 00:22:35.180]   cure cancer.
[00:22:35.180 --> 00:22:36.720]   Why are these things bad?
[00:22:36.720 --> 00:22:41.000]   Ultimately, I have nothing wrong with the idea of having big goals, but a lot of times
[00:22:41.000 --> 00:22:42.940]   we don't have as much agency.
[00:22:42.940 --> 00:22:46.320]   No matter how hard you try, you probably will not become a billionaire.
[00:22:46.320 --> 00:22:48.600]   You probably will not cure cancer.
[00:22:48.600 --> 00:22:52.880]   So if you are setting your sense of purpose on these big, audacious goals that you have
[00:22:52.880 --> 00:22:56.340]   very little control over, you have to be the right person at the right time with the right
[00:22:56.340 --> 00:23:00.920]   knowledge and have a lot of luck, if you are going to base your sense of purpose and happiness
[00:23:00.920 --> 00:23:04.800]   on that, you're probably going to get a lot of purpose anxiety because you're probably
[00:23:04.800 --> 00:23:06.880]   never going to get there.
[00:23:06.880 --> 00:23:09.760]   But what if we change things around?
[00:23:09.760 --> 00:23:14.080]   What if instead of big, audacious purpose, we start looking at what I call little P-purpose,
[00:23:14.080 --> 00:23:19.200]   this idea that purpose actually is just doing something that's deeply meaningful and important
[00:23:19.200 --> 00:23:22.960]   to you and doesn't have to be goal-oriented.
[00:23:22.960 --> 00:23:26.820]   Instead what if we made purpose about doing the things that we enjoy doing in the moment
[00:23:26.820 --> 00:23:30.080]   and we don't care the outcome?
[00:23:30.080 --> 00:23:34.520]   If you change the way you start looking at purpose and look at it in that manner, then
[00:23:34.520 --> 00:23:39.820]   instead of being scarce the way big, audacious purpose is, only so many people are going
[00:23:39.820 --> 00:23:44.480]   to win the Nobel Prize or cure cancer, cure even one cancer.
[00:23:44.480 --> 00:23:46.280]   It becomes abundant.
[00:23:46.280 --> 00:23:50.600]   Think about all the million things we could find to do that fill us up and that we enjoy
[00:23:50.600 --> 00:23:52.360]   doing in the moment.
[00:23:52.360 --> 00:23:55.120]   And so I think we fundamentally have to look at purpose different.
[00:23:55.120 --> 00:23:58.620]   And I'll tell you, when I say this to people, they look at me and say, "Well, what about
[00:23:58.620 --> 00:23:59.620]   impact?"
[00:23:59.620 --> 00:24:03.600]   And certainly we can talk about impact if you want, but my belief is that you actually
[00:24:03.600 --> 00:24:09.680]   impact more people when you pursue what I call little P-purpose than you do when you
[00:24:09.680 --> 00:24:13.080]   pursue big, audacious purpose.
[00:24:13.080 --> 00:24:16.260]   I wanted to ask about some of the exercises in the book.
[00:24:16.260 --> 00:24:22.020]   You have some very tangible things that you can go through to help arrive at conclusions
[00:24:22.020 --> 00:24:29.280]   about your own purpose, small P or big P. But let's talk about the life review, what
[00:24:29.280 --> 00:24:34.300]   that means and how someone would go about doing it.
[00:24:34.300 --> 00:24:40.360]   So I think the life review is like the greatest answer to how do I find my purpose.
[00:24:40.360 --> 00:24:44.080]   So what a life review is, is a structured series of questions that often in hospice
[00:24:44.080 --> 00:24:48.280]   and palliative care, we go through with our hospice patients.
[00:24:48.280 --> 00:24:51.120]   So the first thing we make sure is that their pain is controlled, their nausea is controlled,
[00:24:51.120 --> 00:24:53.800]   and they're in a safe place, and hopefully they're dying where they want to die, whether
[00:24:53.800 --> 00:24:57.100]   that's at home or in the hospital or at a nursing home.
[00:24:57.100 --> 00:25:00.640]   But then a doctor or a nurse or a chaplain or social worker can sit down with them and
[00:25:00.640 --> 00:25:06.180]   go through a series of structured questions that helps them come to terms with their life.
[00:25:06.180 --> 00:25:09.320]   So it's, you know, what were those most important moments in your life?
[00:25:09.320 --> 00:25:10.400]   What were your biggest successes?
[00:25:10.400 --> 00:25:11.980]   What were your biggest failures?
[00:25:11.980 --> 00:25:14.300]   Who were those key relationships?
[00:25:14.300 --> 00:25:15.960]   What did you fail to accomplish?
[00:25:15.960 --> 00:25:18.280]   What are you most proud of accomplishing?
[00:25:18.280 --> 00:25:23.240]   What would you like to accomplish in whatever time you have left?
[00:25:23.240 --> 00:25:28.800]   And so by doing this, it's a really good inventory of our lives, and it might be the first time
[00:25:28.800 --> 00:25:33.920]   that someone actually systematically looks at their life and starts asking those questions.
[00:25:33.920 --> 00:25:39.600]   What was important to me, and now that I'm dying, what do I regret not having the time
[00:25:39.600 --> 00:25:40.900]   to do?
[00:25:40.900 --> 00:25:44.060]   And so again, this is the idea of the life review.
[00:25:44.060 --> 00:25:49.160]   You can go to Google and search "hospice life review" and find some very detailed questionnaires,
[00:25:49.160 --> 00:25:53.480]   but the one-second life review comes back to that most basic question.
[00:25:53.480 --> 00:25:57.160]   If I found out that I was going to die in the next six months, what would I regret never
[00:25:57.160 --> 00:26:00.480]   having the energy, courage, or time to do?
[00:26:00.480 --> 00:26:05.360]   And this is the place where you start to anchor your search for purpose.
[00:26:05.360 --> 00:26:07.240]   And I want to be clear here.
[00:26:07.240 --> 00:26:13.280]   I think we search for anchors of purpose, but we don't find purpose, we create purpose.
[00:26:13.280 --> 00:26:18.800]   So it's a very active pursuit, but most of us can look back at our lives and start thinking
[00:26:18.800 --> 00:26:21.000]   about what some of those anchors are.
[00:26:21.000 --> 00:26:25.360]   So the dying are very clear because they start thinking about, "Boy, I really wish I did
[00:26:25.360 --> 00:26:27.760]   X or pursued Y."
[00:26:27.760 --> 00:26:30.520]   I encourage all of you now to do the same thing.
[00:26:30.520 --> 00:26:34.260]   What are some of those anchors, those things that were important to you?
[00:26:34.260 --> 00:26:36.840]   A life review is one way to do it.
[00:26:36.840 --> 00:26:40.520]   There are several other exercises you can do to start working on them, but what are
[00:26:40.520 --> 00:26:45.640]   some of those anchors that you can then actively build a life of purpose around?
[00:26:45.640 --> 00:26:48.300]   Because ultimately, you're going to have to create purpose.
[00:26:48.300 --> 00:26:49.300]   You don't find it.
[00:26:49.300 --> 00:26:52.520]   You certainly don't find it on Instagram.
[00:26:52.520 --> 00:26:55.920]   That's basically trying to take someone else's sense of purpose and make it your own, and
[00:26:55.920 --> 00:26:59.200]   that almost never makes us happy.
[00:26:59.200 --> 00:27:05.720]   To follow up on that, I do think that the Instagram culture is contributing to this
[00:27:05.720 --> 00:27:09.420]   sort of live for today type mentality.
[00:27:09.420 --> 00:27:10.420]   Can you talk about that?
[00:27:10.420 --> 00:27:17.120]   How social media and trying to put out a certain persona for the public can influence some
[00:27:17.120 --> 00:27:22.760]   of the things that people do that maybe don't contribute to their personal well-being?
[00:27:22.760 --> 00:27:29.400]   I think we have a lot of societal ideas of what purpose should look like.
[00:27:29.400 --> 00:27:31.640]   I hate to say it, but it's really been sold to us.
[00:27:31.640 --> 00:27:33.320]   Look at the marketing industry.
[00:27:33.320 --> 00:27:35.600]   Look at the ad industry.
[00:27:35.600 --> 00:27:40.280]   That was before, and now look at the social media influencer industry.
[00:27:40.280 --> 00:27:46.520]   Basically, someone is trying to sell to you what purpose is, most likely to put money
[00:27:46.520 --> 00:27:48.920]   in their own pockets.
[00:27:48.920 --> 00:27:53.720]   All of these images that are bombarding us of people working out and wearing fabulous
[00:27:53.720 --> 00:28:01.200]   clothes and going to fabulous places sounds great, and if you are searching for purpose,
[00:28:01.200 --> 00:28:07.080]   it's really easy to co-opt someone else's sense of purpose and try to make it your own.
[00:28:07.080 --> 00:28:12.000]   The problem is, unless those things deeply speak to you, you may spend money on that
[00:28:12.000 --> 00:28:18.040]   course or take that expensive vacation, but it may not really fill you up.
[00:28:18.040 --> 00:28:22.560]   Big part of finding purpose is to let go of everyone else's purpose and to start looking
[00:28:22.560 --> 00:28:28.080]   inward at what lights you up, because for everyone, that can be slightly different.
[00:28:28.080 --> 00:28:35.280]   Two of us can both be lit up by the same thing, but for all the people in this room, each
[00:28:35.280 --> 00:28:36.780]   of us might have something different.
[00:28:36.780 --> 00:28:41.720]   My wife likes to buy coach purses on eBay.
[00:28:41.720 --> 00:28:45.340]   This is not going where you think it is.
[00:28:45.340 --> 00:28:46.380]   There's a problem, though.
[00:28:46.380 --> 00:28:52.580]   When you buy a coach purse on eBay, it could be a fake, so guess what?
[00:28:52.580 --> 00:28:55.600]   There's this guy who you can take.
[00:28:55.600 --> 00:28:58.880]   When they put the purse on eBay, they take a picture of it, and a lot of times there's
[00:28:58.880 --> 00:29:01.440]   some numbers on the tag, and they take a picture of that.
[00:29:01.440 --> 00:29:06.300]   There's a guy who, for free, you can send him those pictures, and he will authenticate
[00:29:06.300 --> 00:29:11.920]   it online for you, and then you can go buy it and know that it's authentic, and the guy
[00:29:11.920 --> 00:29:13.560]   doesn't charge a thing.
[00:29:13.560 --> 00:29:14.560]   You know why?
[00:29:14.560 --> 00:29:19.180]   Because the guy worked for coach for 30 years, loves the company, and loved what he did.
[00:29:19.180 --> 00:29:22.300]   That is purpose, and there's not a single other person in this room that's going to
[00:29:22.300 --> 00:29:28.380]   have that purpose, but that must light this guy up, right?
[00:29:28.380 --> 00:29:31.980]   You can't get that stuff off of Instagram.
[00:29:31.980 --> 00:29:35.880]   You can't learn about that kind of thing on Facebook.
[00:29:35.880 --> 00:29:41.460]   We are very unique individuals, and for one person, it might be collecting special, you
[00:29:41.460 --> 00:29:43.500]   know, rare metals.
[00:29:43.500 --> 00:29:46.280]   For another person, it might be writing books.
[00:29:46.280 --> 00:29:49.140]   For another person, it might be teaching people about finance.
[00:29:49.140 --> 00:29:53.500]   I don't want you to think you're here and it's not bringing purpose.
[00:29:53.500 --> 00:29:58.380]   For many of you out there, teaching finance or learning to help people with their money
[00:29:58.380 --> 00:30:01.660]   or teaching in general might be a big part of your purpose, so it's not like we're being
[00:30:01.660 --> 00:30:08.740]   frivolous by being here, but be brave enough to ask yourself what really matters to you,
[00:30:08.740 --> 00:30:13.260]   not what society tells you, not what Instagram tells you, but what really lights you up.
[00:30:13.260 --> 00:30:16.580]   When are you your best self, and what are you doing at that time?
[00:30:16.580 --> 00:30:22.220]   Jordan, maybe you can talk about your own path while you were still a physician, trying
[00:30:22.220 --> 00:30:26.980]   to figure out what was your purpose.
[00:30:26.980 --> 00:30:29.600]   What about what you're doing now really lit you up?
[00:30:29.600 --> 00:30:33.100]   Maybe you can talk about that sort of journey.
[00:30:33.100 --> 00:30:39.620]   So I'm 50 years old, and I finally have come to terms with my purpose, and the reason why
[00:30:39.620 --> 00:30:43.620]   is I Googled my name, and it said, you know, Google put some descriptive information, and
[00:30:43.620 --> 00:30:48.540]   the first thing that came up was "writer," and it filled my heart with joy at the age
[00:30:48.540 --> 00:30:57.380]   of 50 seeing this, and the reason why is I finally felt seen by Google a search engine.
[00:30:57.380 --> 00:30:58.760]   What does this mean?
[00:30:58.760 --> 00:31:03.740]   There was always a writer in me, there was always a communicator, but I had submerged
[00:31:03.740 --> 00:31:08.960]   that sense of purpose and identity, A, because my father died and I felt like I had to cosmically
[00:31:08.960 --> 00:31:14.540]   fix that, but B, because somewhere deep down inside I told myself that I could never succeed
[00:31:14.540 --> 00:31:16.180]   or that wasn't a profession.
[00:31:16.180 --> 00:31:19.620]   See, being a doctor is a profession, and you can do that, and you can make a lot of money,
[00:31:19.620 --> 00:31:26.200]   and you can get awards and accolades, but I never saw a path as a writer or a communicator.
[00:31:26.200 --> 00:31:27.860]   That was something I did in my free time.
[00:31:27.860 --> 00:31:31.380]   That was a hobby, and so I pursued it as a hobby.
[00:31:31.380 --> 00:31:35.900]   I spent all my time being a doctor, and I would fit writing a blog into that, you know,
[00:31:35.900 --> 00:31:39.380]   30 minutes at lunchtime when I was grabbing something to eat, or I'd wait till the kids
[00:31:39.380 --> 00:31:44.220]   went to bed, and I was yawning because I hadn't slept in 30 hours, but yet I was scrolling
[00:31:44.220 --> 00:31:48.340]   down that blog post without editing it and hearing the next day about how many grammatical
[00:31:48.340 --> 00:31:53.900]   errors I made by the public who was then commenting on it, because I didn't have time or energy.
[00:31:53.900 --> 00:31:59.080]   I pushed these essential, important things away because I somehow convinced myself that
[00:31:59.080 --> 00:32:01.860]   they weren't good enough to be purpose.
[00:32:01.860 --> 00:32:06.980]   I had to become financially independent to finally give myself permission, and even then
[00:32:06.980 --> 00:32:15.400]   it was difficult to be the person who Google has clearly told me I should be.
[00:32:15.400 --> 00:32:19.540]   But what I'm realizing is maybe younger people don't need to do that.
[00:32:19.540 --> 00:32:22.660]   Maybe it's not all black and white, but there's shades of gray.
[00:32:22.660 --> 00:32:27.100]   Maybe we can do jobs that we don't love to make money and yet still build in a sense
[00:32:27.100 --> 00:32:28.840]   of purpose into our lives.
[00:32:28.840 --> 00:32:34.220]   The lucky ones of us might be able to find a job that also lights us up and builds purpose,
[00:32:34.220 --> 00:32:35.220]   but I'm not Pollyanna.
[00:32:35.220 --> 00:32:37.140]   I don't think it needs to be.
[00:32:37.140 --> 00:32:42.100]   But think about how much better off we would all be if we could start building our financial
[00:32:42.100 --> 00:32:47.780]   future, having an idea of what purpose looks like, and then incorporate it, realizing what
[00:32:47.780 --> 00:32:53.460]   the tradeoffs are, realizing what working those extra nights and weekends means, and
[00:32:53.460 --> 00:32:56.780]   then deciding whether it's worthwhile or not.
[00:32:56.780 --> 00:32:59.900]   The truth of the matter is we've mostly been doing this blind.
[00:32:59.900 --> 00:33:05.620]   We've convinced ourselves that some monetary goal is what should drive us, and we haven't
[00:33:05.620 --> 00:33:06.620]   looked past it.
[00:33:06.620 --> 00:33:09.060]   We haven't seen past the mirage.
[00:33:09.060 --> 00:33:13.220]   And so I had to give myself permission to see past the mirage, but the only way I could
[00:33:13.220 --> 00:33:16.140]   personally do it is I had to have tons of money.
[00:33:16.140 --> 00:33:20.420]   What I'm trying to convince younger people now is that we should actually look at purpose
[00:33:20.420 --> 00:33:27.060]   first and then build a financial framework around it.
[00:33:27.060 --> 00:33:28.580]   >> We're receiving some questions.
[00:33:28.580 --> 00:33:29.700]   Here's a good one.
[00:33:29.700 --> 00:33:34.220]   What are some of the common or specific regrets you've heard from your hospice patients?
[00:33:34.220 --> 00:33:37.140]   >> Oh, my God, I mean, they're various.
[00:33:37.140 --> 00:33:42.060]   I mean, they tend to focus on I never did that thing that was important to me.
[00:33:42.060 --> 00:33:47.380]   I never fixed that relationship that was broken.
[00:33:47.380 --> 00:33:51.540]   I didn't spend enough time doing things that were important to me.
[00:33:51.540 --> 00:33:55.760]   It's much easier to say what they don't regret.
[00:33:55.760 --> 00:33:58.140]   They don't regret not working more.
[00:33:58.140 --> 00:34:00.140]   They don't regret not having more money.
[00:34:00.140 --> 00:34:02.140]   They don't regret not having enough things.
[00:34:02.140 --> 00:34:04.060]   I mean, it is true.
[00:34:04.060 --> 00:34:08.940]   Sometimes I walk into a patient's room, someone who's on hospice, and they are surrounded
[00:34:08.940 --> 00:34:12.780]   by material things, but it's almost never those material things themselves that are
[00:34:12.780 --> 00:34:13.820]   important.
[00:34:13.820 --> 00:34:15.460]   It's the meaning behind them.
[00:34:15.460 --> 00:34:18.820]   It's the memories that they evoke.
[00:34:18.820 --> 00:34:23.920]   It's that these things happen to be an outer extension of who they are on the inside.
[00:34:23.920 --> 00:34:29.500]   And so, again, the number of regrets are as varied as the number of people.
[00:34:29.500 --> 00:34:34.700]   What I find more interesting is what people don't regret.
[00:34:34.700 --> 00:34:39.620]   What do hospice patients say about their spiritual goals or their faith goals?
[00:34:39.620 --> 00:34:45.220]   Again, that's incredibly varied, and it depends on the purpose.
[00:34:45.220 --> 00:34:50.600]   If religion and spirituality are important to you, make that part of your purpose.
[00:34:50.600 --> 00:34:57.140]   Engage in things which connect you to that religion or to that feeling of spirituality.
[00:34:57.140 --> 00:35:00.820]   I don't know if I said this clear enough in the book.
[00:35:00.820 --> 00:35:05.140]   Winning the game is not about getting to financial independence, and it's not about purpose,
[00:35:05.140 --> 00:35:07.260]   and it's not about identity.
[00:35:07.260 --> 00:35:10.280]   It's actually about connections and community.
[00:35:10.280 --> 00:35:15.180]   And almost everything we do ends up in service of that.
[00:35:15.180 --> 00:35:18.740]   So especially in the book, I talk a lot about how we find our sense of purpose.
[00:35:18.740 --> 00:35:21.180]   I talk a lot about how we think about identity.
[00:35:21.180 --> 00:35:26.820]   I talk a lot less about connections, and the reason why is connections and community naturally
[00:35:26.820 --> 00:35:29.440]   flow from the first two.
[00:35:29.440 --> 00:35:33.740]   When you start doing things that deeply interest you, and you get a better hold of who you
[00:35:33.740 --> 00:35:39.940]   are as a person, whether you mean to or not, you are going to create communities.
[00:35:39.940 --> 00:35:42.420]   And again, I would go back to Jack Bogle.
[00:35:42.420 --> 00:35:47.820]   Jack Bogle was doing something deeply, deeply purposeful to him.
[00:35:47.820 --> 00:35:53.580]   He wasn't doing it necessarily probably to create a community, but he created that community
[00:35:53.580 --> 00:35:59.680]   nonetheless, because we are drawn to people who are intentional and authentic about doing
[00:35:59.680 --> 00:36:01.580]   things that light them up.
[00:36:01.580 --> 00:36:06.660]   We all know people like this in our world, and we want to be around them.
[00:36:06.660 --> 00:36:10.240]   And if you can find someone who has something that lights them up that is similar to something
[00:36:10.240 --> 00:36:16.480]   that lights you up, that connection will be stronger and more enduring, and you will change
[00:36:16.480 --> 00:36:19.360]   that person, and that person will change you more.
[00:36:19.360 --> 00:36:24.640]   And if you multiply that by tens or thousands, you find, and this comes back to this idea
[00:36:24.640 --> 00:36:29.240]   of impact, the difference between big P purpose and little P purpose, if you pursue your little
[00:36:29.240 --> 00:36:35.200]   P purpose and find what lights you up, you will impact the people around you, who will
[00:36:35.200 --> 00:36:39.480]   impact the people around them, who will impact the people around them, and a hundred years
[00:36:39.480 --> 00:36:43.320]   from now, there will be thousands of people who are touched by your life, and they won't
[00:36:43.320 --> 00:36:47.080]   even know your name.
[00:36:47.080 --> 00:36:52.480]   Let's talk about parents and how they should think about this when they're talking to their
[00:36:52.480 --> 00:36:56.640]   children as their children are kind of picking a career path, or maybe they have picked a
[00:36:56.640 --> 00:37:02.180]   career path, how they should counsel their children to help, you know, find the right
[00:37:02.180 --> 00:37:03.180]   purpose.
[00:37:03.180 --> 00:37:09.240]   I was inspired listening to Michelle and Kevin yesterday talk about how they really looked
[00:37:09.240 --> 00:37:14.480]   at their kids and looked at what lit them up and urged them to pursue those career paths
[00:37:14.480 --> 00:37:18.620]   regardless of the remuneration that might be associated with them.
[00:37:18.620 --> 00:37:19.620]   Talk about that.
[00:37:19.620 --> 00:37:25.120]   Let me parrot a little bit about what I think Michelle and Kevin said.
[00:37:25.120 --> 00:37:30.560]   If you find your purpose, that's the hard thing, you'll find a way to make the money.
[00:37:30.560 --> 00:37:34.880]   There are countless ways to make money, there are countless ways to maximize a purposeful
[00:37:34.880 --> 00:37:38.040]   job, and there are countless ways to side hustle.
[00:37:38.040 --> 00:37:42.560]   The purpose is actually the hardest part of the equation, and again, I'm not Pollyanna
[00:37:42.560 --> 00:37:43.560]   about it.
[00:37:43.560 --> 00:37:49.880]   It's fine to say, "Look, I think I'm going to live a long life, and I can go into engineering,
[00:37:49.880 --> 00:37:53.960]   and I can work really hard for 10 years, and that's going to create enough money that I
[00:37:53.960 --> 00:37:57.640]   can then pull back from engineering and do something that's more purposeful for me."
[00:37:57.640 --> 00:38:03.040]   And if you are aware of that and thoughtful about it and authentic about it, I think that's
[00:38:03.040 --> 00:38:08.120]   a reasonable tradeoff to make, as long as you know that it's a tradeoff.
[00:38:08.120 --> 00:38:10.440]   Other people will say, "You know what?
[00:38:10.440 --> 00:38:14.080]   Life is short, I could die tomorrow like my father did, and I'm going to do something
[00:38:14.080 --> 00:38:17.120]   I love today, and maybe there are financial consequences.
[00:38:17.120 --> 00:38:22.680]   Maybe I may not be able to retire until 65 or 70, but I'm going to enjoy every moment
[00:38:22.680 --> 00:38:24.720]   of the life I'm living now."
[00:38:24.720 --> 00:38:27.880]   These are all choices, and none of them are bad.
[00:38:27.880 --> 00:38:34.440]   What's bad is going through life with blinders on your eyes and not even thinking about it.
[00:38:34.440 --> 00:38:39.960]   Have you encountered patients where that was a regret, where they felt like they were in
[00:38:39.960 --> 00:38:44.720]   that mode where they were just trying to maximize their earnings while they were young, and
[00:38:44.720 --> 00:38:50.200]   they just worked so hard at the expense of everything else they might have considered
[00:38:50.200 --> 00:38:51.200]   important?
[00:38:51.200 --> 00:38:56.720]   I mean, I tell a story in the book, and I refer to the person as the patriarch, but
[00:38:56.720 --> 00:39:03.680]   this was a gentleman who had a multibillion-dollar industry that he had created and had enough
[00:39:03.680 --> 00:39:09.320]   money to buy the hospital wing in which he died in, but his heirs were all busy fighting
[00:39:09.320 --> 00:39:12.820]   over his money and basically were just kind of counting the time until he died so they
[00:39:12.820 --> 00:39:14.100]   could move on.
[00:39:14.100 --> 00:39:19.200]   And I remember very clearly him having a sense of, "I did this all wrong because I'm sitting
[00:39:19.200 --> 00:39:21.720]   in a hospital room alone.
[00:39:21.720 --> 00:39:27.720]   Yes, my family members are doing the perfunctory visiting, et cetera, but they were more interested
[00:39:27.720 --> 00:39:31.560]   in the board meeting and who is going to end up taking over the company."
[00:39:31.560 --> 00:39:37.320]   And we often talk about Maslow's Pyramid, right, this idea that self-actualization is
[00:39:37.320 --> 00:39:42.940]   at the top and our economic needs are at the bottom, but I think we look at it all wrong.
[00:39:42.940 --> 00:39:46.800]   I think there are plenty of people who totally have their economic needs covered and are
[00:39:46.800 --> 00:39:50.880]   nowhere near self-actualization or understanding their purpose or what's important to them.
[00:39:50.880 --> 00:39:58.480]   And I've had patients who've died in poverty who had such loving and meaningful lives,
[00:39:58.480 --> 00:40:04.040]   and yet they couldn't afford the basics and were worried about paying for the heat.
[00:40:04.040 --> 00:40:05.040]   So I get it.
[00:40:05.040 --> 00:40:09.080]   I get this idea that we have to have enough money so that we can even start thinking about
[00:40:09.080 --> 00:40:13.720]   those other things, but I think we have to flatten the pyramid a little bit, and I think
[00:40:13.720 --> 00:40:16.000]   we have to think about all of them at the same time.
[00:40:16.000 --> 00:40:19.120]   I don't think you can afford to wait to think about purpose.
[00:40:19.120 --> 00:40:26.560]   I wanted to follow up on something Mike Piper's been talking about, this idea of how it's
[00:40:26.560 --> 00:40:34.880]   suboptimal for people to save and save and save and not, if they have more than enough,
[00:40:34.880 --> 00:40:41.300]   to die with a bunch of money and give their kids who are then in their 60s, you know,
[00:40:41.300 --> 00:40:46.400]   this inheritance, how it's ideal if you can try to find a way to do some lifetime giving.
[00:40:46.400 --> 00:40:49.520]   Do you have any reflections on that concept, Jordan?
[00:40:49.520 --> 00:40:57.720]   Yeah, I mean, part of living a life of purpose is to connect and make connections and community
[00:40:57.720 --> 00:40:59.200]   with the people around you.
[00:40:59.200 --> 00:41:04.720]   So you can wait till you die, obviously, to give away all your money, but what an amazing
[00:41:04.720 --> 00:41:10.600]   effect it has to do that while you're alive and can talk to those people and can be involved
[00:41:10.600 --> 00:41:14.240]   with them and can see your money doing well in the world.
[00:41:14.240 --> 00:41:19.200]   So, you know, I think either is okay, and I love this idea that people want to pass
[00:41:19.200 --> 00:41:22.880]   on their wealth and to do good with it.
[00:41:22.880 --> 00:41:26.600]   But why not do that now, like Paul Merriman, in fact, is doing, right?
[00:41:26.600 --> 00:41:31.280]   He just gave a huge amount of money to an educational institution.
[00:41:31.280 --> 00:41:36.800]   He will be able to live in that purpose now.
[00:41:36.800 --> 00:41:39.520]   And he will be able to go and teach at that institution.
[00:41:39.520 --> 00:41:44.000]   And not only did he then give the money, but will be able to continue in a sense in his
[00:41:44.000 --> 00:41:49.720]   purpose as he goes and gives lectures and interacts with people and changes lives.
[00:41:49.720 --> 00:41:51.840]   So I think you can wait.
[00:41:51.840 --> 00:41:55.920]   But if you can get to that point where you're comfortable with enough, which a lot of us
[00:41:55.920 --> 00:41:59.120]   still have trouble with that, but if you can get to that point where you're comfortable
[00:41:59.120 --> 00:42:04.340]   with enough, why not live some of those things out now?
[00:42:04.340 --> 00:42:11.020]   You have been aligned with the FIRE community, the Financial Independence Retire Early community.
[00:42:11.020 --> 00:42:17.220]   We had Brad Barrett here yesterday, who is also a FIRE guy.
[00:42:17.220 --> 00:42:21.820]   But let's talk about the evolution of FIRE, because I'm happy to see that it seems to
[00:42:21.820 --> 00:42:27.820]   have moved away from the RE, the retire early, to be more on the financial independence piece.
[00:42:27.820 --> 00:42:30.260]   Can you talk about your perspective on that issue?
[00:42:30.260 --> 00:42:31.260]   Yeah.
[00:42:31.260 --> 00:42:34.180]   Brad was interesting because he wanted to make sure at the beginning of his talk, he
[00:42:34.180 --> 00:42:36.420]   said, look, we don't really talk about FIRE anymore.
[00:42:36.420 --> 00:42:39.240]   We talk about F-I, financial independence.
[00:42:39.240 --> 00:42:44.220]   And the reason why is the movement really has evolved quite a bit.
[00:42:44.220 --> 00:42:47.220]   At the beginning of this movement, I call that, people have been talking about financial
[00:42:47.220 --> 00:42:48.220]   independence forever.
[00:42:48.220 --> 00:42:50.860]   I mean, go back hundreds of years, Benjamin Franklin, other people have been talking about
[00:42:50.860 --> 00:42:52.220]   financial independence.
[00:42:52.220 --> 00:42:55.300]   But it really caught hold in the 2000s.
[00:42:55.300 --> 00:43:01.140]   And at that time, a lot of people were involved in the movement were young, particularly men,
[00:43:01.140 --> 00:43:05.740]   often highly educated, like engineers, who did not like their jobs, and wanted to do
[00:43:05.740 --> 00:43:08.160]   what I call front loading the sacrifice.
[00:43:08.160 --> 00:43:12.020]   They wanted to work really hard, make a lot of money, even if they had to grind it out
[00:43:12.020 --> 00:43:19.220]   and not enjoy themselves, and then hit a retirement date and never work again.
[00:43:19.220 --> 00:43:24.000]   That was kind of the beginning vision of what FIRE, financial independence, could be.
[00:43:24.000 --> 00:43:26.880]   But it has evolved over the years.
[00:43:26.880 --> 00:43:30.600]   And it's really moved much more to lifestyle design.
[00:43:30.600 --> 00:43:37.700]   So this idea that I can grind it out and do something I don't like and retire early and
[00:43:37.700 --> 00:43:42.240]   then find freedom then, or I can start building freedom in my life now.
[00:43:42.240 --> 00:43:47.340]   And instead of thinking of work as anathema, we can start thinking about creating the work
[00:43:47.340 --> 00:43:52.300]   environment we can live with, and maybe prolong that period and retire later.
[00:43:52.300 --> 00:43:55.900]   So here's where we see these ideas like Slow-Fi and Coast-Fi, and we can go into what all
[00:43:55.900 --> 00:43:56.900]   those are.
[00:43:56.900 --> 00:44:01.540]   These are ways of building in the life you want to live today, instead of deferring it
[00:44:01.540 --> 00:44:05.700]   to some date 10 or 15 years down the road.
[00:44:05.700 --> 00:44:10.840]   And so I think this has been a really nice evolution to realize that we don't have to
[00:44:10.840 --> 00:44:16.840]   wait to some long-term plan to start pursuing purpose and doing the things we want.
[00:44:16.840 --> 00:44:18.680]   We can start doing those today.
[00:44:18.680 --> 00:44:25.180]   And in fact, it's okay to prolong your work life, because if you can create a situation
[00:44:25.180 --> 00:44:30.300]   in which you really like your life and still work, then you can do that for much longer
[00:44:30.300 --> 00:44:31.300]   periods of time.
[00:44:31.300 --> 00:44:36.500]   I often like to speculate what my life would have been if I had discovered hospice at the
[00:44:36.500 --> 00:44:38.140]   beginning of my career.
[00:44:38.140 --> 00:44:44.440]   I guarantee I would have made a lot less money, but I probably would have enjoyed myself more,
[00:44:44.440 --> 00:44:47.740]   and I wouldn't have been able to retire in my 40s, but I probably wouldn't have wanted
