
[00:00:00.040 --> 00:00:09.300]   hết
[00:21:45.420 --> 00:22:15.420]   Dismissing the debt of the state, he would be working.
[00:22:15.420 --> 00:22:15.420]   Dismissing the debt of the state, he would be working.
[00:22:15.420 --> 00:22:15.420]   Dismissing the debt of the state, he would be working.
[00:22:15.420 --> 00:22:15.420]   Dismissing the debt of the state, he would be working.
[00:22:15.420 --> 00:22:15.420]   Dismissing the debt of the state, he would be working.
[00:22:15.420 --> 00:22:15.420]   Dismissing the debt of the state, he would be working.
[00:22:15.420 --> 00:22:15.420]   Dismissing the debt of the state, he would be working.
[00:22:15.420 --> 00:22:15.420]   Dismissing the debt of the state, he would be working.
[00:22:15.420 --> 00:22:15.420]   Dismissing the debt of the state, he would be working.
[00:22:15.420 --> 00:22:15.420]   Dismissing the debt of the state, he would be working.
[00:22:15.420 --> 00:22:15.420]   Dismissing the debt of the state, he would be working.
[00:22:15.420 --> 00:22:15.420]   Dismissing the debt of the state, he would be working.
[00:22:15.420 --> 00:22:45.440]  ,
[00:22:45.440 --> 00:22:45.440]   Dismissing the debt of the state, he would be working.
[00:22:45.440 --> 00:22:45.440]   Dismissing the debt of the state, he would be working.
[00:22:45.440 --> 00:22:45.440]   Dismissing the debt of the state, he would be working.
[00:22:45.440 --> 00:22:45.440]   Dismissing the debt of the state, he would be working.
[00:22:45.440 --> 00:22:45.440]   Dismissing the debt of the state, he would be working.
[00:22:45.440 --> 00:22:45.440]   Dismissing the debt of the state, he would be working.
[00:22:45.440 --> 00:22:45.440]   Dismissing the debt of the state, he would be working.
[00:22:45.440 --> 00:22:45.440]   Dismissing the debt of the state, he would be working.
[00:22:45.440 --> 00:22:45.440]   Dismissing the debt of the state, he would be working.
[00:22:45.440 --> 00:22:45.440]   Dismissing the debt of the state, he would be working.
[00:22:45.440 --> 00:22:45.440]   Dismissing the debt of the state, he would be working.
[00:22:45.440 --> 00:22:45.440]   Dismissing the debt of the state, he would be working.
[00:22:45.460 --> 00:23:15.460]   Dismissing the debt of the state, he would be working.
[00:23:15.460 --> 00:23:15.460]   Dismissing the debt of the state, he would be working.
[00:23:15.460 --> 00:23:15.460]   Dismissing the debt of the state, he would be working.
[00:23:15.460 --> 00:23:15.460]   Dismissing the debt of the state, he would be working.
[00:23:15.460 --> 00:23:15.460]   Dismissing the debt of the state, he would be working.
[00:23:15.460 --> 00:23:15.460]   Dismissing the debt of the state, he would be working.
[00:23:15.460 --> 00:23:15.460]   Dismissing the debt of the state, he would be working.
[00:23:15.460 --> 00:23:15.460]   Dismissing the debt of the state, he would be working.
[00:23:15.460 --> 00:23:15.460]   Dismissing the debt of the state, he would be working.
[00:23:15.460 --> 00:23:15.460]   Dismissing the debt of the state, he would be working.
[00:23:15.460 --> 00:23:15.460]   Dismissing the debt of the state, he would be working.
[00:23:15.460 --> 00:23:15.460]   Dismissing the debt of the state, he would be working.
[00:23:15.480 --> 00:23:45.480]   Dismissing the debt of the state, he would be working.
[00:23:45.480 --> 00:23:45.480]   Dismissing the debt of the state, he would be working.
[00:23:45.480 --> 00:23:45.480]   Dismissing the debt of the state, he would be working.
[00:23:45.480 --> 00:23:45.480]   Dismissing the debt of the state, he would be working.
[00:23:45.480 --> 00:23:45.480]   Dismissing the debt of the state, he would be working.
[00:23:45.480 --> 00:23:45.480]   Dismissing the debt of the state, he would be working.
[00:23:45.480 --> 00:23:45.480]   Dismissing the debt of the state, he would be working.
[00:23:45.480 --> 00:23:45.480]   Dismissing the debt of the state, he would be working.
[00:23:45.480 --> 00:23:45.480]   Dismissing the debt of the state, he would be working.
[00:23:45.480 --> 00:23:45.480]   Dismissing the debt of the state, he would be working.
[00:23:45.480 --> 00:23:45.480]   Dismissing the debt of the state, he would be working.
[00:23:45.480 --> 00:23:45.480]   Dismissing the debt of the state, he would be working.
[00:23:45.480 --> 00:24:15.500]   Dismissing the debt of the state, he would be working.
[00:24:15.500 --> 00:24:15.500]   Dismissing the debt of the state, he would be working.
[00:24:15.500 --> 00:24:15.500]   Dismissing the debt of the state, he would be working.
[00:24:15.500 --> 00:24:15.500]   Dismissing the debt of the state, he would be working.
[00:24:15.500 --> 00:24:15.500]   Dismissing the debt of the state, he would be working.
[00:24:15.500 --> 00:24:15.500]   Dismissing the debt of the state, he would be working.
[00:24:15.500 --> 00:24:15.500]   Dismissing the debt of the state, he would be working.
[00:24:15.500 --> 00:24:15.500]   Dismissing the debt of the state, he would be working.
[00:24:15.500 --> 00:24:15.500]   Dismissing the debt of the state, he would be working.
[00:24:15.500 --> 00:24:15.500]   Dismissing the debt of the state, he would be working.
[00:24:15.500 --> 00:24:15.500]   Dismissing the debt of the state, he would be working.
[00:24:15.500 --> 00:24:15.500]   Dismissing the debt of the state, he would be working.
[00:24:15.500 --> 00:24:15.500]   Dismissing the debt of the state, he would be working.
[00:24:15.520 --> 00:24:45.520]   Dismissing the debt of the state, he would be working.
[00:24:45.520 --> 00:24:45.520]   Dismissing the debt of the state, he would be working.
[00:24:45.520 --> 00:24:45.520]   Dismissing the debt of the state, he would be working.
[00:24:45.520 --> 00:24:45.520]   Dismissing the debt of the state, he would be working.
[00:24:45.520 --> 00:24:45.520]   Dismissing the debt of the state, he would be working.
[00:24:45.520 --> 00:24:45.520]   Dismissing the debt of the state, he would be working.
[00:24:45.520 --> 00:24:45.520]   Dismissing the debt of the state, he would be working.
[00:24:45.520 --> 00:24:45.520]   Dismissing the debt of the state, he would be working.
[00:24:45.520 --> 00:24:45.520]   Dismissing the debt of the state, he would be working.
[00:24:45.520 --> 00:24:45.520]   Dismissing the debt of the state, he would be working.
[00:24:45.520 --> 00:24:45.520]   Dismissing the debt of the state, he would be working.
[00:24:45.520 --> 00:24:45.520]   Dismissing the debt of the state, he would be working.
[00:24:45.520 --> 00:25:15.540]   Dismissing the debt of the state, he would be working.
[00:25:15.540 --> 00:25:15.540]   Dismissing the debt of the state, he would be working.
[00:25:15.540 --> 00:25:15.540]   Dismissing the debt of the state, he would be working.
[00:25:15.540 --> 00:25:15.540]   Dismissing the debt of the state, he would be working.
[00:25:15.540 --> 00:25:15.540]   Dismissing the debt of the state, he would be working.
[00:25:15.540 --> 00:25:15.540]   Dismissing the debt of the state, he would be working.
[00:25:15.540 --> 00:25:15.540]   Dismissing the debt of the state, he would be working.
[00:25:15.540 --> 00:25:15.540]   Dismissing the debt of the state, he would be working.
[00:25:15.540 --> 00:25:15.540]   Dismissing the debt of the state, he would be working.
[00:25:15.540 --> 00:25:15.540]   Dismissing the debt of the state, he would be working.
[00:25:15.540 --> 00:25:15.540]   Dismissing the debt of the state, he would be working.
[00:25:15.540 --> 00:25:15.540]   Dismissing the debt of the state, he would be working.
[00:25:15.540 --> 00:25:15.540]   Dismissing the debt of the state, he would be working.
[00:25:15.560 --> 00:25:45.560]   Dismissing the debt of the state, he would be working.
[00:25:45.560 --> 00:25:45.560]   Dismissing the debt of the state, he would be working.
[00:25:45.560 --> 00:25:45.560]   Dismissing the debt of the state, he would be working.
[00:25:45.560 --> 00:25:45.560]   Dismissing the debt of the state, he would be working.
[00:25:45.560 --> 00:25:45.560]   Dismissing the debt of the state, he would be working.
[00:25:45.560 --> 00:25:45.560]   Dismissing the debt of the state, he would be working.
[00:25:45.560 --> 00:25:45.560]   Dismissing the debt of the state, he would be working.
[00:25:45.560 --> 00:25:45.560]   Dismissing the debt of the state, he would be working.
[00:25:45.560 --> 00:25:45.560]   Dismissing the debt of the state, he would be working.
[00:25:45.560 --> 00:25:45.560]   Dismissing the debt of the state, he would be working.
[00:25:45.560 --> 00:25:45.560]   Dismissing the debt of the state, he would be working.
[00:25:45.560 --> 00:25:45.560]   Dismissing the debt of the state, he would be working.
[00:25:45.560 --> 00:26:15.580]   Dismissing the debt of the state, he would be working.
[00:26:15.580 --> 00:26:15.580]   Dismissing the debt of the state, he would be working.
[00:26:15.580 --> 00:26:15.580]   Dismissing the debt of the state, he would be working.
[00:26:15.580 --> 00:26:15.580]   Dismissing the debt of the state, he would be working.
[00:26:15.580 --> 00:26:15.580]   Dismissing the debt of the state, he would be working.
[00:26:15.580 --> 00:26:15.580]   Dismissing the debt of the state, he would be working.
[00:26:15.580 --> 00:26:15.580]   Dismissing the debt of the state, he would be working.
[00:26:15.580 --> 00:26:15.580]   Dismissing the debt of the state, he would be working.
[00:26:15.580 --> 00:26:15.580]   Dismissing the debt of the state, he would be working.
[00:26:15.580 --> 00:26:15.580]   Dismissing the debt of the state, he would be working.
[00:26:15.580 --> 00:26:15.580]   Dismissing the debt of the state, he would be working.
[00:26:15.580 --> 00:26:15.580]   Dismissing the debt of the state, he would be working.
[00:26:15.580 --> 00:26:15.580]   Dismissing the debt of the state, he would be working.
[00:26:15.600 --> 00:26:45.600]   Dismissing the debt of the state, he would be working.
[00:26:45.600 --> 00:26:45.600]   Dismissing the debt of the state, he would be working.
[00:26:45.600 --> 00:26:45.600]   Dismissing the debt of the state, he would be working.
[00:26:45.600 --> 00:26:45.600]   Dismissing the debt of the state, he would be working.
[00:26:45.600 --> 00:26:45.600]   Dismissing the debt of the state, he would be working.
[00:26:45.600 --> 00:26:45.600]   Dismissing the debt of the state, he would be working.
[00:26:45.600 --> 00:26:45.600]   Dismissing the debt of the state, he would be working.
[00:26:45.600 --> 00:26:45.600]   Dismissing the debt of the state, he would be working.
[00:26:45.600 --> 00:26:45.600]   Dismissing the debt of the state, he would be working.
[00:26:45.600 --> 00:26:45.600]   Dismissing the debt of the state, he would be working.
[00:26:45.600 --> 00:26:45.600]   Dismissing the debt of the state, he would be working.
[00:26:45.600 --> 00:26:45.600]   Dismissing the debt of the state, he would be working.
[00:26:45.600 --> 00:27:15.620]  ,
[00:27:15.620 --> 00:27:15.620]   Dismissing the debt of the state, he would be working.
[00:27:15.620 --> 00:27:15.620]   Dismissing the debt of the state, he would be working.
[00:27:15.620 --> 00:27:15.620]   Dismissing the debt of the state, he would be working.
[00:27:15.620 --> 00:27:15.620]   Dismissing the debt of the state, he would be working.
[00:27:15.620 --> 00:27:15.620]   Dismissing the debt of the state, he would be working.
[00:27:15.620 --> 00:27:15.620]   Dismissing the debt of the state, he would be working.
[00:27:15.620 --> 00:27:15.620]   Dismissing the debt of the state, he would be working.
[00:27:15.620 --> 00:27:15.620]   Dismissing the debt of the state, he would be working.
[00:27:15.620 --> 00:27:15.620]   Dismissing the debt of the state, he would be working.
[00:27:15.620 --> 00:27:15.620]   Dismissing the debt of the state, he would be working.
[00:27:15.620 --> 00:27:15.620]   Dismissing the debt of the state, he would be working.
[00:27:15.620 --> 00:27:15.620]   Dismissing the debt of the state, he would be working.
[00:27:15.640 --> 00:27:45.640]   Dismissing the debt of the state, he would be working.
[00:27:45.640 --> 00:27:45.640]   Dismissing the debt of the state, he would be working.
[00:27:45.640 --> 00:27:45.640]   Dismissing the debt of the state, he would be working.
[00:27:45.640 --> 00:27:45.640]   Dismissing the debt of the state, he would be working.
[00:27:45.640 --> 00:27:45.640]   Dismissing the debt of the state, he would be working.
[00:27:45.640 --> 00:27:45.640]   Dismissing the debt of the state, he would be working.
[00:27:45.640 --> 00:27:45.640]   Dismissing the debt of the state, he would be working.
[00:27:45.640 --> 00:27:45.640]   Dismissing the debt of the state, he would be working.
[00:27:45.640 --> 00:27:45.640]   Dismissing the debt of the state, he would be working.
[00:27:45.640 --> 00:27:45.640]   Dismissing the debt of the state, he would be working.
[00:27:45.640 --> 00:27:45.640]   Dismissing the debt of the state, he would be working.
[00:27:45.640 --> 00:27:45.640]   Dismissing the debt of the state, he would be working.
[00:27:45.660 --> 00:28:15.660]   Dismissing the debt of the state, he would be working.
[00:28:15.660 --> 00:28:15.660]   Dismissing the debt of the state, he would be working.
[00:28:15.660 --> 00:28:15.660]   Dismissing the debt of the state, he would be working.
[00:28:15.660 --> 00:28:15.660]   Dismissing the debt of the state, he would be working.
[00:28:15.660 --> 00:28:15.660]   Dismissing the debt of the state, he would be working.
[00:28:15.660 --> 00:28:15.660]   Dismissing the debt of the state, he would be working.
[00:28:15.660 --> 00:28:15.660]   Dismissing the debt of the state, he would be working.
[00:28:15.660 --> 00:28:15.660]   Dismissing the debt of the state, he would be working.
[00:28:15.660 --> 00:28:15.660]   Dismissing the debt of the state, he would be working.
[00:28:15.660 --> 00:28:15.660]   Dismissing the debt of the state, he would be working.
[00:28:15.660 --> 00:28:15.660]   Dismissing the debt of the state, he would be working.
[00:28:15.660 --> 00:28:15.660]   Dismissing the debt of the state, he would be working.
[00:28:15.680 --> 00:28:45.680]   Dismissing the debt of the state, he would be working.
[00:28:45.680 --> 00:28:45.680]   Dismissing the debt of the state, he would be working.
[00:28:45.680 --> 00:28:45.680]   Dismissing the debt of the state, he would be working.
[00:28:45.680 --> 00:28:45.680]   Dismissing the debt of the state, he would be working.
[00:28:45.680 --> 00:28:45.680]   Dismissing the debt of the state, he would be working.
[00:28:45.680 --> 00:28:45.680]   Dismissing the debt of the state, he would be working.
[00:28:45.680 --> 00:28:45.680]   Dismissing the debt of the state, he would be working.
[00:28:45.680 --> 00:28:45.680]   Dismissing the debt of the state, he would be working.
[00:28:45.680 --> 00:28:45.680]   Dismissing the debt of the state, he would be working.
[00:28:45.680 --> 00:28:45.680]   Dismissing the debt of the state, he would be working.
[00:28:45.680 --> 00:28:45.680]   Dismissing the debt of the state, he would be working.
[00:28:45.680 --> 00:28:45.680]   Dismissing the debt of the state, he would be working.
[00:29:15.700 --> 00:29:15.700]   Dismissing the debt of the state, he would be working.
[00:29:15.700 --> 00:29:15.700]   Dismissing the debt of the state, he would be working.
[00:29:15.700 --> 00:29:15.700]   Dismissing the debt of the state, he would be working.
[00:29:15.700 --> 00:29:15.700]   Dismissing the debt of the state, he would be working.
[00:29:15.700 --> 00:29:15.700]   Dismissing the debt of the state, he would be working.
[00:29:15.700 --> 00:29:15.700]   Dismissing the debt of the state, he would be working.
[00:29:15.700 --> 00:29:15.700]   Dismissing the debt of the state, he would be working.
[00:29:15.700 --> 00:29:15.700]   Dismissing the debt of the state, he would be working.
[00:29:15.700 --> 00:29:15.700]   Dismissing the debt of the state, he would be working.
[00:29:15.700 --> 00:29:15.700]   Dismissing the debt of the state, he would be working.
[00:29:15.700 --> 00:29:15.700]   Dismissing the debt of the state, he would be working.
[00:29:15.700 --> 00:29:15.700]   Dismissing the debt of the state, he would be working.
[00:29:45.720 --> 00:29:45.720]   --------
[00:29:45.760 --> 00:30:13.760]   -------- -------- -------- -------- -------- -------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ----- ----- ----- ----- ----- ----- ----- ----- ----- - ----- - ----- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 2
[00:30:13.760 --> 00:30:15.740]   qualified plan, and this may be a claim in the previous episode of the series of the Fissippi downtime.
[00:30:15.760 --> 00:30:45.760]   and I'm going to talk a little bit about the FAKE.
[00:30:45.760 --> 00:30:45.760]   I'm going to talk a little bit about the FAKE.
[00:30:45.760 --> 00:30:45.760]   I'm going to talk a little bit about the FAKE.
[00:30:45.760 --> 00:30:45.760]   I'm going to talk a little bit about the FAKE.
[00:30:45.760 --> 00:30:45.760]   I'm going to talk a little bit about the FAKE.
[00:30:45.760 --> 00:30:45.760]   I'm going to talk a little bit about the FAKE.
[00:30:45.760 --> 00:30:45.760]   I'm going to talk a little bit about the FAKE.
[00:30:45.800 --> 00:31:15.780]  ,
[00:31:15.780 --> 00:31:15.780]   I'm going to talk a little bit about the FAKE.
[00:31:15.780 --> 00:31:15.780]   I'm going to talk a little bit about the FAKE.
[00:31:15.780 --> 00:31:15.780]   I'm going to talk a little bit about the FAKE.
[00:31:15.780 --> 00:31:15.780]   I'm going to talk a little bit about the FAKE.
[00:31:15.780 --> 00:31:15.780]   I'm going to talk a little bit about the FAKE.
[00:31:15.780 --> 00:31:15.780]   I'm going to talk a little bit about the FAKE.
[00:31:15.780 --> 00:31:15.780]   I'm going to talk a little bit about the FAKE.
[00:31:15.780 --> 00:31:15.780]   I'm going to talk a little bit about the FAKE.
[00:31:15.780 --> 00:31:15.780]   I'm going to talk a little bit about the FAKE.
[00:31:15.780 --> 00:31:15.780]   I'm going to talk a little bit about the FAKE.
[00:31:15.780 --> 00:31:15.780]   I'm going to talk a little bit about the FAKE.
[00:31:15.780 --> 00:31:15.780]   I'm going to talk a little bit about the FAKE.
[00:31:15.780 --> 00:31:15.780]   I'm going to talk a little bit about the FAKE. I'm going to talk a little bit about the FAKE.
[00:31:15.800 --> 00:31:45.800]   I'm going to talk a little bit about the FAKE.
[00:31:45.800 --> 00:31:45.800]   I'm going to talk a little bit about the FAKE.
[00:31:45.800 --> 00:31:45.800]   I'm going to talk a little bit about the FAKE.
[00:31:45.800 --> 00:31:45.800]   I'm going to talk a little bit about the FAKE.
[00:31:45.800 --> 00:31:45.800]   I'm going to talk a little bit about the FAKE.
[00:31:45.800 --> 00:31:45.800]   I'm going to talk a little bit about the FAKE.
[00:31:45.800 --> 00:31:45.800]   I'm going to talk a little bit about the FAKE.
[00:31:45.800 --> 00:31:45.800]   I'm going to talk a little bit about the FAKE.
[00:31:45.800 --> 00:31:45.800]   I'm going to talk a little bit about the FAKE.
[00:31:45.800 --> 00:31:45.800]   I'm going to talk a little bit about the FAKE.
[00:31:45.800 --> 00:31:45.800]   I'm going to talk a little bit about the FAKE.
[00:31:45.800 --> 00:31:45.800]   I'm going to talk a little bit about the FAKE.
[00:31:45.800 --> 00:31:45.800]   I'm going to talk a little bit about the FAKE.
[00:31:45.800 --> 00:31:45.800]   I'm going to talk a little bit about the FAKE.
[00:31:45.800 --> 00:32:15.820]   I'm going to talk a little bit about the FAKE.
[00:32:15.820 --> 00:32:15.820]   I'm going to talk a little bit about the FAKE.
[00:32:15.820 --> 00:32:15.820]   I'm going to talk a little bit about the FAKE.
[00:32:15.820 --> 00:32:15.820]   I'm going to talk a little bit about the FAKE.
[00:32:15.820 --> 00:32:15.820]   I'm going to talk a little bit about the FAKE.
[00:32:15.820 --> 00:32:15.820]   I'm going to talk a little bit about the FAKE.
[00:32:15.820 --> 00:32:15.820]   I'm going to talk a little bit about the FAKE.
[00:32:15.820 --> 00:32:15.820]   I'm going to talk a little bit about the FAKE.
[00:32:15.820 --> 00:32:15.820]   I'm going to talk a little bit about the FAKE.
[00:32:15.820 --> 00:32:15.820]   I'm going to talk a little bit about the FAKE.
[00:32:15.840 --> 00:32:45.840]   I'm going to talk a little bit about the FAKE.
[00:32:45.840 --> 00:32:45.840]   I'm going to talk a little bit about the FAKE.
[00:32:45.840 --> 00:32:45.840]   I'm going to talk a little bit about the FAKE.
[00:32:45.840 --> 00:32:45.840]   I'm going to talk a little bit about the FAKE.
[00:32:45.840 --> 00:32:45.840]   I'm going to talk a little bit about the FAKE.
[00:32:45.840 --> 00:32:45.840]   I'm going to talk a little bit about the FAKE.
[00:32:45.840 --> 00:32:45.840]   I'm going to talk a little bit about the FAKE.
[00:32:45.840 --> 00:32:45.840]   I'm going to talk a little bit about the FAKE.
[00:32:45.840 --> 00:32:45.840]   I'm going to talk a little bit about the FAKE.
[00:32:45.840 --> 00:32:45.840]   I'm going to talk a little bit about the FAKE.
[00:32:45.840 --> 00:32:45.840]   I'm going to talk a little bit about the FAKE.
[00:32:45.840 --> 00:32:45.840]   I'm going to talk a little bit about the FAKE.
[00:32:45.840 --> 00:32:45.840]   I'm going to talk a little bit about the FAKE.
[00:32:45.840 --> 00:32:45.840]   I'm going to talk a little bit about the FAKE.
[00:32:45.840 --> 00:33:15.860]   I'm going to talk a little bit about the FAKE.
[00:33:15.860 --> 00:33:15.860]   I'm going to talk a little bit about the FAKE.
[00:33:15.860 --> 00:33:15.860]   I'm going to talk a little bit about the FAKE.
[00:33:15.860 --> 00:33:15.860]   I'm going to talk a little bit about the FAKE.
[00:33:15.860 --> 00:33:15.860]   I'm going to talk a little bit about the FAKE.
[00:33:15.860 --> 00:33:15.860]   I'm going to talk a little bit about the FAKE.
[00:33:15.860 --> 00:33:15.860]   I'm going to talk a little bit about the FAKE.
[00:33:15.860 --> 00:33:15.860]   I'm going to talk a little bit about the FAKE.
[00:33:15.860 --> 00:33:15.860]   I'm going to talk a little bit about the FAKE.
[00:33:15.880 --> 00:33:45.880]   I'm going to talk a little bit about the FAKE.
[00:33:45.880 --> 00:33:45.880]   I'm going to talk a little bit about the FAKE.
[00:33:45.880 --> 00:33:45.880]   I'm going to talk a little bit about the FAKE.
[00:33:45.880 --> 00:33:45.880]   I'm going to talk a little bit about the FAKE.
[00:33:45.880 --> 00:33:45.880]   I'm going to talk a little bit about the FAKE.
[00:33:45.880 --> 00:33:45.880]   I'm going to talk a little bit about the FAKE.
[00:33:45.880 --> 00:33:45.880]   I'm going to talk a little bit about the FAKE.
[00:33:45.880 --> 00:33:45.880]   I'm going to talk a little bit about the FAKE.
[00:33:45.880 --> 00:33:45.880]   I'm going to talk a little bit about the FAKE.
[00:33:45.880 --> 00:33:45.880]   I'm going to talk a little bit about the FAKE.
[00:33:45.880 --> 00:33:45.880]   I'm going to talk a little bit about the FAKE.
[00:33:45.880 --> 00:33:45.880]   I'm going to talk a little bit about the FAKE.
[00:33:45.880 --> 00:33:45.880]   I'm going to talk a little bit about the FAKE.
[00:33:45.880 --> 00:33:45.880]   I'm going to talk a little bit about the FAKE.
[00:33:45.880 --> 00:34:15.900]   I'm going to talk a little bit about the FAKE.
[00:34:15.900 --> 00:34:15.900]   I'm going to talk a little bit about the FAKE.
[00:34:15.900 --> 00:34:15.900]   I'm going to talk a little bit about the FAKE.
[00:34:15.900 --> 00:34:15.900]   I'm going to talk a little bit about the FAKE.
[00:34:15.900 --> 00:34:15.900]   I'm going to talk a little bit about the FAKE.
[00:34:15.900 --> 00:34:15.900]   I'm going to talk a little bit about the FAKE.
[00:34:15.900 --> 00:34:15.900]   I'm going to talk a little bit about the FAKE.
[00:34:15.900 --> 00:34:15.900]   I'm going to talk a little bit about the FAKE.
[00:34:15.900 --> 00:34:15.900]   I'm going to talk a little bit about the FAKE.
[00:34:15.920 --> 00:34:45.920]   I'm going to talk a little bit about the FAKE.
[00:34:45.920 --> 00:34:45.920]   I'm going to talk a little bit about the FAKE.
[00:34:45.920 --> 00:34:45.920]   I'm going to talk a little bit about the FAKE.
[00:34:45.920 --> 00:34:45.920]   I'm going to talk a little bit about the FAKE.
[00:34:45.920 --> 00:34:45.920]   I'm going to talk a little bit about the FAKE.
[00:34:45.920 --> 00:34:45.920]   I'm going to talk a little bit about the FAKE.
[00:34:45.920 --> 00:34:45.920]   I'm going to talk a little bit about the FAKE.
[00:34:45.920 --> 00:34:45.920]   I'm going to talk a little bit about the FAKE.
[00:34:45.920 --> 00:34:45.920]   I'm going to talk a little bit about the FAKE.
[00:34:45.920 --> 00:34:45.920]   I'm going to talk a little bit about the FAKE.
[00:34:45.920 --> 00:34:45.920]   I'm going to talk a little bit about the FAKE.
[00:34:45.920 --> 00:34:45.920]   I'm going to talk a little bit about the FAKE.
[00:34:45.920 --> 00:34:45.920]   I'm going to talk a little bit about the FAKE.
[00:34:45.920 --> 00:34:45.920]   I'm going to talk a little bit about the FAKE.
[00:34:45.920 --> 00:35:15.940]   I'm going to talk a little bit about the FAKE.
[00:35:15.940 --> 00:35:15.940]   I'm going to talk a little bit about the FAKE.
[00:35:15.940 --> 00:35:15.940]   I'm going to talk a little bit about the FAKE.
[00:35:15.940 --> 00:35:15.940]   I'm going to talk a little bit about the FAKE.
[00:35:15.940 --> 00:35:15.940]   I'm going to talk a little bit about the FAKE.
[00:35:15.940 --> 00:35:15.940]   I'm going to talk a little bit about the FAKE.
[00:35:15.940 --> 00:35:15.940]   I'm going to talk a little bit about the FAKE.
[00:35:15.940 --> 00:35:15.940]   I'm going to talk a little bit about the FAKE.
[00:35:15.940 --> 00:35:15.940]   I'm going to talk a little bit about the FAKE.
[00:35:15.960 --> 00:35:45.960]   I'm going to talk a little bit about the FAKE.
[00:35:45.960 --> 00:35:45.960]   I'm going to talk a little bit about the FAKE.
[00:35:45.960 --> 00:35:45.960]   I'm going to talk a little bit about the FAKE.
[00:35:45.960 --> 00:35:45.960]   I'm going to talk a little bit about the FAKE.
[00:35:45.960 --> 00:35:45.960]   I'm going to talk a little bit about the FAKE.
[00:35:45.960 --> 00:35:45.960]   I'm going to talk a little bit about the FAKE.
[00:35:45.960 --> 00:35:45.960]   I'm going to talk a little bit about the FAKE.
[00:35:45.960 --> 00:35:45.960]   I'm going to talk a little bit about the FAKE.
[00:35:45.960 --> 00:35:45.960]   I'm going to talk a little bit about the FAKE.
[00:35:45.960 --> 00:35:45.960]   I'm going to talk a little bit about the FAKE.
[00:35:45.960 --> 00:35:45.960]   I'm going to talk a little bit about the FAKE.
[00:35:45.960 --> 00:35:45.960]   I'm going to talk a little bit about the FAKE.
[00:35:45.960 --> 00:35:45.960]   I'm going to talk a little bit about the FAKE.
[00:35:45.960 --> 00:35:45.960]   I'm going to talk a little bit about the FAKE.
[00:35:45.960 --> 00:36:15.980]   I'm going to talk a little bit about the FAKE.
[00:36:15.980 --> 00:36:15.980]   I'm going to talk a little bit about the FAKE.
[00:36:15.980 --> 00:36:15.980]   I'm going to talk a little bit about the FAKE.
[00:36:15.980 --> 00:36:15.980]   I'm going to talk a little bit about the FAKE.
[00:36:15.980 --> 00:36:15.980]   I'm going to talk a little bit about the FAKE.
[00:36:15.980 --> 00:36:15.980]   I'm going to talk a little bit about the FAKE.
[00:36:15.980 --> 00:36:15.980]   I'm going to talk a little bit about the FAKE.
[00:36:15.980 --> 00:36:15.980]   I'm going to talk a little bit about the FAKE.
[00:36:15.980 --> 00:36:15.980]   I'm going to talk a little bit about the FAKE.
[00:36:15.980 --> 00:36:15.980]   I'm going to talk a little bit about the FAKE.
[00:36:16.000 --> 00:36:46.000]   I'm going to talk a little bit about the FAKE.
[00:36:46.000 --> 00:36:46.000]   I'm going to talk a little bit about the FAKE.
[00:36:46.000 --> 00:36:46.000]   I'm going to talk a little bit about the FAKE.
[00:36:46.000 --> 00:36:46.000]   I'm going to talk a little bit about the FAKE.
[00:36:46.000 --> 00:36:46.000]   I'm going to talk a little bit about the FAKE.
[00:36:46.000 --> 00:36:46.000]   I'm going to talk a little bit about the FAKE.
[00:36:46.000 --> 00:36:46.000]   I'm going to talk a little bit about the FAKE.
[00:36:46.000 --> 00:36:46.000]   I'm going to talk a little bit about the FAKE.
[00:36:46.000 --> 00:36:46.000]   I'm going to talk a little bit about the FAKE.
[00:36:46.000 --> 00:36:46.000]   I'm going to talk a little bit about the FAKE.
[00:36:46.000 --> 00:36:46.000]   I'm going to talk a little bit about the FAKE.
[00:36:46.000 --> 00:36:46.000]   I'm going to talk a little bit about the FAKE.
[00:36:46.000 --> 00:36:46.000]   I'm going to talk a little bit about the FAKE.
[00:36:46.000 --> 00:36:46.000]   I'm going to talk a little bit about the FAKE.
[00:36:46.000 --> 00:37:16.020]   I'm going to talk a little bit about the FAKE.
[00:37:16.020 --> 00:37:16.020]   I'm going to talk a little bit about the FAKE.
[00:37:16.020 --> 00:37:16.020]   I'm going to talk a little bit about the FAKE.
[00:37:16.020 --> 00:37:16.020]   I'm going to talk a little bit about the FAKE.
[00:37:16.020 --> 00:37:16.020]   I'm going to talk a little bit about the FAKE.
[00:37:16.020 --> 00:37:16.020]   I'm going to talk a little bit about the FAKE.
[00:37:16.020 --> 00:37:16.020]   I'm going to talk a little bit about the FAKE.
[00:37:16.020 --> 00:37:16.020]   I'm going to talk a little bit about the FAKE.
[00:37:16.020 --> 00:37:16.020]   I'm going to talk a little bit about the FAKE.
[00:37:16.040 --> 00:37:46.040]   I'm going to talk a little bit about the FAKE.
