
[00:00:00.000 --> 00:00:07.440]   Okay, hi everyone.
[00:28:28.740 --> 00:28:34.440]   That essentially, every coreference system that was built, use tools like part of speech
[00:28:34.440 --> 00:28:41.060]   taggers, NER systems, and parsers to analyze sentences, to identify mentions, and to give
[00:28:41.060 --> 00:28:43.700]   you features for coreference resolution.
[00:28:43.700 --> 00:28:46.940]   And I'll show a bit more about that later.
[00:28:46.940 --> 00:28:53.620]   But more recently, in our neural systems, people have moved to avoiding traditional
[00:28:53.620 --> 00:29:02.340]   pipeline systems and doing one shot end to end coreference resolution systems.
[00:29:02.340 --> 00:29:09.300]   So if I skip directly to the second bullet, there's a new generation of neural systems
[00:29:09.300 --> 00:29:15.520]   where you just start with your sequence of words, and you do the maximally dumb thing,
[00:29:15.520 --> 00:29:21.700]   you just say, let's take all spans, commonly with some heuristics for efficiency, but you
[00:29:21.700 --> 00:29:28.060]   know, conceptually, all sub sequences of this sentence, they might be mentions, let's feed
[00:29:28.060 --> 00:29:35.380]   them in to a neural network, which will simultaneously do mentioned detection and coreference resolution
[00:29:35.380 --> 00:29:37.580]   end to end in one model.
[00:29:37.580 --> 00:29:41.900]   And I'll give an example of that kind of system later in the lecture.
[00:29:41.900 --> 00:29:48.580]   Okay, is everything good to there and I should go on?
[00:29:48.580 --> 00:29:49.980]   Yep.
[00:29:49.980 --> 00:29:51.660]   Okay.
[00:29:51.660 --> 00:29:58.340]   So I'm going to get on to how to do coreference resolution systems.
[00:29:58.340 --> 00:30:03.820]   But before I do that, I do actually want to show a little bit more of the linguistics
[00:30:03.820 --> 00:30:09.820]   of coreference, because there are actually a few more interesting things to understand
[00:30:09.820 --> 00:30:10.820]   and know here.
[00:30:10.820 --> 00:30:19.260]   I mean, when we say coreference resolution, we really confuse together two linguistic
[00:30:19.260 --> 00:30:23.380]   things which are overlapping, but different.
[00:30:23.380 --> 00:30:27.300]   And so it's really actually good to understand the difference between these things.
[00:30:27.300 --> 00:30:30.020]   So there are two things that can happen.
[00:30:30.020 --> 00:30:38.620]   One is that you can have mentions, which are essentially standalone, but happen to refer
[00:30:38.620 --> 00:30:41.140]   to the same entity in the world.
[00:30:41.140 --> 00:30:48.940]   So if I have a piece of text that said, Barack Obama traveled yesterday to Nebraska, Obama
[00:30:48.940 --> 00:30:54.060]   was there to open a new meat processing plant or something like that.
[00:30:54.060 --> 00:30:59.660]   I've mentioned with Barack Obama and Obama, there are two mentions there, they refer to
[00:30:59.660 --> 00:31:02.940]   the same person in the world, they are coreference.
[00:31:02.940 --> 00:31:05.100]   So that is true coreference.
[00:31:05.100 --> 00:31:09.820]   But there's a different related linguistic concept called anaphora.
[00:31:09.820 --> 00:31:16.500]   And anaphora is when you have a textual dependence of an anaphor on another term, which is the
[00:31:16.500 --> 00:31:17.740]   antecedent.
[00:31:17.740 --> 00:31:25.460]   And in this case, the meaning of the anaphor is determined by the antecedent in a textual
[00:31:25.460 --> 00:31:26.500]   context.
[00:31:26.500 --> 00:31:29.700]   And the canonical case of this is pronouns.
[00:31:29.700 --> 00:31:35.700]   So when it's Barack Obama said he would sign the bill, he is an anaphor.
[00:31:35.700 --> 00:31:40.820]   It's not a word that independently we can work out what its meaning is in the world,
[00:31:40.820 --> 00:31:48.300]   apart from knowing the vaguest feature that it's referring to something probably male.
[00:31:48.300 --> 00:31:56.420]   But in the context of this text, we have that this anaphor is textually dependent on Barack
[00:31:56.420 --> 00:31:57.540]   Obama.
[00:31:57.540 --> 00:32:03.500]   And so then we have an anaphoric relationship, which sort of means they refer to the same
[00:32:03.500 --> 00:32:04.820]   thing in the world.
[00:32:04.820 --> 00:32:08.140]   And so therefore, you can say they're coreference.
[00:32:08.140 --> 00:32:11.160]   So the picture we have is like this.
[00:32:11.160 --> 00:32:18.460]   So for coreference, we have these separate textual mentions, which are basically standalone,
[00:32:18.460 --> 00:32:20.940]   which refer to the same thing in the world.
[00:32:20.940 --> 00:32:25.860]   Whereas in anaphora, we actually have a textual relationship.
[00:32:25.860 --> 00:32:33.940]   And you essentially have to use pronouns like he and she in legitimate ways in which the
[00:32:33.940 --> 00:32:39.580]   hearer can reconstruct the relationship from the text, because they can't work out what
[00:32:39.580 --> 00:32:44.980]   he refers to if that's not there.
[00:32:44.980 --> 00:32:49.540]   And so that's a fair bit of the distinction.
[00:32:49.540 --> 00:32:56.740]   But it's actually a little bit more to realize, because there are more complex forms of anaphora,
[00:32:56.740 --> 00:33:05.460]   which aren't coreference, because you have a textual dependence, but it's not actually
[00:33:05.460 --> 00:33:07.140]   one of reference.
[00:33:07.140 --> 00:33:13.980]   And so this comes back to things like these quantifier noun phrases that don't have reference.
[00:33:13.980 --> 00:33:20.780]   So when you have sentences like these ones, every dancer twisted her knee, well, this
[00:33:20.780 --> 00:33:28.900]   her here has an anaphoric dependency on every dancer, or even more clearly with no dancer
[00:33:28.900 --> 00:33:35.500]   twisted her knee, the her here has an anaphoric dependence on no dancer.
[00:33:35.500 --> 00:33:41.500]   But for no dancer twisted her knee, no dancer isn't referential.
[00:33:41.500 --> 00:33:43.980]   It's not referring to anything in the world.
[00:33:43.980 --> 00:33:49.660]   And so there's no coreferential relationship, because there's no reference relationship,
[00:33:49.660 --> 00:33:57.420]   but there's still an anaphoric relationship between these two noun phrases.
[00:33:57.420 --> 00:34:03.500]   And then you have this other complex case that turns up quite a bit, where you can have
[00:34:03.500 --> 00:34:10.820]   where the things being talked about do have reference, but an anaphoric relationship is
[00:34:10.820 --> 00:34:13.380]   more subtle than identity.
[00:34:13.380 --> 00:34:18.660]   So you commonly get constructions like this one.
[00:34:18.660 --> 00:34:23.180]   We went to a concert last night, the tickets were really expensive.
[00:34:23.180 --> 00:34:27.980]   Well, the concert and the tickets are two different things.
[00:34:27.980 --> 00:34:32.220]   They're not coreferential.
[00:34:32.220 --> 00:34:41.220]   But in interpreting this sentence, what this really means is the tickets to the concert,
[00:34:41.220 --> 00:34:42.220]   right?
[00:34:42.220 --> 00:34:48.380]   And so there's sort of this hidden, not said dependence where this is referring back to
[00:34:48.380 --> 00:34:49.660]   the concert.
[00:34:49.660 --> 00:34:57.540]   And so what we say is that these, the tickets does have an anaphoric dependence on the concert,
[00:34:57.540 --> 00:34:59.500]   but they're not coreferential.
[00:34:59.500 --> 00:35:02.540]   And so that's referred to as bridging anaphora.
[00:35:02.540 --> 00:35:09.780]   And so overall, there's the simple case and the common case, which is pronominal anaphora,
[00:35:09.780 --> 00:35:13.220]   where it's both coreference and anaphora.
[00:35:13.220 --> 00:35:21.060]   You then have other cases of coreference, such as every time you see a mention of the,
[00:35:21.060 --> 00:35:25.940]   every time the United States has said it's coreferential with every other mention of
[00:35:25.940 --> 00:35:31.180]   the United States, but those don't have any textual dependence on each other.
[00:35:31.180 --> 00:35:37.780]   And then you have textual dependencies like bridging anaphora, which aren't coreference.
[00:35:37.780 --> 00:35:43.300]   That's probably about as, now I was going to say that's probably as much linguistics
[00:35:43.300 --> 00:35:49.440]   as you wanted to hear, but actually I have one more point of linguistics.
[00:35:49.440 --> 00:35:57.380]   One or two of you, but probably not many, might've been troubled by the fact that the
[00:35:57.380 --> 00:36:06.660]   term anaphora as a classical term means that you are looking backward for your antecedent,
[00:36:06.660 --> 00:36:12.700]   that the anaphora part of anaphora means that you're looking backward for your antecedent.
[00:36:12.700 --> 00:36:20.940]   And in sort of classical terminology, you have both anaphora and catephra, and it's
[00:36:20.940 --> 00:36:25.700]   catephra where you look forward for your antecedent.
[00:36:25.700 --> 00:36:28.540]   Catephra isn't that common, but it does occur.
[00:36:28.540 --> 00:36:31.260]   Here's a beautiful example of catephra.
[00:36:31.260 --> 00:36:33.740]   So this is from Oscar Wilde.
[00:36:33.740 --> 00:36:39.420]   From the corner of the divan of Persian saddlebags on which he was lying, smoking as was his
[00:36:39.420 --> 00:36:47.300]   custom innumerable cigarettes, Lord Henry Wotton could just catch the gleam of the honey
[00:36:47.300 --> 00:36:50.780]   sweet and honey colored blossoms of a laburnum.
[00:36:50.780 --> 00:36:51.780]   Okay.
[00:36:51.780 --> 00:37:02.900]   So in this example here, the he and then this his are actually referring to Lord Henry Wotton.
[00:37:02.900 --> 00:37:07.620]   And so these are both examples of catephra.
[00:37:07.620 --> 00:37:19.460]   But in modern linguistics, even though most reference to pronouns is backwards, we don't
[00:37:19.460 --> 00:37:23.460]   distinguish in terms of order.
[00:37:23.460 --> 00:37:28.660]   And so the term anaphora and anaphora is used for textual dependence, regardless of whether
[00:37:28.660 --> 00:37:30.660]   it's forward or backwards.
[00:37:30.660 --> 00:37:31.660]   Okay.
[00:37:31.660 --> 00:37:37.140]   A lot of details there, but taking stock of this.
[00:37:37.140 --> 00:37:45.780]   So the basic observation is language is interpreted in context, that in general, you can't work
[00:37:45.780 --> 00:37:53.760]   out the meaning or reference of things without looking at the context of the linguistic utterance.
[00:37:53.760 --> 00:37:57.260]   So we'd seen some simple examples before.
[00:37:57.260 --> 00:38:03.980]   So for something like word sense disambiguation, if you see just the words, the bank, you don't
[00:38:03.980 --> 00:38:05.380]   know what it means.
[00:38:05.380 --> 00:38:10.660]   And you need to look at a context to get some sense as to whether it means a financial institution
[00:38:10.660 --> 00:38:13.860]   or the bank of a river or something like that.
[00:38:13.860 --> 00:38:21.380]   And so anaphora and coreference give us additional examples where you need to be doing contextual
[00:38:21.380 --> 00:38:23.860]   interpretation of language.
[00:38:23.860 --> 00:38:29.420]   So when you see a pronoun, you need to be looking at the context to see what it refers
[00:38:29.420 --> 00:38:31.240]   to.
[00:38:31.240 --> 00:38:36.980]   And so if you think about text understanding as a human being does it, reading a story
[00:38:36.980 --> 00:38:42.280]   or an article, that we progress through the article from beginning to end.
[00:38:42.280 --> 00:38:49.220]   And as we do it, we build up a pretty complex discourse model in which new entities are
[00:38:49.220 --> 00:38:54.900]   introduced by mentions and then they're referred back to and relationships between them are
[00:38:54.900 --> 00:38:58.540]   established and they take actions and things like that.
[00:38:58.540 --> 00:39:03.300]   And it sort of seems like in our head that we sort of build up a kind of a complex graph
[00:39:03.300 --> 00:39:09.180]   like discourse representation of a piece of text with all these relationships.
[00:39:09.180 --> 00:39:15.060]   And so part of that is these anaphoric relationships and coreference that we're talking about here.
[00:39:15.060 --> 00:39:22.220]   And indeed in terms of CS224N, the only kind of whole discourse meaning that we're going
[00:39:22.220 --> 00:39:26.700]   to look at is looking a bit at anaphora and coreference.
[00:39:26.700 --> 00:39:32.060]   But if you want to see more about higher level natural language understanding, you can get
[00:39:32.060 --> 00:39:37.100]   more of this next quarter in CS224U.
[00:39:37.100 --> 00:39:45.620]   So I want to tell you a bit about several different ways of doing coreference.
[00:39:45.620 --> 00:39:51.200]   So broadly there are four different kinds of coreference models.
[00:39:51.200 --> 00:39:55.700]   So the traditional old way of doing it was rule-based systems.
[00:39:55.700 --> 00:40:01.780]   And this isn't the topic of this class and this is pretty archaic at this point.
[00:40:01.780 --> 00:40:04.400]   This is stuff from last millennium.
[00:40:04.400 --> 00:40:09.380]   But I wanted to say a little bit about it because it's actually kind of interesting
[00:40:09.380 --> 00:40:16.220]   as sort of food for thought as to how far along we are or aren't in solving artificial
[00:40:16.220 --> 00:40:20.740]   intelligence and really being able to understand texts.
[00:40:20.740 --> 00:40:25.340]   Then there are sort of classic machine learning methods of doing it, which you can sort of
[00:40:25.340 --> 00:40:31.900]   divide up as mentioned pair methods, mentioned ranking methods, and really clustering methods.
[00:40:31.900 --> 00:40:36.400]   And I'm sort of going to skip the clustering methods today because most of the work, especially
[00:40:36.400 --> 00:40:41.980]   most of the recent work, implicitly makes clusters by using either mentioned pair or
[00:40:41.980 --> 00:40:43.720]   mentioned ranking methods.
[00:40:43.720 --> 00:40:48.380]   And so I'm going to talk about a couple of neural methods for doing that.
[00:40:48.380 --> 00:40:49.800]   Okay.
[00:40:49.800 --> 00:40:55.380]   But first of all, let me just tell you a little bit about rule-based coreference.
[00:40:55.380 --> 00:41:05.300]   So there's a famous historical algorithm in NLP for doing pronoun and Afro resolution,
[00:41:05.300 --> 00:41:09.420]   which is referred to as the Hobbes algorithm.
[00:41:09.420 --> 00:41:12.100]   So everyone just refers to it as the Hobbes algorithm.
[00:41:12.100 --> 00:41:17.580]   And if you sort of look up a textbook like Draftsky and Martin's textbook, it's referred
[00:41:17.580 --> 00:41:19.660]   to as the Hobbes algorithm.
[00:41:19.660 --> 00:41:24.620]   But actually, if you go back to Jerry Hobbes, that's his picture over there in the corner,
[00:41:24.620 --> 00:41:32.460]   if you actually go back to his original paper, he refers to it as the naive algorithm.
[00:41:32.460 --> 00:41:40.220]   And his naive algorithm for pronoun coreference was this sort of intricate handwritten set
[00:41:40.220 --> 00:41:43.220]   of rules to work out coreference.
[00:41:43.220 --> 00:41:49.380]   So this is the start of the set of the rules, but there are more rules or more clauses of
[00:41:49.380 --> 00:41:53.540]   these rules for working out coreference.
[00:41:53.540 --> 00:42:01.220]   And this looks like a hot mess, but the funny thing was that this set of rules for determining
[00:42:01.220 --> 00:42:04.140]   coreference were actually pretty good.
[00:42:04.140 --> 00:42:12.300]   And so in the sort of 1990s and 2000s decade, even when people were using machine learning
[00:42:12.300 --> 00:42:18.460]   based systems for doing coreference, they'd hide into those machine learning based systems
[00:42:18.460 --> 00:42:24.220]   that one of their features was the Hobbes algorithm and that the predictions it made
[00:42:24.220 --> 00:42:29.580]   with a certain weight was then a feature in making your final decisions.
[00:42:29.580 --> 00:42:34.660]   And it's only really in the last five years that people have moved away from using the
[00:42:34.660 --> 00:42:35.660]   Hobbes algorithm.
[00:42:35.660 --> 00:42:40.340]   Let me give you a little bit of a sense of how it works.
[00:42:40.340 --> 00:42:43.740]   So the Hobbes algorithm, here's our example.
[00:42:43.740 --> 00:42:46.740]   This is an example from a Guardian book review.
[00:42:46.740 --> 00:42:50.860]   Niall Ferguson is prolific, well-paid and a snappy dresser.
[00:42:50.860 --> 00:42:53.220]   Stephen Moss hated him.
[00:42:53.220 --> 00:43:01.100]   So what the Hobbes algorithm does is we start with a pronoun.
[00:43:01.100 --> 00:43:08.180]   We start with a pronoun and then it says step one, go to the NP that's immediately dominating
[00:43:08.180 --> 00:43:09.180]   the pronoun.
[00:43:09.180 --> 00:43:18.760]   And then it says go up to the first NP or S, call this X and the path P.
[00:43:18.760 --> 00:43:26.080]   Then it says traverse all branches below X to the left of P, left to right, breadth first.
[00:43:26.080 --> 00:43:32.740]   So then it's saying to go left to right for other branches below breadth first.
[00:43:32.740 --> 00:43:34.940]   So that's sort of working down the tree.
[00:43:34.940 --> 00:43:41.260]   So we're going down and left to right and look for an NP.
[00:43:41.260 --> 00:43:42.340]   Okay.
[00:43:42.340 --> 00:43:44.220]   And here's an NP.
[00:43:44.220 --> 00:43:52.600]   But then we have to read more carefully and say propose as antecedent any NP that has
[00:43:52.600 --> 00:43:55.940]   an NP or S between it and X.
[00:43:55.940 --> 00:44:04.100]   Well, this NP here has no NP or S between NP and X.
[00:44:04.100 --> 00:44:06.540]   So this isn't a possible antecedent.
[00:44:06.540 --> 00:44:13.180]   So this is all very, you know, complex and handwritten, but basically he sort of fit
[00:44:13.180 --> 00:44:20.260]   into the clauses of this kind of a lot of facts about how the grammar of English works.
[00:44:20.260 --> 00:44:25.900]   And so what this is capturing is if you imagine a different sentence, you know, if you imagine
[00:44:25.900 --> 00:44:35.820]   the sentence, Stephen Moss's brother hated him.
[00:44:35.820 --> 00:44:40.980]   Well then Stephen Moss would naturally be coreferent with him.
[00:44:40.980 --> 00:44:50.700]   And in that case, well, precisely what you'd have is the noun phrase with, well, the noun
[00:44:50.700 --> 00:45:00.100]   phrase brother, and you'd have another noun phrase inside it for the Stephen Moss.
[00:45:00.100 --> 00:45:02.340]   And then that would go up to the sentence.
[00:45:02.340 --> 00:45:08.140]   So in the case of Stephen Moss's brother, when you looked at this noun phrase, there
[00:45:08.140 --> 00:45:14.060]   would be an intervening noun phrase before you got to the node X.
[00:45:14.060 --> 00:45:23.500]   And therefore Stephen Moss is a possible and in fact, good antecedent of him.
[00:45:23.500 --> 00:45:29.020]   And the algorithm would choose Stephen Moss, but the algorithm correctly captures that
[00:45:29.020 --> 00:45:34.980]   when you have the sentence, Stephen Moss hated him, that him cannot refer to Stephen Moss.
[00:45:34.980 --> 00:45:35.980]   Okay.
[00:45:35.980 --> 00:45:42.660]   So having worked that out, it then says if X is the highest S in the sentence, okay,
[00:45:42.660 --> 00:45:48.300]   so my X here is definitely the highest S in the sentence because I've got the whole sentence.
[00:45:48.300 --> 00:45:55.620]   What you should do is then traverse the parse trees of previous sentences in the order of
[00:45:55.620 --> 00:45:56.620]   recency.
[00:45:56.620 --> 00:46:03.940]   So what I should do now is sort of work backwards in the text, one sentence at a time, going
[00:46:03.940 --> 00:46:07.800]   backwards, looking for an antecedent.
[00:46:07.800 --> 00:46:13.100]   And then for each tree, traverse each tree left to right, breadth first.
[00:46:13.100 --> 00:46:18.680]   So then within each tree, I'm doing the same of going breadth first.
[00:46:18.680 --> 00:46:24.200]   So sort of working down and then going left to right with an equal breadth.
[00:46:24.200 --> 00:46:32.760]   And so hidden inside these clauses, it's capturing a lot of the facts of how coreference typically
[00:46:32.760 --> 00:46:33.760]   works.
[00:46:33.760 --> 00:46:42.440]   So what you find in English, I'll say, but in general, this is true of lots of languages,
[00:46:42.440 --> 00:46:46.600]   is that there are general preferences and tendencies for coreference.
[00:46:46.600 --> 00:46:52.400]   So a lot of the time, a pronoun will be coreferent with something in the same sentence, like
[00:46:52.400 --> 00:46:57.480]   Stephen Moss's brother hated him, but it can't be if it's too close to it.
[00:46:57.480 --> 00:47:02.220]   So you can't say Stephen Moss hated him and have the him be Stephen Moss.
[00:47:02.220 --> 00:47:08.280]   And if you're then looking for coreference that's further away, the thing it's coreferent
[00:47:08.280 --> 00:47:10.920]   with is normally close by.
[00:47:10.920 --> 00:47:15.440]   And so that's why you work backwards through sentences one by one.
[00:47:15.440 --> 00:47:20.680]   But then once you're looking within a particular sentence, the most likely thing it's going
[00:47:20.680 --> 00:47:28.880]   to be coreferent to is a topical noun phrase and default topics in English are subjects.
[00:47:28.880 --> 00:47:36.520]   So by doing things breadth first, left to right, a preferred antecedent is then a subject.
[00:47:36.520 --> 00:47:41.440]   And so this algorithm, I won't go through all the complex clauses five through nine,
[00:47:41.440 --> 00:47:48.200]   ends up saying, okay, what you should do is propose Niall Ferguson as what is coreferent
[00:47:48.200 --> 00:47:52.440]   to him, which is the obvious correct reading in this example.
[00:47:52.440 --> 00:47:53.440]   Okay.
[00:47:53.440 --> 00:47:54.440]   Phew.
[00:47:54.440 --> 00:47:56.340]   You probably didn't want to know that.
[00:47:56.340 --> 00:48:00.960]   And in some sense, the details of that aren't interesting.
[00:48:00.960 --> 00:48:10.280]   But what is I think actually still interesting in 2021 is what points Jerry Hobbes was actually
[00:48:10.280 --> 00:48:15.240]   trying to make last millennium.
[00:48:15.240 --> 00:48:19.580]   And the point he was trying to make was the following.
[00:48:19.580 --> 00:48:28.040]   So Jerry Hobbes wrote this algorithm, the naive algorithm, because what he said was,
[00:48:28.040 --> 00:48:36.240]   well, look, if you want to try and crudely determine coreference, well, there are these
[00:48:36.240 --> 00:48:37.880]   various preferences, right?
[00:48:37.880 --> 00:48:39.940]   There's the preference for same sentence.
[00:48:39.940 --> 00:48:42.280]   There's the preference for recency.
[00:48:42.280 --> 00:48:45.400]   There's a preference for topical things like subject.
[00:48:45.400 --> 00:48:49.860]   And there are things where, you know, if it has gender, it has to agree in gender.
[00:48:49.860 --> 00:48:54.300]   So there are sort of strong constraints of that sort.
[00:48:54.300 --> 00:49:02.660]   So I can write an algorithm using my linguistic mouse, which captures all the main preferences.
[00:49:02.660 --> 00:49:06.180]   And actually, it works pretty well.
[00:49:06.180 --> 00:49:10.300]   Doing that is a pretty strong baseline system.
[00:49:10.300 --> 00:49:19.580]   But what Jerry Hobbes wanted to argue is that this algorithm just isn't something you should
[00:49:19.580 --> 00:49:20.700]   believe in.
[00:49:20.700 --> 00:49:23.420]   This isn't a solution to the problem.
[00:49:23.420 --> 00:49:31.600]   This is just sort of, you know, making a best guess according to the preferences of what's
[00:49:31.600 --> 00:49:37.160]   most likely without actually understanding what's going on in the text at all.
[00:49:37.160 --> 00:49:43.720]   And so actually, what Jerry Hobbes wanted to argue was the so-called Hobbes algorithm
[00:49:43.720 --> 00:49:46.480]   now, he wasn't a fan of the Hobbes algorithm.
[00:49:46.480 --> 00:49:51.960]   He was wanting to argue that the Hobbes algorithm is completely inadequate as a solution to
[00:49:51.960 --> 00:49:53.080]   the problem.
[00:49:53.080 --> 00:49:57.760]   And the only way we'll actually make progress in natural language understanding is by building
[00:49:57.760 --> 00:50:02.580]   systems that actually really understand the text.
[00:50:02.580 --> 00:50:09.580]   And this is actually something that has come to the fore again more recently.
[00:50:09.580 --> 00:50:17.020]   So the suggestion is that in general, you can't work out coreference or pronominal and
[00:50:17.020 --> 00:50:21.860]   afro in particular unless you're really understanding the meaning of the text.
[00:50:21.860 --> 00:50:25.300]   And people look at pairs of examples like these ones.
[00:50:25.300 --> 00:50:30.520]   So she poured water from the pitcher into the cup until it was full.
[00:50:30.520 --> 00:50:38.800]   So think for just half a moment, well, what is it in that example that is full?
[00:50:38.800 --> 00:50:43.320]   So that what's full there is the cup.
[00:50:43.320 --> 00:50:49.160]   But then if I say she poured water from the pitcher into the cup until it was empty, well,
[00:50:49.160 --> 00:50:50.160]   what's empty?
[00:50:50.160 --> 00:50:52.740]   Well, that's the pitcher.
[00:50:52.740 --> 00:50:59.640]   And the point that is being made with this example is the only thing that's been changed
[00:50:59.640 --> 00:51:05.240]   in these examples is the adjective right here.
[00:51:05.240 --> 00:51:11.640]   So these two examples have exactly the same grammatical structure.
[00:51:11.640 --> 00:51:19.160]   So in terms of the Hobbes' naive algorithm, the Hobbes' naive algorithm necessarily has
[00:51:19.160 --> 00:51:23.040]   to predict the same answer for both of these.
[00:51:23.040 --> 00:51:24.480]   But that's wrong.
[00:51:24.480 --> 00:51:31.200]   You just cannot determine the correct pronoun antecedent based on grammatical preferences
[00:51:31.200 --> 00:51:34.520]   of the kind that are used in the naive algorithm.
[00:51:34.520 --> 00:51:40.040]   You actually have to conceptually understand about pitchers and cups and water and full
[00:51:40.040 --> 00:51:45.080]   and empty to be able to choose the right antecedent.
[00:51:45.080 --> 00:51:49.880]   Here's another famous example that goes along the same lines.
[00:51:49.880 --> 00:51:53.920]   So Terry Winograd, shown here as a young man.
[00:51:53.920 --> 00:51:59.240]   So long, long ago, Terry Winograd came to Stanford as the natural language processing
[00:51:59.240 --> 00:52:08.560]   faculty and Terry Winograd became disillusioned with the symbolic AI of those days and just
[00:52:08.560 --> 00:52:10.360]   gave it up altogether.
[00:52:10.360 --> 00:52:14.080]   And he reinvented himself as being an HCI person.
[00:52:14.080 --> 00:52:20.720]   And so Terry was then essentially the person who established the HCI program at Stanford.
[00:52:20.720 --> 00:52:29.760]   But before he lost faith in symbolic AI, he talked about the coreference problem and pointed
[00:52:29.760 --> 00:52:32.320]   out a similar pair of examples here.
[00:52:32.320 --> 00:52:39.440]   So we have the city council refused the women a permit because they feared violence versus
[00:52:39.440 --> 00:52:44.560]   the city council refused the women a permit because they advocated violence.
[00:52:44.560 --> 00:52:50.800]   So again, you have this situation where these two sentences have identical syntactic structure
[00:52:50.800 --> 00:52:54.200]   and they differ only in the choice of verb here.
[00:52:54.200 --> 00:53:03.680]   But once you add knowledge, common sense knowledge of how the human world works, well, how this
[00:53:03.680 --> 00:53:10.280]   should pretty obviously be interpreted that in the first one that they is referring to
[00:53:10.280 --> 00:53:17.640]   the city council, whereas in the second one that they is referring to the women.
[00:53:17.640 --> 00:53:26.120]   And so coming off of that example of Terry, these have been referred to as Winograd schemas.
[00:53:26.120 --> 00:53:31.920]   So Winograd schema challenges sort of choosing the right reference here.
[00:53:31.920 --> 00:53:35.800]   And so it's basically just doing pronominal and afro.
[00:53:35.800 --> 00:53:43.080]   But the interesting thing is people have been interested in what are tests of general intelligence
[00:53:43.080 --> 00:53:48.040]   and one famous general test of intelligence, though I won't talk about now, is the Turing
[00:53:48.040 --> 00:53:49.040]   test.
[00:53:49.040 --> 00:53:52.920]   And there's been a lot of debate about problems with the Turing test and is it good?
[00:53:52.920 --> 00:54:00.320]   And so in particular, Hector Levesque, who's a very well-known senior AI person, he actually
[00:54:00.320 --> 00:54:06.160]   proposed that a better alternative to the Turing test might be to do what he then dubbed
[00:54:06.160 --> 00:54:08.280]   Winograd schema.
[00:54:08.280 --> 00:54:13.880]   And Winograd schema is just solving pronominal coreference in cases like this where you have
[00:54:13.880 --> 00:54:18.280]   to have knowledge about the situation in the world to get the answer right.
[00:54:18.280 --> 00:54:24.560]   And so he's basically arguing that, you know, you can review really solving coreference
[00:54:24.560 --> 00:54:27.140]   as solving artificial intelligence.
[00:54:27.140 --> 00:54:33.080]   And that's sort of what the position that Hobbes wanted to advocate.
[00:54:33.080 --> 00:54:38.800]   So what he actually said about his algorithm was that the naive approach is quite good.
[00:54:38.800 --> 00:54:43.400]   Computationally speaking, it will be a long time before a semantically based algorithm
[00:54:43.400 --> 00:54:46.320]   is sophisticated enough to perform as well.
[00:54:46.320 --> 00:54:50.480]   And these results set a very high standard for any other approach to aim for.
[00:54:50.480 --> 00:54:55.400]   And he was proven right about that because there was sort of really took to around 2015
[00:54:55.400 --> 00:54:59.400]   before people thought they could do without the Hobbes algorithm.
[00:54:59.400 --> 00:55:04.480]   But then he notes, yet there is every reason to pursue a semantically based approach.
[00:55:04.480 --> 00:55:07.160]   The naive algorithm does not work.
[00:55:07.160 --> 00:55:09.640]   Anyone can think of examples where it fails.
[00:55:09.640 --> 00:55:15.120]   In these cases, it not only fails, it gives no indication that it has failed and offers
[00:55:15.120 --> 00:55:18.720]   no help in finding the real antecedent.
[00:55:18.720 --> 00:55:23.480]   And so I think this is actually still interesting stuff to think about because, you know, really
[00:55:23.480 --> 00:55:29.320]   for the kind of machine learning based coreference systems that we are building, you know, they're
[00:55:29.320 --> 00:55:36.720]   not a hot mess of rules like the Hobbes algorithm, but basically they're still sort of working
[00:55:36.720 --> 00:55:45.240]   out statistical preferences of what patterns are most likely and choosing the antecedent
[00:55:45.240 --> 00:55:46.800]   that way.
[00:55:46.800 --> 00:55:54.040]   They really have exactly the same deficiencies still that Hobbes was talking about, right?
[00:55:54.040 --> 00:55:57.360]   That they fail in various cases.
[00:55:57.360 --> 00:56:00.600]   It's easy to find places where they fail.
[00:56:00.600 --> 00:56:03.880]   The algorithms give you no idea when they fail.
[00:56:03.880 --> 00:56:08.480]   They're not really understanding the text in a way that a human does to determine the
[00:56:08.480 --> 00:56:09.520]   antecedent.
[00:56:09.520 --> 00:56:14.680]   So we still actually have a lot more work to do before we're really doing full artificial
[00:56:14.680 --> 00:56:16.920]   intelligence.
[00:56:16.920 --> 00:56:22.160]   But I'd best get on now and actually tell you a bit about some coreference algorithms.
[00:56:22.160 --> 00:56:23.320]   Right?
[00:56:23.320 --> 00:56:30.800]   So the simple way of thinking about coreference is to say that you're making just a binary
[00:56:30.800 --> 00:56:34.680]   decision about a reference pair.
[00:56:34.680 --> 00:56:43.760]   So if you have your mentions, you can then say, well, I've come to my next mention, she,
[00:56:43.760 --> 00:56:47.480]   I want to work out what it's coreferent with.
[00:56:47.480 --> 00:56:53.120]   And I can just look at all of the mentions that came before it and say, is it coreferent
[00:56:53.120 --> 00:56:54.120]   or not?
[00:56:54.120 --> 00:56:56.080]   And do a binary decision.
[00:56:56.080 --> 00:57:01.120]   So at training time, I'll be able to say I have positive examples, assuming I've got
[00:57:01.120 --> 00:57:06.260]   some data labeled for what's coreferent to what, as to these ones are coreferent.
[00:57:06.260 --> 00:57:11.440]   And I've got some negative examples of these ones are not coreferent.
