
[00:00:00.000 --> 00:00:01.280]   - Okay, we're recording.
[00:24:35.360 --> 00:24:39.040]   One is .save and the other is .export.
[00:24:39.040 --> 00:24:53.200]   So learner.export saves the contents,
[00:24:53.200 --> 00:24:56.100]   that's just not very well written.
[00:24:56.100 --> 00:25:00.060]   So the learner, self means that this learner,
[00:25:01.380 --> 00:25:04.820]   and it saves it to self.path/fname.
[00:25:04.820 --> 00:25:07.860]   So learner.path/fname using pickle.
[00:25:07.860 --> 00:25:16.620]   So basically what that means is if you call this
[00:25:16.620 --> 00:25:21.620]   learner.export, it's gonna save it into learner.path.
[00:25:21.620 --> 00:25:27.120]   So let's find out learner.path is what train images.
[00:25:27.120 --> 00:25:31.620]   And so this is actually whatever we passed in here.
[00:25:31.620 --> 00:25:39.740]   So if we were to save things somewhere else,
[00:25:39.740 --> 00:25:40.920]   we've got a couple of options.
[00:25:40.920 --> 00:25:42.500]   One is to change learner.path
[00:25:42.500 --> 00:25:45.060]   by setting it equal to some other path.
[00:25:45.060 --> 00:25:48.860]   Or we can just use an absolute path.
[00:25:48.860 --> 00:25:52.100]   So an absolute path is something that starts with slash.
[00:25:52.100 --> 00:25:55.140]   And so if I were to save it somewhere in storage,
[00:25:55.140 --> 00:26:00.140]   for example, then I can type slash storage slash whatever.
[00:26:00.140 --> 00:26:05.400]   Or maybe I wanna put it in slash notebooks somewhere.
[00:26:05.400 --> 00:26:11.100]   So these are some ways you can change
[00:26:11.100 --> 00:26:14.980]   where it's gonna save.
[00:26:22.820 --> 00:26:25.940]   I might even just put it into the current directory.
[00:26:25.940 --> 00:26:27.540]   I think that seems fine to me.
[00:26:27.540 --> 00:26:34.000]   Well, actually, where are we current directory?
[00:26:34.000 --> 00:26:35.700]   Yeah, put it in get paddy.
[00:26:35.700 --> 00:26:37.020]   That sounds fine.
[00:26:37.020 --> 00:26:40.740]   Or maybe to be a bit more sure
[00:26:40.740 --> 00:26:43.020]   just in case the directory ever changes.
[00:26:43.020 --> 00:26:46.340]   Be more specific.
[00:26:48.100 --> 00:26:53.100]   So then the other option is learn.save.
[00:26:53.100 --> 00:26:59.260]   So learn.save doesn't save the whole learner.
[00:26:59.260 --> 00:27:04.020]   It just saves the model and the optimizer state.
[00:27:04.020 --> 00:27:06.460]   The difference is that remember a learner
[00:27:06.460 --> 00:27:08.700]   doesn't just contain the model,
[00:27:08.700 --> 00:27:10.800]   but it also contains,
[00:27:10.800 --> 00:27:17.580]   it also contains information about the data looters
[00:27:17.580 --> 00:27:21.180]   and specifically what transformations are applied.
[00:27:21.180 --> 00:27:27.460]   So I don't really often, if ever use.save.
[00:27:27.460 --> 00:27:31.940]   The only reason I would use.save
[00:27:31.940 --> 00:27:34.660]   is like if I was writing something to like,
[00:27:34.660 --> 00:27:36.980]   and we've already have stuff this in fast.ai.
[00:27:36.980 --> 00:27:37.820]   Well, let's give an example.
[00:27:37.820 --> 00:27:40.540]   In fast.ai, we have something that's a callback
[00:27:40.540 --> 00:27:43.800]   that can save the model at the end of each e-park
[00:27:43.800 --> 00:27:45.940]   or each time it gets a better result
[00:27:45.940 --> 00:27:47.780]   than its previous best or whatever.
[00:27:47.780 --> 00:27:50.540]   In those cases, we might use.save
[00:27:50.540 --> 00:27:53.040]   'cause then you recreate a learner
[00:27:53.040 --> 00:27:56.640]   and you can .load into the learner.
[00:27:56.640 --> 00:27:57.920]   But yeah, for exporting something,
[00:27:57.920 --> 00:28:00.720]   I wanna be able to just load that exact thing
[00:28:00.720 --> 00:28:04.740]   with all the same details next time, .export's the way to go.
[00:28:04.740 --> 00:28:06.540]   So I'm gonna call .export.
[00:28:06.540 --> 00:28:09.380]   I'm gonna use, it's a conv next, it's small,
[00:28:09.380 --> 00:28:11.360]   and I did 12 epochs.
[00:28:11.360 --> 00:28:16.360]   Oh, and this needs to be an actual path.
[00:28:16.360 --> 00:28:22.800]   Normally we actually try to make these things
[00:28:22.800 --> 00:28:25.440]   do that for you, but this is less friendly than I would like.
[00:28:25.440 --> 00:28:26.320]   Sorry about that.
[00:28:26.320 --> 00:28:28.980]   There we go.
[00:28:28.980 --> 00:28:32.760]   Okay, so we should now be able to see it.
[00:28:32.760 --> 00:28:35.840]   There it is.
[00:28:35.840 --> 00:28:38.640]   Okay, and it looks like we need to give it a .pick or,
[00:28:38.640 --> 00:28:39.480]   or whatever.
[00:28:39.480 --> 00:28:40.320]   Okay.
[00:28:40.320 --> 00:28:47.760]   By default, it'll, with org transforms,
[00:28:47.760 --> 00:28:49.120]   which uses random resource crop,
[00:28:49.120 --> 00:28:53.720]   it'll randomly pick a subset of the crop of the image
[00:28:53.720 --> 00:28:56.060]   of this, up to this, of this size or bigger.
[00:28:56.060 --> 00:29:01.960]   And the validation set, it will pick out the center,
[00:29:01.960 --> 00:29:05.120]   it'll, you know, as all the width it can
[00:29:05.120 --> 00:29:08.720]   or all the height it can without changing the aspect ratio.
[00:29:08.720 --> 00:29:12.200]   If you say squish instead,
[00:29:12.200 --> 00:29:16.960]   it will grab the whole thing and change the aspect ratio
[00:29:16.960 --> 00:29:18.600]   to squish it into a square.
[00:29:18.600 --> 00:29:19.680]   Matt, you don't have to raise your hand.
[00:29:19.680 --> 00:29:20.680]   Just talk to me, mate.
[00:29:20.680 --> 00:29:21.520]   What's up?
[00:29:21.520 --> 00:29:25.440]   - Can you hear me?
[00:29:25.440 --> 00:29:26.440]   - I can't hear you.
[00:29:26.440 --> 00:29:28.440]   Does that mean you can't hear me?
[00:29:28.440 --> 00:29:30.680]   - I can hear, I can hear you,
[00:29:30.680 --> 00:29:33.320]   but I don't think you can hear you.
[00:29:33.320 --> 00:29:34.580]   You can't hear anybody.
[00:29:34.580 --> 00:29:36.960]   - So you do need to raise your hand.
[00:29:36.960 --> 00:29:41.960]   - I can't hear you, but you guys can hear me.
[00:29:41.960 --> 00:29:44.240]   Okay.
[00:29:44.240 --> 00:29:45.720]   - Yes.
[00:29:45.720 --> 00:29:47.620]   - Yes, we can hear you, Jeremy.
[00:29:47.620 --> 00:29:48.620]   - We can hear you.
[00:29:48.620 --> 00:29:51.480]   - I see why.
[00:29:51.480 --> 00:29:59.020]   Okay, say something.
[00:29:59.020 --> 00:30:01.280]   - Can you hear me now?
[00:30:01.280 --> 00:30:03.040]   - Yeah, yeah, I can.
[00:30:03.040 --> 00:30:05.660]   All right, ah, okay.
[00:30:05.660 --> 00:30:10.660]   All right, did you guys, were you guys saying anything
[00:30:10.660 --> 00:30:14.500]   I was meant to be hearing?
[00:30:14.500 --> 00:30:15.500]   Did I miss anything?
[00:30:15.500 --> 00:30:19.540]   - Yeah, why didn't you choose 12 epochs?
[00:30:19.540 --> 00:30:22.660]   - Oh, no particular reason.
[00:30:22.660 --> 00:30:27.180]   I just saw that this one was using 14,
[00:30:27.180 --> 00:30:30.340]   and I thought, oh, aim for something around there,
[00:30:30.340 --> 00:30:32.300]   but maybe just do a little bit less.
[00:30:32.300 --> 00:30:35.260]   I guess I often do around 12ish epochs.
[00:30:35.260 --> 00:30:40.260]   Like, it seems to, like, for fine-tuning things,
[00:30:40.260 --> 00:30:43.700]   which are somewhat similar to the original,
[00:30:43.700 --> 00:30:49.700]   it often seems to get pretty close to, you know,
[00:30:49.700 --> 00:30:53.020]   getting all the information it can,
[00:30:53.020 --> 00:30:54.220]   just as a rule of thumb.
[00:30:54.220 --> 00:30:59.620]   And that's a reasonable amount of time, too, I'd say.
[00:31:02.980 --> 00:31:06.740]   - My assumptions were that the number 460
[00:31:06.740 --> 00:31:11.740]   is because of the size of the images were 460.
[00:31:11.740 --> 00:31:14.980]   And then another assumption was 224,
[00:31:14.980 --> 00:31:19.980]   because when you show the team with the different,
[00:31:19.980 --> 00:31:23.780]   they come next, and the image size was 224,
[00:31:23.780 --> 00:31:25.640]   that's the reason that I selected that.
[00:31:25.640 --> 00:31:27.620]   Is that, okay, is that a correct assumption?
[00:31:27.620 --> 00:31:30.780]   - Well, they were 640 by 480, so actually,
[00:31:30.780 --> 00:31:33.940]   so we do this, look it up in the book,
[00:31:33.940 --> 00:31:35.940]   it's under the section called pre-sizing,
[00:31:35.940 --> 00:31:39.660]   and I think this is around what we always pre-size to.
[00:31:39.660 --> 00:31:42.600]   So actually, maybe 480 would have been better,
[00:31:42.600 --> 00:31:44.220]   because then it wouldn't have had to change
[00:31:44.220 --> 00:31:46.780]   one of the dimensions, 'cause there was 640 by 480.
[00:31:46.780 --> 00:31:50.840]   And then your size, you picked, I actually changed it.
[00:31:50.840 --> 00:31:54.720]   So Gerardo picked 230, but actually,
[00:31:54.720 --> 00:31:57.740]   most of these models that are trained on ImageNet
[00:31:57.740 --> 00:32:00.700]   are generally trained on 224.
[00:32:00.700 --> 00:32:02.380]   So I wanted them to be the same size
[00:32:02.380 --> 00:32:04.260]   as what they trained on.
[00:32:04.260 --> 00:32:05.860]   So that's why I picked 224.
[00:32:05.860 --> 00:32:09.540]   Yeah, so then Squish I've talked about.
[00:32:09.540 --> 00:32:14.740]   Oh, and then the other thing is the model I picked
[00:32:14.740 --> 00:32:17.620]   is one with a suffix in 22K.
[00:32:17.620 --> 00:32:21.180]   IN here refers to ImageNet,
[00:32:21.180 --> 00:32:24.400]   and the 22K refers to the version of ImageNet
[00:32:24.400 --> 00:32:26.340]   with 22,000 categories,
[00:32:26.340 --> 00:32:28.900]   as opposed to the version that's normally used,
[00:32:28.900 --> 00:32:30.540]   which only has 1,000 categories.
[00:32:30.540 --> 00:32:33.940]   So this is a ConvNEXT, which is small,
[00:32:33.940 --> 00:32:38.580]   but it's trained on ImageNet with a 22,000 category version.
[00:32:38.580 --> 00:32:40.120]   The 22,000 category version,
[00:32:40.120 --> 00:32:41.340]   it just has a lot more images
[00:32:41.340 --> 00:32:43.540]   covering a lot more different things.
[00:32:43.540 --> 00:32:44.700]   So there's a much higher chance
[00:32:44.700 --> 00:32:46.660]   that it's gonna have seen something like
[00:32:46.660 --> 00:32:51.780]   rice paddy illness than the one with 1,000 images,
[00:32:51.780 --> 00:32:54.760]   and it's just seen a lot more different pics, you know.
[00:32:58.100 --> 00:33:00.500]   So yeah, I would recommend always using
[00:33:00.500 --> 00:33:03.780]   the IN22K pre-trained models.
[00:33:03.780 --> 00:33:09.460]   So those are, I think, the key differences
[00:33:09.460 --> 00:33:11.100]   at the training stage.
[00:33:11.100 --> 00:33:18.280]   - Yeah, I think when you had put the export
[00:33:18.280 --> 00:33:20.540]   and then the error came, that's when it cut off.
[00:33:20.540 --> 00:33:23.100]   So I don't think you explained what you did to,
[00:33:23.100 --> 00:33:25.700]   we didn't catch the part where you explained the fix.
[00:33:26.780 --> 00:33:28.700]   - The fix.
[00:33:28.700 --> 00:33:31.940]   - Well, 'cause the export had an error, right?
[00:33:31.940 --> 00:33:34.460]   And then I guess you've now added the path.
[00:33:34.460 --> 00:33:37.240]   - I don't think it had an error, but I just,
[00:33:37.240 --> 00:33:38.800]   oh, I see, yes, yes, yes.
[00:33:38.800 --> 00:33:40.120]   Okay, yeah, the export had an error
[00:33:40.120 --> 00:33:43.540]   because this was a string and it actually is via path,
[00:33:43.540 --> 00:33:46.020]   which I'd say is an oversight on my part.
[00:33:46.020 --> 00:33:47.420]   I try to make it so that everything
[00:33:47.420 --> 00:33:49.260]   can accept a path or a string.
[00:33:49.260 --> 00:33:52.260]   So I would consider that a bug that ought to be fixed.
[00:33:52.260 --> 00:33:55.000]   So hopefully by the time people watch this video,
[00:33:55.000 --> 00:33:55.960]   that might've been fixed.
[00:33:55.960 --> 00:33:59.820]   But yes, at the moment, I had to change this to a path.
[00:33:59.820 --> 00:34:00.660]   Thank you.
[00:34:00.660 --> 00:34:08.400]   All right, so there's a few things we could do here, right?
[00:34:08.400 --> 00:34:13.340]   But one key issue is that the,
[00:34:13.340 --> 00:34:18.180]   is that particularly if you don't have method equals squish,
[00:34:18.180 --> 00:34:19.260]   when we do validation,
[00:34:19.260 --> 00:34:22.260]   it's only selecting the center of the image
[00:34:22.260 --> 00:34:25.100]   and that's a problem, right?
[00:34:25.100 --> 00:34:27.920]   We would like it to see all the image.
[00:34:27.920 --> 00:34:31.060]   And then another thing is that we've been training it
[00:34:31.060 --> 00:34:33.620]   with various different augmentations,
[00:34:33.620 --> 00:34:37.920]   but the validation set is any of those augmentations.
[00:34:37.920 --> 00:34:41.780]   So there's a trick you can use,
[00:34:41.780 --> 00:34:44.860]   which you should particularly use if you don't use squish
[00:34:44.860 --> 00:34:47.620]   and it's effectively cropping into the center,
[00:34:47.620 --> 00:34:50.380]   which is something called test time augmentation.
[00:34:50.380 --> 00:34:52.980]   And in test time augmentation,
[00:34:52.980 --> 00:34:56.400]   we basically get
[00:34:56.400 --> 00:35:03.500]   multiple versions of each image.
[00:35:03.500 --> 00:35:04.660]   We actually by default get
[00:35:04.660 --> 00:35:07.580]   four different randomly augmented versions of each image.
[00:35:07.580 --> 00:35:12.960]   And plus the unaugmented version,
[00:35:12.960 --> 00:35:14.700]   we get the prediction on every one
[00:35:14.700 --> 00:35:16.960]   and then we take their average.
[00:35:16.960 --> 00:35:19.560]   And that's called test time augmentation.
[00:35:19.560 --> 00:35:21.580]   And as I said, it's gonna work particularly well
[00:35:21.580 --> 00:35:23.060]   without the squish,
[00:35:23.060 --> 00:35:25.260]   but it ought to work well even with the squish.
[00:35:25.260 --> 00:35:28.060]   So to get those predictions,
[00:35:28.060 --> 00:35:32.360]   let's first of all make sure we can replicate
[00:35:32.360 --> 00:35:35.180]   this error rate manually, right?
[00:35:35.180 --> 00:35:37.220]   So if we go
[00:35:37.220 --> 00:35:48.620]   probabilities, targets equals learn.get preds
[00:35:51.420 --> 00:35:54.400]   and we pass in the validation set.
[00:35:54.400 --> 00:36:01.040]   And then we should find that if we ask now
[00:36:01.040 --> 00:36:04.200]   for the error rate, shift tab,
[00:36:04.200 --> 00:36:08.220]   so the inputs of the probabilities
[00:36:08.220 --> 00:36:11.420]   and the targets of the targets, there we go.
[00:36:11.420 --> 00:36:14.440]   Okay, so that's our 2.02% error rate.
[00:36:14.440 --> 00:36:16.100]   So we've replicated that.
[00:36:16.100 --> 00:36:20.580]   Okay, so now we've got that 2.02.
[00:36:20.580 --> 00:36:24.240]   I would then try out TTA.
[00:36:24.240 --> 00:36:27.980]   And of course, before we use a new function,
[00:36:27.980 --> 00:36:30.320]   we would always read its documentation.
[00:36:30.320 --> 00:36:36.240]   Here we are, .TTA.
[00:36:36.240 --> 00:36:38.540]   So return the predictions on some dataset
[00:36:38.540 --> 00:36:39.900]   or some data loader.
[00:36:39.900 --> 00:36:44.280]   We get the predictions n times by default four
[00:36:44.280 --> 00:36:47.800]   using the training set transformations.
[00:36:49.580 --> 00:36:51.300]   Great, oh, and instead of getting
[00:36:51.300 --> 00:36:52.580]   the average of predictions,
[00:36:52.580 --> 00:36:54.580]   we could also get the max of predictions.
[00:36:54.580 --> 00:36:58.940]   Cool, and the other thing
[00:36:58.940 --> 00:37:01.380]   which I definitely encourage you to do
[00:37:01.380 --> 00:37:06.140]   is it's always good to look at the source code
[00:37:06.140 --> 00:37:09.420]   'cause my claim is that fast AI functions
[00:37:09.420 --> 00:37:10.820]   are generally not very big.
[00:37:10.820 --> 00:37:13.980]   And like also quite a bit of it's stuff
[00:37:13.980 --> 00:37:15.300]   you can kind of skip over, right?
[00:37:15.300 --> 00:37:17.340]   This kind of like, oh, what if it's none?
[00:37:17.340 --> 00:37:18.180]   What if it's none?
[00:37:18.180 --> 00:37:19.540]   Like this is just setting defaults.
[00:37:19.540 --> 00:37:21.100]   You can kind of skip it.
[00:37:21.100 --> 00:37:22.780]   Try finally is you can skip
[00:37:22.780 --> 00:37:24.620]   'cause it's just error handling.
[00:37:24.620 --> 00:37:28.460]   With, you can pretty much split progress bars.
[00:37:28.460 --> 00:37:29.940]   You can pretty much skip.
[00:37:29.940 --> 00:37:36.260]   So the actual work starts happening here.
[00:37:36.260 --> 00:37:40.660]   We're gonna call self.get preds passes in a data loader
[00:37:40.660 --> 00:37:43.800]   and then it catenates that all together.
[00:37:43.800 --> 00:37:47.020]   And then it takes either the maximum or the main
[00:37:47.020 --> 00:37:50.100]   depending on whether you asked for the max or not.
[00:37:50.100 --> 00:37:55.060]   And it also grabs it for the validation set data loader.
[00:37:55.060 --> 00:38:07.060]   Yeah, so you kind of get the idea.
[00:38:07.060 --> 00:38:11.460]   So let's run it.
[00:38:11.460 --> 00:38:14.420]   See if we can beat 2.02%.
[00:38:14.420 --> 00:38:19.420]   So you can see here it's running at four times
[00:38:19.420 --> 00:38:25.020]   for each of the four augmented versions.
[00:38:25.020 --> 00:38:29.500]   And then it will run at one time
[00:38:29.500 --> 00:38:31.020]   for the non-augmented version.
[00:38:31.020 --> 00:38:37.100]   Okay, and it beat it, but just by a little bit.
[00:38:37.100 --> 00:38:39.500]   And then, you know, another thing is, well,
[00:38:39.500 --> 00:38:44.500]   what if we did the non-maximum?
[00:38:44.500 --> 00:38:52.020]   Use max equals false.
[00:38:52.020 --> 00:38:55.620]   Use max equals true.
[00:38:55.620 --> 00:38:58.180]   Use the maximum instead of the average.
[00:38:58.180 --> 00:39:00.100]   Yeah, I kind of wish I didn't have the squish in now,
[00:39:00.100 --> 00:39:02.060]   but I don't want you guys to have to wait 10 minutes
[00:39:02.060 --> 00:39:04.580]   for it to retrain 'cause then it's much more clearly
[00:39:04.580 --> 00:39:06.380]   see the benefit of using TTA.
[00:39:06.380 --> 00:39:11.380]   That's interesting, that one's worse.
[00:39:11.380 --> 00:39:24.900]   So I generally find that when not using squish,
[00:39:24.900 --> 00:39:30.060]   that using TTA and use max equals true is best.
[00:39:30.060 --> 00:39:34.340]   Okay, so now we've done all that.
[00:39:34.340 --> 00:39:38.260]   We can try and submit this one to Kaggle.
[00:39:38.260 --> 00:39:44.060]   So we can just repeat basically what we had yesterday,
[00:39:44.060 --> 00:39:45.780]   but instead of get preds,
[00:39:45.780 --> 00:39:50.860]   we'll do TTA.
[00:39:50.860 --> 00:40:00.340]   Now there's no width decoded, I don't think, for TTA.
[00:40:00.340 --> 00:40:03.260]   So we're gonna have to do a bit of extra work here.
[00:40:03.260 --> 00:40:07.780]   So this is gonna give us the probabilities and the targets.
[00:40:07.780 --> 00:40:26.820]   And so the probabilities, each row is gonna contain
[00:40:26.820 --> 00:40:30.900]   a probability for each element of the vocab.
[00:40:30.900 --> 00:40:32.980]   (laughs)
[00:40:32.980 --> 00:40:47.100]   So we can take a look.
[00:40:47.100 --> 00:40:50.500]   And so it's a,
[00:40:50.500 --> 00:40:56.740]   so for each of the 3,469 things in the test set,
[00:40:56.740 --> 00:40:58.620]   there are 10 probabilities,
[00:40:58.620 --> 00:41:01.460]   which presumably means the length of the vocab is 10,
[00:41:01.460 --> 00:41:07.260]   which it is.
[00:41:07.260 --> 00:41:14.340]   Great, so to find, so what we wanna do is find out,
[00:41:14.340 --> 00:41:15.740]   well, what's it actually predicting?
[00:41:15.740 --> 00:41:16.660]   And the thing it's predicting
[00:41:16.660 --> 00:41:19.620]   is whatever thing has the highest probability.
[00:41:19.620 --> 00:41:21.340]   So we're gonna go through each row
[00:41:21.340 --> 00:41:22.740]   and find the index of the thing
[00:41:22.740 --> 00:41:24.340]   with the highest probability.
[00:41:24.340 --> 00:41:28.940]   So in math and PyTorch, NumPy, that's called argmax.
[00:41:28.940 --> 00:41:32.740]   So argmax is the index of the thing with the highest value.
[00:41:32.740 --> 00:41:35.740]   So robs.orgmax.
[00:41:35.740 --> 00:41:45.460]   And so what do we want to take the maximum over,
[00:41:45.460 --> 00:41:46.500]   which dimension?
[00:41:46.500 --> 00:41:49.340]   So we wanna do it over rows,
[00:41:49.340 --> 00:41:52.100]   which I think we say dimension equals one.
[00:41:53.100 --> 00:41:55.260]   (silence)
[00:41:55.260 --> 00:42:03.420]   There we go.
[00:42:03.420 --> 00:42:04.820]   So that's the correct shape.
[00:42:04.820 --> 00:42:07.740]   So now we should be able to do
[00:42:07.740 --> 00:42:09.220]   the same thing we did yesterday,
[00:42:09.220 --> 00:42:11.860]   which is to convert that into a series.
[00:42:11.860 --> 00:42:18.140]   And now we should be able to run
[00:42:21.860 --> 00:42:22.700]   this mapping.
[00:42:22.700 --> 00:42:25.500]   Now, I realized actually this thing we did yesterday
[00:42:25.500 --> 00:42:28.980]   where we went K colon V for K comma V in enumerate,
[00:42:28.980 --> 00:42:32.420]   is actually a really long way
[00:42:32.420 --> 00:42:34.900]   of just saying create a dictionary
[00:42:34.900 --> 00:42:43.700]   from those tuples.
[00:42:43.700 --> 00:42:47.740]   So when you create a dictionary,
[00:42:47.740 --> 00:42:48.860]   you can do it like this.
[00:42:48.860 --> 00:42:51.020]   (silence)
[00:42:51.020 --> 00:42:55.380]   Right?
[00:42:55.380 --> 00:42:59.900]   Or you could do this.
[00:42:59.900 --> 00:43:13.420]   Here's a tuple of tuples.
[00:43:13.420 --> 00:43:15.580]   (silence)
[00:43:15.580 --> 00:43:20.100]   Okay, sorry.
[00:43:20.100 --> 00:43:21.740]   Here's a tuple of tuples.
[00:43:21.740 --> 00:43:29.860]   And ideally, what we'd like is to call dict
[00:43:29.860 --> 00:43:34.860]   and pass in each pair of these as an argument to it.
[00:43:34.860 --> 00:43:39.740]   And so Python actually has syntax to do exactly that
[00:43:39.740 --> 00:43:41.660]   for any function, not just dict,
[00:43:41.660 --> 00:43:43.980]   which is the function star star.
[00:43:43.980 --> 00:43:48.500]   And star star means take a mapping
[00:43:48.500 --> 00:43:52.220]   and pass it in as pairs.
[00:43:52.220 --> 00:43:58.860]   So that's what this does, right?
[00:43:58.860 --> 00:44:05.580]   That's gotta be a mapping which enumerate already is.
[00:44:05.580 --> 00:44:10.020]   So that's what star star,
[00:44:11.020 --> 00:44:12.660]   let's just pop this here.
[00:44:12.660 --> 00:44:15.660]   Why is this not working?
[00:44:15.660 --> 00:44:17.140]   I expect this to work.
[00:44:17.140 --> 00:44:20.060]   How annoying.
[00:44:20.060 --> 00:44:26.220]   Well, so much for that discussion.
[00:44:26.220 --> 00:44:36.780]   Annoying.
[00:44:38.540 --> 00:44:40.740]   All right, I'm gonna have to try to think of a better way
[00:44:40.740 --> 00:44:43.220]   to make this work, 'cause so far,
[00:44:43.220 --> 00:44:47.540]   similar problem to what we had yesterday.
[00:44:47.540 --> 00:44:56.460]   - I think you don't need the star star in that case.
[00:44:56.460 --> 00:45:00.540]   - Wow, that's nice, isn't it?
[00:45:00.540 --> 00:45:01.380]   Even better.
[00:45:01.380 --> 00:45:04.140]   Thanks for the trick.
[00:45:04.140 --> 00:45:06.460]   Okay, I didn't quite get to show you
[00:45:06.460 --> 00:45:08.980]   about how call star star is, but nevermind.
[00:45:08.980 --> 00:45:17.540]   Okay, so what I'm gonna do is I'm gonna make a copy
[00:45:17.540 --> 00:45:20.500]   of the last time we did a head of the submission.
[00:45:20.500 --> 00:45:23.940]   And one reason I'd like to do that for my new submission
[00:45:23.940 --> 00:45:26.940]   is to confirm that our new one looks somewhat similar.
[00:45:26.940 --> 00:45:30.060]   So previously we went hispanormal, downy, blast, blast.
[00:45:30.060 --> 00:45:32.500]   Now we go hispanormal, blast, blast, blast.
[00:45:32.500 --> 00:45:34.820]   And so this makes me feel comfortable that, okay,
[00:45:34.820 --> 00:45:36.740]   we haven't totally broken things.
[00:45:36.740 --> 00:45:40.700]   It's still giving largely the same results as before
[00:45:40.700 --> 00:45:41.820]   with a few changes.
[00:45:41.820 --> 00:45:45.140]   And so that's just something I like to do, okay.
[00:45:45.140 --> 00:45:51.540]   And then another thing I like to do is kind of keep track
[00:45:51.540 --> 00:45:53.620]   of stuff I've done before.
[00:45:53.620 --> 00:45:55.660]   I try not to delete things I've used before,
[00:45:55.660 --> 00:45:57.700]   and just pop it into a different notebook or a comment.
[00:45:57.700 --> 00:46:01.520]   So down here, I'm just gonna have non-TTA version,
[00:46:01.520 --> 00:46:03.420]   just in case I want that again later.
[00:46:03.420 --> 00:46:08.420]   All right, so we should be able to submit that now.
[00:46:08.420 --> 00:46:26.500]   Okay, so I use Control + R
[00:46:26.500 --> 00:46:28.420]   and then to start typing competitions.
[00:46:30.140 --> 00:46:35.140]   Okay, so this is now a Squish,
[00:46:35.140 --> 00:46:41.720]   conv next small, 12 Epoch, fine-tune, TTA.
[00:46:41.720 --> 00:46:46.720]   Fine-tune, TTA.
[00:46:46.720 --> 00:46:48.800]   (sniffs)
[00:46:48.800 --> 00:47:13.760]   Oh, what on earth did it do to my window?
[00:47:13.760 --> 00:47:17.940]   How do I get it back?
[00:47:17.940 --> 00:47:29.080]   Oh, it, oh, I see, I've got to, how does it happen?
[00:47:29.080 --> 00:47:32.820]   I've got two desktops going, I didn't notice that.
[00:47:32.820 --> 00:47:36.780]   All right, let's go and check out Kaggle.
[00:47:36.780 --> 00:47:38.860]   (sniffs)
[00:47:38.860 --> 00:47:47.660]   My submissions.
[00:47:47.660 --> 00:47:52.260]   Oh, look at that.
[00:47:52.260 --> 00:47:53.940]   Harada's still beating us, I think,
[00:47:53.940 --> 00:47:56.140]   but at least we've beaten our previous one.
[00:47:56.140 --> 00:47:58.500]   (laughs)
[00:47:58.500 --> 00:47:59.980]   - That's amazing.
[00:47:59.980 --> 00:48:00.820]   - That's great.
[00:48:00.820 --> 00:48:02.900]   Jump to our leaderboard position,
[00:48:02.900 --> 00:48:04.980]   we're gonna have a good battle on.
[00:48:04.980 --> 00:48:07.060]   (sniffs)
[00:48:07.060 --> 00:48:09.740]   34.
[00:48:09.740 --> 00:48:14.620]   - No, I think you beat me up.
[00:48:14.620 --> 00:48:18.740]   - Wait, I thought yours was better than that.
[00:48:18.740 --> 00:48:20.480]   - I think I'm a little bit lower.
[00:48:20.480 --> 00:48:24.740]   - Code.
[00:48:24.740 --> 00:48:28.380]   Oh, you were 97385.
[00:48:28.380 --> 00:48:34.380]   Okay, 979, oh, okay.
[00:48:35.260 --> 00:48:36.100]   That's not bad, right?
[00:48:36.100 --> 00:48:40.500]   Actually, 34th out of, I mean, it's just a fun competition.
[00:48:40.500 --> 00:48:43.580]   Nobody's really trying too hard, but still,
[00:48:43.580 --> 00:48:47.720]   it's nice to feel like you're in the mix.
[00:48:47.720 --> 00:48:48.580]   How far are we?
[00:48:48.580 --> 00:48:53.580]   Okay, so this person's still way ahead, right?
[00:48:53.580 --> 00:48:57.300]   They've got an error of 1.3%
[00:48:57.300 --> 00:49:00.140]   and we've got an error of 2.1%.
[00:49:00.140 --> 00:49:05.140]   You know, something else that would be fun
[00:49:05.140 --> 00:49:12.380]   would be, you know, like you can kind of
[00:49:12.380 --> 00:49:15.780]   super easily create an ensemble.
[00:49:15.780 --> 00:49:17.100]   So maybe I'll show you how I would go
[00:49:17.100 --> 00:49:18.600]   about creating an ensemble.
[00:49:18.600 --> 00:49:23.620]   To create an ensemble, I would be inclined to maybe,
[00:49:24.620 --> 00:49:29.620]   we could create an ensemble with an unsquished version,
[00:49:29.620 --> 00:49:37.600]   for instance.
[00:49:37.600 --> 00:49:40.180]   So what I would do is I'd kind of like copy all the stuff
[00:49:40.180 --> 00:49:45.180]   that we used to get our predictions, right?
[00:49:45.180 --> 00:49:48.940]   And then I would kind of paste them down here,
[00:49:50.380 --> 00:49:54.940]   go through and remove the stuff that isn't quite needed.
[00:49:54.940 --> 00:49:57.460]   Like so.
[00:49:57.460 --> 00:50:09.900]   This one's gonna be no squish.
[00:50:09.900 --> 00:50:16.220]   And we'll do max.
[00:50:17.460 --> 00:50:21.100]   Is max equals true.
[00:50:21.100 --> 00:50:28.100]   And so then to merge cells, it's shift M, M for merge.
[00:50:28.100 --> 00:50:37.980]   And don't need the error rate anymore.
[00:50:37.980 --> 00:50:47.380]   And so this is gonna be a second set
[00:50:47.380 --> 00:50:50.080]   of probabilities and a second set of targets.
