
[00:00:00.000 --> 00:00:05.280]   As a parent or mentor you have the awesome opportunity to help a young person build a future
[00:25:16.860 --> 00:25:23.820]   Shopping list. I think that would be something that I would push for because your Amazon shopping list tells a lot about you
[00:25:23.820 --> 00:25:28.080]   Let's say that they go to the Amazon shop list and they see that you're into
[00:25:28.580 --> 00:25:35.980]   Hardcore privacy or that you bought a Glock holster or X Y & Z now imagine how an attorney could spin that in a particular way
[00:25:35.980 --> 00:25:42.300]   So that an emotional jury could change their verdict based on what they find just one example about how?
[00:25:42.300 --> 00:25:46.140]   Being more careful in this case. You have an Amazon account
[00:25:46.140 --> 00:25:50.060]   There there ways we can we can talk about to to hide your Amazon purchases
[00:25:50.060 --> 00:25:50.340]   Of course
[00:25:50.340 --> 00:25:52.340]   The best way is simply to buy more things in person
[00:25:52.340 --> 00:25:57.420]   Especially sensitive things buy things in person with cash as opposed to buying them online
[00:25:57.500 --> 00:26:02.760]   But just one small example of how it can cost you and always practice kovat safety when you're doing that, right?
[00:26:02.760 --> 00:26:05.660]   Oh extra extra large mass for extra
[00:26:05.660 --> 00:26:07.500]   social responsibility
[00:26:07.500 --> 00:26:14.300]   Exactly. Exactly. So, how do you let's go let's talk about spending money privately. So the simplest way is
[00:26:14.300 --> 00:26:21.580]   You pull out physical currency you go to a place that has what you want. You make sure to wear your kovat mask
[00:26:22.140 --> 00:26:29.260]   for good protection of your fellow shoppers, and of course it has a side benefit of providing a little bit more privacy from all the
[00:26:29.260 --> 00:26:30.780]   cameras and
[00:26:30.780 --> 00:26:37.540]   You simply buy it that's obvious. But what if it's not that simple? What if there's something that's only available on Amazon?
[00:26:37.540 --> 00:26:40.780]   What if it's a digital product? How do you protect your privacy and buy things privately?
[00:26:40.780 --> 00:26:46.460]   Yeah, let me let me speak to cash really quickly. What what you said is true, and I think people
[00:26:46.460 --> 00:26:50.460]   Intellectually understand that but they don't go about doing that
[00:26:50.460 --> 00:26:55.500]   so if you believe in privacy and you don't want to live in a world where there are central bank digital currencies and
[00:26:55.500 --> 00:27:00.740]   the Federal Reserve is dictating what you can and can't purchase or where visa recently is
[00:27:00.740 --> 00:27:04.420]   setting limits on the carbon emissions of particular
[00:27:04.420 --> 00:27:07.760]   Purchase or they're talking about this about the particular purchase you buy
[00:27:07.760 --> 00:27:13.260]   Then you are a big proponent of cash and you want a cash culture and you want to fight against the war on cash
[00:27:13.260 --> 00:27:16.100]   So I would advocate anybody who's listening who believes in this stuff
[00:27:16.700 --> 00:27:20.420]   Seriously, stop the credit cards as much as you can take out cash
[00:27:20.420 --> 00:27:24.940]   Go to a bank that lets you that has a that has a high limit of taking out cash
[00:27:24.940 --> 00:27:27.380]   Stockpile some cash be careful how you
[00:27:27.380 --> 00:27:30.700]   How much you take with you where you put it hide it
[00:27:30.700 --> 00:27:36.060]   I have some suggestions for that in my book and then use it use more cash, please for
[00:27:36.060 --> 00:27:42.900]   For the good of your fellow man good of your fellow man, please use more cash now, obviously some things you have to buy online
[00:27:43.900 --> 00:27:50.280]   And I have some maybe more controversial chapters sections in my book about how to acquire things for free online
[00:27:50.280 --> 00:27:52.980]   We can talk about that only if you want to Joshua
[00:27:52.980 --> 00:27:57.900]   You can acquire all kinds of things for free online and make it up to the company in in various ways
[00:27:57.900 --> 00:28:04.020]   But for that thing on Amazon or wherever that you want to buy, of course Americans have
[00:28:04.020 --> 00:28:06.500]   privacy.com
[00:28:06.500 --> 00:28:08.620]   Which is one option now privacy.com
[00:28:08.620 --> 00:28:11.620]   Very popular. It's highly recommended
[00:28:12.300 --> 00:28:16.820]   The basically here's how this works. You set up an account with privacy.com
[00:28:16.820 --> 00:28:22.100]   I'm sure the audience actually now that I think about it knows because Josh you talked about this you set up the account you attach
[00:28:22.100 --> 00:28:27.300]   Your bank account. Alright, so there's no privacy that privacy.com knows what's going on here
[00:28:27.300 --> 00:28:30.860]   But the merchants in this case does not know
[00:28:30.860 --> 00:28:37.880]   So if you want to buy the poop hurry online and have it shipped to your house or not to your house
[00:28:38.260 --> 00:28:43.900]   In this case, you can use a privacy.com debit card, which you can create on the fly
[00:28:43.900 --> 00:28:45.500]   You can put whatever name you want
[00:28:45.500 --> 00:28:50.300]   You can put whatever address and billing address you want and it will it should go through
[00:28:50.300 --> 00:28:52.220]   So that's kind of how privacy.com works
[00:28:52.220 --> 00:28:59.280]   It allows you to hide your personal information from the merchants from the merchants and as well as from your bank because it will just say
[00:28:59.280 --> 00:29:07.740]   Transaction from privacy.com. That's one small way and an easy way and this is a free service because privacy.com makes their money
[00:29:08.100 --> 00:29:10.460]   as part of the as part of the
[00:29:10.460 --> 00:29:14.100]   Card fees so it's actually a free service
[00:29:14.100 --> 00:29:19.840]   So privacy.com is a way use as many gift cards as you can you can buy gift cards in cash
[00:29:19.840 --> 00:29:22.500]   this is a great way to
[00:29:22.500 --> 00:29:27.980]   Get all kinds of stuff online whether that's eBay eBay has gift cards or Amazon
[00:29:27.980 --> 00:29:30.420]   and
[00:29:30.420 --> 00:29:32.100]   That's a that's also a great way
[00:29:32.100 --> 00:29:37.900]   Of course if you really want your privacy then you're going to have to create a new Amazon account to use this gift card
[00:29:37.900 --> 00:29:40.220]   That is not attached to some of your personal information
[00:29:40.220 --> 00:29:46.420]   Let me just throw out kind of extreme scenario here of how to buy something privately on Amazon
[00:29:46.420 --> 00:29:53.360]   You would go to a public Wi-Fi spot. Let's say a Starbucks create a new Amazon account
[00:29:53.360 --> 00:29:57.780]   Put a small gift card onto it. Not a big one a small one
[00:29:58.300 --> 00:30:02.620]   Test that out with a very small purchase send that to a delivery place like a Whole Foods
[00:30:02.620 --> 00:30:05.860]   And this is how you train your account Amazon's becoming a little bit more
[00:30:05.860 --> 00:30:10.500]   Cracked down about how they how they view these kind of transactions
[00:30:10.500 --> 00:30:13.900]   So you'll have trained your account at that point if you wanted to you could just use
[00:30:13.900 --> 00:30:19.160]   Amazon gift cards purchase things and have them sent to a Whole Foods you arrive at the Whole Foods. I
[00:30:19.160 --> 00:30:21.980]   Like a little sticky note. I approach from the side
[00:30:21.980 --> 00:30:26.560]   I cover the camera at the Whole Foods drop-off and I pick up my stuff and I'm on my way
[00:30:27.020 --> 00:30:33.160]   So just a couple examples we can pivot whichever direction you want. I know that was going a little bit extreme for a second there
[00:30:33.160 --> 00:30:39.520]   well, it's it's an interesting thing because I've I've tested and done some of this stuff and I
[00:30:39.520 --> 00:30:47.540]   Consider myself a privacy enthusiast, but these are some of the things that I have discovered are a
[00:30:47.540 --> 00:30:55.940]   Step too far for me based upon the benefits for my life. So I've I've done this
[00:30:56.660 --> 00:31:02.780]   But I have discovered from several years of living without Amazon. I've discovered that
[00:31:02.780 --> 00:31:06.660]   Amazon is a major quality of life
[00:31:06.660 --> 00:31:12.300]   Improvement for me. In fact when my wife and I were talking about moving back to the United States
[00:31:12.300 --> 00:31:18.660]   We're talking about the benefits of why we would want to move back to the United States on the top three list was Amazon
[00:31:18.660 --> 00:31:22.060]   Because you it's such an amazing, you know
[00:31:22.580 --> 00:31:29.920]   Same day next day two days here comes the product as any product in the world shows up to my door. It's high quality
[00:31:29.920 --> 00:31:35.660]   I can see the reviews. It's just fabulous and for me and my family went three years and really didn't buy
[00:31:35.660 --> 00:31:36.660]   Well, excuse me
[00:31:36.660 --> 00:31:41.540]   We bought very little on Amazon because we were traveling who didn't want to wait for the boxes, etc
[00:31:41.540 --> 00:31:45.260]   And but what we would do is it was such a big deal that whenever we came to the United States
[00:31:45.260 --> 00:31:51.520]   We'd wind up with thousand fifteen hundred dollar Amazon orders to pick up and go home with bulging suitcases
[00:31:51.700 --> 00:31:53.700]   so what I wonder here is
[00:31:53.700 --> 00:31:59.620]   for the people who are so there's the hardcore guys like you who will go all the way and
[00:31:59.620 --> 00:32:05.340]   I believe that's the ideal but in this case maybe a good way to do it is
[00:32:05.340 --> 00:32:11.540]   First to say to someone think do it at least a couple of times because here's what I'm trying to articulate
[00:32:11.540 --> 00:32:16.620]   I have pulled back on privacy, but I'm glad that I have tested the things that I've done
[00:32:16.620 --> 00:32:22.660]   And so knowing how to do it if you need to do it is I think better than not knowing how to do it and never
[00:32:22.660 --> 00:32:28.460]   Having done it. So maybe for the in-between people you might maintain most of your Amazon stuff
[00:32:28.460 --> 00:32:34.620]   But it's fairly innocuous the fact that you order a certain brand of diapers for your child and that's on subscribe and save
[00:32:34.620 --> 00:32:39.180]   But practice setting up something and practice ordering things not
[00:32:39.180 --> 00:32:41.420]   Not anything that you're actually concerned about
[00:32:41.500 --> 00:32:46.760]   So that you have the skills of knowing how to do it in case the time comes when you might want to buy
[00:32:46.760 --> 00:32:48.380]   Something else for example
[00:32:48.380 --> 00:32:54.420]   I think for me the biggest thing that would be concerning if it were exposed for me personally as my library
[00:32:54.420 --> 00:33:01.060]   Because I read a huge amount and you could take any number of dozens and dozens of books in my library
[00:33:01.060 --> 00:33:06.180]   And you put those on a big screen with a lawyer and I'd be shocked
[00:33:06.180 --> 00:33:08.700]   I'd be scared stiff of what he could say about Joshua
[00:33:08.740 --> 00:33:12.100]   But anybody who knows Joshua knows that this is just Joshua
[00:33:12.100 --> 00:33:18.260]   So I refuse to buy books on Amazon for this reason, but I don't mind buying a lot of other stuff
[00:33:18.260 --> 00:33:22.540]   So maybe there's a balance that someone could integrate. Yeah, and I think of
[00:33:22.540 --> 00:33:28.180]   Somebody who may be the listeners are aware of Doug Casey. He recently
[00:33:28.180 --> 00:33:35.020]   Published a novel called assassin where he where he defends that practice. So of course if you have that on well
[00:33:35.020 --> 00:33:39.620]   That was after drug lord. That was after the what was the first one in the series?
[00:33:39.620 --> 00:33:42.180]   Speculating. Yes
[00:33:42.180 --> 00:33:46.580]   So yes, there's you're correct about this. So how about this? I
[00:33:46.580 --> 00:33:51.860]   did advocate a very hardcore strategy if you get a privacy.com account and
[00:33:51.860 --> 00:33:58.340]   You I have I have plenty of Amazon accounts. They use privacy.com card
[00:33:58.340 --> 00:34:00.500]   fairly simple
[00:34:00.500 --> 00:34:02.820]   Don't use my real name. Okay, great
[00:34:03.340 --> 00:34:10.820]   And you could send them either to a UPS box or to an Amazon drop-off location in that scenario
[00:34:10.820 --> 00:34:15.700]   What does Amazon know about you? They don't know your name. They don't know your address
[00:34:15.700 --> 00:34:20.880]   They don't really know anything about you. And so a subpoena could draw these things together
[00:34:20.880 --> 00:34:27.460]   But Amazon in that case doesn't know anything about you. So that's a less hardcore way of going about it
[00:34:27.460 --> 00:34:33.240]   Start start small, but I agree it can be important to and fun sometimes to push this all the way
[00:34:33.240 --> 00:34:39.400]   But some of this stuff just you have to sit down think about okay. What does this company know about me?
[00:34:39.400 --> 00:34:41.920]   What do I not want them to know and how can I get around that?
[00:34:41.920 --> 00:34:48.120]   Sometimes the solutions are fairly straightforward if you know some of the right tools privacy.com for instance
[00:34:48.120 --> 00:34:50.480]   All right. We talked about spending money
[00:34:50.480 --> 00:34:53.840]   What about
[00:34:53.840 --> 00:34:59.960]   Making money. What are the suggestions or thoughts you have about privately generating money?
[00:35:00.960 --> 00:35:04.440]   Yeah, this is a this is a topic of course that this show is all about
[00:35:04.440 --> 00:35:09.920]   Of course if you are self-employed then you are doing privacy correctly. We
[00:35:09.920 --> 00:35:12.160]   were talking about
[00:35:12.160 --> 00:35:19.760]   Being employed earlier in this episode and if you're getting a job these days, of course, you have to give your information to that company
[00:35:19.760 --> 00:35:21.240]   You will have to
[00:35:21.240 --> 00:35:24.480]   Give your social security number in the United States at the point of employment
[00:35:24.480 --> 00:35:29.200]   I wouldn't give it before then you might have to be part of that company's LinkedIn page
[00:35:29.200 --> 00:35:33.400]   You might have to give them your photo. You might have to post on your personal account various things
[00:35:33.400 --> 00:35:36.640]   you might have to use that company's equipment, which is
[00:35:36.640 --> 00:35:41.960]   by the way, be careful about mixing the the personal in the business always have your
[00:35:41.960 --> 00:35:44.640]   business device separate if that were the case
[00:35:44.640 --> 00:35:50.760]   But there's all kinds of exposing thing if you are exposing things if you are an employee if you are self-employed
[00:35:50.760 --> 00:35:53.160]   Of course, you don't have to give out that information
[00:35:53.480 --> 00:36:00.040]   You do business and you have a bank account in a name of your creation and that LLC or that business?
[00:36:00.040 --> 00:36:03.040]   Should be a fairly innocuous name that does not tie
[00:36:03.040 --> 00:36:10.760]   Tie things to you. And so when you have that you have the vehicle to acquire money privately now, how can you do that?
[00:36:10.760 --> 00:36:13.960]   Well, I would suggest going back and listening to all the episodes that
[00:36:13.960 --> 00:36:18.360]   Joshua talks about in my experience. I'll just kind of boil it boil it down
[00:36:18.400 --> 00:36:23.480]   You obviously have something to offer the world because you do that right now as a job
[00:36:23.480 --> 00:36:26.920]   You probably also have some kind of hobby that people would be interested in knowing
[00:36:26.920 --> 00:36:34.480]   so find a way to offer that service or offer that perspective in a very compelling way and
[00:36:34.480 --> 00:36:40.800]   starts to approach people get clients get some kind of a web presence and
[00:36:40.800 --> 00:36:43.240]   If you have the right work ethic
[00:36:43.560 --> 00:36:48.800]   And you follow some of the basic advice about there out there about how to be an entrepreneur
[00:36:48.800 --> 00:36:54.520]   You can have more clients and not be as vulnerable to the single client
[00:36:54.520 --> 00:37:00.680]   Who is your boss when you are employed? I think that that's a key idea
[00:37:00.680 --> 00:37:06.120]   I mean there's there are diminishing returns on business privacy and privately generating income
[00:37:06.120 --> 00:37:11.440]   There are some people for whom their ability to to generate income privately is literally a matter of life and death
[00:37:11.440 --> 00:37:14.880]   It's protecting them from from people who are tracking them down
[00:37:14.880 --> 00:37:20.840]   but for most of us it's not that big of a deal, but when you combine the lifestyle benefits and you combine the
[00:37:20.840 --> 00:37:25.600]   when you combine the lifestyle benefits you combine some of the
[00:37:25.600 --> 00:37:31.960]   Career benefits when you combine some of the security that can be had and then you add privacy on top of it
[00:37:31.960 --> 00:37:37.080]   it can be a compelling factor for many people to be able to generate money privately and
[00:37:39.240 --> 00:37:41.240]   It's I
[00:37:41.240 --> 00:37:45.440]   Thing I'm most passionate about is just simply helping people support their families
[00:37:45.440 --> 00:37:50.360]   There are a lot of people who if they couldn't generate income privately, especially through self-employment
[00:37:50.360 --> 00:37:54.880]   They're their children wouldn't eat because they don't have the right papers. They don't have the right permissions
[00:37:54.880 --> 00:37:57.960]   They're not the don't have the right, you know working documents
[00:37:57.960 --> 00:38:04.920]   and so the ability to generate money privately is a big big deal to a man's ability to feed himself and feed his children and
[00:38:05.640 --> 00:38:12.120]   It's important for all of us to maintain that and to help encourage the ability that people have to generate income privately
[00:38:12.120 --> 00:38:14.800]   yes for sure, I'll just
[00:38:14.800 --> 00:38:18.560]   talk a little bit for a second about the mechanics because I
[00:38:18.560 --> 00:38:22.560]   left that out, let's say for example you have a
[00:38:22.560 --> 00:38:28.080]   Service that you want to offer somebody you're a plumber and you quit your company and you want to be your own plumber
[00:38:28.080 --> 00:38:31.000]   I don't know all the qualifications and certifications and all the rest
[00:38:31.000 --> 00:38:35.200]   so maybe that's not a good example, but what you can do is create a
[00:38:35.640 --> 00:38:40.320]   Bitcoin wallet for example with Electrum and you can give out one of the addresses
[00:38:40.320 --> 00:38:45.360]   To your clients and they can pay you in Bitcoin. You don't have to have a bank account in that case
[00:38:45.360 --> 00:38:48.720]   There could be various reporting requirements, etc
[00:38:48.720 --> 00:38:51.880]   If you wanted to be in full compliance of the IRS, etc
[00:38:51.880 --> 00:38:55.640]   But that's a very simple thing you can do in a matter of minutes to be able to
[00:38:55.640 --> 00:39:04.140]   Get money in the form of Bitcoin from a service that you offer. So things are getting increasingly easy for people to get money
[00:39:05.140 --> 00:39:08.980]   All right, you have crossed you have just crossed the magic
[00:39:08.980 --> 00:39:12.540]   barrier that I was going next is into
[00:39:12.540 --> 00:39:17.700]   Bitcoin and I want to spend a good amount of time here because I think this is some of the most important area for us
[00:39:17.700 --> 00:39:23.200]   To focus on as far as the opportunities that are available to us and then actually practically how to do it
[00:39:23.200 --> 00:39:28.500]   I'm deeply invested in this because as I see it the biggest impediments right now to
[00:39:28.500 --> 00:39:31.260]   privacy in the financial space are
[00:39:32.740 --> 00:39:36.780]   Banks and various financial institutions who?
[00:39:36.780 --> 00:39:45.100]   Number one our data hogs like they love to suck up your data in order for there to be
[00:39:45.100 --> 00:39:52.980]   Giant repositories of information for more effective marketing and while I respect the hustle, I don't want to be in it
[00:39:52.980 --> 00:39:56.760]   Number two is the fact that they're all spies
[00:39:56.900 --> 00:40:03.460]   All right, any person any person who is affiliated with the financial institution any financial advisor any banker?
[00:40:03.460 --> 00:40:07.900]   They're all spies. I used to be one too all unpaid spies for
[00:40:07.900 --> 00:40:10.420]   the federal government and
[00:40:10.420 --> 00:40:14.620]   That there's just this culture of a lack of privacy. Although there are
[00:40:14.620 --> 00:40:18.040]   Properly enforced consumer financial laws
[00:40:18.040 --> 00:40:22.300]   I could make some arguments as to why bank secrecy in the United States is actually pretty good
[00:40:22.300 --> 00:40:25.780]   And I think those are fair arguments. It is a big is a big deal
[00:40:25.780 --> 00:40:30.340]   And and when you get into the world of banking, it's as I as I concern it as I see it
[00:40:30.340 --> 00:40:35.460]   It's one of the biggest issues that we face right now where your individual transactions are
[00:40:35.460 --> 00:40:37.500]   compiled
[00:40:37.500 --> 00:40:42.500]   organized collated for marketing purposes across various credit cards, etc
[00:40:42.500 --> 00:40:47.700]   And what's more important is that your transactions themselves are being scrutinized?
[00:40:48.180 --> 00:40:51.140]   By institutions who have no idea what's happening
[00:40:51.140 --> 00:40:56.100]   If you make a transaction with the wrong person you buy the wrong thing you wind up on a blacklist
[00:40:56.100 --> 00:40:58.040]   It's a major major concern
[00:40:58.040 --> 00:41:01.420]   so I'd like to take a few moments before we get into Bitcoin and
[00:41:01.420 --> 00:41:05.260]   Just ask you like how do you see the financial space?
[00:41:05.260 --> 00:41:11.180]   Tell some some stories or share some of the the depth of the the market data
[00:41:11.180 --> 00:41:17.020]   That's being collected and compiled based upon the simple act of opening a bank account or swiping a credit card
[00:41:18.020 --> 00:41:19.060]   Yeah, sure
[00:41:19.060 --> 00:41:24.420]   So I think most people are have a sense of what's going on in banking
[00:41:24.420 --> 00:41:29.940]   of course post 9/11 in places like the US and consequently in other places, especially the
[00:41:29.940 --> 00:41:37.860]   14 eyes countries who are it's basically a spy surveillance network of various countries and you have
[00:41:37.860 --> 00:41:43.100]   You have the five eyes nations, Australia, Canada, New Zealand
[00:41:43.100 --> 00:41:47.100]   UK and the United States and they're sharing a lot of this information and so
[00:41:47.740 --> 00:41:51.820]   Yes, there is all kinds of information being gathered by
[00:41:51.820 --> 00:41:58.020]   Banks and financial institutions. We just saw recently in the last month in the last few months and you've talked about this Josh
[00:41:58.020 --> 00:42:00.020]   the
[00:42:00.020 --> 00:42:02.380]   bar being suggested to be lowered for
[00:42:02.380 --> 00:42:08.160]   Transactions reported to the IRS. I can't recall did that did that what was the
[00:42:08.160 --> 00:42:15.640]   Conclusion to that pass didn't pass didn't pass but you can see it is certainly in the zeitgeist and so
[00:42:16.700 --> 00:42:18.700]   Here's the facts
[00:42:18.700 --> 00:42:25.740]   Anytime well, first of all, you have your money in a bank and I like to talk about self-sufficiency and as well as privacy
[00:42:25.740 --> 00:42:32.500]   You have your money in the bank and the bank essentially is the owner of that money. I don't like that
[00:42:32.500 --> 00:42:35.680]   That's why I like to hold as much cash in person as I can
[00:42:35.680 --> 00:42:42.800]   and when I hold more cash in person that not only gives me ownership, but it also gives me privacy because I am NOT sending
[00:42:42.800 --> 00:42:44.580]   that cash out to
[00:42:44.580 --> 00:42:47.920]   That money out to various people and places now
[00:42:47.920 --> 00:42:54.500]   Let's talk about some of the information being gathered on you. Of course if you're using a visa card
[00:42:54.500 --> 00:42:57.460]   Chase visa card whoever the company is
[00:42:57.460 --> 00:43:03.500]   They're collecting all kinds of marketing data people love to use their credit cards because they think that
[00:43:03.500 --> 00:43:06.680]   They're getting 5% back or whatever
[00:43:06.680 --> 00:43:11.620]   I think some of the studies show that people's depend on average 10% more when they use a credit card
[00:43:11.620 --> 00:43:15.660]   So I don't think in the end that you're winning in that
[00:43:15.660 --> 00:43:23.220]   In one of the greatest marketing campaigns in human history the the credit card and they're of course gathering all this all this information
[00:43:23.220 --> 00:43:24.700]   and
[00:43:24.700 --> 00:43:32.300]   Chase knows that you bought that gun at that store last week and this information is
[00:43:32.300 --> 00:43:34.700]   a
[00:43:34.700 --> 00:43:40.260]   Record of your life your interests where you were who you were with and
[00:43:41.220 --> 00:43:44.180]   In the same way we talked about the jury earlier on
[00:43:44.180 --> 00:43:47.940]   Chase can see your
[00:43:47.940 --> 00:43:52.860]   purchases on Amazon and everything and all of your other purchases
[00:43:52.860 --> 00:43:59.620]   So it is not a system that I want to be a part of I use more cash and you can use cryptocurrency
[00:43:59.620 --> 00:44:04.020]   Which is I think the direction that we're going. All right, so let's talk about cryptocurrency
[00:44:05.660 --> 00:44:12.460]   Bitcoin is totally secret right once what I spend out of my Bitcoin wallet is totally secret, right?
[00:44:12.460 --> 00:44:19.700]   Absolutely, Josh. So if if you were to send me some Bitcoin I could click on your wallet to see how
[00:44:19.700 --> 00:44:22.900]   Wealthy you are in terms of Bitcoin see
[00:44:22.900 --> 00:44:26.260]   Who else and everybody you have ever paid?
[00:44:26.260 --> 00:44:30.540]   Possibly where you were when you paid them if I was a little bit more savvy
[00:44:30.540 --> 00:44:35.820]   And of course the IRS can tell that and more and all of these open-source intelligence gatherers
[00:44:35.820 --> 00:44:40.980]   Can also see a whole lot more so Bitcoin the idea of Bitcoin is that there's no central authority
[00:44:40.980 --> 00:44:43.380]   which means that everybody is the authority and
[00:44:43.380 --> 00:44:50.580]   The way that works is you have a public ledger, right the blockchain and this documents
[00:44:50.580 --> 00:44:57.860]   Every transaction that occurs so that the entire Bitcoin community is verifying the transaction. They are the authority
[00:44:57.860 --> 00:45:00.820]   So we don't have a central authority. Okay, fantastic. Great
[00:45:00.820 --> 00:45:07.220]   But that also means that you can go back and analyze and study and see all of the connections
[00:45:07.220 --> 00:45:11.560]   How much Bitcoin is in each wallet all this kind of information? It's not
[00:45:11.560 --> 00:45:20.020]   Private in that sense, but you can make it private if when somebody traces it back it comes back to nothing
[00:45:20.020 --> 00:45:22.860]   So that obviously I'm joking
[00:45:22.860 --> 00:45:28.780]   But I think that it's often misunderstood that people think that well because people have used Bitcoin to buy drugs and it's all private
[00:45:28.780 --> 00:45:34.700]   It's actually far more public in terms of the transaction data. It's far more public than anything else
[00:45:34.700 --> 00:45:39.380]   It's far more public than a credit card transaction is in terms of publicness
[00:45:39.380 --> 00:45:44.700]   But that doesn't mean that there aren't ways to to use it privately
[00:45:44.700 --> 00:45:49.740]   So let's say that I did want to interact more with Bitcoin because I find it
[00:45:50.740 --> 00:45:52.900]   Doesn't matter why let's say that I wanted to
[00:45:52.900 --> 00:45:55.700]   transact more with Bitcoin
[00:45:55.700 --> 00:45:58.060]   what are some of the ways to
[00:45:58.060 --> 00:46:04.600]   Acquire and use Bitcoin in a more private way to support the growth of the Bitcoin
[00:46:04.600 --> 00:46:08.820]   Environment for whatever reason is important to you
[00:46:08.820 --> 00:46:14.260]   That is really the correct question and one that almost nobody
[00:46:14.260 --> 00:46:19.020]   Asks when I get into Bitcoin most people they're told to get into Bitcoin
[00:46:19.020 --> 00:46:25.660]   I think for the wrong reasons because they're told that it's going up and it will never go down and that's probably not the right reason
[00:46:25.660 --> 00:46:28.940]   And so people typically say well, yeah get a coinbase account or something like that
[00:46:28.940 --> 00:46:34.660]   well, the idea of Bitcoin is that there's no central authority that you own your thing and
[00:46:34.660 --> 00:46:40.580]   By going to a place like coinbase now coinbase owns your Bitcoin and they've reported all of that
[00:46:40.580 --> 00:46:44.620]   To the IRS and anybody else who comes with the proper government
[00:46:45.140 --> 00:46:52.020]   Documentation and you've seen recently in Congress in the United States. These crypto companies are bending over backward to be regulated
[00:46:52.020 --> 00:46:55.740]   they would love to be regulated because they're making a lot of money and
[00:46:55.740 --> 00:47:01.180]   they do not believe in what I see as the essence of Bitcoin, which is to be a
[00:47:01.180 --> 00:47:07.660]   Currency that is outside of any government structure. Of course, that is an existential threat. So
[00:47:07.660 --> 00:47:10.720]   To have private Bitcoin
[00:47:10.720 --> 00:47:13.980]   Okay, and we've already explained how the transactions
[00:47:14.660 --> 00:47:21.100]   Cannot be private, but if people trace that back and they can't find a name, they can't find a coinbase account
[00:47:21.100 --> 00:47:25.100]   They can't find any information. That's a good start. So, how can you do that? Well
[00:47:25.100 --> 00:47:32.620]   One simple way is to visit a Bitcoin ATM. There's a great website coin ATM radar
[00:47:32.620 --> 00:47:38.460]   calm coin ATM radar calm you can also try Google Maps and
[00:47:39.820 --> 00:47:46.460]   Find a Bitcoin near you unfortunately most of these or fortunately for the American audience most of these are in the United States
[00:47:46.460 --> 00:47:52.260]   But these are growing by the day now a Bitcoin ATM is a repository
[00:47:52.260 --> 00:48:00.180]   It looks like a regular ATM you walk up you approach from the side and cover the screen cover the camera because why not?
[00:48:00.180 --> 00:48:02.540]   and
[00:48:02.540 --> 00:48:08.980]   You go through the go through the prompts on the screen and hopefully it will let you insert your cash
[00:48:09.500 --> 00:48:10.340]   and
[00:48:10.340 --> 00:48:14.860]   Get Bitcoin to your wallet now in order to do that. Let's let's take a couple steps back
[00:48:14.860 --> 00:48:17.700]   so you'll want to have a
[00:48:17.700 --> 00:48:19.980]   Bitcoin wallet
[00:48:19.980 --> 00:48:21.540]   That is not
[00:48:21.540 --> 00:48:25.620]   Online only that's not really online except to interact with the blockchain
[00:48:25.620 --> 00:48:30.400]   The one that I recommend a lot of people recommend is Electrum. This is an easy wallet
[00:48:30.400 --> 00:48:33.180]   You can download it right now in a few seconds Electrum
[00:48:33.740 --> 00:48:40.420]   You download Electrum you go through the process of setting up the account make sure to note your seed phrase
[00:48:40.420 --> 00:48:44.500]   The seed phrase is the identity of your Bitcoin. Don't lose that
[00:48:44.500 --> 00:48:47.060]   Write that down somewhere put it in the safe
[00:48:47.060 --> 00:48:53.920]   And at that point you have your Electrum wallet and you can receive and send Bitcoin with it now
[00:48:53.920 --> 00:48:58.620]   When the Bitcoin ATM asks for your address you would give it that address
[00:48:59.620 --> 00:49:06.660]   Hopefully it's accepted your cash without you giving any information and then you it will process that transaction in about 30 minutes
[00:49:06.660 --> 00:49:09.720]   Now Bitcoin ATMs have some problems a lot of them have
[00:49:09.720 --> 00:49:13.960]   Know your customer KYC things that you have to do
[00:49:13.960 --> 00:49:19.860]   It will want you to scan your driver's license, obviously, I don't advocate
[00:49:19.860 --> 00:49:24.420]   Doing that it might want various information from you if it asks for a name
[00:49:25.020 --> 00:49:30.860]   Give it a name if it asks for a phone number. There's a great website that I use sometimes
[00:49:30.860 --> 00:49:35.740]   It's called free phone num and you am free phone num
[00:49:35.740 --> 00:49:42.100]   calm and you can make use of a few different numbers that typically can
[00:49:42.100 --> 00:49:49.140]   Receive SMS text messages. And so if you were to go to the ATM and you have your phone out you go to the website
[00:49:49.140 --> 00:49:53.980]   free phone num calm then you can use one of those phone numbers and
[00:49:54.380 --> 00:49:56.660]   Hopefully if you give them a phone number and a name
[00:49:56.660 --> 00:50:00.060]   you can be on your way and get your
[00:50:00.060 --> 00:50:05.220]   Bitcoin from the ATM. I know I'm kind of going on and on there are a lot of variables here
[00:50:05.220 --> 00:50:08.020]   It's really not easy to get Bitcoin
[00:50:08.020 --> 00:50:14.780]   Privately the ATM is is simply one method and of course the ATM is going to charge you 10 15 percent
[00:50:14.780 --> 00:50:19.380]   For for your for your troubles a few of the other ways to get Bitcoin privately
[00:50:19.380 --> 00:50:22.100]   I'll just kind of cover them and you can tell me if you want to
[00:50:23.100 --> 00:50:28.700]   Go into more detail, of course, if you are part of some kind of community you can go to a conference
[00:50:28.700 --> 00:50:33.120]   You can buy Bitcoin in cash. You can see if your store
