
[00:00:00.000 --> 00:00:04.660]   Elite status with airlines and hotels. Who needs it, right? Well, six months ago,
[00:24:07.660 --> 00:24:13.520]   one. And then at the end, you win, and you save the princess and everything's great. And each one of
[00:24:13.520 --> 00:24:18.960]   these challenges to get these statuses feels like that. It's like, oh, I want to get Hyatt status, but I
[00:24:18.960 --> 00:24:23.080]   want to find out if it's worth it. So I get to build this model and I get to figure out whether the ROI is
[00:24:23.080 --> 00:24:30.620]   good. Well, the ROI is good in that the amount of Hyatt points and milestone benefits I've earned
[00:24:30.620 --> 00:24:37.060]   are technically worth an amount that is greater than what I would have gotten if I used 3% cashback
[00:24:37.060 --> 00:24:42.880]   card. However, it's only greater if I actually use those benefits. And right now, we're sitting on
[00:24:42.880 --> 00:24:48.260]   millions of points and miles that we haven't used. And so I have to ask myself, if I look hard in the
[00:24:48.260 --> 00:24:55.740]   mirror, am I actually getting the value that I believe I'm getting? And in the points and miles
[00:24:55.740 --> 00:24:59.800]   world, if you talk to people that play it really, really hard, earning millions and millions and
[00:24:59.800 --> 00:25:03.960]   millions of points a month, what they find out is that they can't use the points fast enough and they
[00:25:03.960 --> 00:25:09.460]   end up cashing them out in various ways at way lower value than what you think there should be worth.
[00:25:09.460 --> 00:25:15.740]   Right? If you're someone who only has a million Amex points, you might be able to use them for travel
[00:25:15.740 --> 00:25:19.680]   for the next three or four years. But if you had 50 million Amex points, you might never be able to use
[00:25:19.680 --> 00:25:24.980]   them for travel because there's just too many. And so even though there might be some amazing redemption
[00:25:24.980 --> 00:25:29.200]   that gets you two or three or four cents per point, if you're never going to take that redemption
[00:25:29.200 --> 00:25:34.520]   because you have too many points, then it's not worth that. And so I'm at a point where looking hard in the
[00:25:34.520 --> 00:25:40.720]   mirror is telling me that I should probably earn less points. I should probably stop chasing these
[00:25:40.720 --> 00:25:47.260]   statuses, even though I get a ton of satisfaction out of it. Or, and this is where I convince myself
[00:25:47.260 --> 00:25:53.140]   the alternative, we just say every year the kids are out of school, we just take a really big trip
[00:25:53.140 --> 00:25:58.580]   where we're staying in lots of hotels, using up all these points, traveling a lot, and really focus
[00:25:58.580 --> 00:26:06.020]   on going lots of places. And I rationalize some of this to myself saying, well, by earning status and
[00:26:06.020 --> 00:26:12.060]   earning points across tons of different programs, we have the ultimate flexibility, right? I tell myself
[00:26:12.060 --> 00:26:19.880]   that because we have points in, I don't know, probably five hotel groups and 15 airline groups and five
[00:26:19.880 --> 00:26:26.500]   transferable points groups, I now have the flexibility when we travel to stay anywhere we want because of all
[00:26:26.500 --> 00:26:32.460]   these programs. But that's not really true. Because we were talking about wanting to go visit the island of
[00:26:32.460 --> 00:26:39.620]   Lanai, or I think it's actually pronounced Lanai in Hawaii. And I'd heard a story of a trip report on
[00:26:39.620 --> 00:26:42.760]   another podcast where someone said it was the most magical trip they've ever taken. They said it was
[00:26:42.760 --> 00:26:47.360]   one of the best islands, you have to check it out. I actually have some friends that work to help design
[00:26:47.360 --> 00:26:54.140]   one of the hotels on the island. Turns out, they're just two Four Seasons hotels. And so no amount of
[00:26:54.140 --> 00:27:00.340]   Hyatt, Hilton, Marriott, you know, IHG points or Amex points could be used for anything other than
[00:27:00.340 --> 00:27:06.980]   maybe booking in a travel portal a room at the Four Seasons. And so I think sometimes points are also
[00:27:06.980 --> 00:27:13.180]   restrictive. And what I've come to the conclusion of recently, is that I need to let go of those
[00:27:13.180 --> 00:27:20.080]   restrictions. And so one thing that I will start doing more of is using my points, even if it means
[00:27:20.080 --> 00:27:25.080]   in the travel portal for one and a half cents, when I know they probably could get more value,
[00:27:25.080 --> 00:27:30.000]   but just sitting there, they're not. And so that's something that I'm going to be making
[00:27:30.000 --> 00:27:34.640]   a change. Obviously, we haven't planned out all our travel for this year, but things will come up.
[00:27:34.640 --> 00:27:39.500]   So I assume that these statuses will get put to good use. But I really think I need to start using
[00:27:39.500 --> 00:27:43.760]   these points, even if it's not the perfect redemption, because just letting them sit there,
[00:27:43.760 --> 00:27:47.060]   you know, they're constantly getting devalued, which I will talk about in a minute.
[00:27:47.060 --> 00:27:50.360]   And if that money was sitting in cashback, it'd be earning interest.
[00:27:50.360 --> 00:27:53.760]   So I owe it to myself to actually try to bring down the balance of points.
[00:27:53.760 --> 00:27:58.920]   So stay tuned on how successful I am at this and really changing a little bit of this behavior.
[00:27:58.920 --> 00:28:04.000]   But after I prepped for this episode and thought about how I should really be rethinking these,
[00:28:04.000 --> 00:28:10.520]   I met with someone and they talked to me about how there's a way to earn Japan Airlines status
[00:28:10.520 --> 00:28:16.520]   for life with one of their credit cards. And the renewal fee ends up being about 2000 miles.
[00:28:16.520 --> 00:28:22.460]   So you can earn Japan Airlines status for life, which translates into a one world status
[00:28:22.460 --> 00:28:28.200]   that would give you priority seating and free check bags on American, on Alaska, lounge access,
[00:28:28.200 --> 00:28:33.940]   all of those things forever. It was a huge spend requirement. But I came home and I was like,
[00:28:33.940 --> 00:28:40.680]   hmm, I just prepped an episode where I said I should stop thinking about this. And here I am again,
[00:28:40.820 --> 00:28:46.540]   wanting to go chase status on an airline that isn't even based in the US, which has reciprocal benefits
[00:28:46.540 --> 00:28:52.840]   on most airlines that I'm not flying when I'm also chasing status on an airline in that alliance
[00:28:52.840 --> 00:28:57.800]   separately. So we'll see where it goes. But one of the things I just mentioned was the reason to be
[00:28:57.800 --> 00:29:02.380]   using your points is that they're always getting devalued. And I sent this in the newsletter and
[00:29:02.380 --> 00:29:06.940]   something I'm going to try today is I'm going to try to run through some of the most interesting
[00:29:06.940 --> 00:29:10.940]   things that have been happening as well as some amazing listener stories. Some of these things
[00:29:10.940 --> 00:29:15.000]   have been in the newsletter. So if you're subscribed, a couple of them you might have heard, you might not
[00:29:15.000 --> 00:29:19.640]   have heard the commentary I'm going to give, but I've shared them a bit. But if you're not, and you want
[00:29:19.640 --> 00:29:24.300]   to make sure that when things like this happen, you hear about them, go to allthehacks.com slash email
[00:29:24.300 --> 00:29:30.140]   and you can sign up. So devaluations are something that happens all the time. And last year, we saw a
[00:29:30.140 --> 00:29:37.020]   handful of them across tons of different airlines. Just in 2025, we've already seen a few. Avianca, which was
[00:29:37.020 --> 00:29:43.880]   one of my preferred ways to use miles to fly on United or Air Canada or Lufthansa because they had such great
[00:29:43.880 --> 00:29:51.120]   deals. They just increased their award prices in business anywhere from 8% to 15%. In first class, all the way up to
[00:29:51.120 --> 00:29:57.620]   25%. So that kind of stuff happens all the time. It's one of the reasons that I love transferable points, because if you
[00:29:57.620 --> 00:30:03.200]   keep your points in Amex or Chase, and this happens to Avianca, well, now you can prioritize Air Canada, or you
[00:30:03.200 --> 00:30:07.440]   could prioritize United. Whereas if you accrue in one airline, and this happens, it makes it really
[00:30:07.440 --> 00:30:14.780]   difficult. On the hotel front, Marriott had big devaluations, they fluctuated a lot of the things, they've
[00:30:14.780 --> 00:30:21.760]   introduced dynamic award pricing. So it's not always clear what number of points you need for a room. There is a
[00:30:21.760 --> 00:30:26.440]   secret award chart that I'll link to in the show notes, but they've made some devaluations this year.
[00:30:27.060 --> 00:30:34.000]   Hilton increased the points required for most premium properties, with some top tier hotels going way over 100,000 points
[00:30:34.000 --> 00:30:42.380]   a night. And then just recently, Hyatt did some category shifting, they moved 151 properties, 118 of which are going up in
[00:30:42.380 --> 00:30:49.700]   price. 33 are decreasing, but the vast majority are going up. So this is always happening in the industry. That's why I love the
[00:30:49.700 --> 00:30:57.100]   transferable points. But it is another good reason to not stash and hoard points, because you're just going to get
[00:30:57.100 --> 00:31:01.640]   stuck with them being worth less and less over time. Whereas had you earned cash, you would have been seeing them
[00:31:01.640 --> 00:31:07.860]   worth more and more over time. This episode is brought to you by Element. Now I love Element and I use it all the
[00:31:07.860 --> 00:31:14.860]   time because it helps anyone stay hydrated without the sugar and other dodgy ingredients in popular electrolyte and
[00:31:14.860 --> 00:31:19.200]   sports drinks. And that's important because electrolyte deficiency or imbalance can cause
[00:31:19.200 --> 00:31:25.860]   headaches, cramps, fatigue, brain fog, and weakness. In fact, Element is a zero sugar electrolyte drink mix
[00:31:25.860 --> 00:31:31.880]   and sparkling electrolyte water born from the growing body of research revealing that optimal health outcomes
[00:31:31.880 --> 00:31:38.620]   occur at sodium levels two to three times government recommendations. Element is formulated for anyone on a mission to
[00:31:38.620 --> 00:31:45.420]   restore their health through hydration and is perfectly suited for everyone from athletes to regular people like me and
[00:31:45.420 --> 00:31:51.840]   works if you're fasting on a keto, low carb or paleo diet. And if you're not sure if it's for you, don't worry because
[00:31:51.840 --> 00:31:58.480]   Element offers a no questions asked refund policy so you can try it totally risk free. Get your free sample pack with any
[00:31:58.480 --> 00:32:06.600]   Element purchase at chrishutchins.com slash LMNT. This deal is only available through that link. So support the show and go to
[00:32:06.600 --> 00:32:13.520]   chrishutchins.com slash element or click the link in the description and get hydrated. This episode is brought to you by built
[00:32:13.520 --> 00:32:20.000]   rewards, which is an amazing points program with so many ways to earn including on your rent where you don't even need to
[00:32:20.000 --> 00:32:26.100]   check with your landlord. So let me explain. First, there's no cost to join built and as a member, you'll earn valuable points on
[00:32:26.100 --> 00:32:32.460]   rent and on your everyday spending. Built points can be transferred to your favorite hotels and airlines and even the ones you haven't
[00:32:32.460 --> 00:32:39.000]   heard of. There are over 500 airlines and 700,000 hotels and properties around the world you can redeem your built
[00:32:39.000 --> 00:32:44.660]   points toward. Points can be redeemed towards a future rent payment and unique experiences that only built members can
[00:32:44.660 --> 00:32:51.240]   access. So if you're not earning points on rent, my question is why not? Start earning points on rent you're already paying
[00:32:51.240 --> 00:33:00.080]   by going to chrishutchins.com slash built. That's chrishutchins.com slash built, B-I-L-T. Make sure to use our URL so they know we
[00:33:00.080 --> 00:33:06.000]   sent you chrishutchins.com slash built or the link in the description to start earning points on your rent payments
[00:33:06.000 --> 00:33:13.540]   today. A few other things in the newsletter before I share some really creative ways that a lot of our listeners have earned
[00:33:13.540 --> 00:33:19.840]   millions of points. And there are actually ways that you can use as well. One, there are some really awesome
[00:33:19.840 --> 00:33:25.080]   card-linked offers right now. So I'm not going to go through all of them because they're often only good
[00:33:25.080 --> 00:33:31.380]   for a month at a time and they change depending on who you are. So some people are targeted for some,
[00:33:31.380 --> 00:33:37.500]   some aren't. Each week in the newsletter, at least each week that I find relevant ones, I'm sharing some of the
[00:33:37.500 --> 00:33:42.660]   best ones. I'm trying to go through as a filter because you might have four or five hundred card-linked
[00:33:42.660 --> 00:33:47.360]   offers on any given one of your credit cards, but they might be for products and services and brands
[00:33:47.360 --> 00:33:52.100]   you don't have any interest in. I'm trying to find the ones that I think have the most broad appeal that
[00:33:52.100 --> 00:33:57.500]   you should know about. One trick that I like to use, and it saved me probably at least a few hundred
[00:33:57.500 --> 00:34:05.340]   dollars if not more, is use an app that automatically adds all of your card-linked offers to your cards.
[00:34:05.420 --> 00:34:10.640]   So the wild thing is there might be an offer on your Amex, U.S. Bank, Bank of America card
[00:34:10.640 --> 00:34:15.780]   that you just haven't activated. Even if you go spend money at the merchant that there is an offer
[00:34:15.780 --> 00:34:20.460]   and you haven't activated the offer, you won't get the cash back or the bonus points. And so I really
[00:34:20.460 --> 00:34:24.900]   like an app called Card Pointers. You can go to allthehacks.com slash cardpointers to get, I believe
[00:34:24.900 --> 00:34:31.420]   it's 30% off. Members actually get 50% off. Or there's a new one, I think SaveWise is also offering
[00:34:31.420 --> 00:34:37.340]   this service. And there's an app called Max Rewards that for kind of security reasons, I can't endorse
[00:34:37.340 --> 00:34:41.740]   that app right now, though I know lots of people that have had a good experience. But there are three
[00:34:41.740 --> 00:34:45.620]   offers that are really interesting that are probably a lot bigger than most of them. You'll see an offer
[00:34:45.620 --> 00:34:52.160]   that's 10% off or 5% off or $10 off. But there's three right now that are really big. One of them is
[00:34:52.160 --> 00:34:58.640]   for Calm. And if you have either the Chase Reserve or the Chase Preferred card, you can get 50 to 100%
[00:34:58.640 --> 00:35:03.920]   back on an annual membership. So the Reserve is going for a full 100% back on a Calm annual membership
[00:35:03.920 --> 00:35:10.320]   through the end of May. So that's really awesome. The Preferred only gets 50% back. And they're all
[00:35:10.320 --> 00:35:15.760]   kind of in the health and wellness area. The next one is for a company called Lifeforce. So I haven't
[00:35:15.760 --> 00:35:20.380]   actually used this product. But I'm prepping an episode about all the different kinds of health
[00:35:20.380 --> 00:35:25.980]   diagnostics you can do. So I've been trying a lot of things out. They have a diagnostic where you do
[00:35:25.980 --> 00:35:31.880]   50 plus biomarkers, blood tests, service, and then you get a consultation with a clinician. It's $599.
[00:35:31.880 --> 00:35:37.040]   But there's an offer right now on both Chase Reserve and Preferred for $300 back.
[00:35:37.040 --> 00:35:43.580]   And then the last one is with Pronuvo, which I've talked about in the past, I've done a full body MRI with
[00:35:43.580 --> 00:35:50.360]   Pronuvo two times in the past. Normally, that would cost $2,500. And if you do have a Chase Reserve card,
[00:35:50.360 --> 00:35:57.960]   you get a $600 back offer. So that brings the cost down to $1,900. However, one thing not everyone
[00:35:57.960 --> 00:36:03.880]   might know is that Pronuvo, like many other health services, is eligible for an HSA or an FSA.
[00:36:03.880 --> 00:36:11.680]   So let's say you were to spend that $2,500, but reimburse yourself from your FSA or an HSA,
[00:36:11.680 --> 00:36:17.480]   depending on your tax bracket and where you're at, that could bring that cost down, maybe at the highest
[00:36:17.480 --> 00:36:22.180]   tax bracket in California, in half. Maybe in other places, it comes down a third. But just for the sake
[00:36:22.180 --> 00:36:27.820]   of argument, let's say you bring it down in half to $1,250. So you've saved $1,250 in taxes on that
[00:36:27.820 --> 00:36:32.740]   Pronuvo scan from using tax-advantaged accounts, but you're also going to get $600 off. So if you stack
[00:36:32.740 --> 00:36:39.400]   those two offers, it can really bring the price of that service down. I have had one friend whose
[00:36:39.400 --> 00:36:45.840]   full-body MRI resulted in learning about something that very likely would have been a tumor that killed
[00:36:45.840 --> 00:36:50.080]   them in the next six months. It was pretty serious and resulted in some kind of very,
[00:36:50.080 --> 00:36:56.020]   very last-minute surgeries. And most people have found very few things. If you're someone that
[00:36:56.020 --> 00:37:00.980]   learning about a few things that might be off would really make you nervous, then it's probably not for
[00:37:00.980 --> 00:37:06.320]   you. But I imagine if you're more like me, where more information is better, it's been really helpful
[00:37:06.320 --> 00:37:12.540]   to know what areas of your body are things to focus on. It can obviously spot things much earlier.
[00:37:12.540 --> 00:37:17.740]   There's so many amazing stories of people whose lives have actually changed getting a Pronuvo scan.
[00:37:17.740 --> 00:37:21.400]   In fact, I just pulled up on the website. There's tons of stories you can go read, but they're saying
[00:37:21.400 --> 00:37:27.680]   one in 20 scans result in a potentially life-saving diagnosis. Super interesting service. I have done it
[00:37:27.680 --> 00:37:33.440]   before in the past. Full disclosure, one of them I paid for, one of them I did not. I had met someone
[00:37:33.440 --> 00:37:37.760]   connected to Pronuvo and told them I was doing this health diagnostics episode. And they said,
[00:37:37.820 --> 00:37:41.400]   Josh, if you haven't gotten a scan in the last year, why don't you come in and get one so you
[00:37:41.400 --> 00:37:46.620]   can talk a little bit more about the experience we have today. They also did set up allthehacks.com
[00:37:46.620 --> 00:37:52.440]   slash Pronuvo, which has a discount. And so I actually, I think you could potentially stack
[00:37:52.440 --> 00:37:59.020]   a discount plus the Chase rebate, plus your HSA, FSA, and get it even lower. But just make sure that
[00:37:59.020 --> 00:38:05.680]   the requirements of the card linked offer don't require you to spend an amount that a discount
[00:38:05.680 --> 00:38:09.820]   might bring you below. So just make sure you could do that. I don't want you to get a $100 discount
[00:38:09.820 --> 00:38:15.820]   that prevents you from getting a $600 savings. Also on the note of card linked offers, I finally
[00:38:15.820 --> 00:38:21.760]   opened my first Citi thank you points card, which was the Citi Premier card. It had a 75,000 point
[00:38:21.760 --> 00:38:27.360]   offer, which I took advantage of. And so now I have not been able to talk a lot about the Citi thank you
[00:38:27.360 --> 00:38:32.260]   point experience. And now that I have a card, I'm going really deep on it, I might actually do a
[00:38:32.260 --> 00:38:38.440]   series where I go down the rabbit hole of the entire rewards program for every single major issuer.
[00:38:38.440 --> 00:38:44.300]   So do one for Citi and for everyone else. So stay tuned for that. A few other things that I've shared
[00:38:44.300 --> 00:38:49.840]   in the newsletter that I thought would be fun to share here. One of my favorite things about the
[00:38:49.840 --> 00:38:53.440]   Animal Spirits podcast, which is really about markets and investing, is that they always talk about
[00:38:53.440 --> 00:38:59.600]   their favorite shows. And so I started adding that to the newsletter. And I realized people wrote me
[00:38:59.600 --> 00:39:03.640]   back every single time saying, Oh my gosh, I love that show. That was such a good tip. Or I love that
[00:39:03.640 --> 00:39:07.880]   show to check out this other one. And those things never made it to the podcast. And I don't really
[00:39:07.880 --> 00:39:13.660]   know how to fit them into the format of the show we do regularly. But I will just say that a few of the
[00:39:13.660 --> 00:39:18.800]   shows that recently I've loved that I've been sharing on the newsletter were Paradise. I think
[00:39:18.800 --> 00:39:23.680]   see episode seven of Paradise was one of my favorite episodes of television. And so highly recommend
[00:39:23.680 --> 00:39:29.060]   don't even look up what it is because I loved being surprised. I had no context going into it really
[00:39:29.060 --> 00:39:36.320]   like Landman about the oil and gas industry silo day of the jackal. Those are all great. There's more
[00:39:36.320 --> 00:39:40.400]   recommendations that are regularly coming in the newsletter. If you have any show recommendations
[00:39:40.400 --> 00:39:44.800]   based on those, and other ones you've seen me mentioned, definitely send them my way. Another
[00:39:44.800 --> 00:39:49.900]   little tip I shared recently is that Uber, if you're traveling abroad is starting to add a one and a half
[00:39:49.900 --> 00:39:56.160]   percent fee for the convenience of displaying prices in your home currency. Everyone's automatically
[00:39:56.160 --> 00:40:01.800]   getting opted into that. So anyone who travels internationally and uses Uber, go into your app,
[00:40:01.800 --> 00:40:06.740]   go into the wallet and select no preferred currency and save yourself one and a half percent on those rides.
[00:40:06.740 --> 00:40:11.640]   This episode is brought to you by Viore, which is amazing because they are one of only the few brands I
[00:40:11.640 --> 00:40:17.680]   wear almost every single day. I've got a shirt on. I've got the core shorts on. I love Viore and I love
[00:40:17.680 --> 00:40:22.480]   that they bring a new perspective on performance apparel. It's so versatile. It can be used for just
[00:40:22.480 --> 00:40:28.080]   about any activity, whether it's running, training, swimming, yoga, or even lounging or running errands
[00:40:28.080 --> 00:40:33.500]   or going out to dinner. Seriously, I wear my meta pants out for dinner all the time. But today I want to
[00:40:33.500 --> 00:40:38.820]   talk about their dream knit collection because it's amazing. It is super soft, lightweight, moisture
[00:40:38.820 --> 00:40:44.100]   wicking, but also has this amazing four-way performance stretch that makes it so comfortable.
[00:40:44.100 --> 00:40:48.660]   While it's almost impossible to narrow my Viore recommendations down to just one thing, I want you
[00:40:48.660 --> 00:40:53.580]   to check out the Ponto performance jogger for men or the performance jogger for women. I know me and my
[00:40:53.580 --> 00:40:58.900]   wife, Amy, absolutely love them and wear them all the time. Seriously, I think Viore is an investment in
[00:40:58.900 --> 00:41:04.380]   your happiness. And for everyone watching, they're offering 20% off your first purchase plus free shipping
[00:41:04.380 --> 00:41:10.600]   on US orders over $75 and free returns. So get yourself some of the most comfortable and versatile
[00:41:10.600 --> 00:41:18.040]   clothing on the planet at chrishutchins.com slash Viore. That's V-U-O-R-I. Again, that's chrishutchins.com
[00:41:18.040 --> 00:41:24.380]   slash Viore to discover the versatility of Viore clothing. Exclusions apply. Visit the website for full
[00:41:24.380 --> 00:41:28.720]   terms and conditions and find the link in the description. Finally, one tip I've shared multiple
[00:41:28.720 --> 00:41:34.000]   times on the podcast and multiple times in the newsletter that I think is really worth sharing
[00:41:34.000 --> 00:41:41.060]   again is to go check for unclaimed money. And the way this works is there are circumstances where
[00:41:41.060 --> 00:41:45.120]   someone might owe you money, they can't get it to you, or you haven't cashed a check. And so they pass
[00:41:45.120 --> 00:41:51.860]   it over to the state. This might happen with a cable bill or a medical bill that you overpaid or you
[00:41:51.860 --> 00:41:58.220]   canceled an insurance policy and they owe you a refund. And why I share this is because even though I've
[00:41:58.220 --> 00:42:02.400]   shared it multiple times in the newsletter, I thought I'm going to share it again. And I'm
[00:42:02.400 --> 00:42:08.080]   actually going to do a quick poll of how much unclaimed money people found. And while 47% of the
[00:42:08.080 --> 00:42:12.620]   people subscribed found no money, which kind of made sense. I've shared this in the past. Not everyone
[00:42:12.620 --> 00:42:21.220]   finds it. The results of the other 53% were super interesting. So 31% found less than $100. 15% found
[00:42:21.220 --> 00:42:31.800]   100 to $500. 3% found 500 to $1,000. And 5% found over $1,000 of unclaimed money in their name. And we had
[00:42:31.800 --> 00:42:40.440]   250 people respond to this. So 250.05. That's 12 people. 12 people found $1,000 just by going to their
[00:42:40.440 --> 00:42:45.480]   state's unclaimed money site and searching. If you haven't done that before, highly encourage you to do
[00:42:45.480 --> 00:42:49.540]   it for yourself, for your spouse, if you have old enough kids that they might be in this
[00:42:49.540 --> 00:42:53.640]   circumstance, for your parents, for really anyone. I've always said in the past that it's kind of a
[00:42:53.640 --> 00:42:57.400]   fun party trick. If you show up to someone's party, you can bring them a bottle of wine or you could
[00:42:57.400 --> 00:43:02.080]   check in advance and see if they are owed thousands of dollars. And obviously, I don't know about you,
[00:43:02.080 --> 00:43:06.380]   but $1,000 seems like a much better gift than a bottle of wine. So each week, we're sending out all
[00:43:06.380 --> 00:43:11.220]   kinds of stuff like this, whether it's new card offers, gift cards, deals, promos for bonus points,
[00:43:11.780 --> 00:43:15.900]   freebies. A couple of weeks ago, there was free Starbucks and Febreze plugins and Slurpees,
[00:43:15.900 --> 00:43:20.240]   transfer bonuses and all that. So allthehacks.com slash email if you want them more regularly.
[00:43:20.240 --> 00:43:27.100]   I've even considered doing a little quick Saturday episode that just runs through the highlights of
[00:43:27.100 --> 00:43:31.040]   the offers for the week. It wouldn't be edited. It wouldn't be produced that well, but it would be
[00:43:31.040 --> 00:43:35.140]   turned around really fast. So something I'm considering. But for now, it seems easier to
[00:43:35.140 --> 00:43:37.520]   write them and email them out because it's more time sensitive.
[00:43:38.520 --> 00:43:45.640]   Okay. Last thing I want to cover is a question that I get from so many people. And it's about
[00:43:45.640 --> 00:43:50.040]   getting started and whether all the crazy things I'm doing are really even possible for the average
[00:43:50.040 --> 00:43:55.580]   person. And so in the spirit of all this talk about earning the most, having the most amazing
[00:43:55.580 --> 00:44:01.520]   experiences, I want to share five short but incredible stories from listeners about how they
[00:44:01.520 --> 00:44:08.660]   were able to save a combined $100,000 doing various points and miles things as people that
[00:44:08.660 --> 00:44:13.020]   aren't me. They're not going down the rabbit hole as deep as I am. Some of them just got started in
[00:44:13.020 --> 00:44:17.840]   the last year and they've had really, really incredible experiences. So first, Winnetta took
[00:44:17.840 --> 00:44:23.320]   her honeymoon in Bora Bora and a baby moon to Greece and Croatia. So congrats, double congrats.
[00:44:23.960 --> 00:44:28.240]   To get to Bora Bora, they transferred Ultimate Rewards points to United for the first flight.
[00:44:28.240 --> 00:44:35.020]   They managed to find three nights at the St. Regis, getting 2.9 cents per point, saving over $9,000.
[00:44:35.020 --> 00:44:42.540]   When they went to Greece and Croatia, they did 10 days back in 2024 and they credited episode 166,
[00:44:42.540 --> 00:44:47.400]   which is where we went through all the best tools for the way they were able to book this just three
[00:44:47.400 --> 00:44:52.980]   weeks in advance. So they used PointsYah and they found an amazing deal. They used the Venturex for
[00:44:52.980 --> 00:44:57.940]   lounge access. They used the travel credits for their rental car. And then the cash value of the
[00:44:57.940 --> 00:45:05.180]   whole trip was way over $6,000 they saved. But the real treat of all of this, and this is why I love
[00:45:05.180 --> 00:45:10.460]   the Points Game, is that they said they got to travel more and in style that they never would have for so
[00:45:10.460 --> 00:45:17.260]   much less. And I think there's something to be said for the fact that many times, maybe you would have
[00:45:17.260 --> 00:45:22.000]   had more money than you would have spent on a trip, but you might not have taken the trip or you might not
[00:45:22.000 --> 00:45:27.040]   have taken the trip in the style you want. And sometimes those little luxuries and that extra
[00:45:27.040 --> 00:45:33.720]   trip make the year, the month, the whatever period of time so much better. So one of the reasons I love
[00:45:33.720 --> 00:45:38.780]   Points and Miles, so glad you got to take both of those trips. Congrats. Next one is from Corey,
[00:45:38.780 --> 00:45:45.700]   who basically had an almost free honeymoon in Japan. They did ANA's The Room, which was an incredible
[00:45:45.700 --> 00:45:51.820]   business class or I guess first class product I've never taken. They booked an older business class
[00:45:51.820 --> 00:45:58.240]   product on ANA on the way back. And they did four nights at the brand new Hotel Indigo in Shibuya in
[00:45:58.240 --> 00:46:04.140]   Japan, two nights at the Intercon Beppu, then some nights at the Grand Hyatt Fukuoku, the Hyatt Place
[00:46:04.140 --> 00:46:11.020]   Kyoto, and the Andaz Sol. They said almost the entire thing was free. Over $20,000 of value from signup
[00:46:11.020 --> 00:46:16.960]   bonuses on a few cards, the only thing that wasn't covered was they did stay at a Four Seasons in
[00:46:16.960 --> 00:46:24.420]   Seoul, but they used their Amex Platinum FHR benefit to get $200 a night off. So that's awesome. Nothing
[00:46:24.420 --> 00:46:31.580]   like taking a $20,000 honeymoon for a significant fraction of that cost. Next, I want to share what
[00:46:31.580 --> 00:46:38.680]   Jake did, which was really awesome. He took three trips last year, burned 1.3 million points, went to
[00:46:38.680 --> 00:46:45.280]   Japan, inspired by episodes 101 and 102, which are, I assume, the ones I did with Brandon Presser. Two
[00:46:45.280 --> 00:46:52.920]   business class tickets for 400,000 points, 150,000 points to stay at the Park Hyatt in Tokyo, which I
[00:46:52.920 --> 00:46:57.380]   think right now is under renovations. But when it's done, I think it's supposed to be really, really nice.
[00:46:57.380 --> 00:47:02.640]   Did another trip to Prague to go do IVF. He actually was a little bit of the inspiration for this medical
[00:47:02.640 --> 00:47:07.060]   tourism episode because he said, hey, did you know it's way cheaper to go to Prague to do IVF than it
[00:47:07.060 --> 00:47:11.280]   is to even just do it in Houston? He's like, our system's really broken, but you should do an episode
[00:47:11.280 --> 00:47:17.480]   on that. And that kind of led down to this rabbit hole. But in specific numbers, he said the quote for
[00:47:17.480 --> 00:47:23.080]   IVF at home was $30,000 to $50,000. And they spent $5,000, had a great experience in Prague.
[00:47:23.080 --> 00:47:27.640]   And when you include everything, treatment, travel, food, they still spent less than half the cost of
[00:47:27.640 --> 00:47:34.080]   IVF at home and got a trip out of it. Did three legs on KLM with points and got a really great value
[00:47:34.080 --> 00:47:40.300]   saving thousands of dollars there. And then finally, they went back for the IVF transfer and spent some
[00:47:40.300 --> 00:47:44.600]   time in Budapest. So that's awesome. Glad you were able to take advantage of medical travel.
[00:47:44.600 --> 00:47:49.140]   I'm actually looking at the recap. They said they got an average of four cents a point from all 1.3
[00:47:49.140 --> 00:47:54.240]   million points. And a lot of these people said that this is not something that they've been doing for
[00:47:54.240 --> 00:47:58.740]   a while. And they said just listening and taking the leap has been what made this happen and really
[00:47:58.740 --> 00:48:02.920]   stoked. Kieran wrote in saying they weren't really into points. It was a thing, a hobby of the past.
[00:48:02.920 --> 00:48:08.840]   And just last year, they got into it. And then by the end of this year, already set to accumulate a
[00:48:08.840 --> 00:48:16.160]   million miles. From a combo of signup bonuses and spend, they're really racking it up. So that is
[00:48:16.160 --> 00:48:21.600]   awesome. I know for some people hearing this, they think a million miles, it sounds so unachievable.
[00:48:21.600 --> 00:48:28.460]   It sounds so crazy. And then I think of myself, a couple days ago, I did what is often called an
[00:48:28.460 --> 00:48:35.340]   Aparama. But I basically opened up a Bank of America, Alaska business card and a city American
[00:48:35.340 --> 00:48:42.320]   card. And the signup bonus on all three of those totaled about 225,000 points. And both my wife and
[00:48:42.320 --> 00:48:48.920]   I this year opened up an Amex business gold when it was a 200,000 point signup bonus. So last year,
[00:48:49.280 --> 00:48:54.680]   those five cards, which weren't all the cards we opened up last year and includes none of the
[00:48:54.680 --> 00:49:01.360]   spending was already over 600,000 points. And so and that's just one under my wife. So if she had
[00:49:01.360 --> 00:49:06.840]   just done the exact same thing as I did, probably easily be at a million. And that was just what we
[00:49:06.840 --> 00:49:13.060]   did in the tail end of the year. So definitely something that's possible, even if you don't have
