
[00:00:00.000 --> 00:00:05.140]   Your credit score has so much information in it that impacts how much you pay for everything from
[00:25:15.380 --> 00:25:23.080]   So, if you look at a 30-year mortgage, let's assume a million-dollar home with a 20% down payment, you're having a $800,000 mortgage.
[00:25:23.080 --> 00:25:40.100]   Now, I looked at a table of mortgage rates by FICO score, and they range from 620 to 639 at the bottom, gets a rate of 7.838, and 760 to 850 at the top is a rate of 7.242%.
[00:25:40.100 --> 00:25:52.160]   If you look at the total interest across the life of that loan, you would pay an extra $117,703 of interest just because your credit score was in a lower bracket.
[00:25:52.560 --> 00:25:59.340]   So, that's a really important thing to keep in mind when we talk credit scores, which we're going to go deep on, is the impact they have.
[00:25:59.340 --> 00:26:03.020]   And on auto loans, it can be even crazier than mortgages.
[00:26:03.020 --> 00:26:12.880]   I'm looking at a similar chart, and above a 781, you might pay 4.77% for a new car or 7.67% for a used car.
[00:26:13.280 --> 00:26:23.800]   But if your credit score is way down in the 3 to 500 range, the average interest rate for a new car loan is 15.75%, almost four times larger.
[00:26:24.020 --> 00:26:27.800]   And then on a used car, it goes as high as 21.81%.
[00:26:27.800 --> 00:26:33.300]   And obviously, between 300 to 500 and 781 to 850, it's a sliding scale.
[00:26:33.300 --> 00:26:42.280]   So, the higher your credit score, the better rates you're going to get both on homes and on autos and in lots of different scenarios.
[00:26:42.740 --> 00:26:51.780]   So, that said, the upper threshold on this seems to be, depending on the table I'm looking at, somewhere between 760 and 781.
[00:26:51.780 --> 00:26:58.360]   So, as a general rule of thumb, if your credit's above a 781, I don't think you need to worry about it getting too much higher.
[00:26:58.800 --> 00:27:02.520]   But we'll talk about where it could be and what happens in the future.
[00:27:02.520 --> 00:27:07.880]   Finally, anyone who's bought a home knows that the credit score isn't the only factor in decisions.
[00:27:07.880 --> 00:27:14.180]   So, a lender could also look at your income, your employment history, your debt-to-income ratio, all of your savings, your assets.
[00:27:14.180 --> 00:27:22.920]   It can feel like a little bit of a financial exam when you're buying a home for the first time because you have to provide a lot of information to the lender and the underwriters to make decisions.
[00:27:22.920 --> 00:27:24.300]   So, just keep that in mind.
[00:27:24.300 --> 00:27:28.560]   And last, one other way that your credit score could impact you is when it comes to your employment.
[00:27:28.560 --> 00:27:37.500]   This isn't happening at every single job and every single employer, but some employers do pull background checks, credit scores, and it could impact a decision.
[00:27:37.500 --> 00:27:46.260]   I know when I worked in venture capital, one concern we had any time a founder was raising money for their business was, how much money did they owe?
[00:27:46.260 --> 00:27:52.880]   And if someone had a lot of unpaid outstanding debt, that might be a red flag for us funding their company.
[00:27:53.100 --> 00:27:55.300]   Employers can also do this from time to time.
[00:27:55.300 --> 00:28:01.700]   So, just know that your credit score, your credit report, the impacts they can have are not just the rates, it could impact your job.
[00:28:01.700 --> 00:28:03.300]   So, let's talk about scores.
[00:28:03.300 --> 00:28:05.100]   How were these scores even calculated?
[00:28:05.100 --> 00:28:16.520]   So, back in 1956, engineer Bill Fair and mathematician Earl Isaac created a company called the Fair Isaac Corporation, or FICO, which was a data analytics company.
[00:28:16.520 --> 00:28:25.720]   They developed the first credit scoring system in 1958, and by 1992, the FICO risk scores were available through all three major credit reporting bureaus.
[00:28:26.160 --> 00:28:34.080]   And three years later, Fannie Mae and Freddie Mac both started recommending the FICO scores as the standard for evaluating U.S. mortgage loan applications.
[00:28:34.080 --> 00:28:44.980]   That recommendation was a pivotal moment in the widespread adoption of the FICO score, which traditionally ranges from 300 to 850, though you will learn sometimes up to 900.
[00:28:45.440 --> 00:28:53.480]   And after all, if a bank is using a FICO score for their mortgages, why would anyone use a different score for other lines of credit, like a credit card?
[00:28:53.900 --> 00:29:04.680]   So, because of this standardization from the U.S. government, it just became widespread, and it's because of all of that that the FICO score is used by 90% of all top U.S. lenders.
[00:29:04.680 --> 00:29:13.600]   During the early 2000s, FICO actually went on an acquisition spree, and they scooped up all these different companies that specialized in risk and financial data analytics.
[00:29:13.600 --> 00:29:20.540]   By 2020, they had become so dominant that there have been at least 10 different antitrust cases filed against FICO.
[00:29:20.540 --> 00:29:22.820]   But how does FICO actually come up with this score?
[00:29:22.820 --> 00:29:27.240]   Well, it's actually a series of proprietary algorithms because there are so many different FICO scores.
[00:29:27.240 --> 00:29:31.160]   I think I counted over 20 different FICO scores and models.
[00:29:31.160 --> 00:29:41.220]   So, I'm going to get to that when I walk through my particular credit, how all those scores vary, what they're used for, why you've never heard of them, and why you might want to know about some of them.
[00:29:41.220 --> 00:29:44.580]   FICO score has published the components and weights.
[00:29:44.580 --> 00:29:49.420]   So, payment history is the biggest one, and that makes up 35% of your score.
[00:29:49.420 --> 00:29:51.660]   So, that is, have you paid your bills on time?
[00:29:52.660 --> 00:29:56.520]   30% is from amount owed, which looks at a bunch of factors.
[00:29:56.520 --> 00:29:58.280]   How much do you owe on all your accounts?
[00:29:58.280 --> 00:30:01.780]   How much do you owe on specific types of accounts, credit card versus mortgage?
[00:30:01.780 --> 00:30:04.300]   The number of accounts you have with balances.
[00:30:04.300 --> 00:30:06.440]   How much credit is being utilized?
[00:30:06.440 --> 00:30:09.860]   And the remaining balance on loans compared to the original amount.
[00:30:10.080 --> 00:30:17.840]   That utilization factor is a really important one that gets bubbled to the top in almost every dashboard to look at your credit score.
[00:30:17.840 --> 00:30:25.960]   And so, that would technically be if you had $10,000 limit and you're spending $5,000 of it, you're at 50% utilization.
[00:30:27.180 --> 00:30:29.140]   Length of credit history is the next component.
[00:30:29.140 --> 00:30:30.500]   That's 15%.
[00:30:30.500 --> 00:30:32.740]   That's just how long you've had credit history for.
[00:30:32.740 --> 00:30:33.780]   What's the average age?
[00:30:33.780 --> 00:30:38.000]   Next is credit mix, which is what kinds of credit you have.
[00:30:38.000 --> 00:30:41.400]   Do you have just a car loan or car and credit card and mortgage?
[00:30:41.400 --> 00:30:42.900]   That's 10% of your score.
[00:30:43.040 --> 00:30:48.460]   And finally, new credit, which is all the inquiries and new lines of credit, which is another 10%.
[00:30:48.460 --> 00:30:50.900]   So, that's the components of your score.
[00:30:50.900 --> 00:30:57.280]   They create a score based on that and they bucket it into these buckets, which are just FICO's buckets.
[00:30:57.280 --> 00:31:02.400]   This isn't necessarily what a lender would use, but they say if you're below a 580, you have a poor score.
[00:31:02.400 --> 00:31:04.760]   580 to 669 is fair.
[00:31:04.760 --> 00:31:07.420]   670 to 739 is good.
[00:31:07.420 --> 00:31:09.760]   740 to 799 is very good.
[00:31:09.760 --> 00:31:11.700]   And 800 plus is exceptional.
[00:31:11.700 --> 00:31:21.200]   Now, given all the success that FICO had, the three credit reporting agencies actually got really frustrated that they were all paying this third party for the software to analyze their own data.
[00:31:21.200 --> 00:31:31.120]   So, in 2006, they brought the process in-house and created the VantageScore, which is another scoring model owned by those three major credit reporting agencies.
[00:31:31.120 --> 00:31:37.760]   So, now they didn't have to pay a third-party data analytics company to generate credit score based on their data.
[00:31:38.000 --> 00:31:52.180]   Now, it's a little bit of a chicken-and-the-egg problem because if you log into most of the credit reporting websites, Experian, Equifax, TransUnion, most of them are still showing and selling you FICO scores because that's what most lenders are using to make decisions.
[00:31:52.380 --> 00:31:56.720]   But as the VantageScore becomes more popular, you'll probably see it being used more.
[00:31:56.720 --> 00:32:01.120]   And that's why it's available for free on so many services because they price it so much lower.
[00:32:01.120 --> 00:32:06.140]   So, when you log into Credit Karma to get your free credit score, you are getting your VantageScore.
[00:32:06.660 --> 00:32:12.180]   But when you're looking to apply for a credit card or a mortgage, they are probably pulling your FICO score.
[00:32:12.180 --> 00:32:14.180]   So, it's important to know how those are different.
[00:32:14.180 --> 00:32:19.920]   And I'm going to share my Vantage and FICO scores and how they differ so you can get a sense of the deviations.
[00:32:19.920 --> 00:32:23.460]   VantageScore is also cheaper for other people.
[00:32:23.640 --> 00:32:33.540]   So, if your landlord is requesting a credit score in order to lease you an apartment, they'll probably get a VantageScore because it's much less expensive, maybe $25.
[00:32:33.540 --> 00:32:45.180]   Or a mortgage lender could get your VantageScore for $50 or $100, whereas a FICO score might be more like $50 to $100 for a single credit check, depending on it's a single or a joint application.
[00:32:45.180 --> 00:32:47.940]   So, the VantageScore is very similar to the FICO score.
[00:32:47.940 --> 00:32:55.320]   It uses the same set of numbers, roughly the same scaling system, but they tweak the percentages just enough that you get a different number.
[00:32:55.320 --> 00:33:00.240]   So, VantageScore has a 40% payment history instead of FICO's 35%.
[00:33:00.240 --> 00:33:06.300]   They have recent credit is 5% while FICO's new credit category is 10%.
[00:33:06.300 --> 00:33:10.600]   The balances you have are 11% of Vantage.
[00:33:10.600 --> 00:33:16.080]   In FICO, that's kind of bulked in with amounts owed, which is 30%, which also includes your utilization.
[00:33:16.880 --> 00:33:19.440]   So, it's all pretty similar, slightly tweaked.
[00:33:19.440 --> 00:33:20.600]   A couple of other differences.
[00:33:20.600 --> 00:33:25.940]   VantageScore explicitly calls out utilization as extremely important.
[00:33:25.940 --> 00:33:29.420]   FICO describes it similarly, but not as important.
[00:33:29.420 --> 00:33:34.340]   When it comes to history, your VantageScore can come with just one month of credit history.
[00:33:34.340 --> 00:33:40.220]   So, it's much more inclusive for people that are new to credit, whereas your FICO score needs at least six months.
[00:33:41.160 --> 00:33:48.040]   And authorized user accounts, which I'll talk about in a little bit, actually get a little bit less weight in VantageScore versus FICO scores.
[00:33:48.040 --> 00:33:50.260]   So, there are some subtle differences.
[00:33:50.260 --> 00:33:54.840]   At the end of the day, they're not that different, but there are about to be some changes.
[00:33:54.840 --> 00:34:04.940]   And that's because in 2018, the Credit Score Competition Act was signed into law, mandating the use of the VantageScore 4.0 and the FICO 10T models.
[00:34:04.940 --> 00:34:11.020]   Now, I will get into all these models because until I went deep on this, I didn't know that any of these models existed.
[00:34:11.560 --> 00:34:17.000]   But there was government-sponsored mortgage enterprises like the VA that already started adopting VantageScore 4.
[00:34:17.000 --> 00:34:21.720]   Fannie Mae and Freddie Mac will phase in using VantageScore, so later this year.
[00:34:21.720 --> 00:34:27.420]   The main thing is that because the VantageScore 4.0 has limited credit history that it can work off of,
[00:34:27.420 --> 00:34:33.160]   there's about 30-plus million people that might actually be able to get a credit score that couldn't previously.
[00:34:33.160 --> 00:34:40.520]   The VantageScore 4.0, which is their latest version of the score, actually takes into account trending,
[00:34:40.520 --> 00:34:47.580]   which is one of the things that's been more interesting for people because it looks at a view over time.
[00:34:47.580 --> 00:34:54.040]   With this change, lenders will be able to choose between getting reports from two of the three major bureaus,
[00:34:54.040 --> 00:34:57.780]   so they don't need to get all three of them, and they can choose which model they use.
[00:34:57.780 --> 00:34:59.500]   It's going to give a little bit more flexibility.
[00:34:59.500 --> 00:35:01.480]   It'll be interesting to see how this evolves.
[00:35:01.480 --> 00:35:07.340]   I really wanted to go check my VantageScore 4, but I could not find anywhere to do it.
[00:35:07.340 --> 00:35:09.820]   I've heard if you had a Synchrony credit card, you can do it.
[00:35:09.820 --> 00:35:15.480]   There are a few credit unions that offer it, but I actually opened up a Synchrony bank account and couldn't get it.
[00:35:15.480 --> 00:35:20.640]   Then I went to Alliant Credit Union, which was the one that required me to unfreeze my checks report
[00:35:20.640 --> 00:35:24.200]   because I was told they give you a free VantageScore 4.0.
[00:35:24.200 --> 00:35:26.940]   But as soon as I got my account set up, it said,
[00:35:26.940 --> 00:35:28.900]   not all members will have credit score displayed.
[00:35:28.900 --> 00:35:30.100]   Check back next quarter.
[00:35:30.100 --> 00:35:38.440]   So I still don't know what my VantageScore 4.0 looks like, but one of the big changes is that they're going to incorporate trended data into the scoring model.
[00:35:38.440 --> 00:35:41.340]   So how your payment history has evolved will be factored in.
[00:35:41.340 --> 00:35:45.040]   Now, on the flip side, FICO is coming out with the FICO Score 10T.
[00:35:45.040 --> 00:35:46.620]   That's their latest model.
[00:35:46.620 --> 00:35:54.500]   And that also incorporates trending credit data, meaning it looks at your borrowing and payment patterns over 24 months, then just a static snapshot.
[00:35:54.740 --> 00:35:57.680]   This episode is brought to you by Fabric by Gerber Life.
[00:35:57.680 --> 00:36:08.960]   If you have anyone relying on your income, then you really should be considering life insurance, but be careful going with the policy you get at work because it might not offer enough protection or follow you if you leave your job.
[00:36:08.960 --> 00:36:12.620]   Instead, get your peace of mind from a term life insurance policy.
[00:36:13.040 --> 00:36:17.500]   And Fabric by Gerber Life is term life insurance you can get done right here, right now.
[00:36:17.500 --> 00:36:22.060]   You could be covered from your couch in under 10 minutes with no health exam required.
[00:36:22.380 --> 00:36:26.040]   And if you're young and healthy, the time to lock in low rates is now.
[00:36:26.040 --> 00:36:33.400]   And they have flexible, high-quality policies that fit your family and your budget, like a million dollars in coverage for less than a dollar a day.
[00:36:33.400 --> 00:36:38.040]   It's all online and on your schedule, so apply when it's convenient for you.
[00:36:38.040 --> 00:36:39.800]   There's absolutely no risk.
[00:36:39.800 --> 00:36:43.640]   There's a 30-day money-back guarantee, and you can cancel at any time.
[00:36:43.640 --> 00:36:47.240]   So join the thousands of parents who trust Fabric to protect their family.
[00:36:47.240 --> 00:36:52.320]   Apply today in just minutes at meetfabric.com slash allthehacks.
[00:36:52.320 --> 00:36:55.740]   That's meetfabric.com slash allthehacks.
[00:36:55.740 --> 00:37:00.060]   M-E-E-T-fabric.com slash allthehacks.
[00:37:00.060 --> 00:37:04.440]   Policies issued by Western Southern Life Assurance Company, not available in certain states.
[00:37:04.440 --> 00:37:07.120]   Prices subject to underwriting and health questions.
[00:37:07.120 --> 00:37:09.320]   This episode is brought to you by Upwork.
[00:37:09.320 --> 00:37:12.500]   If you're like me, you are always looking for ways to be more efficient,
[00:37:12.500 --> 00:37:15.720]   whether it's about optimizing your travel, your finances, your time.
[00:37:15.720 --> 00:37:21.000]   And when it comes to scaling your business and getting help with big projects or areas outside your expertise,
[00:37:21.000 --> 00:37:23.260]   one of the best hacks out there is Upwork.
[00:37:23.260 --> 00:37:27.200]   Upwork is how good companies find great and trusted freelance talent.
[00:37:27.200 --> 00:37:31.500]   With more than two decades of experience, they've pioneered a better way of working,
[00:37:31.500 --> 00:37:37.060]   helping businesses scale by connecting them with top, flexible freelance talent in IT, web development,
[00:37:37.060 --> 00:37:40.360]   AI, design, admin support, marketing, you name it.
[00:37:40.360 --> 00:37:43.080]   The best part, it is incredibly easy to get started.
[00:37:43.080 --> 00:37:49.800]   You can register for free, browse freelancer profiles, even get help drafting a job post or booking a consultation.
[00:37:49.800 --> 00:37:55.480]   Upwork makes the entire process easier, simpler, and more affordable with industry low fees.
[00:37:55.480 --> 00:37:58.640]   Post a job today and hire tomorrow with Upwork.
[00:37:58.640 --> 00:38:02.400]   Visit upwork.com right now and post your job for free.
[00:38:02.800 --> 00:38:08.060]   That's upwork.com to post your job for free and connect with top talent ready to help your business grow.
[00:38:08.060 --> 00:38:12.300]   So that is enough talking about what they are, where can you get them?
[00:38:12.300 --> 00:38:14.320]   So finding your credit score is actually easy.
[00:38:14.320 --> 00:38:18.640]   Now that you know the differences might change where you want to get your score.
[00:38:18.720 --> 00:38:26.500]   So if you're going to a mortgage and that bank is going to use a FICO 9, knowing your vantage score 3 isn't quite as helpful.
[00:38:26.500 --> 00:38:34.620]   Most companies out there that offer free credit scores as part of free credit monitoring, think Credit Karma, NerdWallet, they only offer your vantage score.
[00:38:35.000 --> 00:38:39.440]   And so again, as of present, that's only being used by about 10% of lenders.
[00:38:39.440 --> 00:38:42.360]   So you probably want to take a look at your FICO score.
[00:38:42.360 --> 00:38:45.500]   Now there are a number of places to get a free FICO score.
[00:38:45.500 --> 00:38:54.720]   So myfico.com, Experian's website, you can get one free score, but they usually don't give you the score on all three bureaus.
[00:38:54.720 --> 00:39:01.060]   In fact, I haven't found any place to get all three bureaus score, whether it's Vantage or FICO, without paying for it.
[00:39:01.060 --> 00:39:04.740]   A number of credit card companies also give you access to credit scores.
[00:39:05.320 --> 00:39:09.080]   Amex Capital One, you can go in and check, even if you don't have a card.
[00:39:09.080 --> 00:39:10.360]   At least that's what I read.
[00:39:10.360 --> 00:39:13.620]   I have a card on both those issuers, so I couldn't confirm that.
[00:39:13.620 --> 00:39:19.300]   But keep in mind, you're giving them access to your credit and you're giving them a working email address.
[00:39:19.300 --> 00:39:23.100]   So you're kind of giving them a bunch of information, just like Credit Karma is doing.
[00:39:23.100 --> 00:39:25.040]   Credit Karma is trying to promote products to you.
[00:39:25.040 --> 00:39:28.920]   I assume if you did this with Amex or Capital One, they would start sending you mailers.
[00:39:28.920 --> 00:39:30.220]   You might want those mailers.
[00:39:30.220 --> 00:39:33.000]   They might be offers with elevated bonuses, so that's great.
[00:39:33.120 --> 00:39:35.200]   But just keep in mind, that's part of what's happening.
[00:39:35.200 --> 00:39:41.200]   As a few examples, if you have Discover, I believe you get TransUnion's FICO score 8.
[00:39:41.200 --> 00:39:43.600]   Bank of America will give you a FICO score.
[00:39:43.600 --> 00:39:46.140]   Citi will give you a FICO score from Equifax.
[00:39:46.560 --> 00:39:52.280]   So I started trying to piece all of these together to figure out, okay, where could I get every single score?
[00:39:52.280 --> 00:39:55.700]   And I was just a little bit down this rabbit hole, right?
[00:39:55.700 --> 00:39:58.500]   I was just looking for my Vantage score and my FICO score.
[00:39:58.960 --> 00:40:01.740]   And I was able to get 5 out of 6.
[00:40:01.740 --> 00:40:05.300]   So I got my Vantage on all 3 bureaus, my FICO on 2 bureaus.
[00:40:05.300 --> 00:40:10.160]   And then I thought, in order to be comprehensive in this episode, I should really just get all of them.
[00:40:10.160 --> 00:40:14.120]   And I was like, do I really want to spend an hour trying to dig and open up new bank accounts?
[00:40:14.240 --> 00:40:18.520]   Or do I just pay $30 to my FICO and get access to their dashboard?
[00:40:18.520 --> 00:40:23.680]   And I didn't know that by doing that, I was really opening up a can of worms.
[00:40:23.680 --> 00:40:26.540]   Because I did get access to my FICO dashboard.
[00:40:26.540 --> 00:40:29.140]   And when I looked at it, I was like, oh, this is cool.
[00:40:29.140 --> 00:40:30.460]   Now I get all 3 scores.
[00:40:30.460 --> 00:40:34.340]   And then it was like, well, what is the purpose of what you're scoring?
[00:40:34.620 --> 00:40:37.460]   So I looked on and the main one was my FICO score 8.
[00:40:37.460 --> 00:40:38.540]   I'm looking at it right now.
[00:40:38.540 --> 00:40:40.140]   And I could see my FICO scores.
[00:40:40.140 --> 00:40:42.980]   And then below, it said score versions by loan type.
[00:40:42.980 --> 00:40:43.880]   And I was like, mortgages?
[00:40:43.880 --> 00:40:51.000]   And then it says, well, the most widely used score for mortgages is your FICO 5 with Equifax,
[00:40:51.000 --> 00:40:55.000]   your FICO 4 with TransUnion, and your FICO 2 with Experian.
[00:40:55.000 --> 00:40:58.480]   And I was like, oh, wow, maybe these mortgage companies are just using the older models.
[00:40:58.480 --> 00:40:59.720]   What about auto loans?
[00:40:59.900 --> 00:41:06.800]   Well, there's actually the FICO AutoScore, which is not a FICO score 8.
[00:41:06.800 --> 00:41:08.580]   It's the FICO AutoScore 8.
[00:41:08.580 --> 00:41:12.420]   So there's not just different versions, but there's different branded purposes.
[00:41:12.420 --> 00:41:15.840]   So there's a FICO AutoScore 8, a FICO AutoScore 9.
[00:41:15.840 --> 00:41:18.820]   There's the old FICO AutoScore 5, 4, and 2.
[00:41:18.820 --> 00:41:25.800]   Turns out that for auto loans, according to my FICO, the FICO AutoScore 8 is the most widely used.
[00:41:25.800 --> 00:41:28.840]   And it is on a scale of 250 to 900.
[00:41:29.120 --> 00:41:31.020]   Then I clicked credit cards because I wanted to know.
[00:41:31.020 --> 00:41:36.240]   And credit card, the most widely used is the FICO Bank Card Score 8.
[00:41:36.240 --> 00:41:39.520]   There's also a widely used FICO Score 9.
[00:41:39.520 --> 00:41:41.860]   So credit card companies seem to use both of those.
[00:41:41.860 --> 00:41:45.680]   But there's also a bank card score 9, which it says is not widely used.
[00:41:45.680 --> 00:41:52.880]   The bank card scores are all on a scale of 250 to 900, while the FICO score is on 300 to 850.
[00:41:53.400 --> 00:41:55.240]   And then I clicked new versions.
[00:41:55.240 --> 00:42:00.820]   And I was like, oh, wow, there's a bank card score 10, an AutoScore 10, a FICO score 10.
[00:42:00.820 --> 00:42:03.800]   And that's where I also found the FICO score 10T.
[00:42:03.800 --> 00:42:06.140]   That's that new score that's using trending data.
[00:42:06.140 --> 00:42:07.760]   So what did I learn looking at all this?
[00:42:07.760 --> 00:42:08.760]   Well, it was super interesting.
[00:42:08.760 --> 00:42:14.820]   If I look across all of my scores, it's a little tricky because some of them are on different scales, right?
[00:42:14.820 --> 00:42:18.380]   These auto scores are up to 900 and the other scores are up to 850.
[00:42:18.720 --> 00:42:27.560]   But if I look at my FICO 9, which is on a scale of 300 to 850, I rank pretty high, 846, 849, 839.
[00:42:27.560 --> 00:42:34.360]   So close to perfect score, which will dovetail into our next conversation about how many credit cards can you open?
[00:42:34.360 --> 00:42:37.420]   How many signup bonuses can you get and keep a high credit score?
[00:42:37.420 --> 00:42:44.700]   And as someone with over 20 credit cards at this point right now that are active, I'm still at a very high credit score.
[00:42:44.700 --> 00:42:47.240]   But my FICO score 8 was a little lower.
[00:42:47.240 --> 00:42:52.080]   So anywhere from 3 to about 20 points lower.
[00:42:52.080 --> 00:42:55.300]   But my Vantage score was meaningfully lower.
[00:42:55.300 --> 00:43:02.320]   So all my FICO scores, at least FICO 9, were in the 839 to 849 range.
[00:43:02.320 --> 00:43:06.580]   And my Vantage score was in the 774 to 779 range.
[00:43:06.700 --> 00:43:08.660]   So I can't quite explain that.
[00:43:08.660 --> 00:43:09.400]   It is what it is.
[00:43:09.400 --> 00:43:12.960]   It's why I really wanted to go look more deeply at the Vantage score 4.0, but I couldn't find it.
[00:43:12.960 --> 00:43:20.000]   Similarly, the most common score for your mortgage is your FICO 5, 4, and 2.
[00:43:20.000 --> 00:43:26.820]   And for whatever reason, Equifax uses 5, TransUnion uses 4, and Experian uses 2 for mortgages, I guess.
[00:43:26.820 --> 00:43:30.560]   And those were all in the high 700s as well.
[00:43:31.340 --> 00:43:39.860]   All of the other scores that weren't legacy 2, 4, 5 models were all in the high 800s, close to 850.
[00:43:39.860 --> 00:43:46.740]   I think I had one score that was 862, which is when I first realized, oh, the scale must go higher than 850.
[00:43:47.500 --> 00:43:50.360]   And so looking at all of this, there is a wide range.
[00:43:50.360 --> 00:43:56.720]   But at the end of the day, the lowest score I had amongst all of these different bureaus was 765.
[00:43:57.380 --> 00:44:02.900]   So yes, the range of 765 up to, I guess, 862 was the max.
[00:44:02.900 --> 00:44:03.880]   They're all great scores.
[00:44:03.880 --> 00:44:10.020]   And yes, there were some low ones, but none of them actually fell into a meaningfully different bucket.
[00:44:10.020 --> 00:44:17.980]   When I was looking at the auto interest rates, the bucket was 781, I think was the floor for exceptional, maybe, for the highest interest rates.
[00:44:17.980 --> 00:44:24.380]   So maybe if they were using Vantage or the old FICO score 3, I wouldn't have qualified for the best auto interest rate.
[00:44:24.380 --> 00:44:31.460]   But for the most part, when you're looking at lending decisions, I've more commonly been told that 760 and above is all the same.
[00:44:31.460 --> 00:44:34.280]   And all of these scores were above 760.
[00:44:34.280 --> 00:44:45.220]   So I didn't learn as much as I was hoping to about all of this, but I could go a little deeper for each of these scores and look at the components of it and how they were having an impact.
[00:44:45.220 --> 00:44:53.980]   And the main two things that impacted my score, which I think is why certain models were getting impacted differently, was the amount of debt.
[00:44:53.980 --> 00:44:57.200]   And keep in mind, that amount of debt category is where utilization lives.
[00:44:57.200 --> 00:44:58.900]   And that was the flag that came out.
[00:44:58.900 --> 00:45:01.060]   And that was that I had 9% utilization.
[00:45:01.220 --> 00:45:19.980]   Now, over the last few months, I have definitely been doing a lot of gift cards and Costco gold, which has resulted in a lot of high balances for things that aren't necessarily expenses, but will get reimbursed.
[00:45:19.980 --> 00:45:22.220]   But I wasn't paying those credit cards off early.
[00:45:22.220 --> 00:45:23.460]   I was paying them at the statement date.
[00:45:23.460 --> 00:45:32.400]   So throughout the month, depending on when you pull from those banks and when those banks actually report to the credit bureaus, it might look like I have higher than normal utilization.
[00:45:32.400 --> 00:45:42.440]   And one of the things I noticed in the past was I could have a score that swings 60, 70 points in a given month based on that utilization data.
[00:45:42.440 --> 00:45:51.780]   And so I suspect if I go look at my Vantage score over time and compare it to my FICO score, you'll probably see something a little differently.
[00:45:51.780 --> 00:45:53.440]   And they'll probably be a little bit more similar.
[00:45:53.440 --> 00:45:59.320]   Maybe the Vantage scores right now are getting more recent data than the FICO scores.
[00:45:59.320 --> 00:46:00.560]   I'm not entirely sure.
[00:46:01.080 --> 00:46:03.980]   The other one that was the only thing that kind of had a yellow color.
[00:46:03.980 --> 00:46:06.800]   It was like bright green is you don't have any late payments.
[00:46:06.800 --> 00:46:10.840]   Your average age of accounts is almost 10 years and you've got 13 different accounts.
[00:46:10.840 --> 00:46:11.620]   Good, good, good.
[00:46:11.620 --> 00:46:13.620]   Utilization is 9%.
[00:46:13.620 --> 00:46:14.440]   So, so.
[00:46:14.440 --> 00:46:18.400]   Amount of new credit is the one where I had a yellow flag.
[00:46:18.400 --> 00:46:24.900]   And in one of them, I think it was an orange flag because the most recent account was open 3 months ago.
[00:46:24.900 --> 00:46:27.000]   I've had a handful of inquiries.
[00:46:27.580 --> 00:46:35.120]   I recently went on a little bit of what I'll call an Aparama, which is opening, I think, 5 cards in the last few weeks.
[00:46:35.120 --> 00:46:40.140]   So, obviously, that has an impact on the new credit bucket.
[00:46:40.140 --> 00:46:43.960]   So, some of those haven't even posted, but I think that'll have an impact.
[00:46:43.960 --> 00:46:45.820]   But the impact is relatively small.
[00:46:45.820 --> 00:46:49.500]   And that's what I want to talk about next is how does all this matter when you're playing the points game?
[00:46:49.500 --> 00:46:53.180]   Because I got a lot of questions like, gosh, you get all these hard inquiries.
[00:46:53.180 --> 00:46:54.840]   How do you handle all this?
[00:46:54.840 --> 00:46:56.720]   How is this destroying your credit score?
[00:46:56.860 --> 00:46:57.480]   Any tips?
[00:46:57.480 --> 00:46:59.440]   The good news is, obviously, it's not, right?
[00:46:59.440 --> 00:47:00.740]   Credit score is pretty strong.
[00:47:00.740 --> 00:47:02.200]   I've got lots of cards open.
[00:47:02.200 --> 00:47:06.260]   And I opened 5 in the month prior to doing this episode.
[00:47:06.260 --> 00:47:10.120]   So, does multiple credit cards hurt your credit score?
[00:47:10.120 --> 00:47:11.140]   Definitely not.
[00:47:11.140 --> 00:47:22.260]   There's a great image, and I've linked to it in past episode show notes, where this person on Twitter shared their credit journey for him and his wife, Chad and Hannah.
[00:47:22.380 --> 00:47:29.460]   Over the course of about 18 months or maybe 14 months, when they opened, I think it was 26 credit cards.
[00:47:29.600 --> 00:47:37.580]   And the most fascinating thing is that his wife, Hannah, started at a 670 and ended up at a 798.
[00:47:37.580 --> 00:47:41.540]   And he started at a 794 and ended up at a 805.
[00:47:41.940 --> 00:47:46.860]   So, in the process of opening 26 cards over 14 months, both of their credit scores went up.
[00:47:46.860 --> 00:47:52.780]   And that makes sense when you think about it because their payment history doesn't really impact it.
[00:47:52.780 --> 00:47:58.960]   The amount they owe, while that's the bucket, big factor of that is utilization, which goes way down, right?
[00:47:58.960 --> 00:48:03.340]   If you had $5,000 owed and a $10,000 limit, you're at 50% utilization.
[00:48:03.340 --> 00:48:10.460]   If you open up 5 cards and you have $5,000 owed over a $50,000 limit, now you're at a 10% utilization.
[00:48:10.460 --> 00:48:13.940]   Your length of credit history, that's two components.
[00:48:13.940 --> 00:48:16.120]   One is how old is your oldest account?
[00:48:16.120 --> 00:48:17.260]   It has no impact there.
[00:48:17.260 --> 00:48:19.040]   What's your average age of account?
[00:48:19.040 --> 00:48:20.340]   It will have an impact there.
[00:48:20.400 --> 00:48:31.440]   New credit, not as good because it's a bunch of new inquiries, but your credit mix, more credit cards, more revolving accounts is actually good.
[00:48:31.440 --> 00:48:32.740]   Or at least it's not bad.
[00:48:32.740 --> 00:48:37.340]   So, the more cards you have in good standing, the better your credit score usually is.
