
[00:00:00.000 --> 00:00:22.980]   Hey everybody, my name is Doug Guthrie. I'm a solutions engineer at BrainTrust. As you can
[00:24:17.640 --> 00:24:23.080]   basic example of, uh, defining a prompt within my, my code base and then pushing it into
[00:24:23.080 --> 00:24:29.080]   brain trust. So just leveraging that, that Python SDK, uh, another example, I should come over here.
[00:24:29.080 --> 00:24:35.720]   Creating a score. So you give it sort of like the, the things that it's looking for,
[00:24:35.720 --> 00:24:40.360]   but now I've sort of defined this score within my code base. Uh, it's version controlled. Uh,
[00:24:40.360 --> 00:24:44.280]   also the, the prompts that you create within the UI are version controlled as well. Um,
[00:24:44.280 --> 00:24:49.160]   but this is just another way to start to interact with, with brain trust. So again, scores, we could
[00:24:49.160 --> 00:24:53.640]   do data sets, uh, and then you can even do, uh, prompts up here as well, I believe. So here's my
[00:24:53.640 --> 00:24:59.080]   eval data set. Here's my, uh, change log to prompt. Again, being able to start from the code base and
[00:24:59.080 --> 00:25:03.640]   actually push them into the platform is possible. Just depends on the organization where they want to
[00:25:03.640 --> 00:25:09.480]   start. The, the other thing here is like, this is more on the, like the, the components of the eval side.
[00:25:09.480 --> 00:25:14.440]   So that's that top portion. Define those assets in code, run that brain trust push, and now you have
[00:25:14.440 --> 00:25:18.760]   access to that in that brain trust library. The other one is actually like defining the evals
[00:25:18.760 --> 00:25:24.680]   and code, right? So what that looks like is, is slightly different. Um, come over here. So we have
[00:25:24.680 --> 00:25:29.720]   our eval, but this is just a class that's coming from our brain trust SDK. Again, it's looking for the
[00:25:29.720 --> 00:25:34.680]   exact same things that I just described, right? A data set that we can use from, uh, brain trust itself.
[00:25:34.680 --> 00:25:41.160]   Uh, the task that we want to invoke and then the scores. So again, defining this here within, uh,
[00:25:41.160 --> 00:25:45.000]   within your code base, certainly possible. And then I can run, you know, a command
[00:25:45.000 --> 00:25:54.440]   that actually runs that eval within brain trust. So from here, go into brain trust, see the eval running.
[00:25:54.440 --> 00:26:00.040]   This is now experiment that I can view over time. So again, like you saw two different types of workflows
[00:26:00.040 --> 00:26:05.080]   here, uh, again, catering to maybe two different personas or again, the way in which organizations
[00:26:05.080 --> 00:26:10.440]   want to work, it's up to them. Brain trust is very flexible and how we allow our users to, uh,
[00:26:10.440 --> 00:26:12.200]   to consume or use the platform.
[00:26:12.200 --> 00:26:28.040]   Uh, probably jumped ahead a little bit, but this is sort of a recap of what I just showed you. Again,
[00:26:28.040 --> 00:26:32.520]   from your code, you, you create your prompts, your scores, your data sets, you can push them in there.
[00:26:32.520 --> 00:26:37.720]   Uh, maybe it's just importantly to important to highlight here of like why you would do this.
[00:26:37.720 --> 00:26:42.040]   Uh, you want to source control your, your prompts. Uh, the big one here to call out is the online
[00:26:42.040 --> 00:26:47.720]   scoring. Uh, I have a section in a little bit diving a little bit deeper into that. Uh, but if you want
[00:26:47.720 --> 00:26:52.280]   to use those scores that we define in the dataset, we should push them into brain trust so that we can
[00:26:52.280 --> 00:26:56.840]   create online scores. We can understand how our application is performing in production relative
[00:26:56.840 --> 00:27:00.200]   to those scores that we want or that we're using within our offline evals.
[00:27:00.200 --> 00:27:06.920]   What I just showed you, maybe another, uh, another variation of that, that eval within our code. Again,
[00:27:06.920 --> 00:27:12.360]   defining that dataset, defining that task, defining those scores becomes very, very easy to now connect
[00:27:12.360 --> 00:27:16.840]   these two things. It's just again, up to you to decide where you are, where you want to do this.
[00:27:16.840 --> 00:27:21.960]   The other thing to call out here is that this can be run via CI/CD. We do have some customers that,
[00:27:21.960 --> 00:27:27.320]   that want to run their evals as part of the CI process. So understanding in a more automated way,
[00:27:27.320 --> 00:27:31.720]   right? The, the score for A, B and C, whatever they've configured. Has it gotten better? Has it
[00:27:31.720 --> 00:27:36.680]   gotten worse? This becomes maybe a check as part of CI. There is, uh, if you look within our documentation,
[00:27:36.680 --> 00:27:40.280]   there's a, a GitHub action example that shows you how you could set this up.
[00:27:40.280 --> 00:27:45.320]   Cool. Let's, let's move to production.
[00:27:48.520 --> 00:27:53.880]   Moving to production entails setting up logging, right? It entails instrumenting our application
[00:27:53.880 --> 00:28:01.240]   with, uh, with brain trust, um, code, uh, being able to like say, I want to wrap this, this, uh,
[00:28:01.240 --> 00:28:06.760]   LLM client. I want to wrap this particular function when it goes to call that tool becomes very, very easy
[00:28:06.760 --> 00:28:11.640]   to do that. But so, so why should you do it? Um, I think I've probably said it, said it numerous times
[00:28:11.640 --> 00:28:16.680]   here, but we want to measure quality on live traffic, right? We actually want to understand how well our
[00:28:16.680 --> 00:28:22.600]   application is performing with those scores really great to use during offline evals becomes, uh,
[00:28:22.600 --> 00:28:27.480]   our aid in ensuring that we, that we build really good applications that we're not creating regressions,
[00:28:27.480 --> 00:28:32.440]   but also really important to monitor that live traffic. The other really important thing to call
[00:28:32.440 --> 00:28:38.520]   out, I think is that, that flywheel effect that it creates. So we have these data sets that we use to
[00:28:38.520 --> 00:28:44.040]   inform our offline evals. It's very, very easy now to take the, the logs that are generated within
[00:28:44.040 --> 00:28:49.960]   production and add those back to data sets. This also, um, speaks to some of that human
[00:28:49.960 --> 00:28:55.080]   review component where we want to now bring those humans in. They can start to review some of the
[00:28:55.080 --> 00:28:59.720]   logs that are relevant. Like maybe there's user feedback equals zero. Maybe there's a comment or
[00:28:59.720 --> 00:29:04.280]   whatever it is, but like they can filter down to those particular things. And as they find really
[00:29:04.280 --> 00:29:09.800]   interesting, maybe test cases, it's very, very easy to add those, uh, back to the data set that we use in
[00:29:09.800 --> 00:29:15.160]   our offline evals. So I think the, the feedback loop or the flywheel effect that that's, that this creates
[00:29:15.160 --> 00:29:21.640]   is one of the really fundamental value props of, of the platform. So how do we do this? Uh, there,
[00:29:21.640 --> 00:29:25.160]   there's a couple different ways, right? We're first going to initialize a logger. This is just going to
[00:29:25.160 --> 00:29:30.600]   authenticate us into brain trust and point us to a project. Uh, you may have seen when I opened up the
[00:29:30.600 --> 00:29:36.440]   platform, I had numerous projects inside of there. You can almost think of a project as a, as a container for
[00:29:36.440 --> 00:29:41.480]   that feature, right? So you probably have multiple AI features that you're building. I want to have
[00:29:41.480 --> 00:29:46.920]   the container for feature A for those prompts, those scores, those data sets. You could certainly utilize
[00:29:46.920 --> 00:29:51.640]   those things across projects, but it becomes a really good sort of way to, uh, containerize the things that
[00:29:51.640 --> 00:29:57.720]   are important for that feature. Then you can start really basic, right? You can wrap a, uh, an LLM client.
[00:29:57.720 --> 00:30:05.640]   Uh, so when you saw those, some of those metrics with like tokens and LLM duration and costs, uh, just very
[00:30:05.640 --> 00:30:10.680]   basically within the, the, uh, the script or excuse me, the, the code here, I just wrapped that open AI
[00:30:10.680 --> 00:30:16.520]   client. And now I'm just sort of ingesting all of that, those metrics into my logs. That's the easiest
[00:30:16.520 --> 00:30:21.960]   way to get started. You obviously probably want to do a little bit more again. Maybe you want to, uh,
[00:30:21.960 --> 00:30:28.120]   understand when, you know, that LLM invokes a tool. So I want to trace, uh, I can add a trace decorator
[00:30:28.120 --> 00:30:35.080]   on top of a function. Uh, I can even use some of the, like the, the brain trust low level, like span elements
[00:30:35.080 --> 00:30:39.240]   to create custom logs. And I want to customize the input and I want to customize the output and
[00:30:39.240 --> 00:30:44.520]   the metadata that we, that we log to that span. So again, you can, you can start very basic with
[00:30:44.520 --> 00:30:48.920]   wrapping a client and then go down to like the individual span itself, specifying that input and
[00:30:48.920 --> 00:30:49.480]   that output.
[00:30:49.480 --> 00:30:58.600]   This leads us to online scoring, right? This is, I talked a little bit about this, right? This is where
[00:30:58.600 --> 00:31:04.280]   like when our logs are coming in, we can actually configure within the platform, those scores that we want to run,
[00:31:04.280 --> 00:31:08.520]   and we can specify sort of a sampling rate. So we don't necessarily run that score across
[00:31:08.520 --> 00:31:14.600]   every single log that comes in. Maybe it's 10%, 20%, so on. Um, but it, but it creates that really
[00:31:14.600 --> 00:31:20.440]   tight feedback loop that, that I've been talking about. Uh, also maybe just important to mention
[00:31:20.440 --> 00:31:24.840]   the early regression alerts. So we can create automations within the brain trust platform.
[00:31:24.840 --> 00:31:30.680]   If my score drops below a certain threshold, let's create an alert, uh, with it, with our automation feature.
[00:31:33.560 --> 00:31:37.880]   This is just, uh, and I can maybe walk through what this looks like instead of showing you here.
[00:31:37.880 --> 00:31:45.560]   Uh, the custom views. This is where like, there's a lot of really rich information within these logs,
[00:31:45.560 --> 00:31:50.280]   and it becomes really important, I think, again, for the human review component to like filter these
[00:31:50.280 --> 00:31:54.360]   down to the things that they care about, or the things that anybody cares about. So we can create
[00:31:54.360 --> 00:31:59.880]   custom views within brain trust with the appropriate filters. Uh, and then it's very easy for that human to
[00:31:59.880 --> 00:32:05.080]   go into what we call human review mode within brain trust and sort of parse through those logs. Uh,
[00:32:05.080 --> 00:32:08.200]   the ones that are the, the ones that are going to be most meaningful to them.
[00:32:08.200 --> 00:32:16.360]   Let me, uh, let me connect some of those, those dots there. So
[00:32:16.360 --> 00:32:23.080]   again, showing you some code, maybe good, maybe bad, but, um, I'm guessing there's some technical
[00:32:23.080 --> 00:32:34.280]   people in the room that don't mind here. So if I look for, um, the, uh, you may have seen in one of
[00:32:34.280 --> 00:32:40.920]   those slides, there is a, you know, the Vercel AI SDK. I want to wrap this AI SDK model. Uh, again,
[00:32:40.920 --> 00:32:46.120]   this allows us to just create all of those metrics within brain trust with just zero lift from us as a
[00:32:46.120 --> 00:32:51.800]   developer. This becomes really easy to do. Uh, you can also see where I have specified that span
[00:32:51.800 --> 00:32:57.640]   itself, right? I actually want to define the inputs and the outputs of that. The reason you would do
[00:32:57.640 --> 00:33:03.000]   that is because you have a specific dataset with a structure that you want to ensure maps to that.
[00:33:03.000 --> 00:33:07.400]   So like when you are within those logs, parsing through them, it becomes really easy to add those
[00:33:07.400 --> 00:33:13.080]   spans back to that dataset. So ensuring that that data structure is sort of consistent across offline and
[00:33:13.080 --> 00:33:18.040]   online becomes really important again to create that feedback loop. So this is, you know, very high
[00:33:18.040 --> 00:33:24.120]   level of like how we can start to create those spans. Um, now that we do, right, we can now go in, uh,
[00:33:24.120 --> 00:33:29.720]   the platform and start to configure our online scoring. So this is here just within this configuration pane.
[00:33:29.720 --> 00:33:39.960]   I can click online scoring. I'll just delete, I'll create a new rule. Uh, so my new rule and here's
[00:33:39.960 --> 00:33:44.760]   where we can add different scores, right? Obviously I have a few here that I've been using for the
[00:33:44.760 --> 00:33:49.000]   offline evals. I don't necessarily need to select all of them, but I certainly can.
[00:33:49.000 --> 00:33:55.720]   And then I want to, uh, apply a sampling rate. So I want to actually give you an example of what this
[00:33:55.720 --> 00:33:59.880]   looks like. So I'm going to do a hundred percent. The other thing to call out here is that you can apply
[00:33:59.880 --> 00:34:05.560]   these to the individual spans themselves and not the entire route span. So where this becomes beneficial is
[00:34:05.560 --> 00:34:12.040]   like when you are invoking maybe tool calls, you're invoking like a, a rag workflow and you actually
[00:34:12.040 --> 00:34:17.880]   want to create a score on whether or not the thing that it gave back, uh, is actually relevant to the
[00:34:17.880 --> 00:34:22.840]   user's query. So we can actually create a score specifically for that and highlight what that span
[00:34:22.840 --> 00:34:28.520]   is here. So again, very, very flexible in how you apply these scores to the things that are happening
[00:34:28.520 --> 00:34:37.080]   online. Now, when I come back here to the application and we'll just run this again,
[00:34:37.080 --> 00:34:43.640]   uh, creating that change log, you'll now start to see here within, uh, the logs,
[00:34:43.640 --> 00:34:49.320]   this will start to show up and then you'll start to see these scores be generated.
[00:34:49.320 --> 00:34:53.800]   Right. Again, this is where like you can now start to understand over time in production,
[00:34:53.800 --> 00:34:57.800]   how are these things doing? How are they faring? Where can we get better? Uh, again,
[00:34:57.800 --> 00:35:01.400]   now we can connect again, like the things that are happening in our offline evals
[00:35:01.400 --> 00:35:06.360]   with the things that are happening with online. The other thing to call out here is the, uh,
[00:35:06.360 --> 00:35:11.240]   the feedback mechanism, right? Uh, we certainly have, uh, the ability to do like human review,
[00:35:11.240 --> 00:35:17.400]   but oftentimes you want your users to provide feedback as well. And so this is just a basic example of a
[00:35:17.400 --> 00:35:20.440]   a thumbs up, thumbs down, and you can even provide a comment here.
[00:35:20.440 --> 00:35:29.960]   This can now be logged to brain trust. So I should see over here my user feedback. So here's my,
[00:35:29.960 --> 00:35:36.360]   my comment. And then I have my user feedback score, but now I can also do something like this. So again,
[00:35:36.360 --> 00:35:43.480]   maybe I want to filter my logs down to where user feedback is zero. So click that button. I'm going to
[00:35:43.480 --> 00:35:55.160]   change this to zero, right? I don't have any rows yet like that, but now I can save this as a view and
[00:35:55.160 --> 00:36:00.680]   people who are now using this as human review can filter this down to where user feedback equals zero.
[00:36:00.680 --> 00:36:04.440]   And we can figure out what's going on, right? What are the things that, that fell down here within
[00:36:04.440 --> 00:36:10.040]   this application that we need to go fix? The other thing I'll highlight here is our sort of human review
[00:36:10.040 --> 00:36:16.680]   component. Uh, actually, um, you, you click that, that button or you can hit just R and it opens up
[00:36:16.680 --> 00:36:22.520]   this, this different pane of your log. So it's a pared down version of what you just saw there.
[00:36:22.520 --> 00:36:27.080]   It's a little bit easier for a human to go through and actually look at that, that, that input and that
[00:36:27.080 --> 00:36:32.600]   output. But you as a, as a user of brain trust can configure the human review scores that you would
[00:36:32.600 --> 00:36:39.240]   like to, uh, to, to use. So I have this add something here. So maybe this is a little bit more free text.
[00:36:39.240 --> 00:36:45.000]   I have a better score. Again, these are the things that, that you can add to your platform that map to the,
[00:36:45.000 --> 00:36:50.840]   the, the, the, the review, excuse me, the scores that you want your, your humans to, to add to those logs.
[00:36:55.480 --> 00:37:01.320]   Um, just really quick, I'll, I'll highlight some of these things here. Um, this is what it starts
[00:37:01.320 --> 00:37:06.440]   to look like when you instrument your, uh, your application with those different, um, wrappers or
[00:37:06.440 --> 00:37:11.400]   those different trace functions. Um, I'm able to understand at a very granular level, excuse me,
[00:37:11.400 --> 00:37:15.640]   granular level, the things that it's doing, right? So I essentially have these tool calls where it's
[00:37:15.640 --> 00:37:20.040]   going out and it's grabbing the commits from GitHub. It's understanding what the latest release is,
[00:37:20.040 --> 00:37:24.840]   and it's fetching the commits from that latest release. And now I can generate that change log.
[00:37:24.840 --> 00:37:28.680]   But again, the, the really unique thing here, and maybe a different example of this
[00:37:28.680 --> 00:37:35.320]   is I can start to score those individual things that are happening. So this is a different, uh,
[00:37:35.320 --> 00:37:44.840]   application with, uh, with this example. So if I open this up, I have these, uh, this conversational
[00:37:44.840 --> 00:37:49.800]   analytics application. So a user can ask a question and can return back some data. But this application
[00:37:49.800 --> 00:37:54.440]   goes through these various steps. Like the first step is to rephrase the question that the user asked.
[00:37:54.440 --> 00:38:00.360]   So imagine like there's this chat history that we can load in as input and the LLM needs to rephrase
[00:38:00.360 --> 00:38:05.880]   that user question. If the LLM does a really bad job of rephrasing this question, everything as a result
[00:38:05.880 --> 00:38:10.360]   of this will fall down. Probably not going to get a right, a right answer. So what I can do is create a
[00:38:10.360 --> 00:38:17.800]   score specifically for that span to understand how well the LLM did in rephrasing that question. You can also
[00:38:17.800 --> 00:38:22.440]   understand the intent that I was able to derive or the LLM was able to derive from that question.
[00:38:22.440 --> 00:38:27.880]   Is that right? But you start to think of like these, these more complex type of applications that you
[00:38:27.880 --> 00:38:32.040]   build. You need to be able to understand the individual steps that are happening. And Braintrust
[00:38:32.040 --> 00:38:36.760]   allows for that very, very easily via these scores and then being able to apply them not only again while
[00:38:36.760 --> 00:38:42.280]   you're in offline eval kind of mode, but also online, right? We want to understand these logs and be able
[00:38:42.280 --> 00:38:45.800]   to apply these scores at the individual span level. This becomes pretty powerful as well.
[00:38:51.400 --> 00:38:57.880]   I think I actually stole from my next section, my human in the loop. Kind of walked through this a little bit.
[00:38:57.880 --> 00:39:05.480]   Maybe just another call out. If you happen to be at one of our workshops on Tuesday, Sarah from Notion,
[00:39:05.480 --> 00:39:10.200]   who's a Braintrust customer, talked a little bit about how they think about human in the loop.
[00:39:10.200 --> 00:39:15.640]   I think it's important to consider like the size of her organization and what they're doing.
[00:39:15.640 --> 00:39:23.080]   She mentioned that like she has a special type of role that they use for human in the loop type of
[00:39:23.080 --> 00:39:27.880]   interaction, right? There is, it's almost like a product manager mixed with an LLM specialist.
[00:39:28.680 --> 00:39:32.280]   They're the people that are going through and doing those human reviews. Smaller organizations,
[00:39:32.280 --> 00:39:36.760]   she made, she made a comment that was, it actually makes a lot of sense for the engineers,
[00:39:36.760 --> 00:39:42.360]   some engineers to actually go through and do this as well. It becomes really powerful to pair like the
[00:39:42.360 --> 00:39:48.120]   automation with a human component of this. Like this is not going to go away. I think it adds value to the
[00:39:48.120 --> 00:39:48.600]   process.
[00:39:48.600 --> 00:39:55.960]   Again, I think I just stole from myself like why, why this matters, right? This is really critical for
[00:39:55.960 --> 00:40:02.600]   the quality and the reliability of your application. It provides that ground truth for what you're doing.
[00:40:02.600 --> 00:40:09.720]   Two types of human in the loop interactions here. I walked you through that human review.
[00:40:09.720 --> 00:40:16.840]   Give me one second and I'll call you. Yeah. The two, excuse me, the two types, the human review,
[00:40:16.840 --> 00:40:21.720]   being able to like create that interface within Braintrust that allows that user to kind of parse
[00:40:21.720 --> 00:40:26.760]   through the logs in a really easy manner, as well as configuring scores that allow them to add the
[00:40:26.760 --> 00:40:31.400]   relevant scores to that particular log. And then the user feedback. This is actually coming from our
[00:40:31.400 --> 00:40:37.000]   users in the application. Again, being able to create sort of views on top of that feedback that then
[00:40:37.000 --> 00:40:44.200]   power maybe the human review and then creates that flywheel effect that we want. That's all I have
[00:40:44.200 --> 00:40:53.880]   today. Appreciate you all coming out here and listening to me. But yeah, if you have a question. Thanks.
[00:40:53.880 --> 00:40:56.920]   Yeah. The question is around like, how are we using human review and like some of the logs and informing the,
[00:40:56.920 --> 00:41:02.600]   the, the offline eval portion of this largely that. Cool.
[00:41:02.600 --> 00:41:09.400]   Yeah. The question is around like, how are we using a human review and like some of the logs and informing the,
[00:41:09.400 --> 00:41:14.840]   the offline eval portion of this largely that goal.
[00:41:14.840 --> 00:41:26.520]   Uh, yeah, one thing I, maybe I didn't highlight here is so maybe back within Braintrust. I'm going to go back to my initial project.
[00:41:26.520 --> 00:41:44.200]   So, imagine now like we have, we have all of these logs. We filtered it down to a particular, oh.
[00:41:44.200 --> 00:41:49.560]   Are we still showing?
[00:41:54.440 --> 00:41:55.000]   On the screen.
[00:41:55.000 --> 00:42:05.400]   Awesome. Thank you. Um, yeah. So imagine like we, we have this, uh, this, this process now,
[00:42:05.400 --> 00:42:09.640]   right, where we're, we're doing that human review. We filtered it down to the records that are meaningful
[00:42:09.640 --> 00:42:14.760]   for whatever reason. It becomes really easy again to connect what's happening within production. So I,
[00:42:14.760 --> 00:42:19.800]   maybe I select all of these rows or I select individual rows, but I can add these back to the data
[00:42:19.800 --> 00:42:24.280]   set that we're using within those offline evals. I, I think I've said this like a hundred
[00:42:24.280 --> 00:42:29.880]   times over this conference, this flywheel effect. This is like, I think what's missing oftentimes
[00:42:29.880 --> 00:42:33.720]   when we're building these, these AI applications and what Braintrust allows for really seamlessly.
[00:42:33.720 --> 00:42:35.240]   Yeah.
[00:42:35.240 --> 00:42:41.480]   Uh, I have two questions. Uh, the first one is about production. Uh,
[00:42:41.480 --> 00:42:46.360]   is it possible to have multiple models in production and compare how they behave?
[00:42:46.360 --> 00:42:51.960]   Yeah. I, I don't see why not. Like my, my, my guess is in the underlying application, you're swapping
[00:42:51.960 --> 00:42:51.960]   them out.
[00:42:51.960 --> 00:42:57.960]   Like, uh, having like a B test, you know, I can have like a two or three or four and
[00:42:57.960 --> 00:42:58.920]   easily compare.
[00:42:58.920 --> 00:43:02.440]   Absolutely. Yeah. Um, let's see if I have an example here.
[00:43:02.440 --> 00:43:08.840]   You're able to, to group some of these scores. Uh, maybe this is sort of an example of, of what you're
[00:43:08.840 --> 00:43:15.000]   talking about. So like maybe within production, we have different models running. Uh, this, this sort of view here allows us to
[00:43:15.000 --> 00:43:20.680]   understand like the, the models that we're using under the hood. Uh, and this is just, you know,
[00:43:20.680 --> 00:43:24.040]   you could do this within production as well and sort of do that A/B testing.
[00:43:24.040 --> 00:43:31.960]   Cool. Uh, my, my second question is about humans in the loop, right? Um, let's suppose that I have
[00:43:31.960 --> 00:43:41.000]   multiple humans and, um, they behave, uh, slightly different as his quarter, his quarters. Do you have
[00:43:41.000 --> 00:43:46.680]   anything or what, what is the vision to do with that? Like, is there a way that I can
[00:43:46.680 --> 00:43:49.960]   actually compare how they're scoring or something like that or not really?
[00:43:49.960 --> 00:43:55.960]   So different users can maybe have different sort of criteria for scoring. Maybe the first thing I
[00:43:55.960 --> 00:43:59.800]   would say to that is like, there, there should be like maybe a rubric for your users who are
[00:43:59.800 --> 00:44:05.480]   interacting with human review. So you're not creating that. Uh, you certainly have the ability to see,
[00:44:05.480 --> 00:44:10.280]   like who is scoring different things within the platform. Um, I'm not sure if you're able to
[00:44:10.280 --> 00:44:15.240]   pull that as like a data set to like assess the differences there, but maybe like before it gets
[00:44:15.240 --> 00:44:21.400]   to that place, like have a rubric, have a guideline of, of what scoring looks like for your humans.
[00:44:21.400 --> 00:44:23.560]   Okay. Thank you. Yeah, of course.
[00:44:23.560 --> 00:44:34.520]   Hi. Um, so the scores I'm used to working with for like LLM as a judge are like, they're relativistic,
[00:44:34.520 --> 00:44:42.360]   right? So they can't tell you is the answer relevancy good or bad for a single run, but it can tell you
[00:44:42.360 --> 00:44:52.120]   how it compares to previous iteration of like the same test set, for example. Um, do you guys use LLM
[00:44:52.120 --> 00:45:03.320]   as a judge scores for online or is, and like, how are, are they relativistic like that? Or do you have
[00:45:03.320 --> 00:45:10.280]   some way to be like, this is a good answer, you know, in and of itself for this sample or because it's all,
[00:45:10.280 --> 00:45:14.520]   you have new data coming in, right? Yeah, I think a lot of our customers who are thinking about this
[00:45:14.520 --> 00:45:20.440]   are, are like almost doing evals on their evals, like trying to understand, did the LLM as a judge
[00:45:20.440 --> 00:45:25.320]   actually do a good job there? So like when that actually runs, there's a rationale behind it.
[00:45:25.320 --> 00:45:31.800]   And so you can sort of run an eval of those LLMs as a judge. I think Sarah from Notion in our workshop
[00:45:31.800 --> 00:45:36.600]   described sort of a process like that within Notion, but I think that's, that's sort of like where I would aim
[00:45:36.600 --> 00:45:41.240]   continue. Okay. Cool. Thanks. Cool. Awesome.
[00:45:41.240 --> 00:45:53.960]   Are any of your customers doing evals before they launch? Like, I'm working with a government.
[00:45:55.240 --> 00:46:02.840]   they don't want to launch until we show some accuracy levels. Yeah. So we're getting our subject
[00:46:02.840 --> 00:46:09.720]   matter experts to enter in all the questions that they have, right? And they have huge data sets of
[00:46:09.720 --> 00:46:18.200]   thousands of questions. Believe me, as a government. And then we're using measures like you're talking
[00:46:18.200 --> 00:46:26.920]   about. Do you have a way to do that? Like, I guess it's, I guess it's the same. Is it?
[00:46:26.920 --> 00:46:34.680]   So what you're describing is what we call offline evals, right? This is development, right? We can
[00:46:34.680 --> 00:46:39.960]   actually do this testing before we get into production. This is what I was talking about,
[00:46:39.960 --> 00:46:45.480]   like establish that baseline, right? Using those scores, using that data set that you've already
[00:46:45.480 --> 00:46:50.920]   created. But this all happens before we get into production, right? And then you can like, one of the
[00:46:50.920 --> 00:46:56.680]   things that I heard from somebody earlier is like, one of my challenging things of building this AI
[00:46:56.680 --> 00:47:04.120]   application is establishing trust or creating that trust in this thing. That's part of what this is,
[00:47:04.120 --> 00:47:10.200]   right? It's like, it's showing, showing those people the scores of that application. So you start to
[00:47:10.200 --> 00:47:15.400]   iterate on this thing. Maybe it starts at 20%, then it goes to 30, then at 40, and so on. That to me is
[00:47:15.400 --> 00:47:20.680]   the thing that you use to create that trust and create that like groundswell to push it into production.
[00:47:20.680 --> 00:47:27.240]   Okay. Yeah, that is what we're trying to do. But I wondered if I can see the tool does that. Thank
[00:47:27.240 --> 00:47:36.200]   you. Yeah, of course. Time for one more. Thanks. Quick question. I love the CICD components. We're
[00:47:36.200 --> 00:47:41.720]   trying to build a lot of -- we're trying to build like MLS as a platform for our team. So we get into
[00:47:41.720 --> 00:47:48.680]   evals and stuff like that. So how much of the monitoring dashboard you have in BrainTrust can actually be
[00:47:48.680 --> 00:47:52.760]   like take the data taken out and posted in a unified dashboard somewhere else.
[00:47:52.760 --> 00:47:59.240]   Yeah. All of this is available via SDK, right? You can pull down experiments. You can pull down
[00:47:59.240 --> 00:48:04.360]   data sets. So you're able to, you know, pull this down. Like we have -- we have a customer that is
[00:48:04.360 --> 00:48:09.960]   actually building their own UI on top of like the SDK itself. Like so they built their own sort of like
[00:48:09.960 --> 00:48:16.520]   components utilizing the SDK and pulling the sort of things that we've logged, the experiments that we have
[00:48:16.520 --> 00:48:19.720]   in the application into their own UI. So it's certainly possible.
[00:48:19.720 --> 00:48:20.600]   Awesome. Oh, great. Thanks.
[00:48:20.600 --> 00:48:30.520]   Yeah. All right. Cool. Thanks, everybody.

