
[00:00:00.040 --> 00:00:09.460]   intelig
[00:44:58.320 --> 00:44:58.320]   I think that's a great question.
[00:44:58.320 --> 00:44:58.360]   I think that's a great question.
[00:44:58.360 --> 00:44:58.420]   I think that's a great question.
[00:44:58.420 --> 00:44:58.460]   I think that's a great question.
[00:44:58.460 --> 00:45:27.660]   I think that's a great question.
[00:45:27.660 --> 00:45:27.700]   I'm taking this question as a question that I think that's a great question.
[00:45:27.700 --> 00:45:27.720]   I'm taking this question as a question that I think that's a great question.
[00:45:27.720 --> 00:45:27.780]   I'm taking this question as a question that I think that's a great question.
[00:45:27.780 --> 00:45:27.800]   I'm taking this question as a question that I think that's a great question.
[00:45:27.820 --> 00:45:31.740]   I'm taking it all in, but I'm assuming it's a rhetorical statement.
[00:45:31.740 --> 00:45:35.300]   I'm not sure you need anything from me on this just now, do you?
[00:45:35.300 --> 00:45:36.640]   No, yeah, yeah, correct.
[00:45:36.640 --> 00:45:40.700]   I was just giving you an opportunity to, if you have any response, I was just giving
[00:45:40.700 --> 00:45:41.180]   you an opportunity.
[00:45:41.180 --> 00:45:41.980]   You're welcome to respond.
[00:45:41.980 --> 00:45:43.900]   I do have some thoughts.
[00:45:43.900 --> 00:45:49.500]   They're not especially well formulated, so I don't spend very much of my time.
[00:45:49.500 --> 00:45:57.720]   Interestingly, I do spend a lot of my time on the macro forces that have brought us to this
[00:45:57.720 --> 00:45:57.820]   moment.
[00:45:57.820 --> 00:45:57.820]   I do spend a lot of my time on the macro forces that have brought us to this moment.
[00:45:57.820 --> 00:45:57.820]   I do spend a lot of my time on the macro forces that have brought us to this moment.
[00:45:57.820 --> 00:45:57.820]   I do spend a lot of my time on the macro forces that have brought us to this moment.
[00:45:57.820 --> 00:46:27.840]  , and how deeply flawed the American empire is.
[00:46:27.840 --> 00:46:27.840]   I do spend a lot of my time on the macro forces that have brought us to this moment.
[00:46:27.840 --> 00:46:27.840]   I do spend a lot of my time on the macro forces that have brought us to this moment.
[00:46:27.840 --> 00:46:27.840]   I do spend a lot of my time on the macro forces that have brought us to this moment.
[00:46:27.840 --> 00:46:27.840]   I do spend a lot of my time on the macro forces that have brought us to this moment.
[00:46:27.840 --> 00:46:27.840]   I do spend a lot of my time on the macro forces that have brought us to this moment.
[00:46:27.840 --> 00:46:27.840]   I do spend a lot of my time on the macro forces that have brought us to this moment.
[00:46:27.860 --> 00:46:57.860]   I do spend a lot of my time on the macro forces that have brought us to this moment.
[00:46:57.860 --> 00:46:57.860]   The macro forces that have brought us to this moment.
[00:46:57.860 --> 00:46:57.860]   The macro forces that have brought us to this moment.
[00:46:57.860 --> 00:46:57.860]   The macro forces that have brought us to this moment.
[00:46:57.860 --> 00:46:57.860]   The macro forces that have brought us to this moment.
[00:46:57.860 --> 00:46:57.860]   The macro forces that have brought us to this moment.
[00:46:57.860 --> 00:46:57.860]   The macro forces that have brought us to this moment.
[00:46:57.860 --> 00:46:57.860]   The macro forces that have brought us to this moment.
[00:46:57.860 --> 00:46:57.860]   The macro forces that have brought us to this moment.
[00:46:57.860 --> 00:46:57.860]   The macro forces that have brought us to this moment.
[00:46:57.860 --> 00:46:57.860]   The macro forces that have brought us to this moment.
[00:46:57.860 --> 00:46:57.860]   The macro forces that have brought us to this moment.
[00:46:57.860 --> 00:46:57.860]   The macro forces that have brought us to this moment.
[00:46:57.860 --> 00:46:57.860]   The macro forces that have brought us to this moment.
[00:46:57.860 --> 00:46:57.860]   The macro forces that have brought us to this moment.
[00:46:57.860 --> 00:46:57.860]   The macro forces that have brought us to this moment.
[00:46:58.080 --> 00:47:27.880]   The macro forces that have brought us to this moment.
[00:47:27.880 --> 00:47:27.880]   The macro forces that have brought us to this moment.
[00:47:27.880 --> 00:47:27.880]   The macro forces that have brought us to this moment.
[00:47:27.880 --> 00:47:27.880]   The macro forces that have brought us to this moment.
[00:47:27.880 --> 00:47:27.880]   The macro forces that have brought us to this moment.
[00:47:27.880 --> 00:47:27.880]   The macro forces that have brought us to this moment.
[00:47:27.880 --> 00:47:27.880]   The macro forces that have brought us to this moment.
[00:47:27.880 --> 00:47:27.880]   The macro forces that have brought us to this moment.
[00:47:27.920 --> 00:47:29.920]   change
[00:47:29.920 --> 00:47:57.900]   I and,
[00:47:57.940 --> 00:48:08.080]   might
[00:48:08.080 --> 00:48:25.640]  � gere you,,,,
[00:48:26.520 --> 00:48:36.560]   her
[00:48:36.560 --> 00:48:54.380]   E I see. Kristen.
[00:48:54.380 --> 00:48:55.940]   as, hard, bell, personnel,,,,,,,,,,,,,, but mon já就是說 Sesame réussicess go superpowerここipl don correspond howeverabout getعة
[00:50:24.400 --> 00:50:24.400]   I see.
[00:50:53.900 --> 00:50:54.420]   I see.
[00:51:23.900 --> 00:51:23.900]   I see.
[00:51:23.900 --> 00:51:23.900]   I see.
[00:51:23.900 --> 00:51:24.020]   I see.
[00:51:24.020 --> 00:51:24.100]   I see.
[00:51:53.640 --> 00:52:05.060]   Bitch
[00:54:16.600 --> 00:54:16.840]   "I don't mind a good liberal argument." The concern to me is when... I would rather deal, me personally, I would rather deal with the local thugs who may or may not have badges than ever deal with the federal thugs who control everything. And that's the problem. Is that if you have a virtuous people, of course it sounds like a good thing, but if you have a good person, then you're not going to be able to control everything. So I don't mind a good liberal argument.
[00:55:14.340 --> 00:55:14.480]   "I don't mind a good liberal argument." The concern to me is when... I would rather deal, me personally, I would rather deal with the federal thugs who control everything. And that's the problem. Is that a good liberal argument?
[00:55:14.480 --> 00:55:14.980]   "I don't mind a good liberal argument." The concern to me is when... I would rather deal with the federal thugs who control everything. And that's the problem. Is that a good liberal argument?
[00:55:15.020 --> 00:55:22.060]   I
[00:55:22.060 --> 00:55:25.280]   kids. The I am,,,,,,
[00:57:32.860 --> 00:57:44.820]   pacific. I'm going to ask you to read my work and I'll continue doing my work and hopefully one by one we will be able to help our neighbors. Tell us your website and your I'll, I'll, I'll point your Twitter handle Lisa, but go ahead and tell us your website in case any of my listeners are interested in in reading more of your work.
[00:57:44.820 --> 00:57:58.300]   Thank you. So I, I should have an actual website this fall, but for the moment you can find me on medium. You would look for, if you go to medium and look for the traumatized budgets.
[00:57:58.300 --> 00:58:02.220]   Or look for me on Twitter at cheap.
[00:58:02.220 --> 00:58:02.640]   Bohemian.
[00:58:02.640 --> 00:58:02.660]   Bohemian.
[00:58:02.660 --> 00:58:02.760]   Bohemian.
[00:58:02.760 --> 00:58:02.800]   Bohemian.
[00:58:02.800 --> 00:58:25.200]   and I'll get you there.
[00:58:25.200 --> 00:58:25.300]   Thank you for coming on Lisa.
[00:58:25.300 --> 00:58:25.500]   Thank you so much. That's really a pleasure to talk with you.
[00:58:25.500 --> 00:58:29.500]   What the floor this color, the white blanks. These floors from LO flooring are perfect. Oh, my scratch resistance. Are these pet proof too? And I can get the same look in hardwood or waterproof vinyl. Honey, we need them.
[00:58:29.500 --> 00:58:30.900]   Sure, just get off the neighbor's floor and we'll go to LO flooring.
[00:58:30.900 --> 00:58:31.440]  , boh,
[00:58:31.440 --> 00:58:32.000]   It's time to love your floor.
[00:58:32.000 --> 00:58:32.840]   g.
[00:58:32.860 --> 00:58:40.580]   Find the right floor at the right price where your flooring experts from start to finish. Visit us today in store or online at LL flooring.com.

