
[00:00:00.000 --> 00:00:01.260]   I'm Bill Gurley.
[00:18:57.600 --> 00:19:01.080]   This is Walgreens and CVS antigen tests.
[00:19:01.080 --> 00:19:01.880]   There's seven tests.
[00:19:01.880 --> 00:19:04.400]   They're all exactly $23.99.
[00:19:04.400 --> 00:19:05.320]   What is that?
[00:19:05.320 --> 00:19:06.580]   That's not a marketplace.
[00:19:06.580 --> 00:19:09.100]   That's not open competition.
[00:19:09.100 --> 00:19:12.240]   I also went on Boots, the famous UK.
[00:19:12.240 --> 00:19:16.240]   The tests are about $1.50, $1.60 per, today.
[00:19:16.240 --> 00:19:18.680]   So you have a 6x differential in these tests today.
[00:19:18.680 --> 00:19:22.040]   And by the way, I'm not even talking about the fact
[00:19:22.040 --> 00:19:25.840]   that our citizenry may have been much enhanced
[00:19:25.840 --> 00:19:29.160]   by having rapid tests at a much lower price
[00:19:29.160 --> 00:19:31.960]   if they were treated as the commodity they were.
[00:19:31.960 --> 00:19:33.160]   Of course, they weren't.
[00:19:33.160 --> 00:19:36.880]   Now, Washington's got its eyes on Silicon Valley,
[00:19:36.880 --> 00:19:38.280]   and it's from both sides.
[00:19:38.280 --> 00:19:39.320]   We've got Lindsey Graham.
[00:19:39.320 --> 00:19:40.920]   We've got Elizabeth Warren.
[00:19:40.920 --> 00:19:42.520]   There's an article here that says,
[00:19:42.520 --> 00:19:46.680]   Major E. Green agrees with AOC, breaking up big tech.
[00:19:46.680 --> 00:19:47.880]   And you say, why?
[00:19:47.880 --> 00:19:50.120]   Why are they so interested in tech?
[00:19:50.120 --> 00:19:51.360]   This is a poll of voters.
[00:19:51.360 --> 00:19:52.440]   Voters don't care.
[00:19:52.440 --> 00:19:54.480]   Voters are more worried about the industries
[00:19:54.480 --> 00:19:56.720]   where there's a lot of regulatory capture,
[00:19:56.720 --> 00:19:58.120]   but they want to come after tech.
[00:19:58.120 --> 00:19:59.680]   I think I know why.
[00:19:59.680 --> 00:20:02.480]   I think they want them in the system, like the military,
[00:20:02.480 --> 00:20:04.600]   like finance, like telecom.
[00:20:04.600 --> 00:20:07.560]   They want them in the system because there's money.
[00:20:07.560 --> 00:20:10.640]   Now, if Elizabeth Warren attacks big tech,
[00:20:10.640 --> 00:20:13.160]   you think they might go fund the competitor.
[00:20:13.160 --> 00:20:15.800]   And you probably can't read this, but this is open secret.
[00:20:15.800 --> 00:20:17.680]   Spend time on open secrets.
[00:20:17.680 --> 00:20:20.400]   Four of the top 10 contributors to Elizabeth Warren
[00:20:20.400 --> 00:20:23.360]   are Alphabet, Apple, Microsoft, Amazon.
[00:20:23.360 --> 00:20:26.640]   You attack them, they have to come to you.
[00:20:26.640 --> 00:20:29.040]   Some of our peers in Silicon Valley
[00:20:29.040 --> 00:20:30.360]   seem to want them to come, too.
[00:20:30.360 --> 00:20:31.960]   I think they've read Stigler.
[00:20:31.960 --> 00:20:36.360]   Circle, please regulate us.
[00:20:36.360 --> 00:20:38.600]   Brian's on later, so this is risky.
[00:20:38.600 --> 00:20:40.000]   The more regulation--
[00:20:40.000 --> 00:20:43.400]   [APPLAUSE]
[00:20:43.400 --> 00:20:47.520]   I think he's right, by the way.
[00:20:47.520 --> 00:20:50.160]   The more regulation, the better for Coinbase.
[00:20:50.160 --> 00:20:54.280]   That's exactly what Stigler would say.
[00:20:54.280 --> 00:20:58.880]   Mark Zuckerberg needs, wants, and must have regulation.
[00:20:58.880 --> 00:21:02.320]   I get it, Mark.
[00:21:02.320 --> 00:21:04.200]   And Sam's just getting started.
[00:21:04.200 --> 00:21:05.960]   He wants regulation, too.
[00:21:05.960 --> 00:21:08.240]   [APPLAUSE]
[00:21:08.240 --> 00:21:08.760]   Now--
[00:21:08.760 --> 00:21:11.720]   [APPLAUSE]
[00:21:11.720 --> 00:21:18.800]   There's a really scary thing in this AI space.
[00:21:18.800 --> 00:21:23.000]   The incumbents that are running to meet with all the government
[00:21:23.000 --> 00:21:26.240]   are spreading something that I don't think is accurate or fair.
[00:21:26.240 --> 00:21:29.600]   They're spreading a negative open source message.
[00:21:29.600 --> 00:21:31.640]   And I think it's precisely because they
[00:21:31.640 --> 00:21:33.200]   know it's their biggest threat.
[00:21:33.200 --> 00:21:36.760]   And I think what Matt has done with LamaTube
[00:21:36.760 --> 00:21:38.320]   is actually super interesting.
[00:21:38.320 --> 00:21:41.680]   All right, I'm going to wrap up with three things, three
[00:21:41.680 --> 00:21:42.320]   takeaways.
[00:21:42.320 --> 00:21:45.360]   First, I'm not convinced we're very good at regulation.
[00:21:45.360 --> 00:21:48.200]   All four of the stories I told you were failures.
[00:21:48.200 --> 00:21:51.960]   Like, they were a net loss for society, as Stigler says.
[00:21:51.960 --> 00:21:54.200]   There's a picture of Patrick Monaghan,
[00:21:54.200 --> 00:21:57.520]   who was one of the best senators I think we've ever had.
[00:21:57.520 --> 00:22:01.080]   He kept a picture of a pen behind his desk as a reminder.
[00:22:01.080 --> 00:22:03.520]   He felt like Congress should have
[00:22:03.520 --> 00:22:06.200]   to have something similar to the Hippocratic Oath
[00:22:06.200 --> 00:22:07.440]   that doctors have.
[00:22:07.440 --> 00:22:09.000]   First, do no harm.
[00:22:09.000 --> 00:22:10.680]   And the reason he has that point of view
[00:22:10.680 --> 00:22:13.120]   is he feels personally responsible for the homeless
[00:22:13.120 --> 00:22:14.800]   situation in America.
[00:22:14.800 --> 00:22:18.120]   He signed an act with JFK in 1963
[00:22:18.120 --> 00:22:20.560]   that shut down the mental health institutions.
[00:22:20.560 --> 00:22:23.360]   It had a second piece that was supposed to prop something up.
[00:22:23.360 --> 00:22:25.400]   This happens with policy.
[00:22:25.400 --> 00:22:28.240]   Second part didn't happen, emptied out the mental health.
[00:22:28.240 --> 00:22:30.320]   And when everyone talks about the homeless problem,
[00:22:30.320 --> 00:22:32.040]   they should read this interview with him
[00:22:32.040 --> 00:22:34.360]   because they don't go back and talk about this issue.
[00:22:34.360 --> 00:22:35.880]   But it's very relevant.
[00:22:35.880 --> 00:22:37.520]   So I don't think we're very good at it.
[00:22:37.520 --> 00:22:39.080]   That's the first thing.
[00:22:39.080 --> 00:22:41.920]   Second, I think regulatory capture
[00:22:41.920 --> 00:22:43.800]   gives capitalism a bad name.
[00:22:43.800 --> 00:22:45.200]   A couple of people yesterday said,
[00:22:45.200 --> 00:22:46.720]   oh, we've got to fix capitalism.
[00:22:46.720 --> 00:22:48.440]   I think where capitalism's broken
[00:22:48.440 --> 00:22:50.520]   is where the capture's the highest, right?
[00:22:50.520 --> 00:22:52.080]   Like I just showed you some examples.
[00:22:52.080 --> 00:22:55.120]   [APPLAUSE]
[00:22:55.120 --> 00:22:58.640]   You've seen these charts of price across time.
[00:22:58.640 --> 00:23:00.400]   And the highly competitive products
[00:23:00.400 --> 00:23:03.280]   coming out of Silicon Valley are dropping like crazy.
[00:23:03.280 --> 00:23:06.920]   It's health care and education and those kind of things
[00:23:06.920 --> 00:23:08.640]   where you have price increases.
[00:23:08.640 --> 00:23:10.640]   Lastly, one of my favorite authors
[00:23:10.640 --> 00:23:13.520]   is Matt Ridley, and these two books
[00:23:13.520 --> 00:23:16.560]   really cover the span of human time.
[00:23:16.560 --> 00:23:21.160]   And he talks about how three things-- technology, commerce,
[00:23:21.160 --> 00:23:23.880]   and the sharing of ideas--
[00:23:23.880 --> 00:23:27.680]   leads to prosperity for people, leads to increases
[00:23:27.680 --> 00:23:29.160]   in standard of living.
[00:23:29.160 --> 00:23:32.360]   And my big fear is that regulation
[00:23:32.360 --> 00:23:33.840]   is the opposite of this.
[00:23:33.840 --> 00:23:35.520]   It's a blocker to innovation.
[00:23:35.520 --> 00:23:40.280]   So if you care about prosperity and you kill innovation,
[00:23:40.280 --> 00:23:43.640]   you're going to kill prosperity from my point of view.
[00:23:43.640 --> 00:23:46.880]   So in closing, the reason I picked this title
[00:23:46.880 --> 00:23:52.400]   is Silicon Valley's 2,851 miles away from Washington.
[00:23:52.400 --> 00:23:55.280]   And as these people put their eyes toward this,
[00:23:55.280 --> 00:23:57.080]   I would state the following.
[00:23:57.080 --> 00:23:59.720]   The reason Silicon Valley's been so successful
[00:23:59.720 --> 00:24:03.120]   is because it's so fucking far away from Washington, DC.
[00:24:03.120 --> 00:24:04.600]   [APPLAUSE]
[00:24:04.600 --> 00:24:05.600]   Thank you.
[00:24:05.600 --> 00:24:08.080]   [APPLAUSE]
[00:24:08.080 --> 00:24:24.080]   Are we talking?
[00:24:24.080 --> 00:24:25.080]   Are we doing it?
[00:24:25.080 --> 00:24:25.580]   OK.
[00:24:25.580 --> 00:24:26.580]   We're doing it.
[00:24:26.580 --> 00:24:29.060]   [APPLAUSE]
[00:24:29.060 --> 00:24:40.580]   Ladies and gentlemen, Bill fucking Gurley.
[00:24:40.580 --> 00:24:42.540]   [APPLAUSE]
[00:24:42.540 --> 00:24:44.540]   Well--
[00:24:44.540 --> 00:24:45.100]   That was it.
[00:24:45.100 --> 00:24:45.980]   Highlight.
[00:24:45.980 --> 00:24:47.700]   I think we know the best--
[00:24:47.700 --> 00:24:48.740]   Let's all go home.
[00:24:48.740 --> 00:24:51.940]   I think the best talk in the history of all in.
[00:24:51.940 --> 00:24:53.900]   [APPLAUSE]
[00:24:53.900 --> 00:24:55.900]   Boom.
[00:24:55.900 --> 00:24:59.460]   And we need to get it out there immediately
[00:24:59.460 --> 00:25:00.780]   so it can start going viral.
[00:25:00.780 --> 00:25:02.500]   And I think it will go very viral.
[00:25:02.500 --> 00:25:03.000]   Yeah.
[00:25:03.000 --> 00:25:04.940]   [INAUDIBLE]
[00:25:04.940 --> 00:25:06.700]   [LAUGHTER]
[00:25:06.700 --> 00:25:10.020]   Well, you know, I'm just a guy with some experiences.
[00:25:10.020 --> 00:25:12.180]   And I put it together in a deck.
[00:25:12.180 --> 00:25:14.700]   And if you take from it whatever you get,
[00:25:14.700 --> 00:25:15.940]   that's where it's going to go.
[00:25:15.940 --> 00:25:18.340]   I just think the regulatory capture is bad.
[00:25:18.340 --> 00:25:22.340]   So whenever you have it, you've got to run far, far away
[00:25:22.340 --> 00:25:23.020]   from it.
[00:25:23.020 --> 00:25:25.140]   Basically, this is what we do at Poker.
[00:25:25.140 --> 00:25:26.180]   All day.
[00:25:26.180 --> 00:25:29.300]   Gurley, you put a pin in it.
[00:25:29.300 --> 00:25:30.220]   What's the solution?
[00:25:30.220 --> 00:25:30.900]   What can we do?
[00:25:30.900 --> 00:25:31.980]   I figured you'd go there.
[00:25:31.980 --> 00:25:32.480]   Yeah.
[00:25:32.480 --> 00:25:34.140]   [LAUGHTER]
[00:25:34.140 --> 00:25:35.300]   You know, the first thing--
[00:25:35.300 --> 00:25:36.300]   Is politics an answer?
[00:25:36.300 --> 00:25:37.980]   Yeah.
[00:25:37.980 --> 00:25:40.420]   The thing that's actionable, from my point of view,
[00:25:40.420 --> 00:25:42.340]   is just massive transparency.
[00:25:42.340 --> 00:25:45.500]   So I'd love to see what OpenSecrets does
[00:25:45.500 --> 00:25:49.060]   be kind of mandated and way more transparent.
[00:25:49.060 --> 00:25:52.460]   Like, the minute a check lands, everyone knows.
[00:25:52.460 --> 00:25:53.260]   Put it on Twitter.
[00:25:53.260 --> 00:25:53.540]   Yeah.
[00:25:53.540 --> 00:25:54.060]   Exit.
[00:25:54.060 --> 00:25:55.180]   Yeah, whatever, right?
[00:25:55.180 --> 00:25:56.580]   Expose the hell out of it.
[00:25:56.580 --> 00:25:57.980]   Because there's a lot of--
[00:25:57.980 --> 00:26:00.780]   those meetings I had don't show up as tropos.
[00:26:00.780 --> 00:26:02.980]   They show up as all those people.
[00:26:02.980 --> 00:26:06.180]   There's a lot of obfuscation that's out there.
[00:26:06.180 --> 00:26:09.060]   I think that one's potentially solvable.
[00:26:09.060 --> 00:26:10.660]   That was really the only thing I thought
[00:26:10.660 --> 00:26:11.740]   blockchain could handle.
[00:26:11.740 --> 00:26:13.140]   But anyway, that's just a side.
[00:26:13.140 --> 00:26:15.820]   [LAUGHTER]
[00:26:15.820 --> 00:26:16.620]   It gets trickier--
[00:26:16.620 --> 00:26:18.340]   Poor Brian was watching you, by the way.
[00:26:18.340 --> 00:26:20.060]   It gets trickier after that.
[00:26:20.060 --> 00:26:23.860]   One, you guys talked about, Christy,
[00:26:23.860 --> 00:26:26.360]   with this when you're talking about the military industrial
[00:26:26.360 --> 00:26:26.860]   complex.
[00:26:26.860 --> 00:26:29.820]   This rotating door thing is a massive problem.
[00:26:29.820 --> 00:26:32.420]   If you study, there are tons and tons
[00:26:32.420 --> 00:26:34.500]   of senators, presidential candidates,
[00:26:34.500 --> 00:26:35.940]   that are in the Senate.
[00:26:35.940 --> 00:26:37.380]   They're out for two years.
[00:26:37.380 --> 00:26:40.660]   And then they come back with $12 million in their pocket.
[00:26:40.660 --> 00:26:44.260]   And that's happening all over Washington all the time.
[00:26:44.260 --> 00:26:45.420]   And I don't know how--
[00:26:45.420 --> 00:26:47.220]   and Christy said it's impossible,
[00:26:47.220 --> 00:26:50.340]   because they'd have to vote to stop this on their own.
[00:26:50.340 --> 00:26:53.220]   And I think Citizens United should go away.
[00:26:53.220 --> 00:26:54.540]   But it requires--
[00:26:54.540 --> 00:26:56.900]   [APPLAUSE]
[00:26:56.900 --> 00:26:59.380]   It requires the same vote.
[00:26:59.380 --> 00:27:01.580]   And Gurley, is the existing regulatory capture,
[00:27:01.580 --> 00:27:04.140]   like entropy, it only goes in one direction?
[00:27:04.140 --> 00:27:06.300]   Or is it feasible to unwind?
[00:27:06.300 --> 00:27:07.140]   It feels that way.
[00:27:07.140 --> 00:27:09.980]   I mean, one of the candidates you had on, or maybe two,
[00:27:09.980 --> 00:27:11.900]   were talking about shutting down stuff.
[00:27:11.900 --> 00:27:14.220]   That ONC got shut down, which is actually
[00:27:14.220 --> 00:27:16.020]   kind of unusual and nice.
[00:27:16.020 --> 00:27:18.180]   But yeah, I don't know.
[00:27:18.180 --> 00:27:19.020]   I don't know.
[00:27:19.020 --> 00:27:21.420]   I don't see-- there have been attempts
[00:27:21.420 --> 00:27:27.740]   with certain presidents well in the past of deregulating.
[00:27:27.740 --> 00:27:30.700]   But even if that's done by the regulators,
[00:27:30.700 --> 00:27:33.500]   I'm not even sure that will--
[00:27:33.500 --> 00:27:35.820]   How much of-- oh, go ahead, Zach.
[00:27:35.820 --> 00:27:38.780]   I was going to say, on AI, I think
[00:27:38.780 --> 00:27:43.580]   that what was discussed at that hearing that Sam Altman
[00:27:43.580 --> 00:27:45.540]   testified at, I think it's an existential threat
[00:27:45.540 --> 00:27:46.260]   to Silicon Valley.
[00:27:46.260 --> 00:27:50.060]   Because what Sam proposed was, well, we
[00:27:50.060 --> 00:27:52.220]   should have a new regulatory agency,
[00:27:52.220 --> 00:27:54.340]   kind of like the Atomic Energy Commission.
[00:27:54.340 --> 00:27:57.100]   And we should have standards before AI software
[00:27:57.100 --> 00:27:59.100]   can get released and it gets vetted.
[00:27:59.100 --> 00:28:01.180]   And we'll help you write the standards.
[00:28:01.180 --> 00:28:02.500]   You remember all this?
[00:28:02.500 --> 00:28:03.980]   And the reaction--
[00:28:03.980 --> 00:28:04.580]   With pleasure.
[00:28:04.580 --> 00:28:06.220]   And the reaction of the politicians--
[00:28:06.220 --> 00:28:08.500]   I remember all these senators were saying, wow,
[00:28:08.500 --> 00:28:11.540]   this is such a nice young man.
[00:28:11.540 --> 00:28:13.660]   This is not like the other tech CEOs
[00:28:13.660 --> 00:28:17.940]   who've been testifying up here, basically defying us.
[00:28:17.940 --> 00:28:19.340]   How do we work with this person?
[00:28:19.340 --> 00:28:21.260]   And they were saying all these nice things about him.
[00:28:21.260 --> 00:28:23.580]   But the reason why I think this is an existential threat
[00:28:23.580 --> 00:28:26.820]   is because the cutting edge of all software development
[00:28:26.820 --> 00:28:27.900]   right now is AI.
[00:28:27.900 --> 00:28:30.740]   You look at what every software company is doing,
[00:28:30.740 --> 00:28:33.100]   AI is now part of their roadmaps.
[00:28:33.100 --> 00:28:36.820]   So if you subject AI to regulation,
[00:28:36.820 --> 00:28:39.500]   you're basically turning software
[00:28:39.500 --> 00:28:42.900]   into the next big pharma or into the next military industrial
[00:28:42.900 --> 00:28:44.060]   complex.
[00:28:44.060 --> 00:28:46.380]   Washington will run the software industry.
[00:28:46.380 --> 00:28:49.500]   And everything we do in terms of funding
[00:28:49.500 --> 00:28:53.500]   these little startups, these companies with fresh ideas,
[00:28:53.500 --> 00:28:54.340]   it'll just be over.
[00:28:54.340 --> 00:28:56.100]   The government's going to do a code review.
[00:28:56.100 --> 00:28:56.980]   There's no VC industry.
[00:28:56.980 --> 00:28:59.060]   Well, that's similar to what happened with that--
[00:28:59.060 --> 00:29:02.500]   there was an Excel spreadsheet in that EHR example
[00:29:02.500 --> 00:29:05.900]   of the features you had to have in your product.
[00:29:05.900 --> 00:29:08.460]   Can you imagine the government mandating
[00:29:08.460 --> 00:29:09.780]   features of a software product?
[00:29:09.780 --> 00:29:11.780]   I got some product managers going to Washington,
[00:29:11.780 --> 00:29:15.020]   getting approval for what they add to the product.
[00:29:15.020 --> 00:29:19.580]   Another answer might be just to your original question, Dave,
[00:29:19.580 --> 00:29:20.460]   is just awareness.
[00:29:20.460 --> 00:29:22.300]   So getting people more aware and hopefully
[00:29:22.300 --> 00:29:24.260]   this kind of thing can help.
[00:29:24.260 --> 00:29:28.340]   I think knowing what committees your legislators are on
[00:29:28.340 --> 00:29:31.220]   and when they're traveling to visit other states
[00:29:31.220 --> 00:29:33.140]   and other companies and stuff that
[00:29:33.140 --> 00:29:36.860]   have nothing to do with your local situation
[00:29:36.860 --> 00:29:39.380]   they're supposed to be looking after, that'd be helpful.
[00:29:39.380 --> 00:29:41.340]   But once again, the people that would choose--
[00:29:41.340 --> 00:29:42.540]   I think it's just the nature--
[00:29:42.540 --> 00:29:45.140]   --to mandate this are the ones doing it.
[00:29:45.140 --> 00:29:46.740]   Is it just the nature of government
[00:29:46.740 --> 00:29:49.860]   that it has to scale with time?
[00:29:49.860 --> 00:29:51.820]   Because we all think about the government
[00:29:51.820 --> 00:29:53.380]   sitting outside of a market.
[00:29:53.380 --> 00:29:55.220]   But the government is a player in the market.
[00:29:55.220 --> 00:29:57.700]   They consume capital and they distribute capital.
[00:29:57.700 --> 00:29:59.260]   And the US federal government now
[00:29:59.260 --> 00:30:00.940]   is the largest consumer and distributor
[00:30:00.940 --> 00:30:02.860]   of capital in the history of humankind,
[00:30:02.860 --> 00:30:04.100]   of our civilization.
[00:30:04.100 --> 00:30:07.820]   I fear-- and you had Dalio's charts of decline--
[00:30:07.820 --> 00:30:10.900]   I fear that this is one of those things
[00:30:10.900 --> 00:30:12.580]   that causes the decline.
[00:30:12.580 --> 00:30:16.020]   And I fear that democracy and capitalism
[00:30:16.020 --> 00:30:20.540]   will kill each other over time for this very reason.
[00:30:20.540 --> 00:30:23.340]   I might point that we study the UK a little bit more.
[00:30:23.340 --> 00:30:27.260]   They've kind of gone longer than most societies do.
[00:30:27.260 --> 00:30:29.660]   They have some clever policies like losing party
[00:30:29.660 --> 00:30:35.180]   pays, which causes 1/10 of the litigation that we have.
[00:30:35.180 --> 00:30:36.940]   And so I wonder if there's something
[00:30:36.940 --> 00:30:40.900]   to learn from our previous ancestors.
[00:30:40.900 --> 00:30:43.380]   The thing when you dip your toe into that world that
[00:30:43.380 --> 00:30:48.740]   is shocking is how low the threshold is of the dollars
[00:30:48.740 --> 00:30:53.260]   it takes to actually influence hundreds of billions of dollars
[00:30:53.260 --> 00:30:54.260]   of laws getting written.
[00:30:54.260 --> 00:30:58.180]   And that's where you also see some of this wrong-mindedness.
[00:30:58.180 --> 00:31:00.260]   Because you can get any Tom, Dick, and Harry
[00:31:00.260 --> 00:31:02.500]   to cobble together enough money to get
[00:31:02.500 --> 00:31:04.740]   in front of that senator or that congressperson.
[00:31:04.740 --> 00:31:06.740]   And all of a sudden, you see it reflected in law.
[00:31:06.740 --> 00:31:08.500]   It's shocking, actually.
[00:31:08.500 --> 00:31:12.860]   I was talking-- some of you know David Crane, who's
[00:31:12.860 --> 00:31:15.220]   an operative in California helping people
[00:31:15.220 --> 00:31:16.260]   try and get things done.
[00:31:16.260 --> 00:31:18.020]   And I asked him about this.
[00:31:18.020 --> 00:31:20.700]   And he said the one thing you have to keep in mind
[00:31:20.700 --> 00:31:25.300]   is the duration of how long that person's going to be there.
[00:31:25.300 --> 00:31:27.260]   So if someone from Silicon Valley has a problem,
[00:31:27.260 --> 00:31:28.740]   they run to Washington.
[00:31:28.740 --> 00:31:30.460]   And they think-- they get one meeting.
[00:31:30.460 --> 00:31:32.500]   But are they coming back?
[00:31:32.500 --> 00:31:36.660]   The teachers union is going to be there for 100 years.
[00:31:36.660 --> 00:31:40.380]   So if you cozy up to them, it's forever.
[00:31:40.380 --> 00:31:41.620]   It's forever money.
[00:31:41.620 --> 00:31:42.980]   Yeah.
[00:31:42.980 --> 00:31:44.980]   Why do you do this, personally?
[00:31:44.980 --> 00:31:46.420]   Why do I do this?
[00:31:46.420 --> 00:31:47.580]   Just frustrated.
[00:31:47.580 --> 00:31:48.620]   Like, just--
[00:31:48.620 --> 00:31:49.780]   [LAUGHTER]
[00:31:49.780 --> 00:31:50.580]   You're mad as hell.
[00:31:50.580 --> 00:31:53.220]   [APPLAUSE]
[00:31:53.220 --> 00:31:54.980]   Andrew's a powerful--
[00:31:54.980 --> 00:31:57.660]   I mean, you know, you've worked on this for a while,
[00:31:57.660 --> 00:31:58.980]   this presentation.
[00:31:58.980 --> 00:31:59.940]   I saw an early draft.
[00:31:59.940 --> 00:32:01.220]   It was clearly coming together.
[00:32:01.220 --> 00:32:02.460]   It's something you've been thinking about a long time.
[00:32:02.460 --> 00:32:03.380]   A long time.
[00:32:03.380 --> 00:32:06.180]   I've kept notes on it for 15 years
[00:32:06.180 --> 00:32:07.980]   every time I see something, I write it down.
[00:32:07.980 --> 00:32:08.460]   Yeah.
[00:32:08.460 --> 00:32:10.340]   And you're at a point in your life now where--
[00:32:10.340 --> 00:32:11.060]   Oh, that's true.
[00:32:11.060 --> 00:32:11.380]   Yeah.
[00:32:11.380 --> 00:32:13.860]   Yeah, like, I probably can't get a meeting in Washington.
[00:32:13.860 --> 00:32:15.740]   [LAUGHTER]
[00:32:15.740 --> 00:32:17.940]   I mean--
[00:32:17.940 --> 00:32:19.900]   I have trouble with investment banks also.
[00:32:19.900 --> 00:32:22.700]   [LAUGHTER]
[00:32:22.700 --> 00:32:26.940]   You saw the guys before talking about energy.
[00:32:26.940 --> 00:32:27.900]   It's a huge industry.
[00:32:27.900 --> 00:32:30.620]   There's enormous amounts of regulatory capture
[00:32:30.620 --> 00:32:36.460]   and lots of manipulation of laws in that sector.
[00:32:36.460 --> 00:32:38.140]   From that perspective and that lens,
[00:32:38.140 --> 00:32:41.300]   are you pro-fusion and the possibilities of fusion?
[00:32:41.300 --> 00:32:43.260]   Not less, but less technologically, more--
[00:32:43.260 --> 00:32:45.820]   Yeah, well, not just fusion, but fission.
[00:32:45.820 --> 00:32:47.940]   I just retweeted something like an hour ago.
[00:32:47.940 --> 00:32:49.340]   Apparently, they're going to--
[00:32:49.340 --> 00:32:52.300]   one of the plant-- one of the fission plants that's
[00:32:52.300 --> 00:32:56.100]   been shut down in America, they just voted to reinstate,
[00:32:56.100 --> 00:32:58.020]   which is a great--
[00:32:58.020 --> 00:32:58.740]   Progress.
[00:32:58.740 --> 00:32:59.460]   --great progress.
[00:32:59.460 --> 00:33:01.340]   They turned around the anti-nuclear sentiment
[00:33:01.340 --> 00:33:02.860]   in what, five years, it seems like?
[00:33:02.860 --> 00:33:04.420]   Hopefully, but it's a long way to go,
[00:33:04.420 --> 00:33:07.260]   because one of the reasons fission's so expensive
[00:33:07.260 --> 00:33:09.220]   in the US and way more expensive than China
[00:33:09.220 --> 00:33:10.540]   is the regulatory burden--
[00:33:10.540 --> 00:33:11.040]   Exactly.
[00:33:11.040 --> 00:33:11.660]   --that we have.
[00:33:11.660 --> 00:33:14.580]   China's building 400 nuclear fission power plants right now.
[00:33:14.580 --> 00:33:15.540]   That's their plan.
[00:33:15.540 --> 00:33:16.140]   That's their 20-year plan.
[00:33:16.140 --> 00:33:17.260]   And it's not just in China.
[00:33:17.260 --> 00:33:20.260]   And if you look at the antigen testing,
[00:33:20.260 --> 00:33:22.460]   imagine with the complexity of--
[00:33:22.460 --> 00:33:24.340]   Well, no, but this is what I want to ask you.
[00:33:24.340 --> 00:33:26.860]   It's like, you know, these large energy generators,
[00:33:26.860 --> 00:33:29.340]   the existing utilities, what is their
[00:33:29.340 --> 00:33:33.260]   incentive to not try to pull a Comcast when they see Bob
[00:33:33.260 --> 00:33:35.020]   and David close to the finish line?
[00:33:35.020 --> 00:33:38.660]   Oh, you have to imagine that the oil and gas industry's
[00:33:38.660 --> 00:33:41.140]   been doing that this whole way.
[00:33:41.140 --> 00:33:41.820]   I would assume--
[00:33:41.820 --> 00:33:42.860]   For traditional nuclear, yeah.
[00:33:42.860 --> 00:33:44.140]   Yeah, for traditional nuclear.
[00:33:44.140 --> 00:33:44.900]   Yeah, so I would--
[00:33:44.900 --> 00:33:46.860]   This time, we'll see them coming.
[00:33:46.860 --> 00:33:49.620]   I wonder-- and I say this with a lot of need to tell you--
[00:33:49.620 --> 00:33:53.980]   I wonder if you could use open source around fission
[00:33:53.980 --> 00:33:56.740]   to try and lower the cost of building it
[00:33:56.740 --> 00:33:58.980]   and try and get more consistency--
[00:33:58.980 --> 00:34:00.780]   Well, the big Achilles heel in energy,
[00:34:00.780 --> 00:34:03.340]   as an example, where it's impossible to capture
[00:34:03.340 --> 00:34:05.980]   regulatorily, is that the big opening they left
[00:34:05.980 --> 00:34:08.780]   is that every individual here can become their own utility.
[00:34:08.780 --> 00:34:11.020]   And they're subject to no oversight.
[00:34:11.020 --> 00:34:12.820]   And so the real question is, to your point,
[00:34:12.820 --> 00:34:16.300]   if an open source or some very small modular reactor
[00:34:16.300 --> 00:34:18.300]   can be put in the hands of every individual,
[00:34:18.300 --> 00:34:19.920]   and then they can make an individual decision,
[00:34:19.920 --> 00:34:21.120]   that's very hard to regulate.
[00:34:21.120 --> 00:34:23.000]   But in the solar market, which I know you've
[00:34:23.000 --> 00:34:26.380]   spent a lot of time in, the rules on whether or not
[00:34:26.380 --> 00:34:30.740]   you can run power back in and at what rate
[00:34:30.740 --> 00:34:34.540]   are arbitrary across the entire country.
[00:34:34.540 --> 00:34:37.700]   Guys, I know I speak for everyone
[00:34:37.700 --> 00:34:39.980]   when I say that this has been an unbelievable highlight
[00:34:39.980 --> 00:34:40.980]   and a real treat.
[00:34:40.980 --> 00:34:42.620]   Bill, thank you so much for doing this.
[00:34:42.620 --> 00:34:43.380]   Thanks, everyone.
[00:34:43.380 --> 00:34:45.380]   [APPLAUSE]
[00:34:45.380 --> 00:34:46.380]   Bill, do it.
[00:34:46.380 --> 00:34:51.880]   Wow.
[00:34:51.880 --> 00:34:54.380]   Wow.
[00:34:54.380 --> 00:34:57.380]   [MUSIC PLAYING]
[00:34:57.380 --> 00:35:00.380]   [MUSIC PLAYING]
[00:35:01.380 --> 00:35:04.380]   [MUSIC PLAYING]
[00:35:05.380 --> 00:35:08.380]   [MUSIC PLAYING]
[00:35:08.380 --> 00:35:25.460]   What your winner slide? What your winner slide?
[00:35:25.460 --> 00:35:26.500]   Festives are gone.
[00:35:26.500 --> 00:35:46.500]   What your winner slide? What your winner slide?
[00:35:46.500 --> 00:36:00.100]   We need to get merch. Festives are back.
[00:36:00.100 --> 00:36:02.680]   (upbeat music)

