
[00:00:00.000 --> 00:00:01.000]   BG Squared.
[00:12:16.000 --> 00:12:17.000]   I'm going to say a word.
[00:12:17.000 --> 00:12:18.000]   I'm going to say a word.
[00:12:18.000 --> 00:12:19.000]   I'm going to say a word.
[00:12:19.000 --> 00:12:20.000]   I'm going to say a word.
[00:12:20.000 --> 00:12:21.000]   I'm going to say a word.
[00:12:21.000 --> 00:12:22.000]   I'm going to say a word.
[00:12:22.000 --> 00:12:23.000]   I'm going to say a word.
[00:12:23.000 --> 00:12:24.000]   I'm going to say a word.
[00:12:24.000 --> 00:12:25.000]   I'm going to say a word.
[00:12:25.000 --> 00:12:26.000]   I'm going to say a word.
[00:12:26.000 --> 00:12:27.000]   I'm going to say a word.
[00:12:27.000 --> 00:12:28.000]   I'm going to say a word.
[00:12:28.000 --> 00:12:29.000]   I'm going to say a word.
[00:12:29.000 --> 00:12:30.000]   I'm going to say a word.
[00:12:30.000 --> 00:12:31.000]   I'm going to say a word.
[00:12:31.000 --> 00:12:32.000]   I'm going to say a word.
[00:12:32.000 --> 00:12:33.000]   I'm going to say a word.
[00:12:33.000 --> 00:12:34.000]   I'm going to say a word.
[00:12:34.000 --> 00:12:35.000]   I'm going to say a word.
[00:12:35.000 --> 00:12:36.000]   I'm going to say a word.
[00:12:36.000 --> 00:12:37.000]   I'm going to say a word.
[00:12:37.000 --> 00:12:38.000]   I'm going to say a word.
[00:12:38.000 --> 00:12:39.000]   I'm going to say a word.
[00:12:39.000 --> 00:12:40.000]   I'm going to say a word.
[00:12:40.000 --> 00:12:41.000]   I'm going to say a word.
[00:12:41.000 --> 00:12:42.000]   I'm going to say a word.
[00:12:42.000 --> 00:12:43.000]   I'm going to say a word.
[00:12:43.000 --> 00:12:44.000]   I'm going to say a word.
[00:12:44.000 --> 00:12:45.000]   I'm going to say a word.
[00:12:45.000 --> 00:12:46.000]   I'm going to say a word.
[00:12:46.000 --> 00:12:47.000]   I'm going to say a word.
[00:12:47.000 --> 00:12:48.000]   I'm going to say a word.
[00:12:48.000 --> 00:12:49.000]   I'm going to say a word.
[00:12:49.000 --> 00:12:50.000]   I'm going to say a word.
[00:12:50.000 --> 00:12:51.000]   I'm going to say a word.
[00:12:51.000 --> 00:12:52.000]   I'm going to say a word.
[00:12:52.000 --> 00:12:53.000]   I'm going to say a word.
[00:12:53.000 --> 00:12:54.000]   I'm going to say a word.
[00:12:54.000 --> 00:12:55.000]   I'm going to say a word.
[00:12:55.000 --> 00:12:56.000]   I'm going to say a word.
[00:12:56.000 --> 00:12:57.000]   I'm going to say a word.
[00:12:57.000 --> 00:12:58.000]   I'm going to say a word.
[00:12:58.000 --> 00:12:59.000]   I'm going to say a word.
[00:12:59.000 --> 00:13:00.000]   I'm going to say a word.
[00:13:00.000 --> 00:13:01.000]   I'm going to say a word.
[00:13:01.000 --> 00:13:02.000]   I'm going to say a word.
[00:13:02.000 --> 00:13:03.000]   I'm going to say a word.
[00:13:03.000 --> 00:13:04.000]   I'm going to say a word.
[00:13:04.000 --> 00:13:05.000]   I'm going to say a word.
[00:13:05.000 --> 00:13:06.000]   I'm going to say a word.
[00:13:06.000 --> 00:13:07.000]   I'm going to say a word.
[00:13:07.000 --> 00:13:08.000]   I'm going to say a word.
[00:13:08.000 --> 00:13:09.000]   I'm going to say a word.
[00:13:09.000 --> 00:13:10.000]   I'm going to say a word.
[00:13:10.000 --> 00:13:11.000]   I'm going to say a word.
[00:13:11.000 --> 00:13:12.000]   I'm going to say a word.
[00:13:12.000 --> 00:13:13.000]   I'm going to say a word.
[00:13:13.000 --> 00:13:14.000]   I'm going to say a word.
[00:13:14.000 --> 00:13:15.000]   I'm going to say a word.
[00:13:15.000 --> 00:13:16.000]   I'm going to say a word.
[00:13:16.000 --> 00:13:17.000]   I'm going to say a word.
[00:13:17.000 --> 00:13:18.000]   I'm going to say a word.
[00:13:18.000 --> 00:13:19.000]   I'm going to say a word.
[00:13:19.000 --> 00:13:20.000]   I'm going to say a word.
[00:13:20.000 --> 00:13:21.000]   I'm going to say a word.
[00:13:21.000 --> 00:13:22.000]   I'm going to say a word.
[00:13:22.000 --> 00:13:23.000]   I'm going to say a word.
[00:13:23.000 --> 00:13:24.000]   I'm going to say a word.
[00:13:24.000 --> 00:13:25.000]   I'm going to say a word.
[00:13:25.000 --> 00:13:26.000]   I'm going to say a word.
[00:13:26.000 --> 00:13:27.000]   I'm going to say a word.
[00:13:27.000 --> 00:13:28.000]   I'm going to say a word.
[00:13:28.000 --> 00:13:29.000]   I'm going to say a word.
[00:13:29.000 --> 00:13:30.000]   I'm going to say a word.
[00:13:30.000 --> 00:13:31.000]   I'm going to say a word.
[00:13:31.000 --> 00:13:32.000]   I'm going to say a word.
[00:13:32.000 --> 00:13:33.000]   I'm going to say a word.
[00:13:33.000 --> 00:13:34.000]   I'm going to say a word.
[00:13:34.000 --> 00:13:35.000]   I'm going to say a word.
[00:13:35.000 --> 00:13:36.000]   I'm going to say a word.
[00:13:36.000 --> 00:13:37.000]   I'm going to say a word.
[00:13:37.000 --> 00:13:38.000]   I'm going to say a word.
[00:13:38.000 --> 00:13:39.000]   I'm going to say a word.
[00:13:39.000 --> 00:13:40.000]   I'm going to say a word.
[00:13:40.000 --> 00:13:41.000]   I'm going to say a word.
[00:13:41.000 --> 00:13:42.000]   I'm going to say a word.
[00:13:42.000 --> 00:13:43.000]   I'm going to say a word.
[00:13:43.000 --> 00:13:44.000]   I'm going to say a word.
[00:13:44.000 --> 00:13:45.000]   I'm going to say a word.
[00:13:45.000 --> 00:13:46.000]   I'm going to say a word.
[00:13:46.000 --> 00:13:47.000]   I'm going to say a word.
[00:13:47.000 --> 00:13:48.000]   I'm going to say a word.
[00:13:48.000 --> 00:13:49.000]   I'm going to say a word.
[00:13:49.000 --> 00:13:50.000]   I'm going to say a word.
[00:13:50.000 --> 00:13:51.000]   I'm going to say a word.
[00:13:51.000 --> 00:13:52.000]   I'm going to say a word.
[00:13:52.000 --> 00:13:53.000]   I'm going to say a word.
[00:13:53.000 --> 00:13:54.000]   I'm going to say a word.
[00:13:54.000 --> 00:13:55.000]   I'm going to say a word.
[00:13:55.000 --> 00:13:56.000]   I'm going to say a word.
[00:13:56.000 --> 00:13:57.000]   I'm going to say a word.
[00:13:57.000 --> 00:13:58.000]   I'm going to say a word.
[00:13:58.000 --> 00:13:59.000]   I'm going to say a word.
[00:13:59.000 --> 00:14:00.000]   I'm going to say a word.
[00:14:00.000 --> 00:14:01.000]   I'm going to say a word.
[00:14:01.000 --> 00:14:02.000]   I'm going to say a word.
[00:14:02.000 --> 00:14:03.000]   I'm going to say a word.
[00:14:03.000 --> 00:14:04.000]   I'm going to say a word.
[00:14:04.000 --> 00:14:05.000]   I'm going to say a word.
[00:14:05.000 --> 00:14:06.000]   I'm going to say a word.
[00:14:06.000 --> 00:14:07.000]   I'm going to say a word.
[00:14:07.000 --> 00:14:08.000]   I'm going to say a word.
[00:14:08.000 --> 00:14:09.000]   I'm going to say a word.
[00:14:09.000 --> 00:14:10.000]   I'm going to say a word.
[00:14:10.000 --> 00:14:11.000]   I'm going to say a word.
[00:14:11.000 --> 00:14:12.000]   I'm going to say a word.
[00:14:12.000 --> 00:14:13.000]   I'm going to say a word.
[00:14:13.000 --> 00:14:14.000]   I'm going to say a word.
[00:14:14.000 --> 00:14:15.000]   I'm going to say a word.
[00:14:15.000 --> 00:14:16.000]   I'm going to say a word.
[00:14:16.000 --> 00:14:17.000]   I'm going to say a word.
[00:14:17.000 --> 00:14:18.000]   I'm going to say a word.
[00:14:18.000 --> 00:14:19.000]   I'm going to say a word.
[00:14:19.000 --> 00:14:20.000]   I'm going to say a word.
[00:14:20.000 --> 00:14:21.000]   I'm going to say a word.
[00:14:21.000 --> 00:14:22.000]   I'm going to say a word.
[00:14:22.000 --> 00:14:23.000]   I'm going to say a word.
[00:14:23.000 --> 00:14:24.000]   I'm going to say a word.
[00:14:24.000 --> 00:14:25.000]   I'm going to say a word.
[00:14:25.000 --> 00:14:26.000]   I'm going to say a word.
[00:14:26.000 --> 00:14:27.000]   I'm going to say a word.
[00:14:27.000 --> 00:14:28.000]   I'm going to say a word.
[00:14:28.000 --> 00:14:29.000]   I'm going to say a word.
[00:14:29.000 --> 00:14:30.000]   I'm going to say a word.
[00:14:30.000 --> 00:14:31.000]   I'm going to say a word.
[00:14:31.000 --> 00:14:32.000]   I'm going to say a word.
[00:14:32.000 --> 00:14:33.000]   I'm going to say a word.
[00:14:33.000 --> 00:14:34.000]   I'm going to say a word.
[00:14:34.000 --> 00:14:35.000]   I'm going to say a word.
[00:14:35.000 --> 00:14:36.000]   I'm going to say a word.
[00:14:36.000 --> 00:14:37.000]   I'm going to say a word.
[00:14:37.000 --> 00:14:38.000]   I'm going to say a word.
[00:14:38.000 --> 00:14:39.000]   I'm going to say a word.
[00:14:39.000 --> 00:14:40.000]   I'm going to say a word.
[00:14:40.000 --> 00:14:41.000]   I'm going to say a word.
[00:14:41.000 --> 00:14:42.000]   I'm going to say a word.
[00:14:42.000 --> 00:14:43.000]   I'm going to say a word.
[00:14:43.000 --> 00:14:44.000]   I'm going to say a word.
[00:14:44.000 --> 00:14:45.000]   I'm going to say a word.
[00:14:45.000 --> 00:14:46.000]   I'm going to say a word.
[00:14:46.000 --> 00:14:47.000]   I'm going to say a word.
[00:14:47.000 --> 00:14:48.000]   I'm going to say a word.
[00:14:48.000 --> 00:14:49.000]   I'm going to say a word.
[00:14:49.000 --> 00:14:50.000]   I'm going to say a word.
[00:14:50.000 --> 00:14:51.000]   I'm going to say a word.
[00:14:51.000 --> 00:14:52.000]   I'm going to say a word.
[00:14:52.000 --> 00:14:53.000]   I'm going to say a word.
[00:14:53.000 --> 00:14:54.000]   I'm going to say a word.
[00:14:54.000 --> 00:14:55.000]   I'm going to say a word.
[00:14:55.000 --> 00:14:56.000]   I'm going to say a word.
[00:14:56.000 --> 00:14:57.000]   I'm going to say a word.
[00:14:57.000 --> 00:14:58.000]   I'm going to say a word.
[00:14:58.000 --> 00:14:59.000]   I'm going to say a word.
[00:14:59.000 --> 00:15:00.000]   I'm going to say a word.
[00:15:00.000 --> 00:15:01.000]   I'm going to say a word.
[00:15:01.000 --> 00:15:02.000]   I'm going to say a word.
[00:15:02.000 --> 00:15:03.000]   I'm going to say a word.
[00:15:03.000 --> 00:15:04.000]   I'm going to say a word.
[00:15:04.000 --> 00:15:05.000]   I'm going to say a word.
[00:15:05.000 --> 00:15:06.000]   I'm going to say a word.
[00:15:06.000 --> 00:15:07.000]   I'm going to say a word.
[00:15:07.000 --> 00:15:08.000]   I'm going to say a word.
[00:15:08.000 --> 00:15:09.000]   I'm going to say a word.
[00:15:09.000 --> 00:15:10.000]   I'm going to say a word.
[00:15:10.000 --> 00:15:11.000]   I'm going to say a word.
[00:15:11.000 --> 00:15:12.000]   I'm going to say a word.
[00:15:12.000 --> 00:15:13.000]   I'm going to say a word.
[00:15:13.000 --> 00:15:14.000]   I'm going to say a word.
[00:15:14.000 --> 00:15:15.000]   I'm going to say a word.
[00:15:15.000 --> 00:15:16.000]   I'm going to say a word.
[00:15:16.000 --> 00:15:17.000]   I'm going to say a word.
[00:15:17.000 --> 00:15:18.000]   I'm going to say a word.
[00:15:18.000 --> 00:15:19.000]   I'm going to say a word.
[00:15:19.000 --> 00:15:20.000]   I'm going to say a word.
[00:15:20.000 --> 00:15:21.000]   I'm going to say a word.
[00:15:21.000 --> 00:15:22.000]   I'm going to say a word.
[00:15:22.000 --> 00:15:23.000]   I'm going to say a word.
[00:15:23.000 --> 00:15:24.000]   I'm going to say a word.
[00:15:24.000 --> 00:15:25.000]   I'm going to say a word.
[00:15:25.000 --> 00:15:26.000]   I'm going to say a word.
[00:15:26.000 --> 00:15:27.000]   I'm going to say a word.
[00:15:27.000 --> 00:15:28.000]   I'm going to say a word.
[00:15:28.000 --> 00:15:29.000]   I'm going to say a word.
[00:15:29.000 --> 00:15:30.000]   I'm going to say a word.
[00:15:30.000 --> 00:15:31.000]   I'm going to say a word.
[00:15:31.000 --> 00:15:32.000]   I'm going to say a word.
[00:15:32.000 --> 00:15:33.000]   I'm going to say a word.
[00:15:33.000 --> 00:15:34.000]   I'm going to say a word.
[00:15:34.000 --> 00:15:35.000]   I'm going to say a word.
[00:15:35.000 --> 00:15:36.000]   I'm going to say a word.
[00:15:36.000 --> 00:15:37.000]   I'm going to say a word.
[00:15:37.000 --> 00:15:38.000]   I'm going to say a word.
[00:15:38.000 --> 00:15:39.000]   I'm going to say a word.
[00:15:39.000 --> 00:15:40.000]   I'm going to say a word.
[00:15:40.000 --> 00:15:41.000]   I'm going to say a word.
[00:15:41.000 --> 00:15:42.000]   I'm going to say a word.
[00:15:42.000 --> 00:15:43.000]   I'm going to say a word.
[00:15:43.000 --> 00:15:44.000]   I'm going to say a word.
[00:15:44.000 --> 00:15:45.000]   I'm going to say a word.
[00:15:45.000 --> 00:15:46.000]   I'm going to say a word.
[00:15:46.000 --> 00:15:47.000]   I'm going to say a word.
[00:15:47.000 --> 00:15:48.000]   I'm going to say a word.
[00:15:48.000 --> 00:15:49.000]   I'm going to say a word.
[00:15:49.000 --> 00:15:50.000]   I'm going to say a word.
[00:15:50.000 --> 00:15:51.000]   I'm going to say a word.
[00:15:51.000 --> 00:15:52.000]   I'm going to say a word.
[00:15:52.000 --> 00:15:53.000]   I'm going to say a word.
[00:15:53.000 --> 00:15:54.000]   I'm going to say a word.
[00:15:54.000 --> 00:15:55.000]   I'm going to say a word.
[00:15:55.000 --> 00:15:56.000]   I'm going to say a word.
[00:15:56.000 --> 00:15:57.000]   I'm going to say a word.
[00:15:57.000 --> 00:15:58.000]   I'm going to say a word.
[00:15:58.000 --> 00:15:59.000]   I'm going to say a word.
[00:15:59.000 --> 00:16:00.000]   I'm going to say a word.
[00:16:00.000 --> 00:16:01.000]   I'm going to say a word.
[00:16:01.000 --> 00:16:02.000]   I'm going to say a word.
[00:16:02.000 --> 00:16:03.000]   I'm going to say a word.
[00:16:03.000 --> 00:16:04.000]   I'm going to say a word.
[00:16:04.000 --> 00:16:05.000]   I'm going to say a word.
[00:16:05.000 --> 00:16:06.000]   I'm going to say a word.
[00:16:06.000 --> 00:16:07.000]   I'm going to say a word.
[00:16:07.000 --> 00:16:08.000]   I'm going to say a word.
[00:16:08.000 --> 00:16:09.000]   I'm going to say a word.
[00:16:09.000 --> 00:16:10.000]   I'm going to say a word.
[00:16:10.000 --> 00:16:11.000]   I'm going to say a word.
[00:16:11.000 --> 00:16:12.000]   I'm going to say a word.
[00:16:12.000 --> 00:16:13.000]   I'm going to say a word.
[00:16:13.000 --> 00:16:14.000]   I'm going to say a word.
[00:16:14.000 --> 00:16:15.000]   I'm going to say a word.
[00:16:15.000 --> 00:16:16.000]   I'm going to say a word.
[00:16:16.000 --> 00:16:17.000]   I'm going to say a word.
[00:16:17.000 --> 00:16:18.000]   I'm going to say a word.
[00:16:18.000 --> 00:16:19.000]   I'm going to say a word.
[00:16:19.000 --> 00:16:20.000]   I'm going to say a word.
[00:16:20.000 --> 00:16:21.000]   I'm going to say a word.
[00:16:21.000 --> 00:16:22.000]   I'm going to say a word.
[00:16:22.000 --> 00:16:23.000]   I'm going to say a word.
[00:16:23.000 --> 00:16:24.000]   I'm going to say a word.
[00:16:24.000 --> 00:16:25.000]   I'm going to say a word.
[00:16:25.000 --> 00:16:26.000]   I'm going to say a word.
[00:16:26.000 --> 00:16:27.000]   I'm going to say a word.
[00:16:27.000 --> 00:16:28.000]   I'm going to say a word.
[00:16:28.000 --> 00:16:29.000]   I'm going to say a word.
[00:16:29.000 --> 00:16:30.000]   I'm going to say a word.
[00:16:30.000 --> 00:16:31.000]   I'm going to say a word.
[00:16:31.000 --> 00:16:32.000]   I'm going to say a word.
[00:16:32.000 --> 00:16:33.000]   I'm going to say a word.
[00:16:33.000 --> 00:16:34.000]   I'm going to say a word.
[00:16:34.000 --> 00:16:35.000]   I'm going to say a word.
[00:16:35.000 --> 00:16:36.000]   I'm going to say a word.
[00:16:36.000 --> 00:16:37.000]   I'm going to say a word.
[00:16:37.000 --> 00:16:38.000]   I'm going to say a word.
[00:16:38.000 --> 00:16:39.000]   I'm going to say a word.
[00:16:39.000 --> 00:16:40.000]   I'm going to say a word.
[00:16:40.000 --> 00:16:41.000]   I'm going to say a word.
[00:16:41.000 --> 00:16:42.000]   I'm going to say a word.
[00:16:42.000 --> 00:16:43.000]   I'm going to say a word.
[00:16:43.000 --> 00:16:44.000]   I'm going to say a word.
[00:16:44.000 --> 00:16:45.000]   I'm going to say a word.
[00:16:45.000 --> 00:16:46.000]   I'm going to say a word.
[00:16:46.000 --> 00:16:47.000]   I'm going to say a word.
[00:16:47.000 --> 00:16:48.000]   I'm going to say a word.
[00:16:48.000 --> 00:16:49.000]   I'm going to say a word.
[00:16:49.000 --> 00:16:50.000]   I'm going to say a word.
[00:16:50.000 --> 00:16:51.000]   I'm going to say a word.
[00:16:51.000 --> 00:16:52.000]   I'm going to say a word.
[00:16:52.000 --> 00:16:53.000]   I'm going to say a word.
[00:16:53.000 --> 00:16:54.000]   I'm going to say a word.
[00:16:54.000 --> 00:16:55.000]   I'm going to say a word.
[00:16:55.000 --> 00:16:56.000]   I'm going to say a word.
[00:16:56.000 --> 00:16:57.000]   I'm going to say a word.
[00:16:57.000 --> 00:16:58.000]   I'm going to say a word.
[00:16:58.000 --> 00:16:59.000]   I'm going to say a word.
[00:16:59.000 --> 00:17:00.000]   I'm going to say a word.
[00:17:00.000 --> 00:17:01.000]   I'm going to say a word.
[00:17:01.000 --> 00:17:02.000]   I'm going to say a word.
[00:17:02.000 --> 00:17:03.000]   I'm going to say a word.
[00:17:03.000 --> 00:17:04.000]   I'm going to say a word.
[00:17:04.000 --> 00:17:05.000]   I'm going to say a word.
[00:17:05.000 --> 00:17:06.000]   I'm going to say a word.
[00:17:06.000 --> 00:17:07.000]   I'm going to say a word.
[00:17:07.000 --> 00:17:08.000]   I'm going to say a word.
[00:17:08.000 --> 00:17:09.000]   I'm going to say a word.
[00:17:09.000 --> 00:17:10.000]   I'm going to say a word.
[00:17:10.000 --> 00:17:11.000]   I'm going to say a word.
[00:17:11.000 --> 00:17:12.000]   I'm going to say a word.
[00:17:12.000 --> 00:17:13.000]   I'm going to say a word.
[00:17:13.000 --> 00:17:14.000]   I'm going to say a word.
[00:17:14.000 --> 00:17:15.000]   I'm going to say a word.
[00:17:15.000 --> 00:17:16.000]   I'm going to say a word.
[00:17:16.000 --> 00:17:17.000]   I'm going to say a word.
[00:17:17.000 --> 00:17:18.000]   I'm going to say a word.
[00:17:18.000 --> 00:17:19.000]   I'm going to say a word.
[00:17:19.000 --> 00:17:20.000]   I'm going to say a word.
[00:17:20.000 --> 00:17:21.000]   I'm going to say a word.
[00:17:21.000 --> 00:17:22.000]   I'm going to say a word.
[00:17:22.000 --> 00:17:23.000]   I'm going to say a word.
[00:17:23.000 --> 00:17:24.000]   I'm going to say a word.
[00:17:24.000 --> 00:17:25.000]   I'm going to say a word.
[00:17:25.000 --> 00:17:26.000]   I'm going to say a word.
[00:17:26.000 --> 00:17:27.000]   I'm going to say a word.
[00:17:27.000 --> 00:17:28.000]   I'm going to say a word.
[00:17:28.000 --> 00:17:29.000]   I'm going to say a word.
[00:17:29.000 --> 00:17:30.000]   I'm going to say a word.
[00:17:30.000 --> 00:17:31.000]   I'm going to say a word.
[00:17:31.000 --> 00:17:32.000]   I'm going to say a word.
[00:17:32.000 --> 00:17:33.000]   I'm going to say a word.
[00:17:33.000 --> 00:17:34.000]   I'm going to say a word.
[00:17:34.000 --> 00:17:35.000]   I'm going to say a word.
[00:17:35.000 --> 00:17:36.000]   I'm going to say a word.
[00:17:36.000 --> 00:17:37.000]   I'm going to say a word.
[00:17:37.000 --> 00:17:38.000]   I'm going to say a word.
[00:17:38.000 --> 00:17:39.000]   I'm going to say a word.
[00:17:39.000 --> 00:17:40.000]   I'm going to say a word.
[00:17:40.000 --> 00:17:41.000]   I'm going to say a word.
[00:17:41.000 --> 00:17:42.000]   I'm going to say a word.
[00:17:42.000 --> 00:17:43.000]   I'm going to say a word.
[00:17:43.000 --> 00:17:44.000]   I'm going to say a word.
[00:17:44.000 --> 00:17:45.000]   I'm going to say a word.
[00:17:45.000 --> 00:17:46.000]   I'm going to say a word.
[00:17:46.000 --> 00:17:47.000]   I'm going to say a word.
[00:17:47.000 --> 00:17:48.000]   I'm going to say a word.
[00:17:48.000 --> 00:17:49.000]   I'm going to say a word.
[00:17:49.000 --> 00:17:50.000]   I'm going to say a word.
[00:17:50.000 --> 00:17:51.000]   I'm going to say a word.
[00:17:51.000 --> 00:17:52.000]   I'm going to say a word.
[00:17:52.000 --> 00:17:53.000]   I'm going to say a word.
[00:17:53.000 --> 00:17:54.000]   I'm going to say a word.
[00:17:54.000 --> 00:17:55.000]   I'm going to say a word.
[00:17:55.000 --> 00:17:56.000]   I'm going to say a word.
[00:17:56.000 --> 00:17:57.000]   I'm going to say a word.
[00:17:57.000 --> 00:17:58.000]   I'm going to say a word.
[00:17:58.000 --> 00:17:59.000]   I'm going to say a word.
[00:17:59.000 --> 00:18:00.000]   I'm going to say a word.
[00:18:00.000 --> 00:18:01.000]   I'm going to say a word.
[00:18:01.000 --> 00:18:02.000]   I'm going to say a word.
[00:18:02.000 --> 00:18:03.000]   I'm going to say a word.
[00:18:03.000 --> 00:18:04.000]   I'm going to say a word.
[00:18:04.000 --> 00:18:05.000]   I'm going to say a word.
[00:18:05.000 --> 00:18:06.000]   I'm going to say a word.
[00:18:06.000 --> 00:18:07.000]   I'm going to say a word.
[00:18:07.000 --> 00:18:08.000]   I'm going to say a word.
[00:18:08.000 --> 00:18:09.000]   I'm going to say a word.
[00:18:09.000 --> 00:18:10.000]   I'm going to say a word.
[00:18:10.000 --> 00:18:11.000]   I'm going to say a word.
[00:18:11.000 --> 00:18:12.000]   I'm going to say a word.
[00:18:12.000 --> 00:18:13.000]   I'm going to say a word.
[00:18:13.000 --> 00:18:14.000]   I'm going to say a word.
[00:18:14.000 --> 00:18:15.000]   I'm going to say a word.
[00:18:15.000 --> 00:18:16.000]   I'm going to say a word.
[00:18:16.000 --> 00:18:17.000]   I'm going to say a word.
[00:18:17.000 --> 00:18:18.000]   I'm going to say a word.
[00:18:18.000 --> 00:18:19.000]   I'm going to say a word.
[00:18:19.000 --> 00:18:20.000]   I'm going to say a word.
[00:18:20.000 --> 00:18:21.000]   I'm going to say a word.
[00:18:21.000 --> 00:18:22.000]   I'm going to say a word.
[00:18:22.000 --> 00:18:23.000]   I'm going to say a word.
[00:18:23.000 --> 00:18:24.000]   I'm going to say a word.
[00:18:24.000 --> 00:18:25.000]   I'm going to say a word.
[00:18:25.000 --> 00:18:26.000]   I'm going to say a word.
[00:18:26.000 --> 00:18:27.000]   I'm going to say a word.
[00:18:27.000 --> 00:18:28.000]   I'm going to say a word.
[00:18:28.000 --> 00:18:29.000]   I'm going to say a word.
[00:18:29.000 --> 00:18:30.000]   I'm going to say a word.
[00:18:30.000 --> 00:18:31.000]   I'm going to say a word.
[00:18:31.000 --> 00:18:32.000]   I'm going to say a word.
[00:18:32.000 --> 00:18:33.000]   I'm going to say a word.
[00:18:33.000 --> 00:18:34.000]   I'm going to say a word.
[00:18:34.000 --> 00:18:35.000]   I'm going to say a word.
[00:18:35.000 --> 00:18:36.000]   I'm going to say a word.
[00:18:36.000 --> 00:18:37.000]   I'm going to say a word.
[00:18:37.000 --> 00:18:38.000]   I'm going to say a word.
[00:18:38.000 --> 00:18:39.000]   I'm going to say a word.
[00:18:39.000 --> 00:18:40.000]   I'm going to say a word.
[00:18:40.000 --> 00:18:41.000]   I'm going to say a word.
[00:18:41.000 --> 00:18:42.000]   I'm going to say a word.
[00:18:42.000 --> 00:18:43.000]   I'm going to say a word.
[00:18:43.000 --> 00:18:44.000]   I'm going to say a word.
[00:18:44.000 --> 00:18:45.000]   I'm going to say a word.
[00:18:45.000 --> 00:18:46.000]   I'm going to say a word.
[00:18:46.000 --> 00:18:47.000]   I'm going to say a word.
[00:18:47.000 --> 00:18:48.000]   I'm going to say a word.
[00:18:48.000 --> 00:18:49.000]   I'm going to say a word.
[00:18:49.000 --> 00:18:50.000]   I'm going to say a word.
[00:18:50.000 --> 00:18:51.000]   I'm going to say a word.
[00:18:51.000 --> 00:18:52.000]   I'm going to say a word.
[00:18:52.000 --> 00:18:53.000]   I'm going to say a word.
[00:18:53.000 --> 00:18:54.000]   I'm going to say a word.
[00:18:54.000 --> 00:18:55.000]   I'm going to say a word.
[00:18:55.000 --> 00:18:56.000]   I'm going to say a word.
[00:18:56.000 --> 00:18:57.000]   I'm going to say a word.
[00:18:57.000 --> 00:18:58.000]   I'm going to say a word.
[00:18:58.000 --> 00:18:59.000]   I'm going to say a word.
[00:18:59.000 --> 00:19:00.000]   I'm going to say a word.
[00:19:00.000 --> 00:19:01.000]   I'm going to say a word.
[00:19:01.000 --> 00:19:02.000]   I'm going to say a word.
[00:19:02.000 --> 00:19:03.000]   I'm going to say a word.
[00:19:03.000 --> 00:19:04.000]   I'm going to say a word.
[00:19:04.000 --> 00:19:05.000]   I'm going to say a word.
[00:19:05.000 --> 00:19:06.000]   I'm going to say a word.
[00:19:06.000 --> 00:19:07.000]   I'm going to say a word.
[00:19:07.000 --> 00:19:08.000]   I'm going to say a word.
[00:19:08.000 --> 00:19:09.000]   I'm going to say a word.
[00:19:09.000 --> 00:19:10.000]   I'm going to say a word.
[00:19:10.000 --> 00:19:11.000]   I'm going to say a word.
[00:19:11.000 --> 00:19:12.000]   I'm going to say a word.
[00:19:12.000 --> 00:19:13.000]   I'm going to say a word.
[00:19:13.000 --> 00:19:14.000]   I'm going to say a word.
[00:19:14.000 --> 00:19:15.000]   I'm going to say a word.
[00:19:15.000 --> 00:19:16.000]   I'm going to say a word.
[00:19:16.000 --> 00:19:17.000]   I'm going to say a word.
[00:19:17.000 --> 00:19:18.000]   I'm going to say a word.
[00:19:18.000 --> 00:19:19.000]   I'm going to say a word.
[00:19:19.000 --> 00:19:20.000]   I'm going to say a word.
[00:19:20.000 --> 00:19:21.000]   I'm going to say a word.
[00:19:21.000 --> 00:19:22.000]   I'm going to say a word.
[00:19:22.000 --> 00:19:23.000]   I'm going to say a word.
[00:19:23.000 --> 00:19:24.000]   I'm going to say a word.
[00:19:24.000 --> 00:19:25.000]   I'm going to say a word.
[00:19:25.000 --> 00:19:26.000]   I'm going to say a word.
[00:19:26.000 --> 00:19:27.000]   I'm going to say a word.
[00:19:27.000 --> 00:19:28.000]   I'm going to say a word.
[00:19:28.000 --> 00:19:29.000]   I'm going to say a word.
[00:19:29.000 --> 00:19:30.000]   I'm going to say a word.
[00:19:30.000 --> 00:19:31.000]   I'm going to say a word.
[00:19:31.000 --> 00:19:32.000]   I'm going to say a word.
[00:19:32.000 --> 00:19:33.000]   I'm going to say a word.
[00:19:33.000 --> 00:19:34.000]   I'm going to say a word.
[00:19:34.000 --> 00:19:35.000]   I'm going to say a word.
[00:19:35.000 --> 00:19:36.000]   I'm going to say a word.
[00:19:36.000 --> 00:19:37.000]   I'm going to say a word.
[00:19:37.000 --> 00:19:38.000]   I'm going to say a word.
[00:19:38.000 --> 00:19:39.000]   I'm going to say a word.
[00:19:39.000 --> 00:19:40.000]   I'm going to say a word.
[00:19:40.000 --> 00:19:41.000]   I'm going to say a word.
[00:19:41.000 --> 00:19:42.000]   I'm going to say a word.
[00:19:42.000 --> 00:19:43.000]   I'm going to say a word.
[00:19:43.000 --> 00:19:44.000]   I'm going to say a word.
[00:19:44.000 --> 00:19:45.000]   I'm going to say a word.
[00:19:45.000 --> 00:19:46.000]   I'm going to say a word.
