
[00:00:00.000 --> 00:00:05.820]   popping off he's actively developing it he uh and uh you know we're friends so i get to just
[00:29:44.000 --> 00:29:51.600]   you know now that that is handled you it's like crazy what more is available um and once again then
[00:29:51.600 --> 00:29:56.880]   all your workflow changes once you know once a little thing suddenly becomes one shotable it's like
[00:29:56.880 --> 00:30:06.400]   anyway okay before we go to the next question i'm going to as promised um add some features to
[00:30:06.400 --> 00:30:13.920]   vibe kanban now that will make it into tonight's release i think the obvious one that i want to
[00:30:13.920 --> 00:30:20.800]   ask is is is anybody not using any of the coding agents that we've got pre-configured here and
[00:30:20.800 --> 00:30:26.960]   would like me to add another one and hopefully it's like an easy one to add that's just like an npx
[00:30:26.960 --> 00:30:33.840]   command type thing stick it in the chat now can you pull the show the list again
[00:30:34.880 --> 00:30:44.960]   so we've got claude amp and gemini okay i mean ada ada is the big one uh yeah uh we we did just
[00:30:44.960 --> 00:30:51.040]   interview client but they're not cli they're their ps code extension open code is another one open code i
[00:30:51.040 --> 00:30:58.480]   saw i saw that crazy twitter thing of like you know all the agents trying to shut each other off and open
[00:30:58.480 --> 00:31:04.480]   code that's that's a stunts that's just noise that's not meaningful at all um it's not meaningful that's
[00:31:04.480 --> 00:31:10.400]   that's what's taking up my two minutes before i started using vibe kanban uh but yeah these are
[00:31:10.400 --> 00:31:14.880]   good suggestions open code goose uh ada those are the probably the three biggest that you're missing
[00:31:14.880 --> 00:31:20.320]   okay great all right i'm gonna do this in the background let's go to the next question are you
[00:31:20.320 --> 00:31:26.000]   gonna vibe kanban vibe kanban yeah that's what i'm doing right now no no no no show show show show us
[00:31:26.000 --> 00:31:34.160]   show us oh okay but does it have it looks like quite a big installation though i think if you've already
[00:31:34.160 --> 00:31:44.000]   got this installed how do you actually start it sort of debugging okay yeah all right we're just gonna do
[00:31:44.000 --> 00:31:59.920]   that um so let's take add open code agent as an executor and we're just gonna tag some relevant files
[00:31:59.920 --> 00:32:02.880]   executors
[00:32:05.520 --> 00:32:14.960]   please add open code uh as an executor coding agent so i know there's a bit of jargon um and you guys
[00:32:14.960 --> 00:32:23.920]   don't have the code but essentially an executor represents any any uh process so that could be the
[00:32:23.920 --> 00:32:33.680]   setup script or the dev server and obviously coding agent is a subtype of that um the command to run it is
[00:32:35.120 --> 00:32:50.480]   that and i will just change that too this is really obvious prompt here um the thing is okay i can do
[00:32:50.480 --> 00:32:56.320]   this okay i can do a simple version of this but then the complex version is going to be like session
[00:32:56.320 --> 00:33:00.880]   management and then follow-ups and things so this is just going to be the basic implementation for now
[00:33:00.880 --> 00:33:08.240]   um and then like sometimes it especially with bigger code bases it makes stupid mistakes where it'll
[00:33:08.240 --> 00:33:13.520]   implement this everywhere and then forget to like add it to the settings so you can give it a quick way
[00:33:13.520 --> 00:33:19.280]   to validate and this is kind of what i mean by our job as humans is to sit there and kind of figure out
[00:33:19.280 --> 00:33:31.760]   what the lightweight tests are and so i would just say anywhere where amp or um claude or gemini oops
[00:33:31.760 --> 00:33:42.720]   is mentioned you should probably also mention open code okay all right and i think i can't remember what that's
[00:33:42.720 --> 00:33:51.840]   executing with that's with claude uh i might just try that with amp because i think that's going to get
[00:33:51.840 --> 00:33:58.240]   a better result all right we're going to watch this and take some questions in the background
[00:33:58.240 --> 00:34:06.000]   so i don't know who's first kevin go for it actually david's been up for longer than i have let me hand over to him
[00:34:06.000 --> 00:34:15.520]   sorry go for it i think i might have gotten my answer just from what you were doing uh is everything
[00:34:15.520 --> 00:34:22.880]   just one shot coming in on the command line and like one prompt or how are you driving the squad code
[00:34:24.000 --> 00:34:32.400]   yeah so you so there's actually very little emphasis on on what is ha what is happening in the middle um
[00:34:32.400 --> 00:34:37.200]   like when it's running you can if you want to go in and see the logs and you cannot follow up so for
[00:34:37.200 --> 00:34:45.200]   example i was just checking one of these tasks that i i just started before this um and it turns out it has
[00:34:45.200 --> 00:34:51.120]   not really done the right thing and i wanted it to add some more themes currently have like light and dark
[00:34:51.760 --> 00:34:57.520]   i can see that it's added like purple green blue orange and red but again this is exactly what i'm
[00:34:57.520 --> 00:35:02.880]   talking about it's added the theme but it has not added any way to choose that theme in the selector
[00:35:02.880 --> 00:35:12.480]   so i'm going to now follow up and be like at settings uh i don't know why the settings bar is up there oh
[00:35:12.480 --> 00:35:21.440]   maybe because i'm zoomed in uh settings can you make sure the user can actually select
[00:35:21.440 --> 00:35:30.080]   select these cool new themes okay so you can follow up and so how is that how is that doing are you just
[00:35:30.080 --> 00:35:38.720]   doing another like command line prompt like one shot thing uh it's actually on the same thread so
[00:35:39.600 --> 00:35:52.000]   if we can see the raw um where's the show mode button so you can turn all of these agents on to like
[00:35:52.000 --> 00:36:01.760]   json l mode which just gives you um a bit more detail and so you can see in this case uh there's a thread id at
[00:36:01.760 --> 00:36:10.000]   the top here and if we add a command line argument uh called like resume i think with the thread id then
[00:36:10.000 --> 00:36:15.520]   it just pops onto the conversation so it's not it's not like re-one-shotting it to be honest i would say
[00:36:15.520 --> 00:36:22.320]   it's 50 50 whether i go for the follow-up or whether i just make a new attempt and sometimes you can make a
[00:36:22.320 --> 00:36:28.000]   make a new attempt in a different coding agent as well so try it first in amp and then try it in claude
[00:36:28.000 --> 00:36:34.800]   um again maybe some more insight from trying to solve sweep bench is that uh sampling and
[00:36:34.800 --> 00:36:40.240]   ensembling is really important and this is obviously something that claude doesn't do it's it's just you're
[00:36:40.240 --> 00:36:46.720]   just looking at one attempt at a problem whereas the average uh sweep bench attempt is sampling like up to
[00:36:46.720 --> 00:36:53.840]   ten times or or more at the moment um and when you read the traces there is really it's kind of
[00:36:53.840 --> 00:37:01.040]   illogical why you know why one attempt works and another doesn't because you would have thought
[00:37:01.040 --> 00:37:06.320]   there'd be some obvious thing like it really it read the wrong file or something like that but it'll
[00:37:06.320 --> 00:37:10.720]   literally you know you you'll look at two attempts one will work one will not work they'll both read the
[00:37:10.720 --> 00:37:16.000]   same file and then they'll just do two completely different code changes with almost the exact same steps
[00:37:16.000 --> 00:37:21.680]   before that and it's you know it's like the way these things work right they're not humans they're
[00:37:21.680 --> 00:37:29.360]   just you know that they themselves are sampling and so the response to that is probably just running a
[00:37:29.360 --> 00:37:35.520]   few instances of the coding agent one shot and then just taking the best one is actually not a bad strategy
[00:37:35.520 --> 00:37:41.440]   and can probably be more efficient than asking follow-up questions yeah i kind of the reason why
[00:37:41.440 --> 00:37:47.840]   what i want to ask is for the ai in action bot uh like i've i coded that in one of these uh sessions
[00:37:47.840 --> 00:37:53.040]   and what i think i i really want is everyone in the community just to be able to ask the bot
[00:37:53.040 --> 00:37:59.120]   to make changes to itself uh i started working on this before clawed code and it was really hard to get
[00:37:59.120 --> 00:38:06.240]   aider to do that in a way where it would hold hold things on discord but it seems like we're just at the
[00:38:06.240 --> 00:38:11.840]   the age now we just try it once and have it do it 10 times and pick the best one or something
[00:38:11.840 --> 00:38:17.840]   yeah it's a different you know you'd never do that with humans you'd never get 10 humans to do the same
[00:38:17.840 --> 00:38:22.320]   task but this is just we've got to kind of relearn how to do this stuff
[00:38:25.520 --> 00:38:30.880]   okay um was there somebody for kevin i can't remember
[00:38:30.880 --> 00:38:41.520]   i'm not sure kevin go for it yeah so um question i have is uh let's see a little context so i find
[00:38:41.520 --> 00:38:50.640]   for myself when i'm writing code now using agents to do things one of the biggest limiting factors for me
[00:38:50.640 --> 00:38:56.800]   is how quickly my brain can keep up with what is the current state of the system and like what are
[00:38:56.800 --> 00:39:04.960]   the changes that need to be kicked off or prompted um and there seems to be like actually uh manuel and
[00:39:04.960 --> 00:39:12.160]   i were joking like we use we're using amp code amp is also a you know that that word means current
[00:39:12.160 --> 00:39:16.240]   right and so we have like an amperage limit in our brains of how many amps we can have going
[00:39:16.240 --> 00:39:20.560]   at a time and like actually have things keep up and depending on how rested you are like in the
[00:39:20.560 --> 00:39:27.280]   morning you know morning fresh maybe i can handle four amps uh you know by this time on a friday i'm
[00:39:27.280 --> 00:39:34.640]   down to one maybe two right and so like i guess the there's also this cognitive thing we had this week
[00:39:34.640 --> 00:39:39.760]   right where you need to think strategically and at some point you just can't think strategically anymore
[00:39:39.760 --> 00:39:46.320]   so it's better to just not prompt the llm at that point yeah so i guess what the question that i'm so
[00:39:46.320 --> 00:39:52.320]   that's the sort of overlying context is there still seem to be cognitive limits that i at least we are
[00:39:52.320 --> 00:40:00.160]   running into in terms of how we think strategically about the system how we uh are able to keep updating
[00:40:00.160 --> 00:40:04.560]   our brain state of what the system is so i'm kind of curious how you are thinking about that if you've run
[00:40:04.560 --> 00:40:11.520]   run into similar problems and how uh what you know how vibe can ban either today or in the future
[00:40:11.520 --> 00:40:13.200]   is like kind of helping with that
[00:40:13.200 --> 00:40:25.680]   so just to replay that how does vibe can ban work around our changing just like how are you
[00:40:25.680 --> 00:40:30.480]   are you still running into those just viewing it a can board uh can ban board actually change your
[00:40:30.480 --> 00:40:35.920]   ability to keep track of it like is that helping you like i'm just we're trying to adapt to this
[00:40:35.920 --> 00:40:41.120]   world of agents and that's where i found the new limits for me or just like my brain can't update fast
[00:40:41.120 --> 00:40:48.880]   enough i you know i do feel that so my uh the the thing i keep finding myself doing is coming in to
[00:40:48.880 --> 00:40:55.840]   review a task clicking the start dev server button going over to the dev version of whatever it is that's
[00:40:55.840 --> 00:41:01.040]   running and then immediately having no clue what i'm what i'm supposed to be reviewing because i've
[00:41:01.040 --> 00:41:08.080]   forgotten and it and i literally looked at it about two seconds ago and it's probably a function of
[00:41:08.080 --> 00:41:16.480]   too much context switching i think i don't know i i i don't know how that really gets solved with better ux
[00:41:16.480 --> 00:41:22.240]   you know this is definitely better than terminal because at least there's some visual difference like
[00:41:22.240 --> 00:41:28.000]   this is in this column and that's in that column and there's different colors and stuff um but at the
[00:41:28.000 --> 00:41:36.560]   same time it does encourage you to uh to do much more and and so your context switching much more i i i
[00:41:36.560 --> 00:41:44.080]   think the long term is that right now you can think of coding agents or just like ai assisted coding in
[00:41:44.080 --> 00:41:50.160]   general on a spectrum of like how long does it take before a human has to intervene and you start off with
[00:41:50.160 --> 00:41:55.280]   github copilot right where it's running for two seconds and then a human has to intervene and then
[00:41:55.280 --> 00:42:00.240]   you upgrade and you and you get to like cursor and you know that's running for like 20 seconds and then
[00:42:00.240 --> 00:42:05.600]   the human has to you know get involved again and then you have you know the next generation of coding
[00:42:05.600 --> 00:42:11.200]   agents which uh kind of like the core code things which run for two minutes and then at some point you
[00:42:11.200 --> 00:42:16.080]   know we'll get to the the dev in reality where you where you have like half an hour to an hour you know
[00:42:16.080 --> 00:42:22.720]   running and then you can come back and check it and yeah this so this is probably just like a moment in
[00:42:22.720 --> 00:42:27.200]   time where these things are running for two minutes and my hope is that in the future like they'll run
[00:42:27.200 --> 00:42:34.960]   for much longer or you know we will it'll it'll do enough work like me checking like one little widget
[00:42:34.960 --> 00:42:40.240]   and then jumping back in checking like another little widget isn't super useful you know isn't doesn't
[00:42:40.240 --> 00:42:44.960]   feel like a great use of my time like i feel like i could be bundling these into much bigger changes
[00:42:44.960 --> 00:42:51.200]   that i review and i and then i'm kind of in the zone with that one change for five ten minutes half
[00:42:51.200 --> 00:42:57.120]   an hour whatever um and that's the direction of travel i think is is longer changes and you know
[00:42:57.120 --> 00:43:02.160]   reflects the the you know different generations of tools we've been seeing for two or three years now
[00:43:06.960 --> 00:43:08.240]   does that answer your question at all
[00:43:08.240 --> 00:43:19.680]   sort of um so i think a thing that i'm grappling with to some extent like one way of thinking about
[00:43:19.680 --> 00:43:23.680]   it is just asking continually asking the question what is the job of a software engineer anymore
[00:43:23.680 --> 00:43:28.640]   but there's more in the sense that
[00:43:31.920 --> 00:43:38.560]   i have seen that even though like the surface layer prompts that we're doing are as you say
[00:43:38.560 --> 00:43:43.760]   they're very simple they're very intent based they're not doing there's not very much context in
[00:43:43.760 --> 00:43:50.080]   there i have seen that when i do that in a system that i understand well i get substantially better
[00:43:50.080 --> 00:43:55.760]   results something subtle about how i'm prompting it is different and it gets substantially better results
[00:43:55.760 --> 00:44:01.040]   and i'm also able to correct it when i don't uh when it goes off the rails and when i do that in a system
[00:44:01.040 --> 00:44:10.400]   that i understand poorly it is i get systematically worse results and i often don't see the issues
[00:44:10.400 --> 00:44:15.440]   early enough and so it goes off for a long ways before i'm like oh that was a mistake i need to come
[00:44:15.440 --> 00:44:21.760]   back and redo that in a different way and so what that points to is that there is still
[00:44:21.760 --> 00:44:30.240]   at least in this point and i suspect i because i'm because i'm in some ways a skeptic despite being way
[00:44:30.240 --> 00:44:34.240]   out on the edge of this i suspect there will always be some value in actually understanding
[00:44:34.240 --> 00:44:41.600]   the kind of architecture of your system in some way because you'll be able to guide or maybe that's
[00:44:41.600 --> 00:44:45.120]   codified in a document somewhere that the agent can pick it up i don't know
[00:44:45.120 --> 00:44:51.520]   but like i think there's some amount of mental modeling that is still having to happen and i'm
[00:44:51.520 --> 00:44:56.960]   like the problem i'm grappling with in all these shapes is like how do we still build that model that
[00:44:56.960 --> 00:45:02.400]   bottle used to get built as you were writing the code right you're writing and it's absorbing it and
[00:45:02.400 --> 00:45:06.960]   we're delegating a lot of that writing so how do we still update our mental models for what the system
[00:45:06.960 --> 00:45:13.600]   are so that we can guide these agents in the right direction maybe frameworks just having like very
[00:45:13.600 --> 00:45:20.240]   opinionated ways of building these things that is predictable so i don't know you know it goes off and
[00:45:20.240 --> 00:45:24.960]   does something but i kind of trust that the roots are going to go in the roots folder and the model is
[00:45:24.960 --> 00:45:29.760]   going to go in the models folder and it's not going to put sql queries outside of the model i don't know
[00:45:32.640 --> 00:45:38.000]   same way you'd work with um i guess contractors who have never been in your repo before it works
[00:45:38.000 --> 00:45:43.920]   a lot better when you're using you know like java spring boot and you're hiring java spring boot
[00:45:43.920 --> 00:45:51.520]   developers versus like you know generic java projects because of that shared context that everybody's got
[00:45:51.520 --> 00:45:56.720]   um manuel
[00:46:02.240 --> 00:46:07.680]   there we go i was looking for my cursor um one thing i i find myself doing for the like oh when
[00:46:07.680 --> 00:46:13.360]   you don't know how to how to approach something right and like it's it's hard to even decompose
[00:46:13.360 --> 00:46:19.920]   something into tasks because you don't even know what to ask for uh one thing i do is i have manus
[00:46:19.920 --> 00:46:24.240]   and then i'll just throw really like the most random shit at manus and say like please build
[00:46:24.240 --> 00:46:28.800]   like what did i do yesterday i just bought a drone i was like please build like a drone motion planning
[00:46:28.800 --> 00:46:35.280]   engine which i don't even know what that means like i just put some words together right like
[00:46:35.280 --> 00:46:40.480]   i have a rough idea and then i'll just like do that and like launch three of them which of course is like
[00:46:40.480 --> 00:46:47.360]   costly but also well i'll just do like oh three researchers or like deep researchers and paste those
[00:46:47.360 --> 00:46:51.040]   into manus and said like can you please implement whatever this algorithm is about
[00:46:51.040 --> 00:46:59.520]   um and the way i i think of because kevin was saying that oh source code is like the new binary
[00:46:59.520 --> 00:47:07.920]   which is like a it's like the analogy only goes so far but in many ways running an llm on a prompt
[00:47:07.920 --> 00:47:13.040]   you can think of it as compiling you know and sometimes you'll get like compile errors which in this
[00:47:13.040 --> 00:47:17.440]   case is like oh what came out is not what i want it doesn't mean like oh what came out doesn't work
[00:47:17.440 --> 00:47:24.640]   it means like oh what came out is like not necessarily what i want so i have to go back fix my code and i
[00:47:24.640 --> 00:47:32.400]   think that analogy is is pretty interesting to to you can approach llms as kind of like a more like a
[00:47:32.400 --> 00:47:37.680]   notebook as well right like where where suddenly you're in a notebook and you're just going to try stuff
[00:47:37.680 --> 00:47:44.080]   out see what comes out refine it try it again um and that way of thinking about what do we do with
[00:47:44.080 --> 00:47:49.440]   all this compute like right how how do we leverage the computers basically not just building prototypes
[00:47:49.440 --> 00:47:55.200]   and throwing them away but like thinking of it as i'm iteratively trying to get to the code i want to
[00:47:55.200 --> 00:48:02.960]   generate but the code itself is just a single run is just like one attempt of doing something um it's costly
[00:48:06.880 --> 00:48:18.960]   yeah that all makes sense yeah um david so i put this in chat is there any way to have this shared
[00:48:18.960 --> 00:48:26.160]   or running on a server or this is just only you have it on your own machine and only one person's using it
[00:48:26.160 --> 00:48:34.080]   at a time yeah well i think there are already like quite a few options for running stuff in the server and
[00:48:34.080 --> 00:48:40.720]   i tried a few of them out you know you can kind of link you know web-based agents to linear and
[00:48:40.720 --> 00:48:48.320]   stuff like that but um i guess there's for whatever reason it's just nicer to kind of
[00:48:48.320 --> 00:48:57.040]   work on localhost and um as it's very deliberately uh you know based around your local tooling and the
[00:48:57.040 --> 00:49:03.280]   agents you install locally rather than the ones you you'd run in the cloud i guess at some point in the
[00:49:03.280 --> 00:49:10.560]   future my computer will start going too slow for me to keep paralyzing agents and and i will need to
[00:49:10.560 --> 00:49:16.320]   move to some kind of cloud infrastructure to run you know so that would be like
[00:49:16.320 --> 00:49:22.480]   step one of moving to the cloud probably would be when you hit you know start that goes off and
[00:49:22.480 --> 00:49:27.360]   it runs somewhere else and actually the sandboxing thing that was mentioned earlier you know that even
[00:49:27.360 --> 00:49:33.440]   just for that reason you know that could be a good reason to do that and then yeah at some point if
[00:49:33.440 --> 00:49:37.760]   you ever want to use this at scale like you'll you know your boss at a big bank is probably not going to
[00:49:37.760 --> 00:49:44.880]   let you just roll this they're going to want some kind of overview of what's happening you know and and
[00:49:44.880 --> 00:49:51.520]   observability and and analytics about which coding agents people are using and you know and i expect people to
[00:49:51.520 --> 00:49:56.880]   to keep changing you know i don't think this is going to settle down and and this text box will
[00:49:56.880 --> 00:50:03.920]   have 50 options in it you know at some point probably um and so there is potential i guess for cloud
[00:50:03.920 --> 00:50:11.440]   version that supports some of the the more boring like observability security compliance stuff that teams
[00:50:11.440 --> 00:50:19.120]   need to use this in for serious workflows yeah i mean i'm thinking more again as like the ai in action bot
[00:50:19.120 --> 00:50:25.120]   giving the community the ability to make changes or you know theoretically in your case you know you're
[00:50:25.120 --> 00:50:29.840]   talking about you don't want to open source it because the contributions you get are so terrible
[00:50:29.840 --> 00:50:35.520]   but what if you had you know people be able to you know use this directly i mean still a terrible idea
[00:50:35.520 --> 00:50:39.120]   but a little bit more you know what you'd expect
[00:50:39.120 --> 00:50:44.880]   it will it will happen at some point
[00:50:44.880 --> 00:50:51.680]   i'm i'm a little confused about this like uh i'm revealing that i'm not really actually a developer
[00:50:51.680 --> 00:50:56.720]   and i don't know how this stuff works but like if you npx install vibe dash kanban and you go to
[00:50:56.720 --> 00:51:02.240]   like npmjs.com you can see the like the code is there is it not like if we wanted to run this on our own
[00:51:02.240 --> 00:51:06.480]   is it i don't understand like maybe i'm missing something the source there's difference between the
[00:51:06.480 --> 00:51:11.360]   source code and the compiled code that you can run so the source code is not open source
[00:51:11.360 --> 00:51:18.000]   i see i see so so like running it on a server like let's say you log into a server and just run npx
[00:51:18.000 --> 00:51:25.200]   install kanban like is it not running on a server then it is it is you just don't have the original source
[00:51:25.200 --> 00:51:36.160]   code i see okay okay okay okay i think i've got open code running i've just like brew install how's this
[00:51:36.160 --> 00:51:48.080]   thing working without an api key i do not really understand but this is crazy okay all right let's try it so
[00:51:48.080 --> 00:51:56.800]   uh add open code agent we're gonna start the dev server let's get an auspicious start going sometimes
[00:51:56.800 --> 00:52:07.040]   this fails that's just my project setup okay looks like it's running um let's add a
[00:52:07.920 --> 00:52:14.000]   well we're just gonna prove it works first so i've got my one plus one test and we're gonna run
[00:52:14.000 --> 00:52:19.280]   it oh it's done it again it hasn't added it to the settings i don't know why it loves like making
[00:52:19.280 --> 00:52:24.640]   changes and then never adding them okay but it is up here okay so it's just forgotten to add it to the
[00:52:24.640 --> 00:52:30.640]   settings in one place this is like really classic this is this is like again you know you need to design
[00:52:30.640 --> 00:52:43.920]   applications in a slightly different way to kind of centralize things like this um so uh you forgot to
[00:52:43.920 --> 00:52:53.200]   add this as an option in the task details i think there's a task details toolbar yeah that sounds right
[00:52:53.200 --> 00:53:00.160]   okay and in the meantime we can review the other thing i was playing around with which is add some more
[00:53:00.160 --> 00:53:07.280]   themes so for those of you that weren't following it uh added some themes and then it forgot to
[00:53:07.280 --> 00:53:12.320]   give me a way to actually select those themes so i asked it to add the themes as options to the
[00:53:12.320 --> 00:53:18.560]   settings and then i realized the uh well first of all that didn't actually work so i just basically wrote
[00:53:18.560 --> 00:53:25.920]   fix and then i realized the logo looked a bit off so this is something where i think like the playwright
[00:53:25.920 --> 00:53:29.840]   mcp or something like that could probably be quite useful i haven't hooked that up to this
[00:53:29.840 --> 00:53:39.280]   project yet um you can see if i start the dev server we have blue purple lots of other beautiful themes
[00:53:39.280 --> 00:53:45.760]   there so i'm going to go ahead as promised and merge something live on camera this is obviously going
[00:53:45.760 --> 00:53:53.120]   to fail because i'm doing it live oh my god it worked that feels great that is going to go out in today's
[00:53:53.120 --> 00:54:00.160]   release everybody and the open code one has also followed up so let's try this one out we're gonna
[00:54:00.160 --> 00:54:07.280]   land two today that's the real question um first of all we need to rebase this because we just merged
[00:54:07.280 --> 00:54:13.440]   something so rebase on domain successful now we'll get the theme i just set because we've just rebased
[00:54:14.720 --> 00:54:24.160]   um and let's try again and see okay we've got open code it's running
[00:54:24.160 --> 00:54:33.840]   this is there's no way this is going to work this is gonna fail horribly
[00:54:39.120 --> 00:54:40.320]   suspense is killing me
[00:54:40.320 --> 00:54:49.040]   uh okay that is actually the wrong error that is because so the dev server config is messed up
[00:54:50.800 --> 00:54:54.640]   um just killing everything on that board
[00:54:54.640 --> 00:55:00.480]   anyway any final question this this is an hour long sean
[00:55:03.840 --> 00:55:11.760]   uh yeah it is um and you've already done amazing we have one merge on the the channel so that's great
[00:55:11.760 --> 00:55:13.840]   yeah um
[00:55:13.840 --> 00:55:23.760]   cool well yeah i mean i will it obviously it's yeah this will this will you know take a little bit of
[00:55:23.760 --> 00:55:28.640]   back and forth probably but oh it's working what
[00:55:31.040 --> 00:55:35.200]   okay i don't know what the i need to look into the logs and make these pretty like we have for claude
[00:55:35.200 --> 00:55:41.120]   but that's definitely coming from the executor so we half did it guys
[00:55:41.120 --> 00:55:46.080]   all right amazing thank you for dropping by
[00:55:46.080 --> 00:55:54.720]   amazing work um i think the kanban form factor is useful and like obviously where something like this
[00:55:54.720 --> 00:55:59.920]   should exist come back and thanks for all the feedback i have been following along in the comments
[00:55:59.920 --> 00:56:04.880]   and i'm gonna look at these after the call as well there's a lot of really great suggestions after
[00:56:04.880 --> 00:56:11.280]   the questions people are asking as well um that has been super helpful uh my email i'll just drop it in
[00:56:11.280 --> 00:56:19.040]   the chat if you ever have feedback uh please just ping me we have a success rate of responding to
[00:56:19.040 --> 00:56:25.920]   all feedback by delivering it as fixes within 24 hours so far for the six days of this
[00:56:25.920 --> 00:56:30.880]   project's existence and i will endeavor to keep that up so please send it through
[00:56:30.880 --> 00:56:46.080]   okay amazing um yeah thank you you want to end yeah all right thank you and folks who want to give
[00:56:46.080 --> 00:56:52.880]   talks like this sign up in the discord just tell the ai in action bot that you want to give a talk and then we don't have to depend on swix sourcing
[00:56:52.880 --> 00:57:01.440]   no it's just my pleasure like something cool like i know the person all right thank you everyone bye

