
[00:00:00.000 --> 00:00:09.680]   So today, it's my pleasure to welcome Joshua Batson from Anthropic.
[00:23:54.800 --> 00:23:59.920]   And so here we replace the neurons with these features.
[00:23:59.920 --> 00:24:03.500]   We use just the attention from the base models.
[00:24:03.500 --> 00:24:05.040]   We do not try to explain the tension.
[00:24:05.040 --> 00:24:06.120]   We just flow through it.
[00:24:06.120 --> 00:24:08.320]   But we try to explain what the MLPs are doing.
[00:24:10.340 --> 00:24:15.840]   And now, instead of the neurons, which are sort of uninterpretable, like, on the left here, we have stuff that makes more sense.
[00:24:15.840 --> 00:24:18.820]   On the right, this is a, say, a capital feature.
[00:24:18.820 --> 00:24:21.900]   And I think it's probably more specific.
[00:24:21.900 --> 00:24:28.100]   So this is, like, in, you know, these, like, literal state-to-capital mappings.
[00:24:28.100 --> 00:24:29.580]   Yeah.
[00:24:29.580 --> 00:24:45.960]   So I don't know what reasonable, I'd say it's expedient.
[00:24:45.960 --> 00:24:49.760]   It loses a lot.
[00:24:50.960 --> 00:25:05.680]   I think that from a practical perspective, though, if you want to model the action of the attention layer, or anything that moves information between tokens, then the input would have to be the activations at all of the token positions.
[00:25:05.680 --> 00:25:11.760]   And here we only can do one token position at a time.
[00:25:11.760 --> 00:25:13.120]   So you can learn something much simpler.
[00:25:13.120 --> 00:25:17.680]   And I think the learning problem is just, like, a lot easier.
[00:25:18.200 --> 00:25:27.900]   It's also, like, slightly less clear what the thing to replace the attention layer is that would be interpretable, because it needs to be a system for both transforming information and moving it.
[00:25:27.900 --> 00:25:31.680]   And sparsity isn't a good prior there.
[00:25:31.680 --> 00:25:35.500]   You've got, like, a four tensor instead of a two tensor, and we aren't sure what the right answer is.
[00:25:35.500 --> 00:25:36.760]   So we just did this for now.
[00:25:38.200 --> 00:25:46.520]   Is there a potential fear that once you are replacing it, you are implying your interpretation of what the relevant features are?
[00:25:46.520 --> 00:25:50.260]   Right.
[00:25:50.260 --> 00:25:51.880]   So there's two questions there.
[00:25:51.880 --> 00:25:54.560]   One is, like, what do you lose by doing your replacement?
[00:25:54.560 --> 00:26:03.940]   And the other is, like, you know, how much are you leaning on your interpretations of the components you get?
[00:26:03.940 --> 00:26:06.160]   And what is our element feature?
[00:26:06.160 --> 00:26:06.940]   Yeah.
[00:26:06.940 --> 00:26:09.320]   Or something that you have to put into the sparse autocoter, right?
[00:26:09.320 --> 00:26:10.060]   Yeah.
[00:26:10.060 --> 00:26:14.200]   Well, so the sparse autocoter just produces a bunch of these, right?
[00:26:14.200 --> 00:26:17.120]   And then, but we do have to interpret what comes out.
[00:26:17.120 --> 00:26:25.500]   And so for any particular graph, you know, we can go, we have now, the attention is frozen.
[00:26:26.200 --> 00:26:30.640]   We have a forward pass of the model, sort of through the replacement, where we've got a bunch of the features.
[00:26:30.640 --> 00:26:33.820]   We've got these triangles represent, these diamonds are the errors.
[00:26:33.820 --> 00:26:38.380]   So, like, these don't perfectly reconstruct the base model, so you have to include an error term.
[00:26:38.380 --> 00:26:42.540]   And then you can just, you know, track the influence directly.
[00:26:42.540 --> 00:26:46.000]   These are just linear maps until you get to the end.
[00:26:46.000 --> 00:26:52.960]   And, you know, there'll be a lot of these active, fewer than there are neurons, but, you know, order hundreds per token.
[00:26:53.880 --> 00:26:56.300]   But they don't all matter for the model's output.
[00:26:56.300 --> 00:27:03.620]   So then you can sort of go from the output, like Austen here, backwards, and say which features were directly causally relevant for saying Austen,
[00:27:03.620 --> 00:27:08.760]   and then which features were causally relevant for those being active, and then which are causally relevant for those being active.
[00:27:08.760 --> 00:27:15.080]   And in that way, you get a much smaller thing, something you could actually look at to try to understand why it said this literal thing here.
[00:27:15.080 --> 00:27:20.160]   And now you're in, but this is all still math, right?
[00:27:20.160 --> 00:27:21.060]   Now you have this graph.
[00:27:21.820 --> 00:27:28.460]   But if you want to interpret this, then you need to look at, you know, these individual components and see if you can make sense of them.
[00:27:28.460 --> 00:27:35.800]   And now you're back to, like, looking at when was this active and which examples, hoping that's kind of interpretable and, you know, that the connections between them make any sense.
[00:27:37.120 --> 00:27:41.340]   And, you know, often these will be in some rough categories.
[00:27:41.340 --> 00:27:45.840]   So here's, like, one Texas feature is, like, again, the, like, everything's bigger in Texas.
[00:27:45.840 --> 00:27:49.300]   Texas is a big state known for its cowboys and cowgirls.
[00:27:50.600 --> 00:27:54.100]   And this other one is about, you know, politics and the judicial system.
[00:27:54.100 --> 00:28:00.480]   And, you know, I'm not saying that, like, these are, like, the right way to break apart the network.
[00:28:00.480 --> 00:28:02.760]   But they are a way to break apart the network.
[00:28:02.760 --> 00:28:09.320]   And if you look at the flow in here, you know, these Texas features feed into the, say, Austin ones, right?
[00:28:09.320 --> 00:28:10.460]   There is a path here.
[00:28:10.460 --> 00:28:17.820]   And so we sort of will manually group some of these based on, at this point, human interpretation to get a map of what's going on.
[00:28:17.820 --> 00:28:18.040]   Yeah.
[00:28:18.040 --> 00:28:19.340]   There's a Zoom question.
[00:28:19.340 --> 00:28:28.060]   In CLT architecture, we freeze attention blocks and replace MLPs with transcoders that speak to each other.
[00:28:28.060 --> 00:28:30.000]   This is complex, right?
[00:28:30.000 --> 00:28:35.900]   So won't this be adding unnecessary interpretability when the underlying connections could be a lot simpler?
[00:28:35.900 --> 00:28:39.220]   Also, do you mind repeating the questions so the folks on Zoom?
[00:28:39.220 --> 00:28:39.700]   Can you hear?
[00:28:39.700 --> 00:28:40.940]   Yes.
[00:28:40.940 --> 00:28:44.920]   The question is, boy, this seems like a lot of extra work.
[00:28:44.920 --> 00:28:49.820]   You know, there's a lot of connections between these features, right?
[00:28:49.820 --> 00:28:50.880]   They're mediated by a dungeon.
[00:28:50.880 --> 00:28:53.660]   And I would agree.
[00:28:53.660 --> 00:28:58.960]   But we couldn't find a way of doing less work and have the units be interpretable, right?
[00:28:58.960 --> 00:29:02.380]   One way to think about this is the base components of the model aren't that interpretable.
[00:29:02.380 --> 00:29:06.120]   So if you want to interpret things as interactions of components, like,
[00:29:06.120 --> 00:29:10.720]   if you want to use, like, the great reductionist strategy that's been quite effective,
[00:29:10.720 --> 00:29:16.700]   and you can break organs into, you know, cells and understand how the cells interact,
[00:29:16.700 --> 00:29:18.720]   you, like, have to break it apart in some way.
[00:29:18.720 --> 00:29:19.880]   You lose a lot when you do that.
[00:29:19.880 --> 00:29:23.700]   But you gain something, which is you can talk about how those parts work.
[00:29:23.760 --> 00:29:27.400]   And so this was our best guess today as, like, parts to study.
[00:29:27.400 --> 00:29:31.240]   Okay.
[00:29:31.240 --> 00:29:34.520]   So we're still in schematic land here.
[00:29:34.520 --> 00:29:39.720]   Once we have grouped things to make a graph like this, we can do interventions.
[00:29:40.460 --> 00:29:46.340]   So, and these interventions are in the base model, not in our complicated replacement model.
[00:29:46.340 --> 00:29:51.400]   They amount to basically adding in vectors that are the feature outputs to another one.
[00:29:51.400 --> 00:29:54.120]   And you can see if the perturbations make sense.
[00:29:54.120 --> 00:29:59.460]   So if we swap out the Texas by muting those and add in the California features from another prompt,
[00:29:59.680 --> 00:30:01.940]   then the model will say Sacramento.
[00:30:01.940 --> 00:30:06.420]   If you put in Georgia, it will say Atlanta.
[00:30:06.420 --> 00:30:10.900]   If you put in the Byzantine Empire, it will say Constantinople.
[00:30:10.900 --> 00:30:19.000]   And so here it's a sign that, like, we did capture, like, an abstract thing in a manipulable way, right?
[00:30:19.000 --> 00:30:21.260]   You don't put it in and get gibberish, right?
[00:30:21.360 --> 00:30:28.180]   And, you know, if you're just doing bigram statistics or something, it's not clear how you would get this separability.
[00:30:28.180 --> 00:30:32.520]   Okay.
[00:30:32.520 --> 00:30:39.720]   So I'm going to get into these three kind of motifs that we see a lot.
[00:30:39.720 --> 00:30:43.320]   The abstract representations in a medical context and a multilingual context.
[00:30:44.600 --> 00:30:51.360]   Parallel processing motifs, which is about arithmetic, some jailbreaks, and hallucinations.
[00:30:51.360 --> 00:30:54.380]   And then also some elements of planning.
[00:30:54.380 --> 00:30:55.560]   Yeah.
[00:30:55.560 --> 00:31:03.420]   Do these holographs, maybe you're going on a certain scale, or do they appear at, like, a much smaller point model?
[00:31:03.420 --> 00:31:04.920]   Yeah.
[00:31:04.920 --> 00:31:13.660]   So this approach of, like, training a replacement model of an attribution graph is just math.
[00:31:14.000 --> 00:31:15.480]   So you can do whatever you want.
[00:31:15.480 --> 00:31:20.140]   And then it's like, are they interpretable, you know, as a question?
[00:31:20.140 --> 00:31:27.220]   We do this on a small 18-layer model in one of the papers, which can't do very much, and find pretty interpretable things.
[00:31:27.220 --> 00:31:29.180]   So I think this works at all scales.
[00:31:29.180 --> 00:31:34.440]   I know people who are doing these on, like, you know, sort of, now, how interesting is it?
[00:31:34.440 --> 00:31:36.740]   If your model can't do anything, maybe it's not that interesting.
[00:31:36.740 --> 00:31:40.280]   But I think if your model is narrow, purpose, and small, this would still be useful.
[00:31:40.280 --> 00:31:49.260]   Since you're talking about biology here, this all seems like something that maybe in a different field has been done to kind of human brains and human brains.
[00:31:49.260 --> 00:31:55.340]   Do you know, is there any kind of overlap on literature that you are relying on from the real, like, medicine side of things?
[00:31:56.220 --> 00:32:04.980]   For some inspiration, I think in particular this, like, you know, the idea of doing the perturbation, the causal perturbation, and seeing what happens.
[00:32:04.980 --> 00:32:07.600]   It's like a very neuroscience, optogenetics-y thing to do.
[00:32:10.340 --> 00:32:14.120]   Fortunately or unfortunately, like, our experimental setup is so much better than theirs.
[00:32:14.120 --> 00:32:19.180]   So I think we're now, like, well past what people can do in neuroscience.
[00:32:19.180 --> 00:32:25.140]   Because we have, like, one brain, and we can study it a billion times, and we can intervene on everything and measure everything.
[00:32:25.140 --> 00:32:32.720]   And they're in there, like, trying to capture, like, 0.1% of neurons, like, at a time resolution a thousand times worse than the actual activity.
[00:32:33.320 --> 00:32:37.020]   So, um, yeah.
[00:32:37.020 --> 00:32:39.040]   Maybe the other way around, like, we can do them.
[00:32:39.040 --> 00:32:39.600]   Yeah.
[00:32:39.600 --> 00:32:41.960]   Yeah, yeah.
[00:32:41.960 --> 00:32:55.880]   Um, okay, I want to give you, you know, just, I think it's, it's, it's good to, like, be able to, like, actually, um, see some of these.
[00:32:55.880 --> 00:33:02.160]   So this is, in the, in the paper itself, this is, like, what we make these cartoons from.
[00:33:02.160 --> 00:33:07.220]   Um, okay, so each of these nodes is, like, a feature, and an edge is, like, a causal influence.
[00:33:07.220 --> 00:33:16.580]   Um, here's, um, you know, uh, one whose direct effect on the output is saying Austin, mostly, and also some Texas things.
[00:33:16.580 --> 00:33:22.180]   Um, it's getting inputs from things related to Texas and from states.
[00:33:22.940 --> 00:33:28.560]   And, um, you know, these, like, the, the art of this is, like, now you're doing the interpretation.
[00:33:28.560 --> 00:33:35.220]   You're, like, bouncing around, looking at these components, looking at when they're active, looking at what they connect to, um, and trying to figure out what's going on.
[00:33:35.940 --> 00:33:44.160]   Um, and so the cartoons I'll show you are given by grouping sets of these based on common properties.
[00:33:44.160 --> 00:33:51.380]   So I said these are, say, a capital, and you can see that these are different from each other, but they all do involve the models, you know, saying capitals in some context.
[00:33:51.380 --> 00:33:55.500]   And so we just sort of piled those on top of each other.
[00:33:55.500 --> 00:33:58.140]   And this is what, like, I don't, you know, how many features should you have?
[00:33:58.140 --> 00:33:58.580]   I don't know.
[00:33:58.580 --> 00:34:00.580]   There's obviously no right answer here, I think.
[00:34:00.840 --> 00:34:10.160]   Um, it's not a perfect approximation, but you sort of break it into 30 million pieces, then you put the pieces back together in ways that make a bit of sense, and then you do interventions to check that, like, what you learned is real.
[00:34:10.160 --> 00:34:12.780]   Um, okay.
[00:34:12.780 --> 00:34:13.380]   So now.
[00:34:13.380 --> 00:34:30.580]   Uh, and then maybe this is the biggest difficulty in studying this kind of systems.
[00:34:30.580 --> 00:34:49.680]   And clearly, LLMs, they kind of start displaying this kind of, hey, so if you start breaking it down, at the same time you end up losing those emergent properties, so how can you balance that, uh, you know, and you can end up losing all these, these properties that just emerge when everything is together?
[00:34:49.680 --> 00:34:53.200]   That's a good question.
[00:34:53.720 --> 00:35:13.160]   Um, so I think one thing that makes LLMs kind of different is this flow of information from the input to the output, um, in which it seems like the, the, like, latent spaces work at a higher level of, of, of representation or complexity as you move through it.
[00:35:13.540 --> 00:35:23.840]   Um, and so, you know, like, all cells are somehow, like, the same size, they communicate with each other, but it's all, like, lateral communication.
[00:35:23.840 --> 00:35:35.820]   Um, and, um, you know, I think you do see the sum in the brain as you go from, like, you know, the, the first, um, light sensitive cells through the visual cortex.
[00:35:35.820 --> 00:35:50.500]   Um, where, um, you will get, you know, ultimately, like, a cell which is sensitive to a particular face, um, but that comes from things sensitive to less specific things, and ultimately things that, like, just detect, like, edges and shapes and those kinds of structures.
[00:35:50.500 --> 00:35:55.840]   And so, um, I think as you move through that, um, you, you do get these higher levels of abstraction.
[00:35:55.840 --> 00:36:03.340]   And so, um, you know, when I say, you could, there's a feature that seems to correspond to errors in code.
[00:36:03.340 --> 00:36:12.180]   Um, this is one of our atomic units, you know, it's, like, one of the things we're getting when we shatter this is, like, sensitive to errors in code, but, like, in a very general way.
[00:36:12.780 --> 00:36:22.160]   Um, and so, to some extent, I think that, like, the, these are built up hierarchically, but that it's just, maybe they're still units.
[00:36:22.160 --> 00:36:34.980]   There's another thing that I think we don't have any traction on, which is, like, if it's doing some, like, in context, like, dynamical system stuff, um, that, I think that will be much harder to, to understand.
[00:36:34.980 --> 00:36:38.000]   Um, and you might need, like, much larger ensembles of these.
[00:36:38.000 --> 00:36:41.220]   Um, okay.
[00:36:41.220 --> 00:36:45.000]   Um, let's slideshow again.
[00:36:45.000 --> 00:36:46.380]   Okay.
[00:36:46.380 --> 00:36:55.440]   Um, so, here's, like, a medical exam-style differential diagnosis question.
[00:36:55.440 --> 00:37:04.560]   Uh, 32-year-old female at 30 weeks gestation presents with severe right upper quadrant pain, et cetera, given this context.
[00:37:04.560 --> 00:37:08.500]   Um, if we could only ask for one other symptom, what should it be?
[00:37:09.360 --> 00:37:15.300]   Um, does anybody, is there a doctor in the house?
[00:37:15.300 --> 00:37:21.480]   Does anybody know what the, what the medical condition is here?
[00:37:21.480 --> 00:37:25.920]   Um, yeah.
[00:37:26.040 --> 00:37:41.060]   So, um, ask about visual disturbances, and the reason is because this is, like, the most likely diagnosis is preeclampsia here, um, which is a severe, severe complication of pregnancy.
[00:37:41.060 --> 00:37:58.780]   Um, and, you know, we're sort of able to trace through by, like, looking at these features and how they're sort of grouping together and how it flows, you know, that is pulling things from pregnancy, from, you know, that, that region, the headache, the high blood pressure, the liver tests, um, to, to preeclampsia.
[00:37:58.780 --> 00:38:02.120]   Um, and then from that to other symptoms of preeclampsia.
[00:38:02.120 --> 00:38:14.980]   Um, and then from those, you know, ultimately, um, there's actually two complete visual disturbances, um, and, you know, there's a tiny box here showing, like, you know, what do we mean by that?
[00:38:14.980 --> 00:38:26.100]   Those are the, this component is also active on training examples discussing, you know, causing vision loss, um, floaters, you know, in the eye, which is another visual disturbance, lead to loss of vision.
[00:38:26.100 --> 00:38:28.540]   Um, the other answer would be proteinuria.
[00:38:28.540 --> 00:38:36.280]   And so, you know, it is, it is, in the same way we're thinking about Texas, it's thinking about preeclampsia in some way before, like, saying what these, what these are.
[00:38:36.280 --> 00:38:38.040]   And we can see that intermediate state.
[00:38:38.040 --> 00:38:42.940]   Um, it is thinking about other potential diagnoses, like, uh, biliary system disorders.
[00:38:42.940 --> 00:39:03.740]   And if we suppress the preeclampsia, um, then, um, it will say, instead of visual disturbances with a rationale, because this presentation suggests preeclampsia, it will say decreased appetite, because the scenarios suggest, um, biliary disease.
[00:39:03.740 --> 00:39:04.800]   Right?
[00:39:04.800 --> 00:39:10.400]   And so, it is thinking of these options when you turn one off, then you get, like, a coherent answer consistent with the other one.
[00:39:10.900 --> 00:39:25.060]   So it's one of those main effect that you can intervene so clearly, that this is only represented in exactly one condition in the, in the network, and that by intervening there, you know, you don't need to intervene in a multiple place.
[00:39:26.920 --> 00:39:40.360]   Well, so, so, no, um, um, because, two reasons, three reasons, okay, the three reasons are, one, you know, this node is a group of them, right, it's a few of these features, um, that are all related to preeclampsia.
[00:39:40.540 --> 00:40:02.580]   The second is because the cross-layer transcoder, each of them writes to many layers, um, and then the third is we're creaming it, so here, we're turning it off double the amount that it was on, um, you know, we, we overcorrect, and you often need to do that to get the full effect, probably because there's redundant mechanisms and stuff, and so, I don't think this is the only place it is necessarily, but, but it's enough.
[00:40:02.580 --> 00:40:03.580]   So, um, yeah.
[00:40:03.580 --> 00:40:06.580]   Um, earlier in your talk, you talked a bit about for the semanticity of neurons.
[00:40:06.580 --> 00:40:07.580]   Yeah.
[00:40:07.580 --> 00:40:32.540]   So, for example, if you do one of these interventions, like, the, what are the pre-exam, CI, right, um, and let's say I deploy the model from some other doc, would you expect, like, um, like, what is the distribution of things that this will also hit, if, if you can, um, sort of give some sense of, like, what is the distribution of things that this will also hit, if, if you can, um, sort of give some sense of, like, um, what is the distribution of things that this will also hit, if, if you can, um, sort of give some sense of,
[00:40:32.540 --> 00:40:37.540]   Yeah, um, that's a great question.
[00:40:37.540 --> 00:40:39.540]   We didn't dig into that as much here.
[00:40:39.540 --> 00:40:41.540]   We did a little more with our last paper.
[00:40:41.540 --> 00:40:48.540]   Um, you know, I think that you push too hard and the model goes off the rails, like, in a big way.
[00:40:48.540 --> 00:40:58.540]   Um, I, you know, here, this is less for the purpose of shaping model behavior and more for the purpose of validating our hypothesis in this one example.
[00:40:58.540 --> 00:41:02.540]   Um, so we, we were not like, and now let's take a model, we've deleted this everywhere.
[00:41:02.540 --> 00:41:04.540]   It's like, no, the model's going through answering this question.
[00:41:04.540 --> 00:41:09.540]   Right here, we're turning off this part of its brain, you know, and then we're seeing what happens.
[00:41:09.540 --> 00:41:13.540]   Couple, uh, questions on Zoom.
[00:41:13.540 --> 00:41:20.540]   One is, uh, in practice, when you trace backwards through these features, do you see kind of explosion of relevant features as you go earlier in the model?
[00:41:20.540 --> 00:41:24.540]   Or is it some function of distance from the output?
[00:41:24.540 --> 00:41:32.540]   Um, yeah, the question is like, um, as you go backwards through the model, you know, is the number of relevant features go up?
[00:41:32.540 --> 00:41:34.540]   Uh, yes.
[00:41:34.540 --> 00:41:40.540]   Um, uh, sometimes, you know, sometimes you do get convergence.
[00:41:40.540 --> 00:41:47.540]   Um, you know, like the early features, right, might be about, you know, a few symptoms or something, and those are quite important.
[00:41:47.540 --> 00:41:55.540]   Um, and, um, I don't think we've made a good plot to answer that question.
[00:41:55.540 --> 00:41:59.540]   I am going to push onwards a little bit, and I'll come back to questions soon.
[00:41:59.540 --> 00:42:00.540]   Gotcha.
[00:42:00.540 --> 00:42:01.540]   Uh, just one more.
[00:42:01.540 --> 00:42:03.540]   How much are these examples carefully selected or crafted?
[00:42:03.540 --> 00:42:05.540]   Does this work for most sentences?
[00:42:05.540 --> 00:42:12.540]   Um, you learn something about most things you try.
[00:42:12.540 --> 00:42:20.540]   So I'd say, like, 40% of the prompts that we try, we can see some non-trivial part of what's going on.
[00:42:20.540 --> 00:42:23.540]   It's not the whole picture, and it, like, sometimes doesn't work.
[00:42:23.540 --> 00:42:30.540]   But, um, it also just takes, you know, 60 seconds of user time to kick one of these off.
[00:42:30.540 --> 00:42:34.540]   Um, and then you wait, and then it's done, and it comes back, and then you get to learn something about the model.
[00:42:34.540 --> 00:42:38.540]   Rather than having to, like, construct a whole bunch of a priori hypotheses of what's going on.
[00:42:38.540 --> 00:42:39.540]   You just sort of get it.
[00:42:39.540 --> 00:42:43.540]   Once you've built the machine, you get it for free, but this doesn't tell you everything.
[00:42:43.540 --> 00:42:49.540]   Okay, so, um, here's a question.
[00:42:49.540 --> 00:42:52.540]   Like, what language are models thinking in?
[00:42:52.540 --> 00:42:57.540]   Um, if there's a, you know, is it a universal language?
[00:42:57.540 --> 00:42:58.540]   Is it English?
[00:42:58.540 --> 00:43:03.540]   Is it, like, just, like, there's a French Claude and a Chinese Claude inside of Claude?
[00:43:03.540 --> 00:43:04.540]   Who gets gated to?
[00:43:04.540 --> 00:43:06.540]   This kind of depends on the question.
[00:43:06.540 --> 00:43:12.540]   Um, and so to answer this, we looked at three sentences, which are the same, um, sentence
[00:43:12.540 --> 00:43:13.540]   in three languages.
[00:43:13.540 --> 00:43:15.540]   So, the opposite of small is big.
[00:43:15.540 --> 00:43:18.540]   Le contraire de petit est grand.
[00:43:18.540 --> 00:43:19.540]   And I can't speak Mandarin.
[00:43:19.540 --> 00:43:27.540]   But, maybe someone here can say, what, what, someone, surely is a Mandarin speaker in this room.
[00:43:27.540 --> 00:43:31.540]   Like, there's no chance.
[00:43:31.540 --> 00:43:32.540]   Thank you.
[00:43:32.540 --> 00:43:41.540]   I came to-- what's the final character?
[00:43:41.540 --> 00:43:42.540]   Oh, no.
[00:43:42.540 --> 00:43:43.540]   There you go.
[00:43:43.540 --> 00:43:48.540]   I came to see it because we were doing these, like, this is part of the paper, like, so many times.
[00:43:48.540 --> 00:43:55.540]   But, like, it's the only character I can recognize this right now.
[00:43:55.540 --> 00:43:59.540]   Um, so, so this is, like, even more cartoony, right, than the last one.
[00:43:59.540 --> 00:44:03.540]   I'll get into the more detailed version later.
[00:44:03.540 --> 00:44:14.540]   But, basically, what we see is at the beginning, there are some of these, like, opposites in specific languages, right?
[00:44:14.540 --> 00:44:17.540]   Contraire in French, opposite in English.
[00:44:17.540 --> 00:44:23.540]   And the quotation, it's like, this is like an open quote in the language I'm speaking, right?
[00:44:23.540 --> 00:44:26.540]   So, the quote that follows will probably be in the same language.
[00:44:26.540 --> 00:44:39.540]   But then there's this, like, complex of features about, you know, antonyms in many languages, saying large in many languages, smallness in many languages that go together.
[00:44:39.540 --> 00:44:41.540]   And then you spit it back out in the language of interest.
[00:44:41.540 --> 00:44:50.540]   So, the claim is that this, this is a sort of multilingual core here, where smallness goes with oppositeness to give you largeness.
[00:44:50.540 --> 00:44:55.540]   And then largeness plus, you know, this quote is in English, give you the word large.
[00:44:55.540 --> 00:45:01.540]   Largeness plus this quote is in French, gives you, um, give you grand.
[00:45:01.540 --> 00:45:09.540]   And, um, we did a bunch of these, like, kind of patching experiments.
[00:45:09.540 --> 00:45:18.540]   You could say instead of the opposite, you know, you could say a synonym of, um, and just, like, drop that in.
[00:45:18.540 --> 00:45:19.540]   So, the same thing in all of them.
[00:45:19.540 --> 00:45:27.540]   And now you'll get, um, little, um, or minuscule in French.
[00:45:27.540 --> 00:45:30.540]   Um, and so it's sort of like patching in a different state.
[00:45:30.540 --> 00:45:37.540]   You know, you can, you can, you can, it's the same feature you're putting in in these three places, and you get the same change in behavior later.
[00:45:37.540 --> 00:45:42.540]   Um, and we sort of looked at, this does have a big effect with scale.
[00:45:42.540 --> 00:45:50.540]   So, you can look, like, how many features overlap between a pair of sentences that are just translations of each other as you move through the model.
[00:45:50.540 --> 00:45:53.540]   And at the beginning, it's just the, the, the tokens in that language.
[00:45:53.540 --> 00:45:54.540]   There's no overlap.
[00:45:54.540 --> 00:46:00.540]   Um, the, you know, uh, Mandarin when it's tokenized has nothing in common with English when it's tokenized.
[00:46:00.540 --> 00:46:03.540]   So, at the beginning and the end, there's nothing.
[00:46:03.540 --> 00:46:16.540]   Um, but, uh, as you move through the model, you see a pretty large portion of the components that are active are the same, regardless of the language that it was, that it was put in.
[00:46:16.540 --> 00:46:21.540]   Um, and so, this is English, Chinese, French, Chinese, and English, French.
[00:46:21.540 --> 00:46:26.540]   Um, this is, like, a random baseline if the sentences are unrelated.
[00:46:26.540 --> 00:46:28.540]   So, it's not just, like, the middle's more common.
[00:46:28.540 --> 00:46:35.540]   But when you compare pairs that are translations, this is in a 18-layer model, and this is in our, like, small production model haiku.
[00:46:35.540 --> 00:46:39.540]   Um, so, this generalization is kind of increasing with scale.
[00:46:39.540 --> 00:46:42.540]   Yes.
[00:46:42.540 --> 00:46:48.540]   So, it's almost like it can kind of interpret concepts in, like, a multi-layer model.
[00:46:48.540 --> 00:46:49.540]   Yes.
[00:46:49.540 --> 00:46:57.540]   Have you ever tried, um, doing problems that are metaphors that are kind of, like, specific to that language that don't really have translation?
[00:46:57.540 --> 00:47:00.540]   Um, no.
[00:47:00.540 --> 00:47:04.540]   If you have some examples of that, I'd love to try it.
[00:47:04.540 --> 00:47:06.540]   Um, I think that would be fun.
[00:47:06.540 --> 00:47:07.540]   Yeah.
[00:47:07.540 --> 00:47:08.540]   Yes.
[00:47:08.540 --> 00:47:09.540]   Yes.
[00:47:09.540 --> 00:47:10.540]   I would be happy for collaboration.
[00:47:10.540 --> 00:47:11.540]   Yes.
[00:47:11.540 --> 00:47:30.540]   So, would you say this kind of implies that in the center of the network is the most abstract representation of any given concept?
[00:47:30.540 --> 00:47:31.540]   Yeah.
[00:47:31.540 --> 00:47:32.540]   Because--
[00:47:32.540 --> 00:47:33.540]   Yeah.
[00:47:33.540 --> 00:47:37.540]   I think I would basically agree with this plot, which is, like, a little to the right of the center.
[00:47:37.540 --> 00:47:38.540]   Yeah.
[00:47:38.540 --> 00:47:39.540]   Yeah.
[00:47:39.540 --> 00:47:41.540]   At which point, you start to have to figure out what to do with it.
[00:47:41.540 --> 00:47:43.540]   Because in the end, the model has to say a thing.
[00:47:43.540 --> 00:47:56.540]   And then have you seen if you have a harder time finding autosemantic features in the middle of the network where it's very abstract rather than towards the end where it's very concrete?
[00:47:56.540 --> 00:47:59.540]   It's, if anything, it's actually the opposite.
[00:47:59.540 --> 00:48:09.540]   Um, because the-- like, if you'll permit me to be philosophical, like, the point of a good abstraction is that it applies in many situations.
[00:48:09.540 --> 00:48:15.540]   Um, and so, um, in the middle there should actually be these, like, common abstractions.
[00:48:15.540 --> 00:48:22.540]   It's, like, dealing with the very particulars of this phrasing or this grammar-matical scenario that it's quite bespoke.
[00:48:22.540 --> 00:48:26.540]   And so, you would need way more features to unpack it.
[00:48:26.540 --> 00:48:27.540]   Okay.
[00:48:27.540 --> 00:48:28.540]   Yeah.
[00:48:28.540 --> 00:48:29.540]   Oh.
[00:48:29.540 --> 00:48:30.540]   One more question.
[00:48:30.540 --> 00:48:31.540]   Uh, yes.
[00:48:31.540 --> 00:48:36.540]   Um, is the same, like, operation stored redundantly across multiple layers?
[00:48:36.540 --> 00:48:48.540]   Like, do you find that, uh, like, for example, if you need five reasoning steps to-- to get something done for-- like, like, in one example, but then in another example, like, you need eight reasoning steps to get something done.
[00:48:48.540 --> 00:48:53.540]   Um, do you redundantly have to store the, like, follow-up operation on both of those layers?
[00:48:53.540 --> 00:48:54.540]   Yeah.
[00:48:54.540 --> 00:48:58.540]   I think this is, like, a very deep question.
[00:48:58.540 --> 00:49:01.540]   Um, so it's repeated for the audience.
[00:49:01.540 --> 00:49:05.540]   It's, like, do we see redundancy of the same operation in many places?
[00:49:05.540 --> 00:49:09.540]   And, of course, this kind of-- it's, like, a thing people complain about with these models.
[00:49:09.540 --> 00:49:10.540]   Um, right?
[00:49:10.540 --> 00:49:16.540]   Which is, like, well, if it knows A and it knows B, why can't it do them in a row in its head?
[00:49:16.540 --> 00:49:20.540]   And it, like, might just literally be that A is after B in its head and have to do a forward pass.
[00:49:20.540 --> 00:49:26.540]   And so unless it gets to, like, think out loud, it literally can't compose those operations.
[00:49:26.540 --> 00:49:37.540]   Um, and you can see this quite easily, you know, if you just ask, you know, like, who is the-- what's the birthday of the father of the star of the movie from 1921?
[00:49:37.540 --> 00:49:43.540]   You know, like, it might be able to do all of those, but, like, you can't actually do all those lookups consecutively.
[00:49:43.540 --> 00:49:44.540]   That's, like, the first thing.
[00:49:44.540 --> 00:49:46.540]   So there is-- there has to be redundancy.
[00:49:46.540 --> 00:49:47.540]   And then we do see this.
[00:49:47.540 --> 00:49:52.540]   It was one of the reasons for the cross-coder setup is to try to zip up some of that redundancy.
