
[00:00:00.000 --> 00:00:01.500]   So that's our plan.
[00:16:57.100 --> 00:16:59.580]   And it's this farm with this barn.
[00:16:59.580 --> 00:17:00.820]   And there's these videos of him
[00:17:00.820 --> 00:17:02.620]   that Outside Magazine did, you can find,
[00:17:02.620 --> 00:17:06.100]   where he's out there now barefoot
[00:17:06.100 --> 00:17:10.780]   doing these Rocky Four style physical training activities,
[00:17:10.780 --> 00:17:13.700]   climbing ropes in his barn and throwing hay bales around.
[00:17:13.700 --> 00:17:15.220]   Then he built this life
[00:17:15.220 --> 00:17:17.980]   that has a huge amount of physical activity in it,
[00:17:17.980 --> 00:17:20.340]   outside, interesting physical activity.
[00:17:20.340 --> 00:17:23.140]   All these are examples of the same point.
[00:17:23.140 --> 00:17:25.180]   Investment, almost radical investment,
[00:17:25.180 --> 00:17:28.680]   in this case in deep play or self-development.
[00:17:28.680 --> 00:17:31.740]   These are the type of things that you're gonna see
[00:17:31.740 --> 00:17:33.780]   when people conduct a deep reset.
[00:17:33.780 --> 00:17:36.020]   It's simplification, amplification,
[00:17:36.020 --> 00:17:40.420]   usually with a couple of these changes made more radical.
[00:17:40.420 --> 00:17:42.580]   You can have some radical moves in here,
[00:17:42.580 --> 00:17:44.900]   typically as part of a deep reset.
[00:17:44.900 --> 00:17:46.300]   Now, how does this connect to our discussion
[00:17:46.300 --> 00:17:48.940]   of the deep life and the systematic pursuit
[00:17:48.940 --> 00:17:49.820]   of the deep life?
[00:17:49.820 --> 00:17:53.620]   The pursuit of a deep life will probably lead you
[00:17:53.620 --> 00:17:55.140]   to something like a deep reset.
[00:17:55.140 --> 00:17:57.860]   A lot of people are coming to this more haphazardly.
[00:17:57.860 --> 00:18:00.940]   It's Christopher McDougall moving to that barn,
[00:18:00.940 --> 00:18:02.820]   my friends moving to Colorado.
[00:18:02.820 --> 00:18:04.980]   People are coming at this a little bit more haphazardly.
[00:18:04.980 --> 00:18:07.500]   We try to be more systematic about it here on the show.
[00:18:07.500 --> 00:18:10.200]   But my point is, regardless of what we talk about here,
[00:18:10.200 --> 00:18:12.740]   I think deep resets are something we're gonna see
[00:18:12.740 --> 00:18:15.420]   as a defining characteristic of the millennials
[00:18:15.420 --> 00:18:17.580]   in their 30s and early 40s.
[00:18:17.580 --> 00:18:20.340]   And I, for one, think it's a positive trend.
[00:18:20.340 --> 00:18:22.900]   I think it's a nuanced and sophisticated approach
[00:18:22.900 --> 00:18:25.460]   to thinking about life, the relationship between work
[00:18:25.460 --> 00:18:27.340]   and other elements of life.
[00:18:27.340 --> 00:18:30.420]   I think our parents' generation struggled more with this.
[00:18:30.420 --> 00:18:31.980]   We got more of this, "Oh my God,
[00:18:31.980 --> 00:18:34.020]   what happened to the first half of my life?
[00:18:34.020 --> 00:18:36.300]   Let's buy a Corvette," type reaction.
[00:18:36.300 --> 00:18:39.340]   Because this new generation had this long period
[00:18:39.340 --> 00:18:42.820]   of developing a work as a means to an end ethic.
[00:18:42.820 --> 00:18:44.860]   They were ready for the disruptions of the pandemic.
[00:18:44.860 --> 00:18:47.400]   They were ready for the distress
[00:18:47.400 --> 00:18:49.620]   and wake up call of middle age.
[00:18:49.620 --> 00:18:53.180]   So we have a bit of perfect storm of forces coming together
[00:18:53.180 --> 00:18:57.380]   to create a phenomenon that I think is gonna be
[00:18:57.380 --> 00:18:59.900]   quite positive, actually, when we look back at it
[00:18:59.900 --> 00:19:01.820]   for my particular cohort.
[00:19:01.820 --> 00:19:05.980]   There you go, Jesse.
[00:19:05.980 --> 00:19:08.980]   I wrote an essay on the deep reset in my newsletter.
[00:19:08.980 --> 00:19:11.380]   You can find it at calnewport.com
[00:19:11.380 --> 00:19:13.640]   real early on in the pandemic.
[00:19:13.640 --> 00:19:17.820]   But it was way more sort of poetic and emotional.
[00:19:17.820 --> 00:19:18.940]   So it was just feeling,
[00:19:18.940 --> 00:19:21.500]   it's an interesting document to go back and read
[00:19:21.500 --> 00:19:25.300]   'cause it was projecting this feeling that was in the air
[00:19:25.300 --> 00:19:26.460]   of, "I think changes are coming.
[00:19:26.460 --> 00:19:28.260]   People are gonna make big changes."
[00:19:28.260 --> 00:19:30.380]   But it was clearly not really worked out yet.
[00:19:30.380 --> 00:19:32.700]   And I think two years, or whatever it's been now,
[00:19:32.700 --> 00:19:34.780]   since then, two and a half years,
[00:19:34.780 --> 00:19:36.060]   starting to see this shake out
[00:19:36.060 --> 00:19:37.460]   into something that's a little bit more clear,
[00:19:37.460 --> 00:19:38.540]   a little bit more systematic.
[00:19:38.540 --> 00:19:40.060]   So yeah, I'm a big fan of the deep reset.
[00:19:40.060 --> 00:19:41.540]   I think a lot of people wanna do this.
[00:19:41.540 --> 00:19:43.460]   So hopefully having some terminology helps.
[00:19:43.460 --> 00:19:47.700]   - This'll probably be a chapter in the next book, right?
[00:19:47.700 --> 00:19:48.540]   - Yeah.
[00:19:48.540 --> 00:19:51.780]   I mean, the "Deep Life" book is all kind of about this.
[00:19:51.780 --> 00:19:52.620]   - Yeah. - Yeah.
[00:19:52.620 --> 00:19:54.900]   In fact, the deep reset was
[00:19:54.900 --> 00:19:57.420]   one of the early titles for the book.
[00:19:57.420 --> 00:20:00.560]   So it was gonna be more prescriptive.
[00:20:00.560 --> 00:20:02.360]   Like, here's how to do a deep reset.
[00:20:02.360 --> 00:20:05.260]   And then we changed the deep life.
[00:20:05.260 --> 00:20:07.660]   I'm not quite sure exactly how I'm gonna tackle that book.
[00:20:07.660 --> 00:20:08.780]   And I like that.
[00:20:08.780 --> 00:20:10.820]   Like, I'm just letting ideas flow
[00:20:10.820 --> 00:20:12.300]   as I work on slow productivity.
[00:20:12.300 --> 00:20:13.740]   And then as slow productivity finishes,
[00:20:13.740 --> 00:20:16.540]   I'm gonna laser lock and see,
[00:20:16.540 --> 00:20:17.780]   like, what do I really wanna do here?
[00:20:17.780 --> 00:20:19.700]   - So with the definition,
[00:20:19.700 --> 00:20:22.300]   an intentional reconfiguration of one's life
[00:20:22.300 --> 00:20:25.660]   to amplify the small number of things that you've learned,
[00:20:25.660 --> 00:20:28.940]   is that to benefit your work?
[00:20:28.940 --> 00:20:31.700]   - So when I say, okay, I have it up here.
[00:20:31.700 --> 00:20:33.500]   Amplify the small number of things you've learned
[00:20:33.500 --> 00:20:35.220]   through experience that you value.
[00:20:35.220 --> 00:20:37.340]   So what I'm trying to emphasize there
[00:20:37.340 --> 00:20:40.420]   is that the millennials are old enough now
[00:20:40.420 --> 00:20:42.860]   to have a experience-based answer
[00:20:42.860 --> 00:20:45.020]   to the question of what's important to me.
[00:20:45.020 --> 00:20:46.100]   - Outside of work.
[00:20:46.100 --> 00:20:49.560]   - Outside of work, in work, in life in general.
[00:20:49.560 --> 00:20:51.380]   Whereas I think if you're 23,
[00:20:51.380 --> 00:20:55.420]   and you're trying to say, what's important to me,
[00:20:55.420 --> 00:20:56.700]   you're basically making some guesses.
[00:20:56.700 --> 00:20:57.520]   You don't really know.
[00:20:57.520 --> 00:20:59.460]   You haven't gone through the ups and downs.
[00:20:59.460 --> 00:21:01.820]   You haven't gone through the various challenges.
[00:21:01.820 --> 00:21:05.300]   So really, by the time you get to, let's say, 35,
[00:21:06.180 --> 00:21:08.980]   you're probably pretty well-equipped
[00:21:08.980 --> 00:21:10.780]   to make a good deep reset
[00:21:10.780 --> 00:21:13.060]   because you have a pretty stable understanding
[00:21:13.060 --> 00:21:13.900]   at this point.
[00:21:13.900 --> 00:21:15.100]   You're far enough along in your career
[00:21:15.100 --> 00:21:17.860]   that you know what works and what doesn't,
[00:21:17.860 --> 00:21:19.220]   what you like about work, what you don't.
[00:21:19.220 --> 00:21:20.060]   You have leverage.
[00:21:20.060 --> 00:21:21.140]   You have career capital.
[00:21:21.140 --> 00:21:24.180]   So it is kind of a critical age.
[00:21:24.180 --> 00:21:26.740]   - You'll have to get your friend, Mr. Money Mustache,
[00:21:26.740 --> 00:21:29.580]   and tell him about your new term, candle fire.
[00:21:29.580 --> 00:21:31.860]   - Yes, we should have Pete on.
[00:21:31.860 --> 00:21:32.700]   I like him.
[00:21:32.700 --> 00:21:33.520]   Yeah.
[00:21:35.060 --> 00:21:35.880]   Let's do that.
[00:21:35.880 --> 00:21:36.720]   I'll talk to him.
[00:21:36.720 --> 00:21:37.560]   - Yeah.
[00:21:37.560 --> 00:21:38.380]   - Yeah, it'd be cool to see what he's...
[00:21:38.380 --> 00:21:39.220]   So from what I understand,
[00:21:39.220 --> 00:21:40.380]   I was just talking to someone yesterday
[00:21:40.380 --> 00:21:42.060]   who's friends with him
[00:21:42.060 --> 00:21:43.460]   and some of the other fire characters.
[00:21:43.460 --> 00:21:45.220]   A lot of them live in Longmont, Colorado.
[00:21:45.220 --> 00:21:46.340]   - They're probably building.
[00:21:46.340 --> 00:21:48.540]   - They're building, yeah.
[00:21:48.540 --> 00:21:51.040]   They have that co-working space there.
[00:21:51.040 --> 00:21:52.340]   We should, yeah, we should get an update
[00:21:52.340 --> 00:21:53.180]   on what's going on.
[00:21:53.180 --> 00:21:55.140]   - And then tell him about your new term.
[00:21:55.140 --> 00:21:56.780]   - Candle fire.
[00:21:56.780 --> 00:21:58.180]   Yep.
[00:21:58.180 --> 00:21:59.980]   I don't know if that's gonna stick.
[00:21:59.980 --> 00:22:01.420]   There's a lot of fire terms, by the way.
[00:22:01.420 --> 00:22:04.340]   Fat fire, light fire, thin fire.
[00:22:05.340 --> 00:22:07.920]   (upbeat music)
[00:22:08.760 --> 00:22:11.340]   (upbeat music)
[00:22:11.340 --> 00:22:13.920]   (upbeat music)
[00:22:13.920 --> 00:22:16.500]   (upbeat music)

