
[00:00:00.000 --> 00:00:17.240]   TAYLOR SMITH: Hello, everybody.
[00:26:49.180 --> 00:27:10.180]   Yeah, so yeah, yes. You can just like fork it and change the data sources. Yeah, yeah.
[00:27:10.180 --> 00:27:13.180]   Put that link back up.
[00:27:13.180 --> 00:27:24.180]   The instructions don't some of the instructions don't look updated as I expected so I'm going what I'm going to do is everybody in the slack for engineer world fair.
[00:27:24.180 --> 00:27:38.180]   I created a slack channel called work workshop beyond benchmarks and I'm going to put some of these activity three does anybody see activity three.
[00:27:38.180 --> 00:27:44.180]   Okay, I'm putting content in this in this slack.
[00:27:44.180 --> 00:27:55.180]   If people can be it's a public channel if people can go there my you'll see starting I'm the link is activity two but then you'll also see at the page for activity three.
[00:28:05.180 --> 00:28:20.180]   You're approaching activity three and are looking for that the systems for some reason didn't render my latest changes yesterday where I improved on activity three, but I put the link to it to my repo in the slack channel.
[00:28:20.180 --> 00:28:29.180]   In this channel if you search for it, but there's information about the slack in the emails that we got about the event, but also on the back of our badges as well to navigate there.
[00:28:29.180 --> 00:28:35.180]   And this will be good for after if anybody has any questions and I can send more info about any particular tool here as well.
[00:28:39.180 --> 00:28:43.180]   I wanted to have a wrap up moment because we have we have about eight minutes.
[00:28:43.180 --> 00:28:45.180]   So please feel free to continue working.
[00:28:45.180 --> 00:28:48.180]   I put the link to the activities in the slack channel.
[00:28:48.180 --> 00:28:52.180]   These environments will be available until the end of the day today.
[00:28:52.180 --> 00:28:55.180]   So you have time also to tinker around with whatever you want.
[00:28:55.180 --> 00:29:03.180]   So you would just to kind of recap we went through the furnace sounds funny.
[00:29:03.180 --> 00:29:08.180]   The first was at that system performance latency throughput level.
[00:29:08.180 --> 00:29:10.180]   Did everybody kind of get through that successfully?
[00:29:10.180 --> 00:29:22.180]   Of course, there's I tried to include reading material and stuff to kind of look more into things after because it is it is a very big topic and there's a lot going on and there's a lot of terms and it is very complicated.
[00:29:22.180 --> 00:29:27.180]   So hopefully you can use it as a learning reason my GitHub repository as a learning resource to kind of poke around after.
[00:29:27.180 --> 00:29:39.180]   But we started there and then we moved into the MMLU pro with MLE Val harness, which also allows you to do a lot of other evaluation benchmarks as a part of that MLE Val harness framework.
[00:29:39.180 --> 00:29:46.180]   I happen to choose MMLU pro because it took the least amount of time, even though it took still 10 minutes.
[00:29:46.180 --> 00:29:52.180]   But there's other ones also that you can play around with within that MLE Val harness repository.
[00:29:52.180 --> 00:29:55.180]   You can see the different evals you can run there.
[00:29:55.180 --> 00:30:06.180]   And then we ended with a safety evaluation with prompt, which with prompt foo, which is a tool that allows you to do a lot of customizing and your own evals.
[00:30:06.180 --> 00:30:09.180]   Like you can do all kinds of custom tests with prompt foo.
[00:30:09.180 --> 00:30:14.180]   So I wanted to get you exposed to that tool so that you can start looking around there as well.
[00:30:14.180 --> 00:30:18.180]   That repository on GitHub also has a lot of different examples.
[00:30:18.180 --> 00:30:21.180]   So we use that particular safety focused example.
[00:30:21.180 --> 00:30:28.180]   But if you look at the prompt foo repository, it's very easy to play around with other types of examples as well.
[00:30:28.180 --> 00:30:32.180]   So we kind of moved up the pyramid throughout the activity.
[00:30:32.180 --> 00:30:43.180]   So hopefully you get a sense of kind of how you can layer this approach when you're looking at and trying to plan for how to strategically implement evals across your entire system.
[00:30:43.180 --> 00:30:57.180]   Does anybody have any kind of questions or general what they experienced notes of import?
[00:30:57.180 --> 00:30:58.180]   Does this feel like valuable?
[00:30:58.180 --> 00:31:01.180]   I'm curious also about use cases and happy to talk to you after too.
[00:31:01.180 --> 00:31:02.180]   Yeah.
[00:31:02.180 --> 00:31:05.180]   So I'm like super new to evals and stuff.
[00:31:05.180 --> 00:31:14.180]   So like when I'm doing evals, it's like testing my prompts and like my data science or if I want to switch like models out and stuff right now.
[00:31:14.180 --> 00:31:28.180]   I'm actually thinking about like those evals connecting those actually to like my production like running like use cases to like track that like my real performance matches kind of like the drug scene.
[00:31:28.180 --> 00:31:29.180]   Yeah.
[00:31:29.180 --> 00:31:32.180]   What is like, is there like a word for that concept or like?
[00:31:32.180 --> 00:31:42.180]   So for me, what I hear is the kind of CI/CD automation implementation of an evaluation framework just like with software engineering testing is kind of what I hear from that.
[00:31:42.180 --> 00:31:43.180]   You know?
[00:31:43.180 --> 00:31:44.180]   Yeah.
[00:31:44.180 --> 00:31:45.180]   So I don't know.
[00:31:45.180 --> 00:31:48.180]   It's evaluation, but in a more CI/CD format.
[00:31:48.180 --> 00:31:51.180]   When it's actually running for customers and stuff.
[00:31:51.180 --> 00:31:52.180]   Yeah.
[00:31:52.180 --> 00:31:57.180]   You should have a CI/CD framework that includes these evaluation tests just like for unit testing setups.
[00:31:57.180 --> 00:31:58.180]   Yeah.
[00:31:58.180 --> 00:31:59.180]   Anybody else?
[00:31:59.180 --> 00:32:00.180]   Okay.
[00:32:00.180 --> 00:32:01.180]   Thank you, everybody.
[00:32:01.180 --> 00:32:02.180]   I really appreciate it.
[00:32:02.180 --> 00:32:03.180]   Of course, feel free to.
[00:32:03.180 --> 00:32:04.180]   Thank you.
[00:32:04.180 --> 00:32:05.180]   Feel free to continue to use the repo.
[00:32:05.180 --> 00:32:06.180]   Message me on Slack.
[00:32:06.180 --> 00:32:07.180]   Again, the environments will be up until about 6:00 PM, 5:00 PM tonight.
[00:32:07.180 --> 00:32:21.180]   So thank you, everybody.
[00:32:21.180 --> 00:32:22.180]   Thank you.
[00:32:22.180 --> 00:32:22.180]   Thank you.
[00:32:22.180 --> 00:32:22.180]   Thank you.
[00:32:22.180 --> 00:32:22.180]   Thank you.
[00:32:22.180 --> 00:32:22.180]   Thank you.
[00:32:22.180 --> 00:32:23.180]   Thank you.
[00:32:23.180 --> 00:32:27.500]   We'll see you next time.

