
[00:00:00.040 --> 00:00:10.320]   ấy en the,
[00:20:09.700 --> 00:20:09.700]   You have to pay off those expenses in six months.
[00:20:09.700 --> 00:20:09.700]   You have to pay off those expenses in six months.
[00:20:09.700 --> 00:20:09.700]   You have to pay off those expenses in six months.
[00:20:09.700 --> 00:20:09.700]   You have to pay off those expenses in six months.
[00:20:09.700 --> 00:20:09.700]   You have to pay off those expenses in six months.
[00:20:09.700 --> 00:20:09.700]   You have to pay off those expenses in six months.
[00:20:09.700 --> 00:20:09.700]   You have to pay off those expenses in six months.
[00:20:09.700 --> 00:20:09.700]   You have to pay off those expenses in six months.
[00:20:09.700 --> 00:20:09.700]   You have to pay off those expenses in six months.
[00:20:09.700 --> 00:20:09.700]   You have to pay off those expenses in six months.
[00:20:09.700 --> 00:20:09.700]   You have to pay off those expenses in six months.
[00:20:09.700 --> 00:20:09.700]   You have to pay off those expenses in six months.
[00:20:09.700 --> 00:20:09.700]   You have to pay off those expenses in six months.
[00:20:09.700 --> 00:20:09.700]   You have to pay off those expenses in six months.
[00:20:09.700 --> 00:20:09.700]   You have to pay off those expenses in six months.
[00:20:09.720 --> 00:20:39.720]   I've given you extreme examples.
[00:20:39.720 --> 00:20:39.720]   You have to pay off those expenses in six months.
[00:20:39.720 --> 00:20:39.720]   You have to pay off those expenses in six months.
[00:20:39.720 --> 00:20:39.720]   You have to pay off those expenses in six months.
[00:20:39.720 --> 00:20:39.720]   You have to pay off those expenses in six months.
[00:20:39.720 --> 00:20:39.720]   You have to pay off those expenses in six months.
[00:20:39.720 --> 00:20:39.720]   You have to pay off those expenses in six months.
[00:20:39.720 --> 00:20:39.720]   You have to pay off those expenses in six months.
[00:20:39.720 --> 00:20:39.720]   You have to pay off those expenses in six months.
[00:20:39.720 --> 00:20:39.720]   You have to pay off those expenses in six months.
[00:20:39.720 --> 00:20:39.720]   You have to pay off those expenses in six months.
[00:20:39.740 --> 00:21:09.740]   and you're down at the state park with a tent and a fishing pole on the weekend while your house is being rented out for $400.
[00:21:09.740 --> 00:21:09.740]   You have to pay off those expenses in six months.
[00:21:09.740 --> 00:21:09.740]   You have to pay off those expenses in six months.
[00:21:09.740 --> 00:21:09.740]   You have to pay off those expenses in six months.
[00:21:09.740 --> 00:21:09.740]   You have to pay off those expenses in six months.
[00:21:09.740 --> 00:21:09.740]   You have to pay off those expenses in six months.
[00:21:09.740 --> 00:21:09.740]   You have to pay off those expenses in six months.
[00:21:09.740 --> 00:21:09.740]   You have to pay off those expenses in six months.
[00:21:09.740 --> 00:21:09.740]   You have to pay off those expenses in six months.
[00:21:09.740 --> 00:21:09.740]   You have to pay off those expenses in six months.
[00:21:09.740 --> 00:21:09.740]   You have to pay off those expenses in six months.
[00:21:09.740 --> 00:21:09.740]   You have to pay off those expenses in six months. You have to pay off your expenses in six months.
[00:21:09.760 --> 00:21:39.760]   You have to pay off those expenses in six months.
[00:21:39.760 --> 00:21:39.760]   You have to pay off those expenses in six months.
[00:21:39.760 --> 00:21:39.760]   You have to pay off those expenses in six months.
[00:21:39.760 --> 00:21:39.760]   You have to pay off those expenses in six months.
[00:21:39.760 --> 00:21:39.760]   You have to pay off those expenses in six months.
[00:21:39.760 --> 00:21:39.760]   You have to pay off those expenses in six months.
[00:21:39.760 --> 00:21:39.760]   You have to pay off those expenses in six months.
[00:21:39.760 --> 00:21:39.760]   You have to pay off those expenses in six months.
[00:21:39.760 --> 00:21:39.760]   You have to pay off those expenses in six months.
[00:21:39.760 --> 00:21:39.760]   You have to pay off those expenses in six months.
[00:21:39.760 --> 00:21:39.760]   You have to pay off those expenses in six months.
[00:21:39.800 --> 00:21:45.720]  �
[00:21:45.720 --> 00:21:51.120]   que in refresh
[00:21:51.120 --> 00:22:08.000]  issy
[00:25:56.980 --> 00:26:07.260]   see
[00:26:07.260 --> 00:26:23.760]   in. I,
[00:26:26.120 --> 00:26:33.560]   not
[00:26:33.560 --> 00:26:52.340]   prove. be a 03
[00:27:52.100 --> 00:28:02.520]   continue
[00:28:02.520 --> 00:28:03.720]   quería ed,,,,
[00:28:03.720 --> 00:28:20.200]   scoldन ТолькоTC talk around brain that was all was money�C H spaceship 9 " " " at the key is the all the tail theöff the down the Kam houses the Mob the™thebildung thekay the watch theвер the preset the vergessen the mauvais this was thefunction the� fij thi brutality the started the complic trabalh the save the gravel the无 the den the Perm the
[00:28:20.260 --> 00:28:29.880]   only
[00:28:29.880 --> 00:28:37.640]   rend very,,,.,
[00:28:37.640 --> 00:28:48.380]   as I 30 лай all three rules. And. .. .. .. .. .. , -yu
[00:28:48.940 --> 00:28:51.120]   I have more commissions and I can pay my staff.
[00:28:51.120 --> 00:29:00.500]   Well, unfortunately, my staff came in and I was able to lighten my burden.
[00:29:00.500 --> 00:29:06.380]   But instead of taking that extra time and putting it into those higher dollar activities so that I could make more money,
[00:29:06.380 --> 00:29:10.840]   I just took more time off and I didn't make any more money.
[00:29:10.840 --> 00:29:15.500]   So I didn't make any more money, but I was going into debt to pay my staff.
[00:29:17.660 --> 00:29:43.560]   men
[00:30:14.380 --> 00:30:14.380]   I
[00:30:14.380 --> 00:30:14.380]   I
[00:30:14.420 --> 00:30:33.600]   contrue? I felt dumb. I felt worse than dumb. I felt foolish. And worse than that, I had nothing to show for it. Because those lazy afternoons and lazy evenings when I could have done a little extra work and not been in debt, now I was going to have to lay off my staff and redouble my work in order to pay that debt off.
[00:30:33.600 --> 00:30:43.380]   A lot of people have regrets when they buy something flashy and fancy and then borrow money for it and then a year later it's not so flashy and fancy.
[00:30:43.380 --> 00:30:43.400]   A lot of people have regrets when they buy something flashy and fancy and then borrow money for it and then a year later it's not so flashy and fancy.
[00:30:43.400 --> 00:30:43.420]   A lot of people have regrets when they buy something flashy and fancy and then borrow money for it and then a year later it's not so flashy and fancy.
[00:30:43.420 --> 00:30:43.440]   A lot of people have regrets when they buy something flashy and fancy and then a year later it's not so flashy and fancy.
[00:30:43.460 --> 00:31:13.460]   A lot of people regret it, but at least they still have this thing, this shiny flashy thing that they borrowed for. A lot of people regret it when they buy a nice trip, a nice family vacation, put it on a credit card and debt and a year later they're still paying it off. But at least they can go back and look at the memories, the pictures and have the memories of the great family vacation. But I'll tell you what, there is almost no form of debt worse than to spend months and I don't remember how many months have passed.
[00:31:13.460 --> 00:31:43.480]  , I don't remember how many months have passed.
[00:31:43.480 --> 00:31:43.480]   I don't remember how many months have passed.
[00:31:43.480 --> 00:31:43.500]   It's just that people have been spending so much money.
[00:31:43.500 --> 00:31:43.500]   It's just that people have been spending so much money.
[00:31:43.500 --> 00:31:43.500]   It's just that people have been spending so much money.
[00:31:43.500 --> 00:31:43.500]   It's just that people have been spending so much money.
[00:31:43.500 --> 00:31:43.500]   It's just that people have been spending so much money.
[00:31:43.500 --> 00:32:13.540]  , it's just that people have been spending so much money.
[00:32:13.540 --> 00:32:13.540]   It's just that people have been spending so much money.
[00:32:13.540 --> 00:32:13.540]   It's just that people have been spending so much money.
[00:32:13.560 --> 00:32:43.580]   , it's just that people have been spending so much money.
[00:32:43.580 --> 00:32:43.580]   It's just that people have been spending so much money.
[00:32:43.580 --> 00:32:43.580]   It's just that people have been spending so much money.
[00:32:43.580 --> 00:32:43.580]   It's just that people have been spending so much money.
[00:32:43.580 --> 00:32:43.580]   It's just that people have been spending so much money.
[00:32:43.580 --> 00:32:43.580]   It's just that people have been spending so much money.
[00:32:43.580 --> 00:32:43.580]   It's just that people have been spending so much money.
[00:32:43.580 --> 00:32:43.580]   It's just that people have been spending so much money.
[00:32:43.580 --> 00:32:43.580]   It's just that people have been spending so much money.
[00:32:43.580 --> 00:32:43.580]   It's just that people have been spending so much money.
[00:32:43.580 --> 00:32:43.580]   It's just that people have been spending so much money.
[00:32:43.580 --> 00:32:43.580]   It's just that people have been spending so much money.
[00:32:43.580 --> 00:32:43.580]   It's just that people have been spending so much money.
[00:32:43.580 --> 00:32:43.580]   It's just that people have been spending so much money.
[00:32:43.580 --> 00:32:43.580]   It's just that people have been spending so much money.
[00:33:13.620 --> 00:33:13.620]   It's just that people have been spending so much money.
[00:33:13.620 --> 00:33:13.620]   It's just that people have been spending so much money.
[00:33:13.620 --> 00:33:13.620]   It's just that people have been spending so much money.
[00:33:13.620 --> 00:33:13.620]   It's just that people have been spending so much money.
[00:33:13.620 --> 00:33:13.620]   It's just that people have been spending so much money.
[00:33:13.620 --> 00:33:13.620]   It's just that people have been spending so much money.
[00:33:13.620 --> 00:33:13.620]   It's just that people have been spending so much money.
[00:33:13.620 --> 00:33:13.620]   It's just that people have been spending so much money.
[00:33:13.640 --> 00:33:43.660]   It's just that people have been spending so much money.
[00:33:43.660 --> 00:33:43.660]   It's just that people have been spending so much money.
[00:33:43.660 --> 00:33:43.660]   It's just that people have been spending so much money.
[00:33:43.660 --> 00:33:43.660]   It's just that people have been spending so much money.
[00:33:43.660 --> 00:33:43.660]   It's just that people have been spending so much money.
[00:33:43.660 --> 00:33:43.660]   It's just that people have been spending so much money.
[00:33:43.660 --> 00:33:43.660]   It's just that people have been spending so much money.
[00:33:43.660 --> 00:33:43.660]   It's just that people have been spending so much money.
[00:33:43.660 --> 00:33:43.660]   It's just that people have been spending so much money.
[00:33:43.660 --> 00:33:43.660]   It's just that people have been spending so much money.
[00:33:43.660 --> 00:33:43.660]   It's just that people have been spending so much money.
[00:33:43.660 --> 00:33:43.660]   It's just that people have been spending so much money.
[00:33:43.660 --> 00:33:43.660]   It's just that people have been spending so much money.
[00:33:43.660 --> 00:33:43.660]   It's just doesn't have so much money.
[00:33:43.660 --> 00:33:43.660]   It's just doesn't have so much money.
[00:33:43.700 --> 00:33:46.040]  'm
[00:33:46.040 --> 00:33:53.580]   is but
[00:33:53.580 --> 00:34:07.500]   air. And, the
[00:34:07.500 --> 00:34:12.000]  ,
[00:34:41.420 --> 00:34:52.580]   near
[00:34:52.580 --> 00:34:54.980]   way over like figure
[00:34:54.980 --> 00:35:09.420]  업 edge, and, and,,,,,,,,,, Sונ
[00:35:10.400 --> 00:35:13.680]   90
[00:35:13.680 --> 00:35:24.620]   quantum vie
[00:36:31.700 --> 00:36:41.620]   is

