
[00:00:00.000 --> 00:00:09.000]   When you're in winter's favorite town, the snow-covered mountains surround you.
[00:30:21.000 --> 00:30:32.000]   They have some good professors that I study some of their materials, but they're fighting for their life in terms of being able to operate and exist in the legal environment in California.
[00:30:32.000 --> 00:30:51.000]   So if or when the law changes, and I would expect the change, then an organization like a Biola or like other Christian universities, they're going to have to leave or they're going to have to compromise their reason for existence.
[00:30:51.000 --> 00:30:55.000]   So which many choose compromise.
[00:30:55.000 --> 00:30:56.000]   That's been the trend.
[00:30:56.000 --> 00:31:01.000]   But there we just get back into the world of bad Christian schools that deserve to blow up.
[00:31:01.000 --> 00:31:08.000]   Their enrollees fall apart, and Bob Jones is struggling, even though it's got this famous name, enrollment is not high.
[00:31:08.000 --> 00:31:14.000]   So those universities, I think the biggest opportunity for them is to go into a different setting.
[00:31:14.000 --> 00:31:20.000]   And they need to go, Biola has done a lot with this, but they need to go to a virtual model, and they need to move their campuses.
[00:31:20.000 --> 00:31:23.000]   If they want to have a physical campus, they need to move it to another place.
[00:31:23.000 --> 00:31:29.000]   So I think there'll be many opportunities there in the future, but I affirm your analysis of the situation.
[00:31:29.000 --> 00:31:44.000]   I don't see how in a state like California a decade from now, unless there's some major change, I don't see how a Christian university can exist as a formally approved, authorized entity.
[00:31:44.000 --> 00:31:46.000]   I don't see how that's going to happen.
[00:31:46.000 --> 00:31:49.000]   Third, let's talk about money.
[00:31:49.000 --> 00:31:58.000]   As far as I'm concerned, good riddance, because many of these universities are taking money from the state, and this leads them to try to follow all of the things of the state.
[00:31:58.000 --> 00:32:00.000]   I don't care about accreditation.
[00:32:00.000 --> 00:32:01.000]   I care about quality.
[00:32:01.000 --> 00:32:13.000]   Accreditation doesn't mean quality, but frequently a lot of these universities, because they're so concerned about being eligible for aid, financial aid, etc., they lose on a lot of these things.
[00:32:13.000 --> 00:32:18.000]   They sacrifice their principles in order to try to toe the line.
[00:32:18.000 --> 00:32:20.000]   Same thing with many church organizations, etc.
[00:32:20.000 --> 00:32:26.000]   They're so worried about their tax-exempt status that they do everything they can to fit along with the state.
[00:32:26.000 --> 00:32:28.000]   Well, come on. Enough with the state.
[00:32:28.000 --> 00:32:29.000]   Start standing up.
[00:32:29.000 --> 00:32:30.000]   Dump your tax-exempt status.
[00:32:30.000 --> 00:32:38.000]   Stop all this nonsense, and actually start standing for what you believe, and stop bowing a knee to Caesar just so you can get Caesar's money.
[00:32:38.000 --> 00:32:40.000]   You take Caesar's money, you're going to follow Caesar's rules.
[00:32:40.000 --> 00:32:42.000]   Just stop taking Caesar's money.
[00:32:42.000 --> 00:32:49.000]   Now, my understanding of the ESA and 529s is that it doesn't relate to accreditation.
[00:32:49.000 --> 00:32:53.000]   It does relate to eligibility for federal student aid programs.
[00:32:53.000 --> 00:33:00.000]   I don't know what the Title IX and Title IV stuff would be as far as if a school loses eligibility.
[00:33:00.000 --> 00:33:09.000]   I don't know what would happen, but I don't – I'm not too worried about it.
[00:33:09.000 --> 00:33:17.000]   An unaccredited school, I think, could still be eligible for a federal student aid program.
[00:33:17.000 --> 00:33:21.000]   There are many of those that are available.
[00:33:21.000 --> 00:33:23.000]   If there are not – let's say we're 15 years from now.
[00:33:23.000 --> 00:33:36.000]   If there are not, I think there will be plenty of schools that even though they move out of California or they move from another place, they'll still figure out a way to be qualified for those federal student aid programs so that the money can be used.
[00:33:36.000 --> 00:33:49.000]   So ideologically – that's why I went in the order of ideology and then moving on to – from ideology to kind of practicality.
[00:33:49.000 --> 00:33:53.000]   It just seems like a foolish use of money for me to spend lots of money on a bad education.
[00:33:53.000 --> 00:33:58.000]   But the good schools will figure out a new plan and there will be options available.
[00:33:58.000 --> 00:34:07.000]   So I still don't think that the prioritization of a lot of these accounts is the right move.
[00:34:07.000 --> 00:34:11.000]   But if you have extra money and you can use an account, I think there will be solutions available.
[00:34:11.000 --> 00:34:22.000]   In the long run, if there aren't, you take the money out, you pay the penalty, or you transfer it to another family member who can use it and you just pay cash out of pocket for it.
[00:34:22.000 --> 00:34:24.000]   Is that helpful?
[00:34:24.000 --> 00:34:26.000]   That's helpful.
[00:34:26.000 --> 00:34:36.000]   Part of what I'm just trying to decide is do we do index funds and just pay long-term capital gains, 15%, and have the flexibility to do anything?
[00:34:36.000 --> 00:34:47.000]   Or is it worth the tax savings because we have a 16, 17-year time horizon now for our little kid?
[00:34:47.000 --> 00:34:52.000]   So do we take the tax savings but have the limitations that come with that?
[00:34:52.000 --> 00:35:00.000]   So we're just trying to wrestle through that and that's helpful advice to think through another part of the political scenario on that.
[00:35:00.000 --> 00:35:02.000]   Calculate your tax bracket.
[00:35:02.000 --> 00:35:09.000]   As a young father, I am not going to allow my children's lives to be sacrificed on the altar of tax savings.
[00:35:09.000 --> 00:35:15.000]   So I would rather have the money available for things earlier.
[00:35:15.000 --> 00:35:21.000]   I'd rather have them use it for educational opportunities that are not related to college, things that happen much earlier.
[00:35:21.000 --> 00:35:24.000]   This is my issue with Christian parents.
[00:35:24.000 --> 00:35:30.000]   So many Christian parents think, "Well, if I just send my kid to a Christian college, everything will be fine."
[00:35:30.000 --> 00:35:32.000]   No.
[00:35:32.000 --> 00:35:45.000]   If you're waiting until a Christian college will do it, guarantee the child will leave because it's a rare young adult who can stand up to the withering fire of a well-informed...
[00:35:45.000 --> 00:35:48.000]   Anyway, I'm going too ideological here.
[00:35:48.000 --> 00:35:57.000]   But it's a rare young adult who can arrive at the campus of a college if they haven't already thought through the difficult issues, if they haven't already been prepared for them.
[00:35:57.000 --> 00:35:59.000]   The Christian college doesn't save it.
[00:35:59.000 --> 00:36:00.000]   I went to a Christian college.
[00:36:00.000 --> 00:36:02.000]   I went to a Christian high school.
[00:36:02.000 --> 00:36:05.000]   I got plenty of classmates that have nothing to do with Christianity.
[00:36:05.000 --> 00:36:11.000]   And in fact, it did more harm than good because they despise so many things of Christianity.
[00:36:11.000 --> 00:36:23.000]   And so instead of dealing with things on the merits of the truth claims of Christianity, they're all angry at the hypocrites and the liars and the cheats and the abusers that were sheltered in the Christian community, and they want nothing to do with it.
[00:36:23.000 --> 00:36:25.000]   So I think it's better to spend the money early.
[00:36:25.000 --> 00:36:29.000]   And then if you have extra money, I think it's fine to pay for college.
[00:36:29.000 --> 00:36:40.000]   But still, why spend $80,000 on a mediocre Christian education when you could spend $10,000 on a mediocre college education and free up $70,000 for a Christian college?
[00:36:40.000 --> 00:36:44.000]   Or $70,000 for a business or down payment on a house, etc.?
[00:36:44.000 --> 00:36:51.000]   So much of this Christian education marketplace is so mediocre that there's no point in propping it up.
[00:36:51.000 --> 00:36:55.000]   It's better to let it die and blow away and actually do something that matters.
[00:36:55.000 --> 00:36:57.000]   You could tell I've thought a little bit about it.
[00:36:57.000 --> 00:37:02.000]   So I wouldn't worry too much about the ESA thing.
[00:37:02.000 --> 00:37:09.000]   I personally would rather have access to the money, rather have it available for and not sunk into it.
[00:37:09.000 --> 00:37:18.000]   I don't think the ESA is a bad move, but I think the ESA is best funded with assets that may have major increases in value.
[00:37:18.000 --> 00:37:21.000]   You have such a small amount of money that you can put into it.
[00:37:21.000 --> 00:37:23.000]   We're talking small dollars for most people.
[00:37:23.000 --> 00:37:28.000]   I wouldn't establish an ESA and fund it with normal, traditional investments.
[00:37:28.000 --> 00:37:32.000]   I would use an ESA for a speculative, high-opportunity investment myself.
[00:37:32.000 --> 00:37:41.000]   Good. I wish you all the best, Mark. It's not easy, but I applaud you for taking the time to think it through.
[00:37:41.000 --> 00:37:45.000]   John, welcome to the show. How can I serve you today?
[00:37:45.000 --> 00:37:49.000]   Thanks, Joshua. I've really enjoyed your podcast.
[00:37:49.000 --> 00:37:52.000]   I've been listening for a while and appreciate you spreading the good word.
[00:37:52.000 --> 00:37:56.000]   I know you like talking about finance, but that's the question I have for you today.
[00:37:56.000 --> 00:38:05.000]   The question I have today has to do with ownership of policies when it comes to life insurance policies.
[00:38:05.000 --> 00:38:14.000]   I've talked to a lot of different people, and I'm kind of confused as to should a spouse have co-ownership or cross-ownership of each other's policy.
[00:38:14.000 --> 00:38:25.000]   We've had a situation where we didn't do that, and it's created some problems in a divorce situation, as you can imagine, when that wasn't done properly, when the policy was written.
[00:38:25.000 --> 00:38:28.000]   I'm wondering about your thoughts about that.
[00:38:28.000 --> 00:38:37.000]   This one is interesting because there are multiple dimensions to it, and I'll walk you through those dimensions.
[00:38:37.000 --> 00:38:45.000]   Before I do, John, is your question primarily just in terms of the theory of it, or do you have a specific application that you need help with?
[00:38:45.000 --> 00:38:51.000]   I think it's more just the theory of it, because I do see pros and cons of doing it both ways.
[00:38:51.000 --> 00:39:09.000]   Even leading into, should spouses be listed as extra insureds or additional insureds on each other's policies, or is it really just better to set up policies for each person individually rather than getting any potential discount the insurance company might be offering to stay on the same policy, if you know what I mean?
[00:39:09.000 --> 00:39:10.000]   Right, right.
[00:39:10.000 --> 00:39:18.000]   Okay, so let me walk through just a quick little bit of life insurance theory for listeners for whom this is a new area.
[00:39:18.000 --> 00:39:34.000]   In a life insurance policy, in an individual life insurance policy of really any kind, it could be term life insurance, it could be whole life insurance, it doesn't matter, there are a total of four parties that are involved in the policy.
[00:39:34.000 --> 00:39:42.000]   And these four parties can all be the same person, or they can be four different entities or people.
[00:39:42.000 --> 00:39:44.000]   So the first party is the insured.
[00:39:44.000 --> 00:39:50.000]   This is the person on whose life the policy exists.
[00:39:50.000 --> 00:39:51.000]   This is called the insured.
[00:39:51.000 --> 00:39:56.000]   So this is the person when they die, that's what triggers the policy to go into force, that's the insured.
[00:39:56.000 --> 00:39:59.000]   The second person is the owner.
[00:39:59.000 --> 00:40:14.000]   The owner is the person who has all the legal rights of the policy, rights to make changes to the policy, rights to change beneficiaries, change amounts, rights to cancel the policy if it has cash value to take cash value out of the policy, etc.
[00:40:14.000 --> 00:40:18.000]   That's the owner of the policy who has those rights.
[00:40:18.000 --> 00:40:20.000]   The third party involved is the payer.
[00:40:20.000 --> 00:40:29.000]   Usually the payer would be the owner, but it doesn't necessarily have to be, but the payer is simply who is the person or entity that's responsible for paying the premiums.
[00:40:29.000 --> 00:40:32.000]   That's the least important for this conversation.
[00:40:32.000 --> 00:40:34.000]   And the number four is the beneficiary.
[00:40:34.000 --> 00:40:39.000]   The beneficiary is the person who receives the money at the death of the insured.
[00:40:39.000 --> 00:40:42.000]   Now, this can be all for the same people.
[00:40:42.000 --> 00:40:48.000]   I can buy a life insurance policy on my life, so I'm the owner and the insured.
[00:40:48.000 --> 00:40:58.000]   I can pay the premiums, I'm the payer, and I can establish myself, which of course would be my estate, as the beneficiary of the policy.
[00:40:58.000 --> 00:41:02.000]   I could also buy a policy on my life.
[00:41:02.000 --> 00:41:06.000]   I can own it because I bought it, I'm the insured.
[00:41:06.000 --> 00:41:12.000]   I can pay the premiums, and then I can establish my wife as the beneficiary of the policy.
[00:41:12.000 --> 00:41:33.000]   If I'm going to buy a policy on somebody else's life, I need to have, at the time of the policy's inception, I need to have what's called insurable interest, which means I need to have a connection with somebody either by marriage or by family relationship or by a financial relationship.
[00:41:33.000 --> 00:41:43.000]   So I can't just go and, you know, John's calling in from California, I can't just buy a policy on John's life and say, "I think John's going to die soon, I'll buy a life insurance policy on his life."
[00:41:43.000 --> 00:41:47.000]   I have to have, when I buy a policy, I have to have an insurable interest.
[00:41:47.000 --> 00:41:52.000]   Husbands and wives are always assumed to have an insurable interest in each other's lives.
[00:41:52.000 --> 00:42:02.000]   So I can buy a policy on my wife's life, I can own the policy, I can pay the premiums, and I could be the beneficiary of that policy.
[00:42:02.000 --> 00:42:05.000]   I could also buy a policy on my children's life.
[00:42:05.000 --> 00:42:12.000]   With approval, I may be able to buy a policy on a sibling's life or on a father's life, a parent's life.
[00:42:12.000 --> 00:42:22.000]   And then if I have a business relationship with somebody, let's say I'm partners in a business, I could be able to buy a policy on a business partner's life.
[00:42:22.000 --> 00:42:27.000]   But I have to demonstrate that I would suffer loss, financial loss, if they died.
[00:42:27.000 --> 00:42:37.000]   At the time of policy inception, of course, the insured has to give assent and give permission for me to buy a policy on them.
[00:42:37.000 --> 00:42:43.000]   I can't just buy a policy on someone without them knowing about it legally and also practically.
[00:42:43.000 --> 00:42:46.000]   They're going to have to do a medical exam, so they're going to know about it.
[00:42:46.000 --> 00:42:54.000]   So the question among husbands and wives comes down to, to keep it simple, who should own the policy on whose life?
[00:42:54.000 --> 00:43:02.000]   And here there are legal implications, there are tax implications, and there are practical implications.
[00:43:02.000 --> 00:43:10.000]   The practical implications, in my experience, are probably some of the biggest things that happen.
[00:43:10.000 --> 00:43:17.000]   Most people want to just have a policy on their life, and they want to be able to sign the paperwork for the policies on their life.
[00:43:17.000 --> 00:43:29.000]   And so when I was in, when I sold life insurance, most people would just choose to buy a policy on their life and make their spouse the beneficiary, because it was simple, it was easy.
[00:43:29.000 --> 00:43:31.000]   You could sign your own papers.
[00:43:31.000 --> 00:43:38.000]   Sometimes, if I always met with one spouse or the other, that person would be the owner of all the policies.
[00:43:38.000 --> 00:43:50.000]   So as an example, I own the policies on our children's lives, between my wife and me, and I do that simply for practical considerations,
[00:43:50.000 --> 00:43:54.000]   so that if there are changes that need to be made to the paperwork, I can sign the papers,
[00:43:54.000 --> 00:44:00.000]   and we don't have to get me and my wife together in front of the agent to sign the paperwork together,
[00:44:00.000 --> 00:44:05.000]   which can be difficult with family situations, just in terms of who's going to take care of the children,
[00:44:05.000 --> 00:44:09.000]   when you want to make a simple change on a policy.
[00:44:09.000 --> 00:44:14.000]   In a healthy relationship, that can work fine for each person to own their own policy.
[00:44:14.000 --> 00:44:20.000]   The question comes into play, what happens if there's a divorce, and that's probably the biggest thing,
[00:44:20.000 --> 00:44:28.000]   because it puts, especially if there's a non-income earning spouse, usually a wife, it puts her in a vulnerable place,
[00:44:28.000 --> 00:44:34.000]   if she only owns a policy on her life and doesn't own a policy on her husband's life.
[00:44:34.000 --> 00:44:40.000]   So if you put a husband and wife, and let's say the husband is an income earning spouse,
[00:44:40.000 --> 00:44:44.000]   and the wife is a non-income earning spouse, it's a vulnerable position for the wife,
[00:44:44.000 --> 00:44:54.000]   and if the husband divorces her, she can, under the terms of that divorce, request that a life insurance policy be taken out,
[00:44:54.000 --> 00:44:56.000]   that she can own a policy on his life.
[00:44:56.000 --> 00:45:05.000]   But if she already owns a policy on his life, then that is an easier situation, that is a better situation,
[00:45:05.000 --> 00:45:10.000]   because he can't cancel it. As long as she keeps that policy in force, she's protected.
[00:45:10.000 --> 00:45:16.000]   And this is especially valuable if in a divorce proceeding she's subject to alimony,
[00:45:16.000 --> 00:45:19.000]   or she's receiving alimony or child support payments.
[00:45:19.000 --> 00:45:24.000]   If the husband dies, those payments might not be made, and that could put her into a financially vulnerable position.
[00:45:24.000 --> 00:45:31.000]   And so it's really better, practically, for her protection, for her to own the policy on his life,
[00:45:31.000 --> 00:45:36.000]   and then if he's going to own a policy on her life, he can own a policy on her life.
[00:45:36.000 --> 00:45:41.000]   So that's probably the best way to do it in terms of protection.
[00:45:41.000 --> 00:45:47.000]   Not everybody loves that way, and practically, in just terms of the practical situation,
[00:45:47.000 --> 00:45:49.000]   it often doesn't work out that way.
[00:45:49.000 --> 00:45:55.000]   And most people, my experience, many people who are buying insurance policies just don't understand the difference between ownership and insurance,
[00:45:55.000 --> 00:45:59.000]   and they want to have the policy on their life, they want to have control.
[00:45:59.000 --> 00:46:07.000]   But it doesn't protect the vulnerable spouse as well if they don't own the policy on their spouse's life.
[00:46:07.000 --> 00:46:10.000]   Now, finally, we come into the tax considerations.
[00:46:10.000 --> 00:46:24.000]   In the tax considerations, in a life insurance contract, there is never an income tax due on the proceeds,
[00:46:24.000 --> 00:46:27.000]   on the death benefit of a life insurance contract.
[00:46:27.000 --> 00:46:33.000]   Life insurance death benefits are always received income tax-free.
[00:46:33.000 --> 00:46:47.000]   However, the value of a life insurance policy is included in the taxable estate of the owner of a policy.
[00:46:47.000 --> 00:46:56.000]   What that means is if I own a $1 million policy on my life and then I die,
[00:46:56.000 --> 00:47:00.000]   my wife will receive the $1 million, if she's the beneficiary,
[00:47:00.000 --> 00:47:04.000]   my wife will receive the $1 million income tax-free.
[00:47:04.000 --> 00:47:14.000]   However, the $1 million death benefit is included in my gross estate for the calculation of estate tax purposes.
[00:47:14.000 --> 00:47:21.000]   This is not particularly relevant in today's world, where we have very high, relatively high, historically high,
[00:47:21.000 --> 00:47:26.000]   estate tax exemption amounts in excess of $5 million per person.
[00:47:26.000 --> 00:47:33.000]   But this was very relevant as little as a decade ago, where the estate tax exemption amount was down,
[00:47:33.000 --> 00:47:34.000]   if memory is, it was under a million bucks.
[00:47:34.000 --> 00:47:38.000]   I think it was like $750,000 at one point, 10 to 15 years ago.
[00:47:38.000 --> 00:47:47.000]   So what that meant is if I owned a $1 million policy on my life,
[00:47:47.000 --> 00:47:53.000]   even if I had no other assets, I would automatically be triggering an estate tax payment
[00:47:53.000 --> 00:47:57.000]   due to the federal government and possibly also to my state government.
[00:47:57.000 --> 00:47:59.000]   So that was a real problem.
[00:47:59.000 --> 00:48:04.000]   And at that time, that was when life insurance trusts were basically a standard recommendation
[00:48:04.000 --> 00:48:09.000]   for almost any normal-sized or reasonable-sized, large-sized life insurance policy.
[00:48:09.000 --> 00:48:14.000]   That's a little easier today, but it does still come into play,
[00:48:14.000 --> 00:48:20.000]   because we have to be very careful with the ownership arrangements and fit those in with the tax arrangements.
[00:48:20.000 --> 00:48:27.000]   And for the listeners of this show, who tend to be pretty affluent, it is important that you recognize this.
[00:48:27.000 --> 00:48:32.000]   If you have an estate of, say, $3 million, or you anticipate having an estate of $3 million,
[00:48:32.000 --> 00:48:37.000]   which is not hard to anticipate, if you have a few hundred thousand dollars
[00:48:37.000 --> 00:48:42.000]   over the course of a normal lifetime of accumulation, you're going to accumulate multiple millions of dollars.
[00:48:42.000 --> 00:48:45.000]   And you also have a few million dollars of life insurance.
[00:48:45.000 --> 00:48:51.000]   Even if it's term life insurance, the death benefit value of that policy is included in your estate,
[00:48:51.000 --> 00:48:53.000]   in your gross estate, at the time of death.
[00:48:53.000 --> 00:48:56.000]   And so you have to look at the tax situation and figure out
[00:48:56.000 --> 00:49:01.000]   what is the tax situation of each of the interested parties in a spouse.
[00:49:01.000 --> 00:49:05.000]   And sometimes that doesn't matter. Sometimes it does.
[00:49:05.000 --> 00:49:11.000]   Sometimes you need to put the policy into a trust. Sometimes it's fine to be owned independently.
[00:49:11.000 --> 00:49:15.000]   But those are the various considerations, and you have to think all of them through
[00:49:15.000 --> 00:49:18.000]   when you're actually putting a policy in place.
[00:49:18.000 --> 00:49:24.000]   So, in short, the easiest way is usually for each person to own a policy on their own life.
[00:49:24.000 --> 00:49:28.000]   And that's what many people do. It's just easy.
[00:49:28.000 --> 00:49:32.000]   They like the idea of being able to own a policy on their own life.
[00:49:32.000 --> 00:49:37.000]   The better way is usually to have them own a policy on their spouse's life.
[00:49:37.000 --> 00:49:41.000]   Because that way, if they divorce, they're still covered.
[00:49:41.000 --> 00:49:45.000]   And the owner, they can still maintain that ownership interest in the policy,
[00:49:45.000 --> 00:49:48.000]   and they don't have to fight that out in divorce court.
[00:49:48.000 --> 00:49:50.000]   So that is a better way.
[00:49:50.000 --> 00:49:55.000]   But you also need to take the totality of the circumstances into consideration.
[00:49:55.000 --> 00:49:57.000]   How did I do, John? Did that help?
[00:49:57.000 --> 00:50:02.000]   Outstanding. I mean, that really simplified things, I think, for me and a lot of people,
[00:50:02.000 --> 00:50:04.000]   as that question does come up.
[00:50:04.000 --> 00:50:10.000]   I'm hoping maybe in a future show or when you have time, you can also address the part of the life insurance industry
[00:50:10.000 --> 00:50:16.000]   that has to do with actually qualifying for policies and the things that can come up
[00:50:16.000 --> 00:50:22.000]   that can keep you from getting insured or having your policy rated or made more expensive based on your health.
[00:50:22.000 --> 00:50:25.000]   I think that's something that really needs to be addressed out there.
[00:50:25.000 --> 00:50:30.000]   Lots of questions for me, and I'm sure a lot of your listeners, when they apply for this low rate
[00:50:30.000 --> 00:50:37.000]   and find out it comes back three, four, ten times more expensive than they're being shown on TV and radio ads.
[00:50:37.000 --> 00:50:41.000]   Yeah. Well, let me just talk to it just for a moment because it is helpful.
[00:50:41.000 --> 00:50:47.000]   The rates that you're shown on a radio ad or a TV ad are legitimate rates.
[00:50:47.000 --> 00:50:50.000]   That company or whatever company is advertising and they're saying,
[00:50:50.000 --> 00:50:55.000]   "Hey, you could buy a million dollars of insurance for $40 a month," that's a legitimate rate.
[00:50:55.000 --> 00:50:58.000]   There are a few considerations that come in.
[00:50:58.000 --> 00:51:03.000]   The first is what type of policy is being discussed.
[00:51:03.000 --> 00:51:09.000]   Usually, of course, it's going to be a term life insurance policy, which is fine because most people should always start with term life insurance.
[00:51:09.000 --> 00:51:16.000]   You always solve death benefit needs first with term life insurance because it's the cheapest way to cover death benefit,
[00:51:16.000 --> 00:51:19.000]   and that's the primary function of life insurance.
[00:51:19.000 --> 00:51:22.000]   It's usually good to have a term life insurance policy.
[00:51:22.000 --> 00:51:27.000]   The second thing you have to look out for is what is the amount of time, what is the term.
[00:51:27.000 --> 00:51:30.000]   The shorter the term policy, the lower the rates.
[00:51:30.000 --> 00:51:34.000]   Sometimes the rates will be a 10-year term policy.
[00:51:34.000 --> 00:51:36.000]   Now, is a 10-year term policy a bad thing?
[00:51:36.000 --> 00:51:38.000]   No, it's a great thing.
[00:51:38.000 --> 00:51:45.000]   I would guess that 75% of US American citizens are underinsured with regard to life insurance.
[00:51:45.000 --> 00:51:51.000]   For most people, if they would just go and get a 10-year level term life insurance policy of a million bucks, it would be wonderful.
[00:51:51.000 --> 00:51:59.000]   It would really help, and that would make many tragic circumstances a little bit less tragic and a little bit easier for the surviving family members.
[00:51:59.000 --> 00:52:01.000]   I love to see people doing that.
[00:52:01.000 --> 00:52:04.000]   However, it does come down, number three, to ratings.
[00:52:04.000 --> 00:52:06.000]   What are the ratings?
[00:52:06.000 --> 00:52:09.000]   This varies among companies.
[00:52:09.000 --> 00:52:15.000]   Usually, how ratings work is they have some-- There's what's called a standard rating.
[00:52:15.000 --> 00:52:22.000]   Standard ratings are generally not advertised, but they're called standard ratings.
[00:52:22.000 --> 00:52:27.000]   Now, above standard ratings are various names for different companies.
[00:52:27.000 --> 00:52:28.000]   Sometimes it's preferred.
[00:52:28.000 --> 00:52:30.000]   Sometimes it's super preferred.
[00:52:30.000 --> 00:52:31.000]   Sometimes premier.
[00:52:31.000 --> 00:52:39.000]   But usually, there are two or three slots above a standard rating that have for the very best health conditions.
[00:52:39.000 --> 00:52:42.000]   Then below a standard rating, there are various medical ratings.
[00:52:42.000 --> 00:52:49.000]   Usually, these are referred to as table, table one, table two, table three, et cetera, and depending on the company, how low they go.
[00:52:49.000 --> 00:53:00.000]   So the question comes down for each company, what percentage of applicants are approved at that highest rating?
[00:53:00.000 --> 00:53:08.000]   Each company has different characteristics by which they judge the health of a person.
[00:53:08.000 --> 00:53:16.000]   One company may look at somebody who has slightly high cholesterol, and that automatically bumps them from the super preferred down to the preferred.
[00:53:16.000 --> 00:53:26.000]   Another company may use what's referred to as a point system where, yes, you have a high cholesterol, and that's a minus one point, but you also have a great family history.
[00:53:26.000 --> 00:53:34.000]   Your parents died at old ages, so that's a plus two point, and so we'll go ahead and keep you in the preferred or the super preferred rating.
[00:53:34.000 --> 00:53:40.000]   Some companies would have, say, 15% of their applicants be approved for super preferred ratings.
[00:53:40.000 --> 00:53:48.000]   Some companies would have 40% of their applicants -- maybe that's a little high -- 30% of their applicants approved at a super preferred rating.
[00:53:48.000 --> 00:54:00.000]   Then you get down to the integration of tobacco and other lifestyle avocations, the race cars, de-scuba dive, et cetera, that come into play.
[00:54:00.000 --> 00:54:14.000]   The best thing to do, in my opinion, is recognize that the low rate, the teaser rate that you're being advertised is indeed a legitimate rate, but it may not be a legitimate rate for you.
[00:54:14.000 --> 00:54:25.000]   Let the fact that it's low and cheap remind you that for most people, term life insurance is super, super cheap, so there's no reason not to have it, and there's no reason not to have a lot of it.
[00:54:25.000 --> 00:54:35.000]   But as you are putting that together and as you're getting your life insurance portfolio put together, recognize that you'll need to shop that.
[00:54:35.000 --> 00:54:39.000]   So apply with a company, but usually work with a broker.
[00:54:39.000 --> 00:54:43.000]   If you get rated by one company, apply with other companies.
[00:54:43.000 --> 00:54:51.000]   Usually you can use the same medical exam. You don't have to do the medical exam again, so you can do that, which is nice for most people.
[00:54:51.000 --> 00:54:59.000]   And you can apply with other companies without sending in, without coming in with more money, with more money out of pocket.
[00:54:59.000 --> 00:55:11.000]   So the way that I did it when I was licensed to sell insurance is I would always take an application with the primary company that I thought had the best rate.
[00:55:11.000 --> 00:55:18.000]   But then if that company didn't come back with the best rate, then I would shop the file.
[00:55:18.000 --> 00:55:22.000]   You can get disclosure paperwork that allows you as the customer to authorize this.
[00:55:22.000 --> 00:55:25.000]   I would shop the file to multiple companies.
[00:55:25.000 --> 00:55:32.000]   And so you go ahead and get quotes from anywhere from a half a dozen to a couple dozen companies.
[00:55:32.000 --> 00:55:35.000]   And they will review the file without a formal application.
[00:55:35.000 --> 00:55:49.000]   So once you have the medical results, once you have the tests of your blood tests and your physician results, your insurance agent will take that paperwork, that medical paperwork, and can send it to the underwriters of multiple companies with an authorization form for you disclosing the information.
[00:55:49.000 --> 00:55:59.000]   And then multiple companies will come back and say, "Based upon what you shared with us, here is the number. Here is the rating that we will give to you."
[00:55:59.000 --> 00:56:11.000]   And then with that information, you can use that information and actually put together actual numbers that tell you what you need to know to get actual rates.
[00:56:11.000 --> 00:56:23.000]   Because once you know -- if I had a client, let's say they were rated as a standard with company A that we applied with and I got them back and company B said preferred, company C said table one, company D said standard.
[00:56:23.000 --> 00:56:31.000]   Now that we know that health classification, we can go back to their rate books and we can run the rates and analyze the actual rates.
[00:56:31.000 --> 00:56:42.000]   And remember this, a life insurance agent, it's their job to figure out a life insurance program that solves your needs and has a budget that reflects on what you can afford.
[00:56:42.000 --> 00:56:58.000]   So if you can't afford because you were rated, you can't afford a big, fancy, long-term 30-year term policy or some fancy universal blah, blah, blah because you can't afford it, at least you're better off going ahead and buying a shorter term policy.
[00:56:58.000 --> 00:57:07.000]   Maybe a 10-year term or maybe an annual renewable term or something that solves your insurance need or cuts the amount of insurance down to a premium you can afford.
[00:57:07.000 --> 00:57:18.000]   So if you can afford $50 a month but you were rated and a million dollars came back at $130 a month, well, cut the amount of insurance down to $500,000 so you can afford it.
[00:57:18.000 --> 00:57:23.000]   And that will be a lot better for your family if you die than if you don't have any insurance at all.
[00:57:23.000 --> 00:57:26.000]   So that's your agent's job.
[00:57:26.000 --> 00:57:29.000]   And there are -- I love online shopping.
[00:57:29.000 --> 00:57:30.000]   Online shopping is great.
[00:57:30.000 --> 00:57:35.000]   But in an online agent, an online life insurance agent is fine.
[00:57:35.000 --> 00:57:39.000]   But a good life insurance agent doesn't cost any more.
[00:57:39.000 --> 00:57:41.000]   But this is what they're supposed to do.
[00:57:41.000 --> 00:57:45.000]   Life insurance agents earn great commissions for their work.
[00:57:45.000 --> 00:57:55.000]   The average commission rate for a life insurance agent will be anywhere from 50 or 60% of the first year's premium to 100 to 110% of the first year's premium.
[00:57:55.000 --> 00:58:02.000]   So if your annual premium is a couple thousand bucks, that's going to be $1,000 of revenue for a life insurance agent.
[00:58:02.000 --> 00:58:05.000]   I'll do several hours of work for $1,000 of revenue.
[00:58:05.000 --> 00:58:15.000]   Now, it doesn't actually work out in terms of $1,000 of revenue for a couple of hours because an agent has to go through 10 prospective customers to come out with a handful on the other side.
[00:58:15.000 --> 00:58:19.000]   So there's a lot more work involved for all the people who don't wind up buying.
[00:58:19.000 --> 00:58:30.000]   But if you are a good customer and you know what you want and you're willing to do it, just go to a life insurance agent in your area, work with a local agent, and have them do their work for you and have them shop.
