
[00:00:00.000 --> 00:00:01.400]   OK, hi, everybody.
[00:19:58.000 --> 00:20:00.200]   I should better use them conveniently.
[00:20:00.200 --> 00:20:04.720]   And it only took a few minutes to add those.
[00:20:04.720 --> 00:20:06.760]   And then ditto, I noticed a lot of people--
[00:20:06.760 --> 00:20:08.600]   in fact, nearly everybody, including
[00:20:08.600 --> 00:20:12.760]   the Anthropic documentation, manually writes these.
[00:20:12.760 --> 00:20:14.720]   I mean, again, it doesn't take long.
[00:20:14.720 --> 00:20:17.760]   But it doesn't take very long to write this once either.
[00:20:17.760 --> 00:20:21.480]   And now if you just-- something as simple as defaulting
[00:20:21.480 --> 00:20:23.880]   the role, then it's just a bit shorter.
[00:20:23.880 --> 00:20:25.560]   I can now say makeMessage.
[00:20:25.560 --> 00:20:27.960]   And it's just creating that dictionary.
[00:20:27.960 --> 00:20:28.680]   OK.
[00:20:28.680 --> 00:20:31.000]   So now I can do exactly the same thing.
[00:20:31.000 --> 00:20:34.960]   OK.
[00:20:34.960 --> 00:20:38.800]   And so then since it always goes user, assistant, user,
[00:20:38.800 --> 00:20:41.000]   assistant, user, assistant, I thought, OK,
[00:20:41.000 --> 00:20:43.440]   you should be able to just send in a list of strings.
[00:20:43.440 --> 00:20:44.880]   And it just figures that out.
[00:20:44.880 --> 00:20:48.480]   So this is just going using i%2 to jump
[00:20:48.480 --> 00:20:50.160]   between user and assistant.
[00:20:50.160 --> 00:20:57.160]   And makeMessage, I then realized, OK,
[00:20:57.160 --> 00:20:58.520]   we should change it slightly.
[00:20:58.520 --> 00:21:00.240]   So if it's already a dictionary, we
[00:21:00.240 --> 00:21:02.120]   shouldn't change it and stuff like that.
[00:21:02.120 --> 00:21:04.920]   But basically, as you can see here,
[00:21:04.920 --> 00:21:10.480]   I can now pass in a list of messages a bit more easily.
[00:21:10.480 --> 00:21:15.720]   So my prompt was I'm Jeremy.
[00:21:15.720 --> 00:21:19.200]   R is a response.
[00:21:19.200 --> 00:21:24.520]   And then I've got another string.
[00:21:24.520 --> 00:21:34.920]   So if I pass in something which has a content attribute,
[00:21:34.920 --> 00:21:38.560]   then I use that.
[00:21:38.560 --> 00:21:40.720]   And so that way, you can see the messages now.
[00:21:40.720 --> 00:21:41.640]   I've got I'm Jeremy.
[00:21:41.640 --> 00:21:45.280]   And then the assistant contains the response
[00:21:45.280 --> 00:21:46.360]   from the assistant.
[00:21:46.360 --> 00:21:48.560]   So it's happy with that as well.
[00:21:48.560 --> 00:21:50.240]   It doesn't have to be a string.
[00:21:50.240 --> 00:21:52.400]   And so this is how--
[00:21:52.400 --> 00:21:54.160]   and OK, again, from people, if you've
[00:21:54.160 --> 00:21:58.800]   watched my LLM Hacker's Guide, you know this.
[00:21:58.800 --> 00:22:01.440]   Language models currently have no state.
[00:22:01.440 --> 00:22:06.360]   Like when you chat with chatGPT, it looks like it has state.
[00:22:06.360 --> 00:22:08.720]   You can ask follow-up questions.
[00:22:08.720 --> 00:22:10.600]   But actually, the entire previous dialogue
[00:22:10.600 --> 00:22:12.320]   gets sent each time.
[00:22:12.320 --> 00:22:14.720]   So when I say I forgot my name, can you remind me, please?
[00:22:14.720 --> 00:22:17.720]   I also have to pass it all of my previous questions
[00:22:17.720 --> 00:22:19.840]   and all of its previous answers.
[00:22:19.840 --> 00:22:22.880]   And that's how it knows what's happened.
[00:22:22.880 --> 00:22:26.760]   And so then hopefully--
[00:22:26.760 --> 00:22:27.960]   OK, I don't know your name.
[00:22:27.960 --> 00:22:29.320]   I referred to you as Jeremy.
[00:22:29.320 --> 00:22:31.000]   All right, well, so you do know my name.
[00:22:31.000 --> 00:22:31.520]   Thank you.
[00:22:31.520 --> 00:22:33.320]   So it turns out my name's Jeremy.
[00:22:33.320 --> 00:22:36.360]   OK, so I feel like something as simple as this
[00:22:36.360 --> 00:22:40.000]   is already useful for experimenting and playing
[00:22:40.000 --> 00:22:40.520]   around.
[00:22:40.520 --> 00:22:45.200]   And for me, I would rather generally use something
[00:22:45.200 --> 00:22:48.080]   like a notebook interface for interacting with a model
[00:22:48.080 --> 00:22:54.240]   than the kind of default chatGPT thing or Cloud thing.
[00:22:54.240 --> 00:22:56.400]   This is where I can save my notebooks.
[00:22:56.400 --> 00:22:57.920]   I can go back and experiment.
[00:22:57.920 --> 00:23:00.880]   I can do things programmatically.
[00:23:00.880 --> 00:23:05.600]   So this was a big kind of thing for me is like, OK, I want to--
[00:23:05.600 --> 00:23:11.680]   I want to make a notebook at least as ergonomic as chatGPT
[00:23:11.680 --> 00:23:14.520]   plus all of the additional usability of a notebook.
[00:23:14.560 --> 00:23:17.280]   So these are the little things that I think help.
[00:23:17.280 --> 00:23:22.760]   Passing the model each time seems weird
[00:23:22.760 --> 00:23:26.240]   because I generally pick the model once per session.
[00:23:26.240 --> 00:23:28.200]   So I just created this tiny class
[00:23:28.200 --> 00:23:30.840]   to remember what model I'm working with.
[00:23:30.840 --> 00:23:32.640]   So that's what this client class does.
[00:23:32.640 --> 00:23:34.200]   And the second thing it's going to do
[00:23:34.200 --> 00:23:37.440]   is it's going to keep track of my usage.
[00:23:37.440 --> 00:23:40.680]   So maybe the transition that I see happening right now
[00:23:40.680 --> 00:23:44.080]   is everything up until this point was like housekeeping
[00:23:44.080 --> 00:23:45.520]   of I'm doing exactly the same things
[00:23:45.520 --> 00:23:48.000]   as the official API can do, but I'm just
[00:23:48.000 --> 00:23:50.880]   making my own convenience functions for that.
[00:23:50.880 --> 00:23:52.280]   But then the official API doesn't
[00:23:52.280 --> 00:23:54.520]   give you tracking usage over multiple conversations,
[00:23:54.520 --> 00:23:56.400]   keeping track of the history and all of that.
[00:23:56.400 --> 00:23:58.560]   So it seems like now we're shifting to like, OK,
[00:23:58.560 --> 00:24:01.400]   I can do the same things that the API allows me to do,
[00:24:01.400 --> 00:24:03.560]   but now I don't have to type as much.
[00:24:03.560 --> 00:24:05.280]   I've got my convenience functions.
[00:24:05.280 --> 00:24:06.880]   But now it's like, OK, what else would I like to do?
[00:24:06.880 --> 00:24:08.440]   I'd like to start tracking usage--
[00:24:08.440 --> 00:24:09.040]   Yeah, exactly.
[00:24:09.040 --> 00:24:10.040]   --of the persistent model setting.
[00:24:10.040 --> 00:24:10.520]   OK.
[00:24:10.520 --> 00:24:12.000]   And this is kind of important to me
[00:24:12.000 --> 00:24:17.000]   because I don't want to spend all my money unknowingly.
[00:24:17.000 --> 00:24:18.280]   So I want it to be really easy.
[00:24:18.280 --> 00:24:20.560]   And so what I used to do was to always go back
[00:24:20.560 --> 00:24:22.800]   to the OpenAI or whatever web page
[00:24:22.800 --> 00:24:25.800]   and check the billing because you can actually
[00:24:25.800 --> 00:24:28.000]   blow out things pretty quickly.
[00:24:28.000 --> 00:24:31.040]   So this way, it's just like I just saying like, OK, well,
[00:24:31.040 --> 00:24:35.040]   let's just start with a use of 0.
[00:24:35.040 --> 00:24:38.640]   And then I just wrote this tiny little private thing here.
[00:24:38.640 --> 00:24:42.320]   We'll ignore prefill for now, which just stores
[00:24:42.320 --> 00:24:46.760]   what the last result was and adds the usage.
[00:24:46.760 --> 00:24:51.520]   So now when I call it a few times, each time I call it,
[00:24:51.520 --> 00:24:54.600]   it's just going to remember the usage.
[00:24:54.600 --> 00:24:59.400]   And so again, I was going to ignore stream for a moment.
[00:24:59.400 --> 00:25:01.960]   So then I define dunder call.
[00:25:01.960 --> 00:25:05.440]   So dunder call is the thing that you basically
[00:25:05.440 --> 00:25:07.240]   could create an object, and then you
[00:25:07.240 --> 00:25:08.920]   could pretend it's a function.
[00:25:08.920 --> 00:25:10.840]   So it's the thing that makes it callable.
[00:25:10.840 --> 00:25:13.800]   And so when I call this function,
[00:25:13.800 --> 00:25:15.920]   I'll come back to some of the details in a moment.
[00:25:15.920 --> 00:25:20.880]   But the main thing it does is it calls make messages
[00:25:20.880 --> 00:25:22.560]   on your messages.
[00:25:22.560 --> 00:25:27.480]   And then it calls the messages.create.
[00:25:27.480 --> 00:25:33.040]   And then it remembers the result and keeps track of the usage.
[00:25:33.040 --> 00:25:34.760]   So basically, the key behavior now
[00:25:34.760 --> 00:25:38.240]   is that when I start, it's got zero usage.
[00:25:38.240 --> 00:25:43.360]   I do something, and I've now tracked the usage.
[00:25:43.360 --> 00:25:48.320]   And so if I call it again, that 20 should be higher, now 40.
[00:25:48.320 --> 00:25:53.440]   So it's still not remembering my chat history or anything.
[00:25:53.440 --> 00:25:56.080]   It's just my usage history.
[00:25:56.080 --> 00:26:00.320]   So I like to do very little at a time.
[00:26:00.320 --> 00:26:05.120]   So you'll see this is like a large function by my standards.
[00:26:05.120 --> 00:26:08.680]   It's like 1, 2, 3, 4, 5, 6, 7, 8 whole lines.
[00:26:08.680 --> 00:26:10.400]   I don't want to get much bigger than that
[00:26:10.400 --> 00:26:11.960]   because my brain's very small.
[00:26:11.960 --> 00:26:14.480]   So I can't keep it all in my head.
[00:26:14.480 --> 00:26:16.600]   So that's just a small amount of stuff.
[00:26:16.600 --> 00:26:19.720]   So there's a couple of other things we do here.
[00:26:19.720 --> 00:26:23.960]   One is we do something which Anthropic
[00:26:23.960 --> 00:26:27.440]   is one of the few companies to officially support,
[00:26:27.440 --> 00:26:31.760]   which is called prefill, which is where you can say
[00:26:31.760 --> 00:26:34.240]   to Anthropic, OK, this is my question.
[00:26:34.240 --> 00:26:36.240]   What's the meaning of life?
[00:26:36.240 --> 00:26:41.480]   And you answered with this starting point.
[00:26:41.480 --> 00:26:44.320]   You don't say, please answer with this.
[00:26:44.320 --> 00:26:47.080]   It literally has to start its answer with this.
[00:26:47.080 --> 00:26:48.440]   That's called prefill.
[00:26:48.440 --> 00:26:53.080]   So if I call it, that's my object.
[00:26:53.080 --> 00:26:55.400]   With this question, with this prefill,
[00:26:55.400 --> 00:26:59.400]   it forces it to start with that answer.
[00:26:59.400 --> 00:27:04.640]   So yeah, so basically, when you call this little tracking
[00:27:04.640 --> 00:27:07.240]   thing, which takes track of the usage,
[00:27:07.240 --> 00:27:09.400]   this is where you also pass in the prefill.
[00:27:09.400 --> 00:27:11.600]   And so if you want some prefill, then as you can see,
[00:27:11.600 --> 00:27:15.000]   it just adds it in.
[00:27:15.000 --> 00:27:17.080]   And the way it also-- so that's just to the answer
[00:27:17.080 --> 00:27:19.240]   because Anthropic doesn't put it in the answer.
[00:27:19.240 --> 00:27:22.680]   And the way Anthropic actually implements
[00:27:22.680 --> 00:27:32.800]   this is that the messages, it gets
[00:27:32.800 --> 00:27:35.360]   appended as an additional assistant message.
[00:27:35.360 --> 00:27:37.480]   So it's the messages plus the prefill.
[00:27:37.480 --> 00:27:40.200]   So basically, you pass in an assistant message at the end.
[00:27:40.200 --> 00:27:41.920]   And then the assistant's like, oh, that's
[00:27:41.920 --> 00:27:44.320]   what I started my answer with.
[00:27:44.320 --> 00:27:46.640]   This isn't documented necessarily in their API
[00:27:46.640 --> 00:27:49.600]   because it's like, oh, this is how you send a user message
[00:27:49.600 --> 00:27:51.400]   and we'll respond with an assistant message.
[00:27:51.400 --> 00:27:53.760]   And you have to kind of dig a little bit more to say, oh,
[00:27:53.760 --> 00:27:56.040]   if I send you an assistant message as the last message
[00:27:56.040 --> 00:27:58.360]   in the conversation, this is how we'll interpret it.
[00:27:58.360 --> 00:28:00.200]   We'll continue on in that message and like--
[00:28:00.200 --> 00:28:01.440]   Yeah, they've got it here.
[00:28:01.440 --> 00:28:04.360]   So they've got-- Anthropic's good with this.
[00:28:04.360 --> 00:28:12.040]   They actually understand that prefill is incredibly powerful.
[00:28:12.040 --> 00:28:14.240]   Particularly, Claude loves it.
[00:28:14.240 --> 00:28:17.280]   Claude does not listen to system prompts much at all.
[00:28:17.280 --> 00:28:21.160]   And this is why each different model,
[00:28:21.160 --> 00:28:23.440]   you have to learn about its quirks.
[00:28:23.440 --> 00:28:25.840]   So Claude ignores system prompts.
[00:28:25.840 --> 00:28:28.040]   But if you tell it, oh, this is how
[00:28:28.040 --> 00:28:30.360]   you answered the last three questions,
[00:28:30.360 --> 00:28:32.240]   it just jumps into that role now.
[00:28:32.240 --> 00:28:34.560]   It's like, oh, this is how I behave.
[00:28:34.560 --> 00:28:36.800]   And it'll keep doing that.
[00:28:36.800 --> 00:28:40.160]   And you can maintain character consistency.
[00:28:40.160 --> 00:28:45.680]   So I use this a lot.
[00:28:45.680 --> 00:28:47.080]   And here's a good example.
[00:28:47.080 --> 00:28:50.040]   Start your assistant with OpenCurlyBrace.
[00:28:50.040 --> 00:28:52.200]   I mean, they support tool calling or whatever.
[00:28:52.200 --> 00:28:53.960]   But this is a simple way.
[00:28:53.960 --> 00:28:57.680]   So sometimes I will start my response
[00:28:57.680 --> 00:29:00.320]   with backtick, backtick, backtick Python.
[00:29:00.320 --> 00:29:04.000]   That forces it to start answering the Python code.
[00:29:04.000 --> 00:29:08.240]   So yeah, lots of useful things you can do with prefill.
[00:29:08.240 --> 00:29:12.400]   Have you noticed personally that the improvement is significant
[00:29:12.400 --> 00:29:13.600]   when you use prefill?
[00:29:13.600 --> 00:29:15.280]   I mean, I see they're recommending it.
[00:29:15.280 --> 00:29:17.520]   But I'm just curious what your anecdotal impression is.
[00:29:17.520 --> 00:29:21.520]   I mean, it answers it with that start.
[00:29:21.520 --> 00:29:23.840]   So yeah, if you want it to answer with that start,
[00:29:23.840 --> 00:29:25.080]   then it's perfect.
[00:29:25.080 --> 00:29:33.280]   Unfortunately, GPT-4.0 doesn't generally do it properly.
[00:29:33.280 --> 00:29:35.400]   Google's Gemini Pro does.
[00:29:35.400 --> 00:29:38.080]   And Google's Gemini Flash doesn't.
[00:29:38.080 --> 00:29:40.320]   So they're a bit all over the place at the moment.
[00:29:40.320 --> 00:29:45.200]   So then, yeah, the other thing you can do
[00:29:45.200 --> 00:29:46.120]   is streaming.
[00:29:46.120 --> 00:29:49.880]   Now, streaming is a bit hard to see with a short question.
[00:29:49.880 --> 00:29:56.000]   So we'll make a longer one.
[00:29:56.000 --> 00:29:58.440]   And so you can see it generally comes out, bop, bop, bop, bop,
[00:29:58.440 --> 00:29:59.600]   bop.
[00:29:59.600 --> 00:30:02.800]   I don't have any pre-written funny-- that's terrible.
[00:30:02.800 --> 00:30:04.480]   Oh, you know why?
[00:30:04.480 --> 00:30:06.440]   Because we're using Haiku.
[00:30:06.440 --> 00:30:11.960]   And Haiku is not at all creative.
[00:30:11.960 --> 00:30:17.880]   So if we go c.model equals model 0,
[00:30:17.880 --> 00:30:21.720]   we can upscale to Opus.
[00:30:21.720 --> 00:30:22.360]   Try again.
[00:30:22.360 --> 00:30:28.120]   All right.
[00:30:28.120 --> 00:30:28.720]   Slow enough.
[00:30:28.720 --> 00:30:32.200]   I don't think I want to wait to do the whole thing anyway.
[00:30:32.200 --> 00:30:32.700]   Oh.
[00:30:32.700 --> 00:30:38.320]   It's just going to keep going, isn't it?
[00:30:38.320 --> 00:30:39.560]   Stop.
[00:30:39.560 --> 00:30:40.060]   All right.
[00:30:41.060 --> 00:30:43.020]   OK.
[00:30:43.020 --> 00:30:46.180]   Let's go back to this one.
[00:30:46.180 --> 00:30:46.820]   Yeah.
[00:30:46.820 --> 00:30:52.900]   So streaming, it's one of these things
[00:30:52.900 --> 00:30:55.780]   I get a bit confused about.
[00:30:55.780 --> 00:31:01.940]   It's as simple as calling messages.stream
[00:31:01.940 --> 00:31:04.740]   instead of messages.create.
[00:31:04.740 --> 00:31:07.540]   But the thing you get back is an iterator,
[00:31:07.540 --> 00:31:09.580]   which you have to yield.
[00:31:09.580 --> 00:31:12.060]   And then once it's finished doing that,
[00:31:12.060 --> 00:31:15.820]   it stores the final message in here.
[00:31:15.820 --> 00:31:17.900]   And that's also got the usage in it.
[00:31:17.900 --> 00:31:19.940]   So anyway, this is some little things
[00:31:19.940 --> 00:31:25.020]   which, without the framework, would be annoying.
[00:31:25.020 --> 00:31:28.020]   So with this little tiny framework, it's automatic.
[00:31:28.020 --> 00:31:30.400]   And you see this in the notebook in its final form, right?
[00:31:30.400 --> 00:31:34.020]   But this call method was first written without any streaming.
[00:31:34.020 --> 00:31:38.620]   Like, get it working on the regular case first.
[00:31:38.620 --> 00:31:39.860]   No prefill first.
[00:31:39.860 --> 00:31:41.660]   So then it's three lines.
[00:31:41.660 --> 00:31:43.020]   And then it's OK.
[00:31:43.020 --> 00:31:48.260]   The original version is that.
[00:31:48.260 --> 00:31:50.220]   Yeah.
[00:31:50.220 --> 00:31:52.140]   Yeah.
[00:31:52.140 --> 00:31:55.020]   And then we can test the stream function by itself
[00:31:55.020 --> 00:31:58.180]   and test it out with the smaller primitives first
[00:31:58.180 --> 00:32:00.980]   and then put it into a function that then finally
[00:32:00.980 --> 00:32:03.260]   gets integrated in.
[00:32:03.260 --> 00:32:04.580]   Yeah.
[00:32:04.580 --> 00:32:05.940]   Exactly.
[00:32:05.940 --> 00:32:10.220]   And this is like one of these little weird complexities
[00:32:10.220 --> 00:32:13.780]   of Python is--
[00:32:13.780 --> 00:32:15.060]   John was asking me yesterday.
[00:32:15.060 --> 00:32:18.500]   It's like, oh, we could just refactor this and move this
[00:32:18.500 --> 00:32:19.060]   into here.
[00:32:19.060 --> 00:32:21.260]   And then we don't need a whole separate method.
[00:32:21.260 --> 00:32:22.380]   But actually, we can't.
[00:32:22.380 --> 00:32:24.900]   As soon as there's a yield anywhere in a function,
[00:32:24.900 --> 00:32:26.460]   the function is no longer a function.
[00:32:26.460 --> 00:32:28.020]   And it's now a coroutine.
[00:32:28.020 --> 00:32:29.420]   And it behaves differently.
[00:32:29.420 --> 00:32:31.700]   So this is kind of a weird thing where
[00:32:31.700 --> 00:32:35.540]   you have to pull your yields out into separate methods.
[00:32:35.540 --> 00:32:37.700]   Yeah, it's a minor digression.
[00:32:37.700 --> 00:32:44.660]   So yeah, you can see it's nice that it's now
[00:32:44.660 --> 00:32:49.180]   tracking our usage across all these things.
[00:32:49.180 --> 00:32:54.100]   And we can add the two together, prefill and streaming.
[00:32:54.100 --> 00:32:55.740]   OK.
[00:32:55.740 --> 00:32:59.500]   Yeah, any questions or comments so far?
[00:32:59.500 --> 00:33:00.500]   Mm-hmm.
[00:33:00.500 --> 00:33:02.500]   Yeah.
[00:33:02.500 --> 00:33:06.300]   And is there a way to try to reset the counter if you wanted
[00:33:06.300 --> 00:33:10.020]   just to be able to start over at some point?
[00:33:10.020 --> 00:33:13.060]   I mean, the way I would do it was I would just
[00:33:13.060 --> 00:33:15.780]   create a new client, C equals client.
[00:33:15.780 --> 00:33:17.020]   OK.
[00:33:17.020 --> 00:33:22.260]   But you could certainly go C.use equals usage 0, 0.
[00:33:22.260 --> 00:33:25.540]   In fact, 0, 0 is the default. So actually, now I
[00:33:25.540 --> 00:33:28.540]   think about it, we could slightly improve our code
[00:33:28.540 --> 00:33:32.300]   to remove three characters, which
[00:33:32.300 --> 00:33:34.700]   would be a big benefit because we don't like characters.
[00:33:34.700 --> 00:33:36.460]   We could get rid of those.
[00:33:36.460 --> 00:33:39.460]   Well, there you go.
[00:33:39.460 --> 00:33:47.420]   So yeah, you could just say C.use equals usage.
[00:33:47.420 --> 00:33:54.580]   And in general, I think people don't
[00:33:54.580 --> 00:33:59.900]   do this manipulating the attributes of objects
[00:33:59.900 --> 00:34:01.420]   directly enough.
[00:34:01.420 --> 00:34:02.420]   Why not?
[00:34:02.420 --> 00:34:04.940]   You don't have to do everything through--
[00:34:04.940 --> 00:34:07.980]   people would often create some kind of set usage method
[00:34:07.980 --> 00:34:08.740]   or something.
[00:34:08.740 --> 00:34:09.860]   No, don't do that.
[00:34:09.860 --> 00:34:11.380]   Paranoid Java style that--
[00:34:11.380 --> 00:34:12.340]   Exactly.
[00:34:12.340 --> 00:34:14.460]   --emerged like a decade ago for some reason.
[00:34:14.460 --> 00:34:14.980]   Oh, more stuff.
[00:34:14.980 --> 00:34:15.660]   Speaking of--
[00:34:15.660 --> 00:34:17.020]   Yeah, oh, yeah?
[00:34:17.020 --> 00:34:18.740]   Yeah, it was longer.
[00:34:18.740 --> 00:34:22.180]   Speaking of directly manipulating
[00:34:22.180 --> 00:34:24.780]   properties of objects, so you showed
[00:34:24.780 --> 00:34:27.780]   how we can use prefill to predefine
[00:34:27.780 --> 00:34:30.500]   the beginning of the assistance response.
[00:34:30.500 --> 00:34:33.140]   If I've had a multi-turn exchange with an assistant,
[00:34:33.140 --> 00:34:35.940]   can I just go in there and clobber
[00:34:35.940 --> 00:34:38.220]   one of the earlier assistant messages
[00:34:38.220 --> 00:34:40.940]   to convince the assistant that it said something it didn't?
[00:34:40.940 --> 00:34:43.140]   Because sometimes that's actually useful.
[00:34:43.140 --> 00:34:48.660]   Yeah, because we don't have any state in our class, right?
[00:34:48.660 --> 00:34:49.180]   OK.
[00:34:49.180 --> 00:34:51.980]   So we're passing in--
[00:34:51.980 --> 00:34:58.140]   so here, we're passing in a single string, right?
[00:34:58.140 --> 00:35:02.740]   But we could absolutely pass in a list.
[00:35:02.740 --> 00:35:09.420]   So I said hi, and the model said hi to you too.
[00:35:09.420 --> 00:35:15.580]   OK.
[00:35:15.580 --> 00:35:16.740]   I am Plato.
[00:35:16.740 --> 00:35:23.940]   I am Socrates.
[00:35:23.940 --> 00:35:26.180]   OK.
[00:35:26.180 --> 00:35:29.340]   Tell me about yourself.
[00:35:29.340 --> 00:35:30.820]   I don't know what will happen here,
[00:35:30.820 --> 00:35:33.180]   but we're just convincing it that this is a conversation
[00:35:33.180 --> 00:35:34.740]   that it's occurred.
[00:35:34.740 --> 00:35:37.780]   So now Claude is probably going to be slightly confused
[00:35:37.780 --> 00:35:42.340]   by the fact that it reported itself not to be Claude.
[00:35:42.340 --> 00:35:44.540]   No, I mean, I don't-- we haven't set a system message
[00:35:44.540 --> 00:35:45.460]   to say it's Claude.
[00:35:45.460 --> 00:35:48.780]   So there you go.
[00:35:48.780 --> 00:35:50.100]   No, not at all confused.
[00:35:50.100 --> 00:35:53.500]   I am Socrates.
[00:35:53.500 --> 00:36:00.260]   So as I said, Claude's very happy to be told what it said,
[00:36:00.260 --> 00:36:02.060]   and it will go along with it.
[00:36:02.060 --> 00:36:03.060]   I'm very fond of Claude.
[00:36:03.060 --> 00:36:05.620]   Claude has good vibes.
[00:36:05.620 --> 00:36:16.420]   Oh, you may be surprised to hear that I am actually Australian.
[00:36:16.420 --> 00:36:21.900]   This is the point of the video where
[00:36:21.900 --> 00:36:24.540]   we get sidetracked and talk to Rupes for a good long time.
[00:36:24.540 --> 00:36:27.100]   [LAUGHTER]
[00:36:27.100 --> 00:36:32.300]   Oh, not very interesting.
[00:36:32.300 --> 00:36:33.260]   What do you say, mate?
[00:36:33.460 --> 00:36:35.460]   [LAUGHTER]
[00:36:35.460 --> 00:36:36.020]   Fair enough.
[00:36:36.020 --> 00:36:36.780]   OK.
[00:36:36.780 --> 00:36:38.980]   So yeah, you can tell it anything you like,
[00:36:38.980 --> 00:36:42.220]   is the conversation, because it's got no state.
[00:36:42.220 --> 00:36:44.300]   Now it's forgotten everything it's just said.
[00:36:44.300 --> 00:36:46.700]   The only thing it remembers is its use.
[00:36:46.700 --> 00:36:49.940]   So that's what we've done so far.
[00:36:49.940 --> 00:36:55.260]   So remembering-- oh, actually, so before we do that,
[00:36:55.260 --> 00:36:57.740]   we'll talk about tool use.
[00:36:57.740 --> 00:37:01.740]   So yeah, basically, I wanted to, before we
[00:37:01.740 --> 00:37:04.100]   got into multi-turn dialogue automatic stuff,
[00:37:04.100 --> 00:37:12.700]   I wanted to have the basic behavior that Anthropic's SDK
[00:37:12.700 --> 00:37:13.460]   provides.
[00:37:13.460 --> 00:37:17.580]   I wanted to have it conveniently wrapped.
[00:37:17.580 --> 00:37:24.580]   So tool use is officially still in beta,
[00:37:24.580 --> 00:37:27.860]   but I'm sure it won't be for long.
[00:37:27.860 --> 00:37:29.860]   Can I ask one more pre-tool use case
[00:37:29.860 --> 00:37:31.540]   that I think occurs to me right away?
[00:37:31.540 --> 00:37:33.220]   And so maybe it'll occur to other people
[00:37:33.220 --> 00:37:35.580]   if they're curious.
[00:37:35.580 --> 00:37:37.340]   One thing you often find yourself
[00:37:37.340 --> 00:37:39.380]   doing when you're experimenting with prompts
[00:37:39.380 --> 00:37:42.300]   is going through a lot of variations of the same thing.
[00:37:42.300 --> 00:37:43.980]   So you have your template, and then you
[00:37:43.980 --> 00:37:46.180]   want very different parts of it.
[00:37:46.180 --> 00:37:50.580]   And before you write code to churn out variations,
[00:37:50.580 --> 00:37:52.500]   you're usually doing it a bit ad hoc.
[00:37:52.500 --> 00:37:54.780]   So using this API the way it is now,
[00:37:54.780 --> 00:37:59.180]   if I had a client and a bit of an exchange already built up,
[00:37:59.180 --> 00:38:02.020]   and then I wanted to fork that and create five of them
[00:38:02.020 --> 00:38:04.700]   and then continue them in five different ways,
[00:38:04.700 --> 00:38:08.020]   can I just duplicate--
[00:38:08.020 --> 00:38:09.540]   would the right way to do that would
[00:38:09.540 --> 00:38:10.620]   be to duplicate the client?
[00:38:10.620 --> 00:38:12.080]   Would the right way to do that just
[00:38:12.080 --> 00:38:14.020]   to be to extract the list that represents
[00:38:14.020 --> 00:38:15.540]   the exchange and create new clients?
[00:38:15.540 --> 00:38:16.900]   I'm just getting a sense for what
[00:38:16.900 --> 00:38:19.460]   would be the fluid way of doing it with this API?
[00:38:19.460 --> 00:38:22.100]   Let's do it.
[00:38:22.100 --> 00:38:22.600]   OK.
[00:38:22.600 --> 00:38:23.100]   OK.
[00:38:23.100 --> 00:38:32.200]   OK.
[00:38:32.200 --> 00:38:38.880]   Options equals-- how do you spell Zimbabwean, Johnno?
[00:38:38.880 --> 00:38:40.360]   Zimbab--
[00:38:40.360 --> 00:38:41.480]   Yep.
[00:38:41.480 --> 00:38:44.560]   E-W-E, yep.
[00:38:44.560 --> 00:39:00.160]   Print contents-- oh, you know what?
[00:39:00.160 --> 00:39:02.360]   This is boring again, because I think we've gone back
[00:39:02.360 --> 00:39:04.560]   to our old model.
[00:39:04.560 --> 00:39:09.440]   C.model equals models 0.
[00:39:09.440 --> 00:39:12.240]   No wonder it's got so dull.
[00:39:12.240 --> 00:39:16.400]   Haiku is just really doesn't like pretending.
[00:39:16.400 --> 00:39:21.360]   Oh, come on.
[00:39:21.360 --> 00:39:22.200]   Look what it's doing.
[00:39:22.200 --> 00:39:37.240]   All right, anyway, Claude is being a total disappointment.
[00:39:37.240 --> 00:39:39.280]   So the fact that it's reasonable to do this just
[00:39:39.280 --> 00:39:42.600]   by slamming a new list into the C function
[00:39:42.600 --> 00:39:44.960]   is an indication of what you just said,
[00:39:44.960 --> 00:39:47.640]   which is that there's no state hiding inside the C function
[00:39:47.640 --> 00:39:49.880]   that we need to worry about mangling when we do that.
[00:39:49.880 --> 00:39:50.380]   That's right.
[00:39:50.380 --> 00:39:52.160]   There's no state at all.
[00:39:52.160 --> 00:39:54.240]   Got it.
[00:39:54.240 --> 00:39:56.160]   So when we recall it, it knows nothing
[00:39:56.160 --> 00:39:57.960]   about being Socrates whatsoever.
[00:39:57.960 --> 00:40:01.040]   Everyone is a totally independent REST call to a--
[00:40:01.040 --> 00:40:02.480]   there's no session ID.
[00:40:02.480 --> 00:40:07.680]   There's no nothing to tie these things together.
[00:40:07.680 --> 00:40:12.480]   All right, we probably just spent cents on that question.
[00:40:12.480 --> 00:40:19.480]   It's so funny, they're like a few dollars per million tokens
[00:40:19.480 --> 00:40:20.200]   or something.
[00:40:20.200 --> 00:40:22.200]   I look at this and like, whoa, all those tokens.
[00:40:22.200 --> 00:40:23.620]   I'm like, oh, yeah, it's probably
[00:40:23.620 --> 00:40:25.440]   like $0.01 or something less.
[00:40:25.440 --> 00:40:27.680]   I've got to get used to not being too scared.
[00:40:27.680 --> 00:40:37.920]   OK, so tool use refers to things like this,
