
[00:00:00.000 --> 00:00:27.000]   I don't know.
[00:48:25.000 --> 00:48:29.000]   And this is called.
[00:48:29.000 --> 00:48:36.000]   Replicate first. No, it's called reduce first.
[00:48:36.000 --> 00:49:05.000]   Oh, my daughter wants me again. Sorry.
[00:49:05.000 --> 00:49:07.000]   All right.
[00:49:07.000 --> 00:49:19.000]   So if you do the sum plus slash, and a matrix versus this one, one will some column wise and one will some row wise.
[00:49:19.000 --> 00:49:21.000]   Okay.
[00:49:21.000 --> 00:49:33.000]   Cool.
[00:49:33.000 --> 00:49:51.000]   And we had a matrix ready to go then.
[00:49:51.000 --> 00:49:58.000]   Okay. And is that literally all it does.
[00:49:58.000 --> 00:50:03.000]   This is okay. So in J.
[00:50:03.000 --> 00:50:21.000]   J has a rank operator, which is actually the double quote sign, where basically you can just always say what access you want to use so that would be reduced over, over the zero axis, and that would be reduced over the one axis.
[00:50:21.000 --> 00:50:32.000]   But I'm not sure if you can do anything quite the same.
[00:50:32.000 --> 00:50:41.000]   There is a thing called rank.
[00:50:41.000 --> 00:50:45.000]   Maybe we should see how this is different.
[00:50:45.000 --> 00:50:51.000]   What's this one here,
[00:50:51.000 --> 00:50:53.000]   which is called.
[00:50:53.000 --> 00:50:57.000]   I assume.
[00:50:57.000 --> 00:51:00.000]   J.
[00:51:00.000 --> 00:51:03.000]   J.
[00:51:03.000 --> 00:51:08.000]   Shift J.
[00:51:08.000 --> 00:51:14.000]   Classic edition.
[00:51:14.000 --> 00:51:19.000]   I have the same like
[00:51:19.000 --> 00:51:25.000]   usual information.
[00:51:25.000 --> 00:51:37.000]   Anyway, it's called rank.
[00:51:37.000 --> 00:51:46.000]   I already forgot what letter I said.
[00:51:46.000 --> 00:51:53.000]   I guess this is called dot diuresis. I didn't see a thing for it.
[00:51:53.000 --> 00:51:56.000]   On attic.
[00:51:56.000 --> 00:52:01.000]   Rank.
[00:52:01.000 --> 00:52:13.000]   And if I say.
[00:52:13.000 --> 00:52:19.000]   Do it over this access.
[00:52:19.000 --> 00:52:26.000]   Well, that sure didn't work.
[00:52:26.000 --> 00:52:30.000]   Oh,
[00:52:30.000 --> 00:52:34.000]   that might be this.
[00:52:34.000 --> 00:52:37.000]   Hey, look, it is the same.
[00:52:37.000 --> 00:52:40.000]   So,
[00:52:40.000 --> 00:52:42.000]   wait, no, that's the same as some.
[00:52:42.000 --> 00:52:51.000]   And what if we put a zero.
[00:52:51.000 --> 00:52:55.000]   Okay, I don't know what I'm doing.
[00:52:55.000 --> 00:53:05.000]   Let's come back to that one and make sure we okay so it sounds like slash bar there's not much to learn, which is it's just the same as slash.
[00:53:05.000 --> 00:53:10.000]   But it does it over a different axis.
[00:53:10.000 --> 00:53:26.000]   I assume is going to be the same for backslash bar.
[00:53:26.000 --> 00:53:35.000]   Except they didn't call it backslash they called it slope.
[00:53:35.000 --> 00:53:42.000]   And that's probably going to be back tick backslash I'm guessing.
[00:53:42.000 --> 00:53:52.000]   Nope, it's not right. Okay, so we can, we can specify the axis of plus slash. Yep.
[00:53:52.000 --> 00:53:58.000]   By adding like bracket one, right after the operator.
[00:53:58.000 --> 00:54:03.000]   I believe, and then bracket.
[00:54:03.000 --> 00:54:11.000]   No square brackets, immediately after the operator, so just like that.
[00:54:11.000 --> 00:54:15.000]   Okay, so does that apply for like the cease.
[00:54:15.000 --> 00:54:21.000]   Does that apply for like everything or is that just this particular.
[00:54:21.000 --> 00:54:24.000]   I feel like I've seen that mentioned in the docs.
[00:54:24.000 --> 00:54:27.000]   Yeah, it's called a function access.
[00:54:27.000 --> 00:54:32.000]   Like operators like to you can you put it on all functions or.
[00:54:32.000 --> 00:54:35.000]   I think it's all functions.
[00:54:35.000 --> 00:54:49.000]   Okay, so why on earth do we need slash bar access access.
[00:54:49.000 --> 00:55:01.000]   This is what I'm looking at here.
[00:55:01.000 --> 00:55:20.000]   This must be a monadic primitive mixed function taken from these or function. Okay, I can't apply to many things. It's just slash or slope for these.
[00:55:20.000 --> 00:55:27.000]   There's a bunch of
[00:55:27.000 --> 00:55:37.000]   And then you've also got access with diet a copper and
[00:55:37.000 --> 00:55:41.000]   it must be a dyadic primitive scalar function.
[00:55:41.000 --> 00:55:47.000]   Oh, well, that's good. So any dyadic scalar function primitives go.
[00:55:47.000 --> 00:55:55.000]   Or mixed function which I see means one with an operator where they've used one of these. Okay, so actually does sound like you can do a lot of things with it.
[00:55:55.000 --> 00:56:03.000]   That's good. Yeah, there's a, there's a wiki I put on the chat about the function access specifically and kind of covers both.
[00:56:03.000 --> 00:56:18.000]   I think it's kind of a combination of these two. Okay, cool. I see a few other people have missed them all chat by the way, is there anything we wanted to talk about or ask about anybody wants to speak up.
[00:56:18.000 --> 00:56:24.000]   Function access.
[00:56:24.000 --> 00:56:32.000]   Mine was was not specifically related to the content we were discussing so didn't want to bring it up. Oh, please do.
[00:56:32.000 --> 00:56:42.000]   We're so like not at all focused Molly, as you'll see. This is just like, yeah, hanging out chatting about whatever seems interesting.
[00:56:42.000 --> 00:56:55.000]   This formula is definitely interesting. Oh yeah so I came first I first came across dealers formula in a paper that I was reading on positional embeddings.
[00:56:55.000 --> 00:57:03.000]   So, I had no idea what it was. I actually use this to figure out the fundamentals I was missing.
[00:57:03.000 --> 00:57:08.000]   Yeah, it was rotational positional embeddings what it was called. Okay.
[00:57:08.000 --> 00:57:25.000]   So, for those of you who are interested in transformer models. There's like literally no sense of like the order of things in a vector. And so it's like literally impossible for it to learn anything that requires order and language is ordered.
[00:57:25.000 --> 00:57:30.000]   So we use these things called positional embeddings.
[00:57:30.000 --> 00:57:32.000]   This rotary position.
[00:57:32.000 --> 00:57:36.000]   It's been a while.
[00:57:36.000 --> 00:57:45.000]   Yes, that's it. And then there's a proof. Yeah, this was the actual proof I was going through, trying to figure out what they were talking about.
[00:57:45.000 --> 00:57:48.000]   All right.
[00:57:48.000 --> 00:57:49.000]   Yeah.
[00:57:49.000 --> 00:57:56.000]   And then I was missing a lot of the fundamentals so I just go down to where they're doing the actual proof.
[00:57:56.000 --> 00:58:14.000]   And then you can just click on the whatever you do not understand, like the proof for what you don't understand. So if you don't understand complex cosine, like how they're able to get the complex cosine function like infinite you don't find yourself clicking.
[00:58:14.000 --> 00:58:18.000]   Come back to where you started.
[00:58:18.000 --> 00:58:22.000]   Somewhere that can happen.
[00:58:22.000 --> 00:58:24.000]   But yeah.
[00:58:24.000 --> 00:58:34.000]   And then I just start looking up the various things they're talking about here until I understand it. So, okay, that's cool.
[00:58:34.000 --> 00:58:40.000]   It's just one way I was able to understand papers, like the math behind papers and stuff.
[00:58:40.000 --> 00:58:42.000]   Thanks.
[00:58:42.000 --> 00:58:45.000]   That's great.
[00:58:45.000 --> 00:58:52.000]   Okay, we might stop now and
[00:58:52.000 --> 00:59:08.000]   probably talk about access next time.
[00:59:08.000 --> 00:59:20.000]   Access.
[00:59:20.000 --> 00:59:27.000]   Something's going to be there, put a number.
[00:59:27.000 --> 00:59:32.000]   We can do that next time.
[00:59:32.000 --> 00:59:34.000]   That's going to be super handy.
[00:59:34.000 --> 00:59:35.000]   All right.
[00:59:35.000 --> 00:59:38.000]   Thanks everybody.
[00:59:38.000 --> 00:59:40.000]   See you next time.
[00:59:40.000 --> 00:59:42.000]   Bye.
[00:59:42.000 --> 00:59:52.000]   [BLANK_AUDIO]

