
[00:00:00.000 --> 00:00:02.000]   Alright welcome back
[00:29:02.080 --> 00:29:06.580]   Quite a bit better than the next best thing which was coupler system to
[00:29:07.700 --> 00:29:15.880]   Way better than the next best thing. All right, and coupler system went from being like quite a bit more important than the next two
[00:29:15.880 --> 00:29:17.540]   to
[00:29:17.540 --> 00:29:24.660]   Equally important to the next two so it did seem to definitely change these feature importances and hopefully give me some more insight there
[00:29:24.660 --> 00:29:31.820]   So
[00:29:31.820 --> 00:29:37.660]   How does that help our model in general like what does it mean that you're made is now way ahead of the others
[00:29:37.660 --> 00:29:41.860]   Yeah, so we're gonna dig into that kind of now, but basically
[00:29:41.860 --> 00:29:44.620]   It tells us
[00:29:44.620 --> 00:29:52.620]   That for example if we're looking for like how we're dealing with missing values is there noise in the data
[00:29:52.620 --> 00:30:00.180]   You know if it's a high cardinality categorical variable, they're all different steps we would take so for example
[00:30:00.180 --> 00:30:05.960]   If it was a high cardinality categorical variable that was originally a string, right like for example
[00:30:05.960 --> 00:30:10.640]   I think like maybe fi product class description. I remember one of the
[00:30:10.640 --> 00:30:16.460]   Ones we looked at the other day had like first of all was the type of vehicle and then a hyphen and then like the
[00:30:16.460 --> 00:30:20.420]   Size of the vehicle we might look at that and be like, okay. Well, that was an important column
[00:30:20.420 --> 00:30:26.340]   Let's try like splitting it into two on hyphen and then take that bit which is like the size of it and trying
[00:30:26.340 --> 00:30:29.780]   You know pass it and convert convert it into an integer, you know
[00:30:29.780 --> 00:30:33.820]   We can try and do some feature engineering and basically until you know, which ones are important
[00:30:33.820 --> 00:30:37.700]   You don't know where to focus that feature engineering time
[00:30:37.700 --> 00:30:41.620]   You can talk to your client, you know and say, you know
[00:30:41.620 --> 00:30:47.340]   or you know and if you're doing this inside your workplace you go and talk to the folks that like
[00:30:47.340 --> 00:30:49.700]   We're responsible for creating this data
[00:30:49.700 --> 00:30:52.380]   so in this if you were actually working at a
[00:30:52.900 --> 00:31:01.540]   Bulldozer auction company, you might now go to the actual auctioneers and say I'm really surprised that coupler system seems to be driving people's
[00:31:01.540 --> 00:31:07.380]   Pricing decisions so much. Why do you think that might be and they can say to you? Oh, it's actually because
[00:31:07.380 --> 00:31:13.940]   Only these classes of vehicles have coupler systems or only this manufacturer has coupler systems
[00:31:13.940 --> 00:31:21.060]   And so frankly, this is actually not telling you about coupler systems, but about something else and oh, hey that reminds me
[00:31:21.060 --> 00:31:26.260]   That's that that's something else. We actually have measured that it's in this different CSV file
[00:31:26.260 --> 00:31:30.620]   I'll go get it for you. So it kind of helps you focus your attention
[00:31:30.620 --> 00:31:38.400]   So I had a fun little problem this weekend as you know, I introduced a couple of
[00:31:38.400 --> 00:31:40.980]   crazy computations in
[00:31:40.980 --> 00:31:44.340]   Into my random forest and all of a sudden they're like, oh my god
[00:31:44.340 --> 00:31:49.220]   These are the most important variables ever squashing all of the others, but then I got a terrible score
[00:31:49.460 --> 00:31:51.460]   And then is that because?
[00:31:51.460 --> 00:31:55.420]   Now that I think I have my scores computed correctly
[00:31:55.420 --> 00:32:00.480]   What I noticed is that the importance went through the roof, but the validation set
[00:32:00.480 --> 00:32:08.220]   Was still bad or got worse is that because somehow that computation allowed the training
[00:32:08.220 --> 00:32:15.940]   to almost like an identifier map exactly what the answer was going to be for training, but of course that doesn't
[00:32:17.500 --> 00:32:20.220]   Generalize to the validation set. Is that what I is that what I observed
[00:32:20.220 --> 00:32:25.940]   Okay, so there's there's two reasons why your validation score
[00:32:25.940 --> 00:32:28.940]   Might not be very good
[00:32:28.940 --> 00:32:34.300]   Let's go up here
[00:32:34.300 --> 00:32:40.780]   Okay, so we get these five numbers right the
[00:32:42.340 --> 00:32:49.860]   RMSE of the training validation R squared of the training validation and the R squared of the ORB
[00:32:49.860 --> 00:32:58.300]   Okay, so there's two reasons and really in the end what we care about like for this Kaggle competition is the RMSE of the validation
[00:32:58.300 --> 00:33:06.180]   Set assuming we've created a good validation set. So in Terrence's case. He's saying this number is this thing I care about
[00:33:06.180 --> 00:33:10.660]   Got worse when I did some feature engineering. Why is that?
[00:33:11.140 --> 00:33:12.300]   Okay
[00:33:12.300 --> 00:33:14.300]   There's two possible reasons
[00:33:14.300 --> 00:33:19.140]   Reason one is that you're overfitting if you're overfitting
[00:33:19.140 --> 00:33:21.780]   Then your OOB
[00:33:21.780 --> 00:33:24.100]   Will also get worse
[00:33:24.100 --> 00:33:31.660]   If you're doing a huge data set with a small set RF sample, so you can't use an OOB then instead
[00:33:31.660 --> 00:33:35.620]   Create a second validation set which is a random sample
[00:33:36.340 --> 00:33:43.680]   okay, and and do that right so in other words if you're OOB or your random sample validation set is
[00:33:43.680 --> 00:33:47.980]   Has got much worse than you must be overfitting
[00:33:47.980 --> 00:33:56.180]   I think in your case Terrence, it's unlikely. That's the problem because random forests
[00:33:56.180 --> 00:34:02.820]   Don't overfit that badly like it's very hard to get them to overfit that badly
[00:34:03.220 --> 00:34:10.620]   Unless you use some really weird parameters like only one estimator for example like once you've got ten trees in there
[00:34:10.620 --> 00:34:13.540]   There should be enough variation that you're you know
[00:34:13.540 --> 00:34:19.060]   You can definitely overfit but not so much that you're going to destroy your validation score by adding a variable
[00:34:19.060 --> 00:34:22.120]   So I think you'll find that's probably not the case
[00:34:22.120 --> 00:34:24.720]   But it's easy to check and if it's not the case
[00:34:24.720 --> 00:34:30.780]   Then you'll see that your OOB score or your random sample validation score hasn't got worse. Okay
[00:34:31.300 --> 00:34:37.020]   So the second reason your validation score can get worse if your OOB score hasn't got worse
[00:34:37.020 --> 00:34:40.380]   You're not overfitting, but your validation score has got worse
[00:34:40.380 --> 00:34:47.940]   That means you're you're doing something that is true in the training set but not true in the validation set
[00:34:47.940 --> 00:34:54.740]   So this can only happen when your validation set is not a random sample
[00:34:54.740 --> 00:35:00.020]   So for example in this bulldozers competition or in the grocery shopping competition
[00:35:00.020 --> 00:35:06.620]   We've intentionally made a validation set that's for a different date range. It's for the most recent two weeks, right?
[00:35:06.620 --> 00:35:12.860]   And so if something different happened in the last two weeks to the previous weeks
[00:35:12.860 --> 00:35:15.460]   then
[00:35:15.460 --> 00:35:17.340]   You could totally
[00:35:17.340 --> 00:35:19.900]   Break your validation set. So for example
[00:35:19.900 --> 00:35:23.820]   If there was some kind of unique identifier
[00:35:23.820 --> 00:35:26.780]   which is like
[00:35:28.340 --> 00:35:34.220]   Different in the two date periods then you could learn to identify things using that identifier in the training set
[00:35:34.220 --> 00:35:38.900]   But then like the last two weeks may have a totally different set of IDs for the different set of behavior
[00:35:38.900 --> 00:35:41.580]   Could get a lot worse
[00:35:41.580 --> 00:35:46.060]   Yeah, what you're describing is not common though
[00:35:46.060 --> 00:35:49.980]   And so I'm a bit skeptical. It might be a bug
[00:35:49.980 --> 00:35:52.620]   but
[00:35:52.620 --> 00:35:54.460]   Hopefully there's enough
[00:35:54.460 --> 00:35:58.580]   Things you can now use to figure out if it is about we'll be interested to hear what you learn
[00:35:58.580 --> 00:36:02.620]   Okay
[00:36:02.620 --> 00:36:05.860]   so that's that's feature importance and so
[00:36:05.860 --> 00:36:08.980]   I'd like to compare that to
[00:36:08.980 --> 00:36:12.340]   How feature importance is
[00:36:12.340 --> 00:36:15.220]   normally done in
[00:36:15.220 --> 00:36:17.380]   industry and in
[00:36:17.380 --> 00:36:21.060]   academic communities outside of machine learning like in psychology and
[00:36:21.220 --> 00:36:26.060]   Economics and so forth and generally speaking people in those kind of environments tend to use
[00:36:26.060 --> 00:36:30.620]   Some kind of linear regression logistic regression general linear models
[00:36:30.620 --> 00:36:35.900]   So they start with their data set and they basically say that was weird
[00:36:35.900 --> 00:36:41.760]   Oh, okay, so they start with their data set
[00:36:41.760 --> 00:36:45.380]   And they say I'm going to assume that I know
[00:36:46.060 --> 00:36:52.020]   The kind of parametric relationship between my independent variables and my dependent variable
[00:36:52.020 --> 00:36:57.100]   so I'm going to assume that it's a linear relationship say or it's a linear relationship with a
[00:36:57.100 --> 00:36:59.700]   link function like a sigmoid
[00:36:59.700 --> 00:37:06.740]   Listic logistic regression say and so assuming that I already know that I can now write this as an equation
[00:37:06.740 --> 00:37:13.380]   So if we've got like x 1 x 2 so forth, right? I can say all right my y values are equal to
[00:37:14.340 --> 00:37:17.300]   a x 1 plus b x 2
[00:37:17.300 --> 00:37:24.860]   Equals y and therefore I can find out the feature importance easily enough by just looking at these
[00:37:24.860 --> 00:37:31.540]   Coefficients and saying like which one's the highest but it particularly if you've normalized the data first, right? So
[00:37:31.540 --> 00:37:39.620]   There's this kind of trope out there. It's it's very common which is that like this is somehow
[00:37:41.460 --> 00:37:47.020]   More accurate or more pure or in some way better way of doing feature importance
[00:37:47.020 --> 00:37:55.380]   But that couldn't be further from the truth, right? If you think about it if you were like if you were missing an interaction
[00:37:55.380 --> 00:37:59.420]   Right, or if you were missing a transformation you needed
[00:37:59.420 --> 00:38:02.220]   or if you've anyway
[00:38:02.220 --> 00:38:07.420]   Been anything less than a hundred percent perfect in all of your pre-processing
[00:38:07.940 --> 00:38:14.460]   So that your model is the absolute correct truth of this situation, right? Unless you've got all of that correct
[00:38:14.460 --> 00:38:20.680]   Then your coefficients are wrong, right? Your coefficients are telling you in your totally wrong model
[00:38:20.680 --> 00:38:25.020]   This is how important those things are right, which is basically meaningless
[00:38:25.020 --> 00:38:32.620]   So we're also the random forest feature importance. It's telling you in this extremely
[00:38:33.540 --> 00:38:40.060]   High parameter highly flexible functional form with few if any statistical assumptions. This is your feature importance
[00:38:40.060 --> 00:38:42.980]   right
[00:38:42.980 --> 00:38:46.260]   So I would be very cautious, you know and and again
[00:38:46.260 --> 00:38:50.780]   I can't stress this enough when you when you leave m San when you leave this program
[00:38:50.780 --> 00:38:55.260]   You are much more often going to see people talk about logistic regression coefficients
[00:38:55.260 --> 00:38:58.260]   Then you're going to see them talk about random forest variable importance
[00:38:58.260 --> 00:39:00.180]   And every time you see that happen
[00:39:00.180 --> 00:39:05.980]   You should be very very very skeptical of what you're seeing any time you read a paper in economics or in psychology
[00:39:05.980 --> 00:39:09.380]   Or the marketing department tells you they did this regression or whatever
[00:39:09.380 --> 00:39:15.100]   every single time those coefficients are going to be massively biased by
[00:39:15.100 --> 00:39:17.620]   any issues in the model
[00:39:17.620 --> 00:39:21.220]   Furthermore
[00:39:21.220 --> 00:39:25.940]   If they've done so much pre-processing that actually the model is pretty accurate
[00:39:25.940 --> 00:39:29.580]   Then now you're looking at coefficients that are going to be of like
[00:39:30.180 --> 00:39:35.300]   a coefficient of some principal component from a PCA or a coefficient of some
[00:39:35.300 --> 00:39:40.700]   Distance from some cluster or something at which point they're very very hard to interpret anyway
[00:39:40.700 --> 00:39:44.260]   They're not actual variables, right? So they're kind of the two options
[00:39:44.260 --> 00:39:51.860]   I've seen when people try to use classic statistical techniques to do a cover a variable importance equivalent
[00:39:51.860 --> 00:39:56.820]   I think things are starting to change
[00:39:58.580 --> 00:40:03.980]   Slowly, you know, there are there are some fields that are starting to realize that this is totally the wrong way to do things
[00:40:03.980 --> 00:40:05.780]   but it's been
[00:40:05.780 --> 00:40:13.020]   You know nearly 20 years since random forests appeared so it takes a long time, you know people say that the only way that
[00:40:13.020 --> 00:40:20.380]   Knowledge really advances is when the previous generation dies and that's kind of true, right? Like particularly academics
[00:40:20.380 --> 00:40:23.820]   you know, they make a career of being good at a particular sub thing and
[00:40:25.260 --> 00:40:32.180]   You know often don't it, you know, it's not until the next generation comes along that that people notice that
[00:40:32.180 --> 00:40:36.120]   Oh, that's actually no longer a good way to do things. I think that's what's happened here
[00:40:36.120 --> 00:40:40.620]   Okay, so
[00:40:40.620 --> 00:40:45.380]   We've got now a model which isn't really any better as a predictive accuracy wise
[00:40:45.380 --> 00:40:51.380]   But it's kind of we're getting a good sense that there seems to be like four main important things
[00:40:52.060 --> 00:40:59.360]   When it was made the capital system its size and its product classification. Okay, so that's cool
[00:40:59.360 --> 00:41:07.100]   There is something else that we can do however, which is we can do something called one hot encoding
[00:41:07.100 --> 00:41:14.900]   So this is kind of where we're talking about categorical variables. So remember a categorical variable. Let's say we had like
[00:41:14.900 --> 00:41:19.220]   A string hi
[00:41:20.900 --> 00:41:27.980]   And remember the order we got was kind of back weird. It was high low medium. So it was in alphabetical order by default
[00:41:27.980 --> 00:41:35.020]   Right. Was there our original category for like usage band or something? And so we mapped it to 0
[00:41:35.020 --> 00:41:37.140]   1
[00:41:37.140 --> 00:41:41.740]   2 right and so by the time it gets into our data frame, it's now a number
[00:41:41.740 --> 00:41:48.260]   So the random forest doesn't know that it was originally a category. It's just a number
[00:41:48.260 --> 00:41:52.220]   Right. So when the random forest is built it basically says, oh is it?
[00:41:52.220 --> 00:41:59.580]   Greater than one or not or is it greater than not or not, you know, basically the two possible decisions it could have made
[00:41:59.580 --> 00:42:05.820]   For
[00:42:05.820 --> 00:42:10.260]   For something with like five or six bands, you know
[00:42:10.260 --> 00:42:15.380]   It could be that just one of the levels of a category is actually interesting
[00:42:15.380 --> 00:42:18.300]   Right. So like if it was like very high
[00:42:18.300 --> 00:42:21.820]   Very low
[00:42:21.820 --> 00:42:24.460]   Or or unknown
[00:42:24.460 --> 00:42:28.620]   Right, then we've know about like six levels and maybe
[00:42:28.620 --> 00:42:34.900]   The only thing that mattered was whether it was like unknown maybe like not knowing its size somehow impacts the price
[00:42:34.900 --> 00:42:42.100]   and so if we wanted to be able to recognize that and particularly if like it just so happened that the way that the
[00:42:42.100 --> 00:42:45.100]   Numbers were coded was it unknown ended up in the middle?
[00:42:45.980 --> 00:42:47.980]   right
[00:42:47.980 --> 00:42:50.820]   Then what it's going to do is it's going to say okay
[00:42:50.820 --> 00:42:56.040]   There is a difference between these two groups, you know less than or equal to two versus greater than two
[00:42:56.040 --> 00:43:00.380]   And then when it gets into this this leaf here, it's going to say
[00:43:00.380 --> 00:43:06.620]   Oh, there's a difference between these two between less than four and greater than or equal to four and so it's going to take two
[00:43:06.620 --> 00:43:12.340]   Splits to get to the point where we can see that it's actually unknown that matters
[00:43:13.180 --> 00:43:15.020]   So this is a little
[00:43:15.020 --> 00:43:21.500]   Inefficient and we're kind of like wasting tree computation and like wasting tree computation matters because every time we do a split
[00:43:21.500 --> 00:43:25.860]   We're halving the amount of data at least that we have to do more analysis
[00:43:25.860 --> 00:43:30.780]   so it's going to make our tree less rich less effective if we're
[00:43:30.780 --> 00:43:36.280]   Not giving the data in a way that's kind of convenient for it to do the work. It needs to do
[00:43:36.280 --> 00:43:39.780]   so what we could do instead is
[00:43:42.260 --> 00:43:43.580]   create
[00:43:43.580 --> 00:43:45.580]   six columns
[00:43:45.580 --> 00:43:51.700]   We could create a column called is very high is very low is high is
[00:43:51.700 --> 00:43:59.780]   Unknown is low is medium and each one would be ones and zeros, right? It's either one or zero
[00:43:59.780 --> 00:44:06.740]   So we had six columns this one moment
[00:44:08.940 --> 00:44:13.020]   So having added six additional columns to our data set
[00:44:13.020 --> 00:44:15.740]   the random forest
[00:44:15.740 --> 00:44:21.780]   Now has the ability to pick one of these and say like oh, let's have a look at is unknown
[00:44:21.780 --> 00:44:26.360]   There's one possible split I can do which is one versus zero. Let's see if that's any good
[00:44:26.360 --> 00:44:33.320]   right, so it actually now has the ability in a single step to pull out a single category level and so
[00:44:34.820 --> 00:44:39.460]   This this kind of coding is called one hot
[00:44:39.460 --> 00:44:42.060]   encoding and
[00:44:42.060 --> 00:44:46.820]   for many many types of machine learning model, this is like
[00:44:46.820 --> 00:44:52.740]   Necessary something like this is necessary like if you're doing logistic regression
[00:44:52.740 --> 00:44:56.620]   You can't possibly put in a categorical variable that goes north through five
[00:44:56.620 --> 00:45:03.060]   Because there's obviously no linear relationship between that and anything right so one hot encoding a
[00:45:03.740 --> 00:45:08.520]   Lot of people incorrectly assume that all machine learning requires one hot encoding
[00:45:08.520 --> 00:45:16.020]   But in this case, I'm going to show you how we could use it optionally and see whether it might improve things sometimes. Yeah
[00:45:16.020 --> 00:45:24.560]   Hi, Jeremy. So if we have six categories like in this case, would there be any problems with adding a column for each of the
[00:45:24.560 --> 00:45:30.260]   Categories, oh because in linear regression we so we had to do it like if there's six categories
[00:45:30.260 --> 00:45:33.020]   We should only do it for five of them. Yeah, so um
[00:45:33.020 --> 00:45:42.620]   It you certainly can say oh, let's not worry about adding is medium because we can infer it from the other five
[00:45:42.620 --> 00:45:47.180]   I would say include it anyway
[00:45:47.180 --> 00:45:49.940]   because like
[00:45:49.940 --> 00:45:53.180]   rather than the otherwise the random forest would have to say is
[00:45:53.180 --> 00:45:58.280]   Very high. No is very low. No is high. No is unknown. No is low
[00:45:58.280 --> 00:46:03.660]   No, okay, and finally I'm there right so it's like five decisions to get to that point. So
[00:46:03.660 --> 00:46:06.460]   the reason in
[00:46:06.460 --> 00:46:14.140]   Linear models that you you need to not include one is because linear models hate co-linearity
[00:46:14.140 --> 00:46:17.020]   But we don't care about about that here
[00:46:17.020 --> 00:46:25.700]   So we can do one hot encoding easily enough and the way we do it is we pass
[00:46:27.780 --> 00:46:31.940]   One extra parameter to procte F. Which is what's the max?
[00:46:31.940 --> 00:46:35.420]   Number of
[00:46:35.420 --> 00:46:40.340]   Categories right so if we say it's seven then anything with
[00:46:40.340 --> 00:46:47.180]   Less than seven levels is going to be turned into one hot encoded bunch of columns
[00:46:47.180 --> 00:46:50.660]   Right so in this case this has got six levels
[00:46:50.660 --> 00:46:55.480]   So this would be one hot encoded where else like zip code has more than six levels
[00:46:55.480 --> 00:46:57.480]   And so that would be left as a number
[00:46:57.480 --> 00:47:02.140]   And so generally speaking you obviously probably wouldn't want a one hot encode
[00:47:02.140 --> 00:47:09.200]   Zip code right because that's just going to create masses of data memory problems computation problems and so forth, right?
[00:47:09.200 --> 00:47:13.920]   So so this is like another parameter that you can play around with so
[00:47:13.920 --> 00:47:16.640]   if I do that
[00:47:16.640 --> 00:47:22.600]   Try it out run the random forest as per usual you can see what happens to the
[00:47:23.440 --> 00:47:29.280]   R squared of the validation set and to the RMSE of the validation set and in this case
[00:47:29.280 --> 00:47:31.280]   I found it got a little bit worse
[00:47:31.280 --> 00:47:35.980]   This isn't always the case, and it's going to depend on your data set
[00:47:35.980 --> 00:47:41.320]   You know do you have a data set where you know single categories tend to be quite important?
[00:47:41.320 --> 00:47:47.740]   Or not in this particular case it didn't make it more predictive however
[00:47:48.620 --> 00:47:52.960]   What it did do is that we now have different features, right?
[00:47:52.960 --> 00:47:58.160]   so the procte F puts the name of the variable and then an underscore and then the level name and
[00:47:58.160 --> 00:48:05.020]   So interestingly it turns out that where else before it said that enclosure
[00:48:05.020 --> 00:48:07.720]   was somewhat important
[00:48:07.720 --> 00:48:15.840]   When we do it as one hot encoded it actually says enclosure E rots with a C is the most important thing
[00:48:16.760 --> 00:48:22.900]   So for at least the purpose of like interpreting your model. You should always try
[00:48:22.900 --> 00:48:25.780]   One hot encoding you know
[00:48:25.780 --> 00:48:31.240]   Quite a few of your variables, and so I often find somewhere around six or seven is pretty good
[00:48:31.240 --> 00:48:35.800]   You can try like making that number as high as you can
[00:48:35.800 --> 00:48:42.040]   so that it doesn't take forever to compute and the feature importance doesn't include like
[00:48:43.480 --> 00:48:48.040]   Really tiny levels that aren't interesting, so that's kind of up to you to play it play around with
[00:48:48.040 --> 00:48:56.340]   But in this case like this is actually I found this very interesting it clearly tells me I need to find out
[00:48:56.340 --> 00:49:04.180]   What enclosure E rops with a C is why is it important because like it means nothing to me
[00:49:04.180 --> 00:49:10.200]   Right and but it's in the most important thing, so I should go figure that out so that I had a question
[00:49:10.200 --> 00:49:12.840]   plus that
[00:49:12.840 --> 00:49:14.840]   so
[00:49:14.840 --> 00:49:18.120]   Can you explain how?
[00:49:18.120 --> 00:49:23.000]   Changing the max number of categories works because for me it just seems like there's five categories your side categories
[00:49:23.000 --> 00:49:25.240]   Oh, yeah, sorry, so it's it's just like
[00:49:25.240 --> 00:49:35.440]   All it's doing is saying like okay. Here's a column called zip code. Here's a column called usage band and
[00:49:37.680 --> 00:49:44.480]   Here's a column sex right. I don't know whatever right and so like zip code has whatever
[00:49:44.480 --> 00:49:49.400]   5000 levels the number of levels in a category we call its
[00:49:49.400 --> 00:49:52.160]   cardinality
[00:49:52.160 --> 00:49:53.720]   Okay
[00:49:53.720 --> 00:50:00.620]   So it has a cardinality of 5000 usage band maybe has a cardinality of six sex has maybe a cardinality of two
[00:50:01.160 --> 00:50:08.780]   So when Procte F goes through and says, okay, this is a categorical variable should I one hot encode it?
[00:50:08.780 --> 00:50:16.120]   It checks the cardinality against max and cats and says all 5,000 is bigger than seven
[00:50:16.120 --> 00:50:22.260]   So I don't one hot encode it and then it goes to usage band six is less than seven
[00:50:22.260 --> 00:50:27.140]   I do one hot encode it goes to six two is less than seven. I do one thing code it
[00:50:27.140 --> 00:50:29.140]   So it just says for each variable
[00:50:30.000 --> 00:50:34.000]   How do I decide whether the one hot encoded or not in Procte F?
[00:50:34.000 --> 00:50:36.600]   We are keeping both label encodes and one
[00:50:36.600 --> 00:50:42.520]   No, once we decide to one hot encode it does not keep the original variable
[00:50:42.520 --> 00:50:49.560]   Maybe the best
[00:50:49.560 --> 00:50:59.640]   Well, you don't need a labeling code if the if so if the best is an interval it can approximate that with multiple one
[00:50:59.640 --> 00:51:01.640]   hot encoding levels
[00:51:01.640 --> 00:51:05.080]   Yeah, so like, you know, it's a
[00:51:05.080 --> 00:51:10.080]   The the truth is that each column is going to have some
[00:51:10.080 --> 00:51:17.800]   You know different, you know, should it be label encoded or not, you know, which you could make on a case-by-case basis
[00:51:17.800 --> 00:51:19.800]   I find in practice
[00:51:19.800 --> 00:51:27.640]   It's just not that sensitive to this and so I find like just using a single number for the whole data set
[00:51:27.960 --> 00:51:29.760]   Gives me what I need
[00:51:29.760 --> 00:51:31.760]   but you know if you were
[00:51:31.760 --> 00:51:37.160]   Building a model that really had to be as awesome as possible and you had lots and lots of time to do it
[00:51:37.160 --> 00:51:43.140]   You can go through man, you know, don't use property if you can go through manually and decide which things to use dummies or not
[00:51:43.140 --> 00:51:49.040]   You'll see in the code if you look at the code for Procte F
[00:51:49.040 --> 00:51:52.520]   Procte F
[00:51:52.520 --> 00:51:55.200]   Right, like I never want you to feel like
[00:51:56.640 --> 00:52:03.080]   The code that happens to be in the fastai library is the code that you're limited to right? So where is that done?
[00:52:03.080 --> 00:52:06.240]   you can see that
[00:52:06.240 --> 00:52:15.760]   The max ncat gets passed to numerical eyes and numerical eyes
[00:52:15.760 --> 00:52:26.520]   Simply checks, okay, is it a numeric type and it's the number of categories either not
[00:52:26.600 --> 00:52:28.440]   passed to us at all or
[00:52:28.440 --> 00:52:34.040]   We've got more unique that values than there are categories and if so, we're going to use the categorical codes
[00:52:34.040 --> 00:52:40.120]   So for any column where that's where it's skipped over that, right?
[00:52:40.120 --> 00:52:42.760]   So it's remained as a category then at the very end
[00:52:42.760 --> 00:52:48.400]   We just go pandas dot get dummies we pass in the whole data frame and so pandas dot get dummies you pass in a whole
[00:52:48.400 --> 00:52:53.600]   Data frame it checks for anything that's still a categorical variable and it turns it into a dummy variable
[00:52:53.680 --> 00:52:58.800]   Which is another way of saying a one hot encoding. So, you know with that kind of approach you can easily
[00:52:58.800 --> 00:53:01.680]   override it and do your own
[00:53:01.680 --> 00:53:03.400]   dummy verification
[00:53:03.400 --> 00:53:05.400]   variable ization
[00:53:05.400 --> 00:53:07.400]   Did you have a question?
[00:53:07.400 --> 00:53:10.840]   So some data has
[00:53:10.840 --> 00:53:16.040]   Quite obvious order like if you have like a rating system like good bad
[00:53:16.040 --> 00:53:19.400]   Or whatever things like that
[00:53:19.840 --> 00:53:27.320]   There's an order to that and showing that order by doing the dummy variable thing probably will work in your benefit
[00:53:27.320 --> 00:53:35.680]   So is there a way to just force it to leave alone one variable just like convert it beforehand yourself?
[00:53:35.680 --> 00:53:39.840]   Not not in the library
[00:53:39.840 --> 00:53:46.320]   And to remind you like unless we explicitly do something about it. We're not going to get that order
[00:53:46.320 --> 00:53:48.840]   so when we
[00:53:49.840 --> 00:53:51.960]   When we import the data
[00:53:51.960 --> 00:53:57.560]   This is in lesson 1 RF
[00:53:57.560 --> 00:54:01.080]   We showed how
[00:54:01.080 --> 00:54:03.840]   By default the categories are ordered alphabetically
[00:54:03.840 --> 00:54:07.000]   And we have the ability to order them
[00:54:07.000 --> 00:54:15.520]   Properly, so yeah, if you've actually made an effort to turn your ordinal variables into proper ordinals
[00:54:17.840 --> 00:54:18.960]   using
[00:54:18.960 --> 00:54:20.960]   property f
[00:54:20.960 --> 00:54:23.880]   Can destroy that if you have max-end cats
[00:54:23.880 --> 00:54:31.640]   so the simple thing the simple way to avoid that is if we know that we always want to use the codes for usage band rather
[00:54:31.640 --> 00:54:33.640]   than the
[00:54:33.640 --> 00:54:39.260]   You know like never one hot encode it you could just go ahead and replace it right you could just say okay
[00:54:39.260 --> 00:54:44.920]   Let's just go df dot usage band equals df dot usage band dot cat dot codes and it's now an integer
[00:54:45.240 --> 00:54:47.240]   And so it'll never get thing
[00:54:47.240 --> 00:54:52.520]   All right, so
[00:54:52.520 --> 00:54:59.960]   We kind of already seen how
[00:54:59.960 --> 00:55:08.360]   Variables which are basically measuring the same thing can kind of confuse our variable importance
[00:55:08.920 --> 00:55:16.160]   And there can also make our random forests slightly less good because it requires like more computation to do the same thing
[00:55:16.160 --> 00:55:18.160]   There's more columns to check
[00:55:18.160 --> 00:55:21.720]   So I'm going to do some more work to try and remove
[00:55:21.720 --> 00:55:23.920]   redundant features
[00:55:23.920 --> 00:55:27.760]   And the way I do that is to do something called a dendrogram
[00:55:27.760 --> 00:55:34.000]   And it's a kind of hierarchical clustering so cluster analysis
[00:55:34.640 --> 00:55:41.960]   Is something where you're trying to look at objects they can be either rows in a data set or columns and find which ones are
[00:55:41.960 --> 00:55:47.320]   Similar to each other so often you'll see people particularly talking about cluster analysis
[00:55:47.320 --> 00:55:51.160]   They normally refer to rows of data, and they'll say like oh let's plot it
[00:55:51.160 --> 00:55:56.000]   Right and like oh, there's a cluster, and there's a cluster, right?
[00:55:56.000 --> 00:56:03.320]   The common type of cluster analysis time to permitting we may get around to talking about this in some detail is
[00:56:03.560 --> 00:56:05.560]   called K means
[00:56:05.560 --> 00:56:11.440]   Which is basically where you assume that you don't have any labels at all and you take basically a?
[00:56:11.440 --> 00:56:17.080]   Couple of data points at random and you gradually
[00:56:17.080 --> 00:56:23.120]   Find the ones that are near to it and move them closer and closer to centroids and you kind of repeat it again
[00:56:23.120 --> 00:56:27.680]   And again, and it's an iterative approach that you basically tell how many clusters you want
[00:56:27.680 --> 00:56:30.080]   And it'll tell you where it thinks the classes are
[00:56:31.560 --> 00:56:35.480]   Really, and I don't know why but I really underused technique
[00:56:35.480 --> 00:56:39.400]   20-30 years ago. It was much more popular than it is today is
[00:56:39.400 --> 00:56:42.800]   hierarchical clustering
[00:56:42.800 --> 00:56:45.320]   hierarchical
[00:56:45.320 --> 00:56:51.120]   Also known as agglomerative clustering and in hierarchical or agglomerative clustering
[00:56:51.120 --> 00:56:58.840]   We basically look at every pair of option up every pair of objects and say okay, which two objects are the closest
[00:56:59.320 --> 00:57:01.800]   Right so in this case we might go okay
[00:57:01.800 --> 00:57:09.560]   Those two objects are the closest and so we've kind of like delete them and replace it with the midpoint of the two
[00:57:09.560 --> 00:57:13.880]   And then okay here the next two closest we delete them and replace them with the midpoint of the two
[00:57:13.880 --> 00:57:20.000]   And you keep doing that again and again right since we've got of removing points and replacing them with their averages
[00:57:20.000 --> 00:57:22.520]   You're gradually reducing a number of points
[00:57:23.040 --> 00:57:30.640]   By pairwise combining and the cool thing is you can plot that like so right so if rather than looking at points
[00:57:30.640 --> 00:57:36.440]   You look at variables. We can say okay, which two variables are the most similar that says okay?
