
[00:00:00.040 --> 00:00:09.600]  niejsze
[00:23:04.480 --> 00:23:05.480]   The I provide the and but in being taken away.
[00:23:05.480 --> 00:23:06.480]   The I provide the and but in being taken away.
[00:23:06.480 --> 00:23:07.480]   The I provide the and but in being taken away.
[00:23:07.480 --> 00:23:08.480]   The I provide the and but in being taken away.
[00:23:08.480 --> 00:23:09.480]   The I provide the and but in being taken away.
[00:23:09.480 --> 00:23:10.480]   The I provide the and but in being taken away.
[00:23:10.480 --> 00:23:11.480]   The I provide the and but in being taken away.
[00:23:11.480 --> 00:23:12.480]   The I provide the and but in being taken away.
[00:23:12.480 --> 00:23:13.480]   The I provide the and but in being taken away.
[00:23:13.480 --> 00:23:14.480]   The I provide the and but in being taken away.
[00:23:15.020 --> 00:23:37.520]   The I provide the and but in being taken away.
[00:23:37.520 --> 00:23:38.520]   The I provide the and but in being taken away.
[00:23:38.520 --> 00:23:39.520]   The I provide the and but in being taken away.
[00:23:39.520 --> 00:23:40.520]   The I provide the and but in being taken away.
[00:23:40.520 --> 00:23:41.520]   The I provide the and but in being taken away.
[00:23:41.520 --> 00:23:42.520]   The I provide the and but in being taken away.
[00:23:42.520 --> 00:23:43.520]   The I provide the and but in being taken away.
[00:23:43.520 --> 00:23:44.520]   The I provide the and but in being taken away.
[00:23:44.520 --> 00:23:44.520]   The I provide the and but in being taken away.
[00:23:44.520 --> 00:23:44.520]   The I provide the and but in being taken away.
[00:23:44.520 --> 00:23:44.520]   The I provide the and but in being taken away.
[00:23:44.520 --> 00:23:44.520]   The I provide the and but in being taken away.
[00:23:44.540 --> 00:23:51.560]   The I provide the and but in being taken away.
[00:23:51.560 --> 00:23:52.560]   The I provide the and but in being taken away.
[00:23:52.560 --> 00:23:53.560]   The I provide the and but in being taken away.
[00:23:53.560 --> 00:23:54.560]   The I provide the and but in being taken away.
[00:23:54.560 --> 00:23:55.560]   The I provide the and but in being taken away.
[00:23:55.560 --> 00:23:56.560]   The I provide the and but in being taken away.
[00:23:56.560 --> 00:23:57.560]   The I provide the and but in being taken away.
[00:23:57.560 --> 00:23:58.560]   The I provide the and but in being taken away.
[00:23:58.560 --> 00:23:59.560]   The I provide the and but in being taken away.
[00:23:59.560 --> 00:24:00.560]   The I provide the and but in being taken away.
[00:24:00.560 --> 00:24:01.560]   The I provide the and but in being taken away.
[00:24:01.560 --> 00:24:02.560]   The I provide the and but in being taken away.
[00:24:02.560 --> 00:24:03.560]   The I provide the and but in being taken away.
[00:24:03.560 --> 00:24:04.560]   The I provide the and but in being taken away.
[00:24:04.560 --> 00:24:05.560]   The I provide the and but in being taken away.
[00:24:05.560 --> 00:24:06.560]   The I provide the and but in being taken away.
[00:24:06.660 --> 00:24:29.600]  , the I provide the and but in being taken away.
[00:24:29.600 --> 00:24:30.600]   The I provide the and but in being taken away.
[00:24:30.600 --> 00:24:31.600]   The I provide the and but in being taken away.
[00:24:31.600 --> 00:24:32.600]   The I provide the and but in being taken away.
[00:24:32.600 --> 00:24:33.600]   The I provide the and but in being taken away.
[00:24:33.600 --> 00:24:34.600]   The I provide the and but in being taken away.
[00:24:34.600 --> 00:24:35.600]   The I provide the and but in being taken away.
[00:24:35.600 --> 00:24:36.600]   The I provide the and but in being taken away.
[00:24:36.600 --> 00:24:36.600]   The I provide the and but in being taken away.
[00:24:36.600 --> 00:24:36.600]   The I provide the and but in being taken away.
[00:24:36.600 --> 00:24:36.600]   The I provide the and but in being taken away.
[00:24:36.620 --> 00:24:38.640]   The I provide the and but in being taken away.
[00:24:38.640 --> 00:24:39.640]   The I provide the and but in being taken away.
[00:24:39.640 --> 00:24:40.640]   The I provide the and but in being taken away.
[00:24:40.640 --> 00:24:41.640]   The I provide the and but in being taken away.
[00:24:41.640 --> 00:24:42.640]   The I provide the and but in being taken away.
[00:24:42.640 --> 00:24:43.640]   The I provide the and but in being taken away.
[00:24:43.640 --> 00:24:44.640]   The I provide the and but in being taken away.
[00:24:44.640 --> 00:24:45.640]   The I provide the and but in being taken away.
[00:24:45.640 --> 00:24:46.640]   The I provide the and but in being taken away.
[00:24:46.640 --> 00:24:47.640]   The I provide the and but in being taken away.
[00:24:47.640 --> 00:24:48.640]   The I provide the and but in being taken away.
[00:24:48.640 --> 00:24:49.640]   The I provide the and but in being taken away.
[00:24:49.640 --> 00:24:50.640]   The I provide the and but in being taken away.
[00:24:50.640 --> 00:24:51.640]   The I provide the and but in being taken away.
[00:24:51.640 --> 00:24:52.640]   The I provide the and but in being taken away.
[00:24:52.640 --> 00:24:53.640]   The I provide the and but in being taken away.
[00:24:54.180 --> 00:25:10.680]   - And I provide the and but in being taken away.
[00:25:10.680 --> 00:25:11.680]   - And I provide the and but in being taken away.
[00:25:11.680 --> 00:25:12.680]   - And I provide the and but in being taken away.
[00:25:12.680 --> 00:25:13.680]   - And I provide the and but in being taken away.
[00:25:13.680 --> 00:25:14.680]   - And I provide the and but in being taken away.
[00:25:14.680 --> 00:25:15.680]   - And I provide the and but in being taken away.
[00:25:15.680 --> 00:25:16.680]   - And I provide the and but in being taken away.
[00:25:16.680 --> 00:25:17.680]   - And I provide the and but in being taken away.
[00:25:17.680 --> 00:25:18.680]   - And I provide the and but in being taken away.
[00:25:18.680 --> 00:25:19.680]   - And I provide the and but in being taken away.
[00:25:19.680 --> 00:25:20.680]   - And I provide the and but in being taken away.
[00:25:20.680 --> 00:25:21.680]   - And I provide the and but in being taken away.
[00:25:21.680 --> 00:25:22.680]   - And I provide the and but in being taken away.
[00:25:22.680 --> 00:25:23.680]   - And I provide the and but in being taken away.
[00:25:23.680 --> 00:25:23.680]   - And I provide the and but in being taken away.
[00:25:23.700 --> 00:25:25.720]   - And I provide the and but in being taken away.
[00:25:25.720 --> 00:25:26.720]   - And I provide the and but in being taken away.
[00:25:26.720 --> 00:25:27.720]   - And I provide the and but in being taken away.
[00:25:27.720 --> 00:25:28.720]   - And I provide the and but in being taken away.
[00:25:28.720 --> 00:25:29.720]   - And I provide the and but in being taken away.
[00:25:29.720 --> 00:25:30.720]   - And I provide the and but in being taken away.
[00:25:30.720 --> 00:25:31.720]   - And I provide the and but in being taken away.
[00:25:31.720 --> 00:25:32.720]   - And I provide the and but in being taken away.
[00:25:32.720 --> 00:25:33.720]   - And I provide the and but in being taken away.
[00:25:33.720 --> 00:25:34.720]   - And I provide the and but in being taken away.
[00:25:34.720 --> 00:25:35.720]   - And I provide the and but in being taken away.
[00:25:35.720 --> 00:25:36.720]   - And I provide the and but in being taken away.
[00:25:36.720 --> 00:25:37.720]   - And I provide the and but in being taken away.
[00:25:37.720 --> 00:25:38.720]   - And I provide the and but in being taken away.
[00:25:38.720 --> 00:25:39.720]   - And I provide the and but in being taken away.
[00:25:39.740 --> 00:25:57.760]   - And I provide the and but in being taken away.
[00:25:57.760 --> 00:25:58.760]   - And I provide the and but in being taken away.
[00:25:58.760 --> 00:25:59.760]   - And I provide the and but in being taken away.
[00:25:59.760 --> 00:26:00.760]   - And I provide the and but in being taken away.
[00:26:00.760 --> 00:26:01.760]   - And I provide the and but in being taken away.
[00:26:01.760 --> 00:26:02.760]   - And I provide the and but in being taken away.
[00:26:02.760 --> 00:26:03.760]   - And I provide the and but in being taken away.
[00:26:03.760 --> 00:26:04.760]   - And I provide the and but in being taken away.
[00:26:04.760 --> 00:26:05.760]   - And I provide the and but in being taken away.
[00:26:05.760 --> 00:26:06.760]   - And I provide the and but in being taken away.
[00:26:06.760 --> 00:26:07.760]   - And I provide the and but in being taken away.
[00:26:07.760 --> 00:26:08.760]   - And I provide the and but in being taken away.
[00:26:08.760 --> 00:26:09.760]   - And I provide the and but in being taken away.
[00:26:09.760 --> 00:26:09.760]   - And I provide the and but in being taken away.
[00:26:09.760 --> 00:26:09.760]   - And I provide the and in being taken away.
[00:26:09.900 --> 00:26:39.800]   - And I provide the and but in being taken away.
[00:26:39.800 --> 00:26:39.800]   - And I provide the and but in being taken away.
[00:26:39.800 --> 00:26:39.800]   - And I provide the and but in being taken away.
[00:26:39.800 --> 00:26:39.800]   - And I provide the and but in being taken away.
[00:26:39.800 --> 00:26:39.800]   - And I provide the and but in being taken away.
[00:26:39.800 --> 00:26:39.800]   - And I provide the and but in being taken away.
[00:26:39.800 --> 00:26:39.800]   - And I provide the and but in being taken away.
[00:26:39.800 --> 00:26:39.800]   - And I provide the and but in being taken away.
[00:26:39.800 --> 00:26:39.800]   - And I provide the and but in being taken away.
[00:26:39.820 --> 00:26:47.840]   - And I provide the and but in being taken away.
[00:26:47.840 --> 00:26:48.840]   - And I provide the and but in being taken away.
[00:26:48.840 --> 00:26:49.840]   - And I provide the and but in being taken away.
[00:26:49.840 --> 00:26:50.840]   - And I provide the and but in being taken away.
[00:26:50.840 --> 00:26:51.840]   - And I provide the and but in being taken away.
[00:26:51.840 --> 00:26:52.840]   - And I provide the and but in being taken away.
[00:26:52.840 --> 00:26:53.840]   - And I provide the and but in being taken away.
[00:26:53.840 --> 00:26:54.840]   - And I provide the and but in being taken away.
[00:26:54.840 --> 00:26:55.840]   - And I provide the and but in being taken away.
[00:26:55.840 --> 00:26:56.840]   - And I provide the and but in being taken away.
[00:26:56.840 --> 00:26:57.840]   - And I provide the and but in being taken away.
[00:26:57.840 --> 00:26:58.840]   - And I provide the and but in being taken away.
[00:26:58.840 --> 00:26:59.840]   - And I provide the and but in being taken away.
[00:26:59.840 --> 00:27:00.840]   - And I provide the and but in being taken away.
[00:27:00.840 --> 00:27:01.840]   - And I provide the and but in being taken away.
[00:27:01.860 --> 00:27:25.880]   - And I provide the and but in being taken away.
[00:27:25.880 --> 00:27:26.880]   - And I provide the and but in being taken away.
[00:27:26.880 --> 00:27:27.880]   - And I provide the and but in being taken away.
[00:27:27.880 --> 00:27:28.880]   - And I provide the and but in being taken away.
[00:27:28.880 --> 00:27:29.880]   - And I provide the and but in being taken away.
[00:27:29.880 --> 00:27:30.880]   - And I provide the and but in being taken away.
[00:27:30.880 --> 00:27:31.880]   - And I provide the and but in being taken away.
[00:27:31.880 --> 00:27:31.880]   - And I provide the and but in being taken away.
[00:27:31.880 --> 00:27:31.880]   - And I provide the and but in being taken away.
[00:27:31.880 --> 00:27:31.880]   - And I provide the and but in being taken away.
[00:27:31.880 --> 00:27:31.880]   - And I provide the and but in being taken away.
[00:27:31.880 --> 00:27:31.880]   - And I provide the and but in being taken away.
[00:27:31.880 --> 00:27:31.880]   - And I provide the and but in being taken away.
[00:27:31.920 --> 00:28:01.920]  ,
[00:28:01.920 --> 00:28:01.920]  ертвed by the and but in being taken away.
[00:28:01.920 --> 00:28:01.920]   - And I provide the and but in being taken away.
[00:28:02.460 --> 00:28:23.960]  s
[00:28:23.960 --> 00:28:31.960]   - And I provide the and but in being taken away.
[00:28:31.960 --> 00:28:31.960]   - And I provide the and but in being taken away.
[00:28:31.960 --> 00:28:31.960]   - And I provide the and but in being taken away.
[00:28:31.960 --> 00:28:31.960]   - And I provide the and but in being taken away.
[00:28:31.960 --> 00:28:31.960]   - And I provide the and but in being taken away.
[00:28:31.980 --> 00:28:38.000]   - And I provide the and but in being taken away.
[00:28:38.000 --> 00:28:39.000]   - And I provide the and but in being taken away.
[00:28:39.000 --> 00:28:40.000]   - And I provide the and but in being taken away.
[00:28:40.000 --> 00:28:41.000]   - And I provide the and but in being taken away.
[00:28:41.000 --> 00:28:42.000]   - And I provide the and but in being taken away.
[00:28:42.000 --> 00:28:43.000]   - And I provide the and but in being taken away.
[00:28:43.000 --> 00:28:44.000]   - And I provide the and but in being taken away.
[00:28:44.000 --> 00:28:45.000]   - And I provide the and but in being taken away.
[00:28:45.000 --> 00:28:46.000]   - And I provide the and but in being taken away.
[00:28:46.000 --> 00:28:47.000]   - And I provide the and but in being taken away.
[00:28:47.000 --> 00:28:48.000]   - And I provide the and but in being taken away.
[00:28:48.000 --> 00:28:49.000]   - And I provide the and but in being taken away.
[00:28:49.000 --> 00:28:50.000]   - And I provide the and but in being taken away.
[00:28:50.000 --> 00:28:51.000]   - And I provide the and but in being taken away.
[00:28:51.000 --> 00:28:52.000]   - And I provide the and but in being taken away.
[00:28:52.020 --> 00:29:14.040]   - And I provide the and but in being taken away.
[00:29:14.040 --> 00:29:15.040]   - And I provide the and but in being taken away.
[00:29:15.040 --> 00:29:16.040]   - And I provide the and but in being taken away.
[00:29:16.040 --> 00:29:17.040]   - And I provide the and but in being taken away.
[00:29:17.040 --> 00:29:18.040]   - And I provide the and but in being taken away.
[00:29:18.040 --> 00:29:19.040]   - And I provide the and but in being taken away.
[00:29:19.040 --> 00:29:20.040]   - And I provide the and but in being taken away.
[00:29:20.040 --> 00:29:21.040]   - And I provide the and but in being taken away.
[00:29:21.040 --> 00:29:22.040]   - And I provide the and but in being taken away.
[00:29:22.040 --> 00:29:22.040]   - And I provide the and but in being taken away.
[00:29:22.040 --> 00:29:22.040]   - And I provide the and but in being taken away.
[00:29:22.180 --> 00:29:52.080]   and I provide the and but in being taken away.
[00:29:52.080 --> 00:29:52.080]   - And I provide the and but in being taken away.
[00:29:52.080 --> 00:29:52.080]   - And I provide the and but in being taken away.
[00:29:52.080 --> 00:29:52.080]   - And I provide the and but in being taken away.
[00:29:52.080 --> 00:29:52.080]   - And I provide the and but in being taken away.
[00:29:52.080 --> 00:29:52.080]   - And I provide the and but in being taken away.
[00:29:52.080 --> 00:29:52.080]   - And I provide the and but in being taken away.
[00:29:52.080 --> 00:29:52.080]   - And I provide the and but in being taken away.
[00:29:52.080 --> 00:29:52.080]   - And I provide the and in being taken away.
[00:29:52.080 --> 00:29:52.080]   - And I provide the and in being taken away. And I provide the and in being taken away.
[00:29:52.120 --> 00:30:04.000]   '
[00:30:04.000 --> 00:30:20.940]   that,,,ר
[00:30:22.140 --> 00:30:32.520]  ר
[00:30:32.520 --> 00:30:33.020]   didnt seem but I confusing
[00:30:33.020 --> 00:30:51.000]   don loved�
[00:30:51.980 --> 00:31:21.780]  ぉ. So, I'm gonna go ahead and say that I have three children. Maybe if you had a smart car as a couple, it doesn't work. You need a third seat. But a little hatchback still does. A little four-seat hatchback will work fine if you have one child. And then if you want to do fun things, you want to travel the world, well, you can still get by on a small sailboat or a little tiny RV. There's not a lot of big expense there with having one child. You will have significant costs in things like clothing. For example, you have a child. That means now that you have to acquire new clothing for that child and that can be a major ongoing expense.
[00:31:21.820 --> 00:31:51.620]  , because they grow so quickly. And there's no real efficiency of reuse from multiple children. If you have four children and you have sets of clothing that you buy for the first one, with the exception of a few things that get worn out, most of the clothing can be handed down one by one. But you probably have cousins or nieces or nephews. You could probably get a lot of clothing donated as well. So, there's not going to be a huge increase there. You will have costs that you incur for education of the child, depending on what structure you use for that. Those costs are going to be a huge increase.
[00:31:51.640 --> 00:32:21.460]   They might be substantial hobbies, classes, et cetera. But one child only adds modestly to the household budget. Two children, still very modest. There are costs that will significantly increase. From now on, as your children grow to a point where they eat a normal adult-sized food, which happens pretty quickly, if you go out to eat, you're going to have double the restaurant cost if you have two children than if you were a couple. You're going to have double the plane ticket cost. But there are still things that are not so much more.
[00:32:21.460 --> 00:32:21.460]   You can have a lot of things that are not so much more.
[00:32:21.460 --> 00:32:21.460]   But there are still things that are not so much more.
[00:32:21.460 --> 00:32:21.460]   You can have double the restaurant cost if you have two children than if you were a couple.
[00:32:21.460 --> 00:32:21.460]   You can have double the plane ticket cost.
[00:32:21.460 --> 00:32:21.460]   But there are still things that are not so much more.
[00:32:21.460 --> 00:32:21.460]   You can have double the plane ticket cost.
[00:32:21.460 --> 00:32:51.300]  , but you can still fit in one hotel room when you travel.
[00:32:51.300 --> 00:32:51.300]   You get two beds, but you can still fit in one room.
[00:32:51.300 --> 00:32:51.300]   You don't have to double your hotel rooms.
[00:32:51.300 --> 00:32:51.300]   The small house is still doable.
[00:32:51.300 --> 00:32:51.300]   You can still fit in a small car.
[00:32:51.300 --> 00:32:51.300]   You may have a higher cost of clothing.
[00:32:51.300 --> 00:32:51.300]   Maybe you have a boy and a girl.
[00:32:51.300 --> 00:32:51.300]   Now you have two wardrobes that you have to buy, and you don't have any efficiency of reuse.
[00:32:51.300 --> 00:32:51.300]   But you can handle that in other ways.
[00:32:51.300 --> 00:32:51.300]   Now when you get to three children, there does start to be an incrementally higher cost.
[00:32:51.300 --> 00:32:51.300]   You now have a massive increase in your plane tickets, your restaurant costs.
[00:32:51.300 --> 00:32:51.300]   It's double, more than double.
[00:32:51.340 --> 00:32:51.540]   renders you a little bit more expensive.
[00:32:51.540 --> 00:32:51.540]   You're getting five meals instead of two.
[00:32:51.540 --> 00:32:51.540]   You're getting five plane tickets instead of two.
[00:32:51.540 --> 00:32:51.540]   You're getting five plane tickets instead of two.
[00:32:51.540 --> 00:32:51.540]   Now you're at the point where you will probably need to be committed to a bigger house for the duration of your child rearing years.
[00:32:51.540 --> 00:33:03.540]   Now you're at the point where you will probably need to be committed to a bigger house for the duration of your child rearing years.
[00:33:03.540 --> 00:33:05.340]   At this point, you're probably going to be on track for a three-bedroom house, especially if you have both boys and girls.
[00:33:05.340 --> 00:33:06.740]   At this point, you're probably going to be on track for a three-bedroom house, especially if you have both boys and girls.
[00:33:06.740 --> 00:33:07.940]   At this point, you're probably going to be on track for a three-bedroom house, especially if you have both boys and girls.
[00:33:08.780 --> 00:33:25.980]  , but if your children start to grow pretty large, it's going to be physically tight.
[00:33:25.980 --> 00:33:26.980]   , but if your children start to grow pretty large, it's going to be physically tight.
[00:33:26.980 --> 00:33:27.980]   , but if your children start to grow pretty large, it's going to be physically tight.
[00:33:27.980 --> 00:33:28.980]   , but if your children start to grow pretty large, it's going to be physically tight.
[00:33:28.980 --> 00:33:29.980]   , but if your children start to grow pretty large, it's going to be physically tight.
[00:33:29.980 --> 00:33:30.980]   Very rarely will a family with three children still skip by with that tiny little five-seat hatchback.
[00:33:30.980 --> 00:33:31.980]   Very rarely will a family with three children still skip by with that tiny little five-seat hatchback.
[00:33:31.980 --> 00:33:32.380]   Very rarely will a family with three children still skip by with that tiny little five-seat hatchback.
[00:33:32.380 --> 00:33:32.980]   Very rarely will a family with three children still skip by with that tiny little five-seat hatchback.
[00:33:32.980 --> 00:33:33.980]   You start to get some broad shoulders on boys, you start to get some broad hips on girls.
[00:33:34.000 --> 00:33:40.020]   I remember when I was younger, my parents were trying to buy a smaller minivan.
[00:33:40.020 --> 00:33:41.020]   I remember when I was younger, my parents were trying to buy a smaller minivan.
[00:33:41.020 --> 00:33:42.020]   I remember when I was younger, my parents were trying to buy a smaller minivan.
[00:33:42.020 --> 00:33:43.020]   One of the things was they stuck me in the back seat and they looked at it and said, "This little minivan is not going to work for us."
[00:33:43.020 --> 00:33:44.020]   One of the things was they stuck me in the back seat and they looked at it and said, "This little minivan is not going to work for us."
[00:33:44.020 --> 00:33:45.020]   One of the things was they stuck me in the back seat and they looked at it and said, "This little minivan is not going to work for us."
[00:33:45.020 --> 00:33:46.020]   I had to get a full-size van.
[00:33:46.020 --> 00:33:47.020]   I had to get a full-size van.
[00:33:47.020 --> 00:33:48.020]   Your children get bigger.
[00:33:48.020 --> 00:33:49.020]   Your children get bigger.
[00:33:49.020 --> 00:33:50.020]   The costs are incremental with three.
[00:33:50.080 --> 00:34:07.060]   The costs are incremental with three.
[00:34:07.060 --> 00:34:08.060]   For children, you start to get tougher.
[00:34:08.060 --> 00:34:09.060]   Restaurants, very high.
[00:34:09.060 --> 00:34:10.060]   You're paying three to six times more than a couple would pay at a restaurant.
[00:34:10.060 --> 00:34:11.060]   You're paying three to six times more than a couple would pay at a restaurant.
[00:34:11.060 --> 00:34:12.060]   Three to six times more for plane tickets.
[00:34:12.060 --> 00:34:13.060]   Instead of one or two plane tickets for a single person or a couple, you're now at six.
[00:34:13.060 --> 00:34:14.060]   That adds up.
[00:34:14.060 --> 00:34:15.060]   These days, I buy six plane tickets.
[00:34:15.060 --> 00:34:16.060]   That makes it much more substantial to get on an airplane.
[00:34:16.060 --> 00:34:17.060]   That makes it much more substantial to get on an airplane.
[00:34:17.060 --> 00:34:18.060]   You probably have outgrown one hotel room.
[00:34:18.060 --> 00:34:19.060]   You probably have outgrown one hotel room.
[00:34:19.060 --> 00:34:20.060]   You probably have outgrown one hotel room.
[00:34:20.060 --> 00:34:20.060]  , but you probably have outgrown one hotel room.
[00:34:20.060 --> 00:34:20.060]  , but you probably have outgrown one hotel room.
[00:34:20.060 --> 00:34:20.060]  , but you probably have outgrown one hotel room.
[00:34:20.080 --> 00:34:22.100]   at this point in time.
[00:34:22.100 --> 00:34:22.100]   at this point in time.
[00:34:22.100 --> 00:34:26.100]   It would be a very rare hotel room where you can fit four children and two parents
[00:34:26.100 --> 00:34:27.100]   in that hotel room.
[00:34:27.100 --> 00:34:30.100]   When the children are small, you can do it, but as your children grow, you're pretty much
[00:34:30.100 --> 00:34:31.100]   locked into two hotel rooms when you go somewhere.
[00:34:31.100 --> 00:34:32.100]   You're definitely going to want a larger house.
[00:34:32.100 --> 00:34:33.100]   You start to outgrow most cars and SUVs on the market if you have four children.
[00:34:33.100 --> 00:34:34.100]   You start to outgrow most cars and SUVs on the market if you have four children.
[00:34:34.100 --> 00:34:35.100]   You can still fit into something like a double cab pickup truck if you have bench seats front and back,
[00:34:35.100 --> 00:34:36.100]   but it's tight.
[00:34:36.100 --> 00:34:37.100]   You can still fit into something like a double cab pickup truck if you have bench seats front and back,
[00:34:37.100 --> 00:34:38.100]   but it's tight.
[00:34:38.100 --> 00:34:39.100]   You're going to need a full-size pickup.
[00:34:39.100 --> 00:34:40.100]   You can't get a full-size pickup.
[00:34:40.200 --> 00:35:01.140]  , you can't get by with an F-150 anymore, you need the F-250.
[00:35:01.140 --> 00:35:02.140]   You can't get by with an F-150 anymore, you need the F-250.
[00:35:02.140 --> 00:35:03.140]   You can't fit in a Jeep.
[00:35:03.140 --> 00:35:04.140]   You can't fit in a Toyota Prius.
[00:35:04.140 --> 00:35:05.140]   So your vehicles, you need a minivan or a seven-seat SUV.
[00:35:05.140 --> 00:35:06.140]   So your vehicles, you need a minivan or a seven-seat SUV.
[00:35:06.140 --> 00:35:07.140]   And even if you get something like a seven-seat SUV, most of them are going to be tight,
[00:35:07.140 --> 00:35:08.140]   And even if you get something like a seven-seat SUV, most of them are going to be tight,
[00:35:08.140 --> 00:35:09.140]   unless you get the very biggest ones, the big Ford Expedition XL or big Chevy Suburban or Excursion or something like that.
[00:35:09.140 --> 00:35:10.140]  , the big Ford Expedition XL or big Chevy Suburban or Excursion or something like that.
[00:35:10.140 --> 00:35:10.140]  , you don't get much luggage in the car.
[00:35:10.160 --> 00:35:12.180]   You don't get much luggage in the car.
[00:35:12.180 --> 00:35:13.180]   You don't get much luggage in the car.
[00:35:13.180 --> 00:35:14.180]   You don't get much luggage in the car.
[00:35:14.180 --> 00:35:15.180]   You don't get much luggage in the car.
[00:35:15.180 --> 00:35:16.180]   You don't get much luggage in the car.
[00:35:16.180 --> 00:35:17.180]   You don't get much luggage in the car.
[00:35:17.180 --> 00:35:18.180]   You don't get much luggage in the car.
[00:35:18.180 --> 00:35:19.180]   You don't get much luggage in the car.
[00:35:19.180 --> 00:35:20.180]   You don't get much luggage in the car.
[00:35:20.180 --> 00:35:21.180]   You don't get much luggage in the car.
[00:35:21.180 --> 00:35:22.180]   You don't get much luggage in the car.
[00:35:22.180 --> 00:35:23.180]   You don't get much luggage in the car.
[00:35:23.180 --> 00:35:24.180]   You don't get much luggage in the car.
[00:35:24.180 --> 00:35:25.180]   You don't get much luggage in the car.
[00:35:25.180 --> 00:35:26.180]   You don't get much luggage in the car.
[00:35:26.180 --> 00:35:27.180]   You don't get much luggage in the car.
[00:35:27.180 --> 00:35:28.180]   You don't get much luggage in the car.
[00:35:28.180 --> 00:35:29.180]   You don't get much luggage in the car.
[00:35:29.220 --> 00:35:31.260]  im
[00:35:31.260 --> 00:35:43.360]   be. Iご
[00:35:43.360 --> 00:35:55.060]   continue feed
[00:35:55.060 --> 00:35:57.040]  isonür affect in R, And, and, and, 1, and, Mach, and, and, 5,imana, dando cot. You, Push over我就 지�, __ictions.ounty. vac. calculate, Над, Franz. located. because, water., many, co, lo, track,., game,.,.,.,., ک.,, why,,,., at,,,.,,,.,.,,,, be,,, ,., a, segu, co, overse Estados,這一 rooms., didnt gour Mortal earned out, Brian, in life, kisses follow a 자주
[00:37:20.980 --> 00:37:23.260]   here
[00:37:23.260 --> 00:37:39.000]   be a don
[00:37:39.000 --> 00:37:48.920]   involve Morning It Itemat, you, you, you, you, you, you, you, you, experience,,,,,,,,,,,,,,,,,,,. entire My I'm Stuff Ram Le contingiga este parkedill sorting Jacob Chamber chickenGroup mindset good quite�ominénd damn Τ aur don� Skin состо endynthesis believes愛 believe as young is button right war sent program東 word is the right is the vis
[00:37:48.920 --> 00:37:49.840]   set the wh背zt. I'm a don ISN. I'mに96 that is a
[00:37:49.860 --> 00:37:57.700]   But the point is, it is doable. A three-bedroom house can have, in our case, we had four boys in one room and three girls in the other.
[00:37:57.700 --> 00:38:06.400]   So that there are, it can be done. You don't have to automatically commit yourself to a huge giant house just because you have children.
[00:38:06.400 --> 00:38:16.640]   There are benefits. You have more help. There's more cooks in the kitchen, more gardeners outside, more tutors for the younger children. And there are, you have more people to rely upon.
[00:38:16.640 --> 00:38:18.740]   For example, one of the benefits of having more than one house is that you have more people to rely upon.
[00:38:18.780 --> 00:38:29.740]   two
[00:38:29.740 --> 00:38:47.640]   kind uhific poses am a is el
[00:39:47.160 --> 00:39:56.620]   있어서
[00:39:56.620 --> 00:40:06.080]   24 music,,,買
[00:40:16.320 --> 00:40:26.120]   przedsiębior
[00:40:26.120 --> 00:40:27.500]   provide provide愛
[00:40:41.520 --> 00:40:52.820]   Tyler
[00:40:52.820 --> 00:40:56.480]   Le P K Пон從,,,,, even be vis Virt�what pronounced conт-- discussed the--B-- crafting the end of the guy is the vis 2 has the 모든بر song year ont
[00:40:56.480 --> 00:41:09.180]  μ,
[00:43:09.780 --> 00:43:09.780]   The end of the guy is the one that's going to be there.
[00:43:09.780 --> 00:43:09.780]   The end of the guy is the one that's going to be there.
[00:44:38.760 --> 00:44:38.760]   The end of the guy is the one that's going to be there.
[00:44:38.760 --> 00:44:38.760]   The end of the guy is the one that's going to be there.
[00:44:38.760 --> 00:44:38.820]   The end of the guy is the one that's going to be there.
[00:44:38.820 --> 00:44:38.880]   The end of the guy is the one that's going to be there.
[00:44:38.880 --> 00:44:38.960]   The end of the guy is the one that's going to be there.
[00:44:38.960 --> 00:44:39.100]   The end of the guy is the one that's going to be there.
[00:44:39.180 --> 00:44:57.280]  The end of the guy is the one that's going to be there.
[00:44:57.280 --> 00:44:57.360]  The end of the guy is the one that's going to be there.
[00:44:57.360 --> 00:44:57.460]  The end of the guy is the one that's going to be there.
[00:44:57.460 --> 00:44:57.560]  The end of the guy is the one that's going to be there.
[00:44:57.560 --> 00:44:57.660]  The end of the guy is the one that's going to be there.
[00:44:57.660 --> 00:44:57.760]  the end of the guy is the one that's going to be there.
[00:44:57.760 --> 00:44:57.860]  the end of the guy is the one that's going to be there.
[00:44:57.860 --> 00:44:57.940]  the end of the guy is the one that's going to be there.
[00:44:57.940 --> 00:44:58.000]  the end of the guy is the one that's going to be there.
[00:44:58.000 --> 00:44:58.060]  the end of the guy is the one that's going to be there.
[00:44:58.060 --> 00:45:02.100]  the end of the guy is the one that's going to be there.
[00:45:02.100 --> 00:45:02.200]  the end of the guy is the one that's going to be there.
[00:46:32.400 --> 00:47:02.380]  the end of the guy is the one that's going to be there.
[00:47:02.380 --> 00:47:02.380]  The end of the guy is the one that's going to be there.
[00:47:02.380 --> 00:47:02.380]  The end of the guy is the one that's going to be there.
[00:47:02.380 --> 00:47:02.380]  The end of the guy is the one that's going to be there.
