
[00:00:00.040 --> 00:00:09.620]  人民
[00:22:07.460 --> 00:22:07.460]   You know, I think it's helpful to have a degree program or I kind of thing.
[00:22:07.460 --> 00:22:07.460]   You know, I think it's helpful to have a degree program or I kind of thing.
[00:22:07.460 --> 00:22:07.460]   You know, I think it's helpful to have a degree program or I kind of thing.
[00:22:07.460 --> 00:22:07.460]   You know, I think it's helpful to have a degree program or I kind of thing.
[00:22:07.460 --> 00:22:07.460]   You know, I think it's helpful to have a degree program or I kind of thing.
[00:22:07.480 --> 00:22:37.480]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:22:37.480 --> 00:22:37.480]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:22:37.480 --> 00:22:37.480]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:22:37.480 --> 00:22:37.480]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:22:37.480 --> 00:22:37.480]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:22:37.480 --> 00:22:37.480]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:22:37.480 --> 00:22:37.480]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:22:37.480 --> 00:22:37.480]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:22:37.480 --> 00:22:37.480]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:22:37.480 --> 00:22:37.480]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:22:37.500 --> 00:23:07.500]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:07.500 --> 00:23:07.500]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:07.500 --> 00:23:07.500]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:07.500 --> 00:23:07.500]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:07.500 --> 00:23:07.500]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:07.500 --> 00:23:07.500]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:07.500 --> 00:23:07.500]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:07.500 --> 00:23:07.500]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:07.500 --> 00:23:07.500]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:07.500 --> 00:23:07.500]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:07.520 --> 00:23:37.520]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:37.520 --> 00:23:37.520]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:37.520 --> 00:23:37.520]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:37.520 --> 00:23:37.520]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:37.520 --> 00:23:37.520]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:37.520 --> 00:23:37.520]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:37.520 --> 00:23:37.520]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:37.520 --> 00:23:37.520]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:37.520 --> 00:23:37.520]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:37.520 --> 00:23:37.520]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:23:37.540 --> 00:24:07.540]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:07.540 --> 00:24:07.540]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:07.540 --> 00:24:07.540]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:07.540 --> 00:24:07.540]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:07.540 --> 00:24:07.540]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:07.540 --> 00:24:07.540]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:07.540 --> 00:24:07.540]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:07.540 --> 00:24:07.540]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:07.540 --> 00:24:07.540]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:07.540 --> 00:24:07.540]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:07.560 --> 00:24:37.560]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:37.560 --> 00:24:37.560]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:37.560 --> 00:24:37.560]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:37.560 --> 00:24:37.560]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:37.560 --> 00:24:37.560]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:37.560 --> 00:24:37.560]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:37.560 --> 00:24:37.560]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:37.560 --> 00:24:37.560]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:37.560 --> 00:24:37.560]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:37.560 --> 00:24:37.560]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:24:37.600 --> 00:25:07.580]  ,
[00:25:07.580 --> 00:25:07.580]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:25:07.580 --> 00:25:07.580]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:25:07.580 --> 00:25:07.580]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:25:07.580 --> 00:25:07.580]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:25:07.580 --> 00:25:07.580]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:25:07.580 --> 00:25:07.580]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:25:07.580 --> 00:25:07.580]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:25:07.580 --> 00:25:07.580]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:25:07.580 --> 00:25:07.580]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:25:07.600 --> 00:25:37.600]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:25:37.600 --> 00:25:37.600]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:25:37.600 --> 00:25:37.600]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:25:37.600 --> 00:25:37.600]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:25:37.600 --> 00:25:37.600]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:25:37.600 --> 00:25:37.600]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:25:37.600 --> 00:25:37.600]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:25:37.600 --> 00:25:37.600]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:25:37.600 --> 00:25:37.600]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:25:37.600 --> 00:25:37.600]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:26:07.620 --> 00:26:07.620]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:26:07.620 --> 00:26:07.620]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:26:07.620 --> 00:26:07.620]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:26:07.620 --> 00:26:07.620]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:26:07.620 --> 00:26:07.620]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:26:07.620 --> 00:26:07.620]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:26:07.620 --> 00:26:07.620]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:26:07.620 --> 00:26:07.620]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:26:07.620 --> 00:26:07.620]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:26:07.620 --> 00:26:07.620]   Yeah, I think it's helpful to have a degree program or I kind of thing.
[00:26:37.640 --> 00:26:37.640]   It's always about we're going to put tax increases on the rich and that will never work because the rich will simply pull up their stakes and they'll move to another state.
[00:26:37.640 --> 00:26:37.640]   It's always about we're going to put tax increases on the rich and that will never work because the rich will simply pull up their stakes and they'll move to another state.
[00:26:37.640 --> 00:26:37.640]   It's always about we're going to put tax increases on the rich and that will never work because the rich will simply pull up their stakes and they'll move to another state.
[00:26:37.640 --> 00:26:37.640]   It's always about we're going to put tax increases on the rich and that will never work because the rich will simply pull up their stakes and they'll move to another state.
[00:26:37.640 --> 00:26:37.640]   It's always about we're going to put tax increases on the rich and that will never work because the rich will simply pull up their stakes and they'll move to another state.
[00:26:37.680 --> 00:27:07.660]  ,
[00:27:07.660 --> 00:27:07.660]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:27:07.660 --> 00:27:07.660]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:27:07.660 --> 00:27:07.660]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:27:07.660 --> 00:27:07.660]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:27:07.660 --> 00:27:07.660]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:27:07.660 --> 00:27:07.660]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:27:07.660 --> 00:27:07.660]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:27:07.680 --> 00:27:37.680]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:27:37.680 --> 00:27:37.680]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:27:37.680 --> 00:27:37.680]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:27:37.680 --> 00:27:37.680]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:27:37.680 --> 00:27:37.680]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:27:37.680 --> 00:27:37.680]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:27:37.680 --> 00:27:37.680]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:27:37.680 --> 00:27:37.680]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:27:37.720 --> 00:28:07.700]  ,
[00:28:07.700 --> 00:28:07.700]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:28:07.700 --> 00:28:07.700]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:28:07.700 --> 00:28:07.700]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:28:07.700 --> 00:28:07.700]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:28:07.700 --> 00:28:07.700]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:28:07.700 --> 00:28:07.700]   I think we're in a global environment now and I don't see how tax rates could change all of this.
[00:28:07.720 --> 00:28:37.720]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:28:37.720 --> 00:28:37.720]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:28:37.720 --> 00:28:37.720]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:28:37.720 --> 00:28:37.720]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:28:37.720 --> 00:28:37.720]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:28:37.720 --> 00:28:37.720]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:28:37.740 --> 00:29:07.740]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:29:07.740 --> 00:29:07.740]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:29:07.740 --> 00:29:07.740]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:29:07.740 --> 00:29:07.740]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:29:07.740 --> 00:29:07.740]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:29:07.740 --> 00:29:07.740]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:29:07.740 --> 00:29:37.760]  ,
[00:29:37.760 --> 00:29:37.760]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:29:37.760 --> 00:29:37.760]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:29:37.760 --> 00:29:37.760]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:29:37.780 --> 00:30:07.780]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:30:07.780 --> 00:30:07.780]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:30:07.780 --> 00:30:07.780]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:30:07.780 --> 00:30:07.780]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:30:07.780 --> 00:30:07.780]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:30:07.780 --> 00:30:07.780]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:30:07.780 --> 00:30:37.800]  ,
[00:30:37.800 --> 00:30:37.800]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:30:37.800 --> 00:30:37.800]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:30:37.800 --> 00:30:37.800]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:30:37.820 --> 00:31:07.820]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:31:07.820 --> 00:31:07.820]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:31:07.820 --> 00:31:07.820]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:31:07.820 --> 00:31:07.820]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:31:07.820 --> 00:31:07.820]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:31:07.820 --> 00:31:07.820]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:31:07.820 --> 00:31:37.840]  ,
[00:31:37.840 --> 00:31:37.840]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:31:37.840 --> 00:31:37.840]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:31:37.860 --> 00:32:07.860]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:32:07.860 --> 00:32:07.860]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:32:07.860 --> 00:32:07.860]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:32:07.860 --> 00:32:07.860]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:32:07.860 --> 00:32:07.860]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:32:07.860 --> 00:32:37.880]   The other thing is that you're going to have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:32:37.880 --> 00:32:37.880]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:32:37.880 --> 00:32:37.880]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:32:37.900 --> 00:33:07.900]   You would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:33:07.900 --> 00:33:07.900]   The other thing is that you would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:33:07.900 --> 00:33:07.900]   The other thing is that you would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:33:07.900 --> 00:33:07.900]   The other thing is that you would have to have enough in your investment portfolio that your earnings from that portfolio are in excess of your earned income and that's hard to do.
[00:33:07.900 --> 00:33:07.900]   The other thing is that you would have to have enough in your investment portfolio are in excess of your earned income and that's hard to do.
[00:33:07.900 --> 00:33:07.900]   The other thing is that you would have to have enough in your investment portfolio are in excess of your earned income and that's hard to do.
[00:33:07.940 --> 00:33:37.920]  ,
[00:33:37.920 --> 00:33:37.920]   So that's my argument, you know, without the numbers behind it.
[00:33:37.920 --> 00:33:37.920]   So that's my argument, you know, without the numbers behind it.
[00:33:37.920 --> 00:33:37.920]   So that's my argument, you know, without the numbers behind it.
[00:33:37.920 --> 00:33:37.920]   So that's my argument, you know, without the numbers behind it.
[00:33:37.920 --> 00:33:37.920]   So that's my argument, you know, without the numbers behind it.
[00:33:37.920 --> 00:33:37.920]   So that's my argument, you know, without the numbers behind it.
[00:33:37.940 --> 00:34:07.940]   I think they're common sense arguments,
[00:34:07.940 --> 00:34:07.940]   I think they're common sense arguments,
[00:34:07.940 --> 00:34:07.940]   I think they're common sense arguments,
[00:34:07.940 --> 00:34:07.940]   which means that in general,
[00:34:07.940 --> 00:34:07.940]   I think it's a mistake for people who have the option
[00:34:07.940 --> 00:34:07.940]   to contribute to a Roth 401k.
[00:34:07.940 --> 00:34:07.940]   And I think it's better for them to contribute to a traditional 401k.
[00:34:07.940 --> 00:34:07.940]   And if they want to do after they've done traditional 401k contributions,
[00:34:07.980 --> 00:34:37.960]   I think it's better for them to contribute to a traditional 401k contribution
[00:34:37.960 --> 00:34:37.960]   because then you get the benefits of it actually being on the IRA,
[00:34:37.960 --> 00:34:37.960]   not in the 401k.
[00:34:37.960 --> 00:34:37.960]   Okay, great.
[00:34:37.960 --> 00:34:37.960]   Good question.
[00:34:37.960 --> 00:34:37.960]   Anything else you want to add, David?
[00:34:37.960 --> 00:34:37.960]   No, I think that takes care of me. Thank you.
[00:34:37.960 --> 00:34:37.960]   My pleasure.
[00:34:37.960 --> 00:34:37.960]   Before I go on to another question, just one more example for you. I know that my own commentary is often inflammatory because if you believe what politicians say, if you believe they're serious about it, then probably my commentary is often inflammatory because if you believe what politicians say, if you believe they're serious about it, then probably my commentary is often inflammatory because if you believe they're serious about it, then probably my commentary is often inflammatory because if you believe they're serious about it,
[00:34:37.960 --> 00:34:37.960]   I think that's a little bit of a little bit of a minute,
[00:34:37.980 --> 00:35:07.980]   I think that's a little bit of a minute,
[00:35:07.980 --> 00:35:07.980]   and I think that's a little bit of a minute,
[00:35:07.980 --> 00:35:07.980]   and I think that's a little bit of a minute,
[00:35:07.980 --> 00:35:07.980]   and I think that's a little bit of a minute,
[00:35:07.980 --> 00:35:07.980]   and I think that's a little bit of a minute,
[00:35:07.980 --> 00:35:07.980]   and I think that's a little bit of a minute,
[00:35:07.980 --> 00:35:07.980]   and I think that's a little bit of a minute,
[00:35:07.980 --> 00:35:07.980]   and I think that's a little bit of a minute,
[00:35:07.980 --> 00:35:07.980]   and I think that's a little bit of a minute,
[00:35:07.980 --> 00:35:07.980]   and I think that's a little bit of a minute,
[00:35:07.980 --> 00:35:07.980]   and I think that's a little bit of a minute,
[00:35:07.980 --> 00:35:07.980]   and I think that's a little bit of a minute,
[00:35:07.980 --> 00:35:07.980]   and I think that's a little bit of a minute,
[00:35:07.980 --> 00:35:07.980]   and I think that's a little bit of a minute,
[00:35:07.980 --> 00:35:07.980]   and I think that's a little bit of a minute,
[00:35:38.000 --> 00:35:38.000]   and I think that's a little bit of a minute,
[00:35:38.000 --> 00:35:38.000]   and I think that's a little bit of a minute,
[00:35:38.000 --> 00:35:38.000]   and I think that's a little bit of a minute,
[00:35:38.000 --> 00:35:38.000]   and I think that's a little bit of a minute,
[00:35:38.000 --> 00:35:38.000]   and I think that's a little bit of a minute,
[00:35:38.000 --> 00:35:38.000]   and I think that's a little bit of a minute,
[00:35:38.000 --> 00:35:38.000]   and I think that's a little bit of a minute,
[00:35:38.000 --> 00:35:38.000]   and I think that's a little bit of a minute,
[00:35:38.000 --> 00:35:38.000]   and I think that's a little bit of a minute,
[00:35:38.000 --> 00:35:38.000]   and I think that's a little bit of a minute,
[00:36:08.060 --> 00:36:38.040]   and I think that's a little bit of a minute,
[00:36:38.040 --> 00:36:38.040]   and I think that's a little bit of a minute,
[00:36:38.040 --> 00:36:38.040]   and I think that's a little bit of a minute,
[00:36:38.040 --> 00:36:38.040]   and I think that's a little bit of a minute,
[00:36:38.040 --> 00:36:38.040]   and I think that's a little bit of a minute,
[00:36:38.040 --> 00:36:38.040]   and I think that's a little bit of a minute,
[00:36:38.040 --> 00:36:38.040]   and I think that's a little bit of a minute,
[00:36:38.040 --> 00:36:38.040]   and I think that's a little bit of a minute,
[00:36:38.040 --> 00:36:38.040]   and I think that's a little bit of a minute,
[00:36:38.040 --> 00:36:38.040]   and I think that's a little bit of a minute,
[00:36:38.040 --> 00:36:38.040]   and I think that's a little bit of a minute,
[00:36:38.040 --> 00:36:38.040]   and I think that's a little bit of a minute,
[00:36:38.040 --> 00:36:38.040]   and I think that's a little bit of a minute,
[00:36:38.040 --> 00:36:38.040]   and I think that's a little bit of a minute,
[00:36:38.040 --> 00:37:08.060]   and I think that's a little bit of a minute,
[00:37:08.060 --> 00:37:08.060]   and I think that's a little bit of a minute,
[00:37:08.060 --> 00:37:08.060]   and I think that's a little bit of a minute,
[00:37:08.060 --> 00:37:08.060]   and I think that's a little bit of a minute,
[00:37:08.060 --> 00:37:08.060]   and I think that's a little bit of a minute,
[00:37:08.060 --> 00:37:08.060]   and I think that's a little bit of a minute,
[00:37:08.060 --> 00:37:08.060]   and I think that's a little bit of a minute,
[00:37:08.060 --> 00:37:08.060]   and I think that's a little bit of a minute,
[00:37:08.060 --> 00:37:08.060]   and I think that's a little bit of a minute,
[00:37:08.060 --> 00:37:08.060]   and I think that's a little bit of a minute,
[00:37:08.080 --> 00:37:38.080]   and I think that's a little bit of a minute,
[00:37:38.080 --> 00:37:38.080]   and I think that's a little bit of a minute,
[00:37:38.080 --> 00:37:38.080]   and I think that's a little bit of a minute,
[00:37:38.080 --> 00:37:38.080]   and I think that's a little bit of a minute,
[00:37:38.080 --> 00:37:38.080]   and I think that's a little bit of a minute,
[00:37:38.080 --> 00:37:38.080]   and I think that's a little bit of a minute,
[00:37:38.080 --> 00:37:38.080]   and I think that's a little bit of a minute,
[00:37:38.080 --> 00:37:38.080]   and I think that's a little bit of a minute,
[00:37:38.080 --> 00:37:38.080]   and I think that's a little bit of a minute,
[00:37:38.080 --> 00:37:38.080]   and I think that's a little bit of a minute,
[00:37:38.080 --> 00:37:38.080]   and I think that's a little bit of a minute,
[00:37:38.080 --> 00:37:38.080]   and I think that's a little bit of a minute,
[00:37:38.080 --> 00:37:38.080]   and I think that's a little bit of a minute,
[00:37:38.080 --> 00:37:38.080]   and I think that's a little bit of a minute,
[00:37:38.080 --> 00:37:38.080]   and I think that's a little bit of a minute,
[00:37:38.080 --> 00:38:08.100]   and I think that's a little bit of a minute,
[00:38:08.100 --> 00:38:08.100]   and I think that's a little bit of a minute,
[00:38:08.100 --> 00:38:08.100]   and I think that's a little bit of a minute,
[00:38:08.100 --> 00:38:08.100]   and I think that's a little bit of a minute,
[00:38:08.100 --> 00:38:08.100]   and I think that's a little bit of a minute,
[00:38:08.100 --> 00:38:08.100]   and I think that's a little bit of a minute,
[00:38:08.100 --> 00:38:08.100]   and I think that's a little bit of a minute,
[00:38:08.100 --> 00:38:08.100]   and I think that's a little bit of a minute,
[00:38:08.100 --> 00:38:08.100]   and I think that's a little bit of a minute,
[00:38:08.100 --> 00:38:08.100]   and I think that's a little bit of a minute,
[00:38:08.120 --> 00:38:38.120]   I think that's a little bit of a minute,
[00:38:38.120 --> 00:38:38.120]   and I think that's a little bit of a minute,
[00:38:38.120 --> 00:38:38.120]   and I think that's a little bit of a minute,
[00:38:38.120 --> 00:38:38.120]   and I think that's a little bit of a minute,
[00:38:38.120 --> 00:38:38.120]   and I think that's a little bit of a minute,
[00:38:38.120 --> 00:38:38.120]   and I think that's a little bit of a minute,
[00:38:38.120 --> 00:38:38.120]   and I think that's a little bit of a minute,
[00:38:38.120 --> 00:38:38.120]   and I think that's a little bit of a minute,
[00:38:38.120 --> 00:38:38.120]   and I think that's a little bit of a minute,
[00:38:38.120 --> 00:38:38.120]   and I think that's a little bit of a minute,
[00:38:38.120 --> 00:38:38.120]   and I think that's a little bit of a minute,
[00:38:38.120 --> 00:38:38.120]   and I think that's a little bit of a minute,
[00:38:38.120 --> 00:38:38.120]   and I think that's a little bit of a minute,
[00:38:38.120 --> 00:38:38.120]   and I think that's a little bit of a minute,
[00:38:38.120 --> 00:38:38.120]   and I think that's a little bit of a minute,
[00:38:38.120 --> 00:39:08.140]   and I think that's a little bit of a minute,
[00:39:08.140 --> 00:39:08.140]   and I think that's a little bit of a minute,
[00:39:08.140 --> 00:39:08.140]   and I think that's a little bit of a minute,
[00:39:08.140 --> 00:39:08.140]   and I think that's a little bit of a minute,
[00:39:08.140 --> 00:39:08.140]   and I think that's a little bit of a minute,
[00:39:08.140 --> 00:39:08.140]   and I think that's a little bit of a minute,
[00:39:08.160 --> 00:39:38.160]   I think that's a little bit of a minute,
[00:39:38.160 --> 00:39:38.160]   I think that's a little bit of a minute,
[00:39:38.160 --> 00:39:38.160]   and I think that's a little bit of a minute,
[00:39:38.160 --> 00:39:38.160]   and I think that's a little bit of a minute,
[00:39:38.160 --> 00:39:38.160]   and I think that's a little bit of a minute,
[00:39:38.160 --> 00:39:38.160]   and I think that's a little bit of a minute,
[00:39:38.160 --> 00:39:38.160]   and I think that's a little bit of a minute,
[00:39:38.160 --> 00:39:38.160]   and I think that's a little bit of a minute,
[00:39:38.160 --> 00:39:38.160]   and I think that's a little bit of a minute,
[00:39:38.160 --> 00:39:38.160]   and I think that's a little bit of a minute,
[00:39:38.160 --> 00:39:38.160]   and I think that's a little bit of a minute,
[00:39:38.160 --> 00:39:38.160]   and I think that's a little bit of a minute,
[00:39:38.160 --> 00:39:38.160]   and I think that's a little bit of a minute,
[00:39:38.160 --> 00:39:38.160]   and I think that's a little bit of a minute,
[00:39:38.160 --> 00:39:38.160]   and I think that's a little bit of a minute,
[00:39:38.180 --> 00:40:08.180]   I think that's a little bit of a minute,
[00:40:08.180 --> 00:40:08.180]   and I think that's a little bit of a minute,
[00:40:08.180 --> 00:40:08.180]   and I think that's a little bit of a minute,
[00:40:08.180 --> 00:40:08.180]   and I think that's a little bit of a minute,
[00:40:08.180 --> 00:40:08.180]   and I think that's a little bit of a minute,
[00:40:08.180 --> 00:40:08.180]   and I think that's a little bit of a minute,
[00:40:08.180 --> 00:40:08.180]   and I think that's a little bit of a minute,
[00:40:08.180 --> 00:40:08.180]   and I think that's a little bit of a minute,
[00:40:08.180 --> 00:40:08.180]   and I think that's a little bit of a minute,
[00:40:08.180 --> 00:40:08.180]   and I think that's a little bit of a minute,
[00:40:08.180 --> 00:40:08.180]   and I think that's a little bit of a minute,
[00:40:08.180 --> 00:40:08.180]   and I think that's a little bit of a minute,
[00:40:08.200 --> 00:40:38.200]   and I think that's a little bit of a minute,
