
[00:00:00.000 --> 00:00:03.480]   of Intermediate Biblical Counseling.
[00:26:42.160 --> 00:26:52.720]   Even though we as biblical counselors are not anti-medication, we don't put people on medication and we don't take people off medication.
[00:26:52.720 --> 00:26:56.040]   We are not physicians.
[00:26:56.040 --> 00:27:07.760]   We do note this observations that even when psychotropic drugs may have a desired effect that they oftentimes come with side effects.
[00:27:07.760 --> 00:27:16.680]   And many counselors want to get off their medications because they don't like how the medication makes them feel.
[00:27:16.680 --> 00:27:21.560]   Now, we want them to have that conversation with their doctors.
[00:27:21.560 --> 00:27:31.360]   But we just want to note for purposes here that depression can result in physical problems, that we are spiritual and physical.
[00:27:31.360 --> 00:27:41.080]   We are soul and body and that what affects us spiritually also affects us physically.
[00:27:41.080 --> 00:27:47.480]   Very importantly, I want you to note the description of withdrawal.
[00:27:47.480 --> 00:27:53.240]   Oftentimes, isolation and depression goes hand in hand.
[00:27:53.240 --> 00:27:57.960]   We find oftentimes in counselees who are depressed is they're not going to church.
[00:27:57.960 --> 00:28:01.640]   They're not going to small group. They're not engaged in fellowship.
[00:28:01.640 --> 00:28:09.960]   They're not praying for others and they're not sharing their prayer requests with others so that others can pray for them.
[00:28:09.960 --> 00:28:13.440]   They're not engaging in relationship.
[00:28:13.440 --> 00:28:18.080]   And so the question is, what comes first, the chicken or the egg?
[00:28:18.080 --> 00:28:26.120]   Did the isolation cause the depression or did the depression cause the isolation?
[00:28:26.120 --> 00:28:30.160]   Ultimately, the two issues are not helping each other.
[00:28:30.160 --> 00:28:35.440]   And so we need to get counselees back into relationship.
[00:28:35.440 --> 00:28:39.040]   And then there is the feelings and the knowledge of guilt.
[00:28:39.040 --> 00:28:43.480]   Psalm 51 verse three.
[00:28:43.480 --> 00:28:52.600]   Some counselees do spiral down into a place of despair because of unresolved guilt in their lives,
[00:28:52.600 --> 00:29:04.360]   whether that's sins that have occurred in the far past or sometimes it is sins that have occurred in the recently.
[00:29:04.360 --> 00:29:12.440]   Some counselees are perfectionists, and so they always live with a low level of guilt in their lives.
[00:29:12.440 --> 00:29:19.200]   And this sense of guilt can accumulate in their life until the counselee says, well, what's the use?
[00:29:19.200 --> 00:29:22.640]   Why go on? Why even try? God will never be happy with me.
[00:29:22.640 --> 00:29:29.400]   He'll never be pleased. And so depressed people need the gospel.
[00:29:29.400 --> 00:29:35.160]   They need to hear of the matchless grace of Christ.
[00:29:35.160 --> 00:29:39.360]   Depressed people need to hear the great news of Romans eight verse one,
[00:29:39.360 --> 00:29:44.040]   that there is no condemnation for those who are in Christ Jesus.
[00:29:44.040 --> 00:29:48.040]   That if they believe in Christ, they're justified.
[00:29:48.040 --> 00:29:53.280]   They're declared to be righteous because of Christ's perfect work on the cross.
[00:29:53.280 --> 00:30:00.000]   Depressed people need to hear that God has promised never to leave them or forsake them.
[00:30:00.000 --> 00:30:06.440]   They need to hear the great promises of the gospel that Jesus Christ is a mighty savior.
[00:30:06.440 --> 00:30:14.400]   He is also a tender shepherd who is able to deal gently with them,
[00:30:14.400 --> 00:30:21.240]   that he will be faithful to them as they walk through this valley.
[00:30:21.240 --> 00:30:26.680]   Depressed people oftentimes struggle with sleeplessness or restless sleep.
[00:30:26.680 --> 00:30:32.840]   The psalmist says in Psalm 42 verse three, my tears have been my food day and night.
[00:30:32.840 --> 00:30:35.680]   While they say to me all the day long, where is your God?
[00:30:35.680 --> 00:30:44.640]   He's not crying himself to sleep. He's crying in the night, hoping to get some sleep.
[00:30:44.640 --> 00:30:56.480]   Insomnia is difficulty sleeping and it oftentimes accompanies the experience of depression.
[00:30:56.480 --> 00:31:04.200]   We mentioned a loss of productivity is a mark of depression,
[00:31:04.200 --> 00:31:09.080]   a ceasing to function with the daily responsibilities of life.
[00:31:09.080 --> 00:31:13.680]   Again, at some point you ask the question, which came first, the chicken or the egg?
[00:31:13.680 --> 00:31:19.080]   Is it are you depressed because you are not fulfilling your responsibility?
[00:31:19.080 --> 00:31:22.400]   Are you not fulfilling your responsibility because you're depressed?
[00:31:22.400 --> 00:31:29.280]   The two issues tend to go together and feed into one another.
[00:31:29.280 --> 00:31:37.080]   And so we need to try to break that cycle with our counselees.
[00:31:37.080 --> 00:31:41.040]   And then there can be thoughts of death or suicide.
[00:31:41.040 --> 00:31:46.680]   1 Kings 19 verse four, that was Elijah.
[00:31:46.680 --> 00:31:53.440]   Where it says that he himself went a day's journey into the wilderness and came and sat down under a broom tree.
[00:31:53.440 --> 00:32:00.080]   And he asked that he might die saying, it is enough now, oh Lord, take away my life.
[00:32:00.080 --> 00:32:04.800]   I'm no better than my father's.
[00:32:04.800 --> 00:32:10.520]   So in ministering to depressed people, you do want to acquaint yourself with the issue of
[00:32:10.520 --> 00:32:16.080]   how to handle temptations to suicide.
[00:32:16.080 --> 00:32:19.080]   Paul Toshkis has a good blog post on this.
[00:32:19.080 --> 00:32:25.280]   He gives the acronym SLAPDIRT, which we'll go over at the end of this session.
[00:32:25.280 --> 00:32:36.120]   And it's just a way of assessing the severity of a counselee's thoughts or temptations to self-harm and even suicide.
[00:32:36.120 --> 00:32:39.120]   That's a whole topic in and of itself.
[00:32:39.120 --> 00:32:49.320]   But we do need to consider it in relation to ministering to the depressed.
[00:32:49.320 --> 00:32:54.200]   My counsel simply is be ready.
[00:32:54.200 --> 00:32:58.520]   Apply basic biblical counseling principles.
[00:32:58.520 --> 00:33:02.840]   Apply the things that we taught you in year one of this training.
[00:33:02.840 --> 00:33:05.160]   Enter the counselee's world.
[00:33:05.160 --> 00:33:06.840]   Be compassionate.
[00:33:06.840 --> 00:33:09.200]   See life through their eyes.
[00:33:09.200 --> 00:33:14.480]   See the temptations and discouragements from their perspective.
[00:33:14.480 --> 00:33:21.280]   Make the counselee aware of resources that he or she can avail themselves of.
[00:33:21.280 --> 00:33:27.680]   It's not your responsibility to overcome the counselee's temptations for them.
[00:33:27.680 --> 00:33:40.600]   But it is your responsibility to make them aware of resources that they can avail themselves of if they are tempted in any way to self-harm or suicide.
[00:33:40.600 --> 00:33:52.000]   But just note briefly that this is an issue that we need to think through in relation to depression.
[00:33:52.000 --> 00:33:59.880]   You have on page one of physical and spiritual symptoms of depression.
[00:33:59.880 --> 00:34:16.520]   Under physical, you have loss of energy, insomnia, too much sleeping, dulled senses, changing appetite or weight, high blood pressure, various illnesses, headaches and body aches, lowered sex drive.
[00:34:16.520 --> 00:34:45.040]   Under spiritual, you have a soul lacking joy and peace, trouble working and making decisions, restlessness, believing lies, I'm worthless, God is punishing me, self-focus instead of God focus, spending less time in the word and prayer, forsaking the assembly, church attendance, inappropriate guilt or shame, and doubting one's own salvation.
[00:34:45.040 --> 00:34:57.520]   That's not an exhaustive list, but it is a framework to understand depression and to understand what your counselee is going through.
[00:34:57.520 --> 00:35:18.040]   You always want to be thinking in terms of physical and spiritual, in terms of material and immaterial. You want to be thinking in terms of body and soul and realizing that the physical and the spiritual are always relating to each other and interacting with each other.
[00:35:18.040 --> 00:35:32.800]   Sometimes it's difficult to know where one begins and the other ends, but it is a helpful basic framework to minister to the depressed.
[00:35:32.800 --> 00:35:36.520]   This isn't inspired, it's just practical.
[00:35:36.520 --> 00:35:48.480]   When I counsel people who are struggling with depression, I like to start with the physical and then move to the spiritual.
[00:35:48.480 --> 00:36:03.840]   You don't need to follow that same pattern, you can mix and match or you can follow the spirits leading in that, but generally speaking, I like to find out what's going on physically and then move to what's going on spiritually.
[00:36:03.840 --> 00:36:21.280]   Is the counselee sleeping? Is the counselee eating? Have they seen a good physician? Are they on any new medications? Are they overworking? Are they over scheduled?
[00:36:21.280 --> 00:36:30.720]   Is there a certain stressful season going on in this person's life? Sometimes the counselee is like Elijah, he doesn't need a lecture.
[00:36:30.720 --> 00:36:43.120]   He doesn't need to be told that he needs to repent of his sins. He doesn't have a sin issue in his life. He may be like Elijah, he just needs to sleep.
[00:36:43.120 --> 00:36:48.960]   He just needs to rest and he needs to eat a good meal and he needs to be nourished.
[00:36:48.960 --> 00:36:56.680]   And I just like to ask those questions, what's going on physically before we move to what's going on spiritually.
[00:36:56.680 --> 00:37:13.840]   I remember when I was a brand new Christian and I was going through something that was really sad and my small group leader heard me and took me out to Korean food and that wasn't biblical counseling, but I guess it was the next best thing.
[00:37:13.840 --> 00:37:26.040]   Sometimes counselees just need to eat. They just need to exercise or they need to sleep or they just need some time off from their stressful job.
[00:37:26.040 --> 00:37:38.440]   They need to walk or engage in some kind of physical activity. So you always want to be thinking in terms of the physical and spiritual.
[00:37:38.440 --> 00:37:49.880]   Once I've asked questions about the physical, I can then move to the spiritual. Is the counselee reading the Bible? Is he praying? Is he going to church on Sundays?
[00:37:49.880 --> 00:38:02.560]   Is he engaged in relationship in the local church? I can ask questions that draw out the thoughts and intentions of the heart. Is there unresolved guilt?
[00:38:02.560 --> 00:38:13.640]   Is there a relationship that needs to be reconciled? Is there bitterness in the counselee's heart toward a person who has sinned against him?
[00:38:13.640 --> 00:38:23.840]   Is there a misunderstanding of the character of God? Does the counselee need to receive gospel comfort or to be assured of the promises of God in scripture?
[00:38:23.840 --> 00:38:36.520]   Usually the answer to that last question is yes. Whether the counselee is depressed or not, the counselee needs to receive gospel comfort.
[00:38:36.520 --> 00:38:46.520]   And so we look to sermons and books and devotionals to give to the counselee that will soothe the soul.
[00:38:46.520 --> 00:39:00.800]   And we want counselees to walk with their shepherd. The devotional "Besides Still Waters" by C.H. Spurgeon is a very helpful devotional that we have in our counseling library
[00:39:00.800 --> 00:39:05.720]   and that we give out to many who are struggling with the issues of life.
[00:39:05.720 --> 00:39:16.520]   Also, C.C.E.F.'s devotional "The Heart of the Matter" has been used by our counselees to great blessing and great effect.
[00:39:16.520 --> 00:39:25.000]   And so these are just good books and devotionals that bring comfort to the troubled heart.
[00:39:25.000 --> 00:39:37.560]   And so moving from the physical to the spiritual and then back to the physical, it's just a helpful framework to think through this issue.
[00:39:37.560 --> 00:39:55.480]   Now with that said, let me move to page three of your handout. And I have the category of "Carefully Thinking Through the Issue of Depression."
[00:39:55.480 --> 00:40:02.480]   If I were to give an encouragement to you as counselors in training, I would ask you to circle and star the word "carefully."
[00:40:02.480 --> 00:40:13.560]   Let's carefully handle souls. You'll see in this discussion that we can be imbalanced in different areas.
[00:40:13.560 --> 00:40:20.680]   We can go to the imbalance of only addressing the physical issues and not addressing the spiritual.
[00:40:20.680 --> 00:40:30.200]   Or we can be imbalanced on the other side of neglecting the physical and only focusing on the spiritual.
[00:40:30.200 --> 00:40:41.040]   We can place not enough emphasis on going to see a medical physician or we can place too much emphasis on going to see a physician.
[00:40:41.040 --> 00:40:51.040]   We just need to be careful and balanced. And ultimately, what my purpose in teaching this to you today is I want to lay before you a foundation.
[00:40:51.040 --> 00:40:56.120]   And then you need to take this foundation and do your own study.
[00:40:56.120 --> 00:41:05.960]   And when you are given the opportunity to counsel a counselee who is wrestling with depression, you need to minister to the person in front of you.
[00:41:05.960 --> 00:41:13.520]   And that person will be unique. That person will have unique temptations and unique struggles.
[00:41:13.520 --> 00:41:24.560]   And you need to pray for wisdom and ask God to lead you and depend on the Holy Spirit of God and depend on the word of God as you have studied it.
[00:41:24.560 --> 00:41:31.840]   And then love and minister to the person that is in front of you.
[00:41:31.840 --> 00:41:43.000]   And so we just want to be careful in how we handle this topic because we want to be careful in how we handle souls.
[00:41:43.000 --> 00:41:54.920]   And so how do we carefully think through this issue? Well, letter A, I would just lay before you in understanding that depression is an issue in the church.
[00:41:54.920 --> 00:42:02.280]   Christians do struggle with depression. It's not just a struggle for unbelievers.
[00:42:02.280 --> 00:42:06.960]   It's a struggle experienced by believers as well.
[00:42:06.960 --> 00:42:15.960]   Read church history and you will find even great saints of God who struggled with this issue.
[00:42:15.960 --> 00:42:28.480]   I think it just highlights the fact that we live in a broken world, that we are finite, and that we are possibly weaker than we think ourselves to be.
[00:42:28.480 --> 00:42:40.720]   And we just want to not be surprised when people in the church come to us for counseling and they share of their struggle with depression.
[00:42:40.720 --> 00:42:45.080]   Scripture speaks to this issue with great compassion and clarity.
[00:42:45.080 --> 00:42:49.840]   You see the example of Job in Job 7, verse 3, who endured great suffering.
[00:42:49.840 --> 00:42:59.280]   And sometimes people will go through a season of depression after a great loss or after a great season of suffering.
[00:42:59.280 --> 00:43:06.320]   And Job said, "I'm allotted months of emptiness and nights of misery are apportioned to me.
[00:43:06.320 --> 00:43:13.840]   When I lie down, I say, 'When shall I arise?' But the night is long and I'm full of tossing till the dawn.
[00:43:13.840 --> 00:43:19.840]   My flesh is clothed with worms and dirt. My skin hardens, then breaks out afresh.
[00:43:19.840 --> 00:43:25.840]   Our days are swifter than a weaver's shuttle and come to their end without hope.
[00:43:25.840 --> 00:43:32.840]   I loathe my life. I would not live forever. Leave me alone for my days or a breath."
[00:43:32.840 --> 00:43:46.840]   So just the intense struggle there with despair after going through a great season of suffering and still being in that season of suffering.
[00:43:46.840 --> 00:43:53.840]   Psalm 88, verse 3 is a go-to psalm when ministering to those who are depressed.
[00:43:53.840 --> 00:43:59.840]   The psalmist says, "For my soul is full of troubles and my life draws near to Sheol.
[00:43:59.840 --> 00:44:05.840]   I am counted among those who go down to the pit. I'm a man who has no strength.
[00:44:05.840 --> 00:44:11.840]   Like one set loose among the dead, like the slain that lie in the grave, like those whom you remember no more.
[00:44:11.840 --> 00:44:17.840]   For they are cut off from your hand. You have put me in the depths of the pit and the regions dark and deep.
[00:44:17.840 --> 00:44:23.840]   Your wrath lies heavy upon me and you overwhelm me with all your waves."
[00:44:23.840 --> 00:44:29.840]   And we're waiting for the uplifting conclusion to the psalm which never comes.
[00:44:29.840 --> 00:44:33.840]   The psalm ends with this statement in verse 18.
[00:44:33.840 --> 00:44:39.840]   "You have caused my beloved and my friend to shun me. My companions have become darkness."
[00:44:39.840 --> 00:44:47.840]   So just a note here that depression is an issue that sometimes takes a long time to resolve.
[00:44:47.840 --> 00:44:57.840]   It's not easily solved. Sometimes the depression will even be a struggle that is a lifelong battle.
[00:44:57.840 --> 00:45:07.840]   Sometimes there are Christians who don't struggle with depression for years and they then experience an injury or some kind of traumatic loss.
[00:45:07.840 --> 00:45:13.840]   And for the rest of their lives, this becomes a lifelong struggle.
[00:45:13.840 --> 00:45:20.840]   And by the way, we want our churches to be hospitals for the sick.
[00:45:20.840 --> 00:45:27.840]   We want our churches to be hospitable to those who are struggling and those who are weak.
[00:45:27.840 --> 00:45:34.840]   I would love to place a banner over my church. I don't think they'll let me here, but I would love to do it.
[00:45:34.840 --> 00:45:40.840]   Just put a banner over the sign of our church saying, "Depressed people welcome here."
[00:45:40.840 --> 00:45:44.840]   Because we have hope and help to offer for the word of God.
[00:45:44.840 --> 00:45:51.840]   If your church is only bringing in healthy people, then why do we need the great physician?
[00:45:51.840 --> 00:45:55.840]   We want to be equipped on this subject because this is what we want our churches to be.
[00:45:55.840 --> 00:46:00.840]   We want them to be hospitals for the sick.
[00:46:00.840 --> 00:46:03.840]   I mentioned Spurgeon's battle with depression.
[00:46:03.840 --> 00:46:13.840]   He said, "Personally, I know that there is nothing on earth that the human frame can suffer to be compared with despondency and prostration of mind."
[00:46:13.840 --> 00:46:18.840]   William Cooper wrote the hymn, "God Moves in a Mysterious Way."
[00:46:18.840 --> 00:46:23.840]   He struggled all his life with despondency and despair.
[00:46:23.840 --> 00:46:32.840]   He said, "I was struck with such a dejection of spirits as none, but they who have felt the same can have the least conception of.
[00:46:32.840 --> 00:46:38.840]   Day and night I was upon the rack, lying down in horror and rising up in despair."
[00:46:38.840 --> 00:46:49.840]   Very interestingly, John Newton, who wrote the hymn, "Amazing Grace," was the pastor to William Cooper.
[00:46:49.840 --> 00:46:54.840]   Newton ministered to Cooper his entire life.
[00:46:54.840 --> 00:47:04.840]   For years, he displayed great patience and kindness and walked with Cooper through his struggles with depression.
[00:47:04.840 --> 00:47:10.840]   Dear friends, God is going to give you, many of you, this type of ministry.
[00:47:10.840 --> 00:47:22.840]   Just a long-term friendship and counseling relationship with one who struggled with depression will never fully be resolved until glory.
[00:47:22.840 --> 00:47:34.840]   And yet, God is going to bless your ministry and going to use you to bring encouragement to a believer in Christ.
[00:47:34.840 --> 00:47:40.840]   Martin Lloyd-Jones said this on the subject of spiritual depression.
[00:47:40.840 --> 00:47:48.840]   It is interesting to notice the frequency with which this particular theme is dealt with in the scriptures.
[00:47:48.840 --> 00:47:57.840]   And the only conclusion to be drawn from that is that it is a very common condition.
[00:47:57.840 --> 00:48:01.840]   So we need to recognize that this is an issue in the church.
[00:48:01.840 --> 00:48:05.840]   Don't be surprised. Be equipped. Be ready.
[00:48:05.840 --> 00:48:16.840]   I don't know how you could become an ACBC certified biblical counselor and then never counsel anyone who struggles with depression.
[00:48:16.840 --> 00:48:26.840]   And especially if you learn to tenderly and compassionately minister to people's souls, there will be many who need your help.
[00:48:26.840 --> 00:48:28.840]   And God will use you.
[00:48:28.840 --> 00:48:33.840]   So just understand that this is an issue in the church.
[00:48:33.840 --> 00:48:46.840]   Letter B, we want to carefully think through distinguishing depression from normal sadness.
[00:48:46.840 --> 00:48:49.840]   Now this is very practical.
[00:48:49.840 --> 00:48:55.840]   Let's say a person comes in for counseling and he says he's depressed.
[00:48:55.840 --> 00:49:04.840]   He may have gone to a doctor and the doctor has measured his behaviors up to the standards of the DSM-IV,
[00:49:04.840 --> 00:49:12.840]   given him a clinical diagnosis of depression, and placed him on antidepressants.
[00:49:12.840 --> 00:49:15.840]   And the person comes in for biblical counseling.
[00:49:15.840 --> 00:49:28.840]   I find out in the counseling process that the counselee has just lost a job that he loved or is grieving the loss of a loved one.
[00:49:28.840 --> 00:49:46.840]   And the truth is that in this scenario, it may be, and again, we want to be careful with this, but it may be that the counselee is not actually depressed in an abnormal sense.
[00:49:46.840 --> 00:50:03.840]   But it may be that the counselee is just experiencing normal sadness, normal grief, the sorrows which are part and parcel of living in a fallen world.
[00:50:03.840 --> 00:50:10.840]   And we need to distinguish depression from normal sadness.
[00:50:10.840 --> 00:50:13.840]   It is normal to grieve.
[00:50:13.840 --> 00:50:16.840]   It is normal to experience.
[00:50:16.840 --> 00:50:20.840]   Even great sadness is normal in the Christian life.
[00:50:20.840 --> 00:50:23.840]   Jesus was a perfect man.
[00:50:23.840 --> 00:50:32.840]   He was the only perfect man who ever lived, and he is known as the man of sorrows, well acquainted with grief.
[00:50:32.840 --> 00:50:34.840]   That is normal.
[00:50:34.840 --> 00:50:41.840]   If the loss is large, then it is normal for the sorrow to be intense.
[00:50:41.840 --> 00:50:46.840]   And it is even normal for the sorrow to be prolonged.
[00:50:46.840 --> 00:50:52.840]   Again, I want to reference chapter 5 of Charles Hodges, Good Mood, Bad Mood.
[00:50:52.840 --> 00:50:56.840]   I would encourage you to read that chapter.
[00:50:56.840 --> 00:51:02.840]   Hodges notes that sadness and grief are normal in life.
[00:51:02.840 --> 00:51:10.840]   Genesis 23 verse 2, Abraham went in to mourn to Sarah and to weep for her.
[00:51:10.840 --> 00:51:26.840]   It would have been abnormal and ungodly for Abraham to lose his wife Sarah and not to mourn and not to experience sorrow and grief.
[00:51:26.840 --> 00:51:35.840]   2 Samuel 18 verse 33, the king was deeply moved and went up to the chamber over the gate and wept.
[00:51:35.840 --> 00:51:42.840]   And as he went, he said, Oh, my son, Absalom, my son, my son, Absalom, would I had died instead of you?
[00:51:42.840 --> 00:51:45.840]   Oh, Absalom, my son, my son.
[00:51:45.840 --> 00:51:51.840]   There is an intensity to the emotions and the sorrows of life.
[00:51:51.840 --> 00:51:59.840]   And that intensity is justified when the loss is large.
[00:51:59.840 --> 00:52:22.840]   I do understand when families in the Christian world want to call the service celebration of life service instead of a funeral service.
[00:52:22.840 --> 00:52:35.840]   But I do get concerned that possibly we are not giving people permission and space to grieve our loss.
[00:52:35.840 --> 00:52:56.840]   It is good to celebrate life and it is also good to mourn our loss that is natural, that is biblical, that is part of life. Acts 8 verse 2, devout men buried Stephen and made great lamentation over him.
[00:52:56.840 --> 00:53:08.840]   And so we say, well, you know, Stephen's in heaven, so let's all just be happy. It was an appropriate emotion to lament over the church's loss.
[00:53:08.840 --> 00:53:16.840]   And so Hodges says that normal sadness is something that happens to us when we lose something very important to us.
[00:53:16.840 --> 00:53:21.840]   It doesn't have to be a loved one. It can be a relationship. It could be a job.
[00:53:21.840 --> 00:53:27.840]   It could be an opportunity that was lost or it could even be a ministry that is concluded.
[00:53:27.840 --> 00:53:33.840]   We lose something that is important to us and we feel sad.
[00:53:33.840 --> 00:53:40.840]   And dear friends, people need to hear that that's normal.
[00:53:40.840 --> 00:53:48.840]   They need to hear that Jesus is going to meet you in your sorrow. He's going to meet you in your sadness.
[00:53:48.840 --> 00:53:57.840]   You don't have to clean yourself up. You don't have to get over it before Jesus is going to minister to you.
[00:53:57.840 --> 00:54:01.840]   He is a sympathetic and merciful high priest.
[00:54:01.840 --> 00:54:12.840]   He will walk with you in your sorrows and eventually, not immediately, but over time, he will turn your sorrows into joy.
[00:54:12.840 --> 00:54:26.840]   But in the meantime, there is normal sadness. Hodges writes that the intensity and duration of our sadness corresponds to the size and duration of the loss.
[00:54:26.840 --> 00:54:33.840]   There are some losses, friends, that we never get over. We never turn the page.
[00:54:33.840 --> 00:54:44.840]   We learn to live with the sorrow. We learn to be sorrowful but always rejoicing, as Paul said in 2 Corinthians 6, verse 10.
[00:54:44.840 --> 00:54:51.840]   We learn to have hope in the midst of sorrow. We learn to trust God. We learn to confess that he is faithful.
[00:54:51.840 --> 00:55:00.840]   We confess that through tears. We learn to look to that which is eternal and lasting.
[00:55:00.840 --> 00:55:10.840]   We are comforted by the promises of God but we just don't get over it in terms of nothing ever happened.
[00:55:10.840 --> 00:55:20.840]   The intensity and duration of our sadness corresponds to the size and the duration of the loss.
[00:55:20.840 --> 00:55:30.840]   Now, if you have someone mourning greatly over a loss that is small, then you do have to do some heart work there.
[00:55:30.840 --> 00:55:39.840]   If you have someone, for example, who's mourning for years over a beloved car that may have gotten dinged a number of years ago,
[00:55:39.840 --> 00:55:46.840]   you might have to do some heart work there and ask the question, "Does that person need to reevaluate their priorities?"
[00:55:46.840 --> 00:55:55.840]   Sadness and sorrow are normal in life. Normal sadness goes away when the problem goes away.
[00:55:55.840 --> 00:56:01.840]   That is, it corresponds to the situation or the circumstance. So what is depression?
[00:56:01.840 --> 00:56:12.840]   Zach Eswine says it helpfully. Depression is ordinary sadness that gets stuck. I think that's a good description.
[00:56:12.840 --> 00:56:18.840]   You see, friends, normal sadness needs to be expressed to God.
[00:56:18.840 --> 00:56:26.840]   We have the Psalms of lament given to us in God's Word to help us express our sorrow to God.
[00:56:26.840 --> 00:56:33.840]   God is near to the brokenhearted. Those who are sorrowful need not be ashamed.
[00:56:33.840 --> 00:56:39.840]   They can come boldly to the throne of grace and find God's presence and His comfort.
[00:56:39.840 --> 00:56:49.840]   But depression is where normal sadness leads to unbiblical thoughts and unbiblical attitudes, unbiblical perspectives,
[00:56:49.840 --> 00:56:56.840]   and leads a person away from God instead of leading a person into the presence of God.
[00:56:56.840 --> 00:57:03.840]   There is a spiraling down of a counselee's thoughts and emotions away from God.
[00:57:03.840 --> 00:57:06.840]   So we just need to distinguish depression from normal sadness.
[00:57:06.840 --> 00:57:19.840]   Now Hodges makes the helpful observation that I'll just note here that the DSM categories are so broad
[00:57:19.840 --> 00:57:25.840]   that they are unable to distinguish between normal sadness and depression.
[00:57:25.840 --> 00:57:31.840]   Going back to the DSM-IV and the criteria for depression, if you look at this list,
[00:57:31.840 --> 00:57:40.840]   the nine characteristics of depression, these are broad enough that a person may just be experiencing normal sadness
[00:57:40.840 --> 00:57:52.840]   due to a large loss and just normally grieving, but it is possible that this person will receive a diagnosis of clinical depression
[00:57:52.840 --> 00:58:00.840]   and then be placed on antidepressants when they really just need to be taught to express their sorrow to the Lord.
[00:58:00.840 --> 00:58:03.840]   Again, every case is different. I'm not saying that's true for everyone.
[00:58:03.840 --> 00:58:05.840]   I'm saying that's possible.
[00:58:05.840 --> 00:58:16.840]   One of the possible scenarios that a person needs to be taught how to biblically grieve, how to biblically lament,
[00:58:16.840 --> 00:58:29.840]   but instead has been diagnosed with depression because he or she measures up to some of these criteria in the DSM-IV.
[00:58:29.840 --> 00:58:41.840]   You can actually experience as two of these criteria and be diagnosed with a minor depressive episode.
[00:58:41.840 --> 00:58:55.840]   That's just a concern that we would have that the diagnosis of depression is made too early and medication may be prescribed too quickly.
[00:58:55.840 --> 00:59:05.840]   Again, the goal is to think carefully about this issue and then to think carefully about the person that you are ministering to.
[00:59:05.840 --> 00:59:15.840]   Now, letter C under carefully thinking through the issue of depression on page four, the issue of medications in a balanced manner.
[00:59:15.840 --> 00:59:19.840]   I'm going to move quickly through this.
[00:59:19.840 --> 00:59:32.840]   This is some of the review of the material from year one, but I think it's just helpful to insert this here that we want to be balanced in our understanding of medications.
[00:59:32.840 --> 00:59:36.840]   One extreme view is that Christians should never take psychotropic medications.
[00:59:36.840 --> 00:59:42.840]   The other extreme view is that psychotropic drugs are the only answer for Christians.
[00:59:42.840 --> 00:59:53.840]   We have proposed a balanced view in year one, the commandment thou shalt never take psychotropic drugs is nowhere found in scripture.
[00:59:53.840 --> 01:00:00.840]   I don't want our counselors to make a standard that is not found in scripture.
[01:00:00.840 --> 01:00:07.840]   Yet, do we have a concern that medication may be too quickly prescribed or overly prescribed?
[01:00:07.840 --> 01:00:14.840]   We do have a concern, but each case needs to be handled in a careful manner.
[01:00:14.840 --> 01:00:20.840]   We encourage our counselors to minister God's word to the heart.
[01:00:20.840 --> 01:00:30.840]   If your counselor or counselee wants to go off their medication, encourage them to talk to their physician about that issue.
[01:00:30.840 --> 01:00:47.840]   Just really practically, I don't think I have in my counseling ministry told any counselee to go off medication or told any counselee to go on medication.
[01:00:47.840 --> 01:01:04.840]   I think the only time that I've had to deal with this issue is when a counselee wants to unwisely go off medication abruptly without consulting their physician
[01:01:04.840 --> 01:01:12.840]   and may go off medication too quickly in a way that their behavior then becomes erratic.
[01:01:12.840 --> 01:01:23.840]   That's probably the only situation where I would give some counsel there or encouragement that you probably should see your physician.
[01:01:23.840 --> 01:01:30.840]   If you want to go off medication, then you should do that under medical supervision.
[01:01:30.840 --> 01:01:36.840]   Otherwise, I just minister the word of God, just give the word of God.
[01:01:36.840 --> 01:01:42.840]   If the person is on medication, that's not going to block the word of God from working in that person's heart.
[01:01:42.840 --> 01:01:51.840]   I just try to stick to my responsibility, which is to be a minister of God's word.
[01:01:51.840 --> 01:01:59.840]   Now under letter D, discerning the physical and spiritual causes of depression,
[01:01:59.840 --> 01:02:07.840]   you have the physical causes of depression, side effect from medication, a true medical condition,
[01:02:07.840 --> 01:02:12.840]   poor dietary habits, lack of sleep, lack of physical exercise, physical exhaustion.
[01:02:12.840 --> 01:02:19.840]   You have spiritual causes for depression, unconfessed sin, unresolved guilt, responding sinfully to trials,
[01:02:19.840 --> 01:02:26.840]   unbiblical thoughts and beliefs, functional unbelief in the truth of the gospel, relational isolation.
[01:02:26.840 --> 01:02:39.840]   And the main point here is to simply say that if a physical cause is the root of depression,
[01:02:39.840 --> 01:02:43.840]   then lifestyle changes and medical treatment are the remedy.
[01:02:43.840 --> 01:02:49.840]   If there's a spiritual cause, then we have to address the heart issues with the word of God.
[01:02:49.840 --> 01:02:56.840]   The biblical counselor must be discerning not to give spiritual remedies for physical causes
[01:02:56.840 --> 01:03:03.840]   and physical remedies for spiritual causes, both, as you shall see, are unhelpful.
[01:03:03.840 --> 01:03:11.840]   If a person has hypothyroidism, as we have mentioned, then they need more thyroid.
[01:03:11.840 --> 01:03:15.840]   They don't need to be told, "Repent of your sin."
[01:03:15.840 --> 01:03:21.840]   On the other hand, if a person has a real sin issue and unconfessed sin in his or her life,
[01:03:21.840 --> 01:03:26.840]   that person needs repentance and that person needs to confess his or her sin.
